0.0039427-0.00021468i,0.0031783-0.0029463i,0.0019868-0.0044535i,-0.00053925-0.0042434i,-0.0027776-0.0017239i,-0.0035956+0.0018902i,-0.0019623+0.0030366i,0.0005671+0.0024235i,0.0017074+0.00094482i,0.0011865-0.00088776i,-0.00048341-0.0019051i,-0.0012558-0.0017446i,-0.0015423-0.001071i,-0.0017351+0.00052487i,-0.002389+0.00097873i,-0.002216+0.0010082i,-0.00064721+0.0011378i,0.00015724+0.00080562i,0.00060703+0.00095999i,0.0010334+0.00043836i,0.00021216-0.00014276i,6.9547e-06-0.00013436i,-0.00041106-0.00028694i
-0.51713+0.14029i,-0.67235+0.1783i,-0.47327+0.095397i,-0.15398-0.025722i,-0.0039982-0.00071291i,0.11499+0.066201i,0.20068-0.064141i,0.087502-0.21815i,-0.035763-0.18261i,-0.010459-0.12115i,0.024244-0.12491i,0.019145-0.09705i,0.016859-0.038975i,-0.017351+0.033704i,-0.072789+0.11143i,-0.089665+0.143i,-0.063703+0.1125i,-0.037977+0.051072i,-0.025351+0.0028597i,-0.0020398-0.022116i,0.035125-0.042571i,0.073246-0.061602i,0.086929-0.075099i
-0.16285-0.63174i,-0.12605-0.6959i,0.19293-0.43113i,0.51284-0.28226i,0.53702-0.43757i,0.39086-0.57191i,0.22479-0.50456i,0.065926-0.2985i,-0.010315-0.082452i,-0.043935+0.017155i,-0.092583+0.062159i,-0.097309+0.10134i,-0.085023+0.085009i,-0.11292+0.050671i,-0.13294+0.047791i,-0.099591+0.05655i,-0.042924+0.047554i,-0.012729+0.025188i,-0.0061879+0.0091897i,-0.0042073+0.0015181i,-0.0019503+0.0047747i,0.0077035+0.0093074i,0.010009-0.0049333i
0.67684+0.16016i,0.77639+0.07571i,0.4469+0.1253i,0.11692+0.36287i,0.11896+0.48761i,0.2303+0.38565i,0.21746+0.23996i,0.13964+0.17703i,0.1263+0.13534i,0.14285+0.03637i,0.10167-0.057592i,0.047933-0.090489i,-0.00046973-0.092864i,-0.074631-0.051887i,-0.12199+0.033938i,-0.095774+0.085678i,-0.036852+0.061836i,-0.011229+0.0073521i,-0.024216-0.018275i,-0.033864-0.016146i,-0.03545-0.023362i,-0.047008-0.035412i,-0.058825-0.025609i
-0.044681+0.80203i,0.034044+1.0565i,0.0027488+0.82263i,-0.082685+0.34113i,-0.055737-0.069748i,-0.024197-0.35912i,-0.086699-0.42346i,-0.11715-0.26962i,-0.092739-0.11945i,-0.084346-0.038793i,-0.075713+0.024364i,-0.053301+0.059222i,-0.039611+0.062827i,-0.044829+0.066999i,-0.061952+0.092479i,-0.063811+0.10969i,-0.045889+0.083413i,-0.038431+0.041028i,-0.044656+0.022204i,-0.036985+0.01484i,-0.015119-0.0022883i,-0.0018151-0.021299i,-0.0027547-0.027413i
-0.40178+0.093859i,-0.48785+0.11623i,-0.39105-0.050665i,-0.38026-0.2103i,-0.5161-0.11055i,-0.56955+0.084998i,-0.46768+0.18107i,-0.27524+0.18806i,-0.10431+0.13292i,-0.03357+0.088999i,0.004669+0.081898i,0.047243+0.062548i,0.054199+0.035812i,0.024107+0.019408i,-0.012958+0.014076i,-0.019501+0.016882i,0.0098991+0.012151i,0.036218-0.0047924i,0.034233-0.021881i,0.019212-0.027622i,0.012164-0.030207i,0.0042689-0.034764i,-0.01294-0.02713i
-0.57105-0.19251i,-0.65815-0.24449i,-0.36087-0.25455i,0.04738-0.28011i,0.238-0.24454i,0.28901-0.1158i,0.27287-0.071246i,0.13065-0.12057i,0.0044274-0.11847i,-0.013235-0.10619i,-0.025515-0.12229i,-0.064546-0.10563i,-0.072257-0.060238i,-0.044948-0.024888i,-0.028334-0.0092702i,-0.033377-0.0037258i,-0.04017+8.9935e-05i,-0.041419+0.00011435i,-0.041223-8.981e-05i,-0.03493+0.0046628i,-0.02257+0.006248i,-0.011508+0.0045408i,0.0003632+0.0059252i
0.39707-0.5369i,0.51116-0.54194i,0.52124-0.23037i,0.44455+0.0057671i,0.30126-0.071546i,0.15742-0.24444i,0.069859-0.27162i,0.054728-0.15442i,0.068475-0.053399i,0.026794-0.01759i,-0.033946+0.037094i,-0.031276+0.08859i,-0.0094648+0.087909i,-0.01416+0.063763i,-0.01939+0.034836i,-0.014098+0.01368i,-0.0055348+0.0095377i,0.00064882+0.016158i,0.0042987+0.024799i,0.0037381+0.028872i,-0.0067875+0.034136i,-0.023269+0.041089i,-0.035815+0.03814i
0.46605+0.20284i,0.52425+0.12503i,0.29103+0.064499i,0.053512+0.12657i,-0.02641+0.17314i,-0.068448+0.16273i,-0.048886+0.15331i,0.025088+0.096311i,0.047253+0.035764i,0.057324+0.01287i,0.073399-0.031561i,0.054462-0.078827i,0.029455-0.087504i,0.019534-0.071938i,0.0087717-0.045301i,-0.003311-0.01536i,-0.0051591-0.00041233i,-0.0019337-0.0085349i,-0.0023979-0.022684i,0.0028165-0.030113i,0.01487-0.043035i,0.01478-0.057638i,-0.0028248-0.049593i
-0.10755+0.17561i,-0.21232+0.37041i,-0.26046+0.43226i,-0.18074+0.30359i,-0.01288+0.15274i,0.12106+0.085807i,0.13872+0.06578i,0.08209+0.065261i,0.029601+0.063957i,-0.0038934+0.040927i,-0.036268+0.021194i,-0.060194+0.021828i,-0.069149+0.023726i,-0.064747+0.014801i,-0.041478-0.0035465i,-0.018369-0.023569i,-0.015398-0.025858i,-0.021938-0.0065939i,-0.02619+0.01093i,-0.025973+0.017548i,-0.018541+0.022423i,-0.0061548+0.020016i,0.000659+0.007797i
0.11489+0.37686i,0.22627+0.2844i,0.23231+0.0012291i,0.08136-0.13674i,-0.054343-0.06834i,-0.07292-0.020646i,-0.059475-0.010169i,-0.037037+0.033806i,-0.0071966+0.040263i,-0.0014389+0.012695i,0.0026508-0.00028971i,0.022526-0.00068266i,0.05124+0.0037635i,0.072885-0.0058271i,0.059306-0.024212i,0.024227-0.018865i,0.012271-0.00013991i,0.02065-0.0068569i,0.019948-0.02803i,0.01497-0.031036i,0.016766-0.028276i,0.0095282-0.034645i,-0.011381-0.035451i
-0.70206+0.055934i,-0.79882+0.15297i,-0.5606+0.12987i,-0.26099+0.0027385i,-0.11673-0.049631i,-0.065811-0.010571i,-0.02151-0.008849i,-0.02388-0.065215i,-0.06394-0.087154i,-0.066872-0.052074i,-0.031775-0.03036i,-0.022727-0.043609i,-0.04549-0.04953i,-0.051507-0.030414i,-0.027421-0.011689i,-0.0026445-0.017232i,-0.0054213-0.023926i,-0.018911-0.00028109i,-0.015567+0.030369i,-0.0073178+0.037743i,-0.00054833+0.03844i,0.020874+0.041411i,0.047533+0.026042i
0.35795-0.30794i,0.40271-0.34344i,0.34596-0.17048i,0.22102+0.011223i,0.078668+0.072685i,-0.0029626+0.079804i,-0.038792+0.099444i,-0.032362+0.12163i,0.019596+0.096172i,0.030262+0.036703i,-0.0057468+0.021985i,-0.0073202+0.047134i,0.02396+0.060893i,0.043349+0.047562i,0.038721+0.018117i,0.020532+0.0076363i,0.011762+0.017664i,0.015848+0.013893i,0.013245-0.0049826i,-0.00073388-0.012633i,-0.013655-0.010865i,-0.022404-0.012265i,-0.028861-0.011331i
-0.024286-0.048067i,-0.026471-0.14824i,-0.070305-0.19696i,-0.073805-0.15747i,-0.020463-0.12361i,0.0082225-0.093004i,0.027157-0.041605i,0.055741-0.030343i,0.052696-0.04807i,0.042133-0.048569i,0.0446-0.053092i,0.028547-0.066222i,-0.0012775-0.066395i,-0.013001-0.045196i,0.0057837-0.014884i,0.032799-0.0082811i,0.032867-0.023609i,0.0091523-0.021825i,-0.0044325+4.8844e-05i,-0.0022059+0.0086968i,8.5998e-05+0.0044139i,0.0026831+0.0073361i,0.0099345+0.012126i
0.19729-0.21463i,0.15294-0.092364i,0.08801+0.093604i,0.083321+0.11457i,0.076136+0.024096i,0.02626-0.022529i,-0.0099947-0.03816i,-0.027656-0.028081i,-0.020974+0.012441i,-0.010215+0.028121i,-0.021987+0.029836i,-0.027961+0.038464i,-0.022137+0.039251i,-0.017617+0.029995i,-0.01973+0.013648i,-0.032143+0.0082185i,-0.0378+0.019712i,-0.028797+0.022521i,-0.020373+0.012049i,-0.016179+0.010021i,-0.010795+0.016569i,-0.0054606+0.01797i,-0.0010377+0.0095442i
0.075507+0.5281i,0.21609+0.45929i,0.22832+0.13805i,0.062096-0.050282i,-0.070227-0.0077094i,-0.069881+0.039186i,-0.053895+0.035011i,-0.05368+0.033745i,-0.048601+0.032052i,-0.026216+0.027133i,0.0060238+0.0094563i,0.028221-0.010456i,0.036862-0.017135i,0.036702-0.016039i,0.038296-0.0066801i,0.043706-0.00050044i,0.042323-0.0079501i,0.034006-0.013905i,0.028067-0.015645i,0.024331-0.022847i,0.020709-0.031298i,0.015811-0.035865i,0.004784-0.033164i
-0.44458-0.093281i,-0.60956+0.055112i,-0.48326+0.20836i,-0.18443+0.20251i,0.011603+0.1148i,0.074835+0.059029i,0.095874+0.01089i,0.085068-0.036948i,0.051679-0.054651i,0.019709-0.038821i,0.0066782-0.0064247i,0.00061857+0.0064425i,-0.01698-0.0057462i,-0.033226-0.0087204i,-0.037836-0.00023485i,-0.03915+0.0023864i,-0.039423+0.0014358i,-0.036381-0.0011111i,-0.038604+0.0010894i,-0.039301+0.015364i,-0.028919+0.032414i,-0.012775+0.04366i,0.0077558+0.041494i
0.42189+0.086383i,0.54647-0.07172i,0.41929-0.18536i,0.17202-0.15402i,0.0059948-0.11314i,-0.082076-0.11179i,-0.12526-0.07306i,-0.10904-0.016494i,-0.063251+0.007692i,-0.038177-0.0042779i,-0.047426-0.019985i,-0.049691-0.00455i,-0.012805+0.022776i,0.032648+0.019553i,0.049763-0.0065445i,0.045083-0.017392i,0.035639-0.009127i,0.027183+0.0066353i,0.024708+0.017468i,0.020045+0.0097347i,0.007425-0.0067806i,-0.0027614-0.014925i,-0.002387-0.011788i
-0.37252-0.17453i,-0.42214-0.10413i,-0.28348-0.037462i,-0.10967-0.049069i,-0.028836-0.048812i,-0.0083742+0.0071601i,0.018406+0.0496i,0.055516+0.033856i,0.064995-0.0028605i,0.058203-0.009175i,0.057048-0.0033556i,0.043879-0.014924i,0.013652-0.034884i,-0.017513-0.034805i,-0.028178-0.0079919i,-0.019985+0.0098111i,-0.010746+0.00075714i,-0.0069228-0.016851i,-0.0094959-0.02559i,-0.014372-0.020168i,-0.015764-0.0077747i,-0.015504+0.0014036i,-0.014353+0.0071046i
0.35483-0.13656i,0.33596-0.17622i,0.19962-0.080864i,0.10962+0.021349i,0.076497+0.019091i,0.057165-0.015346i,0.056045-0.018684i,0.043206+0.0082297i,0.016278+0.034411i,-0.012177+0.02555i,-0.041593+0.0043454i,-0.053487+0.0080822i,-0.034316+0.03203i,-0.001077+0.037182i,0.015158+0.011386i,0.012919-0.0058677i,0.0094239+0.0057124i,0.0072508+0.023723i,0.0049975+0.030963i,0.0055409+0.023357i,0.0064304+0.0080146i,0.0068618-0.0022224i,0.0059805-0.0062793i
-0.27369+0.34834i,-0.13151+0.424i,0.054041+0.24412i,0.074122+0.04433i,0.045491+0.005115i,0.066893-0.0028191i,0.049326-0.039608i,0.0060082-0.049559i,-0.0051551-0.030075i,0.01989-0.00070006i,0.061807-0.0011326i,0.075276-0.03395i,0.052388-0.050183i,0.029743-0.032231i,0.021862-0.00099713i,0.021723+0.013206i,0.017691+0.00013074i,0.011078-0.019395i,0.0087926-0.029292i,0.007227-0.026972i,0.0057906-0.020263i,0.0024844-0.016962i,-0.0043562-0.010387i
0.099458-0.24184i,-0.10979-0.23343i,-0.25311-0.030636i,-0.15056+0.13418i,-0.012235+0.11751i,0.0045508+0.056218i,-0.021689+0.037458i,-0.038175+0.03798i,-0.035087+0.032505i,-0.037462+0.0089317i,-0.058292+0.010243i,-0.062426+0.035484i,-0.049401+0.041479i,-0.034312+0.025505i,-0.025408-0.0018681i,-0.028313-0.016527i,-0.028279-0.0056417i,-0.022402+0.0092387i,-0.017353+0.015449i,-0.0099816+0.018801i,-0.00017376+0.024356i,0.013314+0.030776i,0.026915+0.027242i
0.090557+0.37751i,0.32365+0.34712i,0.38537+0.10001i,0.18803-0.068205i,0.02046-0.04207i,-0.0079122-0.00038436i,-0.0091217+0.0088191i,0.00025237+0.012106i,0.0051706+0.0012578i,0.0046313+0.0058377i,0.032021+0.0023991i,0.052995-0.023765i,0.047229-0.030631i,0.039559-0.015425i,0.038974+0.0016454i,0.037681+0.0099398i,0.024887+0.00719i,0.0078129+0.005389i,0.00010092+0.0063605i,-0.0022783+0.00082257i,-0.0058775-0.013069i,-0.011932-0.026031i,-0.017603-0.026847i
-0.15921-0.46935i,-0.41497-0.45376i,-0.47712-0.20173i,-0.29309-0.0059866i,-0.14783+0.035557i,-0.095985+0.05493i,-0.034289+0.04422i,0.00094424-0.0041722i,0.0022971-0.025404i,-0.012352-0.029066i,-0.045601-0.0074566i,-0.055124+0.024731i,-0.043493+0.019805i,-0.040174+0.0028895i,-0.03634-0.00053247i,-0.026607+0.0019635i,-0.005746+0.0033874i,0.014474-0.0024559i,0.014435-0.0072573i,0.0040827-0.00082901i,-0.0038719+0.012028i,-0.0087193+0.026302i,-0.0073191+0.034554i
0.14884+0.38533i,0.37088+0.37504i,0.42988+0.16965i,0.24605-0.0036733i,0.063979-0.034945i,0.014802-0.013361i,0.012403+0.0050832i,0.0053765+0.018337i,-0.010435+0.024893i,-0.010215+0.027322i,0.011412+0.0079442i,0.022301-0.013161i,0.02603-0.0051078i,0.031599+0.0059i,0.034722+0.0054384i,0.032451-0.0012763i,0.012985-0.0069903i,-0.0117+0.00134i,-0.017268+0.011997i,-0.0096389+0.0088263i,-0.0008611-0.0044761i,0.0066067-0.018645i,0.0097543-0.023586i
-0.19528-0.32695i,-0.34913-0.32853i,-0.34996-0.17371i,-0.19062-0.051786i,-0.050287-0.041447i,-0.0056002-0.056768i,-0.0026005-0.059138i,-0.0020765-0.048768i,0.021193-0.034807i,0.035536-0.043271i,0.011261-0.038535i,-0.00589-0.014434i,-0.0060893-0.012433i,-0.0091717-0.012484i,-0.013109-0.00027173i,-0.015443+0.011682i,-0.004709+0.016475i,0.014754+0.0040608i,0.019221-0.014741i,0.010307-0.017368i,0.0022456-0.0044172i,-0.0022914+0.0079844i,-0.0066686+0.0089406i
0.17875+0.46538i,0.30884+0.51915i,0.3181+0.32887i,0.19416+0.092107i,0.06688-0.025969i,-0.0079721-0.045075i,-0.031696-0.0099916i,-0.014335+0.015105i,-0.012335+0.00035419i,-0.022406-0.0038542i,-0.010852-0.004267i,-0.0046955-0.0067641i,-0.0058254+0.0097207i,0.00025694+0.014135i,0.0029933+3.7827e-05i,-0.00011333-0.0099025i,-0.014356-0.0083785i,-0.032375+0.0076063i,-0.03323+0.022672i,-0.018866+0.021283i,-0.0021565+0.010175i,0.0098899-0.0011995i,0.012536-0.0069124i
-0.10319-0.47287i,-0.20059-0.55961i,-0.21119-0.3808i,-0.10098-0.14074i,0.013226-0.028331i,0.053391-0.019731i,0.034002-0.031757i,0.009323-0.014057i,0.025886+0.016819i,0.046666+0.018997i,0.030914+0.0096985i,0.0091868+0.0062717i,0.0018063+0.00076462i,0.0017688+0.0017721i,0.0050561+0.0070593i,0.0089425+0.010984i,0.022192+0.0098159i,0.040609-0.0018056i,0.040507-0.013386i,0.021969-0.015326i,0.003034-0.0098865i,-0.0091473+0.00035402i,-0.011025+0.0076428i
0.083729+0.44964i,0.13505+0.57428i,0.13978+0.42851i,0.072502+0.18139i,-0.027198+0.055025i,-0.075485+0.050214i,-0.048761+0.059515i,-0.0065676+0.026947i,-0.015482-0.0061252i,-0.033305+0.0012008i,-0.013695+0.011801i,0.0024904+0.0074522i,-0.0029406+0.0058499i,-0.010237+0.0028755i,-0.013307-0.0012932i,-0.015246-0.0085757i,-0.02609-0.019178i,-0.042068-0.01827i,-0.0434-0.0083276i,-0.03091+0.0012265i,-0.015042+0.0077117i,-0.00093661+0.0088966i,0.0097185+0.0078336i
-0.12931-0.51417i,-0.15916-0.66104i,-0.12508-0.48493i,-0.022346-0.17596i,0.10938-0.015084i,0.17185-0.0050718i,0.12705-0.031038i,0.042131-0.0089971i,0.013963+0.041505i,0.025468+0.043069i,0.013741+0.011631i,-0.0071044-0.0098558i,-0.01201-0.016872i,-0.0050219-0.010699i,0.0079782-0.0029285i,0.018118+0.005262i,0.026254+0.019962i,0.03173+0.028697i,0.029194+0.02479i,0.021406+0.01146i,0.009428-0.0025335i,-0.0001721-0.0097101i,-0.0031904-0.011724i
0.15324+0.58228i,0.20337+0.74297i,0.16102+0.53891i,0.034756+0.19997i,-0.097953+0.022121i,-0.1409-0.024291i,-0.099307-0.029942i,-0.040674-0.03131i,-0.024969-0.04785i,-0.040627-0.041884i,-0.032595-0.01089i,-0.0058766+0.0048712i,0.0041281-0.0020296i,-0.0010218-0.010766i,-0.005917-0.0093025i,-0.0091748-0.0083966i,-0.0132-0.012536i,-0.01307-0.017106i,-0.01133-0.017362i,-0.011942-0.007854i,-0.010972+0.0046266i,-0.0088135+0.011115i,-0.0086042+0.015121i
-0.20232-0.4929i,-0.2606-0.62326i,-0.17743-0.433i,-0.011891-0.14048i,0.11667-0.002116i,0.15267+0.029249i,0.12154+0.031619i,0.065637+0.021092i,0.02913+0.015665i,0.017436+0.0038657i,0.0040612-0.012407i,-0.0085713-0.013758i,-0.0054351-8.9479e-05i,0.0052157+0.0091029i,0.0090939+0.004594i,0.0089034+0.00096914i,0.0079224+0.0031426i,0.0055121+0.0069824i,0.0082631+0.0088849i,0.014212+0.0022643i,0.01409-0.0060948i,0.011387-0.0094344i,0.0088934-0.010621i
0.28704+0.42861i,0.35109+0.54493i,0.21848+0.3966i,0.009324+0.16998i,-0.11598+0.046222i,-0.14284-0.0040055i,-0.11049-0.012762i,-0.053874-0.011639i,-0.018711-0.021709i,-0.0096682-0.01453i,0.0067763+0.0054214i,0.027793+0.0077851i,0.031296-0.0046074i,0.0239-0.009813i,0.01436-0.00013255i,0.0030626+0.009764i,-0.0048297+0.0081476i,-0.0079792-0.0017824i,-0.012803-0.0094537i,-0.017829-0.0064824i,-0.017435+0.0031808i,-0.015415+0.0098199i,-0.014976+0.011065i
-0.3475-0.35892i,-0.42578-0.42958i,-0.29225-0.28475i,-0.087708-0.091312i,0.037424+0.031079i,0.085341+0.10235i,0.086789+0.10933i,0.055164+0.072957i,0.026748+0.040317i,0.017969+0.0098782i,0.001258-0.016434i,-0.021658-0.014278i,-0.027628+0.0054i,-0.019194+0.013413i,-0.0048201+0.004836i,0.007327-0.00594i,0.0091622-0.0060626i,0.0030496+0.0055893i,0.0012457+0.01701i,0.0071488+0.014314i,0.013282+0.0012053i,0.016164-0.0073609i,0.015715-0.0080352i
0.34586+0.24137i,0.41049+0.27764i,0.26215+0.16585i,0.052431+0.036019i,-0.055814-0.031426i,-0.069628-0.077381i,-0.066075-0.075417i,-0.05209-0.020085i,-0.017332+0.021595i,0.0052293+0.026386i,0.011708+0.024619i,0.016319+0.018549i,0.014862+0.0062819i,0.0095519+0.0015322i,0.0032722+0.007292i,-0.002138+0.014095i,0.0028846+0.012989i,0.015134+0.0007083i,0.016162-0.010168i,0.0030617-0.0075664i,-0.010744-0.00089644i,-0.017926+0.0009683i,-0.016388-0.00036779i
-0.34593-0.091144i,-0.40863-0.10171i,-0.27861-0.072716i,-0.11754-0.056888i,-0.055216-0.037712i,-0.040654+0.02361i,-0.0081824+0.043899i,0.014004-0.0023197i,0.0030667-0.038965i,-0.013881-0.040274i,-0.023731-0.027416i,-0.026408-0.011435i,-0.021302+0.00043813i,-0.016082+0.0037424i,-0.012917-0.0015252i,-0.012125-0.010414i,-0.018842-0.013074i,-0.028356-0.0062979i,-0.025885+0.0016353i,-0.012939+0.0040944i,0.0014824+0.0039767i,0.012631+0.0036243i,0.016272+0.0036496i
0.31705+0.01013i,0.37085-0.012923i,0.26419-0.041151i,0.14002-0.049374i,0.088506-0.067874i,0.046981-0.1095i,-0.014408-0.10316i,-0.048283-0.041749i,-0.037821+0.010231i,-0.0067657+0.02644i,0.018049+0.016065i,0.023655-0.0028856i,0.016796-0.012883i,0.010737-0.0098936i,0.0079315+0.0015542i,0.0062912+0.017311i,0.010871+0.027357i,0.020072+0.024776i,0.019475+0.012152i,0.0069866+0.0015362i,-0.0067896-0.0015325i,-0.016433-0.0034965i,-0.022165-0.0055671i
-0.24033+0.064531i,-0.2677+0.099169i,-0.16568+0.089822i,-0.062078+0.038884i,-0.040648+0.019678i,-0.040175+0.049958i,-0.0024042+0.052111i,0.034106+0.0027501i,0.031202-0.035175i,0.0082636-0.033336i,-0.0091824-0.013739i,-0.014364+0.0016381i,-0.010139+0.0054316i,-0.0054568-0.00011402i,-0.0024154-0.012066i,-0.0014697-0.028568i,-0.0068092-0.037317i,-0.014863-0.029486i,-0.016296-0.013903i,-0.0082487-0.0014111i,0.0060677+0.0043736i,0.017249+0.0073589i,0.020519+0.011308i
0.16618-0.1167i,0.19174-0.15299i,0.15406-0.1131i,0.13178-0.033669i,0.14392-0.0011596i,0.12832-0.01936i,0.070219-0.01628i,0.021208+0.019855i,0.0046117+0.040306i,0.0070575+0.028887i,0.0144+0.0049781i,0.014917-0.010217i,0.01063-0.0095681i,0.0071378-0.0050601i,0.0046035+0.0019425i,0.0035032+0.014212i,0.0041403+0.018824i,0.004053+0.010542i,0.00516-0.0014042i,0.0020888-0.010157i,-0.0082345-0.013054i,-0.016295-0.011154i,-0.015761-0.0096898i
-0.10363+0.14059i,-0.11455+0.18299i,-0.092575+0.16396i,-0.08292+0.11847i,-0.080891+0.088259i,-0.051501+0.058429i,-0.0094524+0.013925i,0.01948-0.015839i,0.029065-0.020143i,0.014308-0.0088538i,-0.0081237+0.012642i,-0.0096368+0.02639i,0.0029122+0.019834i,0.0097711+0.0095153i,0.010297+0.001921i,0.0065188-0.0081527i,0.00061349-0.012157i,-0.003137-0.0052106i,-0.0052136+0.0039417i,-0.002494+0.0073284i,0.0071856+0.0060155i,0.017006+0.0033546i,0.019271+0.0014255i
0.030166-0.1062i,0.029456-0.12978i,0.016811-0.1122i,0.0052852-0.072144i,-0.0037781-0.033434i,-0.011958-0.0040069i,-0.020161+0.018997i,-0.031375+0.029865i,-0.036434+0.024273i,-0.024411+0.0059842i,-0.004896-0.016703i,-0.0014018-0.028685i,-0.0072198-0.02047i,-0.0048254-0.0074443i,0.00062331+0.0011455i,0.0068434+0.010772i,0.01205+0.015087i,0.0099302+0.0083918i,0.004291-7.9525e-05i,-0.0018152-0.0032566i,-0.013321-0.0012746i,-0.023073+0.0016271i,-0.021162+0.002264i
0.02126+0.10046i,0.035946+0.12193i,0.024104+0.099806i,-0.0090509+0.058097i,-0.019726+0.02138i,-0.0051943-0.009213i,0.0017305-0.031725i,-0.0021875-0.028922i,0.0015147-0.008921i,0.0055183+0.0070508i,-0.00061468+0.019428i,-0.0020318+0.027715i,0.0034894+0.02535i,0.0055737+0.020353i,0.006373+0.012214i,0.0029838-0.0038713i,-0.0013415-0.013491i,0.0014516-0.011328i,0.0063542-0.0019185i,0.01125+0.007695i,0.01872+0.0081786i,0.021331+0.0027755i,0.015426+0.0010911i
-0.056673-0.064299i,-0.080082-0.07828i,-0.064357-0.081752i,-0.036468-0.089924i,-0.052859-0.078041i,-0.073128-0.015737i,-0.044151+0.037567i,-0.007425+0.02503i,-0.0049652-0.0077375i,-0.0068456-0.019312i,0.002243-0.026215i,0.0022766-0.030218i,-0.0060609-0.020633i,-0.0098639-0.010109i,-0.010937-0.0036633i,-0.011733+0.0042369i,-0.01334+0.0092846i,-0.017204+0.0072009i,-0.016747-0.0014406i,-0.014835-0.008151i,-0.015831-0.0039367i,-0.015881+0.0050532i,-0.011171+0.0073063i
0.063991+0.016478i,0.094912+0.022636i,0.11357+0.035931i,0.13275+0.044719i,0.16201+0.024164i,0.15752-0.02467i,0.095822-0.052247i,0.03321-0.030491i,0.011462-0.00047108i,0.0066762+0.009652i,0.00070607+0.015307i,-0.00097482+0.016696i,-0.00041258+0.0074575i,-5.415e-05+0.0013304i,0.0032977+0.0032306i,0.0082015+0.0034952i,0.013207+0.0010683i,0.018204+0.0013554i,0.016254+0.00072122i,0.010516-0.0029792i,0.010174-0.0087449i,0.011246-0.01388i,0.0077498-0.011238i
-0.067539+0.04408i,-0.089208+0.063536i,-0.094545+0.048756i,-0.10004+0.019783i,-0.11578+0.015819i,-0.12392+0.033603i,-0.07939+0.046415i,-0.0097021+0.028401i,0.018251-0.0028115i,0.011231-0.011966i,0.0052603-0.0093i,0.0035437-0.0083562i,0.00064842-0.0074532i,-0.0032364-0.0093397i,-0.0076841-0.011023i,-0.0074699-0.0074479i,-0.0040917-0.0045187i,-0.0058037-0.0062972i,-0.010653-0.0059995i,-0.014252-0.0014324i,-0.015781+0.0046134i,-0.011928+0.0079536i,-0.0030829+0.0038539i
0.057872-0.062577i,0.079193-0.089913i,0.091088-0.057464i,0.10855+0.010661i,0.13177+0.037075i,0.13105+0.0090168i,0.069731-0.016006i,-0.003617-0.001012i,-0.02583+0.019281i,-0.018201+0.014409i,-0.014275+0.0036021i,-0.013182-0.0021829i,-0.008641-0.0056748i,-0.0016783-0.0048443i,0.0046471-0.0030592i,0.006505-0.0057417i,0.003008-0.0068842i,0.0014631-0.00010209i,0.0050039+0.0067659i,0.008425+0.0060563i,0.0073274-0.00039147i,0.0016281-0.0044242i,-0.0050834+0.00011425i
-0.021257+0.099564i,-0.053794+0.1444i,-0.09282+0.13502i,-0.13803+0.080217i,-0.17608+0.037197i,-0.15623+0.028677i,-0.079242+0.020549i,-0.011537+0.0041194i,0.019443-0.0047936i,0.022523-0.003343i,0.015034+0.0047373i,0.014152+0.0104i,0.017744+0.011389i,0.018589+0.010061i,0.01092+0.0049143i,-0.0011053+0.0047737i,-0.0052438+0.011766i,-0.001556+0.014462i,0.004188+0.0089901i,0.0073808+0.003013i,0.0070164+0.0016255i,0.0066224+0.0012959i,0.0062266-0.0022245i
-0.020305-0.11175i,-0.0045728-0.16755i,0.012029-0.18109i,0.020802-0.13818i,0.048763-0.077272i,0.053708-0.039659i,0.018849-0.018217i,-0.015418-0.010154i,-0.035312-0.0095244i,-0.033652-0.011503i,-0.018471-0.020705i,-0.01236-0.025499i,-0.014154-0.020234i,-0.013025-0.011164i,-0.0037318-0.0024146i,0.0074693-0.0022048i,0.0091405-0.0080653i,0.0037919-0.010262i,-0.0021149-0.0084385i,-0.0056601-0.0046018i,-0.0062346-0.00098372i,-0.0062761+0.0032099i,-0.0049897+0.010401i
0.058648+0.11815i,0.068192+0.18262i,0.05773+0.16888i,0.030624+0.076329i,-0.0067865-0.0005614i,-0.0032104-0.023676i,0.025458-0.03086i,0.032834-0.021912i,0.035507+0.003154i,0.035685+0.016603i,0.022687+0.024801i,0.015369+0.031923i,0.017112+0.030033i,0.016877+0.024028i,0.013234+0.015835i,0.007472+0.0096972i,0.0040697+0.0076383i,0.0017861+0.0038244i,-0.0031315+0.0011237i,-0.0039309+0.0017675i,0.0031837-0.00037633i,0.0093626-0.0082772i,0.0083445-0.017141i
-0.096324-0.084477i,-0.13402-0.16163i,-0.11097-0.16626i,-0.040731-0.10765i,0.0011151-0.068305i,-0.019624-0.027889i,-0.033267+0.019496i,-0.014225+0.020645i,-0.013911-0.012282i,-0.024501-0.02737i,-0.018957-0.030637i,-0.014906-0.034656i,-0.020793-0.03162i,-0.026488-0.02246i,-0.021783-0.011459i,-0.0098873-0.0084973i,-0.0063666-0.012905i,-0.011191-0.0089842i,-0.011377+0.00051206i,-0.0088225+0.005437i,-0.0099055+0.0090882i,-0.011818+0.01553i,-0.0091799+0.021126i
