0.00076075-0.00034503i,0.00073054-0.0012995i,0.00012916-0.002971i,-8.4379e-05-0.0038061i,-0.0007307-0.002238i,-0.00065791+0.00022739i,0.0013081+0.0013258i,0.0025849+0.00077399i,0.0023672+8.0449e-05i,0.0017232-0.001026i,0.0007902-0.0012534i,-0.00074477-0.00061502i,-0.0014446+0.00042447i,-0.00093268+0.0010817i,-0.00083241+0.00051018i,-0.00067324+3.9368e-06i,0.00013638-0.00011145i,0.00086045+4.0158e-05i,0.00038676-0.00017174i,-0.00014168-0.00010492i,-0.00022821+0.00031833i,-0.00052732+0.00027075i,-0.00086791-0.00024776i
0.056184-0.13008i,0.075575-0.25017i,0.079323-0.32046i,0.10559-0.29281i,0.1476-0.22314i,0.12641-0.14924i,0.057434-0.08302i,0.013759-0.049522i,-0.0056802-0.035529i,-0.013736-0.01708i,-0.010546-0.0020551i,-0.005095+0.0030185i,-0.00021573+0.0061113i,0.0022027+0.0092451i,0.0023773+0.011575i,0.0032087+0.01135i,0.0035869+0.0068353i,0.0020851+0.0002511i,0.0021759-0.0040197i,0.004624-0.0032675i,0.0045905-1.8077e-05i,0.0012299+0.0012318i,-0.002956-0.00047154i
-0.068281-0.050015i,-0.075721-0.030961i,-0.030613+0.012389i,-0.011883-0.0023742i,-0.06676-0.073323i,-0.095999-0.10929i,-0.052235-0.089667i,-0.010474-0.061649i,-0.0024751-0.037113i,-0.0032202-0.017794i,-0.0028791-0.011305i,-0.0044919-0.0069295i,-0.0062638+0.0011755i,-0.0044262+0.0064813i,-0.0020013+0.0054307i,-0.0030555+0.0024037i,-0.0037947+0.00054527i,-0.00012294-0.0026065i,0.0042686-0.0056542i,0.0042962-0.0020583i,0.0030166+0.0035852i,0.0034727+0.0035667i,0.0037051-0.00067617i
-0.089411+0.12726i,-0.17153+0.21744i,-0.24809+0.25733i,-0.26197+0.25613i,-0.19762+0.24783i,-0.099462+0.22225i,-0.016573+0.16026i,0.026959+0.093257i,0.03539+0.052326i,0.028631+0.028247i,0.019092+0.01192i,0.0083981+0.00098387i,-0.0025654-0.0054549i,-0.0080634-0.007417i,-0.0076418-0.0092025i,-0.0053647-0.010423i,-0.0022999-0.0089984i,0.0039322-0.0056272i,0.0091674-0.001903i,0.0073507+0.0012666i,0.0017615+0.0031769i,-0.0021661+0.0031191i,-0.00045991+0.0026206i
0.13234+0.0096169i,0.24227-0.058228i,0.30601-0.1465i,0.29226-0.14883i,0.24342-0.055131i,0.18374+0.01502i,0.10307+0.031301i,0.038898+0.034122i,0.014869+0.021261i,-0.00046792+0.0049896i,-0.011195+0.0013347i,-0.0092357+0.0012525i,-0.0050951-0.00068533i,-0.0051627-0.0021354i,-0.0052353+0.0010813i,-0.0011942+0.005394i,0.003643+0.0054016i,0.0054631+0.0041636i,0.0042414+0.0060224i,0.0018088+0.0069093i,-0.00121+0.0026449i,-0.0032337-0.00085636i,-0.0038928-0.0012987i
0.068818-0.084186i,0.097426-0.095231i,0.11116-0.042116i,0.11633-0.03088i,0.098895-0.12053i,0.037799-0.17847i,-0.010249-0.13443i,-0.016953-0.071173i,-0.01593-0.035513i,-0.010985-0.019704i,-0.0016459-0.014758i,0.0040103-0.010719i,0.003884-0.0052293i,-0.00033295-0.00077457i,-0.0018423+0.0015551i,-0.00036707+0.00092092i,0.00036968+0.00048288i,-0.00014943+0.0046354i,0.00020547+0.0092837i,-4.2323e-05+0.0075865i,-0.00077472+0.0020129i,0.00077532-0.0016057i,0.0035479-0.0021803i
-0.17706-0.036575i,-0.34764-0.044003i,-0.45768-0.043595i,-0.44353-0.028686i,-0.35904+0.011118i,-0.24248+0.050291i,-0.12901+0.04899i,-0.069415+0.024561i,-0.039997+0.019772i,-0.0090895+0.02099i,0.0062429+0.010187i,0.0037588+0.0010072i,0.0023218-0.0054984i,0.004508-0.012696i,0.0052231-0.015437i,0.0052159-0.013142i,0.0043668-0.0070385i,0.0015032+0.0013508i,-0.0021237+0.0059566i,-0.002547+0.005006i,0.00045176+0.0022413i,0.0019658-0.00078272i,0.0020199+0.0004772i
0.031649+0.090117i,0.14039+0.11816i,0.24488+0.089463i,0.23673+0.062096i,0.15791+0.094964i,0.096569+0.12142i,0.049033+0.08383i,0.013173+0.033213i,-0.00087143+0.003395i,-0.0071408-0.0095546i,-0.010298-0.0077282i,-0.0062637-0.0042952i,0.00022197-0.00059296i,0.0049465+0.0043643i,0.0033567+0.0069084i,-0.0010043+0.0094427i,-0.0020537+0.010082i,-0.0019697+0.0070365i,-0.0036961+0.0039739i,-0.0033791+0.00098334i,6.0414e-05-0.001895i,0.00088427-0.0032563i,-0.0023066-0.0027539i
0.1289+0.070997i,0.19677+0.12852i,0.21266+0.17849i,0.20885+0.1614i,0.20249+0.059463i,0.16678-0.044097i,0.11949-0.069873i,0.085867-0.053504i,0.054185-0.042267i,0.023375-0.025742i,0.011227-0.0071348i,0.0077037+0.0056429i,0.0019907+0.015668i,-0.002867+0.018321i,-0.0054835+0.015939i,-0.0063921+0.012941i,-0.0065817+0.0096975i,-0.0073751+0.0056109i,-0.0069246+0.0013318i,-0.0042247+0.00085456i,-0.0014655+0.0030978i,0.0018908+0.0045389i,0.0046301+0.0029518i
-0.051856-0.17408i,-0.17308-0.32945i,-0.29182-0.40176i,-0.30799-0.32115i,-0.23046-0.18375i,-0.1401-0.07917i,-0.060392-0.01323i,-0.0032775+0.013202i,0.010285+0.019246i,0.0094386+0.023559i,0.0092336+0.020149i,0.0028246+0.0096621i,-0.0017182+0.00090172i,5.8393e-05-0.0031317i,0.0047894-0.004872i,0.0080058-0.0062731i,0.0044367-0.0063381i,-0.0033419-0.0040354i,-0.0063141-0.0020415i,-0.0045455-0.0010747i,-0.002032+0.00067774i,0.0015868+0.0023424i,0.0047273+0.0044717i
-0.043845+0.017555i,0.0029011+0.084014i,0.095343+0.12556i,0.11679+0.085046i,0.039652+0.051049i,-0.024174+0.077025i,-0.039675+0.08492i,-0.042915+0.061713i,-0.028697+0.037602i,-0.012522+0.0094852i,-0.0090246-0.008807i,-0.0051968-0.01129i,-0.0029031-0.0089986i,-0.004882-0.0035476i,-0.0058674+0.00099496i,-0.0063878+0.00030424i,-0.0062428-0.0035359i,-0.0048309-0.0063148i,-0.0029382-0.0059556i,-0.0014081-0.0048015i,-0.00065341-0.003958i,-0.0021709-0.004694i,-0.0050041-0.0050017i
-0.027077+0.16093i,-0.038882+0.29551i,-0.044238+0.36161i,-0.0094505+0.30824i,0.047646+0.17835i,0.059201+0.048301i,0.024357-0.01264i,-0.00298-0.012028i,-0.0024121-0.007646i,-0.00103-0.013852i,-0.0082586-0.011412i,-0.013201-0.001103i,-0.015466+0.0043481i,-0.016602+0.0028344i,-0.017453+0.00054871i,-0.016044-0.00051565i,-0.011067-0.0022658i,-0.0063532-0.0051028i,-0.003998-0.0062839i,-0.0033487-0.0034819i,-0.0039204-0.00079875i,-0.0050157+9.2085e-05i,-0.0037493+0.00035034i
0.087003-0.11747i,0.11975-0.31883i,0.082407-0.46853i,-0.0090932-0.3987i,-0.058319-0.21465i,-0.038809-0.093518i,-0.0094314-0.049836i,0.0023952-0.03756i,-0.0071141-0.020669i,-0.0075561+0.0032171i,0.0034484+0.0046008i,0.0020305-0.0060062i,0.00062031-0.0070034i,0.0047445-0.0055771i,0.0068967-0.0032598i,0.0095063+0.00076782i,0.01255-0.0010179i,0.011793-0.0083386i,0.0073743-0.011893i,0.0033402-0.0084514i,0.0012131-0.0023146i,0.0016478+0.0024238i,0.0024499+0.0061447i
0.037438-0.030176i,0.055051+0.027681i,0.084714+0.10717i,0.10781+0.098863i,0.08645+0.044843i,0.04448+0.042476i,0.027077+0.039734i,0.0082627+0.0085015i,-0.0049903-0.0027879i,0.0046106+0.0012943i,0.014134+0.0010315i,0.018115-0.00033509i,0.017041-0.0012719i,0.0097259+1.7279e-05i,0.0033245+0.00069109i,0.0016746+0.0012565i,0.0059527+0.0026673i,0.012944+0.0032041i,0.015254+0.0019753i,0.010899-6.9771e-05i,0.0059447-0.00064424i,0.0023427-0.0026727i,-0.002508-0.0046939i
-0.16974+0.050071i,-0.31585+0.14949i,-0.36276+0.23146i,-0.23444+0.22337i,-0.063783+0.13332i,0.010289+0.026775i,0.016361-0.011912i,0.029702+0.00025238i,0.038296-0.0013903i,0.019899-0.011883i,0.00094182-0.0086049i,-0.0054635-0.002287i,-0.0065466-0.0012644i,-0.0044757-0.0023591i,-0.0042958-0.0048468i,-0.0061149-0.0053567i,-0.0064566+0.0012151i,-0.0040737+0.011467i,0.00055718+0.013234i,0.0019312+0.0047592i,-0.00015873-0.0027408i,-0.00143-0.0058308i,0.00043894-0.0083786i
0.090925-0.048882i,0.26151-0.17221i,0.35066-0.29417i,0.21628-0.28262i,0.031374-0.15824i,-0.012358-0.039597i,0.027973+0.0097339i,0.048714+0.012356i,0.031342+0.0049383i,0.0066468+0.007224i,-0.00074468+0.0079608i,-0.00089768+0.0016664i,-0.0012706+0.0018773i,0.0012164+0.0051822i,0.0025881+0.0056595i,0.0024995+0.0060575i,2.2373e-05+0.0060289i,-0.0047461+0.0055967i,-0.0058686+0.002905i,-0.0023206-0.00047962i,0.00062141+0.00011594i,0.0027715+0.0032473i,0.0046677+0.0063165i
0.065655+0.084657i,0.072024+0.17208i,0.049889+0.22197i,0.040516+0.1735i,0.041438+0.1059i,0.018303+0.08993i,-0.012328+0.07938i,-0.031937+0.045535i,-0.035354+0.022015i,-0.020911+0.014527i,-0.0097624+0.010838i,-0.0055329+0.011088i,-0.0020457+0.0080839i,-0.0033435+0.00094385i,-0.0040609-0.0028443i,-0.0022079-0.003132i,-0.002898-0.0033556i,-0.0046002-0.0026904i,-0.0038523+0.002694i,4.847e-05+0.0079392i,0.0031399+0.0071457i,0.0022935+0.0024088i,-0.0020346-0.00055685i
-0.12885-0.092432i,-0.33825-0.15938i,-0.46821-0.15259i,-0.35311-0.055565i,-0.14297-0.0066162i,-0.043358-0.051986i,-0.054729-0.074146i,-0.074391-0.038964i,-0.046542-0.0077012i,-0.013327-0.015456i,-0.0084311-0.028332i,-0.0090019-0.022916i,-0.0033664-0.013545i,0.0025084-0.0059319i,0.003196-0.0036208i,-0.0010915-0.007307i,-0.0073094-0.01125i,-0.012626-0.010586i,-0.012404-0.0052113i,-0.0063798-0.00060974i,-0.0005028-8.9483e-05i,0.0020064-0.0024447i,0.0052868-0.0033867i
0.1308-0.035673i,0.34641-0.028945i,0.50036-0.03475i,0.38783-0.071754i,0.15597-0.072424i,0.047314-0.029851i,0.055035-0.0059849i,0.074869-0.0010095i,0.058845-0.0029322i,0.031938-0.0023527i,0.02432-0.0036789i,0.017479-0.0083053i,0.0024776-0.0039001i,-0.0060849+0.0023782i,-0.0067868+0.0070237i,-0.0015233+0.010746i,0.0065077+0.0055659i,0.0095339-0.0080807i,0.0060992-0.0145i,0.0014651-0.0077678i,0.0011116+0.0010163i,0.0025942+0.0071311i,0.0029945+0.010184i
-0.06459+0.13226i,-0.12216+0.2549i,-0.14786+0.31368i,-0.084243+0.24188i,-0.0065747+0.14157i,0.024711+0.12848i,0.059836+0.12363i,0.073747+0.050681i,0.038458+0.0013978i,0.0099485+0.014343i,0.006776+0.026054i,0.0060103+0.017124i,0.0054014+0.0022282i,0.0055619-0.0069076i,0.003658-0.0062843i,0.0049691-0.0014843i,0.012034+0.0022242i,0.019963+0.0046096i,0.019272+0.0056406i,0.0089781+0.0062229i,-0.00071084+0.0065433i,-0.0044261+0.0034024i,-0.0089686-0.0016505i
-0.05937-0.11997i,-0.16131-0.33147i,-0.24587-0.46461i,-0.21406-0.34092i,-0.096362-0.1503i,-0.027608-0.1117i,-0.056419-0.11136i,-0.084169-0.053504i,-0.057688-0.012308i,-0.023051-0.017202i,-0.010722-0.020643i,-0.0015243-0.0067037i,0.011424+0.0056003i,0.014412+0.0080852i,0.011453+0.0025419i,0.006667-0.0048097i,0.0015501-0.0032058i,-0.00064176+0.0067765i,-0.0011667+0.013189i,-0.0017318+0.010444i,-0.0022183+0.0032437i,-0.00076552-0.0031669i,0.0024064-0.0070626i
0.19564+0.076982i,0.39178+0.2051i,0.50219+0.2918i,0.37557+0.21778i,0.13262+0.088867i,-0.0045095+0.046937i,-0.021183+0.052988i,-0.0097237+0.056548i,-0.00075952+0.046078i,0.00025323+0.023518i,-0.0047708+0.0096924i,-0.012334+0.008148i,-0.020783+0.010481i,-0.021084+0.008674i,-0.017028+0.0051962i,-0.015073+0.006612i,-0.012779+0.0096346i,-0.013049+0.0083671i,-0.014554+0.0027345i,-0.010744-0.0032736i,-0.0055311-0.0048757i,-0.0037483-0.00011734i,0.0015116+0.0059822i
-0.14998+0.028588i,-0.33174+0.11554i,-0.44853+0.18917i,-0.35879+0.17867i,-0.16903+0.134i,-0.059416+0.13262i,-0.0052683+0.1382i,0.031811+0.084052i,0.023043+0.02504i,-0.0029906+0.013489i,-0.010943+0.0141i,-0.0087213+0.0033668i,-0.002489-0.0060965i,0.0021817-0.0092981i,0.00032993-0.0047509i,-0.0022508+0.0040994i,-0.0045794+0.0079086i,-0.0089713+0.0077195i,-0.011737+0.0062645i,-0.010009+0.003506i,-0.0056919+0.00022275i,-0.0028001-0.0025275i,-0.0029304-0.0057805i
-0.024116-0.17646i,0.010078-0.42561i,0.048776-0.60128i,0.05904-0.50481i,0.073548-0.29662i,0.08856-0.22851i,0.033538-0.23851i,-0.036384-0.19089i,-0.038968-0.11331i,-0.0029765-0.065466i,0.014947-0.043514i,0.012461-0.023056i,0.0075115-0.00096098i,0.0052292+0.013429i,0.0085497+0.014637i,0.010435+0.0053739i,0.0018791-0.0052459i,-0.0072998-0.0091004i,-0.007343-0.0079149i,-0.0026644-0.0045424i,0.0012869-0.0017605i,0.0028639-0.0027845i,0.002331-0.0030931i
0.08662+0.22928i,0.2208+0.469i,0.34363+0.59899i,0.31407+0.45007i,0.14303+0.18799i,0.014674+0.054099i,0.010603+0.015466i,0.026239-0.00042005i,0.018519+0.0082588i,0.014886+0.012561i,0.0096208+0.00042865i,-0.0042528-0.01172i,-0.01945-0.017569i,-0.021737-0.013857i,-0.014474-0.0063352i,-0.0089354-0.0044417i,-0.0021926-0.0096261i,0.0058466-0.019667i,0.010314-0.025132i,0.0096464-0.019173i,0.0073019-0.010375i,0.0033848-0.002i,-0.00055702+0.0078379i
-0.10339-0.044372i,-0.3058-0.092664i,-0.48905-0.099799i,-0.45368-0.038465i,-0.25946+0.055769i,-0.10552+0.15304i,-0.0071451+0.2184i,0.069458+0.18896i,0.06958+0.098714i,0.014212+0.046948i,-0.0093016+0.036139i,0.0048655+0.021659i,0.019634+0.0026472i,0.016821-0.010038i,0.00042701-0.013741i,-0.0080535-0.0067622i,-0.001287+0.00032245i,0.0074169+0.0024997i,0.0079526+0.0034544i,0.0049907+0.0022669i,0.0032075+0.0018551i,0.003679+0.0018893i,0.0040264-0.0016426i
0.11806-0.20965i,0.26514-0.4202i,0.34993-0.56428i,0.28933-0.46769i,0.20449-0.2412i,0.16428-0.1288i,0.086862-0.12066i,0.0020184-0.094967i,-0.014637-0.057334i,0.0031313-0.036599i,0.0081607-0.014904i,0.0041729+0.0098954i,0.0013524+0.023846i,-0.0018289+0.022461i,-0.0013216+0.01293i,0.0026372+0.0044153i,0.0017549+0.0027054i,-0.0019729+0.008346i,-0.0019576+0.014967i,-0.0017428+0.01431i,-0.0041214+0.0099076i,-0.0035419+0.0065032i,-0.0016554+0.00050824i
-0.12711+0.17547i,-0.15569+0.47975i,-0.075797+0.73561i,0.037708+0.65359i,0.039394+0.32638i,-0.021729+0.072083i,-0.04379-0.031499i,-0.059634-0.045365i,-0.060188-0.0088642i,-0.021932+0.004141i,-0.00030395-0.023625i,-0.010263-0.038895i,-0.014933-0.032112i,-0.0046201-0.019322i,0.0081095-0.0082028i,0.012676-0.003265i,0.010449-0.00033669i,0.0076453+0.0018446i,0.004294-0.00043843i,0.00019736-0.0035655i,-0.0025953-0.0034491i,-0.0058059-0.0011379i,-0.0087599+0.0029647i
-0.076885-0.067674i,-0.21203-0.16903i,-0.3792-0.24701i,-0.41855-0.21674i,-0.28656-0.10101i,-0.14077+0.022092i,-0.049874+0.10027i,0.020571+0.098396i,0.035473+0.04989i,0.00494+0.019821i,-0.0072803+0.013875i,0.0028381+0.014228i,0.014674+0.014966i,0.020442+0.0073807i,0.013116-0.0018611i,0.0007912-3.4206e-05i,-0.0033006+0.0074578i,-0.0036764+0.0073349i,-0.0056278+0.0014828i,-0.0052358-0.0012443i,-0.0024439-0.0016346i,4.2154e-05-0.0021635i,0.0028026-0.0007838i
0.23822-0.048592i,0.46501-0.20043i,0.60575-0.40093i,0.51308-0.44199i,0.30366-0.25828i,0.18814-0.088696i,0.13691-0.068639i,0.079226-0.084608i,0.048029-0.067514i,0.036358-0.031114i,0.022429+0.0033179i,0.0058266+0.013038i,-0.012285+0.0067305i,-0.018872+0.0045416i,-0.014789+0.0069714i,-0.010717+0.0070794i,-0.012858+0.0018985i,-0.015539-0.0037737i,-0.012205-0.0066899i,-0.0086108-0.0054035i,-0.0069107-0.0019075i,-0.001146-0.001113i,0.0036216-0.0047833i
-0.10021+0.0030564i,-0.24761+0.17405i,-0.28865+0.44411i,-0.15081+0.54163i,-0.026369+0.35359i,-0.012427+0.1467i,-0.0032577+0.066033i,0.00021774+0.025918i,-0.025143+0.013206i,-0.016043+0.016061i,0.011921-0.0071452i,0.014929-0.030543i,0.0074915-0.025863i,-0.00070586-0.0046532i,-0.0043598+0.010668i,-0.00029142+0.007858i,0.0047205-0.0029317i,0.010862-0.0070502i,0.017502-0.0073258i,0.018497-0.0093046i,0.012725-0.0097079i,0.0054453-0.0097323i,0.00096126-0.0099808i
-0.027152-0.073564i,-0.11532-0.13823i,-0.27202-0.17936i,-0.34286-0.15351i,-0.23484-0.066819i,-0.10795+0.036835i,-0.054719+0.12758i,-0.013982+0.15684i,0.012209+0.10444i,-0.0042703+0.034844i,-0.025229+0.01074i,-0.019693+0.02073i,-0.0036022+0.025775i,0.0063697+0.012941i,0.0066781-0.0073313i,0.00026687-0.014131i,-0.0016339-0.0044549i,0.00046481+0.0037363i,0.0015322+0.0073869i,0.0029013+0.0090022i,0.0054738+0.006713i,0.0076622+0.0048946i,0.0078866+0.0074963i
0.1157+0.10461i,0.34301+0.088591i,0.57066-0.067275i,0.54414-0.20635i,0.28967-0.17548i,0.085042-0.0942i,0.0095069-0.079144i,-0.0028953-0.071064i,0.012818-0.047534i,0.009153-0.025938i,-0.0091568-0.0030927i,-0.011517+0.0014552i,-0.0056235-0.010647i,-0.001269-0.016044i,-0.0010056-0.011858i,-0.0027165-0.0072812i,-0.0067635-0.007549i,-0.011953-0.0051452i,-0.010435+0.0037893i,-0.0057586+0.0094887i,-0.0058498+0.009867i,-0.0058192+0.012217i,-0.0020965+0.01219i
-0.019292+0.0035596i,-0.11425+0.053306i,-0.19912+0.22223i,-0.17143+0.36369i,-0.083076+0.27557i,-0.053866+0.075231i,-0.059075-0.039401i,-0.060216-0.076911i,-0.065908-0.056821i,-0.028456-0.0095836i,0.023796-0.0077368i,0.029172-0.022023i,0.010644-0.0088883i,-0.0045611+0.007521i,-0.0056635+0.01516i,0.009989+0.0158i,0.023104+0.011311i,0.02149+0.0086443i,0.011+0.0078334i,0.0047071+0.0056331i,0.0039178+0.0021662i,0.0011231-0.0026064i,-0.0010851-0.0051302i
0.050627-0.0039215i,-0.059553-0.063563i,-0.26764-0.15843i,-0.3728-0.19734i,-0.25507-0.11247i,-0.073374+0.0077976i,0.015138+0.069481i,0.031924+0.07425i,0.034354+0.049223i,0.024951+0.011663i,0.0023684-0.0069414i,-0.016174+0.0033301i,-0.017288+0.014171i,-0.0062542+0.013893i,0.0041433+0.012169i,0.004215+0.012074i,-0.0023714+0.013686i,-0.0090416+0.0093246i,-0.013958-0.00022458i,-0.011887-0.002439i,-0.004206-0.0018658i,-0.00082526-0.0050477i,-0.0058465-0.0042079i
-0.031035+0.021864i,0.087752+0.022294i,0.31488-0.05971i,0.4055-0.18656i,0.25466-0.21003i,0.09563-0.12092i,0.057774-0.032232i,0.067377+0.015966i,0.059848+0.0083498i,0.013924-0.013513i,-0.017126+0.001705i,0.003652+0.01128i,0.02743-0.0018755i,0.026122-0.0053331i,0.0076783-0.0031356i,-0.013339-0.0049845i,-0.024863-0.013045i,-0.025892-0.021331i,-0.018541-0.017844i,-0.010994-0.0068425i,-0.0074097+0.001124i,-0.0045826+0.0017935i,-0.0037091-0.0032484i
-0.035995+0.0028432i,-0.031171+0.039601i,-0.030361+0.1707i,-0.012585+0.29531i,0.017448+0.24857i,0.0045293+0.11179i,-0.035348+0.034432i,-0.061924-0.0021857i,-0.075092-0.015837i,-0.053192+0.0035274i,-0.01265+0.011682i,-0.006419+0.0056217i,-0.023135+0.01178i,-0.032093+0.013198i,-0.030253+0.0077753i,-0.014869+0.0062727i,0.0087486+0.006831i,0.023258+0.0082526i,0.022961+0.0057635i,0.014078+0.00097616i,0.0070462+0.0016293i,0.0091376+0.0045487i,0.016365+0.0054058i
-0.056026+0.087793i,-0.1204+0.070331i,-0.22256-0.022135i,-0.25992-0.067669i,-0.1655-0.0153i,-0.052508+0.015575i,-0.023991-0.019848i,-0.032549-0.035703i,-0.0042339-0.0066912i,0.035139-0.0021432i,0.025466-0.027828i,-0.011457-0.031647i,-0.022362-0.019922i,-0.013941-0.012612i,-0.0030384-0.0065437i,0.0045669-0.0010819i,0.0035579+0.0053915i,0.0020416+0.0083102i,0.0013094+0.0018795i,-0.0008449-0.0066026i,-0.0017567-0.0082735i,-0.0040417-0.0037754i,-0.01085+0.001041i
0.025081-0.062839i,0.095497-0.079329i,0.22712-0.094148i,0.27935-0.14422i,0.18792-0.18063i,0.089296-0.15348i,0.064008-0.10127i,0.066011-0.06048i,0.062091-0.040168i,0.039034-0.036142i,0.013544-0.015854i,0.021847+0.014566i,0.040596+0.024327i,0.036964+0.016299i,0.019571+0.0021788i,0.0040222-0.010084i,-0.0023563-0.020312i,-0.0046441-0.022747i,-0.0057954-0.010226i,-0.0047542+0.0010511i,-0.0062851-0.00031836i,-0.0083605-0.0066074i,-0.0052654-0.012141i
-0.0051646-0.068933i,-0.029608-0.024116i,-0.080255+0.085213i,-0.097976+0.17989i,-0.046033+0.1984i,0.020134+0.17106i,0.062807+0.12709i,0.062065+0.054589i,0.013066-0.0040062i,-0.023785-0.0018436i,-0.016365+0.0085786i,-0.020901-0.0096024i,-0.047434-0.017903i,-0.050967-0.0098211i,-0.033156-0.001434i,-0.0153+0.010727i,-0.0012861+0.02564i,0.0042628+0.032487i,0.00070521+0.02626i,-0.002032+0.01547i,0.0016836+0.0080282i,0.0076616+0.0052759i,0.012393+0.008046i
-0.11645-0.064769i,-0.2148-0.083839i,-0.26149-0.091454i,-0.23513-0.07341i,-0.15449-0.011228i,-0.028479+0.047597i,0.066368+0.056417i,0.082164+0.055147i,0.061916+0.073558i,0.053769+0.064521i,0.042922+0.012652i,0.021605-0.027344i,0.01429-0.032816i,0.015222-0.023059i,0.011119-0.010031i,-0.00073126-0.003064i,-0.019539-0.0014675i,-0.028862-0.0031146i,-0.02007-0.011232i,-0.0065106-0.017297i,0.0018101-0.014182i,0.001862-0.0078855i,-0.0058567-0.0066657i
0.068656-0.0097886i,0.1589-0.0092914i,0.23332-0.03031i,0.23311-0.09299i,0.1516-0.13403i,0.040921-0.079677i,-0.025819+0.0090529i,-0.045997+0.052376i,-0.03337+0.042218i,-0.017279+0.013704i,-0.012199+0.015701i,0.0056247+0.045183i,0.027809+0.057557i,0.031523+0.044903i,0.021738+0.021718i,0.012509-0.0055987i,0.012646-0.030223i,0.018339-0.040925i,0.016256-0.030485i,0.0095615-0.013263i,0.0068962-0.005359i,0.0074385-0.0053346i,0.011391-0.0073281i
0.096997-0.030963i,0.090944-0.075891i,0.075887-0.088894i,0.078779-0.035586i,0.034847+0.046462i,-0.077659+0.093425i,-0.1562+0.094385i,-0.1404+0.041535i,-0.10061-0.025117i,-0.071588-0.039576i,-0.037382-0.025278i,-0.018025-0.033254i,-0.029045-0.045063i,-0.044507-0.033773i,-0.04025-0.013982i,-0.020461+0.0056935i,-0.0013958+0.025718i,0.0078969+0.035905i,0.0079694+0.028373i,0.0033032+0.018016i,0.0006793+0.017639i,0.0046147+0.021397i,0.010891+0.026221i
0.074255-0.073701i,0.046256-0.077106i,-0.025461-0.0026851i,-0.061154+0.088152i,-0.015532+0.067869i,0.055791-0.031723i,0.096705-0.10168i,0.078724-0.098832i,0.042853-0.029949i,0.042613+0.020481i,0.044488+0.0050276i,0.028307-0.011129i,0.021496-0.0053116i,0.018882-0.0068256i,0.012627-0.0068464i,0.0062126-0.0062962i,-0.0064215-0.014132i,-0.019749-0.018412i,-0.016991-0.016178i,-0.0055771-0.01547i,-0.0060054-0.012564i,-0.017267-0.0053922i,-0.026955-0.0011387i
-0.0095992+0.04146i,-0.060076+0.124i,-0.099558+0.19174i,-0.090755+0.15556i,-0.049272+0.074264i,0.0063916+0.032895i,0.056443+0.011603i,0.069742-0.024271i,0.034767-0.045524i,-0.0064981-0.025257i,-0.02566+0.010248i,-0.032662+0.034587i,-0.025625+0.044618i,-0.006492+0.03977i,0.0054079+0.026249i,0.015016+0.013852i,0.030856+0.00443i,0.039123-0.00017855i,0.027956+0.0034655i,0.012143+0.0080624i,0.0068348+0.0010025i,0.0030585-0.012614i,-0.0036951-0.019853i
0.073813+0.01725i,0.16042-0.094876i,0.17459-0.2363i,0.086092-0.23794i,-0.019795-0.093456i,-0.082775+0.056205i,-0.072025+0.14186i,0.0067183+0.13406i,0.047272+0.04199i,0.0099835-0.020219i,-0.012509-0.015883i,0.0012517-0.0081829i,0.0068971-0.011646i,-0.0033547-0.018455i,-0.021923-0.0185i,-0.037129+0.0054689i,-0.042061+0.038376i,-0.038931+0.051365i,-0.025639+0.040162i,-0.0098591+0.021862i,0.00063477+0.011721i,0.010557+0.0075529i,0.016801+0.0052039i
0.046572+0.15515i,0.047556+0.17825i,0.043131+0.14818i,0.05901+0.086942i,0.093466+0.0070327i,0.11981-0.057537i,0.080142-0.053685i,0.011918+0.022193i,0.0070684+0.079852i,0.038657+0.046758i,0.029994-0.013881i,0.0030596-0.034694i,-0.0024925-0.030507i,0.0057783-0.02181i,0.012905-0.019902i,0.0064018-0.032903i,-0.0090844-0.053036i,-0.015902-0.062188i,-0.01228-0.051835i,-0.0050918-0.032832i,8.7279e-05-0.01725i,0.00095972-0.0096397i,0.00022875-0.009608i
-0.073142-0.012274i,-0.15192-0.018394i,-0.22699+0.0085308i,-0.21793+0.035787i,-0.14901+0.024663i,-0.12377-0.0049734i,-0.11956-0.047533i,-0.10738-0.095257i,-0.091235-0.089606i,-0.053842-0.045369i,-0.016118-0.027252i,-0.0035905-0.027545i,-0.0044182-0.017156i,-0.0031051+0.0015774i,0.0060037+0.011881i,0.022057+0.0087606i,0.041551+0.0056629i,0.05148+0.0055055i,0.038286+0.0062937i,0.016557+0.011249i,0.0038659+0.014402i,-0.0026004+0.011363i,-0.0039929+0.0074395i
0.090095+0.040016i,0.23618+0.032932i,0.34098-0.045934i,0.28061-0.12437i,0.12055-0.10637i,0.0042684-0.032727i,-0.031026+0.028436i,-0.00048244+0.052892i,0.027954+0.027795i,0.012051+0.0071653i,-0.00068491+0.026909i,0.0023073+0.051901i,-0.00439+0.05803i,-0.010648+0.039975i,-0.012829+0.01658i,-0.02002+0.012902i,-0.029387+0.02457i,-0.033546+0.0364i,-0.022454+0.036317i,-0.0067721+0.023018i,-0.0016509+0.0081995i,-0.00057173+0.0028041i,0.0029011+0.0073763i
