0.00029476+0.0011705i,0.00011908-0.00021133i,-0.0013175-0.0018119i,-0.00080236-0.0035553i,-0.00012814-0.0026493i,-0.00037782-1.5316e-05i,-0.0012057+0.00063734i,-0.00093939+0.00049714i,0.00023818+0.00017897i,0.00094559+4.1142e-05i,0.0002639-0.00026241i,0.00019373-0.0010675i,0.00044807-0.00074895i,-0.00031391-0.00048032i,-0.00057546-0.00036367i,9.4319e-05-0.00048679i,0.00072157-0.0011998i,0.00058372-0.00087411i,0.00032039-7.3787e-05i,0.00065508+0.00027992i,0.00044104+0.00018408i,-0.00010465-5.2738e-05i,5.2326e-05-0.00055983i
0.0027205+0.0013762i,0.016499-0.0036202i,0.057916-0.028275i,0.11997-0.089561i,0.15822-0.14974i,0.15025-0.14246i,0.13807-0.06252i,0.12449+0.0021275i,0.07272+0.0018875i,0.017123-0.011493i,-0.00087774-0.0079859i,0.0034919-0.00087773i,0.0097102+0.0016297i,0.0059881-0.0026493i,-0.0051457-0.0092741i,-0.01327-0.018076i,-0.012794-0.029865i,-0.003568-0.034815i,0.005801-0.027796i,0.0066965-0.018549i,0.0022141-0.011813i,0.0041219-0.0049234i,0.014248-0.0023031i
0.0062385+0.0082042i,0.019351+0.045129i,0.038075+0.13i,0.031655+0.24027i,-0.036051+0.29673i,-0.11656+0.23601i,-0.13501+0.098199i,-0.091506-0.0070939i,-0.037055-0.028398i,-0.0060843-0.010439i,0.0053446-0.0073625i,0.0042158-0.01798i,-0.0011907-0.020191i,-0.0022176-0.010806i,-0.0037239+0.0019631i,-0.0079628+0.015723i,-0.01473+0.02652i,-0.021583+0.025293i,-0.021293+0.015437i,-0.015837+0.0061872i,-0.0099515+0.0015103i,-0.0066277-0.0022997i,-0.0092179-0.010455i
-0.013472-0.0089105i,-0.052902-0.032193i,-0.12688-0.079818i,-0.17827-0.13037i,-0.12932-0.14215i,-0.045979-0.09548i,-0.030925-0.013599i,-0.045001+0.040587i,-0.031115+0.036324i,-0.0090059+0.01507i,-0.0035263+0.013402i,-0.0038266+0.017993i,-0.0066736+0.014968i,-0.011111+0.0069983i,-0.0082317-0.0032383i,0.00010945-0.010172i,0.011778-0.0053279i,0.019129+0.0075438i,0.016696+0.013974i,0.012088+0.01016i,0.009129+0.0022108i,0.004337-0.0037393i,-0.0058348+0.00062545i
0.0020252-0.0045424i,0.017134-0.013321i,0.041869-0.044688i,0.044934-0.1146i,0.0072714-0.18536i,0.00039162-0.18857i,0.057436-0.13675i,0.08099-0.077852i,0.034529-0.027974i,-0.0064852+0.00013931i,-0.0092283+0.005329i,0.0011811+0.0015199i,0.0081137-0.0013391i,0.0049065+0.0013967i,-0.0036856+0.0066016i,-0.0085311+0.006935i,-0.0077444-0.00059541i,-0.0013662-0.010515i,0.0038083-0.014796i,0.00088095-0.013299i,-0.0052232-0.0084683i,-0.0051641-0.0011837i,0.0075097+0.0054294i
0.0053777-0.0095267i,0.027163-0.013802i,0.068603+0.0011311i,0.11825+0.072946i,0.12988+0.17498i,0.0659+0.20263i,-0.024589+0.12842i,-0.052362+0.040929i,-0.020858-0.00061749i,0.0010149-0.01051i,-0.0029893-0.012727i,-0.01242-0.012888i,-0.014385-0.0082543i,-0.0048913-0.00080288i,0.0072748+0.0042925i,0.013138+0.0094994i,0.0098723+0.011725i,0.0008259+0.0079627i,-0.0040211+0.0054546i,-0.0019674+0.0079878i,0.0031121+0.011478i,0.0076725+0.0097456i,0.010143-0.0046414i
-0.0060222+0.013933i,-0.026012+0.049305i,-0.064854+0.096266i,-0.10223+0.10143i,-0.10304+0.040701i,-0.051826-0.00077571i,-0.0033586+0.033635i,0.0017036+0.062357i,-0.0081492+0.039517i,-0.0043285+0.017318i,0.01016+0.013049i,0.016384+0.012034i,0.012638+0.010772i,0.0071069+0.004267i,0.00022457-0.0069078i,-0.0046122-0.015994i,-0.004237-0.015535i,-0.00056854-0.0058792i,0.0041325+0.0011045i,0.0069878-0.00042611i,0.0072271-0.0058227i,0.0017429-0.010415i,-0.013683-0.0065437i
-0.00011075-0.0091674i,-0.002489-0.037848i,-0.018589-0.089449i,-0.05668-0.1279i,-0.089061-0.11941i,-0.080209-0.1076i,-0.026632-0.11856i,0.016349-0.092484i,0.01923-0.030132i,0.012163-0.00051327i,0.0050859-0.006004i,0.00077942-0.01273i,0.00073132-0.014301i,-0.0021162-0.0097373i,-0.0041252-0.0022972i,-0.0025693+0.0027801i,-0.0011037+0.00373i,0.0004096-9.8158e-05i,-0.00024607-0.0039501i,-0.0045964-0.0049022i,-0.0092083-0.0041928i,-0.0098909+0.00039086i,-0.0014697+0.011683i
-0.0053495-0.002373i,-0.0042975-0.0070264i,0.022683-0.0068322i,0.10038-0.0011886i,0.17561+0.010843i,0.14335+0.02957i,0.030742+0.039687i,-0.027806+0.021173i,-0.021747-0.01147i,-0.018411-0.019716i,-0.02064-0.0042792i,-0.015759+0.0057889i,-0.0076977+0.0052129i,0.00083916+8.8658e-06i,0.0053774-0.0059899i,0.0071434-0.0094465i,0.00683-0.0093201i,0.0024377-0.0063472i,0.00069423-0.0029465i,0.0042446-0.0019631i,0.0070294-0.00017858i,0.009596+0.0026034i,0.016567-0.0052322i
0.012211+0.0013139i,0.041441+0.01145i,0.069944+0.024393i,0.049535+0.024028i,-0.023702-0.0018046i,-0.053807-0.0059464i,-0.01115+0.030586i,0.012439+0.04992i,0.0022405+0.03937i,0.0067085+0.02302i,0.019161+0.0064961i,0.020885-0.0035973i,0.014624-0.0053962i,0.00067483-0.0058413i,-0.015306-0.0046483i,-0.025815-0.0018884i,-0.027452+0.0026848i,-0.019841+0.0077939i,-0.010797+0.0055132i,-0.0066507-0.00056126i,-0.0029805-0.0025122i,1.1003e-05-0.0049929i,-0.0072974-0.0098116i
-0.013333+0.0047151i,-0.044446+0.0074996i,-0.098714+0.0095016i,-0.14021+0.017183i,-0.12545+0.033304i,-0.068349+0.014835i,-0.026943-0.04394i,-0.0065607-0.060763i,0.0081644-0.033515i,0.0032521-0.019707i,-0.014237-0.014737i,-0.020883-0.0081307i,-0.019017-0.0037312i,-0.012588+0.0056408i,-0.002091+0.014462i,0.006095+0.016547i,0.010159+0.015178i,0.009832+0.010897i,0.0048706+0.0079638i,0.0013661+0.0079137i,0.00073627+0.0022349i,-0.0044334-0.0037563i,-0.010398+0.0045788i
-0.002808-0.0069287i,0.0073403-0.010438i,0.035825-0.027666i,0.083104-0.071388i,0.10892-0.1139i,0.069386-0.091799i,0.006559-0.018635i,-0.016291+0.010505i,-0.021199-0.002564i,-0.024131+0.008044i,-0.0091867+0.023277i,0.0040371+0.017818i,0.0053896+0.0073513i,0.0066158-0.0019908i,0.0084706-0.0094274i,0.010048-0.013821i,0.0089888-0.016385i,0.0042759-0.014339i,0.0029653-0.009359i,0.0035982-0.0069487i,-0.0011001-0.0041353i,-0.0030518+0.0054779i,0.010926+0.010146i
-0.00087189-0.015959i,-0.0023435-0.038582i,-0.016151-0.063074i,-0.054519-0.041148i,-0.097735+0.033018i,-0.083708+0.083204i,-0.016329+0.07712i,0.019835+0.054888i,0.019144+0.033193i,0.023847+0.0043496i,0.021811-0.018311i,0.012493-0.021786i,0.0062347-0.015526i,-0.0017585-0.0074167i,-0.0091714+0.0013289i,-0.01463+0.0094238i,-0.01535+0.015242i,-0.010181+0.01622i,-0.0050721+0.013103i,-0.0032664+0.011552i,0.0012953+0.013806i,0.012126+0.0090305i,0.011927-0.0083611i
0.0035866+0.009785i,0.01399+0.039662i,0.02448+0.092525i,0.039906+0.12808i,0.069889+0.090273i,0.073279+0.0022067i,0.02405-0.061685i,-0.013386-0.061107i,-0.014389-0.029466i,-0.020847-0.0080414i,-0.027937+0.007561i,-0.021562+0.015453i,-0.011996+0.014753i,-0.0022537+0.012209i,0.0065629+0.0056344i,0.014211+0.00018108i,0.019791-0.00069575i,0.020485+0.00015132i,0.01868+0.0014594i,0.016929-0.0014521i,0.012634-0.012999i,-0.0023872-0.022607i,-0.022346-0.011823i
-0.0061776-0.0054364i,-0.014369-0.019255i,-0.016982-0.062195i,-0.019246-0.13606i,-0.047006-0.18061i,-0.077234-0.1296i,-0.063323-0.038958i,-0.037124-0.0080739i,-0.02692-0.0056036i,-0.0043274+0.011284i,0.020932+0.011164i,0.022167-0.00081853i,0.012604-0.0052111i,0.0038655-0.0096706i,-0.0035472-0.014987i,-0.0085288-0.020006i,-0.012686-0.023775i,-0.011511-0.021883i,-0.0052519-0.019335i,-0.005536-0.018515i,-0.014275-0.010522i,-0.015139+0.0077539i,0.0026347+0.021937i
-0.0072592-0.0035004i,-0.021729+0.0028666i,-0.047184+0.030643i,-0.056005+0.098265i,-0.022551+0.18045i,0.039095+0.19336i,0.073839+0.12771i,0.059823+0.068817i,0.034724+0.029411i,0.013708-0.010091i,-0.0054957-0.026144i,-0.010493-0.021801i,-0.0064472-0.017096i,-0.0050205-0.0089312i,-0.0065137+0.0018402i,-0.010802+0.010595i,-0.01242+0.016609i,-0.010516+0.015606i,-0.011507+0.011341i,-0.0088934+0.014326i,0.0054955+0.020116i,0.024662+0.012458i,0.030624-0.010869i
0.0089106-0.006324i,0.035983-0.020508i,0.085012-0.043053i,0.13218-0.075926i,0.12968-0.12931i,0.054334-0.1706i,-0.031244-0.13403i,-0.041192-0.055763i,-0.014697-0.010271i,-0.011809+0.013626i,-0.010292+0.031525i,-0.0015453+0.030718i,0.0011757+0.021432i,0.0021538+0.013597i,0.0049352+0.0074037i,0.010397+0.0035667i,0.016536+0.00019631i,0.016282-0.0006205i,0.011657+0.00098968i,0.010279-0.0034501i,0.0061672-0.017047i,-0.010339-0.026438i,-0.031423-0.018348i
-0.0035412+0.0055259i,-0.014662+0.013881i,-0.053782+0.0071358i,-0.13468-0.023111i,-0.21089-0.026944i,-0.20197+0.025844i,-0.11851+0.055209i,-0.058876+0.02654i,-0.034362+0.0053081i,-0.0028044-0.0033678i,0.013823-0.019418i,0.0072569-0.021666i,0.00092658-0.013097i,-0.0018211-0.0083697i,-0.0038248-0.005557i,-0.0076303-0.0055552i,-0.012742-0.0068116i,-0.012607-0.0063461i,-0.0091955-0.0062979i,-0.011609-0.0068266i,-0.019698-0.0012916i,-0.020462+0.013729i,-0.0060083+0.029216i
0.0001064-0.0027561i,0.0048741+0.0065509i,0.033404+0.040225i,0.11334+0.092955i,0.22063+0.11538i,0.26851+0.075549i,0.21966+0.017929i,0.13277-0.0065343i,0.059052-0.013975i,0.0049665-0.018279i,-0.019301-0.0095493i,-0.018097-0.0040384i,-0.011991-0.0066832i,-0.0069934-0.0068239i,-0.0047715-0.0039526i,-0.0054288+0.0038327i,-0.0058495+0.013177i,-0.0065182+0.017617i,-0.0058018+0.018585i,0.0015232+0.020201i,0.015599+0.019674i,0.029061+0.0086689i,0.035326-0.012081i
-0.0056647-0.0059474i,-0.019666-0.029028i,-0.042759-0.078453i,-0.077929-0.14851i,-0.13096-0.19885i,-0.17519-0.17924i,-0.15571-0.10139i,-0.080729-0.041025i,-0.022114-0.016538i,0.0036148+0.0078989i,0.021596+0.021336i,0.026546+0.015369i,0.019804+0.01072i,0.013377+0.009182i,0.0091677+0.0043198i,0.011383-0.0035812i,0.017136-0.0095674i,0.019534-0.0070384i,0.019299-0.0012143i,0.015683-0.0039059i,0.005761-0.011907i,-0.0085994-0.014776i,-0.024161-0.012539i
0.0051904-0.0037436i,0.015758+0.0035117i,0.0064479+0.034613i,-0.043153+0.10854i,-0.08933+0.19935i,-0.07474+0.22946i,-0.045002+0.16721i,-0.044694+0.086383i,-0.036483+0.041466i,-0.01628+0.0077759i,-0.013283-0.014251i,-0.013088-0.012929i,-0.0065349-0.0075454i,-0.0040316-0.0055126i,-0.0048146-0.0048333i,-0.0079771-0.0061824i,-0.011538-0.0079833i,-0.010156-0.011053i,-0.0069032-0.0155i,-0.0091085-0.015201i,-0.012149-0.0053297i,-0.0085794+0.0098946i,-0.0015727+0.023597i
-0.00057034-0.0031955i,0.0081422-0.00092485i,0.052743-0.016102i,0.14578-0.078026i,0.23024-0.1702i,0.22632-0.22246i,0.14852-0.18633i,0.072748-0.10251i,0.022658-0.041681i,-0.0069846-0.009209i,-0.012598+0.0087409i,-0.0095804+0.0080108i,-0.010735-0.00022049i,-0.012573-0.0032613i,-0.013471+0.00022707i,-0.011247+0.010122i,-0.0071806+0.019631i,-0.0058503+0.020908i,-0.0059459+0.016735i,-0.00051335+0.012452i,0.0091812+0.0048602i,0.015854-0.007927i,0.020678-0.019808i
-0.0027809-0.0035215i,-0.021769+0.0048817i,-0.072203+0.022259i,-0.15293+0.040937i,-0.23148+0.051219i,-0.24918+0.06354i,-0.17552+0.064906i,-0.077576+0.035606i,-0.022307+0.0077045i,0.0051522-0.0005506i,0.018365-0.0078127i,0.014498-0.011114i,0.0099196-0.0056062i,0.010375-6.3264e-05i,0.011577+0.0010854i,0.012639-0.0056931i,0.013582-0.013607i,0.015431-0.013711i,0.015571-0.0096544i,0.010025-0.0069127i,0.0013284-0.0042996i,-0.0079181-0.00034917i,-0.017203-0.00040611i
-0.0037603-0.01166i,0.0024633-0.024083i,0.02405-0.024219i,0.073522+0.03064i,0.13922+0.12608i,0.17309+0.17212i,0.13263+0.1415i,0.0604+0.093989i,0.022917+0.053147i,0.0059892+0.017474i,-0.00881+0.0025834i,-0.0083473+0.0017437i,-0.004271+0.00087214i,-0.0041726-0.0013394i,-0.0043397-0.0052361i,-0.0078655-0.0058182i,-0.01383-0.0041852i,-0.017999-0.0063259i,-0.017716-0.0093709i,-0.014467-0.0066361i,-0.0089455-0.00054777i,-0.0013878+0.0059693i,0.0033148+0.015307i
0.0055126-0.0021083i,0.015522-0.011434i,0.021005-0.058139i,0.0020235-0.16583i,-0.040355-0.28618i,-0.070842-0.31005i,-0.0594-0.222i,-0.023526-0.11423i,-0.0053117-0.044787i,-0.0027304-0.0066426i,0.0029306+0.0078508i,0.0016961+0.0059709i,-0.0060834+0.0037424i,-0.0095013+0.0048803i,-0.0072823+0.0074472i,-0.00068291+0.012348i,0.0071717+0.018375i,0.0082216+0.022395i,0.004143+0.022782i,0.0035575+0.014708i,0.0024801+0.00026266i,-0.0004607-0.011563i,0.0032258-0.015396i
-0.001492+0.006825i,0.0016176+0.025498i,0.0066075+0.076062i,-0.0019647+0.14751i,-0.041069+0.20533i,-0.079215+0.20581i,-0.070278+0.13645i,-0.037828+0.048956i,-0.019151+0.0029185i,-0.0067999-0.0071464i,-0.0011476-0.0091473i,0.0014816-0.0051521i,0.0090274-0.0021412i,0.013652-0.0048151i,0.013028-0.0099617i,0.007125-0.017687i,0.00091451-0.022505i,0.0023687-0.020752i,0.0078728-0.01567i,0.0089441-0.0098205i,0.0040511-0.00063877i,-0.0020265+0.0076643i,-0.0061805+0.0046879i
-0.0057017-0.00084855i,-0.020384-0.0094368i,-0.030419-0.026392i,0.012465-0.042069i,0.12041-0.047661i,0.20179-0.04553i,0.17053-0.028601i,0.085764-0.0012151i,0.033025+0.0067451i,0.0069994-0.0006588i,-0.0048287-0.00086049i,-0.0023344-0.0018395i,0.00051359-0.0052021i,-0.0018521-0.0055505i,-0.007009-0.003611i,-0.012906+0.0013126i,-0.017328+0.0061996i,-0.018407+0.006252i,-0.015114+0.0032685i,-0.0088915+0.0021849i,0.00030419+0.0022752i,0.010034+0.0027715i,0.011322+0.0047856i
-0.0015524-0.0072737i,-0.0054532-0.018655i,-0.034373-0.041296i,-0.11184-0.072592i,-0.21158-0.10291i,-0.24358-0.10699i,-0.17464-0.077578i,-0.082042-0.0465i,-0.032663-0.024338i,-0.0088433-0.0060483i,0.0055794-0.00036477i,0.0030478-0.00071318i,-0.0045681+0.0022993i,-0.0086831+0.0064665i,-0.0068263+0.010901i,0.0034094+0.013311i,0.015352+0.014192i,0.019918+0.015651i,0.017177+0.013144i,0.0101+0.0057587i,0.0011603-0.0030015i,-0.0052031-0.0089146i,-0.0042864-0.0089835i
0.0085129+0.002729i,0.032109+0.0071567i,0.080898+0.018245i,0.13026+0.04991i,0.14154+0.11661i,0.10269+0.1648i,0.041553+0.13455i,-0.0027194+0.072112i,-0.01134+0.034518i,-0.0024498+0.014693i,0.0022866+0.0048413i,0.0057504+0.0016006i,0.0077292-0.0047401i,0.006421-0.0088402i,0.0025964-0.0097184i,-0.0034624-0.010976i,-0.0062671-0.012083i,-0.0052681-0.013309i,-0.0042694-0.013269i,-0.0038339-0.0087936i,-0.0030187-0.00090252i,-0.0031218+0.00424i,-0.0052431+0.001954i
0.0006759+0.003876i,-0.012455+0.018379i,-0.024682+0.038848i,-0.0017317+0.017821i,0.05923-0.078548i,0.091019-0.15902i,0.070536-0.12685i,0.045164-0.049199i,0.025403-0.013232i,0.0034153-0.0036574i,-0.0078273+0.0010516i,-0.010069-0.0020554i,-0.0098084-0.0041429i,-0.0072368-0.0028513i,-0.0049595-0.00062938i,-0.0025731+0.0046272i,-0.0021036+0.0093047i,-0.0051226+0.010261i,-0.0068861+0.0087793i,-0.0041988+0.0056622i,0.0013746+0.0019623i,0.0063275+1.0521e-05i,0.0063603+0.0014927i
-0.00033004-0.0015335i,-0.0084013-0.0088181i,-0.034673-0.016968i,-0.10078-0.00089258i,-0.19048+0.047939i,-0.21509+0.076827i,-0.14622+0.048079i,-0.072751+0.004706i,-0.036362-0.0063918i,-0.012771-0.0037829i,-0.00041862-0.0060843i,0.00048472-0.0016048i,-0.00015412+0.0064792i,0.00083329+0.010465i,0.0050873+0.0089433i,0.010764+0.00067096i,0.015472-0.0067941i,0.017283-0.0078067i,0.014067-0.0054699i,0.007504-0.003205i,0.0010547-0.0034403i,-0.0023703-0.0040992i,0.0013383-0.0022717i
0.0075101-0.011056i,0.01568-0.031831i,0.037388-0.06657i,0.083966-0.085336i,0.15279-0.052357i,0.18278+0.012638i,0.13273+0.048875i,0.066204+0.042417i,0.033759+0.017153i,0.017716-0.0025203i,0.0086453-0.0065098i,0.006772-0.006826i,0.005048-0.0086893i,0.0037678-0.0087987i,0.00076406-0.010484i,-0.0066179-0.011684i,-0.013108-0.010966i,-0.014192-0.0086662i,-0.010918-0.0042753i,-0.0059738-0.00011619i,-0.0034199+0.0018918i,-0.0045898+0.0017802i,-0.0057691-0.00016887i
0.0073569-0.0011772i,0.021201+0.015935i,0.04546+0.029024i,0.048616-0.0065892i,-0.0030353-0.09496i,-0.054948-0.15255i,-0.044194-0.12066i,-0.0097008-0.059073i,-0.0014117-0.022361i,-0.0073041+0.00051342i,-0.0084145+0.012244i,-0.0077645+0.012541i,-0.0061595+0.0064168i,-0.0064737-0.00049645i,-0.0082243-0.0011018i,-0.0070153+0.0027531i,-0.0053224+0.0074755i,-0.0038944+0.010666i,-0.00068337+0.0098902i,0.0027032+0.0057108i,0.0045852+0.0013949i,0.005074+0.00044014i,0.0039018+0.0023631i
-0.0057565-0.00363i,-0.024105-0.00019282i,-0.066009+0.026978i,-0.10596+0.1044i,-0.10466+0.19728i,-0.082968+0.21098i,-0.071172+0.12887i,-0.060369+0.051714i,-0.037269+0.02508i,-0.014431+0.011376i,-0.0045837-0.00029674i,0.00055009-0.0035974i,0.0046472-0.0018288i,0.0050855+0.0018817i,0.0023714+0.0020505i,-0.00021126-0.00058415i,8.3303e-05-0.0033437i,0.0012133-0.0049133i,0.0013055-0.0045406i,0.00084433-0.0050611i,4.0753e-05-0.0052353i,0.001295-0.0052495i,0.0055564-0.0078725i
-0.0034884-0.0056477i,-0.012674-0.015998i,-0.017355-0.043644i,0.0067306-0.097785i,0.065214-0.15569i,0.11031-0.15343i,0.1004-0.090153i,0.061294-0.041628i,0.025078-0.027788i,0.0043923-0.020048i,0.00060037-0.013482i,-0.00062772-0.012589i,-0.0032575-0.012066i,-0.0035438-0.010629i,-0.0038353-0.0072786i,-0.0053094-0.00033696i,-0.0062302+0.00585i,-0.004923+0.0079893i,-0.0023148+0.0064205i,-0.0012791+0.0026253i,-0.0031685+0.00045218i,-0.007332+0.00033754i,-0.011383+0.0013044i
0.0028796-0.0036785i,0.024715-0.017572i,0.046008-0.04423i,0.020789-0.068478i,-0.07003-0.065683i,-0.13025-0.044097i,-0.095279-0.028007i,-0.037456-0.014953i,-0.0071939-0.00098836i,0.0054309+0.0079375i,0.0097674+0.012008i,0.0073017+0.011577i,6.8741e-05+0.0079078i,-0.0049177+0.00657i,-0.0028687+0.0070646i,0.0034194+0.0071234i,0.008666+0.0073282i,0.011268+0.0067249i,0.0098718+0.0037163i,0.0055292+0.00090532i,0.0036446+0.0016491i,0.0047785+0.0046568i,0.0063649+0.0079853i
-0.0024678+0.0099525i,-0.0031188+0.038598i,0.014302+0.10063i,0.072386+0.17311i,0.14048+0.2063i,0.13737+0.17889i,0.063456+0.12466i,0.012273+0.078393i,0.0040187+0.040679i,0.00062288+0.013556i,-0.0045178+0.0013289i,-0.0039097-0.0027051i,0.00054462-0.0026493i,0.0047178-0.00034512i,0.0070553+0.0014794i,0.0064407-0.00087521i,0.003929-0.0059521i,0.0019462-0.0080326i,-1.0141e-05-0.005803i,-0.0010828-0.0028755i,3.3783e-05-0.0031904i,0.0021533-0.0070341i,0.0034389-0.012011i
-0.0071929-0.0009181i,-0.015541-0.008649i,-0.04337-0.038461i,-0.092295-0.098486i,-0.1245-0.15895i,-0.09475-0.16714i,-0.037861-0.11998i,-0.017679-0.066863i,-0.023842-0.030709i,-0.022097-0.011678i,-0.014447-0.0067719i,-0.010502-0.0042298i,-0.0075338-0.0024963i,-0.0052418-0.0037559i,-0.004642-0.0055916i,-0.0041045-0.0054231i,-0.0037439-0.0045256i,-0.0037951-0.004983i,-0.0031424-0.0035692i,-0.0025297+0.00019623i,-0.0037836+0.0025034i,-0.0062317+0.0048202i,-0.0079442+0.0073874i
-0.005817-0.0041356i,-0.014627-0.021884i,-0.032349-0.040048i,-0.050586-0.025334i,-0.059088+0.030376i,-0.062494+0.064342i,-0.047116+0.044075i,-0.014335+0.013104i,0.0070198-0.0028807i,0.013657-0.0060862i,0.016503-0.0032644i,0.015-0.0002981i,0.0090087+0.0038681i,0.005184+0.0058397i,0.0022397+0.0017465i,-0.00038646-0.0033001i,-0.00037207-0.0048526i,-5.6279e-07-0.0034269i,0.0003754-0.0011428i,0.0013646-0.00014498i,0.0038474-0.00032386i,0.0079712+0.0001119i,0.011724+0.0021229i
0.011795+0.001087i,0.042396+0.0055555i,0.11068+0.006066i,0.19446-0.016665i,0.23232-0.051015i,0.19859-0.041551i,0.12641-0.0010055i,0.063271+0.015938i,0.029215+0.012577i,0.012459+0.0088316i,0.0017018+0.0062949i,-0.0030034+0.0029506i,-0.0023078-0.00095401i,0.00060962-0.0038771i,0.0019292-0.003428i,-0.00070653-0.0017873i,-0.0050703+0.00056075i,-0.005775+0.0028157i,-0.0016105+0.0029827i,0.0020912+0.00099914i,0.0002879-0.0030366i,-0.0045728-0.0074169i,-0.0074735-0.011502i
-0.0024392+0.0018835i,-0.023446+0.012517i,-0.078491+0.037502i,-0.15452+0.071757i,-0.19781+0.074823i,-0.17106+0.029662i,-0.1072-0.0076515i,-0.057803-0.00318i,-0.031145+0.010778i,-0.018171+0.011988i,-0.010345+0.008568i,-0.0039273+0.004007i,-0.0012726-0.0017501i,-0.003194-0.0037488i,-0.0053882-0.0015853i,-0.0056686+0.0021284i,-0.0065054+0.0059336i,-0.0059364+0.0070614i,-0.0041924+0.0048353i,-0.0030886+0.0022211i,-0.0013741+0.0038714i,-0.00022535+0.007923i,-0.0009721+0.0098866i
-0.0010065+7.8145e-05i,-0.007679+0.00040657i,-0.0086587-0.0012279i,0.0053353-0.0022329i,0.02406+0.0099463i,0.023698+0.028846i,0.008216+0.020712i,-0.00073245-0.0071814i,-0.003525-0.022615i,-0.0020008-0.021604i,0.0029622-0.017708i,0.0049117-0.012923i,0.003832-0.0065292i,0.0017098-0.0021477i,-0.0012795+0.00088648i,-0.00053319+0.0029302i,0.0026967+0.0037586i,0.0034968+0.0031601i,0.0020348+0.00072966i,0.0011216-0.001881i,0.0014145-0.0041127i,0.0027092-0.0046574i,0.0063757-0.0037712i
0.0038154-0.011771i,0.012137-0.038362i,0.025816-0.096397i,0.035364-0.16059i,0.040237-0.18443i,0.042072-0.15089i,0.034369-0.084793i,0.021427-0.031533i,0.013672-0.010295i,0.0089296-0.0056179i,0.0038071-0.00081924i,0.00054941+0.0019384i,-0.001581+0.00039411i,-0.0018773-0.0011026i,0.00077194-0.001335i,0.0038796-0.00098724i,0.0059473-0.00091465i,0.0065205-0.0012326i,0.0050346-0.0014505i,0.0021039-0.001571i,-0.0027628-0.00010762i,-0.0069003+0.0019525i,-0.0095199+0.00054413i
0.0028607+0.0068697i,0.013369+0.034821i,0.034188+0.096753i,0.050409+0.16744i,0.029609+0.185i,-0.015858+0.13588i,-0.032557+0.076162i,-0.016936+0.041436i,-0.0042876+0.024803i,-7.8557e-05+0.017693i,0.0019002+0.010147i,-0.00010858+0.0014585i,-0.0030289-0.0027342i,-0.004127-0.0032296i,-0.002541-0.002097i,-9.1274e-06-0.0020463i,0.0012738-0.0021634i,0.0012528-0.00013242i,0.0010917+0.0025671i,0.0011421+0.0037841i,0.0041037+0.0036176i,0.0084834+0.0032203i,0.0087342+0.0044357i
-0.0040077-0.0044753i,-0.012656-0.010355i,-0.033277-0.02684i,-0.054034-0.04731i,-0.042846-0.049197i,-0.010851-0.022668i,-0.0014359-0.0035797i,-0.013792-0.005157i,-0.021706-0.0056277i,-0.019161-0.0048727i,-0.01392-0.0055016i,-0.0083681-0.0041026i,-0.0036895-0.00049172i,-0.0014665+0.001836i,0.00044512+0.0010438i,0.0024035-0.0020564i,0.0021792-0.0056509i,0.00041111-0.0057269i,-0.00092497-0.002587i,-0.0012906-0.0016344i,-0.0015961-0.003397i,-0.0011576-0.0050198i,0.0028378-0.0057555i
-0.0050861-0.0047797i,-0.021856-0.012173i,-0.049082-0.031518i,-0.074646-0.057567i,-0.083836-0.076755i,-0.064609-0.072806i,-0.026605-0.043168i,0.0025594-0.015527i,0.009506-0.0089138i,0.0033686-0.0061284i,0.0021675+0.0012405i,0.0050437+0.0046056i,0.0055812+0.0020522i,0.0043551-0.00062427i,0.0011015-0.0031624i,-0.0036228-0.0049945i,-0.0061977-0.0042555i,-0.0046171-0.0038553i,-0.0012899-0.0042538i,0.0013065-0.0025076i,0.001031+0.00071764i,-0.0015942+0.0027471i,-0.0048755+0.0031817i
0.0049261-0.0033516i,0.03293-0.011292i,0.091801-0.021344i,0.14896-0.018478i,0.1487+0.01141i,0.09599+0.035928i,0.047025+0.027095i,0.022137+0.011338i,0.014082+0.0081351i,0.01366+0.0062817i,0.0082789+0.0003583i,0.00023686-0.0019171i,-0.0042914-0.0010427i,-0.0061229-0.00058125i,-0.0056865-1.0362e-05i,-0.0050474+0.0015858i,-0.0046557+0.0037122i,-0.0035902+0.003164i,-0.0018226+0.00059236i,0.00050071-0.0015097i,0.0019401-0.0036609i,0.0017037-0.0040048i,0.0015617-0.0015855i
-0.0076186+0.0035944i,-0.021761+0.022134i,-0.050131+0.056066i,-0.075099+0.08417i,-0.063968+0.068519i,-0.029639+0.024556i,-0.01835+0.0026963i,-0.019992+0.005941i,-0.015969+0.0090442i,-0.01121+0.0077904i,-0.006499+0.0064009i,-0.001195+0.0039247i,0.0045032+0.0017152i,0.0080121-0.00063256i,0.0067481-0.00091338i,0.0036511+0.00053807i,0.0014122+0.0015344i,0.00016118+0.0030505i,0.00060995+0.0041297i,0.00048987+0.0035102i,-0.0019491+0.0032153i,-0.0025916+0.0020716i,-0.0010904-0.0020228i
