-0.0012301-0.00029107i,-0.0017755-0.00036694i,-0.0031936-0.00012842i,-0.0036953-0.00094235i,-0.0043719-0.00045333i,-0.0038176+0.0021677i,-0.0017393+0.002674i,0.00024442+0.0011806i,0.0010655+0.00031209i,0.0011328+0.00090876i,0.00094521+0.00077516i,0.00031095-5.573e-05i,-0.00043592+0.00058846i,-0.00042992+0.00075653i,0.00018995-0.0006393i,0.00017675-0.00091628i,-0.0003106-2.214e-05i,-0.00036251-4.0783e-05i,-0.00027465-0.00020425i,-0.0002356+0.0002161i,0.00054664+3.46e-05i,0.00090086-0.00019737i,0.00029812-0.00049408i
0.00044596+0.025868i,0.0029116+0.0080937i,0.0024361-0.057713i,0.0046838-0.11155i,0.010558-0.087934i,0.020478-0.037723i,0.025516-0.018423i,0.021203-0.0082561i,0.014263+0.007094i,0.0088529+0.01451i,0.0032585+0.010294i,-0.0035025+0.003623i,-0.0060453+0.0024001i,-0.0022881+0.0054827i,0.0017832+0.0081186i,0.0042081+0.0080978i,0.0060825+0.0065135i,0.0055133+0.0048917i,0.0025942+0.0031015i,3.7491e-05+0.0021176i,0.00013362+0.0024073i,-8.5523e-05+0.0014732i,-0.0022782+0.00019021i
-0.011746-0.022662i,-0.003163-0.006085i,0.026682+0.050852i,0.047462+0.090206i,0.035488+0.060608i,0.011476+0.01246i,0.0036625-0.0054853i,0.0043651-0.01199i,-0.00068815-0.014364i,-0.0053498-0.01063i,-0.0074771-0.0083817i,-0.0086381-0.0042414i,-0.0072689-0.0013623i,-0.0066216-0.0016967i,-0.0064516-0.00071769i,-0.0042893-0.0012075i,-0.0027283-0.0028777i,-0.0024995-0.002164i,-0.0013463-0.00037838i,-0.00077683+0.0016518i,-0.0020823+0.0026512i,-0.0033095+0.0026268i,-0.0030774+0.0021493i
0.016774+0.023482i,-0.001851+0.02008i,-0.060158-0.010216i,-0.10539-0.033503i,-0.08829-0.024011i,-0.050383-0.0093937i,-0.038648-0.010703i,-0.031486-0.014929i,-0.012075-0.017587i,0.0009775-0.01416i,0.0042543-0.0023092i,0.0069461+0.0053957i,0.0071559+0.0049112i,0.0042476+0.003781i,0.0015451+0.0055179i,-0.00024294+0.0077007i,-0.0012778+0.0078955i,-0.001282+0.0055772i,-0.0010103+0.0026066i,-0.00030364-0.00029669i,0.0002186-0.0018766i,0.0016058-0.0014683i,0.0042737-0.0013598i
-0.021951-0.019718i,0.00066357-0.030175i,0.077797-0.027505i,0.13269-0.014741i,0.09255-0.0003368i,0.025316+0.01328i,-0.00088951+0.020572i,-0.010861+0.019964i,-0.019008+0.018247i,-0.014577+0.012524i,-0.0047099+0.0042941i,0.0016806-7.1205e-05i,0.0021642-0.0022662i,-0.0013066-0.003449i,-0.0064474-0.0057673i,-0.011846-0.0067508i,-0.01329-0.0045925i,-0.010266-0.0034134i,-0.0054857-0.0027029i,-0.0019469-0.0017856i,-0.00010733-0.0014883i,0.0014487-0.00097795i,0.0027012+0.00020491i
0.035424+0.018456i,0.022553+0.039666i,-0.04529+0.067138i,-0.097287+0.071099i,-0.062864+0.038271i,-0.0080009+0.009445i,0.014229+0.012832i,0.023029+0.022197i,0.02334+0.01458i,0.014841+0.0020725i,0.0077279-0.0057624i,0.0026244-0.0081125i,0.0016783-0.0056322i,0.0055336-0.0049912i,0.007116-0.0062573i,0.0069047-0.0060807i,0.006781-0.0051563i,0.0050222-0.003629i,0.0027963-0.0010682i,0.0019836+0.00050699i,0.0016796-1.3226e-05i,0.00038017-0.0010083i,-0.001598-0.0017081i
-0.034452-0.0097334i,-0.039224-0.046916i,0.0031406-0.11825i,0.04575-0.16241i,0.04088-0.12732i,0.02877-0.060768i,0.035389-0.025132i,0.037806-0.01103i,0.026778+0.0025501i,0.010273+0.0092618i,-0.0047947+0.0075557i,-0.011631+0.0048024i,-0.011294+0.0038636i,-0.0096145+0.005078i,-0.0041006+0.0064924i,0.0018411+0.0037137i,0.0015246-0.0020063i,-0.0014328-0.004109i,-0.0018652-0.0014918i,-0.00065296+0.0010131i,0.00066626+0.0031247i,0.0013768+0.0050767i,-1.6436e-05+0.0044613i
0.043134-0.0047828i,0.068069+0.034874i,0.058357+0.12126i,0.024051+0.17511i,8.3502e-05+0.12631i,-0.015781+0.041563i,-0.022946-0.004293i,-0.020434-0.026721i,-0.019091-0.036955i,-0.014925-0.026802i,-0.0063686-0.009635i,-0.0020923-0.00078683i,-0.0014833+0.0010527i,-7.352e-05+0.0015378i,0.002564+0.0021726i,0.0062973+0.0024415i,0.0082994+0.0020868i,0.0073721+0.0021683i,0.0039734+0.0023874i,0.00036274+0.0024582i,-0.0023197+0.0015478i,-0.0033144+0.0010183i,-0.0018041+0.00021399i
-0.044823+0.016612i,-0.087322-0.008383i,-0.11496-0.075867i,-0.10545-0.11591i,-0.073432-0.077706i,-0.043798-0.024439i,-0.039516-0.0097866i,-0.04388-0.0043262i,-0.027696+0.0051111i,-0.0049331+0.0066997i,0.0055822+0.0058015i,0.0085007+0.00498i,0.0084785+0.0036454i,0.0049015+0.0030691i,-0.0019005+0.0025575i,-0.0074926+0.0030054i,-0.009366+0.0051692i,-0.0084919+0.00608i,-0.0056153+0.0035616i,-0.0025849-0.00019738i,-0.00074517-0.0014834i,0.0017452-0.0010822i,0.0035942-0.00029692i
0.036598-0.038952i,0.095107-0.039941i,0.16736-0.00071845i,0.19113+0.040197i,0.13522+0.040854i,0.053084+0.027511i,0.011112+0.027679i,-0.00070249+0.028509i,-0.0092489+0.023056i,-0.011278+0.012697i,-0.0081301-0.0011624i,-0.0041291-0.0080737i,-0.00092695-0.0096628i,-0.0029698-0.01111i,-0.0081603-0.0093802i,-0.0093914-0.0053212i,-0.0060294-0.0035023i,-0.0028825-0.0036266i,-0.00021163-0.0027817i,0.0013886-0.0011261i,0.00063308-0.00070016i,-0.0011407-0.00064283i,-0.002779+0.00056632i
-0.0303+0.047495i,-0.091191+0.071938i,-0.18237+0.057319i,-0.22014+0.012863i,-0.15062-0.020133i,-0.047483-0.020712i,0.014128-0.0003483i,0.044555+0.014779i,0.050318+0.0079174i,0.030005-0.0028769i,0.0095777-0.0028681i,0.0019232-0.0020988i,0.00046262-0.0024479i,0.0017358-0.00080155i,0.0029648-5.1999e-05i,-8.492e-05-0.001944i,-0.0051729-0.0023201i,-0.0068531-0.00024602i,-0.0042502+0.0010291i,-0.00065106+0.00033902i,0.0015955-0.0010827i,0.001593-0.0016834i,0.0012746-0.0019543i
0.0025309-0.056431i,0.042917-0.10831i,0.11426-0.14204i,0.14656-0.13216i,0.099801-0.086516i,0.047625-0.036787i,0.031526-0.014444i,0.018356-0.016331i,0.00035389-0.013325i,-0.0058058-0.0020842i,-0.0044159+0.0050195i,-0.0077044+0.006691i,-0.011669+0.008728i,-0.0082297+0.010789i,0.00017769+0.0070933i,0.0076337-0.00047192i,0.010131-0.0069651i,0.00808-0.0087199i,0.0049716-0.0053841i,0.0026421-0.00013227i,0.00061026+0.0035914i,0.00086998+0.0034997i,0.0018346+0.00084406i
0.018984+0.063008i,0.012004+0.14095i,-0.026725+0.22283i,-0.055099+0.24432i,-0.042704+0.17526i,-0.031742+0.072633i,-0.035004+0.0089098i,-0.032219-0.015996i,-0.023554-0.022371i,-0.012548-0.016739i,-0.0016382-0.010355i,0.0028198-0.0057444i,0.0045764-0.0012337i,0.0059746-0.00038247i,0.0034958-0.00074927i,0.00039073+0.0026075i,0.00109+0.0065359i,0.0019934+0.007017i,0.00056257+0.0055561i,-0.0008296+0.0037222i,-0.0010586+0.0012147i,-0.0010723-0.00075911i,-0.00076473-0.0017708i
-0.039589-0.057623i,-0.062185-0.13896i,-0.045611-0.23241i,-0.0072064-0.25425i,0.0098638-0.17415i,0.0043783-0.074193i,-0.014381-0.022933i,-0.031262+0.0043898i,-0.024143+0.025624i,-0.0061838+0.02406i,-0.00077786+0.011874i,-0.00047032+0.0072728i,0.0026513+0.0061709i,0.0021335+0.0039043i,-0.0012437+0.0035472i,-0.0010287+0.0016345i,-0.00050876-0.0017463i,-0.0019544-0.002276i,-0.002051-0.0028919i,-0.00029043-0.0042154i,0.00014601-0.0017159i,-0.00102+0.0022447i,-0.0013632+0.0044184i
0.057158+0.039104i,0.11244+0.097894i,0.1416+0.16405i,0.12182+0.16817i,0.07399+0.10605i,0.030235+0.051731i,0.016965+0.032218i,0.023191+0.01676i,0.018201-0.00051503i,0.0043613-0.0042122i,-0.0037576-0.002148i,-0.004856-0.0055033i,-0.0044641-0.012682i,-0.0077721-0.015296i,-0.0092332-0.0095493i,-0.0070004-0.001511i,-0.006377+0.0040751i,-0.0052811+0.0061321i,-0.0024641+0.0058213i,-0.00096274+0.0044664i,-0.00035183+0.0014979i,0.00063464+0.00028269i,0.00096511+0.0010479i
-0.073313-0.011008i,-0.16574-0.037164i,-0.25213-0.076407i,-0.27011-0.089593i,-0.19843-0.070328i,-0.087298-0.04168i,-0.0093004-0.011656i,0.024043+0.0063556i,0.029874+0.0009242i,0.018416-0.0097275i,0.0093492-0.0067728i,0.0063768+0.00054821i,0.0030159+0.0051299i,0.0030657+0.0066129i,0.0040037+0.00093958i,1.666e-05-0.0077188i,-0.0054034-0.010603i,-0.0074864-0.0073953i,-0.0052983-0.0030576i,-0.0012458-0.00027179i,0.0011127+0.00070606i,0.0015264-0.00059551i,0.0029696-0.00098338i
0.072756-0.021716i,0.17063-0.028907i,0.26615-0.016353i,0.27874+0.0013352i,0.19448+0.0079351i,0.091915+0.0050512i,0.032702-0.0084199i,0.0015051-0.022311i,-0.016574-0.019413i,-0.016093-0.006106i,-0.0095259-0.00064774i,-0.0094437+4.1811e-05i,-0.010527+0.003463i,-0.0077523+0.0056553i,-0.0042612+0.0040034i,-0.00065377+0.0027739i,0.0027864+0.0030683i,0.0037164+0.0013325i,0.0023445-0.00092004i,-0.00044217-0.00045935i,-0.0023264+0.00053632i,-0.0025166+0.00047542i,-0.0035359-0.00067604i
-0.064265+0.0455i,-0.13652+0.093958i,-0.1893+0.12895i,-0.15927+0.12497i,-0.083385+0.083675i,-0.046818+0.031601i,-0.044618+0.0044247i,-0.032978+0.0053251i,-0.014757+0.013071i,-0.003432+0.013638i,0.00047242+0.0067949i,0.0043963+0.0019173i,0.011879-0.00062218i,0.014413-0.0018091i,0.0091717-0.0012082i,0.0041676-0.0016325i,0.0020866-0.0035928i,0.00069459-0.0046255i,-0.00097077-0.0027287i,-0.00034062-0.0011333i,0.0010046-0.0012632i,0.00024582-0.00091756i,-0.0015026+0.00096039i
0.040484-0.070499i,0.083785-0.16184i,0.11168-0.25424i,0.085279-0.27845i,0.038183-0.20744i,0.016735-0.098214i,0.0032703-0.028323i,-0.013753-0.00074817i,-0.012507+0.011959i,0.0010472+0.013148i,0.0038757+0.010251i,-0.0023702+0.0071323i,-0.0074364+0.0033667i,-0.009023+0.0039315i,-0.0049151+0.0066473i,0.0030985+0.0051296i,0.0055263+0.0013454i,0.0021188+0.00026246i,0.00057191+0.0013812i,0.00093686+0.0030573i,-0.0014102+0.0047276i,-0.002286+0.0048093i,-0.00049272+0.0039774i
-0.0086844+0.07709i,-0.02042+0.18209i,-0.034918+0.2781i,-0.040367+0.28904i,-0.038405+0.21218i,-0.022915+0.12448i,0.012454+0.072432i,0.038469+0.032801i,0.031608-0.0017425i,0.010971-0.014185i,0.0025508-0.012803i,0.0025304-0.011352i,0.00016004-0.011462i,-0.002965-0.011271i,-0.004278-0.0089853i,-0.0065875-0.0049206i,-0.0082425-0.0010683i,-0.0069239+0.0018634i,-0.0041048+0.0034562i,-0.002118+0.003153i,-0.00095106+0.0020634i,0.0017509+0.00070565i,0.0052977+5.9631e-05i
-0.021013-0.073179i,-0.056371-0.15539i,-0.096796-0.201i,-0.11062-0.15561i,-0.079013-0.080252i,-0.031585-0.045394i,-0.0039467-0.028685i,0.0061762-0.013789i,0.0033352-0.014151i,-0.0053941-0.01683i,-0.0067289-0.010112i,-0.0045442-0.00017871i,-0.0020192+0.0098368i,0.0020326+0.01124i,0.001385+0.0042508i,-0.0022856+0.00086583i,-0.0023295+0.0027826i,-0.0010827+0.0040364i,-0.0015711+0.0015293i,-0.0017054-0.00016911i,-0.00062203-7.7638e-05i,-0.00082928-0.00035893i,-0.0028401+0.00030973i
0.054412+0.061744i,0.13973+0.11573i,0.2432+0.12316i,0.2901+0.050143i,0.2339-0.026445i,0.12616-0.041298i,0.04923-0.037221i,0.013559-0.037332i,-0.0018668-0.019764i,-0.0044433+0.00091518i,-0.005081+0.004095i,-0.0048037-0.0010317i,-0.00032841-0.0082845i,0.00094216-0.01099i,-0.0011446-0.0068057i,-0.0026169-0.0030749i,-0.0029603-0.0029226i,-0.0020165-0.0046025i,-0.00050082-0.0050275i,0.00038416-0.0053722i,-0.00035182-0.0056517i,-0.00026874-0.0044298i,0.00079435-0.0054534i
-0.068922-0.035054i,-0.16707-0.066494i,-0.25806-0.076461i,-0.26729-0.056153i,-0.19566-0.035989i,-0.11885-0.028504i,-0.079552-0.013365i,-0.054862+0.0085566i,-0.0271+0.021389i,-0.0036206+0.017328i,0.0044735+0.0089563i,0.0040463+0.0072762i,0.006394+0.0067566i,0.007639+0.0044914i,0.0066996+0.0019324i,0.0062749-0.0020302i,0.0043999-0.0040658i,0.00078253-0.0017365i,-0.00090813+0.0013707i,-0.00020407+0.0034894i,-2.9014e-05+0.0029682i,-0.0015066+0.0015705i,-0.0017159+0.0042946i
0.070313+0.0043367i,0.14812-0.012264i,0.1735-0.051947i,0.099972-0.07292i,0.012034-0.044694i,-0.0073738-0.0046535i,0.00058634+0.0091592i,-0.0035389+0.013374i,0.00094113+0.014061i,0.0071913+0.00581i,0.0047544+0.0023645i,-0.00056223+0.0014208i,-0.0074798-0.00043612i,-0.010232+0.0019544i,-0.0054482+0.0022352i,-0.0015666-0.0030009i,-0.0045437-0.0081431i,-0.0085412-0.0082465i,-0.0083943-0.0042034i,-0.0060995+0.00011625i,-0.0059855+0.0037938i,-0.005478+0.0053654i,-0.0021872+0.0041023i
-0.066114+0.027577i,-0.12361+0.10165i,-0.11871+0.21809i,-0.021681+0.29402i,0.058031+0.26071i,0.053772+0.17003i,0.035156+0.1037i,0.035692+0.056088i,0.020608+0.015882i,0.0001687+0.00062733i,-0.0014743-0.0016484i,0.0028711-0.0023053i,0.0051339-0.00028226i,0.0044785-0.00043228i,-0.00052337-0.0009962i,-0.0027846+0.0022991i,0.0015126+0.0061959i,0.006533+0.0076273i,0.0076078+0.0066661i,0.0052013+0.0050306i,0.0033468+0.0045903i,0.0035116+0.0054652i,0.0025357+0.0068282i
0.050802-0.051767i,0.092052-0.13641i,0.092209-0.23392i,0.04626-0.26706i,0.012511-0.21811i,0.0065293-0.14176i,0.0076146-0.080985i,0.012152-0.050717i,0.0081604-0.0383i,0.0001589-0.023522i,-0.0011557-0.012427i,-0.0034784-0.01053i,-0.0050217-0.0075447i,-0.0034129-0.00348i,-0.0028023+0.00081593i,-0.0023294+0.0061699i,-0.0022673+0.0077711i,-0.0019768+0.0052227i,-0.00038853+0.0010421i,0.0012231-0.00243i,0.0031292-0.0035598i,0.004922-0.0060117i,0.0025104-0.0096446i
-0.033421+0.051386i,-0.029153+0.11323i,0.017914+0.11984i,0.057227+0.017181i,0.033102-0.089307i,0.0059335-0.090336i,0.010737-0.055146i,0.00084158-0.036594i,-0.012891-0.010582i,-0.00758+0.0037667i,-0.0056502-0.0012706i,-0.0064225-0.0025521i,-0.0015583-0.0033408i,0.0009713-0.0035486i,0.0022485+0.00011774i,0.0046023+0.0010544i,0.0067404-0.0015303i,0.0065983-0.0032405i,0.0045016-0.00092171i,0.0037217-0.0003289i,0.0014312-0.0031429i,-0.00026788-0.0043089i,0.0034105-0.0042627i
-0.0033902-0.058944i,-0.062908-0.11189i,-0.18835-0.10217i,-0.28247+0.013675i,-0.24638+0.1221i,-0.14732+0.10899i,-0.087201+0.050731i,-0.05219+0.028134i,-0.018475+0.017154i,-0.0041467+0.0049313i,-0.0059365+0.0062104i,-0.0068508+0.012124i,-0.0042698+0.011144i,-0.0019469+0.005394i,-0.0012122-0.0031361i,-0.005024-0.010257i,-0.013653-0.011707i,-0.019182-0.0075303i,-0.018437-0.0029266i,-0.015642-0.00029763i,-0.012117+0.002194i,-0.010779+0.0038855i,-0.010631+0.0058422i
0.024786+0.050813i,0.095161+0.097237i,0.195+0.10506i,0.2435+0.065865i,0.20492+0.0255i,0.12634+0.016671i,0.058024+0.022938i,0.024774+0.031905i,0.019698+0.028938i,0.014564+0.018175i,0.01093+0.016512i,0.013923+0.015212i,0.011942+0.0085206i,0.0052992+0.0036441i,-0.00037919-0.00019944i,-0.0037722-0.0040352i,-0.0034269-0.0058754i,-0.00050747-0.0061045i,0.0019627-0.0050762i,0.0022659-0.0013343i,0.00045715+0.0025302i,-0.00012678+0.0055783i,0.00024702+0.0068482i
-0.0229-0.035778i,-0.06768-0.036135i,-0.058805+0.015438i,0.048401+0.059253i,0.1391+0.034368i,0.11335+0.00083024i,0.058715+0.010254i,0.03842+0.0022435i,0.012607-0.020762i,-0.0023826-0.017614i,0.00338-0.01601i,-0.00033369-0.019765i,-0.006829-0.013689i,-0.0064867-0.005459i,-0.0049019+0.0016339i,-0.0027112+0.0072558i,-4.2267e-05+0.010564i,0.0035621+0.011318i,0.0059513+0.0091067i,0.0064655+0.0055299i,0.0074224+0.0015231i,0.0077523-0.0018999i,0.005947-0.0037461i
0.043753+0.015868i,0.08775-0.033929i,0.066536-0.16692i,-0.07026-0.28023i,-0.1988-0.25759i,-0.1841-0.15387i,-0.088258-0.084045i,-0.030082-0.046973i,-0.010782-0.01648i,-0.0029608-0.009345i,-0.0049563-0.018084i,-0.0068718-0.020556i,-0.0033141-0.01487i,0.00094683-0.0069073i,0.0058895+0.00048719i,0.01334+0.003161i,0.017875-0.00063365i,0.013768-0.0050648i,0.0075878-0.0051455i,0.0062466-0.0024028i,0.0073236-0.0011403i,0.0084915-0.0041011i,0.0079339-0.0083004i
-0.040409+0.00091299i,-0.086916+0.047719i,-0.10467+0.13376i,-0.076159+0.17722i,-0.038308+0.14212i,-0.0086891+0.082478i,0.0005943+0.027748i,-0.017808-0.0015927i,-0.029734+0.0024101i,-0.024099+0.0089778i,-0.023424+0.011312i,-0.022488+0.015643i,-0.015575+0.012333i,-0.010353+0.004827i,-0.0066925-0.0001447i,-0.0048851-0.0031372i,-0.0074662-0.002481i,-0.0093058+0.00033852i,-0.0093251+0.0012936i,-0.01057+0.0016101i,-0.011969+0.0032428i,-0.011749+0.0051206i,-0.0089448+0.0067979i
0.027703-0.0027186i,0.025083-0.024965i,-0.032122-0.020998i,-0.074103+0.075176i,-0.024114+0.17231i,0.025735+0.14879i,0.0087938+0.090628i,0.010087+0.064552i,0.035606+0.030172i,0.03148+0.0065578i,0.022823+0.010634i,0.025378+0.010853i,0.023041+0.0032193i,0.012774-0.0036638i,-0.00042468-0.0080647i,-0.010399-0.0067471i,-0.013427-0.0026919i,-0.01155-0.00054288i,-0.0081789-0.0013372i,-0.0051977-0.0033892i,-0.0040506-0.0034343i,-0.0050983-0.00030662i,-0.0059676+0.0031912i
-0.019603+0.019454i,0.029869+0.046664i,0.17255+0.042605i,0.29875-0.072501i,0.256-0.21191i,0.11539-0.20765i,0.033964-0.104i,0.013174-0.035282i,0.00041619-0.012432i,-0.00026352+0.00058253i,0.010045+0.005822i,0.011355+0.0088905i,0.0052235+0.012958i,0.0006107+0.013416i,-0.0025759+0.0095718i,-0.005441+0.0053739i,-0.0067146+0.0052574i,-0.0047363+0.0084622i,0.00013007+0.0093906i,0.0034474+0.0067197i,0.0043756+0.0046463i,0.005323+0.0040366i,0.0064826+0.00082643i
0.015462-0.0084543i,-0.013145-0.036757i,-0.076064-0.065428i,-0.10605-0.06413i,-0.073714-0.025509i,-0.033076+0.0078368i,0.0042609+0.012228i,0.02928-0.0088003i,0.018643-0.0251i,0.0020385-0.026436i,-0.0071238-0.033355i,-0.015056-0.036075i,-0.012861-0.027612i,-0.0032371-0.01752i,0.0074435-0.0082683i,0.016983-0.0079771i,0.018352-0.016015i,0.010613-0.017857i,0.003067-0.0099078i,0.0028132-0.0020882i,0.0040916-0.0020588i,0.0025828-0.0047741i,0.0020106-0.0042739i
-0.010711+0.0066161i,-0.0031535-0.014183i,-0.023398-0.065151i,-0.12435-0.084555i,-0.20608-0.025781i,-0.15663+0.035276i,-0.078517+0.020131i,-0.061108+0.0064165i,-0.043922+0.030995i,-0.015275+0.034841i,-0.0072958+0.022972i,-0.0060396+0.018961i,-0.0025632+0.017448i,-0.00014856+0.014876i,0.0020882+0.009733i,0.0027853+0.003717i,0.00077908+0.00052011i,-0.0015011-0.0015015i,-0.0021361-0.0040973i,-0.0016782-0.0034093i,0.00048212+0.00057248i,0.0030535+0.0022113i,0.0014264+0.0022312i
0.0070745-0.00067634i,-0.018787+0.055363i,-0.039946+0.18105i,0.01743+0.27515i,0.12151+0.21525i,0.14848+0.068266i,0.090129-0.0051575i,0.037795-0.010416i,0.0127-0.014935i,-0.0065973-0.013891i,-0.015669-0.0051922i,-0.015713-0.0035788i,-0.015916-0.0093755i,-0.017108-0.013364i,-0.01648-0.011455i,-0.01272-0.0052601i,-0.0091886+0.0021897i,-0.0044462+0.0057621i,-0.0021504+0.0050655i,-0.0046593+0.0021942i,-0.0069956+0.0008655i,-0.0055261+0.0036343i,-0.0015379+0.0047734i
-0.0057113+0.0056233i,0.011203-0.021019i,0.039571-0.066218i,0.046106-0.07126i,0.011908-0.030084i,-0.038115+0.007991i,-0.053469+0.036431i,-0.024565+0.04782i,0.0075921+0.028908i,0.021859+0.0078956i,0.031502+0.0027587i,0.03745+0.0035195i,0.034659+0.0032776i,0.02364+0.003017i,0.0086265+0.0060079i,-0.0016349+0.012275i,-0.0021432+0.018497i,0.00042749+0.020251i,0.00062098+0.015031i,-0.00056472+0.0078055i,-0.0010129+0.0015724i,9.3655e-05-0.0044384i,0.0015784-0.0071036i
0.022483-0.02095i,0.0599-0.021674i,0.13226-0.054805i,0.16584-0.16788i,0.082761-0.25198i,-0.020941-0.18923i,-0.027046-0.095004i,9.2677e-05-0.069477i,-0.010303-0.054393i,-0.026831-0.021588i,-0.029611+0.0028745i,-0.028101+0.010814i,-0.023877+0.0084957i,-0.016646+0.0036586i,-0.0088659-0.0021487i,-0.00324-0.010863i,-0.0037677-0.020375i,-0.0067927-0.020896i,-0.0030004-0.010276i,0.00386-0.0008063i,0.0039862+0.003094i,9.9501e-06+0.0070501i,-0.0012427+0.0070228i
-0.023337+0.014124i,-0.075288-0.009681i,-0.17057-0.051983i,-0.21906-0.040815i,-0.1209+0.028138i,0.01851+0.065748i,0.060262+0.056072i,0.041891+0.045544i,0.032908+0.030391i,0.030267+0.00099758i,0.021455-0.019561i,0.013914-0.0206i,0.012249-0.0096957i,0.013079+0.00074093i,0.013053+0.0039405i,0.0095576+0.0001938i,0.0043144-0.0051687i,-0.00021084-0.0089213i,-0.0031636-0.0076743i,-0.0022269-0.0029523i,-0.0012229-0.002696i,-0.0039945-0.0035255i,-0.0065924+0.00081548i
0.012072-0.022349i,0.030344-0.011666i,0.039276+0.036826i,0.0014189+0.094136i,-0.058679+0.10021i,-0.067773+0.050894i,-0.046575+0.0042702i,-0.040378-0.0056592i,-0.032613+0.009361i,-0.018114+0.024349i,-0.0089694+0.024028i,-0.01008+0.016522i,-0.015116+0.012848i,-0.015781+0.010107i,-0.013149+0.0037812i,-0.0094746-0.00047644i,-0.0080665-0.00083647i,-0.0086584-0.00024456i,-0.0070701-0.0009554i,-0.0042427-0.0029015i,0.0016621-0.0029554i,0.010466-0.0021205i,0.014248-0.0024682i
-0.0042741+0.042031i,-0.012776+0.095652i,0.006868+0.17296i,0.086275+0.21778i,0.14894+0.16212i,0.11126+0.056156i,0.047361+0.015466i,0.032244+0.024987i,0.028438+0.013361i,0.010917-0.012831i,-0.0045796-0.02761i,-0.0068504-0.027734i,0.0006688-0.022983i,0.0056725-0.020548i,0.0073555-0.014269i,0.0096378-0.0046412i,0.014142+0.0039606i,0.017242+0.01034i,0.011094+0.011155i,-0.00096304+0.0090806i,-0.0089146+0.0063122i,-0.010259+0.0025152i,-0.006699-0.00020875i
0.0032688-0.046554i,0.033287-0.10606i,0.077327-0.18676i,0.087621-0.2221i,0.045412-0.14747i,0.0020223-0.026675i,-0.014377+0.0084079i,-0.027913-0.021538i,-0.029802-0.022819i,-0.0073198+0.0029636i,0.012498+0.021369i,0.016063+0.024606i,0.0085686+0.016716i,-0.0025889+0.0085081i,-0.0094335+0.0047398i,-0.010659+0.0020977i,-0.011858+0.00061048i,-0.012145+0.0011497i,-0.0040659-0.00048815i,0.0044572-0.0051669i,0.0060866-0.0072151i,0.0037742-0.0065292i,-0.0011012-0.0041058i
0.0054827+0.032629i,-0.002382+0.04385i,-0.032985-0.0041767i,-0.08937-0.12398i,-0.12679-0.2207i,-0.099635-0.19392i,-0.03386-0.1013i,0.013166-0.045777i,0.013974-0.030205i,-0.0096462-0.023588i,-0.020286-0.013257i,-0.01239-0.0057478i,-0.0015216-0.0026293i,0.0044901+0.00059112i,0.0036778+0.0032962i,-0.002623+0.0053347i,-0.0065494+0.0010012i,-0.0037329-0.0054505i,0.0034576-0.0037908i,0.0088534+0.0033365i,0.0069496+0.0096968i,0.0021871+0.014619i,0.0015009+0.015355i
-0.028365-0.031904i,-0.069431-0.051153i,-0.13177-0.028769i,-0.15965+0.053325i,-0.10704+0.11421i,-0.034168+0.084595i,-0.017003+0.037125i,-0.030791+0.029487i,-0.024838+0.026598i,-0.0036846+0.010911i,0.0063808-0.0064468i,0.00083857-0.0083823i,-0.0064152+0.0045861i,-0.0078675+0.013667i,-0.006156+0.01084i,-0.0058506+0.0018719i,-0.0084529-0.0010475i,-0.011904+0.0029889i,-0.014312+0.0055001i,-0.013706+0.0044876i,-0.009077+0.0013342i,-0.0022576-0.0026559i,0.0025922-0.0058324i
0.024462+0.035332i,0.059272+0.091259i,0.1099+0.17137i,0.14614+0.23162i,0.12067+0.22672i,0.06059+0.16718i,0.032275+0.10387i,0.041095+0.057538i,0.038246+0.025761i,0.0096644+0.013995i,-0.011768+0.012789i,-0.013661+0.004517i,-0.0063122-0.0096723i,0.0039348-0.019728i,0.012526-0.02321i,0.017857-0.021662i,0.020252-0.018094i,0.015292-0.0139i,0.0034233-0.0074465i,-0.0041531-0.00020987i,-0.0027174+0.0039635i,0.00048035+0.0043194i,0.00050586+0.0022101i
-0.027752-0.016829i,-0.02522-0.037951i,0.031447-0.069567i,0.13684-0.11954i,0.19761-0.16i,0.14526-0.14378i,0.050597-0.082415i,-0.0020775-0.029753i,-0.0078549-0.0081112i,0.0079413-0.0055563i,0.019604-0.0049949i,0.017833+0.0040926i,0.010076+0.015135i,0.00047573+0.018428i,-0.0050192+0.017931i,-0.0045488+0.015024i,-0.0050186+0.011899i,-0.0045568+0.010133i,-0.0011661+0.003066i,0.00036042-0.0063189i,-0.0032494-0.010805i,-0.0092615-0.0085024i,-0.01164-0.0028734i
0.033404+0.00986i,0.051012-0.0083759i,0.02355-0.061526i,-0.073033-0.11011i,-0.15007-0.097228i,-0.11432-0.05016i,-0.023993-0.037257i,0.022954-0.050337i,0.022392-0.039277i,0.014463-0.012191i,0.013729-0.0006999i,0.010915-0.0056588i,0.0031684-0.013543i,-0.0037804-0.015783i,-0.0085324-0.010017i,-0.011447-0.00096713i,-0.011952+0.0011037i,-0.0081339-0.0041831i,-0.00013007-0.0065354i,0.010463-0.0038356i,0.016888-0.0032271i,0.016631-0.0044415i,0.014551-0.0016327i
