-0.0017543+0.0019123i,-0.0018644+0.0010726i,-0.001512+0.00055574i,-0.0011243+0.00017655i,-0.0011772+0.00090993i,-0.0015945+0.0015616i,-0.00067104+0.0014993i,0.00037239+0.0013909i,0.0003081+0.00096481i,0.00028573-0.00021174i,0.000986-0.00088069i,0.0010497-0.00097277i,0.00051246-0.0007882i,-3.783e-05-0.00054589i,4.9772e-05-7.7431e-05i,0.00010795+0.0001024i,-0.00033712-0.00021269i,-0.00011724-0.00040375i,0.00017421-0.00019366i,-0.00017569-0.0002057i,0.00073069+2.9068e-05i,0.0011078+0.00035016i,0.00025039+0.00052131i
0.038562-0.019471i,0.12203-0.060263i,0.2267-0.15231i,0.25946-0.26271i,0.17482-0.28688i,0.046464-0.19032i,-0.015588-0.078595i,-0.0061717-0.033768i,0.00040709-0.019857i,-0.0039845+0.0059249i,0.0046164+0.024544i,0.012861+0.019455i,0.0090903+0.010911i,0.0054848+0.011587i,0.010562+0.01291i,0.015337+0.008643i,0.011563+0.0034194i,0.0062708+0.0030673i,0.0067238+0.0025487i,0.0069892-0.0045295i,0.0016235-0.011129i,-0.0029777-0.0087416i,-0.0016726-0.0046766i
-0.047058-0.007892i,-0.14074-0.0021632i,-0.26875+0.033689i,-0.32874+0.10781i,-0.24513+0.15739i,-0.087748+0.12827i,0.0020568+0.057397i,-0.00071056+0.0095934i,-0.015343-0.00018453i,-0.010388-0.001821i,-0.0089231-0.0044033i,-0.014469+0.0028689i,-0.013066+0.0116i,-0.0056034+0.0077704i,-0.003556-0.0042952i,-0.0070761-0.010467i,-0.0077301-0.010015i,-0.00501-0.010122i,-0.0064857-0.012118i,-0.012789-0.0092911i,-0.014504-0.00089978i,-0.0089349+0.0028235i,-0.0041695+0.00065411i
0.043196+0.020861i,0.12824+0.053682i,0.24945+0.075618i,0.30825+0.042823i,0.22035-0.029337i,0.052902-0.074605i,-0.056456-0.059822i,-0.070726-0.018076i,-0.050007+0.0081587i,-0.037541+0.019964i,-0.026654+0.024913i,-0.012151+0.020892i,-0.0042829+0.013822i,-0.0039423+0.012526i,-0.0012049+0.016914i,0.0042378+0.01726i,0.005345+0.011888i,0.0014826+0.006509i,-0.0014078+0.0042587i,0.0022148+0.0031985i,0.0061357-0.0020203i,0.0019598-0.0052748i,-0.0026588+7.1453e-05i
-0.032082-0.038623i,-0.09992-0.10421i,-0.20266-0.1742i,-0.26946-0.17454i,-0.23414-0.084205i,-0.13351+0.029618i,-0.048123+0.083879i,-0.0091315+0.070132i,0.0017408+0.041115i,0.0087996+0.017909i,0.0077843-0.0041057i,-0.00059283-0.016484i,-0.003795-0.015161i,0.00067454-0.011176i,0.0055587-0.01365i,0.0051277-0.016467i,0.0037062-0.011978i,0.0052508-0.0033272i,0.0074349+0.00032037i,0.0052782-0.0018469i,-0.0013919-0.00095812i,-0.0028758+0.0051795i,0.0015635+0.0098769i
0.016774+0.050239i,0.054894+0.13852i,0.11536+0.23922i,0.1604+0.26096i,0.16036+0.17387i,0.13805+0.046371i,0.10646-0.030738i,0.066174-0.034478i,0.03505-0.018859i,0.01141-0.015551i,-0.0055017-0.0085659i,-0.0061298+0.00012189i,-0.00090798-0.00062127i,-0.0049827-0.0016924i,-0.013739+0.0035654i,-0.016525+0.007736i,-0.012864+0.0067329i,-0.0071073+0.0026838i,-0.0035078+0.0010736i,-0.0016348+0.0052098i,0.0037392+0.0083797i,0.0088888+0.0038094i,0.0075716-0.0031807i
-0.00073268-0.051901i,-0.0022775-0.15021i,-0.0091659-0.25285i,-0.0088114-0.26243i,0.0011868-0.17i,-0.006167-0.065527i,-0.016405-0.016939i,-0.0018652-0.01267i,0.010886-0.017707i,0.011207-0.016057i,0.013285-0.013651i,0.0090452-0.014722i,0.00026535-0.0093711i,0.0025472-0.00070988i,0.011944+0.0011308i,0.016117-0.00050744i,0.011572+0.00066354i,0.0034154+0.003808i,0.0012865+0.0059678i,0.0038626+0.0041469i,0.0013371-0.0024817i,-0.0044844-0.0068682i,-0.0066776-0.0052431i
-0.017023+0.059206i,-0.044904+0.15263i,-0.069601+0.24263i,-0.069401+0.23091i,-0.037574+0.12399i,0.0093934+0.02683i,0.03229-0.016031i,0.012191-0.031958i,-0.0136-0.026038i,-0.019886-0.00981i,-0.018315-0.00010192i,-0.014463+0.0080835i,-0.0080434+0.011941i,-0.0050734+0.006977i,-0.0067207-0.0009718i,-0.0072183-0.0056857i,-0.0036873-0.0065322i,0.0023114-0.006872i,0.0034145-0.0090559i,-0.0019592-0.009091i,-0.0055656-0.0041518i,-0.0028989+0.00080274i,0.00079633+0.0011377i
0.035243-0.049712i,0.093081-0.13246i,0.14026-0.21209i,0.11415-0.20155i,0.022826-0.11681i,-0.058812-0.053582i,-0.091696-0.021924i,-0.079084+0.015379i,-0.044123+0.03727i,-0.015553+0.036019i,0.0027709+0.02518i,0.011559+0.0097249i,0.0093834+0.001086i,0.0072749+0.003519i,0.008569+0.0092684i,0.0059297+0.011605i,6.0645e-05+0.0074777i,-0.0058888+0.00076937i,-0.010001-0.001851i,-0.008827+0.0011885i,-0.0032285+0.0023793i,-0.00024956-0.001362i,-0.0011595-0.0030835i
-0.050818+0.034842i,-0.13109+0.098185i,-0.19664+0.15898i,-0.16125+0.15005i,-0.054645+0.089436i,0.014101+0.065759i,0.03772+0.075624i,0.044564+0.057379i,0.029449+0.027133i,0.0083063+0.011504i,-0.0060842+0.0041434i,-0.012985+0.004432i,-0.01044+0.0076196i,-0.0062863+0.0057797i,-0.0027972+0.00063496i,0.0015823-0.0024223i,0.0043456-0.00053439i,0.0049579+0.0057959i,0.0052697+0.007938i,0.0044932+0.0023073i,0.00028969-0.0020848i,-0.0036904+0.0011248i,-0.0041047+0.0067394i
0.060535-0.020659i,0.15819-0.057219i,0.23599-0.097933i,0.18854-0.096645i,0.070037-0.051757i,0.021436-0.030297i,0.020961-0.044117i,0.0072443-0.034982i,0.0016476-0.0092551i,0.0055058+0.0021175i,0.0058397+0.0069489i,0.0084494+0.0078037i,0.0088073+0.0030917i,0.0051134+0.0022291i,0.0026644+0.0038185i,0.0003599+0.00046387i,-0.0013368-0.0043758i,-3.8622e-05-0.008564i,-0.00083385-0.0094119i,-0.0063801-0.0035071i,-0.0072539+0.0034247i,-0.00056774+0.004991i,0.0061058+0.0040496i
-0.066602+0.0038455i,-0.1746+0.012441i,-0.26003+0.041385i,-0.1978+0.080203i,-0.046855+0.089608i,0.017004+0.074167i,0.01073+0.058359i,0.01831+0.027883i,0.019331-0.0090084i,0.0025717-0.025604i,-0.0090042-0.024892i,-0.014626-0.018843i,-0.016915-0.012617i,-0.014116-0.0092722i,-0.0078116-0.0062733i,-0.0031302-0.0014253i,-0.0051294+0.0041335i,-0.0086488+0.0095138i,-0.0067412+0.013008i,0.0017306+0.010413i,0.0079404+0.0022936i,0.0063929-0.0052971i,0.002656-0.0077413i
0.073427+0.018235i,0.18712+0.036503i,0.28748+0.020756i,0.24094-0.055707i,0.098292-0.12074i,0.025165-0.11983i,0.012122-0.095582i,-0.016463-0.069927i,-0.035608-0.030687i,-0.025996+0.00077254i,-0.011304+0.011511i,-0.0017774+0.014932i,0.0036481+0.015703i,0.0042575+0.014933i,0.0038847+0.012797i,0.0055965+0.0065969i,0.0088554+0.00055351i,0.012953-0.0021587i,0.013453-0.0043906i,0.0060314-0.0069786i,-0.0032921-0.0067087i,-0.0059974-0.0015925i,-0.0040802+0.0016981i
-0.064894-0.038994i,-0.17568-0.09061i,-0.28599-0.10328i,-0.27829-0.022011i,-0.17659+0.063516i,-0.10949+0.064966i,-0.08963+0.048469i,-0.054889+0.054833i,-0.013662+0.041473i,0.0041414+0.013257i,0.0068346-0.0048586i,0.0057165-0.01356i,0.0042681-0.01346i,0.0037888-0.0099686i,0.00068067-0.0094457i,-0.0048548-0.0077953i,-0.0099719-0.0060511i,-0.013615-0.0067934i,-0.013363-0.0043096i,-0.0071019+0.0034602i,0.00086224+0.0094391i,0.0050703+0.0075712i,0.0056664+0.001121i
0.053916+0.047048i,0.14697+0.13252i,0.25362+0.18153i,0.27682+0.10544i,0.20475-0.0067773i,0.12696-0.025691i,0.092148-0.0055433i,0.061696-0.010169i,0.020722-0.0065153i,-0.0047847+0.0086877i,-0.01154+0.015436i,-0.010536+0.017065i,-0.008795+0.017543i,-0.0081171+0.016645i,-0.0057936+0.014619i,0.00053988+0.012023i,0.0058077+0.012122i,0.0069929+0.012895i,0.0076856+0.0082869i,0.0079525-0.0022454i,0.0038392-0.010926i,-0.002648-0.010364i,-0.0077085-0.0048561i
-0.035558-0.065911i,-0.10809-0.17717i,-0.20416-0.26114i,-0.25588-0.19495i,-0.21914-0.050699i,-0.13101+0.0054065i,-0.067849-0.0047744i,-0.032978+0.0026025i,-0.0018088+0.012034i,0.013928+0.0077714i,0.013571+0.0024893i,0.012039-0.0023011i,0.012305-0.0066176i,0.013296-0.0086825i,0.012895-0.01173i,0.0078646-0.015728i,0.0021026-0.017338i,-0.00022464-0.016572i,-0.0049586-0.013333i,-0.012999-0.0044522i,-0.015222+0.0060432i,-0.0094726+0.010885i,-0.0016034+0.011568i
0.015944+0.072695i,0.053435+0.2043i,0.11953+0.32819i,0.19202+0.30469i,0.20833+0.1714i,0.14621+0.08323i,0.084574+0.049826i,0.04987+0.010248i,0.010528-0.016682i,-0.017634-0.013551i,-0.022426-0.0031586i,-0.020869+0.0018358i,-0.019426+0.0027526i,-0.0182+0.0028662i,-0.016203+0.0051478i,-0.013188+0.0094078i,-0.011411+0.011902i,-0.0098543+0.012114i,-0.004342+0.011368i,0.0056345+0.0091998i,0.012575+0.0039879i,0.011835-0.0019596i,0.009117-0.0047216i
0.001072-0.081159i,0.0037323-0.21662i,-0.015321-0.36352i,-0.077606-0.37896i,-0.11987-0.26366i,-0.084903-0.15477i,-0.048994-0.09549i,-0.044375-0.043827i,-0.02847-0.0026665i,-0.0031237+0.0099013i,0.010535+0.0061011i,0.012951+0.003324i,0.011605+0.0067852i,0.013059+0.010813i,0.017397+0.0089873i,0.018933+0.002378i,0.017133-0.0037366i,0.014257-0.0064753i,0.0098529-0.0069388i,0.0023702-0.0080201i,-0.0053992-0.0083307i,-0.0086589-0.0056549i,-0.0071003-0.0023626i
-0.021006+0.07271i,-0.067333+0.20155i,-0.10365+0.35001i,-0.062794+0.38341i,0.0068326+0.27596i,0.011769+0.15179i,-0.0044294+0.088765i,0.0033261+0.052987i,0.0069248+0.015437i,-0.0016591-0.0088256i,-0.00804-0.013539i,-0.010461-0.01168i,-0.011557-0.0096012i,-0.012257-0.0084432i,-0.013604-0.0085051i,-0.015477-0.0065976i,-0.015295-0.0039878i,-0.012541-0.0027652i,-0.0090186+3.3838e-05i,-0.0034923+0.0061461i,0.0027662+0.010485i,0.0051333+0.0087279i,0.0043054+0.004364i
0.039917-0.053704i,0.12733-0.16127i,0.21483-0.2888i,0.20007-0.33116i,0.10948-0.25227i,0.057689-0.13907i,0.041417-0.069026i,0.018827-0.030077i,0.0017925+0.0030221i,-0.00052351+0.019967i,0.0020966+0.019322i,0.0051741+0.014299i,0.0048992+0.011682i,0.0022539+0.012918i,0.0036238+0.014352i,0.0068785+0.013903i,0.0070629+0.013122i,0.0049956+0.010896i,0.0035979+0.0044275i,0.0035976-0.005244i,0.0031735-0.012385i,0.0019497-0.013164i,0.00063598-0.010138i
-0.059967+0.045139i,-0.17035+0.1194i,-0.29421+0.2076i,-0.30228+0.24522i,-0.20031+0.20141i,-0.11059+0.11677i,-0.061385+0.054571i,-0.022213+0.022237i,0.001268+0.0010662i,0.0015455-0.0068079i,-0.0038722-0.0059737i,-0.0037726-0.0076919i,-0.00050031-0.01082i,0.0032899-0.012916i,0.0038634-0.015879i,0.00020357-0.016505i,-0.0027125-0.013297i,-0.0014581-0.0075815i,-0.0022986-0.0018585i,-0.0080478+0.0025278i,-0.011317+0.0060824i,-0.0089976+0.0071219i,-0.0062948+0.0067503i
0.066871-0.022898i,0.19458-0.055495i,0.3389-0.086817i,0.3623-0.1013i,0.2562-0.084346i,0.14083-0.041378i,0.069239-0.015908i,0.022198-0.013062i,-0.0081865-0.0033765i,-0.014942+0.010044i,-0.0086065+0.014863i,-0.0045927+0.014712i,-0.003636+0.014488i,-0.003694+0.014064i,-0.0050229+0.014274i,-0.0049118+0.014813i,-0.0039921+0.011905i,-0.0026641+0.0059831i,0.0013247+0.0019426i,0.0070002+0.0015866i,0.010379+0.0023078i,0.010345+0.0038359i,0.0092886+0.0049146i
-0.066929+0.0015042i,-0.19093-0.0076822i,-0.32763-0.030119i,-0.34496-0.041168i,-0.23541-0.035558i,-0.11976-0.036801i,-0.061096-0.030797i,-0.030271-0.010266i,-0.0042347-0.00021357i,0.0096442-0.0068628i,0.0092904-0.014326i,0.0033237-0.014149i,0.0016261-0.0077313i,0.0048701-0.0015259i,0.0095223-0.00075583i,0.012927-0.0041152i,0.012034-0.0062126i,0.0071947-0.005231i,0.0019878-0.0046959i,-0.0020422-0.0056721i,-0.0053245-0.0067847i,-0.0064362-0.0078154i,-0.0056481-0.007943i
0.064643+0.012188i,0.16606+0.056205i,0.27004+0.12166i,0.27426+0.14718i,0.18022+0.10956i,0.085325+0.068403i,0.037391+0.043955i,0.015053+0.022692i,0.00013746+0.0076588i,-0.0085617+0.0025895i,-0.010677+0.0035385i,-0.0099437+0.0055854i,-0.010631+0.0058121i,-0.010881+0.0051198i,-0.0095655+0.0030424i,-0.0096039-0.00050054i,-0.0090745-0.002525i,-0.005763-0.004124i,-0.0013609-0.0035958i,0.00047147+0.00026021i,9.8465e-05+0.0037017i,-0.0017285+0.0058559i,-0.0024456+0.0069449i
-0.054952-0.028921i,-0.12959-0.097194i,-0.19399-0.18904i,-0.17696-0.21657i,-0.098471-0.15386i,-0.030638-0.086271i,0.0015937-0.047714i,0.011375-0.019195i,0.012249-0.00017705i,0.010738+0.004908i,0.0095413+0.0031591i,0.0095379-0.001188i,0.0077823-0.0048731i,0.0041189-0.0032223i,0.0042003+0.0006245i,0.0047828+0.0026591i,0.0010338+0.0030347i,-0.0043498+0.0026346i,-0.0078062+0.0010299i,-0.0058958-0.0017502i,-0.0017714-0.0037188i,0.0022559-0.0041005i,0.0048861-0.0049202i
0.038117+0.038003i,0.081881+0.11985i,0.10237+0.22039i,0.06681+0.24161i,0.01065+0.16703i,-0.022829+0.08682i,-0.025279+0.037431i,-0.015777+0.0057162i,-0.013081-0.0075967i,-0.017389-0.0023943i,-0.01887+0.0064583i,-0.015528+0.0078003i,-0.010991+0.0043402i,-0.0059836+0.0014499i,-0.0020341-0.0016627i,-0.0013073-0.0044263i,-0.0011692-0.0034951i,0.0016691+0.0015504i,0.0045037+0.0053753i,0.002484+0.0050423i,-0.0011863+0.0029883i,-0.0041855+0.0014542i,-0.0061477+0.001422i
-0.017129-0.034655i,-0.02807-0.11728i,-0.008473-0.20459i,0.03654-0.20598i,0.06414-0.12406i,0.059762-0.051598i,0.035891-0.018184i,0.011963-0.0029889i,0.00020246+0.0053343i,0.0013603+0.0080951i,0.0066606+0.0050238i,0.0089623+0.0020655i,0.0094905+0.0024166i,0.0079546+0.0034639i,0.0037723+0.0050951i,0.0013834+0.0064016i,0.0015446+0.0032267i,0.00070638-0.0021281i,-0.00080074-0.0045507i,-0.00075719-0.0024609i,0.0004174+0.00094674i,0.002266+0.0034767i,0.0042833+0.0041347i
0.012073+0.038874i,0.00040888+0.10273i,-0.042516+0.15754i,-0.087528+0.13019i,-0.088257+0.048584i,-0.061379-0.00053543i,-0.03722-0.0089681i,-0.020755-0.0036591i,-0.0098684-0.0009855i,-0.0069377-0.00662i,-0.010661-0.012825i,-0.013916-0.011054i,-0.012802-0.0036781i,-0.0076907+0.0023071i,-0.0012466+0.0041253i,0.0038149+0.0022347i,0.0058815+0.00090289i,0.0041418+0.0022547i,0.0018857+0.0034519i,0.001905+0.0027021i,0.0025939+0.00039448i,0.0029221-0.0026853i,0.0012377-0.0038372i
0.0053855-0.035187i,0.034214-0.084248i,0.08634-0.11157i,0.11456-0.06615i,0.089581+0.0044184i,0.052535+0.034329i,0.028186+0.033924i,0.014107+0.027519i,0.0086031+0.019373i,0.0075982+0.011921i,0.0075178+0.0087788i,0.0070898+0.0083245i,0.0070847+0.0082827i,0.0070133+0.0079201i,0.0043629+0.0050207i,-0.00052696+1.6074e-05i,-0.00081394-0.0027292i,0.0018425-0.0041231i,0.0026979-0.0061382i,0.0012143-0.0055251i,-0.0014145-0.0030664i,-0.0022781-0.00013624i,-0.00079648+0.0026823i
-0.017911+0.025599i,-0.051157+0.057941i,-0.095705+0.059565i,-0.10047+0.006598i,-0.057691-0.045532i,-0.019307-0.05582i,0.0003014-0.043635i,0.0084407-0.028133i,0.0062822-0.014665i,0.00058421-0.0077086i,-0.0030096-0.0074671i,-0.0035476-0.0091397i,-0.0057791-0.009202i,-0.007606-0.0057967i,-0.0051581-0.0022381i,-0.0023092-0.0013747i,-0.0043948-0.00064516i,-0.0086584+0.00090048i,-0.0097572+0.0025778i,-0.0060167+0.004136i,-0.0018029+0.0048194i,-0.0007601+0.0036641i,-0.00060459+0.0018518i
0.011175-0.019197i,0.041266-0.029634i,0.067889-0.008525i,0.048879+0.045452i,0.0011152+0.076042i,-0.022991+0.064071i,-0.023055+0.036841i,-0.015958+0.014112i,-0.010121+0.0043912i,-0.0084977+0.0090264i,-0.0070359+0.017123i,-0.0042074+0.017905i,-0.0020035+0.013748i,0.00050703+0.0084346i,0.0016397+0.0020445i,0.00077585-0.0021476i,0.00079593-0.0011527i,0.0030079+0.0018926i,0.0049664+0.0024906i,0.004391-0.00029806i,0.0026379-0.0035715i,0.00077113-0.0025631i,-0.00049009-7.0203e-05i
-0.011592+0.010057i,-0.033741+0.01036i,-0.037671-0.016226i,0.0017535-0.055552i,0.048482-0.065336i,0.055678-0.047633i,0.036361-0.02759i,0.013691-0.015201i,-0.0027395-0.0083321i,-0.0059162-0.0066857i,-0.0017419-0.0092916i,0.0015352-0.010374i,0.0023066-0.009465i,0.00052509-0.0073015i,-0.0014314-0.0023256i,-0.0012068+0.0019547i,-0.00041181+0.00038493i,-0.0025931-0.0046074i,-0.0054675-0.0056671i,-0.0067075-0.0023798i,-0.007109+0.0011436i,-0.0058706+0.00072023i,-0.0040532-0.0014652i
0.0092388-0.0036343i,0.021953+0.0023217i,0.0092997+0.022265i,-0.040192+0.038968i,-0.075022+0.030668i,-0.06607+0.014953i,-0.04442+0.0078075i,-0.026878+0.010534i,-0.014437+0.015373i,-0.010722+0.013448i,-0.012215+0.0079518i,-0.013404+0.0052043i,-0.011103+0.0070335i,-0.005788+0.0095622i,-0.00076691+0.0079778i,0.0021642+0.0044468i,0.0016934+0.0041664i,0.00031939+0.0059048i,0.0010906+0.0060908i,0.0038663+0.0034863i,0.0055088+0.0014139i,0.0045494+0.0019259i,0.0019122+0.0037179i
-0.0093183-0.0065625i,-0.014461-0.0090725i,0.0086526-0.013175i,0.062385-0.0028813i,0.091372+0.018506i,0.076541+0.026952i,0.052459+0.022803i,0.032788+0.014727i,0.018283+0.0065678i,0.012075+0.0014349i,0.011734-0.0012157i,0.012432-0.0018948i,0.011565-0.0030467i,0.009358-0.0038141i,0.0055025-0.0028228i,0.0018317-0.0018115i,0.0017694-0.0017294i,0.0043614-0.0021182i,0.0052148-0.0025684i,0.0025992-0.0033665i,-0.00046538-0.0044225i,0.00042014-0.0047965i,0.004065-0.004418i
0.0060995+0.0029949i,0.0020314+0.00014494i,-0.026752-0.01222i,-0.070547-0.039582i,-0.084545-0.062232i,-0.061834-0.057833i,-0.033254-0.038962i,-0.012089-0.018473i,-0.0014656-0.0033476i,-0.002584+0.0021686i,-0.0071108+0.0031617i,-0.0092504+0.002319i,-0.010372+0.0010865i,-0.0092452+0.00129i,-0.0043584+0.0014416i,-0.00051394+0.00060052i,-0.001941-5.5977e-05i,-0.005386-0.00035067i,-0.005731+3.822e-05i,-0.0021839+0.0016033i,-0.00010186+0.0033228i,-0.002494+0.0028586i,-0.004721+0.0011068i
-0.0035815+0.0032098i,0.0035777+0.011506i,0.027034+0.039418i,0.053257+0.080857i,0.052772+0.09649i,0.032179+0.0738i,0.014682+0.042166i,0.0071228+0.014618i,0.0043757-0.002371i,0.0037947-0.0021817i,0.0042458+0.0050049i,0.0041883+0.0086867i,0.0047967+0.007963i,0.0049145+0.0042754i,0.0022975+0.00069616i,-0.00094516-0.0012816i,0.00019926-0.0011997i,0.0037303-2.6133e-05i,0.004589-0.00014615i,0.0035366-0.0020452i,0.003982-0.0041004i,0.0045041-0.0019071i,0.0039866+0.0023563i
0.0010034-0.00095728i,-0.0003912-0.016722i,-0.0081693-0.057326i,-0.013481-0.10482i,-0.0051153-0.11262i,0.0030214-0.082102i,0.00043351-0.049426i,-0.01074-0.02393i,-0.019591-0.007679i,-0.019003-0.004116i,-0.014064-0.0073643i,-0.0097826-0.0090653i,-0.0077752-0.0056631i,-0.0060885-0.001354i,-0.0033294+0.0019749i,-0.0016634+0.0029173i,-0.0014418+0.00017525i,-0.0018443-0.0048969i,-0.0031676-0.0070924i,-0.0059953-0.0048288i,-0.0079101-0.002703i,-0.0065732-0.0031285i,-0.0034195-0.0043353i
-0.0029278+0.0047013i,-0.00624+0.024759i,-0.014656+0.069254i,-0.026417+0.11331i,-0.033373+0.11356i,-0.029146+0.079359i,-0.020633+0.047209i,-0.01073+0.027686i,-0.0029804+0.017065i,-0.00097451+0.011631i,-0.00084959+0.0074249i,-0.00040084+0.0046461i,0.00038808+0.0051329i,0.0012295+0.0078188i,0.00083748+0.0075975i,0.00018124+0.0046749i,-0.0010386+0.0045509i,-0.003237+0.0065742i,-0.0044977+0.0077922i,-0.0028193+0.0082852i,-0.00034355+0.0088485i,-0.00067888+0.0092499i,-0.002055+0.008057i
0.0028278-0.0039693i,0.015141-0.023168i,0.041299-0.060737i,0.070691-0.093575i,0.078019-0.086743i,0.061092-0.055471i,0.039008-0.029301i,0.018734-0.010977i,0.0048916-0.00023436i,0.0017998+0.0010279i,0.0038946-0.0022739i,0.0044894-0.0052744i,0.0028174-0.0058956i,0.0018391-0.0045116i,0.0029409-0.0022012i,0.0039031-0.0013338i,0.0041821-0.0017636i,0.0055726-0.0003236i,0.0064984+0.00039156i,0.0055027-0.0018398i,0.0038027-0.0048622i,0.0049562-0.0058595i,0.006487-0.0042613i
-0.0051632+0.0066372i,-0.025063+0.023001i,-0.065735+0.049948i,-0.10408+0.064609i,-0.10325+0.048932i,-0.071286+0.023227i,-0.038128+0.0084798i,-0.010271+0.004641i,0.0058308+0.0050336i,0.0050893+0.0061627i,-0.00074608+0.0077933i,-0.0022876+0.0077475i,-0.001244+0.0057536i,-0.0010722+0.0037056i,-0.0012833+0.00065914i,-0.0011021-0.0020988i,-0.0028578-0.001993i,-0.0055794-0.0015746i,-0.0070681-0.0016515i,-0.0069687-0.00031678i,-0.0065011+0.00087928i,-0.0061574-0.0012353i,-0.0050131-0.0030728i
0.0092339-0.0045744i,0.035662-0.013628i,0.084664-0.024633i,0.12443-0.026276i,0.11605-0.013835i,0.076735-0.0014561i,0.041959-0.00022577i,0.018348-0.0080725i,0.00525-0.013336i,0.0006257-0.010247i,8.4002e-05-0.003067i,-0.00068602+0.002312i,-0.0016053+0.0033728i,-0.0010166+0.0021671i,-0.0017229+0.0009995i,-0.0019795+0.00086736i,0.0004448+0.00075271i,0.0031912+0.00050034i,0.005086+0.00088194i,0.0068676+0.0011218i,0.007966+0.0010931i,0.0065822+0.0022761i,0.003405+0.0039661i
-0.0077078+0.00078362i,-0.036536+0.0016065i,-0.085231-0.0038837i,-0.12027-0.016888i,-0.10559-0.026686i,-0.066455-0.025218i,-0.037836-0.016133i,-0.02213-0.0032777i,-0.015523+0.0034345i,-0.013455+0.0023675i,-0.012365-1.944e-05i,-0.010223-0.0015833i,-0.007226-0.00020754i,-0.0042737+0.0022212i,-0.0018905+0.0017446i,-0.0015208-0.00025728i,-0.0022723-0.0030796i,-0.0021434-0.0066131i,-0.0023266-0.0093179i,-0.0047668-0.010113i,-0.0069329-0.0085835i,-0.0050967-0.00591i,-0.0020034-0.0042037i
0.0092706-0.00096132i,0.036203+0.0074751i,0.077957+0.030686i,0.10257+0.057336i,0.084819+0.062505i,0.049839+0.048624i,0.024222+0.030786i,0.0086292+0.015062i,-0.00085757+0.0070443i,-0.0025118+0.0043027i,5.0905e-06+0.00046937i,0.00054958-0.0033479i,-0.00020198-0.0036481i,9.4339e-05-0.00012633i,0.0012151+0.0028155i,0.0019154+0.0035323i,0.0015062+0.0050472i,-0.00051719+0.006897i,-0.0018145+0.008497i,-0.0011417+0.011085i,-0.00080867+0.011803i,-0.0022948+0.0097419i,-0.0039592+0.0068715i
-0.011915-0.0037933i,-0.035047-0.019804i,-0.06657-0.054117i,-0.077942-0.085347i,-0.056112-0.08173i,-0.02625-0.054744i,-0.0084766-0.028159i,-0.0029043-0.0054185i,-0.0027757+0.0069742i,-0.0020913+0.0056572i,-9.5981e-05+0.00069126i,0.0020186-0.0021865i,0.0027192-0.0022052i,0.0024741-0.00081933i,0.0036882-0.00053683i,0.004568-0.0012756i,0.0036224-0.0021449i,0.0038096-0.0021311i,0.0061177-0.0032748i,0.0072544-0.0072411i,0.0064022-0.0091214i,0.0052475-0.0054992i,0.0044229-0.0010238i
0.011101+0.0070169i,0.028226+0.028097i,0.04648+0.069169i,0.044658+0.099452i,0.024637+0.08739i,0.0073368+0.054078i,0.00075253+0.02745i,0.0038015+0.010298i,0.0075191+0.0032244i,0.0048286+0.0025624i,0.00017356+0.0039119i,-0.0012727+0.0049048i,0.00022679+0.0046264i,0.0003591+0.0043038i,-6.6797e-05+0.0029017i,0.00065614+0.0010811i,0.00034288+0.00037907i,-0.0027496+0.00061071i,-0.0062199+0.0017233i,-0.0093411+0.0034629i,-0.0097574+0.0047644i,-0.0065997+0.0022942i,-0.0034846-0.0017052i
-0.007075-0.0077998i,-0.015264-0.031839i,-0.017321-0.073369i,-0.0040051-0.099716i,0.01247-0.083436i,0.018325-0.050923i,0.013431-0.028872i,0.0035451-0.016599i,-0.0023271-0.0096236i,-0.0025619-0.0055325i,-0.0018293-0.0012059i,-0.0018597+0.0027983i,-0.0022652+0.0055822i,-0.0029759+0.0059127i,-0.0036403+0.003555i,-0.0031888+0.0014892i,-0.00137-0.00059594i,0.00084672-0.00043398i,0.0040727+0.0020606i,0.0086269+0.0032612i,0.011222+0.002589i,0.0082807+0.0021187i,0.0039147+0.0019066i
0.0054146+0.0080253i,0.0050536+0.032411i,-0.0069334+0.070049i,-0.027817+0.089069i,-0.036216+0.070187i,-0.029695+0.03895i,-0.019226+0.017377i,-0.0096321+0.0053195i,-0.0048364+0.00012688i,-0.0046105-0.00036217i,-0.0044364-0.00015614i,-0.004023-0.0014754i,-0.0041908-0.0019481i,-0.0032474-0.00045813i,-0.0029384+0.00096135i,-0.0041244+0.0014468i,-0.004661+0.0013062i,-0.0039352-0.00051766i,-0.0040159-0.0044359i,-0.0071839-0.007584i,-0.0095874-0.0078195i,-0.0063639-0.0055684i,-0.0017314-0.0028174i
0.00015205-0.0088562i,0.0069757-0.033925i,0.029744-0.066008i,0.053199-0.074815i,0.051862-0.0517i,0.035217-0.023364i,0.018983-0.0073959i,0.0042695-0.00099234i,-0.0043165+0.0014619i,-0.0051146+0.0015722i,-0.0030617+0.0011824i,-0.0025375-0.00022586i,-0.003678-0.0010201i,-0.0032749-0.00067481i,-0.00010553-0.00043116i,0.0019986-0.00083215i,0.0019759-0.0011182i,0.00033476+0.00077489i,-0.00062958+0.0051197i,0.00074037+0.0092372i,0.00070837+0.0099208i,-0.0010669+0.0069063i,-0.0023227+0.0033826i
