-0.0018012+0.00040463i,-0.0018073+1.9882e-05i,-0.0014944+0.00080352i,-0.0011768+0.00030653i,-0.0018623-0.00058502i,-0.0027366-0.0007069i,-0.0021602+2.2899e-05i,-0.00018091+0.00072764i,0.0011565+0.0012805i,0.0013452+0.001311i,0.00073232+0.00073642i,0.00020171+9.5143e-05i,0.00060454-8.2313e-05i,0.0010966+0.00030012i,0.00010651+0.00073557i,-0.0010126+0.00050691i,-0.00091821-0.00038705i,-0.00020578-0.0007027i,1.1476e-05-0.00066038i,-0.00040945-0.00048512i,0.00030697+0.0003465i,0.00044937+9.0343e-05i,2.9587e-05-0.00084677i
-0.11468+0.10386i,-0.28141+0.13416i,-0.42077+0.09318i,-0.35503+0.035005i,-0.13006-0.015173i,0.0097538-0.075073i,-0.0028275-0.091755i,-0.044257-0.057932i,-0.042091-0.023605i,-0.023687-0.010466i,-0.019707-0.013309i,-0.028613-0.019624i,-0.036889-0.019711i,-0.030062-0.0096086i,-0.01251+0.0029598i,0.0018939+0.0057565i,0.0075269+0.0011408i,0.0068576-0.0020834i,0.0035381-0.0031779i,-0.00249-0.0027031i,-0.0058435-0.00084477i,-0.0035875-0.00068146i,-0.000307-0.0025674i
0.0826-0.1568i,0.22722-0.26629i,0.37214-0.2749i,0.35985-0.18155i,0.19714-0.11269i,0.055235-0.121i,0.002516-0.13443i,0.0050301-0.10464i,0.016113-0.058457i,0.024271-0.014003i,0.040715+0.008718i,0.048728+0.0037643i,0.042659-0.0020001i,0.028204-0.0019404i,0.0052892-0.00063137i,-0.0094073+0.0010203i,-0.0085142-0.0017266i,-0.0028769-0.0054254i,0.0034643-0.0046709i,0.0087463-0.0017725i,0.010222-0.001038i,0.0089634-4.8996e-05i,0.0083813+0.00081139i
-0.037731+0.19546i,-0.13059+0.36965i,-0.25074+0.44528i,-0.28963+0.343i,-0.23591+0.19297i,-0.15701+0.12311i,-0.053194+0.093483i,0.020537+0.045095i,0.02015+0.013692i,0.0020072+0.0097972i,-0.014678+0.0041081i,-0.034614+0.0068892i,-0.03867+0.016109i,-0.02551+0.015885i,-0.0035584+0.0073959i,0.0083802-0.0048347i,0.0029715-0.011134i,-0.0028183-0.0079835i,-0.0020127-0.0029619i,0.0011209+0.00082406i,0.0027413+0.0027506i,-0.0021957+0.0013587i,-0.011867+0.0027253i
-0.024113-0.22072i,-0.015677-0.45446i,0.019078-0.61582i,0.035193-0.52988i,0.031818-0.25501i,0.042365-0.017114i,0.033608+0.06807i,0.0052566+0.065312i,-0.0012507+0.040058i,0.0038897+0.0032231i,0.0090824-0.020688i,0.024269-0.026998i,0.034103-0.026959i,0.025886-0.019703i,0.0087704-0.0059322i,-3.0964e-05+0.0097621i,0.0010534+0.019296i,-0.00049117+0.018892i,-0.0048319+0.011824i,-0.0066684+0.0050697i,-0.0075578+0.0015938i,-0.0052658-0.00057252i,-9.6203e-05-0.005958i
0.089657+0.20927i,0.1856+0.42311i,0.25814+0.5396i,0.2555+0.40739i,0.19967+0.14687i,0.131-0.021394i,0.048858-0.048328i,-0.023445-0.0083671i,-0.04444+0.019606i,-0.039247+0.024722i,-0.034869+0.039108i,-0.025942+0.046285i,-0.024523+0.029399i,-0.025521+0.0093256i,-0.016231-0.0050856i,-0.011047-0.011292i,-0.0096035-0.0083592i,-0.0044882-0.0066727i,-0.0040819-0.0072788i,-0.009514-0.0056455i,-0.010667-0.0024569i,-0.005338+0.0014769i,0.0032677+0.0076882i
-0.16053-0.18088i,-0.3308-0.32887i,-0.44194-0.37395i,-0.36859-0.26469i,-0.19925-0.16483i,-0.10508-0.15383i,-0.079195-0.13349i,-0.042793-0.096305i,-0.017159-0.07394i,-0.0085363-0.049057i,0.0037768-0.038651i,0.0098076-0.043382i,0.016056-0.037465i,0.021587-0.018979i,0.016802+0.0012289i,0.012553+0.0090427i,0.014599+0.0027111i,0.016403-0.0044942i,0.015507-0.0086623i,0.011511-0.010099i,0.0059714-0.0073691i,0.00239-0.0040717i,-0.0024559-0.0043948i
0.20687+0.11417i,0.42122+0.19675i,0.54607+0.22163i,0.42298+0.17674i,0.16491+0.12537i,0.026354+0.07424i,0.048278+0.0083316i,0.084076-0.025121i,0.075005-0.0080419i,0.056923+0.016036i,0.041632+0.026625i,0.022585+0.042373i,0.0058018+0.063055i,-0.0029142+0.06225i,-0.006072+0.035983i,-0.010994+0.010106i,-0.017842+0.0020023i,-0.018565+0.0055947i,-0.0091085+0.010875i,0.0046414+0.010943i,0.012013+0.0036554i,0.007772-0.0019529i,0.0038247-0.0017927i
-0.20809-0.04605i,-0.42606-0.037376i,-0.56156+0.03087i,-0.45771+0.11071i,-0.19425+0.15449i,0.0022918+0.16382i,0.060274+0.13727i,0.043719+0.092336i,0.012331+0.048276i,-0.01482+0.0035815i,-0.037943-0.02675i,-0.039162-0.040936i,-0.020828-0.053784i,-0.0060238-0.056258i,0.0041699-0.039732i,0.011572-0.023172i,0.0092019-0.016246i,-0.0009026-0.0089619i,-0.0096851-0.0010764i,-0.011029+0.0041983i,-0.0060277+0.0064715i,-0.001632+0.0033105i,-0.0050456-0.00062892i
0.19733+0.0050788i,0.36477-0.089913i,0.43742-0.28109i,0.3448-0.41547i,0.19925-0.36494i,0.0844-0.23648i,-0.033123-0.14215i,-0.10008-0.064891i,-0.066835-0.0145i,-0.0073849-0.0033782i,0.027722+0.0055541i,0.045872+0.015301i,0.042792+0.014873i,0.024414+0.01314i,0.0053041+0.012369i,-0.0045315+0.016808i,0.00041399+0.02175i,0.0092474+0.014901i,0.009544+0.00070725i,0.0010286-0.0075222i,-0.0078152-0.0065937i,-0.0073349-0.0020703i,0.0026322-0.00056762i
-0.20651+0.024633i,-0.32563+0.1263i,-0.28096+0.25962i,-0.095247+0.25696i,0.011139+0.070697i,0.0041275-0.085976i,0.00458-0.10607i,0.0060294-0.090662i,-0.022177-0.055528i,-0.035938+0.0026088i,-0.028153+0.026675i,-0.028952+0.013778i,-0.035054-0.0074601i,-0.035254-0.01668i,-0.02732-0.0098807i,-0.016049-0.0053006i,-0.007241-0.0067652i,0.0014528-0.0071696i,0.0061438-0.004997i,0.0051797+0.00078163i,0.0035395+0.0062404i,0.0026386+0.0087537i,-0.00050195+0.012773i
0.18533-0.088382i,0.27252-0.20068i,0.17741-0.24736i,-0.052854-0.1288i,-0.19692+0.046033i,-0.17685+0.12055i,-0.074315+0.12278i,0.025388+0.10623i,0.059049+0.053685i,0.035871+0.00081546i,0.014638-0.021562i,0.012305-0.0098643i,0.024346+0.02667i,0.037672+0.043785i,0.035215+0.028307i,0.021452+0.010999i,0.0085951+0.0039103i,-0.0018662+0.0024885i,-0.0076404+0.00408i,-0.0075469+0.0030178i,-0.0065422+0.00087196i,-0.0065206-0.00028416i,-0.0081633-0.0068331i
-0.13023+0.10154i,-0.16289+0.22862i,-0.084464+0.31225i,0.037788+0.28398i,0.096161+0.21656i,0.094023+0.15276i,0.06688+0.06955i,0.023399+0.018957i,0.0047629+0.020869i,0.010057+0.018136i,-0.0018867+0.0068118i,-0.023848-0.0012369i,-0.043442-0.01142i,-0.046049-0.0097387i,-0.025638-0.0028837i,-0.011174-0.0059718i,-0.015926-0.0088903i,-0.019817-0.0058391i,-0.013716-0.0019835i,-0.0038342-0.0019718i,0.0051769-0.0085106i,0.0075253-0.015675i,0.0070314-0.013757i
0.13658-0.085585i,0.15841-0.17932i,0.073769-0.24786i,-0.0087073-0.23542i,0.034918-0.16447i,0.10101-0.09636i,0.082602-0.058558i,0.034651-0.045206i,0.0019903-0.050555i,-0.020206-0.045831i,-0.013699-0.018489i,0.026298-0.0018932i,0.060157-0.011845i,0.055985-0.029133i,0.025983-0.027428i,0.0073003-0.007706i,0.012612+0.0037431i,0.019455+0.0020537i,0.01498-0.0010347i,0.0058662-0.0024045i,0.00025539-0.00033323i,0.00042415+0.0038265i,0.0021172+0.0057877i
-0.15942+0.11804i,-0.20956+0.20506i,-0.10223+0.1542i,0.074726-0.074343i,0.10936-0.28652i,0.01886-0.32169i,-0.066509-0.23103i,-0.10305-0.11799i,-0.082233-0.028461i,-0.030289+0.012488i,0.00075611+0.015111i,-0.0040523+0.012672i,-0.023024+0.018866i,-0.02882+0.030572i,-0.017724+0.030505i,-0.0086004+0.018985i,-0.0036404+0.016941i,0.0042046+0.017053i,0.0092682+0.0085403i,0.0079328+0.00010314i,0.0023199-0.0011025i,-0.0037046+0.0039779i,-0.0045051+0.0083462i
0.097789-0.19112i,0.093461-0.3242i,0.0035104-0.27778i,-0.10196-0.040769i,-0.1343+0.10144i,-0.082677+0.054979i,0.021052-0.011133i,0.087915-0.039075i,0.062394-0.027218i,0.021525+0.0083377i,0.011697+0.0077416i,0.0094617-0.011899i,0.013977-0.017567i,0.0093849-0.017708i,-0.0019167-0.010324i,0.0014072-0.0034805i,0.0044389-0.0079397i,-0.0021104-0.0090712i,-0.0075131-0.0017262i,-0.0079703+0.0076254i,-0.0032653+0.014667i,0.0025345+0.011285i,0.0018247+0.0029682i
-0.027005+0.14979i,0.01357+0.24541i,0.033872+0.27251i,-0.041177+0.24292i,-0.11582+0.25351i,-0.093414+0.28145i,-0.038132+0.25433i,0.011962+0.20653i,0.067622+0.12276i,0.073215+0.020082i,0.023319-0.015853i,-0.01873+0.00079306i,-0.032652+0.018012i,-0.01883+0.019916i,-0.0012603+0.004715i,-0.0043112-0.0069918i,-0.012179-0.0056113i,-0.01486-0.0017916i,-0.015581+0.00044034i,-0.013084+0.0014496i,-0.0090751-0.00045068i,-0.0058302-0.0023768i,-0.001205-0.0030748i
0.075796-0.13093i,0.074795-0.21133i,0.039376-0.23675i,0.053069-0.16803i,0.12464-0.05106i,0.12387-0.014062i,0.015955-0.066268i,-0.086797-0.10248i,-0.106-0.077415i,-0.066154-0.034045i,-0.021459-0.0074495i,0.014702-0.0014045i,0.035179-0.012475i,0.02875-0.020633i,0.015491-0.011947i,0.010175-0.0041441i,0.0064208-0.0070066i,0.0033959-0.012107i,0.0032074-0.015255i,0.0047004-0.016137i,0.0036272-0.015297i,0.0003035-0.014259i,-0.0022233-0.010004i
-0.060287+0.20605i,0.0053713+0.32416i,0.16267+0.26049i,0.26821-0.011394i,0.23028-0.25001i,0.15979-0.25807i,0.13618-0.15179i,0.10539-0.08602i,0.033955-0.058211i,-0.028337-0.026155i,-0.037291+0.0035264i,-0.020162+0.019303i,-0.0080162+0.030509i,0.00060884+0.032103i,-0.0015271+0.022393i,-0.0099275+0.019122i,-0.0063071+0.023827i,0.0070871+0.024215i,0.017989+0.01665i,0.016828+0.0045379i,0.0064435-0.0016917i,-0.00015706+0.0036802i,0.00023019+0.0096687i
-0.047953-0.20694i,-0.18982-0.25398i,-0.28532-0.13747i,-0.21676-0.0014647i,-0.13948-0.038179i,-0.16231-0.12172i,-0.15547-0.061645i,-0.087975+0.04105i,-0.033424+0.0914i,0.0047552+0.090499i,0.022653+0.043527i,0.014727-0.0080145i,0.00088733-0.029795i,-0.0085719-0.021968i,-0.0032887-0.0099589i,0.0067605-0.011326i,0.0028154-0.013275i,-0.0085996-0.0073205i,-0.018904+0.0012435i,-0.019185+0.0091023i,-0.010377+0.010135i,-0.0059187+0.0035198i,-0.0092212-0.0011642i
0.024276+0.11965i,0.062535+0.10264i,-0.0062233+0.056701i,-0.17263+0.12276i,-0.21111+0.2158i,-0.079788+0.16436i,0.027948+0.019359i,0.046715-0.058913i,0.042556-0.07149i,0.029906-0.063882i,0.0094251-0.039459i,-0.0081295-0.011824i,-0.018489+0.0030279i,-0.018598+0.0061442i,-0.012497+0.013259i,-0.0026374+0.021421i,0.0074953+0.016682i,0.013988+0.0035443i,0.013395-0.0074431i,0.0072045-0.010075i,0.0058154-0.0059244i,0.011951-0.0037515i,0.017429-0.0066868i
0.051717-0.18829i,0.020076-0.26386i,-0.053878-0.24712i,-0.10057-0.13784i,-0.044792+0.05385i,0.049358+0.17938i,0.069056+0.14513i,0.044932+0.061344i,0.038434+0.0029494i,0.037096-0.033607i,0.03033-0.03507i,0.041119-0.022819i,0.053134-0.024636i,0.040246-0.02565i,0.011694-0.022555i,-0.011828-0.019902i,-0.018763-0.01263i,-0.015466-0.00020538i,-0.0087156+0.012576i,0.00065623+0.014139i,0.0033631+0.0088883i,-0.001931+0.0092857i,-0.0053549+0.01349i
0.028705+0.26458i,0.16807+0.32147i,0.33479+0.11177i,0.39361-0.20156i,0.32092-0.33926i,0.19564-0.30646i,0.06477-0.22227i,-0.043932-0.11846i,-0.088865-0.027688i,-0.089235+0.012638i,-0.07674+0.029838i,-0.057752+0.05475i,-0.036777+0.073612i,-0.013815+0.061209i,0.0067795+0.02788i,0.014896+0.0031486i,0.011404-0.0040303i,0.005128-0.0084559i,-0.0019469-0.01555i,-0.009556-0.013498i,-0.012616-0.0063619i,-0.0098484-0.0044981i,-0.0042017-0.0077855i
-0.097115-0.23001i,-0.15632-0.23554i,-0.047594-0.046479i,0.14959+0.068339i,0.14233-0.027737i,-0.0020244-0.063843i,-0.014608+0.018139i,0.055888+0.051108i,0.071585+0.042133i,0.066494+0.03486i,0.0567-0.00082529i,0.025877-0.047512i,-0.002074-0.070609i,-0.013338-0.060733i,-0.011719-0.028769i,-0.0069566-0.0043779i,-0.0060191+0.0012195i,-0.0025618+0.004415i,0.0043401+0.0082401i,0.0043517+0.0063773i,-0.00119+0.0024088i,-0.0045165+0.00076903i,-0.0060521+0.004928i
0.07379+0.21713i,0.089111+0.33125i,-0.0032028+0.36302i,-0.12701+0.33219i,-0.16886+0.22176i,-0.17013+0.072904i,-0.1553+0.030062i,-0.091035+0.049257i,-0.032254+0.038263i,-0.0082334+0.030575i,0.0072055+0.04842i,0.023062+0.074216i,0.038238+0.084334i,0.03946+0.066111i,0.021718+0.038869i,0.0038662+0.022643i,-0.00011328+0.013052i,0.00061851+0.0012855i,-0.0061766-0.0064843i,-0.0088558-0.0064443i,-0.00055613-0.0079579i,0.0033709-0.013548i,-0.0017509-0.016843i
-0.13272-0.28735i,-0.30061-0.4146i,-0.47911-0.31854i,-0.49138-0.032639i,-0.22654+0.18924i,0.083739+0.17694i,0.16316+0.0072496i,0.05978-0.11474i,-0.024294-0.12286i,-0.039756-0.09741i,-0.038542-0.086896i,-0.043603-0.090955i,-0.054138-0.086145i,-0.050707-0.053668i,-0.02837-0.020271i,-0.011041-0.0082008i,-0.0068982-0.0011284i,-0.0033963+0.0091131i,0.0077263+0.012692i,0.017713+0.0073787i,0.014838+0.0046965i,0.0090019+0.010334i,0.011967+0.015193i
0.26336+0.26508i,0.45285+0.25095i,0.45314-0.05604i,0.22805-0.36473i,0.0053844-0.3578i,-0.042831-0.21031i,-0.012847-0.12192i,0.0039401-0.036837i,0.0055177+0.028565i,-0.012231+0.053927i,0.0025895+0.067817i,0.05063+0.054368i,0.072264+0.031354i,0.062168+0.015304i,0.038714+0.0054398i,0.020502+0.0066267i,0.012501+0.0051331i,0.0022262+0.0033731i,-0.0066594+0.0076389i,-0.0083951+0.0083648i,-0.008611+0.0045453i,-0.010272+0.0029678i,-0.013445+0.0013915i
-0.33952-0.18948i,-0.45772-0.17889i,-0.19956-0.044472i,0.22292-0.00055212i,0.3292-0.086066i,0.15556-0.099019i,0.023672-0.02145i,-0.0032529+0.034907i,0.017913+0.049676i,0.04114+0.018102i,0.0098516-0.012187i,-0.043868+0.00074754i,-0.072757+0.016897i,-0.072349+0.019156i,-0.04806+0.010681i,-0.02772-0.0040894i,-0.019527-0.0081714i,-0.0053821-0.010489i,0.0022913-0.018243i,-0.0030497-0.017122i,-0.0038312-0.0078007i,0.0024095-0.0034338i,0.0082778-0.004527i
0.35005+0.11225i,0.50132+0.13464i,0.35654+0.1459i,0.061503+0.18082i,-0.08215+0.16108i,-0.093836+0.076157i,-0.059251+0.017772i,-0.005114-0.030307i,0.014233-0.067301i,0.017723-0.057265i,0.031149-0.036121i,0.05278-0.018244i,0.079279-0.019378i,0.070413-0.03379i,0.033327-0.018447i,0.017099+0.0051467i,0.018588+0.0063423i,0.015358-0.0013965i,0.004779-0.0035698i,-0.0062852-0.00049574i,-0.009999+0.0010825i,-0.0076711-0.00016098i,-0.0081885+0.0015297i
-0.36571-0.091062i,-0.58201-0.072727i,-0.57564-0.011246i,-0.36603-0.0094521i,-0.1271-0.073667i,0.059585-0.10927i,0.13079-0.10977i,0.078723-0.084201i,0.0060919-0.053982i,-0.040646-0.045343i,-0.0653-0.026283i,-0.059275+0.0057162i,-0.039957+0.035035i,-0.018202+0.050063i,-0.006523+0.031102i,-0.017033+0.0090536i,-0.027886+0.011282i,-0.025431+0.020118i,-0.012571+0.021831i,0.0047934+0.015206i,0.011175+0.0075727i,0.0089675+0.0058835i,0.0099436+0.0025865i
0.44104+0.015793i,0.67731-0.11188i,0.59066-0.28789i,0.24463-0.3055i,-0.030812-0.13925i,-0.1345-0.0090368i,-0.14376+0.03689i,-0.10329+0.076864i,-0.065447+0.11393i,-0.025889+0.13049i,0.023818+0.092077i,0.028634+0.016334i,-0.0051765-0.024805i,-0.017818-0.026968i,0.0020165-0.021175i,0.020446-0.022719i,0.014431-0.028599i,-0.0027802-0.023985i,-0.010273-0.012332i,-0.0097923-0.0033153i,-0.0079053-0.0011281i,-0.0090688-0.00137i,-0.011967+0.0064598i
-0.44344+0.11697i,-0.5878+0.3108i,-0.32792+0.38466i,0.093153+0.22737i,0.24589+0.038029i,0.19615-0.029632i,0.12384-0.054732i,0.052699-0.063402i,0.03586-0.041461i,0.045449-0.028791i,0.029417-0.012502i,0.020837+0.013016i,0.032454+0.019442i,0.035322+0.012914i,0.013456+0.010881i,-0.008496+0.019578i,-0.00041456+0.028132i,0.022489+0.016433i,0.026501-0.0067102i,0.012161-0.019908i,0.00071549-0.019961i,-0.0018941-0.014163i,-0.00023905-0.012544i
0.33094-0.22978i,0.39295-0.40278i,0.20754-0.29695i,0.038797+0.030941i,0.089101+0.16562i,0.1395+0.079022i,0.10251+0.0078012i,0.070996-0.037731i,0.043182-0.079316i,0.023602-0.084288i,0.013706-0.066205i,0.0090944-0.034981i,0.0086665-0.010874i,-0.00095894+0.0028903i,-0.0011+0.012722i,0.006414+0.0027105i,-0.00412-0.0090649i,-0.019577-0.00028729i,-0.019331+0.016095i,-0.0076251+0.023091i,0.00029065+0.018592i,-0.0012182+0.011411i,-0.0025625+0.008938i
-0.25349+0.20306i,-0.38632+0.38055i,-0.4387+0.39334i,-0.40757+0.204i,-0.27496-0.02046i,-0.11627-0.17919i,-0.05442-0.21398i,-0.048811-0.13294i,-0.05386-0.064516i,-0.082399-0.035575i,-0.082625-0.0077897i,-0.053568-0.0086796i,-0.039312-0.022568i,-0.030044-0.017183i,-0.017674-0.0014945i,-0.003281+0.013122i,0.012647+0.012443i,0.016915-0.00067114i,0.010232-0.0082984i,0.0016628-0.0067437i,0.00011477-0.0017387i,0.0070667-0.003084i,0.0093717-0.010446i
0.25129-0.17876i,0.32969-0.42585i,0.24061-0.62556i,0.038964-0.58524i,-0.14708-0.3074i,-0.2112-0.022009i,-0.13746+0.11284i,-0.041632+0.15051i,0.0068326+0.16772i,0.03743+0.1484i,0.051116+0.087688i,0.045141+0.043819i,0.034062+0.035859i,0.022462+0.029481i,0.012478+0.010704i,-0.002097-0.0007253i,-0.013813+0.0088383i,-0.0084739+0.020654i,-0.00078166+0.015955i,-0.0024002+0.0011922i,-0.0079291-0.0085404i,-0.0087328-0.0032006i,-0.00073528+0.011159i
-0.21989+0.22285i,-0.099083+0.42686i,0.29123+0.45371i,0.56956+0.22887i,0.48235-0.001636i,0.29492-0.065366i,0.18285-0.074548i,0.082365-0.082708i,0.029666-0.068806i,0.015036-0.066775i,-0.016663-0.04379i,-0.02701+0.0026488i,-0.010326+0.012357i,-0.012408+0.0039299i,-0.029235+0.015226i,-0.030021+0.024877i,-0.017488+0.009805i,-0.010263-0.018984i,-0.013602-0.034303i,-0.016227-0.024312i,-0.010364-0.0080267i,-0.0083493-0.0036307i,-0.01655-0.0082671i
0.13833-0.25524i,0.013868-0.38613i,-0.26367-0.26117i,-0.34688+0.047427i,-0.12138+0.1846i,0.10341+0.072051i,0.13618-0.069293i,0.068083-0.13249i,0.0096981-0.1408i,-0.0064626-0.1204i,-0.0028426-0.082853i,0.01408-0.045092i,0.034401-0.029848i,0.033878-0.031466i,0.019932-0.03772i,0.0014542-0.037511i,-0.0086368-0.018816i,-0.0012048+0.0079305i,0.011913+0.024189i,0.015682+0.025395i,0.0088191+0.020216i,0.0053501+0.015587i,0.0082313+0.0074078i
-0.15914+0.10601i,-0.18292+0.072837i,-0.20416-0.13393i,-0.29365-0.30869i,-0.30797-0.27374i,-0.18366-0.18963i,-0.091004-0.16366i,-0.084178-0.10539i,-0.08962-0.016613i,-0.06407+0.047252i,-0.012952+0.048011i,0.0046965+0.0076427i,-0.011498+0.0039841i,-0.00064586+0.031087i,0.032386+0.03445i,0.044461+0.016391i,0.024016+0.0048875i,-0.0070031+0.0067612i,-0.02113+0.011649i,-0.015721+0.006896i,-0.0077233-0.0029045i,-0.0044002-0.0075872i,-0.0028001-0.0045285i
0.23665-0.079973i,0.34737-0.036086i,0.40001+0.082312i,0.4174+0.12054i,0.33526+0.068412i,0.15077+0.070922i,0.0391+0.131i,0.035415+0.15556i,0.048244+0.15828i,0.078687+0.14251i,0.098203+0.086313i,0.076903+0.042507i,0.046473+0.029583i,0.013814+0.022002i,-0.011162+0.022443i,-0.01356+0.025014i,-0.0028833+0.017348i,0.010596+0.0015222i,0.01276-0.0093869i,0.0054491-0.0070584i,0.0061457-0.0024683i,0.014035+0.00069865i,0.019016+0.0051141i
-0.3309+0.20013i,-0.46117+0.43034i,-0.30096+0.59312i,0.008428+0.52282i,0.13369+0.24667i,0.090052+0.026069i,0.059246-0.017433i,0.077323-0.015288i,0.090253-0.053711i,0.044342-0.098619i,-0.044186-0.084818i,-0.08963-0.026534i,-0.066222-0.0052583i,-0.03175-0.024741i,-0.022784-0.038294i,-0.028779-0.033527i,-0.023755-0.018982i,-0.0050645-0.0069431i,0.0068609-0.0081327i,0.0058302-0.013933i,0.00034055-0.011853i,-0.011486-0.0027304i,-0.02131+0.010576i
0.32172-0.36609i,0.42648-0.69684i,0.27434-0.80902i,-0.0166-0.63625i,-0.22522-0.43939i,-0.33671-0.34273i,-0.31864-0.24245i,-0.18465-0.1253i,-0.087759-0.071089i,-0.048828-0.037593i,0.015088-0.0109i,0.077665-0.030818i,0.075951-0.043494i,0.052959-0.018862i,0.048607-0.0078572i,0.034116-0.013657i,0.011781-0.0084999i,-0.004581+0.00013097i,-0.01131+0.0050102i,-0.009792+0.0076793i,-0.010074+0.0069468i,-0.0073313+0.0034824i,0.0013925+0.0006147i
-0.13372+0.32405i,-0.081873+0.48472i,0.013684+0.2871i,-0.0016269-0.082482i,-0.018755-0.24464i,0.10388-0.31508i,0.1658-0.39188i,0.057949-0.30177i,-0.057765-0.099511i,-0.093435+0.042109i,-0.043427+0.10556i,0.03977+0.093842i,0.059687+0.044863i,0.023369+0.033625i,-0.0042573+0.067867i,-0.0022006+0.093189i,0.0042086+0.072613i,0.0013231+0.026281i,-0.0074361-0.0061101i,-0.021706-0.0095398i,-0.033681+0.00076074i,-0.036658+0.0076494i,-0.035004+0.0048642i
0.10138-0.34862i,-0.06394-0.52324i,-0.21665-0.45082i,-0.094303-0.25512i,0.23757-0.19959i,0.50302-0.24993i,0.50129-0.25354i,0.27862-0.16664i,0.082941-0.040165i,0.017634+0.023699i,-0.014378+0.037544i,-0.022746+0.069426i,0.0014673+0.081117i,-0.00070326+0.059663i,-0.01802+0.042401i,-0.018328+0.025708i,-0.0092302+0.013826i,0.006325+0.018095i,0.019666+0.019919i,0.022634+0.010046i,0.019536-0.0033171i,0.012915-0.010706i,0.0044356-0.0079807i
-0.11892+0.21979i,-0.14729+0.40829i,-0.062365+0.5542i,0.17042+0.52323i,0.44443+0.24204i,0.52833-0.085245i,0.36558-0.19501i,0.1663-0.13017i,0.080125-0.09669i,0.022193-0.13582i,-0.068071-0.12996i,-0.10593-0.064988i,-0.070976-0.020795i,-0.026356-0.0022695i,-0.0012188-0.0011443i,-0.010858-0.016652i,-0.035459-0.0071767i,-0.031013+0.016626i,-0.01245+0.01214i,-0.0098544-0.010303i,-0.01457-0.028828i,-0.02286-0.037837i,-0.03228-0.027077i
0.16632-0.25741i,0.17899-0.53816i,0.058371-0.65738i,-0.046789-0.52416i,-0.0078562-0.31602i,0.13026-0.14739i,0.22889-0.067846i,0.14793-0.06756i,0.00047356-0.050721i,-0.039401-0.033148i,-0.0085591-0.0093264i,0.060661+0.048875i,0.10935+0.070322i,0.059814+0.054001i,-0.018035+0.026479i,-0.062906-0.017169i,-0.071216-0.040806i,-0.049524-0.034218i,-0.023942-0.027592i,-0.011515-0.023271i,-0.0077079-0.013357i,0.0065217-0.0080809i,0.012623-0.014592i
-1.7878+7.6346i,0.36808+5.7676i,3.743+4.6282i,5.5161+1.5079i,4.804-1.1615i,2.603-1.7119i,0.72101-0.39823i,0.13903+0.96279i,0.65433+1.3631i,1.5189+0.6807i,1.6787-0.58073i,1.1049-1.4705i,0.55217-1.5174i,0.49554-1.0002i,0.78662-0.65544i,0.65879-0.51481i,0.19007-0.22311i,-0.051512-0.039333i,-0.13742-0.12429i,-0.14192-0.16497i,0.014762-0.17931i,0.15085-0.35696i,0.051811-0.50232i
0.022606-0.0018787i,0.019359+0.047914i,0.082979+0.1163i,0.2042+0.03873i,0.2614-0.15504i,0.27057-0.3056i,0.23994-0.38549i,0.11479-0.32815i,0.025699-0.18166i,0.009917-0.11731i,-0.0049225-0.084988i,0.033963-0.037913i,0.08445-0.043562i,0.061864-0.059161i,0.0079459-0.052287i,-0.039192-0.040432i,-0.063917-0.015532i,-0.061783+0.023596i,-0.039675+0.04862i,-0.014772+0.049831i,-0.0055754+0.044029i,-0.0022931+0.035151i,-0.0039015+0.024764i
-0.28865-0.068397i,-0.57388-0.17499i,-0.80314-0.19018i,-0.79806-0.050104i,-0.63965+0.057097i,-0.54206+0.071289i,-0.44+0.1377i,-0.23147+0.17226i,-0.08622+0.085808i,-0.066137+0.02082i,-0.029189+0.012874i,0.025871-0.0094359i,0.039549-0.02721i,0.037312-0.0155i,0.033165+0.0024803i,0.023818+0.013773i,0.020634+0.014241i,0.011332-0.0024538i,-0.014167-0.015959i,-0.032276-0.014454i,-0.034227-0.014208i,-0.027293-0.0166i,-0.013421-0.015829i
0.29346-0.24523i,0.58376-0.49831i,0.66328-0.73912i,0.42331-0.75663i,0.16967-0.44144i,0.090915-0.084958i,0.0061449+0.0071977i,-0.11791-0.0067932i,-0.10778+0.027001i,-0.016619+0.02566i,0.0081258-0.017102i,-0.024836-0.03651i,-0.044164-0.038915i,-0.039211-0.061103i,-0.03228-0.092647i,-0.027082-0.097038i,-0.014611-0.060538i,0.015122-0.015794i,0.046779-0.008437i,0.048267-0.023401i,0.028227-0.025596i,0.02002-0.023122i,0.023766-0.029i
-0.18758+0.49159i,-0.088373+0.88506i,0.23078+0.80591i,0.34639+0.21483i,0.0035778-0.18902i,-0.31056-0.059993i,-0.2254+0.17746i,0.0018642+0.17258i,0.089986+0.035508i,0.026265-0.033745i,-0.033614-0.011643i,-0.042967-0.013617i,-0.063429-0.053249i,-0.066758-0.070792i,-0.038407-0.071361i,-0.010074-0.060593i,0.0038512-0.039805i,0.0014544-0.020188i,0.0003804-0.0061837i,0.00067661-0.00073127i,-0.0069136+0.005461i,-0.014325+0.019543i,-0.015493+0.027788i
