0.0015807+0.0018282i,0.0013062+0.001482i,0.00064571+0.0011742i,-0.00024729+0.00070565i,-0.0012775+0.0007276i,-0.0019965+0.0014959i,-0.0013151+0.0019106i,-0.00065005+0.0020603i,5.9036e-06+0.0015812i,0.00086518+0.00055112i,0.0012933-0.00021342i,0.00082429-6.7937e-05i,0.00034317-0.00024357i,0.00049518-0.00035564i,0.00029972+0.00032797i,-0.00029482+0.00016991i,2.6755e-05-0.00014079i,0.00074863+2.7951e-05i,0.0008855+9.3986e-05i,0.00057749-0.00017505i,0.00021318-0.00061445i,3.714e-05-0.00083448i,9.6845e-05-0.00084375i
-0.079672+0.10179i,-0.076492+0.11651i,-0.042058+0.12549i,-0.038645+0.18014i,-0.063051+0.23977i,-0.06081+0.21352i,-0.040721+0.12209i,-0.021823+0.058526i,-0.00071712+0.038483i,0.015844+0.028984i,0.01839+0.018956i,0.010045+0.011704i,-0.0019375+0.011236i,-0.0070191+0.012378i,-0.0031165+0.0039206i,0.0016929-0.011684i,0.0045413-0.023261i,0.0038716-0.025075i,-0.0036833-0.011329i,-0.012188+0.016459i,-0.011892+0.034873i,-0.0073718+0.027849i,-0.0071209+0.014902i
0.0025783-0.074783i,0.026186-0.072791i,0.052412-0.06995i,0.11484-0.10675i,0.1811-0.15341i,0.16791-0.13795i,0.10191-0.068463i,0.054883-0.023846i,0.024809-0.021387i,0.0012798-0.021155i,-0.0038567-0.010049i,0.0037919+0.0012457i,0.011797+0.0079452i,0.013822+0.0099306i,0.0089553+0.0096473i,0.00034098+0.0078757i,-0.0097653+0.0061475i,-0.014855+0.0080517i,-0.0040419+0.0091109i,0.018247+0.0013344i,0.029957-0.006881i,0.02445-0.0051225i,0.017117-0.0007658i
-0.016346-0.02736i,-0.043281-0.0087797i,-0.070579+0.011379i,-0.12535+0.018908i,-0.18724+0.018723i,-0.17098+0.010601i,-0.094181-0.0097975i,-0.044489-0.017301i,-0.028476-0.0021532i,-0.020682+0.011334i,-0.016818+0.014528i,-0.015622+0.0061466i,-0.020462-0.0096476i,-0.024409-0.016831i,-0.017044-0.010935i,-0.0021373-0.00019283i,0.011915+0.007289i,0.017774+0.0053729i,0.0087372-0.0082119i,-0.013004-0.022743i,-0.02847-0.024264i,-0.023445-0.015031i,-0.011991-0.0081051i
0.08717+0.048664i,0.10112+0.02551i,0.092544+0.011195i,0.11647+0.054458i,0.1644+0.10679i,0.15074+0.10536i,0.079024+0.071995i,0.032517+0.041571i,0.02737+0.013975i,0.0281-0.01238i,0.019799-0.024014i,0.011921-0.015736i,0.012895-0.0019612i,0.013444+0.0031308i,0.0056001-0.00030603i,-0.0047665-0.0063803i,-0.01147-0.011836i,-0.014145-0.012829i,-0.014406-0.00029444i,-0.0082332+0.021882i,-8.5811e-05+0.031672i,0.00052414+0.023824i,-0.0016772+0.015593i
-0.08173+0.016385i,-0.078288+0.015579i,-0.048522-0.0028461i,-0.042532-0.075895i,-0.060832-0.15395i,-0.05657-0.15161i,-0.02137-0.088588i,0.00084983-0.038614i,-0.0054361-0.011066i,-0.0094135+0.0094119i,-0.001484+0.015106i,0.0061739+0.0084068i,0.010755-0.0011208i,0.013168-0.0083391i,0.010382-0.0088007i,0.0038705-0.0042883i,-0.0013993+0.0026578i,0.00048939+0.0089148i,0.012131+0.0055288i,0.024921-0.0086558i,0.027695-0.018298i,0.021114-0.015287i,0.013895-0.0093341i
0.0068921-0.0062063i,0.023056+0.010645i,0.027394+0.029221i,0.011711+0.072801i,-0.011632+0.13118i,-0.021176+0.12715i,-0.02449+0.064841i,-0.022456+0.024419i,-0.0075476+0.015442i,0.0048075+0.013628i,0.0069296+0.013004i,-0.00033318+0.0095744i,-0.01282+0.010723i,-0.015253+0.016497i,-0.0055116+0.015463i,0.0060601+0.0076181i,0.013918-0.0028883i,0.012706-0.0122i,-0.0047252-0.015708i,-0.02958-0.011003i,-0.039324-0.0025481i,-0.028507+0.0007538i,-0.014605-0.00049898i
0.011998-0.069997i,-0.022881-0.07621i,-0.032529-0.047544i,0.026425-0.041232i,0.095735-0.076169i,0.10498-0.074193i,0.073305-0.025069i,0.043088+0.00026244i,0.017931-0.0091201i,-0.0065113-0.021486i,-0.019465-0.020457i,-0.011748-0.013134i,0.0019274-0.012645i,0.0030381-0.014061i,-0.0044724-0.010099i,-0.010328-0.0050909i,-0.014674-0.0016199i,-0.015417+0.0016009i,-0.0061992+0.0092799i,0.0114+0.019537i,0.021614+0.021542i,0.015809+0.016714i,0.0078748+0.012729i
0.035692+0.083085i,0.06481+0.084008i,0.054726+0.046116i,-0.018124+0.021558i,-0.093994+0.025305i,-0.10151+0.018834i,-0.055756-0.0040983i,-0.019174-0.012285i,-0.001204+0.00011105i,0.014806+0.0078771i,0.020973+0.0025382i,0.013463-0.0041983i,0.0033016-0.0080954i,-0.0036272-0.010361i,-0.0069076-0.0083236i,-0.006797-0.001303i,-0.0031208+0.0047171i,0.0030573+0.0047551i,0.0088363-0.0067939i,0.0095793-0.02584i,0.0053066-0.034037i,0.0022475-0.024574i,0.0014416-0.013596i
-0.033646-0.01701i,-0.030142-0.033433i,-0.016661-0.040064i,0.020064-0.017658i,0.076095+0.019767i,0.080654+0.033779i,0.030414+0.029375i,-0.00063878+0.021196i,-0.0040359+0.0073056i,-0.0047984+0.00098656i,-0.0026434+0.0043791i,0.0012158+0.0098354i,0.0073319+0.013553i,0.014759+0.010039i,0.018488+0.001915i,0.019091-0.0049471i,0.015136-0.011354i,0.0046543-0.014153i,-0.010997-0.0046347i,-0.024216+0.013564i,-0.024993+0.02295i,-0.016139+0.015731i,-0.0098294+0.006436i
-0.043549-0.0043086i,-0.056874+0.038535i,-0.02585+0.068495i,-0.0042471+0.023669i,-0.029932-0.049436i,-0.030529-0.068038i,0.005736-0.041613i,0.020442-0.017901i,0.007852-0.0041527i,-0.0076215+0.0047115i,-0.012406+0.0086898i,-0.00987+0.0035392i,-0.010304-0.0042731i,-0.012684-0.0028186i,-0.013139+0.001832i,-0.013695+0.0025021i,-0.012421+0.003596i,-0.0076759+0.0070029i,0.0038818+0.0076207i,0.020532+0.0045088i,0.025628+0.0021989i,0.017398+0.0039334i,0.011476+0.0056232i
0.091321-0.050942i,0.097664-0.095515i,0.061511-0.091905i,0.034579-0.026224i,0.030878+0.043235i,0.017825+0.059712i,-0.002311+0.030788i,-0.0070539+0.0056129i,0.0033499-0.0034372i,0.012325-0.01312i,0.0094097-0.017445i,0.0020817-0.009758i,-0.002822-0.00047539i,-0.0051689+0.0039614i,-0.0041342+0.0061195i,0.00019323+0.0086537i,0.0047632+0.008987i,0.0071278+0.0031691i,0.0011824-0.0098062i,-0.012895-0.023361i,-0.019859-0.02384i,-0.013724-0.014239i,-0.0052883-0.0077007i
-0.032277+0.067609i,-0.046941+0.079282i,-0.063467+0.056065i,-0.050328+0.018483i,-0.006399-0.02201i,0.019482-0.030573i,0.016562-0.0028668i,0.0089118+0.012903i,0.0003258+0.010649i,-0.0036719+0.011373i,0.0022252+0.011386i,0.010132+0.0047601i,0.013747-0.0064124i,0.010858-0.016949i,0.0061849-0.021461i,0.0045876-0.022416i,0.0025563-0.021663i,-0.0019347-0.015981i,-0.0044687-0.0018369i,-0.0014194+0.016867i,0.002713+0.022799i,0.0012931+0.013474i,-0.0024032+0.0062242i
-0.01857+0.019617i,0.034963+0.040936i,0.09033+0.026841i,0.068146+0.014326i,0.0029305+0.030171i,-0.022604+0.023785i,-0.0085722-0.005437i,0.0064684-0.014554i,0.010928-0.009379i,0.0076303-0.00512i,0.0005805-0.0029719i,-0.0073215-0.00024723i,-0.0089139+0.0040165i,-0.0053031+0.0061807i,-0.0053006+0.0082942i,-0.0090748+0.012092i,-0.011129+0.012686i,-0.0081939+0.0092326i,0.0012034+0.002421i,0.011464-0.0064083i,0.01426-0.0096916i,0.011459-0.0049303i,0.0092943-0.00097174i
-0.037623-0.098658i,-0.097263-0.11505i,-0.10299-0.08094i,-0.045375-0.056496i,0.01518-0.050538i,0.030222-0.026255i,0.0091744-2.8537e-06i,-0.0081828+0.0070702i,-0.0092561+0.0016475i,-0.0066309-0.0045314i,-0.0038141-0.0038089i,0.001286-0.00029496i,0.0049445+0.0035353i,0.0071188+0.005694i,0.0097491+0.0034305i,0.012602-0.00026467i,0.014193-0.0012338i,0.0098984-0.0021335i,-0.0031533-0.0035947i,-0.018469-0.0022495i,-0.022825-0.00028525i,-0.01447-0.0011286i,-0.0066497-0.001698i
0.0981+0.045116i,0.1099+0.063062i,0.068928+0.088966i,0.025102+0.087316i,-0.0052477+0.049249i,-0.010481+0.017281i,0.0075412+0.0091844i,0.014743+0.0076212i,0.009018+0.0095427i,0.0082902+0.012669i,0.0099477+0.0086576i,0.0068048-0.00070623i,-0.0023769-0.008382i,-0.012085-0.0093514i,-0.01437-0.0076296i,-0.012378-0.0092392i,-0.011466-0.012938i,-0.010039-0.012599i,-0.003188-0.0040975i,0.0073261+0.0056995i,0.00991+0.0081272i,0.0031966+0.0061994i,-0.00078053+0.0061965i
-0.016258+0.032644i,0.013595-0.015272i,0.030777-0.08366i,0.037032-0.078086i,0.045093-0.020434i,0.033325+0.003701i,0.010466-0.0070387i,0.0030558-0.016876i,0.00081952-0.019036i,-0.0067438-0.014881i,-0.013606-0.0039064i,-0.012116+0.0080886i,-0.0036213+0.011618i,0.003238+0.0076386i,0.0044118+0.0067376i,0.0045363+0.011221i,0.0044663+0.01523i,0.0046768+0.011935i,0.006259-0.0001314i,0.0059383-0.012904i,0.0050834-0.015662i,0.0052893-0.010043i,0.0048666-0.0068576i
-0.10526+0.011264i,-0.12271+0.075581i,-0.097834+0.094443i,-0.080386+0.051791i,-0.065531+0.0033i,-0.035579-0.0088783i,-0.01403+0.0056284i,-0.0051203+0.017744i,0.001212+0.015904i,0.0062169+0.0074015i,0.010169-0.002519i,0.010249-0.012503i,0.0099836-0.016161i,0.010412-0.014702i,0.0083817-0.015188i,0.0052447-0.015979i,0.0051226-0.014058i,0.0055244-0.010018i,0.00051339-0.0028348i,-0.0069011+0.0063785i,-0.0092134+0.009513i,-0.0064592+0.0057648i,-0.0043424+0.0025549i
0.067456-0.10761i,0.080219-0.11604i,0.099601-0.058355i,0.10272-0.0017769i,0.073115+0.021746i,0.039066+0.019663i,0.024296+0.004695i,0.01637-0.0029338i,0.011463-0.00067i,0.011132+0.0010084i,0.0083471+0.0006765i,0.002059+0.0026932i,-0.0041065+0.0070198i,-0.0063451+0.0097623i,-0.0061515+0.0075001i,-0.0084894+0.0027776i,-0.01319-0.00037138i,-0.013744-0.00090828i,-0.0058205+0.0010161i,0.0043387+0.0029378i,0.0071779+0.0039742i,0.0041944+0.004771i,0.0037548+0.0054971i
0.046147+0.055078i,0.0035601+0.014822i,-0.061772-0.031039i,-0.061662-0.05547i,-0.018873-0.056922i,-0.0016209-0.039047i,-0.0088781-0.018767i,-0.014125-0.012349i,-0.017137-0.008672i,-0.01733+0.0015784i,-0.011126+0.012033i,0.00032364+0.014236i,0.0072598+0.008459i,0.0050448+0.003352i,0.0030377+0.0039079i,0.0072396+0.0070784i,0.011872+0.0084723i,0.0097208+0.0045294i,0.00034884-0.0044031i,-0.0081117-0.011301i,-0.008669-0.011663i,-0.0050508-0.0084697i,-0.0029405-0.0060286i
-0.016933+0.10024i,0.042505+0.1197i,0.067869+0.11041i,0.037428+0.10169i,0.001888+0.083142i,-0.0042265+0.050989i,0.0073631+0.030257i,0.017692+0.020361i,0.019073+0.0080067i,0.011627-0.0068805i,-0.0016049-0.017737i,-0.014163-0.018862i,-0.017978-0.015449i,-0.014399-0.013761i,-0.010678-0.012089i,-0.0081577-0.011304i,-0.0042-0.012432i,0.00021166-0.011425i,0.0031632-0.0040559i,0.0031856+0.0053045i,0.0010827+0.008098i,-0.00056405+0.0052196i,-0.0012852+0.0026733i
-0.097303-0.088301i,-0.10131-0.090311i,-0.040324-0.094023i,0.017347-0.089038i,0.03795-0.063497i,0.033796-0.036685i,0.017656-0.023594i,0.0054782-0.014077i,0.0031731-0.006849i,0.0043168-0.0027143i,0.0070187+0.00060154i,0.011121+0.0025234i,0.012202+0.0033766i,0.0091251+0.0047659i,0.003118+0.0053652i,-0.0035405+0.0048802i,-0.0081452+0.0049808i,-0.007536+0.0057531i,-0.0008599+0.0032272i,0.0078143-0.0021813i,0.010409-0.0036044i,0.0077203-0.001136i,0.0072924+0.00013953i
0.079937-0.04574i,0.031938-0.0097209i,-0.030515+0.04191i,-0.063064+0.04114i,-0.061046+0.014759i,-0.042989+0.008097i,-0.024468+0.012084i,-0.01578+0.012749i,-0.011005+0.013472i,-0.0032871+0.01385i,0.004897+0.011919i,0.0093315+0.0060974i,0.00911-0.00026275i,0.008233-0.0023354i,0.0099867-0.0014185i,0.013013-0.0010038i,0.013641-0.0018298i,0.008668-0.0022731i,-0.0024757-0.00024391i,-0.012438+0.0032681i,-0.012839+0.0037328i,-0.0075275+0.0016433i,-0.0048655+0.00090554i
0.075231+0.04934i,0.10182-0.0018867i,0.11078-0.026032i,0.1111-0.0037403i,0.088974+0.018555i,0.054873+0.016531i,0.033076+0.0071404i,0.023126-0.002142i,0.011982-0.0080552i,-0.00050764-0.0073078i,-0.010737-0.0022376i,-0.015641+0.0055475i,-0.015249+0.010414i,-0.012231+0.0070518i,-0.01096-0.00097711i,-0.011922-0.0071954i,-0.011532-0.010359i,-0.0083674-0.010217i,-0.0030428-0.0076855i,0.0015756-0.002728i,0.0024004+0.0010172i,0.001474+0.0012644i,0.00056935+0.0015248i
-0.097146+0.085028i,-0.087571+0.082494i,-0.079063+0.028092i,-0.065713-0.021362i,-0.040985-0.038289i,-0.021654-0.035017i,-0.014033-0.021369i,-0.0079797-0.0075678i,-0.0022913-0.0022344i,0.0011916-0.0037829i,0.0039135-0.0089043i,0.0062037-0.013985i,0.0062011-0.013697i,0.0040876-0.006759i,0.0027579+0.0019479i,0.0022683+0.0080904i,0.0025295+0.011134i,0.0027325+0.0090695i,0.0023276+0.00041707i,0.00093931-0.0097298i,-0.0011573-0.011467i,-0.001321-0.0065883i,0.001027-0.0046985i
-0.037954-0.08678i,-0.013741-0.037605i,0.018802+0.031268i,0.018186+0.068949i,0.0082716+0.065713i,0.010317+0.04888i,0.012096+0.032725i,0.009635+0.020472i,0.0097899+0.011226i,0.0095803+0.0034179i,0.0065279-0.00057596i,0.0038331-0.0018972i,0.0019314-0.0053508i,0.00035595-0.011079i,0.001288-0.014399i,0.0045875-0.013829i,0.0068146-0.011793i,0.0063998-0.0063804i,0.0037638+0.0032397i,0.0016739+0.011645i,0.0018975+0.011733i,0.0025432+0.0066855i,0.0023657+0.0041981i
0.065734-0.055103i,0.021779-0.077683i,0.0022002-0.091688i,0.019936-0.091117i,0.02926-0.067094i,0.020686-0.038658i,0.011734-0.021819i,0.0042723-0.01344i,-0.00094839-0.0053107i,-0.00184+0.0025967i,-0.00033773+0.0080869i,0.0023907+0.011601i,0.0052997+0.011963i,0.0034728+0.0095784i,-0.004517+0.0070092i,-0.011175+0.0053306i,-0.013277+0.0018857i,-0.011713-0.0029852i,-0.0066257-0.0055001i,-0.0012924-0.0049694i,0.0010059-0.0031204i,2.3601e-05-0.0017653i,-1.7696e-06-0.00025792i
0.059901+0.096909i,0.059419+0.082677i,0.023204+0.070631i,-0.014837+0.05455i,-0.030247+0.031533i,-0.029748+0.014625i,-0.022675+0.0080864i,-0.012314+0.0058206i,-0.006559+0.003827i,-0.0057691+0.0023888i,-0.0058342-0.00081876i,-0.0070353-0.0058732i,-0.006515-0.0055305i,0.00092233-0.00080042i,0.0098501+0.001462i,0.014231+0.0011988i,0.013782+0.0019652i,0.0088618+0.0019348i,0.00049618-0.0017478i,-0.0079985-0.0045207i,-0.010524-0.0021288i,-0.0068904+0.0014629i,-0.0034512+0.0011418i
-0.086965+0.035759i,-0.038818+0.023167i,0.023339+0.0082079i,0.057339+0.009294i,0.058064+0.0091871i,0.046633+0.0019076i,0.031959-0.0019009i,0.019048-0.0025498i,0.010596-0.0057036i,0.0043631-0.0075528i,0.0023107-0.0041924i,0.0028259+0.00053185i,-0.0012755+0.00063881i,-0.0092671-0.0018483i,-0.013721-0.0044i,-0.012369-0.0072661i,-0.0074002-0.0084707i,-0.00070667-0.0062071i,0.0067431-0.0024289i,0.011061-0.00015802i,0.0099024-0.00047227i,0.0060608-0.00077942i,0.0035922+0.00090293i
-0.043665-0.077794i,-0.063568-0.039993i,-0.080307-0.015206i,-0.073694-0.016902i,-0.045563-0.016762i,-0.021893-0.0099623i,-0.00904-0.0069688i,-0.0032249-0.0043203i,0.0013654-0.0010495i,0.0061289-0.0014244i,0.007214-0.0025557i,0.0072623-0.0029825i,0.0089922-0.0044569i,0.0098488-0.0034825i,0.0074094+0.0024607i,0.0029179+0.008251i,-0.0019065+0.0086276i,-0.0065779+0.0057173i,-0.0067436+0.0013727i,-0.003229-0.0029406i,-0.0019581-0.0043064i,-0.0021494-0.0026331i,-0.0010592-0.001629i
0.088786-0.045496i,0.073674-0.043349i,0.058028-0.019481i,0.040618+0.011082i,0.02193+0.025291i,0.0088841+0.026069i,0.0025763+0.021796i,0.00053092+0.014046i,0.00023603+0.0098885i,-8.2966e-05+0.0094768i,-0.0026814+0.0077016i,-0.005569+0.0048856i,-0.0033058+0.0022345i,0.0022428-0.003548i,0.005428-0.010805i,0.0058091-0.012911i,0.0067471-0.010074i,0.0055762-0.0049622i,-0.00016137+0.0011486i,-0.0051688+0.006035i,-0.0045977+0.0084152i,-0.00060489+0.006579i,0.00047813+0.0032442i
0.031534+0.076837i,0.029267+0.042507i,0.027664-0.0049801i,0.026628-0.033918i,0.017723-0.036828i,0.0090769-0.030429i,0.0064896-0.021465i,0.0033043-0.013726i,-0.0025976-0.0096197i,-0.0063841-0.0055611i,-0.0032856-0.0025234i,0.0020342-0.00073628i,0.0020424+0.0040292i,-0.0021578+0.010706i,-0.0059366+0.013337i,-0.0068313+0.010321i,-0.0056287+0.0037108i,-0.0018392-0.003471i,0.0027313-0.007686i,0.0045076-0.0082481i,0.0041163-0.0061885i,0.0023188-0.0022815i,0.0011671+0.001051i
-0.078294+0.039135i,-0.052574+0.057306i,-0.031894+0.072394i,-0.022303+0.062524i,-0.0097999+0.038245i,-0.0010673+0.020659i,0.00065642+0.0094225i,0.0019863+0.0032775i,0.0034537-0.0011926i,0.0015968-0.0051448i,-0.0021611-0.0043209i,-0.0043396-0.0030057i,-0.0048617-0.0062457i,-0.0032635-0.0094807i,0.00062404-0.0078049i,0.0029379-0.0030282i,0.0014438+0.0014586i,-0.00079071+0.0049409i,-0.0012125+0.0035134i,-0.0026969-0.0016376i,-0.0055085-0.0041743i,-0.0052596-0.002261i,-0.0030906-0.0012483i
-0.031904-0.083035i,-0.031815-0.076023i,-0.020701-0.056296i,0.0031926-0.028679i,0.018362-0.0086248i,0.020554+0.00070555i,0.016324+0.0072085i,0.010721+0.0091054i,0.0096793+0.0079353i,0.010505+0.0070704i,0.0086473+0.006097i,0.0059175+0.0054848i,0.0027271+0.0032075i,-0.0019868-0.0019537i,-0.0058618-0.0056382i,-0.0057952-0.0082282i,-0.0023327-0.010293i,0.00057164-0.0078655i,0.0022523-0.00047191i,0.0037919+0.0064442i,0.0049868+0.0071343i,0.0043384+0.0034284i,0.0025362+0.0015808i
0.073182-0.021341i,0.053262-0.023001i,0.019236-0.027383i,-0.0049692-0.023993i,-0.012768-0.012414i,-0.015406-0.0053254i,-0.013592-0.0053089i,-0.0086366-0.0039258i,-0.0070693+0.00051336i,-0.0060454+0.0026828i,-0.0030545-0.00097301i,0.0012678-0.0059353i,0.0068992-0.0063076i,0.011393-0.0013777i,0.01106+0.0030985i,0.0065753+0.0040015i,0.0022341+0.0018613i,-0.00096673-0.00266i,-0.0028653-0.007409i,-0.0017425-0.0090811i,0.00049002-0.0074052i,0.0023935-0.0042875i,0.0049319-0.0017026i
0.030774+0.073296i,0.045614+0.064691i,0.060736+0.049732i,0.05122+0.032911i,0.030632+0.015853i,0.020219+0.0042168i,0.013567-0.00047288i,0.0069792-0.0023884i,0.0028944-0.0028673i,0.00039332-0.0010607i,-0.00011345+0.0019058i,-0.00020239+0.0048195i,-0.0022022+0.005149i,-0.0046465+0.0023414i,-0.0052935-0.00044091i,-0.0035711-0.0010597i,0.00016609+0.00082382i,0.0031135+0.0023231i,0.0013799+0.0010933i,-0.0040714-1.6624e-05i,-0.007372+0.0018806i,-0.0066818+0.0031678i,-0.0050045+0.0025476i
-0.080765+0.018914i,-0.084212+0.022699i,-0.064456+0.021042i,-0.030446+0.0077338i,-0.0072802-0.00098866i,0.0038104-0.0022668i,0.010605-0.0017753i,0.011609-0.0013965i,0.0089918-0.0028579i,0.0060176-0.0044643i,0.0040191-0.0023194i,0.0037781+0.00038957i,0.0031489+0.002042i,-0.00013206+0.00379i,-0.0032621+0.0035752i,-0.0042197+0.00065038i,-0.0039016-0.0026263i,-0.0027295-0.0035364i,0.0013324-0.0013115i,0.0072625+0.0017098i,0.0091664+0.0019368i,0.0063201+0.0012815i,0.0033843+0.001725i
-0.0073749-0.072438i,-0.0051294-0.068491i,-0.012576-0.042403i,-0.011559-0.012277i,-0.0021994+0.0037017i,-0.00010028+0.0096703i,-0.0038742+0.010862i,-0.003725+0.008989i,-0.00057217+0.0067827i,0.00067737+0.0043764i,-0.0039342+0.00051805i,-0.0096776-0.0050239i,-0.010104-0.0097147i,-0.0060178-0.01175i,-0.00021986-0.010518i,0.0024844-0.0069413i,0.00027372-0.0035293i,-0.003959-0.00083089i,-0.0062938-0.0007062i,-0.0065062-0.0037577i,-0.0061016-0.0061171i,-0.0041581-0.0057612i,-0.00071715-0.0059111i
0.067423-0.01338i,0.069778-0.019906i,0.056083-0.030024i,0.03418-0.021702i,0.015261-0.011002i,0.0048446-0.0081024i,0.00097009-0.005888i,0.00053594-0.0037239i,0.0016118-0.001971i,0.0031325-0.0019643i,0.0057022-0.0017547i,0.0084213+0.0012579i,0.0085407+0.0035995i,0.0054181+0.0036175i,0.0026646+0.0031273i,0.0037672+0.0032705i,0.0066614+0.0016776i,0.0066137-0.0017607i,0.0026101-0.0021229i,-0.0018951+0.0020982i,-0.0041817+0.0061975i,-0.0041334+0.0073378i,-0.002472+0.0069434i
0.0082264+0.072338i,0.010036+0.083961i,0.013995+0.068389i,0.0077802+0.035691i,0.0034304+0.013839i,0.0038424+0.0044481i,0.0045812-0.0012084i,0.0039022-0.0024015i,0.0011495-0.00078626i,-0.00019519+0.0011461i,0.00062579+0.0013374i,0.0029349-0.00019231i,0.0051394-0.00076136i,0.0059825-0.0004737i,0.0042778+4.5675e-05i,-6.9786e-05-0.00050924i,-0.0036571-0.00073123i,-0.0022817-0.0017525i,0.0033826-0.0051376i,0.007454-0.0076965i,0.0087298-0.0077649i,0.0071749-0.0055058i,0.0052763-0.0025359i
-0.06608-0.0042607i,-0.076737-0.0095115i,-0.053861-0.00097806i,-0.01962+9.8459e-06i,-0.00067423-0.0029508i,0.0054081+0.0020771i,0.0064068+0.0079306i,0.0058052+0.0067921i,0.0032547+0.0020112i,-0.00053528+0.0007555i,-0.0043398+0.004513i,-0.0096658+0.0088298i,-0.014764+0.010016i,-0.014373+0.0065941i,-0.010073+0.0022207i,-0.0058896+0.00060889i,-0.0033287+0.0018202i,-0.001813+0.0040081i,-0.0022287+0.0044177i,-0.0051684+0.0030898i,-0.0076409+0.0019943i,-0.0075905+0.00043593i,-0.0064726-0.001912i
0.0096936-0.055803i,0.015318-0.066533i,0.0043206-0.052847i,0.0015931-0.026401i,0.0039053-0.0071317i,0.00093347-0.00062905i,-0.0017912+0.0018442i,-0.0014165+0.0029127i,0.00091307+0.0017976i,0.0025359-0.0028768i,0.0031524-0.0088404i,0.0056489-0.012626i,0.0074728-0.01366i,0.006556-0.011744i,0.0052085-0.008403i,0.004987-0.0067915i,0.0042267-0.0074092i,0.0016563-0.0076156i,-0.00017976-0.0047117i,0.00091795+0.0011598i,0.0021251+0.005933i,0.0024494+0.0075156i,0.0031915+0.0066006i
0.0554+0.012897i,0.070323+0.015899i,0.059519+0.0096363i,0.034726+0.0092797i,0.019283+0.0056429i,0.0094091+0.00055339i,0.0024675-0.0017399i,0.0016315-0.0011608i,0.0036873+0.0022414i,0.0058626+0.0038124i,0.0038317+0.0013053i,0.00062043-0.0014598i,0.00019702-0.0039051i,0.00099678-0.0046402i,0.0012701-0.0019606i,0.00022977+0.0012454i,-0.00085444+0.0016382i,-0.0021444+1.2625e-05i,-0.002843-0.0037804i,-0.001648-0.0086675i,-0.00077277-0.011069i,0.00014546-0.0095438i,0.001688-0.006821i
-0.018419+0.055571i,-0.025133+0.072524i,-0.015574+0.056334i,-0.0089839+0.025611i,-0.0047525+0.0075289i,0.0026565+0.0008003i,0.0061674-0.0010011i,0.0036243-0.00098425i,-0.00078224+0.00025933i,-0.002543+0.0032164i,0.00080816+0.0067884i,0.0063273+0.010614i,0.0084273+0.01361i,0.005078+0.012049i,0.0023705+0.0079265i,0.0027504+0.0055801i,0.0045005+0.0036547i,0.0060074+0.0017718i,0.0047052+0.0018364i,0.00094703+0.0037528i,-0.0024936+0.0053327i,-0.0045471+0.0048i,-0.0050261+0.0042931i
-0.046382-0.030847i,-0.062308-0.038354i,-0.045508-0.022411i,-0.015155-0.011292i,0.0019979-0.0059066i,0.0056838+0.0007439i,0.0049662+0.0037203i,0.0040641+0.002774i,0.0021958-0.00095913i,-0.0019821-0.0047628i,-0.0067874-0.0066922i,-0.0096337-0.010108i,-0.010394-0.012531i,-0.0094002-0.010966i,-0.0074806-0.0087511i,-0.0062258-0.0079953i,-0.0059833-0.0059027i,-0.0050595-0.0021025i,-0.0011912+0.00016449i,0.003785+0.00097936i,0.006221+0.0021994i,0.0063982+0.0023579i,0.0062567+0.0016264i
0.037013-0.034239i,0.046611-0.052011i,0.034214-0.044816i,0.021775-0.025773i,0.012656-0.012753i,0.0041255-0.0061956i,-0.00093887-0.001271i,-0.00021815+0.001862i,0.0042367+0.0016365i,0.0066818-0.0013193i,0.0054027-0.0021748i,0.0035591+0.0012545i,0.0017685+0.0033049i,0.00073054+0.0015462i,0.0017668+0.00014425i,0.0024054+0.00056635i,0.0010801+0.0011772i,-0.001012+0.0010764i,-0.0040661-0.00070063i,-0.0070427-0.0035898i,-0.0078795-0.0057242i,-0.0065568-0.0056354i,-0.0046432-0.004036i
0.02936+0.03727i,0.048907+0.046261i,0.039931+0.036271i,0.020808+0.027734i,0.0108+0.018425i,0.0060049+0.0064205i,0.0026565-9.4926e-06i,0.00016195+0.00092792i,-0.00097659+0.0049945i,0.0014111+0.007333i,0.0060341+0.0042091i,0.010656-0.0014237i,0.012634-0.005162i,0.010659-0.0054268i,0.0068791-0.0040079i,0.0047953-0.003971i,0.0046836-0.005539i,0.0034461-0.0067652i,0.0014306-0.005313i,0.0003513-0.001341i,-0.00062567+0.0025028i,-0.00054186+0.0046047i,0.00076671+0.0051556i
-0.045577+0.030022i,-0.05145+0.049i,-0.033938+0.038951i,-0.015467+0.017591i,-0.0021848+0.004965i,0.0055772+0.0010698i,0.0079262+0.00014755i,0.0059263-0.0017437i,7.214e-05-0.0028517i,-0.0047838-0.00087537i,-0.0066804+0.0024178i,-0.0085463+0.0047884i,-0.01066+0.0062007i,-0.010202+0.0058291i,-0.0080142+0.0048973i,-0.005366+0.0041258i,-0.002226+0.0024313i,0.00039741+0.00056133i,0.0020545-0.0014825i,0.0037824-0.0035965i,0.0055063-0.0036077i,0.0057392-0.0019883i,0.0046019-0.00077056i
