-0.002464+0.00041246i,-0.0029503+0.0003137i,-0.0033856+0.00082373i,-0.0014561+0.0011216i,-0.00052489+0.001741i,3.783e-05+0.0021212i,0.00065114+0.0025996i,0.00094203+0.0027561i,0.0014821+0.0014802i,0.002365-0.00034452i,0.0015451-0.00069696i,0.00023402-0.00090474i,0.00027745-0.00084138i,0.00032927-0.00020477i,7.7523e-05+0.00022463i,5.6242e-06+0.00023043i,0.00022348-6.0099e-06i,0.00032532-8.3814e-05i,0.00039685-0.00014046i,0.00010425-0.00014694i,5.3748e-05-0.00031923i,-0.00040653-0.00032275i,-0.00057796+0.0002953i
-0.033012+0.005583i,-0.038609-0.012256i,0.015676-0.076474i,0.083424-0.16295i,0.046789-0.1907i,-0.060671-0.16016i,-0.10533-0.11982i,-0.085035-0.068491i,-0.051734-0.0035631i,-0.017915+0.029846i,0.0021067+0.024684i,0.01053+0.022415i,0.020039+0.025307i,0.017775+0.016139i,-0.001448+0.0046219i,-0.017118+0.0046649i,-0.016063+0.0082342i,-0.010101+0.0046879i,-0.013201+0.00088677i,-0.016357+0.00072511i,-0.01112-0.00164i,-0.0062945-0.0069107i,-0.006546-0.0078703i
0.039469+0.0029535i,0.031799+0.039819i,-0.066639+0.13874i,-0.19661+0.26832i,-0.19522+0.31866i,-0.071637+0.2811i,0.01084+0.22638i,0.029005+0.15561i,0.036686+0.060995i,0.023889+0.0051822i,0.00017744+0.010634i,-0.01185+0.030706i,-0.011603+0.037583i,-0.00077651+0.028888i,0.0052687+0.0082919i,-0.0068257-0.0075464i,-0.024255-0.0060714i,-0.026525+0.0024574i,-0.013676+0.0030593i,-0.0015172-0.0023123i,0.0056213-0.0047965i,0.0096866-0.0061038i,0.0073294-0.0087843i
-0.043474-0.023587i,-0.049182-0.071971i,0.021192-0.16215i,0.13457-0.23919i,0.14054-0.20205i,0.030109-0.078262i,-0.048765+0.016422i,-0.057565+0.064473i,-0.035998+0.087357i,-0.0048156+0.068413i,0.012523+0.02171i,0.013072-0.019514i,0.0021823-0.037244i,-0.011351-0.028946i,-0.013243-0.01974i,-0.0096621-0.023721i,-0.0071873-0.023277i,-0.0014748-0.011537i,0.0074887-0.0029677i,0.011929-0.0020443i,0.0089341-0.00067019i,0.005099+0.0038761i,0.0043407+0.0050463i
0.026987+0.036185i,0.033185+0.1184i,-0.024798+0.26466i,-0.090188+0.3778i,-0.039166+0.30035i,0.092523+0.071964i,0.15778-0.10417i,0.14051-0.15173i,0.093064-0.12823i,0.048021-0.077136i,0.031011-0.028927i,0.029343-0.0055647i,0.022372-0.00087091i,0.011153-0.0010486i,0.010612+0.01589i,0.02929+0.03811i,0.04362+0.031239i,0.03631+0.0089786i,0.021159+0.0046339i,0.01162+0.013129i,0.0052623+0.01503i,-0.0034763+0.010553i,-0.0073965+0.0077495i
-0.021713-0.053221i,-0.0038624-0.15125i,0.089803-0.324i,0.18111-0.47693i,0.12368-0.43317i,-0.026563-0.22307i,-0.092915-0.066049i,-0.08238-0.019949i,-0.071+0.0038283i,-0.043179+0.022462i,-0.015877+0.013116i,-0.014895+0.0031921i,-0.011069+0.007614i,-0.0018124+0.0083052i,-0.0093769+0.00069205i,-0.021415-0.0047594i,-0.016808-0.0040188i,-0.0049683-0.0061201i,-0.011034-0.0085688i,-0.024258-0.0019904i,-0.01924+0.0034403i,-0.0051871-0.0021305i,-0.0024338-0.0085641i
0.031897+0.053871i,0.0447+0.16076i,0.0096245+0.33352i,-0.049984+0.46653i,-0.05819+0.41578i,-0.02+0.2544i,-0.017818+0.14972i,-0.02799+0.09289i,-0.0022982+0.029839i,0.013049-0.01709i,0.00026321-0.029831i,-0.0098497-0.025699i,-0.0088342-0.01726i,0.0009932-0.0085974i,0.016492-0.0064623i,0.021045-0.0095833i,0.0097735-0.0035655i,-0.00046414+0.0089684i,0.0025064+0.0056982i,0.0082685-0.007198i,0.0087292-0.0097208i,0.011402-0.002535i,0.014171-0.00086839i
-0.017214-0.073099i,-0.029682-0.21621i,-0.028603-0.43332i,-0.030517-0.5692i,-0.056688-0.45361i,-0.091507-0.20018i,-0.10302-0.040466i,-0.095546+0.020642i,-0.07154+0.06049i,-0.032221+0.064654i,-0.00218+0.043307i,0.014243+0.028054i,0.017224+0.019602i,0.0048983+0.017298i,-0.010029+0.01333i,-0.020628+0.0042153i,-0.025467+0.0020523i,-0.021207+0.0097421i,-0.0036645+0.016335i,0.01655+0.010892i,0.017865-0.00063524i,0.0051588-0.0024601i,-0.0015105+0.0037703i
0.0015865+0.06338i,-0.027019+0.18748i,-0.089329+0.39011i,-0.10717+0.55331i,-0.0088194+0.47834i,0.13619+0.20237i,0.20229+0.013817i,0.19408-0.0064914i,0.15866-0.010103i,0.08335-0.027571i,0.0075458-0.012466i,-0.029631+0.0064499i,-0.044046+0.0060082i,-0.040772-0.0045568i,-0.02661-0.011811i,-0.01179-0.011108i,0.0030166-0.017025i,0.011908-0.026136i,0.012519-0.019435i,0.011611-0.0050917i,0.012259-0.0001184i,0.0073197-0.0045556i,0.0017697-0.0070468i
0.00071768-0.065577i,-0.0010298-0.18267i,-0.012875-0.36574i,-0.056928-0.50072i,-0.12698-0.42213i,-0.17538-0.18457i,-0.16442-0.029685i,-0.12391-0.0032381i,-0.091484+0.010657i,-0.043333+0.031178i,0.0072682+0.013657i,0.022215-0.019087i,0.020816-0.024553i,0.022539-0.014058i,0.023265-0.0059578i,0.025441-0.0021769i,0.030431-0.0029326i,0.029371-0.0082844i,0.010186-0.015059i,-0.015932-0.0098467i,-0.022536+0.0048521i,-0.011787+0.0089437i,-0.0044601+0.002609i
-0.010104+0.075142i,0.0022535+0.24031i,0.073686+0.4957i,0.21213+0.64584i,0.29217+0.49532i,0.22374+0.19009i,0.11344+0.0025951i,0.062186-0.061351i,0.040066-0.08218i,0.020508-0.061412i,0.018263-0.021478i,0.026673+0.0084539i,0.034618+0.017708i,0.032086+0.014385i,0.017784+0.018576i,0.0029439+0.031523i,-0.010389+0.041454i,-0.017401+0.038301i,-0.01107+0.020909i,-0.0058362+0.0010058i,-0.0096026-0.0075154i,-0.0084656-0.0046937i,-0.0011466-0.0063303i
0.034743-0.059169i,0.075999-0.17842i,0.081833-0.3657i,-0.010977-0.49448i,-0.13479-0.41058i,-0.17083-0.17908i,-0.12692-0.0085529i,-0.08101+0.04982i,-0.049509+0.062284i,-0.017425+0.052166i,-0.0036509+0.031964i,-0.012632+0.021445i,-0.021286+0.021552i,-0.020537+0.01859i,-0.023769+0.0020739i,-0.033498-0.016844i,-0.037095-0.021202i,-0.03368-0.0085606i,-0.020719+0.010984i,0.001076+0.018416i,0.014976+0.0092005i,0.014103-2.3853e-05i,0.003912+0.003295i
-0.019248+0.026987i,-0.018606+0.081052i,0.036514+0.16615i,0.14853+0.23325i,0.2213+0.20619i,0.18968+0.10293i,0.10154+0.044604i,0.040631+0.056929i,0.029741+0.051287i,0.015106+0.009847i,-0.012257-0.01748i,-0.021297-0.028953i,-0.022611-0.037643i,-0.021337-0.032191i,-0.00056767-0.016612i,0.027554-0.0096894i,0.042057-0.014143i,0.042268-0.021355i,0.030228-0.022673i,0.014755-0.01191i,0.010736+0.0035475i,0.011827+0.0075902i,0.006351+0.00059723i
0.035952-0.050617i,0.036548-0.15925i,-0.072344-0.32772i,-0.31139-0.41501i,-0.48224-0.28425i,-0.40697-0.050663i,-0.2052+0.047739i,-0.073239+0.016652i,-0.034644+0.0046961i,-0.0066576+0.024791i,0.025139+0.018814i,0.030074+0.0018882i,0.01718+0.0013673i,0.0045605+0.0047594i,-0.0065588+0.0089335i,-0.0069037+0.019163i,0.007045+0.023005i,0.020765+0.0096165i,0.022583-0.0084728i,0.013274-0.01345i,0.0021552-0.0062986i,-0.0021968+0.0020231i,0.0035968+0.010396i
-0.057851+0.028179i,-0.13118+0.09755i,-0.14821+0.22051i,0.013797+0.30651i,0.26301+0.23876i,0.34526+0.070087i,0.25773-0.038573i,0.15316-0.061116i,0.081685-0.050399i,0.035263-0.026599i,0.0023059-0.0014999i,-0.020029+0.016908i,-0.016775+0.022824i,0.00091246+0.0101i,0.0021849-0.0067257i,-0.015709-0.014161i,-0.033421-0.012938i,-0.037613-0.0013334i,-0.02791+0.012786i,-0.014569+0.015125i,-0.0082786+0.0093858i,-0.005081+0.0057559i,-0.0011321+0.00017312i
0.039691+0.0035273i,0.060917+0.012522i,0.022473+0.052262i,-0.082935+0.11218i,-0.17373+0.12273i,-0.17191+0.064456i,-0.12282+0.0058654i,-0.075922+0.0038206i,-0.023023+0.025607i,0.014895+0.026083i,0.024581+0.0048108i,0.020569-0.015473i,0.0096417-0.016387i,-0.0008542-0.0034449i,0.0025598+0.0015439i,0.013732-0.0070152i,0.014462-0.015062i,-0.0013238-0.013881i,-0.019755-0.0059608i,-0.022834+0.0002959i,-0.010693-0.001426i,0.0013379-0.0072226i,0.0034585-0.0096324i
-0.02886-0.0062732i,-0.0152+0.020131i,0.10574+0.064194i,0.31241+0.052227i,0.41203-0.038788i,0.29941-0.11464i,0.099083-0.10163i,-0.02086-0.040978i,-0.042822-0.0051736i,-0.031158-0.00074471i,-0.01415+0.015794i,0.011835+0.037493i,0.027731+0.034638i,0.021229+0.031267i,0.013539+0.043625i,0.014807+0.053534i,0.018178+0.051039i,0.026316+0.036464i,0.034305+0.014362i,0.03014-0.0034632i,0.020196-0.010508i,0.012653-0.014186i,0.0043131-0.01886i
0.051247+0.024154i,0.14351+0.032349i,0.20492-0.01152i,0.096234-0.079946i,-0.16452-0.060443i,-0.3181+0.063119i,-0.22252+0.15868i,-0.049534+0.13136i,0.037667+0.049318i,0.047003+0.0034233i,0.027705-0.015687i,-0.0038841-0.02259i,-0.026662-0.011875i,-0.030024-0.0058676i,-0.0309-0.015056i,-0.028337-0.020627i,-0.016373-0.017055i,-0.0062896-0.0095735i,0.00010194+0.0063623i,0.0096647+0.021257i,0.015482+0.021725i,0.014611+0.018571i,0.014387+0.020668i
-0.033859-0.050333i,-0.1023-0.13477i,-0.1781-0.23806i,-0.16997-0.29653i,-0.023726-0.25727i,0.12881-0.16447i,0.13261-0.10925i,0.034411-0.071529i,-0.034422-0.010263i,-0.031097+0.021758i,-0.0084212-0.00079795i,-0.0042488-0.029631i,0.0001809-0.035393i,0.020338-0.026756i,0.045347-0.017375i,0.051017-0.01911i,0.036647-0.024957i,0.020132-0.026533i,0.0026066-0.025369i,-0.017852-0.014993i,-0.030391+0.005206i,-0.030897+0.017847i,-0.023396+0.012931i
0.012302+0.024652i,0.0027943+0.040864i,-0.056458+0.051674i,-0.14561+0.11094i,-0.17419+0.19342i,-0.092459+0.17127i,0.032095+0.066057i,0.092507-0.011231i,0.080354-0.037021i,0.049702-0.031114i,0.031545-0.015542i,0.02174-0.0048938i,0.0081802-0.0014002i,-0.010826-0.0086463i,-0.033329-0.011318i,-0.042561+0.0023622i,-0.027982+0.016269i,-0.002559+0.020143i,0.020519+0.011528i,0.030184-0.0013281i,0.027658-0.0085019i,0.024501-0.012279i,0.021883-0.01247i
0.00080763-0.054225i,-0.020431-0.086214i,-0.078316-0.048406i,-0.11363+0.04353i,-0.065183+0.055634i,-0.02916-0.015936i,-0.10807-0.061327i,-0.16792-0.029625i,-0.11641+0.017216i,-0.060743+0.024511i,-0.055726+0.028071i,-0.057929+0.040566i,-0.041316+0.044386i,-0.011922+0.035807i,0.0081825+0.010256i,-0.00056576-0.018186i,-0.024299-0.024878i,-0.033797-0.0070742i,-0.025271+0.015096i,-0.010087+0.022358i,0.0032479+0.018385i,0.0076084+0.0092364i,-0.00022368-0.0028866i
-0.022459+0.079854i,-0.0030705+0.20428i,0.12673+0.31559i,0.31684+0.27237i,0.32607+0.10081i,0.14462-0.029405i,0.039072-0.01961i,0.063299+0.027407i,0.084319+0.019546i,0.076786+0.00027539i,0.070583-0.016083i,0.059224-0.025566i,0.040015-0.01682i,0.016544+0.00011573i,0.007057+0.019171i,0.023929+0.03091i,0.041388+0.019181i,0.030134-0.014661i,-0.0022031-0.037887i,-0.019523-0.03323i,-0.013952-0.022738i,-0.0072643-0.017452i,-0.0045994-0.010877i
0.040822-0.057176i,0.076403-0.1254i,0.055316-0.16082i,-0.028114-0.089111i,-0.071072+0.048686i,-0.05708+0.14941i,-0.056546+0.15057i,-0.085885+0.083662i,-0.10345+0.050842i,-0.077283+0.062428i,-0.035782+0.069953i,-0.0085173+0.060748i,0.0049793+0.038618i,0.0069078+0.018082i,-0.0044499+0.012378i,-0.014777+0.019747i,-0.0056721+0.025215i,0.015679+0.016567i,0.030898-0.0010933i,0.030344-0.015081i,0.018929-0.017713i,0.0080059-0.010615i,0.0008623-0.00031824i
-0.037311+0.030384i,-0.085868+0.01928i,-0.10289-0.080393i,-0.064343-0.26205i,-0.035753-0.37251i,-0.02661-0.29979i,0.029959-0.13845i,0.089091-0.024573i,0.08912-0.0055922i,0.049446-0.034235i,0.013294-0.048982i,0.0012666-0.052085i,-0.0020441-0.056197i,-0.00964-0.056571i,-0.012852-0.048979i,-0.003975-0.032973i,0.0040448-0.0103i,0.0031146+0.023104i,0.0066319+0.054989i,0.016489+0.063274i,0.024041+0.057362i,0.030414+0.046574i,0.032427+0.025967i
0.087919-0.034304i,0.18434-0.066664i,0.20057-0.053891i,0.028736+0.081686i,-0.15739+0.28571i,-0.14128+0.34157i,-0.08013+0.18248i,-0.085721+0.028741i,-0.058578+0.0095789i,0.0010664+0.025078i,0.023955+0.0077455i,0.0043134-0.0076762i,-0.017882+0.0013751i,-0.014491+0.014363i,-0.0010609+0.011353i,-0.0019437-0.0050602i,-0.016078-0.02117i,-0.027106-0.030473i,-0.032352-0.034825i,-0.038482-0.029304i,-0.040159-0.01579i,-0.035663-0.0025321i,-0.025663+0.0049675i
-0.098525+0.037705i,-0.2417+0.10772i,-0.33965+0.15948i,-0.22231+0.062002i,0.0092878-0.18668i,0.076203-0.33323i,0.048518-0.21833i,0.069534-0.043052i,0.066778+0.016649i,0.032208+0.019022i,0.020985+0.015491i,0.017348+0.011471i,0.0072655+0.019662i,-0.0049722+0.028559i,-0.014661+0.030892i,-0.013393+0.026846i,0.0013853+0.013233i,0.025092-0.0042271i,0.042619-0.017349i,0.044736-0.026503i,0.036943-0.033374i,0.025693-0.038733i,0.0099834-0.038674i
0.10331-0.039975i,0.25169-0.098344i,0.38564-0.079548i,0.3899+0.13549i,0.29421+0.41575i,0.22091+0.46887i,0.15358+0.25186i,0.063868+0.026858i,0.024849-0.041615i,0.031596-0.026952i,0.01359-0.013615i,-0.014846-0.0044859i,-0.015903+0.0023741i,0.0020599+0.0013419i,0.013246-0.014567i,0.0037385-0.028465i,-0.015719-0.015103i,-0.029989+0.010496i,-0.037064+0.02339i,-0.033793+0.027118i,-0.022818+0.024951i,-0.013063+0.02013i,-0.0046576+0.017655i
-0.098786-0.0089974i,-0.24259-0.00034645i,-0.36972-0.040954i,-0.37687-0.1993i,-0.31105-0.41213i,-0.27719-0.49214i,-0.27011-0.32985i,-0.20697-0.079981i,-0.11066+0.047569i,-0.055858+0.043172i,-0.026805+0.015297i,0.0044191+0.0045213i,0.023422-0.0059372i,0.020919-0.0085557i,0.018371+0.019517i,0.040722+0.052668i,0.066159+0.042134i,0.057836-0.0004922i,0.018996-0.025893i,-0.01813-0.017449i,-0.026491+0.0066213i,-0.0060678+0.014553i,0.014656+0.0043421i
0.11359+0.016177i,0.2888+0.00088193i,0.43692-0.052222i,0.39321-0.03608i,0.21278+0.16935i,0.10486+0.41685i,0.13115+0.40948i,0.13332+0.19726i,0.065472+0.054652i,0.039203+0.048688i,0.057158+0.061254i,0.045611+0.042035i,0.0086269+0.022737i,-0.013884+0.0019237i,-0.023525-0.028588i,-0.035512-0.046393i,-0.038763-0.035172i,-0.015415-0.0093159i,0.025113+0.0088976i,0.050762+0.012084i,0.053054+0.0048091i,0.043556-0.003279i,0.02747-0.0068847i
-0.12419-0.004938i,-0.34294+0.053977i,-0.56357+0.21013i,-0.51472+0.28077i,-0.24945+0.047401i,-0.11796-0.2501i,-0.15413-0.23884i,-0.11966-0.067891i,-0.036495-0.015153i,-0.031028-0.038119i,-0.055896-0.039069i,-0.059632-0.017773i,-0.041836+0.011237i,-0.010672+0.035716i,0.024879+0.046178i,0.053598+0.036452i,0.057985+0.017345i,0.039055+0.012043i,0.021781+0.027007i,0.016765+0.043581i,0.018391+0.048191i,0.019642+0.03839i,0.010244+0.012622i
0.10059+0.0079076i,0.27795-0.044942i,0.44148-0.1634i,0.39817-0.17627i,0.22554+0.071556i,0.20781+0.32822i,0.31623+0.28161i,0.30479+0.085802i,0.21519+0.006997i,0.18387-0.0028745i,0.15629-0.035891i,0.10571-0.048874i,0.067527-0.032043i,0.030998-0.0093216i,-0.011834+0.01247i,-0.05077+0.024232i,-0.076725+0.028445i,-0.073901+0.026171i,-0.047714+0.011894i,-0.017746-0.0091393i,-0.0094534-0.02697i,-0.026927-0.027647i,-0.036294-0.016352i
-0.017271-0.043951i,-0.048703-0.038787i,-0.046443+0.030164i,-0.0024721+0.018567i,-0.020014-0.17777i,-0.11201-0.35478i,-0.20205-0.33684i,-0.21326-0.18991i,-0.1314-0.050292i,-0.055891+0.0066586i,-0.049455+0.01244i,-0.065864+0.020689i,-0.050493+0.022071i,-0.024102-0.0015965i,-0.028856-0.027146i,-0.043378-0.024644i,-0.02597-0.0042897i,0.0078901+0.012194i,0.020072+0.012583i,0.0073294+0.0035412i,-0.0049818+0.0055337i,0.00099578+0.011398i,0.012802+0.0074255i
-0.00052541+0.029809i,0.021599+0.0178i,0.032538-0.12719i,-0.0065964-0.35118i,-0.07453-0.45075i,-0.13723-0.41285i,-0.16641-0.31517i,-0.16659-0.15709i,-0.1538-0.023987i,-0.12605+0.02474i,-0.067435+0.027139i,0.0010275-0.0032057i,0.019202-0.038887i,0.0073003-0.042889i,0.033288-0.03814i,0.085699-0.056359i,0.10265-0.086563i,0.062279-0.10146i,0.0018543-0.082684i,-0.028712-0.047046i,-0.021317-0.026336i,-0.0054425-0.025716i,0.0020399-0.021694i
0.0032616-0.048206i,-0.038983-0.03704i,-0.087153+0.15697i,-0.01349+0.5526i,0.1929+0.87123i,0.33271+0.88777i,0.30773+0.69234i,0.21385+0.4176i,0.1187+0.19556i,0.064972+0.11534i,0.055887+0.076373i,0.016217+0.032804i,-0.03856+0.036819i,-0.047047+0.049349i,-0.041307+0.04808i,-0.044196+0.058583i,-0.03984+0.051789i,-0.033234+0.011344i,-0.023785-0.030394i,-0.0087898-0.041583i,0.0049281-0.023769i,0.012532-0.004007i,0.0077105+0.0042304i
-0.042495+0.015769i,-0.10438+0.011757i,-0.2103-0.036868i,-0.36538-0.15063i,-0.53219-0.33878i,-0.63378-0.47969i,-0.61931-0.40574i,-0.43336-0.17553i,-0.1869-0.040474i,-0.078998-0.038628i,-0.058139-0.024016i,-0.011535+0.0022564i,0.022424-0.0022809i,0.023458-0.0027778i,0.029184-0.00017148i,0.047149-0.011665i,0.060448-0.025233i,0.065557-0.032858i,0.066868-0.034997i,0.061481-0.031553i,0.050071-0.030596i,0.027832-0.033204i,-0.007582-0.024635i
0.075867-0.019689i,0.22137+0.020503i,0.4139+0.10617i,0.58288+0.21508i,0.6389+0.34337i,0.60267+0.45907i,0.57354+0.35799i,0.45453+0.067713i,0.27099-0.088511i,0.18721-0.081966i,0.12942-0.073992i,0.0498-0.044146i,0.028066+0.003679i,0.030608+0.016925i,0.0087038+0.022392i,-0.029205+0.040632i,-0.056531+0.083339i,-0.027651+0.12009i,0.030318+0.099123i,0.053374+0.052929i,0.048474+0.032842i,0.04506+0.026063i,0.033466+0.0073728i
-0.022165-0.028707i,-0.12564-0.097835i,-0.24065-0.19299i,-0.25631-0.27066i,-0.18178-0.22965i,-0.062541-0.076315i,0.040175+0.096004i,0.10714+0.16847i,0.15284+0.10734i,0.15455+0.0069121i,0.092702-0.056451i,0.022418-0.052705i,0.0075215-0.030318i,0.0038591-0.027834i,-0.011592+0.0055131i,0.017324+0.050624i,0.071795+0.042062i,0.086499+0.012636i,0.051829+0.014098i,-0.00032576+0.039108i,-0.023838+0.063854i,-0.001432+0.060599i,0.025746+0.018927i
0.070226+0.06835i,0.27692+0.069782i,0.38951-0.034573i,0.25365-0.25759i,-0.10967-0.5435i,-0.50528-0.74784i,-0.71295-0.71621i,-0.62971-0.43533i,-0.40705-0.1414i,-0.24831+0.025675i,-0.14631+0.11041i,-0.080579+0.12193i,-0.070669+0.10254i,-0.046754+0.079204i,0.0020908+0.013746i,0.014477-0.058406i,0.00071174-0.095742i,-0.017225-0.11324i,-0.040603-0.098829i,-0.059576-0.055428i,-0.072977-0.012168i,-0.069775+0.021116i,-0.038314+0.031677i
-0.068147-0.11313i,-0.26789-0.14299i,-0.46689+0.023035i,-0.38396+0.3607i,0.036098+0.62683i,0.43978+0.62399i,0.51078+0.48366i,0.35653+0.4026i,0.26323+0.3659i,0.25526+0.26633i,0.1888+0.10308i,0.048035-0.00058094i,-0.053695-0.002047i,-0.080883+0.013347i,-0.094808+0.025943i,-0.10718+0.050263i,-0.094861+0.068493i,-0.042172+0.084507i,0.033423+0.074384i,0.070922+0.031691i,0.061214+0.0046202i,0.038632-0.0023285i,0.012508-0.0057738i
0.23093-0.19897i,0.21286-0.34312i,0.27662-0.29821i,0.22383-0.22046i,-0.00080348-0.16207i,-0.23904-0.066645i,-0.36632+0.054992i,-0.36378+0.15412i,-0.26936+0.22446i,-0.10718+0.22988i,0.018997+0.13i,0.019891+0.017143i,-0.024816-0.0024494i,-0.021558+0.026957i,0.004422+0.014686i,0.016601-0.018427i,0.018096-0.034415i,-0.0059396-0.028697i,-0.030755+0.028217i,-0.0023304+0.091206i,0.0453+0.082262i,0.058029+0.019373i,0.039801-0.044595i
0.69239+8.9233i,1.1562+9.7257i,3.1417+9.6468i,4.1201+5.6576i,4.206+1.3067i,2.7596-1.6405i,0.66933-1.6683i,0.18118-0.2235i,0.91646+0.49422i,1.559+0.31761i,1.596-0.074726i,1.4903-0.24172i,1.5667-0.33224i,1.4476-0.38472i,1.1705-0.46081i,0.76094-0.50548i,0.26528-0.30478i,-0.034539-0.029942i,-0.14092+0.095157i,-0.080887+0.18599i,0.14875+0.2602i,0.36843+0.20671i,0.39124+0.077933i
0.098922-0.1042i,0.037942-0.32656i,0.037167-0.45538i,-0.13947-0.36737i,-0.393+0.024272i,-0.37761+0.30858i,-0.22605+0.21853i,-0.20937+0.074417i,-0.24639+0.088125i,-0.21378+0.12077i,-0.1536+0.10023i,-0.10827+0.063742i,-0.088842+0.045735i,-0.077166+0.065058i,-0.038602+0.084151i,0.0069294+0.064664i,0.029514+0.014012i,0.030145-0.031469i,0.02548-0.02986i,0.046965-0.0057474i,0.074033-0.015928i,0.057821-0.042126i,0.020706-0.035877i
-0.035571+0.065535i,-0.082596+0.18629i,-0.031085+0.4416i,0.22793+0.50415i,0.58457+0.20031i,0.68525-0.17939i,0.3955-0.34012i,0.053578-0.25989i,-0.049252-0.14706i,-0.028861-0.13732i,-0.043112-0.13121i,-0.048674-0.087896i,-0.021316-0.061863i,0.0045065-0.060565i,0.030265-0.088276i,0.023555-0.13692i,-0.019698-0.14165i,-0.061708-0.077856i,-0.074292+0.01458i,-0.037552+0.073117i,0.0057733+0.072895i,0.015076+0.061678i,0.020527+0.055839i
-0.18674+0.11931i,-0.35081+0.11234i,-0.50969-0.019718i,-0.49491-0.11173i,-0.34048-0.030532i,-0.19223+0.12228i,-0.045377+0.20587i,0.044551+0.12951i,-0.022183+0.015569i,-0.091172+0.0023569i,-0.045765+0.015225i,-0.0019049+0.0060772i,0.0047201+0.0091703i,0.017602+0.01961i,0.025928+0.036071i,0.027671+0.053615i,0.010428+0.048202i,-0.018056+0.026084i,-0.028692-0.0078286i,-0.02358-0.0541i,-0.023223-0.094425i,-0.040662-0.1042i,-0.044643-0.071489i
0.18955-0.076484i,0.49699-0.1023i,0.86983-0.13526i,0.91045-0.087447i,0.59282+0.080889i,0.31958+0.30965i,0.22763+0.39578i,0.17303+0.26509i,0.11016+0.065814i,0.037094-0.081807i,-0.047506-0.12165i,-0.09171-0.075038i,-0.085775-0.022837i,-0.066126+0.0031518i,-0.048242+0.0022304i,-0.045973-0.0081875i,-0.038355+0.0051466i,-0.0039324+0.030524i,0.029682+0.039686i,0.048724+0.026366i,0.056705-0.0018958i,0.041867-0.019778i,0.018405-0.0084121i
-0.10058+0.094128i,-0.33872+0.24794i,-0.56361+0.38141i,-0.54004+0.24305i,-0.25653-0.07201i,0.07122-0.25957i,0.26709-0.2965i,0.26756-0.27006i,0.17318-0.19392i,0.10963-0.12676i,0.071985-0.084577i,0.078075-0.030216i,0.11833-0.0075501i,0.13404-0.023014i,0.13939-0.039266i,0.14212-0.058274i,0.11829-0.074595i,0.05937-0.084834i,-0.013918-0.078674i,-0.044539-0.053578i,-0.029668-0.042803i,-0.019667-0.046202i,-0.015832-0.038289i
0.062469-0.099072i,0.14527-0.36217i,0.14091-0.72391i,-0.024173-0.83365i,-0.17074-0.53479i,-0.11743-0.18005i,0.02901-0.098871i,0.068062-0.21313i,-0.01515-0.28579i,-0.10459-0.23073i,-0.10973-0.10539i,-0.03946-0.026654i,0.012952-0.038466i,0.0037167-0.065054i,-0.026418-0.062829i,-0.039144-0.049635i,-0.037311-0.040273i,-0.031779-0.026952i,-0.01284-0.010765i,0.017887-0.022744i,0.026496-0.061034i,0.0039436-0.075594i,-0.016206-0.046262i
-0.029397+0.011814i,-0.0083989+0.11105i,0.077795+0.28301i,0.14301+0.35571i,0.098175+0.20336i,-0.0011006+0.022075i,-0.069975-0.0040483i,-0.090117-0.0074569i,-0.10016-0.086105i,-0.10278-0.13543i,-0.078398-0.12339i,-0.053584-0.096932i,-0.052479-0.075828i,-0.0635-0.060157i,-0.06307-0.045492i,-0.045546-0.034302i,-0.018896-0.024127i,0.0028757-0.010815i,0.0049012-0.0071708i,-0.013925-0.024674i,-0.038461-0.040684i,-0.052139-0.026964i,-0.039428-0.0024201i
-0.029387+0.10884i,-0.12329+0.23937i,-0.29253+0.37461i,-0.39777+0.45487i,-0.29006+0.5056i,-0.034506+0.47857i,0.16341+0.29958i,0.16499+0.11224i,0.067879+0.050281i,0.0060842+0.033732i,-0.020364+0.018505i,-0.01496+0.032205i,0.015882+0.044434i,0.033953+0.043835i,0.040139+0.049804i,0.045854+0.045015i,0.040832+0.013744i,0.034644-0.029053i,0.034784-0.062942i,0.028751-0.083103i,0.008911-0.085547i,-0.016616-0.060138i,-0.024038-0.024347i
0.0033768-0.1308i,0.06414-0.3737i,0.1893-0.63557i,0.32416-0.68744i,0.41262-0.52963i,0.43804-0.38864i,0.32896-0.31786i,0.14451-0.22166i,0.04463-0.12388i,0.0010753-0.097482i,-0.047863-0.080756i,-0.050925-0.047309i,-0.018507-0.041355i,0.0012276-0.05379i,0.015934-0.083063i,0.016173-0.12842i,-0.013677-0.14875i,-0.058293-0.12057i,-0.091575-0.059615i,-0.090803-0.0066006i,-0.068864+0.013362i,-0.048233+0.015121i,-0.032529+0.013864i
-0.013121+0.11361i,-0.022354+0.28973i,0.026193+0.41369i,0.097018+0.26819i,0.071224-0.058412i,-0.045897-0.25031i,-0.10664-0.23844i,-0.055641-0.19175i,-0.010721-0.20197i,-0.035083-0.18541i,-0.046898-0.10106i,-0.014957-0.040643i,-0.0067538-0.037195i,-0.035088-0.030871i,-0.063639-0.016498i,-0.082912-0.018771i,-0.099526-0.019356i,-0.11089+0.0056105i,-0.10236+0.043875i,-0.07729+0.062114i,-0.051885+0.059698i,-0.031512+0.051424i,-0.012341+0.035935i
