-0.0011347+0.00060208i,0.0001489-0.0010085i,0.00029973-0.0020328i,0.00028236-0.0016099i,7.9546e-05-0.00032438i,-0.00067704+0.0005392i,-0.00030081+0.00080566i,8.2312e-05+0.0012796i,-7.6328e-05+0.000919i,-3.1916e-05+0.00052105i,-0.00086864+0.00027167i,-0.0011231-1.508e-05i,-0.0013279-0.0003958i,-0.0013201-0.00094131i,-0.00077836-0.00071077i,-0.00098917-0.0003166i,-0.00037181-0.0011397i,0.00045665-0.0014371i,1.27e-05-0.00060346i,-0.000435+0.00027434i,0.00032678+3.8868e-05i,0.00086588+0.00021989i,0.00046852+0.00043457i
0.19287-0.045731i,0.53791-0.12842i,0.88725-0.29402i,0.84754-0.51026i,0.46142-0.58082i,0.19448-0.42585i,0.1436-0.25192i,0.084753-0.13223i,0.0093518-0.020938i,-0.0043629+0.05333i,0.03285+0.099629i,0.089871+0.11438i,0.10575+0.074573i,0.052328+0.026385i,-0.025038+0.010499i,-0.06905+0.021582i,-0.058746+0.030803i,-0.022206+0.022533i,0.00042592+0.0045459i,0.0015895-0.01145i,-0.0076018-0.015372i,-0.0226-0.0084399i,-0.03506+0.0014825i
-0.19922+0.10476i,-0.53034+0.33869i,-0.81219+0.74559i,-0.67411+1.0801i,-0.29194+0.9942i,-0.12185+0.63191i,-0.11641+0.3912i,-0.060597+0.22592i,-0.038204+0.045945i,-0.078037-0.021006i,-0.081779-0.005766i,-0.060029-0.0054882i,-0.028318-0.015059i,0.0092249-0.026708i,0.033028-0.045939i,0.041994-0.061653i,0.029068-0.05943i,0.0091719-0.02656i,0.013991+0.021978i,0.032686+0.045114i,0.037573+0.033182i,0.022729+0.011362i,0.0039451+0.0043488i
0.12677-0.15817i,0.2538-0.40162i,0.18717-0.58236i,-0.099702-0.40565i,-0.19357-0.036932i,-0.029164+0.046637i,0.0077765-0.11078i,-0.053797-0.13368i,-0.013473-0.082499i,0.012165-0.10756i,-0.044638-0.12921i,-0.10773-0.11065i,-0.13838-0.054521i,-0.10511+0.02698i,-0.023584+0.082486i,0.038167+0.095834i,0.050377+0.088731i,0.029522+0.065745i,4.251e-05+0.032935i,-0.024412+0.010819i,-0.033678+0.0058409i,-0.02061+0.0095828i,0.0013658+0.010017i
-0.084749+0.14694i,-0.1764+0.30172i,-0.17145+0.24103i,-0.061549-0.17672i,0.016053-0.52008i,0.06901-0.43508i,0.15627-0.19895i,0.15185-0.077488i,0.080983+0.016168i,0.074652+0.065061i,0.073554+0.026332i,0.039605-0.0057045i,0.005169-0.0027429i,-0.016848+0.0042019i,-0.021609+0.0083637i,-0.023258+0.0097525i,-0.019708+0.0074562i,-0.010839-0.00030698i,-0.0042465-0.0092231i,0.0096993-0.017109i,0.023099-0.025353i,0.03065-0.030998i,0.034828-0.038218i
0.096249-0.16754i,0.26374-0.40228i,0.44793-0.58699i,0.45607-0.53992i,0.19628-0.32353i,-0.12858-0.096473i,-0.26098+0.061991i,-0.19232+0.11177i,-0.1127+0.086633i,-0.062674+0.08937i,0.033325+0.10949i,0.12434+0.088136i,0.14013+0.037612i,0.085846-0.01013i,0.0036831-0.031904i,-0.043067-0.029281i,-0.032285-0.036421i,-0.0040802-0.063641i,-0.0062116-0.078196i,-0.032144-0.050189i,-0.040931+0.0027936i,-0.029392+0.039592i,-0.01821+0.049528i
-0.033167+0.21349i,-0.026959+0.54968i,0.075767+0.90767i,0.24531+0.96507i,0.29126+0.67311i,0.2039+0.31959i,0.12696+0.097823i,0.054818-0.0082072i,-0.025221-0.052287i,-0.075668-0.056798i,-0.09609-0.024059i,-0.083491+0.013918i,-0.04689+0.0059896i,-0.02687-0.034985i,-0.034686-0.065682i,-0.051156-0.068834i,-0.061548-0.039182i,-0.042747+0.0055925i,0.0018225+0.025138i,0.025485+0.0050699i,0.014356-0.025974i,-0.010468-0.035444i,-0.029409-0.016231i
-0.034247-0.16466i,-0.15828-0.36051i,-0.40371-0.45209i,-0.53322-0.27254i,-0.28389-0.020697i,0.062839+0.067328i,0.17096+0.040034i,0.13707-0.022582i,0.10058-0.1034i,0.050132-0.15232i,-0.019524-0.15515i,-0.075091-0.14007i,-0.087039-0.099001i,-0.038801-0.040216i,0.045259-0.0082459i,0.093961-0.0083979i,0.078892+0.0060685i,0.036653+0.042291i,0.0074225+0.063846i,-5.6969e-05+0.05923i,0.0037216+0.038779i,0.0081305+0.012776i,0.0037967-0.0060569i
-0.0061092+0.12663i,-0.067171+0.21126i,-0.17769+0.14082i,-0.35072-0.080467i,-0.50805-0.20392i,-0.5026-0.20429i,-0.35866-0.16691i,-0.16035-0.058945i,0.033048+0.066774i,0.12867+0.092846i,0.13095+0.047786i,0.11189+0.01793i,0.0857+0.02104i,0.059645+0.047432i,0.051653+0.081916i,0.058408+0.093251i,0.062849+0.067944i,0.055359+0.026695i,0.041812-0.007427i,0.027773-0.028674i,0.0076697-0.036104i,-0.010381-0.030591i,-0.016382-0.028561i
0.024832-0.16801i,0.10838-0.38657i,0.25198-0.52232i,0.35672-0.44487i,0.34146-0.29628i,0.25545-0.20912i,0.1258-0.15818i,-0.017879-0.056688i,-0.072899+0.053207i,-0.030594+0.074283i,0.010984+0.047849i,0.019386+0.040212i,0.0098466+0.029853i,-0.021598+0.0046935i,-0.065396-0.018404i,-0.087301-0.030076i,-0.077496-0.04476i,-0.062346-0.063739i,-0.049719-0.055542i,-0.025786-0.022049i,0.0038747+0.0085502i,0.022863+0.026356i,0.027467+0.032939i
0.062955+0.17161i,0.17359+0.39978i,0.36659+0.5116i,0.55443+0.31512i,0.56749+0.087213i,0.3947+0.15575i,0.25953+0.29716i,0.13131+0.20527i,-0.077655+0.061444i,-0.17336+0.068458i,-0.10883+0.10483i,-0.036218+0.089132i,0.0055725+0.058369i,0.042281+0.012767i,0.058626-0.034513i,0.03835-0.050722i,-0.0072873-0.030348i,-0.038216+0.014898i,-0.026039+0.048357i,0.0048191+0.042498i,0.021762+0.010951i,0.01226-0.016431i,-0.009062-0.022493i
-0.061224-0.14492i,-0.11631-0.32795i,-0.20156-0.41718i,-0.30229-0.24405i,-0.36452-0.017985i,-0.34962-0.0056587i,-0.25658-0.11183i,-0.089316-0.20418i,0.036182-0.26693i,0.020343-0.25281i,-0.04524-0.16521i,-0.074098-0.097973i,-0.08569-0.074032i,-0.084156-0.048039i,-0.055532-0.014485i,-0.020705+0.0050048i,-0.0017302+0.022783i,0.0094909+0.042738i,0.011665+0.044115i,0.00046417+0.029832i,-0.0070352+0.0077793i,-0.0082843-0.022513i,-0.010039-0.05149i
0.050388+0.18246i,0.046562+0.4432i,-0.054251+0.67087i,-0.23759+0.64955i,-0.30754+0.43077i,-0.14095+0.17428i,0.042792-0.015465i,0.10489+0.012988i,0.17958+0.17274i,0.25743+0.18467i,0.23124+0.072415i,0.17019+0.010201i,0.14851-0.0078587i,0.12867-0.020654i,0.10792-0.0091696i,0.1057+0.0078684i,0.090352-0.001986i,0.041618-0.023626i,0.00090942-0.028886i,-0.00098461-0.027168i,0.0088551-0.024505i,0.010904-0.018827i,0.0094991-0.015854i
-0.12707-0.1731i,-0.2611-0.44745i,-0.29868-0.7126i,-0.058126-0.75962i,0.27417-0.60629i,0.28322-0.34854i,0.034836-0.041943i,-0.15449+0.1532i,-0.23605+0.16471i,-0.24518+0.11784i,-0.18257+0.092291i,-0.11717+0.073644i,-0.09684+0.060506i,-0.096124+0.067633i,-0.083565+0.087919i,-0.049692+0.0913i,-0.0066205+0.045517i,0.010349-0.03095i,-0.0071805-0.068077i,-0.027225-0.026065i,-0.015568+0.042036i,0.027729+0.067459i,0.064676+0.042391i
0.14791+0.098799i,0.37627+0.24876i,0.66361+0.30929i,0.7261+0.14423i,0.43487-0.035314i,0.13913-0.022973i,0.1088+0.019627i,0.10437-0.079812i,-0.034322-0.17231i,-0.12803-0.13046i,-0.12056-0.047352i,-0.084931+0.0048351i,-0.0096769+0.011126i,0.077352-0.048659i,0.089134-0.11033i,0.044188-0.099562i,0.01147-0.043146i,0.0026008+0.0096035i,0.0079917+0.028161i,0.01955+0.011946i,0.026754-0.010941i,0.027926-0.019773i,0.033926-0.02005i
-0.10389-0.085706i,-0.26007-0.1907i,-0.47783-0.15253i,-0.63152+0.12305i,-0.6066+0.37717i,-0.41101+0.40226i,-0.15861+0.24324i,0.035119+0.045814i,0.12904-0.035153i,0.1854-0.03356i,0.19699-0.094546i,0.11244-0.16009i,0.0089253-0.10694i,-0.017299+0.0027709i,0.010742+0.061295i,0.02669+0.0655i,0.011482+0.044256i,-0.015995+0.0057236i,-0.043593-0.015851i,-0.057022+0.011308i,-0.038699+0.045922i,-0.006472+0.033566i,0.0095462+0.0018039i
0.16224+0.10611i,0.35131+0.19877i,0.50654+0.14465i,0.47209-0.11998i,0.24848-0.36936i,-0.052305-0.44695i,-0.27971-0.40515i,-0.36027-0.31988i,-0.3558-0.24568i,-0.31353-0.12917i,-0.17823+0.045238i,0.0088409+0.11424i,0.10169+0.05298i,0.10475+0.01109i,0.069027+0.027142i,-0.0097518+0.090791i,-0.04481+0.18617i,0.044993+0.2008i,0.16888+0.085488i,0.17478-0.059095i,0.064855-0.11488i,-0.020334-0.065224i,-0.016764-0.0036643i
0.72674+7.0911i,3.4509+6.2779i,6.7167+5.0353i,7.483+1.574i,6.006-1.9446i,3.092-3.5036i,0.51365-2.1073i,-0.16228+0.20768i,0.73539+1.2614i,1.542+0.56831i,1.0212-0.61836i,-0.10182-1.046i,-0.93367-0.68916i,-1.2924+0.11362i,-1.044+0.75744i,-0.53053+0.79617i,-0.19924+0.44312i,-0.15077+0.058067i,-0.26418-0.11326i,-0.3732-0.035291i,-0.37003+0.072259i,-0.26251+0.088295i,-0.11302+0.036166i
0.09268+0.060934i,0.09825+0.16554i,-0.011069+0.26313i,-0.1958+0.24825i,-0.26626+0.19481i,-0.14576+0.20994i,0.05067+0.14413i,0.16286-0.061903i,0.16857-0.15326i,0.17155-0.079698i,0.15431-0.033143i,0.077821-0.031531i,0.049619-0.023092i,0.10503-0.031835i,0.14305-0.02971i,0.13987+0.045441i,0.16639+0.13735i,0.21037+0.13104i,0.19083+0.030086i,0.082054-0.059092i,-0.04113-0.067043i,-0.078416-0.026078i,-0.039068-0.01372i
-0.10581-0.13933i,-0.20108-0.36033i,-0.21455-0.56223i,-0.088018-0.52247i,-0.0084318-0.31131i,-0.13282-0.13637i,-0.22268-0.00052955i,-0.051706+0.10243i,0.18156+0.15323i,0.27113+0.17873i,0.2261+0.16689i,0.15977+0.16247i,0.18588+0.15208i,0.2141+0.043966i,0.12016-0.050966i,0.021085-0.022574i,0.004656+0.0092537i,-0.022791-0.0068945i,-0.062653-1.1564e-05i,-0.03889+0.032743i,0.024158+0.047195i,0.062328+0.0192i,0.065985-0.020188i
0.18789+0.10939i,0.45797+0.29613i,0.71992+0.45616i,0.68097+0.37731i,0.37855+0.12293i,0.18961-0.095684i,0.19255-0.20065i,0.20894-0.2132i,0.22503-0.20514i,0.2034-0.19706i,0.080421-0.12284i,-0.013231+0.002654i,0.0099304+0.053626i,0.05205-0.014649i,0.043234-0.09639i,0.018287-0.10973i,-0.0051281-0.084533i,-0.030907-0.047964i,-0.023287-0.0055868i,0.026161+0.02201i,0.065166+0.013725i,0.059524-0.017727i,0.017205-0.036326i
-0.17316-0.044039i,-0.47135-0.14125i,-0.8633-0.19608i,-1.0133-0.081512i,-0.7001+0.11382i,-0.17406+0.18794i,0.064051+0.056008i,-0.070372-0.085929i,-0.20193-0.071612i,-0.13109+0.0046935i,0.0173+0.045102i,0.11844+0.031591i,0.11841-0.038295i,0.013031-0.086891i,-0.076457-0.052916i,-0.070028+0.0011292i,-0.020075+0.012699i,0.03168-0.011512i,0.059072-0.048863i,0.037462-0.063026i,-0.00042718-0.030885i,-0.017811+0.011375i,-0.018658+0.024904i
0.13998+0.01638i,0.35316+0.0062029i,0.57269-0.13631i,0.57716-0.34111i,0.32607-0.31916i,-0.010039-0.059624i,-0.19144+0.18811i,-0.15852+0.27066i,-0.075258+0.2087i,-0.042866+0.10501i,-0.0086204+0.011813i,0.026079-0.048003i,0.029457-0.016025i,0.04399+0.059427i,0.073434+0.079559i,0.081747+0.05595i,0.06445+0.041655i,0.026502+0.046114i,-0.010121+0.056252i,-0.014025+0.044525i,-0.0010278+0.003077i,-0.005948-0.029499i,-0.01315-0.025048i
-0.12281-0.0056726i,-0.20637+0.040574i,-0.12708+0.17121i,0.1245+0.19798i,0.19854-0.095238i,-0.012903-0.41369i,-0.12652-0.38521i,0.0072705-0.20916i,0.11217-0.15799i,0.063759-0.17744i,-0.031023-0.16358i,-0.066263-0.10743i,-0.031172-0.063646i,0.00057144-0.055836i,0.00052166-0.046825i,0.012921-0.023954i,0.04063-0.0085693i,0.049143-5.073e-05i,0.03844+0.013947i,0.026526+0.022897i,0.015754+0.016961i,0.0019775+0.013168i,-0.010405+0.019921i
0.040652+0.045315i,-0.045352+0.16657i,-0.35812+0.36124i,-0.7133+0.53989i,-0.66413+0.58953i,-0.2215+0.42098i,0.079854+0.12325i,0.038268-0.042468i,-0.050293-0.015875i,-0.025867+0.060243i,0.027246+0.12023i,0.05321+0.12704i,0.031416+0.043641i,-0.048044-0.036937i,-0.10521-0.038967i,-0.091479-0.031948i,-0.066501-0.067342i,-0.061985-0.10796i,-0.064588-0.1179i,-0.057703-0.082603i,-0.034537-0.024125i,-0.0050534+0.0010952i,0.0086244-0.012934i
-0.072516-0.1295i,-0.17054-0.44297i,-0.25158-0.81313i,-0.23319-0.80936i,-0.11705-0.35899i,-0.0010035+0.065145i,-0.0066056+0.18456i,-0.06995+0.14926i,-0.090264+0.10916i,-0.083874+0.087359i,-0.06893+0.07078i,-0.059668+0.068061i,-0.036281+0.092553i,0.021519+0.082573i,0.054104+0.017342i,0.034752-0.02545i,0.010069-0.010126i,-0.0088801+0.034407i,-0.026804+0.069155i,-0.021311+0.069266i,0.0060871+0.047196i,0.021506+0.029154i,0.018929+0.02538i
0.2146+0.077452i,0.63023+0.25243i,1.1626+0.35694i,1.2931+0.15638i,0.77116-0.17178i,0.09574-0.24785i,-0.15307-0.12171i,-0.061486-0.049122i,0.025887-0.071752i,0.017904-0.10753i,-0.00021344-0.1088i,0.03452-0.10071i,0.079636-0.089767i,0.089045-0.056072i,0.073988-0.028646i,0.050454-0.020244i,0.033364-0.011687i,0.042537+0.0021292i,0.075969+0.017912i,0.084627+0.010032i,0.043948-0.017967i,-0.0011555-0.022274i,-0.012419-0.003076i
-0.16759+0.056734i,-0.46798+0.17731i,-0.78726+0.41182i,-0.78992+0.56901i,-0.44463+0.42164i,-0.08706+0.15428i,0.096459+0.020886i,0.13712-0.012917i,0.11321-0.011792i,0.096589+0.01359i,0.085431+0.02531i,0.060936+0.0016692i,0.022002-0.047392i,-0.039991-0.068159i,-0.099533-0.034285i,-0.12456+0.0078526i,-0.11233+0.024611i,-0.070633+0.011144i,-0.032051-0.024323i,-0.022941-0.044915i,-0.02722-0.029002i,-0.014981-0.00474i,0.0077395-0.0025858i
-0.011422-0.035489i,-0.088986-0.07521i,-0.25925-0.13478i,-0.3384-0.11753i,-0.1537+0.022436i,0.060968+0.094271i,0.053276+0.04588i,-0.041213-0.020008i,-0.064702-0.071454i,-0.050514-0.087231i,-0.048513-0.071391i,-0.076852-0.036727i,-0.10054+0.02195i,-0.063724+0.061293i,0.0052632+0.058804i,0.058032+0.045898i,0.078381+0.033833i,0.050152+0.020385i,-0.0084446+0.019106i,-0.03872+0.031118i,-0.020244+0.033636i,0.0031082+0.011266i,-0.0043732-0.015799i
-0.0047435-0.11283i,0.048571-0.37837i,0.19786-0.69514i,0.3111-0.77826i,0.19127-0.57371i,-0.038232-0.29928i,-0.14301-0.086406i,-0.10225+0.038438i,-0.061787+0.075911i,-0.050988+0.071665i,-0.010387+0.045954i,0.03123+0.014317i,0.040658+0.014399i,0.040455+0.035509i,0.051641+0.040954i,0.058263+0.026794i,0.04361+0.010576i,0.024523+0.0037702i,0.01738+0.0014438i,0.012893-0.0043399i,-0.0050776-0.01365i,-0.033445-0.012454i,-0.045359+0.0054435i
0.13494+0.10858i,0.3586+0.34715i,0.53125+0.60509i,0.3945+0.6254i,0.099093+0.4286i,0.040573+0.23361i,0.16957+0.040467i,0.18377-0.089876i,0.12891-0.063918i,0.10404+0.00014972i,0.073023+0.045117i,0.065307+0.069366i,0.077954+0.024196i,0.045141-0.045498i,-0.018113-0.066671i,-0.04944-0.057634i,-0.039416-0.051269i,-0.006505-0.049868i,0.02763-0.054716i,0.035397-0.055063i,0.024128-0.037099i,0.025104-0.0081052i,0.042329+0.0053942i
-0.11317+0.010492i,-0.31752+0.0093956i,-0.50721+0.045289i,-0.43209+0.099918i,-0.14349+0.07391i,0.022859-0.0044231i,-0.024535-0.020092i,-0.089003-0.0098392i,-0.085967-0.038551i,-0.070459-0.068878i,-0.078032-0.068302i,-0.088743-0.040234i,-0.073297-0.0074214i,-0.035279+0.0014554i,-0.00056384-0.016525i,0.014293-0.032545i,0.014855-0.02042i,0.004768+0.0094045i,-0.010304+0.031079i,-0.011942+0.033531i,5.5719e-05+0.024989i,0.0092384+0.012633i,0.00053624+0.00069431i
0.0065983+0.0046147i,0.040532+0.017649i,0.081911-0.038664i,0.097285-0.18325i,0.026205-0.24553i,-0.13792-0.13147i,-0.19298+0.065043i,-0.097772+0.17102i,-0.031824+0.13964i,-0.022319+0.079156i,0.0059072+0.028965i,0.035468-0.013212i,0.035646-0.015245i,0.026569+0.01343i,0.01974+0.040203i,0.0099323+0.055186i,0.0019023+0.045196i,-0.0037458+0.019197i,-0.0059373+0.011778i,-0.00046479+0.018496i,-0.0016858+0.012737i,-0.015232-0.00050945i,-0.023663-0.0040464i
-0.030003-0.087896i,-0.1062-0.26206i,-0.2169-0.39285i,-0.29841-0.25069i,-0.24557+0.023247i,-0.039596+0.09639i,0.10412-0.0042912i,0.12254-0.042331i,0.12147+0.013709i,0.11002+0.056209i,0.074033+0.059279i,0.036224+0.036207i,0.0091339-0.0079047i,-0.029989-0.041287i,-0.079356-0.038546i,-0.097994-0.021541i,-0.087421-0.016733i,-0.065674-0.018496i,-0.035339-0.02214i,-0.007909-0.023122i,0.011862-0.015683i,0.02113-0.0037661i,0.022456+0.0084877i
0.068404+0.06172i,0.19099+0.22003i,0.31523+0.42952i,0.34965+0.4969i,0.29966+0.34678i,0.20151+0.13717i,0.07783-0.020896i,-0.024976-0.10548i,-0.048179-0.13417i,-0.043279-0.1333i,-0.062633-0.089697i,-0.070689-0.025529i,-0.055659+0.02465i,-0.019641+0.050353i,0.028364+0.037075i,0.058654+0.0098075i,0.066209+0.0077423i,0.056373+0.01977i,0.025709+0.025012i,-0.0084798+0.024127i,-0.018814+0.024472i,-0.0088075+0.020337i,-0.00013043+0.013123i
-0.017639-0.014444i,-0.027467-0.072842i,0.0072182-0.21221i,0.041911-0.35489i,-0.029708-0.34749i,-0.13768-0.17659i,-0.13762+0.022883i,-0.075676+0.10109i,-0.08069+0.080768i,-0.085692+0.073356i,-0.018768+0.056951i,0.044397+0.019368i,0.062616+0.0029852i,0.064474+0.00010145i,0.065273+0.00098452i,0.058853+0.0011583i,0.044784-0.010997i,0.031747-0.029195i,0.019952-0.035075i,0.0063967-0.027982i,-0.0063485-0.021805i,-0.01243-0.021194i,-0.012173-0.025316i
-0.030179+0.04429i,-0.084893+0.17033i,-0.16027+0.34076i,-0.18008+0.39177i,-0.103+0.27136i,0.011993+0.12433i,0.1112-0.0011057i,0.13439-0.076357i,0.11075-0.050046i,0.092966+0.0016114i,0.066158+0.021696i,0.036391+0.02209i,0.018964-0.00098895i,-0.0050106-0.027879i,-0.037723-0.031212i,-0.056776-0.018775i,-0.05593-0.0040266i,-0.037406+0.0071324i,-0.0039427+0.0062987i,0.023413-0.0038771i,0.027711-0.010606i,0.016266-0.0072839i,0.0083426-0.00069523i
0.0062715-0.059027i,0.0083204-0.22593i,0.01998-0.41763i,0.072778-0.4364i,0.14245-0.31567i,0.094974-0.24273i,-0.06481-0.15728i,-0.12779-0.051738i,-0.071281-0.035752i,-0.029831-0.070172i,-0.038558-0.073353i,-0.059779-0.04682i,-0.059627-0.019669i,-0.040928-0.012927i,-0.021899-0.018464i,-0.0022036-0.014163i,0.013826-0.0016867i,0.010704+0.015859i,-0.0032463+0.033057i,-0.0097933+0.036243i,-0.012072+0.029007i,-0.01321+0.023782i,-0.013642+0.021017i
0.0055579+0.0097463i,0.02593+0.048117i,0.046185+0.067586i,-0.025766+0.0085144i,-0.18535+0.0088385i,-0.20099+0.16912i,-0.04618+0.26363i,0.045623+0.1982i,0.024882+0.09511i,-0.010185+0.02764i,-0.009578-0.00050655i,0.014507-0.019927i,0.011397-0.033281i,-0.011612-0.014967i,-0.013451+0.017954i,-0.0046179+0.033052i,-0.0018097+0.023456i,-0.0042483+0.0015897i,-0.013224-0.011168i,-0.020589-0.0074944i,-0.014838-0.0022143i,-0.0040596-0.0059547i,0.0028788-0.011826i
0.047779-0.0013774i,0.071681-0.019496i,0.030431+0.0068304i,-0.043393+0.1539i,0.0056137+0.26224i,0.13718+0.13228i,0.15846-0.085195i,0.090164-0.13621i,0.047133-0.038823i,0.03328+0.049115i,0.023779+0.065938i,0.011876+0.049305i,0.0095989+0.043343i,0.016109+0.037358i,0.0093345+0.014187i,-0.0074363-0.011584i,-0.016981-0.020039i,-0.011014-0.017566i,0.0041771-0.021122i,0.014054-0.024106i,0.017034-0.016169i,0.01522-0.0049469i,0.0091479+0.0038297i
-0.06817+0.038249i,-0.13929+0.16985i,-0.13084+0.33055i,0.032145+0.30942i,0.15517+0.086051i,0.050515-0.097252i,-0.10605-0.092041i,-0.12347-0.035274i,-0.046634-0.041239i,0.011858-0.060179i,0.007857-0.044638i,-0.0075549+0.0064838i,0.01382+0.040411i,0.039299+0.028439i,0.039831+0.0067953i,0.029924-0.0020817i,0.027961-0.00083816i,0.030782+0.0032504i,0.024997+0.0080583i,0.0094526+0.012123i,-0.0023433+0.01263i,-0.0022244+0.0089475i,-0.00019388+0.0036283i
0.041357-0.041211i,0.093355-0.17962i,0.099141-0.40592i,-0.014559-0.52553i,-0.14848-0.39727i,-0.1485-0.13491i,-0.050801+0.043846i,0.0067678+0.077987i,-0.018191+0.045338i,-0.047557+0.015892i,-0.015726-0.00059071i,0.029085-0.029601i,0.025634-0.055003i,0.0027497-0.052715i,-0.0026397-0.0318i,0.0026355-0.011548i,-0.002013-0.010762i,-0.01944-0.015599i,-0.027661-0.0042492i,-0.0172+0.0056485i,-0.0053319-0.0011398i,-0.0032545-0.0099202i,-0.0033977-0.011877i
-0.050011+0.0020466i,-0.11329+0.070791i,-0.14857+0.24174i,-0.076691+0.40675i,0.045632+0.3878i,0.087664+0.20849i,0.05786+0.04718i,0.044444-0.014963i,0.049493+0.0013756i,0.048517+0.033973i,0.031707+0.036631i,0.004116+0.018819i,-0.01798-0.002273i,-0.03912-0.009452i,-0.057151-0.0020822i,-0.061051+0.0071666i,-0.049355+0.02i,-0.028292+0.028317i,-0.0091805+0.014046i,0.00185-0.0060236i,0.0040536-0.006225i,0.0027319+0.0071722i,0.0039334+0.014601i
0.078726+0.021193i,0.22886-0.0048001i,0.41201-0.13373i,0.42564-0.32247i,0.21524-0.36766i,0.028305-0.2172i,-0.018177-0.046477i,-0.018226+0.017043i,-0.014963-0.012366i,-0.021684-0.045116i,-0.030719-0.030094i,-0.023048-0.003908i,-0.0095083+0.0093257i,0.012034+0.017316i,0.039543+0.013798i,0.056739+0.0045751i,0.063647-0.0012525i,0.0597-0.0086617i,0.039745-0.012755i,0.011355-0.0087468i,-0.0091161-0.0066825i,-0.016138-0.0078594i,-0.01876-0.0040891i
-0.085922-0.01603i,-0.25907-0.030341i,-0.54071+0.020356i,-0.7127+0.17745i,-0.56542+0.33435i,-0.23341+0.33379i,0.014916+0.1824i,0.076823+0.046809i,0.031065+0.021237i,0.0054016+0.040632i,0.01357+0.026949i,0.0098503+0.0029344i,0.0021612-0.00024786i,-0.0031604-0.0036586i,-0.013311-0.010476i,-0.022498-0.016004i,-0.030476-0.023342i,-0.033139-0.020357i,-0.020772-0.0059334i,-0.0019048+0.0030298i,0.0088216+0.0013316i,0.012285-0.0041397i,0.014823-0.0077459i
0.05277+0.043697i,0.16543+0.11701i,0.3695+0.20013i,0.58013+0.18884i,0.62353+0.020525i,0.40977-0.18927i,0.099742-0.25578i,-0.064906-0.16874i,-0.041224-0.065522i,0.020564-0.036809i,0.022701-0.033814i,0.0051813-0.010092i,0.00088957+0.01013i,-0.0026762+0.018099i,-0.0098881+0.023422i,-0.015664+0.029432i,-0.012998+0.036908i,-0.005235+0.031753i,-0.0041471+0.012499i,-0.008295-0.0015554i,-0.0070635+0.00057053i,-0.0015805+0.0064139i,-0.0032532+0.0054496i
-0.026545-0.056087i,-0.082765-0.19012i,-0.17834-0.38703i,-0.30286-0.51169i,-0.39348-0.42645i,-0.37656-0.17304i,-0.2649+0.062374i,-0.13412+0.13412i,-0.067849+0.069207i,-0.068569+0.011757i,-0.064757+0.0093546i,-0.037124+0.018272i,-0.0057545+0.016886i,0.016601-3.8313e-05i,0.025173-0.02243i,0.030849-0.036378i,0.033365-0.040651i,0.026342-0.028408i,0.01594-0.0043999i,0.010604+0.012838i,0.0092765+0.016718i,0.0076722+0.011096i,0.0070504+0.0070157i
0.01962+0.061613i,0.024831+0.20464i,0.029042+0.42776i,0.065605+0.57421i,0.14303+0.49258i,0.22056+0.26623i,0.25134+0.075723i,0.2052-0.0013637i,0.12228+0.013203i,0.076339+0.043347i,0.070865+0.034111i,0.066865-0.0038225i,0.044101-0.033319i,0.0083223-0.026838i,-0.012824-0.0007947i,-0.024772+0.016513i,-0.039478+0.024224i,-0.039288+0.025258i,-0.019278+0.023675i,0.0081159+0.016701i,0.021942-0.00069084i,0.016494-0.01352i,0.0077327-0.018034i
0.011874-0.047488i,0.0777-0.14292i,0.19258-0.3117i,0.22225-0.43853i,0.07868-0.38332i,-0.097575-0.22794i,-0.15654-0.12008i,-0.09562-0.088999i,-0.013486-0.09973i,0.0017742-0.094732i,-0.025206-0.05702i,-0.044459-0.022663i,-0.048179-0.0070455i,-0.032256-0.0018471i,-0.012571+0.0003787i,0.0045111+0.0089252i,0.025727+0.014974i,0.032539+0.0043499i,0.013707-0.014876i,-0.01611-0.01896i,-0.033115-0.00084398i,-0.02971+0.019019i,-0.020499+0.027541i
-0.033317+0.024762i,-0.14769+0.066787i,-0.34474+0.15092i,-0.44376+0.23788i,-0.30971+0.25336i,-0.077245+0.22643i,0.063643+0.18105i,0.047927+0.11001i,-0.032425+0.062753i,-0.052428+0.053454i,-0.020556+0.0504i,0.0046013+0.04468i,0.01244+0.035383i,0.0070014+0.018327i,-0.00060058-0.00024367i,-0.0028057-0.020561i,-0.0055737-0.041922i,-0.005418-0.046922i,-0.0021246-0.035731i,-0.0038502-0.026384i,-0.0068551-0.02128i,-0.0046542-0.019493i,0.0018709-0.021146i
0.024138-0.010305i,0.13577-0.0087218i,0.32567+0.0028036i,0.43102+0.014547i,0.32844+0.00076008i,0.13691-0.063398i,0.0038961-0.12095i,-0.028386-0.081533i,0.015838-0.0018528i,0.05272+0.00067866i,0.034213-0.044407i,0.001069-0.058963i,-0.006755-0.038234i,0.0051264-0.014718i,0.011035-0.0035292i,0.0016842+0.0085331i,-0.0092213+0.025885i,-0.010556+0.035097i,0.0005601+0.03249i,0.017341+0.022203i,0.023598+0.010899i,0.017091+0.0059398i,0.0074865+0.0051847i
