0.0017102+0.00010096i,0.001002-0.0012875i,0.0012652-0.002388i,-0.00026588-0.0018233i,-0.0026798-0.00034547i,-0.0029302+0.0012042i,-0.0014523+0.0019475i,-0.00026052+0.0019905i,0.00013743+0.00049946i,-0.00016194-0.000633i,-0.00074847-0.0011755i,-0.0014966-0.00089452i,-0.0012294+0.00040658i,-0.00077217+0.0010349i,-0.00053444+0.0006348i,0.00039088+0.00030897i,0.00086929-0.00047166i,0.00052272-0.00064367i,0.0009334-1.915e-06i,0.0014201+0.00032196i,0.0010231-0.00040432i,0.00056251-0.0010101i,0.00016799-0.00070177i
0.0084881+0.01945i,0.034028+0.076303i,0.071222+0.17831i,0.092024+0.27163i,0.071584+0.26394i,0.031056+0.15964i,0.0021016+0.054563i,-0.0039339-0.00015214i,0.0022864-0.020722i,0.00057521-0.022007i,-0.0022002-0.010782i,0.0019291-0.0050729i,0.0026214-0.0034028i,0.0017866+0.0022566i,0.0030104+0.0020537i,0.00042178-0.00098567i,-0.0027728-0.00013581i,-0.0020593-0.0011199i,-0.0011259-0.0047482i,-0.0031406-0.0055387i,-0.0037945-0.0028276i,-0.0020179-0.0010721i,-0.00081131-0.0014086i
-0.011886+0.0017303i,-0.027876-0.00059957i,-0.014073-0.010929i,0.064479-0.01827i,0.15061-0.014781i,0.15512-0.016707i,0.096172-0.019486i,0.039848-0.018728i,0.0070304-0.019093i,-0.0003736-0.01258i,0.0079572-0.0060141i,0.010061-0.0077144i,0.0042833-0.0062415i,0.0020183-0.0019017i,8.5816e-05-0.0011277i,-0.0032844-0.00094063i,-0.0034185-0.00079093i,-0.001651-0.0012905i,-0.0011988-0.00067799i,-0.0010316+0.00058905i,-0.00043709+0.00079508i,-0.00060619+0.00011566i,-0.0010078+0.0010704i
0.035242-0.0080749i,0.096863-0.040855i,0.17172-0.12057i,0.18968-0.22446i,0.12001-0.25774i,0.027006-0.17749i,-0.020127-0.072397i,-0.030371-0.014683i,-0.029517+0.0074797i,-0.019755+0.011212i,-0.010902+0.0043829i,-0.0082561+0.0016051i,-0.0024716+0.00068068i,0.0021778-0.0046178i,0.00045205-0.0053995i,0.00067711-0.0008274i,0.002813+0.00083471i,0.0010394+0.0012475i,-0.0016272+0.0044082i,-0.00053339+0.0075977i,0.0031874+0.0064837i,0.0034384+0.0025912i,0.00012336+0.0004865i
-0.011931-0.0017216i,-0.064717+0.0069306i,-0.17141+0.015878i,-0.2779+0.011535i,-0.2823-0.0027606i,-0.17928-0.012583i,-0.073327-0.013752i,-0.015892+0.00043935i,0.010104+0.021017i,0.015569+0.019729i,0.0063443+0.006605i,0.00058844+0.0039601i,0.0028629+0.0043995i,0.0036007+0.0020739i,0.0046717+0.0010285i,0.0052479-0.00061872i,0.0018369-0.0018749i,-0.00046299-0.00010689i,0.00075849+0.00045936i,0.0024512-0.0015443i,0.0029277-0.0022088i,0.0026855-0.0013277i,0.0028314-0.0015123i
-0.0059704-0.027138i,-0.012479-0.058481i,-0.0344-0.056097i,-0.067078+0.024936i,-0.070254+0.11969i,-0.035809+0.13569i,-0.0046182+0.091655i,0.011552+0.046817i,0.01985+0.015396i,0.01167+0.0025794i,0.0022132+0.0063431i,0.0022745+0.0051492i,0.00018107-0.00089944i,-0.0022224-0.0012425i,-0.0017069-0.0012197i,-0.0019211-0.0030502i,-0.0022054-0.0028184i,-0.00072645-0.001124i,0.0015756-0.0010079i,0.0017689-0.0040497i,-0.00060042-0.0057078i,-0.0020048-0.0032434i,-0.001457+0.00053674i
-0.0057357+0.035031i,0.0088502+0.10337i,0.081802+0.20843i,0.19308+0.26383i,0.22893+0.19512i,0.1434+0.067883i,0.03809-0.0037537i,-0.0060227-0.025582i,-0.013847-0.039873i,-0.014031-0.03561i,-0.0070723-0.021148i,-0.0044236-0.014465i,-0.0079229-0.0076071i,-0.0076857-8.9448e-05i,-0.0070343+0.0029165i,-0.0064871+0.0058269i,-0.0018418+0.0072354i,0.0019608+0.0042549i,0.0002183-0.0010635i,-0.0044635-0.003605i,-0.0063003-0.0018242i,-0.005227+0.00027317i,-0.0037277+0.00045671i
-0.0051749-0.0053131i,-0.0087801-0.04245i,0.000723-0.13368i,0.036804-0.23156i,0.065531-0.23969i,0.053491-0.14637i,0.035542-0.053213i,0.016059-0.018075i,-0.012279-0.0037004i,-0.016127+0.0077287i,-0.0023086+0.006102i,0.002096+0.0029366i,0.00079727+0.0042026i,-0.00036163+0.004362i,-0.00077176+0.0056822i,0.0010403+0.0065317i,0.0012682+0.0025283i,0.00054893-0.0023865i,0.00083716-0.0023988i,0.00099476+0.001452i,0.00090114+0.0027457i,0.0010826+0.00096163i,0.0013199-9.4147e-05i
0.03588+0.008105i,0.084272+0.0068173i,0.11523-0.038171i,0.059878-0.11881i,-0.045494-0.13468i,-0.075971-0.057854i,-0.039274+0.0084418i,-0.013628+0.030133i,0.0011703+0.037538i,0.0097825+0.026676i,0.0031205+0.012485i,0.00057073+0.010616i,0.0077085+0.0070072i,0.011431+0.00083099i,0.012157-0.0021181i,0.010545-0.0041614i,0.0064433-0.0044834i,0.002396-0.0022295i,1.7862e-05+0.0010728i,0.00099407+0.0037401i,0.0041797+0.0029049i,0.0053185+0.00050462i,0.0027711-0.0012475i
-0.014629-0.021059i,-0.073595-0.024993i,-0.20193+0.01646i,-0.30401+0.11005i,-0.24338+0.16039i,-0.085836+0.096323i,0.0041161+0.0059587i,0.024351-0.017487i,0.039041-0.0039032i,0.037634-0.0011271i,0.02095-0.0022378i,0.013021-0.0025698i,0.010043-0.0053025i,0.0074903-0.0067207i,0.0057042-0.0088417i,-0.0010695-0.0090256i,-0.0070378-0.0035204i,-0.0069316+0.0019449i,-0.0024373+0.0020083i,0.0015783-0.0017685i,0.0014178-0.0036734i,-0.00084501-0.001548i,-0.0014223+0.0010106i
0.0027479-0.025156i,0.030158-0.044784i,0.092241-0.024299i,0.1575+0.04194i,0.16256+0.079841i,0.10406+0.052181i,0.039911+0.01902i,0.0099267+0.0028303i,-0.0018505-0.01991i,-0.013024-0.022933i,-0.011384-0.0084113i,-0.0065896-0.0071155i,-0.0081495-0.010058i,-0.0088168-0.0083862i,-0.0094587-0.0060727i,-0.0073406-0.002644i,-0.00066236-0.0010653i,0.0040953-0.0010666i,0.0041045-0.00086547i,0.0010067-0.0016059i,-0.0017109-0.0014523i,-0.0028669+0.00094964i,-0.0027291+0.004024i
-0.032543+0.025579i,-0.046639+0.073371i,0.0034828+0.12704i,0.12109+0.11445i,0.1691+0.025333i,0.070474-0.037568i,-0.033523-0.026361i,-0.057303-0.0092414i,-0.056685-0.0096371i,-0.043294-0.0041171i,-0.022023-0.0022303i,-0.014548-0.0017264i,-0.012603+0.0041204i,-0.0096259+0.0094323i,-0.0063346+0.01434i,-0.00016643+0.015514i,0.0055177+0.010092i,0.0064372+0.0030296i,0.0025606-0.0014132i,-0.0025483-0.00057202i,-0.0037542+0.0028739i,-0.0010518+0.0034625i,0.00013483+0.00028532i
0.0067908+0.010222i,0.0092574-0.031512i,-0.0015652-0.15628i,-0.044775-0.29543i,-0.086751-0.28968i,-0.056706-0.1368i,0.013207-0.024606i,0.031313-0.0030352i,0.010445+0.012662i,0.0037893+0.022118i,0.0050242+0.013334i,0.0041116+0.0096759i,0.0048049+0.010205i,0.0058112+0.0092792i,0.0079185+0.0075798i,0.0065485+0.0029171i,-0.00057477-0.0013268i,-0.0064786-0.0025681i,-0.0070209-0.0019451i,-0.0039288-0.00048935i,-0.00038754+0.00041105i,0.0024065-0.00087413i,0.0033358-0.0028618i
0.039656+0.02615i,0.069031+0.060324i,0.053372+0.081822i,-0.030701+0.075381i,-0.099433+0.065059i,-0.074674+0.050754i,-0.022702+0.031316i,0.005522+0.027157i,0.031286+0.020672i,0.035296+0.0020559i,0.016468-0.0044026i,0.0089818-0.0012629i,0.01076-0.001167i,0.010985-0.0036139i,0.0099105-0.007172i,0.004991-0.0060361i,0.0012172+0.00010284i,0.00011242+0.0037676i,-0.00073004+0.0034972i,0.0009814+0.0015457i,0.0025477-0.00087779i,0.0018723-0.0010467i,0.0010175+0.00074034i
0.012173-0.044647i,-0.018035-0.070951i,-0.1038-0.023075i,-0.16775+0.11381i,-0.11621+0.185i,-0.031525+0.097662i,-0.016574-0.010069i,-0.021968-0.034362i,-0.0068672-0.025778i,0.002338-0.019283i,0.0042493-0.013103i,0.0054649-0.014936i,0.0027404-0.017319i,0.00032127-0.016168i,-0.002746-0.014302i,-0.0054662-0.0087966i,-0.0037402-0.00091717i,-0.00038902+0.0041496i,0.0025941+0.0039456i,0.0030663+0.00099295i,-0.00043204-0.00033315i,-0.0035404+0.0013593i,-0.0029464+0.0030339i
-0.0093261-0.025339i,0.0282-0.040522i,0.14091-0.029204i,0.2713-0.01061i,0.28371-0.0061721i,0.16923+0.0081185i,0.068293+0.040211i,0.030284+0.048419i,0.0024598+0.025732i,-0.01441+0.014696i,-0.0083195+0.013881i,-0.0031691+0.009126i,-0.0047801+0.0040311i,-0.0076771+6.5559e-05i,-0.0077332-0.0006104i,-0.00096003-0.0017067i,0.0061328-0.0070655i,0.0086333-0.01027i,0.0064445-0.0073952i,0.0030572-0.0019832i,0.0030312+0.00073067i,0.0030387+0.00051677i,0.00075926-0.00052835i
-0.055932+0.014315i,-0.10582+0.031484i,-0.10098+0.028252i,-0.019914-0.02742i,0.044725-0.09544i,0.029103-0.088339i,-0.0042795-0.030973i,-0.011512-0.0029723i,-0.012893+0.0081455i,-0.0078344+0.014862i,-0.0046733+0.0099845i,-0.0072662+0.0097564i,-0.0067631+0.013132i,-0.0048802+0.013824i,-0.0016722+0.013097i,0.00049755+0.009171i,0.00012449+0.0049554i,-0.00097902+0.0028504i,-0.0018866+0.0022362i,-0.0018143+0.0017447i,-0.0017358+0.0011998i,-0.0014065-0.00011251i,-0.00056031-0.0029097i
0.0067888+0.040117i,0.017718+0.032561i,-0.0042462-0.067889i,-0.091939-0.20309i,-0.16759-0.22391i,-0.11258-0.13717i,-0.0029886-0.089967i,0.029462-0.088633i,0.020713-0.063398i,0.01637-0.033811i,0.010486-0.018261i,0.0077244-0.0084429i,0.0077105-0.0012554i,0.0081208+0.0040148i,0.0068613+0.0044444i,0.0010436+0.0023802i,-0.0058069+0.002951i,-0.0096238+0.0041929i,-0.0097415+0.0028802i,-0.0065099-0.00059911i,-0.0036832-0.0037822i,-0.0018868-0.0034117i,0.00042125-0.00073242i
0.050835+0.035405i,0.077801+0.086959i,0.054602+0.15658i,-0.016359+0.21695i,-0.065197+0.23164i,-0.069551+0.16991i,-0.068077+0.097159i,-0.054439+0.065599i,-0.02632+0.032015i,-0.013994-0.0024224i,-0.012445-0.010685i,-0.0073965-0.0096466i,-0.0039268-0.011058i,-0.0024855-0.012008i,-0.0018838-0.0091073i,0.00021999-0.0014767i,0.0048765+0.0042672i,0.0046802+0.0044558i,0.0015182+0.001887i,0.0017828+0.00016162i,0.0041472+0.00056966i,0.0043789+0.0016848i,0.0026693+0.0024766i
0.039496-0.063894i,0.056377-0.11705i,0.02905-0.10159i,0.0028693+0.016662i,0.039459+0.1074i,0.063161+0.086416i,0.021267+0.037616i,-0.01786+0.027212i,-0.02071+0.031737i,-0.010825+0.025169i,-0.0023118+0.01085i,0.00090882-0.0014815i,0.0010081-0.006956i,0.0010528-0.010165i,0.00081922-0.0108i,0.00043457-0.0072007i,0.00071998-0.0052177i,0.0020153-0.0059312i,0.0014201-0.0071841i,0.00091534-0.0053168i,0.0019654-0.00018806i,0.0018816+0.0021329i,0.0014493+0.0014804i
-0.022419-0.045829i,-0.016036-0.076103i,0.070623-0.086299i,0.20195-0.10628i,0.2467-0.13739i,0.19329-0.11736i,0.14389-0.048557i,0.12093+0.00049724i,0.085101+0.011673i,0.044921+0.018148i,0.024115+0.022995i,0.015049+0.022117i,0.0076328+0.018961i,0.001375+0.013799i,-0.00040241+0.0076073i,0.0010909+0.0007996i,0.0011275-0.0038759i,0.0024286-0.0061656i,0.0055003-0.0058075i,0.0054937-0.0032556i,0.0038075-0.0012267i,0.0031755-0.0012287i,0.0015168-0.0021097i
-0.083599+0.010899i,-0.16489+0.018875i,-0.21419+0.0041273i,-0.19363-0.046967i,-0.15498-0.10912i,-0.14563-0.1235i,-0.12647-0.092278i,-0.081908-0.071684i,-0.044023-0.055963i,-0.018665-0.033653i,-0.0047454-0.018124i,-0.00021173-0.01i,0.00051138-0.0043623i,0.0012905+0.0017081i,0.0015532+0.0051264i,-0.001169+0.0060191i,-0.0037992+0.0081957i,-0.0030289+0.010474i,0.00078475+0.010362i,0.0018036+0.0078072i,-0.0015146+0.0043001i,-0.0015355+0.0022719i,0.00073825+0.0016124i
0.0089289+0.078379i,0.027413+0.12752i,0.028615+0.095447i,-0.038732-0.00040943i,-0.13193-0.026576i,-0.13057+0.016268i,-0.070192+0.0062721i,-0.055771-0.032262i,-0.056004-0.033774i,-0.033533-0.023199i,-0.012193-0.019701i,-0.0037266-0.0185i,-0.0019116-0.013014i,0.00014346-0.0051434i,0.0034661+0.00010819i,0.0055782+0.00097649i,0.0049018+0.00066149i,0.0029337+0.0029348i,-0.00010183+0.004473i,-0.0034628+0.0032372i,-0.0046645-0.00023624i,-0.0054034-0.002384i,-0.0043096+0.00054754i
0.072038+0.043472i,0.12685+0.090284i,0.13365+0.15006i,0.10551+0.21032i,0.11246+0.2459i,0.11486+0.22583i,0.070956+0.1932i,0.036377+0.1699i,0.021459+0.12064i,0.001231+0.060154i,-0.014186+0.024966i,-0.017776+0.011267i,-0.017438+0.00096413i,-0.01561-0.0084632i,-0.0097791-0.0096679i,-0.0020897-0.0051902i,0.0041136-0.003795i,0.0034048-0.003598i,-0.0023793-0.0017111i,-0.0035869-0.00056245i,-0.00061031-0.0016649i,-0.00040789-0.002456i,-0.0021535-0.0015487i
0.060746-0.080451i,0.11294-0.16492i,0.12969-0.20244i,0.11093-0.14848i,0.10534-0.098609i,0.11178-0.10389i,0.090752-0.10206i,0.067312-0.064604i,0.066892-0.026518i,0.056062-0.010108i,0.029023-0.00096758i,0.014764+0.0075207i,0.014172+0.008424i,0.011731+0.0021539i,0.0039325-0.0041358i,-0.0036103-0.0053885i,-0.0072052-0.0042308i,-0.0072684-0.0064135i,-0.0064755-0.0099787i,-0.0044092-0.008485i,-0.0012248-0.0032127i,0.0021537+0.00033332i,0.0039258-0.00087245i
-0.037287-0.064761i,-0.075198-0.11086i,-0.063377-0.12499i,0.003082-0.12579i,0.037615-0.13298i,0.01859-0.1263i,0.024251-0.10555i,0.047002-0.098322i,0.033951-0.088275i,0.015006-0.046548i,0.017055-0.0095419i,0.018061+0.0021061i,0.01225+0.00816i,0.0062394+0.014575i,0.0022686+0.015515i,0.00069473+0.012254i,0.00030543+0.0085322i,0.0022822+0.0046408i,0.0069155+0.00026403i,0.0096395-0.0028728i,0.0084589-0.0018661i,0.0074894-0.00072572i,0.0046414-0.0025781i
-0.10528+0.0062327i,-0.20614+0.015452i,-0.26222+0.018056i,-0.23199+0.013272i,-0.18449+0.016636i,-0.17693+0.040331i,-0.18083+0.051029i,-0.17047+0.033494i,-0.13727+0.020051i,-0.080951+0.0070061i,-0.035474-0.012697i,-0.016417-0.023111i,-0.0093154-0.020165i,-0.0017937-0.012119i,0.0043172-0.0050048i,0.0046423-0.00098157i,0.00022653-4.1146e-05i,-0.002188+0.00082672i,0.00074009+0.0026264i,0.0028024+0.0040626i,0.0028656+0.0041831i,0.0029234+0.0033877i,0.0031251+0.0040004i
0.0083217+0.098143i,0.039438+0.19583i,0.073731+0.22406i,0.057479+0.13434i,0.024052+0.04283i,0.043661+0.02287i,0.059037+0.027099i,0.025823+0.048048i,0.0039259+0.069581i,0.0039809+0.051346i,-0.0038309+0.019666i,-0.012059+0.0056763i,-0.011212+0.0021475i,-0.0057048-0.0011136i,0.00039104-0.005813i,0.0034562-0.0087901i,0.0061189-0.0070154i,0.008899-0.0037291i,0.0064317-0.00013703i,0.00097285+0.0032349i,-0.0026294+0.0025906i,-0.0079152+0.0018113i,-0.01033+0.0071646i
0.074789+0.049533i,0.13903+0.072035i,0.15304+0.075044i,0.11127+0.068046i,0.07506+0.052616i,0.054908+0.031544i,0.059001+0.042979i,0.1006+0.055133i,0.11182+0.021499i,0.05708-0.0023947i,0.011174+0.011991i,0.0063746+0.020427i,0.0060338+0.010091i,-0.0024991-0.0012143i,-0.0099042-0.0064398i,-0.010095-0.0021689i,-0.0034051+0.0045591i,0.00018662+0.008143i,-0.0011732+0.010701i,-0.00080804+0.0088735i,-0.0012525+0.002976i,-0.0012313-0.0019786i,0.00098559-0.0059102i
0.079647-0.08539i,0.15118-0.19i,0.17655-0.24327i,0.12112-0.17314i,0.033377-0.071804i,-0.018567-0.049132i,-0.031605-0.08351i,-0.022459-0.11151i,-0.0099124-0.10963i,0.0009118-0.073634i,0.015948-0.032763i,0.024409-0.015297i,0.021684-0.0092862i,0.015396-0.002987i,0.0089097+0.0016577i,0.0039114+0.0024827i,0.00049682-0.00098591i,-0.0013376-0.0044131i,-0.0021237-0.0061845i,-0.0025454-0.0069727i,-0.0012017-0.0045885i,0.0032619-0.00037683i,0.0084635-0.001142i
-0.049691-0.060656i,-0.1346-0.0893i,-0.19274-0.070191i,-0.12688-0.020555i,0.010881+0.025704i,0.077612+0.057671i,0.056481+0.047087i,-0.012613+0.0042553i,-0.072372+0.0036415i,-0.054124+0.025629i,-0.010175+0.0082898i,-0.0066779-0.015194i,-0.013851-0.0092527i,-0.0082361+0.0046424i,0.0016359+0.012267i,0.00805+0.011221i,0.0054086+0.0055046i,-0.00076075+0.0027599i,-0.00207-0.001472i,-0.00070326-0.006168i,8.0131e-05-0.0063903i,-0.00012301-0.0060615i,-0.004516-0.0059327i
-0.095291-0.011282i,-0.17339-0.0029919i,-0.1805+0.0040293i,-0.091903-0.015534i,-0.0089491-0.058863i,0.0029126-0.078377i,-0.033951-0.032348i,-0.053074+0.060019i,-0.018164+0.10765i,0.0067497+0.066409i,-0.014094+0.016407i,-0.031248+0.010317i,-0.023169+0.011934i,-0.011699+0.0021523i,-0.0062538-0.0051316i,-0.0070929-0.0058265i,-0.010397-0.0041461i,-0.01156-0.0052259i,-0.011792-0.0061932i,-0.0086999-0.0024121i,-0.0032343+0.0022897i,-0.0012753+0.005068i,-0.0012897+0.0068269i
0.016435+0.10973i,0.079296+0.23813i,0.14624+0.29708i,0.1159+0.18381i,0.011115+0.013651i,-0.043467-0.057699i,-0.013292-0.045695i,0.046952-0.021321i,0.084435-0.013967i,0.065978-0.015184i,0.021395+4.7201e-05i,0.0055723+0.017733i,0.0091839+0.012774i,0.0082063+0.00046462i,0.0030736-0.0070459i,0.0019213-0.0068547i,0.0099403-0.0025586i,0.018409-0.0016966i,0.018715-0.00059164i,0.01342+0.0032175i,0.0059621+0.0058821i,-0.002012+0.008308i,-0.0063501+0.012187i
0.040114+0.017886i,0.082411-0.025881i,0.088209-0.1058i,0.032567-0.12011i,-0.041489-0.028209i,-0.074969+0.076428i,-0.042406+0.090064i,0.0122+0.0080445i,0.011781-0.074776i,-0.019676-0.064825i,-0.003778-0.011823i,0.030875-0.0019194i,0.031523-0.011245i,0.015905-0.0059206i,0.0048604+0.0035889i,0.00049209+0.0095557i,0.00051798+0.013199i,0.0030459+0.015872i,0.008005+0.016082i,0.010406+0.010056i,0.009409+0.0014826i,0.0099685-0.0055065i,0.012168-0.013392i
0.085295-0.061446i,0.15906-0.15003i,0.1831-0.20076i,0.1408-0.12545i,0.11703-0.0055679i,0.13947+0.020218i,0.10542-0.019559i,-0.00053655-0.02764i,-0.074962+0.004164i,-0.058073+0.021352i,-0.011129-0.0015499i,-0.0017478-0.023616i,-0.010233-0.016789i,-0.0083528-0.0049845i,-0.0011273-0.0041539i,0.0010512-0.0095729i,-0.0034408-0.013345i,-0.0085423-0.011924i,-0.0095776-0.0095098i,-0.0083076-0.0089935i,-0.0061127-0.0068928i,-0.00024685-0.0023898i,0.0069932+0.00038765i
-0.058654-0.026717i,-0.20098-0.015096i,-0.3449+0.037725i,-0.31385+0.073144i,-0.13555+0.031603i,-0.016087-0.029181i,0.0033577-0.028145i,-0.0076957+0.017008i,-0.0049409+0.057467i,0.014578+0.051336i,0.0090502+0.011855i,-0.015493-0.006161i,-0.020995+0.00034221i,-0.011582+0.0038559i,-0.003768+0.0042873i,-0.00022307+0.0047948i,-0.00019701+0.0044897i,-0.0032704+0.002981i,-0.0068037+0.00022741i,-0.0075444-5.5729e-05i,-0.0071546+0.0012281i,-0.01013+0.00044017i,-0.016421-0.00022138i
-0.037019-0.029023i,-0.047838-0.02241i,-0.011791+0.0042061i,0.030978+0.0068039i,-0.010158-0.02655i,-0.10019-0.057837i,-0.11866-0.050701i,-0.031216-0.017475i,0.060391-0.020121i,0.053732-0.041319i,0.0016534-0.019681i,-0.010939+0.015168i,0.0016498+0.015348i,0.002053-7.6509e-05i,-0.0070465-0.0056445i,-0.011728-0.0014197i,-0.0097151+0.0012502i,-0.0072482-0.0018396i,-0.0065103-0.002347i,-0.0042828+0.0027477i,0.00020633+0.0073782i,0.0032834+0.0082772i,0.002957+0.0072389i
0.013449+0.085632i,0.08189+0.20982i,0.17115+0.30256i,0.17891+0.26264i,0.10775+0.17763i,0.060256+0.16574i,0.055605+0.14072i,0.032982+0.046447i,-0.0040326-0.023003i,-0.014766-0.026397i,-0.0035331-0.0080925i,0.010396-0.002627i,0.014187-0.0077119i,0.013854-0.0074655i,0.016954-0.0021733i,0.018422+0.00051216i,0.019839+0.0002734i,0.023743+8.7693e-05i,0.024154-0.00051726i,0.018278-0.0025028i,0.0099633-0.0039473i,0.0020901-0.0024814i,-0.002251+0.0016392i
-0.0016123-0.028525i,0.0187-0.14164i,0.035725-0.29817i,0.042631-0.35174i,0.065358-0.26433i,0.082065-0.14686i,0.04116-0.065835i,-0.026877-0.0085997i,-0.062661+0.030633i,-0.050164+0.050156i,-0.0099771+0.043488i,0.012264+0.01843i,0.0092775+0.0073353i,0.0052996+0.011109i,0.0048225+0.014668i,0.0031989+0.014892i,-0.0014986+0.015744i,-0.0049279+0.01797i,-0.0048816+0.016563i,-0.0042891+0.008621i,-0.0038975-0.0016672i,6.0852e-05-0.0084418i,0.0069971-0.013033i
0.055265+0.0046153i,0.10654-0.022636i,0.13919-0.067005i,0.13174-0.089601i,0.10722-0.10203i,0.093934-0.14404i,0.075985-0.14745i,0.048017-0.067038i,0.032286+0.013865i,0.025889+0.02764i,0.010716+0.0065441i,-0.0078036+0.0018931i,-0.012207+0.0085804i,-0.0098002+0.004627i,-0.0091028-0.0052203i,-0.008233-0.010607i,-0.0080228-0.012875i,-0.011719-0.013488i,-0.015448-0.012006i,-0.015648-0.0089534i,-0.013744-0.0025237i,-0.008897+0.0061024i,-0.0010611+0.010079i
-0.044019+0.0091366i,-0.17022+0.03888i,-0.31813+0.11205i,-0.34922+0.17092i,-0.2798+0.16278i,-0.21925+0.13348i,-0.14285+0.10717i,-0.033172+0.038741i,0.032419-0.03696i,0.036751-0.057617i,0.021412-0.041694i,0.0090074-0.027634i,-0.00099932-0.021118i,-0.0071752-0.012479i,-0.0074625-0.0039574i,-0.003256-0.00025895i,0.0027243-0.00075435i,0.0068387-0.0034685i,0.011392-0.0034022i,0.016278+2.1261e-05i,0.016319+0.0022763i,0.010478-0.00067038i,-0.0004987-0.0056374i
0.049508-0.019865i,0.10716-0.018067i,0.14715-0.010111i,0.12756-0.0056526i,0.080889+0.015546i,0.054546+0.028957i,0.034592-0.007513i,0.0075818-0.049587i,-0.011799-0.059016i,-0.022783-0.048369i,-0.020791-0.029471i,-0.0097772-0.01804i,-0.00683-0.014389i,-0.0089327-0.0079166i,-0.010526-0.0048592i,-0.011794-0.0057561i,-0.0088689-0.0042981i,-0.0023829-0.0023278i,0.0016252+0.00058471i,0.0030869+0.003562i,0.0064985+0.002983i,0.0082466-0.0003158i,0.006939-0.0001117i
-0.014838+0.010305i,0.0097578+0.057063i,0.071321+0.12552i,0.11408+0.15392i,0.10083+0.11656i,0.087644+0.0872i,0.087009+0.098318i,0.04849+0.1127i,0.0052929+0.10777i,-0.00075532+0.07573i,0.0024719+0.033681i,0.00082485+0.016116i,0.0080413+0.014811i,0.01409+0.0067865i,0.01231-0.0026601i,0.0069631-0.0026461i,0.00292+0.0039395i,0.0038959+0.0068937i,0.0032112+0.0035674i,-0.0013304-0.0026439i,-0.0054792-0.0073684i,-0.0088865-0.0058913i,-0.0097422+5.9663e-05i
-0.031892-0.049106i,-0.054696-0.12002i,-0.092284-0.20278i,-0.13087-0.22794i,-0.13824-0.1922i,-0.14876-0.13608i,-0.16861-0.052736i,-0.12857+0.030247i,-0.054557+0.060632i,-0.013979+0.05275i,-0.0051141+0.042166i,0.0007764+0.033004i,0.011977+0.01928i,0.01785+0.0060741i,0.013604+0.0036682i,0.0081821+0.0072543i,0.0025106+0.0099583i,-0.0037024+0.0122i,-0.0082409+0.012334i,-0.0093959+0.012795i,-0.006263+0.013127i,-0.00064053+0.011483i,0.0048887+0.0057883i
-0.030093+0.052987i,-0.033625+0.077424i,0.022094+0.045651i,0.13087-0.021637i,0.1948-0.035653i,0.18767-0.018655i,0.15732-0.06255i,0.09862-0.12997i,0.028446-0.13321i,-0.0066545-0.083625i,-0.0043693-0.039375i,0.0050718-0.024127i,0.0032164-0.022359i,0.00055792-0.016143i,0.0049972-0.0071292i,0.010611-0.0046179i,0.0094426-0.008346i,0.0022064-0.011733i,-0.0016025-0.013208i,-0.0028636-0.011703i,-0.0056956-0.0033489i,-0.0065124+0.0046137i,-0.0076369+0.0048266i
0.028018+0.017116i,0.038477+0.045718i,0.03035+0.11167i,0.015408+0.16172i,0.017492+0.12233i,0.031203+0.040128i,0.018423+0.002099i,-0.0030392-0.0018694i,-0.0062436-0.0066192i,7.6113e-05-0.0052933i,0.0075387-0.0035628i,0.0041986-0.0092845i,-0.010169-0.004762i,-0.013207+0.0071065i,-0.003892+0.0085225i,0.001448+0.0029355i,0.0019227-0.0026374i,0.0035572-0.0044656i,0.0087138-0.0038688i,0.012957-0.0080311i,0.010254-0.014655i,0.0033405-0.017671i,-0.0018933-0.018578i
0.06443+0.0092451i,0.098185-0.01128i,0.047532-0.089526i,-0.055496-0.17979i,-0.094322-0.21i,-0.091178-0.19397i,-0.10427-0.15107i,-0.08898-0.058417i,-0.030325+0.015012i,0.0045669+0.017842i,-0.00052649+0.0053367i,-0.0068305+0.0062295i,-0.0064403+0.011179i,-0.0081292+0.013002i,-0.012685+0.007107i,-0.014635+0.0027403i,-0.0086949+0.0053103i,-0.0025339+0.0063992i,-0.0040318+0.0045035i,-0.0070545+0.0047696i,-0.0040166+0.005936i,0.0026631+0.0078277i,0.011429+0.012314i
0.0091079-0.091679i,0.017827-0.16124i,0.072269-0.16304i,0.11439-0.047493i,0.058885+0.10152i,0.0013621+0.19364i,0.052535+0.21938i,0.12983+0.16343i,0.1289+0.072121i,0.076007+0.014054i,0.03034-0.0016114i,0.014308+0.0073084i,0.019463+0.0076353i,0.015649-0.0055993i,0.0030043-0.010317i,-0.0026964-0.0030197i,-0.0021419+0.0055181i,0.0016904+0.0073965i,0.004668+0.0042206i,0.003202+0.00073765i,-0.00025041-0.0010786i,-0.0022323+0.0002023i,-0.0045424+0.001882i
