-0.00051432+0.00071713i,-0.00020986+0.00035285i,-0.00046615+7.1819e-07i,-0.00096465-0.00023542i,-0.0015368+0.00023789i,-0.0020118+0.00043877i,-0.0010923+0.0010339i,0.00030034+0.0020171i,0.001663+0.0013971i,0.0019025+0.0001032i,0.0015119-3.6861e-05i,0.00089807-6.6485e-06i,0.00011989-0.00029558i,0.00019277-0.00015561i,0.00054329+0.00046806i,0.00081794+0.001431i,0.00051224+0.0011957i,0.00010399-0.00035737i,0.00046452-0.001179i,0.00034601-0.00098729i,0.0001943+2.0984e-05i,-0.00042835+0.0010659i,-0.00097768+0.00093534i
0.030838+0.097543i,0.12383+0.19498i,0.25232+0.22122i,0.28898+0.12498i,0.16494+0.016585i,0.0059476-0.012813i,-0.058594-0.0049616i,-0.054625-0.0022568i,-0.047436+0.0014476i,-0.046537+0.017121i,-0.036369+0.036418i,-0.012198+0.042347i,0.012418+0.029211i,0.02284+0.009014i,0.018494-0.0035408i,0.012171-0.007947i,0.0085922-0.00957i,0.0058376-0.0065426i,0.012615+0.00078575i,0.024481+0.0044778i,0.021885+0.0033174i,0.0088082+0.0041631i,0.005014+0.0044631i
-0.033714-0.096657i,-0.12433-0.16511i,-0.25239-0.14493i,-0.28791-0.02008i,-0.15411+0.053282i,0.0069263+0.022669i,0.046667-0.013176i,0.033026-0.021822i,0.037312-0.032546i,0.027968-0.046469i,0.0060944-0.041256i,-0.0097861-0.021609i,-0.017306-0.0013698i,-0.011765+0.012489i,0.00011277+0.016381i,0.0074871+0.016782i,0.0078777+0.014091i,-0.0014931+0.0037878i,-0.016526-0.0046569i,-0.025961-0.0065492i,-0.027706-0.0062639i,-0.026822-0.00076829i,-0.022908+0.0095872i
0.0081792+0.076644i,0.047426+0.12566i,0.069376+0.060701i,0.00028254-0.078769i,-0.11973-0.092649i,-0.13503-0.0022695i,-0.033085+0.0092584i,0.028425-0.02414i,0.025094-0.0094768i,0.020496+0.014147i,0.011191+0.014923i,0.0026465+0.0087374i,0.0012678-0.0052305i,-0.0074787-0.012494i,-0.013578-0.0013295i,-0.0076264+0.015623i,0.0032183+0.029725i,0.013468+0.033033i,0.01631+0.0232i,0.014574+0.010212i,0.014542-0.0013855i,0.011942-0.014162i,0.0033641-0.020695i
-0.0079375-0.096293i,-0.017013-0.16797i,0.0039312-0.13469i,0.076444+0.00027003i,0.13523+0.05556i,0.11884+0.021233i,0.069427+0.038064i,0.049237+0.060792i,0.033446+0.031967i,0.014801+0.010863i,0.021905+0.0083135i,0.033822-0.00046929i,0.034053-0.0047846i,0.028624-0.010037i,0.013548-0.022748i,-0.0088656-0.02696i,-0.022042-0.020031i,-0.019191-0.0069938i,-0.012+0.0072689i,-0.010817+0.018315i,-0.0074946+0.021318i,0.0039518+0.016266i,0.011894+0.0090563i
0.00085161+0.11072i,0.022816+0.21974i,0.051083+0.23729i,0.070594+0.10469i,0.06046-0.017137i,0.0035032-0.030293i,-0.057609-0.011885i,-0.076252+0.0019139i,-0.053924+0.012666i,-0.024701+0.019567i,-0.0052626+0.027723i,0.0046767+0.035015i,0.0053198+0.035392i,0.0067634+0.027258i,0.01382+0.016383i,0.021923-0.00018246i,0.024374-0.021395i,0.017668-0.030056i,0.0094638-0.021852i,0.0074064-0.01033i,0.0081973-0.00061234i,0.006669+0.0058631i,0.0029488+0.0048883i
0.0035642-0.10649i,0.0084709-0.2105i,0.03857-0.21247i,0.10491-0.072312i,0.16521+0.01914i,0.14889-0.024893i,0.05925-0.06779i,-0.0041644-0.047502i,-0.018701-0.015905i,-0.021709+0.0014543i,-0.02391+0.0049159i,-0.025948+0.0023618i,-0.01906+0.0052321i,-0.0047348+0.0097196i,-0.00016182+0.0099547i,-0.0020978+0.011373i,-0.00011903+0.0083621i,0.0015089-0.0073745i,-0.0011479-0.025579i,-0.0066099-0.029365i,-0.012818-0.017666i,-0.014631-0.0042082i,-0.0096723+0.0022167i
-0.015187+0.12627i,-0.046278+0.26355i,-0.14882+0.31122i,-0.32757+0.20237i,-0.43062+0.10291i,-0.3101+0.094415i,-0.09691+0.056677i,-0.0062271-0.0023273i,-0.0057873-0.0028864i,-0.0038845+0.00056946i,-0.014913-0.017085i,-0.034442-0.019223i,-0.040165-0.011646i,-0.035321-0.0054764i,-0.021957+0.0026294i,-0.007158+0.010713i,0.0016771+0.020922i,0.0097218+0.02932i,0.019475+0.024851i,0.024167+0.0085506i,0.020767-0.0087878i,0.012295-0.016255i,0.0057836-0.01098i
0.0068797-0.14491i,0.0012348-0.33126i,0.019466-0.45709i,0.087843-0.37784i,0.15559-0.2032i,0.15133-0.092353i,0.097278-0.016711i,0.058919+0.025906i,0.036325+0.010147i,0.020065-0.0041701i,0.026499-0.0034745i,0.039593-0.0098731i,0.041345-0.016072i,0.031006-0.021456i,0.0085593-0.022707i,-0.019087-0.011433i,-0.038458+0.0026705i,-0.045795+0.013424i,-0.043444+0.027863i,-0.031073+0.038176i,-0.015294+0.035396i,-0.0047101+0.023496i,0.00073077+0.012773i
-0.0036848+0.1407i,0.0042474+0.31669i,0.01067+0.44584i,0.018293+0.39561i,0.023288+0.25924i,-0.008158+0.16889i,-0.0426+0.098589i,-0.023329+0.03376i,0.017985-0.0063879i,0.031605-0.01926i,0.02892-0.0029289i,0.028376+0.017221i,0.015686+0.021881i,0.0035598+0.020535i,0.00808+0.012025i,0.018572-0.0072398i,0.024286-0.025655i,0.019688-0.031815i,0.0069539-0.027406i,-0.0072539-0.018527i,-0.014799-0.0099892i,-0.013573-0.0054191i,-0.010462-0.0017793i
0.010629-0.1481i,0.040876-0.3437i,0.11916-0.51611i,0.21775-0.51841i,0.23675-0.40846i,0.15007-0.30751i,0.051894-0.19856i,0.010151-0.089971i,0.001847-0.017794i,-0.0024439+0.02349i,-0.0039033+0.038477i,0.00066363+0.033858i,0.016067+0.020005i,0.028484+0.0057663i,0.02232+0.003259i,0.014609+0.014577i,0.02+0.0217i,0.030166+0.0091561i,0.036247-0.010357i,0.03258-0.017124i,0.019017-0.0093775i,0.0083299+0.0010954i,0.0062048+0.00061173i
0.0098964+0.18477i,0.046274+0.44898i,0.05423+0.70196i,-0.031572+0.68841i,-0.14188+0.43818i,-0.13464+0.22632i,-0.039771+0.10903i,-0.0039622+0.030435i,-0.021916+0.0050161i,-0.026169-0.0009981i,-0.037742-0.01936i,-0.062893-0.014532i,-0.064204+0.016163i,-0.039164+0.030525i,-0.011205+0.015941i,0.002972-0.00073217i,0.0051941-0.0018467i,0.0047638+0.006391i,0.0030673+0.013355i,0.00045591+0.011362i,-0.00085806+0.0045504i,0.0015735+0.002963i,0.004252+0.0066937i
-0.02383-0.17572i,-0.11935-0.4398i,-0.25405-0.67273i,-0.31391-0.61891i,-0.2273-0.33658i,-0.076934-0.12239i,-0.01444-0.036201i,-0.022182+0.0059277i,-0.019356+0.013533i,-0.0042118+0.0025573i,0.015658-0.0021731i,0.033613-0.012597i,0.031075-0.028846i,0.013061-0.032972i,-0.0053283-0.019652i,-0.020545-0.0031639i,-0.031242-0.00021327i,-0.035691-0.0060964i,-0.032414-0.010057i,-0.020742-0.0066938i,-0.0045364+0.0027597i,0.0067669+0.0064584i,0.0093455+0.0013375i
0.010207+0.16188i,0.071615+0.38571i,0.17086+0.58263i,0.25357+0.58412i,0.25153+0.45047i,0.134+0.31438i,0.02574+0.19407i,0.0053184+0.097981i,0.023898+0.035515i,0.030963+0.0070896i,0.029399+0.0097601i,0.028089+0.021853i,0.02183+0.024909i,0.0085332+0.020435i,-0.0027865+0.01155i,-0.0029958-0.004861i,1.7954e-05-0.018598i,-0.0022209-0.016407i,-0.0088827-0.0042316i,-0.014821+0.0052929i,-0.016629+0.0055754i,-0.016489-0.0026492i,-0.014864-0.0036255i
-0.01174-0.17336i,-0.089216-0.43281i,-0.19471-0.64259i,-0.21012-0.60951i,-0.11269-0.45842i,-0.029304-0.36071i,-0.034638-0.25096i,-0.03833-0.1042i,-0.028847-0.012992i,-0.04697+0.01852i,-0.055304+0.031152i,-0.032754+0.022469i,-0.0041001+0.003924i,0.014011-0.002541i,0.016142+0.0035784i,0.012788+0.022821i,0.014337+0.042377i,0.01383+0.038834i,0.0096478+0.021287i,0.0092372+0.0095021i,0.014823+0.0018262i,0.017213-0.0061999i,0.013613-0.012718i
0.037429+0.18758i,0.17141+0.48617i,0.36873+0.70211i,0.40942+0.54458i,0.24106+0.21679i,0.12419+0.094236i,0.14829+0.084174i,0.12399+0.013481i,0.044036-0.020933i,0.021983-0.01435i,0.011829-0.03248i,-0.025978-0.026552i,-0.042145+0.010971i,-0.022549+0.026942i,0.0036322+0.016358i,0.010613+0.00079188i,0.0055474-0.0064703i,0.0025229-0.0013068i,-6.4987e-06+0.01052i,-0.0037298+0.017741i,-0.0099721+0.017276i,-0.015196+0.018947i,-0.012831+0.023095i
-0.020226-0.16993i,-0.12873-0.44231i,-0.32789-0.6577i,-0.46546-0.53505i,-0.42713-0.20742i,-0.30018-0.018052i,-0.18644+0.0036863i,-0.089578-0.008102i,-0.022473-0.014537i,0.001887+0.00069041i,0.024741+0.030034i,0.044729+0.027941i,0.030794-0.0037292i,0.0013571-0.027072i,-0.018293-0.029615i,-0.023593-0.022333i,-0.013447-0.015086i,0.0077173-0.011295i,0.027313-0.016685i,0.029991-0.028181i,0.016516-0.029142i,0.007221-0.01924i,0.0081663-0.016066i
0.020026+0.1687i,0.15323+0.39615i,0.38699+0.56971i,0.52646+0.47621i,0.41952+0.24921i,0.22376+0.1049i,0.11997+0.034556i,0.081867+0.0038713i,0.078978-0.00058542i,0.093036-0.012482i,0.076605-0.016489i,0.049855+0.0080644i,0.046328+0.026389i,0.043897+0.018132i,0.029817+0.0022182i,0.023577-0.0092502i,0.021513-0.019251i,0.010993-0.020041i,-0.0023305-0.0086205i,-0.010928+0.0064557i,-0.011896+0.015293i,-0.010502+0.015603i,-0.011232+0.018716i
-0.058339-0.16576i,-0.26646-0.38636i,-0.56739-0.50363i,-0.60301-0.30388i,-0.25222-0.048692i,0.014132-0.041524i,-0.038576-0.063414i,-0.10228+0.007113i,-0.085599+0.031555i,-0.094363+0.023139i,-0.086888+0.017572i,-0.054846-0.007062i,-0.03386-0.011239i,-0.02005+0.010746i,-0.010633+0.032095i,-0.0057831+0.053886i,-0.00013541+0.060233i,0.0024192+0.032605i,-0.0066502-0.0057509i,-0.016134-0.020157i,-0.010043-0.012638i,0.0051509-0.010152i,0.0095475-0.017727i
0.047564+0.14901i,0.20792+0.36136i,0.41777+0.48228i,0.42052+0.2833i,0.1944-0.013837i,0.058744-0.059955i,0.090901-0.021938i,0.07823-0.042057i,0.024127-0.031035i,0.025209-0.02736i,0.028323-0.054462i,0.0098791-0.052343i,-0.0014219-0.027424i,0.0056776-0.0049543i,0.021768+0.00064424i,0.017038-0.016524i,-0.008507-0.030698i,-0.027097-0.019491i,-0.027193+0.007339i,-0.013802+0.026277i,-0.0051508+0.028384i,-0.0097058+0.027635i,-0.010427+0.032291i
-0.0062412-0.11125i,-0.072307-0.2627i,-0.16517-0.35621i,-0.1954-0.2574i,-0.17563-0.073611i,-0.16988+0.036929i,-0.14259+0.085498i,-0.080802+0.078896i,-0.04987+0.058022i,-0.04765+0.08405i,-0.033576+0.11954i,-0.015166+0.11616i,-0.008019+0.072441i,-0.01375+0.017162i,-0.032666-0.018716i,-0.044243-0.029038i,-0.029646-0.018267i,-0.0030113-0.00043283i,0.012785+0.0097941i,0.014317+0.0085092i,0.011797-0.0043291i,0.0095384-0.019374i,0.0063703-0.027622i
0.01948+0.11492i,0.1599+0.25486i,0.3723+0.32605i,0.42392+0.23518i,0.23853+0.1172i,0.078187+0.044616i,0.054537-0.024621i,0.048048-0.046244i,0.050806-0.029262i,0.051182-0.042821i,0.012726-0.051548i,-0.01139-0.026564i,0.0065425-0.0042123i,0.033876-0.011004i,0.04605-0.028998i,0.044241-0.027569i,0.03138-0.016411i,0.0095344-0.0082304i,-0.00048815-0.0012105i,0.0039908+0.0016621i,0.0057325+0.0082594i,0.0034639+0.021897i,0.0031632+0.033768i
-0.051835-0.1091i,-0.24745-0.27982i,-0.55971-0.36724i,-0.6403-0.21529i,-0.32101-0.0036018i,-0.012603+0.065506i,0.018068+0.082022i,-0.013154+0.090789i,-0.008434+0.052952i,-0.0059924+0.022964i,0.011871+0.0070493i,0.014446-0.020103i,-0.013227-0.012922i,-0.036178+0.031834i,-0.04316+0.080605i,-0.037828+0.11413i,-0.015504+0.10536i,0.012366+0.052264i,0.017665-0.0032594i,0.00070069-0.02203i,-0.010419-0.012788i,-0.0044268-0.0089001i,0.0031134-0.019685i
-0.011319+0.079189i,0.038215+0.15585i,0.12873+0.14294i,0.14946-0.025796i,0.050773-0.18053i,-0.041468-0.18071i,-0.034419-0.13404i,0.0017873-0.10608i,0.012512-0.077404i,0.012833-0.051297i,0.016395-0.032409i,0.011892-0.023227i,-0.002305-0.027313i,-0.0087716-0.03273i,0.0004869-0.040142i,0.011169-0.057624i,0.0041007-0.060568i,-0.011739-0.036588i,-0.018139-0.010464i,-0.013233-0.002518i,-0.0027571-0.003574i,0.0082202+0.0052856i,0.021371+0.020652i
0.081782-0.030755i,0.16404-0.018458i,0.28812+0.086082i,0.38577+0.19691i,0.36475+0.15294i,0.27157+0.039402i,0.20838+0.0027889i,0.15149-0.010922i,0.077673-0.0098789i,0.038135+0.022441i,0.021256+0.058101i,0.017814+0.097865i,0.041659+0.097733i,0.05269+0.047264i,0.033315+0.0031917i,0.014506-0.014347i,0.012659-0.012369i,0.01454-0.0026017i,0.0066479+0.0081885i,0.00095887+0.018109i,0.0033568+0.011275i,-0.00013375-0.01278i,-0.016211-0.030333i
-0.053348+0.068367i,-0.071901+0.17236i,-0.049617+0.22694i,-0.021635+0.17545i,-0.045134+0.11642i,-0.10138+0.099669i,-0.1197+0.067158i,-0.096367+0.030287i,-0.057278+0.021892i,-0.033181+0.021509i,-0.022109+0.012556i,-0.0035562+0.0034997i,0.020017+0.01008i,0.044915+0.005029i,0.048869-0.024205i,0.026526-0.036402i,0.0054504-0.024524i,-0.002719-0.0028188i,0.004568+0.013456i,0.0075359+0.0063349i,-0.0071147-0.003729i,-0.014818-0.0025085i,-0.011253-0.0025349i
0.055552-0.095355i,0.073416-0.28989i,-0.0069999-0.4915i,-0.17223-0.4839i,-0.24493-0.28476i,-0.1547-0.13373i,-0.10052-0.10157i,-0.11049-0.04995i,-0.068828+0.0039357i,-0.0038791-0.011399i,0.040464-0.043171i,0.062748-0.062647i,0.036662-0.057134i,-0.0089079-3.1821e-05i,-0.02278+0.07133i,-0.021104+0.10343i,-0.022153+0.090108i,-0.017487+0.053783i,-0.016186+0.029004i,-0.017814+0.029889i,-0.014027+0.035217i,-0.012139+0.030452i,-0.012439+0.02135i
-0.1107+0.037861i,-0.26603+0.10993i,-0.42655+0.16477i,-0.42071+0.14078i,-0.25148+0.079399i,-0.11809+0.058262i,-0.04895+0.090136i,0.00064294+0.092486i,0.00046898+0.064119i,-0.025037+0.071184i,-0.049059+0.06514i,-0.087837+0.014992i,-0.10528-0.02362i,-0.083922-0.034267i,-0.054653-0.035323i,-0.020606-0.036053i,0.0097474-0.039976i,0.021676-0.048712i,0.013934-0.058741i,-0.0053726-0.051304i,-0.011722-0.022787i,0.0016941+0.0085009i,0.018554+0.02719i
0.12277-0.0093416i,0.32033-0.027656i,0.53849+0.030667i,0.61517+0.18369i,0.51521+0.27123i,0.35711+0.19523i,0.2245+0.081808i,0.13778+0.02569i,0.081602-0.010987i,0.022459-0.056831i,-0.038966-0.074611i,-0.061083-0.032889i,-0.02588+0.014249i,0.023845+0.0081999i,0.041326-0.01901i,0.035716-0.017563i,0.039438+0.0026465i,0.041821+0.0090529i,0.034745+0.0076145i,0.038946+0.010952i,0.040759+0.0064309i,0.02303-0.0025982i,-0.0015029-0.0024057i
-0.10711+0.061717i,-0.25766+0.23504i,-0.3321+0.40482i,-0.24113+0.33583i,-0.12611+0.099271i,-0.078539+0.011639i,-0.017408+0.043687i,0.022687+0.012311i,-0.0045683-0.007759i,-0.0072347+0.049655i,0.029555+0.11592i,0.041773+0.15477i,0.036845+0.15208i,0.033195+0.09613i,0.010788+0.026328i,-0.025508-0.015226i,-0.04531-0.027798i,-0.042981-0.020742i,-0.034289-0.009619i,-0.0298-0.0074051i,-0.023232-0.012313i,-0.0058343-0.024805i,0.010269-0.039034i
0.10961-0.056535i,0.26034-0.29655i,0.32663-0.67992i,0.18051-0.91674i,-0.017451-0.81137i,-0.11284-0.5643i,-0.17003-0.39137i,-0.16917-0.23689i,-0.06525-0.12482i,0.012651-0.09849i,0.018418-0.059297i,0.040775-0.015426i,0.056159-0.02569i,0.027401-0.03769i,0.0055636-0.012423i,0.0052842+0.014555i,-0.0047742+0.011708i,-0.025627+0.0048591i,-0.031449+0.012921i,-0.020873+0.01709i,-0.012265+0.022181i,-0.0096485+0.038649i,-0.007333+0.052332i
-0.098267-0.0036683i,-0.23809+0.11824i,-0.3358+0.34135i,-0.2622+0.52913i,-0.06278+0.51429i,0.11003+0.32976i,0.18419+0.18461i,0.15458+0.12364i,0.088358+0.10656i,0.063022+0.094896i,0.068509+0.04384i,0.065492-0.014184i,0.048088-0.026652i,0.025909+0.00010877i,0.010393+0.030035i,0.0043261+0.042238i,0.0025974+0.042982i,0.011678+0.038735i,0.026762+0.032863i,0.025865+0.029411i,0.0097438+0.028648i,-0.0016719+0.023186i,-0.0036483+0.0094369i
0.090276+0.017003i,0.19627-0.020647i,0.22265-0.016749i,0.11972+0.12716i,0.00099491+0.31747i,-0.069137+0.39167i,-0.10363+0.33767i,-0.062994+0.214i,-0.019894+0.065908i,-0.040318-0.021769i,-0.056324-0.056028i,-0.074669-0.074164i,-0.08629-0.037974i,-0.043901+0.0068774i,-0.00043546-0.00099585i,0.01174-0.017142i,0.017888-0.0085559i,0.021465+0.0074947i,0.021129+0.018583i,0.019439+0.016917i,0.01272-0.0048695i,0.0019603-0.027341i,-0.0043735-0.033281i
-0.072751-0.016287i,-0.13586+0.0055627i,-0.057632+0.027483i,0.17374-0.067077i,0.28853-0.24533i,0.19744-0.33289i,0.091839-0.3025i,0.020709-0.22748i,-0.045902-0.13456i,-0.065024-0.042416i,-0.043008+0.037956i,-0.01219+0.090696i,0.011339+0.091466i,0.024298+0.069298i,0.028664+0.055875i,0.015386+0.045851i,0.0020512+0.033712i,-0.0010022+0.0084914i,-0.012425-0.02273i,-0.023867-0.032176i,-0.016448-0.020705i,0.0040919-0.0075667i,0.017492+0.0063068i
0.046599+0.066594i,0.087215+0.098565i,0.032561+0.033393i,-0.12259-0.096184i,-0.14908-0.1298i,0.012393-0.063628i,0.1542-0.026728i,0.17742+0.013736i,0.19903+0.12287i,0.22955+0.16915i,0.14732+0.096571i,0.016661+0.038697i,-0.01842+0.029543i,-0.0012757+0.0018092i,-0.015384-0.029268i,-0.024957-0.039787i,0.00011704-0.059044i,0.018724-0.092286i,0.0035694-0.11291i,-0.033613-0.098526i,-0.055828-0.048463i,-0.044421-0.001447i,-0.024778+0.0091689i
-0.051184-0.10229i,-0.18684-0.19038i,-0.33718-0.1725i,-0.39726+0.0107i,-0.38747+0.17657i,-0.36304+0.20687i,-0.34004+0.18908i,-0.31345+0.1462i,-0.29754+0.06528i,-0.25792+0.016691i,-0.12861+0.02613i,0.024266+0.031294i,0.07876+0.013822i,0.059026-0.0025255i,0.036493-0.0087892i,0.0010816+0.011238i,-0.040513+0.063617i,-0.051806+0.12285i,-0.028584+0.15193i,0.014445+0.12622i,0.052387+0.069291i,0.062217+0.023456i,0.046863+0.0053049i
0.083057+0.11426i,0.26309+0.26025i,0.43962+0.39268i,0.42538+0.41404i,0.25673+0.31285i,0.12368+0.16668i,0.091868+0.046189i,0.10869-0.019093i,0.13081-0.063596i,0.12026-0.080265i,0.084125-0.053698i,0.05284-0.025779i,0.030814-0.028085i,-0.013075-0.058457i,-0.063135-0.081302i,-0.061479-0.08191i,-0.023712-0.093312i,-0.0018208-0.11024i,-0.003443-0.091643i,-0.015254-0.035189i,-0.017227+0.016667i,0.0011858+0.02958i,0.022139+0.014158i
-0.031126-0.11854i,-0.10231-0.31587i,-0.12176-0.56922i,-0.017137-0.73194i,0.11495-0.67069i,0.1571-0.45157i,0.12564-0.25169i,0.087685-0.18016i,0.075935-0.16682i,0.072547-0.11518i,0.028748-0.055655i,-0.033157-0.0031544i,-0.033743+0.057681i,0.03574+0.093108i,0.096136+0.099858i,0.10442+0.11895i,0.085996+0.14251i,0.064391+0.14228i,0.052733+0.12575i,0.057604+0.10206i,0.047407+0.065884i,-0.0025823+0.030983i,-0.046403+0.015696i
-0.023288+0.12424i,0.0034857+0.27562i,0.037739+0.37988i,0.028215+0.31625i,-0.0090877+0.16348i,-0.015125+0.060791i,0.016282+0.015705i,-0.033385+0.056494i,-0.18694+0.1927i,-0.26368+0.2794i,-0.18935+0.26168i,-0.067744+0.20122i,-0.0053854+0.12104i,-0.013251+0.058782i,-0.023495+0.04166i,0.007555+0.021097i,0.054196-0.039774i,0.062665-0.11505i,0.013184-0.13249i,-0.067865-0.059538i,-0.11878+0.033404i,-0.098579+0.057998i,-0.050952+0.030024i
0.043648-0.10131i,-0.075395-0.25581i,-0.3061-0.26248i,-0.41737-0.016435i,-0.28737+0.18605i,-0.169+0.15884i,-0.19535+0.070247i,-0.12187-0.023004i,0.099119-0.19269i,0.19551-0.31015i,0.078111-0.23033i,-0.059484-0.022413i,-0.027119+0.13612i,0.11906+0.12046i,0.1699+0.011767i,0.088195-0.017396i,0.0027809+0.036278i,-0.046625+0.071752i,-0.070245+0.044444i,-0.048238-0.030729i,0.0030347-0.079174i,0.060345-0.062987i,0.10109-0.028206i
0.87545+7.2505i,3.8548+6.6285i,7.4322+5.4125i,8.1904+1.7009i,6.3407-1.9936i,3.1002-3.5481i,0.43349-2.2403i,-0.24448-0.071629i,0.61306+1.0202i,1.3902+0.55807i,0.97636-0.42521i,0.032992-0.86177i,-0.7358-0.67099i,-1.1603-0.0049442i,-1.0183+0.63372i,-0.56916+0.79287i,-0.18251+0.56149i,0.017289+0.17354i,0.0034614-0.095107i,-0.1716-0.093473i,-0.32373+0.0022465i,-0.31447+0.050676i,-0.18304+0.027439i
0.11525-0.074694i,0.13769-0.17327i,0.087447-0.22581i,0.0036793-0.18361i,0.0082248-0.061499i,0.14989+0.13246i,0.33563+0.24867i,0.35222+0.19906i,0.18922+0.18514i,0.11719+0.23773i,0.13487+0.16217i,0.078951+0.048777i,0.042317+0.060759i,0.10042+0.084701i,0.105+0.038767i,0.020536+0.041793i,-0.013898+0.10262i,0.028174+0.1039i,0.072512+0.038284i,0.05649-0.040852i,-0.015761-0.082844i,-0.055475-0.066277i,-0.025509-0.02901i
-0.12738+0.012685i,-0.28731+0.058047i,-0.44777+0.073557i,-0.51924+0.078365i,-0.5291+0.13968i,-0.50738+0.19774i,-0.38876+0.18221i,-0.18394+0.13544i,0.0186+0.13753i,0.16207+0.14028i,0.183+0.027702i,0.06304-0.12534i,-0.051638-0.15209i,-0.039225-0.057832i,0.038629+0.054857i,0.086253+0.12523i,0.07463+0.13982i,0.021091+0.10784i,-0.02588+0.054043i,-0.039488+0.025418i,-0.03307+0.036224i,-0.01509+0.047435i,0.010469+0.033067i
0.14655-0.02605i,0.3683-0.068776i,0.61331-0.039845i,0.70946+0.065433i,0.56927+0.035571i,0.28656-0.17631i,0.008045-0.31854i,-0.12912-0.25547i,-0.11603-0.17457i,-0.1071-0.1616i,-0.11734-0.059176i,-0.031248+0.086541i,0.083132+0.076019i,0.077123-0.031419i,0.0052281-0.078267i,-0.013097-0.087924i,-0.0045581-0.1238i,-0.025955-0.15372i,-0.058563-0.1233i,-0.070035-0.038502i,-0.050515+0.035097i,-0.013804+0.048048i,0.0082437+0.019735i
-0.13879-0.0026413i,-0.34576+0.036598i,-0.4907+0.032377i,-0.39526-0.076355i,-0.13277-0.12507i,0.084825+0.022373i,0.17481+0.17075i,0.10776+0.11294i,-0.050959-0.015924i,-0.10178-0.057778i,-0.032415-0.063804i,0.0025592-0.095289i,-0.035009-0.1228i,-0.063273-0.097595i,-0.022848-0.038308i,0.026476-0.0035842i,0.013686+0.035942i,0.0058538+0.10766i,0.061049+0.13353i,0.12873+0.076746i,0.14676-0.00097442i,0.099369-0.032823i,0.042409-0.020278i
0.13776+0.013769i,0.32402-0.10307i,0.42793-0.35457i,0.26045-0.54729i,-0.046371-0.46356i,-0.2405-0.21422i,-0.26682-0.046999i,-0.17978-0.00096571i,-0.057569-0.022708i,0.037808-0.084665i,0.087106-0.15495i,0.086559-0.20487i,0.037132-0.20099i,-0.01273-0.12549i,-0.009249-0.046953i,0.015033-0.026923i,0.020019-0.02218i,0.016491-0.0039934i,0.011721-0.0025479i,-0.0066453-0.021684i,-0.032286-0.037138i,-0.033922-0.032832i,-0.0074921-0.024796i
-0.099847+0.0020021i,-0.24398+0.18346i,-0.29297+0.58722i,-0.12907+0.88402i,0.066536+0.66792i,0.11806+0.16917i,0.11233-0.091637i,0.14682-0.068382i,0.18818-0.021491i,0.15072-0.064705i,0.046467-0.10128i,-0.016742-0.056128i,-0.0041019+0.012953i,0.016576+0.028413i,0.00066607-0.0025911i,-0.018466-0.035658i,-0.0093858-0.071613i,0.0020634-0.10554i,-0.0085202-0.10716i,-0.031713-0.080821i,-0.047109-0.047524i,-0.043473-0.030143i,-0.037194-0.031623i
0.049016+0.04354i,0.096772+0.0038033i,0.057401-0.15897i,-0.04989-0.29742i,-0.065154-0.20732i,0.028771+0.013603i,0.10455+0.11169i,0.10517+0.057989i,0.067657-0.0076738i,0.040652-0.013761i,0.042358-0.010098i,0.045086-0.032934i,0.035042-0.058046i,0.012865-0.057444i,-0.019106-0.023413i,-0.043016+0.010135i,-0.06728+0.015821i,-0.092187+0.017609i,-0.088847+0.030643i,-0.046768+0.047435i,0.0075665+0.052528i,0.031563+0.033644i,0.022633+0.011489i
0.02098-0.167i,0.088862-0.41694i,0.23014-0.74048i,0.28875-0.91375i,0.13113-0.7697i,-0.076034-0.46218i,-0.16409-0.23368i,-0.17969-0.12345i,-0.21215-0.045212i,-0.23453+0.047301i,-0.19859+0.1193i,-0.12795+0.11334i,-0.087314+0.04041i,-0.084248-0.013173i,-0.065022-0.014209i,-0.02622+0.0081247i,0.0012607+0.041278i,0.026921+0.061853i,0.048619+0.040228i,0.049046-0.0047315i,0.031293-0.03241i,0.0070837-0.024335i,-0.0099764-0.00063068i
-0.0036079+0.21978i,0.017369+0.5664i,0.004938+0.96125i,-0.060169+1.0685i,-0.080479+0.77945i,-0.0052849+0.35196i,0.073741+0.065714i,0.063665+0.0044968i,0.03854+0.038575i,0.051502+0.0058789i,0.029201-0.066752i,-0.039164-0.07042i,-0.086296-6.5629e-05i,-0.071429+0.071793i,-0.0062528+0.082602i,0.052399+0.04866i,0.083257+0.027447i,0.093881+0.019084i,0.077722+0.011922i,0.050065+0.0038749i,0.026839-0.014543i,0.0066099-0.028822i,-0.007722-0.031008i
-0.047143-0.17756i,-0.2466-0.40174i,-0.51348-0.52271i,-0.55944-0.37133i,-0.35209-0.1229i,-0.20253+0.031174i,-0.17881+0.12578i,-0.086673+0.1457i,0.031156+0.049692i,0.05294-0.056615i,0.046146-0.08454i,0.07131-0.069559i,0.09723-0.057087i,0.089801-0.054908i,0.048978-0.066004i,0.0099151-0.092426i,-0.0096238-0.11812i,-0.028295-0.11598i,-0.05079-0.089364i,-0.065354-0.051434i,-0.064445-0.0092124i,-0.044989+0.019465i,-0.016518+0.03033i
