-0.0032967+0.0009075i,-0.0021857+4.502e-05i,-0.0025073+0.00064835i,-0.002159+0.0014466i,-0.0012053+0.0017893i,-0.00054376+0.0011149i,-0.00058279+0.00072523i,-0.00085468+0.0017337i,0.00036475+0.0016935i,0.0024187+0.00019965i,0.0018923-0.0013062i,6.2392e-05-0.0018017i,0.00035707-0.0018236i,0.0010897-0.0018167i,0.00057194-0.0011142i,0.00015304-0.00069761i,0.00018269-0.00040169i,0.00044561+0.00027084i,0.00069112+0.00059354i,0.00056107+4.2685e-05i,0.00074607-0.00021354i,0.00042573-1.0411e-05i,-0.00045592-0.00016446i
-0.0049113+0.033985i,-0.034196+0.10427i,-0.098042+0.2162i,-0.16742+0.26446i,-0.20093+0.17549i,-0.17946+0.079011i,-0.092035+0.048046i,-0.016653+0.023722i,-0.0022075+0.031626i,0.02187+0.064915i,0.059395+0.034226i,0.056583-0.03888i,0.028144-0.086156i,-0.0016808-0.097525i,-0.028847-0.078766i,-0.044205-0.050129i,-0.04424-0.032535i,-0.029473-0.022467i,-0.0059394-0.014366i,0.0065631-0.0097807i,0.0010764-0.008214i,-0.0046297-0.010402i,-0.0037068-0.015885i
0.001184-0.049634i,0.0058606-0.16243i,0.0019489-0.33909i,-0.028944-0.41419i,-0.069206-0.27841i,-0.092521-0.10507i,-0.11677-0.033575i,-0.11057-0.00097706i,-0.041522+0.0052833i,0.00083332-0.024922i,-0.027911-0.019092i,-0.06032+0.029002i,-0.06293+0.058339i,-0.051461+0.05706i,-0.031801+0.054023i,-0.0092884+0.058491i,0.00069746+0.065689i,-2.5707e-05+0.064063i,0.0042671+0.046304i,0.015912+0.011791i,0.015548-0.025992i,-0.0041696-0.036938i,-0.021534-0.016603i
0.00072725+0.043323i,0.023904+0.1312i,0.072036+0.264i,0.11191+0.32578i,0.093268+0.27977i,0.05167+0.23156i,0.063252+0.2022i,0.07387+0.13496i,0.021869+0.068686i,-0.023677+0.041747i,-0.019066+0.027703i,0.002353+0.011519i,0.0035496-0.005571i,-0.016503-0.0068577i,-0.025748+0.00586i,-0.014979+0.010819i,-0.0044719+0.0024757i,-0.0055134-0.004097i,-0.0086715+0.0032713i,-0.005527+0.018725i,0.0024193+0.030152i,0.011075+0.033849i,0.020559+0.028807i
0.010824-0.0047911i,0.018807-0.028279i,0.033227-0.041216i,0.049434+0.010504i,0.088563+0.092391i,0.13763+0.067667i,0.12956-0.034392i,0.10043-0.078653i,0.1002-0.078399i,0.087931-0.08239i,0.054755-0.073771i,0.028427-0.044155i,0.018123-0.011554i,0.021482+0.0070711i,0.026596+0.0073937i,0.021442-0.005563i,0.012499-0.016883i,0.012018-0.022901i,0.012636-0.03148i,0.0018428-0.030357i,-0.010234-0.014658i,-0.0085953-0.0070065i,-0.0024854-0.017865i
-0.025455-0.0024182i,-0.08216+0.008349i,-0.15252+0.023578i,-0.13347-0.0091725i,-0.028331-0.1095i,0.0099314-0.13981i,-0.027749-0.066513i,-0.05106-0.021461i,-0.057767-0.02387i,-0.062134-0.0054317i,-0.055395+0.026813i,-0.031684+0.039401i,0.0053739+0.029544i,0.03184-0.0016414i,0.026302-0.030968i,0.010967-0.024427i,0.015206+0.00050942i,0.024548+0.0079683i,0.023454-0.0014282i,0.02129-0.014951i,0.019358-0.024722i,0.0055033-0.021075i,-0.015376-0.00045496i
0.027382-0.0086329i,0.10544-0.06292i,0.20286-0.19393i,0.17143-0.33662i,0.0012733-0.34942i,-0.098889-0.25278i,-0.076707-0.15399i,-0.044405-0.064216i,-0.014842+0.001463i,0.012971+0.0035659i,0.011515-0.014013i,0.0020948-0.01635i,-0.010095-0.020655i,-0.035165-0.016039i,-0.042729-0.00026014i,-0.01913-0.0006483i,0.0015462-0.018694i,0.0029159-0.028313i,-0.0015314-0.011083i,-0.0013496+0.01418i,-0.00067957+0.022654i,0.0027438+0.019874i,0.017014+0.01593i
-0.020302+0.015089i,-0.083931+0.069849i,-0.17829+0.2011i,-0.20861+0.34599i,-0.14865+0.36259i,-0.091726+0.25735i,-0.071674+0.16717i,-0.038133+0.10705i,-0.011802+0.039776i,-0.022183+0.0017464i,-0.023833-0.0084868i,-0.0104-0.025539i,-0.0039906-0.041929i,0.00080947-0.044893i,0.0013501-0.041566i,-0.012124-0.04128i,-0.030406-0.038553i,-0.032394-0.030373i,-0.018778-0.030503i,-0.010002-0.034917i,-0.0088501-0.03143i,-0.0063988-0.022215i,-0.0032842-0.018841i
0.0085701+0.0043696i,0.046501+0.011255i,0.11569+0.0061524i,0.1635-0.02558i,0.13976-0.052633i,0.076891-0.064558i,0.044489-0.075805i,0.035258-0.071418i,0.029556-0.046817i,0.032276-0.030085i,0.011612-0.020257i,-0.025551+0.0046084i,-0.047158+0.020828i,-0.059354+0.02153i,-0.062982+0.031371i,-0.055033+0.048032i,-0.037731+0.055741i,-0.019466+0.044401i,-0.01225+0.019633i,-0.011884-0.0027495i,-0.014377-0.0092302i,-0.019819+0.00020293i,-0.024645+0.013783i
-0.012124-0.0065719i,-0.056106-0.064601i,-0.15259-0.14881i,-0.26609-0.17733i,-0.30595-0.09658i,-0.24225+0.012868i,-0.15401+0.052551i,-0.090126+0.029665i,-0.059104-0.0087137i,-0.065764-0.009162i,-0.047359+0.03512i,0.0068895+0.05656i,0.036111+0.049519i,0.041162+0.042466i,0.045534+0.03081i,0.054817+0.014939i,0.062488-0.0050658i,0.049746-0.018195i,0.025363-0.0049521i,0.013455+0.022831i,0.015661+0.034365i,0.021819+0.02336i,0.027689+0.0099507i
0.014806+0.019805i,0.072749+0.086743i,0.20592+0.20694i,0.3771+0.28047i,0.45468+0.20318i,0.36989+0.06626i,0.24527+0.0016935i,0.1658-0.015647i,0.10382-0.0064395i,0.078073+0.017639i,0.068898+0.0048338i,0.037466-0.020695i,0.011598-0.02706i,-0.00068267-0.032145i,-0.013785-0.03674i,-0.026328-0.03996i,-0.039591-0.039597i,-0.037481-0.029318i,-0.0081152-0.023081i,0.020701-0.027753i,0.026254-0.032732i,0.015109-0.032079i,0.00077054-0.032022i
-0.0078015-0.013458i,-0.022949-0.065949i,-0.058928-0.19039i,-0.12161-0.33333i,-0.17807-0.34385i,-0.19152-0.21689i,-0.18342-0.086244i,-0.15297-0.0091049i,-0.089073-0.0024391i,-0.047765-0.049342i,-0.050006-0.067834i,-0.045548-0.037885i,-0.021593-0.0058177i,0.004378+0.014603i,0.022787+0.022585i,0.020175+0.030305i,0.013807+0.048004i,0.015547+0.047696i,0.0053789+0.020879i,-0.01431-0.0030856i,-0.028491-0.0045665i,-0.034668+0.012747i,-0.03366+0.03062i
-0.015054+0.0068881i,-0.062444+0.035454i,-0.1658+0.11282i,-0.26584+0.22881i,-0.25016+0.28172i,-0.11256+0.23713i,0.019097+0.16743i,0.058215+0.12139i,0.033588+0.095842i,0.0088557+0.078369i,0.0086085+0.053005i,0.012398+0.018552i,0.017105-0.016092i,0.015947-0.051394i,0.002684-0.066329i,0.0078355-0.056029i,0.030114-0.051951i,0.03285-0.046165i,0.01421-0.019826i,-0.0015702+0.0062456i,0.00068592+0.012736i,0.016901+0.0064097i,0.033064+0.0028765i
0.020189-0.0016218i,0.085055-0.018933i,0.21454-0.05959i,0.32666-0.1204i,0.28666-0.16474i,0.11657-0.18865i,-0.019791-0.19475i,-0.044037-0.17139i,-0.00081485-0.13038i,0.025238-0.097063i,0.01121-0.062141i,-0.00071264-0.02956i,-0.020163-0.022651i,-0.059853-0.0095566i,-0.074815+0.017525i,-0.067505+0.017009i,-0.068835-0.0017059i,-0.059475-0.012747i,-0.026129-0.017638i,0.0082166-0.018536i,0.018716-0.020303i,0.0061029-0.023672i,-0.0082162-0.029107i
-0.013208+0.0087077i,-0.058645+0.012018i,-0.14972+0.019306i,-0.2373+0.027997i,-0.22339+0.042075i,-0.10884+0.084156i,-0.0032726+0.11933i,0.034147+0.091827i,0.01299+0.029977i,-0.029062+0.012142i,-0.042918+0.035758i,-0.034744+0.045283i,-0.026497+0.04586i,-0.0046701+0.039688i,0.011496+0.019842i,0.0094716+0.016123i,0.014466+0.030894i,0.022643+0.033174i,0.017949+0.015747i,0.0042962+0.00058596i,-0.0069688+0.0026178i,-0.01041+0.015291i,-0.012779+0.025447i
0.009218+0.012105i,0.030906+0.044523i,0.075811+0.11806i,0.14117+0.19088i,0.17311+0.16666i,0.12322+0.028231i,0.057059-0.087501i,0.03203-0.10049i,0.015213-0.057921i,0.0087864-0.017077i,0.021534+0.0017223i,0.031481+0.010658i,0.035204+0.013008i,0.024619+0.0088145i,0.011944+0.012653i,0.017853+0.0091776i,0.026504-0.01525i,0.024292-0.033898i,0.016108-0.029821i,0.0083908-0.016807i,0.0027273-0.011253i,0.0015108-0.008897i,0.0086125-0.0003327i
0.00040521-0.010539i,0.0046903-0.062758i,0.02759-0.17885i,0.03082-0.30052i,-0.027063-0.27665i,-0.1026-0.088548i,-0.14094+0.082597i,-0.13832+0.12798i,-0.094088+0.089609i,-0.047817+0.030303i,-0.035318-0.016292i,-0.0376-0.037586i,-0.03153-0.033177i,-0.0062847-0.016638i,0.017176-0.014839i,0.0056908-0.019497i,-0.026-0.0086522i,-0.043619+0.0031715i,-0.037369+0.0059991i,-0.017167+0.0050235i,-0.0013186+0.0028058i,0.0013931-0.0031265i,-0.0031929-0.01592i
0.003871+0.001809i,-0.0094369+0.030306i,-0.063476+0.086183i,-0.12878+0.13629i,-0.11379+0.10607i,-0.0081569+0.014409i,0.091958-0.044005i,0.12059-0.039404i,0.090808-0.015948i,0.052355-0.0091095i,0.026643-0.00019945i,0.014861+0.022118i,0.01553+0.022696i,-0.00099963-0.0069575i,-0.034374-0.019728i,-0.037766-0.00070745i,-0.0077159+0.017842i,0.016118+0.024739i,0.017071+0.02327i,0.0056748+0.017104i,-0.0032929+0.011442i,-0.0061817+0.0065402i,-0.0086539+0.0078399i
-0.0010991+0.0047312i,0.011568+0.00089102i,0.062172+0.0012026i,0.11455+0.00071071i,0.08453+0.0037217i,-0.022739+0.0017988i,-0.10649-0.016765i,-0.10323-0.035085i,-0.050822-0.029515i,-0.013249-0.012785i,0.0059169-0.011175i,0.022701-0.028841i,0.020158-0.040883i,0.0064524-0.01924i,0.018091+0.01164i,0.03945+0.0094247i,0.036898-0.014928i,0.02316-0.032095i,0.013698-0.033518i,0.0062432-0.02206i,0.0012582-0.007692i,0.0027712+0.0076479i,0.012401+0.019253i
0.0030074-0.0015035i,-0.016931-0.013974i,-0.077463-0.043027i,-0.13605-0.057706i,-0.099895-0.025547i,0.016139+0.03575i,0.10612+0.073715i,0.11763+0.062908i,0.083301+0.01762i,0.04041-0.0131i,-0.0016947-0.0063358i,-0.032894+0.010937i,-0.036596+0.016568i,-0.018709-0.0014963i,-0.012822-0.032466i,-0.027698-0.043157i,-0.036035-0.026281i,-0.027313-0.0075374i,-0.0084747-0.0034015i,0.011555-0.010887i,0.020498-0.021385i,0.014576-0.028178i,0.0017872-0.030215i
-0.0046673-0.0048723i,0.0040557+0.015405i,0.036978+0.066424i,0.069916+0.1091i,0.044843+0.06861i,-0.020697-0.048773i,-0.063502-0.13307i,-0.060274-0.13566i,-0.047801-0.1041i,-0.050682-0.067072i,-0.036867-0.025699i,-0.0031081+0.0025358i,0.0083724+0.0073146i,-0.013172+0.010145i,-0.035535+0.027936i,-0.034063+0.043263i,-0.016032+0.035402i,0.00051457+0.014131i,0.0053265-0.001893i,0.00077203-0.0090648i,-0.0088156-0.0089231i,-0.018128-0.00095653i,-0.019429+0.0095118i
0.010026+0.0035833i,0.025165-0.0079524i,0.043641-0.046213i,0.053876-0.088725i,0.037474-0.068768i,-0.010778+0.024414i,-0.052323+0.11173i,-0.066739+0.12693i,-0.056932+0.094239i,-0.029799+0.06333i,-0.0129+0.033407i,-0.020701+0.0075859i,-0.024267+0.0055516i,-0.0044939+0.013067i,0.023043+0.0084436i,0.038808-0.0046087i,0.031568-0.013027i,0.011403-0.010882i,-0.0048358-0.0022497i,-0.011686+0.0087885i,-0.0064596+0.020143i,0.0049189+0.023163i,0.012797+0.01291i
-0.0061717-0.0048388i,-0.029851-0.0016286i,-0.060129+0.01189i,-0.074503+0.021974i,-0.044436+0.0059596i,0.023752-0.023059i,0.075235-0.040355i,0.078871-0.028728i,0.054367-0.0017563i,0.029969+0.003196i,0.012377+0.0021626i,0.010697+0.017648i,0.02185+0.020118i,0.02114-0.00019893i,0.002493-0.016604i,-0.015125-0.019368i,-0.016763-0.015342i,-0.01009-0.011668i,-0.0053191-0.0080339i,-0.0021131-0.0039669i,-0.0016756-0.0064213i,-0.0040856-0.013451i,-0.0060037-0.013095i
0.0073963+0.0056056i,0.029006+0.0039957i,0.050948-0.0055456i,0.048578-0.014588i,0.00224-0.015849i,-0.06781-0.016456i,-0.10517-0.015517i,-0.079033-0.012542i,-0.025641-0.015321i,0.0027429-0.015481i,0.0082118-0.017668i,0.012568-0.033986i,0.010546-0.045172i,-0.00037646-0.031757i,-0.0033077-0.0056819i,0.00091588+0.01131i,-0.0011056+0.013435i,-0.0050833+0.0098188i,-0.0022041+0.0028292i,0.0021461-0.0062662i,0.0012731-0.0083063i,-0.00013236-0.0028254i,0.0011207-7.2007e-05i
-0.0054292-0.010464i,-0.024533-0.020657i,-0.04657-0.029683i,-0.055908-0.034308i,-0.034469-0.022291i,0.011107+0.012133i,0.054592+0.032597i,0.064906+0.018736i,0.04327-0.0053658i,0.025205-0.02131i,0.012144-0.020702i,-0.0075474-0.0066863i,-0.019484+0.0038977i,-0.014299+0.0025373i,-0.0031363-0.0065433i,0.0056411-0.01341i,0.014165-0.0088048i,0.024345-0.0022972i,0.027596-0.0015903i,0.022118-0.001718i,0.016912-0.0025623i,0.01098-0.00070737i,0.0019909+0.0088686i
0.0073379+0.0088285i,0.016671+0.029544i,0.017008+0.052821i,0.0067995+0.067241i,0.0037545+0.048178i,0.012924-0.014283i,0.0058174-0.06427i,-0.0041322-0.061047i,0.00026293-0.04078i,-0.0070913-0.019419i,-0.010086+0.008372i,0.0079621+0.025197i,0.017326+0.020116i,0.0054625+0.0039185i,-0.010369-0.0075839i,-0.015489-0.012907i,-0.011547-0.019974i,-0.0099249-0.025818i,-0.0094327-0.019581i,-0.0039408-0.006952i,-0.00053104-0.0024775i,-0.00096289-0.0027718i,0.0059861-0.0013833i
-0.0079224-0.022253i,-0.015428-0.038764i,-0.0089745-0.051171i,0.010461-0.048108i,-0.00035268-0.029082i,-0.04256+0.0074697i,-0.05841+0.038318i,-0.045264+0.026917i,-0.041042-0.0095865i,-0.04075-0.022512i,-0.033834-0.013069i,-0.030662-0.0094836i,-0.027148-0.006933i,-0.019739+0.004149i,-0.016835+0.015504i,-0.020272+0.020995i,-0.026536+0.022296i,-0.026983+0.021022i,-0.018782+0.011753i,-0.013327-0.0033557i,-0.013053-0.0091219i,-0.011852-0.0076196i,-0.013897-0.01258i
0.010213+0.013308i,0.015057+0.0275i,0.0091286+0.029647i,-0.016119+0.020262i,-0.031088+0.017624i,-0.018887+0.02787i,-0.0070462+0.030501i,-0.012334+0.033405i,-0.016662+0.049061i,-0.01462+0.043706i,-0.015751+0.020415i,-0.014443+0.015252i,-0.0031298+0.018626i,0.0090851+0.012482i,0.017075+0.0071247i,0.025319+0.0090959i,0.034927+0.009064i,0.037451+0.00050289i,0.025241-0.0089742i,0.0065792-0.0072286i,-0.0014797+7.284e-05i,0.0011353+0.0035246i,0.0031498+0.010257i
-0.0047159-0.010108i,-0.0037931-0.02448i,0.011184-0.024213i,0.042255-0.013785i,0.066221-0.020183i,0.057426-0.038473i,0.035438-0.031479i,0.03412-0.0079049i,0.049552-0.0018154i,0.055832-0.0092945i,0.045454-0.018047i,0.032439-0.027939i,0.021594-0.035392i,0.0073727-0.03564i,-0.0025247-0.035046i,-0.0046623-0.043271i,-0.0091733-0.052295i,-0.016317-0.044753i,-0.013958-0.021051i,-0.0010429-0.00035476i,0.0073181+0.0065999i,0.0057544+0.0061566i,0.0073898+0.0023805i
-0.00033829+0.013332i,-0.0028665+0.02459i,-0.016934+0.010783i,-0.044071-0.027318i,-0.063174-0.046249i,-0.058656-0.038574i,-0.038202-0.036648i,-0.025935-0.042297i,-0.03346-0.038256i,-0.041539-0.018573i,-0.036917+0.0045613i,-0.028844+0.017301i,-0.024199+0.016324i,-0.020281+0.011814i,-0.020385+0.013847i,-0.029193+0.026586i,-0.033474+0.043204i,-0.023631+0.045573i,-0.0084203+0.028141i,0.00035295+0.0066102i,0.0015463-0.0039115i,6.9598e-05-0.0036809i,-0.0065354-0.0022923i
0.0010219-0.015065i,0.002011-0.025448i,0.0030558-0.010821i,0.0055276+0.034187i,0.0074459+0.070044i,0.011436+0.072579i,0.012089+0.061044i,0.020327+0.044929i,0.037619+0.020891i,0.039058+0.0029933i,0.028902+0.0030138i,0.026264+0.011375i,0.025441+0.013466i,0.020519+0.010841i,0.023674+0.012879i,0.0423+0.013595i,0.061107+0.0047i,0.060919-0.0072719i,0.039379-0.014131i,0.015367-0.011183i,0.0025742-0.0068312i,-0.0043247-0.007569i,-0.0057172-0.0025366i
-0.0040402+0.010427i,-0.0050654+0.022109i,-0.0048397+0.013076i,-0.0023532-0.030346i,-0.0063808-0.078239i,-0.010204-0.096106i,0.00014958-0.084896i,0.0077788-0.069645i,-0.00027407-0.065552i,-0.017079-0.062188i,-0.026561-0.048246i,-0.024413-0.034465i,-0.01831-0.025876i,-0.013585-0.021119i,-0.015175-0.030691i,-0.029939-0.050343i,-0.048401-0.060788i,-0.049679-0.052319i,-0.029199-0.030937i,-0.0057717-0.014771i,0.0032101-0.0070304i,0.0046282+0.0030111i,0.010624+0.0071388i
0.0019583-0.016478i,0.0032241-0.02493i,-0.0064063-0.013445i,-0.030796+0.027423i,-0.06244+0.06594i,-0.090247+0.075236i,-0.10416+0.065995i,-0.092616+0.0574i,-0.065103+0.057985i,-0.031128+0.060375i,-0.0027251+0.049745i,0.0048592+0.033241i,0.00032261+0.02154i,-0.0092959+0.01268i,-0.026132+0.020737i,-0.034151+0.048414i,-0.025614+0.06929i,-0.01381+0.064413i,-0.0066538+0.038121i,-0.0062462+0.011944i,-0.0061562+0.00070051i,-0.00067236-0.0038282i,-0.0011513-0.0099875i
-0.010979+0.013516i,-0.011613+0.02357i,0.0040135+0.022218i,0.046778+0.0055532i,0.096894+0.0010732i,0.12644+0.020329i,0.12343+0.033808i,0.089326+0.02824i,0.048832+0.013624i,0.018838-0.0064486i,-0.0016506-0.020785i,-0.0048631-0.021531i,0.0026905-0.01665i,0.012767-0.0083701i,0.036839-0.0042495i,0.067288-0.017747i,0.079518-0.037332i,0.064573-0.041781i,0.03361-0.027007i,0.0094021-0.0050511i,-0.0015368+0.0071666i,-0.010466+0.0080723i,-0.015692+0.010083i
0.0080657-0.0071975i,0.012723-0.018254i,0.0017127-0.02673i,-0.031714-0.029054i,-0.060647-0.046584i,-0.067563-0.08611i,-0.061963-0.099691i,-0.040075-0.071668i,-0.014324-0.039279i,-0.010346-0.012879i,-0.018568+0.0074877i,-0.021755+0.013426i,-0.01757+0.0075484i,-0.01382-0.0067689i,-0.026659-0.025966i,-0.05528-0.036965i,-0.076133-0.034421i,-0.068129-0.026101i,-0.036458-0.015863i,-0.0062982-0.010479i,0.0071705-0.0091667i,0.011444-0.0047776i,0.017717-0.0021187i
-0.012433+0.0070195i,-0.020885+0.019877i,-0.015021+0.030334i,0.0083965+0.029252i,0.011486+0.03439i,-0.0079217+0.06525i,-0.0088532+0.083193i,0.0032168+0.05565i,0.014144+0.013239i,0.028522-0.016107i,0.036271-0.023731i,0.032262-0.014566i,0.019397-0.0044023i,0.0013487+0.0099113i,-0.0074834+0.039418i,0.003768+0.072494i,0.021082+0.08688i,0.025775+0.073608i,0.018941+0.040077i,0.0085409+0.0095981i,0.0010519-0.0038842i,-0.0014295-0.0090256i,-0.00559-0.013316i
0.017593-0.0044851i,0.027846-0.017312i,0.022144-0.034303i,-0.0039788-0.043819i,-0.0038034-0.04765i,0.034329-0.068608i,0.051468-0.08195i,0.037256-0.05808i,0.019432-0.025365i,-0.0036675-0.0040183i,-0.017437+0.0096004i,-0.012338+0.010565i,-0.0040024+0.0052562i,0.007509-0.0035869i,0.026194-0.027275i,0.038779-0.059243i,0.041347-0.077185i,0.036357-0.068348i,0.022985-0.039417i,0.012494-0.012114i,0.0075319-7.7515e-05i,-0.00097814+0.0057673i,-0.0096909+0.016166i
-0.011355+0.0080806i,-0.024997+0.017509i,-0.023891+0.035962i,-0.0073968+0.039756i,-0.027136+0.016484i,-0.089946+0.0049304i,-0.1132+0.018277i,-0.077722+0.015513i,-0.042337-0.0055276i,-0.022485-0.0097743i,-0.0086888+0.00043537i,-0.0029632+0.0071902i,-0.0010621+0.0037727i,-0.0092106-0.0060203i,-0.035358-0.0094985i,-0.065399-0.0013451i,-0.080533+0.0061423i,-0.072517+0.0051633i,-0.044733-8.5136e-05i,-0.018057-0.0075372i,-0.0074817-0.0082538i,-0.0017794-0.00047061i,0.0088575+0.0021895i
0.0095747+0.00066003i,0.026586-0.0058278i,0.02777-0.01983i,0.0012016-0.015963i,-0.0082783+0.033373i,0.022645+0.081601i,0.040659+0.078437i,0.017785+0.057368i,-0.0085486+0.046264i,-0.018259+0.0206i,-0.022226-0.010657i,-0.019455-0.02188i,-0.013831-0.015901i,-0.0081095+0.00032351i,0.010345+0.024779i,0.039886+0.043466i,0.05745+0.049476i,0.051073+0.04442i,0.028167+0.027141i,0.0045132+0.011498i,-0.004194+0.0058258i,0.00010714-0.002402i,-0.00044858-0.014562i
-0.012883+0.0034987i,-0.031668+0.0076985i,-0.032619+0.022289i,0.010002+0.024749i,0.05888-0.021412i,0.061684-0.079357i,0.033655-0.084774i,0.02555-0.053842i,0.040249-0.028562i,0.044795-0.010777i,0.031194-0.00021109i,0.011017+0.0026615i,0.0016337+0.0037209i,0.0057085-0.0038235i,0.0055475-0.024946i,-0.00057547-0.049104i,-0.00042536-0.065639i,0.0058783-0.065126i,0.0094166-0.042188i,0.01157-0.014817i,0.011857-0.0025925i,0.0032004+0.0014838i,-0.0054809+0.010715i
0.0074403+0.0047919i,0.02895+0.0036445i,0.038854-0.01529i,0.0025884-0.043999i,-0.059005-0.040261i,-0.083718-0.0037657i,-0.055056+0.01358i,-0.024195-0.0029642i,-0.019289-0.018005i,-0.017331-0.015426i,-0.0063291-0.0044125i,0.0071191+0.0024149i,0.010076-0.0024356i,-0.0034802-0.0071234i,-0.023413+0.00060936i,-0.041003+0.01775i,-0.053341+0.03309i,-0.052087+0.033032i,-0.032475+0.017806i,-0.011734+0.00039693i,-0.0043754-0.005381i,0.0011521+0.0010804i,0.013425+0.0042792i
-0.0090207-0.0056861i,-0.031787-0.0082303i,-0.046952+0.0078628i,-0.021864+0.050917i,0.035482+0.078764i,0.074384+0.058483i,0.06245+0.028985i,0.038275+0.025001i,0.027221+0.021166i,0.0066441+0.0090245i,-0.015711+0.006871i,-0.022852+0.0086618i,-0.020074+0.0085331i,-0.009339+0.012706i,0.012819+0.016883i,0.038669+0.017939i,0.055759+0.020947i,0.056247+0.023221i,0.03677+0.016877i,0.013769+0.0091568i,0.0042981+0.0046627i,-0.00029452-0.005783i,-0.011271-0.016406i
0.01594+0.0040276i,0.036024+0.01063i,0.055329-0.0067122i,0.042912-0.065956i,-0.0077363-0.12852i,-0.059768-0.13125i,-0.064031-0.081536i,-0.038662-0.044012i,-0.022806-0.036659i,-0.014814-0.031792i,-0.0052916-0.017462i,0.0049988+0.00088361i,0.01364+0.0081326i,0.014738-0.0016281i,0.0069191-0.019051i,-0.0035084-0.038791i,-0.010916-0.056976i,-0.012234-0.060866i,-0.005992-0.043787i,0.0038481-0.025031i,0.0047799-0.018248i,-0.004314-0.0082234i,-0.0091772+0.010685i
-0.0086184-0.0068181i,-0.027032-0.016283i,-0.05525-0.011014i,-0.082498+0.041416i,-0.09169+0.11661i,-0.073828+0.13594i,-0.055257+0.08881i,-0.046485+0.043713i,-0.030317+0.029395i,-0.0049334+0.019302i,0.01031-0.0015099i,0.0073422-0.021226i,-0.0037597-0.025743i,-0.015701-0.018878i,-0.029229-0.0039943i,-0.039449+0.019147i,-0.043116+0.037754i,-0.040722+0.038141i,-0.030203+0.022664i,-0.0203+0.0088201i,-0.014351+0.0089132i,0.00048926+0.012314i,0.018883+0.0049711i
0.010146+0.0095552i,0.028382+0.023116i,0.061894+0.031166i,0.11305+0.0042713i,0.15417-0.047924i,0.14564-0.063222i,0.10575-0.032623i,0.072772-0.0085324i,0.048561-0.00046145i,0.02212+0.0068723i,0.00082993+0.015331i,-0.0086035+0.02217i,-0.01063+0.023453i,-0.0039063+0.022097i,0.013704+0.019287i,0.036274+0.0124i,0.054459+0.0068006i,0.056817+0.0049403i,0.039573+0.0058939i,0.020653+0.008825i,0.01443+0.0067269i,0.0078822-0.0035552i,-0.0059011-0.011216i
-0.0099203-0.0078951i,-0.021451-0.025904i,-0.050929-0.047605i,-0.10526-0.050772i,-0.15271-0.032832i,-0.14219-0.025949i,-0.084943-0.028514i,-0.033063-0.024343i,-0.0084674-0.020414i,-0.0039401-0.017243i,-0.0029953-0.013346i,0.006568-0.012891i,0.015177-0.017001i,0.012939-0.023793i,0.0028415-0.032795i,-0.012449-0.043041i,-0.027185-0.049045i,-0.028204-0.045992i,-0.014582-0.033364i,-0.0023865-0.021394i,-0.0046652-0.014854i,-0.011751-0.0033923i,-0.0099479+0.012423i
0.0084679+0.018956i,0.015738+0.037574i,0.038911+0.06829i,0.081993+0.089845i,0.11535+0.0924i,0.096516+0.083691i,0.04245+0.064594i,0.0011859+0.039395i,-0.013498+0.011044i,-0.019402-0.013717i,-0.028442-0.016807i,-0.034418-0.0031431i,-0.031882+0.005418i,-0.029504+0.0088124i,-0.029645+0.020401i,-0.025796+0.039168i,-0.021351+0.051828i,-0.019153+0.048435i,-0.012838+0.030556i,-0.0033604+0.013337i,0.0053992+0.0074474i,0.014819+0.0030973i,0.019739-0.0064043i
-0.0043639-0.0087793i,-0.0042065-0.02891i,-0.010038-0.068229i,-0.031199-0.11529i,-0.047975-0.14707i,-0.036206-0.14388i,-0.010886-0.10209i,0.0083046-0.054775i,0.015713-0.023937i,0.018292-0.0017914i,0.026268+0.010314i,0.031419+0.011881i,0.027158+0.013069i,0.023936+0.012919i,0.028804+0.0039838i,0.038973-0.010719i,0.049514-0.020384i,0.049942-0.020426i,0.034904-0.014144i,0.016583-0.008684i,0.004601-0.011138i,-0.005193-0.016612i,-0.015489-0.016473i
-0.0038797+0.0093515i,-0.0097558+0.029796i,-0.019936+0.070671i,-0.027608+0.11408i,-0.045179+0.13372i,-0.065983+0.11408i,-0.060655+0.064465i,-0.038344+0.019873i,-0.021337+0.0016582i,-0.0094496-0.00032118i,-0.0059571-0.0052676i,-0.010644-0.01448i,-0.013357-0.020796i,-0.013819-0.02489i,-0.021187-0.027106i,-0.035067-0.0268i,-0.044207-0.028843i,-0.041693-0.031656i,-0.029206-0.025391i,-0.016265-0.012056i,-0.011624+0.0012033i,-0.011147+0.014807i,-0.0070352+0.026191i
0.0049814-0.0057771i,0.015052-0.022544i,0.037054-0.054113i,0.061556-0.081694i,0.085426-0.078684i,0.089522-0.041282i,0.060655+0.0039325i,0.028974+0.033054i,0.013402+0.039904i,0.0031087+0.030008i,-0.00053232+0.023768i,0.0056063+0.022615i,0.0064892+0.016336i,-0.00012123+0.013386i,-0.0022159+0.0212i,0.0028674+0.033316i,0.0050636+0.045407i,0.0016589+0.049428i,-0.00044834+0.035387i,0.00049339+0.014929i,0.0044923+0.0032117i,0.012595-0.0030407i,0.020983-0.010035i
