-0.0010143+0.0016182i,0.00063768+0.00053647i,-5.8046e-05-0.00072845i,-0.0008932-0.00097199i,-0.00031181-0.0002956i,0.00027812+0.00026605i,0.00026741+0.0006678i,-0.00060414+0.00021123i,-0.00043467-0.00046139i,7.8014e-05-0.0001593i,-5.4905e-05-6.4519e-05i,-0.00027661+0.00011188i,-0.00092146-5.8563e-05i,-0.00075041-0.0006917i,0.00040076-0.00069315i,0.0011101-0.00010731i,0.0013212-0.00045024i,0.00082553-0.00056561i,-0.00030131+0.00010192i,-0.0003392+0.00091099i,-4.2579e-05+0.0013917i,-0.00029442+0.00074363i,-0.00050445-7.2963e-05i
0.034542+0.070294i,0.090445+0.1102i,0.1453+0.1417i,0.1671+0.19139i,0.17279+0.2575i,0.17828+0.24453i,0.1378+0.1379i,0.051943+0.049906i,-0.013402+0.016962i,-0.033542+0.0042345i,-0.031027-0.0023053i,-0.022629-0.0011342i,-0.015573+0.0044351i,-0.0109+0.0094621i,-0.0077323+0.0084995i,-0.008289+0.0042423i,-0.012553+0.00049958i,-0.013843-0.0004048i,-0.0097782+0.0018625i,-0.0052668+0.0031069i,-0.0028694+0.0048258i,-0.001331+0.0075951i,-0.00018323+0.0082076i
-0.0058425-0.075063i,-0.035395-0.13374i,-0.053071-0.18137i,-0.019991-0.22951i,0.03167-0.28581i,0.034445-0.28717i,0.0030582-0.19496i,-0.0035726-0.082302i,0.011503-0.021156i,0.017711-0.00074897i,0.016566+0.004065i,0.013373+0.0034028i,0.010771+0.0025082i,0.0094361-0.0011061i,0.0066812-0.00257i,0.0048152+0.0021992i,0.0057703+0.0087459i,0.007482+0.010894i,0.0088453+0.0073468i,0.0076603+0.0042284i,0.0058869+0.0035308i,0.007513+0.0011808i,0.0089035-0.00011885i
-0.022799+0.07531i,-0.022774+0.1359i,-0.03727+0.17473i,-0.107+0.17595i,-0.2021+0.16651i,-0.22762+0.1575i,-0.15297+0.11812i,-0.061482+0.044491i,-0.017707-0.01105i,-0.0035504-0.025303i,0.00085133-0.020205i,0.0008376-0.014546i,-0.0017581-0.010987i,-0.004049-0.003861i,-0.0035408+0.0014017i,-0.0010904-0.0010342i,0.0013141-0.0053649i,0.0016436-0.0060014i,0.0008056-0.0031844i,-0.00083193-0.0013569i,-0.0038956-0.0022632i,-0.0064511-0.0028041i,-0.0052612-0.0027478i
0.045416-0.062666i,0.070889-0.11202i,0.097512-0.12576i,0.15351-0.067385i,0.23169+0.019689i,0.25761+0.043559i,0.18262+0.01972i,0.078504+0.026388i,0.026558+0.044782i,0.010926+0.03891i,0.0020773+0.023318i,-0.0014996+0.013632i,-0.0003762+0.0087541i,0.003109+0.0037666i,0.0051721-0.00088141i,0.0016296-0.0022785i,-0.0052002-0.0010591i,-0.0087108+0.0017381i,-0.0060743+0.0037816i,-0.0019702+0.0038616i,-0.0014352+0.003333i,-0.0023103+0.0038347i,-0.0040053+0.0048482i
-0.066747+0.040814i,-0.10765+0.072828i,-0.12609+0.065357i,-0.12237-0.029901i,-0.12235-0.17105i,-0.12921-0.21878i,-0.10314-0.14998i,-0.044572-0.077913i,-0.0064739-0.043516i,-0.0015134-0.02139i,-0.002833-0.0060955i,-0.0015544-0.00022743i,-0.00096141+0.00098069i,-0.0042719-0.00070117i,-0.0083678-0.0015303i,-0.0063712-0.0008072i,-0.00013359-0.00085871i,0.0044255-0.0017529i,0.0046336-0.0032163i,0.0023244-0.0044332i,0.0027978-0.0050722i,0.0051125-0.003852i,0.0061807-0.00088963i
0.074797-0.012237i,0.1234-0.023982i,0.126-0.0096128i,0.055412+0.067496i,-0.036721+0.18457i,-0.060646+0.22836i,-0.033459+0.15955i,-0.028936+0.068994i,-0.039507+0.024226i,-0.030778+0.0099405i,-0.015604-0.00049989i,-0.0075184-0.0039534i,-0.0030516-0.0020533i,0.00075898+0.0010234i,0.0050631+0.004501i,0.0069785+0.0042792i,0.0060825-0.00036827i,0.0035516-0.0050987i,0.00015865-0.0048895i,-0.00051311-0.0026763i,-0.00114-0.0022947i,-0.0014102-0.0029775i,-0.0003867-0.0045281i
-0.074857-0.010107i,-0.12127-0.019928i,-0.11036-0.027655i,-0.0012413-0.045962i,0.14393-0.081886i,0.19616-0.10482i,0.14259-0.081519i,0.085755-0.031185i,0.059303-0.004445i,0.033802-0.003985i,0.01269-0.0033041i,0.0023851-0.00099411i,-0.0017154-0.0016451i,-0.0021914-0.0058819i,-0.0023827-0.0095375i,-0.0027644-0.0079494i,-0.0024445-0.0024205i,-0.00087049+0.0015474i,0.0012411+0.001593i,0.0015009+0.0001295i,0.00062727+0.0019622i,-0.0011627+0.0042543i,-0.003885+0.0053686i
0.065633+0.039339i,0.1036+0.064344i,0.090031+0.057784i,-0.0097198+0.00058243i,-0.14365-0.066643i,-0.2042-0.077877i,-0.15903-0.037811i,-0.083536-0.013702i,-0.035935-0.010197i,-0.0093283-0.0030322i,0.0051486+0.0029955i,0.010158+0.0031077i,0.00942+0.0011226i,0.0034815+0.0040382i,-0.0027754+0.0099135i,-0.0056539+0.012169i,-0.0046682+0.011265i,-0.0027986+0.0078861i,-0.0024179+0.0037564i,-0.0019848+0.001129i,-0.00053677-0.00061446i,0.0014782+3.5368e-05i,0.0037601+0.0023896i
-0.044223-0.056594i,-0.069282-0.093934i,-0.065382-0.080467i,-0.024416+0.017772i,0.035347+0.14346i,0.077126+0.18005i,0.065266+0.11883i,0.021636+0.066406i,-0.0014455+0.049304i,-0.0020249+0.030242i,-0.0029137+0.0098356i,-0.005574+0.0008692i,-0.0043582+0.00055685i,0.001237-0.00065301i,0.0076461-0.0045289i,0.0085367-0.0072052i,0.0040368-0.0071554i,-0.001227-0.002929i,-0.0022355+0.0019876i,-0.00032278+0.0022455i,-0.00098522-3.0672e-05i,-0.0029711-0.00306i,-0.0034029-0.0056612i
0.025025+0.066286i,0.033079+0.10789i,0.038464+0.09725i,0.063221+0.0035174i,0.097303-0.12619i,0.0877-0.18365i,0.044242-0.14262i,0.019859-0.084279i,0.009797-0.050695i,-0.0025948-0.02514i,-0.0083616-0.004118i,-0.0059375+0.005629i,-0.0025396+0.0072947i,-0.003782+0.0030762i,-0.0080191-0.0020671i,-0.010127-0.0036381i,-0.0084575-0.0040307i,-0.0042872-0.0044894i,-0.00018217-0.0043773i,0.00074518-0.003397i,0.00029654-0.00017026i,-0.0014537+0.0035017i,-0.0032786+0.0050884i
-8.8438e-05-0.071666i,0.0063208-0.11031i,-0.0037408-0.11102i,-0.072101-0.062763i,-0.16979+0.011536i,-0.18329+0.063736i,-0.10884+0.062397i,-0.045983+0.028949i,-0.02476+0.0049179i,-0.012463-0.0023692i,-0.00070916-0.0082631i,0.0016464-0.011034i,-0.0010355-0.0081422i,-7.6393e-05-0.0013003i,0.0042517+0.0052782i,0.0089674+0.0074761i,0.010514+0.0053703i,0.0060817+0.0021789i,0.00051263+0.00084576i,-0.00075936+0.00059699i,0.0016112-0.00020492i,0.0060849-0.00040783i,0.0082112+0.00075906i
-0.022166+0.060004i,-0.04597+0.090467i,-0.049877+0.10003i,0.014529+0.11054i,0.1213+0.11806i,0.15739+0.088654i,0.10714+0.04769i,0.058534+0.032799i,0.039963+0.022405i,0.021321+0.0059645i,0.003794+0.0010213i,-0.0020663+0.0037907i,-0.00023088+0.0035888i,0.002839+5.0274e-05i,0.0029639-0.0042515i,0.0015686-0.0061613i,0.001655-0.0045404i,0.0037495-0.0019471i,0.0047594-0.00024469i,0.0032397+2.0724e-05i,0.0003753-0.0012636i,-0.0017985-0.0036897i,-0.001847-0.0055499i
0.038017-0.047971i,0.072108-0.061832i,0.092249-0.068721i,0.063948-0.1136i,-0.0072399-0.18151i,-0.057574-0.17801i,-0.059403-0.10555i,-0.042033-0.0478i,-0.024885-0.018118i,-0.0068999-0.00094188i,0.004914+0.0042194i,0.0084928+0.0040859i,0.0076777+0.0017188i,0.0022731-0.00019022i,-0.004186+0.0016645i,-0.0069665+0.0046003i,-0.0069611+0.0059799i,-0.0049561+0.0030125i,-0.0028598-0.0016262i,-0.002814-0.0017596i,-0.0026114+0.0017594i,-0.0022563+0.0046853i,-0.0035485+0.0046797i
-0.050031+0.02952i,-0.085256+0.025696i,-0.11602+0.014836i,-0.13376+0.056027i,-0.12147+0.13141i,-0.07636+0.13865i,-0.031744+0.078398i,-0.01615+0.035365i,-0.01301+0.023368i,-0.008819+0.01368i,-0.0078471+0.0030905i,-0.0084621-0.00044605i,-0.0069911+0.0020751i,-0.0022755+0.0043889i,0.0019501+0.002877i,0.0020434+4.5e-07i,-0.00010272-0.0001846i,-0.0014818+0.0020794i,-0.0013787+0.0036175i,-0.00024935+0.0022983i,0.0022027+0.00017975i,0.0055217-0.00057326i,0.0063082+0.0004509i
0.05593-0.009148i,0.081929+0.012461i,0.10826+0.046167i,0.1521+0.036551i,0.18565-0.016735i,0.15958-0.044575i,0.096631-0.033552i,0.051884-0.021406i,0.026306-0.016729i,0.0094942-0.0083746i,0.0028493-0.00029308i,0.001169+0.00097544i,0.0002394+8.0546e-05i,0.00018803-0.0017287i,0.000543-0.0044095i,-8.0637e-05-0.0054565i,-0.0013234-0.0057463i,-0.00079121-0.0045395i,0.0015879-0.0022229i,0.0015387-0.0011773i,-0.0014616-0.0020864i,-0.0035983-0.0040889i,-0.0017806-0.0050962i
-0.047338-0.0065686i,-0.056488-0.041436i,-0.059344-0.095606i,-0.097019-0.12802i,-0.14517-0.11509i,-0.13519-0.070773i,-0.083199-0.02257i,-0.043139+0.0026582i,-0.024354+0.0043486i,-0.012241-0.0015545i,-0.0027657-0.005997i,-0.00047661-0.0079321i,-0.0023956-0.0067217i,-0.0042611-0.002621i,-0.0046737+0.0001956i,-0.0022074+0.0011463i,8.3231e-05+0.00065767i,-0.0010001-0.0011164i,-0.0028209-0.0014595i,-0.0023703-1.1086e-05i,-0.001274+0.0030487i,-0.0013857+0.0059971i,-0.0026669+0.006281i
0.037781+0.02014i,0.02872+0.055619i,-0.001538+0.10911i,-0.0015903+0.16134i,0.026553+0.17894i,0.030513+0.13576i,0.010398+0.072682i,-5.2264e-05+0.036656i,0.0036219+0.02035i,0.0042848+0.011055i,0.00030731+0.0076927i,-0.00072623+0.0075309i,0.001218+0.0058962i,0.0033969+0.0035279i,0.0035161+0.0034278i,0.0025795+0.003569i,0.0026243+0.0036183i,0.0040139+0.0033899i,0.003997+0.0026797i,0.0031487+0.0017118i,0.0035814-0.00040814i,0.0046225-0.0012508i,0.0053274+0.0011664i
-0.026317-0.028005i,0.000794-0.053116i,0.060499-0.083941i,0.098459-0.12494i,0.093448-0.15553i,0.06479-0.13166i,0.030725-0.085131i,0.0054081-0.05671i,-0.0037947-0.035401i,-0.0021998-0.017401i,-0.00059393-0.0071215i,-8.9958e-05-0.001598i,0.001941+0.00083166i,0.00199+0.00017643i,4.8292e-05-0.0015395i,0.00019903-0.0015904i,0.0017141-0.00044612i,0.0018963-0.0006987i,0.0019278-0.0015352i,0.00069683-0.002261i,-0.0024682-0.0028335i,-0.0045518-0.0042531i,-0.0039858-0.0057413i
0.010297+0.024607i,-0.026659+0.033912i,-0.10009+0.028509i,-0.15964+0.033681i,-0.16488+0.047618i,-0.11365+0.035472i,-0.048429+0.018454i,-0.010732+0.015516i,-0.00076427+0.013004i,-0.0030898+0.0077669i,-0.0048612+0.0040313i,-0.0040557+0.0030178i,-0.003881+0.0035274i,-0.0037123+0.0043301i,-0.0028918+0.0047046i,-0.0034161+0.0035723i,-0.0054755+0.0035944i,-0.0054934+0.0044211i,-0.003747+0.0037365i,-0.0027264+0.003158i,-0.0015207+0.0043792i,-0.00091585+0.0063931i,-0.0015531+0.0063602i
-0.0016837-0.022956i,0.032043-0.012572i,0.095225+0.032083i,0.14636+0.066871i,0.14811+0.067443i,0.10414+0.057718i,0.060508+0.041572i,0.037582+0.026529i,0.02479+0.015239i,0.016024+0.0051722i,0.0095046-0.00063533i,0.0039407-0.0028722i,0.00055456-0.0025954i,0.00034018-0.0011115i,0.00033464-0.00037845i,0.00038355+0.00031526i,0.00039901+0.00017191i,-9.8418e-05-0.00022698i,0.00077085-0.00040942i,0.0021138-0.0019093i,0.0035835-0.0041396i,0.0057224-0.0038303i,0.0070237-0.0022682i
-0.0014336+0.020411i,-0.022861-0.0073115i,-0.051951-0.078693i,-0.072035-0.13992i,-0.066697-0.14519i,-0.045826-0.10764i,-0.042972-0.054961i,-0.045341-0.01511i,-0.033542+0.00051931i,-0.017179+0.0010732i,-0.0060573-0.0003965i,-0.0010967+0.00078167i,0.0012586+2.102e-05i,0.00079263-0.0035274i,-0.0020785-0.0051437i,-0.0025452-0.0061263i,-0.0016376-0.0070208i,-0.0025387-0.0062017i,-0.0021537-0.0042267i,-0.0013274-0.0025329i,-0.0038326-0.0022485i,-0.0068197-0.0036091i,-0.0072146-0.004766i
0.0052674-0.012566i,0.0085272+0.019411i,-0.00086452+0.093179i,-0.019364+0.14777i,-0.039269+0.13639i,-0.045816+0.082583i,-0.030296+0.033097i,-0.014304+0.0068212i,-0.0075167+0.0019044i,-0.0035721+0.0068079i,-0.00062654+0.0059528i,-0.00019814+0.0021585i,-0.00073035+0.0014156i,8.2585e-05+0.0018028i,0.00083157+0.0016991i,0.00068926+0.0013716i,0.0015418+0.0010442i,0.0030394+0.00086522i,0.0038181+0.00037527i,0.0037178+0.00088541i,0.0032557+0.0029577i,0.0015717+0.0061368i,-0.00058739+0.008463i
-0.0056902+0.0099831i,0.010098-0.017345i,0.051994-0.072383i,0.092417-0.10093i,0.10944-0.079211i,0.096264-0.046535i,0.064563-0.035964i,0.038454-0.036503i,0.020506-0.030951i,0.00602-0.018847i,-0.0030734-0.007286i,-0.005497+0.00047549i,-0.0029574+0.0043788i,0.00018599+0.0040607i,0.0022891+0.0023414i,0.0036789+0.0017828i,0.0042627+0.002231i,0.003716+0.0021671i,0.0016786+0.0010647i,0.00065014-0.0004895i,0.0023479-0.0028157i,0.0050617-0.0057324i,0.0058114-0.0063506i
0.0062386-0.012175i,-0.024295+0.0038255i,-0.08468+0.027811i,-0.12663+0.023605i,-0.12138-0.009536i,-0.079864-0.021435i,-0.032817+0.0021249i,-0.0062657+0.020985i,-7.0879e-05+0.018795i,-0.0026604+0.0083684i,-0.0031761+0.002142i,-0.00028437-0.00051114i,0.00031452-0.0023459i,-0.0019098-0.0015493i,-0.0038364-0.00042539i,-0.004029-0.00084447i,-0.0040986+0.00022765i,-0.0035314+0.0025575i,-0.0018622+0.0032603i,-0.0013414+0.0024603i,-0.0038561+0.0013148i,-0.007886+0.00040411i,-0.0074878-0.0010662i
-0.0030069+0.010643i,0.030054+0.01134i,0.085679+0.016274i,0.10698+0.042057i,0.074692+0.072413i,0.03039+0.071676i,0.0055336+0.046773i,-0.0010827+0.03136i,0.0036434+0.021247i,0.0079917+0.0086552i,0.0053362+0.00077478i,0.00047736-0.0011713i,-0.0021017+0.0007482i,-0.0027836+0.0021281i,-0.0035652+0.0022625i,-0.0044526+0.0031537i,-0.0057117+0.0024754i,-0.0063743+0.0002218i,-0.0043336-0.0010257i,-0.0017506-0.00095945i,0.00039516+0.0022069i,0.0037466+0.0064628i,0.0047214+0.0073935i
0.0030134-0.012236i,-0.02767-0.028277i,-0.068444-0.054424i,-0.063417-0.082066i,-0.018049-0.092055i,0.0049433-0.075679i,-0.010037-0.050709i,-0.024902-0.032839i,-0.022798-0.019135i,-0.011379-0.0077269i,-0.0014162-0.0013212i,0.0031703+0.0021467i,0.0059554+0.0014046i,0.0065915-0.0028317i,0.0049379-0.0057687i,0.0039623-0.0056652i,0.0030485-0.004582i,0.001142-0.0039017i,-0.00036558-0.0020218i,-0.00055811-0.00035269i,0.0011754-0.0019077i,0.0027521-0.0045303i,0.0032617-0.0042884i
-0.013267+0.013136i,0.006768+0.041592i,0.025916+0.077662i,0.0022194+0.089736i,-0.041154+0.065483i,-0.044289+0.028758i,-0.015823+0.0036321i,0.0012625-0.0055358i,0.0021817-0.00051428i,0.00051856+0.0073099i,0.00076319+0.0058698i,0.00024664-0.0004529i,-0.0017539-0.0020102i,-0.003249-0.00049297i,-0.0046058-0.0013577i,-0.0054922-0.0023861i,-0.0029867-0.0025595i,0.0011176-0.0032084i,0.0028984-0.0024301i,0.0019834-0.0016065i,-0.0011-0.00086134i,-0.005029+0.0010159i,-0.0064613+0.0019775i
0.013816-0.014498i,0.0071237-0.045009i,0.0029614-0.076326i,0.028309-0.06411i,0.060434-0.019558i,0.062323+0.0043762i,0.04745+0.0049592i,0.037985+0.0021812i,0.025856-0.0016829i,0.010292-0.0022114i,0.0017398+0.00045836i,-0.00034773+0.0026981i,3.3102e-06+0.0043408i,0.0019945+0.0047394i,0.0045725+0.0052769i,0.0058624+0.0068961i,0.00465+0.0077692i,0.0026343+0.0064441i,0.00057773+0.0028519i,-0.0005619+0.0015358i,0.00028203+0.0032568i,0.0027118+0.0040536i,0.0032476+0.0033068i
-0.016767+0.0081564i,-0.02405+0.037384i,-0.031393+0.059826i,-0.042396+0.031061i,-0.046149-0.02082i,-0.035852-0.025521i,-0.024768+0.0020834i,-0.022513+0.016191i,-0.018633+0.015064i,-0.011233+0.0054963i,-0.0059708-0.0016823i,-0.0016298-0.0043162i,-0.00011543-0.00736i,-0.0017609-0.0080156i,-0.0030341-0.00727i,-0.0031433-0.005934i,-0.0016487-0.0032791i,2.2117e-05-0.00071762i,0.00020299+0.00090401i,0.00038345+0.00023525i,0.0011124-0.0027939i,0.0011363-0.0061081i,0.0013264-0.0058279i
0.022048-0.00040311i,0.041019-0.025933i,0.052728-0.042814i,0.041225-0.011132i,0.012607+0.034353i,-0.0079948+0.034979i,-0.019746+0.015616i,-0.021209+0.0093663i,-0.0099848+0.0060078i,-0.00034598+0.00085106i,0.0010036-0.00039726i,-0.0021443+0.0013667i,-0.0029506+0.003934i,-0.0014337+0.0052928i,-0.0017861+0.0060313i,-0.0041805+0.0058008i,-0.0060151+0.0032868i,-0.0051729+0.0017129i,-0.0020475+0.00012027i,-0.00066495-0.0022618i,-0.0032037-0.0021674i,-0.0053113+0.0008002i,-0.0047349+0.0028901i
-0.023879-0.0029165i,-0.048264+0.01161i,-0.058505+0.022892i,-0.027668+0.0019187i,0.015519-0.029364i,0.024843-0.03545i,0.016736-0.034921i,0.011247-0.037193i,0.0052421-0.027731i,0.0029685-0.012772i,0.0041925-0.0055116i,0.005052-0.0021803i,0.005947-0.0007727i,0.0052346-0.0017922i,0.0051271-0.0029883i,0.0051788-0.0038517i,0.0038552-0.003872i,0.0018537-0.0020827i,0.00012631-0.000305i,-0.0004966+0.00092204i,0.00038721+0.0029757i,0.0025202+0.0042169i,0.0035434+0.0046181i
0.023187+0.010652i,0.051498+0.0069725i,0.062584-0.0035485i,0.022626-0.0064156i,-0.025879-0.0032418i,-0.025474-0.0042557i,-0.0063909-0.0038883i,0.0025598+0.0029454i,0.0054969+0.0089699i,0.0028375+0.0087499i,-0.00087305+0.0061369i,-0.0027687+0.0026062i,-0.0048699+0.0014969i,-0.0057526+0.0020558i,-0.0056802+0.00062089i,-0.0048631-0.00090849i,-0.003335-0.0030779i,-0.0017595-0.0041983i,0.00059376-0.0019218i,0.0019512-0.00035862i,0.0010486-0.0022136i,-0.00011966-0.0045191i,0.00053301-0.0042867i
-0.017193-0.019614i,-0.046636-0.028244i,-0.062439-0.019303i,-0.028539+0.0040655i,0.017678+0.020271i,0.024293+0.022394i,0.01701+0.026378i,0.016712+0.027417i,0.011499+0.017412i,0.003933+0.0081903i,0.0016482+0.0039861i,0.0025504+0.0024409i,0.0034222+0.0017973i,0.0037149+0.0014031i,0.0033877+0.0015446i,0.0032921+0.0026863i,0.0024377+0.0040575i,0.00097573+0.0041287i,-0.0011787+0.002087i,-0.0033761-2.0954e-05i,-0.0045729+0.00025412i,-0.0053504+0.0018835i,-0.0047981+0.0023153i
0.0113+0.02436i,0.035904+0.041935i,0.055875+0.035559i,0.036577-0.0039359i,-5.1491e-05-0.034306i,-0.013665-0.026515i,-0.018683-0.014271i,-0.027889-0.011078i,-0.024132-0.0046037i,-0.012677-0.0016946i,-0.0078302-0.0024782i,-0.0052738-0.003101i,-0.003541-0.0030596i,-0.003304-0.0027023i,-0.0034422-0.0032941i,-0.0029169-0.0036594i,-0.00092711-0.0015409i,0.0015033+0.0002856i,0.0015337+0.0009807i,0.00075916+0.0014626i,0.002106+0.0018999i,0.0046221+0.0016678i,0.0057327+0.0012538i
-0.0067692-0.027i,-0.023784-0.052527i,-0.046105-0.052978i,-0.047762-0.0085618i,-0.03+0.026711i,-0.017018+0.016078i,-0.016353+0.0015384i,-0.012123-0.00093182i,-0.0032441-0.0040958i,3.976e-05-0.0038065i,0.00053116-0.00074543i,0.0016438+0.00096274i,0.0033254+0.0022197i,0.0037604+0.0030772i,0.001418+0.0032159i,-0.0017749+0.0031833i,-0.0042222+0.0016931i,-0.0039832-0.00026575i,-0.00074417-0.00050213i,0.001682-0.0020379i,0.0015384-0.0043924i,0.00022266-0.0050319i,-0.000501-0.0046145i
-0.0058391+0.030262i,0.0017784+0.063429i,0.025475+0.07625i,0.046946+0.036986i,0.044505-0.0084161i,0.031515-0.018105i,0.032922-0.018295i,0.031586-0.01905i,0.019065-0.011059i,0.0095205-0.0030814i,0.0046224-0.0019667i,0.00059103-0.0030036i,-0.0021188-0.0035983i,-0.0024309-0.0029328i,-0.0012574-0.0027032i,0.00061728-0.0023951i,0.001889-0.0013603i,0.001141-0.00022014i,-0.00016686-0.00028839i,-0.001457-0.0010913i,-0.0022716+0.00059303i,-0.0029984+0.0032531i,-0.0026126+0.0043451i
0.014954-0.025958i,0.021491-0.061051i,0.0055124-0.084717i,-0.030047-0.061219i,-0.043603-0.02099i,-0.027506-0.0028115i,-0.019969+0.0047989i,-0.016568+0.014437i,-0.0065437+0.01472i,-0.0016383+0.0071334i,-0.0017081+0.0046533i,-0.00079494+0.004364i,-0.00037811+0.0040075i,-5.2841e-05+0.0044616i,0.00020947+0.0029051i,0.00016326+0.00059395i,0.00073983-0.0016338i,0.00084981-0.0021069i,0.00050884+0.00030257i,0.0013938+0.0028671i,0.0038899+0.0025969i,0.005684+0.00081813i,0.0052959-0.00021716i
-0.021528+0.018784i,-0.041632+0.047591i,-0.039499+0.074458i,-0.001766+0.071248i,0.02603+0.042227i,0.017417+0.020711i,0.0074052+0.019922i,0.0026712+0.018558i,-0.0039467+0.010109i,-0.0052384+0.0054401i,-0.0018353+0.0023979i,0.0010525+0.00046915i,0.00241-0.0018379i,0.002857-0.0047372i,0.0030401-0.0042457i,0.0024818-0.0015313i,0.0012093+0.00082705i,0.00085581+0.0010962i,0.0012369-0.00072129i,0.0009579-0.0027874i,-0.00084178-0.0039553i,-0.0027497-0.0039922i,-0.0030899-0.0026924i
0.029377-0.012195i,0.060947-0.032082i,0.070615-0.060292i,0.034092-0.073305i,-0.0077526-0.057259i,-0.015163-0.034098i,-0.010863-0.031674i,-0.01101-0.031117i,-0.006868-0.017208i,-0.0013505-0.0070318i,-0.00082452-0.0025206i,-0.0027478+0.0014312i,-0.0037118+0.003961i,-0.0037104+0.0041739i,-0.0024497+0.0028144i,-0.0008805+0.0021229i,0.00010102+0.0017842i,0.00040869+0.0017303i,-0.00062092+0.0010688i,-0.0027646+0.0010102i,-0.0036071+0.0019887i,-0.0022555+0.0035013i,-0.0011993+0.0034901i
-0.034843-0.0032455i,-0.073034+0.0033588i,-0.097504+0.026004i,-0.072038+0.052992i,-0.022267+0.051372i,-0.00105+0.0245i,-0.0017965+0.011688i,0.0027051+0.010933i,0.0052046+0.0043135i,0.0017488+0.00025115i,0.00041929+0.00032694i,0.0019364+4.4865e-05i,0.0045695-0.00029908i,0.0049965-0.0013212i,0.0028708-0.0017037i,-0.00032225-0.0005941i,-0.0031417+0.00061549i,-0.003126+0.0014428i,-0.00074649+0.001623i,0.0013259+0.0015802i,0.002872+0.0013178i,0.0045059+0.00041072i,0.0036105+0.00031485i
0.028563+0.015489i,0.068734+0.026711i,0.10192+0.018248i,0.092576-0.017256i,0.049752-0.038351i,0.024793-0.024324i,0.027199-0.0075012i,0.022415+0.0014441i,0.00929+0.0083515i,0.0038492+0.0076112i,0.0022269+0.0019031i,-0.00099201-0.0018127i,-0.0048382-0.0032625i,-0.0072604-0.0025908i,-0.0072611-0.0011342i,-0.005877-0.00038277i,-0.0033266-0.00022811i,-0.00087078-0.00020401i,4.317e-05-0.0012579i,-0.00036816-0.0025211i,-0.0015845-0.0029761i,-0.0022924-0.0031441i,-0.001615-0.0019853i
-0.021863-0.024971i,-0.05402-0.053048i,-0.088577-0.060675i,-0.09392-0.026292i,-0.060788+0.010354i,-0.032165+0.014393i,-0.032307+0.0073759i,-0.029681+0.0062861i,-0.015725+0.0024066i,-0.006883-0.0027899i,-0.0032105-0.0021537i,-3.6251e-05+0.00096454i,0.0028066+0.0029795i,0.0041661+0.0038521i,0.0035306+0.0029313i,0.0030421+3.0104e-05i,0.0021766-0.002542i,1.1812e-05-0.0021926i,-0.0011308-0.00011822i,-0.00086378+0.0022576i,-0.0010199+0.0045934i,-7.4816e-05+0.0047777i,0.0011218+0.0037446i
0.011645+0.031561i,0.030289+0.070345i,0.055808+0.092854i,0.071802+0.066337i,0.058615+0.019907i,0.029296+5.7892e-05i,0.012216+0.00067964i,0.0041734-0.0027393i,-0.0018751-0.0050616i,-0.0026801-0.00046052i,-0.0005178+0.0013929i,0.00062595-0.00043314i,0.00025434-0.0034069i,-0.00042791-0.0059598i,0.00023909-0.0049128i,0.0013457-0.001622i,0.0019565+0.0010904i,0.0022612+0.0021045i,0.0028036+0.0013715i,0.0036457+7.1295e-06i,0.0040362-0.0014046i,0.0031798-0.0019481i,0.0022023-0.0013059i
0.0021247-0.03351i,0.0021749-0.076792i,-0.010993-0.11046i,-0.036851-0.097095i,-0.046543-0.053079i,-0.029061-0.025499i,-0.0079309-0.024644i,0.0044384-0.021301i,0.010133-0.0082095i,0.0095796-0.0020584i,0.0050669-0.0013699i,0.0013072+0.0014929i,-0.001094+0.0062248i,-0.00083085+0.0079875i,0.00094791+0.0060648i,0.0019988+0.003184i,0.002339+0.0017637i,0.0011251+0.0012133i,-0.00019007-0.00070146i,-0.001118-0.002971i,-0.0034151-0.0034823i,-0.0042666-0.0029503i,-0.0024651-0.0022203i
-0.010412+0.028799i,-0.029445+0.066639i,-0.036871+0.10184i,-0.013075+0.10184i,0.016484+0.066709i,0.018552+0.032256i,0.0078653+0.022329i,0.0043099+0.02091i,0.0020458+0.01356i,-0.0016781+0.0073618i,-0.0019248+0.0029237i,-0.00017956-0.00047133i,0.00096514-0.001753i,0.0019834-0.0025946i,0.0012487-0.0029009i,-0.00085431-0.0015948i,-0.00183+0.00069674i,-0.0018442+0.0025069i,-0.0019867+0.0031069i,-0.0016465+0.003065i,-0.00011231+0.0041322i,0.0011394+0.0048027i,0.001413+0.0036845i
0.023786-0.019305i,0.058873-0.048087i,0.08504-0.078708i,0.065485-0.09326i,0.020473-0.077836i,0.0025507-0.041887i,0.0049804-0.01342i,-0.0021667+0.0011144i,-0.0087128+0.0077132i,-0.0052145+0.006747i,-0.0019726+0.0033684i,-0.0021534+0.0014282i,-0.0043403+0.00026308i,-0.0062751+0.00054116i,-0.0055659+0.0013342i,-0.0034631+0.0010967i,-0.0016902-0.00021944i,0.00023553-0.0015755i,0.002178-0.0022895i,0.0030598-0.0030549i,0.0028453-0.0049565i,0.0019858-0.005425i,0.0017938-0.0041213i
