-0.0018771+0.00081752i,-7.4442e-05+0.00070496i,-0.00048025-0.00030825i,-0.00085057-0.0017197i,-0.0010957-0.0022926i,-0.00082112-0.0019549i,0.00063678-0.00049421i,0.0021402+0.00029603i,0.0028244-0.00033426i,0.0029307-0.00081639i,0.0017354-0.0010935i,0.00059187-0.0011523i,0.00016144-0.00044589i,-0.00015694-0.00063661i,-0.00039503-0.0011838i,-0.00056862-0.00094311i,-0.00072139-0.00089774i,-0.00071099-0.00045439i,-0.00022063-0.00034313i,0.0006228-0.00043552i,0.00024297+0.00021789i,-0.0005548+0.00028818i,-0.00061421-0.00040596i
0.0086535-0.0088551i,0.029603-0.030564i,0.057187-0.051755i,0.06642-0.031878i,0.043297+0.066417i,-0.0079585+0.19401i,-0.042026+0.2257i,-0.034717+0.14984i,-0.016164+0.07234i,-0.00066781+0.035058i,0.010264+0.01839i,0.012637+0.0084754i,0.0067453+0.00010094i,-0.00072711-0.002206i,-0.0030049+0.00099838i,-0.00013223+0.0010838i,0.00061516-0.0035135i,-0.0013042-0.0063903i,-0.0031794-0.001316i,-0.0031697+0.0064047i,0.0008433+0.0085501i,0.0063384+0.00278i,0.0097056-0.0052911i
-0.015613+0.0045854i,-0.039381+0.020281i,-0.072811+0.040723i,-0.085304+0.058366i,-0.053028+0.064081i,-0.00027349+0.0549i,0.017588+0.042751i,0.00020428+0.039502i,-0.0096032+0.036227i,-0.0090294+0.020409i,-0.013342+0.007413i,-0.013661+0.0067464i,-0.0070862+0.0078578i,-0.0033929+0.0053723i,-0.0032078+0.0019303i,-0.0052252+0.00035149i,-0.007974+0.0026038i,-0.0085017+0.0064511i,-0.0032617+0.0060427i,0.0041659+0.00023545i,0.0056699-0.0065959i,0.00044746-0.0094766i,-0.0069215-0.008803i
0.013511-0.00134i,0.039118-0.0071684i,0.064768-0.015629i,0.045575-0.041226i,-0.048247-0.10036i,-0.14965-0.16666i,-0.1631-0.17808i,-0.10674-0.12802i,-0.055392-0.073445i,-0.026959-0.037496i,-0.0092845-0.018077i,-0.0022174-0.010751i,-0.00083231-0.0067501i,-0.00079058-0.0062842i,-0.0030121-0.0060775i,-0.0042813-0.0026375i,-0.0012174-0.00037843i,0.0014642-0.0022856i,-0.0011645-0.0044608i,-0.0059717-0.0040235i,-0.007846-0.00086844i,-0.0058143+0.0048337i,-0.00062966+0.009254i
-0.014042+0.00068405i,-0.037693-0.0071279i,-0.067664-0.022902i,-0.076647-0.030741i,-0.040136-0.0022491i,0.028188+0.051726i,0.065353+0.068587i,0.047097+0.031913i,0.017268+0.0029452i,0.0089815-0.0033326i,0.010496-0.014149i,0.0070582-0.020507i,0.00057714-0.014431i,-0.0016087-0.0068122i,0.00093927-0.004583i,0.0020335-0.0057074i,-0.00079454-0.0063383i,-0.0038007-0.0052286i,-0.0018965-0.00055123i,0.0043574+0.0050265i,0.0097704+0.0064554i,0.011838+0.002082i,0.010209-0.0036584i
0.010281+0.0036592i,0.03097+0.01487i,0.058743+0.03031i,0.096705+0.028737i,0.14779-0.010781i,0.1866-0.063675i,0.17043-0.074455i,0.11791-0.04544i,0.073026-0.024801i,0.036148-0.013795i,0.013681+0.0033816i,0.010753+0.011614i,0.0097958+0.0080061i,0.0067807+0.005495i,0.0045866+0.0033934i,0.001494+0.0025101i,0.00047199+0.0046587i,0.002532+0.0053617i,0.0048266+0.0024844i,0.0044664-0.0026915i,0.00075085-0.0079001i,-0.0058195-0.0088754i,-0.010672-0.0034355i
-0.0065608-0.010779i,-0.021221-0.027703i,-0.038785-0.052772i,-0.065764-0.055062i,-0.1189-0.0065777i,-0.18267+0.060569i,-0.17929+0.079892i,-0.10748+0.05053i,-0.049531+0.020118i,-0.023553+0.0065358i,-0.0098935+0.0044563i,-0.0010925+0.0057997i,0.0030566+0.0028229i,0.0019401-0.00029229i,-0.00012951+0.0021768i,0.001459+0.0049911i,0.0039409+0.0042307i,0.0033293+0.0017109i,-4.7854e-05+0.0011924i,-0.004889+0.0029758i,-0.0079906+0.0070141i,-0.0057835+0.010936i,-0.00062354+0.01054i
0.0029659+0.01269i,0.0091676+0.032775i,0.0077976+0.065426i,0.0053308+0.09849i,0.024851+0.11597i,0.062508+0.10795i,0.06834+0.073962i,0.034017+0.041629i,0.010699+0.02665i,0.0068628+0.013024i,-0.0026441+0.000958i,-0.012083-0.0008493i,-0.013278+0.0010805i,-0.011512+0.00057704i,-0.0082145-0.0022742i,-0.0045513-0.0055547i,-0.0024237-0.0055802i,-0.0018597-0.0035161i,-0.00029089-0.0012957i,0.0035436-0.00053192i,0.0088764-0.0034604i,0.011203-0.0079914i,0.0067451-0.0099596i
0.00091041-0.006811i,0.0025344-0.026531i,0.0095054-0.060137i,0.013238-0.11093i,-0.0080928-0.18204i,-0.037937-0.23358i,-0.038623-0.20368i,-0.020583-0.12405i,-0.007469-0.06659i,0.0010812-0.034201i,0.010286-0.015473i,0.013028-0.0099784i,0.010136-0.0078186i,0.0068697-0.0058148i,0.0018292-0.004827i,-0.0033811-0.0029194i,-0.0052612+0.0004483i,-0.0042834+0.0017351i,-0.0021897-0.0011257i,-0.0012633-0.0046557i,-0.0028542-0.0066185i,-0.0053736-0.0061316i,-0.0057077-0.0020902i
-3.344e-05+0.0091241i,-0.0085949+0.023305i,-0.029694+0.037132i,-0.060513+0.051983i,-0.076841+0.091077i,-0.055666+0.14397i,-0.021948+0.13953i,-0.0084965+0.078579i,-0.011096+0.036002i,-0.0097803+0.022523i,-0.002891+0.009897i,0.00090008-0.0018147i,-0.00068093-0.0073645i,-0.0014944-0.0074276i,0.002021-0.0048101i,0.0057329-0.0020835i,0.0058091-0.00039412i,0.0037129-7.4791e-05i,0.0019987+0.0016134i,0.0020642+0.0059128i,0.0035501+0.010485i,0.0051281+0.011916i,0.0061371+0.0082544i
0.0031698-0.0093672i,0.014771-0.019627i,0.043219-0.02647i,0.095693-0.022547i,0.15981-0.024669i,0.18502-0.040936i,0.13951-0.038499i,0.079991-0.015076i,0.048019-0.0039387i,0.023671-0.005483i,0.0056001-0.00054659i,0.0023851+0.0081289i,0.0055409+0.011511i,0.005615+0.0098584i,0.0024901+0.0035642i,-0.0011989-0.0047726i,-0.0036808-0.0089172i,-0.0045653-0.0073876i,-0.0040451-0.0035i,-0.0013177-0.00088652i,0.0022696-0.00227i,0.0034126-0.0042757i,0.00081162-0.0025001i
-0.0086347+0.0045001i,-0.02099+0.0098288i,-0.044929+0.0021295i,-0.088965-0.024403i,-0.15691-0.041551i,-0.20727-0.033257i,-0.17612-0.024341i,-0.099789-0.025329i,-0.051482-0.025921i,-0.028023-0.023228i,-0.013061-0.019907i,-0.0055318-0.016343i,-0.0023291-0.01283i,-0.0014843-0.0083392i,-0.0026329-0.0017678i,-0.004877+0.005552i,-0.0064521+0.0094945i,-0.0054579+0.0090148i,-0.0039427+0.0054475i,-0.0052318+0.0012568i,-0.007604-0.0011172i,-0.0088694-0.0018842i,-0.0067014-0.0017961i
0.0054879-0.0050818i,0.01603-0.0044229i,0.023657+0.014401i,0.029878+0.063094i,0.053484+0.113i,0.0858+0.11882i,0.083706+0.079069i,0.048638+0.038055i,0.024092+0.02349i,0.019754+0.018541i,0.015641+0.0093695i,0.0054371+0.0038004i,-0.0033916+0.0052474i,-0.005328+0.0057535i,-0.0013555+0.0019704i,0.004775-0.0023478i,0.0097449-0.0044489i,0.011047-0.0043029i,0.0084404-0.0032647i,0.0057497-0.0033084i,0.0046423-0.003294i,0.0029586-0.002474i,0.00030022-0.0033372i
-0.0052914+0.0037052i,-0.01356-0.0010285i,-0.012166-0.027137i,0.0017469-0.090649i,0.006463-0.16839i,0.0059056-0.19429i,0.014716-0.14371i,0.021062-0.079578i,0.019387-0.047543i,0.011839-0.027066i,0.0090746-0.0075528i,0.012178-0.0014606i,0.012331-0.0046226i,0.0065383-0.006447i,-0.0025498-0.0062209i,-0.010413-0.0055166i,-0.013948-0.0044462i,-0.012249-0.0026234i,-0.0078785-0.0017959i,-0.0034607-0.0016459i,0.0012698-0.0012977i,0.0052984-0.00068425i,0.0052613+0.0010755i
0.0091996+0.003959i,0.01438+0.0044631i,0.00099113+0.013612i,-0.04247+0.045804i,-0.082646+0.099345i,-0.085625+0.13382i,-0.065027+0.11366i,-0.04581+0.068058i,-0.03528+0.036329i,-0.028605+0.021429i,-0.022049+0.01375i,-0.015979+0.0076952i,-0.012433+0.0033723i,-0.0089381+0.0017079i,-0.0033688+0.0038387i,0.002395+0.0089185i,0.0049838+0.013839i,0.0040952+0.014136i,0.0025863+0.011099i,0.0026846+0.0081832i,0.002771+0.0052522i,0.001624+0.0018094i,0.0023912-0.00064489i
-0.0036036-0.0010957i,-0.0069578-0.005605i,0.013729-0.0094073i,0.073539-0.015477i,0.13617-0.023922i,0.14429-0.031335i,0.096024-0.029084i,0.051389-0.017155i,0.035902-0.0097097i,0.026551-0.015115i,0.012725-0.018577i,0.0048409-0.0092066i,0.0071833+0.00070625i,0.0096059+0.00092798i,0.007505-0.0055914i,0.0046757-0.01372i,0.0033058-0.01789i,0.0020102-0.016342i,-0.00026978-0.011962i,-0.0025044-0.0075901i,-0.0043886-0.003332i,-0.0062496+0.001314i,-0.0065288+0.0036175i
0.0042606+0.0030656i,0.0058227+0.0031307i,-0.015421-0.0082211i,-0.075005-0.034909i,-0.14078-0.056853i,-0.15696-0.058229i,-0.1108-0.048831i,-0.057587-0.041591i,-0.032154-0.032653i,-0.015626-0.021266i,-0.0018858-0.017009i,0.0012233-0.017411i,-0.0021771-0.012933i,-0.0042037-0.0058578i,-0.0057643+0.00053036i,-0.010446+0.0063398i,-0.014689+0.0089592i,-0.01383+0.0077784i,-0.0097029+0.0062928i,-0.0042753+0.0048923i,0.00071627+0.003292i,0.0031714+0.0019166i,0.0030587+0.0013132i
-0.0031908-0.0022232i,-0.005414-0.0015629i,0.0025655+0.016427i,0.028119+0.061357i,0.05811+0.10399i,0.072642+0.10786i,0.065186+0.078029i,0.043131+0.048669i,0.024778+0.038201i,0.020413+0.034573i,0.019869+0.025752i,0.01348+0.016212i,0.0070936+0.011081i,0.0053868+0.0085699i,0.0070981+0.0057476i,0.01196+0.0027363i,0.015735+0.0017705i,0.014704+0.0021524i,0.011343+0.0017179i,0.0085065-0.00084883i,0.0063524-0.0049981i,0.0026896-0.008083i,-0.00035177-0.0080146i
0.0026021-0.00033197i,0.0058457-0.0025716i,0.0066066-0.028712i,0.0022382-0.089742i,-0.0023218-0.14667i,0.00062864-0.1405i,0.0054031-0.084875i,0.0056974-0.042842i,0.0027049-0.031589i,-0.0079026-0.02444i,-0.012783-0.008859i,-0.0044516-0.0010943i,0.0011069-0.0057431i,-0.0026415-0.0089869i,-0.0086173-0.008397i,-0.012877-0.010042i,-0.013258-0.010845i,-0.010975-0.0089674i,-0.0084825-0.0057102i,-0.006093-0.0016713i,-0.0040315+0.0021649i,-0.0021996+0.0044443i,-0.0018959+0.0035611i
0.0008266-0.0057595i,-0.0056578-0.0057055i,-0.022165+0.012298i,-0.048701+0.05746i,-0.070584+0.10036i,-0.071488+0.094813i,-0.058596+0.056455i,-0.045256+0.027252i,-0.035578+0.01069i,-0.028355+0.001371i,-0.022666-0.0014025i,-0.017856+0.00086153i,-0.012293+0.0037913i,-0.0069374+0.0041822i,-0.0033532+0.0056826i,-0.0015389+0.01019i,-0.0021908+0.01442i,-0.0021045+0.013436i,-0.00046952+0.0101i,0.001221+0.0069123i,0.0033731+0.0020265i,0.0053165-0.00083521i,0.0053673-0.00025568i
0.00094949+0.0022239i,0.0074347+0.0020774i,0.030039-0.010201i,0.072218-0.036227i,0.10498-0.048844i,0.099241-0.038189i,0.068323-0.030872i,0.04571-0.030453i,0.040218-0.026004i,0.037705-0.026293i,0.027372-0.026028i,0.01663-0.016701i,0.012535-0.0090418i,0.010379-0.0091712i,0.0076166-0.012712i,0.0069411-0.01517i,0.0082818-0.014652i,0.0084276-0.011547i,0.0059275-0.0086361i,0.0022675-0.0069183i,-0.0011154-0.0051505i,-0.0037899-0.0041239i,-0.0034993-0.003215i
0.0003154-0.0031641i,-0.0067499-0.0073132i,-0.035694-0.011258i,-0.085371-0.011931i,-0.11585-0.017482i,-0.097283-0.02635i,-0.050261-0.022275i,-0.014575-0.013473i,-0.0046734-0.0085509i,-0.00090567+0.00097692i,0.0059064+0.0060188i,0.0057699+0.00094836i,-0.0014793-0.0012845i,-0.0049764+0.0020937i,-0.0055808+0.0046263i,-0.0092845+0.0054611i,-0.012795+0.003377i,-0.012215+0.00082008i,-0.0084264+0.00077124i,-0.0033114+0.0024096i,0.00032288+0.0037361i,0.00062827+0.0039959i,-0.00061601+0.0033359i
0.00012964+0.0077186i,0.0079603+0.012999i,0.030122+0.024638i,0.061179+0.040773i,0.066949+0.058005i,0.044203+0.067635i,0.026842+0.06015i,0.015266+0.046971i,0.0050743+0.041876i,0.0037952+0.037078i,0.0063398+0.026999i,0.0069307+0.017281i,0.006959+0.010995i,0.0071236+0.0076304i,0.0083256+0.0056952i,0.010938+0.0053469i,0.010904+0.0068914i,0.0069097+0.0070287i,0.003211+0.0042696i,0.0011799+0.001241i,0.0021687-0.0010813i,0.0029502-0.0018431i,0.0023925-0.0002384i
-0.00084001-0.005192i,-0.0046031-0.014109i,-0.020317-0.039202i,-0.041707-0.074152i,-0.040261-0.095095i,-0.019423-0.081106i,-0.015778-0.047102i,-0.020821-0.024196i,-0.020318-0.020989i,-0.025443-0.021339i,-0.025702-0.013361i,-0.014598-0.0080563i,-0.0071911-0.0092282i,-0.0075892-0.0078158i,-0.0086447-0.0061577i,-0.0081823-0.008864i,-0.0055647-0.011861i,-0.002406-0.010582i,-0.0019225-0.0065049i,-0.0021295-0.001812i,-0.001736+0.0011352i,-0.0018932+0.00067227i,-0.0018614-0.00111i
-0.0021571+0.00097487i,-0.002863+0.013468i,-0.0003875+0.039841i,0.0025592+0.071218i,-0.0099024+0.079581i,-0.023969+0.049018i,-0.021559+0.0072737i,-0.016869-0.015854i,-0.014136-0.020769i,-0.0071168-0.017272i,-0.0023821-0.013849i,-0.0035461-0.0080061i,-0.0025729-0.00055262i,-0.00031367+0.0023586i,-0.0015155+0.003548i,-0.003613+0.0067549i,-0.0051054+0.009318i,-0.0044664+0.0088694i,-0.0014481+0.0063344i,0.00090071+0.0024527i,0.0030901-0.0004597i,0.0038597-0.0010156i,0.0010598-0.00055547i
0.004955-0.0014235i,0.0097596-0.01484i,0.017999-0.04409i,0.025941-0.072489i,0.036855-0.065101i,0.04402-0.02883i,0.040478-0.010761i,0.038049-0.013142i,0.040541-0.013481i,0.037404-0.016274i,0.02637-0.016985i,0.016268-0.012325i,0.0097144-0.0087495i,0.005059-0.00766i,0.0034977-0.0076635i,0.0047573-0.0078381i,0.0061936-0.00638i,0.0053404-0.0029974i,0.0027134-0.00089624i,0.000675+0.0003398i,6.9295e-05+0.0010279i,0.00084773+0.00074218i,0.0027763+0.00064818i
-0.00094845+0.0037708i,-0.0098927+0.010162i,-0.027858+0.028742i,-0.04673+0.044558i,-0.050624+0.029978i,-0.035711+0.00086138i,-0.011154-1.202e-05i,0.0094732+0.011635i,0.012123+0.012613i,0.0048841+0.015883i,0.0028287+0.0163i,0.00091727+0.0087075i,-0.0026054+0.0033453i,-0.0026694+0.0019134i,-0.0034788+0.00049973i,-0.0068561-0.0017166i,-0.0087199-0.0033907i,-0.0083695-0.0029715i,-0.0056806-0.00066578i,-0.0019319+0.0011722i,0.00048453+0.0014572i,0.00088044+0.00011633i,0.00042976-0.0021636i
0.0013971-0.0027796i,0.01333-0.0077023i,0.035477-0.021865i,0.047499-0.03438i,0.028866-0.020813i,-0.0020398+0.011442i,-0.017844+0.024426i,-0.025698+0.021218i,-0.026697+0.022423i,-0.016794+0.018953i,-0.0066244+0.01144i,-0.00071195+0.0088505i,0.0022246+0.0067863i,0.0037068+0.0032013i,0.0044154+0.0017471i,0.0048143+0.0023422i,0.0034703+0.0037285i,0.001213+0.0029245i,-0.00016462-0.00063474i,-0.001495-0.0028328i,-0.0024335-0.0026601i,-0.003705-0.001132i,-0.0042247+0.0010412i
-0.0038172-0.0022651i,-0.018477-0.0013426i,-0.045586+0.0022411i,-0.06232+0.0046022i,-0.039435-0.0066316i,-0.0038693-0.022058i,0.0018154-0.022773i,-0.0057442-0.018607i,-0.0098747-0.021197i,-0.015486-0.02164i,-0.015413-0.015381i,-0.0084708-0.010401i,-0.0036701-0.0075172i,-0.0015366-0.003688i,-0.00057911-0.0026598i,-0.00094509-0.0054231i,0.00092135-0.0068226i,0.00272-0.0061814i,0.0010345-0.0042944i,-0.00049231-0.0012613i,-0.00069056+0.0016981i,0.00039103+0.0030909i,0.0021858+0.0023251i
0.0084909+0.0037347i,0.022053+0.0066553i,0.047927+0.0064288i,0.059472-0.0011764i,0.030042-0.0084446i,-0.0018144-0.014048i,0.001059-0.025582i,0.0066937-0.038001i,0.0041927-0.036116i,0.0079837-0.022959i,0.0093783-0.012522i,0.0043244-0.0049041i,0.001414+0.00082206i,-0.00045309+0.003187i,-0.0032042+0.0047271i,-0.0045174+0.0057179i,-0.0051104+0.0059055i,-0.0038263+0.0050993i,-0.00078449+0.0034034i,0.0028036+0.0021416i,0.0048101+0.00073169i,0.0034994-0.0021541i,0.0009428-0.0049417i
-0.0030618-0.002979i,-0.015463-0.011984i,-0.037989-0.025094i,-0.052613-0.026098i,-0.031765-0.00471i,0.00051646+0.024098i,0.012717+0.035963i,0.020788+0.034315i,0.028371+0.024102i,0.023977+0.008781i,0.014661+0.001208i,0.010057-0.0007177i,0.005897-0.0027199i,0.0019116-0.002975i,0.0013462-0.0021207i,0.0026039-0.0016276i,0.0028894-0.0010474i,0.0012923+0.00084182i,0.00011067+0.0021431i,-0.0011036+0.0013541i,-0.002411+0.00030545i,-0.0029202+0.00055081i,-0.0026431+0.0016427i
0.0037782+0.0032016i,0.01117+0.015667i,0.027028+0.032425i,0.039448+0.035998i,0.02919+0.012748i,0.0090434-0.013942i,0.0029141-0.012299i,0.0063454-0.00064504i,0.0035744+0.003505i,-0.002735+0.0082994i,-0.0046661+0.0089231i,-0.0049436+0.0046805i,-0.0044724+0.0011914i,-0.004046-0.003212i,-0.005068-0.0059868i,-0.0067089-0.0049528i,-0.0067015-0.0029376i,-0.0059334-0.0019932i,-0.005174-0.00080837i,-0.0030687+0.0019416i,-0.00018052+0.0038583i,0.0026879+0.0033386i,0.004495+0.0012548i
-0.0020612-0.0044283i,-0.0055664-0.019983i,-0.017427-0.046472i,-0.037005-0.060886i,-0.051205-0.039659i,-0.053538-0.0066639i,-0.051148+0.0012312i,-0.049854-0.0014387i,-0.039641+0.0034189i,-0.020724+0.0022507i,-0.0070428-0.0025124i,-0.00079518-0.0025553i,0.00079741-0.0026796i,0.0020325-0.0024606i,0.0029447-0.00018845i,0.0020436+0.0019455i,0.001782+0.0026427i,0.0018915+0.0017083i,0.0019997-7.3516e-05i,0.0027646-0.0023257i,0.0020255-0.0039283i,0.00046334-0.0038381i,-0.0012337-0.0026427i
0.0024596+0.0058305i,-0.00019847+0.020625i,-0.00022627+0.045425i,0.010141+0.060992i,0.032499+0.042014i,0.046887+0.0055636i,0.043859-0.011353i,0.037223-0.01724i,0.024441-0.023617i,0.0087311-0.019812i,0.0024076-0.010955i,0.0023114-0.0068433i,0.0031377-0.0042168i,0.0040159-0.0019216i,0.0042585-0.0024491i,0.0030109-0.004613i,0.0019599-0.0051807i,0.0019334-0.004222i,0.0006617-0.0037471i,-0.0011887-0.0022226i,-0.003115-0.00019462i,-0.0035461+0.00083314i,-0.0021397+0.001716i
0.0022935-0.0039891i,0.0084571-0.018292i,0.019471-0.047974i,0.015525-0.076376i,-0.012974-0.072525i,-0.026009-0.04298i,-0.0090096-0.028045i,-0.00025112-0.029874i,-0.00080104-0.022022i,0.0039075-0.0084911i,0.0057428-0.00025401i,0.002674+0.0039295i,-0.00017016+0.0051032i,-0.0028932+0.0052232i,-0.004021+0.0049962i,-0.0038549+0.003258i,-0.003763+0.0013951i,-0.0027098+0.0012961i,-0.00067039+0.0022991i,0.0017939+0.0032712i,0.0040454+0.0027464i,0.0044347+0.0004431i,0.0034295-0.0018708i
-0.0036845+0.0050672i,-0.014795+0.015016i,-0.036644+0.037732i,-0.045401+0.064929i,-0.020768+0.076138i,0.0029453+0.069717i,0.0031755+0.062434i,0.0071494+0.056798i,0.014625+0.039232i,0.010382+0.016124i,0.0033218+0.0050927i,0.0015136+0.00238i,0.00036583+0.0002566i,-0.00068155-0.00052464i,-6.8325e-05-0.00033679i,0.0010407-0.00015414i,0.00145+0.00074389i,0.001505+0.0010925i,0.0013934-0.00031242i,0.0010165-0.001794i,0.00013741-0.002518i,-0.0011534-0.0030195i,-0.001261-0.0029133i
0.001677-0.0059109i,0.014592-0.0097413i,0.043211-0.025147i,0.061794-0.051644i,0.040544-0.067071i,0.0085277-0.060745i,-0.0031001-0.045865i,-0.0073769-0.034047i,-0.011705-0.022471i,-0.010283-0.010205i,-0.0069511-0.0057704i,-0.0060378-0.0056019i,-0.0057912-0.0050565i,-0.0053622-0.0065071i,-0.0057179-0.0070594i,-0.006084-0.0054921i,-0.0040672-0.0037363i,-0.0019806-0.002936i,-0.0019644-0.00062162i,-0.0022729+0.0028767i,-0.0018068+0.0036298i,-0.00082324+0.0030019i,-0.00017357+0.0023342i
-0.0048305-0.0022231i,-0.021915-0.0024735i,-0.057947-0.0021955i,-0.090972+0.0083729i,-0.086444+0.023395i,-0.05932+0.024161i,-0.043399+0.009315i,-0.03526-0.00015656i,-0.021252-0.00081585i,-0.0056935-0.0031547i,0.0026916-0.0050417i,0.0052316-0.0048651i,0.0052505-0.0034567i,0.004746-0.0013564i,0.0039104-0.00015419i,0.00099947+0.0010912i,-0.00075807+0.0020914i,0.00019978+0.001888i,0.0013416+0.0011889i,0.0016369+6.2952e-05i,0.0024009-0.00085988i,0.0030393-0.00049507i,0.0019338+0.0001179i
0.0049742+0.0037373i,0.021105+0.0099885i,0.05388+0.019232i,0.085611+0.017393i,0.090989-0.00063493i,0.076552-0.01443i,0.065969-0.013225i,0.059797-0.014116i,0.041355-0.017221i,0.0199-0.01023i,0.011037-0.0021383i,0.0088254-0.0013736i,0.0065313-0.0024126i,0.0046677-0.0025091i,0.0029846-0.0031601i,0.0013732-0.0034983i,0.00080358-0.0023645i,0.00048584-0.0010535i,-0.00067718-0.0014079i,-0.0016186-0.0018379i,-0.0014104-0.0016729i,-0.0010459-0.0022362i,-0.00069866-0.0028254i
-0.003613-0.0022937i,-0.014844-0.015304i,-0.040168-0.04055i,-0.071817-0.059417i,-0.084564-0.049781i,-0.066027-0.019777i,-0.038597-0.0035943i,-0.026103-0.00236i,-0.017763+0.0032148i,-0.0090927+0.0075827i,-0.0052137+0.0076332i,-0.0020649+0.0074593i,-0.0013902+0.006315i,-0.0022043+0.0054034i,-0.0014826+0.0052282i,-0.0016701+0.0032988i,-0.00206+0.00093781i,-0.0024529+0.00096974i,-0.001639+0.0016879i,-7.7973e-06+0.0013132i,0.00025499+0.00083268i,0.00015389+0.0010745i,-0.00067271+0.00089347i
0.0041341+0.0037775i,0.0088559+0.018387i,0.020399+0.048395i,0.038467+0.076918i,0.048684+0.077692i,0.036623+0.057172i,0.013635+0.044622i,0.0053896+0.038265i,0.0053178+0.020765i,-0.0009478+0.0027433i,-0.0049106-0.0022081i,-0.0041158+0.00014269i,-0.0027514+0.0018366i,-0.0020868+0.0012582i,-0.00095398+0.00011724i,0.0014212-7.5806e-05i,0.0028115+0.0003332i,0.002191+0.00036689i,0.0011121-0.00020796i,-0.00019546-0.00032684i,0.00018554-0.00018427i,0.0020718-0.00040208i,0.0027405-0.00052283i
-0.00090161-0.0060537i,-0.00032779-0.023121i,-0.00019667-0.060234i,-0.0076202-0.10069i,-0.024625-0.10827i,-0.028706-0.08284i,-0.017179-0.062668i,-0.012992-0.053831i,-0.01289-0.037119i,-0.0075231-0.020333i,-0.0036078-0.013288i,-0.0036753-0.0091738i,-0.0031995-0.0063014i,-0.0033651-0.0055146i,-0.0041898-0.0041223i,-0.0037301-0.0030589i,-0.0020289-0.0032851i,-0.00090976-0.0031602i,-0.0016577-0.0013463i,-0.0011785+0.00049651i,0.00043355+0.00023627i,-0.0006184-0.0009711i,-0.0019651-0.002004i
-0.0014555+0.0051025i,-0.0076525+0.019526i,-0.022652+0.049748i,-0.035389+0.081565i,-0.02776+0.085618i,-0.012904+0.056193i,-0.0075598+0.026751i,-0.001893+0.015168i,0.0076191+0.0078602i,0.012678+0.00036829i,0.012318-0.0020525i,0.0090086-0.0021119i,0.0054099-0.001884i,0.0042319-0.0017264i,0.0034617-0.0016282i,0.0015265-0.00018468i,-0.00021408+0.0021057i,-0.0001757+0.0034675i,0.00039467+0.0028634i,0.00019722+0.00095252i,-0.00027512-6.4068e-05i,-0.00013809+0.00052313i,0.00049421+0.0016662i
0.0026688-0.0028392i,0.014109-0.014821i,0.040696-0.039125i,0.066478-0.067211i,0.064354-0.071847i,0.048015-0.045997i,0.044594-0.01816i,0.042311-0.0083769i,0.02632-0.0065433i,0.011764-0.00063051i,0.0074509+0.0029073i,0.0060683+0.0010053i,0.0041921-0.00073905i,0.0021577-0.0017133i,0.00062753-0.0028281i,-0.00023953-0.0026976i,-0.0004214-0.0012725i,-0.00062599-0.0003537i,-0.0013057-0.00019537i,-0.0011199+0.00014685i,0.00052557+0.00049103i,0.0014045-0.00091509i,0.00094529-0.0030192i
-0.0037532+0.002229i,-0.018572+0.0060806i,-0.051898+0.014937i,-0.086689+0.026693i,-0.089487+0.032188i,-0.064911+0.0275i,-0.044804+0.018298i,-0.034575+0.01334i,-0.020923+0.013174i,-0.010042+0.010831i,-0.006591+0.0073059i,-0.0042045+0.0058396i,-0.0025258+0.0045908i,-0.0019496+0.0037513i,-0.0013379+0.0033761i,-0.0018992+0.0015904i,-0.0038342-0.00078102i,-0.0051-0.0009635i,-0.0034618+0.00048529i,-0.0005899+0.0011842i,0.00047059+0.00077398i,0.00031662+0.00048932i,-0.00047791+0.00050215i
0.0079477-0.0024584i,0.0211-0.0023583i,0.052939-0.00042954i,0.084794+0.00093209i,0.081368-0.00057646i,0.048924-0.0013893i,0.021759+0.0028497i,0.0095881+0.0040086i,0.0018928-0.0044115i,-0.0041232-0.0099024i,-0.0057511-0.0079425i,-0.0043183-0.0042243i,-0.0021105-0.0016039i,-0.0016061-0.00063342i,-0.00107+0.00017335i,9.7096e-05+0.00068018i,0.00070951+0.00015921i,0.0013292-0.0011056i,0.0018182-0.0019432i,0.001498-0.0017462i,0.00054351-0.00059978i,0.00066747-0.00019841i,0.0015881-0.00085008i
-0.0051218+0.0016237i,-0.018376-0.0061311i,-0.04714-0.024855i,-0.077546-0.045955i,-0.082365-0.048824i,-0.056659-0.03753i,-0.02539-0.036797i,-0.010381-0.038175i,-0.0049325-0.024708i,-0.00050932-0.012125i,0.00062562-0.0089297i,-0.00091366-0.0069159i,-0.0016933-0.0049509i,-0.0021813-0.0038316i,-0.0025944-0.0026015i,-0.0016253-0.0015521i,-0.00039359-0.0014662i,-0.00045811-0.0006182i,-0.0017335+0.00010453i,-0.0013624-0.00017427i,-0.00010133-2.592e-05i,-0.0016572+0.00015374i,-0.0036958-0.00038397i
