-0.0010084+0.00051344i,0.00033685+0.00037875i,-0.00090601+0.00063711i,-0.0017557+0.0018024i,-0.0014809+0.0034225i,-0.00017586+0.0045028i,0.00062059+0.0031938i,0.00039906+0.0016889i,0.00084642+0.0013498i,0.00063434-4.3682e-05i,0.00067253-0.00062086i,0.0011292-0.00029557i,0.00031052-0.00029137i,-0.00057559-0.00014097i,-0.00026539+0.0001676i,0.00017795+0.00043633i,0.00015989+5.0384e-05i,-0.00032196-0.0003354i,-0.00045623-0.00021834i,-0.0001241-0.00012147i,4.5543e-05-0.00012246i,0.00050208-0.00045396i,0.00052139-0.00050028i
0.050676+0.081454i,0.019177+0.11387i,-0.11796+0.065664i,-0.2618-0.052641i,-0.22591-0.14031i,-0.036288-0.11613i,0.079776-0.041002i,0.064774-0.0039609i,0.044462+0.00041166i,0.051489-0.0063907i,0.043554-0.010599i,0.022541-0.0062693i,0.0075976-4.3263e-05i,0.0016146+0.003205i,0.0014585+0.0057344i,0.0034989+0.00927i,0.003407+0.011194i,0.0031071+0.0096918i,0.00401+0.0063652i,0.0046379+0.0031665i,0.0051114-0.0024526i,0.0040471-0.0084712i,0.0032607-0.011152i
-0.051398-0.085972i,-0.031542-0.14271i,0.072962-0.17741i,0.14735-0.23273i,0.018908-0.33094i,-0.2239-0.3662i,-0.31024-0.27335i,-0.2153-0.15222i,-0.12499-0.068491i,-0.088015-0.010422i,-0.051599+0.0068374i,-0.019553-0.0042533i,-0.0033908-0.0096719i,0.0031257-0.0095079i,0.003103-0.013896i,0.0014871-0.020603i,0.0036762-0.023426i,0.0087849-0.020222i,0.0085391-0.015534i,0.00043858-0.0094655i,-0.0064893-0.0012295i,-0.0058071+0.0046369i,-0.0029629+0.006724i
0.049696+0.088384i,0.014835+0.15829i,-0.15636+0.21615i,-0.38727+0.28176i,-0.45481+0.33198i,-0.28088+0.28713i,-0.066303+0.17059i,0.023389+0.079698i,0.036156+0.028319i,0.037047-0.0089729i,0.022177-0.023424i,0.0022264-0.01492i,-0.0087332-0.0034786i,-0.011502+0.0032981i,-0.0096157+0.0075938i,-0.0079837+0.011581i,-0.0082688+0.012526i,-0.011768+0.007955i,-0.011751+0.0047753i,-0.0041022+0.0023706i,0.0015542-0.0031548i,-0.0020552-0.0075158i,-0.0072849-0.0097547i
-0.054172-0.08666i,-0.02326-0.15253i,0.11408-0.16718i,0.26274-0.086146i,0.25097+0.10216i,0.091156+0.28429i,-0.035732+0.29903i,-0.073692+0.18726i,-0.066472+0.10768i,-0.035096+0.08229i,-0.014448+0.051742i,-0.011318+0.024876i,-0.0039028+0.012589i,0.0022725+0.0025075i,-0.001206-0.0026336i,-0.0081148-0.0045958i,-0.011599-0.0066435i,-0.009686-0.0067792i,-0.0060364-0.0064099i,-0.0048206-0.0018114i,-0.0032463+0.0081189i,0.0023149+0.015694i,0.0075114+0.017261i
0.05621+0.093177i,0.044399+0.17399i,-0.027506+0.24748i,-0.047336+0.28615i,0.088574+0.21373i,0.25041+0.012868i,0.24944-0.13959i,0.15909-0.12807i,0.10425-0.081827i,0.05262-0.073094i,0.0089922-0.044408i,0.00046302-0.010521i,-0.0010241+0.0027489i,-0.0011132+0.0076415i,0.0056186+0.010451i,0.013215+0.015404i,0.017658+0.021258i,0.014952+0.024485i,0.010382+0.021968i,0.0088389+0.010863i,0.0062882-0.0017901i,1.1293e-05-0.0071747i,-0.0056509-0.0073837i
-0.057976-0.095871i,-0.039676-0.1979i,0.074013-0.33033i,0.2208-0.47768i,0.27545-0.51431i,0.20743-0.33405i,0.10885-0.089333i,0.039604+0.032603i,0.0029391+0.056633i,0.0042658+0.052232i,0.012721+0.03538i,0.011987+0.020425i,0.01478+0.0084866i,0.012704-0.0035237i,0.0050036-0.0080901i,0.00024138-0.0095052i,-0.00097898-0.011626i,0.0020627-0.014075i,0.0031123-0.016304i,-0.00091473-0.010487i,-9.3683e-05+0.00080112i,0.0084914+0.0047964i,0.014218+0.0032772i
0.057243+0.1002i,0.040018+0.18862i,-0.072258+0.25818i,-0.24588+0.246i,-0.39055+0.099228i,-0.43148-0.076259i,-0.32989-0.12887i,-0.15003-0.12382i,-0.049968-0.12426i,-0.044013-0.0786i,-0.026518-0.024801i,-0.003351-0.013784i,-0.0061899-0.01074i,-0.0077139-0.0018531i,-0.0019594-0.00014691i,0.0055142-0.0033542i,0.012957-0.0091043i,0.013601-0.0097173i,0.0089939-0.0035818i,0.0040603-0.0020443i,-0.0023821-0.0059283i,-0.0108-0.0082368i,-0.015238-0.0057365i
-0.057346-0.1038i,-0.071584-0.19962i,-0.065322-0.29746i,-0.10323-0.325i,-0.15587-0.19668i,-0.099261+0.0031207i,0.018214+0.087453i,0.035739+0.087837i,0.0056545+0.097843i,0.022952+0.073843i,0.028793+0.02315i,0.013449+0.0046297i,0.0099557-0.00042915i,0.0044009-0.0050946i,-0.003118-0.0015614i,-0.010189+0.00011309i,-0.019827+0.0014124i,-0.024749+0.00040637i,-0.0227-0.0044225i,-0.015937-0.0035209i,-0.0068398+0.0020876i,0.0023593+0.0035783i,0.0088436+0.0003876i
0.063362+0.10281i,0.073439+0.21763i,0.04326+0.38366i,0.017556+0.5811i,0.018889+0.67673i,0.025281+0.5465i,0.014008+0.27869i,-0.0176+0.048597i,-0.047563-0.045579i,-0.040399-0.032522i,-0.012935-0.015911i,-0.0072289-0.016092i,-0.012639-0.0028427i,-0.0070084+0.0076732i,-0.0012524+0.0048863i,-0.00023189+0.0015162i,0.00084918+0.0010911i,0.0027268+0.0054877i,0.0071225+0.011772i,0.010167+0.011755i,0.0058643+0.0078554i,-0.0026527+0.0079918i,-0.0076031+0.0107i
-0.062732-0.10426i,-0.071057-0.20485i,-0.023971-0.30958i,0.072764-0.38042i,0.18475-0.37901i,0.22034-0.32509i,0.13028-0.2241i,0.048464-0.048344i,0.069243+0.067757i,0.069493+0.037805i,0.013366+0.0043671i,-0.0023814+0.011804i,0.009866+0.0029818i,0.0086345-0.0036311i,0.0059976+0.00048593i,0.0058855+0.0051046i,0.0071282+0.014715i,0.0076897+0.018041i,0.0011296+0.01169i,-0.0059789+0.0072177i,-0.0036516+0.0052944i,0.0036055-5.9194e-05i,0.0060942-0.0072571i
0.059536+0.10642i,0.097876+0.19762i,0.15236+0.27171i,0.2476+0.26025i,0.29292+0.13571i,0.20025+0.0070175i,0.060591-0.0259i,-0.021063-0.038324i,-0.062373-0.059466i,-0.063283-0.033064i,-0.027813-0.0065449i,-0.012372-0.0074926i,-0.011068-0.00026621i,-0.004259+0.0020436i,-0.0047455-0.0047191i,-0.0069071-0.0072463i,-0.0032447-0.01115i,0.0046592-0.015135i,0.014239-0.014029i,0.018641-0.011844i,0.013163-0.0093078i,0.0045373-0.0024767i,0.0014759+0.0044678i
-0.061372-0.10975i,-0.10631-0.22114i,-0.17912-0.36572i,-0.32227-0.50447i,-0.46052-0.51339i,-0.46111-0.30402i,-0.28127-0.031583i,-0.036584+0.080358i,0.081747+0.044795i,0.055149+0.012324i,0.021185+0.022406i,0.01986+0.020363i,0.011337+0.0023423i,0.0020866-0.001127i,0.0037285+0.0035041i,0.010682+0.0040558i,0.016225-0.00025361i,0.011357-0.0055716i,-0.0029028-0.0058523i,-0.01256-0.0011455i,-0.011444+0.0032305i,-0.0062078+0.00053867i,-0.0028193-0.0060097i
0.06062+0.11348i,0.094871+0.20391i,0.11139+0.28334i,0.10316+0.3295i,0.069908+0.31931i,0.065689+0.22005i,0.072719+0.057485i,-0.011761-0.054521i,-0.097479-0.038919i,-0.0617+0.0053612i,-0.010105-0.0096357i,-0.014217-0.020356i,-0.016184-0.0022945i,-0.010228+0.0024834i,-0.013011+0.0013251i,-0.016236+0.0057726i,-0.022167+0.0092529i,-0.024542+0.009619i,-0.015384+0.0038503i,-0.0039866-0.0064445i,4.3154e-05-0.010255i,0.0010044-0.0030764i,0.0043421+0.0054526i
-0.064508-0.10944i,-0.12215-0.18159i,-0.22253-0.19052i,-0.34883-0.076053i,-0.35093+0.11921i,-0.15711+0.22728i,0.048483+0.16162i,0.12293+0.050323i,0.10872-0.00045475i,0.066734-0.010196i,0.031659-0.0047062i,0.02004+0.0034469i,0.015958+0.0068647i,0.014557+0.007941i,0.020772+0.0017861i,0.024703-0.010404i,0.021223-0.014424i,0.014651-0.0059251i,0.0061016+0.0058513i,-0.0010841+0.01487i,-0.0022963+0.016366i,-0.0019097+0.0084514i,-0.0049535+0.0001625i
0.062933+0.11214i,0.12551+0.194i,0.25113+0.253i,0.44039+0.24491i,0.51883+0.12656i,0.33143-0.058868i,0.011933-0.13349i,-0.16537-0.043274i,-0.1336+0.035888i,-0.064047+0.018152i,-0.050541-0.0036476i,-0.039005+0.0060673i,-0.013249+0.0078362i,-0.0067506+0.00052867i,-0.015969+0.0028369i,-0.019391+0.014502i,-0.012859+0.025313i,-0.0026052+0.024676i,0.0027131+0.011596i,0.00065957-0.00089906i,-0.0012206-0.0049333i,0.0017915-0.0027485i,0.0058722-0.00081984i
-0.055189-0.11374i,-0.10093-0.1846i,-0.15763-0.20884i,-0.19507-0.18175i,-0.14623-0.13912i,-0.029283-0.093424i,0.073423-0.057294i,0.12046-0.056395i,0.095728-0.064078i,0.041467-0.034162i,0.026265+0.00085676i,0.030709+0.00022757i,0.023637-0.010158i,0.018638-0.011969i,0.016411-0.018042i,0.0086684-0.029601i,0.0011957-0.037188i,0.001992-0.035764i,0.005952-0.02317i,0.0081785-0.0055096i,0.006927+0.0040745i,0.00094917+0.0044439i,-0.0051624+0.0034732i
0.051073+0.11051i,0.10802+0.15409i,0.19946+0.085581i,0.2638-0.1131i,0.16735-0.26407i,-0.046888-0.16583i,-0.13902+0.065029i,-0.085485+0.15028i,-0.053134+0.093655i,-0.050761+0.053595i,-0.027764+0.042367i,-0.010186+0.022861i,-0.011274+0.0059487i,-0.017655+0.004654i,-0.018839+0.020112i,-0.00782+0.035682i,0.0059218+0.03608i,0.0066754+0.025074i,-0.00072534+0.01215i,-0.0038169+0.0026183i,-0.0032758-0.002553i,-8.613e-05-0.0026076i,0.004227-0.00078161i
-0.049994-0.11168i,-0.11316-0.16862i,-0.24632-0.14866i,-0.41658-0.032306i,-0.44177+0.080973i,-0.24668+0.045011i,-0.049851-0.11178i,-0.00039645-0.18024i,0.0075038-0.10622i,0.041362-0.041901i,0.046309-0.040197i,0.02058-0.038165i,0.00305-0.022473i,0.0018625-0.013205i,0.0045933-0.017058i,-0.0048987-0.021681i,-0.021047-0.016878i,-0.024505-0.010206i,-0.013663-0.0063249i,-0.0023263-0.0051653i,0.00075936-0.0033591i,-0.0016429+0.0010179i,-0.0035198+0.004822i
0.042148+0.11439i,0.078402+0.16228i,0.1182+0.12866i,0.12412+0.04692i,0.076682+0.035916i,0.048391+0.11658i,0.070401+0.16884i,0.060532+0.1409i,0.014958+0.10001i,-0.0029537+0.072321i,-0.0037653+0.042871i,-0.0076672+0.026867i,-0.0062295+0.027613i,-0.0014046+0.027603i,0.0062214+0.024123i,0.022242+0.018718i,0.035199+0.010449i,0.032753+0.0067212i,0.019931+0.0083917i,0.0081764+0.0073114i,0.0036657+0.0031015i,0.0049069-0.0010505i,0.0064012-0.0052728i
-0.036736-0.11253i,-0.077617-0.13691i,-0.12846-0.020639i,-0.13207+0.20829i,-0.066853+0.31907i,-0.047586+0.18358i,-0.13369+0.018809i,-0.15423-0.0077337i,-0.050269-0.022844i,0.001076-0.072278i,-0.019046-0.06762i,-0.02056-0.032546i,-0.007821-0.01611i,-0.0014881-0.011862i,-0.0052673-0.012829i,-0.015658-0.0095995i,-0.018243-0.00082681i,-0.011228+0.0026227i,-0.0048573-0.0022231i,-0.0053616-0.004189i,-0.0066413+0.0024892i,-0.0039816+0.0078659i,-0.0007917+0.0097461i
0.035049+0.11783i,0.079222+0.15049i,0.1635+0.070438i,0.24814-0.1081i,0.26516-0.22624i,0.23589-0.16991i,0.23202-0.062437i,0.19531-0.03392i,0.083839-0.015758i,0.016415+0.034155i,0.019131+0.047459i,0.020017+0.02564i,0.015938+0.0091505i,0.013725+0.00063241i,0.008811-0.0019216i,0.0082113-0.0073601i,0.0069402-0.019853i,0.0032164-0.023405i,0.0010915-0.015782i,-0.00041702-0.0087787i,-0.0018264-0.0075721i,-0.0053781-0.010258i,-0.0085643-0.010283i
-0.02801-0.11657i,-0.044564-0.15389i,-0.046285-0.099736i,-0.010008-0.0016891i,0.026087+0.040138i,-0.0099792+0.036968i,-0.058941+0.058242i,-0.041127+0.054959i,-0.02511-0.0064985i,-0.048616-0.039903i,-0.052976-0.02333i,-0.032249-0.0087503i,-0.017222-0.0061676i,-0.007683-0.0035909i,-0.0017726+0.0014943i,0.00019294+0.011434i,0.0014705+0.022518i,0.00053085+0.021577i,-0.0021518+0.011787i,-0.00092912+0.0071761i,0.0039975+0.0072494i,0.0075971+0.0070434i,0.0081195+0.0061166i
0.017054+0.11159i,0.02832+0.1293i,0.010639+0.005152i,-0.087701-0.20737i,-0.19947-0.31614i,-0.1784-0.28361i,-0.087443-0.24674i,-0.068796-0.18814i,-0.051543-0.05509i,0.019833+0.028508i,0.049703+0.022022i,0.029519+0.0098108i,0.010901+0.0050955i,-0.0050515-0.0036753i,-0.015774-0.0061896i,-0.021352-0.0064459i,-0.025914-0.0046413i,-0.024652+0.0003811i,-0.016214+0.0056093i,-0.0068794+0.0057409i,-0.0051932+0.0028328i,-0.007209+0.0024189i,-0.0050959+0.0015392i
-0.011345-0.11664i,-0.031897-0.15044i,-0.067855-0.072228i,-0.084602+0.087917i,-0.059137+0.19833i,-0.027031+0.20451i,-0.0079952+0.17025i,0.012548+0.1252i,0.013481+0.064156i,-0.013921+0.025134i,-0.024681+0.017559i,-0.010743+0.014121i,0.00069503+0.011444i,0.0097842+0.011355i,0.021021+0.0056263i,0.031101-0.0018733i,0.039736-0.0066565i,0.039989-0.0084665i,0.027408-0.0070247i,0.014687-0.0024385i,0.011605+0.0015225i,0.011279+0.0020768i,0.0084546+0.00183i
0.0021594+0.11758i,-0.0034797+0.15794i,-0.03974+0.12293i,-0.13166+0.071581i,-0.21784+0.074018i,-0.21263+0.087563i,-0.16461+0.069193i,-0.12111+0.051424i,-0.052632+0.037804i,0.0093372+0.0067944i,0.026368-0.015462i,0.016845-0.016574i,0.0017653-0.0090501i,-0.011528+0.0017051i,-0.021825+0.013419i,-0.025879+0.023503i,-0.024507+0.027583i,-0.019774+0.023567i,-0.01362+0.015352i,-0.01154+0.0081713i,-0.013356+0.0054523i,-0.013899+0.0045718i,-0.012864+0.0028322i
0.0017169-0.11673i,0.010186-0.1432i,0.04988-0.062941i,0.16948+0.058045i,0.29582+0.084664i,0.28795+0.025458i,0.20517-0.013728i,0.15444-0.024151i,0.092186-0.036931i,0.020731-0.026184i,-0.0047894-0.0092303i,-0.0055943-0.010918i,0.0010341-0.012861i,0.016177-0.015921i,0.024737-0.025748i,0.021738-0.035503i,0.015292-0.041538i,0.0099345-0.040763i,0.008595-0.031382i,0.010618-0.022808i,0.011089-0.01943i,0.008442-0.01491i,0.0052301-0.0073033i
-0.0038337+0.1166i,-0.0033643+0.15149i,0.0082838+0.10461i,-0.0050775+0.021883i,-0.044311-0.0032819i,-0.04696+0.028325i,-0.021883+0.047651i,-0.024485+0.037876i,-0.027395+0.029671i,-0.009781+0.021939i,-0.0054104+0.0097659i,-0.010755+0.0086477i,-0.010919+0.013423i,-0.012523+0.017855i,-0.012467+0.026675i,-0.003671+0.035022i,0.0035094+0.040061i,0.0053038+0.042677i,0.0046055+0.036925i,0.0010845+0.027561i,-0.00099049+0.023695i,0.0016232+0.020445i,0.0064799+0.011321i
0.020055-0.11205i,0.036632-0.164i,0.055288-0.18044i,0.087721-0.21401i,0.09829-0.26435i,0.0404-0.24241i,-0.0048155-0.15246i,0.012572-0.090999i,0.018842-0.068845i,-0.00168-0.042901i,-0.009038-0.015831i,-0.0042846-0.0012055i,-0.00026038+0.00026312i,9.004e-05-0.0094524i,-0.0047007-0.02074i,-0.014551-0.027965i,-0.022147-0.031004i,-0.021634-0.029976i,-0.017016-0.025439i,-0.012615-0.017681i,-0.0088921-0.010907i,-0.0058199-0.0050176i,-0.0050772+0.0021074i
-0.025875+0.11551i,-0.043893+0.14755i,-0.073871+0.11482i,-0.14852+0.077059i,-0.2109+0.097599i,-0.14488+0.1184i,-0.04205+0.073544i,-0.036199+0.031687i,-0.045111+0.046881i,-0.0050261+0.054823i,0.02038+0.033658i,0.019337+0.021179i,0.017109+0.018034i,0.012478+0.018688i,0.010722+0.021733i,0.017477+0.017016i,0.026992+0.008827i,0.027784+0.0013804i,0.016064-0.0019968i,0.0051977+0.00014656i,0.0033411+0.0015911i,0.0029276-0.0024898i,0.00014483-0.0090957i
0.035623-0.11365i,0.032082-0.15699i,-0.015018-0.15382i,-0.082846-0.12913i,-0.11698-0.10436i,-0.10536-0.071285i,-0.058251-0.045453i,-0.011754-0.04657i,-0.011868-0.053597i,-0.036862-0.041289i,-0.03688-0.027665i,-0.023193-0.027033i,-0.014006-0.020753i,-0.0060534-0.010252i,-0.0049973-0.004873i,-0.013472+0.0039962i,-0.02369+0.011042i,-0.026508+0.0098297i,-0.017188+0.0047681i,-0.0050175-0.0013295i,0.00045776-0.0036567i,0.0010267-0.00056449i,0.0018149+0.0051835i
-0.037933+0.11134i,-0.048233+0.15978i,-0.026951+0.19546i,0.017428+0.24908i,0.056394+0.26595i,0.050683+0.17917i,-0.024625+0.082537i,-0.07686+0.085459i,-0.024561+0.099623i,0.035593+0.049314i,0.030917+0.0059134i,0.014611-0.0027868i,0.0093752-0.0087008i,0.0054959-0.01415i,0.0036357-0.016332i,0.0037608-0.01824i,0.0041441-0.016284i,0.004147-0.0070474i,0.0052478+0.0068537i,0.0062335+0.012227i,0.0033873+0.0080479i,-0.00064825+0.0057932i,0.0014011+0.0040577i
0.043552-0.10599i,0.053898-0.13865i,0.035556-0.13174i,0.014057-0.12034i,0.0087698-0.11027i,0.010364-0.078213i,0.038543-0.038477i,0.071744-0.047314i,0.04658-0.061735i,-0.0038069-0.023819i,-0.021586+0.012707i,-0.021276+0.018261i,-0.015746+0.014713i,-0.0031432+0.0095649i,0.0076255+0.0078646i,0.015366+0.014834i,0.021778+0.025123i,0.021434+0.028044i,0.01279+0.019158i,0.0035254+0.0095644i,-0.00030261+0.0064715i,0.00088671+0.0054094i,-0.00021382+0.0047034i
-0.05174+0.10287i,-0.046834+0.13512i,0.025914+0.12131i,0.1323+0.077983i,0.17478+0.041239i,0.11896+0.052579i,0.058689+0.10625i,0.056066+0.13021i,0.05496+0.082697i,0.031662+0.027443i,0.019357+0.0078812i,0.014007+0.0052037i,0.00082923+0.0056778i,-0.015204+0.00513i,-0.026438+0.0025613i,-0.029489-0.004094i,-0.026189-0.015236i,-0.020786-0.022226i,-0.015294-0.021151i,-0.014465-0.015042i,-0.015888-0.0078222i,-0.012386-0.0056489i,-0.0078058-0.0074036i
0.060343-0.092636i,0.06224-0.13754i,-0.0033252-0.16456i,-0.12782-0.19015i,-0.21938-0.1861i,-0.18183-0.16365i,-0.088713-0.19283i,-0.076919-0.22725i,-0.10172-0.16082i,-0.061962-0.057024i,-0.0050395-0.015955i,0.011278-0.0082569i,0.012187+0.0025319i,0.015422+0.0082599i,0.021698+0.0063807i,0.029507-0.0011207i,0.034081-0.01023i,0.036536-0.019669i,0.033532-0.025407i,0.026126-0.021283i,0.021514-0.0153i,0.017001-0.013477i,0.0097416-0.010466i
-0.067893+0.091755i,-0.076076+0.11663i,-0.040203+0.087028i,0.0064664+0.030206i,0.030945-0.0028093i,0.034726+0.016556i,0.034423+0.049084i,0.035712+0.058727i,0.040902+0.057045i,0.033674+0.037193i,0.0090255+0.007447i,-0.0045885-0.0056733i,-0.0015863-0.0071595i,-0.0054887-0.0066773i,-0.01951+0.00074699i,-0.030703+0.016945i,-0.036087+0.033834i,-0.034294+0.043379i,-0.022914+0.042873i,-0.010226+0.033977i,-0.0069374+0.026191i,-0.010363+0.026031i,-0.0098079+0.027964i
0.077437-0.087147i,0.070992-0.11276i,-0.01688-0.073453i,-0.14506+0.028999i,-0.21762+0.11918i,-0.2113+0.11664i,-0.20023+0.078001i,-0.18668+0.079107i,-0.11934+0.071596i,-0.051513+0.022788i,-0.026943-0.010217i,-0.0089429-0.011733i,0.0094934-0.011432i,0.022185-0.011092i,0.029529-0.012454i,0.025489-0.021222i,0.015095-0.030435i,0.0013889-0.031235i,-0.010313-0.022091i,-0.0092384-0.014046i,-0.0021126-0.011585i,0.0020124-0.0080074i,0.0045791-0.0065473i
-0.083886+0.077622i,-0.089216+0.10936i,-0.027666+0.099269i,0.069138+0.058265i,0.1431+0.015253i,0.15928+0.0066652i,0.156+0.034206i,0.15657+0.036564i,0.12266+0.0041479i,0.062845-0.0020121i,0.018571+0.018346i,-0.0042414+0.026441i,-0.016263+0.020463i,-0.022726+0.017552i,-0.019738+0.019812i,-0.0028172+0.019412i,0.015284+0.01923i,0.022982+0.018564i,0.017002+0.012844i,0.0021811+0.0086258i,-0.0049679+0.0127i,-0.00030736+0.015592i,0.004457+0.01077i
0.082635-0.069121i,0.10086-0.089978i,0.070734-0.048436i,0.044361+0.038607i,0.03926+0.1076i,0.042453+0.10874i,0.061812+0.066594i,0.077803+0.038726i,0.044795+0.02327i,-0.0033118+0.014101i,-0.0095815+0.005208i,-0.0039104-0.0086003i,-0.0062327-0.010464i,0.0017506-0.0085925i,0.010368-0.013614i,0.0021011-0.019313i,-0.013725-0.025464i,-0.019383-0.029379i,-0.010888-0.027039i,-0.00094218-0.02323i,0.0025252-0.023187i,0.0058961-0.024166i,0.0089663-0.022637i
-0.09476+0.057441i,-0.10916+0.073651i,-0.060647+0.014332i,-0.016585-0.11964i,-0.026521-0.23037i,-0.042285-0.24122i,-0.045385-0.20972i,-0.065732-0.18795i,-0.065582-0.12519i,-0.01627-0.047606i,0.023611-0.010812i,0.024576+0.0037836i,0.014761+0.0099958i,0.0025877+0.0043889i,-0.011305-0.00083466i,-0.01231+0.0033091i,0.0015106+0.010991i,0.016777+0.016747i,0.02063+0.020817i,0.015607+0.022064i,0.0089236+0.018575i,0.00039663+0.012584i,-0.0079052+0.0097462i
0.099005-0.05118i,0.11919-0.082237i,0.077036-0.086495i,0.030706-0.063397i,0.024025-0.026831i,0.023059-0.00075877i,0.018338-0.017731i,0.027406-0.046198i,0.038588-0.038734i,0.028103-0.012847i,0.0060306-0.0024959i,-0.00083281-0.0025713i,0.0075112-0.004875i,0.015257-0.010088i,0.014861-0.007244i,0.0045792+0.0084138i,-0.013624+0.029068i,-0.025088+0.038962i,-0.020884+0.026076i,-0.013362+0.006344i,-0.009045-0.0024005i,-0.0076841-0.0021908i,-0.0071202+0.00022822i
-0.10305+0.044968i,-0.13976+0.065532i,-0.15357+0.058347i,-0.21835+0.03108i,-0.30766+0.02369i,-0.31013+0.049841i,-0.26526+0.10466i,-0.23484+0.15085i,-0.17648+0.14018i,-0.091886+0.071545i,-0.041973+0.0048326i,-0.024404-0.014057i,-0.013265-0.0054604i,-0.013103+0.011574i,-0.01464+0.023285i,-0.0028537+0.012387i,0.014621-0.012207i,0.020728-0.030335i,0.012852-0.028562i,0.0045969-0.012192i,0.0035373+0.0023884i,0.0076039+0.0074709i,0.010504+0.0038897i
0.10484-0.032004i,0.13564-0.049172i,0.10813-0.041371i,0.094386+0.0029596i,0.12804+0.042955i,0.12847+0.035686i,0.09465-0.00039697i,0.069816-0.034464i,0.035495-0.059164i,-0.004016-0.047969i,-0.010823-0.0093928i,-0.0014728+0.0060176i,-0.0084893+0.00070632i,-0.014-0.0011553i,0.0010957-0.0013774i,0.021768-0.0038596i,0.035781-0.0064925i,0.038018-0.0062232i,0.027176-0.006832i,0.010953-0.0091367i,-0.00292-0.0060522i,-0.010364+0.0045375i,-0.0094243+0.013874i
-0.10829+0.025224i,-0.14289+0.051378i,-0.12688+0.10413i,-0.11745+0.17553i,-0.13822+0.22567i,-0.092975+0.22747i,0.0076878+0.20575i,0.075956+0.19167i,0.10364+0.16243i,0.087052+0.098866i,0.033404+0.039852i,-0.0049992+0.017329i,-0.0039541+0.010141i,0.0065562-0.0016435i,-0.00053252-0.012785i,-0.020437-0.016812i,-0.041455-0.018574i,-0.053111-0.01406i,-0.043763-0.00016969i,-0.0219+0.0070417i,-0.0044441+0.0011145i,0.0035671-0.0094978i,0.0047973-0.018382i
0.10678-0.017527i,0.15184-0.04072i,0.17177-0.11362i,0.21766-0.22375i,0.26573-0.29498i,0.22417-0.28392i,0.16261-0.23256i,0.14-0.20885i,0.07838-0.16903i,0.016656-0.066118i,0.028784+0.0077883i,0.048964+0.012793i,0.037759+0.010865i,0.029067+0.0097176i,0.020419-0.0027768i,0.005868-0.0065518i,0.0012628+0.0011222i,0.0053067+0.0027926i,0.0056036-0.0016927i,0.001816+0.0016363i,-0.0018164+0.0091086i,-0.0030816+0.014508i,-0.0017108+0.017968i
-0.10922-0.00030667i,-0.14523+0.0085287i,-0.1382+0.050991i,-0.11964+0.10347i,-0.098479+0.12526i,-0.057107+0.11692i,-0.034944+0.066602i,-0.045559+0.012864i,-0.03098-0.012488i,-0.0067901-0.033505i,-0.023459-0.035158i,-0.039126-0.0072234i,-0.026859+0.010613i,-0.019666+0.013023i,-0.014853+0.020357i,-0.0039632+0.030526i,-0.00012281+0.040897i,-0.0011729+0.044345i,0.0016902+0.029639i,0.0022476+0.0086814i,-0.00024601+0.0015942i,0.0038288+0.0026663i,0.0061186+0.00028673i
0.10567+0.012216i,0.13254-0.010281i,0.095882-0.10561i,-0.0024367-0.23802i,-0.11754-0.29481i,-0.185-0.26058i,-0.20273-0.20871i,-0.219-0.16208i,-0.20207-0.076594i,-0.10684-0.0081767i,-0.01735-0.02095i,0.0060404-0.04737i,0.0059172-0.043671i,0.0022996-0.028203i,-0.0026205-0.0076467i,0.008069+0.0015935i,0.027462-0.012078i,0.036678-0.025012i,0.033395-0.01932i,0.026938-0.0081488i,0.020369-0.0030492i,0.01381-0.0011012i,0.010188-0.00037354i
-0.10708-0.020769i,-0.15432-0.0042417i,-0.19559+0.079143i,-0.22985+0.20697i,-0.2038+0.28416i,-0.11514+0.29385i,-0.058417+0.2826i,-0.050057+0.26515i,-0.036683+0.19191i,-0.034947+0.085465i,-0.039684+0.04042i,-0.021936+0.034346i,-0.0067621+0.019742i,-0.0010627+0.0067742i,0.0077257-0.011914i,0.0098145-0.029486i,0.0039585-0.027853i,-0.0033592-0.015818i,-0.012744-0.0056249i,-0.01989+0.00041549i,-0.018677+0.0018973i,-0.0171-0.0020261i,-0.017198-0.0046971i
0.10477+0.030975i,0.13664+0.031282i,0.13665-0.0045929i,0.092766-0.03634i,-0.0028361-0.018338i,-0.042673-0.00048929i,0.03079-0.0051025i,0.11961-0.017931i,0.13815-0.03224i,0.095766-0.020977i,0.050172-7.8428e-05i,0.029812+0.0008286i,0.021587-0.013808i,0.012384-0.022157i,-0.0005561-0.012033i,-0.013314+0.00061167i,-0.020639+0.00096446i,-0.019655-0.0088403i,-0.011547-0.018344i,-0.0010279-0.021893i,0.0076895-0.022864i,0.012496-0.022244i,0.012687-0.019177i
-0.093794-0.034592i,-0.1185-0.031942i,-0.10339+0.01793i,-0.030367+0.069213i,0.10224+0.055892i,0.17951+0.01072i,0.1885+0.0030554i,0.20619+0.013703i,0.18958+0.018195i,0.11515+0.029748i,0.050727+0.031665i,0.013058+0.022812i,-0.010426+0.035523i,-0.01134+0.045577i,-0.0015899+0.026232i,0.0013749+0.0089455i,0.0016299+0.01206i,0.0045738+0.020879i,0.0075175+0.023137i,0.0042799+0.022402i,-0.004259+0.0285i,-0.0080369+0.035685i,-0.0098376+0.034083i
