-0.0020103+0.0018809i,-0.0020644+0.0012153i,-0.001588+0.001773i,-0.00022589+0.0020113i,0.0004721+0.0020373i,0.00081346+0.00046753i,0.00096982+2.5716e-05i,0.00056801+0.00014501i,0.00067722+0.00012484i,0.00052287+0.00088607i,0.00048837+0.00080947i,0.00084979+0.00032242i,0.00091416-9.7525e-05i,0.00060927+0.00019106i,0.00016188+0.00024044i,0.0001213+0.00023817i,-0.00049126+0.00048618i,-0.00047875-0.0004182i,0.00033132-0.00061091i,0.00045413-0.00039543i,-0.00034373-0.00028232i,-0.0011911-0.00031327i,-0.00022036-3.7671e-05i
-0.0020465-0.035935i,0.028136-0.053403i,0.092542-0.051092i,0.13572-0.050648i,0.11227-0.075954i,0.042625-0.076433i,0.0030707-0.041104i,0.016526-0.030001i,0.026783-0.044216i,0.011758-0.039406i,0.0014808-0.017012i,0.0063041-0.0034103i,0.014074-0.0016522i,0.019551-0.0013431i,0.018149+2.313e-05i,0.0096924+0.0015692i,0.0036194+0.0023844i,0.0029806+0.0006209i,0.0021849-0.0021856i,-0.0011669-0.0030181i,-0.0048316-0.002187i,-0.0058337-0.0032137i,-0.0055956-0.0066276i
0.027812+0.03501i,0.021473+0.071356i,-0.021357+0.10559i,-0.046335+0.11705i,-0.0088901+0.10051i,0.041284+0.047882i,0.042975-0.0014997i,0.015428+0.003758i,0.0014693+0.025482i,-0.0026462+0.021907i,-0.0077656+0.012533i,-0.0094128+0.013616i,-0.0096002+0.017723i,-0.011468+0.017525i,-0.010317+0.011468i,-0.006845+0.0047436i,-0.006428+0.0013669i,-0.0063944+0.00053644i,-0.0033174+0.0010068i,0.0017441+0.00057277i,0.0046313+8.9655e-05i,0.0053745+0.0027338i,0.0094267+0.0069487i
-0.048952-0.018032i,-0.075188-0.053738i,-0.064674-0.10614i,-0.056958-0.11925i,-0.085746-0.070692i,-0.095717-0.0048371i,-0.065715+0.02672i,-0.050677+0.010601i,-0.055628-0.0053994i,-0.041256+0.0028079i,-0.015361+0.0067379i,-0.0021566-0.0030642i,0.0022142-0.013575i,0.0056129-0.020978i,0.006068-0.020436i,0.005654-0.011957i,0.005877-0.0057405i,0.0041428-0.004449i,0.0013981-0.0024147i,-0.00040503+0.002394i,-0.0015815+0.0048526i,-0.004037+0.0023391i,-0.0094163+0.00014893i
0.06621-0.006609i,0.11788+0.009006i,0.13344+0.051668i,0.11587+0.059077i,0.099556-0.00044669i,0.060583-0.053078i,0.014198-0.056924i,0.017796-0.034027i,0.041767-0.016976i,0.038791-0.009989i,0.024735-0.0042862i,0.018438+0.001764i,0.015408+0.010163i,0.010579+0.019686i,0.0043653+0.020871i,0.0024434+0.012872i,0.0024022+0.006058i,0.0017994+0.0051132i,0.0034213+0.0034019i,0.0026943-0.0022581i,0.0019671-0.0067405i,0.0059356-0.0086416i,0.010578-0.011762i
-0.064862+0.044684i,-0.1258+0.06762i,-0.1475+0.050239i,-0.10321+0.040552i,-0.037388+0.085909i,0.026677+0.11118i,0.063359+0.088351i,0.046268+0.063727i,0.016838+0.051931i,0.0073787+0.033635i,0.0015186+0.011717i,-0.0074763+0.001455i,-0.01324-0.0051267i,-0.0149-0.01199i,-0.012967-0.011861i,-0.0096426-0.0054901i,-0.0065049-0.00019309i,-0.0029451+0.0018657i,-0.00047474+0.0020021i,0.00080256+0.0024743i,0.0016366+0.0028762i,-0.00042699+0.0044995i,-0.0045286+0.010821i
0.038375-0.069036i,0.091088-0.12528i,0.11622-0.12585i,0.06346-0.089983i,-0.02542-0.084519i,-0.083924-0.065645i,-0.090866-0.025767i,-0.062346-0.022213i,-0.038662-0.043085i,-0.02954-0.041793i,-0.017271-0.026423i,-0.0026857-0.019098i,0.0076361-0.013037i,0.015171-0.0026669i,0.01778+0.0025593i,0.011714+0.0014286i,0.0049718+0.00011949i,0.0014544-0.0009558i,-0.0018919-0.001252i,-0.0056687-0.00067865i,-0.0071042-0.0011929i,-0.005585-0.0040432i,-0.0039937-0.0087846i
-0.00025148+0.097355i,-0.021699+0.17601i,-0.033427+0.17921i,0.0077763+0.093167i,0.073813+0.016296i,0.10212-0.034452i,0.09168-0.067366i,0.07276-0.057117i,0.057127-0.02455i,0.038783-0.0042194i,0.020203+0.0057606i,0.007238+0.01113i,-0.0072468+0.0096377i,-0.020325+0.004998i,-0.020642+0.0014159i,-0.010549+0.001603i,-0.001588+0.0024834i,0.00030687+0.00015666i,-0.00053294-0.0021747i,0.0010183-0.0029803i,0.0025264-0.0014886i,0.005396+0.003048i,0.012137+0.0079468i
-0.039404-0.093341i,-0.057149-0.17886i,-0.052735-0.18524i,-0.046255-0.068659i,-0.055625+0.056292i,-0.049965+0.11434i,-0.02767+0.1247i,-0.025055+0.10607i,-0.032947+0.073339i,-0.028172+0.04368i,-0.018337+0.021017i,-0.0099685+0.0078762i,0.0041814+0.0034187i,0.018111-0.0023045i,0.01938-0.0071717i,0.0089454-0.0082833i,0.00012859-0.0079592i,-0.0016031-0.0050912i,0.0005454-0.0012667i,0.0022475+0.0014333i,0.00077411+0.001613i,-0.0043049-0.0013436i,-0.012562-0.0036026i
0.083998+0.069397i,0.13999+0.14483i,0.13306+0.15836i,0.058123+0.054679i,-0.0066332-0.067698i,-0.044115-0.1152i,-0.073611-0.10664i,-0.068077-0.080047i,-0.033396-0.055237i,-0.0052473-0.038569i,0.0076894-0.024474i,0.01093-0.0095334i,0.006933+0.005696i,0.00097274+0.018405i,-0.0013497+0.022244i,0.0018442+0.015392i,0.0044271+0.0055348i,0.0040868+0.00081544i,0.0032658+0.0006054i,0.0014411+8.2955e-05i,0.00098479-0.0012183i,0.004679-0.0029683i,0.010076-0.0056961i
-0.11957-0.028908i,-0.20525-0.071059i,-0.19501-0.090993i,-0.062399-0.047755i,0.069001+0.010809i,0.12497+0.030929i,0.14517+0.024808i,0.13103+0.016404i,0.085722+0.01915i,0.041826+0.024877i,0.013597+0.020281i,0.0014193+0.0072318i,0.00033-0.011925i,0.0010958-0.026626i,-0.0011566-0.024475i,-0.0048184-0.009823i,-0.0056674+0.0039161i,-0.0049106+0.007927i,-0.0038364+0.0058801i,-0.0030755+0.0043397i,-0.0033762+0.004534i,-0.0050882+0.0069177i,-0.0066841+0.013008i
0.12976-0.02174i,0.2317-0.022086i,0.23825+0.0094307i,0.094432+0.052519i,-0.06667+0.078989i,-0.1257+0.088029i,-0.12298+0.089058i,-0.099015+0.077208i,-0.06826+0.04435i,-0.044902+0.013753i,-0.026122-0.00021868i,-0.012848-0.0038925i,-0.0079886+0.0041088i,-0.0044191+0.015972i,0.0012503+0.016406i,0.0033934+0.0062939i,0.0014713-0.0022756i,-0.00080719-0.0047564i,-0.003224-0.0042839i,-0.0039869-0.00054537i,-0.0025872+0.00084688i,-0.00063482-0.0044712i,-0.00041756-0.011906i
-0.12005+0.088306i,-0.21976+0.14076i,-0.24285+0.10772i,-0.13596-0.0089639i,-0.0078481-0.10519i,0.033812-0.13463i,0.025099-0.14129i,0.007804-0.13864i,-0.00011499-0.097545i,0.010664-0.043854i,0.018092-0.012894i,0.0098399-0.0036409i,-0.006589-0.0059078i,-0.019434-0.010048i,-0.021375-0.0098671i,-0.012404-0.0051897i,-0.0012985-0.0013149i,0.003617-0.00039537i,0.0036464-0.0011737i,0.0018624-0.0039008i,0.00013058-0.002544i,0.0029178+0.0030615i,0.0087594+0.0076658i
0.080457-0.12171i,0.16179-0.21834i,0.2103-0.20382i,0.18666-0.062835i,0.13645+0.071019i,0.11389+0.1176i,0.10627+0.11946i,0.092156+0.10785i,0.060367+0.070214i,0.020365+0.032893i,0.0003711+0.014273i,0.0033982+0.0068586i,0.021301+0.0071523i,0.038037+0.006826i,0.035884+0.00057545i,0.019776-0.003531i,0.0048001-0.0023058i,-0.0015537-0.0012101i,-0.0024661-0.0024851i,-0.00061009-0.0043648i,0.00048759-0.0063058i,-0.0038749-0.0071692i,-0.010947-0.0051184i
-0.02146+0.15355i,-0.055718+0.28589i,-0.10646+0.30108i,-0.1562+0.16145i,-0.17195+0.017175i,-0.16598-0.038285i,-0.1598-0.031713i,-0.13708-0.0058798i,-0.082975+0.0078258i,-0.032776-0.0048618i,-0.012306-0.015158i,-0.0074936-0.0093838i,-0.011513-0.0024436i,-0.018833+0.0019985i,-0.017067+0.0079011i,-0.0080861+0.0097107i,-0.0022776+0.0046917i,0.00018387+0.00095974i,0.0017806+0.0024693i,0.0022042+0.0043096i,0.0027981+0.003795i,0.0042961+0.001292i,0.0084738-0.0025325i
-0.041604-0.16339i,-0.069893-0.31161i,-0.039909-0.35154i,0.04515-0.24542i,0.10011-0.13587i,0.11455-0.088444i,0.12456-0.08349i,0.11253-0.091221i,0.070017-0.0688i,0.034352-0.022338i,0.01671+0.0023253i,0.0051185-0.00015365i,0.0025608-0.012822i,0.0041252-0.023833i,0.0013472-0.023459i,-7.5165e-05-0.014008i,0.0020936-0.00415i,0.00081341+0.0023848i,-0.003067+0.0059854i,-0.003359+0.0078792i,-0.0037022+0.0069549i,-0.0056192+0.0057344i,-0.0073069+0.0079827i
0.093339+0.14481i,0.1752+0.28035i,0.18638+0.33619i,0.1027+0.28586i,0.01499+0.22704i,-0.0251+0.1863i,-0.030704+0.1599i,-0.0072499+0.13816i,0.013064+0.085572i,0.0047363+0.030263i,-0.0055791+0.010316i,-0.0049982+0.008879i,-0.007076+0.014669i,-0.0070936+0.025385i,-0.00028144+0.026338i,0.0038097+0.017198i,0.0017589+0.0082735i,0.0019124+0.0021143i,0.0044358-0.0017307i,0.0051898-0.0012114i,0.0061339+0.00039115i,0.0063952-0.0014787i,0.0037656-0.0056287i
-0.14591-0.092159i,-0.27423-0.17663i,-0.31861-0.2195i,-0.22621-0.20014i,-0.10646-0.16914i,-0.053097-0.13719i,-0.057125-0.11355i,-0.081749-0.09193i,-0.075071-0.046249i,-0.029757-0.014569i,0.0022948-0.010346i,0.0082089-0.0070387i,0.0075134-0.0064363i,0.0036027-0.010074i,-0.0041801-0.011352i,-0.0096492-0.0099473i,-0.0068849-0.0083192i,-0.0026561-0.0058893i,-0.001074-0.0026434i,-0.002299-0.0027049i,-0.0049444-0.0017452i,-0.0031619+0.0026517i,0.002067+0.0071122i
0.18957+0.024415i,0.3546+0.050305i,0.4149+0.060033i,0.30965+0.046734i,0.17378+0.041834i,0.11987+0.041691i,0.11921+0.031568i,0.10943+0.012886i,0.061216-0.0032657i,0.0093919+0.0068722i,-0.0049942+0.017706i,-0.0025165+0.012248i,0.001685+0.0099081i,0.013485+0.0070434i,0.020619+1.3955e-05i,0.016846-0.0014121i,0.0088837+0.0012128i,0.0020946-0.00080393i,-0.0038923-0.0066915i,-0.0061925-0.0086358i,-0.0036851-0.0086065i,-0.0018618-0.0086564i,-0.0014994-0.0079314i
-0.19596+0.028937i,-0.35839+0.062026i,-0.41435+0.090511i,-0.31578+0.092424i,-0.18595+0.061604i,-0.12517+0.033208i,-0.10593+0.04326i,-0.074179+0.066678i,-0.025299+0.055714i,-0.00090018+0.014191i,-0.004061-0.0089086i,-0.0025597-0.010039i,0.00079368-0.011372i,-0.0064628-0.0086588i,-0.01362+0.0013489i,-0.012862+0.0078925i,-0.0098008+0.0064396i,-0.0078988+0.0051927i,-0.0040683+0.0069253i,-0.00028894+0.0077206i,9.1497e-05+0.008113i,0.00037375+0.0068198i,0.001866+0.0054058i
0.15137-0.096469i,0.27269-0.19195i,0.31658-0.23975i,0.24372-0.18907i,0.13948-0.096575i,0.087027-0.047333i,0.059976-0.064718i,0.0204-0.086554i,-0.0066402-0.058644i,0.0047429-0.014934i,0.018726+0.0016186i,0.013316+0.0057322i,0.0085904+0.0087225i,0.0054776+0.0031498i,0.00032119-0.0067825i,0.00092075-0.011373i,0.004996-0.010122i,0.0056057-0.0068318i,0.0024924-0.0018072i,0.0011358+0.00075332i,2.0602e-05-0.0025618i,-0.0038563-0.0067261i,-0.00792-0.0068127i
-0.11099+0.18093i,-0.19249+0.33512i,-0.2035+0.38217i,-0.12498+0.26679i,-0.043473+0.11935i,-0.012883+0.053831i,0.0091864+0.054359i,0.038396+0.044484i,0.031259+0.0013409i,-0.0093626-0.02225i,-0.027864-0.014241i,-0.02098-0.013995i,-0.016244-0.019081i,-0.0094887-0.010071i,0.0020805+0.0033726i,0.0069212+0.0087804i,0.0049096+0.009272i,0.0066842+0.0088322i,0.010965+0.0042988i,0.010496-0.00021843i,0.010196-0.00072372i,0.011139-0.00025024i,0.010382+0.00094319i
0.07905-0.19618i,0.11873-0.36036i,0.087327-0.40617i,0.010672-0.28762i,-0.019711-0.14659i,-0.013284-0.078195i,-0.030998-0.046944i,-0.048377-0.0079297i,-0.024111+0.021533i,0.010951+0.01063i,0.018611-0.008323i,0.012651-0.0029866i,0.010248+0.0085107i,0.0075924+0.009533i,0.0017309+0.0041099i,-0.0050117+0.00057799i,-0.0065288+0.00014157i,-0.0080246+0.00084236i,-0.0091161+0.0031518i,-0.0076002+0.0018435i,-0.009445+9.9682e-05i,-0.010817+0.0029695i,-0.0092126+0.0040794i
0.0087598+0.18581i,0.052348+0.33838i,0.112+0.38212i,0.11255+0.27883i,0.037928+0.15918i,-0.014715+0.092939i,0.0060216+0.044651i,0.022872+0.0058776i,0.0034443+0.0068841i,-0.0066646+0.037624i,-0.0023603+0.045431i,-0.0092998+0.030142i,-0.018412+0.018389i,-0.013869+0.0073733i,-0.0022349-0.002047i,0.0059354-0.0013423i,0.0070292+0.0019327i,0.0038713-0.00065038i,-0.0036862-0.0046658i,-0.0081258-0.001699i,-0.002465+0.0017333i,0.0054329-0.0014663i,0.0089589-0.0067836i
-0.10712-0.1872i,-0.22019-0.33231i,-0.26962-0.34782i,-0.19091-0.21302i,-0.060869-0.088847i,-0.00013333-0.038948i,-0.0008476-0.006148i,0.011116+0.014047i,0.024843-0.0019478i,0.011913-0.027661i,-0.00064905-0.031053i,0.0090901-0.022683i,0.023225-0.017342i,0.022749-0.010522i,0.010758-0.0019386i,0.0026255+0.0029581i,0.00038739+0.00052574i,-0.0019862-0.0020057i,-0.0013629+7.6042e-05i,0.0011489+0.0018161i,0.0011756+0.0048018i,-0.00013372+0.0090033i,-0.0019407+0.011864i
0.13082+0.189i,0.25377+0.30036i,0.31474+0.25496i,0.25477+0.079667i,0.14778-0.022428i,0.086437-0.0090028i,0.05181-0.00051741i,0.0074651-0.010751i,-0.0085282+0.001183i,0.010915+0.0092175i,0.022689+0.0037048i,0.016245+0.00048764i,0.0044348+0.00056679i,-0.0039976+0.0023494i,-0.0053368+0.0017987i,-0.004828-0.0025621i,-0.0045613-0.0049351i,-0.0010308-0.0057448i,0.0030754-0.0057608i,0.0054867-0.0055405i,0.0062336-0.0092355i,0.001261-0.013431i,-0.0043248-0.013387i
-0.13891-0.090103i,-0.27265-0.1132i,-0.33985-0.043766i,-0.27761+0.056027i,-0.16669+0.059258i,-0.090059+1.0715e-05i,-0.045326-0.016022i,-0.021118-0.0059499i,-0.025335-0.0065555i,-0.041427-0.0014657i,-0.038764+0.0044306i,-0.025737-0.00069237i,-0.016247-0.0060905i,-0.0089878-0.0064163i,-0.00402-0.0042356i,-0.0013364-0.0025586i,-0.0014119-2.6045e-05i,-0.0016706+0.0040892i,0.00060821+0.0039894i,-0.00031479+0.001217i,-0.0024128+0.0027692i,0.0013761+0.0079947i,0.0077728+0.01023i
0.21401+0.0020215i,0.38669-0.026992i,0.40124-0.077993i,0.22597-0.083958i,0.067177-0.01992i,0.024825+0.018875i,0.021283+0.0083221i,0.018589+0.0047532i,0.024943+0.0027682i,0.02614-0.0097389i,0.015205-0.014124i,0.0020378-0.0032318i,-0.0050535+0.010573i,-0.0040243+0.012569i,-0.0021416+0.0065505i,-0.0022956+0.0078432i,-0.00020484+0.011253i,-0.00037952+0.0091024i,-0.0019145+0.0078213i,-0.00075631+0.0055161i,-0.0034941+0.0012184i,-0.0073043-0.00034248i,-0.0077171+0.0010157i
-0.24772-0.011009i,-0.39879+0.022184i,-0.33543+0.080264i,-0.074912+0.092708i,0.093403+0.049466i,0.067235+0.03031i,0.015039+0.036595i,0.012381+0.025993i,0.017556+0.018405i,0.021974+0.024299i,0.021817+0.022888i,0.01641+0.011829i,0.015231-0.0026625i,0.010913-0.0092344i,0.0042014-0.0041801i,0.0029969-0.0025976i,0.0024952-0.0058934i,-0.001418-0.0055348i,-0.0057462+0.00028999i,-0.0040502+0.0083621i,0.0056701+0.010193i,0.011233+0.0035971i,0.0091629-0.0033174i
0.14409-0.034891i,0.21142-0.10322i,0.14885-0.15712i,-0.0059642-0.13334i,-0.075874-0.060726i,-0.030422-0.02528i,-0.0016237-0.030158i,-0.014539-0.025813i,-0.024025-0.011396i,-0.025799-0.0032471i,-0.0215+0.0035783i,-0.0088829+0.0084319i,0.0024019+0.0062042i,0.0079222+0.00087524i,0.010588-0.0027655i,0.012887-0.002847i,0.013885-0.0031492i,0.0098644-0.0074524i,0.003274-0.013018i,-0.002274-0.013904i,-0.0071742-0.009756i,-0.0095688-0.0048984i,-0.0085863-0.0003296i
-0.12349+0.18448i,-0.18033+0.3359i,-0.15618+0.3451i,-0.11035+0.16501i,-0.1261-0.018017i,-0.12796-0.048514i,-0.062889-0.0079262i,-0.013596-0.001181i,-0.0061406-0.014409i,-0.0085317-0.021387i,-0.0047971-0.021578i,-0.00062369-0.022894i,-0.0037386-0.018999i,-0.0016256-0.005253i,0.0034608+0.0018614i,-0.0021675+0.0015631i,-0.0083558+0.0046866i,-0.0030751+0.0092285i,0.0058478+0.008125i,0.0082087+0.00078642i,0.0055978-0.0049451i,0.0037739-0.0051814i,0.0038993-0.0036095i
0.18707-0.2007i,0.281-0.34102i,0.26478-0.30404i,0.20263-0.070478i,0.18261+0.10834i,0.13338+0.089616i,0.045356+0.030344i,0.010957+0.027616i,0.01969+0.026372i,0.020822+0.018502i,0.015594+0.010137i,0.006526+0.0046233i,-0.0011109+0.010746i,-0.0076623+0.012506i,-0.015716+0.006282i,-0.014539+0.0022455i,-0.0070507-0.00023667i,-0.0067219-0.0033689i,-0.010317-0.0017677i,-0.010303+0.0053184i,-0.0067965+0.010818i,-0.0015659+0.011784i,0.0027348+0.0076066i
-0.088217+0.12485i,-0.10446+0.20168i,-0.061001+0.16454i,-0.019043+0.047713i,-0.013197+0.010129i,0.00067378+0.049659i,0.026743+0.044865i,0.017259+0.0080607i,-0.0096458+0.0041166i,-0.013973+0.013485i,-0.014444+0.0078619i,-0.020216+0.00065931i,-0.017767-0.0052992i,-0.0094647-0.012124i,-0.001891-0.011056i,0.0024153-0.0035408i,0.0030171+0.0012536i,0.0055224+0.0007227i,0.0096857-0.0027697i,0.01059-0.0066019i,0.0074249-0.0083601i,0.0041024-0.0079676i,0.0025442-0.0043155i
-0.075588-0.20347i,-0.17892-0.32961i,-0.22865-0.33827i,-0.16272-0.29228i,-0.05812-0.29361i,-0.0040053-0.24618i,0.0090734-0.12603i,0.019022-0.048617i,0.022737-0.028462i,0.021176-0.025515i,0.016524-0.018494i,0.01464-0.0058654i,0.016517+0.00065506i,0.013727+0.0061869i,0.013872+0.0098222i,0.01358+0.0029019i,0.0050511-0.0030144i,-0.0026123+0.0020148i,-0.0044602+0.0089967i,-0.00041132+0.0090477i,0.0031756+0.003724i,-0.0012075-0.00039311i,-0.0073804+0.0010603i
0.042414+0.30258i,0.10615+0.50109i,0.12488+0.5236i,0.055343+0.41799i,-0.01452+0.3314i,0.0039345+0.22142i,0.025566+0.085002i,0.005452+0.025945i,0.0096996+0.019873i,0.018864+0.011059i,0.018439+0.011555i,0.025272+0.010736i,0.023817-0.00098411i,0.014161-0.0093628i,0.004379-0.010978i,-0.0035465-0.007485i,-0.0040513-0.0031513i,-0.0024689-0.0054676i,-0.0084407-0.010393i,-0.016821-0.0067892i,-0.015653+0.00018508i,-0.0065216+0.00093798i,-4.6141e-05-0.0016821i
-0.0028382-0.17529i,-0.012236-0.25753i,-0.00042093-0.18488i,0.024684-0.0074727i,0.0054633+0.096217i,-0.058433+0.088476i,-0.078243+0.051641i,-0.045811+0.022298i,-0.033221-0.0049621i,-0.042903-0.0098689i,-0.037133+0.00040483i,-0.019738+0.0046171i,-0.0048371+0.010967i,0.0047148+0.016599i,0.0058366+0.015906i,0.0059108+0.01411i,0.0089162+0.0093679i,0.0088074+0.0047967i,0.0081325+0.0025126i,0.0064011+0.00079824i,0.0027233+0.0053339i,0.0043261+0.0121i,0.0067126+0.0098197i
0.19244+0.080546i,0.32932+0.05603i,0.36187-0.093725i,0.30185-0.27049i,0.24272-0.31462i,0.16577-0.20932i,0.080855-0.073857i,0.033699-0.013145i,0.0028959-0.0058988i,-0.0098371+0.0020335i,-0.0066837-0.0026342i,-0.019235-0.020104i,-0.038263-0.024824i,-0.044617-0.015318i,-0.037896+0.0013428i,-0.023225+0.0099462i,-0.012908+0.0063001i,-0.011007+0.0025356i,-0.0076555+0.004221i,0.00016076+0.0061365i,0.0054208+0.0026427i,0.0044247-0.0040869i,0.0019444-0.0073269i
-0.27696-0.18543i,-0.49248-0.26378i,-0.53789-0.22172i,-0.40541-0.12897i,-0.27199-0.084563i,-0.1715-0.036373i,-0.071174+0.014001i,-0.0086787+0.028315i,0.012008+0.03937i,0.022178+0.045437i,0.023317+0.034479i,0.023265+0.026426i,0.033119+0.01841i,0.038957-0.00043632i,0.033379-0.023159i,0.020225-0.035111i,0.0084271-0.031615i,0.0055095-0.022145i,0.0048237-0.017094i,0.0027483-0.015728i,0.0012468-0.012338i,-0.00052247-0.0062043i,-0.0016896+0.0024558i
0.15314+0.16112i,0.23203+0.28772i,0.1315+0.34631i,-0.10861+0.34729i,-0.23315+0.32312i,-0.148+0.20544i,-0.038773+0.04495i,-0.017256-0.02141i,-0.0061609-0.019502i,0.0096531-0.031258i,0.0021136-0.036426i,-0.010626-0.017022i,-0.018143+0.0086529i,-0.0087611+0.026142i,0.010197+0.024097i,0.014029+0.018625i,0.010152+0.023068i,0.010572+0.026262i,0.011124+0.020881i,0.0075896+0.010599i,0.0015095+0.003143i,-0.0030655-0.0016001i,-0.0046081-0.0044607i
-0.20087+0.065788i,-0.24799+0.12983i,-0.073218+0.16742i,0.22135+0.14541i,0.3481+0.084966i,0.25+0.04427i,0.10709+0.03239i,0.043818+0.0052692i,0.03088-0.034536i,0.021506-0.04278i,0.019703-0.030085i,0.022956-0.028423i,0.020084-0.034793i,0.0058339-0.035508i,-0.014338-0.019784i,-0.021907-0.0012814i,-0.019793+0.0025096i,-0.01908+0.002146i,-0.017654+0.0047471i,-0.014194+0.0060321i,-0.0080405+0.0064457i,0.00042483+0.0074416i,0.0061134+0.0043828i
0.35814-0.085158i,0.59612-0.21373i,0.63062-0.29942i,0.50013-0.28926i,0.403-0.23899i,0.28644-0.19375i,0.11994-0.1082i,0.028005+0.0014829i,0.0036991+0.055437i,-0.015467+0.063838i,-0.024045+0.061937i,-0.016642+0.052549i,-0.0049152+0.04129i,0.0033724+0.029418i,0.0095896+0.018033i,0.019782+0.010288i,0.028537+0.00088685i,0.02328-0.010466i,0.010898-0.013545i,0.0064461-0.0093986i,0.0056182-0.0055255i,7.4664e-05-0.0034651i,-0.0069754-0.0022025i
-0.28782+0.044576i,-0.5415+0.062857i,-0.66865-0.0086897i,-0.6457-0.12977i,-0.5837-0.14369i,-0.41044-0.022402i,-0.15271+0.048318i,-0.024144+0.011843i,-0.021606-0.0010577i,-0.016435+0.015234i,-0.0027783+0.011467i,0.0016876-0.0041117i,-0.004095-0.021001i,-0.020887-0.019405i,-0.026564-0.0017005i,-0.021887+0.0066918i,-0.02015+0.0062983i,-0.014861+0.0063845i,-0.0072503+0.0052525i,-0.0054247+0.0053498i,-0.0022854+0.0079691i,0.0056896+0.0069703i,0.010821+0.0036254i
0.13768-0.20526i,0.19302-0.29954i,0.12644-0.20458i,-0.024315+0.014251i,-0.11526+0.11075i,-0.12619+0.049046i,-0.10413-0.023356i,-0.054628-0.046865i,-0.010174-0.056694i,-0.001596-0.059011i,0.00086827-0.05043i,0.010737-0.040536i,0.018858-0.030352i,0.024588-0.027084i,0.018056-0.031804i,0.0033488-0.02987i,-0.0036935-0.021758i,-0.0070415-0.015691i,-0.01023-0.01002i,-0.0089805-0.0054654i,-0.0070258-0.0039511i,-0.0071627-0.00067847i,-0.0026717+0.0048147i
-0.15622+0.3673i,-0.1676+0.69275i,-0.022511+0.82385i,0.21793+0.68139i,0.37422+0.47392i,0.35204+0.2866i,0.19503+0.12736i,0.043257+0.05358i,-0.0096963+0.018419i,-0.0080197-0.020101i,-0.0089736-0.031049i,-0.0191-0.0080285i,-0.022872+0.028946i,-0.0055839+0.046827i,0.016547+0.034032i,0.019648+0.015742i,0.0092855+0.010716i,0.008188+0.013132i,0.015835+0.011174i,0.017618+0.0047359i,0.015645-0.0018939i,0.011349-0.0085279i,0.0010609-0.013459i
0.10643-0.33319i,0.1781-0.64614i,0.1968-0.79355i,0.13372-0.65828i,0.020868-0.43664i,-0.088961-0.23887i,-0.099342-0.045711i,-0.015227+0.058721i,0.03318+0.074079i,0.029251+0.078214i,0.013991+0.071408i,-0.0021796+0.051495i,-0.0069919+0.028738i,-0.010945+0.0069379i,-0.013084+6.5841e-05i,-0.0028017-2.8178e-05i,0.0061648-0.0040043i,0.0056122-0.0020758i,0.0029182+0.0041329i,-0.00085817+0.0043555i,-0.0075635+0.0039368i,-0.0095153+0.0076934i,-0.0059262+0.0079857i
0.080526+0.30177i,0.15658+0.46012i,0.16144+0.36211i,0.045713+0.030374i,-0.076001-0.19424i,-0.040648-0.18321i,0.074265-0.12714i,0.098135-0.098413i,0.057703-0.044664i,0.037925+0.0052862i,0.042424+0.014626i,0.054885+0.0010367i,0.057505-0.015387i,0.040652-0.02231i,0.012738-0.015032i,-0.0064436+0.00057425i,-0.0048776+0.010203i,0.0019531+0.0029857i,-0.00019163-0.0099744i,-0.0046329-0.013235i,-0.0042615-0.0094865i,-0.0011713-0.00476i,0.0028406+0.0031983i
-0.20605-0.29903i,-0.49557-0.43535i,-0.68659-0.30481i,-0.54574+0.041758i,-0.22013+0.27963i,-0.028129+0.26906i,-0.013707+0.139i,-0.042847+0.015544i,-0.051001-0.049722i,-0.039716-0.051943i,-0.022294-0.031423i,-0.020973-0.029278i,-0.038966-0.029557i,-0.042383-0.013205i,-0.02082+0.0017875i,-0.0010729+0.0012561i,0.0011069-0.0067386i,-0.0082476-0.004485i,-0.013614+0.0073733i,-0.0045504+0.016306i,0.009217+0.016689i,0.014684+0.0087148i,0.012831-0.0019677i
0.264+0.22805i,0.55702+0.3623i,0.68746+0.36001i,0.48247+0.24829i,0.19524+0.13946i,0.060239+0.039119i,-0.02494-0.029543i,-0.098341+0.0050219i,-0.086528+0.039607i,-0.059696-0.0053787i,-0.067524-0.039658i,-0.05867-0.026047i,-0.023061-0.0035747i,0.0047234+0.0087444i,0.012816+0.013939i,0.012696+0.015503i,0.009143+0.012731i,0.00049952+0.0047542i,-0.0081634-0.0028274i,-0.014044-0.0026399i,-0.016173+0.00086925i,-0.013693+0.0010825i,-0.0097094-0.0044537i
-0.29606-0.12706i,-0.50131-0.1001i,-0.44594+0.014519i,-0.15016+0.03203i,0.019243-0.083313i,-0.022112-0.078967i,0.0038396+0.074263i,0.11361+0.12116i,0.13036+0.070367i,0.088526+0.051612i,0.059475+0.048617i,0.031622+0.055161i,0.01446+0.062953i,0.0076346+0.041128i,-0.0049036+0.0052999i,-0.021448-0.014232i,-0.024503-0.010562i,-0.003954+0.00053585i,0.020185+0.0005923i,0.022951-0.010061i,0.0084601-0.01442i,-0.0051693-0.0037984i,-0.011139+0.0084378i
