-0.0013873-4.5492e-05i,-0.0017262+0.00045286i,8.5397e-05+0.00051245i,-0.00030778+0.00043905i,-0.0010855+0.00062873i,-0.0015757+0.0016915i,-0.0017105+0.0022884i,-0.00061326+0.0017973i,0.00033632+0.0010068i,0.00067256-9.3945e-05i,0.00092213-0.00061526i,0.00061704-0.00058122i,0.00040455-0.00091217i,0.00055462-0.0012916i,0.00057345-0.00062612i,0.00043386-0.00029147i,0.00039479+0.00012678i,3.3389e-05-0.00035829i,-0.00064659-0.00079455i,3.8375e-05-0.00021176i,0.00047284-0.00061139i,-8.8299e-06-0.00073056i,-6.9186e-05+5.6886e-05i
-0.02244+0.0042074i,-0.046629+0.03627i,-0.031693+0.13157i,0.076133+0.26834i,0.21123+0.33426i,0.24676+0.26008i,0.20188+0.12485i,0.17992+0.028252i,0.15962-0.012006i,0.095391-0.007352i,0.032501+0.0062758i,-0.00064873-0.00040561i,-0.013234-0.011038i,-0.0050449-0.012753i,0.007409-0.013777i,0.0083166-0.013017i,-0.00019603-0.0087902i,-0.0072103-0.005374i,-0.0085267-0.0074479i,-0.0096597-0.010477i,-0.010672-0.0056503i,-0.0090758+0.0036017i,-0.0045527+0.0066741i
0.010962-0.014893i,0.0064599-0.050851i,-0.070406-0.098172i,-0.24374-0.095124i,-0.38319-0.016907i,-0.33657+0.063874i,-0.16349+0.10254i,-0.028889+0.12671i,0.01668+0.12142i,0.0027314+0.072905i,-0.016589+0.030274i,-0.0068899+0.014246i,0.0057185+0.011363i,0.0044469+0.019437i,0.0047033+0.024468i,0.0056984+0.016001i,0.0046677+0.0020353i,-2.7262e-05-0.0077201i,-0.0030765-0.0064544i,0.001157-0.0024457i,0.0048968-0.006283i,0.0031023-0.012416i,0.0003929-0.012729i
0.0022461+0.017343i,0.029598+0.039626i,0.11096+0.017005i,0.21986-0.10871i,0.2481-0.2631i,0.15067-0.28225i,0.0064614-0.15987i,-0.091246-0.035243i,-0.10453+0.012754i,-0.054887-0.0043655i,-0.010696-0.027057i,0.0013026-0.016094i,0.0027686-0.0033089i,-0.006086-0.0080762i,-0.016233-0.0068146i,-0.011606+0.0021532i,-0.00015573+0.008734i,0.0072486+0.013886i,0.0065116+0.016266i,0.0028489+0.017745i,0.0042718+0.018237i,0.0077743+0.011587i,0.0071925+0.0036398i
-0.017468-0.016354i,-0.051045-0.012553i,-0.089105+0.060592i,-0.060743+0.22697i,0.049131+0.35236i,0.12394+0.28341i,0.0727+0.085957i,-0.031993-0.059606i,-0.071005-0.082827i,-0.029402-0.031965i,0.017945+0.0024333i,0.01837-0.005295i,0.0068913-0.014231i,0.014249-0.017609i,0.015674-0.022294i,0.0048242-0.017028i,-0.0052986-0.0030607i,-0.0088993+0.0022538i,-0.0074668-0.0058394i,-0.0080319-0.011512i,-0.0097493-0.0064862i,-0.0091403+0.0044339i,-0.0064022+0.010724i
0.020365+0.00087648i,0.039512-0.021435i,0.012707-0.087239i,-0.13009-0.16209i,-0.30263-0.15038i,-0.29586-0.054143i,-0.099603-0.0027678i,0.071884-0.047697i,0.09647-0.092005i,0.029496-0.060997i,-0.015845-0.0047859i,-0.0092057+0.01233i,-0.0038639+0.012968i,-0.0057045+0.025863i,0.0023698+0.028819i,0.008894+0.013732i,0.0081022-0.0059466i,0.0015856-0.016036i,-0.0012537-0.011656i,0.0060744-0.0075131i,0.01108-0.010198i,0.0063958-0.012723i,-9.3396e-05-0.01067i
-0.015271+0.0085171i,-0.015959+0.039317i,0.045064+0.065662i,0.18852+0.017007i,0.2885-0.11473i,0.22758-0.17542i,0.1188-0.065074i,0.11671+0.084634i,0.15234+0.11355i,0.11161+0.038439i,0.036273-0.01344i,0.00092743-0.0058779i,-0.0058428+0.0017178i,-0.016557-0.0028694i,-0.021411+0.00019932i,-0.012565+0.0068428i,-0.0016054+0.010661i,0.0022502+0.010228i,-0.005102+0.010956i,-0.012823+0.017362i,-0.008427+0.020439i,0.0020807+0.013607i,0.0096863+0.0030876i
-0.00031404-0.02162i,-0.01839-0.040493i,-0.072075-0.011578i,-0.11494+0.12592i,-0.062911+0.28352i,0.022094+0.28019i,-0.020487+0.14608i,-0.15297+0.086412i,-0.18481+0.12644i,-0.089289+0.12214i,-0.008439+0.055616i,0.0049349+0.0078711i,0.010112-0.0081945i,0.020467-0.020682i,0.014934-0.024974i,0.0011076-0.01584i,-0.0095459-0.0036939i,-0.011523+0.0030824i,-0.0080818-0.0021234i,-0.009354-0.0091586i,-0.014236-0.005956i,-0.014197+0.0029361i,-0.0095769+0.010527i
0.014622+0.016949i,0.037884+0.020955i,0.050569-0.02646i,-0.023983-0.13813i,-0.17878-0.19847i,-0.24733-0.13539i,-0.16628-0.088737i,-0.11276-0.16089i,-0.15067-0.2117i,-0.14313-0.13241i,-0.066836-0.035657i,-0.0098694-0.0065546i,0.0034523+0.0021739i,0.0069211+0.015471i,0.012006+0.0132i,0.01223-0.0011869i,0.0079959-0.013628i,0.0048998-0.015975i,0.0091918-0.0095435i,0.017514-0.0069839i,0.019363-0.0085929i,0.012104-0.009125i,0.0019759-0.0066961i
-0.018666-0.0075012i,-0.039699+0.0062339i,-0.022259+0.046309i,0.093681+0.070323i,0.22816-0.00088962i,0.23199-0.09842i,0.17708-0.090689i,0.22331-0.047882i,0.27265-0.077334i,0.19016-0.10128i,0.076336-0.058798i,0.024488-0.016279i,-0.0016959-0.0046658i,-0.018957+0.0020115i,-0.015519+0.0086571i,-0.0022593+0.012144i,0.0080694+0.011658i,0.007577+0.0057541i,-0.0047002+0.0025885i,-0.013018+0.0074121i,-0.0067685+0.011397i,0.0042817+0.0086163i,0.010017+0.0032176i
0.021388-0.0086552i,0.029033-0.032348i,-0.004423-0.042483i,-0.079944+0.03634i,-0.091204+0.19092i,-0.01036+0.2521i,0.036126+0.18562i,0.033416+0.17922i,0.062125+0.23219i,0.077291+0.18254i,0.033279+0.075557i,-0.0023739+0.02214i,-0.00071261+0.0013872i,0.0045513-0.010266i,0.0010118-0.0081791i,-0.0087441-0.00034735i,-0.017738+0.0094648i,-0.018357+0.013527i,-0.014735+0.0066118i,-0.015144-0.0038237i,-0.017659-0.0088659i,-0.016496-0.0068239i,-0.012581-0.00094286i
-0.0036097+0.021091i,0.0037608+0.044105i,0.027696+0.031181i,0.017607-0.065889i,-0.082533-0.16809i,-0.18313-0.14204i,-0.19396-0.042951i,-0.21612-0.0092542i,-0.26019-0.0082718i,-0.20317+0.0084526i,-0.091624+0.0056143i,-0.030128+0.0024993i,0.00050599+0.014179i,0.016802+0.013457i,0.014806+0.0020049i,0.0095853-0.01236i,0.0030433-0.025652i,-0.00067499-0.024961i,0.0038149-0.014182i,0.0094186-0.0048733i,0.010294+0.0002403i,0.0064402+0.0024204i,0.002443+0.0028237i
-0.0092126-0.013612i,-0.029726-0.026209i,-0.041814-0.0042926i,0.016662+0.046813i,0.13712+0.034066i,0.17728-0.063231i,0.096808-0.12815i,0.0277-0.14335i,0.0054731-0.16631i,-0.00019424-0.13587i,0.016467-0.057384i,0.02217-0.022677i,-0.00056347-0.014384i,-0.012096-0.0015062i,-0.0021855+0.0045185i,0.012698+0.0058035i,0.024487+0.0052324i,0.02353+0.0010537i,0.012041-9.0034e-05i,0.0056429+0.0049847i,0.0063636+0.0094174i,0.0071111+0.0096217i,0.0045351+0.0068629i
0.011685+0.008748i,0.038538+0.0088614i,0.039613-0.0008729i,-0.018229+0.029756i,-0.070725+0.13854i,-0.022582+0.19929i,0.083919+0.10673i,0.15622+0.0010745i,0.18089-0.0079642i,0.13727+0.0085827i,0.062905+0.0095291i,0.028009+0.0022504i,0.011419-0.013488i,-0.0057427-0.012535i,-0.013127+0.003616i,-0.019821+0.018468i,-0.025668+0.030103i,-0.024401+0.03003i,-0.019055+0.017283i,-0.012424+0.0034458i,-0.0040024-0.0053937i,0.0027504-0.010636i,0.0037728-0.013028i
-0.02782+0.0010914i,-0.047322+0.020354i,-0.043557+0.035046i,-0.018441-0.013846i,-0.043248-0.10738i,-0.10838-0.10591i,-0.10869+0.017673i,-0.042902+0.10719i,0.0056331+0.10299i,0.01099+0.055541i,-0.0091055+0.015268i,-0.020339+0.017925i,-0.0016824+0.029391i,0.013614+0.018104i,0.008404+0.00072984i,-0.00039638-0.015888i,-0.011301-0.028709i,-0.019124-0.029649i,-0.018336-0.019131i,-0.014597-0.0063956i,-0.011303-0.00015645i,-0.0079434+0.0032046i,-0.0035895+0.0075182i
0.013862-0.015101i,0.018235-0.042168i,0.0045505-0.055632i,0.010974-0.027008i,0.081484-0.0074517i,0.12571-0.0402i,0.041124-0.044709i,-0.084231+0.022556i,-0.13032+0.06623i,-0.092145+0.047791i,-0.033312+0.01668i,-0.013882-0.0038139i,-0.01724-0.002272i,-0.0081674+0.0038893i,0.0081761+0.0025073i,0.024606-0.0013422i,0.037878-0.010967i,0.035735-0.016237i,0.021569-0.013497i,0.0069662-0.0081078i,-0.0043807+0.00010328i,-0.01017+0.0075837i,-0.0099476+0.0093373i
-0.0044986+0.015913i,0.0091438+0.044259i,0.023367+0.063882i,-0.0019852+0.081102i,-0.061465+0.13433i,-0.058669+0.1561i,0.0094149+0.04315i,0.021702-0.10141i,-0.028711-0.12149i,-0.042285-0.053294i,-0.0056865-0.0033621i,0.02466-0.0054967i,0.015626-0.025992i,-0.0087741-0.02492i,-0.01883-0.0065871i,-0.019801+0.015288i,-0.017347+0.033333i,-0.009582+0.034006i,-0.0019825+0.018901i,0.002853+0.0064924i,0.0090967+0.0018356i,0.016132-0.0020754i,0.018265-0.0068507i
-0.012591-0.013559i,-0.039426-0.024054i,-0.059114-0.018523i,-0.042304-0.02386i,-0.02546-0.070617i,-0.053781-0.090557i,-0.058522-0.045918i,0.014047-0.042311i,0.081348-0.094427i,0.068279-0.093942i,0.019418-0.039552i,-0.0018947+0.0049674i,0.0055848+0.020768i,0.014323+0.014475i,0.0083434-0.0014007i,-0.0082122-0.012372i,-0.022509-0.013928i,-0.029298-0.010066i,-0.025817-0.0024486i,-0.01292+0.0046625i,-0.0017278+0.0040338i,0.00097831+0.0003641i,-0.0034136+0.0032856i
0.02177+0.0038648i,0.048662-0.0071332i,0.065867-0.036001i,0.070227-0.053885i,0.10068-0.045493i,0.13326-0.036897i,0.095818+0.0058946i,0.049122+0.098374i,0.061269+0.12836i,0.06319+0.059721i,0.024324-0.0012171i,-0.0070598-0.0099128i,-0.015131+0.0019468i,-0.0093067+0.013701i,0.0056132+0.014632i,0.018507-5.9012e-05i,0.0201-0.019045i,0.012656-0.027332i,0.0013646-0.023256i,-0.011144-0.015804i,-0.01861-0.0084558i,-0.019486-0.0019704i,-0.013344-0.0015662i
-0.018567+0.01306i,-0.036978+0.039054i,-0.043595+0.081977i,-0.05663+0.1141i,-0.095938+0.12846i,-0.092803+0.12664i,-0.022818+0.077222i,0.0090469+0.038572i,-0.016223+0.075361i,-0.014594+0.095165i,0.011027+0.052167i,0.017208+0.0084296i,0.0067574-0.018746i,-0.010808-0.030954i,-0.020135-0.019843i,-0.011205-0.000656i,0.0053856+0.01212i,0.016221+0.011356i,0.015567-0.00093711i,0.011353-0.0087346i,0.0089326-0.0084021i,0.0082499-0.0043393i,0.011148+0.002087i
0.01099-0.014516i,0.00813-0.046425i,-0.011559-0.068059i,-0.028837-0.057008i,-0.030554-0.038326i,-0.061927-0.044049i,-0.11906-0.064751i,-0.1555-0.097474i,-0.16074-0.10756i,-0.12267-0.055775i,-0.061191-0.0042542i,-0.023395+0.0083097i,-0.00031499+0.013381i,0.021441+0.01088i,0.022824+0.00036644i,0.0067084+8.9699e-05i,-0.0088725+0.0092159i,-0.012289+0.020176i,-0.0028705+0.026378i,0.0085775+0.024813i,0.015752+0.019212i,0.016304+0.011687i,0.0045344+0.0059024i
0.0044368+0.020764i,0.028156+0.041653i,0.072836+0.045173i,0.1192+0.012926i,0.15196-0.026344i,0.16366-0.036829i,0.12344-0.023454i,0.05312-0.02859i,0.017364-0.079353i,0.0007506-0.10874i,-0.010315-0.068488i,-0.0071454-0.022956i,-0.013665+0.0022853i,-0.019014+0.025968i,-0.0097192+0.029384i,-0.0035663+0.0094382i,-0.0076627-0.010546i,-0.018518-0.018355i,-0.027538-0.013703i,-0.029424-0.0061558i,-0.026721-0.0019577i,-0.020996+0.00028714i,-0.011183-0.0011974i
-0.014729-0.0012721i,-0.048406-0.0038605i,-0.088775+0.014912i,-0.11772+0.042276i,-0.11849+0.050255i,-0.070139+0.05393i,0.050511+0.063416i,0.19938+0.062437i,0.2651+0.05691i,0.20859+0.033502i,0.1049+0.0059329i,0.038152-0.0068805i,0.0060481-0.030183i,-0.022305-0.049001i,-0.029475-0.040889i,-0.013269-0.02298i,0.0043001-0.015389i,0.011324-0.021816i,0.0077932-0.031335i,0.0064581-0.03063i,0.007229-0.025282i,0.0051322-0.02087i,0.005962-0.010817i
0.015876+0.0017475i,0.041225-0.015034i,0.048979-0.037878i,0.013812-0.033273i,-0.050507+0.0049978i,-0.11432+0.014893i,-0.15684-0.012919i,-0.16681+0.003658i,-0.13145+0.079531i,-0.060492+0.11341i,-0.0090118+0.061486i,0.0020786+0.014676i,0.019189+0.011083i,0.046133+0.0057413i,0.046389-0.0038789i,0.024259-0.0014943i,0.0075609+0.0097628i,0.010391+0.020257i,0.022065+0.023957i,0.024707+0.023427i,0.02221+0.023593i,0.020089+0.021697i,0.010847+0.01654i
-0.016578+0.022268i,-0.021458+0.055321i,0.0056061+0.093987i,0.072866+0.095067i,0.14229+0.050203i,0.14949+0.00477i,0.051287-0.00021726i,-0.11266+0.0075352i,-0.2267-0.0051174i,-0.20427-0.009058i,-0.10069+0.0094915i,-0.032613+0.01657i,-0.022992+0.026284i,-0.0243+0.046287i,-0.014697+0.047136i,-0.0025072+0.029184i,-0.00063865+0.012329i,-0.011074+0.011379i,-0.021237+0.019304i,-0.025576+0.015822i,-0.027632+0.0044819i,-0.027133-0.00049644i,-0.021914-0.0025197i
0.0034777-0.02396i,-0.013039-0.054643i,-0.05139-0.08322i,-0.078303-0.086784i,-0.048772-0.06827i,0.026094-0.030763i,0.11371-0.0048559i,0.1952-0.042518i,0.20223-0.12021i,0.11162-0.13406i,0.020852-0.07153i,-0.0089686-0.028551i,-0.020129-0.036912i,-0.036847-0.048853i,-0.038918-0.038571i,-0.026065-0.016795i,-0.015669-0.0066985i,-0.017222-0.017485i,-0.024112-0.02994i,-0.018081-0.028264i,-0.00055172-0.019989i,0.012311-0.017693i,0.016101-0.017307i
0.0059942+0.016697i,0.033545+0.035235i,0.05589+0.039453i,0.016309+0.037443i,-0.094844+0.055037i,-0.1793+0.045596i,-0.14508-0.018698i,-0.028941-0.068967i,0.079404-0.060442i,0.11146-0.037234i,0.073367-0.033951i,0.039035-0.028317i,0.039161-0.018715i,0.050019-0.018955i,0.045518-0.026162i,0.019999-0.031088i,0.00055669-0.028552i,0.0063513-0.025334i,0.019626-0.021715i,0.021158-0.0057909i,0.015108+0.014303i,0.010715+0.024835i,0.0075574+0.026442i
-0.014653-0.0012369i,-0.047539+0.0089139i,-0.068466+0.050066i,-0.038095+0.093698i,0.029114+0.083883i,0.061649+0.037862i,0.0034311+0.04027i,-0.092754+0.12299i,-0.12238+0.19251i,-0.069777+0.16728i,-0.011948+0.094603i,0.0021952+0.050237i,-0.0015317+0.042911i,-0.00095193+0.046695i,0.0085881+0.04419i,0.024668+0.028452i,0.030682+0.015441i,0.025173+0.023059i,0.017793+0.035247i,0.0082276+0.025969i,-0.0031541+0.0043838i,-0.011601-0.0089962i,-0.015329-0.0115i
0.022196-0.0066312i,0.044604-0.03422i,0.061998-0.085599i,0.081222-0.11781i,0.1384-0.094834i,0.19675-0.038389i,0.18373+0.012111i,0.10967+0.031659i,0.034055+0.025387i,-0.013136+0.011814i,-0.026599+0.0026938i,-0.026084-0.0052209i,-0.031101-0.010269i,-0.039924-0.0074489i,-0.045188+0.0082662i,-0.036519+0.031185i,-0.026835+0.039222i,-0.039198+0.027792i,-0.056091+0.010983i,-0.048227+0.00061687i,-0.021535-0.0013258i,0.0029543+2.9653e-05i,0.015391-0.002874i
-0.0088215+0.019168i,-0.013395+0.054022i,-0.0090537+0.088717i,-0.041106+0.084234i,-0.14842+0.04939i,-0.22527+0.018903i,-0.17521-0.042542i,-0.085215-0.15871i,-0.055382-0.2315i,-0.050624-0.18168i,-0.022886-0.089708i,0.0026798-0.047745i,0.0058027-0.040941i,0.0054921-0.041151i,0.0039044-0.049921i,-0.01178-0.056017i,-0.027577-0.054715i,-0.025608-0.060027i,-0.015071-0.062769i,-0.010109-0.041337i,-0.010026-0.010016i,-0.010543+0.0090555i,-0.0066583+0.01735i
0.0022403-0.016672i,-0.021085-0.040593i,-0.070806-0.046898i,-0.1122-0.0091951i,-0.10183+0.030217i,-0.079686+0.016667i,-0.078968-0.0043612i,-0.064546+0.017144i,-0.01536+0.035508i,0.01569+0.01754i,0.00030377+0.0064223i,-0.0054077+0.014006i,0.013027+0.0095197i,0.029421+4.5557e-05i,0.043966-0.0048028i,0.054229-0.014675i,0.058818-0.020484i,0.066354-0.012877i,0.06934+0.00080964i,0.053829+0.0062646i,0.029655-0.00033783i,0.011542-0.0082706i,-0.0020305-0.0066454i
0.014852+0.014425i,0.05217+0.025982i,0.11564+0.024269i,0.18778+0.015317i,0.25702+0.022723i,0.30198+0.038114i,0.27798+0.06033i,0.22979+0.10977i,0.21329+0.14419i,0.1772+0.10608i,0.10351+0.036873i,0.034478+0.0047875i,-0.0045002+0.013187i,-0.018629+0.035417i,-0.019738+0.054176i,-0.0099618+0.06457i,-0.0018683+0.066284i,-0.010011+0.06465i,-0.022626+0.055582i,-0.023393+0.033979i,-0.013535+0.016395i,-0.0015375+0.0099706i,0.0050061+2.1781e-05i
-0.022128+0.0019106i,-0.056575+0.012963i,-0.090702+0.038481i,-0.10864+0.03996i,-0.12489+0.0037887i,-0.13531-0.0041485i,-0.10938+0.013687i,-0.091613-0.015016i,-0.11727-0.035077i,-0.10183+0.0061573i,-0.031187+0.02967i,0.0094732+0.0084255i,0.0047281-0.016005i,-0.013293-0.032177i,-0.028745-0.035222i,-0.041199-0.023711i,-0.055977-0.014854i,-0.072848-0.020714i,-0.078424-0.031512i,-0.058929-0.029764i,-0.028959-0.017932i,-0.0085501-0.0058597i,0.0070413+0.0046691i
0.018016-0.010308i,0.031066-0.041741i,0.016164-0.085549i,-0.049953-0.093813i,-0.13257-0.05558i,-0.18701-0.036436i,-0.20485-0.059762i,-0.20202-0.069702i,-0.19852-0.060425i,-0.17555-0.045484i,-0.11808-0.019615i,-0.053429-0.0046567i,0.0018109-0.0094951i,0.040897-0.023434i,0.048599-0.037364i,0.033489-0.04636i,0.026258-0.0545i,0.034414-0.064201i,0.041655-0.063281i,0.03416-0.039967i,0.020369-0.011127i,0.0070227+0.001865i,-0.011025+0.0099042i
-0.011458+0.016377i,-0.007211+0.057585i,0.023347+0.11675i,0.083493+0.16078i,0.15198+0.15548i,0.20848+0.080124i,0.21057-0.013655i,0.18307-0.053842i,0.17759-0.068484i,0.14046-0.086619i,0.064832-0.075172i,0.016834-0.038292i,-0.005911+0.0016843i,-0.011782+0.043359i,0.0091091+0.058177i,0.034769+0.040883i,0.052772+0.028875i,0.068523+0.035475i,0.07113+0.043179i,0.048707+0.035249i,0.015592+0.020637i,-0.00026755+0.011667i,-0.0012014-0.0031882i
-0.0062716-0.020231i,-0.03073-0.046112i,-0.069871-0.064069i,-0.072417-0.063239i,-0.014514-0.05623i,0.039772-0.0099705i,0.058245+0.066779i,0.068534+0.078447i,0.079878+0.024777i,0.074004-0.0082538i,0.051313-0.0029577i,0.02831+0.0020084i,0.0042825-0.0070242i,-0.026593-0.010297i,-0.041053+0.01154i,-0.033397+0.043563i,-0.037029+0.063636i,-0.065361+0.073567i,-0.086045+0.070563i,-0.065797+0.045353i,-0.025999+0.014631i,0.0011846+0.0035995i,0.019265+0.0070069i
0.020943+0.0056031i,0.054045+0.008723i,0.08902-0.012974i,0.056395-0.042139i,-0.063173-0.022302i,-0.16103+0.027818i,-0.15605+0.05405i,-0.0936+0.078833i,-0.045621+0.11837i,-0.01091+0.12035i,0.013167+0.065i,0.014902+0.017742i,0.024561+0.0019113i,0.036916-0.02212i,0.01025-0.050526i,-0.039611-0.06088i,-0.072711-0.065757i,-0.085186-0.089314i,-0.084272-0.10882i,-0.064608-0.07982i,-0.033553-0.027351i,-0.015524+0.0010008i,-0.016547+0.010307i
-0.01554+0.0009726i,-0.053866+0.021794i,-0.099341+0.074525i,-0.10932+0.12932i,-0.062807+0.10858i,-0.0086674+0.0093264i,0.0041976-0.096421i,-0.030529-0.12089i,-0.064356-0.063858i,-0.056917-0.01162i,-0.01916+0.0099854i,0.0090241+0.012865i,0.0025505+0.016379i,-0.0027572+0.027529i,0.023181+0.015578i,0.056149-0.025603i,0.080101-0.060723i,0.10859-0.074903i,0.12333-0.073246i,0.086539-0.05733i,0.022485-0.033939i,-0.016218-0.015715i,-0.026407-0.0059321i
0.023161-0.011709i,0.038169-0.044004i,0.048805-0.091347i,0.060998-0.10886i,0.10509-0.078031i,0.15549-0.06065i,0.11297-0.058097i,-0.00090943-0.073892i,-0.074519-0.12753i,-0.089546-0.13932i,-0.077491-0.077465i,-0.055433-0.024196i,-0.04508-0.014022i,-0.045177-0.0014642i,-0.032066+0.039752i,0.0002472+0.088571i,0.027852+0.12i,0.028582+0.13865i,0.014475+0.13905i,0.011942+0.095602i,0.019914+0.031694i,0.02447-0.0036805i,0.022788-0.0096172i
-0.00084686+0.022215i,0.0076865+0.059472i,0.034295+0.10481i,0.0512+0.1214i,0.010842+0.11584i,-0.058927+0.16374i,-0.023498+0.21386i,0.11739+0.16922i,0.20959+0.085992i,0.18767+0.027743i,0.10809-0.011996i,0.045306-0.030907i,0.023861-0.030602i,0.018229-0.033202i,-0.0095245-0.042042i,-0.057774-0.037955i,-0.099304-0.021883i,-0.12264-0.016192i,-0.12018-0.018018i,-0.081044-0.0078141i,-0.027758+0.0081142i,0.0031041+0.015419i,0.012822+0.011292i
-0.0051171-0.019017i,-0.039056-0.046839i,-0.098905-0.072275i,-0.16133-0.061261i,-0.1883-0.019931i,-0.16751-0.02633i,-0.12303-0.060989i,-0.060765-0.02718i,0.0073506+0.04983i,0.047584+0.084407i,0.052661+0.067553i,0.046187+0.041161i,0.037808+0.014888i,0.0318-0.0087016i,0.043043-0.033219i,0.05311-0.07082i,0.046914-0.10854i,0.044145-0.13615i,0.044173-0.14245i,0.030065-0.10453i,0.0081426-0.050631i,-0.012192-0.025693i,-0.029141-0.014412i
0.014728+0.010991i,0.051805+0.016139i,0.093026+0.0143i,0.12266-0.0061439i,0.15668-0.070504i,0.17735-0.15881i,0.09377-0.19711i,-0.087358-0.13618i,-0.21173-0.035028i,-0.19643+0.017447i,-0.11093+0.022702i,-0.044488+0.015732i,-0.013451+0.011133i,-0.00060758+0.014219i,-0.0015537+0.026381i,0.0048049+0.044516i,0.029404+0.053577i,0.054629+0.046259i,0.064802+0.02614i,0.047788+0.0046139i,0.024891+0.0016998i,0.024459+0.0074215i,0.025401+0.0032113i
-0.01931+0.0035481i,-0.056784+0.028467i,-0.088121+0.0753i,-0.083056+0.13237i,-0.045648+0.19639i,0.015808+0.25145i,0.095044+0.251i,0.14081+0.15267i,0.10651+0.020247i,0.03428-0.037765i,0.0021203-0.025989i,-0.0014878-0.0064579i,-0.011788+0.0081708i,-0.020039+0.02281i,-0.017492+0.032617i,-0.0094699+0.042666i,-0.0015167+0.061956i,-0.00047813+0.093815i,-0.0042348+0.12049i,-0.00036818+0.10507i,0.0029392+0.058789i,-0.00079421+0.034961i,0.0082169+0.0314i
0.021199-0.024747i,0.038436-0.063836i,0.036656-0.10888i,-0.0029654-0.10904i,-0.078133-0.046935i,-0.16033+0.025229i,-0.17442+0.021329i,-0.092517-0.059239i,0.0009201-0.13744i,0.032867-0.14081i,0.0086848-0.083737i,-0.0083504-0.033056i,0.0030452-0.018806i,0.013347-0.020699i,0.016419-0.016638i,0.0050151-0.010605i,-0.027536-0.0065212i,-0.064504-0.0025688i,-0.080267+0.0012368i,-0.057133+0.013268i,-0.017332+0.018929i,-0.00081266-0.0011631i,-0.0097333-0.019004i
-0.0088745+0.019062i,-0.0046323+0.060417i,0.010776+0.091736i,0.033663+0.057418i,0.05598-0.071262i,0.064876-0.23201i,0.026902-0.27497i,-0.02506-0.15055i,-0.0015645-0.0084872i,0.053965+0.018161i,0.065463-0.014969i,0.047146-0.026364i,0.033068-0.010872i,0.032066-0.00087371i,0.025587-0.028691i,0.00062412-0.079492i,-0.025933-0.12533i,-0.032613-0.17079i,-0.02496-0.19469i,-0.028309-0.1543i,-0.033526-0.068687i,-0.018918-0.0059696i,-0.0024193+0.0087791i
-0.00032219-0.025012i,-0.036206-0.055474i,-0.09102-0.068038i,-0.11782-0.0235i,-0.065694+0.060165i,0.052958+0.13461i,0.1421+0.17754i,0.16003+0.19521i,0.13898+0.19094i,0.10399+0.15015i,0.068097+0.090076i,0.032805+0.050293i,-0.012215+0.028075i,-0.052182+0.026715i,-0.036583+0.053912i,0.032916+0.078469i,0.10428+0.0826i,0.14205+0.084117i,0.13154+0.083505i,0.082058+0.055684i,0.024195+0.011981i,-0.014118-0.003458i,-0.022201+0.013541i
0.019778+0.0039419i,0.061617+0.017976i,0.10065+0.028734i,0.092947+0.068458i,0.029297+0.16854i,-0.050173+0.26883i,-0.074962+0.22191i,-0.082858+0.027636i,-0.13745-0.098494i,-0.15362-0.060537i,-0.099453+0.0051075i,-0.049575+0.010621i,-0.021138-0.0080834i,-0.0061479-0.027864i,-0.023069-0.016692i,-0.05505+0.038087i,-0.077404+0.10114i,-0.092163+0.15321i,-0.086637+0.17087i,-0.046507+0.13212i,3.7293e-05+0.064718i,0.019365+0.013214i,0.013551-0.011661i
-0.019007+0.005772i,-0.060133+0.021187i,-0.086609+0.044906i,-0.070748+0.024708i,-0.045247-0.086026i,-0.049637-0.2373i,-0.085218-0.27378i,-0.08708-0.16099i,-0.036822-0.063772i,0.0015098-0.031673i,0.025192-0.00060804i,0.046313+0.013909i,0.04972+0.013935i,0.056812+0.017556i,0.064858-0.018185i,0.038571-0.091753i,-0.018891-0.15635i,-0.076551-0.20249i,-0.10377-0.20889i,-0.083473-0.14477i,-0.035915-0.057249i,-0.0004893-0.011953i,0.01086-0.01035i
0.025618-0.01863i,0.045404-0.058252i,0.04126-0.1156i,0.017156-0.1463i,0.03554-0.15352i,0.082741-0.16068i,0.087866-0.12935i,0.073729-0.040021i,0.10414+0.023179i,0.11655+0.0013871i,0.060827-0.026776i,0.017195-0.0089354i,0.0019744+0.0043949i,-0.025749+0.017362i,-0.025624+0.053248i,0.027602+0.069878i,0.08708+0.043801i,0.11309-0.0015008i,0.092829-0.033108i,0.040426-0.032112i,-0.00035265-0.013387i,-0.0091153-0.0018291i,-0.0043348+0.0045009i
-0.017164+0.023901i,-0.022461+0.073707i,-0.01521+0.14202i,-0.016777+0.21788i,-0.040939+0.33453i,-0.0073912+0.44619i,0.085088+0.3894i,0.11361+0.16805i,0.050317+0.0061081i,-0.010594-0.018789i,-0.022223-0.01017i,-0.016008-0.011006i,-0.0018422-0.022576i,0.0048965-0.0543i,-0.02181-0.064891i,-0.05185-0.018955i,-0.042906+0.053405i,0.00014563+0.10808i,0.042549+0.11603i,0.051398+0.072766i,0.026429+0.022122i,0.00022294+0.010535i,-0.0082663+0.021411i
