-0.0018402+0.00021961i,-0.0017832-9.7391e-06i,-0.001406+4.574e-05i,-0.0013294-0.00079964i,-0.0013962-0.001405i,-0.0018146-0.00038763i,-0.0017917+0.0010219i,-0.0014327+0.0019646i,-0.00076539+0.0019768i,0.00039012+0.0016912i,0.0016165+0.0011101i,0.0013437+7.0901e-05i,0.00036903-0.00099253i,-3.9907e-05-0.00096902i,-0.00012044-0.00050678i,9.6153e-05-0.00029361i,0.00046475-0.000139i,0.0004882-0.0004018i,7.1128e-05-0.00044263i,-0.00010837-0.00075826i,-0.00018736-0.0011722i,-0.00011404-0.00059337i,0.00025816-0.00026785i
-0.025902+0.064843i,-0.025048+0.1317i,0.029113+0.15357i,0.11697+0.097289i,0.16964+0.032361i,0.16302-0.018663i,0.099165-0.065074i,0.0066675-0.063575i,-0.043459-0.020009i,-0.045741+0.010422i,-0.034927+0.020051i,-0.014819+0.014696i,-0.003442-0.0031625i,-0.0041884-0.01391i,-0.002304-0.019374i,-0.0026364-0.030791i,-0.0034474-0.038863i,0.00053488-0.038898i,0.0019815-0.029248i,-0.0012644-0.013975i,-0.0041739-0.0048558i,0.00061096+0.00023143i,0.01585+0.0028747i
0.045604-0.048542i,0.08183-0.10951i,0.067749-0.13967i,0.0010309-0.097069i,-0.056913-0.036276i,-0.088329-0.018487i,-0.094711-0.011794i,-0.049028+0.028174i,0.018394+0.053838i,0.045617+0.041708i,0.036132+0.025463i,0.019503+0.016783i,0.011912+0.012125i,0.011337+0.008894i,0.0051448+0.0042048i,-0.0053822+0.0041763i,-0.014749+0.0048812i,-0.020588+0.0016593i,-0.018922-0.00065513i,-0.01113+0.00214i,-0.0031386+0.0066171i,0.0039218+1.3515e-05i,0.0043457-0.019137i
-0.061551+0.032106i,-0.12086+0.080404i,-0.13686+0.13714i,-0.099462+0.16623i,-0.076663+0.16693i,-0.067459+0.16375i,0.0022589+0.1394i,0.059322+0.05484i,0.025167-0.021285i,-0.010552-0.032538i,-0.0048076-0.02724i,0.0039384-0.022007i,0.0084246-0.014497i,0.0090218-0.011469i,0.0076692-0.0038977i,0.011341+0.0063109i,0.013345+0.016661i,0.010574+0.023531i,0.0088739+0.018281i,0.0098634+0.0065063i,0.010131-0.0019609i,0.0013303-0.0055348i,-0.017209+0.00035344i
0.073696-0.00021671i,0.14562-0.019899i,0.17201-0.066033i,0.1154-0.11309i,0.061937-0.1245i,0.077671-0.11745i,0.061496-0.11785i,-0.012046-0.082261i,-0.040634-0.017941i,-0.027555+0.012198i,-0.019094+0.0089236i,-0.016373-0.0052168i,-0.019515-0.011276i,-0.022146-0.0039577i,-0.018708+0.0008457i,-0.012346-0.0019475i,-0.0013986-0.0074508i,0.008498-0.010808i,0.010387-0.010435i,0.0051566-0.011414i,-0.0031091-0.012378i,-0.0069481-0.0023892i,0.0022356+0.016844i
-0.066687-0.027601i,-0.14502-0.048196i,-0.19661-0.038166i,-0.15387-0.016841i,-0.07337-0.056586i,-0.086527-0.10877i,-0.13376-0.05614i,-0.087498+0.019221i,-0.0082135+0.016681i,0.017883-0.0017023i,0.017567+0.0089251i,0.015337+0.020281i,0.014642+0.018727i,0.015975+0.010577i,0.011108+0.004646i,0.0011275+0.0018658i,-0.011282-0.005344i,-0.019709-0.011692i,-0.018953-0.0073953i,-0.015993+0.0018871i,-0.013126+0.0098478i,-0.0024953+0.011165i,0.014594-0.0015498i
0.048167+0.052513i,0.11774+0.10447i,0.18925+0.10852i,0.18677+0.052808i,0.10219+0.061822i,0.072365+0.14211i,0.11575+0.12398i,0.10153+0.033585i,0.040616+0.0008092i,0.015865-0.0020636i,0.011616-0.017761i,0.0069711-0.020847i,0.0058449-0.01613i,0.001884-0.01396i,0.0029744-0.010067i,0.0097757-0.0049632i,0.012461+0.0046994i,0.010913+0.013229i,0.0062155+0.015196i,0.0043151+0.015872i,0.010854+0.013945i,0.014615+0.0021942i,0.0020175-0.015581i
-0.02463-0.070396i,-0.061066-0.14727i,-0.11221-0.17184i,-0.11232-0.081071i,-0.0051315+0.01224i,0.085716-0.017717i,0.052431-0.075414i,-0.0074099-0.05271i,-0.015453-0.0072061i,-0.010653+0.0045322i,-0.02321+0.0012104i,-0.035325+0.0032264i,-0.031221+0.016276i,-0.014858+0.026843i,0.0012107+0.020322i,0.011117+0.0047897i,0.017313-0.0061232i,0.020035-0.010079i,0.018378-0.010811i,0.015141-0.012361i,0.0090846-0.018328i,-0.0036025-0.02052i,-0.017538-0.0054284i
-0.0039917+0.072476i,-0.0071846+0.16479i,0.025272+0.22368i,0.057987+0.14939i,-0.027962-0.001398i,-0.16897-0.044172i,-0.17743+0.042784i,-0.080196+0.086203i,-0.022362+0.044867i,-0.0056871+0.021677i,0.019281+0.024871i,0.033603+0.01777i,0.029761+0.0048988i,0.022485-0.0052865i,0.011047-0.0094127i,-0.0021913-0.0080828i,-0.011609-0.0077356i,-0.016004-0.0099048i,-0.015084-0.012508i,-0.014961-0.013309i,-0.020611-0.0063543i,-0.020904+0.009376i,-0.0044709+0.021921i
0.033495-0.058417i,0.074544-0.14217i,0.059479-0.21121i,-0.038601-0.17128i,-0.092165-0.029427i,-0.029562+0.077877i,0.048457+0.055238i,0.060246-0.013134i,0.035184-0.029193i,0.014819-0.026206i,0.0057298-0.034166i,0.0045832-0.040256i,-0.0019137-0.039909i,-0.014452-0.030561i,-0.018887-0.014579i,-0.015636-0.0019757i,-0.012553+0.0065985i,-0.011582+0.011658i,-0.010234+0.015355i,-0.0063804+0.020633i,0.0034105+0.023951i,0.017304+0.018338i,0.024101+0.0011051i
-0.059671+0.042325i,-0.1366+0.099145i,-0.16165+0.16241i,-0.048805+0.17268i,0.12444+0.076567i,0.19532-0.078765i,0.10332-0.15379i,-0.010472-0.10479i,-0.028429-0.037622i,-0.019774-0.0068083i,-0.030717+0.01782i,-0.028511+0.036198i,-0.0092327+0.035079i,0.0085042+0.022647i,0.013729+0.0091535i,0.011246+0.00049259i,0.013373-0.0034723i,0.016719-0.0028213i,0.017797+0.0020959i,0.020686+0.0047696i,0.021347-0.0044928i,0.011501-0.020679i,-0.0055904-0.028028i
0.069041-0.012322i,0.16674-0.031572i,0.23443-0.082899i,0.17223-0.15928i,0.0065489-0.17149i,-0.1162-0.066492i,-0.089188+0.051321i,-0.0065317+0.080259i,0.018315+0.059214i,0.027012+0.039553i,0.042659+0.014955i,0.040192-0.0031007i,0.030694-0.009312i,0.021482-0.014462i,0.011806-0.014297i,0.0070907-0.010101i,0.0037857-0.010707i,1.7747e-05-0.014609i,-0.0021823-0.017324i,-0.0053365-0.018973i,-0.014703-0.016334i,-0.025982-0.0047925i,-0.028776+0.011276i
-0.066099-0.020862i,-0.15969-0.046769i,-0.24015-0.038486i,-0.24083+0.06137i,-0.15518+0.2023i,-0.035278+0.24359i,0.038576+0.14662i,0.03953+0.029402i,0.008737-0.016962i,-0.0085605-0.021811i,-0.01595-0.028349i,-0.027524-0.030216i,-0.037305-0.015687i,-0.034214+0.0027033i,-0.021264+0.010396i,-0.011209+0.0088537i,-0.010829+0.0063711i,-0.015099+0.0068152i,-0.016513+0.0049459i,-0.016314+0.0043153i,-0.011216+0.012809i,0.0039598+0.023358i,0.02039+0.025229i
0.05436+0.045063i,0.12527+0.11269i,0.20442+0.16206i,0.26528+0.10113i,0.25797-0.070789i,0.13661-0.19922i,-0.019771-0.164i,-0.082846-0.059334i,-0.057484-0.0041085i,-0.029855+0.015727i,-0.012235+0.033335i,0.0052971+0.037686i,0.014489+0.031281i,0.016304+0.023239i,0.013298+0.014044i,0.0079713+0.0090193i,0.0053232+0.0094745i,0.0068436+0.011064i,0.0086996+0.012303i,0.010503+0.01135i,0.015206+0.0034201i,0.019988-0.012089i,0.021337-0.027386i
-0.028762-0.058901i,-0.060818-0.1463i,-0.10353-0.22927i,-0.17571-0.2411i,-0.24829-0.17145i,-0.22879-0.072169i,-0.11163-0.00062061i,0.0010746+0.019003i,0.042521+0.00031169i,0.037821-0.020271i,0.027618-0.023986i,0.0225-0.023329i,0.018014-0.030265i,0.0099524-0.032556i,0.0039536-0.024205i,0.0054046-0.016183i,0.0093354-0.014923i,0.010955-0.015844i,0.011493-0.011842i,0.0094958-0.0086912i,0.00034881-0.010876i,-0.015764-0.013459i,-0.031325-0.013979i
0.00016271+0.061033i,-0.015938+0.14669i,-0.043309+0.2381i,-0.024406+0.30576i,0.07622+0.33334i,0.18643+0.26384i,0.18744+0.10011i,0.090248-0.012071i,0.016838-0.015952i,-0.0065555-0.0043708i,-0.023312-0.0091561i,-0.03187-0.0016013i,-0.026803+0.010906i,-0.017277+0.014308i,-0.0086032+0.0070958i,-0.0064117-0.0037839i,-0.010263-0.0070546i,-0.013842-0.0053132i,-0.015595-0.0056265i,-0.014941-0.0033131i,-0.010786+0.0053578i,-0.0055286+0.018171i,-0.0027781+0.031836i
0.024605-0.055534i,0.076433-0.12272i,0.15182-0.18995i,0.19023-0.24515i,0.14587-0.273i,0.037025-0.21514i,-0.044672-0.076275i,-0.041907+0.026067i,-0.012703+0.045619i,0.0066764+0.040208i,0.020065+0.031552i,0.024193+0.017696i,0.027241+0.01011i,0.02916+0.0061129i,0.021397+0.0047598i,0.011219+0.0095214i,0.0077332+0.014006i,0.0065951+0.014248i,0.00074283+0.012149i,-0.0024687+0.01071i,0.0045733+0.0061657i,0.016532-0.0040811i,0.028307-0.010004i
-0.039816+0.040477i,-0.10588+0.067038i,-0.1932+0.065893i,-0.26796+0.047618i,-0.31006+0.055805i,-0.27784+0.085685i,-0.15253+0.084299i,-0.042006+0.034188i,-0.017567-0.010097i,-0.017839-0.017489i,-0.0033645-0.016295i,0.0033158-0.022653i,-0.0052843-0.027312i,-0.012033-0.022923i,-0.0066032-0.014876i,0.0065308-0.012936i,0.013948-0.017211i,0.013784-0.017674i,0.013108-0.010286i,0.011424-0.0039632i,0.0035367-0.0045321i,-0.0098866-0.0098082i,-0.018176-0.018902i
0.049342-0.014008i,0.11693-0.002349i,0.19446+0.059806i,0.26098+0.1337i,0.30135+0.12882i,0.26117+0.029338i,0.12722-0.063192i,0.013926-0.066711i,-0.012938-0.023498i,-0.013247+0.0016326i,-0.018291+0.010211i,-0.016579+0.017034i,-0.010749+0.023143i,-0.0066347+0.021055i,-0.008164+0.0086933i,-0.015266-0.0037041i,-0.020456-0.0092389i,-0.018715-0.0088326i,-0.010842-0.0077508i,-0.0036173-0.0069394i,-0.0013855-2.7975e-05i,-0.002375+0.011871i,-0.0088731+0.01777i
-0.050066-0.0050213i,-0.095236-0.039521i,-0.11615-0.11524i,-0.090173-0.20092i,-0.049277-0.2383i,-0.01501-0.1915i,0.01008-0.089207i,0.02669-0.011833i,0.042344+0.00088163i,0.045483-0.011828i,0.031318-0.011732i,0.019645-0.0051512i,0.018377-0.0065626i,0.015642-0.009687i,0.0082645-0.0033774i,0.0027942+0.0091744i,0.0012952+0.017354i,0.00011716+0.01677i,-0.0034645+0.011541i,-0.0049537+0.0052267i,-0.00074977-0.0022699i,0.0087112-0.0070591i,0.015925-0.0011632i
0.034403+0.020859i,0.049559+0.066626i,0.0044739+0.13257i,-0.10758+0.19729i,-0.18593+0.24936i,-0.13965+0.24499i,-0.032903+0.15316i,0.0096394+0.05606i,-0.0090781+0.020418i,-0.01621+0.01009i,-0.0090519-0.0045435i,-0.011413-0.011137i,-0.018724-0.0071812i,-0.01633-0.0019746i,-0.0035432-0.0018919i,0.0075841-0.0062599i,0.011773-0.0099092i,0.0099998-0.0087735i,0.005638-0.0035777i,0.0017663+0.00125i,-0.0040478+0.0013295i,-0.0095832-0.0039729i,-0.0041335-0.010001i
-0.020615-0.032065i,-0.015216-0.073759i,0.044779-0.10306i,0.14194-0.092634i,0.17976-0.060149i,0.094907-0.026009i,-0.015846+0.0058848i,-0.042258+0.020176i,-0.022477+0.02435i,-0.0070776+0.032561i,0.0035938+0.030531i,0.0095396+0.019838i,0.013331+0.01393i,0.013554+0.0093687i,0.0061744+0.0032403i,-0.0037389-0.0025548i,-0.010072-0.0060836i,-0.0094426-0.0077377i,-0.0024849-0.0084115i,0.0038105-0.0043474i,0.0057447+0.0054138i,0.00526+0.012975i,0.00024063+0.0086075i
0.009302+0.035439i,-0.0064617+0.058747i,-0.048273+0.027671i,-0.098278-0.084408i,-0.12501-0.19636i,-0.10657-0.20576i,-0.058985-0.12534i,-0.020909-0.059937i,-0.0081692-0.049095i,-0.010522-0.045187i,-0.0072123-0.026753i,0.0016264-0.016745i,0.0045918-0.017042i,0.0013914-0.013882i,0.00063854-0.0037086i,0.006236+0.0076651i,0.010707+0.01148i,0.0092167+0.0087249i,0.0039638+0.0043092i,3.2731e-05-0.001184i,0.0034798-0.007142i,0.0079701-0.010141i,0.0032461-0.0048432i
0.0037167-0.029849i,0.024225-0.03854i,0.046859+0.020366i,0.062298+0.14214i,0.073787+0.20225i,0.073821+0.12702i,0.05598+0.017637i,0.030114-0.016977i,0.010475-0.0016624i,-0.0039465+0.0071779i,-0.013193+0.0050586i,-0.013795+0.0063216i,-0.0098184+0.010758i,-0.0032744+0.010821i,0.004884+0.0023644i,0.012293-0.0074501i,0.016328-0.010296i,0.013988-0.0076953i,0.0064283-0.0012417i,-0.0026815+0.0029818i,-0.011974-0.00090871i,-0.017293-0.0056065i,-0.01118-0.0033665i
-0.014017+0.02623i,-0.027922+0.033496i,-0.0066115-0.00075287i,0.061057-0.050566i,0.12818-0.031073i,0.14927+0.044566i,0.10957+0.076891i,0.055367+0.061142i,0.044227+0.045675i,0.053352+0.027283i,0.042811+0.005719i,0.025549-0.0028541i,0.015702-0.0039655i,0.008192-0.0057215i,-0.00048123-0.0078372i,-0.010347-0.0091149i,-0.015911-0.0089474i,-0.013296-0.0071318i,-0.0071988-0.0036905i,-0.0023546+0.0014851i,0.00052604+0.0082302i,0.0016948+0.01162i,0.0040866+0.0056066i
0.018207-0.017872i,0.023799-0.025231i,-0.031768-0.015383i,-0.14842-0.0023973i,-0.22254-0.013293i,-0.19324-0.016494i,-0.10963+0.0082368i,-0.048784+0.019061i,-0.036517+0.0065259i,-0.033854-0.0009427i,-0.021199-0.0023355i,-0.015004-0.0056468i,-0.016315-0.0051138i,-0.015721+0.00062113i,-0.011349+0.0063696i,-0.0071431+0.0093003i,-0.0075376+0.0091499i,-0.0084918+0.0055045i,-0.0050501+0.0010371i,0.0025119-0.00229i,0.010934-0.0049563i,0.015058-0.0068746i,0.0096621-0.0073301i
-0.023479+0.0073821i,-0.032968+0.015716i,0.0048187+0.023952i,0.057051+0.030544i,0.020128+0.03295i,-0.075489+0.019153i,-0.10379-0.0049083i,-0.067287-0.01891i,-0.043493-0.0072317i,-0.031758+0.019835i,-0.0092564+0.030292i,0.005754+0.023376i,0.0093333+0.014701i,0.011189+0.006621i,0.01134+3.2738e-05i,0.012403-0.0046618i,0.012205-0.0078174i,0.0087035-0.0067155i,0.0041781-0.0037539i,-0.00079184-0.0034339i,-0.0054097-0.0050571i,-0.0078432-0.005302i,-0.0069403-0.00072596i
0.023883-0.00069276i,0.042024-0.013402i,0.038999-0.055543i,0.045629-0.12048i,0.10835-0.16441i,0.15213-0.15179i,0.10946-0.10348i,0.05489-0.061098i,0.042065-0.048706i,0.031891-0.052905i,0.01243-0.044603i,0.0054964-0.029926i,0.0052451-0.021294i,0.0011036-0.017667i,-0.0030284-0.014672i,-0.0034665-0.01126i,-0.0016363-0.008671i,-3.367e-05-0.0050635i,0.00080834-0.00027381i,-0.00038516+0.0033152i,-0.0040223+0.0067282i,-0.0052991+0.0078332i,-0.0015547+0.0052353i
-0.025848-0.0084457i,-0.050026+0.0030651i,-0.057857+0.052465i,-0.042922+0.11485i,-0.023225+0.1117i,0.01047+0.040077i,0.04333-0.0048611i,0.044746-0.00436i,0.023624-0.0031148i,0.001165-0.0040221i,-0.011319+0.0017309i,-0.014293+0.0089947i,-0.01097+0.01273i,-0.0054546+0.012895i,-0.0022172+0.012073i,-0.0012396+0.015127i,-0.00084931+0.017571i,0.00066568+0.012908i,0.0023287+0.0052953i,0.0036647+0.00093795i,0.0053216-0.0013826i,0.0044823-0.0032985i,0.00079715-0.0051643i
0.019597+0.018423i,0.048584+0.024544i,0.076052+0.014115i,0.074181+0.025316i,0.035369+0.11252i,-0.0065985+0.19734i,-0.019123+0.16635i,-0.018961+0.093935i,-0.0069185+0.072802i,0.021778+0.059257i,0.035562+0.027714i,0.030365+0.006321i,0.021879+0.0004846i,0.016192+0.00052632i,0.015894-0.00021142i,0.017283-0.002516i,0.015387-0.0034424i,0.0084035-0.0036411i,3.4015e-05-0.0040352i,-0.0039405-0.0040775i,-0.0032898-0.0041014i,-0.00076727-0.0034993i,0.00013068-0.0022628i
-0.013749-0.022085i,-0.044163-0.044465i,-0.09516-0.054237i,-0.13505-0.055841i,-0.11808-0.073293i,-0.076703-0.077439i,-0.062203-0.034475i,-0.047975+0.0025795i,-0.030967-0.002581i,-0.027473-0.013133i,-0.025442-0.011299i,-0.021841-0.010611i,-0.019606-0.010527i,-0.016278-0.0090427i,-0.013527-0.010545i,-0.013045-0.015508i,-0.012427-0.018677i,-0.0089907-0.013678i,-0.0054463-0.0043553i,-0.0040715+0.0028312i,-0.0024903+0.0053051i,0.00049167+0.002887i,0.0030018+0.00074836i
0.0053813+0.029591i,0.022941+0.059907i,0.059814+0.070341i,0.071224+0.018626i,-0.00011932-0.076926i,-0.074919-0.1304i,-0.061087-0.11169i,-0.026047-0.075888i,-0.02988-0.044731i,-0.03464-0.0085236i,-0.016343+0.015252i,-0.00079566+0.018983i,0.0019711+0.015345i,-0.00060082+0.012811i,-0.002968+0.012708i,-0.0031167+0.013179i,-0.0027085+0.010575i,-0.0008558+0.0051525i,0.0021836+0.0015138i,0.0031429+0.001168i,0.0014552-0.00023332i,-0.0014861-0.0021124i,-0.0015944-0.0021513i
0.0083863-0.023838i,0.014063-0.064823i,0.0095485-0.10686i,0.028439-0.096731i,0.10621-0.028732i,0.15382+0.012585i,0.10491-0.000145i,0.050647-0.0049706i,0.048148-0.0021012i,0.048607-0.017155i,0.029384-0.027481i,0.016026-0.023121i,0.014194-0.016803i,0.015852-0.013695i,0.017386-0.011662i,0.019092-0.0086379i,0.017984-0.0048102i,0.011503-0.0017114i,0.0040311-0.00098547i,-6.984e-05-0.0021948i,-0.0028326-0.0017758i,-0.0047275+0.0015192i,-0.0050482+0.0034912i
-0.02004+0.021588i,-0.042669+0.062063i,-0.044006+0.11941i,-0.0037613+0.14489i,0.043325+0.10684i,0.071448+0.064505i,0.073654+0.05667i,0.056295+0.043635i,0.034721+0.017651i,0.012399+0.0031641i,-0.0057923+0.0035736i,-0.012822+0.0077123i,-0.012484+0.0058385i,-0.011178+7.6444e-05i,-0.012131-0.0044647i,-0.015271-0.0064114i,-0.015372-0.005361i,-0.0098275-0.0025448i,-0.0026696+9.697e-05i,0.002219+0.0032188i,0.0066553+0.0045596i,0.0091481+0.0025559i,0.0063672+0.00089826i
0.024627-0.011678i,0.06422-0.032345i,0.081111-0.06062i,0.020499-0.049663i,-0.090971+0.026091i,-0.14935+0.082107i,-0.11296+0.05641i,-0.064807+0.020193i,-0.044178+0.028792i,-0.016836+0.040595i,0.0072672+0.026497i,0.012616+0.010521i,0.011278+0.0082858i,0.0093865+0.01383i,0.0066589+0.018787i,0.0034883+0.019392i,-0.00025698+0.015275i,-0.0027178+0.0075814i,-0.0018775+6.2607e-05i,0.00080999-0.0042452i,0.0027432-0.0076744i,0.0034231-0.010675i,0.0044995-0.010831i
-0.028353-0.0019024i,-0.079397-0.0023789i,-0.13545+0.0056512i,-0.14516+0.011499i,-0.10488-0.0086915i,-0.071867-0.031899i,-0.067542-0.023374i,-0.052602-0.0045732i,-0.027548-0.0068504i,-0.016203-0.016046i,-0.010887-0.017382i,-0.0068292-0.016891i,-0.0038399-0.015919i,0.0013932-0.014762i,0.0076286-0.014416i,0.012762-0.014256i,0.012915-0.012496i,0.0077822-0.0083107i,0.00073751-0.0051331i,-0.0075822-0.0032166i,-0.013969+0.0006367i,-0.014541+0.0038991i,-0.011032+0.0025317i
0.027329+0.014284i,0.072347+0.034413i,0.13033+0.034124i,0.15533-0.028235i,0.12435-0.12702i,0.082082-0.15931i,0.068203-0.1088i,0.054032-0.064625i,0.02023-0.047297i,-0.0048508-0.02422i,-0.0051634-0.0016183i,0.00082171+0.005646i,-0.0025031+0.0043375i,-0.010669+0.0012615i,-0.014451-0.0017984i,-0.012022-0.0042634i,-0.0060866-0.0064422i,-0.00074214-0.0056758i,5.8582e-05-0.00082978i,0.00088044+0.0038955i,0.0049049+0.0065029i,0.0086512+0.0083929i,0.0077005+0.0088841i
-0.017338-0.022375i,-0.039675-0.064976i,-0.064777-0.10324i,-0.054543-0.079243i,0.0085371+0.0043885i,0.061573+0.043637i,0.046319+0.017946i,0.015233+0.0070894i,0.021013+0.01431i,0.030617+0.0075582i,0.020073-5.2229e-05i,0.0099073+0.001351i,0.0099116+0.0035871i,0.013952+0.0065672i,0.015132+0.0094477i,0.011753+0.011277i,0.0060242+0.010689i,0.0016577+0.0062924i,0.0021324+0.0020672i,0.0049451-0.0023085i,0.0057007-0.008395i,0.0037629-0.012691i,0.0022887-0.010734i
0.00014998+0.028024i,0.0023741+0.082137i,0.01461+0.15345i,0.040062+0.1905i,0.054339+0.1736i,0.035377+0.15079i,0.013332+0.12832i,0.013172+0.086452i,0.015207+0.04772i,0.0064495+0.024116i,-0.0051539+0.010425i,-0.0091429+0.0043373i,-0.0048987+8.9789e-05i,0.00034337-0.0067742i,0.0032085-0.012975i,0.0035537-0.013612i,0.0028962-0.008509i,0.0017579-0.0027225i,-0.00049651-0.00014551i,-0.0037224+0.0020796i,-0.0070624+0.0045136i,-0.0099214+0.0056853i,-0.010283+0.0038544i
0.011267-0.021331i,0.036062-0.065558i,0.049389-0.1185i,0.0051115-0.13039i,-0.076754-0.084865i,-0.10838-0.045904i,-0.071503-0.040367i,-0.03756-0.031915i,-0.03194-0.0084214i,-0.021348+0.0085933i,-0.0068134+0.0045296i,-0.004093-0.0033802i,-0.0065891-0.00026767i,-0.0083829+0.0057358i,-0.010208+0.0063091i,-0.011706+0.0012344i,-0.010484-0.0056066i,-0.0069559-0.0079417i,-0.0036058-0.0034821i,0.0001555+0.0036503i,0.0043435+0.0078579i,0.0072134+0.0079282i,0.0068243+0.0050143i
-0.02321+0.015429i,-0.068218+0.038533i,-0.1239+0.061811i,-0.14383+0.048997i,-0.12264-0.013008i,-0.094996-0.062967i,-0.072898-0.056258i,-0.051533-0.030005i,-0.031487-0.019539i,-0.014869-0.016238i,0.00033522-0.011989i,0.0082904-0.0090356i,0.0082349-0.0070325i,0.0084954-0.0049465i,0.0090977-0.00030766i,0.008027+0.004019i,0.0043417+0.0038959i,0.00053388+0.0024058i,0.00081929-0.00062196i,0.0012724-0.0063175i,-1.2292e-05-0.010117i,6.1162e-05-0.0093312i,0.001034-0.0065778i
0.022272-0.0032597i,0.07215-0.0018943i,0.13856-0.0040173i,0.17709-0.023199i,0.17639-0.046249i,0.1509-0.042576i,0.11117-0.017546i,0.070758-0.0081876i,0.036821-0.013759i,0.016054-0.0096488i,0.0095498+5.659e-05i,0.010035+0.00092232i,0.0069116-0.0056752i,8.1537e-05-0.010457i,-0.0012013-0.0089093i,0.0039926-0.005341i,0.0085688-0.0022544i,0.0076343-0.0010834i,0.0033033-0.0022738i,-0.0002384-0.0019478i,-0.0028701-0.00028677i,-0.0044776+0.00040519i,-0.0042163+0.0013956i
-0.021198-0.0096913i,-0.057697-0.034884i,-0.0911-0.065753i,-0.075199-0.062984i,-0.013922-0.017694i,0.03779+0.013682i,0.037426+0.0016002i,0.014352-0.0085607i,0.011864-3.6349e-05i,0.013319+0.0048725i,0.0038614+0.0066581i,-0.0039113+0.010047i,-0.0034016+0.011704i,-0.0008054+0.011664i,-0.0013554+0.0096645i,-0.0043879+0.0049936i,-0.005355-0.00081963i,-0.0030459-0.0026851i,-9.4539e-05-0.00064753i,0.0023899+0.001823i,0.0044439+0.0030438i,0.0049914+0.002132i,0.0030414+0.00080981i
0.014468+0.014369i,0.031471+0.056789i,0.040198+0.11996i,0.02115+0.16553i,-0.022002+0.16748i,-0.067056+0.14338i,-0.070248+0.10863i,-0.035591+0.070654i,-0.012932+0.043055i,-0.0084267+0.023173i,-0.0074399+0.0067431i,-0.0047578+0.00042173i,0.00067294+0.0020823i,0.0050747+0.0024632i,0.0059507+0.00081528i,0.0038206+0.0014982i,0.0012937+0.0034375i,0.00021865+0.0033368i,-0.00030675+0.001889i,-0.0013971+0.0017991i,-0.0020128+0.0016545i,-0.00069036-0.001019i,0.00031589-0.0045192i
-0.002191-0.019869i,-6.4715e-05-0.059998i,0.008976-0.10851i,0.004208-0.12057i,-0.0261-0.085837i,-0.034625-0.0511i,-0.010254-0.034333i,0.0034421-0.018164i,-0.0014874-0.0053282i,-0.0037362-0.0030485i,-0.0016098-0.0085592i,-0.0050325-0.013355i,-0.010158-0.010414i,-0.0097593-0.0058309i,-0.004413-0.006232i,0.0024157-0.0095456i,0.007104-0.010133i,0.0068538-0.0066951i,0.002362-0.0025696i,-0.0024773+0.00099511i,-0.0039465+0.0028278i,-0.0034532+0.0022641i,-0.0032363+0.00070714i
-0.0051337+0.017294i,-0.029187+0.045332i,-0.070906+0.062218i,-0.095103+0.022708i,-0.075335-0.067125i,-0.049516-0.11718i,-0.040425-0.089735i,-0.033239-0.047515i,-0.021665-0.026574i,-0.0091449-0.014064i,0.0028543-0.0033828i,0.010133+0.001533i,0.0097473+0.0016158i,0.0068318+0.00045019i,0.0035511-0.00031815i,-0.00112-0.0023605i,-0.0042626-0.0047215i,-0.0042618-0.0042308i,-0.0025265-0.0024726i,-0.00013141-0.0022326i,0.0013103-0.0024211i,0.0013446-0.0018187i,0.0018605+0.00086486i
0.012515-0.011037i,0.043937-0.023824i,0.092649-0.028543i,0.12149-0.011878i,0.11215+0.022636i,0.09326+0.046235i,0.065974+0.04321i,0.033922+0.027303i,0.016505+0.013408i,0.010702+0.0078545i,0.007666+0.0072917i,0.0083348+0.0039747i,0.010072-0.0026231i,0.0092766-0.0064861i,0.0074378-0.0033343i,0.0056491+0.0025572i,0.0030494+0.0051102i,0.0011865+0.0030169i,0.0013713-1.0981e-05i,0.0024221-0.00075632i,0.0034185-0.0014018i,0.0034362-0.0024888i,0.0029327-0.0029917i
-0.014833+0.0048489i,-0.041801-0.00091986i,-0.063241-0.011579i,-0.034604-0.01369i,0.033175+0.002632i,0.06632+0.017212i,0.052025+0.0037448i,0.03051-0.014052i,0.017544-0.011391i,0.0066826-0.0039703i,-0.0031566-0.00019731i,-0.0079753+0.0038349i,-0.007116+0.0063355i,-0.003815+0.0049651i,-0.0023328+0.0016763i,-0.0012772-0.0019643i,0.0018178-0.0037775i,0.0029764-0.0014589i,0.0024507+0.001514i,0.0022937+0.0017133i,0.0010401+0.00043649i,-0.00065788-0.00088121i,-0.0020642-0.0013507i
0.011722+0.0046782i,0.029987+0.025193i,0.036446+0.057046i,-0.0037587+0.079119i,-0.07545+0.078733i,-0.11482+0.059802i,-0.094109+0.03981i,-0.05061+0.026774i,-0.025832+0.01605i,-0.014063+0.0086023i,-0.0043719+0.0015872i,-0.00017755-0.0025124i,0.00034864+0.00027251i,-0.0007489+0.0029947i,-0.002663+0.0020414i,-0.0040611+0.00045175i,-0.0042253-0.0013187i,-0.0024795-0.0024132i,-0.0012848-0.00090253i,-0.0022175+0.0015819i,-0.0033672+0.0028286i,-0.0016548+0.0025639i,0.00039555+0.0015783i
