-0.0013109+0.00054096i,-0.00056675-0.00066308i,-0.00027194-0.0010377i,-0.0014935-0.00067843i,-0.001838+0.00018498i,-0.0010215+0.00031752i,0.00043842+0.00052199i,0.0020561+0.0016726i,0.0013667+0.0014348i,7.5168e-05+0.00089933i,-8.892e-05+0.0010278i,-9.5914e-05+0.00044292i,-0.001119+0.00015315i,-0.0015026+0.00041664i,-0.00065124+0.00064535i,-0.00073704+0.00069165i,-0.00029894+0.00021644i,0.00022736-9.642e-05i,-0.0004231-0.00039428i,-0.00084303-0.00053224i,-0.00044311-0.00048997i,0.00034872-0.0005703i,0.00050468+8.5628e-06i
0.0050872+0.008691i,0.003032-0.0017102i,0.023378-0.01491i,0.059532-0.046855i,0.007724-0.09418i,-0.21996-0.066013i,-0.41116+0.087i,-0.32737+0.20848i,-0.14172+0.19608i,-0.048131+0.16157i,0.01235+0.15261i,0.05587+0.11615i,0.054137+0.062849i,0.038968+0.028094i,0.021315+0.018425i,-0.0035558+0.023402i,-0.031699+0.025048i,-0.054655+0.017363i,-0.063536+0.0089641i,-0.054254+0.0090817i,-0.033264+0.011456i,-0.016089+0.010289i,-0.0067163+0.013651i
-0.0075668+0.0042446i,-0.0080022+0.014798i,-0.040345+0.039717i,-0.11391+0.10476i,-0.13253+0.21438i,0.00046702+0.25328i,0.1474+0.12799i,0.13092-0.027013i,0.042406-0.05351i,0.0072373+0.0066561i,-0.0055589+0.056616i,-0.01029+0.066922i,-0.0058808+0.034909i,-0.017997-0.0016177i,-0.035155-0.011639i,-0.040236-0.009145i,-0.032953-0.012185i,-0.018242-0.035514i,-0.018006-0.065591i,-0.035221-0.062529i,-0.036419-0.026102i,-0.010047-5.884e-06i,0.0096016-0.0051722i
-0.015182-0.014025i,-0.024129-0.026315i,-0.019055-0.056221i,0.03801-0.12965i,0.12276-0.25854i,0.16408-0.38925i,0.14106-0.42952i,0.076692-0.35293i,-0.0063055-0.2379i,-0.067548-0.15984i,-0.084513-0.11813i,-0.069885-0.074924i,-0.032802-0.022455i,0.0027167+0.0011598i,0.0060272-0.011065i,-0.0038818-0.014147i,0.010588+0.013889i,0.040354+0.054351i,0.062799+0.073922i,0.068676+0.049355i,0.053124+0.0041958i,0.026153-0.019637i,0.0084305-0.01731i
0.0080115-0.00026068i,0.012992+0.0058464i,-0.014716+0.024183i,-0.12028+0.10686i,-0.24368+0.30182i,-0.23093+0.5089i,-0.069598+0.52252i,0.053226+0.32957i,0.050179+0.15761i,0.038232+0.10579i,0.067304+0.062253i,0.071192+0.0073921i,0.048092+0.001704i,0.047339+0.017438i,0.064958+0.011318i,0.064832-0.010145i,0.031123-0.027765i,-0.023499-0.029816i,-0.073121-0.011055i,-0.084093+0.023272i,-0.054415+0.045473i,-0.024003+0.034432i,-0.013866+0.010899i
-0.0092442-0.00022104i,-0.0067024-0.0063606i,0.040648-0.022165i,0.17794-0.072781i,0.33831-0.15243i,0.36981-0.18718i,0.25123-0.11714i,0.13835+0.0042372i,0.12573+0.062781i,0.13938+0.057696i,0.11793+0.069056i,0.086767+0.083443i,0.055823+0.060733i,0.027147+0.034037i,0.019295+0.023019i,0.016873+0.007728i,0.00079763-0.015631i,-0.01957-0.043369i,-0.039349-0.057487i,-0.047957-0.029329i,-0.030338+0.012194i,-0.0066334+0.020042i,-0.0051404+0.0092887i
0.0048801+0.0046283i,0.011595+0.011387i,-0.010853+0.028862i,-0.10688+0.05481i,-0.25503+0.051056i,-0.36268-0.023541i,-0.36456-0.10668i,-0.28701-0.10557i,-0.20752-0.053783i,-0.17013-0.020359i,-0.14909+0.0034812i,-0.10588+0.019915i,-0.064215+0.011799i,-0.061479+0.0033874i,-0.076186+0.02031i,-0.052152+0.052486i,0.028807+0.063254i,0.12258+0.039233i,0.1768-0.0013519i,0.15914-0.043267i,0.085485-0.062298i,0.025705-0.042319i,0.014781-0.015868i
-0.0098291+0.004074i,-0.014973+0.0049031i,0.014346+0.0095508i,0.12794+0.0092721i,0.30047+0.017019i,0.41257+0.056665i,0.37167+0.070743i,0.2051+0.022905i,0.0453+0.0063257i,0.0039113+0.025109i,0.016094-0.0070275i,-0.0020001-0.04505i,-0.0072592-0.03137i,0.016682-0.010838i,0.034547-0.0079854i,0.035729-0.015961i,0.019312-0.020533i,-0.0020974-0.0050899i,-0.011851+0.013896i,-0.0092329+0.011567i,-0.0040211-0.001364i,-0.0046103-0.004517i,-0.003153-0.0061054i
0.0060265+0.0026613i,0.0041803+0.0037526i,-0.039596+0.014561i,-0.15681+0.051261i,-0.26467+0.086543i,-0.23474+0.058387i,-0.11253-0.017128i,-0.035278-0.071661i,0.001484-0.09406i,0.040785-0.096013i,0.073601-0.077572i,0.078094-0.055945i,0.053397-0.033802i,0.037054-0.026527i,0.022677-0.050212i,-0.027975-0.058833i,-0.096825-0.021358i,-0.15162+0.02871i,-0.17257+0.067852i,-0.13425+0.089826i,-0.055269+0.077076i,-0.0043236+0.041037i,0.00099134+0.022032i
0.0040909-0.00054496i,-0.0015588-0.0024472i,0.020528-0.014138i,0.08134-0.031725i,0.11336-0.0072271i,0.03373+0.090331i,-0.064706+0.17364i,-0.055605+0.15913i,-0.020554+0.11103i,-0.027481+0.10511i,-0.02267+0.10861i,0.001007+0.081556i,0.00090432+0.04813i,-0.023743+0.049333i,-0.030852+0.078183i,0.0061529+0.088388i,0.063004+0.051911i,0.10067-0.0076258i,0.103-0.047773i,0.07595-0.050228i,0.035048-0.034263i,0.0047291-0.025316i,-0.0076382-0.01796i
0.0070379-0.0030035i,0.011154-0.010902i,-0.012861-0.018856i,-0.074347-0.0078005i,-0.080622-0.0060591i,0.031804-0.088191i,0.10613-0.1947i,0.048383-0.15852i,0.019348-0.02725i,0.049634+0.017513i,0.027014-0.0019949i,-0.012083+0.0051799i,-0.0134+0.017542i,0.0012944+0.022252i,0.023753+0.019731i,0.043827-0.0098299i,0.049068-0.051467i,0.050102-0.082844i,0.047958-0.09209i,0.033003-0.068732i,0.012939-0.025639i,0.0014928+0.0057232i,-0.0036559+0.0045783i
0.0077341+0.0083684i,0.01213+0.0098091i,0.06187-0.003861i,0.15918-0.064435i,0.2067-0.14012i,0.11586-0.12443i,0.008287-0.02582i,-0.01769+0.012368i,-0.041178-0.036083i,-0.062118-0.076446i,-0.039808-0.082103i,-0.017118-0.07084i,-0.0036749-0.054296i,0.006243-0.061225i,-0.013566-0.072675i,-0.053203-0.041136i,-0.079806+0.03036i,-0.086538+0.10101i,-0.076301+0.13213i,-0.042155+0.10918i,0.0059142+0.058087i,0.034844+0.019466i,0.038602+0.0023482i
0.01185-0.0027751i,0.012432-0.0054091i,-0.017793+0.0060657i,-0.095783+0.07936i,-0.13364+0.21142i,-0.032238+0.29142i,0.08789+0.21753i,0.073476+0.071664i,0.016822+0.018271i,0.02436+0.049085i,0.044815+0.056265i,0.028295+0.032685i,-0.0052862+0.024391i,-0.025026+0.032672i,-0.022245+0.039295i,-0.003209+0.038869i,0.017526+0.025426i,0.022029+0.0017384i,0.011899-0.017906i,-0.0016914-0.030501i,-0.021289-0.037926i,-0.037104-0.033308i,-0.033518-0.014123i
-0.014165+8.2432e-05i,-0.014378+0.012646i,0.019631+0.024205i,0.11766-0.022437i,0.18072-0.15715i,0.080297-0.28173i,-0.069576-0.24514i,-0.06254-0.10221i,0.024977-0.030677i,0.030017-0.0133i,0.0023846+0.027649i,0.011741+0.052555i,0.030509+0.047412i,0.044116+0.052572i,0.059722+0.051762i,0.060017+0.008366i,0.029404-0.056896i,-0.014852-0.10663i,-0.045364-0.1192i,-0.051978-0.08188i,-0.037765-0.024141i,-0.0164+0.0091096i,-0.0030169+0.013813i
-5.0062e-05-0.0077131i,-0.0067734-0.015931i,-0.065743-0.0092866i,-0.19321+0.071752i,-0.27089+0.22834i,-0.15837+0.32219i,0.023584+0.23122i,0.049305+0.085797i,-0.033891+0.05713i,-0.063928+0.064597i,-0.051675+0.020091i,-0.045188-0.019772i,-0.037397-0.033267i,-0.028223-0.050192i,-0.031821-0.065168i,-0.048965-0.0475i,-0.05377+0.001511i,-0.036714+0.053935i,-0.01178+0.085008i,0.017892+0.081377i,0.048838+0.050059i,0.058981+0.0106i,0.040482-0.019294i
-0.010541-0.0017637i,-0.007205+0.0064144i,0.03915+5.3896e-05i,0.18295-0.061733i,0.36674-0.18167i,0.41936-0.26124i,0.29144-0.19228i,0.14201-0.051222i,0.08119-0.0043095i,0.057695-0.041928i,0.025908-0.057195i,-5.5382e-05-0.029894i,-0.010384+0.0022487i,-0.025202+0.019273i,-0.039673+0.034677i,-0.018375+0.052995i,0.033571+0.052386i,0.076108+0.024913i,0.083438-0.0058385i,0.06009-0.02356i,0.021788-0.029825i,-0.0077046-0.019544i,-0.013839+0.0047915i
-0.0071002-0.0084921i,-0.011375-0.021563i,-0.064479-0.035457i,-0.22047-0.0045939i,-0.42456+0.11659i,-0.48035+0.26963i,-0.32328+0.2869i,-0.14441+0.13462i,-0.075098-0.0072057i,-0.050633-0.023976i,-0.0099356+0.006861i,0.019215+0.0081377i,0.024848+0.0068571i,0.050349+0.022891i,0.082891+0.018303i,0.070403-0.018446i,0.016531-0.05264i,-0.044721-0.064327i,-0.082303-0.060173i,-0.083587-0.042081i,-0.061691-0.013723i,-0.031849+0.0073384i,-0.0039018+0.0078768i
0.0019512-0.00010561i,0.014105+0.012052i,0.085805+0.020068i,0.26532-0.015185i,0.46912-0.11592i,0.47868-0.21799i,0.26462-0.19869i,0.08279-0.050326i,0.058796+0.081875i,0.072829+0.10437i,0.047395+0.068546i,0.019635+0.037664i,0.0090265+0.0076704i,-0.0046367-0.027171i,-0.027704-0.039703i,-0.051141-0.0097753i,-0.057822+0.048862i,-0.037269+0.10496i,-0.006315+0.12665i,0.016992+0.10065i,0.030043+0.049306i,0.02671+0.0036324i,0.0056331-0.019396i
0.0038691-0.0053283i,-0.0040948-0.014294i,-0.060816-0.023568i,-0.21085-0.014848i,-0.39153+0.0049926i,-0.41206-0.0050467i,-0.24241-0.050875i,-0.092797-0.083764i,-0.055988-0.076703i,-0.047525-0.053459i,-0.023734-0.037731i,-0.012342-0.023132i,-0.028253+0.0037463i,-0.05225+0.045203i,-0.048295+0.072665i,-0.0086087+0.062636i,0.032738+0.02635i,0.047754-0.016335i,0.038502-0.03728i,0.025102-0.027447i,0.013595-0.013307i,0.00011992-0.0015105i,-0.0017132+0.010784i
0.0037567+0.018609i,0.013641+0.035527i,0.077937+0.06973i,0.24765+0.11151i,0.48155+0.14205i,0.57556+0.14061i,0.41734+0.10075i,0.15875+0.057122i,-0.01345+0.046008i,-0.049886+0.047186i,-0.022119+0.032257i,0.0034686+0.016372i,0.036261+0.01478i,0.074083+0.003244i,0.073111-0.020694i,0.024787-0.042023i,-0.0427-0.051373i,-0.10219-0.036442i,-0.12564-0.010448i,-0.10316+0.0033004i,-0.057122+0.0057894i,-0.016915+0.00037443i,0.0032201-0.0087545i
-0.0066538-0.0038171i,-0.022809-0.018866i,-0.093679-0.046539i,-0.25656-0.078672i,-0.44195-0.097934i,-0.46021-0.086354i,-0.27075-0.049688i,-0.041979-0.04693i,0.08682-0.076788i,0.098134-0.064148i,0.057111-0.018456i,0.019228-0.0050243i,-0.019698-0.029999i,-0.057131-0.049752i,-0.069396-0.034307i,-0.05125+0.015678i,-0.0078619+0.063933i,0.040715+0.078268i,0.062151+0.061981i,0.05248+0.033288i,0.032606+0.0041581i,0.0097319-0.020475i,-0.014252-0.026486i
0.001983+0.0035969i,0.014836+0.015826i,0.067064+0.036579i,0.18709+0.062991i,0.31879+0.090266i,0.31584+0.087905i,0.16711+0.039921i,0.030259+0.011993i,-0.020694+0.025258i,-0.032168+0.026067i,-0.02892+0.015971i,-0.014738+0.023087i,-0.00051203+0.051325i,0.013246+0.081066i,0.029828+0.078793i,0.051098+0.039066i,0.062557-0.014649i,0.050088-0.059708i,0.029257-0.074088i,0.016595-0.05821i,0.0052455-0.032107i,-0.0010721-0.0007598i,0.0078028+0.018271i
-0.0018027-0.0010184i,-0.011599-0.019434i,-0.054998-0.066402i,-0.16035-0.14427i,-0.26078-0.22375i,-0.21612-0.24408i,-0.058602-0.16776i,0.039249-0.042871i,0.049482+0.051485i,0.040361+0.06532i,0.025266+0.021432i,0.012419-0.012725i,0.02117-0.031901i,0.034652-0.051818i,0.023655-0.057821i,-0.017014-0.040595i,-0.058229+0.0043976i,-0.069889+0.059813i,-0.057143+0.084827i,-0.037465+0.075793i,-0.010998+0.057814i,0.015406+0.034015i,0.023606+0.0064057i
-0.00014007+0.0049916i,0.018164+0.022556i,0.079701+0.064193i,0.2075+0.12583i,0.33012+0.1912i,0.3168+0.20835i,0.18544+0.1318i,0.043236+0.010831i,-0.058422-0.063852i,-0.072993-0.050477i,-0.030117-0.0060751i,-0.011733+0.015111i,-0.024598+0.028595i,-0.033356+0.036523i,-0.024177+0.042185i,0.0053559+0.053106i,0.044527+0.050343i,0.07261+0.034728i,0.077325+0.02788i,0.06561+0.020269i,0.044159-0.003739i,0.010934-0.021236i,-0.013367-0.01139i
-0.0029996-0.0048611i,-0.017881-0.016455i,-0.062462-0.041086i,-0.14554-0.076012i,-0.22191-0.11311i,-0.2093-0.10117i,-0.12045-0.02704i,-0.025112+0.019419i,0.036879+0.014862i,0.043929+0.0081913i,0.030878+0.0050404i,0.026212-0.0086938i,0.021455-0.01344i,0.022578-0.00038325i,0.024482+0.0010699i,0.011543-0.018119i,-0.019577-0.032656i,-0.051126-0.032491i,-0.058371-0.029275i,-0.049478-0.029184i,-0.04279-0.024518i,-0.03071-0.011103i,-0.012258-0.0058472i
0.00012634+0.0088037i,0.011758+0.025838i,0.049411+0.068903i,0.12395+0.12487i,0.18776+0.1457i,0.15518+0.077887i,0.064624-0.032907i,0.028808-0.080993i,0.037535-0.075606i,0.018973-0.061702i,-0.017036-0.038091i,-0.0292-0.017169i,-0.027274-0.010457i,-0.027713-0.0022858i,-0.026893+0.01794i,-0.01827+0.042809i,0.0012671+0.058916i,0.014312+0.066704i,0.0037662+0.068954i,-0.0068937+0.062175i,0.0035233+0.044475i,0.012193+0.021076i,0.0017801+0.0099365i
-0.0076139-0.0060413i,-0.026455-0.022476i,-0.079757-0.060651i,-0.16345-0.10863i,-0.19742-0.14288i,-0.10726-0.14336i,-0.0072462-0.095395i,-0.0066896+0.0026131i,-0.023262+0.097997i,0.0050817+0.10433i,0.032239+0.049964i,0.035232+0.021503i,0.031565+0.014028i,0.026429+0.0018262i,0.027712-0.011863i,0.032973-0.024945i,0.029294-0.034315i,0.027635-0.038219i,0.038847-0.032195i,0.051864-0.024637i,0.046708-0.027143i,0.027457-0.024717i,0.018781-0.013308i
0.011331+0.0059338i,0.027585+0.015235i,0.070261+0.032146i,0.13422+0.054366i,0.17954+0.079341i,0.16298+0.093906i,0.11556+0.056094i,0.060317-0.026907i,0.0031109-0.073213i,-0.008618-0.053009i,0.0055115-0.023496i,0.00081766-0.016018i,-0.0078715-0.0099071i,-0.0086046-0.0052207i,-0.016306-0.003895i,-0.023273+0.005963i,-0.019121+0.021246i,-0.012905+0.025774i,-0.012318+0.0071829i,-0.021835-0.014635i,-0.030392-0.010288i,-0.025021+0.003196i,-0.017487-0.00071839i
-0.0023235-0.008992i,-0.015376-0.023367i,-0.049089-0.058367i,-0.10765-0.10027i,-0.1604-0.11167i,-0.15663-0.067671i,-0.11376-0.0076733i,-0.086063+0.011931i,-0.079978+0.017176i,-0.063413+0.041772i,-0.029685+0.050971i,-0.0086916+0.038188i,-0.0011491+0.030228i,0.013176+0.028761i,0.034321+0.026333i,0.044608+0.015686i,0.04055+0.001364i,0.027721+0.0033917i,0.010899+0.02832i,0.0068481+0.051876i,0.01878+0.04565i,0.026615+0.023183i,0.024072+0.011626i
0.010738+0.0013764i,0.029833+0.015793i,0.08122+0.045098i,0.16281+0.07096i,0.21093+0.048682i,0.16581-0.025827i,0.091342-0.089793i,0.075194-0.099468i,0.091657-0.088075i,0.06785-0.071985i,0.028545-0.046601i,0.018443-0.033826i,0.013387-0.030239i,0.00358-0.021376i,-0.0044424-0.016405i,-0.010038-0.010585i,-0.0076108+0.0017503i,0.0043114+0.0084242i,0.025621+0.0023248i,0.036483-0.01887i,0.014117-0.043256i,-0.015218-0.045086i,-0.019302-0.028828i
0.0010797-0.0036829i,-0.016394-0.011539i,-0.060647-0.027023i,-0.11901-0.035794i,-0.12594-0.035328i,-0.06202-0.043862i,-0.012301-0.043004i,-0.026436-0.011628i,-0.054309+0.024481i,-0.045304+0.024048i,-0.027751+0.0029775i,-0.029735+0.0040029i,-0.03151+0.015437i,-0.026802+0.023939i,-0.013399+0.033583i,0.0073121+0.032069i,0.020648+0.018478i,0.019456+0.0045131i,-0.0020067-0.0095785i,-0.029091-0.011685i,-0.034206+0.006619i,-0.02018+0.020736i,-0.0082768+0.020483i
-0.0015832-0.0020996i,0.010458+0.0086722i,0.040184+0.036008i,0.090682+0.075522i,0.13889+0.10526i,0.16096+0.10585i,0.14394+0.073485i,0.10192+0.041245i,0.077562+0.033141i,0.068435+0.03542i,0.052632+0.037595i,0.038188+0.034362i,0.032483+0.028659i,0.031242+0.015869i,0.025846-0.0051758i,0.013099-0.014004i,0.0014845-0.0039683i,-0.0013344+0.014924i,0.00846+0.038757i,0.028078+0.04649i,0.042572+0.021253i,0.037019-0.0088498i,0.022676-0.02077i
-0.0082687-0.0019318i,-0.026785-0.014382i,-0.074766-0.044502i,-0.15847-0.079655i,-0.23426-0.08334i,-0.24995-0.036169i,-0.20606+0.015508i,-0.15565+0.021334i,-0.11979+0.013296i,-0.071943+0.012032i,-0.033204-0.0057466i,-0.026843-0.02664i,-0.029673-0.028528i,-0.024513-0.021017i,-0.01745-0.011376i,-0.009732-0.0012002i,0.004206+0.0068975i,0.02385+0.0087219i,0.040497-0.0047418i,0.034235-0.02522i,0.0050663-0.026866i,-0.015542-0.011433i,-0.018236+0.0024153i
9.3565e-05+0.0058761i,0.021399+0.011781i,0.070264+0.021451i,0.13992+0.016313i,0.17885-0.012325i,0.15157-0.062415i,0.082037-0.096228i,0.031802-0.066862i,0.019361-0.016285i,0.0034971+0.005663i,-0.012909+0.012415i,-0.010906+0.017367i,-0.0041432+0.017837i,0.0029027+0.016791i,0.015004+0.0091724i,0.019356-0.0044029i,0.010309-0.017066i,-0.0085353-0.024349i,-0.033293-0.016243i,-0.042855+0.0048906i,-0.026921+0.017369i,-0.0044016+0.01354i,0.010434+0.0066547i
-0.014447-0.009105i,-0.026962-0.013642i,-0.056812-0.028095i,-0.086476-0.057392i,-0.089794-0.099364i,-0.070283-0.12447i,-0.04794-0.11044i,-0.043933-0.085294i,-0.042994-0.06231i,-0.0059117-0.041442i,0.033845-0.032803i,0.037706-0.03202i,0.024552-0.02827i,0.013211-0.019917i,0.0037448-0.012567i,-0.0036134-0.0067014i,-0.0088598+0.010986i,-0.0043325+0.038345i,0.01394+0.053707i,0.027959+0.042407i,0.022701+0.015661i,0.0048667-0.0041299i,-0.012331-0.014841i
0.0030876+0.0021677i,0.020294+0.012434i,0.063799+0.042627i,0.13799+0.094296i,0.21072+0.146i,0.24051+0.14522i,0.20563+0.092243i,0.14317+0.04732i,0.10134+0.026638i,0.065922+0.012217i,0.023057+0.0071281i,-0.0029981+0.016084i,-0.006906+0.027507i,-0.0023785+0.029306i,0.0064655+0.023739i,0.020632+0.01601i,0.039858-9.4243e-05i,0.053848-0.026686i,0.04834-0.050561i,0.026195-0.052549i,0.0017001-0.033888i,-0.010384-0.011731i,-0.0075176+0.0061775i
-0.0045559+0.0034361i,-0.024487-0.0012745i,-0.073363-0.010754i,-0.14626-0.024489i,-0.20461-0.042773i,-0.21043-0.03737i,-0.16121-0.0060677i,-0.09727+0.011269i,-0.055324+0.025374i,-0.028766+0.049783i,-0.0029108+0.053398i,0.0082969+0.034667i,0.0099325+0.018472i,0.01228+0.0032039i,0.0068634-0.012265i,-0.0044096-0.020451i,-0.020991-0.021164i,-0.040032-0.014139i,-0.045171-0.00087787i,-0.032661+0.012489i,-0.015367+0.018612i,-0.0011406+0.012958i,0.010376-0.0029801i
0.0035267+0.0013048i,0.017972+0.0041433i,0.044864+0.012298i,0.070674+0.032937i,0.084227+0.063963i,0.080447+0.060885i,0.053862+0.032556i,0.027892+0.043013i,0.020253+0.055837i,0.0134+0.021227i,-0.0020416-0.013268i,-0.0111-0.016149i,-0.017259-0.0076006i,-0.020688+0.0022557i,-0.015426+0.0096284i,-0.0052607+0.020172i,0.018526+0.039432i,0.054257+0.051789i,0.07467+0.045437i,0.066158+0.022979i,0.042168-0.00568i,0.017228-0.020736i,-0.0038762-0.014288i
-0.0025785+0.0041463i,-0.017368-0.0047361i,-0.047514-0.033514i,-0.085987-0.096598i,-0.10729-0.17493i,-0.087953-0.19734i,-0.056687-0.15625i,-0.064061-0.11774i,-0.080971-0.090228i,-0.059081-0.05738i,-0.024629-0.030191i,-0.0084189-0.01465i,0.0024461-0.0072407i,0.012856-0.006156i,0.019275-0.010146i,0.021203-0.020412i,0.016281-0.036507i,0.0082713-0.049587i,0.0032444-0.049441i,-0.0049211-0.037745i,-0.021367-0.018135i,-0.028047+0.0037824i,-0.014603+0.017908i
0.0076331+0.0036502i,0.027728+0.0060732i,0.075004+0.016781i,0.13591+0.042858i,0.17237+0.088477i,0.15332+0.12054i,0.10635+0.10978i,0.079178+0.074448i,0.07767+0.042832i,0.079043+0.024487i,0.061809+0.016879i,0.034816+0.013857i,0.013838+0.0094211i,0.00016212+0.0038204i,-0.010325+0.00061511i,-0.021302+0.00483i,-0.03183+0.023624i,-0.037832+0.045627i,-0.036602+0.052158i,-0.022319+0.045435i,0.0033636+0.034045i,0.021498+0.018817i,0.02091+0.0022054i
-0.00080524+0.0018629i,-0.014349+0.0014403i,-0.037672-0.0013436i,-0.057218-0.021488i,-0.065688-0.069644i,-0.06708-0.10453i,-0.056636-0.093912i,-0.022427-0.075684i,0.0063946-0.067424i,-0.0014645-0.042184i,-0.010626-0.014026i,-0.0052805-0.0035348i,0.0028753+0.00609i,0.011563+0.015871i,0.019114+0.016883i,0.029833+0.0094031i,0.0441-0.0085112i,0.053728-0.021231i,0.05538-0.019064i,0.046493-0.017422i,0.023403-0.023839i,-0.0041973-0.024523i,-0.018126-0.014412i
0.0062882+0.0056244i,0.019249+0.0089757i,0.041931+0.027443i,0.058199+0.072689i,0.058158+0.12035i,0.035056+0.11243i,0.0021032+0.072554i,-0.017184+0.08394i,-0.016101+0.11835i,-0.01027+0.093495i,-0.016757+0.042573i,-0.02089+0.019329i,-0.01684+0.0078805i,-0.013982-0.0066559i,-0.014245-0.018654i,-0.018298-0.023647i,-0.023078-0.023252i,-0.023605-0.032445i,-0.021045-0.048766i,-0.021269-0.046148i,-0.021941-0.017314i,-0.01249+0.011329i,0.00040818+0.0188i
-0.0029321+0.00084268i,-0.021298-0.0014324i,-0.058607-0.014818i,-0.095955-0.04658i,-0.08525-0.092446i,-0.0098828-0.12634i,0.04527-0.13312i,0.02678-0.12231i,-0.0023657-0.10716i,0.0018276-0.088836i,0.017947-0.062159i,0.021712-0.034654i,0.012026-0.011471i,0.0031997+0.0089268i,0.0020053+0.020509i,0.0065844+0.02716i,0.01909+0.033178i,0.028069+0.03861i,0.022072+0.043071i,0.014125+0.040492i,0.014332+0.023701i,0.014013+0.00040541i,0.0086974-0.01385i
0.0052733-0.0025029i,0.019424-0.0060588i,0.040145-0.011536i,0.046448-0.0046685i,0.020875+0.034618i,-0.012782+0.091554i,-0.019745+0.10489i,-0.030044+0.064678i,-0.046735+0.034992i,-0.029155+0.028187i,-0.0043892+0.014451i,-0.0010323-0.0016266i,0.0024427-0.010092i,0.009673-0.017659i,0.013711-0.024939i,0.01376-0.029869i,0.011924-0.030664i,0.022083-0.026434i,0.043241-0.023441i,0.044984-0.026426i,0.01653-0.025184i,-0.0099646-0.010088i,-0.012874+0.0035364i
-0.0054672-0.0035382i,-0.015708-0.0037781i,-0.02789-0.01392i,-0.024259-0.049727i,-0.0052837-0.10049i,0.0038888-0.11799i,0.010402-0.086633i,0.051286-0.061512i,0.087843-0.057826i,0.075004-0.027609i,0.048642+0.012102i,0.031005+0.023422i,0.010097+0.01993i,-0.0073098+0.017869i,-0.016545+0.017308i,-0.019491+0.015396i,-0.020687+0.010781i,-0.029161+0.00177i,-0.044433-0.0077346i,-0.049453-0.003605i,-0.031857+0.012295i,-0.003849+0.019326i,0.014461+0.013879i
0.0047606-0.0040561i,0.018662-0.0023706i,0.044703+0.0079554i,0.069389+0.03008i,0.057219+0.041273i,0.00067721+0.01815i,-0.052443-0.0011695i,-0.070981+0.02488i,-0.066527+0.052246i,-0.059718+0.036017i,-0.046384+0.0058849i,-0.021357-0.0065753i,0.0024753-0.004862i,0.017259-0.0033296i,0.024675-0.0079586i,0.025957-0.012584i,0.024078-0.010396i,0.020447+0.0024692i,0.021373+0.023218i,0.030392+0.029795i,0.034314+0.011412i,0.02351-0.0078131i,0.010876-0.01107i
-0.0093463-0.0028406i,-0.022852+0.0024552i,-0.046986+0.014265i,-0.046751+0.025775i,0.014686+0.018933i,0.099801-0.01753i,0.11887-0.048178i,0.077511-0.035674i,0.038575-0.011875i,0.015636-0.0076659i,-0.0026294-0.0030084i,-0.014801+0.0055012i,-0.020297+0.0042922i,-0.02506-0.00087139i,-0.029214-0.0012389i,-0.025525+0.0011793i,-0.010646-0.0029617i,0.0072707-0.020765i,0.01802-0.046502i,0.0084669-0.058298i,-0.014793-0.040528i,-0.022998-0.011983i,-0.018282+0.00042552i
0.0015601-0.0023515i,0.009162-0.0051354i,0.013743-0.004721i,-0.0056824+0.012919i,-0.050533+0.054599i,-0.069028+0.085975i,-0.059144+0.061494i,-0.081253+0.0084057i,-0.091611-0.018234i,-0.040793-0.023373i,0.0093501-0.027519i,0.021091-0.020759i,0.01895-0.0018254i,0.022505+0.011773i,0.030223+0.011625i,0.029282+0.0037876i,0.016123-0.00067155i,-0.0018765+3.3163e-05i,-0.022426+0.0078424i,-0.030378+0.02474i,-0.013098+0.034114i,0.0064858+0.024264i,0.0081173+0.010145i
-0.0034592+0.0051448i,-0.014938+0.0051659i,-0.032508-0.0053769i,-0.049546-0.034635i,-0.052947-0.061776i,-0.042857-0.045837i,-0.011784-0.0098832i,0.041894-0.012388i,0.068407-0.023358i,0.049593-0.0095i,0.017625-0.0042371i,-0.0047175-0.01475i,-0.013601-0.022579i,-0.019227-0.025266i,-0.027324-0.023885i,-0.029426-0.016924i,-0.019947-0.0056706i,-0.00014084+0.0084724i,0.028512+0.018241i,0.046102+0.0087562i,0.032615-0.012948i,0.0086407-0.020398i,0.0021953-0.015689i
0.0034678-0.00089452i,0.016291-0.0057012i,0.040055-0.015307i,0.058503-0.039369i,0.034387-0.079587i,-0.029171-0.11575i,-0.072502-0.10578i,-0.067824-0.049212i,-0.04503-0.0027214i,-0.026918+0.018209i,-0.0044509+0.028693i,0.011098+0.029807i,0.008786+0.028547i,0.0051008+0.03085i,0.011151+0.031032i,0.017669+0.022805i,0.019143+0.0077964i,0.014707-0.013111i,0.00055769-0.034386i,-0.018453-0.0346i,-0.02524-0.0093507i,-0.013266+0.0095175i,-0.00019022+0.0065941i
-0.0012388+0.0037618i,-0.0086906+0.0095519i,-0.013424+0.019809i,0.01246+0.027821i,0.083017+0.018137i,0.14145-0.0052449i,0.12981-0.0062171i,0.085622+0.030722i,0.059391+0.051894i,0.037188+0.020374i,0.013971-0.013321i,0.0066078-0.022646i,0.0089027-0.025829i,0.0081583-0.03129i,-0.00059346-0.036392i,-0.010742-0.033615i,-0.016048-0.023676i,-0.022084-0.0077761i,-0.027681+0.016298i,-0.01556+0.033468i,0.010333+0.0253i,0.019777+0.0049772i,0.011586-0.0027288i
