-0.0029905+0.0018308i,-0.0021124+0.00072399i,-0.0017219+0.0012898i,-0.001451+0.0016627i,-0.0012468+0.0011924i,-0.00089699+0.00076767i,-0.001027+0.00089421i,-0.00042278+0.0014441i,0.00065571+0.0018978i,0.0021099+0.0012356i,0.0021598+0.00010763i,0.00071608-0.0012945i,0.00012546-0.0019951i,0.00025087-0.0016485i,-0.00020164-0.00046149i,-6.8879e-06-0.00027333i,0.00038178-0.00026314i,0.0003952-0.00020223i,0.00055102-0.00010208i,0.00018178+0.00019457i,-0.0001098+0.00020269i,0.00042339+0.00010385i,0.00054329-0.00016856i
-0.47846-0.62379i,-0.46644-0.67405i,-0.26687-0.51137i,-0.16904-0.35202i,-0.21714-0.25551i,-0.21357-0.14707i,-0.12085-0.072475i,-0.052639-0.045017i,-0.030092-0.016243i,-0.0089969+0.01438i,0.016355+0.032417i,0.031+0.03414i,0.027484+0.02485i,0.013394+0.02292i,0.0020756+0.028648i,-0.0046365+0.03096i,-0.0076925+0.027335i,-0.0060199+0.018813i,-0.0015552+0.012451i,0.0031039+0.009937i,0.0057356+0.010196i,0.0062803+0.010392i,0.0051776+0.0058187i
0.73295+0.13687i,0.72945+0.2037i,0.46355+0.2428i,0.29245+0.22478i,0.27564+0.14652i,0.21555+0.060857i,0.10897+0.039062i,0.049839+0.041246i,0.026627+0.018892i,-0.0029007-0.008357i,-0.032872-0.01826i,-0.045736-0.011i,-0.0386+0.00039166i,-0.022303-0.0027172i,-0.010486-0.020145i,-0.00706-0.032841i,-0.0067775-0.027145i,-0.0058367-0.0089447i,-0.0049823+0.0049066i,-0.0037735+0.0082609i,-0.0011069+0.0033239i,-2.6148e-05-0.003465i,-0.0020303-0.0043832i
-0.58366+0.35674i,-0.59554+0.27829i,-0.40581+0.052121i,-0.28419-0.071229i,-0.26898-0.039445i,-0.21016+0.014819i,-0.11903+0.015058i,-0.061181+0.0028856i,-0.029209+0.010578i,0.002232+0.018754i,0.030164+0.01442i,0.041307+0.0037314i,0.033785-0.0018992i,0.021559+0.0052105i,0.014982+0.019565i,0.016516+0.028986i,0.017971+0.022697i,0.016409+0.0075041i,0.018104-0.004026i,0.01762-0.011237i,0.011737-0.013622i,0.0074611-0.010998i,0.0053471-0.0074955i
0.17462-0.61188i,0.22759-0.54859i,0.23077-0.25339i,0.22815-0.066903i,0.2165-0.059075i,0.16055-0.069027i,0.10592-0.042379i,0.074546-0.023637i,0.042987-0.024989i,0.0015568-0.018512i,-0.032705+0.00081613i,-0.040576+0.014688i,-0.025299+0.012943i,-0.011543-0.0014849i,-0.014268-0.015259i,-0.023784-0.019023i,-0.021979-0.013307i,-0.010777-0.0046251i,-0.0045022+0.002104i,-0.0031917+0.00848i,-0.0029021+0.011711i,-0.0055095+0.0097212i,-0.0091672+0.0068377i
0.26426+0.51998i,0.18032+0.4839i,-0.0116+0.24775i,-0.13172+0.09423i,-0.14058+0.089787i,-0.098783+0.091988i,-0.061432+0.058076i,-0.037809+0.029047i,-0.011808+0.019566i,0.020351+0.0043814i,0.03855-0.023346i,0.031341-0.038402i,0.014353-0.030541i,0.0088443-0.012747i,0.019121+0.0018668i,0.030108+0.0051661i,0.024398+4.5055e-05i,0.0064492-0.0086727i,-0.0066409-0.016214i,-0.010916-0.019909i,-0.011495-0.017656i,-0.0087068-0.01198i,-0.0030391-0.0086258i
-0.5222-0.17388i,-0.43686-0.17994i,-0.15815-0.11179i,0.029689-0.067096i,0.065948-0.078604i,0.055133-0.089964i,0.039038-0.07814i,0.021288-0.05786i,0.0041438-0.038267i,-0.011741-0.0063601i,-0.013271+0.028106i,-0.0060532+0.034222i,-0.0044375+0.018158i,-0.0099395+0.0031942i,-0.020971-0.0041939i,-0.029367-0.0017185i,-0.024845+0.0039405i,-0.012907+0.0087681i,-0.0037245+0.015379i,0.006135+0.021538i,0.01448+0.021595i,0.012576+0.016356i,0.0064445+0.012322i
0.45911-0.22329i,0.39194-0.16888i,0.15464-0.049047i,-0.00081722+0.019816i,-0.02857+0.044643i,-0.022161+0.070303i,-0.011276+0.076233i,-0.0027948+0.055996i,0.0041018+0.030003i,0.0069459-0.0048081i,-0.0023764-0.030022i,-0.0086298-0.026293i,-0.0031502-0.0085924i,0.0088375+0.0035824i,0.02202+7.4609e-05i,0.02593-0.011122i,0.016172-0.012723i,0.0033733-0.00489i,-0.002968-0.00094582i,-0.0094904-0.0050696i,-0.016781-0.0083982i,-0.015046-0.0076152i,-0.0073648-0.0073647i
-0.15631+0.45253i,-0.13148+0.37504i,-0.0417+0.16326i,0.019586+0.043764i,0.025853+0.0019349i,-0.0032524-0.045492i,-0.028801-0.05653i,-0.025824-0.032775i,-0.017103-0.015947i,-0.0098819+0.0037828i,0.002313+0.019127i,0.005368+0.018545i,-0.0029421+0.011099i,-0.013471+0.0067167i,-0.023149+0.012909i,-0.022622+0.022777i,-0.010987+0.020748i,0.0021201+0.010614i,0.013392+0.0063299i,0.024595+0.004405i,0.032363-0.00063549i,0.028151-0.0038977i,0.016326-0.003952i
-0.19689-0.40983i,-0.16537-0.3453i,-0.088215-0.17203i,-0.062424-0.082599i,-0.056687-0.03368i,-0.0030249+0.026046i,0.04397+0.038112i,0.03698+0.020433i,0.017368+0.0099309i,0.00033861-0.0033216i,-0.014841-0.012274i,-0.01321-0.011602i,0.0014768-0.012155i,0.014555-0.018359i,0.016734-0.024914i,0.0098629-0.025553i,0.003722-0.017308i,0.00082227-0.0089925i,-0.0059548-0.007813i,-0.019451-0.0043998i,-0.029281+0.0053846i,-0.026621+0.0092068i,-0.018657+0.0039162i
0.40363+0.14238i,0.3388+0.12048i,0.18207+0.075175i,0.12492+0.059226i,0.094961+0.026347i,0.0068918-0.01017i,-0.041778-0.0072202i,-0.023375-0.0022974i,-0.0052405-0.0024949i,0.0082515+0.0078794i,0.01874+0.011442i,0.011618+0.0091592i,1.8042e-05+0.013749i,-0.0042434+0.02207i,-0.0018676+0.027189i,0.0032179+0.025278i,0.0045759+0.014675i,0.0024526+0.0042704i,0.0039283+0.0010429i,0.011835-0.0032879i,0.017458-0.013456i,0.013404-0.017407i,0.0062276-0.0099003i
-0.37011+0.17906i,-0.31146+0.14314i,-0.18875+0.042927i,-0.16289-0.012605i,-0.12008-0.003406i,-0.0083064-0.0028459i,0.041798-0.022221i,0.026135-0.013962i,0.016409+0.0021464i,0.0059737+0.0018426i,-0.0058964-0.0010689i,-0.0057466-0.0082526i,-0.0055939-0.019323i,-0.0097623-0.024707i,-0.011501-0.026308i,-0.010485-0.025034i,-0.0068515-0.016914i,-0.0050648-0.0075534i,-0.010174+0.00018124i,-0.016911+0.011995i,-0.016853+0.025261i,-0.0096577+0.028269i,-0.0031441+0.019965i
0.12698-0.3631i,0.11614-0.28953i,0.11732-0.11187i,0.16652-0.035913i,0.13944-0.034378i,0.031504-0.00084049i,-0.016889+0.027985i,-0.0090511+0.0079492i,-0.0017885-0.014744i,0.0097348-0.01799i,0.017081-0.012486i,0.015183+0.0031425i,0.017352+0.015199i,0.022835+0.016642i,0.024168+0.016048i,0.019828+0.011637i,0.01029+0.0053931i,0.0048081+0.0033428i,0.010223+0.0019982i,0.018212-0.0081588i,0.017052-0.023259i,0.0085647-0.026278i,0.0045844-0.018697i
0.15343+0.34249i,0.11648+0.27799i,-0.021009+0.13308i,-0.14355+0.0917i,-0.12913+0.081322i,-0.038656+0.0066988i,-0.0034705-0.035101i,-0.00038757-0.010703i,0.0080233+0.0076252i,0.0030929+0.0072787i,-0.0076018+0.0026812i,-0.018655-0.0061804i,-0.029407-0.0084678i,-0.032687-0.0052503i,-0.031463-0.0036403i,-0.026304-0.00096081i,-0.016762+0.00041689i,-0.0098444+0.0009403i,-0.0096039+0.0035229i,-0.010289+0.010219i,-0.0050891+0.019165i,0.0030012+0.01797i,0.0029678+0.0086847i
-0.34047-0.12975i,-0.26401-0.096949i,-0.03343-0.065771i,0.12396-0.11583i,0.1052-0.11978i,0.036393-0.020942i,0.013684+0.029005i,-0.0069222+0.0056866i,-0.030594-0.0065903i,-0.027424-0.0045728i,-0.0098349-0.0028243i,0.010661+0.0010257i,0.026378-0.0032616i,0.030069-0.011328i,0.025542-0.013162i,0.016577-0.0099797i,0.0075062-0.0033549i,0.0036625-0.00073886i,0.006165-0.0068161i,0.0063001-0.01638i,-0.0020564-0.024917i,-0.012042-0.024208i,-0.013609-0.015796i
0.32793-0.14388i,0.24514-0.13401i,0.022043-0.016048i,-0.098287+0.13472i,-0.070495+0.14483i,-0.039387+0.036743i,-0.028142-0.010682i,0.0066357+0.0020478i,0.030061+0.0047417i,0.019682+0.0043461i,-0.00054135+0.0063502i,-0.018713+0.010353i,-0.025162+0.021327i,-0.020508+0.029109i,-0.014174+0.026687i,-0.0075905+0.018892i,-0.0014708+0.011447i,-0.00097681+0.0080317i,-0.0057766+0.011154i,-0.0062551+0.020811i,0.0020572+0.028623i,0.0095374+0.0243i,0.0079904+0.016261i
-0.13104+0.3215i,-0.064429+0.27114i,0.054245+0.03559i,0.069483-0.17201i,0.022232-0.16485i,0.024869-0.048699i,0.029862-0.00058867i,0.0012823+0.0056589i,-0.012441+0.018656i,-0.0022445+0.017141i,0.0104+0.0030495i,0.01951-0.014564i,0.015986-0.031365i,0.0064459-0.037091i,0.0020229-0.031165i,0.0015354-0.021i,0.0016-0.011905i,0.0031813-0.0076027i,0.0065295-0.010152i,0.0062764-0.017147i,0.00012048-0.02059i,-0.0054318-0.015264i,-0.0038496-0.0085628i
-0.12232-0.31945i,-0.16063-0.24794i,-0.13034+0.0074303i,-0.025405+0.19063i,0.029513+0.15632i,-0.0054007+0.051721i,-0.01636+0.0098031i,0.014746-0.010412i,0.028046-0.030637i,0.021329-0.027659i,0.0091792-0.008171i,-0.00013145+0.014903i,0.0051936+0.028553i,0.016876+0.029535i,0.019682+0.022638i,0.014382+0.011196i,0.0084053+0.001709i,0.004281+0.00050508i,0.0030725+0.0083182i,0.0068809+0.018191i,0.014182+0.021451i,0.016789+0.014168i,0.012964+0.0057846i
0.3095+0.15413i,0.31536+0.073945i,0.16285-0.11159i,-0.020523-0.20531i,-0.067368-0.14112i,-0.010185-0.055799i,0.008436-0.019924i,-0.0082234+0.0056894i,-0.0057585+0.021255i,0.002469+0.013212i,0.0027704-0.0042198i,-0.0040271-0.020673i,-0.018357-0.025299i,-0.02921-0.018998i,-0.027778-0.012091i,-0.020694-0.0056135i,-0.014606-0.0019839i,-0.010401-0.0037202i,-0.0076632-0.012125i,-0.010659-0.023559i,-0.019992-0.027717i,-0.023575-0.021818i,-0.019344-0.016012i
-0.33037+0.09483i,-0.30493+0.16491i,-0.10214+0.2278i,0.087294+0.20161i,0.1016+0.10643i,0.023577+0.040953i,-0.0040884+0.012922i,-0.0051888-0.015846i,-0.02202-0.028557i,-0.030859-0.018449i,-0.022224-0.0018894i,-0.0034938+0.014615i,0.017839+0.016879i,0.028122+0.0061178i,0.024377-0.0019163i,0.013402-0.0039685i,0.0038651-0.0035397i,-6.2348e-05-0.00091297i,0.0010433+0.0071442i,0.0090322+0.018216i,0.019656+0.021527i,0.020263+0.015054i,0.012198+0.010037i
0.18731-0.28119i,0.15035-0.33345i,-0.014998-0.29411i,-0.14791-0.18254i,-0.12403-0.074304i,-0.03874-0.027866i,-0.0076154-0.0048385i,0.0028767+0.018378i,0.019574+0.021608i,0.021636+0.0096937i,0.007198-0.0030474i,-0.014827-0.009077i,-0.028919-0.00072329i,-0.027486+0.011537i,-0.019456+0.015169i,-0.011223+0.01307i,-0.0045745+0.011365i,-0.0013829+0.0081748i,-0.0045958-0.00068699i,-0.017058-0.0092679i,-0.028992-0.0087987i,-0.028242-0.0029505i,-0.01927-0.00050933i
0.032996+0.32388i,0.073248+0.3687i,0.16405+0.2813i,0.20759+0.13162i,0.13081+0.032796i,0.036683+0.013698i,0.0067021+0.0040988i,-0.0020097-0.005793i,-0.011207+0.0068406i,-0.0081237+0.019833i,0.0039487+0.018784i,0.017938+0.006575i,0.022989-0.012419i,0.018428-0.02429i,0.011573-0.023867i,0.005605-0.017631i,0.0012205-0.010215i,0.00091104-0.0013743i,0.0094008+0.0089029i,0.027022+0.013204i,0.041338+0.0087383i,0.039875+0.0027929i,0.028731+0.0015041i
-0.22236-0.22318i,-0.27362-0.26493i,-0.29574-0.18377i,-0.25075-0.051579i,-0.12504+0.0088412i,-0.025911+0.0025379i,0.0049807+0.0038612i,0.018105+0.0071078i,0.025988-0.0088716i,0.020933-0.020725i,0.0078322-0.016553i,-0.005169-0.002454i,-0.0060498+0.013221i,0.00069025+0.02105i,0.0049356+0.018435i,0.00678+0.010799i,0.00697+0.0037055i,0.0053526-0.0019703i,-0.0040047-0.0067488i,-0.021681-0.0058094i,-0.034654+0.0006862i,-0.032628+0.0036148i,-0.024096+0.0007295i
0.29001+0.036044i,0.36677+0.073992i,0.35673+0.036807i,0.25327-0.037026i,0.10737-0.03931i,0.019896-0.0059359i,-0.0036853-0.0081448i,-0.0092872-0.014594i,-0.0038503-0.0020892i,0.0039172+0.0072622i,0.0069873+0.0052715i,0.0068788-0.0043375i,-0.00018188-0.01354i,-0.0090263-0.017407i,-0.012155-0.015093i,-0.011091-0.0091061i,-0.0091483-0.0038502i,-0.0043561-0.00097416i,0.0084089-0.0013734i,0.024546-0.0091783i,0.032149-0.020819i,0.027582-0.022589i,0.018955-0.015027i
-0.2314+0.13844i,-0.33301+0.12986i,-0.33197+0.1268i,-0.21769+0.11933i,-0.083633+0.055528i,-0.013148-0.00070072i,0.0087951-0.00097619i,0.0098428+0.0010965i,-0.0081989-0.010961i,-0.021563-0.015626i,-0.020982-0.010114i,-0.013815+0.0013214i,-0.0005156+0.0093733i,0.010715+0.0094086i,0.012653+0.0059388i,0.0084262+0.0023188i,0.0034997-0.0012052i,-0.002452-0.0037317i,-0.013741+0.00024222i,-0.026727+0.013904i,-0.031613+0.027388i,-0.028276+0.028256i,-0.024108+0.019307i
0.094867-0.22655i,0.20348-0.26837i,0.24242-0.25523i,0.16442-0.18663i,0.061234-0.074064i,0.0057413-0.00058857i,-0.019429+0.0057708i,-0.020054+0.0010441i,-0.00052717+0.003156i,0.012355+0.0050995i,0.012824+0.0037387i,0.0042237-0.0019117i,-0.0082037-0.0033379i,-0.014118+0.00064352i,-0.01238+0.0031821i,-0.0067521+0.0037464i,-0.0018315+0.0051298i,0.0031685+0.0066389i,0.011908+0.00042483i,0.020401-0.016118i,0.021518-0.029009i,0.018403-0.027116i,0.016877-0.018647i
0.058183+0.21147i,-0.028813+0.29939i,-0.10081+0.31247i,-0.084828+0.22027i,-0.038501+0.075828i,-0.012058-0.00717i,0.01106-0.012223i,0.017454+0.0019987i,0.0047426+0.014399i,-0.0042253+0.016648i,-0.0054581+0.0099966i,-0.00050056+0.0046256i,0.0069362-0.00035098i,0.0097749-0.0053307i,0.008524-0.0058029i,0.0045643-0.0038214i,-0.00038594-0.0033377i,-0.00518-0.0009049i,-0.0093086+0.010514i,-0.0084059+0.028385i,-0.0044563+0.039198i,-0.0038086+0.036201i,-0.0064062+0.026527i
-0.14738-0.11133i,-0.10027-0.23584i,-0.026021-0.30656i,0.0047786-0.23356i,0.017488-0.083283i,0.019522+0.0040019i,-0.00075882+0.017502i,-0.0088726+0.0068454i,0.0020605-0.008917i,0.011215-0.014806i,0.012395-0.012604i,0.0066865-0.0073576i,0.00061592+0.0017864i,-0.0017105+0.0077339i,-0.0018004+0.0067445i,-3.3498e-05+0.0024539i,0.0034392-0.00080984i,0.0073569-0.0040567i,0.0079869-0.014087i,0.0024167-0.030879i,-0.0026637-0.041547i,-0.0012342-0.039352i,0.0031158-0.030672i
0.14494-0.0029126i,0.15683+0.14102i,0.12748+0.26097i,0.074588+0.21794i,0.0056534+0.084896i,-0.020964+0.0061987i,0.0019548-0.014875i,0.017894-0.014636i,0.016428-0.0030413i,0.0083121+0.0045549i,0.00017306+0.0062609i,-0.0017397+0.0041505i,-0.00085606-0.0023465i,-0.0012014-0.0078554i,-0.0014286-0.0083349i,-0.0015676-0.0044991i,-0.0031525-0.00095031i,-0.0045337+0.0034199i,-0.00044712+0.01333i,0.0090728+0.025613i,0.014239+0.031892i,0.0092138+0.029542i,0.0021405+0.022752i
-0.080905+0.072161i,-0.15977-0.059606i,-0.20181-0.19062i,-0.14431-0.17706i,-0.032209-0.083778i,0.016152-0.0194i,0.0010107+0.010002i,-0.013655+0.011508i,-0.01816-0.0027088i,-0.015678-0.0099536i,-0.0087125-0.0098283i,-0.0049208-0.0055502i,-0.001452+0.0010915i,0.0033753+0.0040985i,0.0047177+0.0041099i,0.002802+0.0014433i,0.0014173-0.0019168i,0.00039262-0.0062081i,-0.0065316-0.013922i,-0.019541-0.021877i,-0.026021-0.02688i,-0.020683-0.02808i,-0.013621-0.024292i
0.008411-0.068706i,0.14648+0.012569i,0.25751+0.10465i,0.20427+0.11044i,0.06595+0.064896i,-0.0030173+0.020351i,-0.004705-0.012386i,0.0026919-0.018207i,0.0096675-0.0084594i,0.010645-0.00094469i,0.0071512+0.0045151i,0.0022016+0.0039805i,-0.005229-0.00022183i,-0.0085143-0.0011516i,-0.0068894-0.0003463i,-0.0034395+0.00055959i,-0.0010914+0.0023228i,0.0019072+0.0053467i,0.01174+0.0098992i,0.025749+0.015436i,0.032216+0.019895i,0.02597+0.02257i,0.01612+0.02059i
0.033217+0.028285i,-0.12765+0.019369i,-0.26825-0.0051812i,-0.22479-0.029429i,-0.086791-0.041086i,-0.010633-0.021818i,0.0043339+0.012182i,0.0023684+0.023559i,-0.0041094+0.020442i,-0.004202+0.011449i,-0.0021009+9.4113e-05i,-0.00060958-0.0033557i,0.0036525-0.0019624i,0.0083163-0.0014432i,0.0088035-0.00098177i,0.0043562-0.0010814i,0.00042898-0.0021583i,-0.0037651-0.0036583i,-0.013634-0.0035001i,-0.027235-0.0022571i,-0.033589-0.0041919i,-0.028562-0.0091109i,-0.019125-0.010246i
-0.013934+0.019768i,0.12652-0.051166i,0.25417-0.10509i,0.21956-0.073225i,0.094429-0.0095114i,0.015168+0.0066146i,-0.0071877-0.011952i,-0.0020789-0.019733i,0.0077192-0.017725i,0.0089583-0.011636i,0.0075107-0.005043i,0.0045149-0.0022821i,-0.00082082+0.0015897i,-0.0034609+0.0052769i,-0.0034246+0.0052169i,-0.0031674+0.00189i,-0.001458-0.0011682i,0.0029629-0.0015327i,0.012981-0.0036666i,0.026862-0.0073401i,0.034154-0.0061565i,0.030917+0.00031348i,0.021483+0.0041383i
-0.021985-0.034421i,-0.11108+0.088512i,-0.19001+0.19206i,-0.16668+0.14927i,-0.081116+0.04369i,-0.018569+0.0042713i,0.010981+0.013091i,0.01627+0.015132i,0.012093+0.011041i,0.0066122+0.0063194i,-0.0017491+0.0027129i,-0.0054848+0.0014505i,-0.0022009-0.0033388i,0.0013308-0.0094785i,0.0025384-0.010014i,0.0018029-0.0057278i,0.00010208-0.0018508i,-0.0039405+0.0014839i,-0.011473+0.0085415i,-0.021252+0.016337i,-0.027672+0.014664i,-0.025893+0.0048641i,-0.01837-0.0019603i
0.065974+0.0030348i,0.084233-0.14036i,0.096169-0.2598i,0.084359-0.20953i,0.045718-0.080389i,0.0045464-0.019391i,-0.019795-0.013468i,-0.018973-0.014859i,-0.011009-0.015831i,-0.0057605-0.011049i,-0.00040946-0.0051566i,0.00027376-0.0013317i,0.00027904+0.0037156i,0.0020156+0.0085514i,0.00149+0.0096837i,-0.0012335+0.0067738i,-0.0034948+0.0036852i,-0.001299-0.00029392i,0.0055396-0.010348i,0.013694-0.021821i,0.020238-0.023977i,0.021619-0.016257i,0.014921-0.0072716i
-0.067342+0.050589i,-0.019838+0.17786i,0.029768+0.27159i,0.02269+0.21087i,-0.0016586+0.081928i,0.0068922+0.017901i,0.025293+0.0060968i,0.022451+0.0049389i,0.014022+0.0041684i,0.008029+0.0013034i,0.0021399+0.0015163i,-0.000544+0.0016299i,-0.0030309-0.0020966i,-0.0066704-0.0050811i,-0.0062803-0.0060087i,-0.0016461-0.0048027i,0.0023223-0.0011591i,0.003314+0.0042873i,0.0018044+0.014311i,-0.0019245+0.026182i,-0.0088183+0.029511i,-0.014614+0.021652i,-0.012861+0.0095021i
0.031555-0.097826i,-0.064424-0.18367i,-0.14559-0.2325i,-0.11283-0.17587i,-0.040383-0.075435i,-0.023631-0.0154i,-0.03043+0.0056965i,-0.022374+0.006224i,-0.012972+0.0035352i,-0.0039126+0.003374i,0.0022294-0.0016749i,0.0028633-0.0043801i,0.0049591-0.00059214i,0.0084144+0.0029648i,0.0087176+0.0061607i,0.0059219+0.0077279i,0.0024845+0.0058877i,-0.0011746+0.00035712i,-0.0051029-0.01035i,-0.005972-0.022836i,-0.00081947-0.026448i,0.0056358-0.019483i,0.0070453-0.0086942i
0.036958+0.10652i,0.15299+0.13763i,0.2322+0.135i,0.17056+0.094112i,0.066341+0.039586i,0.029361-0.00079921i,0.027506-0.017181i,0.022268-0.010992i,0.013993-0.0035372i,0.0041606-0.0014248i,-0.00078166+0.00070029i,-0.0019959+0.0017273i,-0.0050916+0.0018548i,-0.0082657+0.00046581i,-0.0092784-0.0036289i,-0.0076213-0.0076573i,-0.0037451-0.0090903i,0.0024108-0.0051588i,0.010717+0.0062671i,0.016867+0.019006i,0.012804+0.023636i,0.0028894+0.017865i,-0.0022954+0.00633i
-0.099814-0.075716i,-0.20792-0.051729i,-0.26078-0.015937i,-0.18616-0.0074333i,-0.081421+0.0005949i,-0.034031+0.022111i,-0.017439+0.030271i,-0.0087166+0.018484i,-0.0038058+0.0064305i,-0.0002567-0.0003805i,-0.001922-0.0026441i,-0.0045112-0.0030489i,-0.0010729-0.0059755i,0.0056874-0.006916i,0.010057-0.0047192i,0.0093817-0.0022627i,0.0044197+0.00032124i,-0.0024861+0.0020358i,-0.013443-0.0015993i,-0.023187-0.010442i,-0.02069-0.016873i,-0.010055-0.016038i,-0.0010662-0.0094718i
0.12923+0.0018813i,0.20503-0.063955i,0.22263-0.11022i,0.15021-0.080746i,0.059332-0.043118i,0.015037-0.037385i,0.005012-0.033979i,0.0049778-0.022281i,0.0048056-0.012065i,0.0036167-0.0035752i,0.0035845+0.0010324i,0.0035659+0.0022904i,0.0016795+0.0054929i,-0.0021287+0.0070182i,-0.0071403+0.0056117i,-0.010134+0.0023568i,-0.0087346-0.001138i,-0.0017662-0.0034271i,0.012014-0.0041121i,0.024835-0.00041963i,0.024799+0.0056924i,0.013362+0.007509i,0.0010474+0.0040505i
-0.11411+0.075099i,-0.14472+0.16145i,-0.13528+0.19848i,-0.084944+0.13695i,-0.023956+0.065704i,0.0067295+0.042784i,0.010079+0.034098i,0.0049355+0.018908i,0.00084784+0.0061522i,0.0009326-0.00057595i,0.0012385-0.0010224i,-0.00037058+0.00029445i,-0.0018699-0.0020663i,9.1876e-05-0.0048071i,0.0043657-0.0058348i,0.0065631-0.0046624i,0.0054445-0.00021099i,0.00076121+0.005707i,-0.0095499+0.011718i,-0.021635+0.01288i,-0.024191+0.0069624i,-0.015365+0.0012933i,-0.0051505-0.0001854i
0.049572-0.12851i,0.037604-0.20987i,0.013978-0.22652i,-0.00079005-0.14921i,-0.017202-0.064517i,-0.027935-0.035308i,-0.023571-0.026965i,-0.010575-0.014653i,-0.0022077-0.0060361i,0.00095822-0.0011611i,0.0020367-0.00048955i,0.0023942-0.0012983i,0.004485+0.0016176i,0.0043215+0.0053633i,0.00071758+0.0087333i,-0.0024201+0.0096247i,-0.0028414+0.0054816i,-6.7294e-05-0.0027006i,0.00645-0.012525i,0.015359-0.018941i,0.018695-0.016566i,0.011906-0.0079397i,0.0036435-0.0010953i
0.032177+0.13514i,0.078139+0.19211i,0.099859+0.1866i,0.074432+0.11191i,0.046718+0.039639i,0.041394+0.016407i,0.033669+0.012344i,0.016938+0.0084807i,0.0064423+0.0056692i,-5.651e-05+0.0021279i,-0.0040695+1.0967e-05i,-0.0060556-1.3714e-06i,-0.007616-0.00015676i,-0.0058028-0.0029042i,-0.0021398-0.0080376i,-0.00025057-0.010009i,0.0018024-0.0065589i,0.0042477+0.0019239i,0.0024205+0.01477i,-0.0045959+0.025091i,-0.0088415+0.022724i,-0.0056531+0.011427i,0.00018681+0.0020812i
-0.09985-0.09271i,-0.15825-0.11846i,-0.16618-0.1019i,-0.11124-0.050785i,-0.062572-0.0091307i,-0.047182+0.0049011i,-0.031663+0.0054355i,-0.012252-0.00083178i,-0.0024509-0.004759i,0.00082206-0.0037674i,0.00096161-0.0023017i,0.00092731-0.0029722i,0.0033222-0.0041745i,0.0052132-0.0021587i,0.0049954+0.0029612i,0.0043013+0.0042082i,0.0015099+0.00029162i,-0.003828-0.0059096i,-0.008136-0.015453i,-0.0079055-0.024965i,-0.0038089-0.025014i,-0.0017277-0.015968i,-0.0022538-0.0069947i
0.12763+0.015215i,0.18268+0.010363i,0.17203-0.0020833i,0.10385-0.014675i,0.053735-0.024322i,0.037682-0.025483i,0.023438-0.016738i,0.012227-0.0056718i,0.0080105-0.0005955i,0.0058281+0.0008986i,0.0037995+0.0014185i,0.0011561+0.002166i,-0.00045881+0.0033067i,-0.0017764+0.0016645i,-0.0044156-0.002513i,-0.0062193-0.0039836i,-0.004683-0.002696i,0.00071104+0.00065786i,0.010501+0.0080458i,0.017558+0.018352i,0.015841+0.021127i,0.010177+0.013428i,0.0045241+0.0051088i
-0.10352+0.056308i,-0.144+0.082272i,-0.12834+0.081112i,-0.069619+0.058291i,-0.030935+0.047169i,-0.020923+0.039631i,-0.013138+0.020789i,-0.0066355+0.0051483i,-0.0043399+0.00038173i,-0.0016813-0.0001898i,0.0012824+0.00017041i,0.0014103+9.349e-05i,0.00050242-0.00061017i,0.0023853+3.4082e-05i,0.0064241+0.001659i,0.0072734+0.0012231i,0.0028705+0.00045546i,-0.0067312+0.00075144i,-0.018053-0.00045701i,-0.023993-0.0056421i,-0.021923-0.0089733i,-0.015719-0.0061306i,-0.0094704-0.0019121i
0.049199-0.0971i,0.067904-0.13408i,0.057977-0.12357i,0.024737-0.083262i,-0.00030486-0.060395i,-0.0023069-0.045028i,0.0032406-0.02265i,0.0055756-0.0070452i,0.0052125-0.0017916i,0.0022797-0.0010329i,-0.00067402-0.00076378i,-0.0019955+0.00064902i,-0.00090536+0.0021201i,-0.00068959+0.0023757i,-0.0046634+0.0021255i,-0.0078336+0.0027246i,-0.004711+0.0038943i,0.0044854+0.0015356i,0.017044-0.003342i,0.026787-0.0034389i,0.026665-0.00025936i,0.019074-0.00091689i,0.011226-0.0017982i
0.010875+0.096119i,0.012715+0.13212i,0.015556+0.11822i,0.024158+0.072951i,0.030677+0.044685i,0.020452+0.034474i,0.0058405+0.020404i,-0.00041608+0.0074455i,-0.0021977+0.0040299i,-0.0013096+0.0019682i,-0.00083097-0.0019572i,-0.0030636-0.0044362i,-0.0033681-0.0040656i,0.00022895-0.0037669i,0.0040983-0.00608i,0.0046398-0.0071173i,0.0015909-0.0030569i,-0.0038613+0.0052359i,-0.011159+0.013787i,-0.019338+0.016545i,-0.021518+0.012403i,-0.015248+0.008013i,-0.0089573+0.0046641i
-0.059905-0.066603i,-0.075667-0.09223i,-0.069719-0.078788i,-0.057673-0.039454i,-0.048171-0.016848i,-0.031823-0.016477i,-0.011244-0.013116i,0.0015771-0.0067422i,0.0036226-0.0047704i,0.0022817-0.003021i,0.0019284+0.00043159i,0.0015489+0.0012883i,0.0012178+0.00054087i,0.00058956+0.00081513i,-0.0015451+0.0031053i,-0.0014511+0.0037943i,0.0009292+8.2708e-05i,0.0023248-0.0081343i,0.0048235-0.018224i,0.0092503-0.023062i,0.011377-0.021157i,0.010181-0.016942i,0.008203-0.011565i
