0.00034691-0.00059808i,0.00033585-0.0011282i,-0.00080389-0.0013325i,-0.002174-5.4638e-05i,-0.0025211+0.0010069i,-0.0018039+0.0020602i,0.00023695+0.0022951i,0.0014801+0.0017083i,0.0014966+0.0012476i,0.00055384+0.00060398i,-0.00046509-0.00028885i,-0.00027391-0.0005419i,0.00047917-6.0106e-05i,2.7631e-05+0.00075642i,-0.00035932+0.00056148i,0.00054067-0.00021308i,0.00055457-0.00024155i,0.00041862-0.00049607i,0.00017636-4.3456e-05i,-0.00010993+0.00068959i,7.6633e-05+0.00066598i,0.00010404+0.00056244i,6.2445e-05+0.00047885i
-0.031659+0.046509i,-0.070026+0.097942i,-0.10784+0.11969i,-0.1657+0.079735i,-0.23454+0.031456i,-0.22364+0.026492i,-0.11624+0.022794i,-0.020053+0.002037i,0.024031-0.0033474i,0.040845+0.00087668i,0.036284+0.0048856i,0.022341+0.0064851i,0.0065122+0.0050067i,-0.0028741+0.005432i,0.00079421+0.0073486i,0.0079679+0.006735i,0.0095961+0.0035185i,0.0081999+0.0011123i,0.0082152+0.0017163i,0.0070635+0.005159i,0.0039636+0.0071097i,1.3995e-05+0.003717i,-0.0058116-0.0010304i
-0.022573-0.047806i,-0.056995-0.099969i,-0.061305-0.12445i,0.025822-0.12477i,0.14447-0.15908i,0.15476-0.17408i,0.073154-0.10745i,0.01052-0.026762i,-0.01172+0.016495i,-0.016791+0.026884i,-0.020743+0.01736i,-0.025078+0.0068534i,-0.020117+0.0021932i,-0.013656+4.1011e-05i,-0.011104+0.0014874i,-0.007154+0.0043402i,-0.0023531+0.0057225i,0.002454+0.0078021i,0.008374+0.0087934i,0.010092+0.0028038i,0.0040551-0.0038497i,-0.00071365-0.0038447i,0.0031924-0.0022089i
0.049479-0.00054162i,0.1053-0.0096566i,0.10989-0.0066626i,0.026404+0.073816i,-0.04674+0.21058i,-0.022562+0.2397i,0.01566+0.12121i,0.0059317+0.0015356i,-0.012203-0.046107i,-0.016665-0.046838i,-0.0068263-0.033452i,0.005813-0.024673i,0.011163-0.015231i,0.010598-0.0063287i,0.0042847-0.0048367i,-0.0023113-0.0039761i,-0.0065287-0.0020259i,-0.010947-0.0050223i,-0.014004-0.011231i,-0.010702-0.011229i,-0.0038966-0.0055285i,-0.00050291-0.00027051i,-0.0026992+0.0031097i
-0.016758+0.046136i,-0.022553+0.10516i,0.004094+0.11139i,0.022444-0.017139i,-0.028939-0.17653i,-0.095492-0.19279i,-0.078425-0.08862i,-0.008938-0.0078182i,0.030709+0.0059702i,0.027925+0.00044971i,0.013002+0.0067215i,0.0089606+0.017294i,0.0082501+0.015268i,0.0034755+0.0077533i,0.0025059+0.0050538i,0.0046151+0.00187i,0.0062889-0.0021145i,0.0086855-0.0027182i,0.0086824-0.0012586i,0.0035481+0.00060043i,-0.0011177+0.0031363i,0.0002122+0.0034793i,0.0014753-0.0011543i
-0.031966-0.038313i,-0.082677-0.069883i,-0.11304-0.037639i,-0.021035+0.079576i,0.15859+0.15172i,0.21786+0.093647i,0.11584+0.018158i,0.012734+0.0070293i,-0.021509+0.019786i,-0.018168+0.020537i,-0.010323+0.0078112i,-0.010209-0.0049741i,-0.0076523-0.011715i,-0.0022847-0.0145i,-0.0014658-0.010167i,-5.3452e-05-0.0030639i,0.0028525+0.0010884i,0.0018504+0.0064901i,-0.00059555+0.013594i,-0.0003777+0.014538i,0.0020412+0.0080219i,0.0030219+0.0013365i,0.0027716+0.0015399i
0.046458-0.013681i,0.10453-0.056017i,0.10183-0.13041i,-0.046897-0.16229i,-0.22639-0.082921i,-0.23191+0.035487i,-0.10153+0.063289i,-0.0078526+0.022257i,0.014405-0.003008i,0.011215-0.0041664i,0.010875+0.00041313i,0.015759+0.00083154i,0.016129+0.0023433i,0.014394+0.0055382i,0.011548+0.00014776i,0.0041413-0.0063858i,-0.0018902-0.0065917i,-0.0026066-0.0081279i,-0.00062479-0.011583i,0.0016125-0.0087232i,0.0040785-0.0027844i,0.0045391-0.00072452i,0.0014545-9.2531e-05i
-0.0094219+0.045665i,-0.0050816+0.12168i,0.0646+0.17717i,0.18952+0.096004i,0.23209-0.082221i,0.13793-0.16688i,0.023264-0.10955i,-0.02231-0.023987i,-0.015574+0.016992i,-0.0010398+0.016172i,-0.0026607+0.0037955i,-0.013704+0.0046319i,-0.019182+0.010481i,-0.016848+0.011232i,-0.0063001+0.010122i,0.0033376+0.0049377i,0.0052308-0.0014838i,0.00689-0.0019858i,0.010501-0.0018972i,0.0097977-0.0069386i,0.0034917-0.010476i,-0.0016243-0.0078475i,-0.00012111-0.0055899i
-0.034468-0.036166i,-0.11414-0.073046i,-0.23161-0.047776i,-0.27876+0.10465i,-0.17217+0.25697i,-0.011366+0.21903i,0.052986+0.060959i,0.028717-0.038621i,-0.005677-0.051729i,-0.015239-0.027636i,-0.0051871-0.0098942i,0.0029342-0.011179i,0.0045133-0.01589i,0.0023704-0.013843i,-0.0050347-0.0042459i,-0.0089208+0.00817i,-0.0069901+0.014378i,-0.0096029+0.013639i,-0.015838+0.01278i,-0.014612+0.010447i,-0.0087014+0.0066338i,-0.0056245+0.0037217i,-0.0057386+0.0027219i
0.047197-0.013037i,0.13197-0.055989i,0.20046-0.16263i,0.1454-0.28736i,0.0031365-0.30417i,-0.075279-0.17328i,-0.040652-0.026308i,0.021194+0.027247i,0.038231+0.011415i,0.015588-0.0064213i,-0.0034285+0.00064911i,0.0025206+0.013722i,0.01333+0.017547i,0.016345+0.014561i,0.013236+0.0034696i,0.0040952-0.0074917i,-0.001308-0.0095121i,0.001942-0.0093771i,0.0039571-0.0086477i,-0.00043902-0.0032548i,-0.0036447+0.0033627i,-0.0013278+0.0050808i,-8.1913e-06+0.0011957i
-0.014399+0.047293i,-0.021208+0.14661i,0.02699+0.28647i,0.16106+0.34537i,0.25782+0.24568i,0.19175+0.092067i,0.053745+0.013398i,-0.023018+0.0046622i,-0.027691+0.011466i,-0.0078644+0.0078808i,-0.0020773-0.0035617i,-0.011586-0.007833i,-0.020984-0.004239i,-0.021776+0.0011318i,-0.0099565+0.0083748i,0.0071918+0.0085818i,0.015572+0.0027026i,0.016156+0.0036306i,0.017413+0.0070666i,0.017614+0.0055776i,0.014388+0.0027639i,0.0091484+0.0023362i,0.0059277+0.0044965i
-0.032185-0.039037i,-0.10946-0.1113i,-0.24553-0.18343i,-0.37407-0.15869i,-0.37475-0.042891i,-0.22221+0.039808i,-0.056087+0.039615i,0.019491+0.01133i,0.027155-0.00047639i,0.015193+0.0025984i,0.0093744+0.0041235i,0.010789-0.0047551i,0.011353-0.019053i,0.0074321-0.02668i,-0.0031851-0.021822i,-0.011446-0.0089162i,-0.011865-0.00018494i,-0.012923-0.00097899i,-0.014082-0.0033016i,-0.0086321-0.0028149i,-0.00052584-0.0017144i,0.0029034-0.0027277i,0.0017239-0.0039635i
0.046097-0.0046809i,0.14951-0.025688i,0.29223-0.09058i,0.35877-0.19278i,0.27706-0.23142i,0.11629-0.15595i,-0.0067548-0.044924i,-0.04503+0.026056i,-0.029041+0.040324i,-0.0085371+0.018202i,-0.0061106-0.00025506i,-0.0065269+0.002232i,0.002141+0.012929i,0.01196+0.016999i,0.015487+0.008033i,0.01002-0.0059957i,0.002237-0.010197i,0.00025462-0.0074403i,6.3044e-05-0.0096127i,-0.0050892-0.014444i,-0.01046-0.014713i,-0.0083064-0.0094844i,-0.0012871-0.0050561i
-0.023711+0.03838i,-0.071621+0.13523i,-0.13052+0.29453i,-0.13055+0.42228i,-0.061577+0.38637i,-0.0034914+0.19301i,0.004161+0.00041269i,-0.012416-0.079205i,-0.02176-0.065929i,-0.0096914-0.02641i,0.0072439-0.0074748i,0.0063111-0.0083794i,-0.0079255-0.0081622i,-0.018013-0.0019955i,-0.016048+0.0088836i,-0.0045149+0.015879i,0.0035618+0.014164i,0.0030013+0.014634i,0.0028615+0.018889i,0.0044689+0.016949i,0.0033896+0.0089498i,-0.00092671+0.0033752i,-0.004106+0.0033854i
-0.021193-0.039647i,-0.065337-0.1321i,-0.13826-0.26823i,-0.20156-0.35116i,-0.18514-0.30646i,-0.083885-0.16899i,0.020563-0.044094i,0.064549+0.0053706i,0.049936+0.0044715i,0.014648+0.00083513i,-0.0012088+0.0089467i,0.0064523+0.010911i,0.017783+0.00049813i,0.020684-0.012953i,0.01064-0.019097i,-0.0024771-0.012404i,-0.0057505-0.0045326i,-0.0041129-0.0051879i,-0.0041841-0.0045293i,-0.0038235+0.0041934i,-0.0014741+0.011744i,0.0010361+0.009611i,0.00047624+0.0029854i
0.044699-0.00054359i,0.14313+0.020083i,0.30034+0.057283i,0.41539+0.080356i,0.37215+0.074235i,0.20383+0.054041i,0.046093+0.033783i,-0.027953+0.020189i,-0.032902+0.0092549i,-0.015494-0.0023323i,-0.0093559-0.0081175i,-0.012387-0.00098574i,-0.0098337+0.015089i,0.0012872+0.027472i,0.014176+0.024835i,0.018301+0.0096989i,0.014551-0.002052i,0.013864-0.0061915i,0.015806-0.0098323i,0.014177-0.012722i,0.0095746-0.010364i,0.0060486-0.0030577i,0.00633+0.0031793i
-0.023623+0.032954i,-0.095799+0.090941i,-0.22132+0.16559i,-0.325+0.2084i,-0.31117+0.17825i,-0.18228+0.093613i,-0.03949+0.019478i,0.035788-0.01407i,0.042461-0.016312i,0.022946-0.0038599i,0.010364+0.0032015i,0.0029967-0.0037006i,-0.011683-0.015251i,-0.027893-0.017303i,-0.030746-0.0068954i,-0.019881+0.0030578i,-0.010017+0.0049294i,-0.0091854+0.0064478i,-0.0094397+0.0074999i,-0.003308+0.003825i,0.0039623-0.00073196i,0.0044926-0.002906i,-0.00037124-0.0014713i
-0.0085669-0.038044i,-0.0099159-0.12778i,0.0084372-0.26693i,0.044646-0.36046i,0.074641-0.31026i,0.060583-0.14928i,0.013314+0.0017896i,-0.011949+0.07092i,-0.0101+0.06302i,-0.0094935+0.02471i,-0.013374+0.003229i,-0.005891+0.0017455i,0.012683-0.0025034i,0.026154-0.012994i,0.022107-0.019385i,0.007662-0.016746i,-0.0012007-0.0088807i,-0.0047939-0.0046604i,-0.010068-0.0038244i,-0.015025-0.0021585i,-0.015821-0.00035791i,-0.010266-0.0017385i,-0.0029282-0.0061753i
0.036557+0.010398i,0.096742+0.060109i,0.17224+0.16744i,0.19952+0.27759i,0.13831+0.28401i,0.037248+0.16607i,-0.035181+0.021274i,-0.060235-0.050224i,-0.043999-0.046321i,-0.011324-0.023709i,0.0063712-0.014417i,0.0048882-0.008377i,-0.0012865+0.0084166i,-0.0029763+0.028594i,0.0011412+0.033765i,0.0058+0.022933i,0.0065574+0.011844i,0.0084093+0.0086066i,0.012123+0.0086615i,0.010489+0.0062982i,0.0046119+0.0018609i,-0.00012973-0.0012584i,0.00073312+6.978e-05i
-0.025211+0.019852i,-0.094952+0.034968i,-0.20935+0.024497i,-0.29241-0.033122i,-0.25749-0.10119i,-0.12333-0.11098i,0.0038045-0.067203i,0.054935-0.028i,0.04229-0.0073443i,0.013369+0.0062778i,0.0025543+0.013675i,0.0023739+0.0092097i,-0.0051629-0.0046805i,-0.018354-0.01654i,-0.023038-0.015046i,-0.015492-0.0047762i,-0.0061884-0.00058686i,-0.0026532-0.0015814i,-0.00063692+0.00074163i,0.0039407+0.0054387i,0.0064539+0.0081154i,0.0029533+0.0063989i,-0.0037891+0.0043872i
-0.0015293-0.028242i,0.031217-0.085531i,0.11863-0.15853i,0.22663-0.17986i,0.25615-0.11609i,0.16734-0.031699i,0.041592+0.01436i,-0.028375+0.02497i,-0.036091+0.013504i,-0.021757-0.0053447i,-0.01374-0.01259i,-0.0093345-0.0066917i,0.0050918-0.0012804i,0.023162-0.0038175i,0.026653-0.0092233i,0.016771-0.010052i,0.0087531-0.0078753i,0.0059905-0.0098672i,0.0034341-0.013437i,0.0011439-0.012939i,0.00027299-0.0084808i,0.0021321-0.0033059i,0.0052065-0.0020281i
0.022945+0.015789i,0.045076+0.065571i,0.037462+0.15765i,-0.029552+0.23363i,-0.1+0.21222i,-0.095938+0.10548i,-0.033517+0.00044542i,0.015874-0.047366i,0.028766-0.041089i,0.025339-0.016051i,0.019591-0.0036419i,0.010058-0.0022734i,-0.0031795+0.0042802i,-0.013495+0.01727i,-0.013595+0.021137i,-0.0066722+0.013453i,-0.0010667+0.0070197i,0.00041848+0.0066253i,-0.00024906+0.0058885i,-0.0012268+0.0009509i,0.00018546-0.003443i,0.0015671-0.0026885i,0.0022263+0.0031031i
-0.022775+0.003088i,-0.071797-0.010102i,-0.13291-0.07256i,-0.14456-0.16477i,-0.077209-0.19494i,0.0031844-0.11497i,0.038721-0.0009931i,0.039977+0.057213i,0.022941+0.053382i,0.00033304+0.030681i,-0.010718+0.019237i,-0.0070087+0.010522i,-0.0023588-0.0083724i,-0.0054373-0.025507i,-0.009268-0.025973i,-0.0087227-0.014202i,-0.0072944-0.0044672i,-0.0068695-0.00016634i,-0.0068957+0.003334i,-0.0071397+0.0050542i,-0.0061529+0.0039024i,-0.0042712+0.00084648i,-0.0050482-0.0039926i
0.0090843-0.016053i,0.044491-0.03751i,0.12059-0.030925i,0.19228+0.037742i,0.17905+0.11561i,0.082504+0.11168i,-0.016494+0.046335i,-0.05939-0.0016165i,-0.046243-0.015718i,-0.01756-0.017382i,-0.0033233-0.016845i,0.00094902-0.011589i,0.010215-0.0016309i,0.023388+0.0057253i,0.0249+0.0055139i,0.015244+0.002066i,0.007062+0.00013357i,0.0046817-7.5029e-05i,0.005037+0.0015566i,0.0059661+0.0039388i,0.0046031+0.0038886i,0.0027605+0.0013212i,0.0046415-0.0017859i
0.0077466+0.01391i,0.0047256+0.048379i,-0.038801+0.093596i,-0.1224+0.098465i,-0.16466+0.038443i,-0.10781-0.027632i,-0.016362-0.050765i,0.031866-0.042723i,0.032456-0.019299i,0.017912+0.0035084i,0.0125+0.01127i,0.010034+0.010583i,-0.0015766+0.012973i,-0.014147+0.018831i,-0.014542+0.018914i,-0.0053103+0.011695i,-4.3534e-05+0.0057238i,0.00055521+0.0023808i,0.0027011+0.00048586i,0.0058607+0.00034468i,0.0056158+0.0010357i,0.001564+0.0032869i,-0.0025092+0.0070925i
-0.013471-0.00070394i,-0.029289-0.025324i,-0.022604-0.085731i,0.036075-0.15143i,0.10154-0.14863i,0.093766-0.072637i,0.034842+0.0059677i,-0.0062507+0.036884i,-0.019775+0.025079i,-0.022551+0.0037489i,-0.022878-0.0027457i,-0.017999-0.00089627i,-0.0094899-0.0080401i,-0.0052983-0.019388i,-0.0042981-0.018935i,-0.0021107-0.0093081i,-0.0001464-0.0033256i,-0.00064405-0.0031731i,-0.0018691-0.0056305i,-0.0014527-0.0075091i,-0.00029484-0.00682i,-0.00049422-0.0048822i,-0.0017094-0.004788i
0.0050278-0.0065143i,0.02951-0.0063372i,0.060018+0.029767i,0.057379+0.10565i,0.0074346+0.14309i,-0.035796+0.089585i,-0.040345+0.0052572i,-0.022992-0.039788i,-0.00053535-0.040631i,0.013188-0.028859i,0.012103-0.022178i,0.0065393-0.015155i,0.0078712-0.0036556i,0.014296+0.0059917i,0.014075+0.0060619i,0.0071465+0.0014154i,0.0031709+0.00021966i,0.0023331+0.0010675i,-0.00020461+0.0017103i,-0.0041431+0.0020401i,-0.0040799+0.0007631i,-0.00011368-0.00039593i,0.0043268-0.00015057i
-0.0013245+0.0093661i,-0.016106+0.023503i,-0.062161+0.02123i,-0.1161-0.02463i,-0.11099-0.077954i,-0.04115-0.071637i,0.025334-0.022697i,0.047563+0.014228i,0.035404+0.025077i,0.01668+0.022591i,0.0085486+0.018984i,0.0037747+0.013041i,-0.0077861+0.0071149i,-0.018141+0.0075623i,-0.01628+0.0082669i,-0.0076062+0.005538i,-0.0027933+0.0037257i,-0.0021722+0.0034322i,-0.0022564+0.003537i,-0.0031098+0.0045626i,-0.0034636+0.0046816i,-0.0021598+0.0035015i,-0.0026648+0.0031303i
-0.0089745-0.0030824i,-0.0080571-0.017431i,0.026587-0.036704i,0.099989-0.030792i,0.14046+0.013149i,0.092437+0.045292i,0.010052+0.044284i,-0.035756+0.031551i,-0.037245+0.015143i,-0.022353+0.002579i,-0.012261-0.0022873i,-0.0071869-0.0071918i,-0.0027552-0.015914i,-0.00035853-0.023187i,-0.001273-0.019645i,-0.0029309-0.0077541i,-0.002812-0.0014996i,-0.0013826-0.00087974i,0.0016292+0.00062997i,0.0050259+0.00192i,0.0053814+0.00084429i,0.0033033-0.0023151i,0.0016318-0.0060768i
0.0030578-0.0017684i,0.013346+0.0066589i,0.010978+0.041988i,-0.023985+0.086429i,-0.063895+0.081252i,-0.058152+0.023952i,-0.024448-0.028662i,-0.0012605-0.043067i,0.0072149-0.025596i,0.010867-0.0054943i,0.014569-0.00080101i,0.016975-0.0019294i,0.019+0.0022369i,0.020461+0.0069479i,0.016545+0.0054965i,0.0095577+0.00063404i,0.0046763-0.0014988i,0.0017624-0.00069408i,0.00086814-0.00082649i,0.0013924-0.0018747i,0.0023829-0.0014517i,0.0029254+0.00099843i,0.0041657+0.0035499i
-0.00079904+0.0012704i,-0.010033-8.0422e-05i,-0.026083-0.029361i,-0.026488-0.091122i,0.0044136-0.1224i,0.030167-0.078912i,0.031614-0.013554i,0.020732+0.017289i,0.0030131+0.01634i,-0.0096909+0.0091754i,-0.011137+0.0099685i,-0.0083726+0.013003i,-0.0096078+0.010368i,-0.013903+0.0082307i,-0.010889+0.0083986i,-0.0023698+0.0065549i,0.0015422+0.0035914i,0.0012313+0.00056176i,0.00018287-0.0027881i,-0.0014477-0.0052041i,-0.0034731-0.0048527i,-0.0046141-0.0016688i,-0.0047858+0.0015563i
-0.0033613-0.0048212i,0.0016672-0.0097321i,0.027126-0.0036567i,0.061156+0.032425i,0.054889+0.071531i,0.012001+0.061752i,-0.021098+0.020294i,-0.026026-0.01073i,-0.013461-0.023814i,-0.0056192-0.024507i,-0.0082995-0.01935i,-0.0079472-0.012792i,-0.00015975-0.011928i,0.0055294-0.016263i,0.00261-0.015191i,-0.0029031-0.0080465i,-0.0034442-0.0029197i,-0.0010371-0.0013011i,-0.00030993+0.00018881i,-0.0021212+0.0016696i,-0.0026977+0.00097471i,-0.0014338-0.00076903i,4.6548e-05-0.0031767i
0.0054147-0.0063153i,-0.00035364+0.001119i,-0.029326+0.018105i,-0.081068+0.028773i,-0.1017+0.011141i,-0.057029-0.01365i,0.00197-0.022743i,0.030365-0.016949i,0.030734-0.0069574i,0.019946-0.001872i,0.012335-0.00025748i,0.0089176+0.0037724i,0.0087571+0.012369i,0.013297+0.017643i,0.015429+0.013421i,0.011068+0.0032138i,0.0050459-0.0025481i,0.0017135-0.0018159i,0.0004286+0.00073607i,4.943e-05+0.0032063i,0.00078452+0.0042976i,0.0023007+0.003964i,0.0031515+0.0038702i
0.0010078-0.0016783i,-0.0012859-0.0066265i,0.0067018-0.026857i,0.038613-0.052327i,0.070522-0.045015i,0.061237-0.0069417i,0.026614+0.025606i,0.0021152+0.036577i,-0.0068976+0.027906i,-0.0067531+0.015246i,-0.0053185+0.0095164i,-0.0091347+0.0055933i,-0.01653+0.0015614i,-0.02071+0.0030712i,-0.016113+0.0082108i,-0.0065009+0.0087953i,-0.00077086+0.0045711i,0.00088885+0.00086969i,0.0024348+1.9476e-05i,0.0034688+0.00035779i,0.0021697+4.771e-05i,-0.00068691-0.00023692i,-0.0034605-0.00024895i
0.00032388+0.00032774i,0.0075449+0.0029556i,0.024566+0.022376i,0.034419+0.05849i,0.01696+0.07173i,-0.0090155+0.04106i,-0.02044+0.0042935i,-0.018823-0.011283i,-0.0094915-0.00889i,3.6917e-05-0.0036i,0.0045436-0.0058409i,0.0064018-0.011618i,0.0084709-0.015428i,0.007799-0.016636i,0.0020537-0.014394i,-0.0031541-0.0084046i,-0.003413-0.0026685i,-0.0022291+0.00067902i,-0.0012686+0.0020241i,2.7684e-05+0.0011826i,0.0023487-0.00143i,0.0041977-0.0038565i,0.0046985-0.004787i
0.0041017+0.0011176i,-0.0017876-0.00081155i,-0.024366-0.012272i,-0.055232-0.040909i,-0.053941-0.066506i,-0.020046-0.054708i,0.0083956-0.024591i,0.016411-0.0055467i,0.010496+0.0034932i,0.0046128+0.0061278i,0.0049684+0.0057813i,0.0074455+0.0075642i,0.0071668+0.011455i,0.0066397+0.014803i,0.0077697+0.012274i,0.0076593+0.0052161i,0.0059466+0.0010534i,0.0027354-0.00051053i,-0.00058161-0.0014072i,-0.0025764-0.00084062i,-0.0029063+0.0011705i,-0.0016426+0.003856i,6.4771e-05+0.0056052i
0.00069073+0.0028865i,0.0042586-0.0025654i,0.018651-0.015689i,0.044337-0.022972i,0.051946-0.0071408i,0.026394+0.010694i,-0.0034805+0.012666i,-0.016643+0.005746i,-0.015108-0.0038589i,-0.010938-0.0079688i,-0.011561-0.0030639i,-0.01221+0.00055235i,-0.013412-0.0018137i,-0.0168-0.0036872i,-0.016252-0.00027842i,-0.0099105+0.0042189i,-0.0029915+0.0043223i,-0.00030087+0.0025189i,-0.0005605+0.0019361i,-0.0017508+0.0018839i,-0.0033413+0.00082883i,-0.0042106+0.00045564i,-0.0038695-0.00015657i
-0.0001633+0.0002569i,-0.0012487+0.0074993i,-0.0057082+0.030172i,-0.02221+0.060404i,-0.040863+0.061705i,-0.034222+0.025585i,-0.015044-0.0099101i,-0.001506-0.021381i,0.0042878-0.01741i,0.0014556-0.011227i,-0.00086589-0.0071925i,0.0028399-0.0048943i,0.0097195-0.0059595i,0.013622-0.01106i,0.009027-0.013827i,0.001181-0.010738i,-0.0020602-0.0056927i,-0.001624-0.0018835i,-0.00070379+0.00040492i,-1.6046e-05+0.0006693i,0.0013522+6.5702e-05i,0.002921-0.00074262i,0.003381-0.0012525i
0.0016885+0.0032776i,-0.0012081-0.00085463i,-0.008405-0.014105i,-0.010039-0.036484i,0.0058205-0.044928i,0.020418-0.026608i,0.021159-0.0032854i,0.015156+0.0087599i,0.0067179+0.0095717i,0.0010059+0.0052392i,0.00030654+0.0030177i,-0.001003+0.0046315i,-0.0031563+0.0096305i,-0.0011738+0.013754i,0.0022244+0.011438i,0.0033472+0.0042673i,0.0021009-0.00070969i,0.00011781-0.0026813i,-0.00022465-0.0024405i,0.00090116-0.0013503i,0.001085+0.00017028i,-9.3988e-05+0.0012735i,-0.0012934+0.0015187i
0.00061999-0.00098788i,0.0057437-0.0028649i,0.025821-0.0025928i,0.052658+0.0061938i,0.053178+0.019212i,0.025658+0.019805i,0.0013079+0.010712i,-0.0075287+0.0030796i,-0.0060435-0.00057416i,-0.0021197-0.0013259i,-0.0014154-0.0028744i,-0.0039703-0.0066488i,-0.0076504-0.009758i,-0.010926-0.0089245i,-0.010211-0.0046025i,-0.0053685+9.9366e-05i,-0.0017714+0.00036151i,3.7435e-05-0.00073357i,0.00093773-0.00064169i,0.001572-0.00084915i,0.0015319-0.0022922i,0.00032732-0.003569i,0.00016352-0.0032461i
0.00041326+0.00033423i,-0.0034466+0.0037417i,-0.01572+0.011949i,-0.037876+0.015888i,-0.045905+0.0034316i,-0.025208-0.010354i,0.00011907-0.013274i,0.01313-0.010537i,0.014976-0.0072619i,0.011317-0.0057715i,0.0073038-0.0050853i,0.0070818-0.0033025i,0.011325-0.0013664i,0.014432-0.0016423i,0.012012-0.0029807i,0.0072916-0.0028397i,0.0036387-0.00036225i,0.0015488+0.00042216i,-0.00070167+5.9055e-05i,-0.0017892+0.00036905i,0.00071075+0.00012861i,0.003112-4.7081e-05i,0.0034084+0.00036504i
0.0005171-0.00054699i,-0.001343-0.0061585i,-0.0057304-0.019743i,-0.0034655-0.035298i,0.0096204-0.032209i,0.014367-0.01203i,0.0086825+0.0036678i,0.0043127+0.010321i,0.0034963+0.0079283i,0.0036338+0.0020895i,0.0024788+0.0016527i,-0.00025456+0.0055211i,-0.0043646+0.0099006i,-0.0057878+0.013207i,-0.0022732+0.012394i,0.0015295+0.0074749i,0.0024736+0.0039345i,0.0023807+0.0023342i,0.002059+0.00036617i,0.00053572+0.0004706i,-0.0013363+0.0022841i,-0.0013134+0.0023008i,-0.00041582+0.0012702i
0.0040377-0.0011597i,0.0068062+0.0012371i,0.015502+0.01032i,0.021922+0.030845i,0.013345+0.043381i,-0.0013501+0.028547i,-0.0096414+0.0077778i,-0.010716-0.001775i,-0.0068453-0.0024437i,-0.0039411+0.00058611i,-0.0030555+0.0027933i,-0.0022837+0.00035493i,-0.0037176-0.0054259i,-0.0072937-0.0082245i,-0.0080449-0.0058041i,-0.0050235-0.0018223i,-0.0016994+6.4814e-05i,0.00013296+8.6024e-05i,0.0013876+0.00092789i,0.0012524+0.00091121i,0.00018407+0.00011686i,-0.00062902+0.00011732i,-0.0006063+0.00014687i
-0.00058446+0.0020258i,-0.0032605+0.0028688i,-0.010694+0.006719i,-0.021884+0.004835i,-0.021482-0.0058134i,-0.0082042-0.0099869i,1.7603e-05-0.0047186i,-0.00026556+0.0022663i,-0.0040947+0.0073611i,-0.0062306+0.0089051i,-0.0031427+0.0060267i,0.00093626+0.0035797i,0.0046704+0.0030539i,0.0083275+0.0009713i,0.0067939-0.00084893i,0.0014215-0.0003105i,-0.0018644+0.00052857i,-0.0029259+0.00043509i,-0.0037348-0.00036335i,-0.0023933-0.00025359i,-2.8871e-05+2.5391e-05i,0.00042657-0.0003652i,-0.00063269+0.0004341i
-0.0036359-0.0021233i,-0.0011744-0.0048227i,0.006512-0.012341i,0.021442-0.020347i,0.02974-0.015651i,0.01969-0.0039004i,0.0036503+0.0017918i,-0.0082755+0.0017916i,-0.011866+0.00030984i,-0.0085964+0.00031966i,-0.0050383+0.00018616i,-0.0036217-0.0013019i,-0.0054303-0.00098381i,-0.0067916+0.0010409i,-0.0042736+0.00039294i,-0.0024071-0.0031684i,-0.0029146-0.0052269i,-0.0024102-0.0044895i,-0.00057436-0.0027445i,0.00031402-0.0014861i,0.00028707-0.00086567i,0.00043391-0.00012643i,0.0010023+0.00015066i
0.0012724-0.00074132i,0.0025244+0.00051864i,0.0039515+0.0071821i,0.0010973+0.018159i,-0.0068564+0.019273i,-0.0075441+0.0062633i,-0.0019735-0.0072368i,0.0026265-0.01402i,0.0043203-0.015364i,0.0018639-0.012751i,-0.00086694-0.007447i,0.0008294-0.0047333i,0.0040345-0.0073578i,0.0045085-0.010284i,0.0039006-0.0083858i,0.0047254-0.0037212i,0.005224-0.0017916i,0.003743-0.0013276i,0.0014912+0.00047436i,0.00087375+0.00064613i,1.626e-05-0.001417i,-0.0018641-0.0020455i,-0.0017153-0.0014914i
-0.0032608-0.0006397i,-0.0062723-8.7332e-05i,-0.014906-0.0035017i,-0.022724-0.010635i,-0.016394-0.01641i,-0.00074307-0.013527i,0.0095485-0.008727i,0.013505-0.0072657i,0.01266-0.0076376i,0.0073979-0.0080003i,0.0023473-0.0059454i,0.0013223-0.001025i,0.0045079+0.0032626i,0.0093525+0.0048716i,0.0093456+0.0047129i,0.0039881+0.0036133i,0.00138+0.0042577i,0.0026264+0.0035613i,0.00157+0.0004047i,-0.00062878-0.00098982i,5.5623e-05-0.00021909i,0.002002-0.00029223i,0.0014251-0.00061185i
0.00090551-0.0022041i,0.0015646-0.0033107i,0.0062326-0.0038685i,0.014934+0.00068492i,0.018178+0.0097347i,0.011691+0.010793i,0.0047765+0.0051026i,0.0028781+0.0016174i,0.0048149+0.00088088i,0.0065312+0.00012434i,0.0057993-0.0012738i,0.0033346-0.0017508i,-0.00059653+0.00033129i,-0.003472+0.0032192i,-0.0017158+0.0035789i,0.0018345+0.00056908i,0.0020313-0.0022986i,0.0010326-0.0026434i,0.0018252-0.0018208i,0.0019381-0.00050661i,0.00073115+0.0013853i,0.00030745+0.0027836i,0.0011086+0.0030214i
