0.0018896-0.00054447i,0.00072525-0.0011443i,-0.00079556-0.0014663i,-0.00083956-0.0015141i,-0.001359-0.0006943i,-0.0018769+3.4031e-05i,-0.0016981+0.0013433i,-0.00024976+0.0022171i,0.0020515+0.0011741i,0.002924-0.00012226i,0.0016818-0.0011412i,0.00022101-0.0011975i,0.00019296-0.00047792i,0.00022392-0.00072373i,-0.00023859-0.00092569i,0.000113-0.00034868i,0.00010013+0.00046371i,5.8669e-05+0.00068587i,0.00061997+0.00089851i,0.00060874+0.00069932i,0.00057015+0.00012984i,-0.0002186-0.00044831i,-0.0012407-0.00041763i
0.0011498+0.0031378i,0.010516+0.0025026i,0.033094+0.0034114i,0.062448+0.0032255i,0.066831-0.00022627i,0.037711-0.0079465i,0.0034815-0.013448i,-0.0084692-0.015266i,-0.0026661-0.016143i,0.00082228-0.010402i,0.0021919-0.0020969i,0.0042339-0.00072053i,0.0022591-0.0023779i,-0.00078094-0.0034489i,-0.0015118-0.0044577i,-0.0012404-0.0045557i,-0.0012354-0.0039141i,-0.00063643-0.0042206i,0.0014998-0.0036536i,0.0031297-0.00077369i,0.0042289+0.0021056i,0.0037124+0.0042932i,0.0026621+0.0035586i
0.0064722+0.002282i,0.012605-0.00020171i,0.024769-0.01512i,0.026602-0.047464i,0.0034355-0.068369i,-0.03026-0.045214i,-0.02874-0.013627i,-0.0021787-0.011734i,0.0035556-0.015235i,0.00010323-0.0063484i,0.0030698+0.00081093i,0.0032822+0.0018302i,0.00026667+0.0023408i,-0.0021862+0.0012488i,-0.0024096-0.00075159i,0.00074919-0.0013569i,0.0033198-0.00021323i,0.0028657+0.0021787i,0.0018148+0.0045612i,0.0004438+0.0043299i,0.00054504+0.0013346i,0.0035037-0.0012441i,0.0045022-0.00057325i
0.0022506-0.0012377i,-0.0068703-0.0035461i,-0.027007-0.016255i,-0.055269-0.030711i,-0.063964-0.029439i,-0.034041-0.012655i,0.0024158+0.0003354i,0.0051721+0.0067592i,-0.0094974+0.013154i,-0.012624+0.013543i,-0.0079917+0.0062751i,-0.0065179+0.0014472i,-0.0051592+0.0027291i,-0.0024926+0.0050868i,-0.0009576+0.0059865i,-0.00062375+0.0045654i,-0.0012419+0.00097793i,-0.00063123-0.0030096i,0.00026653-0.0072437i,-0.0020323-0.0091474i,-0.0070589-0.0059578i,-0.010551-0.001706i,-0.010193+0.00065567i
0.00032576-0.0019727i,-0.0093711-0.0018215i,-0.030131+0.0064749i,-0.047048+0.033229i,-0.032146+0.055762i,0.0045838+0.045446i,0.011369+0.020789i,-0.011283+0.013402i,-0.016383+0.018217i,-0.0076362+0.013367i,-0.0053079+0.0038324i,-0.0032571-0.0012745i,0.001889-0.0023236i,0.0060624-0.00081873i,0.004395-0.00041002i,-0.00069949-0.00083306i,-0.0035875-0.00088123i,-0.0051268-0.00015535i,-0.0063859+0.0014766i,-0.0046618+0.0021084i,0.00068419+0.0019528i,0.0053328+0.0018733i,0.0049307+0.00094645i
0.003415-0.0020004i,0.010732+0.00096507i,0.02597+0.019399i,0.040814+0.051841i,0.041993+0.070758i,0.019701+0.049142i,-0.011404+0.013782i,-0.015675+0.00047985i,0.0051394-0.0012341i,0.015513-0.0024004i,0.01151-5.432e-05i,0.0086037+0.0017473i,0.0064409-0.0004877i,0.0046546-0.0027277i,0.0044549-0.0031942i,0.0039311-0.0031722i,0.0034648-0.001802i,0.0040873+0.0010033i,0.0062453+0.0042732i,0.0074462+0.0056096i,0.004797+0.0012003i,0.00074218-0.0045594i,-0.00047475-0.0065528i
0.0025935+0.0063169i,0.012475+0.014294i,0.037023+0.022687i,0.067911+0.012928i,0.066833-0.01281i,0.02363-0.022283i,-0.0036798-0.010557i,0.0073858-0.0054831i,0.016739-0.0091456i,0.012925-0.0058764i,0.0088637+0.00065697i,0.0046616+0.0029951i,-0.00038494+0.0027804i,-0.0042588-0.00022436i,-0.0051858-0.0017203i,-0.0031522+0.00048093i,-0.0019695+0.00054569i,-0.0027245-0.0018109i,-0.0031068-0.0039093i,-0.001685-0.001859i,0.0018612+0.0046322i,0.0038117+0.0096594i,0.0025631+0.0093454i
-0.0061381+0.0013028i,-0.012045-0.0018908i,-0.017514-0.021443i,-0.016472-0.052841i,-0.0039911-0.067034i,0.017763-0.049446i,0.031847-0.021613i,0.017212-0.006388i,-0.01276-0.001421i,-0.022573+0.0021813i,-0.014866+0.0022335i,-0.008842+0.0010532i,-0.0061097+0.0030565i,-0.004961+0.0032415i,-0.00431+0.0021062i,-0.0027318+0.0012977i,-0.0011317-0.00025916i,-6.1898e-05+0.00013356i,0.0013565+0.0019424i,0.0021634+0.00053502i,0.0025807-0.0046549i,0.0041223-0.0085087i,0.0036537-0.0081447i
-0.003192-0.0019314i,-0.0091687-0.013777i,-0.027763-0.031288i,-0.057101-0.037085i,-0.065925-0.021128i,-0.029864+0.0046291i,0.0012626+0.010283i,-0.011698+0.00077139i,-0.028967+0.0035417i,-0.024834+0.0086367i,-0.014601+0.004866i,-0.0071111-5.5384e-05i,-5.0301e-05-0.00034006i,0.0054091+0.0021864i,0.006268+0.002242i,0.003234-0.0014403i,0.0016413-0.003564i,0.0027258-0.0053453i,0.0030995-0.008096i,0.00037813-0.0073714i,-0.0057789-0.0019924i,-0.011359+0.002464i,-0.01149+0.0014804i
0.0017877+0.00077528i,0.0056853+0.0064038i,0.0015788+0.026774i,-0.014862+0.061566i,-0.031853+0.082853i,-0.046555+0.05834i,-0.055204+0.016293i,-0.035134+0.0055299i,0.0015564+0.012332i,0.018741+0.011104i,0.014605+0.0057522i,0.0088877+0.0016355i,0.0055709-0.0019735i,0.0042625-0.0017052i,0.0046751+0.00029676i,0.0028927+0.0015205i,-0.00019222+0.0028993i,-0.0038633+0.0038823i,-0.007263+0.0045607i,-0.0059205+0.0045639i,0.0021072+0.0027331i,0.0083973+0.00089627i,0.0090223+0.00091652i
-0.0053131+0.0089669i,-0.0041204+0.02255i,0.0044957+0.047924i,0.029438+0.069788i,0.042824+0.06228i,0.021167+0.027575i,-0.0025148+0.0040585i,0.0052343+0.0076522i,0.025226+0.012018i,0.028488+0.0069445i,0.018956+0.0030694i,0.0085044+0.0013112i,0.0019576-0.0015174i,-0.0019656-0.0035872i,-0.004442-0.0013268i,-0.0039139+0.0028215i,-0.0015093+0.0045197i,0.00096033+0.0047037i,0.0033504+0.0047946i,0.0044703+0.002858i,0.0019393-0.0020524i,-0.0019077-0.0068198i,-0.0029197-0.0074939i
-0.0042921-0.0016455i,-0.0063936-0.0054645i,0.0075599-0.015789i,0.046053-0.029812i,0.087534-0.03884i,0.096104-0.029098i,0.072617-0.0051849i,0.033592+0.00091725i,-0.0067313-0.0097592i,-0.022837-0.011261i,-0.016535-0.0036269i,-0.0087261+0.0030722i,-0.0036084+0.0070314i,-7.0591e-05+0.0054967i,-0.00048021+0.00027273i,-0.0025141-0.003167i,-0.0033597-0.0051992i,-0.0037043-0.0068197i,-0.0037658-0.00707i,-0.0015617-0.0031148i,0.0023473+0.0061981i,0.0039148+0.01386i,0.001049+0.013283i
-0.005431-0.0032661i,0.00093164-0.017161i,0.0057247-0.039695i,-0.0009017-0.064512i,-0.010699-0.061149i,0.0056463-0.020123i,0.02261+0.0041956i,-0.00057131-0.010461i,-0.035059-0.018743i,-0.040791-0.0074627i,-0.025026+0.00099705i,-0.010216+0.0044702i,-0.0020656+0.0098822i,0.0036519+0.011371i,0.0066236+0.0062255i,0.0066823-0.00096001i,0.0052353-0.0034108i,0.0036076-7.9131e-05i,0.0030995+0.0033745i,0.00138+0.0022559i,-0.00039139-0.0044531i,0.00095154-0.0098827i,0.0045037-0.0087722i
0.0037152+0.00082771i,0.0021766+0.0068967i,-0.018792+0.013714i,-0.06466+0.018075i,-0.10491+0.016398i,-0.11561+0.0024937i,-0.093354-0.014587i,-0.048489-0.0095849i,-0.007697+0.012462i,0.011928+0.020328i,0.013033+0.010507i,0.0082073-0.0010478i,0.0035345-0.0068775i,0.0010162-0.0053397i,0.0015463-0.0010673i,0.0034188+0.00123i,0.0040849+0.0022705i,0.0046274+0.0011721i,0.0044984-0.0026033i,-0.00079426-0.0049486i,-0.0094468-0.0025188i,-0.015175+0.00069876i,-0.014802+0.0010889i
-0.00076379+0.0063073i,-0.014015+0.013059i,-0.031021+0.027303i,-0.035858+0.050481i,-0.031125+0.061273i,-0.026133+0.025252i,-0.022693-0.011914i,-0.0079013+0.0080009i,0.024412+0.036363i,0.041458+0.028131i,0.031192+0.0079264i,0.016391-0.0042976i,0.0089494-0.01154i,0.0022728-0.013296i,-0.0048813-0.007154i,-0.0083967+0.0014055i,-0.0091114+0.0049587i,-0.010795+0.0036171i,-0.01189+0.0029904i,-0.0047038+0.0035721i,0.0099464+0.0021186i,0.019548+0.0010768i,0.017316+0.0023624i
-0.00085807-0.012505i,0.005192-0.018304i,0.030487-0.014727i,0.080533+0.0093684i,0.12598+0.031172i,0.12866+0.042511i,0.089958+0.046547i,0.040947+0.029148i,0.005999+0.0016088i,-0.008857-0.011587i,-0.011994-0.0076394i,-0.0090743+0.0023398i,-0.0041992+0.0086187i,-0.0014722+0.0067051i,-0.0015632+0.0015367i,-0.003551-0.0016928i,-0.0038969-0.0022894i,0.00083433-0.00013935i,0.0058622+0.0029144i,0.0046643+0.0029816i,-0.0013985-0.00035326i,-0.0059439-0.0058989i,-0.0051346-0.011035i
0.010508-0.0034495i,0.027355-4.7069e-05i,0.052515+0.0040308i,0.069488-0.0019513i,0.070295-0.0028327i,0.057046+0.020266i,0.034517+0.031516i,0.0073856-0.00018394i,-0.023746-0.035909i,-0.040994-0.032537i,-0.032764-0.010676i,-0.019052+0.0042607i,-0.013062+0.012208i,-0.0061608+0.012807i,0.0027655+0.005613i,0.0083031-0.0032244i,0.0087356-0.0085624i,0.0056771-0.0096566i,0.0020429-0.0078459i,-0.0013206-0.0019481i,-0.0038376+0.0080532i,-0.0056016+0.016476i,-0.0069147+0.018053i
-0.00058835+0.010059i,-0.011643+0.018479i,-0.041349+0.012068i,-0.08187-0.022465i,-0.11486-0.062103i,-0.1233-0.072411i,-0.091482-0.05933i,-0.042474-0.038352i,-0.012547-0.011221i,-0.0020312+0.0075088i,0.0055104+0.009343i,0.0106+0.00031897i,0.0078033-0.0074535i,0.0047055-0.0063321i,0.0052338-0.0016094i,0.0048705+0.0019259i,0.0024954+0.0044379i,-0.0026972+0.0068484i,-0.0057189+0.0082366i,-0.0023397+0.0033847i,0.0032515-0.0093148i,0.0068414-0.019093i,0.0083539-0.016339i
-0.012221-0.0062417i,-0.032028-0.02308i,-0.056745-0.048689i,-0.078832-0.053294i,-0.084397-0.039251i,-0.058363-0.051393i,-0.025876-0.06117i,-0.0092161-0.016853i,0.011132+0.03707i,0.032918+0.045188i,0.034156+0.021266i,0.023079+0.001123i,0.016197-0.0072024i,0.0092622-0.0078172i,-0.0015639-0.0034585i,-0.0086108+0.0018708i,-0.007952+0.003765i,-0.0021752-0.000287i,0.0026386-0.005299i,0.0013152-0.0047185i,-0.0039967+0.0014624i,-0.0087657+0.0050656i,-0.011785+0.0016409i
0.0062559-0.0057203i,0.027613-0.013166i,0.063128+0.0016247i,0.094221+0.047997i,0.11114+0.093212i,0.11439+0.10956i,0.086365+0.091013i,0.034099+0.053691i,0.0033789+0.026079i,-0.00068087+0.0077729i,-0.0051044-0.0022388i,-0.011739+0.00020641i,-0.010022+0.0059344i,-0.0052826+0.0051846i,-0.0042662+0.00072398i,-0.005334-0.0022941i,-0.0055052-0.0038461i,-0.0049255-0.0043064i,-0.0042976-0.003606i,-0.00012582+0.00063263i,0.0087409+0.0074028i,0.01779+0.011889i,0.020103+0.01273i
0.012032+0.013592i,0.026638+0.047503i,0.038586+0.096403i,0.058413+0.12658i,0.080064+0.12841i,0.055009+0.11509i,0.005117+0.083318i,-0.013552+0.028513i,-0.020564-0.023361i,-0.033943-0.035643i,-0.035273-0.0181i,-0.024645-0.0015247i,-0.015262+0.0061603i,-0.0072807+0.0067423i,0.0018382+0.0035098i,0.009118+0.0011426i,0.011208+0.0011562i,0.0095045+0.0052587i,0.007944+0.0086121i,0.0035138+0.0033929i,-0.0060084-0.0094078i,-0.013607-0.018506i,-0.013496-0.018676i
-0.016892+0.0094399i,-0.049026+0.010802i,-0.08425-0.010226i,-0.095703-0.057822i,-0.096228-0.10648i,-0.094886-0.12712i,-0.073597-0.10484i,-0.036931-0.059764i,-0.011543-0.026061i,-0.0055176-0.0071328i,0.0018932+0.0049794i,0.012098+0.004374i,0.013048-0.0014182i,0.010334-0.0015448i,0.008678+0.00039887i,0.0063293+0.00034851i,0.0021223-0.0013911i,-0.0026686-0.005372i,-0.0060394-0.0067105i,-0.0063362-0.0016303i,-0.003589+0.0073576i,-0.0027374+0.014366i,-0.0054639+0.016797i
-0.0053598-0.023576i,-0.0048657-0.067605i,-0.0008075-0.12662i,-0.010911-0.16296i,-0.02564-0.16845i,-0.0092351-0.14943i,0.016745-0.10309i,0.016295-0.037106i,0.012039+0.020738i,0.025826+0.040676i,0.03533+0.025706i,0.029814+0.0070275i,0.018715-0.00068545i,0.0085467-0.0031336i,-0.00093598-0.0040609i,-0.0082111-0.0039222i,-0.011143-0.0028939i,-0.012274-0.00048365i,-0.010492+0.0029672i,-0.0018181+0.0043505i,0.010494-0.0015347i,0.01887-0.010585i,0.020478-0.013819i
0.019933-0.0014145i,0.058362+0.011148i,0.095878+0.044707i,0.098004+0.091818i,0.080155+0.14302i,0.075614+0.17192i,0.06771+0.14066i,0.035274+0.0771i,0.0060799+0.038876i,0.0022158+0.021659i,0.0014914+0.0044941i,-0.0087098-0.0027681i,-0.013388-0.00077208i,-0.010885-0.0011024i,-0.0088381-0.0025592i,-0.0056858-0.0016657i,0.0017858-0.00099854i,0.0098822-0.001971i,0.013115-0.0039373i,0.0056107-0.0060366i,-0.010345-0.0029079i,-0.021639+0.0043407i,-0.023624+0.0062879i
-0.0021944+0.024316i,-0.022493+0.071611i,-0.052618+0.13692i,-0.05761+0.19074i,-0.039002+0.20958i,-0.044211+0.17999i,-0.057029+0.11356i,-0.039691+0.044252i,-0.020543-0.0088061i,-0.026386-0.033366i,-0.037456-0.025915i,-0.032784-0.0099222i,-0.019593-0.0015588i,-0.0088188+0.0017596i,-0.00135+0.0037924i,0.0033178+0.0055192i,0.0024777+0.0050234i,-0.00072649+0.0026225i,-0.0030162+0.0004734i,-0.0004477+0.00038577i,0.0083752+0.0020462i,0.015792+0.0037729i,0.016724+0.0069227i
-0.026992-0.011379i,-0.065595-0.038384i,-0.097797-0.082529i,-0.084922-0.12122i,-0.043271-0.1579i,-0.021898-0.18967i,-0.028051-0.16752i,-0.027739-0.096965i,-0.013746-0.041911i,-0.0091447-0.018237i,-0.0056752-0.0028018i,0.0052434+0.0068043i,0.011929+0.0080674i,0.011729+0.0070665i,0.0090873+0.0052272i,0.0053994+0.0028199i,0.0013126+0.0020123i,-0.0021437+0.0044389i,-0.00096835+0.0068929i,0.0040979+0.0029375i,0.0043369-0.0090359i,-0.0017569-0.01943i,-0.0055337-0.02115i
0.017908-0.026429i,0.057892-0.064386i,0.11659-0.11299i,0.14379-0.15676i,0.13172-0.17996i,0.11824-0.15994i,0.092698-0.10477i,0.044711-0.047147i,0.01012+0.0019779i,0.013075+0.031822i,0.027736+0.032344i,0.027336+0.01803i,0.017097+0.0076086i,0.0093464+0.00062743i,0.0051683-0.0050137i,0.0026692-0.0086148i,0.00012243-0.010899i,-0.0017905-0.012632i,-0.0058977-0.011493i,-0.011745-0.0014835i,-0.013619+0.015152i,-0.0085377+0.025809i,-0.002694+0.024172i
0.026928+0.013033i,0.055073+0.057832i,0.067008+0.11645i,0.037423+0.16082i,-0.018241+0.19433i,-0.047962+0.22472i,-0.026331+0.19616i,-0.0050432+0.11403i,-0.0065916+0.055379i,-0.0018651+0.033344i,0.0041527+0.013511i,-0.0025138-0.0038197i,-0.0094255-0.010235i,-0.0079391-0.010299i,-0.0058795-0.0081667i,-0.0052255-0.0047179i,-0.0028471+2.7731e-05i,-0.0030501+0.0038421i,-0.0042407+0.0058806i,-0.00023438+0.0051293i,0.0071754-0.0012728i,0.0097524-0.010626i,0.0064769-0.013507i
-0.030044+0.021466i,-0.087915+0.041877i,-0.15966+0.060832i,-0.19842+0.088205i,-0.19189+0.12401i,-0.17028+0.12076i,-0.13056+0.083665i,-0.067366+0.051686i,-0.017407+0.019212i,-0.0071704-0.013676i,-0.017225-0.02311i,-0.018815-0.013901i,-0.011699-0.0051546i,-0.0083123+0.00039561i,-0.0059016+0.0036944i,-0.0025472+0.0044805i,-4.3661e-05+0.0046063i,0.0054346+0.0045426i,0.013623+0.00069713i,0.014044-0.0093027i,0.0022802-0.015837i,-0.010639-0.010834i,-0.014041-0.0028937i
-0.010963-0.036565i,-0.018106-0.093155i,-0.0034314-0.15223i,0.046905-0.1759i,0.11353-0.18872i,0.14752-0.21064i,0.10211-0.19411i,0.035473-0.12085i,0.015642-0.052398i,0.011675-0.026925i,0.0015239-0.012938i,0.00010425+0.0036521i,0.0028998+0.010949i,0.0018156+0.0096805i,-0.001384+0.0070762i,-0.0026111+0.0056777i,-0.0023327+0.0011104i,-0.0048894-0.0034564i,-0.0081876-0.0016749i,-0.0044155+0.0067442i,0.0071056+0.014739i,0.017607+0.01384i,0.018209+0.0076996i
0.04313+0.0049312i,0.10704+0.017311i,0.17913+0.038239i,0.21881+0.038565i,0.22695+0.006595i,0.20566-0.023126i,0.14941-0.034594i,0.077002-0.039226i,0.017768-0.024662i,-0.0028465+0.0076777i,0.005763+0.022292i,0.012301+0.015469i,0.011645+0.0076962i,0.01126+0.0016281i,0.0093875-0.0045728i,0.0067166-0.0062267i,0.0051386-0.0021148i,0.0026385+0.0018991i,5.8791e-05+0.0033324i,1.709e-05+0.0023049i,0.00015229-0.0031685i,-0.0035765-0.0076044i,-0.0062661-0.006246i
-0.0038416+0.042201i,-0.031254+0.10139i,-0.078395+0.15718i,-0.14553+0.17358i,-0.22528+0.17711i,-0.25098+0.19011i,-0.17434+0.17456i,-0.081356+0.11001i,-0.043214+0.046483i,-0.026745+0.023968i,-0.0079478+0.013281i,-0.00092959-0.0014074i,-0.00212-0.0065253i,0.0015005-0.0055315i,0.0048787-0.0054674i,0.0037744-0.006333i,0.00064669-0.0075267i,-0.00097002-0.0079722i,-0.0024626-0.010529i,-0.011235-0.011455i,-0.019607-0.0041529i,-0.015827+0.0038872i,-0.0067444+0.0047884i
-0.031479-0.018582i,-0.081399-0.06324i,-0.13563-0.11923i,-0.16467-0.14012i,-0.16864-0.11156i,-0.16828-0.062413i,-0.14836-0.012882i,-0.098203+0.025935i,-0.041451+0.034981i,-0.0065797+0.014505i,-0.001138-0.0027833i,-0.0031057-0.0046004i,-0.0038719-0.003913i,-0.0055423+0.00045926i,-0.0027024+0.0053212i,0.00032779+0.0053178i,-0.0023627+0.0048392i,-0.0071939+0.0064134i,-0.0054587+0.011217i,0.0052547+0.012854i,0.014274+0.0073133i,0.012187-0.0013463i,0.0032848-0.0044138i
0.03175-0.031852i,0.088705-0.071022i,0.17183-0.10605i,0.25844-0.10492i,0.33675-0.086313i,0.35268-0.10272i,0.2454-0.13006i,0.10452-0.094508i,0.04505-0.028796i,0.033094-0.0053805i,0.016128-0.0023776i,0.0046217+0.0072214i,0.0025292+0.0092716i,-0.0025554+0.0026164i,-0.0069004+0.00043797i,-0.0046394+0.0017432i,0.0013289+0.0003859i,0.006641-0.0017924i,0.009409-0.0032294i,0.0097054-0.0050647i,0.005349-0.0073106i,-5.4142e-05-0.0039406i,0.0010142+0.0013817i
0.018838+0.042922i,0.039027+0.11173i,0.05685+0.20189i,0.066502+0.24475i,0.073649+0.20478i,0.0892+0.12905i,0.10223+0.053605i,0.087181-0.0091645i,0.044202-0.028136i,0.011595-0.011298i,0.0047385+0.00036062i,0.0043676-0.00047937i,0.0048516-0.00073878i,0.0069606-0.0030474i,0.0012458-0.0077639i,-0.007637-0.0045931i,-0.0074093+0.0025703i,-0.0027255+0.0020952i,-0.0037915-0.0026081i,-0.0099651+0.00022954i,-0.0093706+0.0082293i,-0.0012269+0.0069425i,0.0018419-0.00091749i
-0.047455+0.015393i,-0.12202+0.026409i,-0.22695+0.028317i,-0.3293+0.01215i,-0.40194-0.003068i,-0.40008+0.017623i,-0.28047+0.06794i,-0.13029+0.072884i,-0.058459+0.026202i,-0.039616+0.0026574i,-0.01802+7.9391e-05i,-0.0021412-0.0060688i,0.0024969-0.0041076i,0.0070869+0.0017147i,0.010519-0.00034096i,0.0093269-0.0043158i,0.0040606-0.0033815i,0.0013133+0.0021355i,0.0043234+0.0071755i,0.010197+0.0064688i,0.014478+0.0015215i,0.01125-0.00025715i,0.0061968+0.0032722i
0.0051414-0.049836i,0.018502-0.12429i,0.048373-0.21273i,0.073477-0.24491i,0.065422-0.18805i,0.018848-0.097375i,-0.045956-0.027869i,-0.081653+0.017531i,-0.062227+0.035237i,-0.027159+0.021922i,-0.013075+0.0079889i,-0.01051+0.0064254i,-0.010699+0.0059649i,-0.01043+0.0080314i,-0.0057405+0.010053i,-0.002077+0.0037102i,-0.0023432-0.0075085i,-0.0059784-0.01348i,-0.009148-0.01193i,-0.011716-0.010038i,-0.015966-0.010548i,-0.015001-0.0083354i,-0.0087657-0.0057267i
0.041364+0.011498i,0.11713+0.03764i,0.21905+0.074577i,0.32128+0.11639i,0.39865+0.14367i,0.40133+0.10427i,0.28408+0.00053541i,0.12593-0.047622i,0.043218-0.015111i,0.025391+0.0099424i,0.010795+0.011473i,-3.203e-06+0.01201i,-0.0007791+0.0066793i,-0.0040934+0.0016805i,-0.0040403+0.0060505i,0.0031921+0.011304i,0.0087085+0.012729i,0.0064911+0.0096999i,-0.001173+0.0050194i,-0.0050887+0.0071432i,-0.0024138+0.0098185i,-0.002008+0.0049914i,-0.0051545+0.00063294i
-0.028283+0.035585i,-0.075127+0.10025i,-0.1318+0.16647i,-0.16459+0.17452i,-0.14931+0.095262i,-0.083193+0.00047147i,0.007459-0.038773i,0.065421-0.048484i,0.059903-0.044797i,0.030609-0.021302i,0.019318-0.0055988i,0.016787-0.0067344i,0.016087-0.0088997i,0.014395-0.013844i,0.0058835-0.01747i,-0.00027588-0.012602i,0.0017567-0.0036196i,0.008085+0.0030968i,0.014749+0.0025216i,0.019504-0.0028398i,0.022168-0.0073018i,0.021788-0.0076786i,0.019374-0.0032431i
-0.038197-0.035988i,-0.095275-0.08908i,-0.1806-0.14341i,-0.26509-0.17503i,-0.32087-0.18939i,-0.32342-0.16069i,-0.24702-0.064113i,-0.12579+0.012197i,-0.047796+0.011935i,-0.024003+0.0017381i,-0.0068005+0.0048148i,0.0057906+0.0031763i,0.0071406+0.004261i,0.0082955+0.004976i,0.0038504-0.0012289i,-0.010514-0.004138i,-0.023477-0.0010843i,-0.025126+0.0022504i,-0.018927+0.0055415i,-0.015919+0.0094298i,-0.017213+0.016382i,-0.013392+0.018378i,-0.0069749+0.011088i
0.041749-0.020823i,0.10585-0.050659i,0.16919-0.074623i,0.18705-0.030388i,0.15228+0.094933i,0.083237+0.18366i,-0.003502+0.15685i,-0.073262+0.10041i,-0.078691+0.070392i,-0.044802+0.038786i,-0.027379+0.013985i,-0.02351+0.0089023i,-0.019682+0.011141i,-0.014194+0.016048i,-0.0025708+0.015359i,0.0091699+0.0036663i,0.014713-0.010031i,0.01074-0.015974i,0.00077818-0.010306i,-0.0029666-0.00032737i,-0.00084777+0.0033978i,-0.0023453+0.0035756i,-0.0051885+0.0056502i
0.0033763+0.049669i,0.026094+0.11276i,0.083516+0.17552i,0.15919+0.20426i,0.21311+0.21633i,0.2234+0.19933i,0.1732+0.11164i,0.080024+0.024652i,0.01707+0.0085883i,0.005874+0.0081445i,0.0012151-0.0049959i,-0.0070225-0.0083213i,-0.0088159-0.0083717i,-0.0096151-0.008793i,-0.0066391-0.0041178i,0.0010297-0.0023039i,0.0067675-0.0042846i,0.011469-0.0068682i,0.014556-0.014578i,0.012205-0.026951i,0.0051658-0.037271i,-0.00027699-0.036348i,-0.00019847-0.025119i
-0.033486-0.0097016i,-0.091243-0.018031i,-0.13269-0.034305i,-0.11471-0.10638i,-0.05483-0.24953i,-0.0029648-0.32869i,0.03631-0.25233i,0.072624-0.14334i,0.069263-0.086509i,0.037096-0.043147i,0.025853-0.012271i,0.025897-0.0051074i,0.023001-0.0057089i,0.018233-0.0076842i,0.0070682-0.00094107i,-0.00065806+0.017i,-0.00014277+0.030716i,0.0021578+0.03392i,0.0025732+0.030036i,0.003883+0.027255i,0.0086053+0.028341i,0.011287+0.022311i,0.0065375+0.0099687i
0.023507-0.035872i,0.038391-0.080815i,0.016143-0.11952i,-0.04537-0.12282i,-0.09419-0.12677i,-0.10464-0.14685i,-0.083771-0.1213i,-0.039231-0.055225i,-0.0026325-0.018722i,0.002503-0.0019713i,0.0029506+0.014418i,0.0079102+0.016138i,0.0096971+0.013027i,0.010425+0.0096984i,0.0073635-0.0017644i,-0.0010138-0.014851i,-0.011147-0.019163i,-0.022105-0.013752i,-0.025599-0.00069186i,-0.015288+0.012269i,-0.001721+0.015153i,0.0058011+0.012808i,0.0066051+0.011465i
0.027057+0.035611i,0.052311+0.076902i,0.052757+0.12705i,-0.0091581+0.22464i,-0.089186+0.38383i,-0.10955+0.44884i,-0.084799+0.32274i,-0.082247+0.1673i,-0.075135+0.10035i,-0.039847+0.060129i,-0.023965+0.023749i,-0.022426+0.010638i,-0.019736+0.0089801i,-0.01878+0.0079249i,-0.014976+0.0015038i,-0.013901-0.0088422i,-0.014656-0.01799i,-0.010921-0.023564i,-0.0084887-0.02458i,-0.014426-0.022077i,-0.024197-0.015345i,-0.025745-0.0085482i,-0.015669-0.0073238i
-0.041319+0.0040987i,-0.080776+0.011429i,-0.083033+0.022669i,-0.022005+0.028827i,0.041489+0.048996i,0.054822+0.091304i,0.025584+0.099949i,-0.013813+0.072718i,-0.02827+0.046824i,-0.014073+0.01858i,-0.004931-0.0050221i,-0.0041745-0.0081188i,0.00043086-0.0062587i,0.0068066-0.0041651i,0.01578+0.0025621i,0.026581+0.0090302i,0.034865+0.012311i,0.038794+0.0060817i,0.037212-0.0046903i,0.031372-0.0097613i,0.025496-0.011045i,0.015188-0.0092015i,0.0019963-0.0010205i
0.010326-0.039567i,0.034299-0.092284i,0.082463-0.1572i,0.16972-0.25351i,0.25304-0.40124i,0.22507-0.46323i,0.11272-0.33382i,0.049329-0.1696i,0.037014-0.092478i,0.020405-0.052885i,0.014332-0.02044i,0.013965-0.0059165i,0.011752-0.0017888i,0.011437-0.0070346i,0.0049542-0.011943i,-0.0028171-0.0093106i,-0.005005-0.00056514i,-0.0030106+0.015553i,0.0016866+0.0251i,0.005235+0.017642i,0.005454+0.0047256i,0.0066621-0.0034434i,0.010401-0.0074407i
0.032365+0.028912i,0.071296+0.068709i,0.085529+0.10637i,0.031447+0.10582i,-0.055654+0.064267i,-0.078321-0.0078425i,-0.032774-0.064337i,0.013213-0.075256i,0.015769-0.056847i,-0.00061138-0.018258i,0.00097549+0.0080689i,0.0035359+0.005023i,-0.0066821+0.001159i,-0.018445+0.0077389i,-0.026248+0.015377i,-0.028329+0.021453i,-0.02879+0.017929i,-0.030629+0.0064181i,-0.031829+0.0011267i,-0.026689+0.005555i,-0.014648+0.011825i,-0.0064067+0.011258i,-0.0076466+0.0050107i
