0.0019771-0.00042526i,0.0016655-0.0012416i,0.00052373-0.0022045i,-0.0014878-0.0020955i,-0.0025049-0.00093808i,-0.0019533+0.00070556i,-0.0012065+0.0019496i,-0.00055881+0.0012413i,0.00033148-0.00023736i,0.00086546-0.00087098i,0.00099999-0.0013051i,0.00061018-0.00077501i,-0.00029302+0.00016075i,-0.0013658+0.00071707i,-0.0016115+0.00015143i,-0.00054868-0.00048127i,0.00031248-0.00032355i,-6.1806e-05-0.00045834i,-0.00018088-0.00065629i,0.00016525+0.00011747i,-0.00042596+5.3402e-05i,-0.00046368-0.00058034i,-0.00014819-0.00029277i
-0.016419+0.27497i,-0.053488+0.59665i,-0.11401+0.86034i,-0.13167+0.92987i,-0.078319+0.81535i,-0.00060715+0.53454i,0.038494+0.2406i,0.041097+0.09605i,0.060893+0.039876i,0.067699-0.0067939i,0.04278-0.03098i,0.018123-0.035108i,0.0029802-0.02716i,-0.0058666-0.0096662i,-0.010741+0.0063848i,-0.011121+0.014909i,-0.0099029+0.01797i,-0.0063109+0.018995i,-7.9354e-05+0.014083i,0.0007102+0.0069751i,-0.002582+0.0053612i,-0.0096034+0.0021017i,-0.019972-0.0037767i
0.0030928+0.049396i,0.010295+0.092959i,0.12953+0.13178i,0.40915+0.11773i,0.59532+0.033434i,0.47353-0.053559i,0.24641-0.075691i,0.11627-0.074389i,0.044012-0.078666i,0.0027277-0.057831i,0.00080812-0.029567i,0.00921-0.0081799i,0.0196+0.011457i,0.030703+0.018889i,0.033718+0.013299i,0.028685+0.0063661i,0.021634+0.0044544i,0.016502+0.0036615i,0.0092841+0.001503i,0.0039345+0.00039723i,0.0036521-0.0012119i,0.0022915-0.0034676i,-0.0022895-5.2033e-05i
0.055875-0.19662i,0.13272-0.48093i,0.18295-0.76479i,0.09989-0.89982i,-0.050942-0.83344i,-0.11772-0.55918i,-0.092523-0.25905i,-0.056986-0.10398i,-0.062561-0.027375i,-0.058586+0.028473i,-0.033771+0.044922i,-0.021011+0.037902i,-0.017462+0.024464i,-0.014259+0.0058536i,-0.0081189-0.0098532i,-0.0027344-0.017311i,-0.00069184-0.019775i,-0.0014172-0.019434i,-0.001534-0.014145i,0.0013378-0.0097745i,0.0022934-0.011415i,0.0057247-0.010615i,0.016463-0.0067986i
-0.10963+0.018877i,-0.1681+0.086588i,-0.25193+0.15096i,-0.43982+0.18549i,-0.60435+0.23038i,-0.50075+0.25518i,-0.24173+0.19099i,-0.092116+0.10866i,-0.032884+0.073531i,0.0017612+0.044046i,0.0016491+0.01022i,-0.010826-0.014761i,-0.025849-0.029312i,-0.039271-0.019022i,-0.037151+0.0044936i,-0.026318+0.016105i,-0.020017+0.015183i,-0.0177+0.012655i,-0.01182+0.0094527i,-0.0066292+0.004736i,-0.0065566+0.0070737i,-0.0066541+0.014756i,-0.0041805+0.016085i
-0.097688+0.12355i,-0.20173+0.36544i,-0.19311+0.63216i,0.030045+0.75564i,0.26749+0.6818i,0.27942+0.44183i,0.15756+0.19931i,0.087414+0.065148i,0.068683-0.012849i,0.036597-0.049504i,0.016005-0.037053i,0.024186-0.020317i,0.031163-0.011764i,0.028992-0.00052535i,0.02461+0.0051548i,0.019611+0.0058951i,0.014818+0.0085306i,0.013754+0.0093438i,0.011215+0.0044177i,0.0032957+0.0018714i,0.0013113+0.0023212i,0.0025727-0.0033662i,-0.0034303-0.0084205i
0.16222-0.087206i,0.2202-0.25686i,0.21128-0.40614i,0.25333-0.47343i,0.34581-0.52898i,0.27905-0.50466i,0.089458-0.33238i,-0.007902-0.16146i,-0.031405-0.080298i,-0.042623-0.026857i,-0.028491+0.011926i,-0.005507+0.029427i,0.01441+0.031074i,0.019491+0.0082197i,0.0076388-0.015603i,-0.001145-0.020733i,0.00031717-0.021329i,0.00036528-0.022815i,-0.0044329-0.015849i,-0.0028104-0.0055924i,0.00051619-0.0033037i,-0.0021668-0.0037818i,-0.0058876-0.0017418i
0.095061-0.10993i,0.16179-0.30545i,0.058826-0.48625i,-0.24886-0.45541i,-0.46938-0.25463i,-0.39932-0.082633i,-0.21155-0.014282i,-0.093995+0.013968i,-0.027837+0.046954i,0.02567+0.047092i,0.035851+0.015391i,0.010113-0.0013993i,-0.010439-0.002759i,-0.018329-0.0019733i,-0.019542+0.0030423i,-0.015231+0.0065894i,-0.01119+0.0063887i,-0.0081012+0.0070447i,0.0012667+0.0095724i,0.0098626+0.007352i,0.0094234+0.0028691i,0.010199+0.0044682i,0.017472+0.0050991i
-0.12827+0.10486i,-0.16603+0.28133i,-0.075521+0.44634i,0.046872+0.5116i,0.072664+0.52804i,0.088506+0.46042i,0.11555+0.27333i,0.087938+0.10766i,0.058366+0.01764i,0.039534-0.039926i,0.014186-0.058252i,0.0020693-0.049923i,-0.0006188-0.030683i,0.0018291-0.00021123i,0.0099288+0.018784i,0.011864+0.015033i,0.0054946+0.0073227i,0.0026051+0.0057952i,0.0033796+0.00024557i,-0.00046076-0.0054471i,-0.0052666-0.0040589i,-0.0095923-0.0067664i,-0.013381-0.01273i
-0.064309+0.10783i,-0.049137+0.2409i,0.10171+0.2885i,0.32934+0.12061i,0.4213-0.10851i,0.31066-0.15877i,0.17881-0.078157i,0.11621-0.027011i,0.053385-0.0063589i,-0.0045486+0.033695i,-0.013531+0.068099i,0.0017206+0.070219i,0.0085583+0.05403i,0.01073+0.029229i,0.014035+0.0025622i,0.012732-0.012126i,0.0080854-0.012751i,0.0018392-0.0104i,-0.0091877-0.0062279i,-0.01543+0.0021787i,-0.0094568+0.0061639i,0.00029024+0.0077836i,0.0048353+0.012801i
0.059399-0.10366i,0.059346-0.25516i,-0.060806-0.40845i,-0.24849-0.46568i,-0.33397-0.43779i,-0.28098-0.35786i,-0.19359-0.2379i,-0.13006-0.12584i,-0.074078-0.041891i,-0.014098+0.0067897i,0.017489+0.014792i,0.011291+0.011633i,-0.0024951+0.0044022i,-0.015244-0.0083666i,-0.026488-0.0085706i,-0.023918+0.00046254i,-0.010634+0.0012463i,-0.0016173-0.0041812i,0.0036165-0.0022146i,0.0086465+0.00066219i,0.0074089-0.00027574i,0.0050792+9.7572e-05i,0.0075726-0.001732i
0.041889-0.11994i,-0.036444-0.1977i,-0.21162-0.1294i,-0.35636+0.14737i,-0.36504+0.39288i,-0.28048+0.37286i,-0.19344+0.21818i,-0.13289+0.12387i,-0.084379+0.07797i,-0.051917+0.021331i,-0.043546-0.026728i,-0.040626-0.042821i,-0.028251-0.038173i,-0.010858-0.019393i,0.0058652+0.0024032i,0.013684+0.011068i,0.0058566+0.012025i,-0.004151+0.015131i,-0.0011141+0.01248i,0.0050055+0.0039634i,0.0040556+0.00094037i,-0.00036994+0.0028885i,-0.0042389+0.0050088i
0.010512+0.096997i,0.051225+0.2019i,0.20066+0.29412i,0.4589+0.25638i,0.63103+0.11397i,0.54009+0.017181i,0.31297-0.0010519i,0.17527-0.01263i,0.11388-0.04358i,0.052429-0.036882i,0.021558+0.0054402i,0.023085+0.020021i,0.021229+0.01201i,0.014931+0.0040183i,0.0074795-0.010353i,-0.0011737-0.022653i,0.00010869-0.023404i,0.0073934-0.021592i,0.0028157-0.020945i,-0.0075919-0.015549i,-0.0074786-0.012033i,-0.0021148-0.015417i,0.000675-0.015433i
-0.02903+0.10103i,0.071334+0.13225i,0.1789+0.010112i,0.094984-0.25385i,-0.13321-0.43298i,-0.2201-0.3463i,-0.10378-0.15281i,-0.0049809-0.062094i,-0.010665-0.02429i,-0.016585+0.021951i,0.0070207+0.039516i,0.016734+0.032643i,0.0067677+0.019472i,-0.010072+0.0080303i,-0.021008+0.012366i,-0.015586+0.021254i,-0.0039606+0.015353i,-0.0014886-0.00091448i,-0.0064463-0.0068228i,-0.010224-0.0010792i,-0.010041+0.0041515i,-0.0073872+0.0099914i,-0.005724+0.013744i
-0.10723-0.09456i,-0.21364-0.15829i,-0.30656-0.14726i,-0.32945+0.05741i,-0.24903+0.33879i,-0.099612+0.35763i,-0.020686+0.12753i,-0.03249-0.02051i,-0.012186-0.02724i,0.030969-0.035363i,0.028468-0.054337i,0.010295-0.049731i,0.0061018-0.035855i,0.0096392-0.018874i,0.020186-0.0063067i,0.027273-0.00054431i,0.019884+0.009692i,0.014572+0.024655i,0.022065+0.026426i,0.027569+0.012931i,0.022922+0.0056113i,0.018499+0.0063079i,0.016723+0.0027256i
0.069513-0.056526i,0.035647-0.049912i,0.00052432+0.023222i,0.10254+0.026707i,0.25147-0.13478i,0.18975-0.25251i,-0.010837-0.14628i,-0.097278+0.0014534i,-0.098775+0.01437i,-0.10926-0.017459i,-0.092267-0.013881i,-0.050341-0.0021035i,-0.012152+0.0102i,0.015092+0.014353i,0.016514+0.0029985i,-0.0025096-0.009576i,-0.019532-0.013723i,-0.025611-0.009933i,-0.022865-0.0019434i,-0.015156+0.0031087i,-0.0080171-0.0017832i,-0.0097269-0.011303i,-0.013703-0.014216i
0.11228+0.028773i,0.19746+0.015809i,0.18588-0.023162i,0.029299-0.033466i,-0.12193+0.034154i,-0.086742+0.11942i,0.094792+0.11594i,0.22474+0.061387i,0.23448+0.057442i,0.18282+0.083414i,0.11233+0.08715i,0.057249+0.077294i,0.026148+0.05737i,-0.00066779+0.033003i,-0.017122+0.020629i,-0.016224+0.014769i,-0.0073047+0.0041279i,-0.0010501-0.010509i,-0.0024579-0.017722i,-0.0042744-0.012532i,-0.0029784-0.004808i,0.0010665+0.0011335i,0.0057235+0.0068503i
-0.076525+0.012488i,-0.11463+0.038926i,-0.13607+0.083818i,-0.12822+0.13691i,-0.075734+0.15679i,-0.023852+0.10312i,-0.046947+0.0024809i,-0.10509-0.081053i,-0.10579-0.12635i,-0.060607-0.13987i,-0.030307-0.11636i,-0.019818-0.073639i,-0.015491-0.04487i,-0.015111-0.027955i,-0.011893-0.010692i,-0.0008716-0.0019646i,0.0097286-0.0058139i,0.0081721-0.0084547i,-0.0019266-0.0046248i,-0.0056583-0.00060607i,0.0016229+0.0017639i,0.0097514+0.0023395i,0.0086136+0.0017057i
-0.069913-0.028073i,-0.12462-0.079221i,-0.11801-0.13522i,-0.060398-0.11649i,-0.047234-0.036951i,-0.067919+0.010828i,-0.06653+0.026939i,-0.071305+0.063153i,-0.10408+0.11175i,-0.11185+0.13068i,-0.074939+0.097642i,-0.040099+0.044752i,-0.024926+0.017464i,-0.0087427+0.013333i,0.010949+0.0087448i,0.013344-8.0158e-05i,-0.001551+0.0036813i,-0.0027316+0.022435i,0.023383+0.033226i,0.042565+0.022651i,0.030357+0.0026077i,0.0091555-0.0098942i,0.0033682-0.013637i
0.0014182+0.12155i,0.022485+0.21381i,0.058321+0.19018i,0.12229-0.011855i,0.18657-0.22433i,0.16553-0.26213i,0.079615-0.15874i,0.065539-0.060564i,0.12853-0.040091i,0.15074-0.042395i,0.11819-0.015163i,0.074981+0.0089666i,0.032913+0.01802i,0.0091581+0.019317i,-0.0019326+0.013427i,-0.0066345+0.016313i,0.0048814+0.011945i,0.0066305-0.016799i,-0.017897-0.042204i,-0.039681-0.039566i,-0.039262-0.015804i,-0.024581+0.0042793i,-0.0083965+0.0082737i
0.11741-0.1811i,0.25887-0.31259i,0.30757-0.34616i,0.057647-0.19104i,-0.29614+0.10672i,-0.33278+0.3479i,-0.085489+0.35515i,0.068307+0.21168i,0.040615+0.10572i,-0.010149+0.061301i,-0.02084+0.028743i,-0.0096739+0.0051425i,-0.0037581-0.015884i,-0.024403-0.02043i,-0.037936+0.00020923i,-0.023012+0.0061362i,-0.011497-0.0084634i,-0.014473-0.004095i,-0.016616+0.026531i,-0.01024+0.050124i,0.0021277+0.043593i,0.012445+0.023001i,0.013388+0.011941i
-0.033035-0.14287i,-0.299-0.25572i,-0.55277-0.21898i,-0.35164-0.047458i,0.15698-0.030478i,0.3319-0.24245i,0.095439-0.3963i,-0.10619-0.33914i,-0.11503-0.19307i,-0.063864-0.090163i,-0.050471-0.046418i,-0.051793-0.022947i,-0.019456-0.0072805i,0.022477-0.0082944i,0.036464-0.024312i,0.018371-0.035247i,-0.0035673-0.018502i,0.0032496+0.0026972i,0.028036-0.0094464i,0.035076-0.039987i,0.017933-0.048774i,-0.0030308-0.036917i,-0.012623-0.024451i
0.067274+0.4151i,0.26843+0.74251i,0.45944+0.79593i,0.33181+0.3745i,-0.10316-0.14264i,-0.39848-0.22335i,-0.31579+0.031016i,-0.13262+0.16324i,-0.073319+0.1151i,-0.055612+0.065556i,-0.0038002+0.049072i,0.033405+0.042935i,0.028701+0.036574i,0.010793+0.015575i,0.0020804-0.0045812i,0.0060161-0.010975i,0.0095931-0.015653i,-0.0020035-0.020606i,-0.029843-0.010326i,-0.052312+0.017561i,-0.045562+0.037127i,-0.021983+0.03746i,-0.0016161+0.026638i
-0.22525-0.1694i,-0.22711-0.36381i,-0.067255-0.48666i,0.10575-0.22412i,0.24632+0.29892i,0.37158+0.46715i,0.35025+0.16205i,0.24188-0.079355i,0.20838-0.092659i,0.17027-0.075937i,0.086365-0.056637i,0.033988-0.042011i,-0.0048277-0.03536i,-0.032347+0.013282i,-0.026086+0.067974i,-0.012432+0.07944i,-0.0045458+0.053612i,0.00474+0.016328i,0.023522-0.0051766i,0.05335-0.013796i,0.067572-0.028038i,0.051728-0.043634i,0.018514-0.040782i
-0.0030613-0.27759i,-0.24418-0.31299i,-0.47608-0.17077i,-0.37056-0.18821i,-0.12919-0.51328i,-0.15306-0.64891i,-0.28079-0.34237i,-0.27404-0.050521i,-0.24385+0.010156i,-0.20378+0.038344i,-0.10913+0.067354i,-0.034002+0.062418i,0.017064+0.037895i,0.036278-0.0049449i,0.016659-0.023466i,0.0057063-0.0092452i,0.0053136+0.0035407i,-0.0012228+0.019692i,-0.0046594+0.033443i,-0.011543+0.022673i,-0.026914+0.0063625i,-0.033739+0.0024513i,-0.02202+0.0033467i
0.43101+0.14182i,0.64606+0.089792i,0.52571+0.0030364i,0.067905+0.13508i,-0.28217+0.4716i,-0.19167+0.59046i,0.1122+0.30244i,0.23097-0.016866i,0.16851-0.063456i,0.10973+0.01005i,0.060257+0.031051i,0.0059348+0.038385i,-0.015782+0.060773i,0.0037694+0.057805i,0.041062+0.011733i,0.057018-0.054279i,0.035839-0.090518i,0.012486-0.079781i,0.0087313-0.055854i,0.012897-0.03651i,0.018923-0.019545i,0.02942-0.0057193i,0.041542+0.00061878i
-0.2262+0.16719i,-0.20698+0.17223i,-0.038423+0.050105i,0.2461-0.037765i,0.57994-0.11362i,0.66269-0.26368i,0.39758-0.26216i,0.19937-0.10131i,0.151-0.08472i,0.030165-0.12548i,-0.061198-0.064674i,-0.061489-0.02388i,-0.060978-0.033573i,-0.058024-0.037057i,-0.04745-0.017158i,-0.030097+0.021135i,-0.0032982+0.039625i,0.0033134+0.021459i,-0.012625-0.0020142i,-0.021638-0.016468i,-0.019003-0.023636i,-0.020556-0.015458i,-0.018982+0.010431i
-0.31042-0.1884i,-0.44891-0.081202i,-0.39811+0.11119i,-0.3784+0.12991i,-0.5598+0.064692i,-0.62241+0.092725i,-0.43956+0.075063i,-0.31985+0.054868i,-0.23925+0.15096i,-0.07642+0.1632i,-0.018832+0.067583i,-0.042649+0.047046i,-0.023694+0.038433i,-0.044838-0.0061964i,-0.10705-0.012859i,-0.12557+0.006924i,-0.087037+0.0089925i,-0.037101-0.0013688i,-0.0013571+0.0070888i,0.024495+0.03376i,0.033663+0.048665i,0.025583+0.041887i,0.0044585+0.02075i
0.35294-0.12273i,0.42434-0.1044i,0.30099+0.074181i,0.21308+0.2831i,0.2945+0.33686i,0.38488+0.23955i,0.39326+0.12556i,0.34573+0.032611i,0.23979-0.063155i,0.10439-0.10098i,0.034957-0.077081i,0.018366-0.072629i,-0.014596-0.063376i,-0.036012-0.030691i,-0.050251-0.02499i,-0.090608-0.023197i,-0.10593-0.00020596i,-0.087087+0.012136i,-0.076081+0.010637i,-0.071105+0.010306i,-0.050087+0.014635i,-0.015598+0.013746i,0.01428-0.0023452i
-1.3497+7.1405i,0.8134+6.701i,3.4377+5.1692i,4.166+1.6579i,3.128-1.3417i,0.87626-2.4213i,-0.96516-1.2816i,-1.2097+0.25005i,-0.2187+0.78196i,0.84939+0.16654i,0.96549-0.77466i,0.33391-1.3428i,-0.55336-1.7922i,-1.4391-2.2879i,-1.6707-2.2799i,-1.0557-1.3788i,-0.33548-0.40015i,-0.24213+0.036425i,-0.56025+0.26039i,-0.49176+0.46944i,0.047447+0.46427i,0.49883+0.13598i,0.46073-0.28236i
-0.44629-0.09573i,-0.63332-0.032616i,-0.62905+0.078732i,-0.52543+0.11749i,-0.40956+0.1033i,-0.22796+0.12928i,-0.040331+0.17336i,0.039157+0.16371i,0.031589+0.092366i,0.0033094+0.0011176i,-0.022705-0.076884i,-0.048835-0.11966i,-0.075074-0.10908i,-0.081823-0.062474i,-0.067282-0.030063i,-0.059054-0.033659i,-0.057724-0.048306i,-0.055025-0.049939i,-0.042465-0.052047i,-0.026363-0.06748i,-0.026404-0.066153i,-0.031513-0.041647i,-0.038361-0.015345i
0.1286-0.29977i,0.14546-0.26937i,0.15308+0.011352i,0.18833+0.3108i,0.18391+0.46867i,0.058978+0.56481i,-0.058313+0.61455i,-0.039335+0.49895i,0.014957+0.24531i,0.0076586+0.057387i,0.023679+0.0016923i,0.063191-0.033408i,0.02999-0.042518i,-0.02794+0.012864i,-0.056299+0.067679i,-0.065783+0.094946i,-0.046646+0.092629i,-0.024016+0.063913i,-0.013093+0.054903i,0.0010637+0.071973i,0.0080334+0.073065i,0.00011204+0.047701i,-0.011943+0.013379i
0.1544+0.35268i,0.21455+0.49905i,0.2032+0.46601i,0.23336+0.27168i,0.35452+0.064474i,0.47601+0.0065177i,0.46894+0.082099i,0.31437+0.12276i,0.14842+0.056399i,0.049703-0.045278i,-0.0045041-0.10439i,-0.039857-0.096631i,-0.046989-0.046911i,-0.030678-0.0121i,-0.026646+0.0031777i,-0.024291+0.028991i,0.0042215+0.043751i,0.024706+0.011013i,0.0043496-0.03797i,-0.024084-0.05571i,-0.03336-0.040119i,-0.034397-0.011905i,-0.035872+0.014931i
-0.24244+0.16679i,-0.28011+0.22505i,-0.18869+0.1822i,-0.15114+0.1405i,-0.21569+0.1926i,-0.18698+0.16393i,-0.060811-0.02157i,-0.0059301-0.13694i,-0.022058-0.078447i,-0.03647-0.004695i,-0.065932+0.0027584i,-0.087986+0.0088664i,-0.083312+0.015048i,-0.09121+0.0011691i,-0.11328-0.0080522i,-0.10727-0.0024743i,-0.072496+0.0035588i,-0.040542+0.0097442i,-0.025236+0.022611i,-0.016262+0.033873i,-0.0070378+0.032834i,-0.0026618+0.026858i,0.00078362+0.027423i
0.055044-0.26576i,0.070636-0.33017i,0.089038-0.23402i,0.16727-0.12971i,0.24377-0.15624i,0.14949-0.17199i,-0.042906-0.070775i,-0.12768+0.0059972i,-0.11464-0.020223i,-0.08902-0.045241i,-0.039059-0.047209i,0.007167-0.071232i,0.037095-0.077i,0.070351-0.066902i,0.071968-0.073687i,0.028739-0.074113i,-0.014961-0.046008i,-0.02558-0.011583i,-0.0066191-0.0034582i,0.0054834-0.017106i,-0.0045727-0.016299i,-0.010233+0.0045889i,-0.0018125+0.011818i
0.2144+0.075813i,0.28411+0.025618i,0.19054-0.088318i,-0.0053203-0.15907i,-0.11884-0.11584i,-0.02962-0.042326i,0.11458-0.029827i,0.1084-0.016785i,0.027465+0.034313i,0.001663+0.053091i,-0.021437+0.027977i,-0.06087+0.035798i,-0.068308+0.066496i,-0.050536+0.068203i,-0.026573+0.048952i,-0.003248+0.034252i,0.013262+0.028776i,0.014877+0.020386i,-0.0012516+0.0063252i,-0.017924+0.0028097i,-0.019514+0.011513i,-0.0085132+0.016418i,0.0015021+0.0095581i
-0.22625+0.16529i,-0.31374+0.3297i,-0.24315+0.43115i,-0.063096+0.3982i,0.094248+0.26609i,0.14192+0.099883i,0.099267-0.026388i,0.066963-0.07664i,0.073636-0.077236i,0.066311-0.063152i,0.045145-0.028236i,0.048341-0.0013333i,0.063642-0.0062962i,0.065403-0.016987i,0.051166-0.0189i,0.035399-0.013952i,0.025182-0.0061671i,0.022908-0.0015712i,0.024419-0.0024704i,0.021014-0.01315i,0.0087701-0.029797i,-0.015282-0.033998i,-0.035709-0.010548i
-0.0012808-0.19391i,-0.010012-0.27981i,-0.018945-0.2733i,-0.048813-0.23402i,-0.14966-0.2132i,-0.26107-0.11656i,-0.23283+0.044567i,-0.11664+0.10536i,-0.058983+0.06316i,-0.048227+0.021848i,-0.023731-0.020582i,-0.012188-0.059048i,-0.015433-0.05951i,-0.014776-0.038811i,-0.011519-0.015368i,-0.0038052+0.007006i,-0.00033468+0.01941i,-0.0041717+0.02589i,0.0031303+0.035397i,0.022987+0.042933i,0.032586+0.039576i,0.026346+0.028887i,0.014897+0.012747i
0.18666+0.13849i,0.2835+0.16207i,0.2996+0.12563i,0.25909+0.064375i,0.23858+0.019302i,0.22832-0.0045643i,0.16273-0.00041362i,0.08132+0.028582i,0.035065+0.038637i,0.012971+0.036642i,0.0047375+0.046319i,0.0095154+0.047579i,0.011295+0.037681i,0.019295+0.023957i,0.033781+0.00099757i,0.030313-0.023762i,0.012561-0.035313i,-0.0012315-0.033636i,-0.0090515-0.031497i,-0.016252-0.03589i,-0.016246-0.033988i,-0.003991-0.024243i,0.0076015-0.014272i
-0.14758+0.063649i,-0.15738+0.051508i,-0.10414-0.047698i,-0.098732-0.10002i,-0.12526+0.0043699i,-0.045334+0.10139i,0.076254+0.030235i,0.091753-0.067987i,0.060893-0.060003i,0.051537-0.037163i,0.017114-0.04324i,-0.034213-0.035433i,-0.061203-0.016305i,-0.068863+0.0024583i,-0.067002+0.018849i,-0.057126+0.033459i,-0.033669+0.041407i,-0.0025331+0.029719i,0.011617+0.009533i,0.0090575+0.0035254i,0.005947+0.0012956i,0.0014275-0.010153i,-0.0029483-0.020201i
0.026915-0.2032i,-0.0072748-0.23117i,-0.053678-0.10343i,-0.054989+0.024891i,-0.042437+0.017665i,-0.10024-0.01775i,-0.17548+0.032254i,-0.16+0.097719i,-0.088295+0.083934i,-0.053474+0.0325i,-0.035567+0.013669i,0.0030345+0.0083323i,0.039186-0.010157i,0.052223-0.025797i,0.047125-0.029245i,0.036746-0.02723i,0.022016-0.024552i,0.00011203-0.0151i,-0.016661+1.3191e-06i,-0.021967+0.0060792i,-0.021933+0.0045103i,-0.018761+0.0039877i,-0.021201+0.0036821i
0.14235+0.076299i,0.14809+0.023546i,0.015551-0.078817i,-0.12855-0.099369i,-0.13823-0.046398i,-0.060123-0.03189i,0.0060697-0.041462i,0.033749-0.041017i,0.025215-0.03968i,0.010062-0.034441i,0.0034282-0.032343i,-0.0054895-0.022032i,-0.020181+0.0017953i,-0.033152+0.020783i,-0.02837+0.026802i,-0.011459+0.020579i,-0.003394+0.010868i,-0.0034177+0.0070118i,2.5201e-05+0.011737i,0.012336+0.020471i,0.02475+0.022009i,0.028986+0.017939i,0.030982+0.013663i
-0.23994+0.1501i,-0.27728+0.28322i,-0.11769+0.35089i,0.11497+0.28457i,0.24733+0.16419i,0.26746+0.097761i,0.22686+0.056025i,0.15334-0.002717i,0.077079-0.038963i,0.030804-0.029501i,0.014703-0.0077324i,0.00591-0.0048788i,0.0024052-0.0078968i,0.013766-0.0096804i,0.014516-0.011464i,0.0036076-0.0051578i,0.0024068-0.00089812i,0.0092495-0.00602i,0.012205-0.016457i,0.002113-0.026973i,-0.014042-0.024052i,-0.024117-0.012455i,-0.025841-0.0038986i
-0.00025109-0.22215i,-0.04564-0.29234i,-0.10466-0.24329i,-0.15406-0.15707i,-0.22445-0.1155i,-0.27846-0.080533i,-0.23408-0.028937i,-0.14772+0.0017892i,-0.097352+0.020772i,-0.063196+0.032744i,-0.034667+0.018874i,-0.023376+0.007393i,-0.013991+0.0075067i,-0.01214+0.0034163i,-0.016806-3.609e-06i,-0.018774+0.0022311i,-0.018317+0.012459i,-0.010294+0.021209i,-0.0010382+0.015436i,0.0020107+0.0065165i,0.0047421+0.0025765i,0.0051074-0.0022478i,-0.0035948-0.0054689i
0.2714+0.16211i,0.43882+0.20949i,0.48953+0.17225i,0.45121+0.090252i,0.41094+0.013808i,0.32245-0.049478i,0.15302-0.063365i,0.032155-0.025993i,0.013935-0.011998i,0.018171-0.018622i,0.017524-0.0067613i,0.020867-0.0032561i,0.016937-0.010407i,0.018838-0.012787i,0.024586-0.017184i,0.020047-0.019373i,0.0084707-0.021992i,-0.010886-0.02464i,-0.029774-0.009615i,-0.032675+0.014612i,-0.021423+0.024962i,-0.0048161+0.022595i,0.013409+0.014864i
-0.22657+0.09204i,-0.32739+0.10842i,-0.34239+0.050349i,-0.32741+0.0016869i,-0.30821+0.040201i,-0.20865+0.10523i,-0.059591+0.096247i,-0.0015701+0.045058i,-0.025886+0.038659i,-0.036589+0.039082i,-0.035718+0.014338i,-0.034883+0.0069338i,-0.023061+0.018384i,-0.014388+0.027572i,-0.010884+0.030136i,-0.0049693+0.024652i,0.0064998+0.024386i,0.027075+0.029177i,0.049074+0.017617i,0.056666-0.010721i,0.038928-0.030117i,0.0093011-0.022952i,-0.010101-0.0014531i
-0.00050947-0.26852i,0.0042194-0.33434i,0.044838-0.25405i,0.087333-0.14331i,0.082715-0.086946i,0.050051-0.050415i,0.027335-0.011646i,0.027611+0.016303i,0.043437+0.008999i,0.047995-0.014505i,0.039934-0.027924i,0.031946-0.0441i,0.027208-0.062595i,0.022035-0.069532i,0.011861-0.057652i,-0.00021474-0.03381i,-0.01529-0.01777i,-0.033002-0.012614i,-0.043715-0.007275i,-0.043655+0.0044774i,-0.028719+0.017156i,-0.0043696+0.014242i,0.0074179-0.0030789i
0.17679+0.12174i,0.18848+0.13016i,0.04814+0.083638i,-0.10415+0.036267i,-0.13598-0.0084918i,-0.12057-0.068642i,-0.11728-0.089591i,-0.091656-0.064174i,-0.053873-0.038626i,-0.032973-0.024827i,-0.029432-0.004844i,-0.026569+0.036709i,-0.020372+0.07787i,-0.011546+0.091878i,0.0030074+0.072928i,0.012512+0.036763i,0.018248+0.0098429i,0.02458-0.0040331i,0.022208-0.0075841i,0.016924-0.0033067i,0.012548-0.0033052i,0.0055998-0.0023443i,0.0025086+0.0040064i
-0.19018+0.15441i,-0.1758+0.23592i,-0.013866+0.21587i,0.13757+0.13039i,0.17819+0.09358i,0.1853+0.12908i,0.18429+0.13i,0.1532+0.067629i,0.10883+0.015442i,0.071966+0.0067755i,0.053219+0.0073336i,0.033038-0.022059i,0.003804-0.059828i,-0.01371-0.073403i,-0.018758-0.055434i,-0.012998-0.019043i,-0.0013877+0.0060916i,0.0047183+0.012101i,0.0039107+0.0044096i,-0.0043838-0.0081662i,-0.010815-0.0126i,-0.011481-0.015246i,-0.012366-0.01256i
-0.014285-0.23015i,-0.089375-0.28104i,-0.17114-0.16823i,-0.19107-0.027601i,-0.19857-0.0048514i,-0.22705-0.034788i,-0.20579-0.016998i,-0.15032+0.019094i,-0.11309+0.036767i,-0.087+0.032109i,-0.060392+0.012426i,-0.029919+0.0059739i,0.0047261+0.019279i,0.023366+0.029768i,0.021134+0.018087i,0.006264-0.0044896i,-0.0097863-0.0090342i,-0.011955+0.0028897i,-0.0020155+0.013444i,0.0084572+0.017029i,0.010897+0.014635i,0.012009+0.012225i,0.016747+0.0040579i
