-1.3771e-05+0.0015015i,3.7375e-06-0.00044131i,0.00044397-0.00034649i,-0.00010396-0.00017759i,-0.00018599+0.00030157i,6.0027e-05+0.0016698i,0.00022469+0.0011989i,0.0005196+0.00080102i,0.00070701+0.0012202i,0.00076376+0.0001399i,0.00012747-0.00080157i,-0.00013686-0.00010865i,0.00049159+0.00074938i,0.00099677+0.00072815i,0.00046116+0.00021731i,0.00079664-0.00011993i,0.00077918+0.00026813i,-7.666e-05+0.00048239i,0.00014163+0.00024058i,0.0003546-0.00019005i,0.0001753-0.00039942i,-0.00014986-0.00067648i,-0.00033345-0.00070927i
-0.44031-0.50954i,-0.54084-0.40443i,-0.39768-0.1011i,-0.24976+0.091792i,-0.28438+0.056375i,-0.27034-0.13899i,-0.10693-0.35169i,-0.0083308-0.41981i,-0.038036-0.32545i,-0.096908-0.16956i,-0.13159-0.055497i,-0.12743-0.010619i,-0.096108+0.00070306i,-0.075929+0.0077527i,-0.070747+0.037508i,-0.032229+0.088597i,0.033199+0.098554i,0.066371+0.063312i,0.06762+0.028281i,0.065068+0.0073683i,0.053987-0.0042363i,0.030195-0.018146i,-0.0051029-0.033073i
-0.1597-0.58972i,-0.29103-0.64723i,-0.2548-0.56372i,-0.11166-0.58444i,-0.0093989-0.71877i,-0.046255-0.79168i,-0.20146-0.64767i,-0.25247-0.26842i,-0.10793+0.023347i,0.0075891+0.052608i,-0.0071074+0.066645i,-0.01668+0.12933i,-0.023327+0.11662i,-0.062356+0.09083i,-0.050267+0.078576i,-0.013429+0.017018i,-0.017774-0.046604i,-0.03853-0.048518i,-0.041487-0.01027i,-0.036481+0.017012i,-0.039707+0.034631i,-0.04588+0.056693i,-0.042053+0.078965i
0.74055-0.40194i,0.84384-0.31825i,0.7308+0.038186i,0.52858+0.28873i,0.18747+0.28869i,-0.26215+0.15184i,-0.52415+0.0087145i,-0.46641-0.078398i,-0.27276-0.10478i,-0.10842-0.080104i,0.0032807-0.059583i,0.036091-0.055233i,0.00089524+0.00096918i,-0.024029+0.088106i,-0.030104+0.14393i,-0.021138+0.16367i,0.015494+0.13355i,0.040697+0.064372i,0.030006+0.0082569i,0.010975-0.010946i,-0.0040696-0.0058936i,-0.020823+0.013556i,-0.031479+0.043746i
0.51218-0.15543i,0.43893-0.22042i,0.17568-0.16594i,0.015029-0.092402i,0.052799-0.085981i,0.23306-0.08159i,0.41356-0.034994i,0.45772+0.016928i,0.36733+0.015232i,0.21152-0.027816i,0.074471-0.033935i,0.0020047-0.016626i,-0.033534-0.022501i,-0.040235-0.019528i,-0.00022319-0.0047035i,0.030522-0.01602i,0.0043553-0.035327i,-0.035865-0.012855i,-0.033814+0.03263i,-0.012634+0.03865i,-0.019453+0.012716i,-0.041485-0.0019346i,-0.044018+0.0010458i
0.64929+0.39107i,0.70816+0.24795i,0.42581+0.0099381i,0.11737-0.079798i,-0.0075927-0.13401i,-0.087319-0.26361i,-0.18809-0.28457i,-0.18581-0.15802i,-0.09035-0.043931i,0.0033635+0.015917i,0.055884+0.044678i,0.065884+0.03649i,0.040823+0.017131i,0.00012672+0.019478i,-0.027998+0.035553i,-0.027239+0.040118i,-0.0083556+0.031818i,0.0083398+0.011826i,0.0012753-0.011093i,-0.014301-0.014724i,-0.010598-0.0085141i,0.0007991-0.0084284i,0.0076355-0.0092276i
0.1536+0.60797i,0.22393+0.64711i,0.23118+0.48098i,0.23506+0.32108i,0.30453+0.27433i,0.39111+0.28187i,0.38252+0.23674i,0.25746+0.14514i,0.11028+0.096779i,0.024763+0.088688i,-0.016903+0.072379i,-0.031963+0.050775i,-0.017132+0.014432i,-0.0069372-0.028015i,-0.013222-0.037294i,-0.012841-0.013841i,-0.0035074+0.00083459i,-0.0023775-0.00072016i,-0.0070984-0.0010734i,-0.011473-0.0086253i,-0.016297-0.019192i,-0.012924-0.018018i,-0.00202-0.012999i
-0.44073+0.56584i,-0.47276+0.66952i,-0.34284+0.52586i,-0.20807+0.29494i,-0.163+0.064355i,-0.1669-0.17644i,-0.18463-0.30587i,-0.15432-0.21778i,-0.070251-0.092i,-0.045406-0.035444i,-0.067143+0.026325i,-0.045182+0.063958i,-0.0044775+0.04822i,0.017571+0.030852i,0.029117+0.025783i,0.026299+0.020813i,0.011402+0.019504i,0.013504+0.017684i,0.030325-0.0010753i,0.032255-0.022816i,0.02385-0.022841i,0.021365-0.01531i,0.019921-0.018425i
-0.62597+0.066901i,-0.72218-0.0051616i,-0.65081-0.11482i,-0.5525-0.12257i,-0.41549-0.011565i,-0.21618+0.14383i,-0.021396+0.21534i,0.057224+0.15226i,0.01773+0.080088i,-0.029132+0.049601i,-0.051617+0.011267i,-0.064884-0.0064185i,-0.056612+0.01153i,-0.038614+0.027895i,-0.023607+0.02422i,-0.016459+0.0044921i,-0.016643-0.015584i,-0.01845-0.019311i,-0.016076-0.0038946i,-0.00095573+0.0075871i,0.013289+0.0054244i,0.018098+0.0082388i,0.027856+0.013306i
-0.35138-0.38394i,-0.33095-0.3834i,-0.08464-0.2429i,0.15898-0.16213i,0.23764-0.15864i,0.18743-0.15864i,0.071177-0.1547i,-0.057002-0.11654i,-0.10974-0.066475i,-0.090488-0.063042i,-0.079967-0.079354i,-0.071541-0.066928i,-0.036273-0.049928i,-0.0099777-0.051627i,-0.0052715-0.035818i,0.0063672+0.0018789i,0.023834+0.023737i,0.032332+0.023343i,0.028518+0.013936i,0.014482+0.010927i,0.0042217+0.018362i,0.0066405+0.02016i,0.0079134+0.014402i
-0.096483-0.50007i,-0.12192-0.45532i,-0.094146-0.20839i,-0.08442-0.045353i,-0.18895-0.030189i,-0.3201-0.0027641i,-0.26093+0.044521i,-0.081223+0.0087895i,0.0093875-0.063895i,0.012628-0.070295i,0.037007-0.04333i,0.053919-0.041487i,0.023996-0.026731i,0.009205+0.0029956i,0.016385+0.0036966i,0.0075986-0.0072908i,0.00055789-0.00016621i,0.011142+0.011802i,0.019006+0.011766i,0.010993+0.0060352i,-0.0024511+0.0055403i,-0.0075529+0.0064871i,-0.0036807-0.00021311i
0.34385-0.27785i,0.28884-0.33177i,0.078516-0.26367i,-0.030103-0.16822i,0.030104-0.14626i,0.074509-0.17871i,0.036802-0.13554i,0.0042172-0.044235i,0.021088-0.00078964i,0.047704-0.013037i,0.045747-0.019572i,0.033435+0.0060753i,0.021281+0.017499i,0.0065803+0.0055422i,-0.0021393-0.0085421i,-0.010461-0.017162i,-0.029031-0.0089057i,-0.043889+0.013758i,-0.038641+0.030218i,-0.023232+0.027428i,-0.01616+0.013913i,-0.013212+0.0039436i,-0.00675-0.0011373i
0.55878+0.012034i,0.66108-0.060265i,0.53559-0.11365i,0.37255-0.076422i,0.26167-0.02757i,0.1056-0.048925i,-0.071057-0.050598i,-0.11123-0.0032899i,-0.053828+0.016616i,-0.007548+0.028326i,0.023171+0.051842i,0.024421+0.037189i,-0.0093704-0.0045118i,-0.037678-0.016713i,-0.030767+0.0015486i,-0.0014974+0.0075595i,0.016045-0.012556i,0.010592-0.030145i,-0.0028106-0.024132i,-0.0098463-0.0075705i,-0.0044871+0.00027817i,0.0042352-0.00038175i,0.010039-0.00042449i
0.15727+0.4082i,0.25809+0.4889i,0.27528+0.37001i,0.16575+0.23609i,0.045738+0.21362i,0.030756+0.18409i,0.069527+0.091444i,0.08549+0.0080505i,0.069533-0.0214i,0.033901-0.002094i,0.009168+0.028964i,0.014592+0.033818i,0.034766+0.015203i,0.046847-0.013487i,0.029268-0.038085i,0.0014537-0.032004i,-0.0076093-0.004249i,-0.0032084+0.013443i,-0.0021724+0.0086641i,-0.0089432-0.007623i,-0.017973-0.016994i,-0.024019-0.014548i,-0.028041-0.008266i
-0.30017+0.42966i,-0.38734+0.52698i,-0.33255+0.40438i,-0.22914+0.17802i,-0.1676-0.0076483i,-0.10823-0.13929i,-0.083229-0.17113i,-0.069914-0.074806i,-0.027997+0.014646i,-0.02038+0.02299i,-0.060428+0.022495i,-0.080896+0.040129i,-0.064321+0.043504i,-0.034658+0.031771i,-0.0066928+0.011041i,-0.0011021-0.011714i,-0.013523-0.023461i,-0.023864-0.024435i,-0.02429-0.017612i,-0.01471-0.0076556i,-0.0044207-0.00337i,0.00023449-0.0072718i,0.0027194-0.018509i
-0.34924-0.076694i,-0.4123-0.13308i,-0.2699-0.1384i,-0.045619-0.10662i,0.098053-0.076908i,0.12482-0.0038285i,0.081694+0.067708i,0.02503+0.078462i,-0.011202+0.057392i,-0.021244+0.024174i,-0.02625-0.024905i,-0.035873-0.06365i,-0.036712-0.068866i,-0.028619-0.049858i,-0.012597-0.023536i,0.014924-0.0092559i,0.037736-0.011572i,0.042049-0.015059i,0.037086-0.013678i,0.035874-0.01398i,0.038631-0.015998i,0.036963-0.017i,0.032315-0.010989i
-0.17971-0.38617i,-0.15011-0.41925i,0.0069332-0.2668i,0.10807-0.086941i,0.085494+0.025987i,0.057276+0.046434i,0.059168-0.025907i,0.035484-0.087543i,-0.0058178-0.082725i,-0.014208-0.04879i,0.014424-0.047145i,0.028073-0.063186i,0.02065-0.0382i,0.021333-0.0066i,0.013663-0.0050223i,-0.005626-0.00020767i,-0.0087638+0.012204i,-0.00074523+0.0092383i,-0.00076576+0.0019918i,-0.0054225+0.0099495i,-0.0085142+0.027859i,-0.0077719+0.040302i,-0.0062897+0.040898i
0.14821-0.26832i,0.1279-0.27303i,0.024809-0.088751i,-0.052882+0.057679i,-0.095198+0.02488i,-0.13389-0.021977i,-0.12116+0.012313i,-0.048384+0.046836i,0.016001+0.026416i,0.024459-0.004602i,0.031904-0.00084176i,0.053149+0.0022093i,0.035049-0.0096976i,0.0044264-0.0052601i,-0.00030166+0.0034164i,-0.0008466+0.005709i,-0.0003874+0.016434i,0.011467+0.028411i,0.023532+0.026499i,0.0207+0.012687i,0.0047946+0.0011654i,-0.012844-0.0023254i,-0.023775+0.001059i
0.4179-0.092136i,0.39917-0.1612i,0.18776-0.13229i,0.10119-0.049727i,0.19687-0.043989i,0.22436-0.07482i,0.14306-0.046204i,0.05912+0.007517i,0.021418+0.037175i,0.025174+0.038921i,0.040189+0.040677i,0.04263+0.039624i,0.018593+0.022626i,-0.012619+0.013662i,-0.019996+0.012455i,-0.018509-0.0020619i,-0.028391-0.012677i,-0.03667-0.0044157i,-0.030721+0.009602i,-0.017555+0.013075i,-0.011614-0.0010893i,-0.013405-0.018632i,-0.017352-0.024872i
0.29888+0.27413i,0.45126+0.24314i,0.37115+0.091708i,0.16245+0.068979i,0.069168+0.16724i,0.058042+0.14394i,0.020305+0.012124i,-0.017006-0.063237i,-0.035184-0.048954i,-0.031353-0.00031434i,-0.017875+0.022709i,-0.012072+0.0075692i,-0.0063092-0.028205i,-0.0069018-0.056538i,-0.014213-0.051813i,-0.0084056-0.031613i,0.0055984-0.024088i,0.011069-0.025299i,0.0047212-0.021215i,-0.0013226-0.011163i,0.0079765-0.0035168i,0.019213-0.002507i,0.017988-0.0030427i
-0.072656+0.54926i,0.050059+0.69592i,0.13941+0.52286i,0.027691+0.26064i,-0.13521+0.16223i,-0.14047+0.15049i,-0.054375+0.13212i,0.0067016+0.10456i,0.013984+0.058411i,-0.025727+0.034035i,-0.042032+0.053876i,-0.0074293+0.064244i,0.033611+0.0456i,0.049994+0.019827i,0.033492+0.001171i,0.0079459-0.00052873i,-0.0059527+0.0091504i,-0.01567+0.017161i,-0.01812+0.016428i,-0.0079062+0.011191i,0.0080411+0.0097584i,0.018003+0.0047843i,0.012584-0.00883i
-0.48325+0.14669i,-0.62222+0.30589i,-0.46915+0.30724i,-0.1968+0.10048i,-0.032031-0.10233i,0.024183-0.15827i,0.036677-0.1098i,0.027099-0.043651i,0.011712-0.025298i,-0.011894-0.047373i,-0.039956-0.048781i,-0.053352-0.020665i,-0.051252+0.017639i,-0.030426+0.044647i,-0.0035409+0.031375i,0.0050044-0.0011353i,0.0062132-0.02101i,0.012141-0.033767i,0.013844-0.038192i,0.0052641-0.028786i,-0.0090149-0.012409i,-0.013109+0.00044727i,-0.0013948+0.0042598i
-0.42563-0.40435i,-0.6216-0.43898i,-0.51153-0.25698i,-0.18957-0.057755i,0.029492+0.016428i,0.071428+0.017305i,0.032-0.019029i,-0.019617-0.053734i,-0.028137-0.050714i,0.00086206-0.042391i,0.0076384-0.051756i,-0.011436-0.06228i,-0.03144-0.064402i,-0.045174-0.048323i,-0.040879-0.020349i,-0.021053-0.0011074i,-0.0057378+0.010069i,0.0063726+0.019503i,0.020361+0.020975i,0.025196+0.013163i,0.02217+0.010665i,0.020171+0.015791i,0.019471+0.018288i
0.14382-0.44206i,0.14108-0.57531i,0.080253-0.4245i,0.00082062-0.11324i,-0.043176+0.11946i,-0.01601+0.18609i,0.044338+0.15551i,0.078592+0.098408i,0.067264+0.046258i,0.03114+0.027546i,0.020617+0.026255i,0.042941+0.0055893i,0.052879-0.024894i,0.0376-0.039591i,0.020424-0.036707i,0.013544-0.025097i,0.013297-0.012671i,0.0099607+0.002298i,0.0042082+0.018241i,0.0011714+0.024082i,-0.006018+0.020878i,-0.016706+0.020084i,-0.022364+0.02374i
0.49308-0.13101i,0.55055-0.22977i,0.32482-0.18876i,0.068417-0.089835i,-0.039279-0.074844i,-0.057533-0.067126i,-0.03758-0.0062955i,0.00074582+0.041884i,0.021606+0.033741i,0.010926-0.0032059i,0.0018198-0.014414i,0.020574+0.0070332i,0.045113+0.027786i,0.055188+0.028878i,0.044487+0.015677i,0.015859+0.0085941i,-0.0087962+0.012699i,-0.021608+0.017501i,-0.025856+0.018089i,-0.022771+0.011565i,-0.021968+0.0006901i,-0.028675-0.0084417i,-0.034603-0.011441i
0.2494+0.22367i,0.27214+0.2157i,0.13805+0.14069i,0.035057+0.084967i,0.028624+0.038693i,0.0028085-0.013887i,-0.063565-0.033729i,-0.10548-0.018519i,-0.082499+0.00059407i,-0.020343-0.0093156i,2.2488e-05-0.024812i,-0.023836-0.00058471i,-0.04268+0.031583i,-0.045323+0.038209i,-0.031843+0.027132i,-0.015501+0.0075526i,-0.010321-0.0094746i,-0.0172-0.020747i,-0.025717-0.022308i,-0.019545-0.014049i,-0.0034656-0.014657i,0.0082368-0.025651i,0.010625-0.033103i
-0.048238+0.43804i,0.077236+0.47614i,0.11905+0.26558i,0.0032305+0.11417i,-0.072801+0.12585i,-0.024788+0.1102i,0.033647+0.028798i,0.042824-0.031961i,0.027361-0.034045i,0.033733+0.006366i,0.055759+0.019095i,0.038939-0.010292i,-0.0063111-0.03115i,-0.028186-0.023826i,-0.017661-0.0066814i,-0.00046084-0.0018774i,0.010814-0.0047728i,0.022878-0.008307i,0.025573-0.01396i,0.016162-0.012054i,0.013331-0.0016888i,0.018277+0.0027145i,0.017628-0.001601i
-0.25153+0.20565i,-0.20856+0.31203i,-0.068852+0.22134i,-0.053169+0.011699i,-0.11765-0.092119i,-0.081714-0.066174i,-0.00068716-0.012753i,0.039658+0.024173i,0.031093+0.027854i,-0.011351+0.042694i,-0.015525+0.072587i,0.020402+0.057223i,0.040643+0.0093595i,0.030655-0.023932i,0.0041964-0.029962i,-0.0097925-0.020889i,-0.010421-0.009865i,-0.011304-0.0015653i,-0.0087119+0.00085808i,-0.0069851+0.0046247i,-0.0075108+0.016156i,-0.0037366+0.028889i,0.0060279+0.0304i
-0.41291-0.25964i,-0.60659-0.13002i,-0.47398+0.075121i,-0.1422+0.061601i,0.045795-0.081648i,0.038835-0.09811i,-0.0078031-0.023282i,-0.028312+0.025958i,-0.022872+0.018661i,-0.043416-0.01817i,-0.085374-0.0054848i,-0.076705+0.043176i,-0.031299+0.061167i,0.0014622+0.046869i,0.0167+0.027865i,0.024678+0.018551i,0.027426+0.012195i,0.02448+0.0034453i,0.020875-0.0033649i,0.013077-0.011299i,-0.0038853-0.019928i,-0.022516-0.01843i,-0.030329-0.0057738i
-0.057574-0.41393i,-0.23466-0.54927i,-0.30813-0.36283i,-0.13394-0.036506i,0.072003+0.1162i,0.11409+0.1025i,0.064035+0.040048i,0.0010548-0.007573i,-0.014982-0.010159i,0.012186-0.031806i,-0.0077865-0.070855i,-0.058163-0.058508i,-0.070888-0.015721i,-0.050332+0.010757i,-0.030495+0.012633i,-0.027535+0.0069677i,-0.023574+0.0076175i,-0.0074151+0.0085484i,0.0075069+0.0084486i,0.011256+0.0073263i,0.0082832+0.0019285i,0.0041256-0.0075411i,-0.0033179-0.015694i
0.5152-0.15477i,0.63527-0.4187i,0.37977-0.50889i,0.0068329-0.25685i,-0.11737+0.041402i,-0.052403+0.11788i,0.0072329+0.074209i,0.021056+0.031558i,0.01109+0.026548i,0.026597+0.02914i,0.044334-0.020981i,0.015771-0.079839i,-0.024294-0.086492i,-0.03462-0.062481i,-0.021674-0.041163i,-0.0095793-0.022928i,-0.0032324-0.002024i,-0.00087937+0.014961i,-0.0045424+0.022484i,-0.0024913+0.020464i,0.0057803+0.01147i,0.0097264+0.0027807i,0.0086057-0.0021634i
0.36017+0.29532i,0.63055+0.3203i,0.60265+0.13664i,0.24962-0.065069i,-0.057092-0.097225i,-0.14946-0.027549i,-0.12887+0.032388i,-0.07609+0.039313i,-0.053849+0.015148i,-0.040297+0.020478i,0.020568+0.023325i,0.071747-0.0162i,0.060496-0.049883i,0.023138-0.041773i,0.00096641-0.015417i,-0.0082279-0.0062853i,-0.02072-0.0092438i,-0.03135-0.0039393i,-0.031487+0.003753i,-0.02345+0.0059179i,-0.012898+0.0050365i,-0.0042543+0.00086741i,0.0018166-0.0028867i
-0.28407+0.43213i,-0.24821+0.72902i,-0.016237+0.68572i,0.14832+0.30265i,0.088832-0.0043351i,-0.024902-0.081538i,-0.064563-0.074351i,-0.052132-0.061852i,-0.033431-0.061267i,-0.029055-0.041917i,-0.0037117+0.01787i,0.048755+0.060404i,0.070779+0.046058i,0.046038+0.010635i,0.014879-0.0097467i,0.0058708-0.016639i,0.0076224-0.023552i,0.0042863-0.035073i,-0.0023051-0.041689i,-0.0052739-0.032806i,-0.0032885-0.016435i,-3.2092e-05-0.0044575i,-0.00014481+0.003972i
-0.40239-0.019863i,-0.6252+0.088563i,-0.5606+0.20009i,-0.25724+0.17927i,-0.018499+0.040536i,0.073807-0.094405i,0.087751-0.14386i,0.075584-0.10666i,0.074528-0.056515i,0.049486-0.03344i,-0.0062902+0.01048i,-0.035249+0.063167i,-0.024446+0.065663i,-0.0063311+0.030133i,-0.00060847+0.006106i,0.0047528+0.0060213i,0.020058+0.0080593i,0.03487+0.00079764i,0.037388-0.0081325i,0.028936-0.010226i,0.019287-0.006956i,0.011885-0.0061577i,0.002819-0.0097881i
0.0070742-0.40189i,-0.13865-0.57259i,-0.26729-0.46073i,-0.21757-0.17973i,-0.044851-0.013855i,0.084403+0.022397i,0.10597+0.039803i,0.071553+0.063173i,0.044153+0.069669i,0.018601+0.042567i,-0.03363+0.0085882i,-0.079554-0.00088594i,-0.071848+0.0045713i,-0.034407+0.002596i,-0.010586-0.0099531i,-0.0055365-0.013126i,-0.0025612+0.0026891i,0.0074096+0.024407i,0.017053+0.03235i,0.014901+0.026004i,0.0026773+0.021342i,-0.0014684+0.020356i,0.0090335+0.013267i
0.21509-0.12747i,0.29356-0.2545i,0.24968-0.2818i,0.14554-0.16518i,0.080111+0.010699i,0.054444+0.14622i,0.040845+0.17217i,0.0079033+0.11647i,-0.029669+0.067584i,-0.028606+0.029731i,-0.022233-0.029821i,-0.032408-0.07301i,-0.034201-0.064577i,-0.021152-0.03608i,-0.0050894-0.016718i,-0.0021321+0.0012029i,-0.012198+0.019434i,-0.021308+0.026963i,-0.020154+0.022484i,-0.0095139+0.011455i,-0.0020518-0.0014369i,-0.0045859-0.0066115i,-0.0053616+0.0016266i
0.095128+0.22475i,0.18619+0.25839i,0.19898+0.17634i,0.095001+0.089613i,-0.045187+0.07076i,-0.12243+0.065493i,-0.11187+0.030166i,-0.072257-0.016125i,-0.044791-0.035903i,-0.0071677-0.03088i,0.043468-0.041611i,0.069964-0.06181i,0.056439-0.058309i,0.028123-0.03575i,0.0075715-0.016952i,-0.0075921-0.013561i,-0.018685-0.019549i,-0.023189-0.02228i,-0.022154-0.015436i,-0.016549-0.0054826i,-0.0085795-0.0044728i,-0.004376-0.007382i,-0.0062547-0.00042292i
-0.056286+0.045171i,-0.059763+0.073527i,-0.070813+0.080608i,-0.11238+0.054937i,-0.1461-0.02147i,-0.14849-0.096661i,-0.11637-0.086423i,-0.045496-0.039409i,0.0057737-0.027304i,0.016067-0.0083138i,0.038153+0.029682i,0.062886+0.044127i,0.056902+0.030968i,0.039728+0.011626i,0.028219-0.0028867i,0.018089-0.011052i,0.013421-0.01444i,0.016384-0.015505i,0.016279-0.014345i,0.011073-0.0082594i,0.0079649+0.00097006i,0.0041893+0.0026055i,-0.0063666-0.0051241i
-0.016146-0.11425i,0.014437-0.11978i,0.048678-0.099645i,0.057735-0.11791i,0.073102-0.14674i,0.086517-0.12756i,0.066871-0.062483i,0.044783+0.0031693i,0.031395+0.025953i,0.0030454+0.032474i,-0.016594+0.057243i,-0.012543+0.069061i,-0.0052745+0.049457i,-0.0036956+0.02572i,-0.0027033+0.013825i,0.00066428+0.0085913i,0.0046956+0.0082942i,0.0071692+0.0098989i,0.0083567+0.0083217i,0.0073355+0.0048388i,0.0053324+0.0031847i,0.0073165+0.00070464i,0.01027-0.0064551i
0.048592+0.079804i,0.072504+0.16737i,0.099239+0.17021i,0.13566+0.080489i,0.16049+0.035596i,0.16059+0.034676i,0.11592+0.0098686i,0.043196+0.0027777i,0.0081804+0.01572i,-0.0032793+0.0052857i,-0.027232-0.0023775i,-0.037518+0.006779i,-0.025021+0.0097252i,-0.011454+0.0066285i,-0.0025885+0.0027208i,0.0049405+8.3193e-05i,0.0060482+0.0013859i,0.0025847+0.0054376i,0.0005522+0.0091328i,-0.0019582+0.006592i,-0.0069281+0.0019951i,-0.0063466+0.0043317i,0.0045278+0.0086353i
-0.060818+0.14744i,-0.17581+0.23442i,-0.22234+0.26692i,-0.14385+0.24985i,-0.065616+0.20536i,-0.032549+0.14095i,-0.013945+0.07729i,-0.013623+0.034146i,-0.013004+0.014832i,-0.0061588-0.004708i,-0.015106-0.021035i,-0.026373-0.018415i,-0.018433-0.011403i,-0.0031759-0.01423i,0.0019028-0.015623i,-0.0027301-0.0045569i,-0.0051845+0.005713i,-0.0016545+0.0039994i,0.0011104+6.8576e-06i,0.0019167-0.00079236i,0.0044319-0.0017057i,0.0037866-0.0015429i,8.7824e-05+0.0016165i
-0.17562-0.13367i,-0.31588-0.25676i,-0.34985-0.26219i,-0.26814-0.12869i,-0.17949-0.017111i,-0.12198+0.041138i,-0.06948+0.078474i,-0.030369+0.062792i,-0.02264+0.030537i,-0.014517+0.021093i,-0.0018131+0.010021i,-0.0026265-0.0029877i,-0.0027064-0.0017988i,0.0051183+0.0038426i,0.0092699+0.0017003i,0.0036671-0.0013816i,-0.0039263+0.0027919i,-0.0066049+0.0099869i,-0.0056682+0.011631i,-0.0040536+0.0077699i,-0.0038553+0.0052579i,-0.0070565+0.0074163i,-0.011273+0.012258i
0.039148-0.24771i,0.12187-0.45174i,0.14815-0.51105i,0.067514-0.38669i,-0.010312-0.2211i,-0.038935-0.097439i,-0.045728-0.025758i,-0.030345-0.0034058i,-0.014085-0.0061256i,-0.0068255-0.0074334i,-0.00091436-0.014961i,-0.0023768-0.027039i,-0.010691-0.019836i,-0.009998+0.0023986i,0.00011001+0.012376i,0.00098106+0.0047778i,-0.0094938-0.0024309i,-0.015238-0.00015225i,-0.0092018+0.0032838i,-0.00086611+0.001378i,0.0014172-0.0015513i,-0.00042159-0.0047155i,-0.0038808-0.0081806i
0.29718+0.025161i,0.53042+0.06658i,0.56748+0.077006i,0.37092+0.031474i,0.1555-0.01736i,0.027799-0.055991i,-0.037485-0.069455i,-0.03904-0.040345i,-0.0048168-0.022315i,0.0068277-0.026792i,0.010303-0.026477i,0.023564-0.025521i,0.020038-0.025957i,-1.8723e-05-0.018106i,-0.0088093-0.0067171i,-0.0046216-0.0075728i,-0.0011805-0.020061i,-0.0045608-0.028319i,-0.0076886-0.023502i,-0.0039047-0.011849i,0.00075658-0.0061479i,0.0026551-0.0085735i,0.00042788-0.013202i
0.10612+0.27633i,0.14882+0.52296i,0.14321+0.58531i,0.11071+0.39354i,0.067043+0.1612i,0.03908+0.024991i,0.025864-0.022826i,0.01219-0.0091682i,0.012972+0.012799i,0.019857+0.016201i,0.031112+0.026761i,0.045987+0.037303i,0.043296+0.024098i,0.022325+0.0033515i,0.006521-0.0010242i,0.012792+0.0038413i,0.027409+0.0034951i,0.028425+8.1446e-05i,0.016538+0.0016682i,0.0053477+0.0049276i,0.00068321+0.005343i,0.0017484+0.003515i,0.00656-0.0020992i
-0.28219+0.15959i,-0.51391+0.2574i,-0.54917+0.25344i,-0.34058+0.14583i,-0.11506+0.042771i,0.015864+0.019732i,0.062175+0.021853i,0.031525+0.015938i,-0.0029491+0.026865i,-0.001573+0.033949i,-0.0039087+0.038301i,-0.012433+0.048319i,-0.005809+0.041232i,0.0052192+0.018099i,0.0045388+0.0043292i,-0.00043022+0.01035i,0.0036971+0.023642i,0.012476+0.027354i,0.014292+0.017794i,0.0069236+0.0077908i,0.002633+0.0074494i,0.0074777+0.011662i,0.015841+0.013757i
-0.24017-0.1841i,-0.41096-0.36386i,-0.42745-0.4002i,-0.26519-0.24022i,-0.092842-0.070178i,-0.023865+0.023798i,-0.01267+0.054755i,-0.013555+0.031175i,-0.021173+0.0060134i,-0.026914-9.325e-05i,-0.047243-0.001785i,-0.06755+0.0047767i,-0.055232+0.013724i,-0.027425+0.012075i,-0.013915+0.002028i,-0.019625-0.00031777i,-0.030836+0.0077233i,-0.032633+0.011869i,-0.022469+0.0080961i,-0.010211+0.00097724i,-0.0074322-0.0040816i,-0.01302-0.00029067i,-0.016919+0.012876i
0.13865-0.28024i,0.26374-0.48746i,0.28058-0.48995i,0.1652-0.26241i,0.045077-0.055491i,-0.043877+0.012747i,-0.082356+0.027739i,-0.049861+0.019984i,-0.017613-0.0066008i,-0.013411-0.019511i,-0.013797-0.03442i,-0.018-0.04942i,-0.021181-0.038163i,-0.014395-0.014761i,-0.0033448-0.0048028i,-0.0023858-0.011664i,-0.010432-0.022015i,-0.015565-0.021069i,-0.011412-0.0093308i,-0.0025642-0.0023311i,-0.00055885-0.0041912i,-0.0089704-0.0076034i,-0.021672-0.0085841i
0.28452+0.0063331i,0.51163+0.037603i,0.52068+0.035552i,0.27068+9.7372e-05i,0.044275-0.018537i,-0.032951-0.040905i,-0.050946-0.055897i,-0.040111-0.030919i,-0.010287-0.0086046i,0.011895-0.0089325i,0.033739-0.02396i,0.043447-0.041802i,0.029117-0.039811i,0.01206-0.02143i,0.01052-0.0072383i,0.017843-0.0076746i,0.024509-0.017277i,0.025345-0.023697i,0.017077-0.018559i,0.0080676-0.0054033i,0.0056367+0.0023035i,0.0043113-0.0039221i,-0.00076156-0.018609i
0.061086+0.27331i,0.10022+0.48953i,0.10422+0.48571i,0.058222+0.2341i,0.013313+0.022434i,0.022102-0.046661i,0.032288-0.065766i,0.010633-0.043152i,0.0066184-0.0034484i,0.016919+0.0097564i,0.026401+0.01843i,0.036289+0.024491i,0.028346+0.014415i,0.0072134+0.0056872i,-0.0048246+0.0082383i,-0.0025152+0.01459i,0.0070016+0.019718i,0.011175+0.018258i,0.0053702+0.010145i,-0.00042008+0.0034549i,0.00099226+0.00054441i,0.0098658-0.0025003i,0.024107-0.0062839i
