-0.006136-0.00071659i,-0.0045385+0.00045757i,-0.00368+0.0034139i,-0.0029934+0.0048644i,-0.0016672+0.0040211i,-0.00015687+0.0024645i,0.00074524+0.0019843i,0.0014941+0.0019942i,0.0010399+0.0017077i,0.00020509+0.0011779i,0.0020083+0.0007465i,0.0029486-0.00027918i,0.0021679-0.00067821i,0.0011521-0.00074911i,-0.00034532-0.00072548i,-0.00079493-6.791e-05i,0.00044766-0.00013643i,0.00097973-0.00038047i,-0.0001651+0.00017195i,-0.0011181+0.00065312i,-0.00071545+8.3322e-05i,0.00013146-0.00020563i,0.00017066+0.00048056i
-0.042504-0.046419i,-0.0070038-0.052947i,-0.0063689-0.04603i,0.012938-0.016321i,0.094962-0.0079076i,0.16648-0.074843i,0.15639-0.17318i,0.092117-0.22707i,0.018954-0.20351i,-0.014622-0.13667i,-0.0059236-0.091509i,-0.0053054-0.067938i,-0.024287-0.045796i,-0.046632-0.032549i,-0.062873-0.02352i,-0.060137-0.015168i,-0.037516-0.020117i,-0.010422-0.038914i,0.005811-0.050169i,0.0074402-0.032764i,0.0055587+0.0022544i,0.014512+0.014968i,0.025129-0.0033202i
0.045458-0.0092729i,0.0076851+0.05623i,-0.0090658+0.12592i,0.017197+0.15665i,0.040714+0.11939i,-0.0083802+0.061329i,-0.1227+0.058759i,-0.20044+0.096469i,-0.18869+0.098539i,-0.13281+0.06463i,-0.077873+0.024736i,-0.045418-0.0067072i,-0.031955+0.00050901i,-0.012698+0.038246i,0.014196+0.070276i,0.036918+0.081042i,0.045165+0.07736i,0.031573+0.070652i,0.0080532+0.059771i,-0.005806+0.037102i,-0.011041+0.012244i,-0.019934+0.0058126i,-0.025321+0.016387i
0.0036499+0.077435i,0.026574+0.033124i,0.091819-0.021859i,0.14596-0.11456i,0.11639-0.20032i,0.044794-0.18491i,0.047556-0.1285i,0.080775-0.1111i,0.064695-0.080305i,0.045946-0.018205i,0.045473+0.014785i,0.032407+0.016663i,0.024139+0.016033i,0.038114+0.0049111i,0.046432-0.026982i,0.025579-0.064534i,-0.0088729-0.079733i,-0.024285-0.066523i,-0.01457-0.042335i,0.0061209-0.027154i,0.024661-0.025679i,0.033998-0.024474i,0.029758-0.018651i
-0.069614-0.019904i,-0.0094966-0.0029292i,0.0226-0.0020895i,-0.0056932+0.0038929i,-0.050997+0.045919i,-0.061148+0.087965i,-0.029856+0.11987i,0.024762+0.12466i,0.053469+0.082394i,0.028335+0.031889i,-0.0016768+0.017254i,0.0050468+0.018786i,0.020066-0.0015164i,0.0093205-0.0322i,-0.012286-0.039371i,-0.018588-0.022716i,-0.0077028-0.0078661i,0.0096431-0.0054779i,0.02347-0.0047529i,0.018352+0.0024969i,-0.007462+0.0090861i,-0.027057+0.0084711i,-0.022805+0.0026836i
0.039424-0.067616i,-0.027613-0.060149i,-0.080279-0.092044i,-0.10914-0.14607i,-0.11584-0.1426i,-0.073211-0.090624i,-0.030067-0.082105i,-0.034915-0.11249i,-0.035494-0.10867i,0.0071249-0.079554i,0.041637-0.076061i,0.034817-0.089873i,0.0058165-0.081266i,-0.023073-0.038456i,-0.039436+0.014238i,-0.039013+0.046055i,-0.036739+0.049132i,-0.046571+0.037049i,-0.055905+0.018432i,-0.044885+0.0037861i,-0.015733+0.0049724i,0.008798+0.012069i,0.012853+0.008705i
0.026384+0.058595i,-0.0088836+0.0041123i,-0.064832+0.032661i,-0.074254+0.12691i,-0.035351+0.15569i,-0.014928+0.10864i,-0.02135+0.065837i,-0.032295+0.071964i,-0.036206+0.091359i,-0.030041+0.081397i,-0.025193+0.05289i,-0.025812+0.037618i,-0.013344+0.038433i,0.012495+0.033061i,0.031749+0.016679i,0.039968+0.00072107i,0.040213-0.0071052i,0.03622-0.0093297i,0.02873-0.010874i,0.017681-0.010112i,0.010415-0.0094865i,0.0066605-0.0091602i,0.0045046+0.0015852i
-0.063177+0.01308i,0.018369+0.045715i,0.06142+0.03328i,0.049325-0.0098609i,0.044997-0.047359i,0.048049-0.083314i,0.016606-0.10199i,-0.031383-0.092312i,-0.054272-0.064636i,-0.05242-0.037057i,-0.042142-0.013025i,-0.031317+0.0064826i,-0.024805+0.013708i,-0.017056+0.015394i,0.0008441+0.014766i,0.013602+0.0079231i,0.014734+0.0026044i,0.017879+0.0069668i,0.021697+0.015897i,0.017407+0.018055i,0.0054799+0.0094966i,-0.0061623-0.0041191i,-0.010521-0.015068i
0.021327-0.062986i,-0.014585+0.0087804i,0.019946+0.068833i,0.078616+0.095867i,0.082174+0.1104i,0.057086+0.11458i,0.065282+0.11121i,0.11588+0.088418i,0.14232+0.037493i,0.10773+0.0045007i,0.073232+0.0047902i,0.069212-0.0044793i,0.060595-0.025373i,0.035665-0.032692i,0.010222-0.026569i,0.00037767-0.016382i,0.00016828-0.014067i,-0.0092291-0.02443i,-0.024717-0.035774i,-0.030051-0.034968i,-0.021986-0.019003i,-0.009214+0.0012806i,0.00020181+0.0082366i
0.043375+0.026455i,0.017196-0.076685i,-0.011304-0.13551i,-0.017214-0.15235i,-0.019648-0.15425i,-0.026918-0.12677i,-0.043059-0.11028i,-0.07748-0.10736i,-0.088142-0.079299i,-0.045581-0.046877i,-0.0073839-0.044887i,-0.0098281-0.046681i,-0.015203-0.023392i,-0.00051077-0.0037002i,0.0096631-0.0094726i,-0.00069146-0.022972i,-0.013788-0.020957i,-0.0081583-0.0044981i,0.016509+0.0070608i,0.036165+0.0035767i,0.035919-0.0057557i,0.027451-0.0067388i,0.017885+0.0019041i
-0.050918+0.029194i,0.024137+0.045316i,0.050887+0.038013i,0.04889+0.030169i,0.050273+0.011897i,0.0096401-0.012564i,-0.032112+0.015825i,-0.0128+0.062825i,0.0029402+0.060807i,-0.021468+0.033164i,-0.037077+0.018106i,-0.033025+0.012829i,-0.027135+0.0078274i,-0.029024+0.0083339i,-0.031864+0.020742i,-0.020314+0.033954i,-0.0060299+0.032155i,-0.008054+0.02483i,-0.019749+0.027404i,-0.022141+0.032458i,-0.014529+0.026078i,-0.012963+0.011029i,-0.01008+0.00050591i
-0.019344-0.045227i,-0.081085+0.024114i,-0.10523+0.032485i,-0.12724-0.030693i,-0.13817-0.056864i,-0.083711-0.027002i,-0.026312-0.02246i,-0.033825-0.049513i,-0.047722-0.038156i,-0.016114-0.0012261i,0.020334+0.009521i,0.03393+0.0011703i,0.037101-0.012856i,0.029589-0.023596i,0.015259-0.021107i,0.0020917-0.013498i,-0.0061801-0.010672i,-0.0047224-0.019893i,-0.0020932-0.033961i,-0.0048736-0.031857i,-0.0039624-0.011331i,0.0044386+0.003333i,0.0033824-0.00081894i
0.049099+0.014891i,0.026347-0.044264i,0.029717-0.023744i,0.063471+0.029632i,0.052095+0.035867i,-0.001445+0.043001i,-0.0052888+0.063525i,0.029019+0.055885i,0.026618+0.027927i,-0.0022689+0.014886i,-0.012211+0.015885i,-0.007344+0.010073i,-0.0079406+0.0038031i,-0.0027091+0.0082833i,0.017028+0.01212i,0.037366+0.0057862i,0.043083+0.0013674i,0.032311+0.012096i,0.021742+0.023934i,0.017538+0.015144i,0.0081398-0.006627i,-0.0036286-0.01393i,-0.0020897-0.0018635i
-0.027114+0.024469i,0.045962+0.0082134i,0.028943-0.030684i,-0.053706-0.020377i,-0.061977+0.022277i,0.014833-0.0061046i,0.040067-0.083377i,-0.0033908-0.096631i,-0.005029-0.063253i,0.02487-0.056882i,0.016407-0.059768i,-0.011083-0.041893i,-0.023945-0.016781i,-0.026166-0.0014285i,-0.027915+0.0061906i,-0.034842+0.015399i,-0.039262+0.020172i,-0.03284+0.010036i,-0.02435-0.0058153i,-0.01776-0.0091365i,-0.0094724-0.0028031i,-0.002838-0.001906i,-0.00059795-0.0066321i
-0.015092-0.047266i,-0.044124+0.017541i,-0.00026473+0.046189i,0.076668+0.034316i,0.10283+0.038227i,0.070735+0.055357i,0.048132+0.07487i,0.076355+0.076664i,0.091546+0.057058i,0.065175+0.044177i,0.048217+0.03189i,0.046604+0.0098654i,0.044646-0.0021538i,0.040051-0.0011075i,0.031049-0.0045686i,0.02577-0.012905i,0.026337-0.016654i,0.027936-0.014018i,0.0272-0.0090477i,0.020329-0.0074482i,0.0094151-0.0028084i,0.0024394+0.0089349i,0.0014375+0.013123i
0.041813+0.0091469i,-0.0098522-0.045148i,-0.065541-0.031729i,-0.06651-0.0001612i,-0.030946-0.032931i,-0.03579-0.081415i,-0.096733-0.075032i,-0.1553-0.035009i,-0.16182-0.017339i,-0.12745-0.018816i,-0.085328-0.0083223i,-0.046211+0.0080849i,-0.016545+0.015164i,0.0010507+0.012466i,0.006208+0.0061027i,0.00042401+0.0016936i,-0.0096264+0.00081789i,-0.023159+0.0038863i,-0.032188+0.011403i,-0.023562+0.016903i,-0.0032956+0.01145i,0.011655-0.0019484i,0.0098787-0.0072891i
-0.033225+0.057027i,0.057046+0.066055i,0.12408+0.035367i,0.14196-0.025218i,0.1046-0.068488i,0.040368-0.042567i,0.048119-0.0039419i,0.10168-0.028242i,0.090639-0.053368i,0.048118-0.024378i,0.036126-0.0017056i,0.027033-0.016635i,0.0036388-0.039162i,-0.015641-0.045951i,-0.01653-0.037309i,-0.0026119-0.031605i,0.010839-0.035283i,0.020985-0.03833i,0.026245-0.03373i,0.019143-0.021766i,0.0038617-0.0088357i,-0.0058128-0.00030812i,-0.00057062-0.00091656i
-0.036508-0.060738i,-0.081011-0.0028878i,-0.093493+0.019956i,-0.12118+0.0044862i,-0.14811+0.010004i,-0.098691+0.019319i,-0.043923+0.010138i,-0.04465+0.019363i,-0.032482+0.039628i,0.0050443+0.023163i,0.016152-0.008721i,0.0057602-0.012759i,0.0057957+0.0032578i,0.010932+0.013754i,0.00031646+0.021136i,-0.018524+0.03784i,-0.028056+0.055941i,-0.025706+0.059115i,-0.014986+0.04258i,-0.0033189+0.01567i,0.0021671-0.0042677i,-0.0013391-0.010053i,-0.0096491-0.0052098i
0.090531-0.012745i,0.065334-0.10155i,0.036375-0.14454i,0.024204-0.13083i,0.0078486-0.075255i,0.00047147-0.0038247i,0.023872+0.013719i,0.038274-0.018174i,0.02571-0.027091i,0.013993-0.011029i,0.006391-0.0019954i,-0.00099328-0.00033305i,-0.0086002+0.0021432i,-0.0158+0.015036i,-0.0084135+0.026128i,0.0071028+0.013196i,0.0049868-0.011271i,-0.010881-0.021631i,-0.020906-0.014055i,-0.018542-0.00102i,-0.0090384+0.0061645i,0.0026437+0.0092226i,0.009935+0.010695i
-0.031683+0.076769i,0.018732+0.091717i,-0.0072264+0.10247i,-0.05209+0.15621i,-0.011045+0.16351i,0.027412+0.065633i,-0.022009-0.0012939i,-0.067016+0.02975i,-0.05062+0.042473i,-0.0387+0.0050679i,-0.042982-0.01117i,-0.030166-0.0050927i,-0.0099992-0.0039168i,0.0074689-0.0076972i,0.020766-0.0098433i,0.030663-0.0037974i,0.043491+0.0047754i,0.050229+0.0057954i,0.039512+0.0038908i,0.019205+0.0055818i,0.0046553+0.007071i,-0.0009724+0.0022303i,8.4909e-05-0.0040785i
-0.070229-0.070451i,-0.1064-0.0075597i,-0.056925+0.016433i,0.017469-0.034359i,0.033472-0.064973i,0.018565-0.022148i,0.030553+0.016734i,0.05412+0.0038542i,0.050875-0.00894i,0.040808+0.01163i,0.045781+0.024959i,0.038275+0.015817i,0.018938+0.015093i,0.013943+0.016272i,0.014058-0.0017124i,0.0013391-0.0266i,-0.017282-0.037256i,-0.024263-0.032i,-0.015145-0.024263i,-0.0028529-0.020994i,0.0028216-0.014688i,0.0050125-0.004645i,0.0047866-0.00099226i
0.097155-0.021734i,0.077285-0.062962i,0.063976-0.017661i,0.095452+0.036071i,0.095944-0.0021429i,0.027303-0.067555i,-0.035485-0.062089i,-0.048282-0.029099i,-0.044612-0.020602i,-0.038851-0.013307i,-0.018219-0.005807i,0.0085752-0.014094i,0.022405-0.031706i,0.013448-0.04077i,-0.0067695-0.029564i,-0.013242-0.0057663i,-0.0042854+0.0093456i,0.0025607+0.0070574i,0.0022034+0.00056229i,0.0021093-0.0027922i,0.003267-0.0078959i,0.00036542-0.011182i,-0.0046544-0.0065908i
-0.014373+0.10457i,0.066423+0.086346i,0.087636-0.024846i,0.016347-0.13007i,-0.049505-0.12303i,-0.031456-0.051376i,0.027519-0.043362i,0.046157-0.088764i,0.030024-0.090531i,0.024597-0.065924i,0.0097194-0.056422i,-0.014272-0.038034i,-0.019305-0.012961i,-0.015963+0.0052201i,-0.015302+0.020427i,-0.017567+0.026689i,-0.023475+0.024327i,-0.023944+0.024024i,-0.018076+0.022201i,-0.0161+0.014936i,-0.01581+0.0085191i,-0.010605+0.0048811i,-0.0032108+0.0010614i
-0.084641-0.068412i,-0.13431-0.015745i,-0.11124+0.03847i,-0.062462+0.055326i,-0.039691+0.047831i,-0.036213+0.04353i,-0.044494+0.067667i,-0.052868+0.11198i,-0.040511+0.12327i,-0.022839+0.090641i,-0.013667+0.05363i,-0.011757+0.025843i,-0.017307+0.0065242i,-0.024281+0.0031405i,-0.019307+0.01116i,-0.00095706+0.016371i,0.014871+0.01275i,0.017481+0.0065449i,0.015953+0.0032687i,0.017175+0.0019721i,0.016653+0.0024553i,0.011434+0.0039626i,0.0060455+0.0056983i
0.093499-0.036276i,0.052582-0.11339i,-0.048448-0.12053i,-0.11736-0.056652i,-0.098349+0.015067i,-0.034564+0.042684i,0.0034621+0.0087873i,0.00096617-0.040859i,-0.0048725-0.054034i,-0.00063244-0.039359i,0.0043974-0.019487i,0.0054391-0.0019272i,0.0075613+0.015208i,0.023011+0.021645i,0.037936+0.0027969i,0.032541-0.024211i,0.017057-0.03523i,0.0058141-0.032436i,-0.00078079-0.025528i,-0.0055809-0.016338i,-0.0055895-0.0085297i,0.00042875-0.0045024i,0.0054571-0.0042939i
-0.030046+0.11403i,0.046597+0.17068i,0.11406+0.17492i,0.15511+0.15356i,0.16047+0.095097i,0.10642+0.010316i,0.052184+0.0054822i,0.060829+0.048i,0.066936+0.040359i,0.035623+0.015146i,0.016342+0.0065319i,0.013449-0.002833i,0.0079158-0.010962i,0.0034831-0.010551i,0.0019869-0.0031927i,0.0055202+0.006336i,0.010193+0.010432i,0.0075305+0.011557i,-0.00051597+0.013034i,-0.0029402+0.01193i,0.0010777+0.0082107i,0.0011326+0.0039751i,-0.0016643+0.0037593i
-0.079305-0.090377i,-0.14167-0.054195i,-0.12145-0.012722i,-0.075951-0.019166i,-0.056399-0.029819i,-0.031122-0.015369i,-0.026826-0.035839i,-0.053392-0.073745i,-0.058099-0.06708i,-0.033706-0.03662i,-0.010244-0.019709i,0.0073959-0.018925i,0.018702-0.02512i,0.012531-0.030367i,-0.0094541-0.032281i,-0.032187-0.027418i,-0.042708-0.015665i,-0.036086-0.0059001i,-0.020178-0.0018456i,-0.0084877+0.0011717i,-0.0036445+0.0033879i,-0.00083298+0.0016069i,8.0397e-05-0.0026556i
0.12965-0.017567i,0.16068-0.10358i,0.15385-0.13149i,0.15812-0.13374i,0.11701-0.15523i,0.014358-0.13332i,-0.022716-0.062722i,0.0074704-0.014797i,0.021497+0.0024568i,0.019596+0.011037i,0.013607+0.0073631i,0.0023256+0.0024272i,-0.0055197+0.0032018i,-0.008415+0.00917i,-0.0014766+0.020949i,0.018106+0.022881i,0.035785+0.0094667i,0.038625-0.0051771i,0.03348-0.013019i,0.026162-0.01687i,0.015551-0.017409i,0.00664-0.01018i,0.0038438-0.002087i
-0.067778+0.11639i,-0.029007+0.155i,-0.05686+0.094374i,-0.14884+0.058084i,-0.14685+0.096933i,-0.045175+0.099559i,-0.0063018+0.054028i,-0.042543+0.031659i,-0.052563+0.027917i,-0.028421+0.012047i,-0.013598-0.0033862i,-0.014179-0.0054631i,-0.01739-2.418e-07i,-0.015126+0.0076941i,-0.011238+0.015013i,-0.014845+0.022375i,-0.023308+0.029802i,-0.028209+0.030757i,-0.027385+0.024993i,-0.023555+0.018651i,-0.017847+0.015504i,-0.011287+0.01329i,-0.0056466+0.0093391i
-0.07641-0.13266i,-0.14988-0.1048i,-0.11048-0.054288i,-0.033088-0.062934i,-0.034035-0.071544i,-0.049643-0.022115i,-0.0039429+0.02001i,0.047106+0.014759i,0.04364-0.004025i,0.013264-0.0087262i,-0.0014489-0.004881i,-0.0038365-0.0057325i,-0.0053592-0.0078036i,-0.00031195-0.0096078i,0.014221-0.016011i,0.027249-0.028422i,0.030649-0.040234i,0.024691-0.040843i,0.01526-0.031677i,0.0075045-0.022932i,0.0025923-0.018276i,-8.4118e-05-0.015596i,-0.0023459-0.012514i
0.16041+0.01988i,0.1614-0.038542i,0.067322+0.010965i,0.020981+0.13594i,0.065397+0.15954i,0.083361+0.070207i,0.03057+0.0045578i,-0.015996-0.0012954i,-0.01848+0.00045248i,-0.011248-0.003467i,-0.0039578+0.00061862i,0.012569+0.0096537i,0.02844+0.015187i,0.029995+0.012969i,0.015958+0.0084594i,-0.00072577+0.012974i,-0.008657+0.023331i,-0.0091855+0.030719i,-0.0082536+0.031802i,-0.0035407+0.027455i,0.0061599+0.021175i,0.012291+0.015529i,0.011075+0.011866i
-0.10774+0.137i,-0.026189+0.18483i,0.069084+0.08745i,0.08097-0.052348i,0.032398-0.095917i,-0.0061625-0.07027i,-0.0044427-0.053729i,0.01705-0.050586i,0.029539-0.031781i,0.03699-0.0032562i,0.035661+0.0016608i,0.018779-0.0091669i,-9.1553e-05-0.015384i,-0.01356-0.012745i,-0.019968-0.0078185i,-0.021187-0.012163i,-0.021132-0.021717i,-0.018185-0.028417i,-0.011655-0.029387i,-0.0049532-0.023725i,-0.0038384-0.017761i,-0.0070319-0.012494i,-0.0059603-0.0048204i
-0.053896-0.19026i,-0.13858-0.1686i,-0.11708-0.061372i,-0.020881+0.0058433i,0.028948-0.0061184i,0.015221-0.01573i,-0.017263+0.010675i,-0.037926+0.035956i,-0.036112+0.034751i,-0.02757+0.018907i,-0.019089+0.0070994i,-0.006443-0.0035309i,0.0079097-0.013958i,0.016636-0.016887i,0.015448-0.0092038i,0.013501+0.0053247i,0.016094+0.018303i,0.020203+0.026994i,0.024732+0.031085i,0.025468+0.025886i,0.020616+0.013801i,0.015219-0.00051336i,0.0075161-0.015266i
0.20177+0.05092i,0.23759-0.05647i,0.127-0.15801i,-0.020539-0.17722i,-0.090865-0.1274i,-0.083599-0.059592i,-0.036119-0.031304i,-0.0082994-0.045851i,-0.014901-0.054089i,-0.019085-0.047483i,-0.018649-0.035125i,-0.025684-0.01268i,-0.03346+0.011887i,-0.02876+0.027293i,-0.011009+0.028162i,0.0028579+0.013006i,0.0020294-0.0068136i,-0.0091325-0.020359i,-0.02059-0.024971i,-0.024281-0.0208i,-0.020263-0.010418i,-0.014263+0.0053703i,-0.00654+0.018832i
-0.16715+0.14929i,-0.12843+0.25755i,-0.030378+0.25913i,0.029803+0.20255i,0.053883+0.15364i,0.070431+0.09448i,0.059347+0.057061i,0.039721+0.053667i,0.029499+0.04043i,0.019033+0.023381i,0.015151+0.012022i,0.014021-0.0051839i,0.0086947-0.022091i,0.001609-0.027604i,-0.0039128-0.019362i,-0.001409-0.0040124i,0.0093355+0.0057684i,0.018799+0.0066876i,0.019501+0.0015989i,0.013336-0.004303i,0.0073525-0.0062809i,0.0051553-0.0098208i,0.0019597-0.012702i
-0.023761-0.23452i,-0.13467-0.26139i,-0.18509-0.17029i,-0.16137-0.079308i,-0.13242-0.032396i,-0.10322+0.0012935i,-0.066569-0.0057385i,-0.042563-0.023958i,-0.023227-0.0087214i,-0.0017871+0.0085407i,0.008175+0.012171i,0.016732+0.015723i,0.029139+0.020054i,0.034522+0.016765i,0.026186+0.0023128i,0.0046627-0.011972i,-0.021187-0.014856i,-0.038035-0.0074735i,-0.038643+0.0020737i,-0.028614+0.0085658i,-0.01676+0.011632i,-0.0043427+0.014401i,0.0069777+0.014165i
0.21685+0.13658i,0.31887+0.078274i,0.30931+0.021339i,0.27708+0.012593i,0.24974-0.02193i,0.16117-0.066471i,0.070725-0.039227i,0.04209+0.00059998i,0.03054+0.0041728i,0.01636+0.0042203i,0.0096969+0.0037162i,0.0016274-0.0037549i,-0.0072488-0.0074994i,-0.013485-0.0029082i,-0.013094+0.0059718i,-0.00062485+0.013548i,0.020353+0.014649i,0.036215+0.0083615i,0.038902+0.0019874i,0.033622+0.00019231i,0.022457-0.001909i,0.0039676-0.0065583i,-0.01144-0.0061092i
-0.24265+0.10406i,-0.24883+0.19767i,-0.18284+0.16031i,-0.1696+0.060284i,-0.17213+0.03907i,-0.11076+0.046883i,-0.061533+0.01225i,-0.055163-0.015505i,-0.04326-0.022417i,-0.03077-0.027457i,-0.025494-0.024636i,-0.019431-0.018043i,-0.01474-0.011485i,-0.010493-0.0046232i,-0.0071578-0.0012085i,-0.010053-0.00044633i,-0.019129+0.0031221i,-0.024072+0.010477i,-0.018261+0.013646i,-0.0096851+0.0098557i,-0.0021051+0.0038218i,0.0071359-0.0013865i,0.011104-0.0071141i
0.066673-0.26888i,-0.0061204-0.3321i,-0.018416-0.25492i,0.053566-0.1856i,0.073478-0.17707i,0.029442-0.12632i,0.030949-0.046782i,0.050831-0.014133i,0.037483-0.010212i,0.024766-0.0069871i,0.022016-0.01024i,0.014261-0.015145i,0.005393-0.016461i,0.0023039-0.011809i,0.006539-0.0036542i,0.016098-0.0034143i,0.023319-0.014721i,0.020458-0.028366i,0.010213-0.031224i,0.0038239-0.02315i,0.001472-0.012842i,-0.00071863-0.0029253i,-0.001184+0.0051886i
0.17478+0.21663i,0.25109+0.19565i,0.14346+0.13175i,-0.017162+0.15974i,-0.045019+0.20239i,-0.014844+0.14506i,-0.037271+0.06762i,-0.058243+0.041162i,-0.040635+0.03704i,-0.017292+0.031959i,-0.0067636+0.02678i,-0.0020921+0.024365i,0.0049414+0.022637i,0.0080545+0.015351i,0.0027205+0.0071139i,-0.00615+0.0069835i,-0.014505+0.016004i,-0.016937+0.025474i,-0.015114+0.024628i,-0.013879+0.016039i,-0.011141+0.0088547i,-0.005821+0.0021272i,-0.0019536-0.0057301i
-0.29868+0.012438i,-0.31883+0.105i,-0.16286+0.091765i,-0.027158-0.033699i,-0.018919-0.096902i,-0.0094015-0.064423i,0.034233-0.050683i,0.038826-0.059281i,0.016296-0.044742i,0.0018345-0.021522i,-0.00011921-0.012235i,0.0001881-0.015045i,-0.0041511-0.018714i,-0.0080451-0.018969i,-0.0095097-0.015778i,-0.0085732-0.01477i,-0.0061588-0.020394i,-0.0036297-0.025083i,-0.00024117-0.023142i,0.00064858-0.013815i,0.00035675-0.003202i,-0.00057517+0.0051074i,-0.0010895+0.011411i
0.17179-0.25491i,0.10657-0.32918i,0.0086336-0.18354i,0.020208+0.020659i,0.074659+0.075277i,0.04683+0.049431i,-0.004696+0.057676i,-0.0073213+0.063743i,0.0048197+0.033823i,0.0022442+0.0043817i,0.00091555+0.00030145i,0.011124+0.0054633i,0.020711+0.0069198i,0.021849+0.0092946i,0.019435+0.0099872i,0.017178+0.011269i,0.016532+0.016789i,0.016709+0.023148i,0.015258+0.025181i,0.012824+0.018459i,0.0095018+0.0068208i,0.0066492-0.0031873i,0.0068178-0.0083342i
0.10979+0.30376i,0.23042+0.29123i,0.20599+0.083455i,0.053394-0.093994i,-0.036181-0.11691i,-0.028177-0.10055i,-0.012991-0.096673i,-0.010921-0.07297i,-0.0050596-0.037472i,0.0065075-0.016516i,0.0062884-0.016434i,-0.011613-0.019221i,-0.02885-0.012382i,-0.031238-0.0028767i,-0.021625+0.0036476i,-0.011955+0.0031149i,-0.0094499-0.0048555i,-0.0093395-0.014462i,-0.008112-0.019244i,-0.003682-0.016562i,0.0006589-0.011062i,0.0002321-0.0030594i,-0.00067668+0.0040936i
-0.32273-0.10549i,-0.40685+0.00098967i,-0.25744+0.1239i,-0.052473+0.1311i,0.0092285+0.076579i,0.0026749+0.070601i,0.013173+0.079694i,0.01412+0.059051i,-0.00070233+0.032059i,-0.010081+0.0205i,-0.0012265+0.015898i,0.015683+0.0028217i,0.026555-0.013571i,0.027546-0.020964i,0.018645-0.018969i,0.008684-0.011875i,0.0040892-0.0037804i,0.0028122+0.003599i,0.0028713+0.0072162i,0.0017295+0.0059634i,-0.0015692+0.0053952i,-0.0033038+0.0036053i,-0.00435-0.00084455i
0.3-0.20246i,0.26977-0.34983i,0.075359-0.3312i,-0.075049-0.18823i,-0.092585-0.094268i,-0.076302-0.075307i,-0.069335-0.07018i,-0.054572-0.054973i,-0.027415-0.033025i,-0.0059576-0.020978i,-0.006265-0.012569i,-0.012999+0.0080834i,-0.011481+0.026013i,-0.0059408+0.029106i,-0.001983+0.023165i,-0.0008664+0.01288i,-0.0037648+0.0017583i,-0.0090329-0.0073783i,-0.011818-0.01079i,-0.010374-0.0083374i,-0.0062213-0.0062599i,-0.0023742-0.0026423i,0.0021173+0.0025201i
-0.022687+0.37494i,0.11373+0.46733i,0.22722+0.3378i,0.22407+0.16752i,0.1764+0.10633i,0.14384+0.080335i,0.10862+0.048915i,0.072412+0.031207i,0.037771+0.020237i,0.01273+0.01626i,0.0096252+0.0093246i,0.010861-0.0085752i,0.0025973-0.020223i,-0.0059249-0.017246i,-0.0079526-0.0080604i,-0.0036363+0.0011098i,0.0070739+0.01069i,0.018789+0.0174i,0.021132+0.01666i,0.015689+0.011857i,0.0095297+0.0050898i,0.0021028-0.0032566i,-0.0070095-0.0069784i
-0.29009-0.25777i,-0.44806-0.22647i,-0.41565-0.083669i,-0.27292-0.0071935i,-0.1801-0.021573i,-0.13442-0.022694i,-0.091474-0.010295i,-0.05551-0.012315i,-0.026551-0.021682i,-0.013695-0.030916i,-0.012782-0.023275i,-0.0045211-0.0065059i,0.0027967+0.0014896i,0.0027033+0.0029116i,0.003103+0.0032163i,0.0012503+0.00081829i,-0.0081357-0.0041196i,-0.017512-0.0055224i,-0.015702-0.0026171i,-0.0069233-0.00067777i,-0.00042323+0.00039944i,0.0070963+0.0013726i,0.016369-0.00027889i
0.39812-0.065852i,0.48711-0.20247i,0.37513-0.25978i,0.23911-0.19832i,0.17831-0.12728i,0.12456-0.082496i,0.076621-0.032365i,0.051251+0.0039928i,0.031399+0.02457i,0.026408+0.034353i,0.023674+0.020599i,0.0084694+0.00097771i,0.0011483-0.0065772i,0.0032161-0.008974i,0.0021721-0.0097354i,0.0022674-0.008449i,0.010318-0.0087287i,0.017901-0.011746i,0.014788-0.010697i,0.0078406-0.0030737i,0.0033818+0.0038835i,-0.0026287+0.0077904i,-0.0087674+0.0096776i
-0.21118+0.35986i,-0.17769+0.51238i,-0.092332+0.4425i,-0.093248+0.27556i,-0.13279+0.17667i,-0.11843+0.1074i,-0.10007+0.03674i,-0.095887+0.0011141i,-0.081061-0.0089212i,-0.061898-0.0061078i,-0.038022+0.0014716i,-0.015783+0.0030054i,-0.0041789+0.005038i,0.00058766+0.010502i,0.0017986+0.012848i,-0.0028333+0.011149i,-0.015241+0.011261i,-0.025844+0.012661i,-0.025919+0.0076594i,-0.020366-0.0013497i,-0.011923-0.0051015i,-0.0017334-0.0072047i,0.0029663-0.01185i
-0.14395-0.39603i,-0.27229-0.47031i,-0.24964-0.35408i,-0.099115-0.23327i,0.004908-0.18537i,0.034703-0.1251i,0.067286-0.073297i,0.090011-0.063234i,0.083953-0.058085i,0.066464-0.050399i,0.042522-0.038481i,0.022616-0.023587i,0.010537-0.016865i,0.0021452-0.014996i,-0.0025546-0.011458i,-0.0004772-0.0090968i,0.0084143-0.012411i,0.014476-0.015772i,0.01409-0.011151i,0.011578-0.0051212i,0.0062296-0.002307i,0.00014505+0.0030438i,1.1061e-05+0.009616i
