0.00059831+4.0684e-05i,0.0010591-0.00061485i,0.0007882-0.00060599i,-0.00032288-0.00094628i,-0.0023697-0.00035891i,-0.0030349+0.0010465i,-0.0018868+0.0015534i,-0.00061825+0.0013885i,0.0005661+0.0012989i,0.0015273+0.00029633i,0.0019011-0.0012989i,0.0011656-0.0015822i,-0.00024016-0.00077642i,-0.00048726-4.819e-05i,-0.00031866-0.00054265i,-0.0003052-0.00047661i,-0.0005964+0.00062618i,0.00010899+0.00095787i,0.00068222+0.0012172i,-0.00030841+0.0013176i,-0.0002796+0.00027889i,-0.00054563-0.0010598i,-0.00017715-0.0015303i
0.17364-0.72797i,0.018762-0.53547i,0.0063022-0.15315i,0.088874+0.013127i,0.13548+6.675e-05i,0.14339-0.026181i,0.15494-0.048731i,0.16926-0.051231i,0.15125-0.05415i,0.076272-0.052717i,-0.00029637-0.023906i,-0.039762-0.0038213i,-0.053482+0.014188i,-0.031085+0.040948i,0.0069902+0.049062i,0.031419+0.050111i,0.042699+0.048562i,0.036317+0.036582i,0.020701+0.026796i,0.0065835+0.010625i,-0.018028-0.017835i,-0.044866-0.039091i,-0.05389-0.040237i
0.56223+0.64064i,0.37319+0.23648i,-0.080827-0.054836i,-0.32154-0.0079266i,-0.26692+0.17045i,-0.066084+0.28835i,0.093985+0.2149i,0.054786+0.040471i,-0.055733-0.018397i,-0.067057-0.0064903i,-0.02859-0.012548i,-0.013841-0.023174i,-0.030064-0.032387i,-0.056489-0.047984i,-0.078907-0.068953i,-0.092145-0.067247i,-0.078101-0.04447i,-0.04412-0.03376i,-0.017694-0.02928i,0.00073113-0.012594i,0.020135-0.0014358i,0.03-0.0052023i,0.027382-0.0067925i
-0.70549+0.60108i,-0.31808+0.73496i,0.075212+0.45711i,0.18045+0.12646i,0.16619-0.017036i,0.12083-0.064375i,0.045783-0.047366i,0.031286+0.0056299i,0.063157+0.012666i,0.074307-0.019893i,0.065043-0.045335i,0.060546-0.051721i,0.058505-0.055502i,0.04861-0.053259i,0.038863-0.04126i,0.027086-0.036438i,0.0133-0.033905i,0.002035-0.025156i,-0.017144-0.01176i,-0.037022+0.0059579i,-0.037035+0.027438i,-0.016311+0.045108i,0.0064635+0.046958i
-0.1578-1.4234i,-0.46611-1.239i,-0.44222-0.71574i,-0.31921-0.36311i,-0.38383-0.20841i,-0.4476-0.035233i,-0.29316+0.12002i,-0.062965+0.11494i,0.019265+0.019989i,-0.01521-0.004326i,-0.024882+0.026951i,0.001608+0.028286i,0.022736+0.00023i,0.028655-0.021009i,0.026609-0.019404i,0.028246-0.0016933i,0.032866+0.011584i,0.034603+0.013148i,0.036935-0.00091971i,0.033265-0.016659i,0.018693-0.016787i,0.0052128-0.011941i,-0.0028065-0.0091277i
0.98106+0.56935i,0.85434+0.33725i,0.48428+0.25944i,0.37577+0.35515i,0.49066+0.33639i,0.49026+0.14106i,0.3156-0.034084i,0.13639-0.070784i,0.063988-0.038142i,0.030321-0.013306i,-0.025975+0.014879i,-0.074861+0.058248i,-0.084315+0.098276i,-0.047538+0.10614i,-0.0020756+0.067957i,0.011264+0.015145i,0.0052809-0.020023i,0.0037233-0.036345i,0.0059576-0.031588i,0.0076631-0.021689i,0.0015141-0.029879i,-0.019946-0.035807i,-0.036905-0.020903i
-0.90639+0.87189i,-0.53094+0.7898i,-0.23939+0.33266i,-0.26006+0.010002i,-0.29709-0.058523i,-0.21446-0.042705i,-0.11909-0.010754i,-0.071461+0.018978i,-0.069013+0.038956i,-0.059986+0.033426i,-0.021441-0.0055683i,0.012766-0.047032i,0.016219-0.063124i,-0.009848-0.044557i,-0.034314-0.0050492i,-0.029446+0.024221i,-0.010897+0.033021i,-0.00012006+0.037284i,0.0053489+0.042741i,0.0053997+0.051505i,0.0035009+0.066164i,0.0081451+0.06935i,0.012534+0.047036i
-0.14331-1.3232i,-0.32415-0.93364i,-0.23026-0.34741i,-0.11018-0.052768i,-0.10089+0.078996i,-0.043884+0.17373i,0.058047+0.15477i,0.10381+0.071848i,0.10519-0.0024079i,0.077577-0.048948i,0.033139-0.047376i,0.012537-0.023306i,0.018612-0.02056i,0.020255-0.03907i,0.01298-0.046199i,-0.00023242-0.029444i,-0.010438-0.0073759i,-0.0077713+0.0047847i,-0.001067-0.0049064i,0.00065566-0.033338i,-0.0051957-0.054267i,-0.0064362-0.04779i,0.006295-0.018158i
1.1156+0.25977i,0.74973-0.095698i,0.21168-0.23038i,0.025838-0.18459i,0.014494-0.16661i,-0.064577-0.11261i,-0.10246-0.020011i,-0.074214+0.0083228i,-0.055285+0.0026912i,-0.04828+0.0074396i,-0.040099+0.013874i,-0.034387+0.018353i,-0.044467+0.032082i,-0.052414+0.056644i,-0.035747+0.057862i,-0.010708+0.024784i,0.00047676-0.0086595i,-0.0041569-0.027245i,-0.011371-0.022437i,-0.010648+0.0010746i,-0.0020959+0.016926i,0.0016351+0.010079i,-0.0044333-0.0068731i
-0.91789+1.111i,-0.32768+1.045i,0.13018+0.58111i,0.16987+0.27533i,0.14134+0.18744i,0.15958+0.065132i,0.1093-0.031819i,0.046869-0.029717i,0.019951-0.015486i,-0.002261-0.010741i,-0.010797-0.0018742i,-0.0058885+0.0040586i,0.0043226-0.0046233i,0.011691-0.035388i,-0.0042883-0.05846i,-0.027962-0.044152i,-0.03006-0.019553i,-0.021662-0.0042816i,-0.023075+0.0098274i,-0.021793+0.018482i,-0.014364+0.0158i,-0.0090128+0.015058i,-0.0024674+0.016513i
-0.45981-1.3801i,-0.6543-0.94902i,-0.47889-0.35771i,-0.2364-0.09045i,-0.14865+0.001431i,-0.10676+0.080142i,-0.037012+0.089416i,0.018256+0.055859i,0.03772+0.029877i,0.034139+0.0080574i,0.026127-0.0068125i,0.019896-0.016363i,0.016942-0.019957i,0.02284-0.0075341i,0.040199+0.012455i,0.056343+0.027784i,0.060544+0.037612i,0.057182+0.031215i,0.051621+0.00425i,0.041789-0.014931i,0.025727-0.0085801i,0.010456+0.0024949i,-3.8675e-05+0.0046712i
1.5448+0.23108i,1.1403-0.10802i,0.43913-0.15879i,0.079481-0.012968i,0.010648+0.026717i,0.0052476+0.01012i,0.026181+0.018983i,0.028339+0.006812i,0.0077416-0.011838i,-0.0082393-0.017758i,-0.025786-0.014832i,-0.039825-0.0043468i,-0.04407+0.0096794i,-0.045242+0.017756i,-0.052689+0.011455i,-0.066599-0.001424i,-0.070894-0.014603i,-0.060203-0.021635i,-0.046043-0.016294i,-0.040945-0.011417i,-0.037492-0.014836i,-0.024694-0.016234i,-0.0087009-0.0080493i
-1.0556+1.1703i,-0.63014+1.0188i,-0.20883+0.49402i,-0.043088+0.13123i,0.004504+0.028608i,-0.0091916+0.0049891i,-0.042076+0.0028233i,-0.026027+0.0014024i,-0.0058001-0.0057511i,-0.0048451-0.0031747i,0.0013673-0.0011591i,0.011994-0.0047132i,0.016706-0.013883i,0.017879-0.015382i,0.026922-0.0098405i,0.045194-0.017371i,0.055026-0.028367i,0.046354-0.02477i,0.027724-0.0078163i,0.02032+0.011316i,0.019714+0.021244i,0.0067936+0.023468i,-0.0085202+0.019285i
-0.56388-1.3629i,-0.46972-0.91902i,-0.17029-0.39571i,-0.041162-0.161i,-0.040608-0.051694i,0.024315+0.012615i,0.083956+0.010772i,0.075825-0.0026576i,0.045236-0.018647i,0.013005-0.026144i,-0.0071705-0.0043679i,-0.0073774+0.022428i,0.0051859+0.024103i,0.0046527+0.0025466i,-0.01414-0.0079254i,-0.032749+0.010009i,-0.041642+0.033429i,-0.033182+0.040943i,-0.013096+0.026123i,-0.0029345+0.0014683i,-0.0041903-0.013487i,0.00091222-0.019944i,0.012093-0.020847i
1.3707+0.14989i,0.89158-0.040124i,0.29962-0.029517i,0.10458+0.049524i,0.078639+0.044606i,0.0097263+0.033724i,-0.034691+0.041191i,-0.036634+0.048669i,-0.014072+0.051459i,0.0050733+0.02662i,0.00025189-0.0079378i,-0.017967-0.02796i,-0.037374-0.015993i,-0.026434+0.01174i,0.0077134+0.010457i,0.029937-0.016775i,0.038686-0.043852i,0.031196-0.057021i,0.015511-0.045756i,0.011305-0.023437i,0.011092-0.0065497i,0.0065165+0.0085947i,0.001896+0.020301i
-0.57698+1.0563i,-0.25964+0.76409i,-0.081225+0.3026i,-0.13666+0.10785i,-0.16394+0.07995i,-0.11143+0.031099i,-0.056576+6.7155e-05i,-0.016813-0.01124i,-0.003332-0.011477i,0.0060014+0.0051016i,0.021075+0.0086473i,0.029858+0.00056095i,0.027404-0.015258i,0.0045046-0.027281i,-0.024003-0.012971i,-0.037229+0.014808i,-0.034763+0.038642i,-0.022074+0.049502i,-0.018267+0.043955i,-0.024312+0.032626i,-0.019388+0.020397i,-0.0081696+0.0064615i,-0.0033808-0.0032127i
-0.68836-0.96999i,-0.62247-0.53672i,-0.29158-0.12608i,-0.013106-0.034328i,0.076518-0.01895i,0.076194+0.039601i,0.067037+0.054111i,0.063619+0.023676i,0.04134-0.015015i,-0.0096155-0.027411i,-0.042616-0.0028394i,-0.037115+0.022487i,-0.012227+0.029513i,0.01284+0.020702i,0.024901-0.0012013i,0.023882-0.022361i,0.017586-0.036247i,0.01042-0.043308i,0.0097153-0.043734i,0.013989-0.036391i,0.01046-0.021668i,-0.00032992-0.0080497i,-0.008635-0.0024093i
0.9513-0.082177i,0.67355-0.24332i,0.25335-0.23152i,0.036793-0.091901i,-0.013549-0.030891i,-0.015282-0.031962i,-0.0040557-0.0067834i,-0.0010889+0.026613i,0.0022742+0.030138i,0.0080124-0.000853i,0.0026915-0.027786i,-0.008137-0.031646i,-0.0213-0.022443i,-0.032277-0.00094598i,-0.031903+0.021646i,-0.02372+0.038067i,-0.011063+0.049158i,0.0061402+0.046355i,0.017527+0.034158i,0.01168+0.02333i,-0.00026983+0.011859i,0.00036625+0.0012472i,0.0096294-0.004158i
-0.43253+0.73068i,-0.24858+0.63168i,-0.042848+0.35939i,0.022568+0.14893i,0.023313+0.081032i,0.0092649+0.059483i,-0.020143+0.022457i,-0.0305+0.0016965i,-0.010265+0.010785i,0.018056+0.025708i,0.030394+0.019764i,0.02231+0.0014476i,0.015693-0.011086i,0.018178-0.028015i,0.013847-0.043796i,0.0054046-0.04862i,-0.0024123-0.045892i,-0.01605-0.029901i,-0.026684-0.0091428i,-0.023048-0.0054175i,-0.01575-0.0035865i,-0.013435+0.012493i,-0.010202+0.026408i
-0.067027-0.68081i,-0.12891-0.5771i,-0.17587-0.28663i,-0.16842-0.06748i,-0.14353+0.009813i,-0.082867+0.021784i,0.007577+0.003947i,0.041328-0.037339i,0.0085764-0.058984i,-0.032783-0.044707i,-0.045806-0.011784i,-0.034701+0.016753i,-0.026441+0.031966i,-0.019078+0.049325i,0.0053146+0.062446i,0.031579+0.056798i,0.042061+0.035639i,0.038624+0.0032838i,0.027959-0.018073i,0.020487-0.01034i,0.019845-5.955e-05i,0.011769-0.0087473i,-0.0051799-0.016269i
0.40105+0.44461i,0.40863+0.39877i,0.31323+0.17863i,0.22346+0.014395i,0.17942-0.03431i,0.11647-0.029872i,0.037945+0.008385i,0.018478+0.04429i,0.030366+0.029845i,0.020499-0.0056157i,0.0041863-0.016418i,-0.0020597-0.01305i,-0.0056546-0.019676i,-0.018768-0.036523i,-0.043229-0.048123i,-0.063309-0.045594i,-0.063807-0.028505i,-0.040063-0.0016221i,-0.012068+0.016967i,-0.0045913+0.015835i,-0.0084017+0.010671i,-0.0016676+0.0093293i,0.012594-0.000255i
-0.72048-0.16993i,-0.70421-0.12738i,-0.45705-0.024573i,-0.26657+0.056021i,-0.18543+0.096612i,-0.11363+0.094404i,-0.051422+0.056887i,-0.03257+0.03472i,-0.024207+0.047069i,-7.0469e-05+0.052447i,0.021285+0.026569i,0.029654-0.0018412i,0.038705-0.0072517i,0.055079-0.0040742i,0.065042-0.0076477i,0.059444-0.0078714i,0.043916-0.0003753i,0.017488+0.0014427i,-0.008864-0.0029077i,-0.0166-0.0067834i,-0.01278-0.01032i,-0.013015-0.0054627i,-0.013836+0.012217i
0.70006-0.40826i,0.61409-0.42338i,0.3448-0.28468i,0.1799-0.18621i,0.10919-0.16139i,0.047284-0.11699i,0.023084-0.061857i,0.028752-0.052931i,0.019261-0.067059i,-0.0064899-0.053339i,-0.024012-0.014921i,-0.028874+0.013267i,-0.037763+0.020588i,-0.052413+0.022656i,-0.056583+0.030016i,-0.04614+0.029781i,-0.028819+0.012263i,-0.0072718-0.0094647i,0.01194-0.021401i,0.021255-0.017909i,0.021722-0.0064315i,0.01441-0.0024978i,0.0010387-0.0091096i
-0.067369+0.85148i,-0.04521+0.73109i,-0.070409+0.42121i,-0.098562+0.28111i,-0.079444+0.24576i,-0.02969+0.16995i,0.013598+0.093046i,0.033252+0.05052i,0.036489+0.028451i,0.027086+0.0010746i,0.00046028-0.023153i,-0.021006-0.025591i,-0.019683-0.021043i,-0.0052354-0.019587i,0.012504-0.020878i,0.025877-0.019927i,0.029456-0.013553i,0.023732-0.00090612i,0.010146+0.015351i,-0.0036003+0.022633i,-0.011521+0.016462i,-0.0096218+0.0082293i,0.0020693+0.0034307i
-0.71972-0.53296i,-0.54728-0.37483i,-0.18719-0.21489i,-0.019281-0.19569i,0.0047279-0.16867i,0.0088033-0.089884i,-0.012718-0.026513i,-0.024865+0.010842i,-0.022081+0.021073i,-0.013941+0.026809i,0.014024+0.032798i,0.035755+0.025442i,0.03227+0.018726i,0.016441+0.018189i,-0.0046684+0.018222i,-0.028647+0.022154i,-0.042501+0.031308i,-0.038489+0.030669i,-0.02422+0.012046i,-0.011048-0.0074877i,-0.0013826-0.01117i,0.0044263-0.0031041i,0.0054425+0.0043763i
0.76922-0.36594i,0.47572-0.31349i,0.12197-0.069835i,0.026684+0.094345i,0.016778+0.11273i,0.009191+0.079977i,0.028359+0.022925i,0.02038-0.020197i,0.0047331-0.025133i,-0.010122-0.028027i,-0.033742-0.02496i,-0.036655-0.01474i,-0.019759-0.01229i,0.00030783-0.017034i,0.015649-0.026151i,0.026024-0.037532i,0.03205-0.048858i,0.02788-0.049299i,0.021148-0.032538i,0.014522-0.011924i,0.00045016-0.0005948i,-0.012084+0.0025417i,-0.015737+0.0053412i
-0.0044341+0.88759i,0.14632+0.5798i,0.12351+0.10017i,0.0025207-0.098457i,-0.044905-0.11776i,-0.066189-0.099365i,-0.063792-0.024931i,-0.011882+0.015218i,0.013099+0.0019848i,0.018751-0.0040817i,0.028515-0.012596i,0.017059-0.019981i,-0.0074722-0.013226i,-0.026018+0.0033392i,-0.028473+0.027484i,-0.014307+0.046153i,0.0014971+0.05122i,0.010649+0.042364i,0.0060838+0.026335i,-0.0020011+0.01295i,0.0038101+0.0024649i,0.010961-0.0055179i,0.0097573-0.011481i
-0.78143-0.45437i,-0.67331-0.13928i,-0.29147+0.15319i,-0.031976+0.2166i,0.050251+0.2101i,0.089198+0.16953i,0.070644+0.082044i,0.021944+0.03979i,0.0083097+0.029064i,-0.0041419+0.020309i,-0.016084+0.031738i,-0.0031485+0.035837i,0.016571+0.015611i,0.027157-0.012352i,0.023641-0.040065i,0.0046143-0.057097i,-0.018762-0.054523i,-0.029535-0.034758i,-0.022583-0.014258i,-0.013147-0.0028271i,-0.010818+0.0070989i,-0.0096859+0.01571i,-0.004715+0.023358i
0.77834-0.4604i,0.51775-0.58093i,0.10691-0.44987i,-0.074403-0.26376i,-0.10603-0.1756i,-0.10403-0.098476i,-0.048132-0.029346i,-0.005713-0.01615i,-0.0066165-0.013658i,-0.01131-0.019884i,-0.023984-0.031675i,-0.037357-0.014346i,-0.036372+0.020914i,-0.027387+0.046939i,-0.015098+0.058663i,0.00062603+0.059025i,0.021503+0.045925i,0.031278+0.01994i,0.023099+0.00033948i,0.013791-0.0042349i,0.0078302-0.0079951i,0.0027684-0.012827i,-0.0020992-0.018498i
-0.135+0.84216i,0.064444+0.79806i,0.2109+0.45682i,0.18919+0.19072i,0.13914+0.10085i,0.10615+0.037751i,0.051825-0.0090922i,0.021191-0.012887i,0.020497-0.01116i,0.025213-0.0033448i,0.03885-0.002584i,0.040522-0.028348i,0.020952-0.056631i,0.00058355-0.070412i,-0.015534-0.071124i,-0.031062-0.057748i,-0.040955-0.032877i,-0.032571-0.0053402i,-0.014285+0.0080492i,-0.0044898+0.0064328i,-0.0043355+0.0058585i,-0.0059309+0.010285i,0.00041843+0.014538i
-0.40401-0.53584i,-0.5158-0.48123i,-0.4382-0.22918i,-0.27462-0.067892i,-0.18724-0.03505i,-0.14336+0.015827i,-0.06554+0.053489i,-0.0067439+0.031119i,0.0013056+0.0059041i,-0.010885+0.0039254i,-0.020218+0.021595i,-0.0099932+0.042866i,0.0095694+0.050818i,0.023373+0.056404i,0.042085+0.058689i,0.060583+0.044568i,0.058442+0.01573i,0.032161-0.0088093i,0.0072962-0.012779i,0.0026096-0.0071985i,0.0095181-0.006455i,0.01415-0.011701i,0.0039885-0.013827i
0.50788+0.21391i,0.61755+0.14837i,0.4599+0.0086912i,0.25158-0.0036479i,0.18992+0.034931i,0.16302-0.01292i,0.077282-0.04125i,0.015511-0.009413i,0.0014731+0.0026396i,-0.0060379-0.013963i,-0.020996-0.033282i,-0.040071-0.039904i,-0.050035-0.036005i,-0.058487-0.036822i,-0.075359-0.033979i,-0.083897-0.014617i,-0.066314+0.010685i,-0.028298+0.022181i,-0.00058902+0.016416i,-0.00022825+0.011156i,-0.011566+0.014868i,-0.016843+0.02215i,-0.0083166+0.023329i
-0.60213-0.11799i,-0.71134+0.080382i,-0.46645+0.19516i,-0.23572+0.11065i,-0.19612+0.053492i,-0.14504+0.088348i,-0.052811+0.072036i,-0.014845+0.029075i,-0.0078618+0.018879i,0.00016018+0.0175i,0.016681+0.015924i,0.0402+0.014388i,0.059003+0.012561i,0.076167+0.0073013i,0.085845-0.0096962i,0.077847-0.03074i,0.052102-0.041298i,0.018023-0.033779i,-0.0025581-0.019623i,-0.0044584-0.01949i,-0.0018118-0.029872i,-0.0022146-0.034886i,-0.0046042-0.02694i
0.79401-0.33424i,0.69119-0.60401i,0.30592-0.5003i,0.1179-0.21803i,0.11417-0.11241i,0.053916-0.096833i,0.0073126-0.036166i,0.024711-0.0088647i,0.032289-0.021584i,0.016746-0.020349i,-0.0097944-0.0044427i,-0.035876+0.010272i,-0.055887+0.018611i,-0.069923+0.030343i,-0.068523+0.04855i,-0.050047+0.063933i,-0.018032+0.061347i,0.011607+0.032682i,0.019992+0.0076808i,0.018675+0.012959i,0.020979+0.031736i,0.023352+0.039509i,0.02034+0.029917i
-0.43011+1.1016i,-0.12543+1.1271i,0.085877+0.63139i,0.01472+0.21935i,-0.063255+0.13135i,-0.017014+0.10737i,0.018807+0.048519i,0.013896+0.019281i,0.010115+0.017224i,0.013217+0.011551i,0.022014-0.006487i,0.030303-0.028583i,0.033604-0.047059i,0.033734-0.060135i,0.029096-0.068621i,0.015778-0.075606i,-0.0080224-0.066177i,-0.02616-0.031964i,-0.028936-0.0047878i,-0.032882-0.0040588i,-0.04026-0.012642i,-0.039993-0.015701i,-0.030145-0.011732i
-0.68065-1.1549i,-0.81406-0.89638i,-0.5024-0.36657i,-0.11629-0.10346i,0.02911-0.091185i,0.020157-0.08171i,-0.0025315-0.046233i,-0.020476-0.023373i,-0.034571-0.016011i,-0.038801-0.0089348i,-0.031846+0.0086433i,-0.024642+0.033949i,-0.017512+0.057567i,-0.0088003+0.068575i,-0.0021305+0.071819i,0.011545+0.069642i,0.028296+0.04652i,0.028986+0.01119i,0.022636-0.008301i,0.027208-0.011912i,0.034192-0.012826i,0.031576-0.012696i,0.021142-0.010159i
1.3155+0.063944i,1.1093-0.075754i,0.51571-0.09241i,0.092817+0.012946i,-0.022762+0.10762i,-0.014258+0.11797i,0.0026187+0.080734i,0.020353+0.046779i,0.037498+0.023174i,0.030749+0.00099393i,0.005409-0.01531i,-0.010395-0.031561i,-0.016878-0.048376i,-0.020808-0.060163i,-0.0288-0.067049i,-0.048914-0.056713i,-0.05657-0.020159i,-0.034166+0.015534i,-0.011498+0.026158i,-0.0086271+0.026604i,-0.012319+0.028266i,-0.01231+0.025524i,-0.0075504+0.019419i
-0.66394+0.88724i,-0.5394+0.71892i,-0.25171+0.33549i,-0.05163+0.040182i,-0.019166-0.092053i,-0.041549-0.092129i,-0.031274-0.040127i,-0.01601-0.010629i,-0.017933+0.0018257i,-0.015669+0.007705i,-0.0047113+0.009184i,0.0099117+0.017629i,0.0263+0.026516i,0.040383+0.033373i,0.056912+0.033939i,0.071391+0.01581i,0.061023-0.013337i,0.028266-0.032491i,0.003352-0.033497i,-0.0033334-0.030332i,-0.0029326-0.029069i,-0.002256-0.023908i,-0.0021899-0.016495i
-0.27175-0.65382i,-0.090752-0.54983i,-0.01909-0.2798i,-0.028671-0.017696i,0.023579+0.10232i,0.070717+0.076985i,0.056629+0.019097i,0.039448-0.01385i,0.033875-0.030754i,0.026826-0.029307i,0.019325-0.020313i,8.3605e-05-0.017746i,-0.028137-0.011887i,-0.050728-0.00016532i,-0.063102+0.015695i,-0.058704+0.038352i,-0.031372+0.050482i,0.00063867+0.039933i,0.012978+0.024982i,0.012127+0.022842i,0.011699+0.024289i,0.011074+0.02028i,0.0096249+0.014059i
0.25+0.040729i,0.12818+0.22143i,0.073601+0.15725i,0.014272-0.023795i,-0.078314-0.076727i,-0.090639-0.029504i,-0.044465+0.0055103i,-0.020921+0.023588i,-0.015466+0.034781i,-0.011099+0.032227i,-0.0069837+0.022742i,0.0025928+0.010667i,0.013725-0.0070029i,0.018346-0.027771i,0.015564-0.046196i,0.0039099-0.061852i,-0.015559-0.062211i,-0.028615-0.039684i,-0.024532-0.01927i,-0.020108-0.016161i,-0.02413-0.014068i,-0.025079-0.0067133i,-0.020069-0.0035451i
0.089496-0.19977i,-0.084735-0.31606i,-0.10021-0.15368i,0.027743+0.019502i,0.11262+0.037087i,0.084136+0.018075i,0.030252+0.016785i,0.0088491+5.1609e-05i,-0.0044248-0.022578i,-0.023459-0.027052i,-0.028566-0.014962i,-0.017194-7.9456e-05i,-0.0011643+0.013606i,0.012575+0.025284i,0.024697+0.033793i,0.039439+0.038443i,0.050163+0.031155i,0.046091+0.015251i,0.034743+0.0083381i,0.03155+0.0068511i,0.031815-0.0016298i,0.025681-0.010091i,0.01888-0.0085054i
0.28781+0.48168i,0.38958+0.3196i,0.18769+0.11174i,-0.044236+0.038706i,-0.11719+0.056464i,-0.085577+0.047007i,-0.036285+0.019165i,-0.0026013+0.019537i,0.022506+0.024723i,0.030001+0.0092795i,0.015059-0.0026581i,-0.0012798+0.00069754i,-0.013637+0.0053977i,-0.022487+0.0039105i,-0.029747-0.0039753i,-0.043958-0.0058659i,-0.052073+0.0050092i,-0.045308+0.011797i,-0.038896+0.0075318i,-0.038208+0.0083957i,-0.031166+0.018485i,-0.018794+0.023708i,-0.011517+0.017471i
-0.72872+0.064408i,-0.57758+0.13575i,-0.25793+0.059637i,-0.036119-0.039576i,0.033433-0.085744i,0.043309-0.065161i,0.04206-0.027368i,0.026223-0.026934i,0.0016274-0.026111i,0.00019491-0.007364i,0.011221-0.0056942i,0.0062567-0.019012i,-0.0035498-0.026043i,-0.00042215-0.021008i,0.014102-0.013723i,0.030403-0.018791i,0.036603-0.031738i,0.033446-0.037972i,0.030316-0.037329i,0.024044-0.036325i,0.010272-0.03507i,-0.0023596-0.03027i,-0.0037501-0.020691i
0.2132-0.70266i,0.15091-0.50066i,0.085116-0.19108i,0.024469+0.017309i,0.0017745+0.10629i,-0.0056566+0.088895i,-0.015603+0.041499i,-0.0024197+0.027745i,0.010876+0.015285i,-0.0018736+0.0049232i,-0.0074104+0.014565i,0.0078932+0.024306i,0.019574+0.02124i,0.0062359+0.01188i,-0.02018+0.015037i,-0.031743+0.034351i,-0.022246+0.051573i,-0.0082674+0.057263i,-0.00052384+0.055371i,0.0068265+0.048479i,0.014588+0.036977i,0.018436+0.026366i,0.014203+0.017546i
0.46807+0.31494i,0.26336+0.21108i,0.066448+0.069887i,-0.024654-0.054103i,-0.064602-0.10232i,-0.049556-0.05987i,-0.012923-0.020925i,-0.015781-0.015786i,-0.024923-0.0096813i,-0.019287-0.011845i,-0.02473-0.018047i,-0.033942-0.010251i,-0.028184+0.0015905i,-0.0056294-0.0028764i,0.013813-0.027233i,0.0098796-0.051541i,-0.009491-0.057912i,-0.026846-0.049101i,-0.031949-0.036274i,-0.028591-0.026283i,-0.026808-0.018274i,-0.027196-0.010097i,-0.020549-0.0028632i
-0.21626+0.31291i,-0.087739+0.13922i,0.02051+0.056031i,0.10818+0.075551i,0.14618+0.069113i,0.088675+0.035218i,0.033369+0.032985i,0.042269+0.033756i,0.050734+0.01441i,0.036131+0.0027792i,0.029383-0.0009384i,0.028252-0.010362i,0.017603-0.01239i,0.0053892+0.0084831i,0.0085768+0.03737i,0.027841+0.047795i,0.045442+0.0341i,0.050366+0.012588i,0.043546-0.00091903i,0.032524-0.002929i,0.026634-0.0021183i,0.025051-0.0043961i,0.016518-0.0060735i
-0.3149-0.089617i,-0.23109+0.038161i,-0.19452+0.065784i,-0.2238+0.056347i,-0.20814+0.070483i,-0.10613+0.047152i,-0.039596+0.0011487i,-0.043225-0.003425i,-0.042844+0.014918i,-0.030074+0.017703i,-0.02247+0.01818i,-0.017522+0.020354i,-0.016591+0.011134i,-0.021852-0.010526i,-0.036096-0.027281i,-0.052711-0.022373i,-0.05307-0.0030769i,-0.039483+0.0099069i,-0.028952+0.0091309i,-0.02563+0.0044681i,-0.02483+0.0052616i,-0.021433+0.010914i,-0.010355+0.011506i
0.07053-0.38484i,0.026251-0.34265i,0.065974-0.26008i,0.12386-0.21363i,0.10713-0.18034i,0.034614-0.090487i,0.015414-0.01967i,0.03509-0.027843i,0.026361-0.047479i,0.010284-0.038542i,0.0038275-0.029726i,0.0030042-0.027062i,0.0084344-0.020997i,0.01822-0.006261i,0.034199+0.0056084i,0.045874-0.0013319i,0.038802-0.014478i,0.024366-0.017725i,0.019171-0.014394i,0.020068-0.012656i,0.017187-0.014482i,0.0091839-0.015852i,-0.00075653-0.010076i
0.37658+0.15082i,0.30368+0.17526i,0.15204+0.20583i,0.0361+0.23818i,0.018273+0.21785i,0.034599+0.11458i,0.01479+0.041697i,-0.0034464+0.045013i,0.0080359+0.048542i,0.017229+0.033594i,0.015224+0.023539i,0.0080679+0.02428i,0.0007325+0.028774i,-0.01072+0.020038i,-0.029787+0.011339i,-0.035756+0.018058i,-0.022832+0.024288i,-0.011942+0.024224i,-0.010528+0.026256i,-0.01117+0.027127i,-0.0096962+0.02231i,-0.0058909+0.015499i,-0.002913+0.0057298i
-0.20652+0.24732i,-0.24155+0.12255i,-0.17885-0.040509i,-0.10669-0.17155i,-0.095831-0.17835i,-0.068039-0.072036i,-0.011379-0.010913i,0.0026857-0.024715i,-0.017555-0.030213i,-0.031154-0.018822i,-0.033571-0.0098077i,-0.030212-0.0096406i,-0.023999-0.012307i,-0.0028817-0.0090884i,0.023084-0.016738i,0.026574-0.033437i,0.012095-0.03559i,-0.00051358-0.029277i,-0.0076225-0.026411i,-0.0078629-0.021601i,2.859e-05-0.013749i,0.0063471-0.0079596i,0.0066575-8.3158e-05i
-0.11234-0.12775i,0.030715-0.11063i,0.099541+0.015304i,0.13623+0.1514i,0.15362+0.14795i,0.086885+0.049951i,0.011495+0.017958i,0.0092763+0.037657i,0.033294+0.025473i,0.032882-0.0032438i,0.02274-0.016261i,0.021286-0.014431i,0.019344-0.011936i,-0.00038616-0.0042009i,-0.016765+0.01866i,-0.009092+0.038013i,0.0057193+0.034416i,0.014732+0.020427i,0.018409+0.011388i,0.013496+0.0072439i,0.00308+0.0073483i,-0.0034944+0.0098048i,-0.0054073+0.0060547i
