-0.0012151-0.0010687i,-0.0011739-0.0021901i,-0.00055494-0.0019679i,-0.00073476-0.00094725i,-0.00088794+0.0011425i,-0.00071884+0.0033391i,0.00031952+0.0029796i,0.0014771+0.0017884i,0.00085582+0.00062869i,0.00023191-0.00051541i,0.00051044-0.00054795i,0.00060139-0.00059434i,4.5783e-05-0.0010119i,-0.00054236-0.0010957i,-0.00063508-0.00043799i,-0.0003587+3.8043e-05i,2.7299e-05+2.7819e-05i,0.00036948+0.00073765i,0.0007377+0.00092089i,0.00074884-0.00034569i,0.00085977-0.00095143i,0.00060458-0.0005872i,-0.00033463+0.00029116i
-0.12198+0.17569i,-0.18985+0.31825i,-0.13466+0.33886i,-0.0091415+0.19804i,0.037125+0.070757i,0.029687+0.035678i,0.036127-0.0058533i,0.027333-0.062189i,0.0063706-0.064024i,0.0073486-0.023488i,0.02199+0.0093532i,0.02776+0.016883i,0.018814+0.0058028i,0.0047654-0.0071001i,-0.0032761-0.0089954i,-0.0036273-0.0051076i,-0.0032877-0.00039384i,-0.0056957+0.0046377i,-0.0071464+0.0060492i,-0.005505+0.0050062i,-0.0031073+0.005516i,-0.00088718+0.0078974i,0.0026413+0.0094953i
0.07946-0.20806i,0.099658-0.36707i,0.037418-0.3806i,-0.050224-0.22237i,-0.064326-0.090903i,-0.046113-0.055027i,-0.048868-0.0024798i,-0.036372+0.061332i,-0.017626+0.060505i,-0.019753+0.01914i,-0.032469-0.009637i,-0.038345-0.012897i,-0.027262-0.00061923i,-0.0090031+0.010072i,0.0017301+0.0095796i,0.0010908+0.0031872i,-0.00015991-0.0029674i,0.003874-0.0070928i,0.0070924-0.0071696i,0.0073509-0.0054031i,0.0054563-0.0052745i,0.0026076-0.0066169i,-0.0018596-0.008341i
-0.029064+0.20961i,-0.009794+0.38576i,0.061844+0.3975i,0.11383+0.22589i,0.091629+0.097726i,0.067847+0.066223i,0.073452+0.0043662i,0.054752-0.065173i,0.027216-0.061426i,0.0256-0.018551i,0.039293+0.009062i,0.046845+0.010356i,0.033468-0.003636i,0.010321-0.013414i,-0.0019377-0.011664i,-0.00092006-0.0048892i,0.00053992+0.00084517i,-0.0032593+0.0053163i,-0.0077372+0.0069008i,-0.0078718+0.005264i,-0.0048755+0.0044094i,-0.0015431+0.0057266i,0.0030687+0.0079636i
-0.03824-0.21464i,-0.096126-0.37844i,-0.16672-0.38295i,-0.17634-0.21398i,-0.11571-0.099615i,-0.08352-0.074065i,-0.087625-0.0038632i,-0.063326+0.06744i,-0.035496+0.061573i,-0.035322+0.01894i,-0.048436-0.0071414i,-0.054283-0.0046981i,-0.038602+0.011311i,-0.013438+0.018582i,-0.00072312+0.013635i,-0.0011489+0.0065796i,-0.0023823+0.0018303i,0.00094183-0.0021425i,0.0057408-0.0049691i,0.0075874-0.005517i,0.0051275-0.0059239i,0.00050493-0.0073206i,-0.0047953-0.0088721i
0.074325+0.2102i,0.18043+0.36168i,0.26037+0.35286i,0.2296+0.18376i,0.13588+0.083443i,0.10132+0.066239i,0.10788-0.0075421i,0.076728-0.076866i,0.041753-0.064308i,0.039247-0.019508i,0.051272+0.0027882i,0.055995-0.0039071i,0.037441-0.019021i,0.010243-0.023584i,-0.0016847-0.01582i,0.00044234-0.0061841i,0.0020349+4.0869e-05i,-0.001694+0.0049163i,-0.0061419+0.0071643i,-0.0085516+0.0065881i,-0.0057949+0.0065047i,-0.00037768+0.0073335i,0.0062463+0.0069286i
-0.12326-0.1669i,-0.26175-0.30131i,-0.34053-0.28689i,-0.27082-0.13617i,-0.147-0.063925i,-0.10696-0.057852i,-0.10995+0.015547i,-0.073924+0.077721i,-0.039514+0.057109i,-0.038861+0.015583i,-0.050911+0.00042622i,-0.055214+0.011484i,-0.036395+0.027507i,-0.009315+0.027733i,0.0025467+0.01625i,0.0013965+0.0065358i,0.00055261+0.00069253i,0.003874-0.0038453i,0.0074577-0.0052278i,0.0075721-0.0042841i,0.0040895-0.0032232i,-0.00088247-0.0032429i,-0.0070562-0.0042619i
0.16602+0.14369i,0.33278+0.24522i,0.41186+0.21741i,0.30761+0.083711i,0.15702+0.035776i,0.11526+0.040285i,0.11934-0.02703i,0.080717-0.078479i,0.044324-0.05087i,0.042115-0.010962i,0.05025-0.0018813i,0.050393-0.017485i,0.030386-0.032949i,0.0045204-0.031074i,-0.0052475-0.018157i,-0.0028041-0.0071806i,-0.00031737-0.00059584i,-0.0015621+0.0039526i,-0.0050438+0.0050694i,-0.0067511+0.0054909i,-0.0042843+0.0055099i,0.00060465+0.0052783i,0.0066258+0.0050049i
-0.18847-0.10096i,-0.37853-0.1662i,-0.45727-0.12865i,-0.32542-0.020658i,-0.15315-0.002175i,-0.10983-0.021423i,-0.11591+0.035516i,-0.081763+0.073889i,-0.051882+0.040797i,-0.047596+0.0067094i,-0.050394+0.0043851i,-0.047142+0.022332i,-0.025424+0.037092i,-0.00068435+0.032475i,0.0066491+0.017237i,0.002737+0.0057671i,0.00010961-0.0005498i,0.0013729-0.0038374i,0.0049501-0.0037686i,0.0071561-0.0051173i,0.0045-0.0061581i,0.00012269-0.0049913i,-0.0053235-0.0037568i
0.20118+0.055756i,0.40646+0.084274i,0.48715+0.033368i,0.33694-0.051061i,0.15167-0.039321i,0.11175-0.0054374i,0.12296-0.054481i,0.088569-0.082922i,0.057641-0.04249i,0.050597-0.0071872i,0.047854-0.005855i,0.039738-0.025223i,0.017227-0.040214i,-0.0041625-0.033405i,-0.0079013-0.017682i,-0.0032482-0.007032i,-0.00097981-0.0010623i,-0.0021025+0.0022603i,-0.0054972+0.0034807i,-0.0068031+0.0048062i,-0.0039346+0.0055583i,0.00012268+0.0040179i,0.0056387+0.0016504i
-0.20888-0.0075673i,-0.42082+0.0047628i,-0.49937+0.067376i,-0.33239+0.12039i,-0.13691+0.072221i,-0.09928+0.024534i,-0.11193+0.067365i,-0.079944+0.087817i,-0.054338+0.043469i,-0.049116+0.0087085i,-0.04327+0.008984i,-0.031624+0.027577i,-0.0097444+0.039799i,0.0082044+0.031362i,0.0090839+0.015402i,0.0031922+0.0050296i,7.2642e-05+0.0005125i,0.001076-0.0012408i,0.0042785-0.0027733i,0.0044662-0.0051989i,0.0014264-0.0063918i,-0.0021088-0.004417i,-0.0066738-0.0014415i
0.2022-0.029305i,0.40963-0.082512i,0.48462-0.16152i,0.31172-0.19359i,0.11496-0.11816i,0.0836-0.055025i,0.1001-0.084771i,0.069024-0.090877i,0.045891-0.040094i,0.043662-0.0062329i,0.036315-0.0085887i,0.02133-0.027708i,-1.2175e-05-0.038535i,-0.013722-0.029565i,-0.01172-0.013635i,-0.0049453-0.0031045i,-0.001605+0.0013581i,-0.0015744+0.0021664i,-0.0040517+0.0024735i,-0.0052049+0.0050437i,-0.003556+0.0061667i,8.143e-05+0.0032609i,0.0050929+0.000239i
-0.184+0.074774i,-0.38351+0.16874i,-0.45101+0.26458i,-0.27877+0.2659i,-0.091287+0.15401i,-0.065153+0.075553i,-0.079477+0.091279i,-0.051322+0.082075i,-0.035633+0.027986i,-0.036109-0.0002752i,-0.028226+0.0050874i,-0.012844+0.023755i,0.0068615+0.033997i,0.016408+0.025028i,0.01147+0.011933i,0.0049221+0.0041396i,0.0019363-0.00039398i,0.0012776-0.0015968i,0.0025335-0.0017465i,0.0032901-0.0035745i,0.0017939-0.0040818i,-0.00019348-0.0020853i,-0.0037314+0.00028981i
0.15926-0.10466i,0.34157-0.23048i,0.40636-0.33993i,0.24162-0.32327i,0.066237-0.18704i,0.050387-0.095805i,0.070153-0.098891i,0.047892-0.076073i,0.036335-0.018712i,0.036293+0.0058494i,0.024753-0.0014781i,0.0057672-0.019581i,-0.013831-0.029791i,-0.020685-0.021409i,-0.011115-0.0087927i,-0.0015798-0.0016632i,0.00064622+0.00016121i,0.00018562-0.00027233i,-0.0020459+0.00078602i,-0.003449+0.0034578i,-0.0026628+0.0051874i,-0.001067+0.0048448i,0.0031441+0.0018539i
-0.13773+0.13081i,-0.29196+0.2891i,-0.33964+0.40986i,-0.18594+0.37217i,-0.030038+0.21496i,-0.024299+0.11281i,-0.04971+0.10147i,-0.038301+0.067764i,-0.035001+0.010544i,-0.034997-0.0097229i,-0.020285-0.00022953i,0.0012565+0.015133i,0.019397+0.022i,0.022383+0.015171i,0.012416+0.0047615i,0.0033187-0.00042703i,-0.00023991-0.0014382i,-3.1994e-05-0.00030583i,0.0023407-0.00077306i,0.0034106-0.0036376i,0.0023034-0.0053634i,0.00066277-0.0044585i,-0.0025545-0.001275i
0.096447-0.14515i,0.22724-0.32651i,0.26928-0.46358i,0.13374-0.41362i,0.0011898-0.24014i,0.0090901-0.12986i,0.041061-0.11052i,0.034292-0.072075i,0.032963-0.012406i,0.031931+0.0099263i,0.015165+0.0032156i,-0.0068554-0.0088432i,-0.023504-0.014709i,-0.023857-0.010853i,-0.012478-0.0040309i,-0.0042238-4.1338e-05i,-0.00071023+0.00036181i,-0.00072214-0.00016871i,-0.0021454+5.6685e-05i,-0.0024629+0.0028767i,-0.0017534+0.0050289i,-0.00024456+0.0040422i,0.0026599+0.0002461i
-0.076118+0.16477i,-0.17227+0.36034i,-0.19962+0.50478i,-0.079477+0.44677i,0.034102+0.2587i,0.020801+0.13791i,-0.01377+0.10781i,-0.01688+0.064887i,-0.025817+0.010226i,-0.028758-0.0081823i,-0.011969-0.0036123i,0.010553+0.004195i,0.025785+0.0073482i,0.023702+0.0035758i,0.010696+4.6745e-05i,0.0012348-0.0017329i,-0.0022049-0.0014284i,-0.0017255+0.00022195i,0.00084418+0.00012267i,0.0021932-0.0028488i,0.0013076-0.0052775i,9.7965e-05-0.0040095i,-0.001477-0.00032569i
0.044287-0.16155i,0.10706-0.37071i,0.12053-0.52593i,0.021176-0.46702i,-0.064594-0.27521i,-0.037453-0.14797i,0.00014359-0.10833i,0.0047175-0.060945i,0.015272-0.0074738i,0.019715+0.01074i,0.0056892+0.0092489i,-0.013712+0.0047981i,-0.027483+0.0011103i,-0.025161+0.001206i,-0.012104+0.003251i,-0.0024347+0.005203i,0.0016236+0.004229i,0.0021511+0.00096726i,0.0003561+0.00033126i,-0.0014856+0.0026936i,-0.0019897+0.0044736i,-0.0015522+0.0041151i,0.00094982+0.0011946i
-0.010988+0.16349i,-0.047774+0.37771i,-0.048669+0.54168i,0.032749+0.48082i,0.092113+0.28142i,0.056529+0.14866i,0.018088+0.10022i,0.0088188+0.047745i,-0.0077077-0.0012779i,-0.016081-0.013401i,-0.0036364-0.010346i,0.014732-0.0084428i,0.025507-0.0070476i,0.020513-0.0062076i,0.0077334-0.0046298i,-0.00071411-0.0035148i,-0.0029975-0.0018994i,-0.0011675+0.00072785i,0.001497+0.00070225i,0.001465-0.0014785i,0.00024515-0.0024759i,-0.00079941-0.0026526i,-0.0023051-0.0013384i
-0.015759-0.15916i,-0.012344-0.36806i,-0.024048-0.53363i,-0.085427-0.48133i,-0.11977-0.28414i,-0.071004-0.14738i,-0.025138-0.093732i,-0.010775-0.040759i,0.0058249+0.0051833i,0.013448+0.016271i,0.0038225+0.013542i,-0.012169+0.013238i,-0.02234+0.013128i,-0.017328+0.010461i,-0.0054318+0.0064924i,0.0023695+0.0041205i,0.0044688+0.00082278i,0.0018863-0.0029528i,-0.0014526-0.0021568i,-0.0020836+0.0011022i,-0.0014792+0.0025605i,-0.0017973+0.0022456i,1.2608e-05+0.00086938i
0.034686+0.14287i,0.05962+0.35033i,0.089589+0.51737i,0.13433+0.46763i,0.14102+0.27779i,0.083379+0.14362i,0.03789+0.084147i,0.017901+0.028867i,-0.0046816-0.01138i,-0.013181-0.016714i,-0.0031426-0.013955i,0.0098404-0.016717i,0.017227-0.016958i,0.013502-0.011681i,0.0045404-0.0057533i,-0.0019811-0.0027426i,-0.003916-0.00052879i,-0.0017023+0.0013199i,0.0016088-0.00017874i,0.0022907-0.0022136i,0.0016536-0.0021665i,0.001838-0.0018503i,6.37e-05-0.0013904i
-0.063205-0.1231i,-0.11022-0.31609i,-0.15042-0.48397i,-0.17779-0.44689i,-0.15756-0.26718i,-0.089542-0.13601i,-0.043013-0.076161i,-0.021645-0.023855i,0.00088026+0.013036i,0.0099086+0.01692i,0.00066497+0.013665i,-0.010549+0.018286i,-0.013975+0.019174i,-0.0098232+0.012002i,-0.0029353+0.00535i,0.0023405+0.0028954i,0.0038945+0.0016102i,0.0012835+5.8705e-05i,-0.0022982+0.00067044i,-0.0015224+0.0015145i,-0.00043441+0.001413i,-0.0011909+0.0015478i,0.00011671+0.00082164i
0.068519+0.11241i,0.14157+0.28974i,0.19871+0.45085i,0.21362+0.42371i,0.17634+0.25604i,0.10577+0.12606i,0.059283+0.062111i,0.032385+0.013637i,0.0039374-0.01496i,-0.0073146-0.015332i,-5.8069e-06-0.013781i,0.0071791-0.019915i,0.0090227-0.0203i,0.0070053-0.012756i,0.0015914-0.0073291i,-0.00457-0.0052256i,-0.0061927-0.001212i,-0.0024534+0.0019725i,0.0015378+0.00027896i,0.0012334-0.0021349i,0.00034819-0.0022747i,0.00051676-0.0014572i,-0.0011904-0.00042244i
-0.08305-0.086555i,-0.17247-0.24771i,-0.23872-0.4057i,-0.24031-0.39316i,-0.18321-0.24309i,-0.1041-0.11783i,-0.056329-0.051971i,-0.031715-0.0060232i,-0.0068681+0.017423i,0.0037334+0.016341i,-0.00038293+0.016242i,-0.004211+0.02158i,-0.0057489+0.019481i,-0.0049959+0.011179i,-0.00081856+0.0057534i,0.0042973+0.0039086i,0.0067399+0.0017876i,0.0039813-0.00014692i,-0.00045662+0.00027142i,-0.0023426+0.0018652i,-0.0013767+0.0019475i,-0.00031087+0.00088239i,0.00072877-0.00044327i
0.090996+0.069165i,0.19117+0.21076i,0.26644+0.35872i,0.2603+0.35723i,0.18839+0.22201i,0.10737+0.10246i,0.061995+0.03728i,0.035953-0.0040388i,0.011231-0.021551i,-0.001014-0.017707i,-0.0013723-0.015342i,-0.00031363-0.019783i,0.00097138-0.019019i,0.0010585-0.010961i,-0.0024901-0.0040735i,-0.0072779-0.0015971i,-0.0074835+0.0016698i,-0.0022075+0.0037547i,0.0016968+0.0012053i,0.0016059-0.0013027i,0.0010262-0.0016411i,0.00075952-0.00066682i,-0.0008716+0.00063399i
-0.093199-0.049205i,-0.20319-0.17175i,-0.28534-0.31118i,-0.27335-0.32537i,-0.19168-0.20876i,-0.1056-0.096193i,-0.058727-0.032029i,-0.033159+0.0075907i,-0.010954+0.021743i,-0.0010639+0.016301i,0.0011183+0.014793i,0.0027434+0.018311i,0.0022357+0.01545i,0.00052985+0.0076621i,0.00078273+0.0022029i,0.0042246-0.00029647i,0.0066972-0.0032377i,0.0036353-0.0041844i,-0.00025301-0.0012487i,-0.00050952+0.0019867i,-0.0001558+0.0018251i,-0.0007268+0.00032582i,0.00040926+7.903e-05i
0.090409+0.039357i,0.20497+0.14135i,0.29561+0.26987i,0.28161+0.29006i,0.19067+0.18784i,0.10193+0.084727i,0.057717+0.02345i,0.035341-0.012634i,0.01386-0.023832i,0.0022917-0.016996i,-0.00081357-0.013404i,-0.0043206-0.015415i,-0.0049093-0.012852i,-0.0013407-0.0049631i,8.4814e-05+4.8667e-05i,-0.0022058-0.00016211i,-0.0032658+0.00084499i,-0.0014179+0.0024577i,0.00071029+0.00060102i,0.00092851-0.0023631i,0.00032569-0.002506i,-0.00015275-0.0012656i,-0.0015605+0.00024223i
-0.085565-0.022861i,-0.20295-0.10438i,-0.29664-0.22052i,-0.28153-0.25164i,-0.1864-0.16893i,-0.097317-0.073373i,-0.052767-0.014132i,-0.031141+0.015911i,-0.012806+0.022024i,-0.0037431+0.015184i,-9.9367e-05+0.011767i,0.0036923+0.012709i,0.0043153+0.010232i,0.0007678+0.0035604i,-0.00093842-0.00016199i,0.0012666+0.00044055i,0.0018303+0.00056237i,-0.00092787-0.00053779i,-0.0023401-0.00014645i,-0.00044382+0.0012075i,0.00079068+0.0015616i,0.00088747+0.00043211i,0.0018235-0.00089241i
0.082548+0.012221i,0.19681+0.077912i,0.29634+0.1807i,0.28217+0.21665i,0.18077+0.14697i,0.093658+0.060213i,0.05514+0.0050206i,0.034444-0.023657i,0.01448-0.026195i,0.0036534-0.01569i,-0.0012032-0.0108i,-0.0058519-0.010088i,-0.0053361-0.0066266i,-0.00092673-0.0010532i,0.00056833+0.00082187i,-0.0024997-0.00061333i,-0.0042166-0.00045162i,-0.0022304+0.00051133i,4.8669e-05-0.00049185i,-3.1141e-05-0.0021016i,0.00018959-0.0019508i,0.0011869-0.00048664i,-3.5564e-05+0.00022047i
-0.077446-0.00097013i,-0.18863-0.04745i,-0.28485-0.13875i,-0.27003-0.18317i,-0.1693-0.12854i,-0.080773-0.049823i,-0.041891+6.1924e-05i,-0.026249+0.024041i,-0.01258+0.025683i,-0.002949+0.016171i,0.0019938+0.010621i,0.0062497+0.0077686i,0.0061425+0.0020328i,0.00090958-0.0032045i,-0.0016842-0.0030474i,0.00087259-0.0008058i,0.0035215-0.00052811i,0.0030567-0.00075063i,0.0011003+0.00041858i,0.0002904+0.0014783i,-0.00054059+0.0013123i,-0.0012642+0.00028327i,-0.00039436-0.00036222i
0.060579-0.011928i,0.16947+0.025224i,0.26774+0.1045i,0.25506+0.1523i,0.15859+0.11322i,0.07696+0.041455i,0.041526-0.008643i,0.024815-0.029857i,0.0096252-0.025822i,0.00078232-0.012525i,-0.0024633-0.0051883i,-0.0052489-0.0022291i,-0.004711+0.0015388i,0.00093627+0.0054425i,0.0031697+0.0051177i,-0.00034232+0.0022881i,-0.0010892+0.0020368i,0.0016659+0.002558i,0.0024105+0.00043977i,0.0011172-0.0014284i,0.0005453-0.0013499i,-0.00010612-0.00079767i,-0.00090025+0.00010784i
-0.063008+0.019459i,-0.15989-0.0029642i,-0.25174-0.071413i,-0.24048-0.1232i,-0.14464-0.099171i,-0.06478-0.038981i,-0.032896+0.0070635i,-0.01998+0.027064i,-0.0093314+0.02368i,-0.0019435+0.011143i,0.0022639+0.0048425i,0.004831+0.0016123i,0.0029669-0.0033668i,-0.0037721-0.0059063i,-0.0064108-0.0044725i,-0.0037119-0.0024392i,-0.001222-0.0019092i,-0.00069861-0.0018167i,-0.0010467+0.00064533i,-0.00044959+0.0029568i,9.859e-05+0.0031202i,0.00048309+0.0025291i,0.00079181+0.0011528i
0.049006-0.017367i,0.13911-0.011i,0.22917+0.045733i,0.22365+0.0996i,0.13457+0.081077i,0.05954+0.026135i,0.030417-0.013405i,0.018839-0.0275i,0.0097971-0.021884i,0.0045474-0.009825i,0.00078697-0.0031268i,-0.002902+0.00079771i,-0.0011017+0.0051348i,0.0052801+0.0055356i,0.0074838+0.0028518i,0.00482+0.00065962i,0.0029113-0.00057455i,0.0025603-0.0015316i,0.0017314-0.0015809i,0.00053396-0.0017663i,5.9503e-05-0.0019849i,-0.00025329-0.0017875i,-0.00063852-0.0011326i
-0.041501+0.031224i,-0.12596+0.029176i,-0.21059-0.01927i,-0.206-0.076252i,-0.12409-0.0699i,-0.051925-0.020928i,-0.022482+0.016037i,-0.014369+0.026132i,-0.010283+0.019086i,-0.0068833+0.0095077i,-0.0025236+0.0038048i,0.0017719-0.0019104i,0.000101-0.006505i,-0.0055594-0.0054395i,-0.0065525-0.0023605i,-0.004322-0.0002774i,-0.0033951+0.0012093i,-0.0035723+0.0015612i,-0.0028455+0.0018429i,-0.0015282+0.0019517i,-0.0011035+0.00082249i,-0.00081445-0.00052327i,0.00039643-0.0012409i
0.037331-0.026806i,0.10589-0.031192i,0.18741+0.0079614i,0.18853+0.058994i,0.1112+0.0588i,0.047009+0.018872i,0.023962-0.016515i,0.017346-0.029523i,0.011261-0.023719i,0.0048019-0.011543i,0.00037962-0.0032662i,-0.0011687+0.0031416i,0.0022179+0.0070901i,0.0076972+0.0060368i,0.0081051+0.0028328i,0.0048669+0.00010374i,0.0022808-0.0011776i,0.00098603-0.0014777i,0.00069633-0.0017994i,0.0013382-0.0019986i,0.0017869-0.0018346i,0.00052455-0.0012619i,-0.00037674-0.00048887i
-0.025149+0.027008i,-0.086525+0.040315i,-0.16098+0.01004i,-0.16706-0.041537i,-0.096611-0.047764i,-0.03351-0.014083i,-0.010805+0.016801i,-0.0087434+0.027668i,-0.0080438+0.021287i,-0.0044437+0.00952i,-0.0014321+0.0011596i,-0.0014705-0.0053821i,-0.0048682-0.0090264i,-0.0083023-0.0071674i,-0.0081165-0.0039506i,-0.0059397-0.00087566i,-0.0047097+0.0020228i,-0.0032846+0.0026446i,-0.0015662+0.0021099i,-0.00083817+0.0028221i,-0.00084917+0.0033288i,-0.00051551+0.0024218i,0.00052157+0.0010244i
0.016715-0.026699i,0.070632-0.039371i,0.14053-0.018149i,0.1487+0.027496i,0.087331+0.03687i,0.03222+0.0074404i,0.013037-0.019695i,0.0082979-0.028685i,0.0045149-0.02078i,0.0018258-0.0069294i,0.0011835+0.0027239i,0.0033117+0.006988i,0.0072306+0.0073748i,0.0089028+0.0054979i,0.0086357+0.0031825i,0.0079016+0.0012968i,0.0064357-0.00056673i,0.0050763-0.0011609i,0.0032337-0.0011918i,0.00092492-0.0016203i,-0.00030587-0.0020083i,-0.0012018-0.0023518i,-0.0017761-0.001728i
-0.018129+0.02231i,-0.062372+0.038424i,-0.12278+0.023074i,-0.13177-0.019543i,-0.076659-0.033492i,-0.024763-0.0096039i,-0.0058572+0.01464i,-0.0035407+0.02269i,-0.0041353+0.016351i,-0.0041052+0.0050381i,-0.0036606-0.0026919i,-0.0057215-0.0061692i,-0.0098013-0.0058164i,-0.011485-0.0030826i,-0.010134-0.0014094i,-0.0080097-0.00075017i,-0.0055166+0.00086248i,-0.0031651+0.001428i,-0.0015239+0.0015369i,-0.0013381+0.0025934i,-0.0019129+0.0023602i,-0.00083036+0.001074i,0.0013656+2.9159e-05i
0.0045771-0.019307i,0.044611-0.035146i,0.10183-0.024897i,0.11343+0.014261i,0.06602+0.029489i,0.022526+0.0088362i,0.0070266-0.0139i,0.0039901-0.021443i,0.0047941-0.013862i,0.0057716-0.0020649i,0.0063997+0.0042717i,0.0086504+0.0063465i,0.010729+0.0044894i,0.01072+0.0015275i,0.0089697+0.0012029i,0.0073814+5.397e-06i,0.0061077-0.0018182i,0.0042241-0.0024589i,0.0027035-0.0021413i,0.0017663-0.0016911i,0.00059843-0.0016395i,-0.00083592-0.00059429i,-0.0013144+0.00017488i
-0.0088656+0.02213i,-0.04241+0.038174i,-0.092432+0.029817i,-0.10258-0.0069697i,-0.059893-0.024316i,-0.0194-0.0083549i,-0.0046272+0.012095i,-0.0031159+0.018361i,-0.0062279+0.011555i,-0.0089405+0.0024625i,-0.0084427-0.0014604i,-0.0080848-0.0018601i,-0.0096059-0.001435i,-0.0088151-0.00084929i,-0.0066062-0.00051866i,-0.0063801+0.00048195i,-0.0066229+0.0019371i,-0.0051459+0.0023012i,-0.0032423+0.0019798i,-0.0017929+0.0013156i,-0.0010018+0.0003169i,-0.00023245-0.00019968i,0.0010623-0.0003174i
0.0051482-0.013139i,0.031751-0.030469i,0.074814-0.026006i,0.087572+0.0041037i,0.051699+0.018752i,0.016404+0.0059414i,0.004965-0.011054i,0.0052699-0.018393i,0.0078293-0.014393i,0.0083138-0.0064992i,0.0084921-0.00054078i,0.0099298+0.0015878i,0.0096711+0.00082332i,0.0077572+0.00041816i,0.0067227+0.0011923i,0.0072342+0.00075538i,0.0064697-0.0015067i,0.0042526-0.0028558i,0.0019012-0.0024023i,0.0012388-0.0016853i,0.0014018-0.001695i,0.00043809-0.0010511i,-0.0010434-7.6821e-05i
-0.0017679+0.018833i,-0.023352+0.035684i,-0.059375+0.034617i,-0.071413+0.0041165i,-0.042227-0.014725i,-0.0095128-0.0049461i,0.0039213+0.011273i,0.0016192+0.018693i,-0.004568+0.015442i,-0.0071373+0.0078629i,-0.0079844+0.0015795i,-0.0098339-0.0012287i,-0.0098852-0.0015239i,-0.007831-0.0015455i,-0.0072082-0.0018515i,-0.0075264+0.00036299i,-0.0065561+0.0039622i,-0.004413+0.0051414i,-0.0028567+0.003954i,-0.0025288+0.0025017i,-0.0020836+0.0011525i,-0.0010925+0.00023272i,0.0005972-0.00077423i
0.0013066-0.011135i,0.019026-0.028414i,0.054329-0.030321i,0.067101-0.0066095i,0.039563+0.010189i,0.011158+0.0011401i,0.0011364-0.013287i,0.00044618-0.01893i,0.0015254-0.015065i,0.0037628-0.0067322i,0.007038-0.0018266i,0.0092217-0.0011083i,0.0094258-0.0019775i,0.0076541-0.0020136i,0.0058964+3.5346e-05i,0.005972-0.00024413i,0.0054061-0.0027161i,0.0040534-0.0026452i,0.002226-0.0014957i,0.0015739-0.00064664i,0.0010545+0.0011394i,-0.00092258+0.0020546i,-0.0019458+0.0017578i
0.00052632+0.010917i,-0.014002+0.02578i,-0.041512+0.027598i,-0.05161+0.0062065i,-0.027437-0.010615i,-0.0021077-0.0056672i,0.0067207+0.0051792i,0.0053781+0.011211i,0.00060278+0.010677i,-0.004101+0.0059409i,-0.0073389+0.0029793i,-0.0083559+0.0030638i,-0.0077129+0.0036572i,-0.005778+0.0015663i,-0.0046052-0.0011755i,-0.0046973-0.00035573i,-0.0039423+0.0014164i,-0.0030411+0.0020947i,-0.0023104+0.0017876i,-0.0013967+0.001304i,-0.00063589+0.0010766i,0.00042008+0.00063311i,0.0015447-0.00014572i
-0.0042286-0.012278i,0.0053139-0.023244i,0.029094-0.027275i,0.041219-0.0095069i,0.023236+0.0046734i,0.0028641-0.00020074i,-0.0024775-0.009048i,-0.0018969-0.012552i,0.0012467-0.008803i,0.0045297-0.0034273i,0.0065214-0.0015655i,0.0080801-0.003253i,0.0071667-0.0044236i,0.0035208-0.0021066i,0.0026576+0.00079527i,0.0044202+0.0010639i,0.0044198-0.0010946i,0.0030702-0.0022747i,0.0023038-0.0023229i,0.002474-0.0014324i,0.0018031+0.00025352i,0.00040377+0.00034332i,-0.00060602+0.0010549i
-0.0018492+0.0084145i,-0.0086514+0.021242i,-0.027402+0.025041i,-0.037291+0.0074624i,-0.022865-0.0059187i,-0.0047785-0.0024547i,0.0016831+0.0040398i,-0.00013566+0.0081264i,-0.004191+0.0075267i,-0.0069588+0.0057694i,-0.0070093+0.0060008i,-0.0058782+0.006793i,-0.0037157+0.0064632i,-0.0018166+0.0026908i,-0.0029534-0.0013689i,-0.0046841-0.0013888i,-0.0043864+0.00087491i,-0.0031142+0.0021873i,-0.0019141+0.0025216i,-0.00065413+0.0014796i,-9.7288e-05-0.00019479i,0.00023589-0.00061696i,0.0013371-0.00062138i
-0.0065744-0.0038804i,0.0006356-0.011982i,0.01932-0.015693i,0.029574-0.0046355i,0.017415+0.0058144i,0.0040298+0.00226i,0.00107-0.0062583i,0.0029252-0.011492i,0.0048136-0.011786i,0.0052578-0.0085076i,0.0049615-0.0062796i,0.0042006-0.0069098i,0.0024994-0.0064281i,0.0011483-0.0020619i,0.0023593+0.0019729i,0.0043068+0.0019083i,0.0035043-0.00027529i,0.0022726-0.0014086i,0.0009481-0.0018199i,0.00064464-0.0013381i,0.0013887-6.0512e-05i,0.00088087+0.00033616i,-5.3647e-05+0.00040179i
-0.00056375+0.0033165i,-0.004423+0.010757i,-0.020419+0.015625i,-0.029374+0.005916i,-0.01604-0.003147i,-0.0021233-0.00020002i,0.002352+0.0068209i,0.0019255+0.0098573i,-0.002029+0.0097814i,-0.0044268+0.0097634i,-0.004167+0.0096611i,-0.0024421+0.0091268i,-2.2479e-05+0.007177i,0.00087317+0.0024146i,-0.0011278-0.0010574i,-0.0035171-0.00082207i,-0.0035013+0.00072215i,-0.0025033+0.0022873i,-0.0019729+0.0024763i,-0.0014487+0.0010282i,-0.0012709-1.3768e-05i,-0.00070492+0.00016581i,0.00023525+0.00018467i
