0.0012382-0.00075481i,0.00070466-0.0024314i,-0.00066823-0.0025581i,-0.0016151-0.00077157i,-0.0022359+0.0013621i,-0.0017068+0.0020745i,0.00037846+0.0020161i,0.0017744+0.0018849i,0.0016793+0.00081203i,0.00077338-0.00033892i,7.2018e-05-0.00053001i,-0.00013373-0.00066619i,0.00025706-0.00062588i,0.00018473-0.00030496i,-0.00065534-0.00028854i,-0.00071422+0.0002901i,-0.00010994+0.0005695i,0.00059582+0.0001327i,0.00079839-0.00030423i,0.00074477-0.00068379i,0.0013084-0.00042182i,0.001109-0.0002456i,0.00046247-0.00026204i
-0.091165-0.5055i,-0.060962-0.60831i,-0.030095-0.48737i,-0.090754-0.29959i,-0.12734-0.23305i,0.011251-0.21406i,0.29958-0.076442i,0.52885+0.01202i,0.44614-0.074863i,0.15793-0.10021i,0.00081115-0.021454i,-0.024699+0.0013447i,-0.038998-0.018267i,-0.038745-0.046386i,-0.04156-0.076291i,-0.048349-0.058053i,-0.031047-0.013898i,-0.013225+0.0049191i,-0.01745+0.0044104i,-0.025573+0.017906i,-0.013803+0.051526i,0.019917+0.066709i,0.04399+0.031173i
-0.22978-0.5016i,-0.41297-0.56673i,-0.3863-0.43395i,-0.12755-0.33553i,0.058811-0.33474i,0.051876-0.26511i,-0.043254-0.22143i,-0.17464-0.27771i,-0.24267-0.22312i,-0.16391-0.10658i,-0.10413-0.079328i,-0.1185-0.047721i,-0.084046+0.0091754i,-0.038817+0.019951i,-0.042647+0.022947i,-0.044654+0.038781i,-0.026198+0.03702i,0.0016122+0.02327i,0.029508+0.012611i,0.038711+0.0064505i,0.032216+0.0081598i,0.027345+0.014912i,0.025968+0.0081223i
0.34766+0.064508i,0.5002+0.21951i,0.5106+0.34693i,0.40814+0.30913i,0.33908+0.12558i,0.30839-0.14664i,0.16992-0.31225i,-0.024833-0.18848i,-0.071281-0.012676i,-0.059261+0.0034539i,-0.10971-0.0076593i,-0.12899+0.031728i,-0.088875+0.054516i,-0.054585+0.041082i,-0.047622+0.024673i,-0.039813+0.029845i,-0.01427+0.037998i,0.0029393+0.025873i,0.0076616+0.00097847i,0.0077015-0.016343i,-0.004713-0.010748i,-0.0096527+0.0095821i,0.0010455+0.018873i
0.18785-0.013619i,0.039781-0.20966i,-0.20923-0.32397i,-0.3038-0.21984i,-0.23353-0.11355i,-0.15051-0.15249i,-0.068951-0.20408i,0.052542-0.18373i,0.10913-0.12644i,0.091729-0.053238i,0.093826-0.02471i,0.066521-0.068646i,-0.026378-0.089049i,-0.095657-0.047447i,-0.092705+0.00014508i,-0.057706+0.016726i,-0.032217+0.0085706i,-0.024844+0.0008327i,-0.028512+0.01176i,-0.027328+0.0286i,-0.019345+0.025461i,-0.027692+0.0033728i,-0.050846-0.0082876i
0.059613+0.39451i,0.15424+0.53811i,0.23963+0.47493i,0.23718+0.26215i,0.1985+0.12669i,0.21694+0.12679i,0.22369+0.12065i,0.11975+0.088081i,0.015171+0.079753i,-0.0088477+0.061311i,-0.011279+0.030654i,-0.0057594+0.017337i,0.0085858+0.012797i,0.011991+0.010935i,0.0044837+0.0013924i,-0.00065406-0.014394i,-0.004724-0.016121i,-0.0073338-0.0048385i,0.0047727-0.0040643i,0.017453-0.018591i,0.015854-0.025552i,0.012149-0.013264i,0.013488+0.0020374i
-0.27498+0.051043i,-0.28507+0.028034i,-0.21573+0.003726i,-0.16374+0.052146i,-0.15688+0.10196i,-0.16429+0.056134i,-0.15438-0.016696i,-0.11681-0.026724i,-0.073651-0.0049688i,-0.041468+0.022206i,0.003644+0.06059i,0.054175+0.068399i,0.056764+0.018746i,0.0018774-0.030342i,-0.050578-0.024998i,-0.055228+0.011672i,-0.025165+0.025746i,-0.0022816+0.0026834i,-0.0073087-0.021268i,-0.016758-0.024844i,-0.014341-0.027626i,-0.016281-0.039721i,-0.032826-0.042425i
-0.29807-0.077264i,-0.38361-0.11087i,-0.35661-0.14897i,-0.26824-0.17443i,-0.18021-0.15333i,-0.099114-0.057794i,-0.043068+0.035823i,-0.038626+0.049704i,-0.057658+0.025299i,-0.073411+0.011387i,-0.085488+0.025916i,-0.069375+0.054594i,-0.035841+0.058416i,-0.018132+0.044782i,-0.0106+0.027792i,-0.0043847+0.0065956i,-0.0055295-0.0084453i,-0.011774-0.0017329i,-0.0075586+0.018273i,0.01087+0.027969i,0.025137+0.023684i,0.022686+0.016658i,0.0093437+0.010329i
0.13989-0.24192i,0.29999-0.26569i,0.41359-0.22358i,0.36001-0.16464i,0.22459-0.076835i,0.13336+0.0067486i,0.10651+0.029683i,0.1033-0.00055251i,0.077839-0.044038i,0.034615-0.063369i,-0.0097864-0.054733i,-0.043719-0.028848i,-0.037032-0.0094254i,-0.016331-0.021278i,-0.020863-0.027992i,-0.024885-0.007239i,-0.0075632+0.010878i,0.016853+0.011278i,0.032581+0.0060886i,0.034372+0.0059795i,0.0361+0.011862i,0.045248+0.0095708i,0.040516-0.0076903i
0.076072-0.11054i,-0.043608-0.040596i,-0.14268+0.11514i,-0.11526+0.16648i,-0.10925+0.04318i,-0.18966-0.094479i,-0.23347-0.14553i,-0.192-0.13347i,-0.10572-0.094767i,-0.039271-0.064721i,-0.022927-0.053943i,-0.029058-0.035592i,-0.025665+0.0052265i,-0.0068663+0.032233i,0.0037956+0.021568i,-0.0066784+0.0075786i,-0.017305+0.0052338i,-0.02315-0.0037816i,-0.034163-0.014543i,-0.039774-0.010487i,-0.036659+0.0042936i,-0.034184+0.020022i,-0.024327+0.028846i
0.13732+0.13263i,0.19033+0.13377i,0.17072+0.0495i,0.11104-0.033982i,0.090376-0.032374i,0.096379+0.018311i,0.073165+0.084764i,0.057983+0.13148i,0.064119+0.11288i,0.059005+0.052446i,0.044381+0.0047474i,0.024579-0.021371i,-0.00031955-0.0355i,-0.016438-0.03515i,-0.019184-0.031895i,-0.019176-0.034293i,-0.01822-0.024772i,-0.0068566+0.0055504i,0.014382+0.032769i,0.022943+0.032531i,0.012888+0.01939i,0.0054482+0.011482i,0.004576+0.0033572i
-0.023939+0.25943i,0.024763+0.26053i,0.072914+0.17295i,0.077817+0.11983i,0.054286+0.1283i,0.038019+0.11783i,0.038456+0.063016i,0.036097+0.027012i,0.028247+0.029075i,0.029789+0.039843i,0.045322+0.03507i,0.055815+0.013292i,0.038754-0.0025185i,0.012144+0.0031058i,0.0083011+0.017118i,0.023181+0.01879i,0.025091+0.0048203i,0.0051139-0.014686i,-0.020584-0.026166i,-0.03225-0.026322i,-0.031113-0.021755i,-0.031086-0.011706i,-0.027456+0.010164i
-0.19138+0.10081i,-0.28742+0.1612i,-0.33457+0.1978i,-0.30722+0.15986i,-0.25548+0.04854i,-0.21193-0.040402i,-0.16652-0.067371i,-0.12844-0.068972i,-0.096975-0.048895i,-0.066667-0.018062i,-0.048196+0.015328i,-0.034052+0.047482i,-0.017737+0.056369i,-0.0086568+0.040912i,-0.0084191+0.018644i,-0.011653+0.0098405i,-0.011141+0.010356i,-0.012828+0.0081922i,-0.015613+0.0085214i,-0.0052524+0.0066407i,0.0097731-0.0034154i,0.010022-0.013006i,-0.0052588-0.01634i
-0.12247-0.33048i,-0.17052-0.46743i,-0.14709-0.47675i,-0.068791-0.3798i,0.0088465-0.27322i,0.030705-0.18336i,0.011741-0.093158i,0.0017965-0.031833i,-0.0051722-0.01246i,-0.014904-0.012999i,-0.026296-0.014355i,-0.038302-0.012015i,-0.038012-0.025114i,-0.039435-0.042748i,-0.044801-0.030799i,-0.039047-0.0042564i,-0.022005+0.0068205i,0.0019297+0.0028478i,0.022823-0.0061137i,0.029459-0.0072725i,0.028252-0.0037127i,0.027783-0.015468i,0.017047-0.034867i
0.039807-0.1777i,0.10993-0.14136i,0.20059-0.057779i,0.21223-0.025043i,0.12312-0.018297i,0.020848-0.0054534i,-0.027492-0.0041162i,-0.033066-0.0040221i,-0.020104-0.0041086i,0.00011146-0.0086638i,0.01248-0.024773i,0.0048277-0.03219i,-0.00050656+0.00016281i,0.0099868+0.034331i,0.010299+0.027254i,0.0020521+0.00050805i,0.003286-0.013603i,0.0025662-0.010991i,-0.0052776-0.00085572i,-0.0074613+0.0075863i,-0.0026338+0.019374i,0.0072555+0.036429i,0.021299+0.040291i
0.15162+0.086449i,0.14663+0.13368i,0.079819+0.14987i,0.02975+0.10356i,0.0295+0.013321i,0.056499-0.080468i,0.055475-0.12931i,0.032146-0.10385i,0.021575-0.052455i,0.018689-0.012425i,0.024396+0.010021i,0.026817-0.00090178i,0.0025319-0.022182i,-0.023218-0.022192i,-0.025311-0.0043809i,-0.016683+0.015811i,-0.0056743+0.023981i,0.0069187+0.013966i,0.014244+0.0010723i,0.012817-0.00093796i,0.0041108+0.0019368i,-0.0083773+0.0061608i,-0.015453+0.013875i
0.14128+0.19469i,0.13066+0.11709i,0.034309-0.016683i,-0.0016697-0.041851i,0.085-0.0012235i,0.15158-0.01059i,0.11304-0.046502i,0.038334-0.043753i,-0.0068109-0.008794i,-0.020163+0.015298i,-0.019567+0.024175i,-0.006912+0.020432i,2.0479e-06+0.001923i,-0.007553-0.0097854i,-0.013611-0.013169i,-0.0181-0.018582i,-0.024734-0.011338i,-0.028367+0.0080343i,-0.028601+0.018658i,-0.023672+0.011264i,-0.017982-0.0046958i,-0.018501-0.011437i,-0.015483-0.002259i
-0.025513+0.15297i,0.044774+0.18244i,0.11439+0.16461i,0.082602+0.14997i,-0.024237+0.17169i,-0.072377+0.1915i,-0.04152+0.15096i,-0.023934+0.074575i,-0.034112+0.021033i,-0.038998+0.0025191i,-0.03109-0.00071928i,-0.012204-6.3443e-05i,0.0053735-0.0098805i,0.0039935-0.023504i,-0.0065953-0.019888i,-0.0038374-0.012998i,0.0055283-0.017102i,0.0067815-0.01713i,0.0023572-0.0091236i,-0.0013429-0.0039086i,0.00042754-0.0046665i,0.0021728-0.011623i,-0.0065304-0.016454i
-0.33793-0.10747i,-0.42769-0.041295i,-0.34041+0.043031i,-0.19236+0.018619i,-0.13246-0.06596i,-0.11553-0.080124i,-0.062005-0.046192i,-0.013006-0.042507i,-0.0017622-0.056942i,-0.0079642-0.053769i,-0.006985-0.024065i,0.014164+0.012169i,0.03857+0.026026i,0.041866+0.017475i,0.025584-0.00073407i,0.010871-0.0075314i,0.0081968-0.0061437i,0.0052025-0.017761i,-0.00067787-0.027536i,0.0045918-0.017238i,0.016863-0.0019505i,0.020754+0.0014477i,0.010839-0.0036628i
-0.11846-0.25979i,-0.1469-0.33478i,-0.11782-0.29983i,-0.041399-0.19397i,0.047611-0.11176i,0.071357-0.090429i,0.034646-0.091834i,0.010742-0.075314i,0.01655-0.040293i,0.030468-0.015876i,0.021606-0.0082365i,-0.010399-0.0036994i,-0.038137+0.0002477i,-0.046059+0.0092707i,-0.03114+0.017387i,-0.013591+0.017528i,-0.005468+0.022833i,0.0067971+0.032753i,0.01784+0.028614i,0.015607+0.011714i,0.0075857+0.0023677i,0.0049789+0.0038469i,0.010553+0.0028977i
0.30342-0.030981i,0.42085-0.050532i,0.37892-0.031731i,0.21412+0.029183i,0.077426+0.074723i,0.032806+0.043074i,0.014961-0.017384i,-0.0038373-0.026118i,-0.0035454-0.0032131i,-0.0027454+0.009571i,-0.013396+0.0059483i,-0.015288-0.0041224i,0.001935-0.013417i,0.013246-0.023255i,0.0059912-0.022892i,0.0011262-0.01276i,0.0010282-0.0068374i,-0.0016418-8.851e-05i,-0.003149+0.010857i,-0.004268+0.018722i,-0.0049137+0.022706i,-0.0019434+0.024506i,0.0029719+0.023318i
0.21887+0.22606i,0.20178+0.31874i,0.084647+0.31415i,-0.014952+0.19399i,-0.058661+0.055665i,-0.054122-0.015301i,-0.016104-0.020301i,0.021137-0.0080085i,0.03236-0.0090408i,0.01423-0.016858i,-0.0021511-0.0071066i,0.012245+0.015033i,0.030218+0.023231i,0.021702+0.015463i,0.00085341+0.0095788i,-0.012367+0.0095438i,-0.018075+0.0018702i,-0.024886-0.011303i,-0.031057-0.017022i,-0.030205-0.011384i,-0.028232-0.004182i,-0.033968-0.00012053i,-0.040657+0.010206i
-0.12437+0.12288i,-0.1935+0.099816i,-0.21403+0.021174i,-0.14997-0.0042604i,-0.050956+0.024116i,0.013303+0.04705i,0.043185+0.042725i,0.043548+0.027558i,0.025817+0.029938i,0.021841+0.029324i,0.010896+0.018123i,-0.012975+0.028178i,-0.017908+0.044988i,-0.0043959+0.038803i,0.0063555+0.016911i,0.0077997+0.0022369i,0.0085122+0.0043666i,0.010242+0.0095842i,0.01061+0.0090547i,0.012847-0.0015891i,0.012654-0.021088i,0.0070844-0.037275i,-0.0018867-0.043858i
-0.28404-0.040828i,-0.2637-0.051838i,-0.12536-0.078219i,-0.066429-0.087695i,-0.10652-0.046217i,-0.08784+0.017442i,-0.018866+0.022985i,-0.01003-0.0080698i,-0.044305-0.0038861i,-0.043713+0.020096i,-0.023442+0.0049083i,-0.034935-0.027742i,-0.056899-0.025279i,-0.054598+0.00078397i,-0.037579+0.01312i,-0.023908+0.004932i,-0.019063-0.0044412i,-0.015577-0.0059891i,-0.010879-0.0050698i,-0.0092675-0.00095875i,-0.0046099+0.0053421i,0.0074611+0.0054347i,0.018311-0.0036049i
-0.15277-0.15911i,-0.20456-0.10901i,-0.14955-0.011294i,-0.057915-0.045901i,-0.043686-0.16415i,-0.080059-0.18348i,-0.086039-0.1113i,-0.057555-0.053377i,-0.031434-0.04423i,-0.026497-0.04307i,-0.010457-0.024281i,0.022457-0.018424i,0.030405-0.035609i,0.0082812-0.047238i,-0.0077499-0.038636i,-0.0014148-0.020317i,0.01086-0.013292i,0.016105-0.01842i,0.015785-0.020994i,0.014644-0.013246i,0.014348-0.0018315i,0.013585+0.0071103i,0.014096+0.015973i
0.23243-0.20284i,0.18928-0.33554i,0.037204-0.30138i,0.025411-0.14328i,0.14791-0.088508i,0.14587-0.14194i,0.04801-0.13307i,0.02075-0.065527i,0.050462-0.030831i,0.058913-0.033091i,0.035677-0.018018i,0.024281+0.019406i,0.031871+0.029953i,0.027831+0.015056i,0.013985+0.009347i,0.0026371+0.012483i,-0.00098848+0.013125i,0.0052249+0.010526i,0.010808+0.0061101i,0.006759+0.0030694i,-0.0032765+0.0045691i,-0.011773+0.007875i,-0.017277+0.012264i
0.37974+0.13024i,0.55976+0.047615i,0.4796-0.09023i,0.22044-0.064789i,0.081532+0.077269i,0.1086+0.10913i,0.13059+0.033207i,0.084117-0.0158i,0.027777+0.0044045i,0.0090978+0.043708i,-0.002275+0.051441i,-0.031792+0.047503i,-0.04015+0.049886i,-0.024899+0.037028i,-0.017578+0.01805i,-0.013109+0.010729i,-0.0084973+0.014139i,-0.01155+0.024103i,-0.013108+0.028868i,-0.0073761+0.016831i,-0.0014731-0.0018721i,-0.0024758-0.010514i,-0.0090726-0.011745i
-0.14862+0.38945i,-0.054856+0.61349i,0.11882+0.52808i,0.11969+0.20187i,-0.026378+0.041528i,-0.061319+0.09664i,0.012076+0.1239i,0.030434+0.072201i,-0.015979+0.029895i,-0.050006+0.022234i,-0.047134+0.0047214i,-0.042427-0.034742i,-0.044732-0.051555i,-0.035443-0.040705i,-0.023363-0.030166i,-0.016903-0.025439i,-0.014554-0.023992i,-0.014437-0.022823i,-0.012341-0.0152i,-0.0079978-0.0015861i,-0.0016875+0.0054132i,0.0036767+0.001546i,0.0078571-0.0043185i
-0.51051-0.071531i,-0.75005+0.033975i,-0.62391+0.16699i,-0.24573+0.12556i,-0.033277-0.035599i,-0.056967-0.094884i,-0.087849-0.038018i,-0.049868+0.0068587i,-0.0063697-0.0052464i,0.006702-0.041778i,0.007237-0.05842i,0.024012-0.051169i,0.036859-0.044277i,0.02959-0.037763i,0.022197-0.030968i,0.021617-0.025689i,0.022722-0.020241i,0.019439-0.017722i,0.012299-0.016149i,0.0058443-0.013449i,0.0018544-0.0093587i,0.0014978-0.0065771i,0.0033753-0.0021415i
0.04124-0.45644i,-0.060147-0.69173i,-0.17042-0.58735i,-0.12207-0.24743i,0.024634-0.079327i,0.083368-0.12525i,0.042659-0.14545i,0.013428-0.094412i,0.025136-0.047129i,0.046829-0.024005i,0.051805-0.0064579i,0.043593+0.017464i,0.037308+0.032483i,0.029597+0.029262i,0.020423+0.026427i,0.012973+0.032451i,0.008994+0.035291i,0.0091131+0.031154i,0.011175+0.021909i,0.014345+0.011713i,0.014675+0.0078711i,0.012618+0.0080528i,0.0045491+0.0071381i
0.50179+0.0089595i,0.73608-0.083352i,0.63847-0.17954i,0.31715-0.14908i,0.12519-0.024654i,0.11551+0.046007i,0.11637+0.034162i,0.079941+0.012415i,0.036036+0.014067i,0.0091138+0.04105i,0.0073601+0.06018i,0.0033303+0.052832i,-0.0067086+0.038648i,-0.012735+0.024809i,-0.017921+0.015545i,-0.019331+0.012709i,-0.017146+0.0094209i,-0.016424+0.0041489i,-0.014518+0.0013532i,-0.010358+0.002421i,-0.0087458+0.0034632i,-0.0098108+0.0059981i,-0.011+0.0069921i
0.01833+0.41713i,0.10155+0.62205i,0.17839+0.55864i,0.16135+0.30788i,0.066178+0.15114i,-0.0067768+0.13279i,-0.020896+0.12101i,-0.017529+0.089574i,-0.021714+0.062043i,-0.035332+0.042229i,-0.045798+0.027082i,-0.040938+0.011879i,-0.022712-0.0016557i,-0.0029997-0.0084281i,0.0047492-0.011886i,0.00013947-0.017348i,-0.0058334-0.020467i,-0.007958-0.016922i,-0.0068156-0.0056367i,-0.0034383+0.0091158i,0.00098746+0.014614i,-0.0003818+0.01002i,-0.0038853+0.0040092i
-0.4202+0.017876i,-0.60362+0.085486i,-0.52666+0.15655i,-0.28504+0.1565i,-0.12553+0.075786i,-0.07434+0.0016998i,-0.050401-0.02567i,-0.042318-0.022964i,-0.037467-0.011803i,-0.027187-0.01673i,-0.025686-0.026129i,-0.023097-0.016387i,-0.0076+0.0042543i,0.0055781+0.015288i,0.009008+0.0123i,0.01008+0.0055471i,0.010434+0.00079037i,0.0060018+0.000243i,-0.00029054+0.00070214i,-0.0046751-0.0023252i,-0.006218-0.0059575i,-0.0029442-0.0091358i,0.0036419-0.012046i
-0.06327-0.30395i,-0.098063-0.43382i,-0.11389-0.37886i,-0.093321-0.22895i,-0.028429-0.13975i,0.031379-0.10199i,0.058323-0.067224i,0.055494-0.046321i,0.037452-0.04014i,0.022047-0.034546i,0.013401-0.027387i,0.0012229-0.019245i,-0.015187-0.003619i,-0.022125+0.0073934i,-0.01871+0.0077691i,-0.010783+0.010425i,-0.001486+0.011656i,0.00065393+0.0035834i,-0.0049452-0.0061905i,-0.0093164-0.011336i,-0.0083781-0.0098409i,-0.0038951-0.0036338i,0.00022743+0.0025101i
0.27748-0.018875i,0.383-0.033524i,0.32755-0.037193i,0.20875-0.02709i,0.13816-0.005314i,0.072009+0.015103i,0.015786+0.040042i,0.0063137+0.0514i,0.017155+0.034808i,0.020353+0.014304i,0.020798+0.0019257i,0.01899-0.010574i,0.0041839-0.019028i,-0.012062-0.015372i,-0.014403-0.0061805i,-0.0087766-0.00010299i,0.00020759+0.0033471i,0.011374+0.0025448i,0.016725+0.00025564i,0.012764+0.0015735i,0.0046337+0.0037141i,-0.0040973+0.0036145i,-0.013655+0.0046436i
0.041547+0.1838i,0.018019+0.24671i,-0.020604+0.21238i,-0.02907+0.16345i,-0.016681+0.13594i,-0.018603+0.076661i,-0.05107+0.022336i,-0.076919+0.012444i,-0.068362+0.027205i,-0.036313+0.034177i,-0.0069771+0.027952i,0.0080546+0.01977i,0.012709+0.0093089i,0.0082442+0.00033515i,0.00093682+0.00096543i,-0.0059128+0.0034289i,-0.013479+0.0053731i,-0.014682+0.0078311i,-0.0060368+0.0069153i,0.0048216+0.0042971i,0.0099257+0.0022455i,0.0085274-0.00083048i,0.0038205-0.004445i
-0.14129-0.0069567i,-0.17842-0.044758i,-0.13893-0.097702i,-0.11039-0.097534i,-0.093239-0.040525i,-0.030897-0.0040856i,0.017033-0.024873i,0.0086819-0.051647i,-0.020091-0.04241i,-0.031204-0.011744i,-0.026555+0.012925i,-0.020569+0.026224i,-0.010547+0.028864i,-0.0046081+0.018568i,-0.011273+0.0068528i,-0.015489-0.00034624i,-0.015722-0.0069564i,-0.020563-0.0071758i,-0.023242+5.954e-05i,-0.016286+0.0031685i,-0.0057577+0.00027034i,0.0042375-0.00043267i,0.01445-0.0010974i
-0.0057529-0.079199i,0.070554-0.080586i,0.16071-0.049522i,0.16406-0.050946i,0.096969-0.054048i,0.050066-0.020036i,0.05094+0.0034262i,0.061435-0.00086911i,0.050554-0.020819i,0.015699-0.032541i,-0.017971-0.024309i,-0.032766-0.011439i,-0.031561-0.004215i,-0.019895-0.0050552i,-0.0099149-0.011296i,-0.0012014-0.012069i,0.013546-0.011297i,0.022746-0.0157i,0.016733-0.015159i,0.0041221-0.0080189i,-0.0037231-0.0024851i,-0.0080524+0.0017506i,-0.011409+0.0089757i
0.041886+0.040311i,0.025145+0.14073i,0.0049738+0.24229i,0.028612+0.23027i,0.034802+0.12948i,0.0036407+0.047356i,-0.018187+0.019824i,-0.016745+0.021607i,0.0024772+0.016169i,0.015462-0.0041805i,0.012447-0.022626i,0.00288-0.032636i,-0.008285-0.029548i,-0.0096267-0.013767i,-0.0013521-0.0022924i,0.0049115+0.0053213i,0.0099831+0.014673i,0.013692+0.015259i,0.011672+0.0052892i,0.0038037-0.001186i,-0.0048687+8.0095e-05i,-0.011918-0.0028042i,-0.020574-0.0085i
-0.052217+0.016938i,-0.17618+2.4124e-05i,-0.27727-0.0038659i,-0.24519+0.023543i,-0.1426+0.027248i,-0.068796+0.0059793i,-0.039294-0.0099515i,-0.040221-0.01735i,-0.038848-0.0020402i,-0.012486+0.016209i,0.016581+0.011839i,0.027071-0.0054494i,0.01742-0.017439i,0.00041057-0.015289i,-0.0082558-0.0073494i,-0.01485-0.0016645i,-0.02568+0.006491i,-0.029221+0.015271i,-0.018404+0.015032i,-0.0037398+0.0073761i,0.0054519+0.00082429i,0.012231-0.0026522i,0.016932-0.0071996i
-0.0022048-0.076396i,0.01888-0.20656i,0.012406-0.28804i,-0.010884-0.21967i,-0.0013777-0.10343i,0.0091518-0.034433i,0.0080508-0.0057649i,0.0095982-0.0043911i,-0.0032858-0.004367i,-0.015459+0.011772i,-0.0074926+0.02584i,0.01137+0.025881i,0.023687+0.01142i,0.01832-0.004678i,0.0087249-0.0086775i,0.0019811-0.011758i,-0.0057411-0.018901i,-0.0095584-0.020115i,-0.0053661-0.013842i,0.0023644-0.0075013i,0.0077138-0.0042577i,0.0098611+0.0023997i,0.011455+0.012638i
0.080128+0.0088953i,0.21827+0.014717i,0.28538+0.0061686i,0.19933+0.01156i,0.094982+0.037945i,0.048726+0.029073i,0.020996+0.0012845i,0.010257-0.0025397i,0.0082311-0.0082464i,-0.0086424-0.012029i,-0.02034+0.003133i,-0.014198+0.02245i,0.00015468+0.027655i,0.0086919+0.018001i,0.0077415+0.0095666i,0.011858+0.0042284i,0.022456-0.0049925i,0.025584-0.01241i,0.013313-0.01186i,-0.0023777-0.0056856i,-0.0079654+0.00015071i,-0.010055+0.001029i,-0.016056+0.0018455i
-0.018395+0.104i,-0.0099024+0.24833i,0.016732+0.29375i,-0.0029834+0.1757i,-0.053826+0.065744i,-0.043211+0.025892i,-0.0031357-0.007635i,0.002448-0.023379i,0.003944-0.018197i,0.0027553-0.020141i,-0.01262-0.015266i,-0.02588-0.0017896i,-0.028899+0.0094854i,-0.022233+0.012444i,-0.01564+0.0066944i,-0.0076799+0.0063637i,0.0028393+0.011638i,0.0049881+0.013648i,0.00019589+0.011914i,-0.0049338+0.0077949i,-0.0078581+0.0047313i,-0.0071261-0.0014108i,-0.0074843-0.013749i
-0.10987-0.0024973i,-0.24363+0.039605i,-0.26838+0.07958i,-0.14073+0.038063i,-0.040388-0.038962i,-0.023109-0.042222i,0.00065731-0.0073277i,0.013189-0.0040566i,0.0022446-0.0014048i,8.6758e-05-0.001239i,-0.0072418-0.014677i,-0.02002-0.023679i,-0.025027-0.02392i,-0.021438-0.01745i,-0.014132-0.012458i,-0.014087-0.0064082i,-0.017746+0.0059753i,-0.01615+0.014081i,-0.0068961+0.011355i,0.0033883+0.0025431i,0.0056035-0.0031569i,0.0055103-0.0016948i,0.013486+0.0032462i
-0.0043122-0.12147i,-0.077894-0.23866i,-0.1488-0.22954i,-0.10497-0.070882i,-0.00063822+0.03092i,0.024115+0.024922i,-0.0043861+0.027478i,-0.01077+0.02808i,-0.01782+0.010999i,-0.01647+0.0051537i,0.002615-0.0080666i,0.013963-0.025151i,0.014137-0.026664i,0.0099928-0.016811i,0.0078705-0.0048905i,0.0037923-0.00097728i,-0.0030023-0.0032045i,-0.00095006-0.0047704i,0.0048965-0.0049132i,0.0061213-0.0050514i,0.0048245-0.0068876i,0.00070059-0.0043429i,-0.0049426+0.0067567i
0.11215-0.024501i,0.20589-0.11636i,0.17279-0.19989i,0.0032043-0.14682i,-0.091299-0.01254i,-0.05391+0.028159i,-0.028937-0.0037952i,-0.021917-0.014916i,-0.0063601-0.022493i,-0.0020793-0.020129i,0.01321+0.00038182i,0.034441+0.010649i,0.035052+0.0084802i,0.018235+0.0045738i,0.0015975+0.0046485i,-0.00097619+0.002189i,0.003421-0.0088906i,0.0037122-0.015782i,4.6314e-05-0.012345i,-0.0019761-0.0046167i,0.00086966+0.00031377i,0.0016533-0.0024076i,-0.007169-0.0099497i
0.027601+0.11515i,0.13766+0.19539i,0.24649+0.13854i,0.19614-0.04709i,0.041872-0.13822i,-0.0148-0.094095i,0.01021-0.063586i,0.018052-0.047252i,0.022725-0.025356i,0.016033-0.017782i,-0.0049899+0.0073541i,-0.0061577+0.036933i,0.0026666+0.035018i,0.0023929+0.013282i,-0.0042872-0.0041875i,-0.0051751-0.0062868i,0.00041511-0.0030703i,-0.0034013-0.0011841i,-0.010557+0.001728i,-0.0087292+0.0034346i,-0.0023588+0.0043574i,0.0047212+0.0044513i,0.01212+5.1888e-05i
-0.11635+0.054423i,-0.18278+0.18078i,-0.11391+0.30769i,0.072013+0.26524i,0.15646+0.094249i,0.1089+0.0073034i,0.073296+0.0056922i,0.044853+0.0016104i,0.011684+0.0056691i,0.0012978+0.0039234i,-0.021193-0.0071647i,-0.046368+0.0014281i,-0.039862+0.012962i,-0.016289+0.010082i,-0.00026351+0.0012364i,0.00083379+0.00054088i,0.00031879+0.010787i,0.003507+0.017219i,0.0058074+0.014823i,0.0050558+0.0080949i,-0.00071504+0.001731i,-0.0056799+0.002644i,-0.00080082+0.01203i
-0.073511-0.10675i,-0.21812-0.16251i,-0.3643-0.082504i,-0.33625+0.10463i,-0.16538+0.18709i,-0.049901+0.14232i,-0.013913+0.098261i,0.0031287+0.052703i,-0.001021+0.0085892i,-0.0023408-0.0050077i,0.0024299-0.024058i,-0.011286-0.044906i,-0.024809-0.036791i,-0.021299-0.013822i,-0.0095181-0.00097002i,-0.0056009-0.00016409i,-0.0073975+0.0015102i,-0.0015378+0.0025911i,0.0065093-0.00092368i,0.0076772-0.0032909i,0.0032423-0.0034867i,-0.0057787-0.0043946i,-0.018577-0.0020223i
0.09414-0.08193i,0.13926-0.23393i,0.057472-0.39363i,-0.1249-0.38004i,-0.2104-0.2068i,-0.16932-0.064374i,-0.11257-0.004098i,-0.049881+0.015335i,0.0026453+0.0023863i,0.013745-0.010017i,0.024312-0.0099591i,0.041284-0.021985i,0.034787-0.034079i,0.011579-0.029297i,-0.0044979-0.015962i,-0.0065028-0.010137i,-0.0072177-0.014319i,-0.010516-0.01636i,-0.01032-0.0124i,-0.0053692-0.0065016i,0.0027293-0.0022586i,0.0087496-0.0053086i,0.0040201-0.015752i
