-0.0035667-0.00099943i,-0.003515-0.0001319i,-0.0039776+0.00092942i,-0.0039898+0.0015702i,-0.0024414+0.0022023i,-0.0010714+0.0023477i,5.7967e-05+0.0019193i,0.0012806+0.001412i,0.0018273+0.00042554i,0.0011531-0.00038146i,0.00018471-2.4652e-05i,-6.6883e-06+0.00010916i,0.00054692-0.00027222i,0.00058644+3.7232e-06i,0.00014823-2.6355e-05i,7.3442e-05-0.00023215i,-0.00039461+0.00035939i,-0.00084517+0.00036269i,-0.00027285+0.00020679i,-0.00048798+0.00057001i,-0.00089688+0.0012768i,-0.0009248+0.00022193i,-0.00051051-0.00041017i
-0.089331-0.025777i,-0.13807-0.01515i,-0.12265+0.023569i,-0.023163+0.036802i,0.073276+0.0093939i,0.092569-0.0016754i,0.077402+0.0059476i,0.055203-0.00023856i,0.029121-0.0086i,0.012676-0.0063382i,0.0040912-0.00032798i,-0.00081562+0.0075383i,0.0013557+0.01282i,0.0066055+0.011218i,0.0095884+0.0052438i,0.010337-0.0023946i,0.0062826-0.0070194i,-3.5899e-05-0.0046652i,0.00034028+0.0010371i,0.003598+0.0037453i,-0.0020713+0.0034033i,-0.013699+0.0025373i,-0.018502+0.0028491i
0.034197-0.04214i,0.0086717-0.090688i,-0.043315-0.11537i,-0.074268-0.063184i,-0.050266+0.0031619i,-0.008833-0.0041067i,-0.0064992-0.026525i,-0.0089433-0.011945i,0.0024193+0.0018529i,2.0213e-05-0.00085593i,-0.010126-0.0010848i,-0.013527+0.0047392i,-0.012537+0.012605i,-0.0090244+0.014663i,-0.0052157+0.0080048i,-0.0024237+0.0015532i,0.0012515-0.0011417i,0.0044717-0.0028795i,0.0032635-0.0051436i,0.0026994-0.0074189i,0.0051687-0.0079102i,0.0044986-0.005962i,0.00031917-0.001672i
0.0057299+0.087381i,0.068172+0.11236i,0.13921+0.070856i,0.11882-0.021203i,0.021092-0.084658i,-0.041274-0.078213i,-0.043782-0.050614i,-0.035872-0.025581i,-0.028435-0.0059886i,-0.016958+0.0012374i,-0.0050849+0.00085819i,0.0047299-0.0039026i,0.0088864-0.012i,0.0062449-0.018624i,-0.0023565-0.017486i,-0.0128-0.0085748i,-0.016935+0.00049231i,-0.012851+0.0049139i,-0.0071425+0.0050498i,-0.0052052+0.0039115i,-0.0026395+0.0051839i,0.0040449+0.0054673i,0.0093761+0.002849i
-0.019388-0.020056i,-0.057341+0.051031i,-0.064884+0.15387i,-0.010594+0.18286i,0.033885+0.13193i,0.012315+0.079775i,-0.010059+0.063996i,0.00038781+0.041112i,0.0051865+0.011598i,0.0029605+0.0079002i,0.0065291+0.015676i,0.010475+0.017894i,0.015298+0.01557i,0.017631+0.010748i,0.014233+0.005409i,0.013798+0.00016569i,0.015928-0.0048045i,0.014509-0.0073687i,0.012382-0.0048115i,0.0096858+0.0015238i,0.0039997+0.0076398i,-0.0013115+0.011187i,-0.0029997+0.011863i
0.065878-0.027637i,0.044441-0.10477i,-0.056478-0.1769i,-0.13331-0.13397i,-0.10637-0.017236i,-0.038432+0.049127i,-0.0064801+0.050537i,0.0030378+0.040851i,0.01067+0.031606i,0.0083908+0.019179i,-0.00056568+0.0052655i,-0.0085095-0.0052323i,-0.013612-0.0051859i,-0.014819+0.0026777i,-0.0097693+0.013389i,0.0013793+0.018393i,0.010418+0.011879i,0.0092478+0.00014992i,0.00031048-0.0098638i,-0.0039831-0.015465i,0.0010942-0.017743i,0.0054561-0.018033i,0.0055475-0.01499i
-0.024644-0.017599i,0.051605-0.0308i,0.18572-0.071581i,0.22302-0.12733i,0.14767-0.13525i,0.085386-0.086182i,0.065826-0.045839i,0.041132-0.030365i,0.013202-0.01502i,0.0041941-0.0099085i,0.0029725-0.016366i,-0.0013498-0.021716i,-0.0072043-0.024034i,-0.0083019-0.023705i,-0.0057367-0.020699i,-0.0077001-0.015903i,-0.014465-0.010305i,-0.019761-0.0032421i,-0.01909+0.00619i,-0.015924+0.011268i,-0.013689+0.00774i,-0.012145+0.00016939i,-0.010628-0.0051627i
-0.015167-0.041453i,-0.043469+0.022877i,-0.071112+0.1702i,-0.036606+0.23238i,0.017854+0.13107i,0.018755+0.018576i,0.0046347-0.0075427i,0.010625-0.0040064i,0.016184-0.0086315i,0.014233-0.003843i,0.010959+0.011384i,0.0096462+0.024581i,0.013442+0.028355i,0.015872+0.021584i,0.014921+0.0038677i,0.01171-0.0157i,0.0079823-0.021921i,0.0064899-0.011949i,0.0082101+0.0022548i,0.0088257+0.012302i,0.0038589+0.018342i,-0.0010481+0.020453i,-0.0026783+0.017826i
-0.035024+0.059445i,-0.11204+0.026462i,-0.20481-0.08086i,-0.24485-0.12245i,-0.20715-0.058417i,-0.13847-0.0091678i,-0.091759+0.00027123i,-0.059589+0.0064034i,-0.033955+0.010749i,-0.025838+0.0084582i,-0.025378+0.0058172i,-0.021406+0.0057201i,-0.015855+0.0082768i,-0.011829+0.0083905i,-0.011641+0.0092296i,-0.010154+0.016228i,-0.0036798+0.017565i,0.0039986+0.006756i,0.0078741-0.0084178i,0.0089655-0.018764i,0.011552-0.020028i,0.012474-0.016015i,0.011904-0.011264i
-0.040047-0.0060448i,0.036622-0.050994i,0.17429-0.087331i,0.21657-0.097865i,0.12516-0.061508i,0.040561+0.0063282i,0.017353+0.025591i,0.0065202+0.0084776i,-0.0057829-0.0012327i,-0.0041284-0.0063004i,0.0053949-0.015063i,0.0094793-0.021057i,0.0063622-0.021688i,0.0029392-0.018985i,0.00046401-0.010742i,-0.0024324+0.0013138i,-0.0038081+0.0074411i,-0.0043625+0.006818i,-0.0066682+0.0091951i,-0.0092255+0.011836i,-0.0108+0.0084996i,-0.011881+0.0039918i,-0.011799+0.0017056i
0.11944+0.0083796i,0.15096+0.10766i,0.10302+0.22086i,0.055969+0.24147i,0.063328+0.17421i,0.065823+0.10295i,0.055708+0.070732i,0.049757+0.04843i,0.039939+0.030609i,0.029572+0.029812i,0.025654+0.033218i,0.023606+0.028342i,0.018921+0.021858i,0.013029+0.019443i,0.0093527+0.013341i,0.008564-0.0009347i,0.0077355-0.011189i,0.0053114-0.0094791i,0.0032117-0.0038924i,0.0032085+0.0024943i,0.0035853+0.0076552i,0.0054084+0.0076224i,0.0058278+0.0059486i
-0.017622+0.065733i,-0.10667+0.02755i,-0.18342-0.055635i,-0.17193-0.088789i,-0.088495-0.072332i,-0.0093664-0.064791i,0.0088856-0.048888i,0.0022046-0.013272i,-0.00029213+0.0049294i,-0.011293+0.00083726i,-0.025736-0.0082183i,-0.028155-0.01162i,-0.019733-0.011486i,-0.011938-0.013357i,-0.0054531-0.011565i,0.0016784-0.0056146i,0.0035358-0.0041638i,8.1895e-05-0.010264i,-0.0027277-0.019113i,-0.0004482-0.025827i,0.0032311-0.026001i,0.003-0.020224i,0.0029998-0.013271i
-0.055676-0.17621i,-0.01022-0.25458i,0.073408-0.2375i,0.1024-0.16069i,0.066943-0.10535i,0.016768-0.075098i,-0.0090713-0.052628i,-0.012004-0.040273i,-0.0051651-0.033266i,0.0053488-0.02835i,0.0097866-0.022982i,0.0027311-0.015021i,-0.0025429-0.0062238i,0.0043149-0.0030772i,0.012026-0.0071803i,0.013032-0.0086049i,0.012453-0.0044613i,0.0066999+0.0041915i,-0.0056475+0.01766i,-0.016547+0.027189i,-0.020544+0.026312i,-0.018425+0.022016i,-0.014296+0.018313i
0.11823+0.022045i,0.14915+0.095749i,0.11544+0.14738i,0.051816+0.11946i,-0.020706+0.07114i,-0.068578+0.049351i,-0.057534+0.035259i,-0.022293+0.01899i,-0.0054456+0.012893i,0.0020209+0.02475i,0.011714+0.036459i,0.017731+0.036813i,0.013502+0.031156i,0.00058498+0.026699i,-0.013439+0.020451i,-0.024576+0.0093714i,-0.025755+0.0043131i,-0.013252+0.0064122i,0.0046456+0.0086328i,0.016148+0.0096872i,0.018168+0.0086457i,0.0161+0.0032875i,0.014063-0.0045162i
-0.18025+0.12307i,-0.26728+0.15935i,-0.23118+0.11776i,-0.11676+0.047375i,-0.043116+0.0064825i,-0.023153+0.021671i,-0.0056189+0.051095i,0.0083594+0.043323i,-0.00011207+0.018608i,-0.017465+0.00082552i,-0.022551-0.011675i,-0.018605-0.021026i,-0.016358-0.0271i,-0.014516-0.026542i,-0.010002-0.016046i,-0.0026741-0.0013607i,0.0028033+0.0018382i,0.0056201-0.0094656i,0.007932-0.025662i,0.0097648-0.036626i,0.0091826-0.035009i,0.0053328-0.026081i,0.0017246-0.017051i
0.00027393-0.167i,0.031379-0.24346i,0.031864-0.20674i,0.009898-0.085028i,0.031058+0.01858i,0.068954+0.047119i,0.058518+0.035445i,0.029691+0.029955i,0.023255+0.021951i,0.026487+0.0043203i,0.01942-0.0078426i,0.0093824-0.0055288i,0.010576+0.0027677i,0.018854+0.0050363i,0.02746+0.0019034i,0.035181-0.0033316i,0.03408-0.007606i,0.015401-0.0063552i,-0.011504+0.0043159i,-0.029311+0.017837i,-0.031461+0.02407i,-0.023444+0.023541i,-0.017128+0.020398i
0.19998+0.1527i,0.28514+0.20102i,0.24922+0.12675i,0.11876+0.014065i,0.0098816-0.022277i,-0.010772-0.0197i,0.0030207-0.035526i,-0.0041952-0.038944i,-0.013835-0.012157i,-0.010693+0.014943i,-0.0037524+0.027i,0.00083207+0.02966i,0.0020469+0.03066i,-0.00024744+0.027284i,-0.011033+0.01571i,-0.023958+0.0050195i,-0.028833+0.0019715i,-0.021104+0.0032407i,-0.004518+0.0049512i,0.0084332+0.0068107i,0.013201+0.0074863i,0.011276+0.0024445i,0.0067743-0.0059406i
-0.20576+0.038544i,-0.28424+0.056016i,-0.21494+0.084785i,-0.057824+0.065719i,0.024886-0.015931i,0.0096762-0.067314i,-0.0016872-0.053701i,0.011884-0.034371i,0.0072349-0.032614i,-0.0095506-0.025824i,-0.016853-0.017968i,-0.018424-0.021713i,-0.020326-0.031093i,-0.018258-0.031258i,-0.0069976-0.020281i,0.0055743-0.0070128i,0.011057+0.001473i,0.011053+0.0019814i,0.011267-0.0047723i,0.013413-0.014855i,0.011578-0.021049i,0.0061289-0.015492i,0.004021-0.0033642i
0.1146-0.25745i,0.10575-0.34771i,0.012334-0.2772i,-0.041979-0.10373i,-0.0090397+0.01703i,0.002903+0.043289i,-0.024005+0.054854i,-0.015182+0.065732i,0.01669+0.048769i,0.027414+0.026276i,0.025797+0.019602i,0.02367+0.018385i,0.021908+0.014165i,0.01844+0.0080329i,0.012815+0.0010281i,0.010837-0.0089941i,0.011012-0.016736i,0.0024995-0.011087i,-0.013374+0.0054611i,-0.022114+0.021015i,-0.018099+0.025881i,-0.0083331+0.020183i,-0.0016905+0.013236i
0.091621+0.22584i,0.15721+0.28316i,0.18221+0.18699i,0.097931+0.045805i,-0.02345+0.0046702i,-0.062449+0.032655i,-0.045541+0.037414i,-0.038044+0.028029i,-0.031045+0.028251i,-0.010634+0.023177i,0.006946+0.01167i,0.013406+0.009712i,0.013116+0.015859i,0.0074456+0.016034i,-0.0056316+0.011067i,-0.022045+0.0092353i,-0.029636+0.0086164i,-0.017735+0.0044629i,0.0066737-0.00099926i,0.021257-0.0053862i,0.018465-0.0079451i,0.0093912-0.0096639i,0.0038936-0.01314i
-0.28143-0.079246i,-0.36677-0.027928i,-0.26945+0.065383i,-0.093561+0.057293i,-0.0024359-0.027211i,0.016896-0.04906i,0.043935-0.024773i,0.050963-0.032201i,0.020692-0.045145i,-0.0083251-0.037693i,-0.022385-0.030575i,-0.030456-0.031395i,-0.031499-0.028613i,-0.017492-0.017804i,0.0063763-0.0049732i,0.027009+0.0065329i,0.036237+0.012519i,0.032235+0.0055196i,0.020877-0.012732i,0.0063516-0.027504i,-0.0060575-0.02683i,-0.0087643-0.014137i,-0.0058651-0.0022746i
0.21828-0.13955i,0.24616-0.23999i,0.13209-0.25449i,0.035704-0.12909i,0.04643+0.0061474i,0.061048+0.036807i,0.042143+0.023138i,0.037881+0.02088i,0.037091+0.014737i,0.019745+0.0091185i,0.0025835+0.012762i,0.0018438+0.018425i,0.010528+0.018462i,0.010636+0.0079895i,0.0018465-0.0085103i,-0.0052639-0.02544i,-0.0086533-0.035955i,-0.018342-0.030949i,-0.034325-0.010695i,-0.036619+0.016143i,-0.022402+0.030461i,-0.0088276+0.022201i,-0.0042675+0.0074083i
-0.039517+0.2804i,0.039162+0.35262i,0.14002+0.25765i,0.11086+0.11099i,-0.0012242+0.049i,-0.046542+0.031022i,-0.044862+0.0052111i,-0.045678+0.0048429i,-0.030815+0.023094i,-0.004969+0.029392i,0.014676+0.026519i,0.020924+0.017934i,0.014647+0.0072024i,0.0048692+0.0022233i,-0.007672+0.0066119i,-0.020469+0.016355i,-0.024424+0.022782i,-0.012313+0.022864i,0.0059001+0.020711i,0.016742+0.015645i,0.022462+0.0053276i,0.019673-0.0017432i,0.010797-0.0016864i
-0.14907-0.18048i,-0.24983-0.15906i,-0.26753-0.033614i,-0.15426+0.018519i,-0.031003-0.037644i,-0.00136-0.056037i,-0.010711-0.021762i,-0.011106-0.0090688i,-0.013075-0.012634i,-0.016101-0.0081126i,-0.019033-0.0046135i,-0.022632-0.0083436i,-0.022592-0.010036i,-0.013904-0.0013064i,0.006191+0.010928i,0.029512+0.016539i,0.041163+0.013839i,0.034401+0.0071684i,0.02208-0.0023401i,0.011453-0.012888i,-0.0037151-0.017094i,-0.012438-0.01034i,-0.0085142+0.001929i
0.24694+0.0048142i,0.2759-0.087714i,0.18433-0.17752i,0.08212-0.13611i,0.042357-0.019591i,0.032953+0.034929i,0.023088+0.041877i,0.021681+0.035658i,0.021748+0.014426i,0.018179-0.0067821i,0.016923-0.013214i,0.015482+9.6824e-05i,0.01694+0.01365i,0.017176+0.0038324i,0.0050456-0.021136i,-0.011765-0.043802i,-0.02141-0.05411i,-0.02572-0.047877i,-0.027661-0.029346i,-0.022435-0.0080006i,-0.012528+0.0058132i,-0.0086055+0.0049027i,-0.00917-0.0049506i
-0.10765+0.09405i,-0.027198+0.14739i,0.084338+0.1548i,0.07465+0.085406i,-0.0098748+0.013928i,-0.032867+0.00024516i,-0.00016279+0.0018185i,0.017722+0.00050478i,0.012189+0.0051497i,0.0081597+0.012305i,0.01184+0.0084339i,0.011065-0.0062568i,0.0014172-0.013045i,-0.0042011-0.00203i,-0.00081238+0.015877i,0.00086429+0.030923i,0.00033647+0.037682i,0.0050548+0.033718i,0.011448+0.025202i,0.013498+0.015352i,0.01483+0.0039446i,0.017279-0.00031214i,0.017199+0.0029818i
-0.0018343-0.16922i,-0.090868-0.13772i,-0.14397-0.046872i,-0.068045-0.008496i,0.031062-0.02343i,0.043236-0.034373i,0.021049-0.020378i,0.01338-0.00374i,0.003329+0.0053641i,-0.020457+0.010517i,-0.039303+0.012443i,-0.038674+0.0082475i,-0.026786+0.002624i,-0.01346+0.003321i,0.0021622+0.004591i,0.019014-0.00071576i,0.027505-0.0029732i,0.02408-0.001584i,0.01585-0.0035983i,0.0035055-0.0013202i,-0.010187+0.0080334i,-0.014499+0.014176i,-0.0092701+0.012233i
-0.034714+0.073999i,-0.058458-0.026409i,-0.05312-0.088157i,-0.047342-0.012253i,-0.044807+0.064528i,-0.041574+0.053791i,-0.052771+0.022664i,-0.048016+0.016915i,-0.018467+0.015008i,0.010158+0.0069158i,0.022408+0.0071675i,0.026827+0.018867i,0.033143+0.020905i,0.025409-0.00095278i,-0.0051809-0.027547i,-0.036402-0.037421i,-0.046678-0.036158i,-0.043121-0.028424i,-0.036298-0.017484i,-0.020574-0.011049i,0.00015421-0.0080821i,0.0070028-0.0091325i,-0.0032607-0.010312i
-0.04079-0.049077i,0.033741+0.010807i,0.073304+0.02745i,0.0072882-0.052633i,-0.070183-0.098689i,-0.076175-0.047447i,-0.032688+0.001308i,-0.002194-0.0029917i,0.0037079-0.011103i,0.010752-8.6255e-05i,0.018401+0.0036381i,0.0083661-0.008175i,-0.0092072-0.01026i,-0.0097559+0.0070371i,0.0068751+0.030125i,0.024556+0.046558i,0.031668+0.047573i,0.027525+0.032986i,0.018278+0.019567i,0.0095166+0.011113i,0.0072255-0.002427i,0.010606-0.010305i,0.015503-0.0067536i
0.11492+0.21315i,0.063241+0.30998i,0.058032+0.259i,0.14882+0.1345i,0.17561+0.067919i,0.11785+0.064262i,0.082106+0.072227i,0.069686+0.056077i,0.036758+0.021382i,-0.0030309-0.00079905i,-0.019547-0.006827i,-0.015817-0.0077778i,-0.0085802-0.0064048i,0.0013765-0.0063805i,0.017094-0.013237i,0.033976-0.027018i,0.041755-0.035132i,0.039323-0.028619i,0.032564-0.015948i,0.015929-0.0022167i,-0.0094828+0.012221i,-0.024817+0.019541i,-0.023129+0.013783i
-0.14514-0.10684i,-0.12909-0.20005i,-0.10122-0.13916i,-0.10794+0.035902i,-0.073793+0.11893i,-0.013445+0.075416i,0.0037752+0.020828i,-0.0033246+0.013642i,0.0015873+0.022035i,0.016022+0.013987i,0.022896+0.0036207i,0.025141+0.0037322i,0.024899+0.00032951i,0.007155-0.013012i,-0.026169-0.024022i,-0.055507-0.02344i,-0.066916-0.015719i,-0.060777-0.0076568i,-0.043931-0.0051196i,-0.021266-0.009328i,0.0016393-0.011336i,0.011066-0.0086127i,0.0030292-0.0018768i
0.36599-0.22898i,0.47429-0.27197i,0.33269-0.28343i,0.1014-0.28838i,0.0085887-0.23417i,0.019687-0.16065i,0.015247-0.11841i,-0.0061251-0.081615i,-0.013048-0.039484i,-0.014134-0.007602i,-0.020388-0.00014422i,-0.029751-0.0076305i,-0.034761-0.0037098i,-0.025817+0.015577i,-0.0027459+0.035673i,0.018027+0.042331i,0.022288+0.032946i,0.0094992+0.014455i,-0.0087774+0.0073241i,-0.016132+0.015233i,-0.009464+0.017162i,0.0022087+0.010192i,0.011292+0.0033326i
-0.25189+0.29878i,-0.35414+0.3384i,-0.2091+0.26986i,0.032426+0.16763i,0.088592+0.061548i,0.0022806+0.01631i,-0.043522+0.033655i,-0.022981+0.033473i,-0.0085974+0.0076968i,-0.016056-0.0050109i,-0.018868+0.0037265i,-0.011317+0.01723i,0.0037151+0.020361i,0.023504+0.0089474i,0.03299-0.013746i,0.028956-0.030028i,0.025189-0.029185i,0.02928-0.017101i,0.037033-0.0087032i,0.032745-0.0081394i,0.012439-0.0045034i,-0.0062433+0.0014832i,-0.012016+0.0020931i
-0.31819-0.40407i,-0.42538-0.44683i,-0.41082-0.24389i,-0.30938-0.029842i,-0.20883+0.024128i,-0.14824+0.020335i,-0.090853+0.041481i,-0.039492+0.049196i,-0.0091754+0.036864i,0.011263+0.030336i,0.024892+0.025855i,0.026883+0.016341i,0.018172+0.0027392i,-0.0018771-0.0085177i,-0.026137-0.0066266i,-0.037334+0.005453i,-0.033465+0.01529i,-0.026812+0.017725i,-0.01993+0.011491i,-0.007378-0.0015209i,0.0099104-0.013767i,0.020281-0.017013i,0.01819-0.010299i
0.48654+0.34985i,0.60089+0.42786i,0.4948+0.24768i,0.30356+0.016412i,0.17049-0.019715i,0.11851+0.035008i,0.095543+0.044016i,0.067809+0.028102i,0.03169+0.02051i,0.005552+0.021829i,0.00051208+0.012466i,-0.0016398-0.0089535i,-0.012056-0.014583i,-0.0095642+0.0020912i,0.016884+0.018107i,0.048218+0.01342i,0.057417-0.0057516i,0.036014-0.020367i,-4.2151e-05-0.013896i,-0.026613+0.009661i,-0.032707+0.025784i,-0.026044+0.023474i,-0.016038+0.012494i
-0.35008+0.25888i,-0.31891+0.35715i,-0.12503+0.33929i,-0.020307+0.25055i,-0.028587+0.18168i,-0.012236+0.12817i,0.012703+0.063496i,0.0045958+0.030453i,0.0043866+0.017477i,0.01051-0.0063295i,0.0085013-0.014387i,0.0092701+0.0016489i,0.018519+0.012794i,0.024135-0.0022663i,0.010723-0.026306i,-0.014772-0.035236i,-0.028219-0.025717i,-0.013176-0.0079878i,0.019935-0.00097481i,0.036017-0.011405i,0.023925-0.021166i,0.0056257-0.01691i,-0.0072492-0.0082096i
0.34486-0.61061i,0.35654-0.79864i,0.15279-0.67665i,-0.032312-0.42549i,-0.045526-0.26945i,-0.021779-0.19029i,-0.027525-0.12015i,-0.018413-0.073534i,-0.0019107-0.041096i,0.0094533-0.01644i,0.0023503-0.013531i,-0.016613-0.014765i,-0.02696-0.0086569i,-0.034979-0.0026278i,-0.043569+0.0015798i,-0.04755+0.0042098i,-0.045393+0.0029031i,-0.040938-0.0031718i,-0.033478-0.0066534i,-0.015794-0.0015242i,0.0058996+0.0040707i,0.019564+0.0016471i,0.024258-0.00035111i
0.057328+0.31899i,0.074001+0.29104i,0.10798+0.14445i,0.17449+0.081636i,0.19707+0.074168i,0.12939+0.04506i,0.062151+0.040499i,0.051471+0.033068i,0.027692+0.0037077i,-0.016606+0.006547i,-0.024182+0.023354i,-0.0099292+0.018842i,0.0009889+0.012723i,0.018293+0.019403i,0.044049+0.027395i,0.066477+0.023088i,0.071114+0.0069109i,0.049942-0.010566i,0.0086443-0.016644i,-0.026487-0.0045078i,-0.035829+0.013942i,-0.029357+0.0232i,-0.019705+0.019505i
-0.54338-0.24468i,-0.73131-0.17091i,-0.62225+0.043508i,-0.3841+0.15251i,-0.24065+0.10906i,-0.16156+0.062457i,-0.094629+0.057063i,-0.056319+0.064114i,-0.021938+0.055254i,0.0086012+0.025162i,0.022327+0.0083422i,0.034017+0.0062534i,0.037813-0.0013933i,0.028621-0.011247i,0.013029-0.013631i,-0.0015545-7.2511e-05i,-0.0067258+0.023495i,0.0014588+0.042584i,0.020583+0.043343i,0.034301+0.017565i,0.027889-0.01627i,0.010108-0.030952i,-0.0032778-0.024229i
0.38143+0.16284i,0.45574+0.21787i,0.35954+0.10924i,0.2129-0.092815i,0.095907-0.17165i,0.033952-0.10778i,0.023889-0.059156i,0.0059077-0.053236i,-0.010365-0.023351i,-0.0002329+0.0016325i,-0.0023467-0.0073918i,-0.020365-0.017799i,-0.03273-0.017278i,-0.037426-0.020228i,-0.036152-0.030437i,-0.030304-0.044388i,-0.02569-0.053625i,-0.025591-0.05241i,-0.02569-0.035452i,-0.01905-0.0051987i,-0.0046004+0.019641i,0.0085871+0.021549i,0.011568+0.0088784i
-0.16941+0.27755i,-0.064457+0.3743i,0.10486+0.32596i,0.14224+0.22971i,0.069356+0.17757i,0.016412+0.12574i,0.0053046+0.072067i,0.020504+0.0362i,0.01664-0.0034265i,-0.015954-0.013696i,-0.026944+0.0061269i,-0.019868+0.016708i,-0.010414+0.019356i,0.0038748+0.018704i,0.013188+0.012916i,0.012695+0.0013179i,0.0090124-0.013799i,0.0066144-0.02331i,0.0022794-0.024348i,-0.005344-0.021562i,-0.0087397-0.013811i,-0.0075244-6.7711e-05i,-0.0066762+0.0094959i
0.28148-0.41512i,0.30399-0.62459i,0.13313-0.5954i,-0.061999-0.37337i,-0.098758-0.16573i,-0.058328-0.057732i,-0.043179+0.0033582i,-0.022267+0.041909i,0.0085795+0.044218i,0.023998+0.026252i,0.029176+0.0082203i,0.024908-0.0038865i,0.011161-0.0032231i,-0.0010043+0.008579i,-0.0040559+0.025613i,0.00099269+0.043433i,0.0047756+0.054223i,0.0012199+0.057249i,0.0018496+0.055342i,0.0093606+0.042311i,0.0077399+0.014772i,-0.0035909-0.006235i,-0.0068339-0.0061958i
-0.055859+0.18625i,-0.072482+0.17845i,-0.016648+0.11494i,0.098282+0.080693i,0.16553+0.070191i,0.14264+0.059303i,0.10045+0.050001i,0.061645+0.02835i,0.015896+0.022852i,-0.0080128+0.040466i,-0.010868+0.040669i,-0.0051106+0.027653i,0.0087651+0.016923i,0.015845+0.0034472i,0.014537-0.015648i,0.010579-0.033361i,0.0046757-0.03851i,4.7683e-05-0.037514i,-0.0050868-0.03843i,-0.01193-0.027636i,-0.010788+4.9237e-05i,0.0012245+0.01747i,0.0080961+0.011874i
-0.27421-0.27538i,-0.49474-0.20257i,-0.52924+0.02415i,-0.36469+0.14833i,-0.1956+0.088267i,-0.10152+0.007739i,-0.045649-0.013561i,-0.018729-0.014897i,-0.0032659-0.01557i,0.013683-0.019322i,0.018073-0.010683i,0.01385+0.0060135i,0.014472+0.0081667i,0.016093+0.0054842i,0.0066918+0.011886i,-0.0058779+0.023247i,-0.0036973+0.029554i,0.010969+0.026537i,0.024259+0.01433i,0.029861-0.0059144i,0.028146-0.024002i,0.020498-0.031278i,0.0096354-0.027498i
0.24607+0.33141i,0.39986+0.36328i,0.4272+0.16029i,0.29458-0.10474i,0.12447-0.19945i,0.030864-0.15348i,0.0013696-0.10584i,-0.011508-0.060956i,0.0029874-0.017305i,0.0276-0.016075i,0.027433-0.043253i,0.0059711-0.055284i,-0.018504-0.044535i,-0.021685-0.030476i,0.0022418-0.021502i,0.030722-0.020257i,0.039169-0.026681i,0.019178-0.026731i,-0.012208-0.0021309i,-0.026137+0.031524i,-0.020407+0.039311i,-0.017155+0.024751i,-0.015693+0.014863i
-0.26946-0.058095i,-0.21118+0.047723i,-0.0010998+0.15893i,0.12267+0.19041i,0.081095+0.17561i,-0.0021544+0.1554i,-0.030676+0.13944i,-0.00099819+0.10566i,0.00289+0.042875i,-0.047422+0.014748i,-0.070927+0.031785i,-0.043361+0.037035i,-0.0099758+0.022804i,0.002726-0.00053674i,-0.0054143-0.033974i,-0.01911-0.062014i,-0.026303-0.070693i,-0.025556-0.064155i,-0.017644-0.057483i,-0.014971-0.052348i,-0.021074-0.033296i,-0.018254-0.0024399i,-0.0077993+0.016199i
0.48131-0.21264i,0.44814-0.45284i,0.12673-0.53479i,-0.13752-0.35932i,-0.1406-0.15251i,-0.065698-0.061147i,-0.044256-0.0078146i,-0.024135+0.02962i,0.0033453+0.029806i,0.018351+0.032931i,0.031554+0.044462i,0.03074+0.037199i,0.010756+0.025853i,-0.0095679+0.039011i,-0.022059+0.075529i,-0.024032+0.10926i,-0.013241+0.11813i,0.0029139+0.10033i,0.018309+0.067111i,0.028245+0.033007i,0.026014+0.0045941i,0.013559-0.016414i,0.0019168-0.024855i
-0.38396+0.35341i,-0.36107+0.46088i,-0.14583+0.36927i,0.041866+0.17441i,0.081856+0.050744i,0.08087+0.024444i,0.094248+0.009963i,0.065522-0.018233i,0.014094-0.010893i,0.01097+0.0045878i,0.023998-0.020759i,0.005793-0.036841i,-0.010207-0.016434i,0.0074529-0.0055173i,0.039616-0.024892i,0.052248-0.05091i,0.038133-0.06068i,0.013858-0.051242i,-0.0097086-0.025565i,-0.018353+0.0086887i,-0.0045111+0.031784i,0.012264+0.032397i,0.014525+0.020991i
0.015638-0.53393i,-0.16042-0.47155i,-0.28212-0.11456i,-0.21983+0.1295i,-0.12392+0.11722i,-0.099242+0.062055i,-0.064125+0.046463i,-0.022978+0.021011i,-0.011943-0.0043717i,-0.019663-0.012688i,-0.037159-0.0033439i,-0.032118+0.017448i,0.0023885+0.014639i,0.014683-0.0205i,-0.011179-0.054136i,-0.035044-0.06748i,-0.035632-0.061326i,-0.025129-0.038192i,-0.013304-0.015921i,-0.0066541-0.012146i,-0.0088123-0.017527i,-0.0052968-0.015407i,0.0074838-0.0091424i
0.37586+0.50717i,0.60903+0.38416i,0.63301+0.011099i,0.42871-0.20267i,0.22532-0.15081i,0.11748-0.074029i,0.043365-0.054693i,0.015933-0.019945i,0.032051+0.01597i,0.047232+0.031798i,0.055895+0.033421i,0.05092+0.014799i,0.017865-0.00342i,-0.013711+0.01703i,-0.016752+0.071971i,0.003449+0.11652i,0.025829+0.11385i,0.031894+0.067899i,0.01874+0.021023i,0.0033185+0.0027821i,-0.0069912+0.00012598i,-0.023426-0.0055611i,-0.040001-0.0086865i
