0.00066866+0.00095214i,-0.00027635+6.4493e-05i,-0.0024449-0.00017949i,-0.0027541+0.00011856i,-0.001937+0.0013573i,-0.00038295+0.0020418i,0.0008155+0.0021324i,0.001121+0.00099503i,0.0016346-0.00078762i,0.0018443-0.0016158i,0.0010567-0.0014621i,0.00067197-0.0011129i,0.00088708-0.00071579i,3.2711e-05-0.00083764i,-0.00093821+0.00040514i,-0.0011778+0.0018093i,-0.0010546+0.00098083i,-0.00071109-3.0823e-05i,0.00030475+9.1313e-05i,1.4986e-05+0.00047486i,0.00014795+0.00067963i,0.00032018+0.00061541i,-9.2377e-05+0.00040048i
-0.0082737-0.025759i,-0.0096622-0.03726i,0.0056824-0.039136i,0.012258-0.025681i,-0.0024275+0.0026079i,-0.014939+0.023851i,-0.01584+0.029243i,-0.0087797+0.020913i,0.00071509+0.0092573i,0.0084598-0.0010428i,0.011204-0.010697i,0.0054433-0.015712i,-0.0046524-0.010477i,-0.0070568-0.0030835i,-0.0036134-0.0053244i,-0.0038806-0.010793i,-0.0050095-0.0095538i,-0.0031493-0.0029791i,0.00060239+0.0018259i,0.0023472+0.0030035i,0.0007331+0.0025034i,8.2619e-05+0.0015852i,0.0012738+0.00080263i
0.010202-0.025383i,0.017236-0.042709i,0.02481-0.028948i,0.017386+0.0027742i,-0.0082634+0.021468i,-0.021704+0.029843i,-0.013568+0.025307i,0.0036917+0.0081011i,0.013617-0.0067697i,0.020052-0.0083707i,0.026267-0.0048272i,0.023851-0.0049947i,0.013224-0.0038864i,0.0050078+0.00017684i,0.0040385+0.00047446i,0.0057098-0.0046477i,0.007268-0.0091595i,0.004583-0.0071892i,-0.0008026-0.0006814i,-0.00242+0.0047566i,-0.0017349+0.0063032i,0.00016395+0.0058824i,0.0033205+0.0053079i
0.025195-0.021758i,0.050776-0.034494i,0.049097-0.022557i,0.018261-0.0015704i,-0.010405+0.0014666i,-0.026571-0.0040853i,-0.028402-0.0082231i,-0.020334-0.0043955i,-0.011071+0.0045579i,-0.00076061+0.014549i,0.0095241+0.019054i,0.013366+0.012067i,0.0072508+0.00066439i,0.00063636-0.0036697i,0.0042227-0.0021379i,0.010576-0.0036925i,0.0095179-0.0064183i,0.0034695-0.0048736i,-0.0015605+0.00010023i,-0.0041569+0.004472i,-0.0042458+0.0045156i,-0.004065+0.0043219i,-0.0029922+0.004275i
0.03567-0.00079496i,0.063447+0.015006i,0.054057+0.022383i,0.009973+0.0095502i,-0.025427-0.0093188i,-0.038347-0.021081i,-0.028553-0.017601i,-0.0089107-0.006874i,0.0033393+0.00108i,0.0020579+0.010612i,-0.0010969+0.020219i,0.0007279+0.019744i,0.00078147+0.010855i,-0.0017194+0.0050705i,-0.0016016+0.0053639i,0.0039921+0.0081833i,0.008586+0.0091014i,0.0073408+0.0056249i,0.0017612+0.001273i,-0.0036718+0.00031986i,-0.0053765+0.0012476i,-0.0063415+0.0022791i,-0.0056287+0.0037757i
0.031553+0.024155i,0.043404+0.058753i,0.04006+0.067738i,0.027658+0.032481i,0.013202-0.0096583i,0.004601-0.032567i,0.0034542-0.03279i,0.0021243-0.025452i,-0.0073763-0.01688i,-0.020584-0.0051098i,-0.024759+0.0057275i,-0.018122+0.0077291i,-0.0081614+0.002536i,-0.0029031+2.8653e-05i,-0.0019425+0.0046543i,0.001466+0.010441i,0.0049925+0.0096947i,0.0051368+0.0038093i,0.001438-0.00089426i,-0.0034764-0.0017996i,-0.0061843-0.0019341i,-0.0078867-0.0035054i,-0.0081134-0.0033903i
0.0080798+0.033345i,-0.010957+0.060912i,-0.027938+0.065532i,-0.017351+0.032985i,0.0063232-0.011028i,0.024011-0.034336i,0.025937-0.029916i,0.018116-0.012602i,0.0085343-0.0038112i,-0.003118-0.0062478i,-0.013769-0.0080312i,-0.01371-0.0056046i,-0.0053705-0.0033335i,-0.00075575-0.0025456i,-0.0026452-0.00046656i,-0.0073189+0.0045224i,-0.0092129+0.0079847i,-0.0055498+0.0074647i,-0.0010475+0.0030001i,-0.0014366-0.0018954i,-0.0039611-0.0039716i,-0.0054316-0.0055488i,-0.0066784-0.0051216i
-0.015747+0.040451i,-0.046164+0.058143i,-0.064035+0.055551i,-0.040489+0.04021i,0.0060781+0.018703i,0.036905+0.00074574i,0.041756-0.0066013i,0.032581-0.0087677i,0.018246-0.017094i,0.0026327-0.028654i,-0.007243-0.032184i,-0.0077597-0.023214i,-0.0045114-0.01114i,-0.0040518-0.0036724i,-0.0087537+0.0008564i,-0.013432+0.0034963i,-0.010441+0.0044672i,-0.0030092+0.0035443i,0.0021451-1.9089e-05i,0.0022463-0.004399i,0.0011081-0.0072598i,0.0016133-0.0096304i,0.001348-0.0099705i
-0.053178+0.013847i,-0.086912+0.014633i,-0.090737+0.0034679i,-0.048823+0.0021771i,0.008591+0.018934i,0.042478+0.031701i,0.042176+0.028974i,0.024109+0.019842i,0.01184+0.012349i,0.011338+0.0056915i,0.015245-0.0017713i,0.013476-0.0046793i,0.0086522-0.0013128i,0.0053737+0.00011568i,0.0015151-0.0040093i,-0.0041071-0.0085345i,-0.0065502-0.0075586i,-0.0043968-0.00369i,-0.00022951-0.0030114i,0.0033687-0.0044265i,0.0035277-0.0053254i,0.0039302-0.0042371i,0.0043033-0.0027629i
-0.052548-0.027415i,-0.094973-0.050987i,-0.10213-0.057601i,-0.070895-0.026508i,-0.028413+0.021093i,0.0084259+0.051083i,0.027015+0.052826i,0.02691+0.036442i,0.026591+0.017176i,0.031444-0.00028375i,0.030743-0.0071645i,0.021479-0.0049203i,0.01142-0.0014399i,0.0053273-0.0016222i,0.0014994-0.0069346i,-0.0016062-0.011764i,-0.0040443-0.0095805i,-0.0038769-0.0021208i,-0.00014548+0.0012336i,0.0039178-0.00060697i,0.0055067-0.001001i,0.0073001+0.00088532i,0.0071418+0.0019425i
-0.026505-0.064576i,-0.047412-0.11265i,-0.046997-0.114i,-0.033279-0.0539i,-0.030226+0.019065i,-0.030673+0.060671i,-0.023375+0.060221i,-0.016549+0.034157i,-0.016463+0.018287i,-0.012459+0.019837i,-0.0065335+0.022504i,-0.0028506+0.019374i,-0.0013275+0.011614i,-0.00085307+0.0067162i,0.0028651+0.0045004i,0.008611-0.00032051i,0.0086383-0.0044894i,0.0054406-0.0028367i,0.0060847+0.0015168i,0.0077495+0.0024763i,0.0058803+0.0021492i,0.0036902+0.003818i,0.0028882+0.0047397i
0.023765-0.073724i,0.041915-0.13214i,0.034949-0.1425i,-0.0046538-0.094367i,-0.04631-0.030996i,-0.063473+0.01941i,-0.052513+0.041321i,-0.028494+0.035968i,-0.010657+0.025998i,-0.00042865+0.026704i,0.003313+0.024757i,0.0019604+0.017323i,0.0010968+0.010415i,0.0022701+0.0052743i,0.0047709+0.002876i,0.0075437+0.0019793i,0.0069376+9.2526e-05i,0.0023165-0.0015612i,0.00032497-0.00022249i,0.002771+0.0015915i,0.0033566+0.0031972i,0.00072394+0.0060701i,-0.00089093+0.0074534i
0.066487-0.042236i,0.11722-0.071371i,0.11601-0.075618i,0.047092-0.05365i,-0.028904-0.03059i,-0.067136-0.015321i,-0.059553-0.0046522i,-0.033379-0.0041629i,-0.021768-0.013484i,-0.02723-0.015963i,-0.030272-0.011082i,-0.026138-0.0059632i,-0.019035-0.0014989i,-0.013233+0.0017417i,-0.010251+0.0070942i,-0.0056551+0.012975i,-0.0014627+0.013329i,-0.0005779+0.0096982i,0.00010396+0.0089319i,0.0017438+0.0092872i,0.0002572+0.0060797i,-0.0045262+0.0035882i,-0.0063448+0.0030511i
0.080281+0.003233i,0.13781+0.013226i,0.14674-0.0017957i,0.093018-0.041941i,0.022858-0.06754i,-0.027481-0.063591i,-0.042826-0.040652i,-0.032038-0.021101i,-0.020591-0.010179i,-0.018518-0.00018134i,-0.016946+0.0030909i,-0.012605-9.4805e-05i,-0.0065638+0.00034252i,-0.0013076+0.0031742i,-0.0011427+0.0054832i,-0.0040667+0.006652i,-0.0049691+0.0047693i,-0.0029644+0.00077579i,-0.00040725-0.00044002i,0.0017139+0.001861i,0.00071603+0.0011696i,-0.0033993-0.00094183i,-0.0034881-0.00028652i
0.058762+0.053128i,0.092718+0.093847i,0.096945+0.090448i,0.06626+0.027654i,0.027857-0.039408i,0.0033045-0.068294i,-0.010041-0.05503i,-0.0053749-0.030659i,0.0069774-0.024834i,0.0087008-0.03102i,0.0062526-0.034342i,0.0013095-0.031092i,-0.0066943-0.021053i,-0.0099409-0.011849i,-0.012307-0.008606i,-0.017009-0.0058618i,-0.017961-0.0034938i,-0.015232-0.0017395i,-0.011757+0.00028765i,-0.0078457+0.0010072i,-0.0039099-0.00033003i,-0.0028778-0.0035085i,-0.0024812-0.0042478i
0.0067581+0.080112i,0.011533+0.13544i,0.032885+0.14346i,0.068154+0.092167i,0.085056+0.024817i,0.070781-0.021578i,0.041161-0.03526i,0.019659-0.020614i,0.011033-0.0092701i,0.0041868-0.0089312i,0.0030709-0.0062884i,0.0070952-0.005478i,0.0048578-0.002919i,0.00041664+0.0035382i,-0.001791+0.0031052i,-0.0043951-0.0035258i,-0.0046281-0.0070537i,-0.0028331-0.006929i,-0.00075891-0.0052254i,0.0023111-0.0027438i,0.0056672-0.0021861i,0.0062273-0.0028864i,0.00416+0.00011015i
-0.04445+0.056095i,-0.075842+0.10159i,-0.070617+0.10731i,-0.019333+0.06715i,0.038064+0.023896i,0.06592+0.0011598i,0.056333-0.012287i,0.02908-0.013291i,0.020514-0.004298i,0.026851-0.0017944i,0.029128-0.0024087i,0.026163-0.0047824i,0.016736-0.010444i,0.0077643-0.012727i,0.0064536-0.014834i,0.0060974-0.019589i,0.0036056-0.020543i,0.00028047-0.018343i,-0.0020758-0.015532i,-0.0017332-0.010645i,0.0012841-0.0054172i,0.0036517-0.0017641i,0.0026735+5.5529e-05i
-0.086316+0.0055901i,-0.14311+0.021117i,-0.1384+0.049073i,-0.075314+0.079795i,-0.012724+0.093876i,0.023511+0.077326i,0.030463+0.041264i,0.012374+0.016399i,-0.0039112+0.011362i,-0.0087021+0.008302i,-0.0091817+0.0087958i,-0.0055182+0.012591i,-0.0054872+0.0096993i,-0.010015+0.0074235i,-0.0062488+0.0062961i,0.0047729+0.00087758i,0.010126-0.003318i,0.010981-0.0041658i,0.010705-0.0039346i,0.0091437-0.0004525i,0.0094752+0.0063236i,0.0078882+0.010136i,0.0014476+0.01032i
-0.066057-0.05044i,-0.1252-0.072132i,-0.13026-0.054996i,-0.073263-0.0071668i,-0.021966+0.033416i,0.0022303+0.055963i,0.017856+0.049225i,0.019528+0.022179i,0.010324+0.0097491i,0.0075772+0.01156i,0.0074611+0.015661i,0.0097639+0.015313i,0.01457+0.0067528i,0.01579+0.00019682i,0.01654+0.003098i,0.019538+0.0070521i,0.020929+0.0043995i,0.019099-0.0034677i,0.015881-0.010652i,0.012517-0.0083527i,0.0081419-0.00043112i,0.00389+0.0028922i,-0.00046824+0.0027702i
-0.0014817-0.1026i,-0.022358-0.16101i,-0.05323-0.14114i,-0.081666-0.060325i,-0.092552+0.0015692i,-0.074534+0.029552i,-0.032609+0.029196i,-0.0071083+0.002381i,-0.011061-0.017116i,-0.014693-0.021899i,-0.018236-0.023203i,-0.021028-0.013858i,-0.014703-0.0044584i,-0.011228-0.0040139i,-0.012344+0.0019203i,-0.008166+0.01276i,0.00066039+0.01627i,0.0068571+0.012935i,0.0093738+0.0089326i,0.0059234+0.0090429i,-0.0022885+0.012334i,-0.0085735+0.011806i,-0.011652+0.0058292i
0.033401-0.068879i,0.048533-0.12606i,0.035085-0.12665i,0.0089263-0.071068i,-0.0075206-0.02482i,-0.023189-0.0048484i,-0.023381+0.0092654i,-0.0041746+0.011401i,0.002992+0.0073778i,0.0039005+0.01086i,0.0048588+0.0076151i,0.0018723+0.0056665i,0.0045682+0.01005i,0.0064629+0.0099635i,-0.00039214+0.010589i,-0.0072262+0.015822i,-0.0056137+0.019108i,0.0035638+0.016619i,0.011912+0.010807i,0.011076+0.0074839i,0.0053351+0.0077067i,0.0013771+0.0054363i,-0.00041023-0.00052832i
0.10865-0.024379i,0.16072-0.041088i,0.12961-0.054079i,0.045592-0.066016i,-0.011286-0.073945i,-0.02797-0.060119i,-0.015635-0.022421i,0.012326-0.0024604i,0.025702-0.012951i,0.02639-0.020239i,0.028699-0.022571i,0.017088-0.024631i,0.0016953-0.015366i,-0.0017543-0.0095251i,-0.0078992-0.011403i,-0.018605-0.0081281i,-0.02075-0.00057199i,-0.015435+0.0049071i,-0.009569+0.0060738i,-0.0068801+0.0041951i,-0.0087359+0.00024239i,-0.0094536-0.0047267i,-0.0065137-0.0084516i
0.072204+0.011602i,0.12475+0.022846i,0.12621+0.026347i,0.085422+0.028766i,0.058338+0.028144i,0.040344+0.013892i,0.019137+0.007954i,0.0085897+0.014676i,0.002742+0.018689i,-0.0028138+0.024759i,0.0015991+0.024625i,0.0030711+0.013651i,-0.0014116+0.010502i,-0.0014633+0.010297i,-0.0045614+0.0010815i,-0.011746-0.0070146i,-0.015444-0.0053314i,-0.013906+0.0021083i,-0.00757+0.0074861i,-0.0017455+0.0071798i,-0.00041786+0.0052265i,0.0019701+0.0040731i,0.0060773+0.0021549i
0.042+0.11743i,0.050593+0.1704i,0.045691+0.13816i,0.042953+0.055328i,0.053542+0.002094i,0.054482-0.014575i,0.026421-0.0074546i,0.008271+0.011076i,0.0096804+0.019804i,0.010009+0.024739i,0.015418+0.026391i,0.017147+0.011662i,0.0054563-0.003238i,-0.00022332-0.0069741i,0.0041738-0.012663i,0.0041687-0.019731i,-0.0014831-0.020698i,-0.0062651-0.016996i,-0.0060758-0.012315i,-0.0021592-0.0085214i,0.0017786-0.0067235i,0.0039379-0.0052639i,0.0064978-0.0026606i
-0.0072352+0.059296i,-0.024046+0.10864i,-0.041294+0.12319i,-0.056272+0.1099i,-0.059313+0.10205i,-0.038542+0.080501i,-0.020466+0.045247i,-0.020162+0.026554i,-0.027454+0.014794i,-0.040581+0.0078136i,-0.039182+0.015975i,-0.022302+0.017463i,-0.012875+0.01198i,-0.0082854+0.012206i,0.0014438+0.0092057i,0.0088503-0.00072618i,0.0078603-0.009517i,0.0017869-0.013131i,-0.00147-0.010151i,0.00039112-0.0045424i,0.001621+0.00046895i,0.0016464+0.0062042i,0.0026947+0.011174i
-0.13796+0.04246i,-0.20377+0.045058i,-0.17154+0.032301i,-0.077946+0.024824i,-0.011795+0.030121i,0.016787+0.038395i,0.01968+0.027097i,0.00211+0.010284i,-0.01163+0.0039675i,-0.017616+0.0020233i,-0.019124+0.0051164i,-0.0073307+0.0041624i,0.0037468-0.0050605i,0.0072208-0.0078542i,0.010895-4.7749e-05i,0.015574+0.0061399i,0.017599+0.0038961i,0.016211-0.0028149i,0.012938-0.0068015i,0.0093021-0.0038792i,0.0060765+0.0023819i,0.0023729+0.0072629i,-0.0015821+0.0097421i
-0.05671-0.021728i,-0.10211-0.033103i,-0.12995-0.045173i,-0.13579-0.054343i,-0.13095-0.049015i,-0.0984-0.028677i,-0.052546-0.020059i,-0.032197-0.028635i,-0.029128-0.037652i,-0.028908-0.046352i,-0.032641-0.044633i,-0.029088-0.028131i,-0.021743-0.012881i,-0.019916-0.0023936i,-0.01582+0.0074492i,-0.0059694+0.01419i,0.0049123+0.013366i,0.012633+0.0059671i,0.013199-0.00030267i,0.0080952-0.00070697i,0.00057057+0.0028628i,-0.0070946+0.007842i,-0.0098617+0.010531i
-0.053202-0.18225i,-0.070848-0.25338i,-0.057507-0.2115i,-0.033133-0.10213i,-0.018345-0.025595i,-0.020236+0.010178i,-0.015965+0.022015i,-0.0027281+0.011691i,0.0055803-0.0025355i,0.0091235-0.011309i,0.0086269-0.013555i,0.0076121-0.0070213i,0.011428+0.0023967i,0.012075+0.0093561i,0.003927+0.011617i,-0.0053474+0.012016i,-0.0048673+0.014546i,0.0042175+0.01532i,0.010986+0.0098228i,0.007115+0.0031998i,-0.0026438+0.0015773i,-0.010243+0.0016636i,-0.013195+0.00075226i
0.028916-0.039987i,0.026285-0.079829i,0.03-0.11052i,0.04629-0.12115i,0.047487-0.11186i,0.036358-0.075943i,0.032653-0.036467i,0.031458-0.026075i,0.028561-0.027014i,0.036931-0.027554i,0.040042-0.034223i,0.025241-0.035127i,0.005502-0.027234i,-0.0078085-0.02116i,-0.014728-0.015756i,-0.019456-0.0066741i,-0.018512+0.0048675i,-0.010876+0.014035i,-0.0030742+0.014873i,-0.00049877+0.0074326i,-0.0047845-0.001805i,-0.011986-0.0068483i,-0.015787-0.0066019i
0.20076-0.084333i,0.27843-0.11922i,0.22044-0.098675i,0.098175-0.040368i,0.028064+0.0079991i,0.0021936+0.018646i,-0.011208+0.0085846i,-0.0094371+0.0048846i,-0.0050033+0.01019i,-0.00044941+0.022927i,0.0098283+0.024255i,0.010905+0.01522i,0.0030853+0.013414i,0.00040364+0.015386i,0.0017356+0.0083034i,-0.0016279-0.0046387i,-0.0089356-0.0060434i,-0.011775+0.0047224i,-0.0058699+0.0096487i,0.0012612+0.0029541i,0.0014369-0.0065375i,-0.0024742-0.012792i,-0.0045844-0.013609i
-0.0012264+0.050478i,0.024246+0.060122i,0.053358+0.053517i,0.063248+0.056918i,0.053571+0.058159i,0.03036+0.05498i,0.013061+0.050065i,0.0089141+0.033328i,0.0039188+0.016598i,0.0025401+0.021136i,0.014931+0.028172i,0.022065+0.013685i,0.016449-0.0082226i,0.010134-0.017929i,0.0069762-0.017417i,0.0038319-0.015921i,-0.0028206-0.013966i,-0.011506-0.0096298i,-0.014395-0.0053624i,-0.0075029-0.0042716i,0.0016974-0.0081643i,0.0042106-0.01568i,0.001147-0.018198i
0.090998+0.19305i,0.12448+0.27775i,0.10495+0.21438i,0.039277+0.088795i,-0.02581+0.044097i,-0.044785+0.036843i,-0.02925+0.015355i,-0.018515-0.0044653i,-0.02589-0.008589i,-0.037532+0.00095118i,-0.032481+0.015396i,-0.01444+0.017198i,-0.0049205+0.0090634i,-0.0054619+0.0078828i,0.00073937+0.012371i,0.013428+0.009288i,0.012149-0.0024942i,-0.0027371-0.0090109i,-0.0099393-0.004357i,-0.0025354+0.00064062i,0.0083631-0.00090465i,0.015354-0.0047858i,0.016525-0.0064904i
-0.0929-0.068488i,-0.13127-0.083104i,-0.11194-0.049204i,-0.087566-0.017383i,-0.088187-0.023159i,-0.08432-0.027207i,-0.064638-0.011475i,-0.029968-0.0040487i,-0.0090587-0.021171i,-0.016082-0.031106i,-0.022153-0.018214i,-0.0095535-0.0028584i,0.0091382+0.0012528i,0.017831-0.0013435i,0.014439+0.00082124i,0.0089342+0.0059108i,0.007095+0.0045819i,0.0056019-0.0027073i,0.0026679-0.0078087i,0.0018752-0.0048175i,0.0063694+0.0024282i,0.012989+0.0055546i,0.014916+0.0019377i
-0.18567+0.091162i,-0.24248+0.11752i,-0.17298+0.099213i,-0.069934+0.036219i,-0.055534-0.03558i,-0.068786-0.054616i,-0.041715-0.038006i,-0.013141-0.030523i,-0.006434-0.039019i,-0.016246-0.049233i,-0.027169-0.038705i,-0.024132-0.014978i,-0.017123-0.001881i,-0.017865+0.00088372i,-0.023356+0.0089749i,-0.018462+0.020512i,-0.0027443+0.017957i,0.0047286+0.0035606i,2.2172e-05-0.005119i,-0.0029713-0.0021034i,0.002547+0.006455i,0.011639+0.014496i,0.017852+0.01659i
0.1269-0.19059i,0.18547-0.23799i,0.15154-0.19139i,0.092466-0.13159i,0.096391-0.11222i,0.084818-0.10353i,0.03301-0.070904i,0.011388-0.024304i,0.033164+0.00098384i,0.052759-0.0044068i,0.044388-0.013561i,0.025294-0.0069267i,0.014508+0.0099758i,0.012301+0.018021i,0.0063716+0.011381i,-0.0059893+0.0041719i,-0.011371+0.0035527i,-0.0064244+0.004546i,-0.0018244+0.0027004i,-0.003749+0.0005262i,-0.0088893+0.0040748i,-0.011202+0.012993i,-0.0064921+0.016314i
-0.051554-0.17318i,-0.086758-0.18696i,-0.064371-0.099725i,0.0038574-0.026262i,0.050149-0.040314i,0.051895-0.070098i,0.040404-0.055352i,0.036754-0.032073i,0.037257-0.026798i,0.035562-0.030505i,0.023081-0.031903i,0.0025569-0.02272i,-0.0099616-0.013539i,-0.012455-0.014572i,-0.016626-0.019618i,-0.023987-0.015483i,-0.02135-0.0025771i,-0.011405+0.0045889i,-0.005787+0.0017159i,-0.0050149-0.002652i,-0.0077222-0.00022222i,-0.012139+0.010518i,-0.011062+0.020488i
0.30916+0.19329i,0.38194+0.27446i,0.29141+0.24098i,0.17427+0.16328i,0.12588+0.14619i,0.11462+0.12106i,0.077098+0.04993i,0.014537+0.018521i,-0.013791+0.043052i,-0.0011631+0.065648i,0.013752+0.058995i,0.009445+0.032798i,-0.0085728+0.015162i,-0.015283+0.014413i,-0.0054081+0.0099918i,0.0016476-0.0061275i,-0.00080008-0.015778i,-0.0047733-0.012668i,-0.0054681-0.0094131i,-0.0051931-0.01185i,-0.0088355-0.014388i,-0.017308-0.011424i,-0.020326-0.0018406i
0.11433+0.0064686i,0.08893+0.0011159i,-0.010062+0.028222i,-0.055006+0.086225i,-0.0026939+0.097006i,0.045925+0.063998i,0.051666+0.041455i,0.041111+0.024865i,0.027825+0.016222i,0.021441+0.015762i,0.015619+0.0065145i,0.0075412-0.0065739i,0.0049798-0.01178i,0.0072779-0.011097i,0.011425-0.01208i,0.0089062-0.016014i,-0.0019242-0.015873i,-0.010422-0.011596i,-0.011554-0.0082917i,-0.0066249-0.0079367i,-0.0044135-0.011969i,-0.01139-0.015935i,-0.018185-0.01245i
-0.25887+0.42259i,-0.35566+0.55527i,-0.28996+0.42709i,-0.17398+0.21326i,-0.14555+0.12309i,-0.12059+0.11592i,-0.044047+0.077504i,-0.007555+0.0071752i,-0.037884-0.018952i,-0.065688+0.0018309i,-0.05765+0.018373i,-0.030186+0.015398i,-0.011337+0.00040947i,-0.011723-0.0058594i,-0.0085222+0.0042779i,0.0092151+0.0088338i,0.021475+0.00074352i,0.019151-0.00715i,0.012797-0.0087889i,0.011578-0.0076574i,0.01506-0.010379i,0.013851-0.017073i,0.0041559-0.016742i
-0.094908+0.020186i,-0.16015-0.057938i,-0.19428-0.13678i,-0.19882-0.1235i,-0.15616-0.053541i,-0.080773-0.0038613i,-0.03133+0.024849i,-0.0046515+0.036993i,0.0097502+0.020184i,0.010872-0.0037308i,0.009033-0.016962i,0.0071582-0.019112i,0.0057736-0.011622i,0.004328-0.0047329i,0.0024332+0.00034919i,0.0022949+0.0025696i,0.0043962-0.0018177i,0.0049241-0.0089204i,0.00097195-0.012103i,-0.0011599-0.010221i,0.0041045-0.0097328i,0.01004-0.01572i,0.010094-0.021167i
-0.51924-0.31112i,-0.69268-0.40909i,-0.53772-0.29496i,-0.23262-0.13086i,-0.075433-0.098672i,-0.064943-0.082018i,-0.039515-0.01947i,0.015013-0.00024518i,0.024126-0.026999i,0.00069019-0.040573i,-0.013655-0.034102i,-0.013492-0.015816i,-0.0025291-0.0014966i,0.0019682-0.0043637i,-0.0090987-0.0032473i,-0.012452+0.012647i,-0.00087173+0.023362i,0.007574+0.020696i,0.0066649+0.013375i,0.0053125+0.01004i,0.012193+0.012231i,0.024279+0.01263i,0.026867+0.0061139i
0.08639-0.22581i,0.21086-0.35598i,0.25746-0.38668i,0.17836-0.32431i,0.10313-0.21737i,0.070336-0.10436i,0.028502-0.027167i,-0.0057563+0.014025i,0.0012508+0.033887i,0.029191+0.033859i,0.045858+0.018482i,0.03704+0.0046677i,0.01971+0.0052553i,0.011644+0.0084882i,0.0063356+0.0045376i,-0.00031828-0.0016234i,-0.003007-0.0033733i,0.0012558-0.002302i,0.0053714-0.0048845i,0.0031208-0.0058449i,0.0013734-0.00037196i,0.0053071+0.0067771i,0.011905+0.0092419i
0.32963-0.5702i,0.39378-0.75591i,0.24327-0.56711i,0.087617-0.19632i,0.084582+0.011113i,0.086003+0.021871i,0.03844+0.014497i,0.021661+0.036149i,0.028686+0.034144i,0.026758+0.01228i,0.014175-0.0016054i,-0.0033819-0.0049706i,-0.010527-0.0023687i,-0.0031099-0.0042864i,0.0007611-0.01563i,-0.0073801-0.015994i,-0.014445-0.0033656i,-0.016867+0.0058217i,-0.016874+0.0088751i,-0.013866+0.0067323i,-0.0095809+0.0083705i,-0.0025197+0.019154i,0.007345+0.025125i
0.32748+0.16664i,0.50361+0.32127i,0.50799+0.33739i,0.37565+0.21637i,0.23553+0.14092i,0.1369+0.11905i,0.06099+0.062066i,-0.0047812+0.0064826i,-0.045629+0.009613i,-0.041535+0.048978i,-0.011075+0.064623i,0.0075794+0.045901i,0.0055583+0.027551i,0.00065072+0.021557i,0.0039961+0.016908i,0.009146+0.0065273i,0.008524-0.0037698i,0.0044583-0.006204i,0.0033711-0.0047584i,0.0021691-0.0050363i,-0.0049816-0.0043927i,-0.016331+0.00063345i,-0.021277+0.0093807i
0.50089+0.33981i,0.65239+0.36155i,0.46974+0.17387i,0.12354+0.038474i,-0.071257+0.081589i,-0.060209+0.12052i,-0.0013482+0.089547i,0.0087171+0.056165i,-0.0046863+0.038121i,-0.009344+0.020265i,-0.009642-0.002707i,-0.012751-0.016506i,-0.0095671-0.013575i,0.00069879-0.0055428i,0.010784-0.00050748i,0.013592-0.0022197i,0.0088895-0.0074345i,0.00028091-0.013591i,-0.0081798-0.015156i,-0.009664-0.010383i,-0.0075477-0.0085581i,-0.008579-0.0072238i,-0.0078022-0.0011831i
-0.33276+0.3741i,-0.50955+0.6016i,-0.45283+0.59589i,-0.24622+0.38411i,-0.1394+0.19582i,-0.10988+0.12581i,-0.041181+0.073817i,0.014999-0.011904i,0.0013449-0.062458i,-0.036119-0.042736i,-0.045953-0.00011444i,-0.029407+0.015594i,-0.01732+0.0082474i,-0.018909+0.002043i,-0.019169+0.0063205i,-0.0072856+0.013205i,0.0075204+0.011197i,0.015133+0.0044691i,0.014233+0.00098249i,0.008695-0.0015809i,0.0058226-0.0078895i,0.00058002-0.016102i,-0.0094296-0.015839i
-0.43753+0.27156i,-0.4558+0.34831i,-0.2241+0.23077i,-0.048076+0.022853i,-0.063221-0.083831i,-0.085292-0.035931i,-0.049838+0.050885i,-0.021551+0.072081i,-0.01511+0.041256i,-0.0018889+0.010114i,0.017826-0.016297i,0.021557-0.027787i,0.015485-0.015118i,0.009921-0.0011517i,0.0022973+0.0054958i,-0.0012737+0.0097556i,0.002267+0.0082044i,0.00594+0.00034524i,0.0028013-0.007747i,-0.0012834-0.010343i,0.0017537-0.011815i,0.0066082-0.016214i,0.0070821-0.014346i
-0.45672-0.54049i,-0.72919-0.70749i,-0.68693-0.54884i,-0.36959-0.27596i,-0.11557-0.16008i,-0.053992-0.10945i,-0.0074358-0.024792i,0.080373+0.012547i,0.10773-0.01025i,0.063318-0.027121i,0.018323-0.019142i,0.0004562-0.0053753i,0.00033116-0.0032965i,0.0017807-0.01266i,-0.0059223-0.017884i,-0.012284-0.0078809i,-0.0083991+0.0079649i,-0.0008388+0.017821i,0.0057704+0.018781i,0.010029+0.013396i,0.01464+0.0087842i,0.022018+0.0035347i,0.020996-0.003754i
-0.072698-0.64193i,-0.098683-0.68493i,-0.040217-0.37418i,0.056443-0.095004i,0.09639-0.033057i,0.034803-0.012623i,-0.059995+0.033772i,-0.10406+0.048804i,-0.082515+0.039512i,-0.027305+0.032872i,0.020072+0.025836i,0.032191+0.015563i,0.01902+0.013566i,0.0080663+0.014665i,0.001716+0.0061472i,-0.0051523-0.0031051i,-0.008613-0.0047008i,-0.0053756-0.0046133i,2.3194e-05-0.0077349i,0.0013294-0.0092706i,0.0012243-0.0052644i,0.0021169-0.00013106i,0.0025755+0.0019892i
