-0.0016968-0.00096643i,-0.0010804-0.0010091i,-0.001117-0.0020643i,-0.0022941-0.0020051i,-0.0028158+5.5668e-05i,-0.0020681+0.0017344i,-0.0011026+0.0023843i,-0.00084662+0.00259i,-3.7206e-05+0.001781i,0.00098902+0.0013856i,0.00081338+0.00065604i,1.9494e-05-0.00017405i,2.7352e-05+9.5461e-05i,0.0010139+0.00065105i,0.00065018+0.00058452i,-0.00038783+0.00022531i,-0.0008109-0.0010488i,-0.00040521-0.0015429i,-0.00011305-0.00066012i,-0.00084304-0.00013821i,-0.00085439-0.00038444i,-0.00035657-0.00034136i,2.3881e-05+0.0001374i
0.039655-0.36398i,-0.075907-0.75764i,-0.44801-1.0876i,-0.70818-0.83863i,-0.48786-0.078508i,-0.05102+0.54412i,0.21953+0.77819i,0.31609+0.77671i,0.24167+0.59384i,0.073313+0.35548i,-0.031387+0.17708i,-0.074162+0.055262i,-0.056576+0.023483i,-0.0069222+0.037598i,0.0055161+0.029763i,0.018779+0.024257i,0.027247+0.034793i,-0.014626+0.052963i,-0.04656+0.057318i,-0.031636+0.042593i,0.0061624+0.038641i,0.039901+0.028893i,0.032828+0.021377i
0.40517+9.1976i,2.1551+8.7218i,5.4848+9.3678i,7.5215+6.5769i,7.1862+2.0301i,4.5416-1.622i,1.5441-2.2077i,0.14505-1.0875i,0.20388-0.013386i,0.96221+0.41165i,1.4623+0.059788i,1.4748-0.49317i,1.3125-0.8588i,0.99249-0.86552i,0.78766-0.65476i,0.63538-0.50762i,0.25883-0.34776i,-0.041668-0.023764i,0.05228+0.28279i,0.35918+0.32913i,0.583+0.14995i,0.61006-0.055794i,0.46003-0.14968i
-0.1315-0.132i,0.015455-0.19873i,0.1236-0.30717i,-0.05932-0.3523i,-0.51051-0.19817i,-0.80755+0.11001i,-0.74918+0.41641i,-0.51708+0.6522i,-0.24163+0.63873i,-0.064225+0.43605i,-0.013773+0.28768i,0.016166+0.19803i,0.050482+0.12113i,0.059672+0.051425i,0.021156-0.033868i,-0.038807-0.093037i,-0.083097-0.10839i,-0.13596-0.1034i,-0.17495-0.073132i,-0.14204-0.032936i,-0.072163-0.00035347i,-0.023858+0.021651i,-0.0020181+0.03294i
0.091146-0.041481i,0.17775-0.17105i,0.15624-0.28279i,0.10128-0.2304i,0.26043-0.094888i,0.57013-0.11642i,0.6454-0.23141i,0.45416-0.18515i,0.23729+0.017479i,0.11684+0.13865i,0.061347+0.12908i,0.012958+0.07794i,-0.024119+0.021233i,-0.056775-0.024341i,-0.091478-0.027335i,-0.10909+0.0040757i,-0.11172+0.054657i,-0.075594+0.10398i,0.0074662+0.094932i,0.070022+0.040825i,0.077035+0.0004634i,0.061811-0.0099612i,0.052428-0.0027705i
0.054642+0.099846i,-0.0073983+0.024937i,-0.17349-0.14697i,-0.37652-0.22409i,-0.4605-0.20903i,-0.47843-0.29343i,-0.50839-0.30254i,-0.4122-0.093997i,-0.16384+0.11192i,0.012761+0.18034i,0.049448+0.15229i,0.05392+0.082732i,0.074097+0.030935i,0.087923+0.0126i,0.061396+0.0039577i,0.010184+0.0034212i,-0.013191+0.018179i,-0.0073624+0.0096405i,-0.007251-0.037315i,-0.023605-0.058962i,-0.031277-0.025217i,-0.017908+0.0088198i,-0.0096069+0.014079i
-0.14406-0.084483i,-0.30489-0.016044i,-0.43935+0.2894i,-0.40162+0.69185i,-0.24411+0.89489i,-0.070161+0.81595i,0.10574+0.56371i,0.22534+0.28403i,0.2413+0.055383i,0.20848-0.087247i,0.14855-0.12598i,0.078296-0.083168i,0.04062-0.039412i,0.03444-0.024687i,0.058672+0.0043893i,0.11434+0.047397i,0.1538+0.048551i,0.13106+0.0096359i,0.058053-0.00096832i,0.01124+0.024648i,0.028992+0.028403i,0.05794-0.00093086i,0.050111-0.024865i
0.085108-0.075328i,0.20023-0.19809i,0.3102-0.36642i,0.39567-0.41695i,0.44859-0.30158i,0.40009-0.15242i,0.21092-0.036908i,0.017616+0.024618i,-0.080106+0.030756i,-0.12092-0.0043126i,-0.13142-0.018277i,-0.10168+0.0045105i,-0.062315+0.023518i,-0.040409+0.017574i,-0.042423-0.017449i,-0.059315-0.053874i,-0.065901-0.051605i,-0.052109-0.022738i,-0.032809-0.01241i,-0.024655-0.026719i,-0.027182-0.040146i,-0.035146-0.044119i,-0.041439-0.033967i
-0.16906+0.11088i,-0.33395+0.28897i,-0.42458+0.47553i,-0.284+0.5083i,-0.058719+0.29218i,-0.044601-0.014113i,-0.17006-0.10996i,-0.17988+0.0040388i,-0.088504+0.088417i,-0.024775+0.10493i,0.022095+0.086965i,0.047604+0.037747i,0.036466+0.0082149i,0.013487+0.026236i,-0.0022843+0.072856i,4.4356e-06+0.1172i,0.029505+0.13926i,0.071894+0.11701i,0.081524+0.048546i,0.055664-0.0083639i,0.032329-0.019728i,0.0144-0.0073553i,-0.0024893+0.010144i
-0.0063712-0.090977i,-0.047253-0.096051i,-0.05632-0.047078i,-0.025768-0.018534i,-0.03162-0.021357i,-0.071603+0.027272i,-0.054385+0.10228i,0.01264+0.11757i,0.060861+0.077679i,0.059378+0.034475i,0.026036+0.011821i,0.0004584+0.0020003i,0.0023397-0.014698i,0.02814-0.042968i,0.052689-0.072553i,0.053525-0.091111i,0.024773-0.10628i,-0.027837-0.10792i,-0.075336-0.06847i,-0.084996-0.018883i,-0.055484+0.0012459i,-0.012228-0.001467i,0.018295-0.0097729i
0.086328+0.08036i,0.1752+0.12473i,0.20958+0.15213i,0.21746+0.13091i,0.26068+0.052207i,0.28373-0.014353i,0.2806-0.046451i,0.27713-0.083307i,0.21526-0.11607i,0.11223-0.11468i,0.028103-0.079315i,-0.022692-0.030604i,-0.044336+0.0021396i,-0.054129+0.0094052i,-0.049397+0.0085477i,-0.023376+0.0054619i,0.0022654-0.0058624i,0.0079688-0.0089134i,0.0075503+0.010927i,0.017279+0.031594i,0.022734+0.026673i,0.010758+0.01177i,-0.0047725+0.015708i
-0.053419+0.030239i,0.011205+0.029005i,0.17597-0.044509i,0.25603-0.14643i,0.12643-0.132i,-0.053192-0.0021553i,-0.15266+0.091279i,-0.18485+0.092319i,-0.15852+0.076132i,-0.083027+0.08868i,0.014067+0.087705i,0.0788+0.052045i,0.088074+0.021459i,0.065063-0.00015673i,0.0058001-0.029138i,-0.072584-0.043518i,-0.11164-0.035786i,-0.09248-0.028423i,-0.053264-0.032593i,-0.034454-0.03396i,-0.035999-0.017728i,-0.036124+0.0070809i,-0.021563+0.019029i
-0.0056614-0.10816i,-0.11774-0.1454i,-0.2915-0.10089i,-0.37186-0.0015435i,-0.27831+0.06077i,-0.078393+0.073859i,0.10801+0.080456i,0.18116+0.075419i,0.14189+0.050746i,0.088099+0.011984i,0.05105-0.037408i,0.017864-0.067499i,-0.0023712-0.071062i,-0.017355-0.06079i,-0.017537-0.024208i,0.007266+0.029127i,0.026661+0.066958i,0.024783+0.076396i,0.020466+0.068997i,0.024343+0.052536i,0.02992+0.025564i,0.029832-0.002589i,0.028108-0.019347i
0.061954+0.079886i,0.17933+0.04327i,0.26022-0.092334i,0.24084-0.21771i,0.18769-0.24865i,0.13594-0.25452i,0.04985-0.27299i,-0.025314-0.24293i,-0.036248-0.15948i,-0.026371-0.091635i,-0.042179-0.059809i,-0.062199-0.03819i,-0.06099-0.01658i,-0.056734+0.0012965i,-0.06006+0.0080438i,-0.059+0.00075797i,-0.053144-0.0068052i,-0.044075-0.0044383i,-0.028293+0.0067381i,-0.0052918+0.020719i,0.017203+0.025637i,0.02735+0.01746i,0.01996+8.6783e-05i
-0.11902-0.019439i,-0.23371+0.025783i,-0.30086+0.1363i,-0.26616+0.23482i,-0.18038+0.21957i,-0.11823+0.10957i,-0.083747+0.017022i,-0.055061+0.0044138i,-0.023749+0.020357i,-0.0025849+0.032678i,0.015281+0.063817i,0.0287+0.083035i,0.012406+0.077888i,-0.0034261+0.089509i,0.013342+0.10992i,0.032466+0.11291i,0.031558+0.10723i,0.030228+0.095684i,0.042199+0.058292i,0.041132-0.0018421i,0.0093222-0.040596i,-0.026994-0.034408i,-0.03828-0.0088032i
0.072049-0.066479i,0.096195-0.15192i,0.073183-0.216i,0.020326-0.22718i,-0.031097-0.18287i,-0.042038-0.087856i,-0.045481-0.0086296i,-0.06957+0.012352i,-0.071164+0.021902i,-0.033227+0.021788i,-0.0063993-0.010261i,-0.007614-0.021203i,0.017835+0.0044315i,0.074957+0.0040912i,0.10687-0.034078i,0.10384-0.066016i,0.091855-0.083204i,0.069306-0.096252i,0.033685-0.098829i,0.0047584-0.078927i,-0.00073026-0.039446i,0.012839-0.0092484i,0.019883-0.0034439i
-0.036451+0.12476i,-0.059697+0.22753i,-0.078416+0.29416i,-0.059572+0.29275i,0.002956+0.23151i,0.036444+0.13331i,0.035686+0.068241i,0.043198+0.044786i,0.042344+0.0074585i,0.030231-0.035076i,0.026824-0.059961i,0.029908-0.068501i,0.024651-0.075645i,-0.0033022-0.092893i,-0.041896-0.096113i,-0.059043-0.073852i,-0.048124-0.04398i,-0.030912-0.02162i,-0.029603-0.0098668i,-0.040658+0.00089861i,-0.040235+0.011639i,-0.026547+0.0162i,-0.016688+0.019365i
-0.047224-0.087783i,-0.048328-0.11855i,-0.02333-0.11394i,-0.020951-0.048008i,-0.051283+0.063923i,-0.060465+0.11943i,-0.056851+0.0872i,-0.055314+0.062933i,-0.034564+0.072657i,-0.026668+0.063953i,-0.041201+0.052508i,-0.035827+0.041464i,-0.028391+0.013043i,-0.049965+0.00078813i,-0.075655+0.0055255i,-0.093564-0.0063669i,-0.11003-0.02701i,-0.11267-0.02969i,-0.094384-0.0085328i,-0.062233+0.019208i,-0.026314+0.029416i,-0.00039953+0.019166i,0.010437+0.0027677i
0.082676+0.019496i,0.08441+0.010893i,0.022556+0.014005i,-0.023226+0.0070643i,-0.015329-0.066631i,-0.033177-0.13146i,-0.071984-0.082091i,-0.068383+0.00094503i,-0.044383+0.028865i,-0.03012+0.027389i,-0.02093+0.019593i,-0.026674+0.013163i,-0.029285+0.030681i,-0.00018129+0.064956i,0.041792+0.095811i,0.065961+0.12675i,0.069959+0.14823i,0.064705+0.13827i,0.055453+0.10706i,0.0459+0.073753i,0.035968+0.043938i,0.02409+0.021927i,0.01686+0.017376i
-0.048732+0.045344i,-0.01612+0.070564i,0.095339+0.066319i,0.19459+0.063848i,0.20397+0.10683i,0.15898+0.14934i,0.11446+0.11884i,0.090853+0.054102i,0.073213+0.015123i,0.048386+0.020693i,0.03515+0.043173i,0.033016+0.049728i,0.04086+0.038357i,0.057646-0.0045358i,0.050841-0.071025i,0.020649-0.11246i,-0.0039432-0.10723i,-0.012142-0.07461i,-0.0076671-0.051247i,0.0015507-0.051561i,0.011516-0.056147i,0.016363-0.055361i,0.0098796-0.049386i
-0.016067-0.077314i,-0.10477-0.084261i,-0.21063+0.0015496i,-0.22426+0.095066i,-0.1459+0.082641i,-0.053504+0.012709i,0.032495-0.010858i,0.084251-0.00026237i,0.09159-0.0039739i,0.083711-0.019777i,0.074814-0.024521i,0.07261-0.023435i,0.05108-0.044955i,-0.016778-0.063962i,-0.079951-0.041762i,-0.083598-0.0036774i,-0.04343+0.010365i,-0.0024695+0.0043848i,0.016887+0.0034424i,0.015315+0.010781i,-0.00012569+0.008505i,-0.019303+5.2518e-05i,-0.028567-0.00063293i
0.10044+0.053592i,0.20408-0.0017461i,0.2876-0.17141i,0.27788-0.30567i,0.22693-0.26373i,0.18094-0.13581i,0.099865-0.066791i,0.0040446-0.051325i,-0.044081-0.026354i,-0.035634-0.011066i,-0.017069-0.02832i,-0.023068-0.043775i,-0.041784-0.022909i,-0.043817+0.030811i,-0.02692+0.084185i,-0.014949+0.10226i,-0.015092+0.080614i,-0.014985+0.041405i,-0.01355+0.011447i,-0.015047+0.0035476i,-0.017895+0.011761i,-0.017893+0.02634i,-0.0058715+0.034063i
-0.12105+0.016503i,-0.20827+0.1142i,-0.21089+0.25959i,-0.11551+0.29935i,-0.034018+0.17347i,-0.032706+0.017111i,-0.038556-0.042531i,-0.0095392-0.031666i,0.016925-0.025366i,0.017858-0.03682i,0.0049421-0.052283i,-0.0045013-0.055062i,0.0038995-0.029714i,0.041631+0.0018656i,0.094762+0.0055406i,0.12615-0.0059036i,0.11548-0.0073635i,0.076304-0.0049093i,0.044197-0.0052447i,0.033307-0.0093244i,0.02791-0.010871i,0.018915-0.003292i,0.011313+0.0035765i
0.10372-0.088195i,0.13406-0.21509i,0.060504-0.33197i,-0.089045-0.32682i,-0.18495-0.19113i,-0.15358-0.040047i,-0.067968+0.02546i,-0.011775+0.024816i,0.0050438+0.023333i,-0.0064609+0.031794i,-0.030231+0.047143i,-0.039423+0.062394i,-0.016496+0.043809i,0.012483-0.022522i,0.0064092-0.10083i,-0.024784-0.1488i,-0.0486-0.15038i,-0.057389-0.11082i,-0.052908-0.063396i,-0.041308-0.031224i,-0.022398-0.0072362i,0.0088368+0.0035389i,0.032128-0.010226i
-0.049271+0.13895i,-0.047378+0.24955i,-0.0028443+0.29474i,0.064423+0.21303i,0.092208+0.0494i,0.044712-0.077402i,-0.027967-0.10087i,-0.058427-0.075433i,-0.050683-0.066943i,-0.031722-0.052571i,-0.0030499-0.022369i,0.017191-0.0064644i,0.00433-0.0091163i,-0.040189-0.0090268i,-0.095379+0.015819i,-0.13432+0.056051i,-0.13481+0.083542i,-0.093165+0.085139i,-0.041307+0.061605i,-0.010395+0.031286i,-1.4788e-05+0.0088927i,-0.0034681-0.0057513i,-0.019707-0.0052459i
-0.050468-0.12709i,-0.09737-0.21107i,-0.13659-0.20408i,-0.15729-0.052205i,-0.12088+0.16164i,-0.0213+0.25819i,0.043406+0.18844i,0.021437+0.092382i,-0.017341+0.062345i,-0.013945+0.052469i,0.0097831+0.026526i,0.018667+0.0046584i,0.0029121+0.0098313i,-0.013911+0.039557i,-0.0029695+0.074433i,0.024831+0.098975i,0.039242+0.10194i,0.030636+0.083856i,0.014351+0.057363i,0.0087929+0.033354i,0.014+0.013485i,0.015708-0.0050953i,0.0069463-0.0166i
0.097392+0.060244i,0.14529+0.12746i,0.12489+0.16098i,0.076924+0.082306i,0.025988-0.10192i,-0.03531-0.23081i,-0.070788-0.19377i,-0.065294-0.085628i,-0.045252-0.015046i,-0.032115+0.0047626i,-0.034919-0.0055231i,-0.034184-0.01061i,-0.0031472+0.00035387i,0.040348+0.005016i,0.075327-0.004893i,0.10851-0.015689i,0.1325-0.018796i,0.12551-0.026783i,0.085674-0.0374i,0.036894-0.039105i,-0.00053315-0.034837i,-0.0243-0.017564i,-0.027411+0.013761i
-0.12981+0.015605i,-0.17774-0.0085982i,-0.15583-0.048763i,-0.056841+0.0069345i,0.075366+0.15442i,0.15543+0.22769i,0.13162+0.18287i,0.078778+0.1278i,0.059612+0.097743i,0.047148+0.070771i,0.030336+0.056761i,0.020762+0.046458i,0.016686+0.022273i,0.010123-0.0089551i,-0.012299-0.047975i,-0.045191-0.099503i,-0.064544-0.13201i,-0.06417-0.11688i,-0.055127-0.069633i,-0.04251-0.021121i,-0.026542+0.008422i,-0.011637+0.012251i,0.00095294-0.00069495i
0.060933-0.094474i,0.085039-0.073042i,0.098821+0.021951i,0.058199+0.050371i,-0.068686-0.033195i,-0.19471-0.088099i,-0.19445-0.049468i,-0.099664-0.0030274i,-0.015405-0.0024248i,0.021501-0.012995i,0.030518-0.0058419i,0.038385-0.001189i,0.033902-0.017484i,0.006785-0.024194i,-0.025373+0.0020826i,-0.057298+0.037836i,-0.082546+0.045642i,-0.081671+0.033426i,-0.053576+0.025277i,-0.020967+0.022227i,-0.0021029+0.024133i,0.0071053+0.030725i,0.01698+0.03195i
0.030884+0.069745i,0.017166+0.035359i,-0.040774-0.076014i,-0.046304-0.12067i,0.060177-0.044051i,0.17609+0.041204i,0.19193+0.057597i,0.13774+0.026256i,0.069463-0.0080718i,0.028445-0.023737i,0.014938-0.040291i,-0.0088029-0.046065i,-0.029851-0.016774i,-0.016842+0.012668i,0.015801+0.024609i,0.036599+0.043155i,0.033953+0.071005i,0.02363+0.081999i,0.021855+0.068106i,0.026264+0.043106i,0.025103+0.018432i,0.015963+0.0010059i,0.0028056-0.01104i
-0.088177-0.011066i,-0.070847+0.040476i,0.047838+0.11338i,0.12643+0.10649i,0.063573+0.023203i,-0.032002-0.042287i,-0.044635-0.079765i,-0.017729-0.10011i,0.00076725-0.092731i,0.0009632-0.070578i,-0.00496-0.050222i,-0.0015741-0.041428i,-0.00098127-0.03885i,-0.012449-0.038475i,-0.022774-0.0443i,-0.0080579-0.043139i,0.021047-0.027917i,0.032613-0.019821i,0.023861-0.031195i,0.0076221-0.043954i,0.00039128-0.042596i,0.0072541-0.033183i,0.011932-0.02061i
0.090188-0.079987i,0.036482-0.1569i,-0.13341-0.18887i,-0.24709-0.12009i,-0.17524-0.013938i,-0.038503+0.041384i,0.029879+0.063381i,0.031061+0.071895i,0.0089829+0.07294i,-0.0065012+0.065227i,-0.016465+0.059593i,-0.021207+0.066627i,-0.014208+0.061736i,-0.013039+0.041609i,-0.023137+0.02348i,-0.026531-0.0027996i,-0.017508-0.030338i,-0.0053212-0.036963i,-0.0026984-0.023806i,-0.0046268-0.0029462i,-0.0042483+0.01035i,-0.0076368+0.0090214i,-0.011032+0.0029117i
-0.017211+0.14933i,0.071002+0.21399i,0.22911+0.15006i,0.28764-0.015662i,0.18068-0.13511i,0.039807-0.16207i,-0.06964-0.14031i,-0.11483-0.08887i,-0.090423-0.048453i,-0.05415-0.027613i,-0.024522-0.015462i,-0.0037874-0.019359i,0.00015202-0.017853i,0.003691+0.0069507i,0.0053195+0.040235i,-0.012903+0.062131i,-0.038688+0.062402i,-0.047164+0.049439i,-0.038093+0.034312i,-0.023857+0.017212i,-0.012913+0.0012798i,-0.0086924-0.0081946i,-0.0060337-0.010171i
-0.099142-0.13893i,-0.23894-0.16756i,-0.35793-0.018155i,-0.30774+0.20399i,-0.12201+0.29731i,0.037119+0.26112i,0.12375+0.16747i,0.12749+0.071094i,0.077404+0.028137i,0.044581+0.017124i,0.031582+0.002077i,0.025115-0.0052943i,0.026658-0.0051756i,0.037198-0.0068355i,0.064573-0.016967i,0.090429-0.030804i,0.089992-0.034065i,0.071621-0.025558i,0.052009-0.016876i,0.03571-0.0099245i,0.02325+0.0021576i,0.012624+0.01559i,0.0010926+0.018684i
0.18048+0.07511i,0.33892+0.039024i,0.35968-0.12377i,0.18621-0.28914i,-0.014031-0.33883i,-0.13248-0.30655i,-0.1742-0.20593i,-0.13335-0.091935i,-0.065299-0.037845i,-0.030085-0.018613i,-0.020621-0.0091398i,-0.02445-0.0058423i,-0.019871-0.0052047i,-0.013357-0.026574i,-0.030728-0.050311i,-0.046158-0.041142i,-0.034398-0.017374i,-0.017235-0.011423i,-0.014269-0.017411i,-0.02077-0.019104i,-0.026369-0.018473i,-0.026129-0.013119i,-0.019023-1.4751e-05i
-0.21594+0.053422i,-0.36096+0.17981i,-0.31265+0.32533i,-0.073801+0.37594i,0.12941+0.32982i,0.20592+0.25087i,0.18253+0.15065i,0.096622+0.077745i,0.032775+0.059748i,0.019102+0.050144i,0.015948+0.039093i,0.0085893+0.032029i,-0.0075839+0.02416i,-0.02464+0.024033i,-0.03287+0.02042i,-0.039748-0.0063168i,-0.048266-0.035904i,-0.052418-0.033957i,-0.041951-0.0058822i,-0.016147+0.016442i,0.012133+0.020407i,0.030942+0.012917i,0.03488+0.0036258i
0.14903-0.17779i,0.22294-0.36862i,0.1394-0.45594i,-0.080044-0.36095i,-0.26996-0.21753i,-0.34265-0.11597i,-0.29885-0.029361i,-0.17885+0.021641i,-0.074081+0.016333i,-0.029067+0.0048931i,-0.0083852+0.0073661i,0.012638+0.0086264i,0.024901+0.0010848i,0.011616+0.0021547i,-0.012659+0.030134i,-0.024637+0.073918i,-0.028085+0.10279i,-0.025991+0.096654i,-0.017147+0.063381i,-0.014997+0.028171i,-0.024314+0.0085499i,-0.028072+0.0041646i,-0.017388+0.0043186i
-0.021097+0.24849i,0.0082928+0.46042i,0.10348+0.51149i,0.23394+0.33817i,0.33222+0.14096i,0.35428+0.044626i,0.29666+0.004433i,0.19224+0.00051664i,0.11062+0.015059i,0.074871+0.0037552i,0.054241-0.019965i,0.034183-0.026915i,0.023066-0.01415i,0.040768-0.0046309i,0.073384-0.020912i,0.082458-0.048616i,0.070303-0.056684i,0.062242-0.045789i,0.058519-0.035523i,0.048011-0.026966i,0.036139-0.01633i,0.025214-0.013825i,0.011363-0.02039i
-0.12238-0.2161i,-0.25623-0.395i,-0.34731-0.41235i,-0.3372-0.19771i,-0.2759+0.038084i,-0.22479+0.12495i,-0.16309+0.10801i,-0.082224+0.046126i,-0.039773-0.010276i,-0.03415-0.018706i,-0.027371-0.0087119i,-0.015661-0.011694i,-0.010597-0.022909i,-0.02561-0.023388i,-0.044138-0.0026643i,-0.031456+0.024055i,0.0026763+0.028396i,0.018499+0.013029i,0.0063871+0.0013549i,-0.0086032+0.0034378i,-0.010683+0.011703i,-0.0059938+0.017405i,-0.00063211+0.019422i
0.21743+0.11744i,0.42244+0.20302i,0.51153+0.18932i,0.40139+0.027288i,0.24517-0.13189i,0.17782-0.17602i,0.14599-0.14884i,0.093074-0.086047i,0.053177-0.032326i,0.02832-0.02344i,-0.00070382-0.027043i,-0.023142-0.014919i,-0.023372+0.0011578i,-0.0069135-0.0062684i,-0.0018517-0.036818i,-0.0249-0.059877i,-0.05261-0.060695i,-0.05833-0.048944i,-0.041597-0.030974i,-0.014618-0.017728i,0.0069384-0.019457i,0.011034-0.024452i,-0.0010565-0.023428i
-0.23243+0.031125i,-0.45115+0.050595i,-0.52089+0.082567i,-0.33202+0.12949i,-0.098141+0.14657i,-0.02384+0.12479i,-0.050707+0.098714i,-0.066315+0.063198i,-0.058566+0.037777i,-0.040802+0.04133i,-0.017234+0.041449i,-0.0050814+0.024275i,-0.010517+0.014931i,-0.019066+0.036246i,-0.012358+0.074587i,0.010276+0.093058i,0.021183+0.085127i,0.012383+0.067844i,-0.00074673+0.048083i,-0.013503+0.027963i,-0.021738+0.014006i,-0.018698+0.0084974i,-0.0062303+0.0087594i
0.1602-0.13575i,0.32962-0.25735i,0.37916-0.31025i,0.20142-0.25527i,-0.0027303-0.15809i,-0.044242-0.1085i,-0.0021511-0.1089i,0.024639-0.089854i,0.029173-0.053564i,0.018801-0.034254i,0.0031169-0.021101i,0.00069645-0.0047541i,0.011094-0.0027223i,0.013392-0.028249i,0.00024655-0.063264i,-0.01487-0.074281i,-0.019409-0.058773i,-0.016209-0.041708i,-0.012451-0.03162i,-0.0085414-0.020062i,-0.0041579-0.0061547i,-0.005757+0.0048194i,-0.012385+0.012981i
-0.059297+0.19051i,-0.15117+0.36495i,-0.1933+0.4295i,-0.088199+0.28669i,0.044106+0.07496i,0.058982-0.017036i,0.015069+0.012904i,-0.0061458+0.041396i,-0.0025401+0.038217i,0.019359+0.037595i,0.042269+0.033717i,0.043932+0.024208i,0.037484+0.021834i,0.044083+0.028009i,0.057429+0.034505i,0.06126+0.030521i,0.052822+0.018763i,0.041724+0.015323i,0.035597+0.020477i,0.030215+0.019892i,0.020256+0.013604i,0.013303+0.0095406i,0.017385+0.0058911i
-0.039726-0.17291i,-0.047671-0.35703i,-0.048547-0.43219i,-0.086765-0.25508i,-0.1173-0.0005978i,-0.093213+0.090462i,-0.061781+0.03693i,-0.054044-0.015181i,-0.049479-0.024551i,-0.045496-0.019655i,-0.045342-0.0085106i,-0.038399+0.00015314i,-0.034644-0.002758i,-0.05135-0.010082i,-0.075839-0.012613i,-0.084087-0.0086581i,-0.072811-0.0022435i,-0.053159+0.0049777i,-0.030825+0.0093807i,-0.008086+0.0038163i,0.010401-0.0064072i,0.022614-0.012039i,0.023215-0.013726i
0.1053+0.10733i,0.18765+0.25962i,0.21579+0.34067i,0.16152+0.20078i,0.062604-0.020025i,-0.0067857-0.095368i,-0.0086821-0.036112i,0.016019+0.016413i,0.029693+0.016996i,0.034649-0.0088824i,0.038344-0.038522i,0.036147-0.050046i,0.033578-0.042315i,0.041171-0.034758i,0.051401-0.030124i,0.050931-0.019605i,0.042985-0.0051461i,0.039143-0.0038901i,0.028137-0.019719i,-0.00058634-0.025506i,-0.024246-0.011795i,-0.027522-0.0012308i,-0.021398-0.0045712i
-0.12405-0.035893i,-0.26272-0.11854i,-0.32601-0.16285i,-0.21811-0.050927i,-0.037079+0.11719i,0.06047+0.1595i,0.037901+0.096026i,-0.011438+0.056796i,-0.02526+0.052482i,-0.019113+0.048114i,-0.015499+0.045959i,-0.018241+0.039743i,-0.025069+0.033283i,-0.032346+0.042196i,-0.035596+0.05069i,-0.030258+0.038754i,-0.022371+0.014573i,-0.021764-0.00074362i,-0.020343-0.00011774i,-0.0072701+0.001563i,0.0071345-0.0048454i,0.0075016-0.013108i,-0.0021414-0.010914i
0.10683-0.036688i,0.25167-0.033468i,0.33184-0.023471i,0.22626-0.05336i,0.036293-0.10552i,-0.063332-0.10404i,-0.038045-0.063739i,0.011111-0.043579i,0.016918-0.043402i,-0.0035869-0.040742i,-0.018356-0.040819i,-0.016684-0.040881i,-0.0054758-0.038904i,0.00087366-0.047236i,-0.0010946-0.053607i,-0.0042138-0.038784i,-0.0034418-0.016814i,-0.0046317-0.0074125i,-0.012162-0.0028585i,-0.016396+0.0088009i,-0.01528+0.022357i,-0.012473+0.032188i,-0.007064+0.031827i
-0.063728+0.06084i,-0.17355+0.11745i,-0.24255+0.13995i,-0.14097+0.12493i,0.054769+0.10481i,0.14711+0.077366i,0.11213+0.058052i,0.060017+0.051718i,0.042194+0.045868i,0.04474+0.036994i,0.043736+0.036912i,0.031229+0.043441i,0.021414+0.048851i,0.029465+0.055383i,0.042115+0.053843i,0.035611+0.038107i,0.013127+0.023598i,0.0020248+0.020938i,0.009086+0.016398i,0.013857-0.0013263i,0.010432-0.021521i,0.0057256-0.029091i,0.00062447-0.022231i
0.027498-0.067347i,0.080619-0.15429i,0.12702-0.21707i,0.066518-0.20074i,-0.070148-0.13969i,-0.13313-0.083996i,-0.10036-0.056359i,-0.053832-0.049948i,-0.038818-0.036678i,-0.046226-0.011184i,-0.052661-4.1041e-05i,-0.047316-0.0082662i,-0.038912-0.022771i,-0.048396-0.032574i,-0.063454-0.026935i,-0.050098-0.0080542i,-0.016512+0.0050091i,0.0022241+0.0041165i,-0.0018336+0.0053952i,-0.0052917+0.022342i,0.007233+0.039028i,0.022988+0.039735i,0.028275+0.027679i
-0.0015274+0.048069i,-0.021871+0.12777i,-0.046004+0.19325i,-0.01969+0.16565i,0.052281+0.079899i,0.10241+0.0251i,0.098077+0.0030404i,0.063271-0.0020735i,0.045968-0.0086668i,0.048396-0.029936i,0.050767-0.037669i,0.047991-0.023674i,0.045581-0.010426i,0.055507-0.013175i,0.065732-0.030977i,0.050533-0.047161i,0.019724-0.046633i,0.0018103-0.033592i,0.0029486-0.0229i,0.0064364-0.024204i,-0.0017364-0.032971i,-0.016721-0.03472i,-0.020942-0.023903i
-0.007625-0.035586i,-0.022337-0.10714i,-0.045079-0.16916i,-0.076462-0.14359i,-0.10487-0.069181i,-0.12254-0.031757i,-0.11333-0.019993i,-0.07907-0.011642i,-0.046586+0.0038856i,-0.023905+0.033796i,-0.010863+0.048242i,-0.0089712+0.035916i,-0.018061+0.022644i,-0.039194+0.031732i,-0.052125+0.05777i,-0.03817+0.06897i,-0.01664+0.054122i,-0.0073698+0.034393i,-0.0010234+0.021551i,0.010507+0.010548i,0.017123+0.0022072i,0.018651-0.0021275i,0.018238-0.0088469i
