-0.0016569+0.00045078i,-5.0301e-05+0.00021646i,-0.00075011+0.00048149i,-0.0008662+0.00027009i,-0.00059515+0.0014652i,-0.00067006+0.0020583i,-0.0006518+0.0022142i,0.00024978+0.00287i,0.00073864+0.0023122i,0.0011655+0.0012507i,0.0014087+0.00051832i,0.00082093+3.2924e-05i,0.00038093-8.2856e-05i,0.00052483-0.00016361i,-2.5396e-05-7.9e-06i,-0.00050484-0.00023741i,3.7232e-05-0.00098947i,0.00054949-0.00065623i,0.00039097-0.00025004i,-0.00041632-0.00096902i,-8.1686e-05-0.0011182i,0.00037672-0.00078261i,7.9479e-05-0.00041032i
0.042077+0.017884i,0.11613+0.084131i,0.20388+0.19953i,0.22706+0.2764i,0.14873+0.22464i,0.047897+0.10276i,0.0067961+0.024109i,0.0064008-0.00076691i,0.0042363-0.0040197i,-0.0019302+0.0042854i,-0.0031935+0.010595i,-0.0025161+0.0090609i,-0.00011745+0.0055718i,0.0032717+0.0031975i,0.0025126+0.0011449i,-0.00155+0.00037285i,-0.0019536+0.0015182i,0.00029406+0.00095164i,0.00015811-0.0021845i,-0.0026227-0.0074838i,-0.0056091-0.013651i,-0.0072981-0.015096i,-0.0055385-0.011106i
-0.036178+0.015869i,-0.12973+0.021243i,-0.27032+0.0013835i,-0.34145-0.039077i,-0.25365-0.057026i,-0.10443-0.039068i,-0.026732-0.01071i,-0.012324+0.0077848i,-0.006165+0.0089316i,-0.0030328-0.0015631i,-0.0043369-0.0079389i,-0.002311-0.0081669i,-0.00010832-0.0058932i,0.00048922-0.0024043i,0.0022737-0.00027722i,0.0027747-0.001478i,0.00044148-0.0019565i,-0.0009608+0.00099581i,0.00078605+0.0037995i,0.0052165+0.0054129i,0.01111+0.0071991i,0.014429+0.0068351i,0.012404+0.0043347i
0.014724-0.038011i,0.072134-0.10698i,0.17932-0.18843i,0.25475-0.20408i,0.20845-0.12563i,0.095131-0.037619i,0.021286-0.0085588i,-0.004586-0.012539i,-0.01034-0.0099086i,-0.0027937-0.00099177i,0.0071693+0.0028542i,0.01+0.0032253i,0.0084653+0.0019343i,0.005323-0.00083046i,0.0013759-0.00043067i,-0.00057236+0.0022318i,-0.0003681+0.0014908i,-0.0012945-0.00083901i,-0.00505-0.00094313i,-0.0097539+0.0023555i,-0.014374+0.0056169i,-0.016054+0.0060241i,-0.012283+0.0032759i
0.018988+0.030843i,0.030522+0.11332i,0.012099+0.24131i,-0.034296+0.30575i,-0.060723+0.22318i,-0.042116+0.088432i,-0.0093143+0.018956i,0.010375+0.0018396i,0.010289-0.005123i,-0.0010327-0.0039733i,-0.00673+0.0029146i,-0.0065532+0.0059305i,-0.0045588+0.0055666i,-0.0011185+0.0033117i,-0.00063407-0.0015572i,-0.0018096-0.0050133i,0.00027132-0.0041275i,0.0049387-0.0024788i,0.007814-0.0046363i,0.0083649-0.010008i,0.0096985-0.014925i,0.0095977-0.015123i,0.0064716-0.0099304i
-0.027225-0.0077417i,-0.08904-0.054436i,-0.16338-0.1524i,-0.17753-0.22802i,-0.10534-0.1919i,-0.029649-0.090053i,-0.0053-0.021645i,-0.0045122+0.00049761i,-0.00032697+0.001953i,0.0025506-0.0056083i,1.2679e-05-0.0097102i,-0.0019421-0.0072833i,-0.0017082-0.0036819i,-0.00044726-0.00045093i,0.0025835+0.001889i,0.0054918+0.0024697i,0.0042799+0.0014115i,9.2778e-05+0.0021193i,-0.00082666+0.0065754i,0.0026871+0.012247i,0.005664+0.017306i,0.0059594+0.018308i,0.002819+0.014085i
0.026846-0.017846i,0.099194-0.030157i,0.21069-0.016432i,0.26458+0.030436i,0.19106+0.061918i,0.075391+0.044198i,0.017099+0.011818i,0.0062555-0.0045365i,0.0048286-0.0059448i,0.0050983-0.00038472i,0.0059143+0.0024973i,0.0044442+0.00171i,0.0028624+0.0012902i,0.0013284+0.00093987i,-0.0017138+0.00013984i,-0.0043594+0.00063806i,-0.0033656+0.00079105i,-0.0022482-0.0020857i,-0.0059-0.0064756i,-0.013883-0.0096111i,-0.019434-0.01114i,-0.016939-0.010393i,-0.0093625-0.008634i
0.00056562+0.027994i,-0.035436+0.082586i,-0.11967+0.14788i,-0.19264+0.1532i,-0.16859+0.084205i,-0.079738+0.01919i,-0.019113+0.0044621i,-0.00070639+0.011266i,0.0035069+0.010442i,0.0013766+0.0033273i,-0.0019581-0.0012721i,-0.0025402-0.0021291i,-0.0016119-0.0011978i,0.00030385-0.0013434i,0.0032359-0.0032598i,0.0051532-0.0050981i,0.0043767-0.003143i,0.0039804+0.0013311i,0.0074765+0.0022828i,0.013935-3.1838e-05i,0.018812-0.0028594i,0.018201-0.0039442i,0.013317-0.0020618i
-0.014501-0.018496i,-0.026946-0.080498i,-0.015116-0.17887i,0.029963-0.22806i,0.059717-0.1647i,0.041964-0.063852i,0.00742-0.012297i,-0.012424-0.0013535i,-0.012784+0.0011983i,-0.0017291-0.00016712i,0.006011-0.0036443i,0.0064593-0.0043276i,0.0045483-0.0034639i,0.0024347-0.0019921i,0.00068437+0.0021434i,2.011e-05+0.0059871i,-0.0012525+0.004468i,-0.0042509+0.0012744i,-0.0075775+0.0033088i,-0.010684+0.010717i,-0.012255+0.017071i,-0.010928+0.015279i,-0.0090594+0.0088773i
0.026213-0.0011266i,0.075026+0.026036i,0.12938+0.097125i,0.12865+0.1629i,0.065602+0.14332i,0.0095423+0.067257i,-0.0033109+0.014176i,0.0019266-0.0049964i,0.0014199-0.0078166i,-0.0015594-0.00055634i,-0.00035667+0.0055487i,0.0021063+0.0057586i,0.0031433+0.0044129i,0.0017234+0.0021873i,-0.0026045-0.0014158i,-0.0058212-0.0043865i,-0.0032416-0.005476i,0.0022081-0.0067901i,0.0046711-0.010546i,0.002622-0.017412i,-0.00049913-0.021931i,-0.0011236-0.01873i,7.2554e-05-0.01058i
-0.011076+0.015335i,-0.060208+0.028796i,-0.14541+0.018334i,-0.19198-0.024115i,-0.13816-0.053045i,-0.052623-0.039692i,-0.010068-0.01431i,-0.0013546-0.0011336i,-0.00037195-0.00053591i,-0.0024078-0.0044619i,-0.0043163-0.0040292i,-0.0028515-0.00028945i,-0.0014047+0.0024946i,0.00089228+0.0018963i,0.0060273-0.00021982i,0.0096188-0.00060447i,0.0073791+0.00057806i,0.0031161+0.003561i,0.0046481+0.0079237i,0.012749+0.011897i,0.01786+0.013995i,0.01387+0.013112i,0.0064211+0.010551i
0.00040812-0.019917i,0.022964-0.061652i,0.082198-0.11094i,0.13744-0.1116i,0.12053-0.054084i,0.055261-0.0073782i,0.012029+8.4092e-05i,0.00026819-0.0055819i,-2.422e-05-0.0063517i,0.0025006-0.0036904i,0.0025118-0.002294i,0.0010537-0.0013743i,0.0012648-5.2801e-05i,0.0017251+0.0019816i,-0.00088853+0.0042944i,-0.004468+0.0050877i,-0.0046805+0.0037526i,-0.0043261+0.00017451i,-0.0089412-0.002124i,-0.018155-0.00043634i,-0.023114+0.0013852i,-0.018749-0.00044671i,-0.010872-0.0036246i
0.015715+0.010418i,0.030007+0.049239i,0.023303+0.11938i,-0.017305+0.15711i,-0.047074+0.10993i,-0.034727+0.038326i,-0.009729+0.0069526i,0.0042989+0.003087i,0.0075027+0.0017271i,0.0038924-0.00021586i,0.00042487-0.00056839i,-0.00034019-0.00064221i,-0.00023909+0.00014846i,-0.00061054+0.00083883i,-0.00047423-0.00269i,0.00028209-0.007231i,0.0013553-0.0063805i,0.0034997-0.001474i,0.0068979-0.00078696i,0.011309-0.0076076i,0.01373-0.013642i,0.011797-0.011086i,0.007761-0.0052639i
-0.012688+0.00029946i,-0.045549-0.016763i,-0.088228-0.065491i,-0.089591-0.11387i,-0.041701-0.10201i,-0.0042684-0.046571i,0.00056768-0.0082516i,-0.0039358+0.004662i,-0.0034854+0.0059674i,0.00090446+0.00069785i,0.002595-0.0033057i,0.0016968-0.0030209i,0.00066633-0.0024264i,0.00094427-0.0016879i,0.0028756+0.0013807i,0.0042439+0.0039408i,0.0025906+0.0032428i,-0.00084296+0.0030834i,-0.0036146+0.0067453i,-0.0031135+0.014442i,-0.0006054+0.019468i,-0.0012615+0.015435i,-0.0039203+0.0086505i
0.012552-0.012632i,0.044998-0.024414i,0.099207-0.021171i,0.1275+0.012049i,0.089373+0.038861i,0.030931+0.028077i,0.0028326+0.0062848i,-0.0017636-0.003602i,-0.0015397-0.0040507i,0.00087704-0.00029362i,0.0034017+0.0017248i,0.0031055+0.00092532i,0.0026582+0.00057828i,0.0016253+0.0012314i,-0.002065+0.0014734i,-0.004886+0.00072377i,-0.003455-0.00069407i,-0.00022502-0.0028118i,-0.0009411-0.007358i,-0.006294-0.013136i,-0.010228-0.015595i,-0.0081147-0.012426i,-0.0035659-0.0074465i
0.004146+0.010828i,-0.0087459+0.038001i,-0.049401+0.070086i,-0.093896+0.069095i,-0.08801+0.031192i,-0.042262+0.0027387i,-0.0095557-0.0013283i,0.00051927+0.001621i,0.0021338+0.002047i,0.00013822+0.00079021i,-0.0012763+0.00039171i,0.00016096+0.001229i,0.00082521+0.0020354i,0.00040174+0.00047049i,0.001563-0.0020666i,0.0029391-0.0034453i,0.002163-0.0024302i,0.0018541+0.0011154i,0.005499+0.00325i,0.013301+0.0032789i,0.018004+0.0024543i,0.014968+0.0028486i,0.0093335+0.0044234i
-0.0065878-0.0069862i,-0.016583-0.032934i,-0.013602-0.078541i,0.013899-0.10538i,0.033836-0.074406i,0.023488-0.024837i,0.004795-0.0029619i,-0.0045917-0.0012431i,-0.0053849-0.0017738i,-0.0025033-0.0008022i,-0.00043396-2.1584e-06i,0.00040827+0.0012612i,0.0011651+0.0014205i,0.0025023+0.00050418i,0.0019772+0.0026507i,0.0002809+0.004824i,0.00010396+0.0023772i,5.9454e-05-0.00042016i,-0.0046777+0.00024588i,-0.013056+0.0045711i,-0.016047+0.0081239i,-0.012264+0.0051325i,-0.0075388+0.00074751i
0.011656-0.0037832i,0.034808+0.0039909i,0.059384+0.036369i,0.055418+0.073496i,0.021895+0.069148i,-0.001976+0.032454i,-0.004593+0.0053413i,0.0003548-0.0029708i,0.0028967-0.0030119i,0.0009422-0.0017239i,-6.8653e-05-0.00043608i,0.00085754-6.0111e-06i,0.0014511+0.00035765i,0.00075289+1.2798e-05i,-0.001061-0.002593i,-0.0025257-0.0045273i,-0.0010486-0.00191i,0.0015051+0.0012488i,0.0034317-0.001235i,0.0053702-0.0088744i,0.0050113-0.013961i,0.0039656-0.011791i,0.003221-0.0077075i
-0.0009082+0.006902i,-0.018883+0.015192i,-0.05754+0.01117i,-0.082937-0.011604i,-0.060121-0.028506i,-0.021598-0.021253i,-0.0037048-0.0068729i,-0.00037711+0.00067314i,0.00027385+0.0012523i,0.00038794-0.0016204i,-0.00010861-0.002849i,0.00098031-0.0024887i,0.001738-0.0017449i,0.0013441-0.0015657i,0.0023992-0.0017149i,0.0031725-0.00097967i,0.0015307-0.00090547i,-0.0016141+0.00017105i,-0.0024272+0.0046457i,0.00097263+0.011361i,0.0039937+0.014576i,0.0027075+0.012085i,-0.00050228+0.0086048i
-0.0021516-0.0069298i,0.0049183-0.022627i,0.029313-0.044044i,0.057602-0.044057i,0.054025-0.017379i,0.025276+0.0011203i,0.0050596+0.0014127i,-0.0012958-0.0015118i,-0.0011598-0.0024317i,0.00052636-0.0021787i,0.00086428-0.0019861i,0.00020883-0.0009712i,0.00079893+0.00022192i,0.0018337+0.001011i,0.00052212+0.0019463i,-0.00097008+0.0021356i,0.0011856+0.00052063i,0.0033307-0.0011307i,0.00022621-0.0031673i,-0.0071252-0.0065994i,-0.011724-0.0079229i,-0.009061-0.0069639i,-0.0050301-0.0063066i
0.008107+0.0017825i,0.015439+0.015744i,0.012107+0.045389i,-0.0092997+0.063979i,-0.025854+0.045231i,-0.018476+0.014548i,-0.0040741+0.0011521i,0.0032148-0.00049061i,0.0039041-0.00011076i,0.001374+0.00014387i,-0.00074354-0.00027616i,-0.00082949-0.00099837i,-0.00039473-0.0010492i,-0.00015033-0.00027795i,2.2233e-05-0.00052302i,-7.9774e-05-0.0011952i,-0.0012767+0.00061574i,-0.0018721+0.0029302i,0.0010679+0.0031547i,0.0083384+0.0005282i,0.013267-0.0019547i,0.012312-0.0013388i,0.010265+0.00092628i
-0.003906+0.0025068i,-0.015389-0.003844i,-0.032705-0.022628i,-0.033146-0.04564i,-0.012632-0.043385i,0.0020267-0.019773i,0.0016456-0.0026117i,-0.0024754+0.0022719i,-0.0022048+0.0021688i,0.00041599+0.00044035i,0.0027203-0.00066867i,0.0045138-0.0012289i,0.0040137-0.0024255i,0.00215-0.0030904i,0.00054129-0.0012755i,-0.00094152+0.00010746i,-0.0011256-0.0019286i,-0.00074763-0.0039207i,-0.0029594-0.0023962i,-0.0075275+0.0033792i,-0.0095134+0.008111i,-0.008452+0.0070379i,-0.0073334+0.0043231i
0.003386-0.0053096i,0.01543-0.011675i,0.037354-0.0097656i,0.050089+0.0072687i,0.034259+0.021004i,0.0088403+0.015926i,-0.0026327+0.0043325i,-0.0033472-0.0021234i,-0.0018425-0.0023811i,-0.00028318-0.00060384i,-0.00037157+0.00055515i,-0.00021928+0.002676i,0.0012177+0.0035042i,0.0019564+0.0015562i,0.00041415-0.0012519i,-0.00037109-0.0022544i,0.0019054-0.00071286i,0.0041524+0.0021067i,0.0052837+0.00066047i,0.0051786-0.0069483i,0.0034859-0.012251i,0.0020773-0.011439i,0.0015299-0.0088855i
0.0037897+0.004017i,0.002087+0.01381i,-0.012966+0.024959i,-0.034988+0.023933i,-0.035288+0.0080642i,-0.016906-0.0047264i,-0.004477-0.0053741i,-0.0010723-0.0011486i,-0.00042473-1.1098e-05i,-0.00069151-0.0017983i,-0.0009944-0.0024634i,-0.0012802-0.0019864i,-0.0024558-0.00065508i,-0.0026464+0.00017272i,0.00021143+0.00020706i,0.0023167+0.00068418i,0.00056018+0.00064388i,-0.0025726+0.00057334i,-0.0024769+0.0033612i,0.0017928+0.0090155i,0.0050574+0.011685i,0.0046621+0.01042i,0.0034046+0.0084862i
-0.0014875-0.00047537i,-0.0054007-0.0079644i,-0.0041608-0.025326i,0.0066194-0.037664i,0.01499-0.02574i,0.010907-0.0073211i,0.002997-0.00012702i,-0.0010458+0.0001351i,-0.0013917-0.0011994i,-0.00055641-0.0015843i,2.0889e-05-0.0009861i,0.0012991-0.00089992i,0.0020359-0.0012911i,0.001565-0.00074735i,0.00064442+1.6062e-05i,-0.00015272+0.00025943i,0.0017701-0.001189i,0.0039398-0.0031546i,0.001463-0.0048286i,-0.0063203-0.0067064i,-0.011552-0.0061052i,-0.011117-0.0041181i,-0.0092212-0.0029366i
0.0030882+0.00083862i,0.011979+0.002404i,0.022485+0.014598i,0.022314+0.029509i,0.0082129+0.026827i,-0.0013232+0.010928i,-0.0020674+0.00089086i,-0.00023093-0.002115i,0.00098016-0.0029651i,0.0010362-0.0024637i,-0.00011697-0.00097617i,-0.0010639+0.00050834i,-0.00089701+0.0019497i,-0.00080582+0.0031092i,-0.00053012+0.0017187i,-3.6117e-05+0.00031869i,0.00011223+0.0020964i,0.0008924+0.003993i,0.0034807+0.0032324i,0.0086416-0.00021159i,0.011986-0.0035597i,0.011451-0.0048219i,0.009781-0.0040171i
0.0025512+0.00062065i,-0.0032186+0.0024643i,-0.018274+0.0010436i,-0.029614-0.0080287i,-0.022104-0.014315i,-0.0074453-0.008953i,-0.0011302-0.00095769i,-0.00050432+0.0018752i,0.00066921+0.0012796i,0.0017906-0.00019603i,0.0017165-0.0015405i,0.0023225-0.0032203i,0.0022429-0.0040841i,0.00085673-0.0029315i,0.00024532-0.00010274i,-0.00036429+0.0010591i,-0.001306-0.0010105i,-0.0031809-0.0030681i,-0.006109-0.00085447i,-0.0083705+0.005316i,-0.0085609+0.010074i,-0.0063882+0.0096764i,-0.0036134+0.0071744i
0.004097-0.00044197i,0.0064621-0.0088601i,0.015225-0.019197i,0.024415-0.018981i,0.021967-0.0075767i,0.0092032+2.8667e-05i,-0.0003631+0.00057096i,-0.0021531-0.00076085i,0.00012882-0.0013477i,0.0025157-0.0013707i,0.0036362-0.00014977i,0.0040892+0.00268i,0.0042439+0.0034847i,0.0033644+0.0013358i,0.0010028-0.00049704i,-0.00015191-0.0015424i,0.0016277-0.0014418i,0.003964+0.00011883i,0.0043894-0.002214i,0.002739-0.0096514i,0.00045509-0.013805i,-0.0014497-0.011617i,-0.0024014-0.0087618i
0.0033828-0.0026986i,0.005512+0.0018245i,0.0033993+0.011592i,-0.0071517+0.019667i,-0.014422+0.015294i,-0.011029+0.0057671i,-0.0052414+0.0009899i,-0.0015876+0.00081041i,0.0004501+0.0013768i,-0.00043664+0.00071049i,-0.0035178+6.5037e-05i,-0.0052715+0.00059526i,-0.0040463+0.0020301i,-0.0010864+0.0025139i,0.0012709+0.0012776i,0.0019117+0.00013593i,0.00010816+0.00054003i,-0.0015459+0.0025552i,-0.00017504+0.0065498i,0.005395+0.010855i,0.010167+0.010783i,0.0095587+0.0076756i,0.0060015+0.0056496i
0.0019251-0.0016086i,-0.0024122-0.0027137i,-0.008989-0.0092749i,-0.010326-0.017887i,-0.0045174-0.017246i,-0.00081577-0.0081527i,-0.00092027-0.0015405i,-0.0014588+0.00031518i,-0.0016983-0.00015174i,-0.00086369-0.0013716i,0.00084215-0.0026675i,0.0022281-0.0034622i,0.0021775-0.0027572i,0.00058359-0.0014265i,-2.1818e-06-0.00041438i,-0.00038337+0.00075794i,-7.7166e-05-4.9906e-05i,6.8841e-05-0.0024572i,-0.0042119-0.0041208i,-0.011395-0.0038962i,-0.015937-0.001489i,-0.014274+0.00033564i,-0.0096893+0.00087333i
0.0020884-0.001961i,0.0062961-0.0044906i,0.012399-0.0058574i,0.014823+0.00015177i,0.0078512+0.0065418i,-0.00095101+0.005748i,-0.0033515+0.0012373i,-0.0021302-0.0016506i,-0.00088808-0.002204i,-0.00037555-0.001683i,0.0006406+0.00060286i,0.0012573+0.0033525i,0.0014824+0.0031338i,0.0028649+0.00099489i,0.0028384-0.00066752i,0.00089646-0.0016879i,-0.00050988-0.00021007i,0.0010635+0.0023075i,0.0061799+0.0016521i,0.011861-0.0042273i,0.013515-0.010052i,0.010795-0.0099749i,0.0077881-0.0067867i
0.0019852+0.0023925i,0.0025154+0.0045413i,-0.0024028+0.0071568i,-0.011849+0.0069991i,-0.012443+0.0015617i,-0.0057727-0.0028834i,-0.0013032-0.0029228i,0.00024611-0.0015696i,0.00059959-0.0014657i,-0.00016235-0.0021433i,-0.00098566-0.0026848i,-0.0023275-0.0032153i,-0.0026962-0.0036076i,-0.00098542-0.0022066i,0.00057419+5.48e-05i,0.0016569+0.00014407i,0.00070791-0.0010841i,-0.0027855-0.00065146i,-0.0056437+0.0045333i,-0.005968+0.012585i,-0.0041765+0.016634i,-0.0024976+0.014328i,-0.0009393+0.0098009i
-0.00047824-0.0037509i,-8.7942e-07-0.0060177i,-0.00084584-0.010795i,0.0014703-0.013121i,0.0049254-0.0069212i,0.003645-0.00036396i,0.0011312+0.00026418i,-0.00051765-0.00025184i,-0.00084733-0.00091939i,0.0017809-0.0012617i,0.0052581-0.00023423i,0.0068731+8.4343e-05i,0.0063408-0.00066832i,0.0035303-0.0013i,0.00014662-0.0015661i,-0.0016024-0.0013083i,-0.0010211-0.00059181i,0.00017222-0.0016428i,-0.00092254-0.0065586i,-0.0044152-0.012153i,-0.0072978-0.013893i,-0.0079227-0.011392i,-0.0065444-0.007376i
0.0014889-0.0010484i,0.0046643-0.00021552i,0.0073456+0.0034435i,0.0049413+0.0086444i,-0.0008186+0.009616i,-0.0028069+0.0054377i,-0.0021038+0.0026268i,-0.0011055+0.0011334i,0.00095113-0.00015381i,0.0013984+0.00094088i,-0.00068305+0.0028446i,-0.0020249+0.0042431i,-0.0014568+0.0041412i,0.0005343+0.0017237i,0.0014793-0.0014982i,0.000211-0.0030831i,-0.0014961-0.0025522i,-0.00082911-0.00039456i,0.0047957+0.003227i,0.012845+0.0056903i,0.017138+0.0061163i,0.014308+0.0047914i,0.0093727+0.0029369i
0.0013569-0.00048216i,-0.0012557-0.0015394i,-0.0070483-0.0028658i,-0.010601-0.0043993i,-0.0090128-0.0048433i,-0.0044187-0.0016176i,-0.0011862+0.00088569i,-0.00094353+0.0015664i,-0.0012542+0.0015868i,-0.0020624+0.00023114i,-0.0029705-0.0019263i,-0.0026816-0.0031224i,-0.001962-0.0026423i,-0.001026-0.0009774i,0.00035471+0.00070893i,0.0019883+0.0012692i,0.0023344+0.00094884i,-0.00044679+0.0003188i,-0.0064366+0.0005282i,-0.013558+0.0035228i,-0.016662+0.0064654i,-0.01353+0.006672i,-0.0084155+0.0050097i
0.001533-0.0029298i,0.0037006-0.0046961i,0.0043013-0.0067558i,0.0050339-0.0052161i,0.0043413-0.00061195i,0.00082476+0.0012906i,-0.0025157+1.1101e-05i,-0.0024498-0.0008094i,-0.0012948-0.00079852i,-0.00036024-0.00093219i,0.0015371-7.8646e-05i,0.0030989+0.00079964i,0.0032936+0.00032963i,0.0024334-0.0011962i,0.00089718-0.0021033i,-0.00011125-0.0013767i,-0.00019971+0.00069712i,0.0018776+0.00091234i,0.0056288-0.004112i,0.0084715-0.012306i,0.0075158-0.016558i,0.0045988-0.014137i,0.0035333-0.009371i
0.00075757+0.0018842i,0.0030414+0.00454i,0.0031776+0.007697i,-0.00082718+0.0096004i,-0.0030865+0.0077457i,-0.0015944+0.0017584i,-0.00020954-0.0021565i,0.0011266-0.0022671i,0.0016354-0.001615i,0.0012272-0.0014889i,-0.00043901-0.0010298i,-0.0022621-0.00016134i,-0.0022417+0.00048625i,-0.00010013+0.0010482i,0.0022102+0.001145i,0.0021981+5.4711e-05i,0.00096853-0.00075747i,0.00025261+0.00070945i,0.00063246+0.0070371i,0.0029752+0.014736i,0.0050993+0.017871i,0.004295+0.014872i,0.0033791+0.0094805i
0.00094197-0.0015719i,-0.00023787-0.001594i,-0.0019961-0.0043269i,-0.0037162-0.0074163i,-0.0024934-0.0061499i,0.00074283-0.0017836i,0.00097395+5.1357e-05i,-0.00031789-7.4262e-05i,0.00015678-0.00082928i,0.0010424-0.0011728i,0.0021746-0.0014874i,0.0031555-0.0022693i,0.0028431-0.002478i,0.0016317-0.001832i,0.00064534-0.0006887i,0.00091684+0.00086433i,0.00087899+0.0012432i,-0.001164-0.00061366i,-0.0062558-0.005324i,-0.013058-0.0092984i,-0.016502-0.0099021i,-0.013805-0.0082195i,-0.0091269-0.0057618i
0.0010217+0.00058471i,0.0037109-0.00038471i,0.0060775-0.00034378i,0.0058877+0.0017055i,0.0032583+0.0025427i,0.00019608+0.0016928i,-0.00069333+0.00036927i,-0.00053056-0.00081757i,4.2102e-05-0.00085054i,0.00087835+0.00033637i,0.0015401+0.001956i,0.0020539+0.0031908i,0.0025124+0.0027611i,0.0022931+0.0013531i,0.00083917-0.00050852i,-0.00025727-0.0010592i,-0.00073911-1.0524e-05i,0.0011722+0.00054172i,0.0070636-0.0002938i,0.014409-0.0030935i,0.018086-0.0040658i,0.015193-0.0031164i,0.0097203-0.0021585i
0.0028788-0.0024744i,0.001902-0.0010856i,-0.0026472-0.00021615i,-0.0073106-0.00031377i,-0.0076325-0.0012037i,-0.0046621-0.00056653i,-0.0023129+0.00082342i,-0.00064852+0.0010848i,0.00023585+0.00056105i,-0.00011705+0.00012178i,-0.0012074+8.4154e-05i,-0.0026508-0.00031311i,-0.0026538+9.3549e-05i,-0.00069943+0.00069182i,0.001152+1.8421e-05i,0.0016443-0.0011723i,0.0010467-0.0024974i,-0.00042463-0.001206i,-0.0047979+0.004493i,-0.0098278+0.011828i,-0.010936+0.015728i,-0.0090969+0.013975i,-0.0062999+0.009169i
0.0021301+0.0019147i,0.0029429+0.00026702i,0.0041927-0.0022771i,0.0046347-0.0052396i,0.0055716-0.0048145i,0.0032281-0.0034516i,-0.00090393-0.0019327i,-0.0017508-0.00015505i,-0.00029061-4.2871e-05i,0.000253-0.0015876i,0.00018327-0.0026656i,0.0013286-0.0018698i,0.001168-0.00032208i,-0.00050569+4.3126e-05i,-0.00084285-0.0001729i,-0.00012082+0.00061614i,0.00030357+0.0016226i,0.00034284-0.00088819i,-0.00044418-0.0075547i,-0.0018151-0.015019i,-0.0024332-0.018222i,-0.0019757-0.014648i,-0.0011803-0.0087799i
0.00064712-0.00087734i,0.0023297-0.00069931i,0.0025257+0.00013792i,0.00070358+0.0019048i,-0.001856+0.0027815i,-0.0028953+0.00090246i,-0.0031671-0.00081916i,-0.0021418-0.0010287i,-0.00019655-0.0013105i,0.00080327-0.0012575i,0.00072583-0.00041193i,-5.5574e-05+0.0006632i,0.00044677+0.00086652i,0.0014167-0.00040211i,0.00092222-0.001277i,-0.00074548-0.00087206i,-0.00089656-0.00017248i,0.0013075+0.0017087i,0.0058719+0.0059303i,0.012037+0.010327i,0.01476+0.012184i,0.011845+0.010168i,0.0076786+0.0068117i
0.002264+0.00077423i,0.0019981+0.00042803i,-0.00038026-0.0014108i,-0.0033819-0.0036019i,-0.0044694-0.0044959i,-0.0029812-0.0037645i,-0.0010483-0.0015057i,0.00018489+0.00083197i,0.0011248+0.0010119i,0.0011827-0.00071149i,0.00096779-0.0016864i,0.00060834-0.0017147i,8.6998e-05-0.00098443i,-2.8089e-05+0.00067019i,0.00048389+0.001i,0.00089677+0.0002264i,0.0003387+0.00017645i,-0.0025401+0.0010486i,-0.0084475+0.0011595i,-0.016007+0.00059126i,-0.018984-0.00029227i,-0.014519-0.0010067i,-0.0081766-0.00058063i
6.4143e-05-0.0011142i,0.0036768-0.0025554i,0.004688-0.0034297i,0.0037591-0.001913i,0.0029308+0.000806i,0.0011854+0.0017302i,-8.7721e-05+0.00068282i,-0.00061464-0.00067258i,-0.00066512-0.0002046i,0.00028296+0.00089957i,0.0025517+0.00052467i,0.0040002-0.00036466i,0.0036653-0.0010003i,0.0024853-0.0015746i,0.0013268-0.0019778i,0.00027468-0.0018838i,-0.00057884-0.0014217i,0.001144-0.0015914i,0.005667-0.0048265i,0.01105-0.011246i,0.012735-0.013355i,0.010558-0.0094091i,0.0066964-0.0050906i
0.0029163-0.00049472i,0.0026552+0.001929i,0.00057595+0.0033966i,-0.0026099+0.0041494i,-0.0030224+0.0038475i,-0.00082585+0.0018087i,0.00014449+0.00056073i,-0.0002498-2.1176e-05i,-0.00020448-0.0003715i,-0.001424-0.00047719i,-0.002246+0.00024962i,-0.0012526+0.001928i,0.00049448+0.0027315i,0.0013851+0.0024843i,0.00010379+0.001715i,-0.0003608+2.1913e-05i,0.00036859-0.00037508i,-8.6486e-05+0.0021598i,-0.00078288+0.0081928i,-0.00096899+0.015334i,-0.001354+0.017382i,-0.0017686+0.013412i,-0.0011948+0.0079764i
0.0017546+0.0018764i,0.0046987-0.0014049i,0.0054052-0.0042404i,0.0037773-0.0051739i,0.0016225-0.0030039i,0.00020199-0.0019619i,-0.0011069-0.002133i,-0.001578-0.0011774i,-0.00081071-0.0014307i,0.00010504-0.0019996i,0.00027473-0.0024214i,6.8876e-05-0.0017766i,-2.6707e-05-0.00024198i,-0.00012425-0.00016414i,0.00026029-0.00033494i,0.00080314-0.00033597i,0.0011531-0.0013638i,-0.00042579-0.0027939i,-0.0045881-0.0062098i,-0.0087642-0.01137i,-0.0093409-0.013834i,-0.0058581-0.010891i,-0.002783-0.0061736i
