-0.0020797-0.00089137i,-0.002298+0.001979i,-0.0030934+0.0067153i,-0.002969+0.0082289i,-0.0011688+0.0083889i,-0.00019307+0.0081339i,-0.00059531+0.0053098i,-0.0012587+0.0015565i,-0.0018254-0.00074958i,-0.002639-0.0014248i,-0.0029253-0.0013613i,-0.0024449-0.00097393i,-0.0014657-0.00090885i,-0.00076279-0.00067317i,-0.00060171+0.00011087i,-0.00054626+0.00040828i,0.00010435+0.00066275i,0.00033556+0.00082541i,-8.481e-05+0.00070737i,6.7801e-05+0.00025435i,-0.00011539+0.00013227i,-0.00022112+0.00017568i,0.00020622+0.00065171i
-0.00085689+0.00039001i,0.0049122+0.00114i,0.0097957+0.0010152i,0.0098749+0.00024328i,0.0061031-0.00088864i,0.0023599-0.0018514i,0.001253-0.0024209i,0.0019543-0.00088744i,0.0019807+0.00077155i,0.0007002+0.00099462i,-0.00047241+0.0011348i,-0.00069439+0.00042036i,-0.00081671+8.91e-05i,-0.0013877+0.00028956i,-0.00061435+0.00023328i,0.00089249+0.00040293i,0.0010364+0.00022511i,0.0002916-0.0010897i,3.3208e-05-0.0016111i,-0.00047733-0.0012127i,-0.00057227-0.00023241i,-1.1962e-05+0.00012729i,0.0003017+6.3008e-05i
-0.00065775+0.00036032i,-0.0013972-0.0037306i,-0.00046603-0.008004i,0.00061256-0.0085529i,0.0014937-0.0055408i,0.0020453-0.002007i,0.0028358+0.0019517i,0.0031511+0.0054993i,0.0025912+0.0056743i,0.0019558+0.0047039i,0.0017718+0.0034491i,0.0018145+0.0015998i,0.0016223+5.0089e-05i,0.0014403-0.00021332i,0.0013057+0.00019615i,0.00028457-6.4002e-05i,-0.0004053-7.2951e-05i,-0.00072725-0.00018229i,-0.00048467-0.00035474i,0.00010728+0.00013614i,-7.7544e-05+0.0003392i,-0.00042052-0.00016203i,-0.00034402-0.00062681i
0.0019134+0.0057793i,-0.0017442+0.0023663i,-0.0049402-0.00082799i,-0.0058713-0.0010786i,-0.0053647+0.001017i,-0.0034143+0.0041061i,-0.0027925+0.0061091i,-0.0035127+0.0047607i,-0.003428+0.0022343i,-0.0022194+0.00066841i,-0.0002398-0.00059467i,0.00096063-0.0016155i,0.0011486-0.00045493i,0.00080358+0.00014742i,-0.00014673-0.00062526i,-0.0003444-0.00056128i,0.0004812-0.0004713i,0.0001202-0.00013584i,-0.00082712+4.0471e-05i,-0.00050211-0.00083024i,-7.1968e-05-0.0012663i,7.7083e-05-0.00074131i,0.00050566-0.00036375i
0.00082715-0.0021299i,0.00016363+0.0046458i,-0.0025425+0.0094252i,-0.0038659+0.010028i,-0.0033162+0.0073801i,-0.0027919+0.0037851i,-0.001976+0.00020864i,-0.00085382-0.0032342i,-0.00066367-0.0050323i,-0.00085476-0.004402i,-0.0017894-0.0026332i,-0.0028425-0.0019101i,-0.0021849-0.0016453i,-0.00088921-0.00066942i,0.00010874-3.1731e-05i,0.00022606-0.00018762i,0.00027262-0.00053805i,0.00075804-0.0014509i,0.00098103-0.0011406i,0.00024656+5.1926e-06i,-0.00063755+0.00062652i,-0.00040433+0.00073506i,-6.3174e-06+0.0010664i
0.00336-0.0047335i,0.0054597-0.0048435i,0.006975-0.003167i,0.0057671-0.00051547i,0.0025414+0.00013292i,0.0024513-0.0013064i,0.0055314-0.001027i,0.0065678+0.0019944i,0.0056125+0.0029856i,0.0031691+0.0014307i,0.00033223+0.0014184i,-0.00048486+0.0017542i,8.0029e-05+0.00061029i,0.00025729-0.00010062i,-0.00019309+0.00049453i,-0.00090505+0.00071945i,-0.00045714+0.00079058i,0.00053903+0.00020066i,0.00020192+7.7427e-05i,-0.00023848+0.000553i,-8.4048e-05+0.00018378i,-0.00016574+0.00038831i,-0.00060661+0.0015477i
-0.0075322-0.0037569i,-0.0064223-0.007687i,-0.0048175-0.0091847i,-0.0016431-0.0077875i,0.0016601-0.0022116i,0.0029938+0.0049305i,0.0016866+0.0086439i,-0.00047758+0.0089925i,-0.00058778+0.0080323i,-0.00032941+0.006764i,-0.00019479+0.0044027i,0.00057213+0.0020136i,0.00039844+0.00073826i,0.00036403-9.5339e-05i,0.00068049+0.00013152i,0.00029465+0.00051092i,-0.00039433-0.00020736i,-0.0006846-0.00097282i,-0.0001131-0.0012108i,-6.754e-07-0.00023095i,-0.00037021+0.0004861i,-0.00044869-3.2603e-05i,-0.00029927-2.8863e-05i
-0.0048066+0.001541i,-0.0084385+0.0018524i,-0.010708+0.0021646i,-0.0093901+0.0025365i,-0.0059668+0.0030347i,-0.004888+0.0041637i,-0.0064146+0.0030778i,-0.0067457-0.00075314i,-0.0055096-0.0028924i,-0.0038189-0.0016544i,-0.0011898+0.00012805i,-0.00012343+0.00034958i,-0.00056193-0.00037644i,-0.00033417-0.00021949i,-0.00042099+0.00033063i,-0.00036993-0.000466i,-0.00018544-0.0011341i,-0.00035532-0.00083934i,9.0532e-05+0.00011923i,0.00054292+0.00050006i,0.00029486+0.00026036i,-0.00015134-0.0001823i,5.5855e-05-0.00051009i
0.0037941+0.0082687i,0.0032472+0.010477i,0.0031775+0.011369i,0.0013483+0.0086342i,-0.0014736+0.0029252i,-0.00125-0.0028095i,0.0017129-0.0059197i,0.0031192-0.0054295i,0.0023901-0.0047644i,0.0011964-0.0048492i,-6.6799e-05-0.0031245i,-0.0011153-0.00073929i,-0.0011892+0.00034676i,-0.00046719+0.00041336i,0.00043398+0.00020421i,0.00082434+0.00021333i,0.00074032+0.00030057i,0.00059832+7.6419e-05i,0.00057319-0.0008574i,0.00071367-0.00084743i,0.00023349-0.00025999i,-0.00026635+0.0009844i,8.1893e-05+0.0015751i
0.0028598-0.0067097i,0.0060261-0.0061054i,0.0069046-0.0044293i,0.0061477-0.0025146i,0.0045767+0.000392i,0.005071+0.0031274i,0.006686+0.0057525i,0.0061179+0.0077298i,0.0046347+0.0068944i,0.0029623+0.003692i,0.00091016+0.00056134i,0.001222-1.034e-05i,0.0016947+0.00042642i,0.0015091+0.00047997i,0.0016402+0.00026881i,0.00091148+0.00019996i,1.7352e-05+0.00046791i,-0.0007349+0.00025636i,-0.00030857-0.00022961i,0.00017855-0.00053612i,-1.999e-05-0.00030431i,-0.00062576+0.00037884i,-0.00041831+0.00045482i
0.0019442-0.0081468i,-0.00051264-0.011057i,-0.0031729-0.013082i,-0.0034079-0.008928i,-0.0029014+0.00013893i,-0.0045215+0.0068293i,-0.0069576+0.0090055i,-0.0073436+0.0091459i,-0.0054956+0.0073101i,-0.0039541+0.0049873i,-0.002887+0.002616i,-0.001658+0.00097166i,-0.00086315+0.00012197i,-0.001156-0.00046943i,-0.0010208-0.00046488i,-0.00014832+0.00017174i,0.00024634+0.00074202i,-0.00044921+0.0010916i,-0.0013886+0.0011375i,-0.0012961+0.00010992i,-0.00045906-0.00043759i,9.6501e-05-0.00012046i,0.00020666+1.5609e-05i
