-0.00058055+0.00070936i,-0.00053697-0.0011452i,-0.0013007-0.0025335i,-0.0024106-0.0015462i,-0.003086+7.7178e-05i,-0.0025101+0.00099661i,-0.0014674+0.00084715i,-0.00020293+0.001061i,0.00055985+0.0010175i,0.00044153+0.00018289i,0.0002597-0.0005351i,0.00031027-0.00076892i,-0.00057422-0.00042396i,-0.00084505+9.2019e-05i,-0.00067135+0.00058934i,-0.00084932+0.00066819i,-0.00078201+0.00098655i,-0.0006662+0.0014206i,-6.8481e-05+0.00016433i,0.00016894-0.00067827i,0.0004694-0.00060731i,0.00035005-0.00089028i,-0.00066566-0.00055533i
0.43883-0.007585i,0.24387+0.020857i,-0.0063891+0.080996i,0.014808+0.06944i,0.17617-0.038053i,0.2336-0.15554i,0.18726-0.21109i,0.12559-0.18958i,0.090527-0.11656i,0.060462-0.078264i,-0.0069671-0.055285i,-0.053314+0.003677i,-0.031692+0.054551i,0.0084071+0.067617i,0.014072+0.050686i,-0.014571+0.029171i,-0.037409+0.01967i,-0.038075+0.017129i,-0.027812+0.02719i,-0.017562+0.042242i,-0.0099332+0.054355i,0.012355+0.06645i,0.049048+0.058247i
-0.37453+0.71587i,-0.13311+0.74535i,0.064237+0.42344i,-0.067536+0.077845i,-0.35912-0.050814i,-0.51145-0.034316i,-0.41997+0.0099364i,-0.21167-0.0057861i,-0.10415-0.064733i,-0.07875-0.015526i,0.0035008+0.060539i,0.067305+0.035478i,0.057305-0.011246i,0.056489-0.03522i,0.065821-0.044213i,0.049817-0.025535i,0.029336+0.0040542i,0.028716+0.012637i,0.028935-0.0035124i,0.016867-0.01576i,0.0024186-0.031622i,-0.020787-0.062393i,-0.047069-0.067095i
0.2351-0.97836i,0.1436-1.1398i,0.020511-0.83799i,-0.026581-0.41422i,-0.02462-0.1838i,-0.056972-0.10593i,-0.17147-0.037116i,-0.239+0.098305i,-0.12461+0.18567i,0.017399+0.13046i,0.070666+0.052046i,0.11136+0.0010396i,0.11992-0.066284i,0.059153-0.096508i,0.012153-0.066254i,0.014611-0.039582i,0.022033-0.037523i,0.0047091-0.035628i,-0.01373-0.021673i,-0.00046817-0.019157i,0.022939-0.036493i,0.030395-0.049948i,0.024774-0.054891i
0.08872+0.55082i,-0.042538+0.5555i,-0.21933+0.49943i,-0.17134+0.48834i,-0.06197+0.4973i,-0.020642+0.55382i,0.10624+0.54004i,0.20873+0.32841i,0.13909+0.11528i,0.074857+0.039543i,0.045989-0.037501i,-0.064947-0.083911i,-0.14327-0.020375i,-0.10681+0.032082i,-0.051165+0.027915i,-0.028681+0.018631i,-0.034305+0.010087i,-0.042184+0.011164i,-0.026824+0.023548i,-0.019195+0.027267i,-0.04573+0.030618i,-0.068337+0.048304i,-0.055727+0.061914i
-0.52584-0.44382i,-0.46223-0.33819i,-0.2247-0.23954i,-0.11124-0.22908i,-0.15277-0.19274i,-0.15243-0.11258i,-0.070378-0.07626i,-0.024047-0.075615i,-0.01169-0.082962i,-0.013063-0.076331i,-0.0066123-0.042026i,0.0071493-0.019701i,-0.007388-0.040065i,-0.041003-0.092874i,-0.077465-0.13633i,-0.099331-0.11735i,-0.077997-0.050805i,-0.032316-0.011836i,-0.0033155-0.020639i,0.010667-0.030977i,0.029094-0.030638i,0.041229-0.048562i,0.023299-0.0649i
-0.33151+6.6552i,1.9747+6.0197i,4.4252+4.9124i,4.9527+1.8818i,3.9473-1.0819i,1.9439-2.4449i,0.072406-1.6328i,-0.64732-0.082652i,-0.041442+0.79148i,0.89177+0.35251i,0.88661-0.59996i,0.3001-1.1641i,-0.26648-1.7612i,-0.89465-2.5174i,-1.1003-2.5535i,-0.62721-1.5062i,-0.13877-0.40411i,-0.23516+0.063995i,-0.6923+0.26575i,-0.74464+0.51715i,-0.25622+0.6466i,0.26204+0.42431i,0.37164-0.022365i
-0.4894+0.42748i,-0.40656+0.64156i,-0.17395+0.56057i,0.14145+0.32651i,0.57659+0.093312i,0.93475-0.17071i,0.83874-0.40827i,0.36807-0.40262i,0.025357-0.1998i,-0.075261-0.097765i,-0.15629-0.078986i,-0.19018-0.0085408i,-0.14151+0.025902i,-0.12893+0.021602i,-0.1382+0.055551i,-0.11933+0.077536i,-0.097533+0.056823i,-0.06102+0.040166i,-0.0037393+0.03208i,0.021728+0.016333i,0.0019334+0.016226i,-0.020463+0.047631i,-0.018516+0.07071i
0.52286-0.39568i,0.50672-0.47667i,0.39735-0.42105i,0.30395-0.28795i,0.35223-0.060487i,0.51263+0.16726i,0.54718+0.20521i,0.35521+0.11738i,0.16006+0.066673i,0.081778-0.0021245i,0.0027278-0.062163i,-0.03776-0.01547i,0.0075802+0.0071961i,0.020777-0.067287i,-0.0094859-0.11479i,-0.012295-0.083886i,0.0060889-0.027434i,0.0062494+0.0044573i,-0.0069706+0.013473i,-0.0011834+0.025729i,0.021893+0.038431i,0.046865+0.025817i,0.053027-0.020602i
-0.06264+0.15849i,0.020424+0.013289i,0.015707-0.095626i,-0.017493+0.017725i,0.16581+0.17715i,0.46612+0.15998i,0.54127+0.023271i,0.37563-0.074371i,0.16829-0.088442i,0.035711-0.084701i,-0.03106-0.11799i,-0.073362-0.14734i,-0.086297-0.12893i,-0.084231-0.091933i,-0.077638-0.053956i,-0.053252-0.017746i,-0.034698-0.0092599i,-0.048723-0.014409i,-0.06795-3.8484e-05i,-0.055479+0.0040094i,-0.030169-0.023413i,-0.015781-0.046881i,-0.0034427-0.051534i
-0.099827-0.58512i,-0.28575-0.46962i,-0.2241-0.1447i,0.042131+0.01408i,0.20721-0.026766i,0.22996-0.054107i,0.2107-0.060649i,0.12738-0.10893i,0.014771-0.12669i,-0.049344-0.096424i,-0.089012-0.050083i,-0.10562+0.002739i,-0.066388+0.019709i,-0.019871-0.02083i,-0.018435-0.060815i,-0.038833-0.056231i,-0.038859-0.024573i,-0.0076776+0.011878i,0.0232+0.03376i,0.029741+0.040664i,0.026891+0.042849i,0.025677+0.032585i,0.018547+0.011018i
0.53946+0.7319i,0.8031+0.72931i,0.67801+0.43816i,0.26675+0.15418i,-0.10005+0.1012i,-0.27402+0.20057i,-0.24456+0.25837i,-0.12955+0.21473i,-0.048344+0.16345i,0.015535+0.13414i,0.061476+0.083691i,0.062773+0.042495i,0.054439+0.030229i,0.066055+0.021373i,0.08302+0.017366i,0.083837+0.017298i,0.059384+0.011466i,0.024872+3.2276e-05i,0.003415-0.0093507i,-0.0032641-0.0053168i,-0.011537+0.011607i,-0.018892+0.038997i,-0.0028186+0.0598i
-0.88955-0.10116i,-1.0682+0.025457i,-0.80015+0.059374i,-0.35232+0.075711i,0.028896+0.152i,0.27681+0.14793i,0.28058+0.039107i,0.16701-0.024031i,0.11566-0.07077i,0.065577-0.12912i,0.019508-0.12639i,0.027218-0.10141i,0.033831-0.077981i,0.031181-0.022655i,0.033791+0.024436i,0.020075+0.028271i,0.0025738+0.01058i,0.0057878-0.0083051i,0.011063-0.028908i,0.006063-0.036353i,0.014147-0.022423i,0.029327-0.010218i,0.02912-0.00030095i
0.44499-0.099341i,0.4982-0.22965i,0.42106-0.21088i,0.28751-0.14699i,0.11594-0.18146i,-0.075994-0.20893i,-0.17802-0.12604i,-0.15025-0.036823i,-0.089092-0.010475i,-0.063692-0.0047631i,-0.060002+0.0075901i,-0.05375+0.024777i,-0.028912+0.043396i,0.009886+0.047453i,0.034626+0.030834i,0.037383+0.0069319i,0.025774-0.010509i,-0.0039431-0.019037i,-0.03202-0.020615i,-0.038393-0.021632i,-0.035331-0.019896i,-0.029078-0.0090657i,-0.017473-0.0023207i
-0.072842+0.39809i,0.093231+0.64464i,0.17538+0.58866i,0.057001+0.32123i,-0.086699+0.15623i,-0.1008+0.10092i,-0.029418+0.045728i,0.011136+0.009184i,0.0029203+0.0089974i,0.0060968+0.028923i,0.034406+0.030013i,0.043816+0.004206i,0.0057564-0.011089i,-0.055415-0.00018368i,-0.089239+0.026357i,-0.070687+0.040722i,-0.027566+0.031211i,0.0097132+0.021563i,0.027406+0.020581i,0.02029+0.014363i,-0.00049555+0.00044261i,-0.024503-0.0072937i,-0.039726+0.0057941i
0.25322-0.2284i,-0.035244-0.42766i,-0.27883-0.38036i,-0.18749-0.12149i,0.028779+0.065163i,0.10746+0.12408i,0.079996+0.083047i,0.027618-0.00064407i,-0.0055012-0.023136i,-0.0028821-0.013714i,-0.01345-0.009029i,-0.030879+0.013175i,-0.011586+0.030473i,0.024751+0.020238i,0.035519-0.010148i,0.012804-0.031207i,-0.0079327-0.021655i,-0.002276-0.0045132i,0.015372-0.0011867i,0.025856+0.0054098i,0.029223+0.02758i,0.035936+0.039488i,0.036929+0.021532i
-0.2571+0.38904i,-0.038309+0.48929i,0.13813+0.34118i,0.073527+0.1258i,-0.04324+0.036565i,-0.058436+0.01361i,-0.030032+0.028634i,0.0018288+0.053329i,0.00035678+0.031854i,-0.027292+0.0080493i,-0.019453-0.0015948i,0.00537-0.012043i,0.012255-0.013503i,0.0021952-0.011409i,-0.0069614+0.0027651i,0.0059788+0.021634i,0.019127+0.013529i,0.0082318-0.0093777i,-0.0087654-0.018658i,-0.013511-0.0182i,-0.010102-0.020961i,-0.0088395-0.019303i,-0.0086232-0.0083941i
-0.013528-0.79185i,-0.19556-0.88978i,-0.1936-0.62731i,-0.010017-0.29864i,0.13776-0.11119i,0.18749-0.011525i,0.1754+0.017613i,0.11288-0.008103i,0.069831-0.014968i,0.067018-0.018929i,0.042208-0.028835i,0.0082279-0.016874i,0.0046448+0.00061835i,0.02134+0.0029029i,0.031503-0.01529i,0.017864-0.036341i,-0.008574-0.033073i,-0.022716-0.014202i,-0.023077-0.0020599i,-0.016688+0.0034925i,-0.0043284+0.0066482i,0.0083999+0.0046421i,0.014171+0.00020867i
0.23222+0.53894i,0.42984+0.61158i,0.39806+0.47646i,0.18915+0.23868i,0.0004623+0.037079i,-0.098563-0.044289i,-0.09717-0.029887i,-0.0529+0.0027054i,-0.041744+0.024694i,-0.037357+0.048209i,-0.0054374+0.044659i,0.015058+0.011907i,0.0095854-0.009197i,0.0024833-0.0085452i,-0.00048462+0.0042457i,0.0015004+0.018706i,0.0075729+0.022233i,0.0059603+0.019814i,-0.00091256+0.021077i,-0.0034438+0.016571i,-0.0067036+0.0012923i,-0.012693-0.0096183i,-0.015647-0.0074183i
-0.26285-0.087804i,-0.46083+0.021488i,-0.4521+0.091265i,-0.27546+0.078234i,-0.1256+0.072562i,-0.041673+0.078138i,-0.00076207+0.045419i,0.014598+0.009677i,0.030513-0.012459i,0.026428-0.028796i,0.0056666-0.013719i,0.0055341+0.008373i,0.008718+0.0058844i,-0.0060353+0.0010277i,-0.019927+0.0042053i,-0.022469+0.0089294i,-0.0094693+0.017596i,0.015945+0.022889i,0.031408+0.017857i,0.028994+0.016171i,0.027884+0.022913i,0.035782+0.024533i,0.042645+0.016427i
0.12067+0.13738i,0.18445-0.12601i,0.14404-0.31631i,0.061911-0.21826i,0.045673-0.054951i,0.015286-0.011259i,-0.04906+0.0029397i,-0.055059+0.0053241i,-0.033833-0.012181i,-0.026421-0.023762i,-0.031044-0.03052i,-0.040372-0.0181i,-0.030179+0.014182i,0.00021332+0.035418i,0.025562+0.032143i,0.034904+0.0082313i,0.025923-0.02417i,0.0067298-0.042819i,-0.0058838-0.044338i,-0.011527-0.042888i,-0.024499-0.038333i,-0.04278-0.023313i,-0.049215-0.0033128i
-0.16821-0.11241i,-0.10103+0.20653i,0.069434+0.37017i,0.098198+0.18708i,-0.027527-0.0053975i,-0.070218-0.024961i,-0.029455+0.0063601i,-0.01685+0.043423i,-0.0091551+0.05325i,-0.0032596+0.037717i,0.0036811+0.036153i,0.016402+0.027614i,0.013685+0.0036405i,-0.0063726-0.015018i,-0.027491-0.012454i,-0.031052+0.006737i,-0.019522+0.020361i,-0.0095472+0.020171i,-0.007142+0.016007i,-0.0050256+0.017693i,0.0084909+0.021486i,0.024987+0.016681i,0.02699+0.007311i
0.4083-0.045332i,0.34246-0.30252i,0.11731-0.33018i,0.036761-0.080512i,0.12638+0.09071i,0.18357+0.079989i,0.17269+0.00091059i,0.13033-0.061298i,0.073375-0.059136i,0.038489-0.029165i,0.021741-0.022972i,0.0050183-0.028745i,-0.0062908-0.016363i,0.00124+0.011811i,0.024693+0.019942i,0.032675-0.00043293i,0.017708-0.014945i,0.00091675-0.011933i,-0.0057666-0.0079192i,-0.0063229-0.0071811i,-0.011092-0.0024886i,-0.017028+0.0050457i,-0.015589+0.006466i
-0.50102+0.28591i,-0.51092+0.61901i,-0.31132+0.60702i,-0.13668+0.24499i,-0.10472-0.06197i,-0.13334-0.16697i,-0.15345-0.14044i,-0.13216-0.079777i,-0.089837-0.053446i,-0.0648-0.046133i,-0.037181-0.023743i,0.0034481-0.0037168i,0.025299-0.0083462i,0.014442-0.020373i,-0.00977-0.014227i,-0.019406+0.009614i,-0.0057415+0.026983i,0.015261+0.028325i,0.027406+0.020437i,0.027234+0.0065353i,0.021796-0.0064818i,0.019555-0.0095774i,0.016767-0.0067053i
0.31865-0.30555i,0.26749-0.66281i,0.089384-0.71704i,-0.042174-0.37061i,-0.044682-0.0023498i,-0.0014846+0.1525i,0.024597+0.16096i,0.035062+0.11823i,0.036419+0.081777i,0.037808+0.052265i,0.014859+0.019304i,-0.024562+0.010464i,-0.040913+0.025462i,-0.032311+0.036748i,-0.013975+0.025409i,-0.0049108-0.0054422i,-0.012787-0.026933i,-0.018958-0.027157i,-0.016725-0.020013i,-0.015919-0.012677i,-0.017959-0.0059453i,-0.019793-0.002451i,-0.01665+0.0020154i
-0.25254+0.20673i,-0.086941+0.41333i,0.13335+0.41658i,0.18282+0.19655i,0.092688+0.0023568i,0.0087841-0.045292i,-0.025495-0.024631i,-0.021712+0.0007348i,-0.0038768-0.0015721i,-0.0014141-0.0027469i,0.0026057+0.013848i,0.01123+0.024633i,0.021723+0.027184i,0.033523+0.01876i,0.025208+0.016199i,0.012996+0.030085i,0.016432+0.029616i,0.016731+0.0073011i,0.0071223-0.0077453i,0.0044279-0.0061103i,0.012197-0.0018217i,0.014254-0.002341i,0.004938-0.000118i
0.39352-0.16873i,0.24206-0.22863i,0.016644-0.13713i,-0.038544-0.018111i,0.010108+0.016646i,0.042826+0.03326i,0.069583+0.051355i,0.057117+0.031412i,-0.00037262+0.024077i,-0.023201+0.031601i,-0.0053643+0.013347i,0.0070702-0.015371i,0.00013505-0.028845i,-0.01271-0.02418i,-0.0092617-0.018986i,0.0009917-0.020942i,-0.0028748-0.015906i,-0.013569+0.00091951i,-0.016074+0.014182i,-0.013838+0.01856i,-0.013888+0.022866i,-0.0079266+0.027378i,0.0062141+0.021186i
-0.29816+0.1781i,-0.24411+0.19533i,-0.12233+0.12575i,-0.054153+0.071944i,-0.0093663+0.050716i,0.017399-0.021965i,-0.0022306-0.094831i,-0.0095394-0.097654i,0.013025-0.076447i,0.019696-0.059683i,0.0046213-0.031444i,-0.002483-0.0043644i,0.00062476+0.0037873i,0.004822+0.0045809i,0.0052301+0.0081912i,0.0051558+0.012054i,0.012222+0.0086315i,0.016353-0.0013184i,0.0098722-0.0064239i,0.0044479-0.0084448i,0.0052877-0.015716i,0.0027549-0.021642i,-0.0057421-0.01805i
0.073966-0.29086i,-0.076322-0.30352i,-0.16159-0.21009i,-0.10218-0.13731i,-0.034385-0.11802i,-0.011692-0.076029i,-0.0099997-0.029303i,-0.025918-0.0031442i,-0.021048+0.012209i,-0.0039033+0.0052108i,0.0056983-0.0086395i,0.01736-0.016777i,0.025152-0.025957i,0.02035-0.030517i,0.011923-0.029644i,0.00274-0.03038i,-0.009408-0.018101i,-0.009483+0.0068841i,0.0059243+0.016378i,0.011855+0.0067906i,0.0038102+0.0027781i,0.0018678+0.007139i,0.0065455+0.0086902i
-0.053532+0.19396i,0.19762+0.13148i,0.32786-0.014375i,0.16289-0.061231i,-0.037339+0.01453i,-0.069219+0.07463i,-0.014616+0.070769i,0.030003+0.059725i,0.04351+0.050854i,0.029805+0.03629i,-0.0033302+0.024393i,-0.037316+0.030759i,-0.047263+0.042918i,-0.041064+0.045596i,-0.035528+0.045651i,-0.029071+0.043431i,-0.01812+0.028369i,-0.0081136+0.0016372i,-0.0047096-0.013743i,-0.00034997-0.006857i,0.0063188-0.00056664i,0.0025192-0.0046083i,-0.0060544-0.007548i
-0.073771-0.033443i,-0.29124+0.19548i,-0.31142+0.36518i,-0.076176+0.26781i,0.10676+0.070578i,0.11035-0.027629i,0.05512-0.040755i,0.01781-0.048311i,0.00044069-0.063364i,-0.00023726-0.060549i,0.018234-0.040841i,0.038414-0.031279i,0.037938-0.024416i,0.034097-0.015331i,0.03503-0.01817i,0.031773-0.022648i,0.025976-0.016174i,0.018218-0.0024247i,0.0099433+0.0064316i,0.0045094+0.0063247i,0.0018319+0.0046358i,0.001467+0.0038496i,0.0033689+0.0040129i
0.11274+0.24597i,0.28973+0.042724i,0.25842-0.1829i,0.051854-0.1461i,-0.056129+0.0031378i,-0.05494+0.053772i,-0.045729+0.056729i,-0.037364+0.055657i,-0.048224+0.057213i,-0.054699+0.065301i,-0.044261+0.052361i,-0.040595+0.031688i,-0.036203+0.022932i,-0.029394+0.019306i,-0.023739+0.023428i,-0.012543+0.027446i,-0.0017755+0.015175i,-0.00059763-0.0045539i,-0.0071388-0.015528i,-0.01396-0.018525i,-0.018486-0.017767i,-0.019042-0.011463i,-0.015298-0.0032482i
-0.072825-0.25179i,-0.25633-0.12869i,-0.2799+0.080901i,-0.11048+0.14645i,0.016965+0.073866i,0.030374-0.010747i,0.0045423-0.066502i,-0.0097909-0.077446i,0.011736-0.074767i,0.022341-0.071618i,0.02256-0.042826i,0.033027-0.018605i,0.028096-0.01179i,0.017755-0.0052817i,0.012512-0.0079457i,0.0022036-0.016091i,-0.005096-0.014506i,-0.0024718-0.0048249i,0.0053861+0.0043832i,0.010909+0.0084264i,0.01148+0.012806i,0.012018+0.018365i,0.012311+0.017561i
0.29597+0.17901i,0.5212-0.00068155i,0.48334-0.21931i,0.20343-0.24231i,-0.0019553-0.11714i,-0.05274+0.0010644i,-0.047201+0.063087i,-0.033752+0.069019i,-0.040447+0.059322i,-0.038482+0.053087i,-0.030943+0.025569i,-0.029161+0.0020313i,-0.011862-0.0072319i,0.0035334-0.013771i,0.0071459-0.0084715i,0.0092626+0.0018702i,0.0068821+0.0067606i,0.0037225+0.0039332i,0.0033075-0.0032598i,0.0016507-0.0052408i,3.026e-05-0.0038008i,0.00069989-0.0045328i,0.0022371-0.004896i
-0.28395-0.32737i,-0.51663-0.11181i,-0.45909+0.17844i,-0.17912+0.17857i,-0.021593+0.0016944i,0.0098309-0.073924i,0.049502-0.056422i,0.079704-0.025338i,0.093522-0.013807i,0.078982-0.031248i,0.04521-0.02607i,0.025119+0.00091418i,0.0084953+0.020315i,-0.003628+0.030106i,-0.0080571+0.024993i,-0.015257+0.015385i,-0.020095+0.0131i,-0.018041+0.01425i,-0.013229+0.012621i,-0.0074189+0.0098675i,0.0012547+0.0079806i,0.0059958+0.00074484i,0.0022806-0.0069666i
0.11521+0.28179i,0.23915+0.11865i,0.22185-0.13098i,0.098556-0.15238i,0.04126-0.0051692i,0.040663+0.090283i,0.025804+0.092694i,-0.0060663+0.040936i,-0.04451+0.0098873i,-0.041853+0.026242i,-0.010486+0.021864i,-0.0050981-0.0036263i,-0.00383-0.014602i,0.0061957-0.019444i,0.0129-0.017877i,0.022121-0.014881i,0.025794-0.01721i,0.014825-0.015811i,0.00048228-0.0091774i,-0.0052915-0.0068348i,-0.0075019-0.01259i,-0.00964-0.015099i,-0.0060251-0.0090012i
-0.25852-0.31453i,-0.35981-0.19482i,-0.27491+0.02516i,-0.1044+0.079426i,-0.0078608-0.014724i,0.024993-0.095327i,0.029591-0.11106i,0.016448-0.056588i,0.026933-0.0022416i,0.025942+0.00027849i,0.0038748+0.0055838i,0.0025261+0.020889i,0.001348+0.019624i,-0.013222+0.016646i,-0.023561+0.016587i,-0.024302+0.017107i,-0.011407+0.017825i,0.0075854+0.015992i,0.017797+0.012727i,0.015173+0.009835i,0.0060066+0.011353i,-0.0011651+0.014023i,-0.0050444+0.010451i
0.21996+0.47615i,0.35263+0.40601i,0.2841+0.15682i,0.072901+0.073124i,-0.042513+0.16643i,-0.046831+0.18306i,-0.044477+0.09772i,-0.040149+0.012029i,-0.047749-0.029993i,-0.052046-0.023779i,-0.031759-0.0098705i,-0.0096536-0.0091975i,0.005316-0.011432i,0.01433-0.015249i,0.018056-0.017646i,0.017186-0.021193i,0.0077437-0.024732i,-0.0027015-0.023854i,-0.0039917-0.018233i,-0.00092781-0.0099557i,-0.00055153-0.0040174i,0.00072335+0.0018896i,0.0046208+0.0085681i
-0.089663-0.31878i,-0.17516-0.22708i,-0.13855-0.016648i,-0.0010129+0.007879i,0.079751-0.13375i,0.070053-0.19628i,0.032809-0.13853i,0.01289-0.051102i,0.033876-0.0064734i,0.046904-0.021505i,0.023416-0.035686i,-0.00080773-0.02268i,-0.013682-0.0065128i,-0.018198+0.0063637i,-0.018156+0.012967i,-0.019507+0.014323i,-0.014231+0.0172i,-0.0015125+0.018263i,0.0071182+0.010597i,0.0088162+0.0022265i,0.010229+0.0022865i,0.01037+0.0017432i,0.0058362-0.0051044i
0.13673+0.349i,0.14526+0.26106i,0.040201+0.036836i,-0.096752-0.036322i,-0.16441+0.042333i,-0.15339+0.10393i,-0.086917+0.10702i,-0.014339+0.05863i,0.00096072+0.013112i,-0.0095313+0.018605i,0.0028996+0.028686i,0.016437+0.018007i,0.015951+0.011481i,0.016482+0.011497i,0.020531+0.010272i,0.02089+0.0056632i,0.0097222-0.0033543i,-0.010102-0.012559i,-0.025123-0.013351i,-0.02618-0.0090943i,-0.018329-0.0093457i,-0.011225-0.0088763i,-0.0048994-0.00028796i
-0.010381-0.47961i,0.017336-0.47678i,0.11093-0.25114i,0.22706-0.09311i,0.26734-0.093063i,0.193-0.1012i,0.078029-0.065103i,0.0029253-0.020108i,-0.012688+0.0023067i,-0.0047987-0.0050896i,-0.010294-0.017726i,-0.024813-0.017551i,-0.029379-0.0082443i,-0.025803-0.0033342i,-0.026372-0.001998i,-0.027628+0.0041365i,-0.017781+0.014854i,-0.0018208+0.023096i,0.010841+0.02287i,0.016698+0.01597i,0.015539+0.010166i,0.011061+0.0041941i,0.0030066-0.0065761i
-0.034195+0.34213i,-0.071036+0.35385i,-0.1133+0.18414i,-0.17621+0.045792i,-0.23145+0.043464i,-0.1948+0.081455i,-0.092043+0.087791i,-0.023904+0.058343i,-0.020648+0.027511i,-0.02913+0.025414i,-0.013237+0.036411i,0.011342+0.035661i,0.024769+0.02167i,0.026199+0.0077541i,0.027599+0.00099257i,0.033267-0.0062417i,0.03368-0.019547i,0.024714-0.027882i,0.012452-0.022994i,0.001413-0.01308i,-0.0067383-0.0074154i,-0.0081373-0.001723i,-0.0027951+0.0066809i
-0.035998-0.33204i,0.0087999-0.28894i,0.075071-0.080407i,0.13168+0.07558i,0.17879+0.1081i,0.1845+0.062338i,0.12867-0.01429i,0.055483-0.046848i,0.020847-0.030073i,0.01569-0.017761i,0.0049074-0.019369i,-0.010236-0.014551i,-0.012708-0.0028409i,-0.011997+0.0054252i,-0.020557+0.0073245i,-0.030684+0.0099419i,-0.033377+0.01841i,-0.024081+0.024305i,-0.0089349+0.018025i,-0.0020413+0.0088846i,-0.0026684+0.0085842i,-0.0047917+0.010513i,-0.0064439+0.0085094i
-0.15007+0.37284i,-0.2575+0.36425i,-0.30138+0.15595i,-0.26373-0.037382i,-0.19396-0.10913i,-0.11828-0.082362i,-0.051046-0.020733i,-0.015102+0.0074467i,-0.0033263+0.011934i,0.0060169+0.010222i,0.014946+0.005597i,0.02277+0.0022625i,0.024456-0.0074453i,0.022643-0.015364i,0.027329-0.011574i,0.033353-0.0093026i,0.03261-0.014224i,0.024194-0.019834i,0.012001-0.021089i,0.0041416-0.016919i,0.0055879-0.012226i,0.010416-0.0080088i,0.012336-0.00093922i
0.17737-0.26915i,0.3055-0.30125i,0.32061-0.17842i,0.22056-0.018107i,0.13348+0.069395i,0.094905+0.049675i,0.063665-0.015948i,0.044355-0.034451i,0.046715-0.023734i,0.034694-0.019966i,0.0077728-0.016447i,-0.0089543-0.0093505i,-0.015701+0.0031473i,-0.01972+0.014694i,-0.023823+0.014481i,-0.028893+0.0097209i,-0.031766+0.011616i,-0.030385+0.017308i,-0.021968+0.019564i,-0.010934+0.01771i,-0.0045409+0.013579i,-0.0033376+0.0066673i,-0.0034522-0.0028212i
-0.09638+0.2953i,-0.20649+0.32864i,-0.21065+0.21186i,-0.095397+0.053315i,-0.012474-0.05458i,-0.025651-0.078267i,-0.064532-0.032515i,-0.067402+0.0053805i,-0.049252+0.0035054i,-0.027327-0.0067802i,-0.010414-0.010267i,-0.0049874-0.013306i,-0.0047412-0.017897i,0.00081195-0.018326i,0.013832-0.01346i,0.026028-0.0098723i,0.03416-0.011425i,0.032218-0.014199i,0.019777-0.01244i,0.010544-0.0093429i,0.0086582-0.010893i,0.0096525-0.011423i,0.01004-0.0054388i
0.20573-0.25724i,0.32858-0.26963i,0.31215-0.16288i,0.15092-0.050849i,-0.0013484+0.008849i,-0.051536+0.028476i,-0.027552+0.028735i,0.010237+0.024642i,0.021194+0.015463i,0.0025116+0.0097423i,-0.008442+0.015133i,-0.0055734+0.020072i,-0.0054217+0.024695i,-0.0087374+0.024966i,-0.016197+0.015999i,-0.023673+0.0061322i,-0.027135-0.00060765i,-0.022721-0.001855i,-0.010156-0.00036679i,-0.0037999-0.00025798i,-0.0094721+0.0025853i,-0.018309+0.005186i,-0.022488+0.00092008i
-0.22153+0.15391i,-0.37214+0.17419i,-0.37053+0.1319i,-0.19667+0.091564i,-0.032031+0.061008i,0.013735+0.038166i,-0.00088574+0.01798i,-0.024321-0.015557i,-0.044691-0.027384i,-0.03656-0.0089823i,-0.011368+0.0018158i,0.0030516-0.00066324i,0.01163-0.0040557i,0.017895-0.0039129i,0.016814+0.0018247i,0.016162+0.0095101i,0.016216+0.013976i,0.014562+0.012584i,0.0116+0.0067059i,0.0077357+0.0018087i,0.0073554+0.0013348i,0.010185+0.0032044i,0.012903+0.0090406i
0.18121-0.19883i,0.33498-0.24293i,0.34871-0.22079i,0.18898-0.18481i,0.036898-0.12813i,0.0021262-0.052038i,0.021539+0.0028377i,0.02936+0.035146i,0.025326+0.040384i,0.011575+0.021479i,-0.0071174+0.010348i,-0.01323+0.015089i,-0.010609+0.016154i,-0.01196+0.0078855i,-0.012593-0.00078015i,-0.013314-0.0069357i,-0.016445-0.010173i,-0.016736-0.010255i,-0.010258-0.0093095i,-0.0021282-0.0083727i,0.0012083-0.0058091i,-0.00085239-0.0028463i,-0.0057073-0.0022079i
-0.22828+0.16664i,-0.38725+0.21599i,-0.39358+0.22021i,-0.23795+0.21567i,-0.080159+0.1931i,0.0062359+0.12802i,0.039218+0.03561i,0.033165-0.031705i,0.021203-0.039208i,0.028099-0.019148i,0.036002-0.016333i,0.032553-0.026233i,0.026869-0.02657i,0.024142-0.013529i,0.021446+0.0018092i,0.021228+0.012356i,0.022399+0.015844i,0.01771+0.013549i,0.0051235+0.010733i,-0.0037431+0.0086612i,-0.0024429+0.0064123i,0.0045271+0.0063836i,0.011849+0.0086137i
