-0.0048945+0.0020003i,-0.0027583+0.0018778i,-0.0014268+0.0039481i,0.00011148+0.0043337i,0.0011706+0.0031273i,0.0021052+0.00087887i,0.0018245+0.00080131i,0.0012546+0.0018564i,0.0012635+0.0016962i,0.0011356+0.00068689i,0.00052124-0.00047937i,0.00043545-0.0012727i,0.000791-0.00114i,0.00021724-0.0012491i,0.0002872-0.00080125i,0.00054767+3.0158e-05i,0.000808+0.00092357i,0.0008621+0.00095886i,0.00038581+0.00099775i,0.00019424+0.00057827i,0.00038805-0.00060265i,0.00017156-0.00087048i,-4.5411e-05+2.5385e-05i
-0.067315-0.069551i,0.01434-0.047092i,0.22678-0.0047725i,0.41244-0.071587i,0.39681-0.16422i,0.21534-0.13471i,0.046098-0.045337i,-0.043553+0.032751i,-0.060907+0.078724i,-0.036653+0.071781i,-0.033856+0.040412i,-0.048652+0.032087i,-0.042056+0.034385i,-0.019087+0.025379i,-0.0071602+0.02004i,-0.0087837+0.030253i,-0.0065409+0.034895i,-0.002067+0.024861i,0.0024575+0.017585i,0.0045088+0.011265i,-0.0021192+0.0022699i,-0.010078-0.0027161i,-0.0147-0.0068207i
0.17506-0.13087i,0.16798-0.31525i,0.037976-0.47693i,-0.052332-0.47223i,-0.01351-0.32535i,0.067109-0.14973i,0.11061-0.022155i,0.10687+0.0091676i,0.054367-0.00032757i,0.013439+0.00073453i,0.016383-0.018087i,0.020516-0.064026i,0.0030519-0.08925i,-0.015478-0.065111i,-0.0016956-0.021846i,0.034483-0.0078448i,0.046498-0.018427i,0.031589-0.023895i,0.013022-0.023273i,-0.00065268-0.020608i,-0.0042136-0.015758i,0.0023091-0.012894i,0.0098903-0.012888i
-0.33909+0.070793i,-0.51257+0.056814i,-0.53948+0.023449i,-0.46296+0.071877i,-0.32477+0.14466i,-0.15672+0.11684i,-0.043321+0.035107i,0.024629-0.016096i,0.060083-0.042012i,0.051062-0.025571i,0.042598+0.020115i,0.036432+0.04717i,0.020811+0.05045i,0.012995+0.028936i,0.0061636-0.0029688i,-0.0043398-0.018684i,-0.012636-0.020166i,-0.016207-0.011442i,-0.01101-0.00044693i,-0.0027851+0.0041821i,0.00287+0.0094436i,0.0059404+0.016746i,0.0070231+0.020324i
0.060929-0.1616i,-0.035175-0.082298i,-0.17004+0.15389i,-0.15131+0.30239i,-0.03684+0.232i,-0.033048+0.08861i,-0.10185+0.016138i,-0.15045+0.016247i,-0.13931+0.053736i,-0.074501+0.061051i,-0.029993+0.024802i,-0.028129-0.0024146i,-0.029851-0.0009334i,-0.013704+0.011096i,0.00139+0.005872i,-0.01012-0.0085466i,-0.028454-0.0070816i,-0.029544-0.00011527i,-0.023406+0.0012336i,-0.016244+0.00024163i,-0.010277-0.0068768i,-0.013604-0.01622i,-0.021861-0.01864i
0.078189+0.52217i,0.24899+0.76329i,0.44465+0.65896i,0.4695+0.29024i,0.27667+0.022174i,0.08629-0.0051109i,0.018513+0.052174i,0.016997+0.064084i,0.036283+0.025017i,0.04666-0.02733i,0.033646-0.04508i,0.030981-0.022434i,0.043062-0.0062755i,0.03509-0.0078926i,0.014987+0.0031408i,0.011739+0.022751i,0.016733+0.031086i,0.02061+0.029345i,0.023279+0.021124i,0.019853+0.0099501i,0.014475-0.0012036i,0.011767-0.010511i,0.012156-0.016159i
-0.02538-0.36509i,0.075546-0.47572i,0.19036-0.40593i,0.12371-0.26833i,-0.017911-0.13064i,-0.012536+0.0015051i,0.099844+0.041044i,0.15309+0.010398i,0.12214-0.0042992i,0.063409+0.00078323i,0.016017+0.0012029i,-0.013751-0.010518i,-0.030772-0.018866i,-0.026266-0.0174i,-0.0091208-0.020814i,0.0038372-0.024741i,0.0081845-0.019628i,-0.0014362-0.0070119i,-0.013983+0.010176i,-0.016766+0.021635i,-0.01896+0.027806i,-0.023023+0.034996i,-0.020507+0.037697i
0.38216+0.05732i,0.45378-0.17734i,0.20766-0.45388i,-0.067559-0.40901i,-0.049531-0.13306i,0.082819+0.0014088i,0.077182-0.0028963i,-0.00022905-0.010525i,-0.064721-0.016725i,-0.086101+0.0084386i,-0.040813+0.037322i,0.0064053+0.024686i,0.0089349+0.0071849i,-0.0064625+0.0075225i,-0.014075+0.014107i,-0.010848+0.01289i,-0.0047219+0.0027435i,0.00091224-0.0057357i,0.0093447-0.012684i,0.015385-0.021037i,0.01349-0.028326i,0.0071722-0.0329i,-0.0003321-0.031398i
-0.63048-0.11581i,-0.97408-0.059419i,-0.85871+0.12147i,-0.35996+0.24235i,0.00021311+0.1426i,0.027509+0.039623i,-0.021669+0.082633i,0.017055+0.099882i,0.059317+0.061808i,0.076504+0.038945i,0.065963+0.015794i,0.017096+0.0069001i,-0.011642+0.023459i,-0.0064213+0.030724i,-0.0051857+0.022641i,-0.012258+0.01876i,-0.013602+0.021071i,-0.0021504+0.024185i,0.010311+0.021194i,0.013333+0.016589i,0.017682+0.020499i,0.029749+0.031412i,0.036047+0.037148i
0.31938-0.075683i,0.34627+0.037141i,0.19748+0.26476i,0.088271+0.30433i,0.061147+0.088249i,0.0086818-0.10742i,0.0024175-0.12236i,0.042088-0.063436i,0.055079-0.030657i,0.041647-0.022924i,0.043047-0.021469i,0.069254-0.018308i,0.084141-0.021341i,0.071913-0.019999i,0.058612-0.0055474i,0.054335+0.0051695i,0.048356+0.0017485i,0.034993-0.012423i,0.012629-0.024606i,-0.01361-0.026756i,-0.035627-0.021587i,-0.05001-0.017113i,-0.05118-0.016225i
-0.033895+0.43905i,0.26639+0.57962i,0.60951+0.2949i,0.55661-0.10871i,0.22194-0.12007i,0.08053+0.048798i,0.072223-0.015404i,-0.02426-0.13466i,-0.083954-0.12621i,-0.065203-0.10146i,-0.064118-0.082722i,-0.063997-0.051366i,-0.042956-0.033001i,-0.012528-0.026874i,0.0089783-0.028103i,0.0085095-0.025301i,-0.00031793-0.01617i,-0.0054097-0.0089344i,-0.0043895+0.0026154i,0.0073421+0.013918i,0.026127+0.0081983i,0.040482-0.0129i,0.043008-0.033586i
0.019035-0.30748i,-0.0032026-0.47144i,-0.027543-0.48982i,-0.078435-0.37049i,-0.13057-0.18502i,-0.14555+0.0054055i,-0.11839+0.1279i,-0.061171+0.151i,-0.017143+0.12109i,0.013685+0.10477i,0.048977+0.071653i,0.047198+0.0051937i,0.0094921-0.029135i,-0.0085091-0.022972i,-1.4687e-07-0.013406i,0.0065319-0.013476i,-0.0050718-0.016941i,-0.021056-0.0091747i,-0.022657+0.007303i,-0.012719+0.016635i,-0.0083057+0.02263i,-0.019018+0.03805i,-0.033632+0.057842i
-0.18425-0.014077i,-0.54265-0.10062i,-0.93414-0.0725i,-0.90446+0.13094i,-0.42137+0.1979i,-0.0051312+0.032643i,0.090688-0.061988i,0.068815-0.024517i,0.03836+0.016761i,-0.0046526+0.034888i,-0.029284+0.054375i,-0.034271+0.077422i,-0.024183+0.085414i,-0.012827+0.064101i,-0.011984+0.03585i,-0.0014991+0.027675i,0.022133+0.027382i,0.035679+0.018638i,0.037621+0.004754i,0.033126-0.015533i,0.018741-0.038381i,0.0039386-0.055595i,-0.0033061-0.058659i
0.22889+0.010424i,0.38381+0.13832i,0.4065+0.35983i,0.27099+0.49061i,0.078649+0.42874i,-0.074927+0.32465i,-0.052858+0.25836i,0.058115+0.11841i,0.058509-0.039442i,0.01989-0.083994i,0.034539-0.096193i,0.044648-0.11478i,0.032384-0.099418i,0.012846-0.071217i,-0.00062691-0.041573i,0.0018276-0.020889i,0.0095199-0.016455i,0.010974-0.022091i,-0.0012141-0.026658i,-0.018274-0.0088397i,-0.014236+0.026277i,0.017014+0.051627i,0.048387+0.045862i
-0.1311+0.33981i,0.041215+0.60549i,0.48284+0.60838i,0.82479+0.23764i,0.72607-0.15084i,0.37764-0.25357i,0.078229-0.18066i,-0.074324-0.084323i,-0.086581+0.00034447i,-0.064105+0.053114i,-0.05975+0.10306i,-0.035686+0.12728i,-0.0099605+0.083072i,-0.0051806+0.027973i,-0.0033948+0.0062581i,-0.0015677-0.0058534i,-0.015283-0.023968i,-0.030083-0.028087i,-0.024352-0.018478i,-0.014213-0.01576i,-0.020113-0.025953i,-0.044691-0.038123i,-0.069509-0.033965i
0.10967-0.60024i,0.13117-1.1144i,0.11218-1.3525i,0.085284-1.0914i,0.10071-0.60892i,0.15691-0.23779i,0.17332-0.062291i,0.10008+0.011753i,0.045713+0.077466i,0.079637+0.084732i,0.093693+0.0023215i,0.032615-0.068526i,-0.036617-0.057918i,-0.052197-0.0034296i,-0.022304+0.032012i,0.0015993+0.029247i,-0.0038934+0.01401i,-0.023568+0.013006i,-0.028509+0.029318i,-0.0056352+0.034479i,0.019931+0.017845i,0.036858+0.00064135i,0.045097-0.011744i
-0.10002+0.39393i,-0.22087+0.63075i,-0.39537+0.62488i,-0.44596+0.42448i,-0.30869+0.304i,-0.13308+0.31514i,0.016199+0.32089i,0.13066+0.21077i,0.14359+0.058743i,0.14046+0.028709i,0.21553+0.02167i,0.22232-0.041121i,0.15097-0.033561i,0.13498+0.0086202i,0.12521+0.007474i,0.074357+0.014513i,0.022593+0.037495i,-0.010187+0.052009i,-0.015793+0.05222i,-0.0087897+0.035772i,-0.014478+0.022405i,-0.040305+0.026791i,-0.062314+0.041313i
-0.31101-0.13091i,-0.58868-0.03574i,-0.65856+0.19674i,-0.41238+0.40865i,-0.036754+0.53007i,0.27556+0.57946i,0.43159+0.44708i,0.36622+0.18404i,0.19486+0.044674i,0.10036+0.024743i,0.060105+0.0057618i,0.023119+0.0071809i,0.016683+0.03555i,0.050515+0.060256i,0.11439+0.056952i,0.1591+0.026086i,0.13621+0.0082841i,0.08507+0.012702i,0.050985+0.01193i,0.031953-0.0012745i,0.019403-0.019082i,0.019256-0.039877i,0.028852-0.055083i
-0.93396+8.2779i,0.74991+8.6598i,5.0178+7.545i,6.9687+3.134i,5.5666-1.1289i,2.3109-2.8127i,0.080741-1.6616i,-0.092118-0.2033i,0.66773+0.32289i,1.389+0.088307i,1.366-0.4906i,0.75242-0.86013i,0.0014442-0.99005i,-0.78389-0.99318i,-1.0473-0.69927i,-0.39486-0.098759i,0.3968+0.19245i,0.45172+0.098041i,0.11775+0.12024i,-0.0051073+0.15034i,-0.11711+0.04061i,-0.26876+0.066695i,-0.16842+0.1286i
-0.25705-0.13176i,-0.48394-0.1189i,-0.55045+0.041037i,-0.38252+0.25244i,-0.24219+0.31754i,-0.23513+0.17851i,-0.20466-0.0013683i,-0.12308-0.072781i,-0.042428-0.060138i,0.0064266-0.030329i,-0.0019717+0.0043188i,-0.032386+0.042445i,-0.038705+0.052922i,-0.022235+0.029709i,0.0072811-0.011728i,0.019128-0.050689i,-0.001532-0.057754i,-0.022273-0.033814i,-0.016555-0.0003558i,0.0065495+0.020325i,0.020778+0.020918i,0.023132+0.011133i,0.012815+0.0082574i
0.14339+0.1256i,0.23719+0.0061395i,0.24148-0.2468i,0.18306-0.42154i,0.13511-0.38133i,0.12209-0.21279i,0.1459-0.066192i,0.10481+0.00016943i,-0.006748+0.04247i,-0.041548+0.072451i,-0.0071325+0.056004i,0.019479+0.038904i,0.02235+0.047779i,-0.0034791+0.06709i,-0.029647+0.091742i,-0.029426+0.10935i,-0.0017831+0.10894i,0.030473+0.083196i,0.04144+0.041051i,0.033436+0.0077358i,0.019412-0.0055995i,0.0074922+0.0011338i,0.0027529+0.022311i
-0.080433-0.09273i,-0.092696-0.032779i,-0.054648+0.063379i,-0.029717+0.076742i,0.041928+0.10792i,0.30806+0.15585i,0.54113+0.0025773i,0.44895-0.15633i,0.23169-0.12133i,0.10182-0.06651i,0.0025114-0.057862i,-0.065531-0.028531i,-0.068357+0.0061903i,-0.047272+0.013624i,-0.049044-0.011351i,-0.072724-0.039158i,-0.080322-0.046545i,-0.075181-0.040787i,-0.070559-0.021974i,-0.052207-0.0036619i,-0.026313-0.0035045i,-0.0076351-0.019731i,0.000576-0.037573i
0.32931-0.029126i,0.47774-0.33325i,0.30766-0.63547i,-0.090864-0.60924i,-0.31785-0.44166i,-0.37279-0.44302i,-0.46429-0.40832i,-0.4165-0.20579i,-0.204-0.069924i,-0.06642-0.041064i,0.0026754-0.0055034i,0.069447+0.0011223i,0.078053-0.030997i,0.040731-0.046326i,0.016444-0.04764i,0.021965-0.047459i,0.039828-0.0358i,0.04043-0.021056i,0.022951-0.015197i,0.008183-0.0066145i,0.0028541+0.0098841i,0.005033+0.026207i,0.012337+0.035646i
-0.42999-0.22166i,-0.85553-0.13766i,-1.0631+0.13971i,-0.82454+0.40204i,-0.4254+0.45371i,-0.18924+0.33104i,-0.086591+0.18346i,-0.026235+0.053562i,-0.013496-0.030825i,-0.024189-0.057155i,-0.05585-0.061193i,-0.094743-0.046246i,-0.086596-0.025805i,-0.053148-0.017215i,-0.035992-0.0078144i,-0.037846-0.003913i,-0.053429-0.0038607i,-0.047145+0.011709i,-0.012192+0.026193i,0.0092402+0.02677i,0.011129+0.029491i,0.011194+0.028552i,0.0090339+0.016834i
0.20788+0.18603i,0.35153+0.2235i,0.41376+0.1762i,0.36108+0.03793i,0.23038-0.14473i,0.095408-0.19971i,0.044394-0.094742i,0.022024+0.016319i,-0.016144+0.055368i,-0.033678+0.030539i,-0.039225-0.0091743i,-0.03167-0.0037118i,-0.011394+0.022428i,-0.0056655+0.036513i,-0.00053811+0.050535i,0.021079+0.060429i,0.054709+0.057481i,0.077563+0.031441i,0.068468-0.007268i,0.042158-0.0297i,0.020758-0.03505i,0.0088343-0.02922i,0.0037709-0.013856i
-0.090111-0.068131i,-0.0033749+0.017664i,0.18628+0.11585i,0.25364+0.10942i,0.16112+0.095125i,0.135+0.10078i,0.17599-0.0038027i,0.14358-0.096561i,0.087989-0.07375i,0.041367-0.033264i,-0.017578-0.002067i,-0.04771+0.016965i,-0.044764+0.012296i,-0.029788+0.0040056i,-0.020465-0.02017i,-0.039462-0.050608i,-0.067599-0.055836i,-0.07451-0.039664i,-0.061131-0.019566i,-0.041196-0.0074261i,-0.024673-6.0068e-05i,-0.013296+0.0050226i,-0.0085445+0.002622i
0.043965+0.024593i,-0.094412-0.1736i,-0.33076-0.38292i,-0.42839-0.35377i,-0.35686-0.2219i,-0.32964-0.19483i,-0.35094-0.14385i,-0.26704-0.059081i,-0.1453-0.035821i,-0.058395-0.02353i,0.01935-0.0061445i,0.065982+0.001802i,0.071218+0.0037357i,0.049764-0.007141i,0.018027-0.0087225i,0.011274+0.0037289i,0.024383+0.0054197i,0.02348-0.00020419i,0.0085778+0.0006486i,-0.00062615+0.0041734i,-0.003998+0.0015865i,-0.0081781-0.0042799i,-0.0062408-0.0027682i
-0.22157+0.018523i,-0.32043+0.29751i,-0.23059+0.5723i,-0.015293+0.52669i,0.15413+0.3449i,0.27692+0.26635i,0.3322+0.15184i,0.22153+0.012242i,0.080019-0.00064632i,0.02117+0.011852i,-0.043996-0.010105i,-0.10271-0.006744i,-0.094306+0.0041584i,-0.051805+0.0027451i,-0.015104-0.0086199i,-0.0067626-0.028056i,-0.0204-0.033445i,-0.023717-0.017161i,-0.012341+0.003438i,0.0019905+0.013678i,0.01685+0.016276i,0.027616+0.014759i,0.029847+0.0053861i
0.31833+0.20032i,0.6076+0.13605i,0.64282-0.051585i,0.30605-0.17759i,-0.080026-0.24005i,-0.27603-0.30492i,-0.32859-0.27157i,-0.26567-0.12625i,-0.12858-0.034862i,-0.039247-0.023054i,-0.0032934+0.0011802i,0.031283+0.030214i,0.039526+0.027248i,0.015647+0.0092749i,-0.0023078+0.0030287i,-0.0042435+0.016278i,0.0076175+0.03811i,0.026777+0.037767i,0.037253+0.010092i,0.024919-0.015659i,0.0013128-0.0254i,-0.013348-0.022146i,-0.018629-0.013272i
-0.19649-0.27175i,-0.36202-0.30661i,-0.34611-0.12913i,-0.089592+0.13683i,0.16596+0.28409i,0.25103+0.2572i,0.20142+0.1277i,0.091654+0.024092i,0.0085707-7.169e-05i,-0.016452+0.00078738i,-0.01798-0.004575i,-0.011523-0.012785i,-0.0072823-0.0189i,-0.01822-0.0090074i,-0.03888+0.0030423i,-0.051538+0.0036806i,-0.046463-0.0064944i,-0.036647-0.018534i,-0.032453-0.019468i,-0.027168-0.0085169i,-0.017159+0.0079259i,-0.0042591+0.020223i,0.0047347+0.023995i
0.10153+0.29215i,0.16391+0.32502i,0.18179+0.12184i,0.13932-0.18579i,0.024009-0.36094i,-0.12498-0.33281i,-0.20448-0.17208i,-0.15773-0.010258i,-0.067021+0.039112i,-0.021636+0.0092116i,-0.010236-0.015277i,-0.0036811-0.0087535i,0.0071193+0.014718i,0.020539+0.027353i,0.021171+0.029682i,0.017485+0.031146i,0.020189+0.031349i,0.021109+0.028396i,0.016918+0.018757i,0.011293+0.006501i,0.0092165-0.0074967i,0.0069539-0.022767i,0.0052875-0.026469i
0.070418-0.25996i,0.16273-0.33189i,0.19242-0.31505i,0.054806-0.23839i,-0.075642-0.061435i,-0.03256+0.13831i,0.06291+0.20613i,0.10102+0.17624i,0.11141+0.11991i,0.076444+0.050199i,0.00080308+0.016573i,-0.039587+0.0094351i,-0.040065-0.013158i,-0.029842-0.036574i,-0.0084276-0.045225i,0.008989-0.046172i,0.0085602-0.042364i,-0.0017296-0.031645i,-0.01091-0.013096i,-0.012708+0.0059876i,-0.012206+0.018625i,-0.013986+0.02637i,-0.015012+0.025312i
-0.065006+0.14204i,-0.20817+0.079352i,-0.41609-0.02765i,-0.50737-0.0018791i,-0.39382+0.022493i,-0.23051-0.095366i,-0.12141-0.18879i,-0.03835-0.2091i,-0.022144-0.20121i,-0.040162-0.12314i,-0.012638-0.032915i,0.014149+0.0065365i,0.013531+0.025969i,0.0086331+0.034076i,-0.003002+0.030635i,-0.010938+0.028679i,-0.0054186+0.027142i,0.0030322+0.02258i,0.0099484+0.014002i,0.010604+0.0034834i,0.0090039-0.0013736i,0.01609-0.0030339i,0.023832-0.0081162i
-0.02918-0.13028i,-0.092452+0.017351i,-0.089288+0.31295i,0.05466+0.46234i,0.21485+0.38185i,0.24243+0.25131i,0.17069+0.13175i,0.042279+0.052618i,-0.052849+0.05306i,-0.053204+0.051382i,-0.02994+0.022608i,-0.0075149+0.01094i,0.016042+0.003163i,0.017975+0.0021872i,0.013869+0.0075224i,0.0096452-0.0010827i,-0.0027576-0.012192i,-0.0089298-0.011995i,-0.0046028-0.0053658i,0.0028243-0.0039155i,0.0064832-0.011056i,-0.002474-0.017444i,-0.016505-0.012706i
0.083015+0.16703i,0.28736+0.10202i,0.43821-0.098097i,0.34139-0.24993i,0.10131-0.31278i,-0.081945-0.31572i,-0.1642-0.20461i,-0.11034-0.043581i,-0.0053144+0.015285i,0.01359+0.0086096i,-0.0083503+0.014903i,-0.011445+0.011186i,-0.010772-0.0035719i,-0.011443-0.016679i,-0.0081161-0.027099i,-0.0020275-0.023028i,0.0084781-0.0046944i,0.021166+0.0023308i,0.021451-0.0095824i,0.0054015-0.012792i,-0.0063968+0.0010778i,-0.0023954+0.015666i,0.0053453+0.019816i
-0.029419-0.24584i,-0.19415-0.27933i,-0.28691-0.096601i,-0.16038+0.12557i,-0.042679+0.22403i,-0.037253+0.26161i,0.012235+0.2318i,0.046952+0.10915i,0.015906+0.032408i,0.028151+0.024102i,0.058705+0.0013494i,0.041607-0.012923i,0.013171-0.0012839i,-0.0042967+0.0073897i,-0.022279+0.0076346i,-0.031943+0.0059565i,-0.023159-0.0013935i,-0.016638-0.013276i,-0.022179-0.013879i,-0.019908-0.0038944i,-0.011782+0.001597i,-0.010126+0.00015437i,-0.0079839-0.0011631i
-0.1245+0.29056i,-0.03433+0.4206i,0.1741+0.25202i,0.25842-0.1074i,0.17978-0.26885i,0.121-0.23019i,0.080538-0.19204i,0.024808-0.13915i,0.0049102-0.081464i,-0.012345-0.075099i,-0.049581-0.069064i,-0.052267-0.04658i,-0.023217-0.038583i,0.0014273-0.030508i,0.011777-0.013643i,0.0086573-0.00031472i,-0.0063686+0.0089997i,-0.016463+0.024066i,-0.0066409+0.037233i,0.0093005+0.031763i,0.017889+0.014459i,0.020645+0.0025717i,0.019664+0.001565i
0.29713-0.25389i,0.35419-0.50019i,0.1354-0.60345i,-0.1706-0.43672i,-0.24861-0.17047i,-0.15454+0.0054053i,-0.06667+0.076883i,-0.022736+0.080899i,-0.017436+0.058876i,-0.023124+0.046588i,-0.018991+0.041625i,-0.01481+0.035377i,-0.025547+0.029731i,-0.037733+0.021755i,-0.025802+0.012446i,0.001758+0.0033069i,0.026961-0.0059032i,0.039871-0.016729i,0.035559-0.024617i,0.023004-0.022739i,0.0084499-0.013587i,-0.0028816-0.0065756i,-0.0065538-0.012146i
-0.4033+0.087979i,-0.62887+0.22655i,-0.62347+0.32315i,-0.42964+0.2767i,-0.2445+0.12066i,-0.11967-0.036968i,-0.042739-0.13577i,-0.011237-0.14151i,0.019008-0.086545i,0.039899-0.047761i,0.034914-0.026296i,0.027534-0.0074579i,0.026925+0.0039906i,0.022417+0.0098488i,0.0037137+0.0073318i,-0.021292-0.0020997i,-0.041383-0.010967i,-0.049417-0.011034i,-0.038164-0.0071124i,-0.022556-0.0077228i,-0.012968-0.0045029i,-0.0054874+0.0050018i,-0.0039937+0.015696i
0.37003+0.13374i,0.55886+0.19077i,0.48355+0.20738i,0.23512+0.24049i,0.099049+0.28998i,0.081976+0.24744i,0.02386+0.13407i,-0.064057+0.056444i,-0.10978+0.021439i,-0.10983+0.011033i,-0.085296+0.0086504i,-0.060208+0.0026754i,-0.038364+0.0025517i,-0.016485+0.0070277i,0.0033086+0.0097523i,0.016405+0.011504i,0.024039+0.018558i,0.029328+0.022066i,0.023193+0.012755i,0.0099461+0.0045135i,0.0037593-0.0022474i,0.00037151-0.013797i,0.00043402-0.021695i
-0.23729-0.28067i,-0.3752-0.42835i,-0.32887-0.35288i,-0.10921-0.15885i,0.054753-0.12503i,0.05532-0.16606i,0.0011245-0.086138i,0.0075407+0.048489i,0.059109+0.10792i,0.082556+0.084539i,0.057706+0.043973i,0.024459+0.024015i,0.012078+0.0095384i,0.013305-0.0068469i,0.0092092-0.017643i,-0.0044423-0.019897i,-0.012042-0.018218i,-0.012373-0.016282i,-0.012806-0.0099155i,-0.010877-0.0027952i,-0.0085684+0.0034408i,-0.0073476+0.015487i,-0.0089662+0.026785i
0.07495+0.34773i,0.14105+0.5894i,0.18637+0.59093i,0.15015+0.37263i,0.015029+0.21779i,-0.077852+0.17872i,-0.035429+0.12641i,0.040085+0.019495i,0.058099-0.077459i,0.029335-0.1029i,0.0045443-0.064042i,0.0058747-0.016858i,0.0096117+0.0030111i,-0.0048401+0.0037255i,-0.022118+0.0059103i,-0.021738+0.015959i,-0.013491+0.025481i,-0.0077532+0.025802i,-0.0046819+0.015934i,-0.0065061+0.0062966i,-0.0060353+0.0020813i,0.0041447-0.0034292i,0.019934-0.0080616i
0.11968-0.29012i,0.21547-0.49533i,0.26234-0.51473i,0.26238-0.35728i,0.2811-0.23247i,0.24455-0.22427i,0.11978-0.22355i,0.0038178-0.15281i,-0.057419-0.061227i,-0.067864-0.0027546i,-0.044991+0.012249i,-0.019778+0.0041952i,-0.0038426-0.0031252i,0.0045094-0.00085626i,0.0098199+0.0033583i,0.015345-0.0020737i,0.020014-0.011465i,0.020178-0.012667i,0.019006-0.0024741i,0.02182+0.0064048i,0.019489+0.0075067i,0.0050769+0.0052078i,-0.0089509-0.0012171i
-0.21096+0.16496i,-0.3674+0.23526i,-0.37363+0.166i,-0.24762-0.0029569i,-0.19079-0.093958i,-0.20137-0.010577i,-0.14835+0.10864i,-0.055537+0.12437i,0.0063672+0.081023i,0.029966+0.044181i,0.024199+0.022869i,0.0078556+0.013807i,-0.0074704+0.0092125i,-0.014305+0.0042934i,-0.011063-0.0031395i,-0.011214-0.0092589i,-0.015848-0.0090288i,-0.014363-0.0081012i,-0.006218-0.015247i,-0.004373-0.022575i,-0.0063236-0.016081i,0.00074544-0.0048674i,0.0069188+0.0024503i
0.23005-0.030153i,0.389-0.032309i,0.35401-0.033176i,0.13769-0.033132i,0.0075209-0.011349i,0.053441-0.018574i,0.11217-0.076169i,0.082482-0.10539i,0.023305-0.079771i,-0.0033456-0.046411i,0.0055045-0.031204i,0.022773-0.030746i,0.024883-0.026649i,0.014818-0.0094436i,0.0062972+0.0087004i,0.0086981+0.01666i,0.017399+0.013066i,0.013216+0.0014053i,-0.0076199-0.0030923i,-0.017434+0.0043188i,-0.007664+0.0053318i,0.00098622-0.0044165i,0.0018861-0.011244i
-0.17974-0.063563i,-0.29977-0.12291i,-0.29125-0.11472i,-0.1755-0.041812i,-0.11232-0.0005905i,-0.15016-0.010291i,-0.19723-0.013266i,-0.17848-5.0024e-05i,-0.11404+0.011156i,-0.053192+0.01531i,-0.032963+0.0092572i,-0.040451+0.0080427i,-0.030123+0.011001i,-0.0047593+0.002071i,0.0052097-0.010763i,-0.0061656-0.01674i,-0.023414-0.012766i,-0.02607+0.00038545i,-0.012074+0.012947i,0.0014985+0.014112i,0.0025505+0.0059955i,-0.0051852+0.0035975i,-0.010953+0.0091182i
0.087352+0.11351i,0.12428+0.19112i,0.099687+0.16491i,0.059674+0.050371i,0.075967-0.0085415i,0.1396+0.02244i,0.16997+0.066761i,0.13921+0.088534i,0.099185+0.07605i,0.065902+0.025379i,0.028541-0.012828i,0.0043349-0.0114i,-0.0034143-0.0049045i,-0.0077386-0.011864i,-0.0069996-0.015984i,0.0011242-0.0042237i,0.015831+0.012807i,0.027209+0.018475i,0.026277+0.0099954i,0.015683-0.0016187i,0.0038252-0.0052049i,0.0019954-0.0018374i,0.007404+0.0012375i
0.0027988-0.11189i,0.025371-0.17985i,0.016013-0.14928i,-0.067139-0.043825i,-0.16342-0.0015099i,-0.19087-0.040198i,-0.14073-0.087662i,-0.065918-0.10269i,-0.021202-0.083985i,-0.022075-0.046329i,-0.029444-0.0048808i,-0.013665+0.015169i,-0.00042161+0.012755i,-0.0066871+0.012499i,-0.013744+0.013361i,-0.0089128+0.0015937i,-0.0048474-0.016504i,-0.0083418-0.022628i,-0.0063741-0.013791i,-0.0015618-0.0026537i,-0.0025008+0.0041963i,-0.0046816+0.0053363i,-0.0050615+0.004453i
-0.041388+0.074173i,-0.085293+0.10226i,-0.084448+0.081986i,-0.0108+0.072247i,0.074392+0.11846i,0.1054+0.14295i,0.062114+0.098682i,-0.018234+0.041649i,-0.066365+0.013918i,-0.053593+0.0098312i,-0.017672+0.0072434i,0.0010296-0.0040416i,0.0035582-0.010329i,0.0030872-0.0047713i,0.00020039+0.0040199i,-0.0057856+0.0088763i,-0.0089265+0.014439i,-0.0042877+0.014313i,-0.00075789+0.0035182i,-0.0012857-0.0034903i,0.0028012-0.00052128i,0.008563+0.0019516i,0.010733-0.0018788i
0.048962-0.013401i,0.066911-0.0056648i,0.043698+0.0028579i,-0.00144-0.03941i,-0.019668-0.117i,-0.016828-0.14964i,-0.012323-0.093307i,0.013817-0.00093283i,0.04717+0.043688i,0.042459+0.031035i,0.0093559+0.01354i,-0.015582+0.017281i,-0.022432+0.021999i,-0.018278+0.01171i,-0.0077291-0.0045682i,0.0038581-0.013317i,0.013539-0.016719i,0.016407-0.018783i,0.0076738-0.014967i,-0.00067689-0.0067523i,0.0017378-0.00065943i,0.0073319+0.00047078i,0.0059251-0.00020869i
