-0.04316+0.13517i,-0.033479+0.12261i,-0.017685+0.077701i,-0.0040788+0.04548i,0.0015298+0.029635i,0.0043797+0.020567i,0.0073837+0.01045i,0.0053021+0.00042673i,0.0021274-0.0029855i,0.0024607-0.0033088i,0.0037648-0.0054423i,0.0046885-0.0064021i,0.0039389-0.0041399i,0.00066355-0.00035114i,-0.0022123+0.0015442i,-0.0026285+0.0018028i,-0.0019012+0.0010674i,-0.00053258-0.00033542i,-0.0001169-0.00092742i,-0.00077162-0.00178i,-0.0018859-0.0023817i,-0.002849-0.0022262i,-0.0027464-0.0016645i
0.1106+0.091854i,0.10525+0.076613i,0.068213+0.042292i,0.040488+0.01647i,0.027055+0.0060631i,0.019068+0.0016631i,0.011359-0.0027267i,0.0031019-0.0036367i,-0.0013846-0.0018979i,-0.0023922-0.0029595i,-0.0032062-0.0061626i,-0.0041418-0.0074412i,-0.0027921-0.0040968i,0.00088129+0.0012461i,0.0038091+0.0048511i,0.0041803+0.0053183i,0.0024095+0.0024958i,0.00085418-6.5545e-05i,0.00032088-0.00063215i,-0.00074867-0.00022946i,-0.0018015+0.00061618i,-0.0026615+0.0017198i,-0.0028085+0.0015837i
0.12901-0.071687i,0.11145-0.071629i,0.06215-0.052078i,0.026081-0.035583i,0.0098501-0.024995i,0.0031369-0.018481i,-0.00044662-0.01223i,-0.00197-0.0041063i,-0.0020614+8.3577e-05i,-0.0048931-8.2739e-05i,-0.0082652+0.00018828i,-0.0097297+0.0013028i,-0.0070796+0.0017356i,-0.0015016+0.0012706i,0.0016259+0.0013878i,0.0029534+0.001269i,0.0025852+0.0010039i,0.00018933+0.0006748i,-0.0011346+0.00084288i,-0.00086654+0.0023374i,-0.00024594+0.0038022i,5.747e-05+0.004673i,-0.00071759+0.0045132i
-0.018278-0.14511i,-0.025445-0.13284i,-0.026273-0.079629i,-0.024844-0.040115i,-0.020728-0.022936i,-0.017888-0.014194i,-0.01376-0.0052987i,-0.0055168+0.00084047i,-0.00064786+0.001614i,-0.001289+0.0032844i,-0.001422+0.0068374i,-0.0015974+0.0078156i,-0.001537+0.0053497i,-0.00070767-7.8085e-06i,-0.0010941-0.0044976i,-0.0012598-0.004296i,-0.0003937-0.0027464i,0.0004553-0.00099734i,0.0007612+0.00083532i,0.00090764+0.0018174i,0.001433+0.0020461i,0.002826+0.001174i,0.0033508+0.00041237i
-0.14531-0.037874i,-0.13598-0.024602i,-0.083743-0.0030503i,-0.045156+0.010153i,-0.030207+0.011987i,-0.023103+0.011543i,-0.0128+0.010522i,-0.0019506+0.0048626i,0.0015017-1.088e-05i,0.0018315+0.0015329i,0.0048862+0.003886i,0.0067764+0.0043966i,0.0051751+0.0024176i,0.0017852-0.001634i,-0.0014636-0.0040765i,-0.0027978-0.0035257i,-0.002278-0.0025162i,-0.00021084-0.0012204i,0.0021682-0.00041506i,0.0029486-0.0013757i,0.0024592-0.0029829i,0.0021265-0.0038861i,0.001902-0.0040358i
-0.091138+0.12373i,-0.075214+0.11915i,-0.035652+0.077624i,-0.0078776+0.045428i,-0.00076272+0.030962i,6.3645e-05+0.025248i,0.0028076+0.01717i,0.0024304+0.0061994i,-0.00055759+0.00058846i,0.00075542-0.00059967i,0.004835-0.0019041i,0.006773-0.0034824i,0.0043303-0.0031233i,0.00069946-0.00043157i,-0.00076519+0.0015509i,-0.00092971+0.002045i,-0.00087019+0.0013957i,-0.00076367-0.00053641i,6.2379e-05-0.001947i,0.00070053-0.0026092i,-0.0010152-0.0042631i,-0.0023791-0.0048357i,-0.0018058-0.0033121i
0.084718+0.13392i,0.086024+0.11869i,0.060147+0.062334i,0.03819+0.020991i,0.025805+0.0096837i,0.019533+0.0084395i,0.014124+0.004448i,0.0055435+0.00070912i,-1.2403e-05+0.00023339i,-0.00066707-0.0015894i,-0.0016449-0.0054434i,-0.0030086-0.0070443i,-0.0035912-0.0051871i,-0.002933-0.00064414i,-0.0015247+0.0034073i,-0.00045433+0.0044237i,0.00058503+0.0034157i,0.0003453+0.0013159i,-0.0017696-0.0010998i,-0.0034959-0.0013302i,-0.0041855+0.00020252i,-0.0042678+0.00091282i,-0.0035204+0.00091953i
0.15785-0.027876i,0.14348-0.038374i,0.081394-0.037434i,0.034579-0.032299i,0.017947-0.023886i,0.012815-0.016407i,0.0069794-0.0105i,0.0026611-0.0033767i,0.0022991+0.0013272i,0.00040712+0.00095595i,-0.0038816-0.00069937i,-0.0076468-0.0013803i,-0.007407-0.0013106i,-0.0044251-0.00061804i,-0.0020673-0.00029617i,0.00026232+0.00032919i,0.0017822+0.0004222i,0.00067985-0.000562i,-0.00064702-0.00028327i,-0.0012834+0.0018623i,-0.0015502+0.0039872i,-0.0012535+0.0048662i,-0.0016576+0.0043224i
0.033258-0.16073i,0.018316-0.14921i,-0.0048651-0.088044i,-0.017396-0.042097i,-0.016956-0.026976i,-0.013826-0.021255i,-0.0094795-0.012672i,-0.0027979-0.0037777i,0.0018737-0.0019232i,0.001122-0.0020747i,-0.001485+0.0023381i,-0.0027477+0.0067414i,-0.0019688+0.0077921i,0.00037095+0.0039988i,0.0018922-0.00076947i,0.0022204-0.002718i,0.0023486-0.0023342i,0.0015408-0.00063958i,0.00061427+0.00050356i,0.0013765+0.0022907i,0.002929+0.0036316i,0.0037485+0.0030972i,0.003441+0.0013842i
-0.13739-0.09354i,-0.13418-0.074103i,-0.086762-0.029392i,-0.047892-0.0010413i,-0.033307+0.0029044i,-0.027191+0.0018506i,-0.017408+0.0035779i,-0.0055253+0.00091015i,-0.0012689-0.0038268i,-0.0012887-0.0019878i,0.0011629+0.003324i,0.0046025+0.0064249i,0.0057243+0.0060196i,0.0046688+0.0025831i,0.0029725-0.00043638i,0.001735-0.0018494i,4.4424e-05-0.0018969i,-0.00068056-0.00053414i,0.00088832+0.00083135i,0.0030174+0.0004409i,0.0043012-0.0014551i,0.0043602-0.0033188i,0.004453-0.0033726i
-0.1424+0.097285i,-0.12145+0.10012i,-0.05848+0.067653i,-0.01626+0.038667i,-0.0098052+0.026604i,-0.011153+0.022436i,-0.0064018+0.016553i,-0.0031885+0.0064656i,-0.0048063+0.0011579i,-0.0036353+0.0011617i,0.0021093+0.00022438i,0.0058443-0.00075752i,0.0049979-0.0019593i,0.001512-0.0019491i,-0.0013821-0.00040117i,-0.0024421-0.0004938i,-0.00279-0.00035914i,-0.0025696+0.00090764i,-0.001423+0.00020842i,-0.00020235-0.0021088i,-1.3851e-05-0.0043383i,-0.00062906-0.004896i,-0.00096664-0.0041011i
0.037511+0.16848i,0.049945+0.1481i,0.042697+0.07778i,0.02904+0.028056i,0.019234+0.017011i,0.014918+0.017369i,0.010617+0.01237i,0.0030222+0.0067166i,-0.0020996+0.0066963i,-0.0011683+0.0058705i,0.00037333+5.0148e-05i,-0.00022136-0.0062194i,-0.0024175-0.0074405i,-0.0039545-0.0046619i,-0.0039038-0.001999i,-0.0029263+0.00045749i,-0.0015702+0.0021292i,-0.0004333+0.00104i,-0.00078472-0.0015777i,-0.0023042-0.0032174i,-0.0037482-0.002102i,-0.0047071-0.00072507i,-0.0043714-0.00016795i
0.17621+0.033539i,0.15979+0.013736i,0.088142-0.007749i,0.035844-0.015234i,0.022335-0.011532i,0.019087-0.0075298i,0.012763-0.0045286i,0.0066901+0.0010501i,0.0050996+0.004687i,0.0035815+0.0021494i,-0.0013408-0.0023672i,-0.0053787-0.0033541i,-0.0055784-0.001488i,-0.0028194-0.0005292i,-0.00066707-3.3259e-05i,6.2945e-05+0.0010402i,0.0016294+0.0015951i,0.0025753+0.00057426i,0.0011216-0.00041548i,-0.00071737+0.00050703i,-0.0019652+0.0019513i,-0.0027109+0.0034697i,-0.0027704+0.0039624i
