-0.0022583+0.00041115i,-0.0023767-0.00061959i,-0.0034377-0.00035255i,-0.0035523+0.00052432i,-0.0018879+0.0022384i,-0.00069413+0.0032375i,-0.00023367+0.002616i,0.00034565+0.0019349i,0.00022049+0.001558i,0.00019396+0.0014545i,0.00025567+0.00080282i,0.00028148+0.00030546i,7.2804e-05+0.0005722i,-0.00015038+5.88e-05i,0.00038182-0.00030734i,0.00048222-0.00076207i,0.00019926-0.0013755i,0.00028765-0.00086034i,0.0011096+3.4866e-05i,0.0013355+4.3828e-05i,0.00072064-0.00036533i,0.00057124-0.00050042i,0.0002338+0.00016666i
0.048979-0.041101i,0.11139-0.11835i,0.13473-0.21732i,0.074227-0.2498i,0.003958-0.1799i,-0.028044-0.1071i,-0.051308-0.10106i,-0.051832-0.081909i,-0.0099612-0.011916i,0.04232+0.038843i,0.067701+0.037629i,0.057024+0.014083i,0.027644+0.0010557i,0.0097424+0.013014i,0.017433+0.040226i,0.036731+0.057312i,0.048447+0.055231i,0.046183+0.042629i,0.038443+0.025207i,0.030183+0.0057385i,0.019392-0.011805i,0.011915-0.019258i,0.008861-0.013878i
-0.05037+0.0278i,-0.12806+0.077289i,-0.18649+0.14862i,-0.15949+0.18982i,-0.084792+0.16011i,-0.041733+0.12181i,-0.029668+0.12838i,-0.016731+0.1102i,-0.0081179+0.041193i,-0.016368-0.017224i,-0.034868-0.033315i,-0.040888-0.02064i,-0.024904-0.0072458i,-0.0084549-0.016061i,-0.0099333-0.042453i,-0.020402-0.059813i,-0.024667-0.057618i,-0.022009-0.045816i,-0.020903-0.028803i,-0.022911-0.0079397i,-0.021689+0.012012i,-0.015772+0.0227i,-0.0061476+0.017713i
0.055718-0.0065877i,0.13643-0.023282i,0.21292-0.055733i,0.21072-0.085157i,0.14454-0.076874i,0.1034-0.057593i,0.10295-0.068961i,0.085943-0.065922i,0.047885-0.023404i,0.026447+0.020119i,0.029545+0.03952i,0.034189+0.03287i,0.02338+0.017222i,0.0097419+0.01919i,0.0041851+0.036586i,0.0017646+0.048637i,-0.0019886+0.04905i,-0.0017443+0.039414i,0.0073803+0.021989i,0.021352+0.00086721i,0.031201-0.018596i,0.030295-0.029788i,0.01752-0.026438i
-0.053629-0.007222i,-0.12405-0.019906i,-0.19215-0.026684i,-0.19148-0.012662i,-0.12747+0.0041221i,-0.078293+0.0023047i,-0.08063-0.0074167i,-0.08111-0.018198i,-0.047919-0.036348i,-0.025945-0.054633i,-0.033368-0.060932i,-0.036157-0.045182i,-0.021733-0.021893i,-0.0072752-0.016273i,0.00077247-0.026459i,0.0088469-0.034376i,0.018292-0.030664i,0.020473-0.022764i,0.0067603-0.017017i,-0.016544-0.008303i,-0.035358+0.0058561i,-0.041128+0.018743i,-0.030648+0.020809i
0.035798+0.015397i,0.084478+0.054977i,0.12573+0.09838i,0.12739+0.10174i,0.10027+0.057468i,0.074283+0.019885i,0.066658+0.027807i,0.061342+0.047329i,0.036161+0.04575i,0.013523+0.043569i,0.014262+0.051454i,0.019872+0.048327i,0.019017+0.033627i,0.016931+0.026653i,0.013086+0.028224i,0.0050896+0.023795i,-0.0053602+0.0082132i,-0.011438-0.0044965i,-0.0062358-0.0024992i,0.012222+0.0041287i,0.035486+0.0024527i,0.046763-0.0055353i,0.035507-0.010482i
-0.019385-0.028922i,-0.041912-0.081571i,-0.05268-0.14389i,-0.051476-0.15822i,-0.057096-0.11115i,-0.056803-0.063018i,-0.037196-0.060716i,-0.016873-0.072777i,-0.009602-0.050528i,-0.0046364-0.023695i,0.0020411-0.02891i,0.0046647-0.035746i,0.0038511-0.02968i,0.0007942-0.031401i,-0.0041926-0.033814i,-0.0044375-0.021153i,-0.00024513-0.00098857i,0.0017546+0.010956i,-0.0024489+0.0073495i,-0.018267-0.0034563i,-0.040232-0.0078135i,-0.052233-0.0051753i,-0.042765+0.0016887i
0.0077382+0.035374i,-0.00013723+0.089338i,-0.026441+0.15239i,-0.043223+0.1661i,-0.021343+0.11907i,0.00068913+0.06318i,-0.019405+0.048287i,-0.043275+0.064425i,-0.028712+0.066616i,-0.0051092+0.054699i,-0.0011913+0.047863i,-0.0057823+0.036677i,-0.0054267+0.025981i,0.0026277+0.028364i,0.013424+0.03053i,0.018345+0.015431i,0.016795-0.0069935i,0.012322-0.019244i,0.0090066-0.012488i,0.016558+0.0059533i,0.0348+0.019868i,0.049381+0.022256i,0.0478+0.013357i
0.00062157-0.028268i,0.033742-0.069127i,0.093671-0.10931i,0.12307-0.1156i,0.073123-0.079704i,0.015833-0.029128i,0.02923-0.0032019i,0.065709-0.01546i,0.05799-0.039462i,0.027597-0.04882i,0.013506-0.04236i,0.014277-0.027649i,0.016141-0.021317i,0.0087804-0.032609i,-0.0091061-0.04487i,-0.028317-0.035464i,-0.036895-0.011028i,-0.030889+0.0058776i,-0.017261+0.0039423i,-0.011522-0.013008i,-0.020589-0.031143i,-0.033455-0.039374i,-0.035679-0.031157i
-0.020046+0.01654i,-0.070076+0.038282i,-0.15629+0.054203i,-0.19091+0.063098i,-0.10739+0.064299i,-0.0057826+0.034393i,0.0040103-0.013456i,-0.034408-0.030226i,-0.041235-0.0076592i,-0.022069+0.014213i,-0.012358+0.015309i,-0.013777+0.0081151i,-0.018246+0.0092903i,-0.018317+0.028481i,-0.0035378+0.050675i,0.022146+0.05054i,0.040076+0.030032i,0.039399+0.010514i,0.023597+0.0044162i,0.01137+0.014639i,0.01391+0.032856i,0.020912+0.045012i,0.021665+0.040478i
0.028898-0.0085303i,0.084769-0.0048011i,0.1773+0.012776i,0.217+0.015226i,0.13674-0.016356i,0.025073-0.025957i,-0.009364+0.011971i,0.017012+0.036382i,0.040377+0.01649i,0.035695-0.010927i,0.01612-0.014423i,0.0056111+0.0019457i,0.012974+0.0088395i,0.023293-0.014374i,0.016009-0.047323i,-0.0083226-0.05908i,-0.02937-0.046154i,-0.031112-0.027609i,-0.018292-0.016791i,-0.0069567-0.018926i,-0.0051354-0.03189i,-0.0077039-0.044408i,-0.01118-0.043065i
-0.025302+0.0010951i,-0.080632-0.027657i,-0.16183-0.083108i,-0.19662-0.10515i,-0.12997-0.047816i,-0.017569+0.0056731i,0.038152-0.0096317i,0.017088-0.035682i,-0.025929-0.026057i,-0.040879+0.00025603i,-0.020072+0.012871i,0.0015676+0.0031238i,-0.00085647-0.0044059i,-0.01629+0.013831i,-0.021927+0.0477i,-0.004853+0.068267i,0.01905+0.061211i,0.022788+0.037124i,0.0075233+0.015306i,-0.0067798+0.01143i,-0.010802+0.024377i,-0.00922+0.038484i,-0.0050098+0.041359i
0.019216+0.015326i,0.061808+0.064055i,0.12448+0.15289i,0.15679+0.18384i,0.11218+0.088178i,0.018077-0.020479i,-0.044604-0.035442i,-0.03892+0.0022168i,-0.0043674+0.029787i,0.013175+0.027948i,0.0058743+0.0092057i,-0.0062547+0.0026685i,0.0028809+0.0073253i,0.030903-0.0054626i,0.0488-0.040422i,0.039141-0.071213i,0.014527-0.075002i,-4.9914e-05-0.052451i,0.0015928-0.024302i,0.0087756-0.012915i,0.015047-0.018864i,0.020858-0.029323i,0.022561-0.032642i
-0.013751-0.020969i,-0.037405-0.081567i,-0.074355-0.18668i,-0.10143-0.2237i,-0.090289-0.11716i,-0.040827+0.014213i,0.0074866+0.053141i,0.021946+0.023406i,0.017195-0.013845i,0.012015-0.024123i,0.011752-0.0070088i,0.017651+0.0027776i,0.010135-0.0060197i,-0.020409-0.0058922i,-0.050452+0.017459i,-0.055196+0.046772i,-0.037895+0.05888i,-0.018632+0.043271i,-0.010508+0.017641i,-0.011054+0.0070662i,-0.0155+0.010135i,-0.022429+0.015805i,-0.024795+0.017846i
0.0068921+0.022347i,0.0073024+0.090797i,0.0061117+0.19838i,0.015224+0.24301i,0.035128+0.15194i,0.037268+0.017663i,0.021465-0.041753i,0.010402-0.027386i,0.0012822+0.0042073i,-0.0041352+0.015614i,-0.0059807+6.0346e-05i,-0.013881-0.01188i,-0.010755-0.0027301i,0.016767+0.0042096i,0.05025-0.0085687i,0.064568-0.03123i,0.055356-0.042432i,0.035523-0.030469i,0.019213-0.007355i,0.013516+0.0046096i,0.015588+0.0024274i,0.020781-0.0023333i,0.022685-0.0067151i
0.0024409-0.021242i,0.021164-0.084188i,0.055386-0.18323i,0.060345-0.22662i,0.013609-0.14496i,-0.023939-0.024393i,-0.029628+0.024175i,-0.01965+0.011084i,0.0083092-0.0040906i,0.028825-0.0058146i,0.022129+0.0044677i,0.013981+0.014958i,0.010009+0.0069109i,-0.011862-0.0091765i,-0.048454-0.011162i,-0.072129+0.0033797i,-0.067157+0.014345i,-0.042865+0.0084056i,-0.020341-0.0060825i,-0.010914-0.012368i,-0.011286-0.0088528i,-0.017224-0.0060017i,-0.02229-0.003137i
-0.0099305+0.020859i,-0.047927+0.072961i,-0.10725+0.15888i,-0.11788+0.19852i,-0.048734+0.13171i,0.018879+0.038353i,0.038003+0.0068959i,0.025543+0.0085161i,-0.0078279-0.0037626i,-0.033666-0.016165i,-0.02608-0.018089i,-0.01068-0.017278i,-0.0053284-0.0053718i,0.010682+0.014268i,0.040699+0.025194i,0.06402+0.020944i,0.062518+0.010323i,0.039318+0.0058277i,0.014921+0.008327i,0.0035108+0.0090369i,0.0028567+0.0071356i,0.0075831+0.0090909i,0.013085+0.0097706i
0.014708-0.014725i,0.065255-0.053322i,0.13854-0.11408i,0.15705-0.14227i,0.090749-0.10173i,0.020363-0.046332i,-0.0030876-0.03622i,-0.0050077-0.036806i,0.00022551-0.0065266i,0.010365+0.022668i,0.0095641+0.026405i,0.0041555+0.023427i,0.0059183+0.015909i,0.0011658-0.0033854i,-0.018841-0.025022i,-0.040697-0.0351i,-0.044088-0.030788i,-0.027346-0.023293i,-0.0074081-0.01962i,0.0016313-0.015804i,0.0033433-0.011174i,0.0037301-0.01067i,-0.0010356-0.0096421i
-0.018478+0.010622i,-0.074437+0.035259i,-0.15676+0.070318i,-0.18173+0.087265i,-0.11298+0.062203i,-0.045624+0.017716i,-0.035272+0.013288i,-0.028736+0.028324i,-0.0067201+0.0099801i,0.00097983-0.017305i,-0.0019694-0.022302i,2.3046e-05-0.016245i,0.0025732-0.009774i,0.005953+0.0043426i,0.015646+0.025044i,0.027378+0.03898i,0.030608+0.037524i,0.018893+0.027858i,0.002564+0.020288i,-0.0052658+0.015093i,-0.0068632+0.01062i,-0.006587+0.0094483i,-0.0016786+0.0083874i
0.022075-0.0046319i,0.077083-0.014315i,0.157-0.028644i,0.17419-0.039345i,0.097227-0.023815i,0.037155+0.012755i,0.047132+0.017865i,0.051114-0.0026832i,0.020671+0.0024034i,0.0018587+0.025115i,0.0016999+0.029376i,0.0001821+0.01931i,-0.0016736+0.0095369i,-0.00099949-0.0063084i,-0.0029406-0.028615i,-0.0074907-0.045026i,-0.0074843-0.044948i,0.0017925-0.032841i,0.0099325-0.020197i,0.010052-0.0093909i,0.0099518-0.0028003i,0.010627-0.0023354i,0.0070996-0.0038648i
-0.016638+0.00098379i,-0.068751-0.0057782i,-0.14085-0.0085508i,-0.15436+3.7284e-05i,-0.084369-0.0047445i,-0.026307-0.038288i,-0.03637-0.057935i,-0.045866-0.036127i,-0.012952-0.0097517i,0.013486-0.011171i,0.012751-0.021262i,0.007885-0.019106i,0.0095235-0.01106i,0.0087292-0.0010193i,0.0012015+0.014581i,-0.0049775+0.0299i,-0.0085315+0.032756i,-0.013388+0.02137i,-0.016288+0.0096427i,-0.013657+0.0043049i,-0.011001+0.00040972i,-0.011199-0.0019195i,-0.0077248-0.00050167i
0.020605+0.0065164i,0.065854+0.021772i,0.12598+0.036589i,0.13369+0.029786i,0.064252+0.02236i,-0.004285+0.055102i,-0.0031969+0.088181i,0.02226+0.063531i,0.015343+0.011763i,-0.0040202-0.0042788i,-0.0083229+0.0094579i,-0.0055579+0.014754i,-0.0085074+0.0069379i,-0.010025-0.0043875i,-0.0020788-0.015799i,0.010305-0.02433i,0.017998-0.024722i,0.01861-0.015889i,0.016297-0.0069746i,0.0134-0.0036542i,0.011528-0.0011278i,0.010307+0.0020713i,0.0055466+0.0027136i
-0.022018-0.0066635i,-0.058284-0.025393i,-0.10917-0.044091i,-0.11323-0.030541i,-0.033877-0.0077454i,0.055817-0.037639i,0.067732-0.083851i,0.025574-0.074241i,-0.0040083-0.027891i,-0.0045751-0.0067763i,0.0043486-0.014684i,0.007754-0.01459i,0.010217+0.00071663i,0.011379+0.013155i,0.002422+0.017894i,-0.012351+0.017975i,-0.022602+0.011928i,-0.023173+0.0028142i,-0.01774-0.0026751i,-0.013193-0.0042941i,-0.010242-0.0060936i,-0.0080781-0.0080609i,-0.0046194-0.0064452i
0.01366+0.0088921i,0.042005+0.034075i,0.085483+0.055383i,0.094101+0.034419i,0.02444-0.0063053i,-0.06972-0.0023627i,-0.10017+0.033159i,-0.060891+0.042981i,-0.0081655+0.025377i,0.0071711+0.014236i,-0.0077542+0.017343i,-0.016165+0.016992i,-0.012977+0.0017067i,-0.007981-0.013628i,0.0010578-0.017163i,0.014135-0.012549i,0.023513-0.0015048i,0.024121+0.0077339i,0.017683+0.008782i,0.011021+0.0079627i,0.0074227+0.0093458i,0.0054772+0.01061i,0.0023512+0.0082577i
-0.0063103-0.017745i,-0.030335-0.044307i,-0.072131-0.067879i,-0.091481-0.041454i,-0.038841+0.018036i,0.058811+0.040527i,0.10863+0.019705i,0.077763-0.0027559i,0.019006-0.013177i,-0.0052524-0.013781i,0.0083393-0.01191i,0.018321-0.0083647i,0.013654+0.006635i,0.0082515+0.021445i,0.0004251+0.020276i,-0.010306+0.0083477i,-0.014644-0.0059976i,-0.013362-0.01538i,-0.011598-0.014903i,-0.0091376-0.010268i,-0.0060146-0.0077281i,-0.0015471-0.0068254i,0.0029401-0.0043905i
0.0059022+0.016246i,0.025344+0.043814i,0.064189+0.071275i,0.092256+0.045292i,0.056359-0.029903i,-0.032228-0.080097i,-0.081274-0.07732i,-0.061087-0.042469i,-0.020246+0.0050698i,-0.0010111+0.028878i,-0.0085841+0.019943i,-0.012841+0.004798i,-5.1326e-05-0.011479i,0.010949-0.025921i,0.015048-0.024888i,0.018301-0.010527i,0.016496+0.0039532i,0.01056+0.011439i,0.0062667+0.011479i,0.003994+0.008314i,0.0024366+0.0075627i,9.1468e-05+0.0064377i,-0.0029309+0.0034739i
-0.0059069-0.011347i,-0.019807-0.040051i,-0.05804-0.070328i,-0.099284-0.048532i,-0.083451+0.029357i,-0.014608+0.093293i,0.027505+0.10187i,0.028003+0.063981i,0.025264+0.0032213i,0.025574-0.030672i,0.026868-0.0189i,0.023118-0.00012521i,0.0049545+0.011439i,-0.012004+0.020401i,-0.017442+0.017522i,-0.01598+0.0012506i,-0.0096759-0.015171i,-0.0025993-0.021868i,0.0007718-0.018035i,0.0018062-0.011044i,0.0025983-0.0081187i,0.0034942-0.0072697i,0.0053258-0.0050724i
-0.0011509+0.009421i,0.010202+0.040664i,0.045851+0.079723i,0.096889+0.073334i,0.10553+0.0048908i,0.063457-0.066348i,0.034728-0.086842i,0.020131-0.061464i,-0.010595-0.017462i,-0.030465+0.0099093i,-0.028113+0.0047278i,-0.018037-0.0057104i,0.0013151-0.0097866i,0.019851-0.015785i,0.023904-0.014219i,0.016458-0.0011368i,0.0050287+0.012116i,-0.0042966+0.015791i,-0.0063244+0.011186i,-0.0040536+0.0063595i,-0.0033896+0.0036029i,-0.005384+0.00032394i,-0.0085872-0.0022014i
0.001982-0.010085i,-0.0053131-0.041246i,-0.03731-0.088317i,-0.093192-0.097507i,-0.11584-0.03804i,-0.084063+0.030634i,-0.060112+0.045798i,-0.04193+0.031738i,0.004675+0.017782i,0.036096+0.0042323i,0.027835+0.003961i,0.0088971+0.010484i,-0.010689+0.010485i,-0.027002+0.010118i,-0.029489+0.0057061i,-0.019643-0.0041323i,-0.0042703-0.011528i,0.0071305-0.01171i,0.0094401-0.0072381i,0.006868-0.0024198i,0.0039704+0.0008481i,0.0040003+0.0040764i,0.0057439+0.0080297i
-0.001381+0.0081673i,0.00033484+0.041196i,0.022506+0.097685i,0.075949+0.12704i,0.10859+0.078848i,0.088325+0.011843i,0.066131+0.00038214i,0.046905+0.0016609i,0.000896-0.015246i,-0.033462-0.017877i,-0.027041-0.012857i,-0.0067699-0.010458i,0.01255-0.0015863i,0.028434+0.0042333i,0.030346+0.006514i,0.017061+0.010701i,0.0005212+0.012171i,-0.0079436+0.0078772i,-0.0086812+0.0012427i,-0.0061279-0.0028266i,-0.0024256-0.0044951i,-0.0006284-0.0067903i,-0.00058152-0.0094139i
0.002192-0.01077i,0.0065329-0.043073i,-0.006735-0.10717i,-0.053018-0.1515i,-0.085938-0.11492i,-0.063275-0.050492i,-0.032346-0.039526i,-0.026046-0.030902i,-0.0093195+0.013321i,0.013858+0.034272i,0.013426+0.024797i,0.0018531+0.013664i,-0.0086809+0.0015052i,-0.018701-0.0076846i,-0.019242-0.011355i,-0.007793-0.012496i,0.0075536-0.010604i,0.013519-0.0062425i,0.0093007-2.1976e-05i,0.0033971+0.0048799i,-0.00092969+0.0072596i,-0.0023624+0.010515i,-0.001763+0.013048i
-0.0033197+0.0066102i,-0.016155+0.040759i,-0.021261+0.10847i,0.008971+0.1668i,0.044235+0.13908i,0.026652+0.061628i,-0.0095232+0.038196i,-0.00087183+0.035419i,0.017877-0.0051793i,0.0083067-0.031043i,0.0011255-0.01985i,0.0066929-0.004142i,0.014078+0.0081042i,0.021989+0.014925i,0.021453+0.014925i,0.010337+0.011108i,-0.0012466+0.0031175i,-0.005567-0.0041174i,-0.0031685-0.0067755i,0.0015424-0.0074141i,0.007277-0.0079383i,0.0098696-0.010573i,0.0089701-0.012342i
0.009087-0.0061232i,0.026823-0.037435i,0.047608-0.10815i,0.032979-0.17396i,-0.006828-0.14567i,-0.0031768-0.049176i,0.036177-0.009156i,0.028811-0.019042i,-0.0095347-0.0011312i,-0.01486+0.020452i,-0.0052869+0.013347i,-0.0047549-0.0013273i,-0.0063451-0.011592i,-0.010304-0.018482i,-0.011341-0.020525i,-0.0048586-0.016343i,0.0023259-0.0068085i,0.0033404+0.0019637i,-0.0010395+0.0053695i,-0.0064717+0.0046912i,-0.012411+0.0045612i,-0.016781+0.0064348i,-0.016219+0.0076962i
-0.0072949+0.0057005i,-0.032634+0.032873i,-0.071445+0.097578i,-0.076603+0.16547i,-0.031109+0.14175i,-0.0069274+0.033355i,-0.034256-0.028271i,-0.03147-0.0087498i,0.012723+0.0069342i,0.02591-0.0042546i,0.010414-0.0080068i,-0.00043489+0.00053434i,-0.0013954+0.011252i,0.0038933+0.018405i,0.0054899+0.018679i,7.5354e-05+0.011798i,-0.0047755+0.0028449i,-0.002942-0.0024952i,0.0028985-0.0040331i,0.0086264-0.002446i,0.015329-9.9168e-05i,0.018827-0.001728i,0.01713-0.0031363i
0.012843-0.0047258i,0.043418-0.025564i,0.09598-0.079792i,0.11726-0.14315i,0.062605-0.12844i,0.00027387-0.019779i,0.0062951+0.055007i,0.018386+0.02745i,-0.0076806-0.015078i,-0.019786-0.013492i,-0.0081275-0.0032419i,0.0017277-0.0038234i,0.0033368-0.0095871i,-0.001248-0.016206i,-0.003571-0.016505i,-0.00047805-0.0091348i,0.0021468+0.0003143i,0.0013023+0.0022639i,-0.0018633-0.0016732i,-0.0071519-0.0042727i,-0.014891-0.0054979i,-0.019886-0.0033097i,-0.017457-0.0016227i
-0.009732+0.0043262i,-0.045209+0.016476i,-0.11116+0.054338i,-0.14959+0.11003i,-0.084798+0.11217i,0.02084+0.022604i,0.043019-0.057242i,0.010811-0.037602i,0.0027036+0.013649i,0.0053809+0.019299i,-0.0010881+0.0059815i,-0.0068706+0.0032926i,-0.0063481+0.0080156i,-0.001491+0.014863i,0.00096993+0.01642i,0.00070969+0.0097474i,0.0026586+0.00069673i,0.0050866-0.0026664i,0.0043098-7.5574e-05i,0.0051926+0.0056735i,0.012176+0.010112i,0.018761+0.0091163i,0.01633+0.0071352i
0.009099+0.00051828i,0.047652-0.0024584i,0.12335-0.020157i,0.17518-0.066504i,0.1107-0.095359i,-0.023315-0.049617i,-0.074979+0.018475i,-0.030547+0.019756i,0.0070629-0.013466i,0.010198-0.014772i,0.0092032-0.00012596i,0.012343+0.0047926i,0.013526+0.00055634i,0.0097525-0.0083937i,0.0064399-0.013552i,0.0055558-0.010966i,0.0034081-0.0060838i,0.0010439-0.0040876i,-0.0003693-0.0045529i,-0.0012749-0.008543i,-0.0067074-0.013939i,-0.013964-0.013649i,-0.012364-0.0095562i
-0.011166-0.0020151i,-0.04831-0.0077001i,-0.12703-0.0077069i,-0.19193+0.025261i,-0.13979+0.075153i,0.0065645+0.077549i,0.082778+0.029891i,0.041397+0.0060273i,-0.0090971+0.012491i,-0.015262+0.0091132i,-0.0072604-0.0010756i,-0.0049587-0.0050376i,-0.0048252+0.00071097i,-0.0026766+0.0098129i,-0.0016989+0.011637i,-0.0015333+0.0060851i,-0.00076899-0.0003008i,-0.0028068-0.0034512i,-0.0065571-0.00159i,-0.0073255+0.0058593i,-0.00050792+0.014701i,0.0089372+0.016126i,0.0088887+0.01148i
0.0075665+0.0015903i,0.040492+0.017701i,0.11404+0.040254i,0.18679+0.028171i,0.15914-0.039822i,0.030385-0.096279i,-0.05356-0.079842i,-0.0266-0.034204i,0.017726-0.0070584i,0.020536+0.0060921i,0.0090864+0.010641i,0.0033076+0.010959i,0.0057757+0.0054614i,0.0092587-0.0057048i,0.0079534-0.01148i,0.0038343-0.0092507i,-0.0010485-0.0042447i,-0.0020597+0.0009095i,0.0031477+0.0031651i,0.0090055-0.0010084i,0.0061013-0.010856i,-0.0023817-0.01604i,-0.0037664-0.010549i
-0.0054188-0.0062659i,-0.034407-0.028514i,-0.10167-0.068428i,-0.18095-0.076566i,-0.18372-0.00045143i,-0.087426+0.09699i,-0.002875+0.10628i,-0.00095635+0.044125i,-0.016892-0.0042743i,-0.0087265-0.017449i,-0.00075512-0.016475i,0.0019308-0.014021i,0.0001221-0.0085533i,-0.0053973+0.001183i,-0.0088179+0.0065173i,-0.008604+0.0056036i,-0.0031552+0.0037654i,0.0018375-9.0523e-05i,-0.0013982-0.006063i,-0.008313-0.0057999i,-0.0081618+0.0051393i,-0.0005761+0.01362i,0.00268+0.0094452i
0.0055737+0.0096156i,0.027138+0.038041i,0.079513+0.094343i,0.15655+0.12572i,0.19299+0.060364i,0.14524-0.055286i,0.071235-0.091831i,0.035552-0.038878i,0.018327+0.0091871i,-4.3736e-05+0.018834i,-0.0071368+0.015173i,-0.0071031+0.010788i,-0.0028611+0.0059415i,0.003805-0.00033447i,0.0068114-0.0043076i,0.0066411-0.0025033i,0.0054594+0.00034713i,0.0037603+0.0027534i,0.0044223+0.0081664i,0.009247+0.0095306i,0.011922-0.000525i,0.006621-0.009842i,0.0014357-0.0081592i
-0.0058273-0.0096129i,-0.018019-0.042152i,-0.052058-0.10985i,-0.11758-0.1637i,-0.1771-0.12347i,-0.17238-0.014743i,-0.11305+0.037059i,-0.053741+0.008336i,-0.012083-0.016756i,0.010183-0.014309i,0.013911-0.0085904i,0.012734-0.0038384i,0.0091232-0.0006089i,0.0012218+0.0033987i,-0.003918+0.0049941i,-0.0027443+0.0021461i,0.0016832-0.00018543i,0.0060346-0.0048714i,0.0050038-0.014274i,-0.0029959-0.017259i,-0.0098778-0.0066563i,-0.0089604+0.005743i,-0.0043829+0.0071494i
0.0020993+0.0063948i,0.0056914+0.039493i,0.018393+0.11315i,0.062863+0.1917i,0.13046+0.18619i,0.16345+0.095877i,0.12629+0.029848i,0.056655+0.024272i,0.0056135+0.020528i,-0.016167+0.0082918i,-0.018553+0.004739i,-0.014185+0.0032664i,-0.007811+0.0026837i,0.00044965+0.0011898i,0.0050697-0.0015524i,0.0047898-0.0024492i,0.00098494-0.0038586i,-0.0061545-0.0025537i,-0.01049+0.0077771i,-0.0049952+0.016828i,0.0048192+0.010568i,0.0069677-0.0013523i,0.0032842-0.0038116i
0.0023805-0.0057351i,0.0084837-0.03761i,0.017232-0.11157i,-0.0019082-0.20366i,-0.062586-0.232i,-0.11221-0.17132i,-0.092739-0.099402i,-0.03466-0.057821i,0.0053229-0.021427i,0.019354+0.0037979i,0.018098+0.0063965i,0.012234+0.0062133i,0.0076376+0.006439i,0.0025682+0.0045327i,-0.0011637+0.0021359i,-0.0030514-0.001468i,-0.0028851-0.002002i,0.0023107-0.001599i,0.0090554-0.0091255i,0.0067539-0.018106i,-0.0033253-0.014635i,-0.0077191-0.003865i,-0.0045483+0.00060198i
-0.0031768+0.0072352i,-0.016068+0.03507i,-0.046196+0.103i,-0.061185+0.19635i,-0.024924+0.24627i,0.026589+0.21037i,0.027825+0.13548i,-0.00088304+0.070124i,-0.010723+0.018439i,-0.010541-0.0087111i,-0.010194-0.010721i,-0.005773-0.0097965i,-0.0011527-0.010155i,0.0034044-0.0087398i,0.0052368-0.007396i,0.002381-0.0044959i,-0.0014553-0.0025549i,-0.0077233-0.0014911i,-0.01453+0.0053983i,-0.012678+0.014842i,-0.001229+0.015571i,0.0065854+0.0081658i,0.006094+0.0032342i
0.0041155-0.0036731i,0.024899-0.024889i,0.072108-0.076719i,0.11991-0.16084i,0.11651-0.22078i,0.072651-0.20435i,0.048993-0.13449i,0.042805-0.064619i,0.022532-0.015025i,0.0075923+0.009757i,0.0071423+0.011301i,0.0048315+0.0084191i,0.00085058+0.0077885i,-0.0025049+0.0048494i,-0.0044574+0.003429i,-0.0033063+0.0044505i,0.00034749+0.0063354i,0.0076811+0.0075448i,0.017503+0.0010041i,0.018353-0.011048i,0.007686-0.015804i,-0.0014731-0.011224i,-0.0026512-0.0075239i
-0.0017398+0.0028813i,-0.026167+0.017874i,-0.087468+0.054095i,-0.16379+0.11612i,-0.19105+0.16647i,-0.15521+0.15464i,-0.1096+0.091177i,-0.070068+0.033551i,-0.024387+0.0038506i,-0.00033125-0.010504i,-0.0012428-0.011949i,0.00021751-0.0075937i,0.0054443-0.004665i,0.0083848-0.0036132i,0.0085342-0.0042389i,0.0066145-0.0036212i,0.0058957-0.0029434i,0.0020673-0.0046859i,-0.0099866-0.0032709i,-0.017281+0.0063589i,-0.010593+0.014478i,-0.0021291+0.013163i,1.4803e-05+0.0088315i
0.0063523-9.0071e-05i,0.032658-0.0062738i,0.098352-0.021867i,0.18907-0.053498i,0.23711-0.082368i,0.20763-0.07274i,0.144-0.028171i,0.08233+0.0024371i,0.02774+0.0043027i,-0.00097997+0.0055823i,-0.0030668+0.0081301i,-0.0041576+0.0050456i,-0.0081147+0.0044143i,-0.0094063+0.0042139i,-0.0091944+0.0023441i,-0.006131+0.00049593i,-0.0022632-0.001253i,0.0024614-0.00021652i,0.011166+0.00040727i,0.017413-0.0061554i,0.013571-0.014178i,0.0052278-0.015316i,0.0016567-0.012272i
-0.0055753+0.0011316i,-0.032634-0.0010705i,-0.10041-0.008508i,-0.19382-0.012797i,-0.24471-0.012581i,-0.20926-0.024123i,-0.13275-0.046176i,-0.069082-0.042766i,-0.024266-0.014176i,-0.00010059-0.0011049i,0.0034873-0.0033449i,0.0036625-0.00057372i,0.00789+0.0043698i,0.011602+0.0050594i,0.012981+0.0022693i,0.0099133-0.0015405i,0.0039193-0.0053464i,-0.0019232-0.0088803i,-0.010774-0.0086011i,-0.018515-0.0002478i,-0.017446+0.010249i,-0.011447+0.014345i,-0.0077995+0.013157i
