-0.00096847+0.00039198i,0.00042337-0.00062614i,0.00065498-4.9004e-05i,0.00050988+0.00077971i,0.00028425+0.00037719i,-0.00025528+0.00030054i,-0.0015187+0.00083606i,-0.0010566+0.0014909i,0.00010775+0.0011982i,0.00012121+0.00035032i,0.00075476-0.00012591i,0.00051486+0.00035359i,-0.00035009+0.00081751i,-0.00013246+0.00013997i,0.00032623-0.00089891i,0.00037073-0.00055638i,0.0003017+0.00074051i,0.00031672+0.00068486i,0.00041351+0.00027616i,0.00047521+0.0004286i,-6.1926e-05+0.00084964i,-0.0010029+0.00069923i,-0.001126-0.00062765i
-0.027094-0.0072345i,-0.072987-0.048561i,-0.11966-0.12961i,-0.10962-0.19043i,-0.044181-0.15917i,-0.0054568-0.078901i,-0.013234-0.03324i,-0.01998-0.022213i,-0.015069-0.014555i,-0.0077734-0.0051923i,-0.0024949+0.0012559i,-0.0016847+0.0021766i,-0.0028493+0.0010044i,-0.00082471+0.0016677i,0.002852+0.0028044i,0.0022519+0.0040964i,-0.0013568+0.0045671i,-0.003164+0.0015058i,-0.0038978-0.0022688i,-0.0034896-0.0020472i,-0.0012466+0.00020151i,2.1179e-05+0.0024091i,0.00029055+0.0064943i
0.021485+0.012519i,0.053719+0.059019i,0.075977+0.13517i,0.050125+0.17511i,0.0019298+0.12326i,-0.0089848+0.043761i,0.0099099+0.010694i,0.018959+0.00048126i,0.012466-0.0085381i,0.0041028-0.0091957i,0.00052652-0.0048877i,-0.0011305-0.0020119i,-0.0023627-0.001288i,-0.0020942-0.0018434i,-0.00076848-0.0040929i,0.0017676-0.0068562i,0.0045498-0.0065356i,0.0046951-0.0023538i,0.0036344+0.0010981i,0.0029659+0.0012423i,0.0017022+0.00022295i,0.0025011-0.0011213i,0.0059598-0.0042192i
-0.02025-0.01412i,-0.043164-0.058245i,-0.050532-0.12564i,-0.022058-0.15776i,0.011089-0.11123i,0.0086527-0.052739i,-0.005165-0.035318i,-0.002155-0.028553i,0.0056973-0.015746i,0.0065141-0.006301i,0.0033117-0.0018885i,0.0020309-0.0007192i,-0.00039878-0.0008367i,-0.0033946+0.00065212i,-0.0040388+0.0018738i,-0.0048377+0.00048626i,-0.0050796-0.0011506i,-0.0028201-0.0019634i,-0.0014081-0.0015231i,-0.0014611+0.0012843i,-0.0007537+0.0029779i,-0.0020827+0.002357i,-0.006008+0.0028779i
0.0142+0.014333i,0.027584+0.058995i,0.024706+0.12538i,-0.00095946+0.15142i,-0.01556+0.10357i,-0.0032606+0.052521i,0.0059715+0.040516i,0.0081799+0.035837i,0.012098+0.021287i,0.0091856+0.0050512i,0.001444-0.0022166i,-0.0027754-0.0024876i,-0.0034916-0.003444i,-0.0042652-0.0047991i,-0.0047775-0.0043332i,-0.003725-0.0022722i,-0.0022145-0.0007794i,-0.0016768-8.9098e-05i,-0.00029408+0.00061559i,0.0019483-0.00034489i,0.0025474-0.0014105i,0.0023629-0.0011737i,0.0030069-0.00040824i
-0.0099797-0.015612i,-0.010001-0.056729i,0.013288-0.11113i,0.04613-0.12608i,0.041461-0.080803i,0.0097628-0.036411i,-0.0031002-0.017231i,0.0015031+0.001263i,0.0056611+0.012163i,0.0071009+0.0089135i,0.0073001+0.0045721i,0.0081606+0.0043511i,0.0085873+0.0039626i,0.0054673+0.0039461i,0.002612+0.0049878i,0.001724+0.0046965i,0.0013495+0.0018787i,0.0014605-0.00099435i,0.00031694-0.0015153i,-0.0017392-0.00021047i,-0.0029357+0.0004361i,-0.003866-0.00011453i,-0.0047686-0.00085272i
0.0047508+0.014772i,0.0040211+0.051008i,-0.015894+0.095708i,-0.038149+0.10558i,-0.029827+0.076386i,-0.011782+0.055736i,-0.012144+0.049044i,-0.015281+0.035507i,-0.011843+0.019766i,-0.0067147+0.0079047i,-0.0032336-0.00040071i,-0.0012846-0.0035187i,0.00027796-0.0047874i,0.00085465-0.006041i,-0.0018306-0.0048559i,-0.0042333-0.00054866i,-0.0039547+0.0028883i,-0.0027193+0.0022443i,-0.00070068+0.00010999i,0.0019505-0.0016544i,0.0038171-0.0015667i,0.0038561+0.00085912i,0.0034457+0.00069406i
-0.0056965-0.017152i,0.0047786-0.048925i,0.032556-0.087948i,0.058367-0.099542i,0.047164-0.079433i,0.023366-0.057165i,0.016569-0.036955i,0.0085047-0.01827i,-0.0038818-0.0080611i,-0.006886-0.0018105i,-0.0021283+0.0043329i,0.0033672+0.0081343i,0.0065384+0.0087623i,0.0068084+0.0077439i,0.0073319+0.0062692i,0.0094391+0.0042303i,0.010591+0.0018545i,0.0087333-9.1902e-05i,0.0048339-0.0014966i,0.0014698-0.001425i,0.00048291-0.0016691i,0.00042111-0.0028147i,-0.0004158-0.0024358i
-0.00042643+0.010432i,-0.012464+0.034244i,-0.043999+0.060775i,-0.069142+0.065698i,-0.057115+0.053027i,-0.035531+0.040739i,-0.025258+0.022557i,-0.015548+0.00050599i,-0.0079676-0.010033i,-0.0049595-0.0090248i,-0.002191-0.0063516i,-0.0010009-0.0062332i,-0.0014787-0.0063046i,-0.00080429-0.0058295i,-0.0012796-0.0058939i,-0.0038599-0.005664i,-0.0057453-0.0037512i,-0.0045785-0.0016671i,-0.0008282-0.001411i,0.0026207-0.0025651i,0.0030197-0.0020347i,0.0022295+0.00087108i,0.0021068+0.0041793i
0.0027979-0.012455i,0.017654-0.030701i,0.049291-0.051626i,0.072129-0.058344i,0.063573-0.054986i,0.047082-0.046514i,0.03443-0.02883i,0.020142-0.015935i,0.010451-0.011569i,0.0054523-0.0063948i,0.00083186+0.0022996i,-0.0030052+0.0084863i,-0.0045841+0.01047i,-0.0033587+0.010525i,0.0011962+0.0091654i,0.0071243+0.0052777i,0.0096099+0.0010564i,0.0072906-0.00044195i,0.0030914+0.0003117i,-0.0010804+0.00069622i,-0.0023153-1.655e-05i,-8.0472e-05-0.0010225i,0.0020122-0.0015588i
-0.001937+0.0097704i,-0.018062+0.026634i,-0.049382+0.04256i,-0.074216+0.044338i,-0.0738+0.03977i,-0.060875+0.03041i,-0.041062+0.01422i,-0.014941+0.0059826i,0.0032178+0.0028872i,0.0071558-0.0023853i,0.0036834-0.0064211i,0.00079143-0.0074752i,5.2394e-05-0.0084868i,-0.0004755-0.0091217i,-0.0030361-0.0088471i,-0.0083302-0.0071334i,-0.011577-0.0044156i,-0.0090271-0.0024665i,-0.0042433-0.0014435i,-0.0013785-0.00015091i,-0.0016323+0.0019868i,-0.0029472+0.0029126i,-0.003395+0.00075735i
0.0041918-0.0060513i,0.021363-0.016171i,0.056393-0.021463i,0.085357-0.017675i,0.085435-0.014583i,0.065072-0.0074078i,0.036134+0.0061791i,0.014734+0.011688i,0.010188+0.008735i,0.0088031+0.0045307i,0.0026124+0.0022803i,-0.0017962+0.0029347i,-0.0027327+0.0043334i,-0.0039381+0.0057699i,-0.0030939+0.0077986i,0.0018384+0.0075529i,0.0058693+0.005172i,0.0053282+0.0029344i,0.0017568+0.0027411i,-0.00071391+0.002943i,8.1521e-05+0.00085924i,0.0015321-0.0013104i,0.0010136-0.00093798i
-0.0016648+0.0060477i,-0.015726+0.012733i,-0.04153+0.011996i,-0.064388+0.0026636i,-0.070396-0.0039142i,-0.06257-0.0061i,-0.039279-0.0032545i,-0.015645+0.0073627i,-0.0043128+0.013141i,0.00040093+0.0075302i,0.0034376-0.00044551i,0.0062282-0.004771i,0.0075922-0.0073003i,0.0046686-0.0091214i,-0.0013586-0.0099993i,-0.0065052-0.0083611i,-0.0080601-0.0041964i,-0.0050808-0.0016443i,-0.00051169-0.001092i,0.0020249-0.0010027i,0.0013542-0.00041142i,0.00022125+3.9888e-05i,0.00012634-0.00088669i
0.0054745-0.0042089i,0.019626-0.0085164i,0.049256-0.0070803i,0.0758+0.0041902i,0.078207+0.015547i,0.058074+0.023648i,0.030515+0.023568i,0.011586+0.013174i,0.0031051+0.0055084i,-2.565e-06+0.0034971i,-0.00015284+0.0025204i,0.00071938+0.0028666i,0.0011743+0.0036684i,0.0016915+0.0048719i,0.0029009+0.0070632i,0.0055213+0.0077701i,0.0064589+0.0049926i,0.0043273+0.001638i,0.0021569+0.00034227i,0.0020168+0.00036715i,0.0030413+0.00025463i,0.0043303-0.00010929i,0.0039117+0.00098904i
-0.0041783+0.0040025i,-0.01622+0.0021241i,-0.037245-0.011633i,-0.055024-0.033075i,-0.05699-0.045996i,-0.042397-0.042784i,-0.020819-0.024723i,-0.0096365-0.0063291i,-0.010133-0.00065387i,-0.0092499-0.0011131i,-0.0025611+0.00045447i,0.0025122+0.0025553i,0.003729+0.0016378i,0.0042127-0.0015347i,0.0031567-0.0057626i,0.00072042-0.0069852i,-0.0016811-0.0043913i,-0.0019125-0.0022394i,-0.00054158-0.0018955i,-0.001001-0.0017855i,-0.002406-0.0006644i,-0.0021008-0.00023555i,-0.0014906-0.0017191i
0.0033701-0.00080829i,0.014039+0.0010363i,0.033008+0.012938i,0.046644+0.031636i,0.043746+0.043964i,0.025623+0.042231i,0.0083473+0.027008i,0.0032669+0.009204i,0.0025803-0.00039826i,-0.0001115-0.0016879i,-0.0022814+0.00024348i,-0.0024076+0.0018984i,-0.0015952+0.0050221i,-0.00039779+0.008946i,0.00085487+0.0093492i,0.0031336+0.0059214i,0.0057497+0.00097221i,0.0045288-0.0024799i,0.0010175-0.002085i,-0.00038545+4.7637e-05i,0.0008519+0.0011108i,0.0011783+0.001433i,-0.00041217+0.0026744i
-0.0018189+0.0001976i,-0.010945-0.0036853i,-0.023314-0.018537i,-0.031207-0.042365i,-0.027659-0.057132i,-0.015409-0.051073i,-0.007728-0.029512i,-0.0080291-0.0125i,-0.0063727-0.0092581i,-0.0023508-0.0093303i,-0.0012126-0.0051364i,-0.0020988+0.00053348i,-0.0019557+0.00094424i,0.00024056-0.0031833i,0.002058-0.0057265i,0.00060668-0.0047499i,-0.0020722-0.0014406i,-0.0014368+0.00096677i,0.0010021-0.00043525i,0.00051048-0.0025032i,-0.001612-0.0019369i,-0.0021822-0.0017333i,-0.0006861-0.0016923i
0.0022565+0.0011961i,0.010036+0.0075229i,0.020932+0.024739i,0.023913+0.046929i,0.013517+0.056556i,-0.0031817+0.045783i,-0.0082472+0.02543i,0.0011627+0.011245i,0.0096496+0.0049046i,0.0094808-0.00014155i,0.0058575-0.0030239i,0.0026497-0.0022391i,-0.00055916-0.00025403i,-0.0039253+0.0031481i,-0.0051661+0.0067763i,-0.0020281+0.0062916i,0.0020042+0.0022413i,0.0019821-0.00013963i,5.3229e-05+0.0012092i,0.00020088+0.0026593i,0.0016565+0.002172i,0.0026935+0.0019312i,0.0025984+0.00098536i
-0.0010137-0.0018506i,-0.0055236-0.0065981i,-0.0074003-0.022956i,-0.0024357-0.043102i,0.0075791-0.051568i,0.014045-0.037969i,0.011002-0.014608i,0.0050221-0.0039657i,0.0060478-0.0033756i,0.0079202-0.0036122i,0.004873-0.0041984i,0.001332-0.0045021i,0.00096319-0.0050312i,0.0031982-0.0069252i,0.0037037-0.0076677i,0.00020761-0.0046067i,-0.0036365+0.00055319i,-0.0027577+0.0039151i,0.00019023+0.0027849i,0.00084148+0.00057386i,0.00092981-0.00054001i,0.0019658-0.0018726i,0.0016294-0.0029884i
0.0034185+0.0015526i,0.0064003+0.0073251i,0.0068146+0.020097i,-0.00072634+0.035054i,-0.015225+0.039917i,-0.022271+0.030998i,-0.012995+0.020386i,-0.00052724+0.017318i,0.0033004+0.016056i,0.0027169+0.010976i,0.0034289+0.0055459i,0.0045204+0.0026107i,0.0035282+0.0013966i,-0.00012327+0.0018382i,-0.0025345+0.0026245i,-0.0014083+9.1003e-05i,0.00048487-0.0039401i,-9.2005e-05-0.0039i,-0.0023002-0.00049606i,-0.0023753+0.0023523i,-0.00060915+0.0031272i,0.00030755+0.002451i,0.00031936+0.0018912i
8.2764e-06-0.00085303i,-0.0011404-0.0078187i,0.0052882-0.023006i,0.018002-0.037624i,0.029503-0.036646i,0.028184-0.020069i,0.016111-0.0036193i,0.0055137+0.0016337i,0.00064003+0.0019571i,-0.00073287+0.0028615i,-0.0013755+0.0025776i,-0.00078112+0.00016981i,0.0034225-0.0014724i,0.0073127-0.0024293i,0.0063847-0.0025438i,0.0014227+9.1378e-06i,-0.0027618+0.0034548i,-0.0023867+0.0037745i,0.00036097+0.00018431i,0.0017243-0.0021695i,0.0010877-0.0026887i,0.00061966-0.0030611i,-4.2649e-05-0.0020198i
0.0012382+0.0025334i,0.0018489+0.0051576i,-0.0012132+0.013861i,-0.011921+0.019082i,-0.024309+0.01431i,-0.027761+0.0053296i,-0.020921+0.0029898i,-0.014102+0.0062565i,-0.012827+0.0062969i,-0.011294+0.0042628i,-0.0062641+0.0044504i,-0.0010271+0.0059341i,0.00032101+0.0068245i,-0.002374+0.0053587i,-0.0028764+0.0026057i,0.00097427-0.001474i,0.0047551-0.0060851i,0.004297-0.0081073i,0.00019228-0.0069311i,-0.0024352-0.00322i,-0.002954-0.00028959i,-0.0027183+0.0016111i,-0.0010853+0.0034497i
-0.0014777-0.00073981i,0.0011577-0.0033792i,0.0090724-0.0096222i,0.02209-0.015172i,0.030267-0.011197i,0.024673-0.00097949i,0.012511+0.0013834i,0.0052204-0.0041336i,0.00237-0.007878i,-1.7642e-05-0.0076498i,-0.0010078-0.0051593i,-0.00053786-0.0023754i,0.0007217-0.00062945i,0.0034187+0.00025891i,0.0041359+0.0012962i,0.0004737+0.0026303i,-0.0028573+0.0047157i,-0.0011078+0.0052414i,0.0032326+0.0018376i,0.0042205-0.0014172i,0.0033348-0.0018903i,0.0028491-0.0025874i,0.0016838-0.0042735i
-0.0033705+0.0010796i,-0.0047944+0.0032841i,-0.010668+0.0099007i,-0.019607+0.011397i,-0.025525+0.0024968i,-0.021175-0.0080492i,-0.01166-0.0085588i,-0.0059701-0.0042496i,-0.0027092-0.0051467i,-0.00029638-0.0064991i,3.9889e-06-0.0027054i,-0.00044479+0.0026499i,-0.0021631+0.0040391i,-0.0041212+0.0022778i,-0.0026843+0.00074041i,0.0019466-0.0010637i,0.0053205-0.0038633i,0.004177-0.0061963i,0.00055221-0.005008i,-0.0013657-0.0019492i,-0.0011662-0.00078027i,-0.0015016+0.00074547i,-0.0011154+0.0028563i
-0.00010043-0.0014686i,0.0027611-0.0036897i,0.011905-0.0049874i,0.02345-0.0010042i,0.025743+0.0070969i,0.017+0.011406i,0.0090397+0.0098437i,0.010356+0.0050572i,0.013071+0.0010629i,0.01063-0.0022076i,0.0061907-0.0046195i,0.0022717-0.0049261i,0.0013077-0.0030952i,0.0017191-0.00031273i,0.001295+0.0016611i,-0.0016984+0.0034324i,-0.0049003+0.0057443i,-0.0044119+0.0075721i,-0.00075595+0.0065971i,0.0025138+0.0038004i,0.0031912+0.0014046i,0.0036442-0.00055048i,0.004664-0.0019237i
0.00014819+0.00060914i,-0.0008115+0.0011947i,-0.0051081+9.0005e-05i,-0.011455-0.0042472i,-0.01424-0.011517i,-0.010801-0.013007i,-0.0058561-0.0050973i,-0.0026827+0.0023316i,0.0014348+0.0028607i,0.0037041+0.00095186i,0.0009807+0.0010442i,-0.0021608+0.0020275i,-0.0029517+0.00095944i,-0.0035682-0.0016896i,-0.0026062-0.0024519i,0.0020867-0.0015687i,0.0055574-0.003237i,0.0038758-0.0063107i,-0.00046042-0.0070365i,-0.0024903-0.0039918i,-0.0027235-0.0014127i,-0.0028035-0.00068311i,-0.0029305+0.0008239i
0.0003485-0.0017382i,0.0040888-0.0010033i,0.010745+0.00064105i,0.017241+0.0053312i,0.015315+0.012276i,0.0063163+0.016022i,0.0009005+0.014842i,0.0017399+0.012295i,0.0027787+0.010629i,0.0027478+0.0071976i,0.0023049+0.0018169i,0.0024957-0.0015927i,0.0025445-0.0023408i,0.0022576-0.0011627i,0.00063079+0.00071166i,-0.0029027+0.0010921i,-0.0052563+0.0021784i,-0.0052383+0.0051594i,-0.0030913+0.0058908i,-0.000602+0.0044845i,0.00065103+0.0042382i,0.0015773+0.002705i,0.0028424-0.00041784i
-0.0014577+0.0003855i,-0.0018318-0.00063294i,-0.0039441-0.0042997i,-0.0053621-0.011759i,-0.0036792-0.017538i,-0.00055705-0.014504i,-0.00088117-0.0061827i,-0.0039367-0.0010329i,-0.0046939+0.00094711i,-0.0039399+0.0020923i,-0.0028917+0.001049i,-0.0013039-5.7037e-05i,8.6663e-06-0.0013394i,2.2898e-05-0.0028853i,-0.000472-0.002546i,0.00091024-0.002126i,0.0041821-0.0040932i,0.0059047-0.0062755i,0.003917-0.0065718i,0.0012638-0.005345i,0.00055945-0.0044487i,-0.00054368-0.0034668i,-0.0029775-0.00063995i
0.0010018-0.00070109i,0.0028391+9.169e-05i,0.0051919+0.0028218i,0.0071883+0.0081645i,0.0035609+0.011863i,-0.0030392+0.010879i,-0.0040944+0.0083591i,-0.0027788+0.0065191i,-0.0036011+0.0040878i,-0.0032517+0.0021048i,0.00031533+0.0012017i,0.0034495+0.0017611i,0.0044035+0.0032992i,0.0035459+0.0043392i,0.0012628+0.0037724i,-0.0014715+0.0021618i,-0.0037823+0.0018776i,-0.0046994+0.002923i,-0.0031091+0.0036439i,-0.00086636+0.0028894i,-0.00010545+0.0028392i,0.0011923+0.0031866i,0.0027327+0.002768i
-0.0016711-0.0011872i,-0.001216-0.0018247i,-6.2998e-05-0.0065044i,0.002149-0.01275i,0.005649-0.01487i,0.0065912-0.010625i,0.0044989-0.00555i,0.0024717-0.0039977i,0.0010047-0.0041368i,0.00043008-0.0034128i,0.00025272-0.0015629i,0.00030681+0.00031205i,0.0010614-7.2284e-05i,0.0016385-0.0019654i,0.0020489-0.0018959i,0.0024312-0.00058396i,0.0044887-0.0018952i,0.0065125-0.0040072i,0.0048811-0.0048331i,0.0033379-0.0043992i,0.0028299-0.0038085i,0.0013618-0.0031052i,0.0010265-0.0023394i
0.0011647-0.00040177i,0.0032372+0.00019321i,0.0044839+0.0044079i,0.0026286+0.0071621i,-0.0023277+0.0060216i,-0.006437+0.0037868i,-0.0057103+0.0032347i,-0.0027432+0.0021047i,-0.00070493-0.00025132i,0.00073195-0.0013866i,0.0021627-0.00016554i,0.0030333+0.0027499i,0.001979+0.0051832i,-0.00075911+0.0057762i,-0.0015069+0.0050956i,-0.00088358+0.0035392i,-0.0017524+0.0026391i,-0.0028171+0.0036273i,-0.0033223+0.0038812i,-0.0036123+0.0037286i,-0.003429+0.0036473i,-0.00203+0.0032919i,-0.00052092+0.0017355i
-0.00092795+0.00033752i,-0.0010298-0.00026153i,0.0024067-0.0034266i,0.0063969-0.0070916i,0.0078921-0.0075541i,0.0065593-0.0038576i,0.0036303+0.00010718i,0.0036977+0.00045439i,0.0055873-0.0016517i,0.0038012-0.0027851i,0.00052172-0.0018555i,-0.00084101-0.00057385i,-1.1617e-05-0.0017987i,0.0018629-0.0035912i,0.0026115-0.0028265i,0.0026055-0.00088725i,0.0039801-0.0009449i,0.0052891-0.0018494i,0.0046819-0.0016997i,0.0037548-0.0018571i,0.0038328-0.0027267i,0.0038475-0.0036995i,0.0028159-0.0031848i
0.00043693-0.0012227i,0.001928+8.1278e-05i,0.0010813+0.002766i,-0.0013675+0.0057259i,-0.0041675+0.00531i,-0.0058089+0.001852i,-0.004258+0.0020049i,-0.001631+0.0042595i,0.0010859+0.0027606i,0.0012321+0.00011385i,-0.0010529-0.00026657i,-0.002883+0.00062992i,-0.0042057+0.0012505i,-0.004051+0.0018611i,-0.0027496+0.0013703i,-0.0018603+0.00035529i,-0.0025002+0.0013836i,-0.0033655+0.0026592i,-0.0033998+0.0027382i,-0.0042161+0.0021793i,-0.0051291+0.0023384i,-0.0045298+0.0025846i,-0.0037269+0.0022378i
0.00076222+0.0010319i,0.0014342+0.00035174i,0.0054512-0.0018332i,0.010913-0.0032055i,0.011842-0.0017036i,0.0074831+0.0029339i,0.0045063+0.0059046i,0.004408+0.0058278i,0.0043822+0.0043695i,0.0031944+0.0011346i,0.0010927-0.0016418i,0.0011565-0.0033302i,0.0033287-0.0039294i,0.0038318-0.0033281i,0.0026421-0.0029249i,0.00028753-0.0024084i,0.00032751-0.0021307i,0.002423-0.0018369i,0.0032124-0.0010716i,0.0038698-0.0011771i,0.0045662-0.0014729i,0.0045161-0.00092865i,0.0036635+0.00067191i
-0.0005987+0.00024301i,-0.0010224-0.00047474i,-0.0022649-0.0010919i,-0.0032716-0.0030301i,-0.0039971-0.0047863i,-0.0042087-0.0039913i,-0.0037585-0.00067934i,-0.003128+0.0035489i,-0.0016269+0.0051129i,0.00018312+0.0038696i,0.0012706+0.0015919i,0.0013591+0.00013254i,-0.0008888-0.00068422i,-0.0030544-0.00068172i,-0.0031291-7.7652e-05i,-0.0023994+4.5939e-05i,-0.0020883-0.00052682i,-0.002177-0.00041636i,-0.0028631-0.00012701i,-0.0032871-4.0054e-05i,-0.0045878+0.00044664i,-0.0052818+0.0010381i,-0.0042241+0.00045729i
1.3259e-05-0.001282i,-0.00036314-0.0017411i,0.0018138-0.0022061i,0.0050468-0.0013827i,0.0050413+0.00051456i,0.0008241+0.003009i,-0.0027469+0.0050883i,-0.0032907+0.0054349i,-0.0023243+0.0032883i,-0.00024883+0.00061556i,0.0026891+0.00021017i,0.0047986+0.00056348i,0.006396+0.00071464i,0.0061394+0.00065731i,0.0032043+8.6727e-05i,0.00022766-0.0012136i,-0.00017128-0.0017115i,0.0021718-0.0016054i,0.0043742-0.0017716i,0.0051989-0.00069122i,0.0054589+0.00088352i,0.0047066+0.0013187i,0.0037741+0.001564i
0.001717-0.00019979i,0.0015452-0.0006451i,0.0011613-0.0018807i,-0.00078882-0.0036553i,-0.0019502-0.0058652i,-0.0027259-0.0061307i,-0.003467-0.0032103i,-0.0034192-0.0011344i,-0.0026414-0.00087317i,-0.001014-0.00032326i,6.8143e-05+0.0011702i,-0.00097076+0.0024219i,-0.0019259+0.0018856i,-0.0021895+0.0011099i,-0.0012524+0.0011873i,0.0011333+0.0022214i,0.0020678+0.0016503i,0.0010593-0.00027679i,-0.00026131-0.0013782i,-0.001569-0.0014393i,-0.0029392-0.0015156i,-0.0036015-0.0025734i,-0.0031285-0.003266i
0.0018009+0.0013322i,0.0033725+0.0024574i,0.0063018+0.0033911i,0.0081597+0.0025043i,0.0062802+0.0010879i,0.0010721+0.0018659i,-0.0018794+0.0018346i,-9.2905e-05-4.248e-05i,0.0015511-0.0018163i,0.00092829-0.0025817i,-0.00075839-0.00050479i,-0.00071257+0.002289i,0.0020231+0.0028941i,0.0043259+0.002313i,0.0035447+0.00013873i,0.0010886-0.0020686i,-0.00015001-0.0019476i,0.00032429-0.0010125i,0.0013153+0.00021742i,0.0024835+0.0019863i,0.0036935+0.0035059i,0.0039788+0.004142i,0.0026083+0.0042019i
7.3326e-05-0.0011478i,8.6181e-05-0.0014065i,0.0007135-0.0023481i,0.00097977-0.0047856i,0.00037399-0.0070636i,0.0020975-0.0050809i,0.0037968-0.0010225i,0.0035219+0.00048795i,0.0035712-0.00024681i,0.0024146-0.00083714i,-0.00050563+0.00040601i,-0.0026149+0.00049709i,-0.003783-0.001057i,-0.0037676-0.0008624i,-0.0018548+0.00094256i,0.00062473+0.0023631i,0.0019703+0.0023965i,0.0013534+0.0013737i,-2.1562e-05-0.00024278i,-0.00078096-0.0021753i,-0.0013289-0.003415i,-0.0017627-0.0041825i,-0.0017451-0.003854i
-0.00034039-0.00034317i,0.00045995-0.0012368i,0.0017041-0.00075333i,0.0025438+0.001269i,0.0015651+0.0028122i,-0.001317+0.0033063i,-0.0014312+0.0038778i,0.002232+0.0046792i,0.004658+0.0034407i,0.0024498+0.00086992i,-0.00033015+9.7661e-06i,7.4013e-05+8.6083e-05i,0.0014949+0.00037477i,0.0018734+0.00064407i,0.0016787-0.00027105i,0.00098255-0.0019626i,-0.00022804-0.0026814i,-0.0011408-0.0017309i,-0.00076676+0.00058933i,4.669e-05+0.00276i,0.00052939+0.0036575i,0.00019601+0.0039093i,-0.00061878+0.003692i
0.00051568-0.0011626i,0.0010302-0.0018735i,0.0022105-0.0031074i,0.002953-0.0042025i,0.0028146-0.0045111i,0.0024492-0.0018176i,0.0012957+0.0034116i,0.0003319+0.0065153i,0.0010196+0.005727i,0.001366+0.002386i,0.00056335-0.0013276i,-4.7287e-06-0.0027963i,-0.00019299-0.0037799i,-0.0016531-0.0038061i,-0.0031105-0.0012025i,-0.0021294+0.00080036i,-0.00023726+0.0010826i,0.0003569+0.00090818i,0.00029364-0.00050843i,0.00020796-0.0021756i,-0.0009579-0.0033469i,-0.001107-0.0043789i,0.00033961-0.0034486i
-0.00034626+0.00090647i,4.7856e-05+0.0015456i,0.0020013+0.0021883i,0.0011717+0.0013088i,-0.00052055-0.00018897i,-0.0029188-0.0004953i,-0.0040047+0.0024666i,-0.0025781+0.0052571i,-0.00080928+0.004197i,0.0015526+0.0011689i,0.0032735-0.0010715i,0.0032128-0.00098129i,0.0022926+0.00088056i,0.0014512+0.0021986i,0.0010342+0.0010116i,-9.4766e-05-0.0018209i,-0.0020073-0.0035678i,-0.001471-0.0036846i,-0.00060354-0.0014426i,-0.00066207+0.0011893i,-0.00040941+0.0027297i,-0.00096002+0.0034381i,-0.0012089+0.0028667i
0.0013596+0.0033939i,0.0025367+0.002869i,0.0039929+0.0019442i,0.0057245-0.00050593i,0.0063011-0.002144i,0.0031754-0.0008442i,-0.0010161+0.00067035i,-0.0030429+0.0016293i,-0.0028948+0.0013231i,-0.00015312+0.0010521i,0.0023983+0.0011562i,0.0030027+0.00081501i,0.0011553+0.00047027i,-0.0016473+0.00035365i,-0.0029927+0.0015324i,-0.0015625+0.0019124i,0.0014102+0.0020297i,0.0035348+0.0023564i,0.003785+0.00075563i,0.0027266-0.00090968i,0.0018476-0.0021386i,0.002304-0.0033721i,0.0026642-0.0034116i
-0.0020766+0.0014682i,-0.0024759+0.0014617i,-0.0010065+0.0012544i,0.00096965+0.00031802i,-3.1472e-05-0.00070159i,-0.0019894-0.0016828i,-0.0022668-0.0017661i,-0.0026204-0.0015785i,-0.0024705-0.00064736i,-0.00090997+0.00036055i,0.00062322+0.00071362i,0.0012056+0.0011787i,0.00073635+0.0014113i,0.00084828+0.0015315i,0.0016876+0.00082822i,0.0023426-0.0010993i,0.0019031-0.0029667i,0.0007603-0.0039265i,-0.00038363-0.0032808i,-0.0010693-0.0011263i,-0.00074532+0.0015764i,-0.00032922+0.0030516i,-2.3684e-05+0.0030119i
-0.0011892-0.0021463i,0.00049319-0.0035369i,0.0031709-0.003779i,0.0047952-0.0027956i,0.0051598-0.00045997i,0.0035606+0.0014878i,0.0018541+0.001609i,0.0018827-0.00040432i,0.0013687-0.0022954i,-0.0005488-0.0015923i,-0.0013622+0.0004026i,-0.0010086+0.0011476i,0.00022773-8.267e-05i,0.001181-0.0012911i,0.0010039-0.0010127i,0.00012455+0.00033058i,-0.00010458+0.0026773i,0.00044267+0.0041912i,0.0013574+0.0032873i,0.0020103+0.0018265i,0.0015386+8.2754e-05i,0.00072865-0.0012848i,0.00098577-0.00079333i
7.3723e-05-0.0029101i,0.002208-0.0018751i,0.0018948-0.0011955i,0.00031189-0.00029859i,-0.0014782-0.00042168i,-0.00064561+0.00023591i,0.0020347+0.00076543i,0.0035912-0.00042637i,0.003542-0.0020736i,0.0018526-0.0017736i,-0.00058468-0.00069848i,-0.001689+0.00035413i,-0.0012929+0.0010205i,0.00072166+0.0013611i,0.002787+0.00070114i,0.0028806-0.0011866i,0.0023474-0.0026991i,0.00091105-0.0035224i,-0.0012023-0.0028575i,-0.0019121-0.0014378i,-0.0021073+0.00011599i,-0.0022695+0.0011821i,-0.0017871+0.0017962i
