-0.0010435+0.0026417i,-0.00064946+0.0012521i,-0.0021907+0.0019144i,-0.002122+0.0016073i,-0.00014919+0.0015293i,0.0012056+0.00075438i,0.00084671+4.7575e-05i,0.0002209-2.2938e-05i,-8.4916e-05-0.0005559i,-0.0002287-0.0011842i,0.00037439-0.0016103i,0.00039368-0.0013556i,5.8947e-05-0.00050619i,0.0007325-0.00024758i,0.0011601+6.7524e-05i,0.0001657+0.00073761i,-0.00044511+0.0010972i,-0.00014525+0.00091184i,0.00010655+0.00022604i,-0.00015942+3.2021e-05i,-0.00086034+0.0010822i,-0.00068643+0.0012642i,2.7951e-05+0.00013115i
0.012995-0.25471i,-0.026005-0.28758i,-0.073415-0.1587i,-0.047412+0.030695i,0.032274+0.0955i,0.051866+0.034116i,0.0091506-0.0095572i,-0.010782-0.0021217i,0.0024792+0.0025099i,0.010724-0.0062783i,0.0069101-0.0092708i,0.00086733-0.0014034i,0.0014816+0.0080323i,0.005433+0.0083309i,0.0046632+0.0014491i,0.00058551-0.0030607i,-0.0026389-0.0045751i,-0.0030269-0.00513i,-0.00082747-0.0059202i,0.00094615-0.0084817i,0.00022007-0.0079401i,0.00032877-0.0015306i,0.0046015+0.0049418i
-0.21166+0.16494i,-0.19704+0.19839i,-0.079232+0.12713i,0.0072013-0.011138i,0.0076617-0.066641i,0.00058928-0.0064977i,0.019541+0.038833i,0.020882+0.024537i,0.0044604+0.0066678i,-0.000689+0.0060756i,0.0068619+0.008592i,0.015392+0.0029846i,0.012401-0.0065053i,0.0029173-0.0085641i,-0.0020423-0.0069314i,-0.0023854-0.00881i,-0.0010146-0.011691i,-0.0005952-0.012428i,-0.0020645-0.010073i,-0.0032095-0.0062078i,-0.0044289-0.0027435i,-0.0075133+0.0011736i,-0.0085756+0.0015334i
0.34349-0.013025i,0.40472-0.036231i,0.28048-0.0071099i,0.099144+0.096i,0.026178+0.15736i,0.034183+0.098637i,0.0205+0.0076911i,-0.0054466-0.018677i,-0.0091491-0.001655i,-0.001625+0.0086701i,-0.0010952+0.0064095i,-0.0084054+0.0045662i,-0.010533+0.0086979i,-0.003688+0.0097726i,0.0031099+0.0050911i,0.0066641+0.00019502i,0.0076546-0.0029126i,0.0069423-0.0043004i,0.006137-0.0048873i,0.0054442-0.0052079i,0.0028398-0.0052901i,-0.0024841-0.0022314i,-0.0061635+0.0049462i
-0.23459-0.18626i,-0.27322-0.18945i,-0.18574-0.15163i,-0.05054-0.15196i,-0.0076612-0.14593i,-0.048652-0.071003i,-0.055206+0.011671i,-0.022654+0.027693i,-0.0052624+0.0058174i,-0.0096344-0.0053548i,-0.014215+0.00083566i,-0.0084042+0.0088582i,-0.00158+0.0044297i,-0.0029128-0.0020263i,-0.0037487-0.0027298i,0.0020024-0.0012971i,0.0088882+0.00084847i,0.010782+0.0013847i,0.0078302-0.0004396i,0.0051687-0.00071746i,0.0021851-0.002601i,-0.0014282-0.0088713i,-0.0032851-0.013579i
0.07369+0.41092i,0.10219+0.51384i,0.049845+0.4383i,-0.064782+0.28843i,-0.11639+0.17492i,-0.059544+0.088902i,0.0059317+0.010689i,0.015417-0.030723i,-0.0023858-0.029646i,-0.0092337-0.018688i,-0.0051214-0.018117i,-0.0061279-0.020076i,-0.0084064-0.014457i,-0.0024947-0.0062985i,0.0042225+0.00039632i,0.005711+0.0053641i,0.0042736+0.0071135i,0.0034921+0.0065782i,0.0039914+0.0049783i,0.0031888+0.0016646i,0.0035215-0.0025324i,0.001735-0.0062527i,-0.0043217-0.0061666i
0.15269-0.31082i,0.14973-0.39093i,0.1388-0.34003i,0.17303-0.23108i,0.17226-0.16199i,0.089021-0.12444i,0.0027326-0.067676i,-0.019944-0.01116i,-0.0032302+0.0057567i,0.0050636-0.00464i,-0.00095864-0.011239i,-0.0032466-0.0091687i,0.0012475-0.0090915i,0.00080282-0.0093322i,-0.0013188-0.0055483i,-0.00010972+0.0014482i,-0.0014824+0.006596i,-0.0028977+0.0074949i,-0.0019198+0.0063863i,-0.0012339+0.0044739i,0.0018206+0.0014898i,0.0088736-0.0023606i,0.013638-0.0062432i
-0.42245+0.16782i,-0.53986+0.24004i,-0.48923+0.21344i,-0.35509+0.11609i,-0.21214+0.03704i,-0.079197+0.011312i,0.014331+0.0046341i,0.049682-0.010163i,0.045292-0.022076i,0.03204-0.020255i,0.027724-0.011314i,0.024839-0.0050012i,0.016236+0.0028059i,0.0095021+0.011567i,0.0044671+0.014472i,0.00066578+0.010895i,-0.0019809+0.0053079i,-0.0037527+0.0031915i,-0.0036318+0.0039217i,-0.001575+0.0022737i,0.001341+0.00068464i,0.0049859+0.00082833i,0.0058932-0.00028296i
0.37568+0.078729i,0.47859+0.026949i,0.45418-0.012523i,0.36238+0.014473i,0.26053+0.049271i,0.16412+0.039914i,0.07062+0.012604i,0.0005454+0.0062061i,-0.020793+0.015737i,-0.0074901+0.015061i,0.0038102+0.0071992i,0.0091822+0.0046026i,0.012984-0.00056194i,0.010613-0.0076811i,0.0038611-0.0074297i,-0.0021058-0.0029263i,-0.0043116-0.001802i,-0.0043528-0.0037453i,-0.0058822-0.003916i,-0.0067356-0.0013683i,-0.0031405+0.003928i,0.0029381+0.0088705i,0.0078594+0.0098455i
-0.25516-0.38597i,-0.36138-0.4827i,-0.3715-0.41348i,-0.29692-0.25748i,-0.17409-0.12218i,-0.055064-0.036297i,0.018872+0.0051142i,0.046808+0.023308i,0.04785+0.028262i,0.033319+0.023984i,0.01479+0.022686i,-0.0011399+0.022383i,-0.012137+0.020634i,-0.017217+0.018078i,-0.015881+0.01264i,-0.008844+0.0064427i,-0.0024911+0.00032732i,-0.0032567-0.0028871i,-0.0058555-0.002732i,-0.0035161-0.0025122i,-0.0015185-0.0022628i,-0.0030618+0.00074024i,-0.0044287+0.0039874i
0.055339+0.39138i,0.17637+0.49529i,0.25655+0.44696i,0.22137+0.32218i,0.11586+0.21231i,0.020161+0.13537i,-0.027969+0.074119i,-0.042285+0.016738i,-0.044848-0.010604i,-0.032598-0.0069881i,-0.02083-0.0011148i,-0.01398+0.0061204i,6.442e-05+0.0089248i,0.011069+0.0007881i,0.0093673-0.0069716i,0.0028274-0.0077183i,0.00064271-0.0046708i,0.0045819-0.003149i,0.0056279-0.0044424i,0.0001968-0.0042955i,-0.0055522+0.00057753i,-0.0072615+0.0069921i,-0.0034108+0.0080986i
0.3254-0.30871i,0.36628-0.45174i,0.25106-0.46235i,0.086341-0.35935i,0.0028468-0.20576i,0.015058-0.062276i,0.047587+0.016028i,0.043929+0.042626i,0.01983+0.045008i,0.0019784+0.029721i,-0.0071977+0.0065112i,-0.015538-0.011494i,-0.023647-0.01434i,-0.024224-0.0093449i,-0.01612-0.0050445i,-0.006728-0.0012483i,-0.0010397+0.00024988i,-0.0006884-0.0025702i,-0.00072627-0.0042541i,0.0028177-0.0028778i,0.0045717-0.0047359i,-0.00050302-0.0081983i,-0.0093344-0.0078253i
-0.34557+0.19317i,-0.37856+0.38472i,-0.27535+0.4601i,-0.14325+0.36083i,-0.070048+0.18451i,-0.074795+0.033223i,-0.09404-0.037048i,-0.070012-0.049756i,-0.030312-0.04773i,-0.0072505-0.037762i,0.00051472-0.030562i,-0.00058547-0.023796i,0.0027979-0.010528i,0.012873-0.0012623i,0.017288-0.0013645i,0.011394-0.0032083i,0.0020407-6.4157e-05i,-0.001035+0.0051505i,0.00041743+0.0062392i,-0.0026794+0.0023662i,-0.0088828-0.00042206i,-0.0096812+0.00049783i,-0.0019319+0.0017821i
0.35663+0.22246i,0.46872+0.19319i,0.42975+0.062011i,0.29856-0.051624i,0.15606-0.042739i,0.072481+0.04497i,0.044253+0.099161i,0.020787+0.086021i,-0.0071295+0.051954i,-0.012836+0.029109i,0.0061411+0.014697i,0.021881-0.00056011i,0.015051-0.010885i,0.0019804-0.010254i,-0.00038611-0.0024633i,0.0012276+0.0027151i,0.0013261+0.00052967i,0.0015901-0.0048518i,0.0019337-0.0068675i,0.0031315-0.0032708i,0.007675-0.000924i,0.011071-0.0052308i,0.0063596-0.011823i
-0.28412-0.20874i,-0.48356-0.16902i,-0.5133-0.048249i,-0.35572+0.034464i,-0.15691+0.013644i,-0.040089-0.067736i,-0.0097731-0.12141i,-0.0059118-0.10405i,0.0070481-0.057324i,0.016255-0.026496i,0.016727-0.0095642i,0.017056+0.0012856i,0.016389+0.0082597i,0.010547+0.016048i,0.0049348+0.018981i,0.0041072+0.011805i,0.00082042+0.0024179i,-0.0061079+0.00064366i,-0.0094211+0.002914i,-0.0081009-0.001367i,-0.0078794-0.0063589i,-0.0083691-0.0021313i,-0.0049913+0.0080359i
-0.089942+0.30872i,-0.01326+0.37489i,0.095076+0.28937i,0.11745+0.15908i,0.029103+0.091241i,-0.057205+0.090259i,-0.071857+0.10119i,-0.049697+0.071745i,-0.040486+0.022586i,-0.041599+0.0029316i,-0.031802+0.016312i,-0.015469+0.027965i,-0.0074593+0.017822i,-0.0089886+0.0012403i,-0.012798-0.0039914i,-0.01227-0.00017601i,-0.0053895+0.0028999i,0.0028818+0.0020001i,0.0072622-0.00021188i,0.0060044+0.0017535i,0.0039311+0.0095269i,0.0060241+0.013627i,0.0077804+0.0056444i
0.089624-0.30891i,-0.020472-0.51591i,-0.14203-0.49276i,-0.1317-0.29146i,-0.016446-0.14079i,0.074227-0.10118i,0.090012-0.10316i,0.061345-0.085067i,0.034062-0.045334i,0.023482-0.018737i,0.010223-0.0089565i,-0.0049727+0.0027687i,-0.0083429+0.014794i,-0.0082075+0.015162i,-0.010448+0.0081776i,-0.0074189+0.0028939i,-0.0027591-0.0012841i,-0.0065707-0.0048839i,-0.013432-0.006422i,-0.013246-0.0082807i,-0.010902-0.012355i,-0.0163-0.012391i,-0.023274-0.00362i
-0.18301+0.019008i,-0.14787+0.1412i,-0.039333+0.19883i,0.0031579+0.13367i,-0.031334+0.024166i,-0.068538-0.023019i,-0.073465+0.0023131i,-0.043117+0.022655i,-0.0069091-0.0028288i,-0.0046439-0.032395i,-0.02501-0.032155i,-0.035281-0.021363i,-0.027031-0.017672i,-0.0083374-0.01804i,0.0042593-0.020085i,0.0015844-0.017752i,-0.0035652-0.0088525i,3.0726e-05-0.001577i,0.0070111-4.0103e-05i,0.0059617-0.00051465i,-0.0035998+0.0010088i,-0.0086216+0.0023676i,-0.0018425-0.0023991i
0.31285-0.020195i,0.4705-0.19518i,0.40408-0.29911i,0.23319-0.20843i,0.16343-0.045037i,0.16966+0.013549i,0.15138-0.019719i,0.10283-0.044887i,0.053984-0.026819i,0.031448+0.0018951i,0.024913+0.0031128i,0.010106-0.0070445i,-0.0049151-0.0039219i,-0.0081052+0.00076479i,-0.004262+0.00063786i,0.0011239+0.0003383i,0.0046054-0.0025787i,0.0024291-0.008025i,-0.0011392-0.012912i,0.0017661-0.013625i,0.0083552-0.016095i,0.0086891-0.022702i,0.00045762-0.023032i
-0.078239+0.025206i,-0.17916+0.16086i,-0.19879+0.25579i,-0.12777+0.19842i,-0.049374+0.073782i,-0.026477+0.019398i,-0.050899+0.03075i,-0.058552+0.056352i,-0.014355+0.054563i,0.02184+0.010879i,0.01921-0.027096i,0.012617-0.039126i,0.012097-0.035358i,0.011251-0.015738i,0.013105+0.00059031i,0.01139+0.0012362i,0.0064769+0.0012636i,0.00447+0.0071081i,0.0045987+0.012753i,0.0032987+0.012308i,-1.8234e-05+0.0066428i,0.0011111+0.0030681i,0.0095286+0.0023605i
0.11197+0.22582i,0.3065+0.32027i,0.39913+0.23333i,0.28739+0.10504i,0.1255+0.10636i,0.087719+0.12815i,0.12487+0.07998i,0.11894+0.018058i,0.055677-0.00039823i,0.0069991+0.017502i,0.0053759+0.024199i,0.012078+0.012037i,0.0052617+0.0034805i,-0.0040677-0.00131i,-0.0079127-0.0017101i,-0.0046423+0.0029261i,-0.00045799+0.0029317i,0.00049474-0.0035295i,-0.00077413-0.0075623i,-0.0003254-0.0054797i,0.0064458-0.001458i,0.016074-0.00024065i,0.017265-0.0036397i
-0.20913-0.026023i,-0.41742-0.091223i,-0.51159-0.09897i,-0.39565-0.065623i,-0.22425-0.049022i,-0.14415-0.040306i,-0.1371-0.03741i,-0.13729-0.024464i,-0.093979+0.01048i,-0.023247+0.021286i,0.018655+0.0099762i,0.032639+0.0076318i,0.033082+0.0040626i,0.017657+0.0014814i,0.0040579+0.0050812i,0.0015094+0.0044655i,0.00025338+0.0033747i,-0.0028504+0.0071411i,-0.0063869+0.01021i,-0.0084834+0.0085352i,-0.0080928+0.0070563i,-0.0063003+0.012577i,-0.0008289+0.019891i
-0.088899+0.11303i,-0.10199+0.29077i,0.012388+0.36025i,0.10777+0.25792i,0.071551+0.12456i,0.02707+0.08694i,0.059941+0.10345i,0.094315+0.075043i,0.057521+0.0085445i,-0.0064298-0.016377i,-0.026164+0.0011745i,-0.017122+0.0101i,-0.011791+0.0031578i,-0.007822-0.0076617i,-0.0081657-0.013681i,-0.0088291-0.0087033i,-0.0048506-0.0030589i,0.00087139-0.0053496i,0.0041254-0.0097405i,0.003115-0.0093202i,0.0021926-0.0023193i,0.0023888+0.0054574i,0.000389+0.0053391i
-0.055579-0.33933i,-0.065314-0.61252i,-0.082919-0.68567i,-0.073673-0.51387i,-0.026243-0.30561i,0.0076876-0.19435i,-0.0015174-0.15825i,-0.032073-0.12397i,-0.040054-0.060331i,-0.014317-0.010536i,-0.0032688+0.0039089i,-0.0095165+0.013987i,-0.00026829+0.019303i,0.009015+0.010812i,0.0094886+0.0031725i,0.0089564+0.0013193i,0.0032447+0.0038447i,-0.0070866+0.0095246i,-0.014873+0.012339i,-0.017139+0.010979i,-0.020315+0.0059655i,-0.026012+0.0022649i,-0.024706+0.0045873i
-0.00062134+0.03936i,-0.056766+0.087534i,-0.089489+0.18874i,-0.053109+0.24465i,0.013961+0.19062i,0.027493+0.12552i,0.013174+0.12592i,0.036024+0.11892i,0.062363+0.047658i,0.042255-0.019626i,0.011934-0.027835i,0.0028258-0.015023i,0.0021303-0.0068821i,0.0077973-0.0031856i,0.012123-0.0082857i,0.0061962-0.012777i,-0.00021927-0.013907i,0.00060811-0.01456i,0.0048164-0.01188i,0.0059678-0.0088093i,0.0057087-0.0083157i,0.0059413-0.010163i,0.0036789-0.011494i
0.42396-0.18608i,0.66439-0.26318i,0.67189-0.2824i,0.45417-0.2306i,0.23576-0.11866i,0.13193-0.030407i,0.087801-0.028604i,0.03294-0.051888i,-0.015826-0.026342i,-0.014951+0.015277i,0.0026212+0.013677i,-0.0017935-0.0023408i,-0.010988-0.00043362i,-0.013237+0.0078973i,-0.010224+0.014954i,-0.0032199+0.015197i,-0.0024443+0.0077891i,-0.01112+0.0003626i,-0.020177-0.0023829i,-0.020063-0.0030836i,-0.012457-0.0086863i,-0.004165-0.016649i,-0.0013698-0.018438i
-0.069832+0.20917i,-0.095561+0.27525i,-0.15612+0.24378i,-0.18481+0.18754i,-0.13444+0.17235i,-0.072775+0.15328i,-0.052769+0.12317i,-0.031974+0.11109i,0.015136+0.086672i,0.032463+0.037095i,0.0084681+0.011609i,-0.0098821+0.014095i,-0.0096705+0.016294i,-0.0010197+0.014703i,0.0069811+0.010173i,0.010769+0.0027942i,0.017508-0.0031359i,0.024086-0.0055739i,0.021944-0.0037633i,0.01511+0.0026542i,0.011626+0.012514i,0.014609+0.022322i,0.018728+0.021292i
0.29189+0.35238i,0.37823+0.50207i,0.36882+0.43775i,0.26858+0.20988i,0.11093+0.030229i,-0.0027287-0.023072i,-0.014504-0.02356i,-0.0036949-0.045866i,-0.038642-0.05606i,-0.059554-0.02401i,-0.032086-0.0065192i,-0.0062831-0.019032i,-0.0028281-0.029072i,-0.012061-0.029341i,-0.020685-0.018628i,-0.018339-0.0019626i,-0.013684+0.0084975i,-0.014089+0.0079746i,-0.018003-0.00069815i,-0.020981-0.0078372i,-0.018838-0.0080383i,-0.014709-0.0020425i,-0.010313+0.0047789i
-0.36499-0.016147i,-0.51987-0.0061686i,-0.46747-0.0045768i,-0.29678-0.0014498i,-0.19429+0.0097805i,-0.15569+0.026875i,-0.12462+0.032823i,-0.09249+0.035281i,-0.047286+0.036717i,-0.004436+0.014488i,0.011464-0.015734i,0.0050204-0.02589i,-0.0046521-0.01541i,-0.0010554-0.0016059i,0.0073576+0.0021777i,0.0084207+0.0026016i,0.0062019+0.0083237i,0.0063081+0.01257i,0.006779+0.010559i,0.0025879+0.0069992i,-0.0073015+0.0067046i,-0.018183+0.0091412i,-0.021616+0.010931i
-0.15629+0.24622i,-0.15802+0.29062i,-0.068342+0.22977i,0.058483+0.10933i,0.13979-0.018671i,0.13833-0.089937i,0.097039-0.074152i,0.075319-0.054672i,0.04453-0.069972i,0.0045812-0.055641i,0.0078091-0.0071724i,0.037728+0.019864i,0.051599+0.010876i,0.041676-0.0078506i,0.018746-0.012534i,-0.0025895-0.0062427i,-0.017633-0.0071103i,-0.024711-0.014671i,-0.021725-0.018926i,-0.013996-0.020477i,-0.0064482-0.020869i,-0.004691-0.023109i,-0.0083104-0.020892i
0.02778-0.41433i,-0.041704-0.60765i,-0.10373-0.5034i,-0.096267-0.2355i,-0.05094-0.099114i,-0.03192-0.093658i,-0.037783-0.091624i,-0.032253-0.048791i,-0.0047047-0.0029033i,0.014224+0.01146i,0.0045507+0.017111i,-0.01215+0.021777i,-0.020894+0.015188i,-0.019532+0.012819i,-0.0069486+0.013921i,0.0046517+0.0092776i,0.0098095+0.0067779i,0.011433+0.0096286i,0.0091001+0.010455i,0.0048789+0.0074943i,-0.00071713+0.0026904i,-0.0053037-0.0046668i,-0.0078942-0.011023i
-0.042625+0.10785i,0.033+0.21133i,0.091612+0.22696i,0.097799+0.1778i,0.11432+0.159i,0.12443+0.14905i,0.081267+0.1178i,0.037896+0.082689i,0.03005+0.035814i,0.011108-0.0045893i,-0.024211-0.0047926i,-0.033708+0.020937i,-0.0080482+0.038574i,0.015631+0.030327i,0.0093514+0.0094496i,-0.0066226-0.0041264i,-0.011785-0.013205i,-0.0088625-0.020735i,-0.0021024-0.02227i,0.0035017-0.018549i,0.010064-0.013363i,0.02057-0.01358i,0.02624-0.019166i
0.32858+0.046192i,0.47189-0.066034i,0.35458-0.13625i,0.12817-0.079277i,0.046956+0.0058854i,0.083937+0.0015647i,0.093014-0.047091i,0.040261-0.046344i,-0.0076566+0.0030144i,-0.01029+0.018657i,-0.011492-0.022275i,-0.029724-0.055702i,-0.039537-0.048731i,-0.037234-0.025955i,-0.023073-0.0091223i,-0.0062939+0.00039942i,0.00011942+0.011318i,-0.0021864+0.023725i,-0.0040965+0.029931i,-0.0034589+0.0257i,-0.0030239+0.017312i,-0.00064384+0.013342i,0.0044034+0.011024i
-0.23122+0.17534i,-0.34921+0.33199i,-0.30915+0.31477i,-0.18654+0.15779i,-0.12725+0.069498i,-0.10307+0.070446i,-0.080959+0.048095i,-0.072116+0.0080064i,-0.044472-0.014465i,-0.012514-0.035347i,-0.0027996-0.042105i,-0.0013156-0.022838i,-0.0029497+0.0027379i,0.00016763+0.01185i,0.0069645-0.0001671i,0.0062845-0.013992i,0.004462-0.023402i,0.0031886-0.030457i,-0.00093995-0.027001i,-0.00139-0.015189i,0.0019187-0.0023033i,0.0075185+0.0097518i,0.014441+0.014111i
-0.02148+0.092585i,0.075783+0.12391i,0.12204+0.056194i,0.042068+0.00018766i,-0.037035+0.037374i,-0.0062404+0.099681i,0.068898+0.10699i,0.084791+0.053175i,0.036483+0.0051479i,0.022846-0.0013214i,0.065135-0.018856i,0.078375-0.050382i,0.045317-0.057457i,0.012857-0.03934i,0.0013181-0.010934i,0.002345+0.0085091i,-0.0011341+0.017533i,-0.0076503+0.020191i,-0.011273+0.016099i,-0.014629+0.010592i,-0.017173+0.0069907i,-0.019848+0.0070977i,-0.017513+0.010733i
-0.25503-0.14002i,-0.43213-0.24793i,-0.35693-0.23283i,-0.10694-0.16596i,0.025467-0.14095i,-0.0017759-0.10823i,-0.038428-0.072821i,-0.038607-0.060557i,-0.016705-0.029958i,0.020346+0.010452i,0.03618+0.039405i,0.023929+0.055134i,0.010467+0.047196i,0.004538+0.03111i,0.0035375+0.017121i,0.0056855+0.0046451i,0.014349-0.0019415i,0.024704-0.0048569i,0.024889-0.0065419i,0.01779-0.0045961i,0.0094465-0.0015987i,-0.0005965+0.00023056i,-0.0062258+0.003607i
0.091525-0.057288i,0.22975-0.052588i,0.25162-0.029687i,0.1086-0.018238i,-0.027325-0.0093199i,-0.061011+0.0075367i,-0.041606+0.035669i,-0.0044755+0.048378i,-0.0019113+0.024373i,-0.045847+0.037311i,-0.053073+0.092879i,-0.0084882+0.095459i,0.022825+0.041065i,0.014348-0.0035956i,-0.0089156-0.009866i,-0.022879+0.0017202i,-0.033799+0.0077221i,-0.04256+0.011604i,-0.037062+0.014664i,-0.025152+0.010677i,-0.016326-0.00040743i,-0.012707-0.014242i,-0.015082-0.018551i
-0.02473-0.39205i,0.050628-0.42743i,0.10287-0.26832i,0.14152-0.068438i,0.16988+0.0087416i,0.14318-0.01275i,0.096526-0.043862i,0.058787-0.057479i,0.019209-0.055476i,-0.02837-0.061914i,-0.092122-0.077698i,-0.1305-0.054464i,-0.10114-0.0019093i,-0.045571+0.020126i,-0.0091719+0.0068956i,0.0081597-0.0097497i,0.018591-0.014085i,0.022567-0.0099494i,0.015778-0.0038621i,0.006047+0.0034701i,0.0034229+0.010427i,0.0097422+0.011994i,0.01728+0.0045611i
0.55085+0.21852i,0.54268+0.38486i,0.3408+0.36288i,0.11252+0.15804i,-0.019604+0.021971i,-0.03283+0.028156i,-0.016296+0.074147i,-0.00597+0.096877i,0.025863+0.053772i,0.041241-0.039093i,0.029298-0.095296i,0.017747-0.088722i,0.0090622-0.054881i,0.0053869-0.034121i,-0.00083525-0.02653i,-0.0067894-0.011985i,-0.0059645-0.003529i,-0.010078-0.0062736i,-0.015083-0.0056819i,-0.012656-0.0064254i,-0.0069511-0.012726i,-0.0023392-0.016618i,-0.0022799-0.017516i
0.2362+0.33944i,0.20585+0.2335i,0.083364+0.09981i,0.041714+0.07281i,0.080047+0.063905i,0.076209+0.020932i,0.033058-0.021572i,-0.0079449-0.043424i,-0.016409-0.012752i,0.04415+0.026107i,0.11583+0.0010068i,0.10897-0.049509i,0.04472-0.059766i,0.0039397-0.031822i,0.0031305-0.0040992i,0.0052754+0.010237i,0.001268+0.023337i,0.002498+0.027032i,0.0033124+0.018735i,0.0013665+0.014647i,0.0011446+0.017i,0.0033162+0.021696i,0.013377+0.02464i
-0.75274+0.56728i,-0.70869+0.69496i,-0.42117+0.47105i,-0.1498+0.1389i,-0.011151-0.019438i,0.041125-0.053432i,0.013025-0.071186i,-0.034723-0.058017i,-0.03815-0.019273i,-0.032736+0.02351i,-0.025257+0.085243i,0.011173+0.11917i,0.04239+0.089229i,0.043349+0.045964i,0.030125+0.014436i,0.010763-0.012057i,-0.0066984-0.02909i,-0.013092-0.03116i,-0.012818-0.021832i,-0.012143-0.010909i,-0.010005-0.0034823i,-0.0076224-0.0011014i,-0.010061+5.5421e-05i
-0.14657-0.69239i,-0.21434-0.71593i,-0.139-0.45431i,0.00098788-0.098854i,0.10094+0.1339i,0.1735+0.20845i,0.24821+0.15413i,0.25035+0.030609i,0.14484-0.045432i,0.041074-0.034791i,-0.008343-0.0093921i,-0.030554+0.00026309i,-0.035061-0.00047716i,-0.040315-0.0028569i,-0.035715+0.011061i,-0.0081559+0.020572i,0.010674+0.016639i,0.012969+0.020486i,0.015157+0.021558i,0.011643+0.010886i,-0.0022011-0.00013231i,-0.017405-0.0056132i,-0.025782-0.0034285i
0.31812-0.33918i,0.087166-0.4407i,-0.073745-0.27119i,-0.073568-0.027238i,-0.066477+0.10699i,-0.071403+0.17846i,-0.055256+0.19601i,-0.044291+0.17926i,-0.007903+0.14893i,0.022757+0.06437i,-0.018238-0.015312i,-0.066297-0.020283i,-0.057928+0.0021017i,-0.030986-0.0013319i,-0.02836-0.012693i,-0.032899-0.00086907i,-0.018193+0.012375i,-0.0044849+0.0083184i,-0.0034171+0.0069411i,0.0013681+0.0080928i,0.012236+0.0014814i,0.024295-0.0092322i,0.030919-0.024071i
0.52533+0.52648i,0.90582+0.18998i,0.70164-0.12926i,0.14781-0.15725i,-0.1947-0.065466i,-0.30151+0.0069236i,-0.27192+0.094971i,-0.16371+0.11496i,-0.10812+0.064768i,-0.084645+0.054191i,-0.019553+0.036767i,0.030525-0.021359i,0.037918-0.057405i,0.039134-0.067288i,0.034798-0.074403i,0.016208-0.070093i,-0.0084541-0.047506i,-0.027742-0.019539i,-0.033222+0.0033978i,-0.026542+0.01891i,-0.018171+0.024207i,-0.012754+0.026451i,-0.0039336+0.033763i
-0.42801+0.088578i,-0.24068+0.32839i,-0.036782+0.28954i,0.041311-0.012334i,0.04377-0.25333i,0.020559-0.32334i,-0.034568-0.29842i,-0.095057-0.2447i,-0.11148-0.16994i,-0.071271-0.10919i,-0.023268-0.077049i,1.2005e-05-0.037002i,0.012758+0.013099i,0.028626+0.049486i,0.048259+0.055089i,0.053337+0.03477i,0.040496+0.014829i,0.027729+0.0016676i,0.012326-0.0084668i,-0.0076421-0.0099361i,-0.020245-0.0017784i,-0.025134+0.0093181i,-0.026735+0.014536i
0.2217-0.065931i,0.16955+0.31239i,0.25188+0.39435i,0.42434+0.17155i,0.51742+0.0091774i,0.48493-0.052603i,0.35989-0.085069i,0.27399-0.079853i,0.23111-0.095991i,0.1472-0.10227i,0.077461-0.048518i,0.049257+0.0012748i,0.02439+0.015318i,-0.0014695+0.014209i,-0.023379+0.022513i,-0.024031+0.038055i,-0.0086619+0.030574i,-0.0059026+0.0078756i,-0.0092352-0.0032787i,-0.010343-0.012539i,-0.017248-0.030308i,-0.027345-0.045455i,-0.03277-0.044525i
-0.046964+0.28391i,-0.45063+0.0229i,-0.5819-0.016993i,-0.34512+0.2293i,-0.084357+0.41422i,0.058225+0.42851i,0.1127+0.35377i,0.089674+0.27675i,0.064943+0.23349i,0.073426+0.17575i,0.051887+0.10317i,0.0011696+0.045687i,-0.042068+0.004578i,-0.05958-0.018773i,-0.057171-0.036597i,-0.056383-0.041337i,-0.046584-0.018386i,-0.017852+0.0060239i,0.0062887+0.0090333i,0.017528+0.0013625i,0.028307-0.0077647i,0.034839-0.019847i,0.026327-0.032769i
-0.47906+0.0042502i,-0.30435-0.1624i,-0.12142-0.18258i,-0.14898-0.056104i,-0.23403+0.052974i,-0.2203+0.074001i,-0.17238+0.012408i,-0.18048-0.021676i,-0.18003+0.019643i,-0.14886+0.049419i,-0.12501+0.046606i,-0.070691+0.036212i,0.0093619+0.00074928i,0.05707-0.034471i,0.069791-0.042575i,0.062716-0.041351i,0.038124-0.039211i,0.0087123-0.028025i,-0.0067513-0.0039942i,-0.00061559+0.020042i,0.01791+0.029196i,0.036958+0.024586i,0.050113+0.011293i
0.20438-1.1227i,0.31977-1.1833i,0.22102-0.86337i,0.028905-0.52396i,-0.071846-0.3447i,-0.099761-0.16681i,-0.060052+0.00015878i,-0.029485-0.011621i,-0.069247-0.078169i,-0.068119-0.097936i,-0.027462-0.12969i,-0.017347-0.11657i,0.0029274-0.045829i,0.022375+0.0065119i,0.01687+0.032846i,0.013283+0.040397i,0.011155+0.029966i,0.0059071+0.019536i,-2.6412e-05+0.0096775i,-0.014538+0.0045075i,-0.032596+0.018892i,-0.032606+0.040831i,-0.01152+0.044451i
