-0.0010395-0.001144i,-0.0010252-0.0015487i,-0.0015468-0.0009942i,-0.0020106-0.00012265i,-0.0019616+0.00018398i,-0.0017637+0.0011896i,-0.00084784+0.0024494i,-0.00047118+0.0024067i,-0.00040182+0.0013357i,-0.00029995+0.00087321i,-0.00055877+0.00037254i,-0.0011186+0.00010855i,-0.0011784+0.00074014i,-0.00063683+0.00089653i,-0.00082097+0.00028696i,-0.00054926-0.00025873i,-0.00023056-0.00049868i,-0.0001423-0.00093521i,0.00014918-0.0010318i,0.00069835-0.00058602i,0.00065094+0.00010061i,0.00040886+0.00023692i,0.00026187+5.5942e-05i
0.00016349-7.7014e-05i,0.0047552-0.0011448i,0.0084259-0.006009i,0.0041528-0.012237i,-0.012114-0.015373i,-0.033739-0.012304i,-0.042488-0.01348i,-0.030532-0.023207i,-0.010379-0.026753i,0.0019633-0.019376i,0.0026174-0.01107i,-0.00076593-0.0068873i,-0.0027618-0.0036994i,-0.002216-0.0009979i,0.0010099-0.00073666i,0.0041323-0.0025167i,0.0046218-0.0048133i,0.0024861-0.0065158i,-0.00025212-0.0070928i,-0.0036179-0.0050449i,-0.0057424-0.0013671i,-0.004411+0.0010331i,-0.0017189+0.00091509i
0.00013758+0.0035547i,0.0012277+0.0050576i,0.0053601+0.0040316i,0.0052055-0.010833i,-0.0059025-0.036947i,-0.01571-0.054436i,-0.010007-0.053978i,0.0063296-0.040159i,0.014439-0.020294i,0.011076-0.002483i,0.0065584+0.0040333i,0.0031042+0.0018012i,-0.00056276+0.00043807i,-0.0018424+0.0026887i,0.00063462+0.0063607i,0.0047985+0.0088713i,0.0073556+0.0083491i,0.0068145+0.0049549i,0.0050883+0.0014036i,0.0051712+0.00016464i,0.006019+0.00097167i,0.0050755+0.00096594i,0.0030011+0.00019168i
-0.0025307+0.0041697i,-0.0020917+0.0058205i,-0.0013491+0.0085818i,0.0061652+0.0056276i,0.021821-0.0040926i,0.031431-0.01249i,0.033436-0.0062818i,0.027715+0.0085756i,0.011503+0.017662i,-0.00095775+0.018255i,-0.002154+0.013133i,-0.00046683+0.0062091i,-0.0013108+0.00068213i,-0.0026671-0.00037642i,-0.003798+0.0038817i,-0.002618+0.0085218i,-0.0003762+0.011115i,0.0006241+0.011663i,0.0024802+0.0097954i,0.0041938+0.0052152i,0.0027114+0.00015075i,0.000547-0.00098614i,-0.0006071+0.00014638i
0.00099192-0.00014429i,-0.00021111+0.00015954i,-0.0025276+0.0060062i,-0.0013668+0.023476i,0.0049758+0.044922i,0.012878+0.05851i,0.010203+0.059124i,-0.0051932+0.048808i,-0.015106+0.027917i,-0.01488+0.0083544i,-0.0099559+0.00014384i,-0.0046596-0.0017098i,-0.00068155-0.0036105i,-0.00028228-0.0067833i,-0.0046377-0.010079i,-0.0093599-0.009139i,-0.010301-0.0057347i,-0.0083752-0.00095025i,-0.0053138+0.0031713i,-0.0030899+0.0035728i,-0.0027607+0.0027806i,-0.0023872+0.0023787i,-0.0013992+0.00081605i
0.00010637+0.00023544i,-0.00025216-0.00047289i,-0.0044775-0.00023934i,-0.01672+0.0079421i,-0.031134+0.027708i,-0.041219+0.040121i,-0.044897+0.032262i,-0.035751+0.011886i,-0.01751-0.0063564i,-0.0029633-0.015579i,0.0011511-0.015448i,0.001213-0.0096068i,0.0019892-0.0037637i,0.0031284-0.0021722i,0.0014288-0.0051178i,-0.0035879-0.0088292i,-0.0078359-0.011936i,-0.0090666-0.013186i,-0.0071613-0.010137i,-0.0022211-0.0058533i,0.0027757-0.0038334i,0.0042116-0.0033228i,0.0032153-0.0037148i
0.00090214-0.00092826i,0.0017553-0.0030245i,0.0016798-0.010896i,-0.0036091-0.029822i,-0.015651-0.052027i,-0.026062-0.056861i,-0.021856-0.048357i,-0.0041911-0.037117i,0.011956-0.024093i,0.016607-0.014487i,0.012696-0.009783i,0.0063608-0.0057446i,0.0022089-0.00084936i,0.0029614+0.0040903i,0.0062753+0.0060133i,0.0084924+0.0037i,0.0092698-0.00091366i,0.0087805-0.0058335i,0.0053699-0.0090841i,0.0019848-0.0087441i,0.00065069-0.0069122i,-0.00098289-0.0056287i,-0.0023031-0.0033356i
0.0014817+0.0029986i,0.0013784+0.0013308i,0.011396-0.006402i,0.030051-0.029519i,0.045064-0.056136i,0.045878-0.064825i,0.037358-0.047174i,0.030917-0.018752i,0.020974-0.00022737i,0.0083734+0.0062694i,0.0014197+0.0063035i,-0.0017177+0.0024575i,-0.0053923-0.001418i,-0.0071928-0.000601i,-0.0029644+0.0037853i,0.0060188+0.0061042i,0.013262+0.0060283i,0.014196+0.0051327i,0.0090875+0.0042518i,0.0017032+0.0043197i,-0.0034885+0.0056516i,-0.0044064+0.0064843i,-0.0024623+0.0061527i
-0.0015018-0.0020721i,0.00028297+4.0693e-05i,0.0046939+0.009178i,0.017227+0.025793i,0.030314+0.035456i,0.031298+0.034964i,0.022033+0.033234i,0.0045356+0.027976i,-0.013935+0.018443i,-0.022374+0.012717i,-0.018405+0.0093036i,-0.010832+0.0038848i,-0.0067817-0.0015774i,-0.0070645-0.0042975i,-0.0095522-0.0025951i,-0.010411+0.0022615i,-0.0092499+0.006942i,-0.0066803+0.010552i,-0.0033605+0.010927i,-0.00021999+0.0074765i,0.0018473+0.0045084i,0.0024351+0.0034863i,0.0014461+0.0018566i
0.0026997-0.00089738i,-0.00092271+0.0026968i,-0.011385+0.01475i,-0.034545+0.039609i,-0.057661+0.066215i,-0.059828+0.070966i,-0.049616+0.050148i,-0.03898+0.021124i,-0.02862-0.00036958i,-0.020512-0.0068773i,-0.013865-0.004942i,-0.0070757-0.0021438i,-0.0011938+0.00045801i,0.0012944+0.00091419i,-0.0028718-2.6186e-05i,-0.010519+0.00079341i,-0.014977+0.0023188i,-0.014588+0.0034327i,-0.0098726+0.0025956i,-0.0039964-0.0020377i,-0.0014761-0.0080612i,-0.0026944-0.0094383i,-0.0047573-0.0072596i
-0.0029709+0.0016171i,-0.0061642-0.00059442i,-0.020049-0.0071723i,-0.041703-0.015894i,-0.056419-0.020634i,-0.05664-0.019719i,-0.039651-0.0178i,-0.01142-0.016614i,0.011367-0.01382i,0.017511-0.012086i,0.012941-0.010516i,0.0086725-0.006735i,0.0054183-0.0018237i,0.0025292-0.00029374i,0.0018161-0.0024613i,0.0019585-0.0062579i,0.0026091-0.010128i,0.0025504-0.011022i,0.0016454-0.0091959i,0.00079404-0.0051651i,-0.00029712-0.0015563i,-0.00029189-0.00065122i,0.00076453-0.0011036i
0.00046557-0.0029793i,0.0041837-0.0093605i,0.017745-0.025874i,0.036917-0.052739i,0.047418-0.071023i,0.044987-0.063064i,0.038961-0.037836i,0.037117-0.0083474i,0.036426+0.0097341i,0.030932+0.0093559i,0.021652+0.0034457i,0.012702+0.0011585i,0.0051979-0.00036914i,0.00079266-0.0023792i,0.0010194-0.0036421i,0.0035466-0.0041198i,0.006818-0.0052557i,0.0093793-0.007003i,0.00871-0.005336i,0.0068495+0.00075671i,0.0084634+0.0045801i,0.011189+0.0029945i,0.010068+0.00038353i
0.0038226+0.0027959i,0.011657+0.0048078i,0.030779+0.0078553i,0.059904+0.0093461i,0.079519+0.0071666i,0.068306+0.0074823i,0.038459+0.018527i,0.011889+0.026794i,-0.0038785+0.024204i,-0.0068538+0.016753i,-0.0042173+0.008983i,-0.0025831+0.0038521i,5.2085e-05+0.0014955i,0.0028562+0.0022129i,0.004013+0.0053838i,0.0047932+0.0092425i,0.0040335+0.011525i,0.0035538+0.010585i,0.0024985+0.0058663i,-0.00065192+0.0010463i,-0.0039305-0.0010152i,-0.0048701-5.4529e-05i,-0.0026578+0.0028447i
-0.00033994-0.0017334i,-0.0046573+0.0056957i,-0.010306+0.024013i,-0.017329+0.047031i,-0.026903+0.054726i,-0.034961+0.044683i,-0.040104+0.025975i,-0.04403+0.0036831i,-0.04299-0.012662i,-0.035862-0.013502i,-0.024819-0.0084919i,-0.01466-0.0059126i,-0.0081135-0.0030326i,-0.0035493+2.6122e-05i,-0.00061297+0.0015455i,0.0020984+0.0018011i,0.001987+0.0027795i,-0.0012915+0.0037437i,-0.0040804+0.0010896i,-0.0068378-0.0021311i,-0.0096766+0.00042047i,-0.0097526+0.0052748i,-0.0075586+0.0061403i
-0.00016149-0.0014597i,-0.0087732-0.0019745i,-0.031286-0.0052591i,-0.067573-0.0087323i,-0.090579-0.011481i,-0.080581-0.017777i,-0.050004-0.028864i,-0.018521-0.039265i,-0.0037576-0.041294i,-0.0061881-0.030827i,-0.0083331-0.017256i,-0.0070215-0.01128i,-0.0088321-0.0086298i,-0.011955-0.0066584i,-0.012699-0.0080265i,-0.010209-0.010379i,-0.0072294-0.010519i,-0.0070975-0.0080147i,-0.0046965-0.0045552i,0.0010211-0.0032982i,0.0054308-0.0054346i,0.0064804-0.0077613i,0.003966-0.0083775i
-0.00049668-0.0019374i,-0.00062495-0.0086265i,-0.00085449-0.022342i,-0.003539-0.039143i,-0.0027261-0.043361i,0.0078457-0.029644i,0.026738-0.014327i,0.042816-0.0018946i,0.044161+0.0044411i,0.03144+0.0026901i,0.017525+0.0013476i,0.010238+0.00059116i,0.0051404-0.0020291i,-0.00042513-0.0030818i,-0.0056656-0.0013711i,-0.010232+0.0034713i,-0.0091508+0.0062881i,-0.0034736+0.0054066i,0.0017422+0.0045042i,0.0048844+0.0010254i,0.0052876-0.0053987i,0.0038265-0.0097508i,0.0022366-0.0089746i
0.0013308+0.0022563i,0.0099929+0.003276i,0.032052+0.0020661i,0.059328+0.00095064i,0.071736+0.010966i,0.059237+0.028975i,0.035117+0.04733i,0.016812+0.059109i,0.012978+0.053258i,0.016302+0.033119i,0.013158+0.015851i,0.008742+0.0097053i,0.0098983+0.0071069i,0.011587+0.0047809i,0.01123+0.0044145i,0.0091888+0.0063321i,0.0062515+0.0095775i,0.0049849+0.0087421i,0.0035849+0.0041499i,0.0012507+0.004221i,6.0425e-05+0.0075792i,0.00086065+0.0086367i,0.0024002+0.0075585i
-0.00071207+0.00015943i,-0.00046894+0.0046755i,0.0052959+0.017527i,0.019315+0.030737i,0.022916+0.029214i,0.000302+0.018165i,-0.033511+0.014303i,-0.051424+0.014882i,-0.044208+0.011528i,-0.024324+0.0051847i,-0.010483-0.0010429i,-0.0062765-0.0026111i,-0.0030332+9.2367e-05i,0.00038237+0.0022761i,0.0030394-0.00089786i,0.0061447-0.0098398i,0.0069544-0.016085i,0.0031743-0.014257i,-0.0009668-0.0091395i,-0.00083696-0.003437i,0.0020742+0.0023812i,0.0033481+0.005067i,0.0015337+0.0043007i
-0.00017101+0.0013228i,-0.0032991-0.0004228i,-0.01206-0.0012722i,-0.025747-0.0051063i,-0.036928-0.023916i,-0.040402-0.048935i,-0.037739-0.061991i,-0.03114-0.063769i,-0.027054-0.053887i,-0.022093-0.033313i,-0.013595-0.019542i,-0.010578-0.01534i,-0.011301-0.0095234i,-0.010748-0.0040277i,-0.0094816-0.0016222i,-0.0056631-0.00083425i,-0.0012097-0.0032797i,0.00046646-0.0055583i,-0.00055269-0.0057884i,-0.0037304-0.007009i,-0.0080779-0.0093613i,-0.01043-0.0098566i,-0.0093455-0.006974i
0.0028531-0.0023811i,0.00085003-0.0042864i,-0.0078208-0.010082i,-0.024495-0.017861i,-0.031656-0.019664i,-0.012458-0.017857i,0.022992-0.02038i,0.043647-0.023864i,0.033814-0.022796i,0.012106-0.013708i,0.0017557-0.0033384i,0.0010998-0.0021716i,-0.00011766-0.0046491i,0.0001194-0.0039705i,0.00076969+0.00025604i,-0.00015851+0.010152i,0.00062888+0.016533i,0.0017268+0.012799i,0.00072455+0.0066241i,-0.0014023+0.0028703i,-0.0038296+0.0026091i,-0.0043691+0.0034186i,-0.0013296+0.00149i
-0.0046637+0.0010054i,-0.006597+0.0018772i,-0.0093771+0.00055383i,-0.0091072+0.00154i,-0.0062761+0.015654i,0.0017995+0.044065i,0.01789+0.067668i,0.030813+0.070011i,0.030559+0.051704i,0.01805+0.027744i,0.0055702+0.016246i,0.0034177+0.011289i,0.0036957+0.0032938i,0.0014227-0.0024138i,-0.0014285-0.005668i,-0.005954-0.0076461i,-0.0078652-0.0044996i,-0.0051618+0.00057985i,-0.0019907+0.0027727i,0.0029713+0.0032046i,0.010377+0.0018678i,0.013569-0.0016281i,0.0093304-0.003018i
-0.0020594-0.0039502i,-0.0018386-0.0069052i,0.0018258-0.0098355i,0.0072606-0.0070969i,0.00032807+0.004839i,-0.018628+0.021249i,-0.038761+0.035139i,-0.041637+0.041135i,-0.02041+0.033039i,-0.0013899+0.014635i,0.00043692+0.0029154i,-0.00063802+0.0030366i,-0.00077372+0.0031026i,-0.0058589+0.00061204i,-0.011519-0.0026549i,-0.013681-0.0079783i,-0.012871-0.0099211i,-0.0088898-0.0043676i,-0.0029283+0.0013119i,0.0013616+0.0013042i,0.0011721-0.0019436i,-0.0015617-0.0042562i,-0.0044133-0.0029736i
0.0039184-0.001237i,0.011879-0.0014107i,0.026396+0.00059262i,0.041676+0.00011438i,0.045628-0.013262i,0.021565-0.038284i,-0.014532-0.058067i,-0.030649-0.060748i,-0.024445-0.044646i,-0.008048-0.026391i,0.0032208-0.017821i,0.0039946-0.011049i,0.0045857-0.0036299i,0.0070693+4.6287e-05i,0.0097285+0.0066842i,0.014074+0.012833i,0.013558+0.0099871i,0.0074805+0.0027463i,0.0041385-0.00095488i,0.0024964+0.00036599i,-0.0017816+0.0049339i,-0.004107+0.0095635i,-0.0014402+0.0081337i
0.0031868+0.004044i,0.0038744+0.011786i,0.0075822+0.021496i,0.018411+0.022791i,0.027603+0.0078392i,0.035165-0.015527i,0.043337-0.036005i,0.036169-0.04699i,0.01459-0.04303i,0.0012289-0.024255i,0.002285-0.011537i,0.001348-0.010295i,-4.2047e-06-0.006595i,0.0055762-0.001804i,0.011353+0.0010823i,0.015491+0.004941i,0.017479+0.0060254i,0.014039+0.0015126i,0.0081754-0.0037963i,0.0054226-0.0061204i,0.0066466-0.0066884i,0.0080844-0.0065861i,0.0067491-0.0051404i
-0.0067945-0.0010763i,-0.018796+0.00067147i,-0.03695+0.0025698i,-0.054823+0.0057892i,-0.056333+0.010977i,-0.037671+0.020778i,-0.0095053+0.040759i,0.011906+0.046707i,0.0068815+0.027643i,-0.011261+0.013324i,-0.01427+0.0090335i,-0.0098724-0.0010645i,-0.012804-0.007504i,-0.01558-0.0048416i,-0.018872-0.0052732i,-0.024622-0.0091076i,-0.023108-0.0080699i,-0.014868-0.0025048i,-0.0081873+1.8018e-05i,-0.0060995-0.003745i,-0.0068341-0.0098838i,-0.007819-0.011499i,-0.0075415-0.0080168i
-0.0022485-0.0028778i,-0.0064019-0.014882i,-0.01955-0.03186i,-0.047293-0.043054i,-0.076599-0.039455i,-0.086705-0.0081862i,-0.078941+0.032219i,-0.058791+0.052027i,-0.030594+0.047555i,-0.016658+0.028078i,-0.015103+0.014676i,-0.0090205+0.0084613i,-0.0042243-7.7405e-05i,-0.0063393-0.0031677i,-0.0083101-0.002968i,-0.010615-0.0039153i,-0.011938-0.0026614i,-0.00908-0.0021998i,-0.0058362-0.0021167i,-0.0059976+0.0021121i,-0.0062488+0.0084934i,-0.0045489+0.010743i,-0.0027567+0.0075221i
0.0037803+0.00072092i,0.017032-0.001495i,0.034632-0.0088926i,0.044307-0.019792i,0.043918-0.014446i,0.026655-0.012309i,-0.0034383-0.029169i,-0.019707-0.028473i,-0.0084179-0.0071629i,0.011327-0.00017711i,0.013494-0.0028287i,0.01124+0.0061275i,0.016343+0.009303i,0.018107+0.0006645i,0.019451-0.003508i,0.025507-0.0010767i,0.027368+0.0014912i,0.020792+0.0014524i,0.013107+0.0014803i,0.011063+0.00211i,0.0124+0.0011766i,0.012133+0.00039777i,0.0087027-0.0013882i
0.0026422+0.004931i,0.0056908+0.017076i,0.022961+0.03371i,0.062283+0.04173i,0.096296+0.031177i,0.097749+0.012399i,0.086232-0.010897i,0.068672-0.031069i,0.044583-0.031944i,0.029948-0.022773i,0.020577-0.017262i,0.0083331-0.0082046i,0.0028789+0.0035798i,0.0026572+0.0055386i,-0.0011321+0.0019528i,-0.0048317-0.0012021i,-0.0050751-0.0030324i,-0.0036787-0.00079221i,-0.0021619+0.0025157i,-0.0026565+0.0005657i,-0.0060466-0.0045015i,-0.0082733-0.0072109i,-0.006046-0.0053715i
-0.0084022-0.0043038i,-0.021245-0.0011267i,-0.029665+0.010797i,-0.023395+0.030208i,-0.016484+0.037669i,-0.0045135+0.029941i,0.015702+0.032705i,0.030788+0.025955i,0.0209-0.0045875i,-0.0015053-0.015618i,-0.0063113-0.011591i,-0.0077064-0.016312i,-0.015468-0.014026i,-0.019275-0.0011474i,-0.023397+0.011065i,-0.027496+0.017377i,-0.025467+0.013676i,-0.017703+0.0058094i,-0.0089305+0.0014037i,-0.0055844+0.0031992i,-0.0049695+0.0063858i,-0.004158+0.0065229i,-0.0036394+0.0046095i
0.0021467-0.0075669i,0.0041915-0.015632i,-0.0099166-0.020742i,-0.046229-0.017826i,-0.078544-0.021534i,-0.097106-0.021737i,-0.099662+0.00028199i,-0.076922+0.018752i,-0.045978+0.013143i,-0.031111+0.0031635i,-0.021197+0.0011159i,-0.0062376-0.0082576i,0.00019228-0.018759i,6.6443e-05-0.016016i,0.0038706-0.008536i,0.0098778-0.0014341i,0.011199+0.0046335i,0.0073761+0.0057992i,0.0044631+0.003229i,0.0078206-0.0010692i,0.014022-0.0051786i,0.015104-0.007946i,0.0097129-0.0099564i
0.0068316+0.0037947i,0.012846+0.0061896i,0.012483-0.0034535i,-0.0044884-0.031967i,-0.02648-0.04674i,-0.033263-0.040172i,-0.040805-0.040776i,-0.051008-0.0266i,-0.03746+0.0028434i,-0.01295+0.0098433i,-0.0031866+0.0051001i,0.0013629+0.0065049i,0.0084533+0.0027202i,0.010885-0.0064479i,0.010026-0.016486i,0.0085886-0.025001i,0.0062944-0.025535i,0.0032875-0.019389i,0.00063416-0.014539i,-0.0022777-0.013197i,-0.0056611-0.012138i,-0.0067899-0.0083529i,-0.003638-0.0034725i
-0.0047958+0.004862i,-0.014173+0.0089702i,-0.016602-0.00063456i,0.0020231-0.018686i,0.033145-0.01802i,0.05327-0.0025057i,0.062969+0.00055597i,0.051384-0.0069543i,0.024931+0.0024305i,0.015285+0.011595i,0.0094212+0.0057649i,-0.003927+0.0075368i,-0.0089533+0.016605i,-0.007379+0.01796i,-0.0087954+0.01374i,-0.012002+0.0097526i,-0.010038+0.0051006i,-0.001847+0.0008258i,0.0040148-0.00046573i,0.0020082+0.0035121i,-0.0043029+0.00935i,-0.0083352+0.012446i,-0.0077952+0.012474i
6.4948e-05-0.010497i,-0.0034467-0.023711i,0.0064572-0.026837i,0.027145-0.0061165i,0.026844+0.019595i,0.019119+0.042369i,0.03216+0.058038i,0.050449+0.041364i,0.04226+0.0071864i,0.017198-0.0026341i,0.0060051+0.0026922i,0.0014379+0.0026111i,-0.0018436+0.0036095i,0.001727+0.0050082i,0.0068755+0.0058839i,0.010965+0.011144i,0.010864+0.016931i,0.0064016+0.01903i,0.0033802+0.019124i,0.0030597+0.016777i,0.0050545+0.011532i,0.0058758+0.0053137i,0.0025944-0.00055221i
0.0099223-0.003307i,0.02986+0.001185i,0.04681+0.017816i,0.044847+0.042523i,0.029834+0.045344i,-0.0032956+0.019264i,-0.039608+0.0058721i,-0.033854+0.0049274i,-0.0079395-0.013489i,-0.0046563-0.025797i,-0.00306-0.016092i,0.010588-0.011585i,0.0148-0.016007i,0.010314-0.016986i,0.0070738-0.016626i,0.0079803-0.017345i,0.0077502-0.017705i,0.00080312-0.015539i,-0.0059914-0.012958i,-0.0082935-0.013629i,-0.0083801-0.014478i,-0.0059674-0.01152i,-0.0018025-0.0088096i
0.0034085+0.013647i,-0.00040105+0.035908i,-0.012686+0.056648i,-0.023237+0.042591i,-0.015878-0.0066003i,-0.00823-0.051973i,-0.024359-0.067442i,-0.042081-0.045026i,-0.033385-0.018296i,-0.018603-0.015955i,-0.015738-0.016262i,-0.010719-0.010599i,-0.0081372-0.0067205i,-0.016827+0.00016745i,-0.027504+0.0090087i,-0.032493+0.014681i,-0.027119+0.014195i,-0.014249+0.0066524i,-0.0034556-0.0012685i,0.0021614-0.004811i,0.0039833-0.0045689i,0.003561-0.0040343i,0.0028228-0.0043086i
-0.013771-0.0021033i,-0.044051-0.011092i,-0.08078-0.036275i,-0.099443-0.060307i,-0.088114-0.052294i,-0.045639-0.026967i,0.0039936-0.012423i,0.0097474-0.0062402i,-0.011054+0.011832i,-0.0080716+0.022862i,-0.0014455+0.008828i,-0.012609-0.0021782i,-0.019982+0.00036086i,-0.016398+0.00475i,-0.0092689+0.009928i,-0.0042482+0.014735i,-0.0038169+0.016648i,-0.0039964+0.016202i,-0.0005274+0.015211i,0.0059055+0.014021i,0.010764+0.0095164i,0.0094203+0.0056144i,0.004677+0.0060291i
0.00034344-0.01876i,0.012044-0.05285i,0.028336-0.084338i,0.027885-0.073681i,-0.0058188-0.013373i,-0.035438+0.056867i,-0.023863+0.081203i,0.00037072+0.057205i,0.0066876+0.029192i,0.012727+0.01827i,0.021778+0.006701i,0.018281-0.0069214i,0.012678-0.013202i,0.01553-0.018043i,0.02114-0.025589i,0.025174-0.034744i,0.022645-0.037948i,0.013565-0.02974i,0.0054997-0.017832i,0.00035945-0.010708i,-0.0043848-0.0084526i,-0.0065939-0.0058313i,-0.0047276-0.0018455i
0.022299+0.0017059i,0.056844+0.018354i,0.10309+0.037143i,0.12321+0.038161i,0.1009+0.021596i,0.043381+0.015906i,-0.010312+0.028658i,-0.0086187+0.030408i,0.015451+0.0062116i,0.012261-0.013981i,0.0060755-0.0080153i,0.013485+0.00014903i,0.017818+0.0011411i,0.015969+0.00085728i,0.0080128-0.0047733i,-0.0041089-0.010107i,-0.0093617-0.0086161i,-0.0058873-0.0045843i,-0.0035293-0.0030419i,-0.0070318-0.0024422i,-0.0093406-0.0001066i,-0.0065552-0.00096021i,-0.0024161-0.0064241i
-0.0092579+0.021887i,-0.027295+0.058203i,-0.047054+0.099659i,-0.032532+0.089518i,0.012808+0.0079089i,0.042937-0.078137i,0.035411-0.094661i,0.019079-0.052789i,0.015847-0.021442i,-0.0007626-0.016574i,-0.02258-0.0051841i,-0.021666+0.012114i,-0.012193+0.020114i,-0.0084653+0.023915i,-0.0054111+0.02912i,-0.0020758+0.035454i,0.00025226+0.034607i,0.0012758+0.023594i,0.0012779+0.012163i,0.0022283+0.0069764i,0.0013206+0.0065406i,-0.0021231+0.0072693i,-0.0028119+0.0074401i
-0.021152-0.010009i,-0.058379-0.029038i,-0.10328-0.04638i,-0.11938-0.036404i,-0.09111-0.01175i,-0.043668-0.016432i,-0.0059941-0.033206i,0.0034449-0.035067i,-0.011194-0.021071i,-0.019789-0.0024888i,-0.017902+0.0033565i,-0.016704-0.0017424i,-0.016173-0.0082963i,-0.017085-0.012851i,-0.013898-0.010703i,-0.0019858-0.0058588i,0.0083492-0.0044568i,0.011094-0.004984i,0.011646-0.00536i,0.012366-0.0056031i,0.011403-0.0072555i,0.0093259-0.0074174i,0.0061306-0.0039522i
0.0136-0.019073i,0.039606-0.055697i,0.063579-0.091635i,0.051442-0.077782i,0.0081891-0.0026558i,-0.023932+0.078093i,-0.031369+0.088584i,-0.03584+0.042614i,-0.037221+0.0095162i,-0.020553+0.0019698i,0.0014959-0.009261i,0.0061306-0.023136i,0.00065202-0.026516i,-0.0061915-0.024978i,-0.017604-0.02179i,-0.027787-0.017384i,-0.029307-0.011234i,-0.022438-0.0029059i,-0.015111+0.0028032i,-0.013302+0.0029874i,-0.011411-0.00066569i,-0.0056798-0.0053795i,-0.0026928-0.0099097i
0.014645+0.016129i,0.048317+0.045687i,0.091068+0.061134i,0.10051+0.031742i,0.062234-0.005329i,0.0096139-0.0063484i,-0.018245+0.016671i,-0.0095511+0.033572i,0.0089409+0.026418i,0.016714+0.0086966i,0.015324+0.00077265i,0.011115+0.0016061i,0.00716+0.0089921i,0.006053+0.018531i,0.0070013+0.02271i,0.0069386+0.021828i,0.0031947+0.018282i,-0.0038355+0.012958i,-0.0084475+0.0080454i,-0.0081183+0.0048047i,-0.0079955+0.0042453i,-0.011154+0.0080433i,-0.011559+0.011471i
-0.015933+0.016069i,-0.048254+0.045751i,-0.082415+0.079839i,-0.084442+0.073344i,-0.066944+0.011861i,-0.04558-0.038497i,-0.0058508-0.0388i,0.028159-0.016707i,0.04059+0.0022415i,0.037427+0.0079782i,0.024299+0.0097707i,0.012537+0.014873i,0.0070119+0.015958i,0.0090559+0.011995i,0.016764+0.0039817i,0.022119-0.0054411i,0.021123-0.011302i,0.015234-0.012321i,0.013331-0.0087261i,0.018991-0.0046803i,0.02396-0.0053201i,0.023119-0.005633i,0.019629-0.0013354i
-0.013028-0.015917i,-0.039868-0.052828i,-0.065976-0.081133i,-0.06187-0.055959i,-0.02081+0.0051308i,0.017484+0.032859i,0.014636+0.020777i,-0.0045504+0.00077007i,-0.011601-0.013726i,-0.0083799-0.015364i,-0.0026343-0.013672i,0.00043748-0.017414i,-0.0021928-0.022136i,-0.0086707-0.024082i,-0.01384-0.022087i,-0.017203-0.019964i,-0.017369-0.018868i,-0.009693-0.014277i,0.00034564-0.0073848i,0.0017654-0.0031242i,-0.0024051-0.004075i,-0.0031716-0.0091632i,-0.00073957-0.014297i
0.0254-0.012721i,0.066988-0.0345i,0.10831-0.06539i,0.11961-0.085103i,0.10955-0.086002i,0.075698-0.059578i,0.015623-0.021286i,-0.024916-0.0057487i,-0.037595-0.014858i,-0.0433-0.020165i,-0.033973-0.014914i,-0.01575-0.014387i,-0.0039754-0.012896i,0.00087933-0.0059858i,-0.0014155+0.0025809i,-0.0030293+0.012661i,0.0040389+0.018156i,0.0093761+0.012965i,0.0044919+0.0032567i,-0.0064213+0.0012247i,-0.014686+0.0093823i,-0.018015+0.016904i,-0.018575+0.014514i
0.0089924+0.025546i,0.019465+0.070793i,0.03696+0.1047i,0.02905+0.071813i,-0.025003-0.013551i,-0.070768-0.086161i,-0.058866-0.089937i,-0.020505-0.042484i,0.00018578-0.010503i,-0.0051873-0.0032994i,-0.012858+0.0046173i,-0.0082959+0.012703i,0.00099963+0.014991i,0.0083828+0.013609i,0.011893+0.0094372i,0.015051+0.0059377i,0.017229+0.0033017i,0.013799+0.00048692i,0.0094075-0.0014911i,0.010581-0.0049179i,0.016376-0.0077791i,0.019825-0.0047113i,0.016923+0.0012356i
-0.027321+0.0030581i,-0.069628+0.011955i,-0.12017+0.044776i,-0.13501+0.10732i,-0.11796+0.16474i,-0.091962+0.16155i,-0.044832+0.097097i,-0.0073583+0.040928i,0.007455+0.027698i,0.021236+0.020293i,0.020009+0.0026721i,0.00489-0.0020934i,-0.0065954+0.0011436i,-0.014504+0.0013361i,-0.018495-0.00083643i,-0.022555-0.0045567i,-0.027815-0.0029436i,-0.025678+0.0029699i,-0.015494+0.0050649i,-0.0076898-0.00070394i,-0.0086218-0.012542i,-0.011245-0.023448i,-0.0087431-0.024128i
0.0061195-0.028843i,0.0050009-0.077388i,0.0048903-0.12685i,0.013971-0.11185i,0.053833-0.011757i,0.096939+0.099373i,0.084224+0.13004i,0.039348+0.087606i,0.012864+0.045569i,0.010008+0.018004i,0.0063273-0.0068309i,-0.0039508-0.017233i,-0.010903-0.014599i,-0.013127-0.0092943i,-0.010704-0.001915i,-0.0058213+0.0045953i,-0.0038758+0.0061585i,-0.0072551+0.0043395i,-0.014299+0.0051623i,-0.017681+0.012142i,-0.016353+0.020508i,-0.014068+0.022146i,-0.011259+0.016302i
