0.001318-0.00041522i,0.00058052-0.0012128i,0.00041689-0.0026561i,-0.00025694-0.0021645i,-0.0025293+7.3377e-05i,-0.0044631+0.0013291i,-0.0041511+0.001852i,-0.0019847+0.0022106i,-0.00020853+0.0016241i,-4.597e-05+0.0010152i,4.6208e-05+0.00086964i,-1.0425e-05+0.00056983i,-0.00059094-0.00034297i,-0.0009559-0.00025765i,-0.00053464+0.00058983i,0.00026962+0.00071208i,0.00010284+0.00038852i,-0.0004299+0.00011236i,-0.00035821+0.00016667i,-0.00056652+0.00026107i,-0.0010313+4.9413e-05i,-8.1393e-05+5.6833e-05i,0.00022233-0.00026474i
-0.14714-0.057161i,-0.34575-0.026036i,-0.42279+0.15636i,-0.19455+0.37098i,0.10728+0.36077i,0.16217+0.17019i,0.029975+0.046154i,-0.055527+0.041098i,-0.033747+0.050332i,-0.0090889+0.015513i,-0.034841-0.008137i,-0.059344+0.012953i,-0.042874+0.032615i,0.0029232+0.020098i,0.033782-0.020955i,0.016869-0.063137i,-0.020071-0.081076i,-0.049824-0.076906i,-0.065578-0.042942i,-0.050372+0.0071793i,-0.015675+0.032633i,0.0098298+0.034793i,0.024549+0.036076i
0.13975-0.042803i,0.22276-0.13944i,0.12215-0.23102i,-0.14924-0.20464i,-0.31739-0.14354i,-0.32495-0.1722i,-0.27035-0.17233i,-0.15823-0.086206i,-0.068431-0.026878i,-0.037823+0.012325i,0.009066+0.045865i,0.054243+0.047082i,0.051675+0.039748i,0.018432+0.039752i,0.0083504+0.046902i,0.047755+0.029982i,0.086708-0.029492i,0.081319-0.086027i,0.043404-0.093491i,0.0089095-0.05541i,-0.0044235-0.015766i,-0.012721+0.0012735i,-0.0147+0.0077537i
-0.074529+0.080555i,-0.082553+0.14308i,0.020967+0.081935i,0.15967-0.10204i,0.22131-0.16995i,0.24316-0.062595i,0.21018+0.011434i,0.094035+0.015312i,0.018456+0.050318i,0.026084+0.082071i,0.035598+0.053043i,0.01653-0.021059i,-0.018618-0.066733i,-0.034951-0.044851i,-0.023188-0.0051871i,-0.0041663+0.02583i,0.016611+0.051134i,0.037455+0.058461i,0.042332+0.034768i,0.016887+0.00042033i,-0.014026-0.0071645i,-0.017493+0.00051373i,-0.014181-0.0019364i
0.022349-0.083558i,0.01855-0.095096i,-0.023739+0.039773i,-0.087354+0.27191i,-0.14002+0.38949i,-0.12888+0.31541i,-0.037574+0.11474i,0.01498-0.040691i,0.0032779-0.042042i,-0.0085619-0.014838i,-0.040687-0.01128i,-0.05056+0.030373i,0.0018075+0.050708i,0.04367+0.012207i,0.037425-0.027634i,0.0061896-0.028592i,-0.0096076+0.0079349i,0.0041563+0.044004i,0.019923+0.052364i,0.025051+0.039906i,0.024524+0.02095i,0.023783+0.0026173i,0.017757-0.013805i
-0.019418+0.061445i,-0.075576+0.11024i,-0.16208+0.11525i,-0.17824+0.075812i,-0.11574+0.0074391i,-0.078194-0.040745i,-0.090903+0.0088511i,-0.071262+0.053472i,-0.050997-0.026218i,-0.083706-0.07938i,-0.083534-0.022972i,-0.043474+0.044809i,-0.019233+0.073732i,-0.019125+0.063598i,-0.02995+0.046857i,-0.02738+0.035339i,-0.0255+0.013505i,-0.034918-0.00036486i,-0.027794-0.0004984i,-0.0066175-0.0071775i,-0.0038806-0.019503i,-0.023291-0.012781i,-0.026196+0.0087292i
0.013255-0.076269i,0.11081-0.1913i,0.29188-0.32537i,0.3941-0.36895i,0.33957-0.23205i,0.26344-0.024711i,0.21759+0.049526i,0.14732-0.0092993i,0.088432-0.052999i,0.088724-0.046212i,0.097341-0.05624i,0.070036-0.094901i,0.016415-0.10221i,-0.013159-0.053063i,0.0074703-0.0090489i,0.036582-0.015678i,0.034305-0.039035i,0.00071977-0.041689i,-0.03381-0.020176i,-0.032742+0.0031719i,-0.0067509+0.00119i,0.0054413-0.015856i,-0.0012893-0.020272i
0.021415+0.10087i,-0.014986+0.28987i,-0.12397+0.43883i,-0.27257+0.30373i,-0.39713-0.045957i,-0.36462-0.23453i,-0.11517-0.17659i,0.096159-0.081121i,0.10302-0.035038i,0.026777-0.036036i,-0.051229-0.045173i,-0.094164+0.0055648i,-0.063032+0.043437i,-0.027257+0.013868i,-0.023845-0.018995i,-0.034565-0.030276i,-0.046063-0.028787i,-0.031462-0.026204i,-0.004677-0.027937i,0.003955-0.01182i,0.0070291+0.020271i,0.018847+0.030609i,0.024357+0.012817i
-0.10383-0.1413i,-0.26927-0.32927i,-0.40751-0.48627i,-0.32178-0.38477i,-0.060034-0.16537i,0.007822-0.12829i,-0.23001-0.11107i,-0.36362+0.055363i,-0.24789+0.1989i,-0.11011+0.23767i,-0.027519+0.22013i,0.0059155+0.15358i,-0.0028359+0.09714i,-0.00074902+0.070484i,0.0028315+0.044571i,0.0022039+0.042216i,0.022986+0.050303i,0.038085+0.033656i,0.027923+0.0029804i,-0.0032294-0.020105i,-0.04194-0.019804i,-0.061781+0.0047513i,-0.057054+0.028057i
0.20496+0.03763i,0.52569+0.071682i,0.80429+0.05042i,0.62807+0.027074i,0.10864+0.18769i,-0.1421+0.44214i,0.0025546+0.40057i,0.11449+0.13135i,0.096144-0.012233i,0.08701-0.022312i,0.08242-0.039066i,0.059942-0.073043i,0.025524-0.08393i,-0.0015687-0.055367i,0.0005393-0.026279i,0.013391-0.036675i,0.006601-0.053948i,-0.020372-0.029701i,-0.034066+0.024759i,-0.0048303+0.047379i,0.035507+0.0092357i,0.04615-0.040311i,0.041017-0.053926i
-0.17081+0.069132i,-0.52409+0.25637i,-0.79828+0.54589i,-0.54766+0.5937i,0.098726+0.1433i,0.47718-0.40955i,0.39991-0.52035i,0.20349-0.28412i,0.06419-0.10879i,-0.048322-0.070465i,-0.10227-0.021428i,-0.057623+0.0491i,0.021105+0.059026i,0.049588+0.0074727i,0.027989-0.041375i,-0.009009-0.050822i,-0.031106-0.044981i,-0.027082-0.056812i,-0.01484-0.072579i,-0.0069691-0.058701i,-0.0058026-0.016104i,-0.0079561+0.021288i,-0.0096011+0.036233i
0.10669-0.13281i,0.26841-0.36695i,0.36078-0.58462i,0.2441-0.50025i,-0.026657-0.19693i,-0.27781-0.036397i,-0.41197-0.047679i,-0.36895-0.05365i,-0.24589-0.020012i,-0.14803+0.03487i,-0.074464+0.044194i,-0.049212+0.014548i,-0.037042+0.033894i,0.012968+0.08435i,0.067902+0.10433i,0.10929+0.097832i,0.14295+0.081126i,0.14809+0.056433i,0.11151+0.030417i,0.057565+0.018381i,0.021609+0.021365i,0.013883+0.022929i,0.014528+0.015053i
-0.0060257+0.12196i,0.14078+0.30079i,0.39263+0.30373i,0.41241+0.036535i,0.058919-0.020697i,-0.14904+0.38399i,0.087775+0.66191i,0.29122+0.44883i,0.22424+0.11829i,0.098346-0.044723i,-0.009162-0.064613i,-0.058273-0.019943i,-0.059236-0.017482i,-0.082001-0.046405i,-0.10294-0.05178i,-0.10756-0.065637i,-0.12818-0.085684i,-0.14733-0.059525i,-0.11266+0.0039522i,-0.039719+0.025404i,-0.0050262-0.012328i,-0.023985-0.035875i,-0.041791-0.013291i
-0.076684-0.13853i,-0.44439-0.32744i,-0.98507-0.36494i,-1.1296-0.13429i,-0.54899-0.01128i,0.075273-0.28418i,0.096294-0.50166i,-0.1302-0.27777i,-0.14958+0.061184i,-0.034625+0.17723i,0.051905+0.15101i,0.080802+0.10523i,0.078911+0.078072i,0.081226+0.065921i,0.090189+0.044331i,0.090073+0.028416i,0.093374+0.030229i,0.094674+0.024309i,0.063708+0.0049475i,0.025823+0.013316i,0.029048+0.042624i,0.041662+0.040879i,0.023963+0.019098i
0.087471+0.13138i,0.31581+0.33833i,0.58735+0.51721i,0.52719+0.53756i,0.085913+0.41077i,-0.24649+0.30747i,-0.1226+0.22059i,0.11404+0.034326i,0.084075-0.088349i,-0.067072-0.058319i,-0.14128-0.018675i,-0.14158+0.01411i,-0.094739+0.046926i,-0.055062+0.030721i,-0.044397-0.016227i,-0.037341-0.07051i,-0.050271-0.10823i,-0.076954-0.099536i,-0.07797-0.049723i,-0.059124+0.0036082i,-0.053555+0.025267i,-0.054328+0.022769i,-0.034232+0.00082374i
0.0057122-0.056418i,0.080607-0.046511i,0.3316-0.048957i,0.63246-0.22995i,0.53751-0.48794i,0.073014-0.48643i,-0.28735-0.24639i,-0.33082-0.022332i,-0.13848+0.090553i,0.047317+0.11368i,0.081037+0.123i,0.043872+0.13725i,0.016931+0.12418i,0.018335+0.10906i,0.038817+0.10613i,0.061771+0.10796i,0.10992+0.092024i,0.16808+0.028891i,0.14666-0.041367i,0.04892-0.051986i,-0.016733-0.026096i,-0.02837-0.020697i,-0.03645-0.0191i
-0.065388-0.084433i,-0.17679-0.37972i,-0.47319-0.85201i,-0.76229-1.1152i,-0.72498-0.98573i,-0.35332-0.75404i,-0.051051-0.57442i,-0.02813-0.35157i,-0.094147-0.12446i,-0.098512+0.013314i,-0.068723+0.03686i,-0.066651+0.0095771i,-0.074049-0.0051331i,-0.069792-0.02997i,-0.060471-0.053934i,-0.019312-0.070443i,0.013289-0.081752i,-0.004706-0.035691i,-0.01778+0.025711i,-0.014231+0.014268i,-0.028877-0.019833i,-0.03908-0.021474i,-0.027682-0.025185i
-0.19664+7.5149i,2.5985+7.2442i,5.8167+7.1756i,7.0111+4.357i,6.416+0.36107i,4.0008-2.6157i,0.99848-2.3091i,-0.33855-0.12245i,0.16868+1.3503i,0.96775+1.1466i,0.72835+0.10155i,-0.15251-0.5333i,-0.88441-0.53716i,-1.2537-0.10817i,-1.0372+0.3801i,-0.47305+0.54434i,-0.026505+0.38811i,0.089475+0.068256i,-0.10579-0.16469i,-0.33682-0.16946i,-0.38929-0.14331i,-0.30474-0.17093i,-0.15052-0.20489i
0.0072611+0.016095i,0.060036+0.033584i,0.18198+0.12218i,0.47432+0.2039i,0.67683+0.09399i,0.62846-0.050308i,0.58341-0.13135i,0.50488-0.25227i,0.25886-0.24467i,0.077949-0.071813i,0.03421+0.014534i,-0.013859+0.0035413i,-0.037587+0.0068823i,-0.01995+0.0086709i,-0.014415+0.014163i,-0.0076105+0.045188i,0.0063869+0.070708i,0.0059231+0.068174i,-0.012613+0.045996i,-0.027486+0.026441i,-0.021491+0.024052i,0.00098486+0.020952i,0.025847-0.00090954i
-0.00046877-0.082953i,0.1745-0.23002i,0.46024-0.47108i,0.59313-0.6791i,0.5093-0.6883i,0.46413-0.57182i,0.3935-0.48843i,0.1979-0.32507i,0.076719-0.076523i,0.077969+0.044826i,0.08421+0.06187i,0.073071+0.077289i,0.061418+0.074303i,0.046187+0.046381i,0.035226+0.024333i,0.051819+0.018575i,0.075172+0.0085027i,0.064923+0.00872i,0.037323+0.037667i,0.017635+0.038596i,-0.004597-0.012161i,-0.029837-0.055339i,-0.034502-0.071267i
-0.019324+0.10479i,-0.20019+0.19682i,-0.51546+0.24649i,-0.74703+0.19738i,-0.70705+0.1227i,-0.48152+0.032522i,-0.2307-0.074959i,-0.077546-0.14059i,-0.047781-0.091142i,-0.031247+0.0058281i,-0.015903+0.027957i,-0.031789+0.012576i,-0.033981+0.0082558i,-0.029371+0.0040869i,-0.042588+0.017316i,-0.049878+0.031676i,-0.039538+0.043393i,0.01118+0.071367i,0.074068+0.06281i,0.061703+0.011504i,-0.011419-0.00093643i,-0.053968+0.028448i,-0.049955+0.032812i
0.0063582-0.077009i,0.026553-0.18752i,0.068001-0.2439i,0.10394-0.11531i,0.20342+0.043225i,0.26429+0.023463i,0.12724-0.052449i,-0.0034604+0.011167i,0.059549+0.080352i,0.12662+0.050127i,0.11801+0.043442i,0.11077+0.049069i,0.089519+0.03213i,0.06116+0.027217i,0.049185+0.013938i,0.045014-0.0024586i,0.06558-0.020772i,0.090637-0.060715i,0.075608-0.0921i,0.027606-0.080478i,-0.020621-0.034153i,-0.044901+0.021019i,-0.046411+0.056542i
0.025744+0.071635i,-0.0018095+0.20178i,-0.14474+0.38572i,-0.3306+0.4453i,-0.47629+0.31322i,-0.55237+0.15897i,-0.47641+0.1034i,-0.26205+0.049935i,-0.088507-0.055384i,-0.0029814-0.12652i,0.049526-0.14529i,0.064662-0.13556i,0.050112-0.10033i,0.032997-0.059726i,0.022714-0.029649i,0.013348-0.024904i,-0.025852-0.048892i,-0.081893-0.062684i,-0.097292-0.040015i,-0.0642-0.0039456i,-0.018055+0.024793i,0.023139+0.032248i,0.047098+0.01443i
-0.053872-0.039298i,0.0034475-0.097142i,0.236-0.10025i,0.51681+0.0051766i,0.52545+0.14819i,0.26662+0.251i,0.024899+0.29619i,-0.043758+0.23432i,-0.044889+0.10425i,-0.055709+0.037263i,-0.039407+0.036904i,-0.0035851+0.038316i,0.015114+0.032314i,0.018185+0.028618i,0.008781+0.022485i,-0.01286+0.021351i,-0.031989+0.038008i,-0.034289+0.046759i,-0.0232+0.028114i,-0.009463+0.010813i,0.0051533+0.012573i,0.018703+0.021986i,0.024297+0.027179i
0.1023+0.013868i,0.17516-0.019216i,0.13669-0.15346i,-0.091103-0.23149i,-0.24451+0.0174i,-0.048503+0.39242i,0.28823+0.40376i,0.30837+0.16125i,0.13441+0.058332i,0.075314+0.056148i,0.072356+0.034016i,0.058+0.017408i,0.044682-0.0025697i,0.01877-0.017557i,0.00036185-0.014864i,-0.008745-0.02437i,-0.021856-0.027835i,-0.032611-0.0014254i,-0.035396+0.023913i,-0.026911+0.029226i,-0.0067678+0.031559i,0.020999+0.033699i,0.038935+0.019349i
-0.073555-0.020884i,-0.25342-0.092965i,-0.43914-0.14387i,-0.38012-0.096676i,0.029203-0.08108i,0.37288-0.25979i,0.27119-0.36118i,0.087028-0.15425i,0.10535+0.043968i,0.11353+0.037722i,0.053058+0.0054031i,0.024057-0.0027861i,0.018516-0.0086555i,0.023553-0.0048322i,0.010745-0.016812i,-0.034131-0.016791i,-0.05869+0.010369i,-0.042662+0.041199i,-0.0116+0.056851i,0.010975+0.044218i,0.021259+0.022609i,0.029022+0.0056674i,0.023568-0.0046145i
0.058332+0.058454i,0.15274+0.14446i,0.21353+0.32326i,0.16343+0.44852i,-0.025216+0.362i,-0.26362+0.17527i,-0.36757+0.079251i,-0.26874+0.068187i,-0.10971+0.056478i,-0.021817+0.034741i,0.0045831+0.012893i,-0.0086866-0.0035614i,-0.030024-0.0024834i,-0.030926+0.013495i,-0.022942+0.039139i,-0.0068109+0.062175i,0.016715+0.060695i,0.036112+0.032158i,0.039199-0.004135i,0.024425-0.019072i,0.017147-0.014747i,0.019104-0.021586i,0.0070138-0.034265i
-0.03635+0.011469i,-0.058772+0.013921i,-0.012259+0.016511i,0.14093-0.0075741i,0.28687-0.094541i,0.2269-0.16343i,0.03845-0.078805i,-0.031138+0.022597i,0.013329-0.0099449i,0.033028-0.064818i,0.037894-0.047071i,0.060955-0.016819i,0.073137-0.009605i,0.067912-0.014833i,0.052283-0.017611i,0.025252-0.02083i,-0.0085355-0.026804i,-0.034364-0.026863i,-0.04708-0.019858i,-0.045006-0.0033489i,-0.023195+0.015347i,0.001861+0.021486i,0.01094+0.023774i
0.025977+0.0082716i,0.035639+0.060488i,0.037267+0.19419i,0.042394+0.34373i,-0.0015013+0.39535i,-0.064366+0.36122i,-0.025144+0.30169i,0.068834+0.20684i,0.076896+0.084587i,0.030307+0.0043514i,0.010371-0.024939i,0.011841-0.031343i,0.0094175-0.037215i,-0.0056057-0.037202i,-0.015353-0.018479i,-0.012269+0.0067194i,-0.0013539+0.030284i,0.016325+0.041209i,0.026681+0.033515i,0.028366+0.022224i,0.033146+0.013346i,0.036475+0.0040831i,0.03721-0.0038559i
0.00034102-0.015908i,0.10959-0.070251i,0.35115-0.21134i,0.55933-0.39086i,0.54908-0.40333i,0.42124-0.17982i,0.34429+0.039301i,0.26462+0.076746i,0.12715+0.042424i,0.020646+0.034415i,-0.0077629+0.024473i,-0.0046602+0.0056664i,0.0051572+0.004001i,0.029027+0.0083453i,0.042-0.0019786i,0.026277-0.012574i,0.0071765-0.016263i,-0.0086312-0.015507i,-0.02322-0.002324i,-0.025685+0.010592i,-0.014858+0.0064945i,-0.0033958-0.0045178i,-0.0020859-0.011278i
0.0026457+0.023664i,-0.043916+0.0028827i,-0.16977-0.077212i,-0.29211-0.1672i,-0.26897-0.16732i,-0.12126-0.15895i,0.011056-0.23195i,0.030692-0.25724i,-0.016518-0.14867i,-0.025451-0.02728i,-0.003406+0.0085343i,0.0091592-0.0047126i,0.0067978-0.02361i,-0.0051696-0.029481i,-0.016515-0.012009i,-0.018262+0.020236i,-0.0095229+0.049007i,0.0073314+0.06129i,0.025153+0.058228i,0.039349+0.043878i,0.045869+0.016645i,0.037387-0.012111i,0.015634-0.017993i
-0.018734-0.031811i,-0.011737-0.063526i,0.0011997-0.080367i,-0.011683-0.068428i,-0.055768-0.075191i,-0.12201-0.1034i,-0.19-0.10502i,-0.16029-0.080651i,-0.036297-0.070704i,0.038191-0.05938i,0.047922-0.033471i,0.041949-0.027634i,0.018237-0.036797i,-0.0097907-0.03844i,-0.023772-0.028933i,-0.020794-0.011899i,-0.007038-0.0047444i,0.0026021-0.014196i,0.00652-0.023295i,0.0094765-0.030602i,0.0035337-0.04437i,-0.010694-0.049968i,-0.013813-0.039783i
0.021209+0.030579i,-0.01931+0.052679i,-0.12229+0.064212i,-0.22792+0.070677i,-0.23976+0.14111i,-0.14979+0.27572i,-0.023536+0.32722i,0.036131+0.23384i,0.023527+0.11982i,0.034412+0.057097i,0.058505+0.014108i,0.049629-0.0117i,0.026665-0.010372i,0.0084787+0.00064717i,0.0062025+0.012898i,0.01787+0.02221i,0.018793+0.026844i,0.014141+0.031429i,0.020344+0.027454i,0.02002+0.0099675i,0.00088155-0.0027922i,-0.019286+0.0035969i,-0.022596+0.010064i
-0.026411-0.029896i,-0.040952-0.068233i,-0.036391-0.050337i,0.027488+0.046068i,0.17542+0.06937i,0.29267-0.060431i,0.2302-0.15334i,0.087988-0.095448i,0.026921-0.035933i,0.0040572-0.058561i,-0.034565-0.083718i,-0.063448-0.073825i,-0.06512-0.04146i,-0.035657-0.010675i,0.00030866-0.010728i,0.012507-0.02466i,0.013372-0.027148i,0.02154-0.022683i,0.028219-0.021967i,0.014675-0.024131i,-0.011336-0.013433i,-0.017277+0.0070359i,-0.0041534+0.018838i
0.033986+0.082293i,0.09822+0.19374i,0.18892+0.27263i,0.20405+0.1709i,0.020471-0.040042i,-0.22872-0.13733i,-0.27505-0.094458i,-0.15696-0.055227i,-0.086962-0.037481i,-0.073621+0.0077313i,-0.043631+0.044611i,-0.014911+0.047265i,-0.0023364+0.032363i,-0.0047367+0.012204i,-0.017962+0.0069376i,-0.013247+0.016939i,0.0091431+0.014487i,0.020712-0.011222i,0.0083166-0.039678i,-0.017383-0.040028i,-0.031563-0.014898i,-0.024089+0.00087166i,-0.014937-0.00026486i
-0.02135-0.07149i,-0.041389-0.21025i,-0.063249-0.33523i,-0.061468-0.27986i,0.0081395-0.056283i,0.10111+0.11676i,0.1005+0.11186i,0.049143+0.043767i,0.058028+0.015248i,0.096252-0.0086648i,0.08768-0.031973i,0.060141-0.030001i,0.041597-0.021367i,0.017183-0.013229i,0.00044349-0.0088216i,0.00090315-0.024296i,-0.0043255-0.050571i,-0.027075-0.056343i,-0.050755-0.032022i,-0.04858+0.0078397i,-0.015397+0.03671i,0.014406+0.035816i,0.018334+0.020878i
0.0025151+0.061991i,-0.0077214+0.17243i,-0.058087+0.27793i,-0.10288+0.27092i,-0.10214+0.14845i,-0.083377+0.02955i,-0.049593+0.00099892i,-0.027231+0.014475i,-0.039036+0.0074462i,-0.059758-0.0076301i,-0.063616-0.0099209i,-0.048448+0.0027088i,-0.029978+0.016481i,-0.018269+0.020396i,-0.011278+0.014718i,-0.018121+0.0053767i,-0.042924+0.0092912i,-0.057418+0.027134i,-0.035069+0.041428i,0.0064613+0.033185i,0.026032+0.0080484i,0.015131-0.0045307i,0.0033756-0.0038898i
-0.007148-0.058441i,0.037567-0.15294i,0.13231-0.25088i,0.1948-0.23233i,0.17204-0.064025i,0.13009+0.083876i,0.066062+0.1064i,-0.0047581+0.08417i,-0.021993+0.064504i,-0.021212+0.045446i,-0.025614+0.041403i,-0.021644+0.029345i,-0.014173+0.018281i,0.007091+0.028205i,0.021672+0.029654i,0.0068321+0.022558i,-0.0094372+0.027383i,-0.010805+0.033673i,-0.0092479+0.024531i,-0.011906+0.0087789i,-0.01219+0.007199i,-0.00026335+0.01678i,0.010202+0.019728i
-0.017577+0.053664i,-0.093459+0.14128i,-0.22621+0.25185i,-0.27878+0.27966i,-0.17979+0.16891i,-0.067614+0.039375i,0.013621+0.0087253i,0.092405+0.021234i,0.10622+0.0030265i,0.077056-0.0061769i,0.070116+0.0070804i,0.070983+0.012379i,0.069292+0.00056515i,0.063036-0.024724i,0.038366-0.040414i,0.0079575-0.026413i,0.0003026+0.0095719i,0.016854+0.043027i,0.033476+0.051002i,0.036165+0.036272i,0.034362+0.015476i,0.034861-0.0026667i,0.031176-0.010243i
0.023769-0.04491i,0.11105-0.083707i,0.26197-0.11963i,0.35784-0.11718i,0.30344-0.082863i,0.16492-0.059829i,0.044889-0.066598i,-0.0095152-0.073718i,0.00097417-0.052959i,0.02935-0.03476i,0.044241-0.032484i,0.051856-0.033817i,0.04652-0.047857i,0.015846-0.061405i,-0.023082-0.039817i,-0.028829+0.0020074i,0.0093508+0.013567i,0.0522-0.014163i,0.057811-0.045052i,0.032326-0.04953i,0.00967-0.036835i,0.00094167-0.029764i,-0.0050217-0.027694i
-0.029341+0.024262i,-0.097906+0.018778i,-0.21102-0.037573i,-0.29374-0.1083i,-0.28775-0.097546i,-0.19967-0.0080126i,-0.096324+0.053361i,-0.054566+0.037467i,-0.066524+0.00067395i,-0.063867-0.012297i,-0.036494-0.02733i,-0.032242-0.04823i,-0.051996-0.045019i,-0.053989-0.022869i,-0.020567+0.0019865i,0.017572+0.0083856i,0.01515-0.00879i,-0.020266-0.021228i,-0.042476-0.010196i,-0.03206+0.0093573i,-0.0093135+0.016651i,8.9503e-05+0.017416i,0.002183+0.021091i
0.022908-0.016249i,0.07941-0.0054735i,0.16651+0.078394i,0.23688+0.18012i,0.25876+0.18423i,0.23673+0.10078i,0.16634+0.00076864i,0.07658-0.052813i,0.025545-0.046479i,0.0026276-0.037662i,-0.032362-0.036134i,-0.055866-0.02039i,-0.056804-0.0014017i,-0.049617+0.0137i,-0.032489+0.012928i,-0.017896+1.9108e-05i,-0.0062986-0.0045881i,0.012583-0.0027804i,0.029401-0.0079382i,0.028984-0.022381i,0.012369-0.032614i,-0.0028696-0.030678i,-0.0066072-0.021584i
-0.015327+0.031305i,-0.04665+0.027557i,-0.092004-0.057167i,-0.13929-0.18233i,-0.17178-0.22608i,-0.19209-0.18127i,-0.17422-0.071447i,-0.10378+0.039715i,-0.042479+0.066477i,-0.025875+0.058887i,-0.009297+0.070338i,0.01109+0.073812i,0.01234+0.070045i,0.013633+0.064348i,0.022242+0.042852i,0.025453+0.014237i,0.011245-0.011426i,-0.020321-0.030115i,-0.045889-0.03276i,-0.050504-0.021693i,-0.042893-0.0078274i,-0.029974+0.0040389i,-0.016166+0.0099472i
0.011261-0.03314i,0.011995-0.052156i,-0.013019+0.0042309i,-0.039021+0.14258i,-0.017897+0.25467i,0.031078+0.26143i,0.047361+0.18458i,0.033338+0.10701i,0.032021+0.080087i,0.057975+0.063471i,0.074545+0.024293i,0.065391+0.00060654i,0.059459+0.0037605i,0.052586-0.0035113i,0.025153-0.026125i,-0.0070772-0.036103i,-0.02333-0.016208i,-0.021519+0.020223i,-0.0091834+0.046091i,0.0033185+0.051756i,0.013533+0.043089i,0.021677+0.02593i,0.021785+0.0034115i
-0.019986+0.041958i,-0.016193+0.087414i,0.044792+0.089466i,0.14338-0.0066265i,0.17491-0.13544i,0.1232-0.17187i,0.075131-0.12032i,0.0525-0.08347i,0.025836-0.089878i,-0.0078535-0.094685i,-0.026233-0.076279i,-0.020494-0.056183i,-0.0070894-0.044067i,-0.0026685-0.026593i,-0.012864-0.0022497i,-0.026572+0.013363i,-0.032646+0.010256i,-0.028255-0.0016877i,-0.01545-0.010991i,-0.0052583-0.015145i,-0.004347-0.011718i,-0.0090629-0.0042114i,-0.010737+0.0022883i
0.034639-0.049165i,0.068893-0.11116i,0.050234-0.15955i,-0.039172-0.11101i,-0.093343+0.005658i,-0.064406+0.054617i,-0.0277+0.015549i,-0.017898-0.011604i,-0.017843+0.0038298i,-0.017124+0.017979i,-0.019837+0.0094354i,-0.019342-0.0091764i,-0.0078876-0.025195i,0.0038768-0.02615i,0.0070678-0.013572i,-0.0032897+0.0040849i,-0.019181+0.034203i,-0.019837+0.061303i,-0.0084132+0.060642i,0.0010316+0.042541i,0.0074151+0.03081i,0.015329+0.027303i,0.016962+0.020529i
-0.048672+0.039307i,-0.12259+0.11367i,-0.1459+0.18367i,-0.067795+0.15045i,0.00029039+0.023168i,-0.015636-0.050681i,-0.033107-0.007355i,0.00046079+0.050348i,0.041253+0.048958i,0.040663+0.027491i,0.0143+0.03373i,-0.0056212+0.04863i,-0.012404+0.036993i,-0.0099506+0.012014i,-0.0065753+0.0032791i,0.0069369+0.013931i,0.041498+0.020295i,0.071803+0.007903i,0.07236-0.01113i,0.05157-0.023543i,0.03193-0.03214i,0.018353-0.03759i,0.0068159-0.029651i
0.073041-0.0348i,0.17566-0.11325i,0.23454-0.21139i,0.13294-0.21689i,-0.028246-0.075633i,-0.062055+0.072732i,-0.017031+0.05684i,-0.024486-0.035619i,-0.050761-0.050856i,-0.029564-0.011451i,0.02001+0.016249i,0.054937+0.022361i,0.051571+0.013602i,0.024566+0.0023439i,0.0078395+0.0052699i,0.01257+0.011994i,0.017284-0.0016816i,0.0077884-0.020721i,-0.0099671-0.025513i,-0.027302-0.019845i,-0.0352-0.0070698i,-0.033168+0.0020259i,-0.024771+0.0015919i
-0.086278+0.01249i,-0.23191+0.040026i,-0.37528+0.10799i,-0.32727+0.17206i,-0.10529+0.1309i,0.021758+0.0071234i,-0.0037004-0.032882i,-0.021947+0.0092823i,0.00063465+0.013083i,0.017766-0.015443i,0.024686-0.038811i,0.017239-0.06128i,-0.0073106-0.059109i,-0.020473-0.027273i,-0.0033424-0.0065453i,0.019072-0.012143i,0.022773-0.024829i,0.01279-0.028543i,0.00083589-0.016825i,-0.00047017+0.0020243i,0.0072214+0.01333i,0.013527+0.016507i,0.015412+0.016567i
0.093079+0.029678i,0.26365+0.071892i,0.45231+0.09618i,0.44279+0.07536i,0.21905+0.085422i,0.045014+0.12855i,0.033834+0.10876i,0.063667+0.042523i,0.055887+0.0071876i,0.032522-0.0037739i,0.011285-0.017643i,-0.0082315-0.017543i,-0.014335-0.00050175i,-0.0094286+0.0081389i,-0.012032-0.0024322i,-0.028237-0.020972i,-0.047884-0.028088i,-0.053237-0.022531i,-0.038544-0.014241i,-0.02213-0.0077329i,-0.016957-0.0028895i,-0.014782+0.00015738i,-0.0084991-0.0017269i
-0.084186-0.049782i,-0.24306-0.1401i,-0.40631-0.21077i,-0.35828-0.17319i,-0.089087-0.10177i,0.11196-0.091886i,0.072517-0.068115i,-0.033049+0.0075464i,-0.042125+0.04397i,-0.016609+0.019088i,-0.017956-0.0023953i,-0.02513-0.0057596i,-0.020399-0.0014316i,-0.00089475+0.009194i,0.016682+0.013141i,0.015386+0.016408i,0.004553+0.033297i,-0.0023334+0.048652i,-0.0018008+0.04769i,0.0072975+0.04087i,0.022355+0.035784i,0.030942+0.029158i,0.025243+0.019964i
