0.0010376-0.0020428i,0.0012003-0.0042998i,-0.0005611-0.0053313i,-0.0021821-0.0038997i,-0.0020438-0.0011897i,-0.0013344+0.001035i,6.3455e-05+0.0014025i,0.00068069+7.468e-05i,0.0010099-0.00066365i,0.0009262-0.00089262i,0.00054364-0.00025264i,0.00067607+0.00048053i,0.00074753+0.00060737i,7.0556e-05+0.0012122i,-0.00021861+0.0013115i,-0.00024046+0.00070942i,-5.3083e-05-1.7752e-05i,0.0006139-0.0004555i,-0.00025491-0.00063445i,-0.0012696-0.00067538i,-0.00065957-0.0002222i,-0.00032182+0.000305i,0.00012877+0.00044411i
0.0053854-0.003796i,0.0061098-0.001829i,-0.012672-0.0001718i,-0.037253+0.0048897i,-0.035836+0.012086i,-0.015439+0.021845i,0.0013625+0.017971i,0.0006664+0.0025154i,-0.0048714-0.003022i,-0.004186-0.001344i,-0.0037463+0.0021124i,-0.0036479+0.010458i,-5.7646e-05+0.016668i,0.002238+0.013377i,8.7283e-05+0.0059791i,-0.0026007+0.0010249i,-0.0035159-0.0019557i,-0.0029031-0.0049655i,-0.0021238-0.0068502i,-0.0027702-0.0068813i,-0.0036698-0.0048684i,-0.0069921-0.0012829i,-0.010555+0.0016847i
0.0051717-0.021925i,0.01265-0.028608i,0.023126-0.016452i,0.015015+0.0079937i,-0.0087558+0.028133i,-0.026006+0.030519i,-0.028503+0.029504i,-0.01506+0.028613i,-0.0036581+0.018114i,-0.0013045+0.0076261i,-0.0030488+0.0043051i,-0.0084357+0.0032499i,-0.012892+0.0040814i,-0.010296+0.0046316i,-0.0056956+0.0027041i,-0.0044842+0.0013261i,-0.0032388+0.00066597i,-0.00095983-0.00043623i,0.0010291-0.0032493i,0.0019203-0.0060435i,0.0009449-0.0072163i,-0.0010832-0.0076287i,-0.0029845-0.0076574i
-0.0054996+0.0010158i,-0.0064969-0.010073i,-0.0037908-0.016752i,0.0092336-0.020931i,0.0083484-0.032582i,-0.011676-0.027123i,-0.01526-0.005664i,-0.0023361+0.0033491i,0.0062313+0.0010105i,0.0050813-0.00014082i,-0.0012803-0.0035649i,-0.0088924-0.0085912i,-0.013175-0.0090716i,-0.011734-0.0057059i,-0.0060133-0.003099i,-0.00020005-0.0024022i,0.0035311-0.0019178i,0.0065639-0.001551i,0.0079474-0.001364i,0.0062488-0.0023515i,0.0045171-0.0037944i,0.0043618-0.0068167i,0.0045499-0.01031i
0.014489+0.01848i,0.011095+0.043619i,-0.0009141+0.041557i,-0.016755+0.0049922i,-0.019515-0.020379i,-0.012429-0.030891i,-0.011104-0.03039i,-0.0097541-0.0179i,-0.0063378-0.0051158i,-0.0047158-0.00060439i,-0.0025416-0.0021506i,-2.1939e-05-0.0064028i,-0.00098614-0.0094735i,-0.0032983-0.0073862i,-0.0029714-0.0051548i,-0.00079544-0.0056546i,0.0003122-0.0056356i,0.0011583-0.00365i,0.0021394+0.00019872i,0.0037124+0.0020489i,0.0059922+0.0017472i,0.0075678+0.0014558i,0.0079007+0.0016438i
0.0053101-0.013937i,0.016135-0.022216i,0.023504-0.0038696i,0.028994+0.026277i,0.036534+0.027337i,0.045217+0.0088269i,0.0346-0.0085313i,0.0089854-0.010269i,9.5513e-05-0.0016666i,0.0021406+0.0011146i,0.0034928-0.0015559i,0.010065-0.0050064i,0.0151-0.0089667i,0.0128-0.0079014i,0.0082627-0.0033094i,0.0029793-0.00063085i,-0.002247+0.0023389i,-0.0041726+0.0054919i,-0.0026302+0.0060855i,-0.00058385+0.004593i,0.0015396+0.0047457i,0.0045729+0.007193i,0.0079949+0.0095992i
-0.028444-0.0055138i,-0.050833-0.024501i,-0.049537-0.050015i,-0.020944-0.047274i,0.01574-0.014805i,0.027615+0.00011611i,0.015649-0.0017589i,0.004657-0.003181i,0.00069392-0.0046185i,0.0016396-0.0058225i,0.0043988-0.0020042i,0.0068885+0.0041664i,0.0095006+0.0055405i,0.0086939+0.0021251i,0.0049769+1.9775e-05i,0.0050564+0.0013204i,0.0060176+0.0021659i,0.0030949+0.0013232i,0.00053773+0.0012408i,0.00033721+0.0015181i,-0.0010144+0.0028047i,-0.0041643+0.0050025i,-0.0052033+0.0067409i
0.0071598+0.017694i,-0.0080863+0.024007i,-0.027529+0.036059i,-0.039082+0.035116i,-0.055396+0.026352i,-0.051878+0.037276i,-0.022246+0.038468i,-0.0038115+0.017575i,-0.0032978+0.0029749i,-0.0010253+0.0010656i,0.0026246+0.0031233i,0.0033831+0.0085322i,0.0026128+0.01193i,0.0003715+0.010806i,-0.00099142+0.0083219i,0.00051136+0.003187i,0.0013634-0.0035074i,-0.0005598-0.0073729i,-0.0020136-0.0067872i,-0.0024343-0.0028537i,-0.0041251+0.00072907i,-0.0079238+0.002026i,-0.011325+0.0038095i
0.032113-0.035406i,0.079577-0.037386i,0.09807-0.02896i,0.056897-0.0077078i,0.011112+0.014678i,-0.0087917+0.019582i,-0.0049656+0.01399i,0.0057097+0.0079973i,0.0075673+0.0062388i,0.0034427+0.0086289i,-0.0020307+0.007945i,-0.0075416+0.00634i,-0.0074954+0.0096324i,-0.0021348+0.012486i,1.0736e-05+0.01087i,-0.0015827+0.0082797i,-0.0024793+0.0056263i,-0.0015267+0.0016712i,7.8476e-05+3.2735e-05i,0.00096472+0.0010157i,0.00017611-0.00065199i,-0.0022421-0.0047794i,-0.004442-0.007142i
-0.013684-0.022886i,-0.025255-0.06102i,-0.016933-0.083172i,0.0024586-0.083397i,0.0024687-0.077798i,-0.0010477-0.066565i,-0.0021106-0.044006i,0.0015641-0.020618i,0.0082785-0.010297i,0.0053139-0.0049147i,-0.00468+0.0028666i,-0.01277+0.0067902i,-0.014216+0.004944i,-0.010015+0.0019554i,-0.0055679+0.00080768i,-0.0021137+0.003145i,0.002894+0.0051867i,0.0087646+0.0046133i,0.0094527+0.0018105i,0.0046402-0.0012804i,0.00070781-0.0037728i,0.00045187-0.006625i,0.00089737-0.0091104i
0.002328+0.052225i,-0.017901+0.092153i,-0.05557+0.10443i,-0.056749+0.074579i,-0.0060498+0.021944i,0.017313-0.015981i,0.0052584-0.019018i,-0.0033644-0.0069439i,-0.0051133-0.0043983i,-0.0055989-0.0093801i,-0.0024327-0.010471i,0.001473-0.0083023i,-0.00066887-0.0063681i,-0.0048249-0.0034769i,-0.0052056-0.0011018i,-0.0036365-0.0020415i,-0.00053026-0.0021425i,0.0023229-0.00064419i,0.0017021+0.00018617i,-0.00064281+0.00029581i,-0.00023378+0.00076575i,0.0035857+0.0006748i,0.0077535-0.0013836i
0.03626-0.0043469i,0.061532+0.030186i,0.08792+0.058399i,0.089965+0.050573i,0.059644+0.040793i,0.042741+0.04122i,0.032483+0.029321i,0.010531+0.016495i,-0.003025+0.014067i,-0.004596+0.0073458i,-0.0048499-0.0061896i,-0.0054723-0.016318i,-0.0053609-0.016295i,-0.0020393-0.0092619i,0.0012686-0.0043646i,-0.0016643-0.0026677i,-0.0066681+0.0017934i,-0.0066632+0.0080768i,-0.0034858+0.007937i,-0.00092086+0.0033113i,0.0015558+0.0012298i,0.0046434+0.0021339i,0.0072144+0.0037167i
-0.041867-0.038187i,-0.049521-0.10197i,-0.049412-0.13849i,-0.043823-0.086598i,-0.0259-0.00010188i,-0.0092593+0.042927i,-0.0004295+0.034846i,0.003802+0.014354i,0.0058779+0.0070889i,0.010293+0.0080198i,0.011889+0.0071655i,0.0091462+0.0039418i,0.0062568+0.00046791i,0.0017526-0.0012684i,-0.0013886-0.0013873i,-0.00068279-0.00064871i,-0.00058055+0.00042225i,-0.003257+0.001856i,-0.0042427+0.00084973i,-0.0025747-0.0023427i,-0.0033206-0.0024138i,-0.0032505+0.0029252i,-0.0014402+0.0092124i
-0.041243+0.023432i,-0.10632+0.020898i,-0.13591+0.0061727i,-0.10717-0.0041637i,-0.074704-0.0015641i,-0.058175-0.0010004i,-0.037239-0.0013463i,-0.016213-0.0060875i,-0.0074866-0.011445i,-0.0014251-0.008034i,0.0098816-0.001673i,0.019335+0.0031621i,0.019546+0.0045973i,0.010882+0.0041479i,0.003538+0.0036265i,0.0026743+0.00096975i,0.00022061-0.0040926i,-0.005496-0.0075783i,-0.0075317-0.0060214i,-0.0055037-0.0027435i,-0.0030758+0.00042793i,-0.0029164+0.0029243i,-0.0042151+0.0047309i
0.065279-0.016891i,0.1197+0.0079389i,0.13249+0.048826i,0.078894+0.040494i,0.0053045-0.021796i,-0.037194-0.048718i,-0.032874-0.030195i,-0.0094105-0.013385i,-0.0025851-0.0092021i,-0.011576-0.0048619i,-0.016285+0.0031024i,-0.010865+0.0064282i,-0.0044092+0.0031491i,-0.0023124-0.00086545i,-0.0011634-0.0027738i,-0.00037718-0.0028167i,-0.0015368-0.0033803i,-0.0028654-0.0050959i,-0.0019503-0.0045151i,0.0020232-0.0035746i,0.0034295-0.0050505i,-0.00044562-0.006336i,-0.0058269-0.0060469i
0.010227-0.074819i,0.08133-0.11743i,0.13521-0.12977i,0.11861-0.096603i,0.081879-0.047502i,0.067289-0.034437i,0.045473-0.037418i,0.018549-0.024003i,0.0080571-0.01009i,0.00092931-0.0018862i,-0.0093823+0.0078038i,-0.016117+0.017966i,-0.012842+0.020637i,-0.0039995+0.014225i,2.7992e-05+0.0068511i,0.0002668+0.0036315i,0.0038805+0.00077826i,0.0081889-0.0050754i,0.0075936-0.00911i,0.0038583-0.0082884i,0.00073108-0.0047138i,-0.00016207-0.0016346i,-0.00057723-0.00054415i
-0.020902+0.069791i,-0.089696+0.076135i,-0.14278+0.057529i,-0.097891+0.025387i,0.0047422-0.00082235i,0.053503-0.011572i,0.035311-0.0041025i,0.010258+0.012336i,0.0063019+0.016623i,0.0099636+0.0020103i,0.0078981-0.013124i,0.0019204-0.016342i,-0.00041768-0.010382i,0.0018356-0.0031867i,0.0037279-0.0012383i,0.0046538-0.0014573i,0.0057933-0.0021542i,0.0075391-0.0028524i,0.0067055-0.0010556i,0.0037509+0.0014914i,0.0027919+0.0037646i,0.0047421+0.0027334i,0.0081049-0.0015705i
0.050184+0.075324i,0.0415+0.18687i,0.0020402+0.24818i,-0.030526+0.21101i,-0.039693+0.14943i,-0.024107+0.11487i,0.0063304+0.078252i,0.016847+0.036672i,0.012835+0.016812i,0.011969+0.004953i,0.0059751-0.011161i,-0.0045436-0.019687i,-0.010192-0.015938i,-0.010056-0.0069827i,-0.006853-0.0012324i,-0.0038586+0.00089268i,-0.00027571+0.0038658i,0.0044631+0.007876i,0.0067464+0.0089801i,0.0063174+0.0060788i,0.0047073+0.0028028i,0.0018888+0.0020675i,-0.00025568+0.0011173i
-0.046748-0.087061i,-0.020507-0.14817i,0.044263-0.17456i,0.072666-0.12783i,0.032655-0.039569i,-0.0056538+0.01487i,-0.011111+0.013029i,-0.010251-0.0082891i,-0.012468-0.012279i,-0.0058676+0.00060646i,0.007286+0.011519i,0.014534+0.011403i,0.011532+0.00739i,0.0037315+0.0078956i,0.000391+0.0093863i,0.0010884+0.0072249i,0.00047566+0.0055581i,0.00080174+0.0067049i,0.0023844+0.005112i,0.00012399+0.0016774i,-0.0045967+0.0013386i,-0.0076156+0.0044972i,-0.0069341+0.0095037i
-0.10779-0.0012818i,-0.19791-0.11816i,-0.24245-0.21572i,-0.21778-0.20523i,-0.16249-0.15003i,-0.12132-0.099031i,-0.088277-0.045761i,-0.049842-0.013003i,-0.025776-0.0047645i,-0.014217+0.0041788i,0.00080498+0.010974i,0.013612+0.0073693i,0.014123-0.0001556i,0.0066156-0.0049169i,0.0013265-0.0054431i,-0.00012773-0.004378i,-0.0027234-0.002645i,-0.0069526+0.00043378i,-0.0087737+0.0035028i,-0.0070244+0.0047846i,-0.0047113+0.0022041i,-0.0037809-0.001648i,-0.0024861-0.0030282i
0.10994-0.014074i,0.14091+0.050352i,0.13371+0.13948i,0.10256+0.16605i,0.073504+0.101i,0.046388+0.020327i,0.025776-0.0066299i,0.020788+0.00085482i,0.0167+0.0030201i,0.0018584+0.0016689i,-0.011212+0.0058629i,-0.014963+0.012289i,-0.010899+0.013939i,-0.0050146+0.0072543i,-0.0049841+0.0014271i,-0.0064645+0.00049752i,-0.0061631+0.00098439i,-0.0055885+0.0023768i,-0.0036555+0.0042463i,-9.8895e-05+0.0028993i,0.0028701-0.0027795i,0.0020593-0.0093164i,-0.0034853-0.012858i
0.085292-0.11486i,0.25098-0.12946i,0.36115-0.10571i,0.32663-0.10277i,0.22698-0.10202i,0.14724-0.075593i,0.084759-0.052888i,0.03952-0.031229i,0.022031-0.011728i,0.0093977-0.0078337i,-0.0069388-0.00097842i,-0.011076+0.012475i,-0.0028665+0.016475i,0.0043343+0.011441i,0.0064823+0.0060871i,0.0063943+0.0026398i,0.0058257-0.0013295i,0.004152-0.0051165i,0.0013172-0.0076785i,-0.00092616-0.0083775i,0.00014632-0.0066807i,0.0040991-0.00313i,0.0054259-0.00095233i
-0.053371+0.12346i,-0.10735+0.12852i,-0.18456+0.077926i,-0.22865+0.049698i,-0.17465+0.0757i,-0.074936+0.080253i,-0.017861+0.044004i,-0.0082091+0.018181i,-0.004985+0.0090563i,7.614e-05-0.0023856i,-0.0013478-0.014813i,-0.0064041-0.020161i,-0.010405-0.014548i,-0.0087466-0.0037385i,-0.0024009+0.00072255i,0.0007134-0.0028945i,-3.9827e-05-0.0052781i,-0.0021549-0.0051698i,-0.0056338-0.004267i,-0.0068672-0.0010988i,-0.0031308+0.0047327i,0.0041244+0.010124i,0.0124+0.0091956i
0.0596+0.14974i,-0.050245+0.28778i,-0.13166+0.35501i,-0.069769+0.30715i,0.0044144+0.20667i,0.011214+0.12883i,0.0098094+0.080589i,0.0066555+0.035985i,-0.0050138+0.012339i,-0.0050882+0.0058601i,-0.0018597-0.0060742i,-0.0085295-0.014983i,-0.014942-0.010492i,-0.013173-2.8854e-05i,-0.0083584+0.0052538i,-0.0059422+0.0062114i,-0.0043661+0.0070296i,-0.0015972+0.007238i,0.001857+0.0063033i,0.0036076+0.0033962i,0.002615+0.0019775i,0.00089279+0.0051199i,8.4793e-05+0.0066818i
-0.13114-0.15091i,-0.12911-0.19362i,-0.065674-0.21823i,-0.024122-0.23907i,-0.04525-0.21739i,-0.068569-0.13544i,-0.047885-0.05608i,-0.017344-0.021592i,-0.006472-0.011205i,-0.00017033-0.003517i,0.011339+0.0024068i,0.022177+0.0045771i,0.021982+0.00015591i,0.0099931-0.0053074i,0.001774-0.0032904i,0.0027379+0.00087834i,0.0063829+0.00066917i,0.0082974-0.0032229i,0.0079252-0.0078233i,0.0055554-0.010553i,-0.00061136-0.009975i,-0.009388-0.00475i,-0.016252+0.0046163i
-0.1688-0.046647i,-0.20984-0.22236i,-0.18583-0.31079i,-0.15286-0.19305i,-0.10953-0.043247i,-0.055056-0.0023122i,-0.030757-0.0047577i,-0.017757+0.00015271i,-0.0009093-0.0020627i,0.0047481-0.0035154i,0.0087168+0.0014777i,0.013355+0.0027638i,0.011829-0.00098787i,0.006174-0.0054356i,0.0015549-0.0063559i,0.00065196-0.0065217i,-0.001962-0.0085615i,-0.0061401-0.0082153i,-0.0057271-0.0061813i,-0.0024852-0.0041651i,-0.002026-0.0040702i,-0.0036419-0.0050711i,-0.0043521-0.0028053i
0.27453-0.040679i,0.32496-0.066025i,0.28031-0.034929i,0.23706+0.011655i,0.22121+0.0032885i,0.15493-0.026374i,0.065667-0.020513i,0.027041+0.0017767i,0.020579+0.0086596i,0.013429+0.007655i,-0.00015592+0.0084391i,-0.011937+0.01069i,-0.010516+0.01037i,-0.0025182+0.0048383i,-0.0015457+0.00085441i,-0.0048816+0.0022298i,-0.0051232+0.0053842i,-0.0020476+0.0072322i,0.0028527+0.008529i,0.0076005+0.0095531i,0.011981+0.0068191i,0.014233-0.0019618i,0.0093426-0.013274i
0.1193-0.14685i,0.27434-0.047416i,0.31831+0.060718i,0.18204+0.045873i,0.019017+0.0096403i,-0.021559+0.019244i,0.0053949+0.0054324i,0.0023969-0.013941i,-0.006849-0.00478i,-0.0046733+0.0032367i,-0.0051469+0.0035183i,-0.0059633+0.0047144i,-0.0049476+0.00776i,-0.00069593+0.010267i,0.0038396+0.0098376i,0.0060932+0.0079261i,0.0086187+0.0051912i,0.0092118+0.00083795i,0.0078639-0.0016645i,0.0062666+0.00078014i,0.0049083+0.0048505i,0.0051361+0.0054321i,0.0028632+0.0020288i
-0.15105+0.31414i,-0.15151+0.38307i,-0.10324+0.29972i,-0.069329+0.17939i,-0.052269+0.12756i,-0.032074+0.087986i,-0.021998+0.034482i,-0.023304+0.0075242i,-0.025705+0.0011909i,-0.023419-0.0018576i,-0.013737-0.0054835i,-0.00084255-0.0091965i,0.0076904-0.0059922i,0.010302+0.00024665i,0.0069556+0.00096009i,0.0017628-0.0025855i,-0.0010568-0.005788i,-0.0039985-0.0052488i,-0.0076908-0.002666i,-0.012262+0.00032629i,-0.015415+0.0058281i,-0.011803+0.014112i,0.0011699+0.01844i
0.071663+0.17146i,-0.099784+0.21015i,-0.25613+0.17202i,-0.22536+0.083978i,-0.11881-0.01163i,-0.06398-0.041756i,-0.02649-0.011774i,0.0045697-0.0011924i,0.0059474-0.0076622i,0.0013196-0.0058707i,0.0033847-0.002251i,0.0018283+0.0018717i,-0.0043679+0.00089977i,-0.011367-0.0032596i,-0.013227-0.0036937i,-0.010545-0.0017431i,-0.0059951+0.0019598i,-0.0011402+0.0046597i,0.00076865+0.0036624i,-0.00080625+0.00040352i,-0.0054525-0.0018056i,-0.0082924-0.0018986i,-0.004883-0.0025768i
-0.20106-0.41136i,-0.27721-0.44939i,-0.20102-0.28218i,-0.036983-0.089196i,0.054671-0.017939i,0.056537-0.018874i,0.037089-0.016153i,0.024219-0.0092687i,0.024448-0.0051022i,0.028089-0.0057135i,0.0188-0.0043236i,0.0022911+0.0055749i,-0.0078912+0.014339i,-0.0083878+0.015486i,-0.001511+0.010495i,0.0048789+0.0044041i,0.0081754+0.0013863i,0.010329-0.00036783i,0.010502-0.0048607i,0.0082165-0.010871i,0.0033201-0.016501i,-0.0059587-0.018641i,-0.015637-0.011425i
-0.17727+0.0094492i,-0.10145-0.14696i,0.013128-0.30197i,0.047447-0.31316i,0.051926-0.20541i,0.053877-0.094965i,0.027801-0.031025i,0.011763+0.0019913i,0.012545+0.0078236i,0.0058114+0.0054844i,-0.0022917+0.0054888i,-0.00032126+0.00045992i,0.0072707-0.0059872i,0.011982-0.0078747i,0.010482-0.0074639i,0.0030587-0.0067006i,-0.0035204-0.0031646i,-0.0047717+0.0011988i,-0.0037875+0.0038643i,-0.0016336+0.0031387i,0.0014383+0.00044964i,0.0054968-0.00023378i,0.0079113+0.00099505i
0.51736+0.10183i,0.61741+0.066041i,0.37895+0.048849i,0.023664+0.12661i,-0.12416+0.20127i,-0.080301+0.1671i,-0.022909+0.079447i,-0.011507+0.024685i,-0.021381+0.015045i,-0.021623+0.022464i,-0.0080343+0.018025i,-0.00084238-0.00045127i,-0.0051022-0.011752i,-0.010274-0.0098771i,-0.0093864+2.924e-05i,-0.0045272+0.0078045i,-0.0035438+0.007579i,-0.0053506+0.0081992i,-0.003098+0.011446i,0.0036525+0.011929i,0.011993+0.010893i,0.018492+0.0073514i,0.017428-0.0011469i
0.04443-0.19945i,0.079192-0.075328i,0.17907+0.096032i,0.2798+0.12146i,0.23693+0.054226i,0.092191+0.007906i,-0.0059576-0.0082944i,-0.032019-0.011559i,-0.026246-0.0063772i,-0.014324-0.0025145i,-0.0070249-0.00072402i,-0.0047172+0.0070612i,-0.0029323+0.017822i,-0.001096+0.019258i,0.0018037+0.0099947i,0.0052756-0.00076531i,0.0042263-0.0076968i,-0.0012653-0.010123i,-0.0046865-0.010646i,-0.0063096-0.009322i,-0.0098541-0.0050355i,-0.013207+0.0013303i,-0.012677+0.0061612i
-0.46755+0.39464i,-0.52043+0.50577i,-0.39484+0.29787i,-0.28496-0.070721i,-0.25531-0.24308i,-0.19039-0.16492i,-0.083341-0.046776i,-0.01151-0.0022334i,0.010959-0.014189i,0.0012564-0.029278i,-0.012164-0.015484i,-0.0062915+0.0042067i,0.0031612+0.0046364i,0.0030645-0.0035936i,-0.0025025-0.0071585i,-0.0070527-0.0073965i,-0.0052635-0.0071657i,-0.0036254-0.0074995i,-0.0077751-0.0060635i,-0.012929-0.0035382i,-0.016485+0.00042587i,-0.018616+0.0077931i,-0.01328+0.012994i
0.20168+0.084791i,0.14596+0.030308i,0.013405+0.068687i,-0.034004+0.21985i,0.036788+0.2547i,0.10875+0.11965i,0.11075+9.1343e-05i,0.074772-0.034866i,0.040224-0.02598i,0.021795-0.010905i,0.015027-0.0077279i,0.0070816-0.015579i,-0.0021177-0.01895i,-0.006107-0.010613i,-0.0034046+0.001899i,0.0034097+0.010849i,0.01076+0.010249i,0.013104+0.0041924i,0.012055-2.7713e-05i,0.011526-0.0049075i,0.01202-0.012477i,0.01192-0.020125i,0.0081231-0.021485i
-0.016342-0.6436i,-0.072249-0.82555i,-0.00042228-0.6732i,0.19756-0.41794i,0.29631-0.27764i,0.19827-0.18865i,0.052211-0.10185i,-0.015632-0.029831i,-0.0041622+0.014378i,0.02346+0.01479i,0.018544-0.0017185i,0.0027234-0.0018406i,0.0025012+0.0020197i,0.0049364+0.00093472i,0.0061447-0.0016626i,0.0074304-0.0037815i,0.0054956-0.0021323i,0.0033091-0.00075981i,0.0016155-0.0045523i,0.0038018-0.0097495i,0.0091609-0.01462i,0.010401-0.019824i,0.0018238-0.020775i
-0.16793+0.16623i,-0.11175+0.25776i,-0.13313+0.19854i,-0.2994+0.10653i,-0.3711+0.13264i,-0.24463+0.19279i,-0.089362+0.17754i,-0.016215+0.11097i,-0.0039726+0.050323i,-0.012109+0.020321i,-0.0117+0.017797i,-0.0023594+0.023837i,0.0024464+0.025651i,5.0674e-06+0.019156i,-0.0086133+0.0094142i,-0.016312+0.0073813i,-0.01498+0.010432i,-0.007095+0.010952i,0.0010006+0.0095733i,0.0071448+0.011106i,0.012282+0.019168i,0.019075+0.027696i,0.022575+0.025797i
0.52064+0.38209i,0.70691+0.43218i,0.62933+0.40042i,0.43852+0.37876i,0.28634+0.32952i,0.17223+0.20031i,0.09492+0.069718i,0.043993-0.0046226i,-0.006487-0.01947i,-0.024125-0.00086323i,-0.015965-0.00098334i,-0.017327-0.0084747i,-0.014244-0.003233i,-0.0025436-0.00067553i,0.0016465+0.00126i,0.0016587+0.0028592i,0.0010849+0.0010808i,0.0018644-0.0012193i,0.0031328-0.0012905i,0.0015016+0.0029183i,0.0010635+0.010278i,0.0036304+0.015526i,0.0096677+0.010858i
-0.15597-0.24454i,-0.29945-0.29568i,-0.26845-0.34439i,-0.13609-0.44855i,-0.098536-0.48337i,-0.12842-0.34602i,-0.11136-0.16506i,-0.063348-0.055829i,-0.014285-0.011255i,0.016686-0.010376i,0.014441-0.019111i,-0.0014135-0.021466i,-0.012185-0.020062i,-0.012193-0.01242i,-0.0036051-0.0093707i,0.0004055-0.013659i,-0.0025656-0.014847i,-0.0070698-0.011168i,-0.011259-0.0063997i,-0.014314-0.0041472i,-0.023702-0.0040488i,-0.036913+5.4671e-05i,-0.03731+0.0087265i
-0.50949+0.093543i,-0.67089+0.20196i,-0.6208+0.25301i,-0.47218+0.25247i,-0.31094+0.20751i,-0.15536+0.10583i,-0.070702+0.02691i,-0.02157+0.0078005i,0.016654-0.010807i,0.020477-0.018365i,0.026706-0.0052371i,0.035098-0.0058008i,0.023929-0.0033575i,0.01382+0.00897i,0.0089827+0.0096774i,0.0043578+0.0047189i,0.0029311+0.0035079i,0.0045074+0.0044475i,0.0073358+0.0037082i,0.0081471-0.001094i,0.0056099-0.0064944i,0.00055054-0.0081455i,-0.0042632-0.00039323i
0.31444-0.078939i,0.50641-0.21604i,0.52284-0.17981i,0.47348-0.016413i,0.43625+0.049376i,0.31312+0.020654i,0.15137+0.0019217i,0.0389+0.002284i,-0.020918+0.020334i,-0.029561+0.040089i,-0.014573+0.03535i,0.0021535+0.021847i,0.013031+0.0078109i,0.0064277-0.0028271i,-0.0012274+0.00067302i,0.0034153+0.00548i,0.0076603+0.0037369i,0.0087496+0.0010882i,0.0091706-0.0025048i,0.0093575-0.0056586i,0.013055-0.011987i,0.014814-0.024174i,0.0056552-0.03278i
0.24216-0.29228i,0.21656-0.39031i,0.10545-0.37398i,-0.02941-0.30174i,-0.094631-0.17289i,-0.033878-0.042357i,0.05109-0.0031003i,0.059107-0.0053284i,0.035915+0.0098871i,0.015651+0.015025i,-0.0061162+0.019964i,-0.013797+0.031101i,-0.017986+0.027347i,-0.023578+0.018272i,-0.019528+0.010654i,-0.012807+0.0036762i,-0.01039-0.0011654i,-0.010216-0.0011611i,-0.0096974+0.0044442i,-0.0054262+0.011111i,0.00068605+0.0154i,0.0054893+0.013829i,0.004163+0.0059219i
-0.046078+0.39202i,-0.014709+0.60901i,-0.025593+0.54806i,-0.094925+0.34788i,-0.14447+0.22337i,-0.13678+0.1436i,-0.10457+0.064185i,-0.062548-0.0032183i,-0.038209-0.052315i,-0.031212-0.058962i,-0.019055-0.039447i,-0.013098-0.016433i,-0.0011844+0.0032613i,0.016778+0.0033958i,0.016187-0.0041613i,0.0073008-0.003266i,0.0022593-0.0014825i,-0.0016692-0.0010181i,-0.003218+0.00033983i,-0.0027452+0.0026164i,0.00018157+0.0091427i,0.010025+0.018149i,0.022228+0.016574i
-0.11482+0.13669i,-0.1182+0.11517i,-0.070472+0.02443i,-0.010755-0.061769i,-0.022502-0.087246i,-0.078654-0.027761i,-0.073733+0.060357i,-0.032103+0.083305i,-0.014703+0.060818i,-0.010728+0.036779i,-0.0147+0.013852i,-0.022436-0.002344i,-0.023103-0.014075i,-0.019055-0.016609i,-0.011401-0.011163i,-0.0027695-0.0079166i,0.0042137-0.0052994i,0.0077196-0.004394i,0.0036105-0.0057431i,-0.0064305-0.0035739i,-0.015577-0.00032988i,-0.019684+0.0034282i,-0.012637+0.0063966i
-0.30859-0.1951i,-0.51078-0.30711i,-0.45273-0.24764i,-0.20794-0.13447i,-0.020683-0.12446i,0.043354-0.16871i,0.03823-0.17357i,0.042004-0.11664i,0.067456-0.062862i,0.058818-0.03715i,0.031437-0.015141i,0.014771-0.010378i,-0.004426-0.0039632i,-0.010479+0.015165i,-0.0035018+0.018552i,-0.0014131+0.0089413i,-0.00021581+0.00099658i,0.0022326-0.0029505i,0.0028062-0.0023524i,0.00082735-0.0028459i,-0.0055592-0.0049224i,-0.01509-0.0014096i,-0.01866+0.0083985i
0.20296-0.19182i,0.34216-0.21532i,0.35922-0.16523i,0.24998-0.087722i,0.14552-0.059734i,0.061702-0.074034i,-0.030981-0.052621i,-0.080227-0.0092425i,-0.074442-0.00020302i,-0.051275-0.016007i,-0.026556-0.029716i,-0.00054399-0.032661i,0.017967-0.029675i,0.017152-0.025373i,0.0066748-0.015315i,0.00056029-0.006004i,-0.0035927+0.00030536i,-0.0051466+0.005249i,-0.001868+0.0012748i,-0.00013737-0.010595i,0.0014334-0.020929i,0.0014694-0.025169i,-0.0025781-0.017662i
0.25138-0.18891i,0.41261-0.27995i,0.35686-0.26371i,0.17565-0.12819i,0.10164+0.036788i,0.15716+0.10868i,0.2018+0.071925i,0.15336+0.037384i,0.081788+0.050083i,0.046935+0.045732i,0.025367+0.025968i,0.014597+0.024649i,0.0097042+0.01665i,-0.0058591+0.0043988i,-0.011787+0.0030703i,-0.0031751+0.0013433i,0.0043956+0.00022044i,0.0043331+0.0014638i,-9.9942e-06+0.0011643i,0.0024188+0.0012897i,0.0061496+0.0015124i,0.004752-0.00037645i,-0.0016858-0.0062576i
