0.0024782-0.0021728i,0.00079173-0.0016443i,-0.00081909-0.00088157i,-0.0016416-0.00016521i,-0.00052955-0.00034156i,0.00039446-0.0008775i,0.00019506-0.0009607i,0.00022227-0.0005679i,0.00041654-0.00091657i,0.00068349-0.0015097i,0.00013511-0.0013554i,-0.00062754-0.00059455i,-0.00029367+0.00047124i,-0.00021964+0.00061746i,-0.00058319+0.00053363i,-0.00041749+0.00065165i,0.00016971+0.00056259i,0.00013144+0.00058714i,0.00054693+0.00081234i,0.0012527+0.00015083i,0.00028395-0.00022459i,-0.00061464+7.9802e-05i,-0.00063356+0.00046645i
-2.5914e-05-0.0012098i,0.00027008-0.0019664i,0.0011513-0.0020746i,0.0010706-0.0019011i,0.0010469-0.0015439i,0.00091819-0.0012742i,0.0004726-0.0013038i,0.00016875-0.00090775i,-0.0001422-0.0010853i,-0.00025903-0.00086298i,-0.0013502-0.00096903i,-0.0018603-0.0015097i,-0.00099767-0.0013359i,-0.0010424-0.0017746i,-0.00087888-0.0018602i,-0.00023039-0.0015883i,-0.00023764-0.001046i,8.9483e-05-0.00043106i,0.00041375+3.3523e-05i,0.00022596+0.00035924i,-0.00013074+9.5993e-05i,-0.00023934+0.00035118i,-0.00089625+0.0002489i
0.0019628+0.00090598i,0.0013313+0.0013458i,0.0011061+0.0018954i,0.00088921+0.0024656i,0.00043254+0.0030159i,-0.0001834+0.002483i,-0.00040975+0.0012014i,-0.00045083+0.00067137i,-0.00073078+0.00028463i,-0.00041967-3.3886e-05i,-0.00077249-0.00015184i,-0.00123-7.4131e-05i,-0.00011596-0.00020352i,0.00021827-0.00030799i,0.0001031-0.00062612i,-0.00026404-0.0010727i,-0.00057729-0.001428i,-0.00079844-0.0012509i,-0.00098104-0.00092145i,-0.00027383-0.0003091i,-0.00023226-0.00076306i,-0.001345-0.0018149i,-0.0013562-0.00095769i
0.0012531+0.0013877i,0.0013376+0.00073182i,0.0021632+0.00015426i,0.0026475-0.00042138i,0.0014509-0.00064998i,0.00079526-0.0010604i,0.00086874-0.0014027i,0.00046882-0.0011193i,0.00034792-0.0010936i,8.9118e-05-0.0009005i,-0.00012348-0.00047687i,-5.8667e-05-0.00050618i,0.00034172+0.00035768i,0.00047393+0.0011901i,-6.3168e-05+0.00090507i,-0.0003975+0.00057115i,-0.0006274+0.00053237i,0.00029557+0.00042742i,0.00082028+0.00016647i,0.00018578+9.1475e-05i,-0.0004626+0.00010573i,-0.00087046-7.5286e-05i,-0.00069452+0.00011657i
-0.00201-0.0030254i,-0.0030306-0.0018029i,-0.0035687-0.00015289i,-0.0026351+0.001713i,-0.00088405+0.0028233i,0.0011548+0.0019851i,0.0011127+0.00038633i,0.00095829-0.00052925i,0.00078718+0.0001205i,5.4561e-05+0.0013317i,0.00040585+0.0012816i,0.00089426+0.00025161i,0.0010064+3.4771e-05i,0.0011375+0.00072933i,0.0012116+0.0010562i,0.00084986+0.00046185i,0.00019013+0.00023398i,-0.000215+0.00025317i,0.00099809+0.0007905i,0.0014655+0.0014451i,0.00069874+0.0017456i,2.044e-05+0.001435i,-0.00083184-0.00034973i
-7.7598e-05+0.00087882i,0.00014667+0.0012204i,0.00059516+0.0010582i,0.0014027+0.0010522i,0.00085958+0.0016779i,0.00022243+0.00076417i,0.00087546-0.0002534i,0.00079771-0.00053798i,0.00011361-0.0008336i,-0.00031444-0.0016212i,9.8227e-05-0.0016633i,0.00031803-0.0014318i,1.1613e-05-0.0017009i,-0.00031489-0.0015113i,-0.0013432-0.00083364i,-0.0022981-0.00047478i,-0.0022615-6.3012e-05i,-0.0014672+4.283e-05i,-0.00060494-0.00013164i,3.8896e-05-4.7102e-06i,0.00029242+2.9378e-05i,-0.00032692-0.00090365i,-0.0012209-0.0014929i
-0.0014423-0.00091091i,-0.0011222-0.00012361i,-0.0010478+0.001594i,-0.00011299+0.0022023i,0.00092861+0.0025124i,0.00091667+0.0017534i,0.00052344+0.00065999i,0.00076766+0.00015965i,5.7951e-05-0.00086578i,-0.00092839-0.0013816i,-0.0011604-0.0010835i,-0.00078738-0.0010798i,-0.00068309-0.0016853i,-0.00059383-0.0020341i,0.00047823-0.0013794i,0.00074441-0.00056432i,-0.00021646-0.00087958i,-0.00062505-0.00089207i,-0.00054437+9.4689e-05i,-0.00030168+0.00030661i,0.0001628+4.8659e-05i,0.00032578+0.0004664i,0.00039012+0.00075853i
-0.0032784-0.0015052i,-0.003064-0.00095054i,-0.0033024+0.00097526i,-0.0029946+0.0023429i,-0.0015333+0.0025184i,0.00052234+0.00069183i,0.0012715-0.00013893i,0.0012041+0.00033426i,0.00058911-0.00091117i,0.00023138-0.0010908i,-0.00037133+0.00036224i,-4.0163e-05+0.00087084i,0.00081794+0.00079532i,0.00128+0.00056855i,0.0015199+0.00036897i,0.0012456-0.00014982i,0.0011308-0.0010367i,0.0010237-0.0012554i,0.00084839-0.00060368i,0.00016593-0.00047473i,0.00016974+9.8623e-06i,0.00076645-9.808e-05i,0.00024841-5.8218e-05i
0.0029885+0.00056491i,0.0030768-0.00076681i,0.0033343-0.0012629i,0.0035542-0.00088398i,0.0033596-0.00070789i,0.001985-0.00075997i,0.0008277-0.00044062i,6.8118e-05-0.00050295i,-0.00025362-0.0011784i,-0.00041626-0.0016156i,-0.00062414-0.00085692i,-0.00033554+1.9416e-05i,0.00055233+0.00060913i,0.0010164+0.0010438i,0.0013+0.0013675i,0.00090111+0.0012989i,0.00031069+0.00093151i,0.00019308+0.00064109i,9.1385e-05+0.0010591i,0.00013358+0.00036631i,-0.0003061-0.0011346i,-0.00038386-0.0012279i,-0.00032819-0.0005686i
0.00070174-0.0032613i,-0.00013182-0.0018967i,-0.0021383-0.00065053i,-0.0029808+0.00050323i,-0.0020246+0.0015828i,-0.00047609+0.0022422i,0.00015047+0.0018577i,6.5301e-06+0.0010852i,-0.0010314+0.00062167i,-0.0017132-0.00015982i,-0.0015587-0.00086902i,-0.00028131-0.00042176i,0.0004184+0.0011651i,0.00032871+0.0020915i,0.00034105+0.0015624i,0.00096032+0.00073378i,0.00091907+0.00080014i,0.00023619+2.2678e-06i,-0.00063937-0.0012962i,-0.0010867-0.00081258i,-0.00088757+0.00034805i,-0.0011673+0.0005507i,-0.00038262-6.218e-05i
-0.0021508+0.0034432i,0.00013454+0.0031293i,0.00093599+0.0039028i,0.0016606+0.0043916i,0.0030627+0.0026157i,0.003298-0.00022202i,0.0015766-0.00085898i,0.000322-0.0002295i,2.3941e-05-0.00068646i,0.00033408-0.0011812i,0.00068946-0.0012104i,0.00017563-0.001465i,-0.0010167-0.0017933i,-0.0014535-0.0015647i,-0.0010305-0.00088426i,-0.00059596-0.0012188i,-0.00023579-0.0013502i,0.00011628+0.00025778i,0.00011341+0.00093693i,-4.1081e-05+0.00073531i,-0.00012086+0.00034459i,0.00040178-0.0010058i,0.0010811-0.0010781i
