-0.0045769-0.00024491i,-0.0038324-0.00063681i,-0.0054071+0.00094996i,-0.0051868+0.002486i,-0.0024842+0.0031269i,-0.001147+0.0025628i,-0.00039891+0.0022631i,0.0010396+0.0025722i,0.00162+0.0019061i,0.0013196+0.0012202i,0.0011605+0.00084863i,0.0010265+0.00053077i,0.00065265-0.00028948i,0.00083214-0.00041911i,0.00038661+0.00017124i,0.00028821+0.00039995i,0.00047084+0.00068847i,0.00019708+0.00039604i,5.8269e-05-0.00023219i,-9.622e-05-0.00029764i,0.00057386+0.00021396i,0.0008728-4.8909e-05i,0.00061128+9.3733e-05i
-0.060184-0.0064195i,-0.20119-0.027133i,-0.36965-0.089507i,-0.40539-0.16548i,-0.27524-0.18081i,-0.11628-0.12179i,-0.051861-0.056001i,-0.069651-0.020436i,-0.081344+0.0034911i,-0.064755+0.010445i,-0.051774+0.012263i,-0.037049+0.016778i,-0.022684+0.0061498i,-0.020193+0.00050059i,-0.012084+0.0081754i,0.0075691+0.0033691i,0.024107-0.0096035i,0.027863-0.0060192i,0.023714+0.0082631i,0.018904+0.011679i,0.015069+0.0040505i,0.012948-0.0013828i,0.011499-0.001262i
-0.035958-0.063318i,-0.097972-0.20455i,-0.18611-0.36488i,-0.24292-0.33858i,-0.18183-0.14303i,-0.02183-0.014707i,0.07299-0.0054844i,0.063203-0.015402i,0.037185-0.018261i,0.016137-0.030758i,-0.004491-0.037033i,-0.015206-0.033077i,-0.016687-0.03093i,-0.022566-0.033721i,-0.04029-0.035988i,-0.058419-0.034149i,-0.072519-0.034626i,-0.085182-0.031852i,-0.081965-0.015572i,-0.060203+0.0032209i,-0.037473+0.012925i,-0.019974+0.01226i,-0.0029281+0.0025785i
0.05938-0.063363i,0.20358-0.12903i,0.38654-0.13881i,0.41763-0.068973i,0.25563-0.01249i,0.075004-0.027749i,-0.012751-0.050922i,-0.022483-0.029223i,-0.006488-0.0039693i,-0.0018812-0.002881i,-0.0059291-0.019195i,-0.010319-0.034348i,-0.0086063-0.026296i,0.0057747-0.013219i,0.01507-0.0085813i,0.0094744+0.011068i,0.0028314+0.046796i,0.0058169+0.066634i,0.013279+0.050235i,0.011902+0.014594i,0.0017267-0.0077336i,-0.0063761-0.0081479i,-0.0078511-0.00098049i
0.11074+0.064045i,0.25935+0.21612i,0.39148+0.36112i,0.39106+0.29455i,0.2126+0.090324i,-0.036316+0.007271i,-0.12726+0.049895i,-0.052593+0.070805i,0.0084056+0.04063i,0.016642+0.022134i,0.026178+0.019862i,0.036962+0.0080753i,0.030359-0.0055283i,0.018983-0.0046975i,0.023605-0.00098603i,0.038328-0.013519i,0.049203-0.038231i,0.050608-0.059462i,0.037848-0.055756i,0.020663-0.029111i,0.0094755-0.0076904i,0.0029343+0.003324i,0.00238+0.017462i
-0.081579+0.1333i,-0.23216+0.26795i,-0.34522+0.31094i,-0.27426+0.20012i,-0.10153+0.077162i,0.028937+0.066294i,0.097332+0.077185i,0.090124+0.0061129i,0.029317-0.054002i,-0.0054143-0.042014i,-0.0021806-0.0054557i,0.011866+0.022425i,0.018421+0.018253i,-0.0066796-0.0039871i,-0.047435-0.0080835i,-0.065981-0.0028318i,-0.063586-0.010501i,-0.052412-0.02013i,-0.033548-0.017489i,-0.013518-0.0079069i,-0.00045193-0.0014626i,0.0017937-0.0049674i,-0.0050043-0.01227i
-0.15167-0.11683i,-0.30841-0.29491i,-0.40338-0.38948i,-0.32896-0.24356i,-0.10692-0.055143i,0.10414-0.058961i,0.12517-0.13361i,0.017354-0.10151i,-0.03839-0.012003i,-0.029606+0.031382i,-0.024842+0.03288i,-0.025669+0.037552i,-0.0079575+0.04306i,0.014723+0.024493i,0.016033-0.0022407i,0.00095327-0.0044104i,-0.0054135+0.018915i,0.0024784+0.040633i,0.0079736+0.034441i,0.0021663+0.0089307i,-0.0029616-0.0071726i,-0.004811-0.011192i,-0.014749-0.014326i
0.16415-0.14757i,0.34784-0.25093i,0.42206-0.24823i,0.27815-0.11751i,0.090079-0.021929i,-0.030149-0.062712i,-0.0992-0.10472i,-0.073342-0.054619i,0.0029646-0.016059i,0.027752-0.022067i,0.015647-0.023534i,0.0019191-0.022289i,0.00099687-0.011668i,0.033395+0.0039377i,0.073629-0.0061935i,0.079068-0.032784i,0.049711-0.045311i,0.011204-0.032313i,-0.0074261-0.0020046i,0.004432+0.020393i,0.022563+0.018315i,0.026127+0.0074961i,0.023693+0.0017574i
0.114+0.21894i,0.19219+0.44499i,0.21545+0.54039i,0.15489+0.36813i,0.028795+0.15037i,-0.077673+0.11325i,-0.08017+0.14186i,-0.029845+0.08539i,-0.015235-0.0070829i,-0.025245-0.048478i,-0.020941-0.047703i,-0.0094482-0.043764i,-0.013245-0.038241i,-0.031524-0.016605i,-0.036138+0.017269i,-0.013002+0.040047i,0.01576+0.040713i,0.033867+0.029686i,0.044403+0.016737i,0.039357+0.007897i,0.023742+0.0067566i,0.019469+0.0087402i,0.026441+0.0055466i
-0.25437+0.056667i,-0.48414+0.088143i,-0.57064+0.085061i,-0.42447+0.055862i,-0.20909+0.042313i,-0.046465+0.06386i,0.053821+0.079667i,0.065907+0.067274i,0.040129+0.066682i,0.040125+0.058339i,0.041501+0.024608i,0.029839+0.0024518i,0.0038568-0.0030724i,-0.035811+0.004115i,-0.057565+0.024644i,-0.046522+0.041898i,-0.017608+0.041009i,0.0072204+0.016271i,0.0078109-0.014025i,-0.011565-0.018967i,-0.023263+0.00022364i,-0.013638+0.020893i,0.0027515+0.028956i
0.03983-0.28239i,0.043027-0.5311i,-0.0091516-0.62553i,-0.086847-0.43678i,-0.078952-0.17036i,0.012038-0.088097i,0.064274-0.14327i,0.060482-0.15229i,0.062325-0.10094i,0.058344-0.057621i,0.03719-0.022196i,0.027489+0.0076469i,0.025123+0.011046i,0.020561-0.0049944i,0.011183-0.022943i,-0.016403-0.034007i,-0.056003-0.035542i,-0.080663-0.023501i,-0.072014-0.0028747i,-0.036429+0.0056733i,-0.0083962-0.00017984i,-0.011002-0.0030155i,-0.021765+0.0033963i
0.22959+0.11716i,0.43173+0.14305i,0.50887+0.029482i,0.39694-0.13416i,0.23602-0.16586i,0.11971-0.097809i,0.024234-0.055532i,-0.043136-0.042534i,-0.08003-0.036509i,-0.103-0.014429i,-0.098112+0.025346i,-0.063579+0.044045i,-0.021541+0.025779i,-0.0036724-0.013274i,-0.018265-0.037114i,-0.032763-0.029863i,-0.02721-0.012264i,-0.01581-0.0017937i,-0.013029+0.0013875i,-0.019135+0.0036826i,-0.020553+0.0056418i,-0.013172-0.0039384i,-0.012664-0.019661i
-0.19282+0.14105i,-0.24836+0.26946i,-0.10808+0.31478i,0.073625+0.18178i,0.061005-0.017944i,-0.051884-0.035358i,-0.065945+0.092997i,-0.011748+0.14641i,0.0042535+0.1114i,-0.0035812+0.061031i,-0.017577+0.016151i,-0.043978-0.0026531i,-0.044995+0.001973i,-0.017749+0.0022027i,0.00015237-0.0038537i,0.011838-0.0093796i,0.026034-0.013242i,0.023183-0.011358i,0.0025961-0.0013031i,-0.015502+0.013549i,-0.020642+0.022064i,-0.013931+0.021407i,-0.00091083+0.016818i
0.015191-0.21707i,0.0090995-0.23244i,-0.052107+0.00086652i,-0.13443+0.25419i,-0.18295+0.25527i,-0.17748+0.10956i,-0.084945+0.0035998i,0.018203-0.047606i,0.054329-0.072557i,0.054006-0.079249i,0.040889-0.083635i,0.019927-0.073015i,0.0078819-0.043979i,0.02005-0.014508i,0.05164-0.0056857i,0.063809-0.017074i,0.050829-0.020533i,0.046435-0.0070898i,0.058561+0.0020473i,0.061388-0.013206i,0.036479-0.030765i,0.0034938-0.015392i,-0.0071762+0.014587i
0.17829+0.19946i,0.16125+0.3318i,-0.017996+0.30418i,-0.089985+0.17127i,0.058402+0.098031i,0.16247+0.017602i,0.095633-0.077348i,0.0047238-0.088941i,-0.016352-0.041714i,0.0024553+0.0042854i,0.038416+0.026026i,0.071969+0.0090012i,0.06585-0.020417i,0.02123-0.019832i,-0.012637+0.010938i,-0.010056+0.043491i,0.0080589+0.057068i,0.033633+0.040125i,0.051221+0.0025064i,0.045043-0.020802i,0.035263-0.023952i,0.027909-0.031272i,0.0095282-0.034369i
-0.38434+0.040601i,-0.63317-0.12865i,-0.55883-0.41908i,-0.19291-0.52825i,0.097938-0.39717i,0.16961-0.20077i,0.089418-0.048592i,0.013746+0.031095i,0.013917+0.057741i,0.033325+0.052566i,0.036839+0.039665i,0.029841+0.028499i,0.019384+0.011169i,-0.0043497-0.0017074i,-0.039436+0.011346i,-0.053949+0.032622i,-0.051718+0.034063i,-0.057907+0.024891i,-0.060012+0.018527i,-0.04087+0.014643i,-0.01357+0.011233i,0.003323+0.0030081i,0.0042097-0.007863i
0.16464-0.53298i,0.45832-0.87543i,0.63199-0.83424i,0.3688-0.43737i,-0.050663-0.094535i,-0.19628+0.036055i,-0.10944+0.038508i,-0.031093+0.011255i,-0.03012-0.013057i,-0.056175-0.029201i,-0.075216-0.023918i,-0.06457+0.010294i,-0.022164+0.040262i,0.015846+0.023111i,0.012363-0.029503i,-0.029405-0.062799i,-0.066937-0.059538i,-0.075573-0.036292i,-0.054425-0.0070025i,-0.02701+0.007034i,-0.016729+0.012894i,-0.0072051+0.026089i,0.0066535+0.026371i
0.56604+0.44779i,0.92309+0.95421i,0.87482+1.2215i,0.4656+0.94916i,0.12436+0.51172i,0.013809+0.23493i,0.02721+0.087032i,0.033161+0.034549i,0.01905+0.018639i,0.0071125-0.0041127i,0.0049632-0.015577i,0.013781-0.022525i,0.011167-0.02234i,0.0082292-0.013718i,0.014189-0.022981i,0.010161-0.032869i,0.005918-0.019576i,0.0067021-0.0064406i,0.0043444+0.0036132i,0.0073704+0.016356i,0.017553+0.013237i,0.018584-0.0059037i,0.010236-0.019756i
-0.71861+0.47803i,-1.359+0.79808i,-1.4737+0.79007i,-0.76675+0.4288i,-0.010654+0.027808i,0.18675-0.13498i,0.088945-0.074114i,0.041712-0.025863i,0.036618-0.050771i,0.020175-0.053657i,0.014034-0.023988i,0.0025121-0.010007i,-0.02024-0.017207i,-0.022959-0.013406i,0.010559+0.0083403i,0.056622+0.003777i,0.075347-0.026525i,0.062187-0.036504i,0.032038-0.022177i,0.0017409-0.0072099i,-0.016745-0.0042696i,-0.026537-0.0039171i,-0.024974-0.0012537i
-0.24924-0.93451i,-0.43131-1.7196i,-0.47354-1.8827i,-0.39391-1.1693i,-0.29013-0.40731i,-0.19539-0.11042i,-0.10722-0.069466i,-0.032022-0.10448i,-0.016643-0.10082i,-0.021436-0.028192i,-0.022136+0.030024i,-0.018638+0.072648i,0.014118+0.09205i,0.029394+0.060903i,0.0049166+0.0328i,-0.014008+0.031616i,-0.018996+0.025103i,-0.017185+0.018406i,-0.0003855+0.017957i,0.016393+0.01443i,0.02033+0.01877i,0.029297+0.029065i,0.041834+0.030209i
1.0058+0.063411i,1.8273+0.063472i,1.9179+0.01929i,1.0401+0.029256i,0.19069+0.18583i,0.00064844+0.23992i,0.058363+0.069209i,0.031164-0.015668i,0.025067+0.023846i,0.047358+0.017083i,0.027279-0.018135i,-0.0015321-0.025411i,-0.018779-0.010185i,-0.032191+0.0090744i,-0.041268+0.019124i,-0.040236+0.033942i,-0.026452+0.05309i,-0.015531+0.045904i,-0.010545+0.025712i,0.0037571+0.018646i,0.018558+0.0082902i,0.01274-0.0075014i,9.5202e-06-0.010503i
-0.39282+0.89385i,-0.6119+1.6735i,-0.50829+1.7988i,-0.095717+1.0024i,0.20197+0.1407i,0.20025-0.148i,0.06555-0.056033i,-0.033328+0.10605i,-0.04022+0.16977i,-0.033651+0.11296i,-0.035012+0.042329i,-0.034459-0.018777i,-0.059711-0.062112i,-0.060982-0.055264i,-0.017503-0.041074i,0.014899-0.061174i,0.019753-0.090525i,0.013117-0.10021i,-0.0075383-0.081015i,-0.028985-0.041722i,-0.029413-0.0093551i,-0.023719+0.0059288i,-0.017739+0.01381i
-0.65254-0.63682i,-1.3101-1.0256i,-1.5263-0.95604i,-1.033-0.51219i,-0.49499-0.26328i,-0.34317-0.19114i,-0.25346-0.038693i,-0.084828+0.0038483i,-0.022875-0.063768i,-0.032121-0.048972i,-0.0042985+0.0070146i,0.044784+0.01895i,0.078931-0.0051784i,0.06904-0.029637i,0.030834-0.027451i,0.006812+0.0065691i,0.013153+0.050807i,0.044758+0.070594i,0.070119+0.047579i,0.05935+0.010775i,0.034135-0.0011704i,0.032562-0.0020427i,0.03737-0.0078422i
0.70795-0.30736i,1.2057-0.73334i,1.1425-0.91506i,0.49064-0.49705i,-0.012249+0.1306i,-0.053968+0.34307i,0.02906+0.14062i,0.032891-0.089524i,0.00053086-0.17421i,-0.0085436-0.14729i,-0.0064566-0.080967i,-0.00090696-0.013988i,0.013989+0.019521i,0.0034749+0.021617i,-0.020673+0.038144i,-0.017186+0.069938i,0.00020195+0.085805i,0.0089884+0.073273i,0.0065644+0.035637i,-0.014364+0.00093194i,-0.037187-0.0068122i,-0.035366-0.0014896i,-0.023266-0.0024286i
0.0018358+0.60196i,0.23132+1.0877i,0.52665+1.0984i,0.60275+0.53672i,0.50657+0.033703i,0.41589-0.11546i,0.26658-0.12177i,0.097621-0.025951i,0.047816+0.090612i,0.027691+0.065758i,-0.044318-0.0090479i,-0.10454-0.014522i,-0.11215+0.014477i,-0.077418+0.024692i,-0.039935+0.0052357i,-0.037588-0.038376i,-0.066302-0.085675i,-0.10335-0.10375i,-0.11782-0.07787i,-0.088615-0.036161i,-0.039454-0.011577i,-0.003875-0.00082593i,0.011661+0.0067404i
-0.3785-0.20742i,-0.77007-0.19463i,-0.88339-0.057395i,-0.5629-0.07502i,-0.28043-0.3027i,-0.24088-0.37018i,-0.14398-0.18967i,0.0011092-0.054234i,0.01543-0.018373i,-0.0264+0.0027985i,-0.030768-0.0087908i,-0.011999-0.030083i,0.009651-0.025451i,0.015407-0.017225i,0.0013756-0.018543i,-0.0045395-0.0057449i,0.017286+0.030258i,0.054658+0.06767i,0.088209+0.071328i,0.099826+0.035234i,0.088155+0.0028088i,0.069054+0.0019161i,0.054128+0.014665i
0.22447-0.10554i,0.27654-0.35052i,0.12082-0.48981i,-0.10531-0.24758i,-0.1745+0.14164i,-0.11303+0.28774i,-0.054105+0.21685i,-0.051242+0.10694i,-0.077936+0.0089473i,-0.045573-0.046504i,0.030677-0.055955i,0.059995-0.061477i,0.017866-0.062116i,-0.044286-0.033254i,-0.052886+0.015642i,-0.017509+0.048421i,-0.0083446+0.059252i,-0.013377+0.066055i,0.0085811+0.065937i,0.034835+0.052388i,0.039282+0.039043i,0.024344+0.037719i,0.0041225+0.041486i
-0.072676+0.093315i,0.038536+0.16716i,0.25263+0.17093i,0.37864+0.097161i,0.39499+0.0076101i,0.31667-0.079864i,0.072454-0.14197i,-0.159-0.12032i,-0.1933-0.084358i,-0.13423-0.068564i,-0.091068-0.01162i,-0.060307+0.026482i,-0.056896-0.015837i,-0.073329-0.071953i,-0.076654-0.077593i,-0.07466-0.05244i,-0.0853-0.038431i,-0.088119-0.038247i,-0.060114-0.021544i,-0.014413+0.011887i,0.013503+0.027007i,0.0061869+0.014235i,-0.016867-0.0047587i
0.10513-0.11024i,0.11846-0.070549i,0.066799+0.046289i,-0.012527+0.027403i,-0.12867-0.17342i,-0.23253-0.34482i,-0.18665-0.41244i,-0.059848-0.47918i,0.0042332-0.49039i,0.00018563-0.35831i,-0.014289-0.19326i,0.006655-0.098835i,0.047197-0.099556i,0.039998-0.1417i,-0.013521-0.13215i,-0.034701-0.087731i,0.016577-0.077175i,0.079622-0.093609i,0.083791-0.09515i,0.027894-0.065784i,-0.031423-0.0094789i,-0.032812+0.040989i,0.002854+0.046907i
0.0097678+0.25382i,-0.01488+0.34361i,-0.055942+0.27279i,-0.068529+0.17721i,-0.034164+0.21301i,0.07072+0.27567i,0.24344+0.21859i,0.38438+0.064412i,0.42079-0.082265i,0.35479-0.16871i,0.22824-0.18246i,0.14121-0.13276i,0.12712-0.083889i,0.11102-0.069162i,0.059738-0.054846i,-0.0017812-0.024741i,-0.062164+0.019193i,-0.10144+0.068117i,-0.097363+0.087423i,-0.06462+0.060758i,-0.036688+0.029246i,-0.015505+0.027663i,0.0051463+0.030655i
-0.24091-0.19389i,-0.3605-0.30202i,-0.27435-0.28392i,-0.0079633-0.14831i,0.25974-0.041207i,0.37765+0.015119i,0.31558+0.12259i,0.24744+0.28576i,0.28468+0.34612i,0.3135+0.23459i,0.25779+0.094915i,0.18836+0.036671i,0.16947+0.017948i,0.14536-0.013815i,0.078664-0.02326i,0.02491+0.022302i,0.00017804+0.078956i,-0.018359+0.10449i,-0.0055635+0.099021i,0.041193+0.06066i,0.052936+0.010319i,0.0063349-0.0001396i,-0.027822+0.02928i
0.33094-0.13251i,0.48598-0.22205i,0.37834-0.23614i,0.05273-0.18882i,-0.22015-0.18582i,-0.30909-0.2375i,-0.26235-0.26905i,-0.19367-0.2583i,-0.15667-0.17384i,-0.10127-0.02597i,-0.023992+0.056623i,0.02925+0.054391i,0.065415+0.023966i,0.077852-0.015124i,0.05129-0.030965i,0.028781-0.033662i,0.024007-0.080771i,0.0064498-0.14398i,-0.018478-0.1275i,-0.016902-0.037574i,0.012177+0.02943i,0.018858+0.039409i,-0.0047784+0.037767i
-0.085658+0.33742i,-0.08871+0.55013i,-0.027848+0.52723i,0.03291+0.32831i,0.07648+0.23067i,0.16049+0.20833i,0.26066+0.074265i,0.33067-0.05577i,0.36387-0.029315i,0.2944+0.043745i,0.12+0.091684i,-0.0072687+0.17074i,0.0039755+0.2199i,0.06086+0.15549i,0.0456+0.046988i,-0.02383-0.015757i,-0.071674-0.032963i,-0.062405-0.025806i,-0.038189+0.0014556i,-0.049976+0.044368i,-0.072367+0.079442i,-0.071893+0.07278i,-0.060681+0.033338i
-0.2011-0.26513i,-0.36414-0.36072i,-0.33475-0.28392i,-0.067546-0.17021i,0.13089-0.17568i,0.094606-0.14191i,0.042349+0.051118i,0.097885+0.21792i,0.15196+0.22602i,0.13681+0.14486i,0.078677+0.055715i,0.037741-0.00060931i,0.047577-0.019568i,0.0494-0.043579i,-0.013561-0.076588i,-0.079385-0.069182i,-0.056367-0.034481i,0.03101-0.025903i,0.092344-0.046283i,0.087471-0.071085i,0.038684-0.07895i,-0.011029-0.073621i,-0.045783-0.064174i
0.32173+0.018067i,0.53297-0.06533i,0.54999-0.1511i,0.33618-0.12392i,0.092964-0.020972i,-0.031564+0.045914i,-0.033592+0.051296i,-0.04256-0.0035651i,-0.14859-0.025994i,-0.18543+0.051504i,-0.082853+0.094397i,-0.0064404+0.061555i,0.0052263+0.050507i,0.013524+0.051055i,0.01627+0.024023i,-0.0014531-0.0079975i,-0.05138-0.0031226i,-0.10872+0.068792i,-0.099122+0.15091i,-0.03188+0.13504i,2.6621e-05+0.042095i,-0.017025-0.0091257i,-0.019237-0.00077158i
-0.19887+0.18952i,-0.21374+0.37007i,-0.054449+0.4304i,0.18458+0.25775i,0.3163-0.010864i,0.24181-0.19152i,0.036424-0.22503i,-0.072064-0.13327i,-0.020776-0.0044428i,0.045598+0.098556i,0.10217+0.1516i,0.1736+0.13725i,0.20862+0.060622i,0.17852-0.035058i,0.11194-0.07604i,0.064307-0.041174i,0.062298+0.01505i,0.090011+0.039691i,0.11761+0.023656i,0.12101-0.018243i,0.095606-0.060522i,0.056433-0.069743i,0.017802-0.047894i
0.027801-0.18323i,-0.080319-0.28934i,-0.2496-0.23534i,-0.33628-0.027063i,-0.28664+0.14515i,-0.12145+0.14816i,0.13553+0.065817i,0.39079+0.057943i,0.52433+0.099441i,0.43587+0.054998i,0.17619-0.026768i,-0.038209-0.030745i,-0.084899+0.021986i,-0.037012+0.067097i,-0.0064192+0.071153i,-0.0093144+0.026833i,-0.037331-0.057135i,-0.10451-0.10943i,-0.1398-0.054165i,-0.073596+0.038987i,0.025557+0.0816i,0.079574+0.072658i,0.090649+0.028148i
0.17031+0.090972i,0.23257+0.070676i,0.24623-0.027525i,0.19356-0.13827i,0.05299-0.1731i,-0.17549-0.099626i,-0.39854-0.023169i,-0.5492-0.070843i,-0.56241-0.10812i,-0.31183-0.0056931i,0.026449+0.051494i,0.17592+0.0012069i,0.1513-0.046548i,0.069602-0.070658i,0.0027647-0.05648i,-0.0095057-0.0027004i,0.043202+0.0323i,0.094267-0.0025073i,0.060791-0.060226i,-0.017409-0.066453i,-0.077875-0.031541i,-0.10327+0.012432i,-0.087494+0.053297i
-0.77167+8.945i,0.37078+9.1894i,4.4661+9.3867i,6.7925+5.6663i,6.0116+1.2631i,3.4105-1.3735i,1.1159-1.5538i,0.40589-0.68325i,0.9966-0.008981i,1.7931-0.20556i,1.6962-1.1201i,0.94823-1.8765i,0.15385-2.1099i,-0.56928-1.7601i,-0.94428-1.1219i,-0.9545-0.64673i,-0.83374-0.36077i,-0.55385-0.079843i,-0.074599+0.028166i,0.35329-0.18184i,0.59575-0.48575i,0.63767-0.68788i,0.44028-0.70534i
0.19792-0.1156i,0.21923-0.14508i,0.15017-0.14833i,0.028276-0.14616i,-0.14628-0.11549i,-0.3264+0.021378i,-0.40553+0.21095i,-0.41685+0.29362i,-0.36271+0.25858i,-0.16525+0.13421i,-0.014774-0.064865i,-0.058226-0.2116i,-0.15098-0.22292i,-0.16893-0.11134i,-0.090059+0.032748i,0.0163+0.090283i,0.051691+0.07549i,0.02178+0.07335i,-0.0053495+0.090235i,0.00095611+0.074477i,0.010202+0.02006i,-0.0054101-0.012766i,-0.010474-0.002805i
-0.16561+0.12501i,-0.18113+0.18643i,-0.078926+0.12336i,0.024733-0.024701i,0.045892-0.068063i,0.032806+0.015771i,0.022421+0.018978i,0.018376-0.12033i,0.0076448-0.27397i,-0.044613-0.29123i,-0.077254-0.15141i,-0.039861-0.031347i,-0.028247+0.0027254i,-0.030101+0.047654i,0.030467+0.083715i,0.099152+0.045558i,0.10189-0.020545i,0.055943-0.052078i,0.010564-0.054949i,-0.023176-0.054799i,-0.039885-0.040273i,-0.022312-0.019389i,0.0045895-0.0085474i
0.039612-0.20535i,-0.00090883-0.29738i,-0.075049-0.25305i,-0.088476-0.10573i,-0.01182-0.0080484i,0.051688-0.0034107i,0.019125+0.026167i,-0.061311+0.1329i,-0.10035+0.20431i,-0.091215+0.16728i,-0.075446+0.095132i,-0.095952+0.057907i,-0.11028+0.064681i,-0.065032+0.059835i,-0.017912+0.0014919i,-0.032453-0.050529i,-0.060924-0.036993i,-0.037937+0.0047737i,0.0017477-0.00069769i,0.004293-0.036221i,-0.00010849-0.055518i,0.011476-0.075137i,0.005832-0.088239i
0.13085+0.15465i,0.19239+0.16506i,0.13519+0.034628i,-0.068821-0.097436i,-0.26451-0.079889i,-0.28394+0.035506i,-0.17735+0.10657i,-0.13079+0.092671i,-0.19274+0.084914i,-0.19281+0.10513i,-0.076923+0.080805i,0.020864+0.042396i,0.046481+0.055043i,0.038039+0.081917i,0.026641+0.080215i,0.034899+0.069673i,0.075006+0.044481i,0.10671-0.017211i,0.06477-0.064204i,-0.017199-0.041489i,-0.066642+0.015853i,-0.076978+0.05522i,-0.058848+0.067597i
-0.20646-0.036679i,-0.29225+0.02601i,-0.23435+0.16497i,-0.062032+0.28324i,0.10775+0.31553i,0.19523+0.27298i,0.17023+0.20999i,0.1635+0.25812i,0.27991+0.35044i,0.34394+0.29005i,0.25789+0.11742i,0.13295-0.033279i,0.047975-0.093188i,0.017227-0.057554i,0.016944+0.0054853i,0.020091+0.040143i,0.0071428+0.030512i,-0.033848-0.0072451i,-0.065417-0.031959i,-0.056588-0.031427i,-0.023518-0.017948i,0.012591-0.0023619i,0.037579-0.0029078i
0.17953-0.057023i,0.21431-0.11719i,0.12849-0.11994i,0.033715-0.055647i,0.005223-0.044483i,-0.044482-0.11322i,-0.087907-0.13332i,-0.042087-0.16469i,0.021032-0.26048i,0.0068165-0.26885i,-0.065173-0.16052i,-0.13644-0.047011i,-0.15541+0.021339i,-0.094112+0.041277i,0.0016019+0.024835i,0.071497-0.0044737i,0.10267-0.0079195i,0.10889+0.030451i,0.103+0.067716i,0.091497+0.068882i,0.066298+0.039531i,0.035202+0.0064953i,0.015145-0.014332i
-0.10189+0.15587i,-0.082346+0.22045i,0.044187+0.15959i,0.13704+0.013144i,0.1137-0.053112i,0.070521-0.0092357i,0.043675+0.0043638i,-0.023645-0.053459i,-0.10225-0.079128i,-0.1029-0.030347i,-0.019097+0.066479i,0.090897+0.14009i,0.13423+0.14229i,0.095199+0.10842i,0.046702+0.055177i,0.014665-0.0088729i,0.0011753-0.065289i,0.0068314-0.10217i,0.00025681-0.10076i,-0.015547-0.062325i,-0.0090284-0.018957i,0.0052827-0.005903i,-0.0053475-0.011108i
0.021142-0.18669i,-0.0067955-0.25378i,-0.036848-0.18519i,-0.026216-0.067938i,-0.0080574-0.027432i,-0.039187-0.024781i,-0.11939+0.023072i,-0.19717+0.13152i,-0.19283+0.20822i,-0.11416+0.17965i,-0.036999+0.072394i,-0.014454-0.043591i,-0.011252-0.077941i,0.024001-0.042467i,0.055088-0.014359i,0.040539-0.0026698i,-0.0064438+0.0098003i,-0.054638+0.029659i,-0.060291+0.050868i,-0.024849+0.045918i,-0.0033804+0.01866i,-0.012617+0.010572i,-0.014124+0.030994i
0.10191+0.16203i,0.15179+0.1869i,0.090351+0.078939i,-0.057447-0.023943i,-0.12591-0.0059358i,-0.034657+0.046811i,0.15049+0.049872i,0.29084-0.011853i,0.29684-0.10281i,0.20617-0.14012i,0.10405-0.097356i,0.06246-0.016888i,0.074607+0.019532i,0.055405-0.015416i,0.00054231-0.051i,-0.026172-0.041496i,-0.014339-0.0052071i,0.006614+0.023116i,0.0055791+0.027612i,-0.017945+0.020983i,-0.027291+0.019853i,-0.00070938+0.019315i,0.031607+0.0057818i
-0.19216-0.069388i,-0.27993-0.038286i,-0.20181+0.064774i,0.0032984+0.14104i,0.15967+0.12007i,0.16085+0.043528i,0.040385-0.040361i,-0.093645-0.075785i,-0.14966-0.028904i,-0.13266+0.014171i,-0.099113+0.0025016i,-0.066419-0.04671i,-0.06193-0.096546i,-0.089148-0.079798i,-0.11081-0.0075113i,-0.12021+0.041176i,-0.13854+0.050727i,-0.1516+0.047764i,-0.11773+0.025535i,-0.050277-0.016734i,-0.011873-0.059409i,-0.022785-0.083746i,-0.039452-0.081632i
0.20732-0.050787i,0.28286-0.10966i,0.22625-0.14432i,0.085373-0.14426i,-0.059343-0.1379i,-0.16331-0.10184i,-0.17999-0.014962i,-0.14054+0.024526i,-0.12557+0.013446i,-0.12186+0.038145i,-0.089869+0.054546i,-0.074239+0.040816i,-0.07704+0.049643i,-0.040083+0.066682i,0.023889+0.069644i,0.077004+0.079691i,0.13135+0.090125i,0.17482+0.080214i,0.15335+0.052213i,0.076069+0.029255i,0.014835+0.028969i,-0.0058647+0.032336i,-0.017236+0.025409i
-0.12208+0.14536i,-0.1341+0.21505i,-0.051042+0.16367i,0.019109+0.054205i,0.034485+0.06169i,0.081164+0.16601i,0.13852+0.21191i,0.14686+0.22288i,0.14809+0.2343i,0.16791+0.18362i,0.13676+0.095508i,0.061424+0.05573i,0.017104+0.053108i,0.010183+0.036738i,0.023643+0.0051351i,0.045374-0.032761i,0.048149-0.077792i,0.025425-0.12214i,-0.0012803-0.13725i,-0.011638-0.099852i,-0.0066563-0.045863i,-0.0045232-0.011153i,-0.0075315+0.016091i
