-7.2031e-05-0.00051637i,0.00041711-0.0015165i,1.2876e-05-0.0027602i,-0.0013412-0.002508i,-0.0024-0.00038068i,-0.0020013+0.0017717i,-0.00086762+0.0027678i,0.0002651+0.0027201i,0.00088538+0.0020296i,0.00058709+0.0015544i,-2.379e-05+0.00048478i,0.00046493-0.00050705i,0.0004125-0.00027804i,-0.00096944-4.9613e-05i,-0.00086597-9.0688e-05i,0.00024475-0.00048083i,0.00036523+0.00016481i,0.00065601+0.00052819i,0.0011955-0.00056849i,0.00023874-0.0011262i,-4.6661e-05-0.0008358i,0.00038931-0.0004312i,0.00052788+9.364e-05i
0.0023722-0.00219i,0.005359+0.0018048i,0.0014654+0.021221i,-0.023658+0.06034i,-0.06023+0.088127i,-0.063544+0.080406i,-0.03052+0.054347i,-0.00444+0.026316i,0.0033+0.0099885i,0.0040028+0.0094921i,0.0033167+0.012931i,0.0026926+0.010428i,0.0021711+0.0031216i,0.00076677-0.0038904i,-0.00077703-0.0079984i,-0.0028364-0.0089332i,-0.0055133-0.0090077i,-0.0058123-0.0080128i,-0.0040865-0.0060169i,-0.0015937-0.0048562i,0.00068006-0.0031556i,0.0021204-0.0016829i,0.0024535-0.0023538i
0.002749+0.00054651i,0.001823-0.011053i,0.0060696-0.038365i,0.024486-0.068056i,0.05269-0.064613i,0.06114-0.024037i,0.046261+0.01096i,0.028048+0.019425i,0.010448+0.012858i,-0.0019642+0.0048911i,-0.0032893+0.0021143i,0.0013574+0.0019613i,0.0055136+0.0015452i,0.0062064+0.00053421i,0.0048208+0.00043385i,0.0046991+0.0019851i,0.0054334+0.0035792i,0.0028795+0.0046549i,-0.001332+0.005822i,-0.0034119+0.0064506i,-0.0048745+0.0047894i,-0.0065053+0.0028332i,-0.0062722+0.0027796i
0.0017735+0.00058552i,0.0014606+0.010175i,-0.010962+0.033696i,-0.045924+0.061818i,-0.091761+0.063651i,-0.10823+0.030917i,-0.092769+0.0031526i,-0.066766-0.0021292i,-0.036657+0.0017334i,-0.015549+0.0047796i,-0.0089412+0.0055402i,-0.009672+0.0062816i,-0.0090041+0.0065341i,-0.0048111+0.0035766i,-0.001582-0.0012173i,-0.0024908-0.0048799i,-0.0065866-0.0071012i,-0.0095273-0.0070423i,-0.0083591-0.0050886i,-0.005596-0.0020217i,-0.0022373+0.0010179i,0.0020301+0.0015778i,0.0042106-0.00034372i
-0.0036767+0.0009169i,-0.0063741-0.0050875i,-0.0027492-0.020837i,0.023401-0.041494i,0.062196-0.04686i,0.070008-0.037591i,0.043352-0.030541i,0.017272-0.020577i,0.0051735-0.010603i,0.0028447-0.0098333i,0.0027298-0.012081i,0.0011966-0.0098374i,-0.0010762-0.0036027i,-0.0022827+0.0032112i,-0.00070857+0.0079364i,0.0034731+0.0088045i,0.0072817+0.0070103i,0.0063592+0.0054299i,0.0025552+0.0045176i,-0.00057068+0.0020947i,-0.0025594-0.0010288i,-0.0048231-0.0020212i,-0.0059439-0.00031488i
-0.0033651+0.0012344i,-0.0036959+0.0056281i,-0.011544+0.016942i,-0.031467+0.031468i,-0.049526+0.025938i,-0.038216-0.0015425i,-0.012635-0.020544i,0.0011886-0.02097i,0.0067064-0.0095617i,0.0098806-7.154e-05i,0.0089121+0.0021667i,0.0039312+0.001318i,-0.0022311-0.00090266i,-0.0051502-0.0010806i,-0.0048607-0.00049313i,-0.0051903-0.0014997i,-0.0059536-0.0020228i,-0.0040787-0.0027264i,-0.00040771-0.0034562i,0.0016832-0.0024147i,0.0025766+0.00098652i,0.0040789+0.0032232i,0.0044338+0.0015818i
-0.00062294-0.0020699i,0.0017798-0.008592i,0.013759-0.019532i,0.043527-0.025811i,0.077208-0.0083945i,0.085974+0.025516i,0.074647+0.043292i,0.055435+0.03821i,0.03246+0.023264i,0.015209+0.010032i,0.0066634+0.0035895i,0.0051245-0.00066921i,0.0059257-0.0031149i,0.0040375-0.002127i,0.0023866+0.00081892i,0.0050255+0.0035804i,0.0081732+0.0051376i,0.0087844+0.0049164i,0.0075671+0.0031973i,0.005438+0.0012307i,0.0022056-0.0030689i,-0.002114-0.0055741i,-0.0045304-0.001483i
0.00087308-0.001365i,-0.00040308+0.00084237i,-0.0095259+0.0089977i,-0.034213+0.019865i,-0.062684+0.019997i,-0.06375+0.017046i,-0.041643+0.019886i,-0.02151+0.016187i,-0.01125+0.0097495i,-0.0079147+0.0089216i,-0.0049268+0.0086787i,-0.0033889+0.0062129i,-0.001603+0.0033621i,0.0015626-0.00048559i,0.0031055-0.0046489i,0.0015345-0.0065305i,-0.0016302-0.0061468i,-0.0033967-0.0037797i,-0.0032763-0.001i,-0.0023338+0.001217i,-0.00017009+0.0054125i,0.0028863+0.0074213i,0.0037387+0.0042366i
0.0015434-0.001174i,0.00061934-0.006411i,0.0059125-0.013971i,0.018984-0.017445i,0.028441-0.0022639i,0.01499+0.018751i,-0.0066663+0.021573i,-0.015533+0.012446i,-0.014277+0.0025697i,-0.010408-0.0030111i,-0.0059619-0.0029389i,-0.0025655-0.0012669i,4.6801e-05+0.00078764i,0.0026201+0.0022793i,0.0050035+0.0023119i,0.0079726+0.0010342i,0.0096403-0.0018349i,0.0067534-0.0036945i,0.0022916-0.0024793i,-0.00015828-0.001514i,-0.0013993-0.0042397i,-0.0034551-0.0070185i,-0.0041351-0.0043629i
0.0016087-0.0016324i,-0.0033035-0.0012061i,-0.017449-0.00093269i,-0.04276-0.0023854i,-0.061288-0.01628i,-0.054201-0.039796i,-0.037154-0.053831i,-0.023737-0.049414i,-0.012434-0.030385i,-0.0049882-0.012979i,-0.0012375-0.0048256i,-0.0013088-0.0010758i,-0.0027218+0.00084965i,-0.0023198+0.0014366i,-0.0018057+0.00092522i,-0.0025254-0.00048177i,-0.0039853-0.0024704i,-0.004386-0.0036093i,-0.0038432-0.003218i,-0.0030959-0.0012305i,-0.0021781+0.0037572i,0.00044628+0.0082323i,0.0023973+0.0063087i
9.0066e-05-0.0016138i,0.00081922-0.0052976i,0.0077177-0.0090691i,0.025333-0.0059646i,0.044362+0.0074515i,0.047528+0.012438i,0.038359+0.0034158i,0.025387-0.0010545i,0.015864+0.00028121i,0.011765-3.1825e-05i,0.0067636-0.0017041i,0.0024549-0.0023i,-0.0011125-0.0028344i,-0.0031154-0.0013903i,-0.0028703+0.001491i,-0.0013914+0.0018497i,6.0494e-05+0.00025813i,0.00087802-0.0014288i,0.0017328-0.0017447i,0.00157-0.0022135i,0.00049931-0.0058319i,-0.0011945-0.0088914i,-0.0022448-0.006737i
-0.0017373-0.0011638i,-0.0020004-0.00027082i,-0.0068984+0.0022576i,-0.016846+0.0018547i,-0.018456-0.0059752i,0.0015315-0.0096839i,0.021687-0.0011296i,0.022692+0.0074117i,0.014283+0.011516i,0.0083247+0.010473i,0.0052864+0.0058207i,0.0031491+0.0014037i,0.0018916-0.0012948i,0.00010712-0.0022296i,-0.0018937-0.0026883i,-0.0034366-0.0019203i,-0.0042777+0.0010293i,-0.0037531+0.002956i,-0.0032172+0.0020943i,-0.0043171+0.0029944i,-0.0044395+0.0070871i,-0.0018368+0.010775i,0.0005444+0.0091822i
0.0016565+0.00094804i,0.0044415-0.00071481i,0.010868-0.00038808i,0.022302+0.0093855i,0.029355+0.030779i,0.021202+0.051047i,0.0095923+0.056876i,0.0023466+0.046046i,-0.0013075+0.027007i,-0.0026135+0.012587i,-0.0026923+0.0054777i,-0.0015535+0.002376i,7.794e-05+0.0013725i,0.0018936+0.00052699i,0.0038418+0.00021417i,0.0046025-0.00030763i,0.0035968-0.0014913i,0.0017486-0.0010038i,0.0014249+0.0015826i,0.0023789+0.0018918i,0.0025125-0.0032672i,0.0011409-0.0085862i,-0.00083477-0.0078774i
-0.0010406-0.0007429i,-0.0026485-0.0025234i,-0.010088-0.0051796i,-0.023231-0.010463i,-0.033647-0.016261i,-0.032484-0.014079i,-0.027214-0.0069698i,-0.020019-0.004651i,-0.013517-0.0044584i,-0.010228-0.0024267i,-0.005078-2.2545e-05i,-0.0011125+0.001631i,0.00087798+0.0028313i,0.0027019+0.0028514i,0.0031423+0.0019882i,0.004089+0.0020065i,0.0046239+0.0023554i,0.0027659+0.0023436i,2.5504e-07+0.0013494i,-0.0028333+0.0015922i,-0.0033809+0.005069i,-0.0012667+0.0095984i,-0.00047936+0.00899i
-0.0028689+0.00071886i,-0.0016361-0.00049026i,0.00078931-0.0016017i,0.0054045+0.0015198i,0.0040433+0.0098302i,-0.0079178+0.0061479i,-0.016117-0.0092754i,-0.012651-0.018057i,-0.0056375-0.015967i,-0.0021382-0.0098525i,-0.0016544-0.0053201i,-0.0016429-0.0025918i,-0.0024983-3.8082e-05i,-0.0020142+0.0017541i,0.0010922+0.0021378i,0.0034752+0.0009788i,0.003996-0.0014997i,0.003303-0.002566i,0.0030457-0.00095192i,0.0043911-0.00064562i,0.0054679-0.0051578i,0.0045751-0.0098817i,0.0022456-0.0089778i
6.9622e-05-0.0016089i,-0.0023524-0.0038708i,-0.0086177-0.007944i,-0.017241-0.014922i,-0.015626-0.026187i,0.00097058-0.035158i,0.014887-0.035868i,0.01633-0.029647i,0.01066-0.018115i,0.0063468-0.0089028i,0.004775-0.0044541i,0.0026629-0.0022567i,0.00033063-0.0019248i,-0.00093856-0.0014171i,-0.0020359-0.00068751i,-0.0020781-0.00054167i,0.00016243-0.0003523i,0.002603-0.00058896i,0.0022007-0.0019073i,-0.00086555-0.0013641i,-0.0040242+0.0034123i,-0.0042641+0.0086203i,-0.0014837+0.0087844i
0.001524-0.0018218i,0.0024107-0.0021232i,0.0050768+0.0012274i,0.0093175+0.01003i,0.014376+0.022103i,0.019772+0.024631i,0.02323+0.017284i,0.017619+0.0121i,0.009767+0.0096358i,0.0071693+0.006589i,0.0060688+0.0030439i,0.0042855-0.00011117i,0.0020789-0.0017513i,0.00043835-0.0027235i,-5.4233e-05-0.0030124i,-0.00056643-0.0036917i,-0.0014574-0.0043395i,-0.0021961-0.0036651i,-0.00094364-0.001355i,0.0018533+0.00019985i,0.0040534-0.0025055i,0.0036364-0.0070206i,0.0016744-0.0081832i
0.0024605+0.0016084i,0.00018257-0.00045047i,-0.003447-0.0042331i,-0.0066497-0.0072703i,-0.0030023-0.0053484i,0.0072096+0.0076257i,0.0099181+0.022187i,0.0045149+0.024188i,0.0015162+0.01794i,0.0016149+0.011193i,0.0025715+0.0063854i,0.0028003+0.0036475i,0.0028396+0.0017949i,0.002308+0.0001028i,0.00091638-0.00080402i,0.00046619-0.0010017i,0.0010917-0.0012i,0.00089148-0.0015252i,-0.0012993-0.0024397i,-0.0053305-0.00071122i,-0.0089151+0.0045955i,-0.0091688+0.0087236i,-0.0061276+0.0088106i
0.0024653+2.9933e-05i,0.0033115-0.001857i,0.0039184-0.0001162i,0.0034784+0.0086069i,-0.00326+0.021948i,-0.014361+0.029403i,-0.020621+0.027401i,-0.017509+0.020516i,-0.0093113+0.013311i,-0.0050738+0.0080016i,-0.0050908+0.005158i,-0.005644+0.0044519i,-0.0040202+0.0040954i,-0.0016151+0.003308i,0.00012757+0.0024736i,0.0011023+0.0019597i,-0.00095491+0.0015055i,-0.0033305+0.0022735i,-0.0032409+0.0033274i,-0.00018382+0.0019439i,0.004621-0.0028214i,0.0067932-0.007582i,0.0042403-0.0076548i
-0.002043-0.0021576i,-0.0035969-0.0036208i,-0.0061082-0.0082545i,-0.0080621-0.014322i,-0.008025-0.018009i,-0.0082835-0.017233i,-0.010526-0.014793i,-0.0094721-0.011194i,-0.006118-0.007618i,-0.0046933-0.0047614i,-0.0033005-0.0028201i,-0.0018144-0.0017437i,-0.0022723-0.0007607i,-0.0024484+9.4514e-06i,-0.00087899+0.00079544i,0.0018822+0.0013349i,0.0045133+0.0012478i,0.0038705-0.00011248i,0.00090084-0.0014956i,-0.0026127-0.00037106i,-0.0066582+0.0027273i,-0.0083546+0.0060894i,-0.006543+0.0071475i
0.0013604-5.7276e-05i,0.0026434-0.0017035i,0.0038564-0.0019683i,0.00198+0.0020437i,-0.0022655+0.0045784i,-0.0030921-0.0048677i,0.0021674-0.017265i,0.00616-0.019333i,0.0045731-0.013395i,0.0011207-0.006928i,-0.0012044-0.0044259i,-0.0022242-0.0043851i,-0.0030844-0.0031301i,-0.0026144-0.00068928i,-0.0018282+0.0010877i,-0.0019382+0.0019453i,-0.0030273+0.0033584i,-0.002665+0.0043732i,7.0763e-05+0.0047398i,0.0048737+0.0036913i,0.0099122-0.00049744i,0.011088-0.0047359i,0.0072595-0.00638i
-0.0015374-0.00097851i,-0.0022941-0.00059417i,-0.0042634-0.0035813i,-0.0038802-0.0094439i,0.004022-0.013776i,0.017227-0.012628i,0.024363-0.011109i,0.020828-0.010939i,0.012474-0.0091077i,0.0073774-0.0050878i,0.0071004-0.0021414i,0.0068231-0.0028492i,0.0048396-0.0039518i,0.0029333-0.0041135i,0.0026824-0.0038716i,0.0033899-0.0030385i,0.0042754-0.0028812i,0.0044637-0.003556i,0.00253-0.0042303i,-0.0019389-0.0023564i,-0.0075935+0.0017652i,-0.009687+0.0053994i,-0.0070788+0.0060787i
-0.00042873-0.00064821i,-0.0011221-0.0022274i,-0.0027988+0.00050287i,-0.0056947+0.0077711i,-0.0066324+0.015922i,-0.0015545+0.020319i,0.0046372+0.019816i,0.0060442+0.015537i,0.0059918+0.0099339i,0.0057627+0.0071135i,0.0040541+0.0060632i,0.0020335+0.0045875i,0.0014292+0.0035344i,0.00098402+0.0026188i,0.00037192+0.0016422i,-0.00027702+0.00063038i,-0.00084881+0.00016764i,1.0975e-05+0.00090377i,0.00096371+0.0018393i,0.0031188+0.0011183i,0.0069929-0.0013983i,0.0091638-0.0021952i,0.0071188-0.0023821i
0.0017319+5.2229e-07i,0.0010357-0.0024561i,0.00021373-0.0052214i,-0.00096582-0.0052561i,-0.00023262+0.0010182i,-0.00083982+0.012999i,-0.0049786+0.020948i,-0.0071318+0.018753i,-0.0037031+0.01306i,0.00045004+0.0080217i,0.0002089+0.0039869i,-0.0012751+0.0025643i,-0.00088921+0.0031023i,0.00031087+0.0020629i,0.0019129-0.0010215i,0.0046838-0.0037316i,0.0054125-0.0054756i,0.0031237-0.0070723i,-0.001224-0.0068559i,-0.0069446-0.0042489i,-0.011007-0.00035918i,-0.01176+0.0030754i,-0.0092984+0.0036438i
5.9265e-05+0.0020512i,0.0013499+0.00053815i,0.0016915+0.0012563i,-0.0013386+0.006307i,-0.0080519+0.010979i,-0.015378+0.0096729i,-0.019064+0.0073219i,-0.016889+0.0068612i,-0.010181+0.0065413i,-0.0045796+0.0038436i,-0.0035256+0.00080324i,-0.0050802+0.00032487i,-0.0060976+0.0014213i,-0.0045191+0.0025556i,-0.0021131+0.0026903i,-0.0025678+0.0031786i,-0.0043392+0.0030135i,-0.0038899+0.0022909i,-0.0015492+0.0016807i,0.0027717+0.0004549i,0.0081632-0.00068245i,0.010359-0.0009531i,0.007283-0.00082683i
0.0014241-0.0014412i,-0.00027091-0.0027074i,-0.0020373-0.0046708i,-0.00097683-0.0071931i,0.0032479-0.0084621i,0.0061211-0.0085097i,0.0044424-0.0098906i,0.0012023-0.010067i,-0.0012091-0.007708i,-0.0015681-0.0056073i,-9.8518e-05-0.0049228i,0.0011666-0.0047953i,0.0017403-0.0044121i,0.0016221-0.0035535i,0.0017974-0.0015754i,0.0029511-0.00031702i,0.0029783-0.0015134i,0.0015925-0.0029143i,-0.001127-0.0019088i,-0.005038+0.00041933i,-0.0085278+0.0017182i,-0.010189+0.0015734i,-0.0082609+0.00067322i
-0.0010339-0.0012401i,-0.00045089-0.0024099i,-0.0015689-0.0028286i,-0.0036996-0.0018824i,-0.0043584-0.0022096i,0.0017111-0.0060787i,0.0099564-0.0094696i,0.011228-0.0096353i,0.0071157-0.00806i,0.0029136-0.0037326i,0.0014692-8.7481e-06i,0.002249-1.9232e-05i,0.0017155-0.00068035i,0.00064205+0.00032925i,-0.00053449+0.0017932i,-0.00231+0.0026111i,-0.0039458+0.0030575i,-0.0028792+0.0041358i,0.00074497+0.0042452i,0.0044981+0.0033114i,0.0090628+0.0024984i,0.010931+0.001923i,0.0077142+0.0012753i
0.001471-0.0010501i,-0.00029021-0.0022521i,-0.0032677-0.0046315i,-0.0031177-0.0056242i,0.0030967-0.0020583i,0.011031+0.0043291i,0.015701+0.0061506i,0.015258+0.0032528i,0.011007+0.0012447i,0.0061354+0.0011408i,0.0039259+0.0023462i,0.0041335+0.002987i,0.0044616+0.0017763i,0.0035328-0.00058987i,0.0028566-0.0021411i,0.0035369-0.0027364i,0.0045732-0.0028563i,0.0044082-0.0023624i,0.0007688-0.0015509i,-0.0051265+3.9124e-05i,-0.0099457+0.00060405i,-0.011786+2.1234e-05i,-0.0093268-0.00045014i
-0.00093994+0.00017979i,-0.0014913-0.00014214i,-0.0027669+0.00039579i,-0.0063652+0.004041i,-0.0091893+0.0093331i,-0.0068538+0.010885i,-0.0038209+0.010106i,-0.0036517+0.0084971i,-0.0021479+0.0071807i,-4.3711e-06+0.0062059i,-0.00072406+0.005077i,-0.003083+0.0046279i,-0.0043245+0.0052888i,-0.0029582+0.0056096i,-0.0012369+0.0036541i,-0.00048487+0.0017703i,8.5424e-05+0.0015617i,0.0011167+0.0018852i,0.0025529+0.0012243i,0.0037244-0.00051503i,0.0063517-0.00077379i,0.0084628+0.00078443i,0.0071089+0.0023494i
-0.0020492+0.00055994i,-0.00075433-0.00017194i,-0.00077391-0.0010117i,-0.00062416-0.00011973i,4.8833e-05+0.0037465i,-0.0031439+0.0082876i,-0.0086967+0.0092051i,-0.0083269+0.0076777i,-0.0045628+0.0057896i,-0.0023691+0.0030494i,-0.00065424-0.00078186i,-0.00073552-0.0029925i,-0.0017659-0.0022533i,-0.0010064-0.0016256i,0.0014029-0.0022782i,0.004301-0.0023503i,0.0050076-0.0021i,0.0039098-0.002662i,0.0015222-0.0026603i,-0.0027208-0.0012918i,-0.0075559-0.0015414i,-0.0098221-0.0032555i,-0.0077718-0.0041253i
0.00063901+0.00046003i,0.0011119-0.00036897i,0.00030151-0.00061818i,-0.0025749+0.00074051i,-0.0066226+0.0012747i,-0.0080243-0.0011984i,-0.0064506-0.003419i,-0.0049505-0.0039268i,-0.0035861-0.0021836i,-0.00098288-0.00067524i,-0.00011834-0.0021553i,-0.00092511-0.0033683i,-0.0014012-0.0025601i,-0.0012471-0.0010297i,-0.00091412+0.00049164i,-0.0010237+0.0012667i,-0.0013752+0.00097835i,-0.0010374-0.00034596i,0.00010722-0.0014584i,0.0036251-0.0011843i,0.0083605+2.7872e-06i,0.01026+0.0022413i,0.0070431+0.0046656i
-0.00037692+0.0017162i,-0.0021581+0.00021898i,-0.0031925-0.001075i,-0.0019113-0.0012437i,0.0014286-0.00020797i,0.0046791+0.00067484i,0.0061259+0.00061988i,0.0055366-0.00012566i,0.0042668-0.00067299i,0.0036073+2.5787e-06i,0.0034176-9.5762e-05i,0.0041195-0.00087677i,0.0044995-0.0009486i,0.0038688-0.0017836i,0.002883-0.0021802i,0.0018062-0.0019628i,0.0012195-0.002047i,0.00027819-0.00093475i,-0.0018014+0.00063217i,-0.0045546+0.0018629i,-0.0073335+0.0012622i,-0.0086148-0.0019776i,-0.0063335-0.0047803i
0.0013032-0.0024773i,2.2076e-05-0.0044847i,-0.0024267-0.0050944i,-0.003812-0.0029125i,-0.0024487-0.00028753i,0.0026197+0.0015456i,0.008193+0.0016721i,0.0072198+0.00058564i,0.003249+0.00057217i,0.00096944+0.0028237i,-0.00060018+0.0047829i,-0.0011338+0.0046369i,-0.00024254+0.0027594i,0.00045066+0.0027824i,-0.00025755+0.0034633i,-0.0013475+0.0025265i,-0.0023936+0.0010619i,-0.0024224-0.0007177i,-0.00043818-0.0022996i,0.0017358-0.0015033i,0.0040073+0.00087833i,0.0058561+0.0033684i,0.0046636+0.0055668i
0.001027+0.00022176i,0.00088197-0.0012226i,0.00039076-0.0038085i,5.8145e-06-0.0043037i,0.00092386+0.0003374i,0.0033851+0.0055976i,0.0051934+0.0049904i,0.0040187+0.0012001i,0.00087875-0.00059666i,-0.0017726+0.00088239i,-0.0013263+0.0021741i,-0.00020388+0.001883i,-0.00044271+0.0014204i,-0.00035959+0.0011334i,-0.00062068+0.00028319i,6.0374e-05-0.00076518i,0.0020261+2.8667e-05i,0.0024367+0.0012263i,0.00035453+0.0011157i,-0.0030489+0.00045287i,-0.0068835-0.00077533i,-0.008546-0.0024838i,-0.0058467-0.0042461i
0.0040342+0.0003306i,0.0030719-0.0011075i,0.0013202-0.0029781i,-0.0034717-0.0022541i,-0.0078031+4.6902e-06i,-0.0072973+0.0016208i,-0.0036576+0.0013312i,-0.00088877-4.9267e-05i,-0.00042927-0.0012056i,-0.0011064-0.0015731i,-0.0020709-0.0021023i,-0.0031078-0.0015928i,-0.0035603-0.00057814i,-0.002903+0.00091029i,-0.0013975+0.0026603i,-0.00057879+0.0029099i,5.5177e-05+0.0018921i,0.00055249+0.0011032i,0.0013925-0.00014126i,0.0038451-0.0011785i,0.007078+0.00020631i,0.0071255+0.0031461i,0.0037335+0.0055467i
-0.00022605-0.00047564i,0.00015294-0.00066811i,-0.00038556-0.00099814i,-0.002135+0.00090532i,-0.0042683+0.0044395i,-0.0054609+0.0053368i,-0.0050374+0.0028507i,-0.0025101+0.0018024i,0.00050435+0.002066i,0.0023673+0.0012116i,0.0024226-0.00087716i,0.0022129-0.0023052i,0.0015922-0.0032156i,0.0010661-0.0032311i,0.0011392-0.0021704i,0.0017978-0.0016798i,0.0020401-0.001261i,0.001472-8.3664e-05i,0.00061147+0.0012114i,-0.0016612+0.0016892i,-0.004665-7.7966e-05i,-0.0053051-0.0037397i,-0.0030952-0.006007i
-0.0014697-0.0007125i,-0.0022648-0.0013742i,-0.0034335-0.0017463i,-0.0038982-0.00077578i,-0.0036193+0.00055285i,-0.0013005+0.00029678i,-0.00078729+0.001109i,-0.0015268+0.0038836i,-0.00016176+0.005772i,0.0025107+0.0040901i,0.0032683+0.0018376i,0.0010886+0.00090906i,3.7472e-05+0.00010945i,0.0011204+0.00017881i,0.0017332+0.0010083i,0.00094994+0.00085916i,0.00020976-0.00040787i,-0.00012248-0.0018763i,-0.00066333-0.0025283i,0.00054686-0.001238i,0.0032962+0.0012854i,0.0046305+0.0040666i,0.0026998+0.0063033i
0.00094659-0.00071215i,9.608e-05-0.0017854i,0.00010002-0.0018873i,0.00081478+0.00034056i,0.0021068+0.0028622i,0.0034713+0.0041096i,0.0032924+0.0030698i,-0.000553+0.0022891i,-0.0039771+0.0033133i,-0.0028461+0.003688i,-0.00027036+0.0030486i,0.00080272+0.0026572i,0.0009932+0.0025001i,0.0008847+0.0014789i,0.00074679-2.4322e-05i,0.00138-0.00062044i,0.0020483-0.0013392i,0.0018887-0.0011948i,0.0010335-0.00020384i,-0.0016586+0.00010351i,-0.0062133-0.0016266i,-0.007068-0.0040362i,-0.0038343-0.0052162i
-0.0012714-0.0040746i,-0.0022906-0.0036402i,-0.0021577-0.004323i,-0.0032512-0.0036498i,-0.0027619-0.00038949i,0.0021693+0.0027363i,0.0048247+0.0024333i,0.0030529-0.0025175i,-0.0012199-0.004989i,-0.0039291-0.0020007i,-0.0027789+0.00067936i,-0.0011739+0.00070809i,-0.001038+0.00064292i,-0.00098535+0.00090121i,-0.00065744+0.00061323i,-0.00013426+0.00078198i,-0.00066709+0.00041918i,-0.0014349-0.00068031i,-0.0011405-0.0017225i,0.00011374-0.0025844i,0.0021787-0.0015258i,0.0031422+0.0026027i,0.0017353+0.0058708i
-0.00069033-0.0028346i,-0.0014987-0.0049475i,-0.0024631-0.0068209i,-0.0039218-0.0040687i,-0.00376+0.0017485i,-0.00068499+0.0057703i,0.0034128+0.0039881i,0.005904-0.0011773i,0.0044132-0.0040227i,0.0011769-0.0032916i,0.0010301-0.00098185i,0.0026192-0.00053062i,0.0021848-0.001334i,-0.00022394-0.0019643i,-0.0014158-0.0012977i,-0.00092214+0.00010501i,-0.00087454+0.00064893i,-0.00028077+0.00092927i,0.00076074+0.0014958i,0.00017023+0.0022875i,-0.002031+0.00048098i,-0.0039304-0.0032565i,-0.0036195-0.0052336i
0.0033367-0.00104i,0.0026952-0.002974i,0.0014153-0.0051763i,-0.0017047-0.0052194i,-0.0042453-0.0027609i,-0.0036919-8.8433e-05i,-0.00092506+0.00087111i,0.0033115+0.0018715i,0.0059351+0.001981i,0.0041977+0.00081483i,0.0010133+0.00076968i,-0.0008262+0.00080271i,-0.0013889+0.0001934i,-0.0010472+0.00012852i,7.5336e-05+2.3463e-05i,0.0004054-0.00035864i,-0.001307+3.3534e-05i,-0.0032521-0.00019398i,-0.0035013+0.00032013i,-0.001226+0.0013724i,0.0025643+0.0031513i,0.0042406+0.0055766i,0.00248+0.0066645i
-0.0010364-6.2046e-05i,-0.0013448+0.00048971i,-0.0020355+0.0017893i,-0.0041202+0.0024341i,-0.0054066+0.0032088i,-0.0052772+0.0017106i,-0.0041581+0.00023144i,-0.0029053+0.0039244i,-0.00086741+0.0072619i,0.0012323+0.0056583i,0.001454+0.0022301i,0.00094031+0.0015314i,0.00099319+0.002104i,0.0019835+0.0015878i,0.0026087+0.00023345i,0.0021608-0.00018186i,0.0030118-0.00024262i,0.0042612+0.00022888i,0.0033743+0.0014248i,0.00051401+0.0011398i,-0.0026911-0.00023267i,-0.0036208-0.0024554i,-0.0015982-0.0048281i
-0.0017752+0.0012177i,-0.00049348-0.00081693i,-0.00035287-0.0018958i,-0.0005359-0.0012447i,0.00067694+0.0014741i,0.0018396+0.0028639i,-0.00036962+0.0020288i,-0.0053645+0.001307i,-0.0065644+0.0028214i,-0.0029495+0.0039008i,-0.0017651+0.0011666i,-0.0035577-0.0015015i,-0.0038659-6.6829e-05i,-0.0021487+0.0017759i,0.00043153+0.0017672i,0.0020497+0.00071874i,0.0011652-0.0012928i,-0.0009709-0.001826i,-0.001545-0.0016486i,-0.00024432-0.00096067i,0.0017373+0.0011775i,0.0021157+0.0041569i,0.0012712+0.0061328i
-7.3252e-05+0.0003236i,0.0011795+0.00033877i,0.00096162-0.00086709i,-0.00096603-0.00028756i,-0.0010091+0.0031277i,0.0016798+0.0048299i,0.003647+0.0021784i,0.002178-0.0022567i,-0.00078981-0.0034549i,-0.0016793-0.0011623i,-0.00039683-0.0008203i,0.00027863-0.0020517i,-0.00094136-0.0017268i,-0.0013754-0.00028785i,-0.00020055+0.00051851i,0.00089369+0.00084788i,0.0019015+0.00068691i,0.0036423-5.8127e-06i,0.0042006-0.00022755i,0.0015851-0.00084789i,-0.0022643-0.0026955i,-0.0039105-0.0049359i,-0.0028624-0.0058433i
-0.0014794-0.00082437i,-0.00216-0.000573i,-0.0038165+0.00045465i,-0.0034026+0.0013889i,-0.0015068+0.0030954i,0.0015931+0.0052642i,0.0050262+0.0041109i,0.0074245+0.00056303i,0.007057-0.0029255i,0.0038209-0.0029741i,0.0013706-0.0012413i,0.0020315-0.0012652i,0.0019128-0.0022207i,0.00027482-0.0028387i,-0.00091169-0.0025016i,-0.0006822-0.0017691i,-3.0427e-05-0.0015833i,-0.0012167-0.0015196i,-0.0022728-0.0010042i,-0.0009411-0.00045339i,0.0017927+2.8138e-05i,0.0029011+0.0013011i,0.0011443+0.0033076i
