0.00087955+0.0013798i,0.00026193+0.0020005i,0.00090146+0.001937i,0.0013639+0.00043885i,0.0014302-0.00037672i,0.0010265-0.00044686i,0.00048014-0.00059328i,0.00052142-0.00042148i,0.00064374-2.2318e-05i,0.0007037+0.00059846i,0.00016929+0.0010261i,-0.00059172+0.00044927i,-0.00068175+4.0641e-05i,-3.2618e-05-0.00024758i,0.00038947-0.00013225i,-0.00038115+0.00024951i,-0.00082849-7.9588e-05i,-0.00033973-0.0011474i,9.6197e-05-0.00045954i,0.00045345+0.00020766i,0.00042727+9.0026e-06i,-0.00019514+0.00057126i,-8.212e-06+0.00025663i
-0.00075151+0.0010122i,-0.00030167+0.0011283i,9.4173e-05+0.0017041i,0.00030403+0.00026315i,0.00049837-0.0013478i,0.00065146-3.7523e-05i,-0.0002443+0.0010904i,-0.00039886-0.00017613i,-6.9389e-06-0.00042588i,-5.8588e-05-0.00017225i,7.7241e-05-0.00041251i,0.00050456-0.00051855i,0.00027296-3.7131e-05i,-0.00049663+0.00070767i,-0.00060633+0.0013826i,-0.00017084+0.00081755i,0.00046023-0.00046806i,0.0010526-0.00090116i,0.00068088-0.00085759i,0.0001457-0.00026735i,-3.6344e-05+0.00054613i,0.00014934+0.00057127i,0.00079998-0.00059148i
0.00072383-0.0029537i,0.0016947-0.00056258i,0.0015145+2.6367e-05i,0.00012637-0.0007864i,-0.00088701-0.0015675i,-0.00042644-0.0013619i,0.00014437-0.00010892i,0.0002951+0.0001106i,2.7599e-05-4.5487e-05i,-0.00099537-0.00039122i,-0.00083551-0.00037891i,-0.00017741+0.00063397i,0.00012932+0.00059273i,0.00015387+6.7398e-05i,0.00072238+0.00047541i,0.00067361+0.00082327i,-0.00027675+0.00086934i,-0.0004042-7.5821e-05i,0.00037478-0.0011521i,0.00073138-0.00061353i,0.0006248-0.00026653i,-0.00017566-0.00049132i,-0.00056799+0.00026985i
0.0024882+0.00089019i,0.0020234+0.00056862i,0.0013626+4.6071e-05i,0.00036581+0.0004214i,-0.00019047+0.0010531i,0.00017501-0.00030186i,0.0009419-0.00084829i,0.0013278-6.1887e-05i,0.00039237+0.0002527i,-0.00075793+0.00027706i,-9.3353e-05+9.2891e-05i,0.00054957-0.00059292i,0.00084943-0.00098009i,0.001184-0.00077284i,0.00075664+7.7832e-06i,0.00050625+1.5196e-05i,0.00068249-0.00021522i,0.00033097+1.2645e-05i,0.00041362+0.00032449i,0.00095323+0.00023821i,0.00054922+0.00017633i,-0.00033009+0.00018274i,0.00039012+2.1556e-05i
-0.0013463+0.00071276i,0.00037257+0.0011173i,0.0002664+0.0019787i,0.00069796+0.0018388i,0.001488+0.0012151i,0.0014186+0.00068119i,0.0016522+6.8491e-06i,0.0014668-0.00074832i,0.00039941-0.00047262i,-0.00018427+0.00029849i,-0.00049063+0.00017494i,-0.00037109-0.00045454i,-7.8025e-05-0.00034512i,6.4909e-05-0.00027724i,-0.00023943-0.00050514i,-0.00015802-0.0003025i,0.00025076-0.0001282i,4.7613e-05-8.2794e-05i,-4.5738e-05-0.00010107i,5.9354e-05+0.00011362i,-0.000311+6.6158e-05i,-0.00032658-0.00020738i,0.00074569+4.498e-05i
0.0018052-0.0017508i,0.0017129-0.00064302i,0.00040301+0.00028705i,-0.00067166+0.00049822i,-0.00075101-0.00015276i,-2.7365e-05-0.00053804i,0.00065948-0.00057981i,0.0011962-0.00036218i,0.00085097-0.00013867i,0.0003222-0.00016803i,0.00022057+0.00016076i,-0.00028416+0.0001493i,-6.5378e-05-0.00041102i,0.00079457-0.00034003i,0.00075937-5.9444e-05i,0.00083109-0.00013409i,0.00076924-0.00049332i,0.00021297-0.00049545i,-0.00055177-0.001014i,-0.00025875-0.00087345i,6.4025e-05+0.00011521i,-0.00021109-0.00019622i,0.00023341-0.00054603i
-0.0018877-0.00073028i,-0.00043494-0.00039967i,0.00012093+0.00046243i,-2.0182e-05+8.0915e-05i,0.00020172+0.0003792i,0.00031794+9.4312e-05i,0.00045409-0.00023748i,0.00052558+1.5143e-05i,0.00049399-0.00031577i,-1.0619e-05-0.00025229i,-0.00068332+0.0004947i,-0.00027944+0.00042734i,0.0005957+0.00051233i,0.00037566+0.0003614i,-4.2582e-05-0.00056059i,-0.0005106-0.00033323i,-0.00045299-2.0812e-05i,0.00080451-0.00033076i,0.00057722-9.4201e-05i,0.00025321+0.00025097i,6.8588e-05+0.00046132i,-0.00057737+0.00079147i,-0.00086722+0.00055859i
-0.00061878+0.0014911i,-0.00014+0.001535i,0.00058213+0.0019114i,0.0019192+0.0011047i,0.0015362-0.00011701i,0.00032837+6.2238e-06i,-9.4843e-05+0.00056523i,9.0192e-05+0.00028991i,3.1973e-05+0.00012518i,8.945e-05+0.00064795i,0.00031196+7.1559e-05i,0.00042093-0.00037694i,0.00075341+3.056e-05i,0.0001546+0.00041722i,-0.00011961+0.00050324i,0.00028799+0.00073795i,0.00027753+0.0012558i,0.0003297+0.00090408i,0.00058688+0.00065113i,0.00055738+0.0005621i,0.00087495-0.00045891i,0.0010448-0.0011927i,0.00082139-0.00068994i
0.00042213+0.0010364i,0.0009513+1.8464e-05i,0.0010327-0.00040226i,0.001311-0.0011479i,0.0012244-0.0017837i,-7.1234e-05-0.0012645i,-0.00064392-0.00045737i,7.0819e-05+0.00010782i,0.00019643+0.00040558i,0.00010968-5.892e-06i,0.00086991-0.00029648i,0.00092532-0.00013557i,-0.00059006-0.00011252i,-0.00080906-0.00083118i,-0.00048491-0.0007462i,-0.0003952-0.00040395i,6.8179e-05+8.1836e-05i,0.00056947+0.00068765i,0.00032671+0.00031657i,0.00025052-4.5542e-05i,0.00040631+0.0001891i,0.00052578+0.00012183i,0.00038212+6.5471e-05i
0.0048185-0.0013991i,0.0038185-0.001641i,0.003375-0.0014833i,0.0021982-0.0015108i,0.00034475-0.0016438i,-0.00055834-0.0012928i,-2.8828e-05-0.00058823i,0.00081828-0.00067974i,0.00065396-0.00098859i,0.00034571-0.00094697i,0.0006628-0.00079521i,0.0008808-0.00060131i,0.00083476-0.00040605i,0.00079262-6.6497e-05i,0.00043196-0.00012134i,0.00015479-0.0010242i,0.00039793-0.0012242i,0.00026045-0.00090797i,-0.0001108-0.00070373i,-0.00025075-0.00062639i,-0.00025231-0.00080468i,-0.00035967-0.00014691i,-0.00010077+0.00071689i
-0.00087545+0.0021772i,0.00017859+0.0030434i,0.00075584+0.0020719i,0.00080589+0.00030475i,0.00040065-0.00065055i,0.00082975-0.0012336i,0.0013072-0.0013261i,0.0010933-0.00082725i,0.00031974+0.00010728i,-3.536e-05+0.00065669i,0.00061914+0.00060784i,0.00046113+4.3284e-05i,-0.00013717-0.0011423i,9.3729e-05-0.0011886i,0.00037128-0.00039367i,0.0001608-0.00022197i,-0.00025563-0.00022779i,-0.00016969-0.0004375i,0.00010269-0.0007517i,-7.3555e-05-0.00086743i,0.00047825-0.00011159i,0.00057963+0.000975i,0.00042344+0.0010089i
