0.00078131+0.00046853i,-0.00055878-0.00033211i,-0.0020985-0.00040199i,-0.001578-0.0011559i,-0.0017744-0.00043287i,-0.0025902+0.0007126i,-0.0022094+0.0013657i,-0.0011918+0.0018238i,0.00092126+0.0015714i,0.0025805+0.0010348i,0.0021537-2.0304e-05i,0.00087127-0.00075762i,0.00042548-0.00053957i,0.00083964-0.00016134i,0.00039374-0.0004647i,-0.00075067-0.0010965i,-0.00056581-0.001414i,0.00026479-0.00037726i,0.00087037-0.00014595i,0.00034571-0.00043621i,-7.885e-06+1.6197e-05i,-0.00021312-0.00087929i,-0.00040642-0.0011993i
0.23434-0.42033i,0.027622-0.1495i,-0.11464+0.20977i,-0.14137+0.3219i,-0.16412+0.22094i,-0.1422+0.11044i,-0.059719+0.034912i,-0.012579-0.014962i,-0.014776-0.028289i,-0.027812-0.0019317i,-0.018459+0.021543i,0.0015547-0.021767i,-0.015355-0.089466i,-0.053451-0.098344i,-0.064416-0.050156i,-0.043876+0.0028493i,-0.022113+0.029064i,-0.016085+0.033082i,-0.014884+0.019263i,-0.0094566+0.00051326i,0.0027097-0.004043i,0.018388+0.0037004i,0.021349+0.016685i
0.53965-0.020353i,0.32538-0.201i,0.12326-0.29926i,0.15057-0.29105i,0.23205-0.23901i,0.17716-0.17372i,0.052464-0.094897i,-0.021343-0.019912i,-0.036692+0.010954i,-0.033209-0.0074633i,-0.0176-0.042615i,0.024335-0.06729i,0.080889-0.06972i,0.11674-0.064297i,0.11173-0.070784i,0.074965-0.075064i,0.03531-0.057567i,0.010654-0.028153i,-0.0098456-0.0069031i,-0.035049+0.0073055i,-0.049304+0.023748i,-0.045047+0.030977i,-0.043124+0.020315i
0.25566+0.56127i,0.30881+0.39906i,0.26065+0.2277i,0.16716+0.086781i,0.023367-0.091439i,-0.12754-0.14845i,-0.14345-0.066745i,-0.041518+0.0047912i,0.043303+0.041996i,0.082326+0.054195i,0.11769+0.03233i,0.16365-0.0092818i,0.17683-0.042828i,0.1401-0.027368i,0.095111+0.016502i,0.072622+0.033794i,0.065502+0.017245i,0.05163-0.011704i,0.031444-0.028496i,0.018209-0.03579i,0.0094917-0.042556i,0.0029257-0.042532i,-0.0018404-0.038774i
-0.43711+0.40019i,-0.33585+0.24646i,-0.34258-0.012389i,-0.38113-0.083634i,-0.22553-0.023907i,-0.0069364-0.043303i,0.066055-0.086851i,0.035687-0.068923i,0.0095091-0.019197i,-0.0076473+0.034666i,-0.014076+0.082585i,0.020952+0.10219i,0.068132+0.066417i,0.062527+0.0041679i,0.01569-0.014962i,-0.011346+0.014785i,-0.0079608+0.041798i,-0.0045242+0.043105i,-0.0024853+0.028211i,0.014354+0.011113i,0.027104+0.0021948i,0.019561+0.010778i,0.0068402+0.024204i
-0.47892-0.15004i,-0.15017+0.024699i,0.27973+0.10508i,0.42393+0.13197i,0.33822+0.18778i,0.2383+0.14569i,0.10764+0.0053011i,-0.055353-0.04118i,-0.14484+0.032855i,-0.12392+0.096631i,-0.0643+0.099744i,-0.026177+0.10735i,0.017621+0.14443i,0.084027+0.1373i,0.11828+0.066087i,0.092621+0.00041997i,0.039475-0.019065i,-0.0050138-0.0081038i,-0.026415+0.0012805i,-0.030503-0.0029169i,-0.029385-0.0099539i,-0.024523-0.013292i,-0.011842-0.016884i
-0.16057-0.52606i,-0.33049-0.20449i,-0.34162+0.12731i,-0.21456+0.13272i,-0.091482-0.045536i,-0.037595-0.1337i,-0.013442-0.085693i,-0.011169+0.016556i,-0.039982+0.10235i,-0.064435+0.14506i,-0.05669+0.14434i,-0.036744+0.12714i,-0.013215+0.11787i,0.0077439+0.1017i,0.0022585+0.070522i,-0.020203+0.052765i,-0.027007+0.049292i,-0.025746+0.031069i,-0.030513+0.011017i,-0.024255+0.0078735i,0.001226+0.0047966i,0.027098-0.0017004i,0.032664-0.0010496i
0.52028-0.40255i,0.33065-0.48627i,0.16372-0.47302i,0.089639-0.41652i,0.048333-0.22415i,0.1108+0.023774i,0.20301+0.084715i,0.17947-0.015856i,0.080319-0.082896i,-0.013766-0.086451i,-0.087119-0.073669i,-0.12191-0.053736i,-0.10538-0.026924i,-0.052956-0.0084353i,-0.015195-0.0056837i,-0.016803+0.0059351i,-0.030309+0.024429i,-0.044643+0.030077i,-0.054253+0.036873i,-0.044554+0.050727i,-0.02282+0.053611i,-0.014181+0.039582i,-0.023919+0.028864i
0.51447+0.40301i,0.34316+0.37229i,0.066095+0.47581i,-0.0074175+0.54893i,0.0015721+0.40305i,-0.024421+0.2171i,-0.0086812+0.080035i,-0.013606-0.066553i,-0.074788-0.16087i,-0.10336-0.15863i,-0.075387-0.12455i,-0.05345-0.10725i,-0.070566-0.061975i,-0.051848+0.026879i,0.028998+0.069255i,0.084912+0.028051i,0.074056-0.031591i,0.027287-0.060021i,-0.022188-0.048247i,-0.040713-0.012412i,-0.022875+0.0092389i,-0.0022418+0.00956i,0.0069691+0.012103i
-0.10636+0.55624i,-0.074352+0.2i,-0.18495-0.24768i,-0.19136-0.30805i,0.010236-0.14607i,0.12468-0.067771i,0.045836+0.0083155i,-0.023313+0.10314i,-0.032877+0.10087i,-0.03139+0.04073i,-0.0071897+0.0057919i,0.029929-0.011673i,0.032122-0.020345i,0.00089477-0.0079849i,-0.020592+0.00051901i,-0.028721-0.010163i,-0.020888-0.019668i,-0.00039063-0.038692i,-0.0071529-0.064086i,-0.030705-0.062451i,-0.027875-0.033559i,-0.0065179-0.0029002i,0.0055611+0.0093065i
-0.55983+0.30757i,-0.17679+0.4157i,0.29348+0.29469i,0.36639+0.13993i,0.12931+0.13102i,-0.037256+0.23795i,-0.0031068+0.26391i,0.09355+0.16003i,0.1191+0.074568i,0.10014+0.044153i,0.090788+0.0063871i,0.090467-0.032578i,0.085678-0.064733i,0.06184-0.079474i,0.027146-0.074346i,-0.0046485-0.054132i,-0.019924-0.020408i,-0.019688-0.0045953i,-0.026128-0.018515i,-0.03769-0.032397i,-0.034673-0.030391i,-0.022058-0.025819i,-0.019386-0.020904i
-0.67028-0.49783i,-0.82796-0.31343i,-0.74609-0.10611i,-0.60596-0.0016776i,-0.4251+0.027792i,-0.23456-0.034194i,-0.12187-0.11124i,-0.070061-0.12251i,-0.038779-0.10704i,-0.025126-0.067051i,-0.0078985-0.0096742i,0.016717+0.012529i,0.019234-0.0024961i,0.015243-0.0012449i,0.044323+0.020549i,0.091313+0.0098188i,0.10488-0.025114i,0.076302-0.043686i,0.031777-0.038633i,-0.00039112-0.0067231i,0.004075+0.028855i,0.026139+0.035607i,0.027817+0.029723i
0.24016-0.80402i,0.26219-0.81227i,0.4117-0.56084i,0.43042-0.3826i,0.2456-0.23811i,0.08859-0.066773i,-0.02151+0.00081368i,-0.14024+0.019497i,-0.19335+0.043374i,-0.17604+0.051289i,-0.13393+0.073948i,-0.082068+0.087933i,-0.037842+0.065775i,-0.013901+0.028166i,0.0086497-0.0030142i,0.027902-0.028744i,0.029333-0.039043i,0.035027-0.029703i,0.044192-0.027038i,0.031903-0.026239i,0.012994-0.0071651i,0.011931+0.014884i,0.017953+0.016495i
0.65481-0.21565i,0.42336-0.15007i,0.02042+0.22507i,-0.091296+0.35554i,-0.080805+0.08464i,-0.16391-0.087225i,-0.11633-0.0097695i,0.024621+0.026808i,0.035613-0.0098098i,-0.044308-0.011032i,-0.077553+0.0090827i,-0.038501+0.019976i,0.026733+0.010911i,0.070279-0.0082163i,0.080323-0.023551i,0.067269-0.033523i,0.042337-0.038304i,0.020395-0.032782i,0.0095354-0.01537i,0.010281-0.0010577i,0.019401+0.0048436i,0.023944+0.0071924i,0.010451+0.0062984i
0.71171+0.29499i,0.8073-0.083877i,0.43173-0.48502i,0.096226-0.48963i,0.10059-0.28344i,0.20179-0.21858i,0.18277-0.21886i,0.10652-0.19395i,0.03315-0.18046i,-0.03841-0.15165i,-0.059723-0.10032i,-0.019302-0.068088i,0.010771-0.052313i,0.0095329-0.013639i,0.011815+0.043318i,0.045335+0.066601i,0.087155+0.03106i,0.083665-0.015451i,0.028463-0.0096607i,-0.02946+0.036681i,-0.047572+0.069176i,-0.030246+0.066179i,-0.012068+0.037032i
0.13321+0.93667i,0.43177+1.1739i,0.55048+0.93806i,0.46831+0.56102i,0.32553+0.30171i,0.15135+0.17656i,0.00022612+0.10818i,-0.073792+0.039226i,-0.11323-0.020986i,-0.13632-0.037069i,-0.11403-0.0071061i,-0.060106+0.017249i,-0.029353+0.0046203i,-0.041694-0.019091i,-0.059346-0.029384i,-0.054572-0.026591i,-0.024738-0.0043923i,0.021858+0.0256i,0.048987+0.028236i,0.035282-8.8189e-05i,0.0083907-0.030845i,-0.0065136-0.035668i,0.0068111-0.022989i
-0.68679+0.46022i,-0.86807+0.51256i,-0.79148+0.17354i,-0.60267-0.076712i,-0.3331-0.070805i,-0.10366-0.053113i,-0.041687+0.030441i,-0.0047688+0.17063i,0.019408+0.17115i,-0.036736+0.093423i,-0.079483+0.070355i,-0.067904+0.077349i,-0.044323+0.07149i,-0.014177+0.038711i,0.0083528-0.01985i,-0.00017055-0.060591i,-0.012723-0.04538i,-0.0013138-0.00060593i,0.012989+0.024906i,0.021449+0.020517i,0.028092+0.0037061i,0.019686-0.0070638i,0.011692-0.0046144i
-0.61858-0.039301i,-0.51098+0.080279i,0.04295+0.13815i,0.28602+0.070926i,0.10901+0.10351i,0.067246+0.19772i,0.14291+0.11654i,0.097729-0.0055787i,0.017822-0.026324i,-0.032272+0.0048789i,-0.03648+0.051556i,-0.0014014+0.058627i,0.0038349+0.017803i,-0.010943-0.012715i,-0.0099106-0.028065i,0.0054121-0.038477i,0.028006-0.041096i,0.029692-0.038399i,-0.0098755-0.0281i,-0.052598-0.0049024i,-0.058567+0.013147i,-0.037548+0.017948i,-0.0098579+0.028587i
-0.6035-0.53512i,-0.96003-0.46462i,-0.93673-0.016254i,-0.55253+0.22043i,-0.28842+0.099855i,-0.31028+0.0042346i,-0.32232+0.013346i,-0.26341-0.020178i,-0.25506-0.040657i,-0.24806+0.027034i,-0.18033+0.072767i,-0.10669+0.0096273i,-0.078193-0.094866i,-0.066283-0.15463i,-0.047066-0.17142i,-0.050441-0.16426i,-0.077073-0.12123i,-0.079941-0.051604i,-0.031395+0.0022308i,0.026946+0.012299i,0.045967-0.0071118i,0.027718-0.019049i,0.005475+0.003038i
0.26017-0.85632i,0.37233-1.2202i,0.31847-1.1665i,0.19591-0.83197i,0.11757-0.51359i,0.087735-0.27987i,0.029264-0.093693i,-0.037857+0.060281i,-0.043525+0.14572i,-0.01813+0.1371i,-0.010259+0.070583i,-0.010196-0.0068224i,-0.007541-0.04624i,0.013136-0.042274i,0.041526-0.037117i,0.03407-0.044438i,-0.0010612-0.034981i,-0.017493+0.0010159i,0.010656+0.042873i,0.057557+0.05365i,0.066854+0.017364i,0.027478-0.031023i,-0.022859-0.049818i
0.60554-0.14615i,0.65221+0.06295i,0.36755+0.32875i,0.048783+0.34884i,-0.17313+0.1587i,-0.28562+0.080213i,-0.17458+0.10341i,-0.013945+0.068675i,0.013804+0.063973i,-0.0018196+0.12397i,0.034652+0.15378i,0.094614+0.10123i,0.085025+0.014909i,0.018948-0.00901i,-0.021718+0.013735i,-0.025798+0.018051i,-0.0059949-0.0034842i,0.016497-0.029553i,0.018371-0.033724i,0.0015713-0.018633i,-0.017511-0.014112i,-0.031503-0.018173i,-0.040322-0.0088675i
0.48893+0.11911i,0.3825-0.099688i,0.068018-0.34472i,-0.054191-0.25943i,0.10152-0.081121i,0.1758-0.12851i,0.06365-0.16033i,0.019512-0.050339i,0.065979+0.054487i,0.078873+0.12574i,0.067796+0.166i,0.066875+0.1573i,0.081643+0.11215i,0.073739+0.029228i,0.011778-0.055636i,-0.061045-0.089652i,-0.092731-0.085544i,-0.088802-0.058833i,-0.059374-0.0073131i,-0.014006+0.0192i,0.009332-0.0037526i,0.004686-0.024053i,0.0020909-0.019836i
0.2452+0.61114i,0.51309+0.69989i,0.68929+0.52056i,0.51619+0.21572i,0.18696+0.064825i,0.05027+0.13049i,0.05904+0.20696i,-0.015526+0.23245i,-0.13178+0.3041i,-0.099905+0.36292i,0.0075752+0.28528i,0.0015279+0.14664i,-0.069068+0.077745i,-0.094404+0.055011i,-0.085123+0.029419i,-0.088833+0.0091432i,-0.113+0.010912i,-0.12751+0.024304i,-0.10968+0.035323i,-0.0555+0.036538i,-0.0069537+0.0044108i,-0.0041805-0.029584i,-0.0084313-0.021826i
-0.49478+0.27063i,-0.69424+0.29243i,-0.76507+0.22034i,-0.60045+0.11485i,-0.33215+0.036937i,-0.135-0.0084657i,-0.0052959-0.024621i,0.088548-0.021861i,0.15844+0.01939i,0.20418+0.077687i,0.18305+0.084147i,0.10631+0.052742i,0.033821+0.023705i,-0.017362-0.0077752i,-0.055249-0.025436i,-0.056127-0.0038013i,-0.013407+0.019342i,0.032718+0.0035523i,0.048258-0.031338i,0.029804-0.052451i,-0.017587-0.05111i,-0.06418-0.030275i,-0.072049+0.0051016i
-0.10971-0.21232i,0.12028-0.28686i,0.3239-0.33833i,0.26084-0.20737i,0.096955+0.056837i,0.055243+0.19788i,0.04539+0.13435i,-0.037334+0.042145i,-0.12077+0.053908i,-0.072147+0.12337i,0.056579+0.077074i,0.058335-0.06563i,-0.03896-0.10069i,-0.053597-0.046408i,-0.012592-0.025829i,-0.014651-0.022801i,-0.036743-0.0025977i,-0.030236+0.0031084i,0.0085051-0.028654i,0.033146-0.077268i,0.001547-0.096308i,-0.036774-0.056886i,-0.01096-0.00039394i
0.0058173-0.039158i,-0.14408+0.23943i,-0.2045+0.41452i,-0.1317+0.26149i,-0.074867-0.015387i,-0.097716-0.1229i,-0.072784-0.067875i,0.061507+0.0098301i,0.2605+0.042226i,0.38097-0.0012811i,0.33161-0.067367i,0.21031-0.054413i,0.13377+0.0065138i,0.092119+0.037375i,0.0394+0.055781i,-0.0020846+0.084936i,-0.030047+0.092241i,-0.059356+0.090583i,-0.041651+0.10119i,0.020186+0.087182i,0.045761+0.066539i,0.030655+0.07049i,0.022294+0.066069i
-0.26257+9.2348i,0.92576+9.0588i,4.8351+8.6819i,6.8429+4.7876i,5.7329+0.59549i,3.0306-1.6549i,0.8892-1.3952i,0.3046-0.25769i,0.82107+0.27825i,1.3527-0.25963i,0.85775-1.2448i,-0.29255-1.6045i,-1.264-1.1468i,-1.7836-0.21489i,-1.7068+0.57988i,-1.1116+0.83894i,-0.35414+0.72155i,0.19642+0.54443i,0.43638+0.45488i,0.41776+0.47219i,0.3273+0.57274i,0.29569+0.63655i,0.25803+0.5302i
-0.082146+0.25932i,0.030442+0.32397i,0.20013+0.39964i,0.27321+0.36498i,0.29992+0.18347i,0.30041-0.054704i,0.23274-0.21024i,0.21879-0.2073i,0.3045-0.21961i,0.26472-0.31593i,0.053281-0.27919i,-0.067397-0.0684i,-0.0065588+0.085902i,0.037938+0.065675i,-0.014297-0.011168i,-0.051728-0.042068i,-0.047801-0.047885i,-0.040371-0.029453i,-0.0082015+0.013243i,0.03729+0.020191i,0.048263-0.0018494i,0.026292-0.0075338i,0.0041252-0.0054931i
-0.32851-0.19848i,-0.38725-0.26505i,-0.39495-0.25852i,-0.29664-0.2017i,-0.1332-0.065219i,-0.0091962+0.1269i,0.020267+0.21295i,-0.059872+0.13238i,-0.16525-0.010208i,-0.17849-0.1432i,-0.14481-0.2368i,-0.1577-0.24541i,-0.1802-0.16873i,-0.11751-0.066348i,0.023315-0.0060568i,0.1206-0.0038035i,0.13046+0.0011178i,0.11377+0.0086488i,0.077573-0.036638i,0.0098958-0.071053i,-0.023604-0.020924i,0.013833+0.039289i,0.056251+0.027413i
0.16563-0.3272i,0.29244-0.25511i,0.27788-0.12271i,0.090126-0.008958i,-0.094723+0.070709i,-0.10682+0.089174i,0.026977-0.0073713i,0.13995-0.17295i,0.15622-0.28618i,0.068708-0.27609i,-0.03399-0.1367i,-0.004967+0.0088988i,0.076482+0.038136i,0.069256+0.039236i,0.029457+0.088172i,0.033853+0.10116i,0.04569+0.048575i,0.026798+0.0085375i,-0.008968+0.029379i,-0.020141+0.083191i,0.011667+0.1002i,0.026942+0.071252i,-0.00257+0.064899i
0.31189+0.027186i,0.17741+0.12375i,0.0526+0.15091i,0.10475+0.064572i,0.17875-0.086223i,0.054796-0.2052i,-0.155-0.12081i,-0.18905+0.075934i,-0.13367+0.13055i,-0.15914+0.091379i,-0.14507+0.084763i,-0.055926+0.043425i,-0.00023007-0.033261i,0.028526-0.095785i,0.042256-0.15441i,0.027518-0.177i,0.032338-0.13918i,0.074824-0.08754i,0.10187-0.066495i,0.062752-0.075334i,0.00040891-0.091255i,-0.013921-0.11276i,-0.01481-0.13621i
0.11535+0.31976i,0.082256+0.23647i,0.088251+0.086854i,0.10512-0.009958i,0.067493-0.0094552i,0.04904+0.066784i,0.058448+0.085238i,-0.0097387+0.076762i,-0.062851+0.20364i,0.045981+0.32906i,0.15853+0.25554i,0.12478+0.10316i,0.052824+0.036085i,0.040806+0.031583i,0.039992+0.020957i,-0.00080177+0.008638i,-0.057219+0.03242i,-0.089289+0.091724i,-0.056677+0.1406i,0.041738+0.116i,0.095454+0.028972i,0.054415-0.011937i,0.031769+0.030402i
-0.36049+0.16119i,-0.42495+0.087795i,-0.41909+0.021736i,-0.35951-0.00024061i,-0.2539-0.070434i,-0.13977-0.18555i,-0.033691-0.17775i,0.064846-0.082971i,0.099803-0.041074i,0.056762+0.009591i,0.031969+0.11117i,0.050587+0.14881i,0.032374+0.093646i,-0.044975+0.032301i,-0.11431+0.012607i,-0.10603-0.0028505i,-0.039679-0.072075i,0.016878-0.15275i,0.035062-0.15787i,0.023877-0.083801i,-8.2932e-05+0.0085288i,-0.013493+0.065399i,-0.00023454+0.064452i
-0.16564-0.32494i,-0.035363-0.38806i,0.10717-0.32683i,0.12847-0.1639i,0.068315+0.021111i,0.042988+0.17122i,0.075246+0.22932i,0.16427+0.20659i,0.24597+0.12789i,0.24068-0.006166i,0.12985-0.13955i,-0.035185-0.15612i,-0.11028-0.050209i,-0.061485+0.017656i,-0.010398-0.0019048i,-0.0085771-0.012133i,-0.0089739-0.002008i,0.0062717-0.020997i,0.013337-0.062586i,-0.0081278-0.081678i,-0.026015-0.059374i,-0.007878-0.037575i,0.00055184-0.04945i
0.18247-0.23695i,0.10777-0.11991i,-0.023688+0.047577i,-0.070043+0.083777i,-0.054912+0.011615i,-0.079252-0.0018836i,-0.13547+0.011281i,-0.21106-0.025645i,-0.19401-0.046872i,-0.046796-0.088252i,0.039055-0.14906i,0.051116-0.12049i,0.092289-0.070192i,0.092819-0.055503i,0.045745-0.0057691i,0.0157+0.055363i,-0.020421+0.085245i,-0.06231+0.099937i,-0.069213+0.08876i,-0.040401+0.04875i,-0.015116+0.0086419i,-0.01463-0.0035062i,-0.012021+0.016492i
0.35251+0.037039i,0.35926-0.16799i,0.2427-0.33652i,0.095982-0.26391i,0.012958-0.12974i,-0.029172-0.17938i,-0.078249-0.25605i,-0.077554-0.20047i,-0.096649-0.13321i,-0.17662-0.052066i,-0.14078+0.053873i,-0.019682+0.0348i,-0.015348-0.061854i,-0.077808-0.071902i,-0.076226-0.021328i,-0.039548+0.004851i,-0.030927+0.021331i,-0.0456+0.059965i,-0.050602+0.087311i,-0.034096+0.065086i,-0.021114+0.018268i,-0.028084-0.011824i,-0.033023-0.021624i
-0.0098153+0.43442i,0.16379+0.53608i,0.29178+0.51304i,0.25366+0.36606i,0.1428+0.26763i,0.075175+0.32659i,0.12348+0.33048i,0.20093+0.16834i,0.18965+0.027667i,0.11229+0.021305i,0.031685+0.053568i,-0.027807+0.075424i,-0.027961+0.10356i,0.017105+0.087142i,0.035362+0.022784i,0.032624-0.023885i,0.048933-0.058126i,0.06294-0.10233i,0.044008-0.11877i,0.0042679-0.080427i,-0.012123-0.018569i,-0.0010424+0.022994i,0.0014115+0.036119i
-0.38917-0.10048i,-0.45386-0.14478i,-0.4586-0.22508i,-0.37054-0.26233i,-0.18307-0.21387i,0.0030222-0.15177i,0.06328-0.042061i,-0.0078207+0.12731i,-0.036808+0.25258i,0.067538+0.21034i,0.14237+0.054071i,0.096405-0.034703i,0.034629-0.024705i,0.016477+0.002158i,0.016078+0.012944i,0.016758+0.0092599i,0.028778+0.0031562i,0.059209+0.0018136i,0.079621+0.0043679i,0.062481+0.014534i,0.020572+0.021547i,-0.0096828+0.020402i,-0.0089152+0.019228i
0.16796-0.27073i,0.34725-0.13673i,0.4585+0.038577i,0.35109+0.16606i,0.16145+0.21708i,0.069574+0.12503i,0.012591-0.048155i,-0.0092584-0.12666i,0.02263-0.10758i,0.02018-0.067683i,-0.0065181-0.038684i,-0.037536-0.034613i,-0.084553-0.015401i,-0.099837+0.03094i,-0.071817+0.055028i,-0.043462+0.054748i,-0.023313+0.06892i,0.0059106+0.085949i,0.028819+0.056355i,0.024894-0.0022203i,0.01094-0.031031i,0.010928-0.023163i,0.02456-0.014247i
0.20405+0.11161i,-0.013119+0.2738i,-0.15329+0.31167i,-0.045382+0.10178i,0.065335-0.12904i,0.021195-0.14888i,-0.024565-0.086794i,-0.032508-0.1561i,-0.061554-0.25127i,-0.082928-0.20324i,-0.05735-0.063218i,0.036225+0.032553i,0.14363+0.017993i,0.15585-0.053641i,0.088764-0.087599i,0.03557-0.079009i,0.0011409-0.085883i,-0.03526-0.10886i,-0.052825-0.099281i,-0.037517-0.056811i,-0.0039029-0.015727i,0.021441+0.0015005i,0.022454-0.0025684i
0.04175+0.25248i,-0.0045756+0.061505i,-0.037336-0.12635i,-0.089097-0.10467i,-0.16083+0.016774i,-0.12334+0.10882i,-0.0030799+0.20607i,0.1154+0.31946i,0.19874+0.31322i,0.21389+0.1466i,0.17349-0.02629i,0.11328-0.12165i,0.048652-0.16098i,0.0093903-0.14422i,0.0066708-0.10111i,0.0029703-0.08168i,-0.021135-0.075147i,-0.044839-0.042761i,-0.040089+0.010017i,-0.013942+0.030991i,-0.0061702+0.0036195i,-0.02715-0.029026i,-0.040016-0.031706i
-0.35745+0.17789i,-0.30854+0.22386i,-0.1876+0.26637i,-0.066116+0.24728i,0.049235+0.14057i,0.095912+0.019917i,0.096564-0.086659i,0.084831-0.16104i,0.040218-0.1517i,-0.019827-0.08505i,-0.076065-0.027458i,-0.13434+0.039014i,-0.16358+0.11038i,-0.14338+0.12591i,-0.10631+0.092432i,-0.068944+0.073282i,-0.0054615+0.091271i,0.085084+0.10996i,0.13591+0.088196i,0.10244+0.047712i,0.039275+0.035586i,0.011535+0.04797i,0.01608+0.050087i
-0.21424-0.37453i,-0.21067-0.40944i,-0.16126-0.39919i,-0.14075-0.37894i,-0.17173-0.29938i,-0.20423-0.1819i,-0.25083-0.1018i,-0.32157-0.051025i,-0.31447+0.010452i,-0.21191+0.063673i,-0.11552+0.097627i,-0.027204+0.11611i,0.056229+0.10491i,0.074222+0.079749i,0.047047+0.066735i,0.030134+0.061551i,0.017777+0.045214i,-0.0047266+0.0046416i,-0.023762-0.046673i,-0.026715-0.075255i,-0.02344-0.068531i,-0.015129-0.042314i,-0.0021797-0.024425i
0.26629-0.21622i,0.19638-0.11i,0.058935+0.13902i,0.0043517+0.37718i,0.017972+0.42734i,0.023906+0.32525i,0.085893+0.23683i,0.21469+0.1683i,0.26313+0.057065i,0.19832-0.031268i,0.14143-0.070971i,0.10444-0.11659i,0.052502-0.14201i,0.017422-0.11189i,0.012462-0.062542i,0.0075878-0.032691i,-0.023556-0.025403i,-0.075595-0.014649i,-0.10435+0.012521i,-0.079068+0.033274i,-0.027779+0.030393i,-0.0033926+0.010597i,-0.012005+0.001026i
0.27088+0.16157i,0.25911-0.0061273i,0.21253-0.27409i,0.19741-0.43131i,0.22147-0.40617i,0.21115-0.31428i,0.13561-0.23573i,0.061866-0.17586i,0.024142-0.099375i,0.027652-0.030073i,0.027553-0.017507i,-0.016043-0.0033666i,-0.050816+0.032676i,-0.038787+0.032531i,-0.0045098-0.00096366i,0.027848-0.034194i,0.057737-0.045159i,0.088881-0.023323i,0.09886+0.014137i,0.071027+0.040685i,0.037062+0.043468i,0.02297+0.027746i,0.024152+0.0061026i
-0.18142+0.33053i,-0.12724+0.39472i,-0.048476+0.40477i,-0.10096+0.32532i,-0.25482+0.22455i,-0.29724+0.21394i,-0.21411+0.22768i,-0.14436+0.22057i,-0.088921+0.20574i,-0.030928+0.15815i,-0.0062258+0.096105i,0.016879+0.056221i,0.059181+0.025089i,0.07349-0.012126i,0.031046-0.043505i,-0.030226-0.053009i,-0.060526-0.044119i,-0.052994-0.040629i,-0.021278-0.050427i,0.0061271-0.064919i,0.00052393-0.063404i,-0.013739-0.031899i,-0.0091404-3.6194e-05i
-0.31853-0.26133i,-0.36523-0.36806i,-0.34603-0.35168i,-0.17723-0.19377i,0.083844-0.088397i,0.19493-0.13272i,0.16284-0.16846i,0.14684-0.14632i,0.13571-0.13683i,0.095315-0.11865i,0.063446-0.082791i,0.040024-0.059862i,0.018248-0.040431i,0.0011871-0.0091429i,-0.017925+0.036208i,-0.026704+0.082132i,-0.02975+0.10501i,-0.041064+0.095942i,-0.04382+0.061005i,-0.031217+0.018146i,-0.020187-0.0056524i,-0.016482-0.006655i,-0.0087718-0.00025162i
0.27853-0.22981i,0.46499-0.15408i,0.51259-0.10313i,0.27913-0.13866i,-0.0033337-0.093647i,-0.056717+0.027488i,-0.030945+0.051539i,-0.077821+0.011767i,-0.11189-0.0044104i,-0.095189-0.00070468i,-0.060983+0.0063344i,-0.055113+0.0013908i,-0.09438+0.0059033i,-0.10746+0.038249i,-0.048036+0.04629i,0.020433+0.0032566i,0.045198-0.039846i,0.044539-0.044552i,0.030975-0.017248i,0.012925+0.020635i,0.01405+0.041954i,0.032195+0.031978i,0.037458+0.0058264i
0.14964+0.17224i,-0.065267+0.2924i,-0.2392+0.40404i,-0.11787+0.40917i,0.064492+0.26243i,0.057588+0.10367i,0.025976+0.075481i,0.060262+0.099693i,0.079922+0.09047i,0.060029+0.051206i,0.016543+0.01314i,-0.016026+0.010935i,-0.00070704+0.012006i,0.02026-0.025831i,0.00042435-0.063865i,-0.025787-0.051815i,-0.018864-0.015194i,0.0084878+0.00024971i,0.025908-0.0064867i,0.018968-0.013726i,-0.0018223-0.010027i,-0.017143-0.0021096i,-0.024611+0.0031811i
-0.01354+0.17329i,0.071273-0.052864i,0.14577-0.34098i,0.09001-0.42805i,-0.018337-0.34176i,-0.079269-0.2459i,-0.10362-0.17147i,-0.065574-0.11115i,0.0038829-0.095006i,0.026535-0.10052i,0.023494-0.078093i,0.044491-0.055716i,0.055586-0.04888i,0.036175-0.013552i,0.026763+0.032682i,0.02881+0.033643i,0.013914+0.002594i,-0.017896-0.017162i,-0.033182-0.020982i,-0.017522-0.031413i,-0.01097-0.041204i,-0.029909-0.020345i,-0.032815+0.019902i
-0.28303+0.029968i,-0.24594+0.16321i,-0.17178+0.29877i,-0.16237+0.32025i,-0.1559+0.28838i,-0.06174+0.26903i,0.038298+0.19361i,0.017208+0.081585i,-0.072788+0.033259i,-0.0978+0.053406i,-0.042896+0.066328i,0.0026032+0.053349i,0.015753+0.052294i,0.030641+0.04833i,0.036872+0.016114i,0.014294-0.0093995i,-0.0044601-0.00066439i,0.0077124+0.016411i,0.01663+0.028786i,0.0099867+0.046788i,0.021136+0.057734i,0.0506+0.038749i,0.062524-0.0017649i
