-0.001071+0.0002686i,0.00014765-0.0010133i,-0.0011485+0.00038938i,-0.0019109+0.0017231i,8.8581e-06+0.0021405i,0.00098941+0.0010793i,-0.00018803+0.00075181i,3.2473e-05+0.0010385i,0.00082019+0.00043245i,0.00068217-6.5983e-05i,0.0011297-0.00041785i,0.0016917-0.00061547i,0.0010267-0.0012026i,0.00047591-0.0021238i,0.00057147-0.0023406i,-0.00026472-0.001696i,-0.00091363-0.00037289i,-0.00066701-0.00051287i,-0.0012155-0.0016495i,-0.0017311-0.0012602i,-0.00068365+3.2073e-05i,0.0007904+0.00065233i,0.0012035+0.00051242i
0.18568-0.05265i,0.2624+0.044293i,0.17579+0.20663i,0.072219+0.2262i,0.07322+0.056028i,0.026815-0.070759i,-0.057897-0.028447i,-0.068034+0.041966i,-0.04136+0.0412i,-0.032154+0.0085188i,-0.025567-0.012074i,-0.014411-0.016656i,-0.012315-0.012044i,-0.014496-0.0046505i,-0.0091753+0.003736i,-0.0006224+0.010641i,0.0068843+0.012122i,0.0088821+0.0074881i,0.00175+0.0010102i,-0.0064214-0.0044909i,-0.0091034-0.01225i,-0.011548-0.018115i,-0.011238-0.015256i
0.2551-0.081347i,0.27387-0.13389i,0.041469-0.14551i,-0.19193-0.095728i,-0.20726-0.048386i,-0.15639-0.060341i,-0.11917-0.022151i,-0.033306+0.057617i,0.039186+0.075964i,0.04616+0.058087i,0.025635+0.036445i,0.0032915+0.018389i,-0.0032926+0.010321i,0.004339+0.0053844i,0.011812+0.0063605i,0.016585+0.0086653i,0.012788+0.0084317i,0.005417+0.010627i,0.007511+0.015439i,0.01359+0.014522i,0.012867+0.0077694i,0.01107+0.0062151i,0.020405+0.010408i
0.29309+0.0093018i,0.42218-0.15603i,0.34277-0.41235i,0.17859-0.48512i,0.12459-0.35177i,0.11268-0.2643i,0.0077564-0.22921i,-0.097095-0.15068i,-0.10135-0.075139i,-0.053695-0.043721i,-0.0076855-0.037311i,0.0095951-0.042668i,-0.0044729-0.041967i,-0.018836-0.024866i,-0.015353-0.0051463i,-0.0059311+0.0022455i,-0.0051563-0.003403i,-0.01633-0.016626i,-0.032559-0.024255i,-0.032104-0.018898i,-0.013449-0.013273i,-0.0019916-0.01022i,-0.0019998+0.0032135i
0.33078+0.3424i,0.65748+0.53132i,0.84034+0.46854i,0.6996+0.21025i,0.41184+0.034252i,0.23352-0.016125i,0.14877-0.00054832i,0.10561+0.057421i,0.08927+0.080933i,0.057628+0.060978i,0.029925+0.041553i,0.02531+0.012452i,0.014358-0.013877i,0.0010042-0.011226i,0.00050951+0.0067851i,0.0088796+0.020378i,0.020007+0.021496i,0.028758+0.010321i,0.027606+0.0020492i,0.015075+0.008654i,-0.0021967+0.016858i,-0.020003+0.020046i,-0.029296+0.024178i
0.1217+0.38108i,0.1371+0.63575i,0.075623+0.74818i,0.058877+0.63406i,0.12153+0.38732i,0.17617+0.18065i,0.15119+0.064756i,0.084532+0.009086i,0.037247-0.00065262i,0.017384+0.016967i,0.02612+0.026539i,0.040655+0.0093358i,0.032766-0.020205i,0.012702-0.032607i,-0.0013003-0.024713i,-0.010115-0.013793i,-0.015292-0.00095201i,-0.0075314+0.008161i,0.0033642-0.00097495i,-6.9216e-05-0.014252i,-0.0039506-0.020017i,-0.0022673-0.027873i,-0.0017427-0.030581i
-0.066043+0.38303i,-0.23261+0.45188i,-0.44856+0.28405i,-0.46253+0.10804i,-0.25402+0.062354i,-0.12296+0.04767i,-0.15632+0.081254i,-0.17003+0.16119i,-0.11184+0.16648i,-0.060856+0.096087i,-0.02949+0.03815i,0.0066915+0.0097345i,0.02934-0.0049176i,0.023978-0.0050724i,0.011625+0.0032717i,0.0018278+0.0043447i,-0.01246+0.00543i,-0.022599+0.018705i,-0.015827+0.034486i,-0.0025056+0.03494i,0.0037004+0.02267i,0.0049267+0.015293i,0.0096512+0.019948i
-0.071919+0.46285i,0.039015+0.4297i,0.19+0.033863i,0.18725-0.25695i,0.099551-0.17122i,0.10983-0.04246i,0.094409-0.062586i,0.023423-0.086277i,-0.0024985-0.077551i,-0.016842-0.054306i,-0.0059776-0.0054886i,0.033246+0.0066805i,0.034158-0.02137i,0.013878-0.031637i,0.0064853-0.021906i,0.0071292-0.015956i,0.0042181-0.022221i,-0.0054416-0.028878i,-0.011829-0.026291i,-0.0085565-0.018386i,0.00032748-0.0092235i,0.0019769-0.0009407i,-0.007895+0.012041i
-0.35549+0.46863i,-0.26586+0.73565i,0.099138+0.7699i,0.36655+0.54152i,0.33602+0.24809i,0.20632+0.061116i,0.098116-0.039178i,0.016055-0.055855i,-0.0058302-0.01472i,0.009166+0.0068413i,0.022354+0.0091405i,0.038539+0.011804i,0.03729+0.0087938i,0.012205+0.011235i,-0.0036196+0.017409i,-0.0046118+0.015515i,-0.00070874+0.014464i,0.0077795+0.014995i,0.012421+0.0092935i,0.0042375+0.0052055i,-0.0066484+0.010943i,-0.015192+0.016174i,-0.029011+0.01602i
-0.61369+0.24392i,-0.88167+0.51122i,-0.81682+0.70239i,-0.47232+0.63882i,-0.16676+0.43514i,-0.023487+0.32196i,0.043466+0.25368i,0.055633+0.16183i,0.041524+0.086485i,0.023881+0.037117i,0.017138+0.03107i,0.053268+0.038394i,0.093018-0.0033777i,0.088265-0.049801i,0.057842-0.054627i,0.025262-0.040544i,-0.004089-0.019113i,-0.015057+0.0085805i,-0.0034824+0.024611i,0.0090259+0.018477i,0.010219+0.0047072i,0.01084-0.0062417i,0.011779-0.018509i
-0.54044+0.07331i,-0.87123-0.013064i,-1.0196-0.16975i,-0.85893-0.2025i,-0.5301-0.12988i,-0.32161-0.10679i,-0.26035-0.082421i,-0.20615-0.035001i,-0.15254-0.020865i,-0.12242-0.012125i,-0.072632+0.01758i,-0.018363+0.040542i,-0.0015959+0.046482i,-0.0090889+0.040256i,-0.0086871+0.027099i,0.0023711+0.0078513i,0.00017046-0.013912i,-0.018556-0.019071i,-0.027354-0.012029i,-0.019969-0.012036i,-0.0096193-0.010639i,0.00070454-0.0016336i,0.0064846+0.0061062i
-0.51926-0.027364i,-0.50576-0.17675i,-0.15061-0.37741i,0.11191-0.41244i,0.074083-0.22737i,0.0098269-0.063056i,0.0062746-0.050349i,0.010088-0.072104i,0.039464-0.080509i,0.046696-0.080782i,0.020956-0.027431i,0.025773+0.037578i,0.057451+0.042574i,0.073885+0.013882i,0.062252-0.0033292i,0.044062-0.007257i,0.030808-0.015105i,0.013155-0.021374i,-0.00099944-0.010991i,0.0026935+0.0025357i,0.016939+0.0073865i,0.020583+0.012655i,0.0075661+0.021671i
-0.6369-0.28175i,-0.69849-0.26079i,-0.34679-0.076518i,0.012026-0.02279i,0.048341-0.14185i,-0.028379-0.17571i,-0.021194-0.12023i,-0.0072859-0.07044i,-0.0023533-0.021824i,0.012368-0.0050416i,0.0088524-0.0021007i,0.0010771+0.013501i,-0.0066013+0.0093361i,-0.025089-0.00018287i,-0.029723+0.0047045i,-0.015927+0.008905i,0.00037964+0.013704i,0.016121+0.0155i,0.023923+0.00020205i,0.017634-0.012167i,0.0098587-0.0039663i,0.0090249-0.00037423i,-0.0007448-0.017152i
-0.28809-0.47756i,-0.47698-0.47523i,-0.56055-0.093328i,-0.42673+0.22132i,-0.23779+0.17575i,-0.17797+0.060574i,-0.13846+0.073775i,-0.042937+0.10778i,0.037853+0.091853i,0.050122+0.054941i,0.017051+0.045966i,0.011486+0.061769i,0.046902+0.049171i,0.062892+0.017968i,0.042551+0.0070008i,0.016815+0.0096278i,-0.0020471+0.0079142i,-0.016927+0.0099438i,-0.019981+0.0207i,-0.014519+0.023702i,-0.0093045+0.020983i,-0.0012577+0.018158i,0.0080458+0.0035443i
0.0092396-0.35221i,-0.022282-0.66846i,-0.19173-0.79932i,-0.29919-0.59219i,-0.21111-0.30975i,-0.12917-0.18036i,-0.16267-0.097082i,-0.18493-0.014733i,-0.15114+0.029406i,-0.089508+0.049995i,-0.029563+0.058963i,-0.0029078+0.068399i,0.0091235+0.067479i,0.013455+0.039969i,0.0052597+0.014466i,0.0041399+0.00071022i,0.00078693-0.015898i,-0.010618-0.020874i,-0.0095025-0.016117i,-0.0039929-0.022283i,-0.012103-0.026018i,-0.018977-0.013452i,-0.0064781+0.0028782i
-0.2491-0.1964i,-0.12104-0.31966i,0.067346-0.38293i,0.10931-0.3147i,0.060726-0.20451i,0.0097014-0.20491i,-0.058845-0.25132i,-0.066825-0.19093i,-0.0041172-0.10379i,0.0036102-0.075541i,-0.063507-0.043485i,-0.11168+0.0046016i,-0.098768+0.026686i,-0.051083+0.027214i,-0.0071172+0.022768i,0.01748+0.021078i,0.036464+0.012838i,0.042517-0.0057402i,0.028204-0.014224i,0.015897-0.011714i,0.0060912-0.0164i,-0.0094981-0.025951i,-0.01853-0.027605i
-0.07481-0.55535i,0.11886-0.58244i,0.35811-0.3473i,0.41522-0.14225i,0.33615-0.08831i,0.30313-0.086282i,0.30823-0.1075i,0.24243-0.11283i,0.13887-0.066519i,0.074804-0.02511i,0.03602-0.017792i,0.0052756-0.025948i,-0.0069801-0.029194i,-0.011421-0.011958i,-0.021187+0.015261i,-0.027253+0.037842i,-0.020451+0.054882i,-0.0060905+0.060033i,0.0076467+0.04643i,0.015413+0.02659i,0.013525+0.011441i,0.0029695-0.00068864i,-0.010912-0.0041141i
0.50545-0.38144i,0.66445-0.42958i,0.44148-0.21836i,0.15252+0.074003i,0.056569+0.22415i,-0.012662+0.27813i,-0.07851+0.35776i,-0.04061+0.37708i,0.021113+0.27966i,0.045409+0.1534i,0.042062+0.051042i,0.018407-0.0048112i,0.00015997-0.0073911i,-0.0026056+0.014776i,0.013401+0.03011i,0.022293+0.01461i,-0.00042027-0.011794i,-0.026947-0.016722i,-0.031495-0.0067817i,-0.022475+0.0022531i,-0.015674+0.0060968i,-0.011107+0.010754i,0.005363+0.013556i
0.23225+0.45522i,0.44046+0.65572i,0.39704+0.51198i,0.20197+0.23604i,0.11293+0.021536i,0.03877-0.18511i,-0.13927-0.24321i,-0.20396-0.10107i,-0.12723-0.021069i,-0.090048-0.025963i,-0.071503+0.0089361i,-0.025197+0.02823i,-0.012724+0.0046439i,-0.028651-0.015191i,-0.033823-0.020248i,-0.023237-0.012361i,-0.0011918-0.0088004i,0.010888-0.021804i,0.0064339-0.026016i,-0.0013028-0.017895i,-0.02151-0.010124i,-0.052242+0.0056756i,-0.055505+0.026858i
-0.68712+0.19306i,-0.78416+0.43836i,-0.58368+0.39239i,-0.28355+0.17525i,0.077568+0.055799i,0.40574-0.12653i,0.34152-0.41311i,-0.033989-0.40604i,-0.16724-0.13473i,-0.045446-0.044809i,-0.030595-0.092262i,-0.065812-0.044133i,-0.015539+0.0091875i,0.015186+0.008305i,-0.016181+0.011137i,-0.049756+0.018609i,-0.043756+0.020542i,-0.0072596+0.018415i,0.024069+0.0055584i,0.032438-0.015446i,0.023083-0.034285i,0.010678-0.046705i,-0.0024492-0.038504i
-0.21722-0.62155i,-0.26177-0.60897i,-0.086358-0.42998i,0.10587-0.2717i,0.17337-0.064587i,0.24607+0.13716i,0.31736+0.09681i,0.21872-0.084822i,0.056603-0.12763i,0.03023-0.10246i,0.037213-0.1439i,-0.016036-0.15883i,-0.045073-0.097761i,-0.0064484-0.028i,0.055723-0.0076719i,0.074517-0.022525i,0.043462-0.012901i,0.0085139+0.017043i,-0.0042315+0.037777i,0.0091112+0.041819i,0.028525+0.028167i,0.038113+0.025346i,0.038743+0.033467i
-0.91702+6.4467i,1.5691+6.285i,4.3791+5.2325i,4.8803+1.8844i,3.4685-1.2868i,1.1958-2.713i,-0.48899-1.9675i,-0.8906-0.55152i,-0.19703+0.2265i,0.71448-0.15109i,0.71797-1.003i,0.071367-1.437i,-0.65105-1.7979i,-1.4462-2.3497i,-1.7478-2.3383i,-1.1682-1.3667i,-0.42228-0.38171i,-0.32243+0.029296i,-0.68131+0.28445i,-0.65045+0.61397i,-0.064179+0.73917i,0.49805+0.43323i,0.53676-0.068033i
-0.067297+0.37853i,-0.13043+0.83764i,-0.097597+0.9824i,-0.1007+0.73881i,-0.18938+0.48291i,-0.18129+0.34595i,-0.11349+0.17873i,-0.10167+0.057554i,-0.083088+0.031654i,-0.065985+0.03721i,-0.061307+0.08411i,-0.01143+0.1142i,0.019207+0.057469i,-0.021834-0.0097562i,-0.063943-0.026997i,-0.054342-0.0287i,-0.020907-0.038148i,-0.0050519-0.033344i,-0.0076739-0.0010576i,-0.0052238+0.026817i,0.0091985+0.026583i,0.01794+0.0046322i,0.005859-0.0093844i
-0.82366-0.42572i,-1.3306-0.37377i,-1.3736-0.26259i,-1.098-0.15521i,-0.84617+0.036477i,-0.57307+0.21787i,-0.2382+0.21518i,-0.025312+0.1113i,0.032139+0.043447i,0.029136+0.034914i,0.040195+0.059987i,0.063122+0.071606i,0.067212+0.049636i,0.05175+0.022849i,0.026339+0.00049932i,0.0032915-0.023584i,-0.00853-0.030324i,-0.0023491-0.008728i,0.020052+0.012908i,0.041143+0.019362i,0.048982+0.017082i,0.039972+0.0047342i,0.012385+0.0015029i
-0.083604-1.1293i,-0.38097-1.3706i,-0.3935-1.0433i,-0.17872-0.57539i,-0.19236-0.2879i,-0.39768-0.0033127i,-0.40418+0.23753i,-0.20179+0.19506i,-0.032826+0.019204i,0.045928-0.070908i,0.067824-0.096166i,0.039595-0.096366i,0.022447-0.06859i,0.052073-0.045262i,0.081629-0.046673i,0.075191-0.045383i,0.051261-0.023192i,0.028732-0.0038521i,0.0045757-0.0021526i,-0.011179+0.0061136i,-0.0034883+0.030933i,0.011332+0.049543i,0.01006+0.041646i
0.65057-0.60631i,0.69793-0.80876i,0.61475-0.62901i,0.5249-0.3318i,0.39542-0.23033i,0.24693-0.25042i,0.13762-0.19067i,0.095122-0.044811i,0.10341+0.016235i,0.085147-0.032829i,0.039891-0.063227i,0.027239-0.054238i,0.029042-0.050824i,0.012149-0.047719i,-0.008199-0.032218i,-0.025936-0.014382i,-0.040495-0.0054923i,-0.037492-0.005428i,-0.018288-0.012878i,-0.0052914-0.011259i,-0.0041391+0.020511i,-0.00039716+0.05729i,0.014139+0.059468i
0.55454-0.10377i,0.48005-0.05875i,0.19139+0.13529i,-0.019914+0.14872i,-0.1329-0.095251i,-0.23334-0.20988i,-0.24939-0.10697i,-0.17816-0.0088259i,-0.075189+0.045146i,0.027754+0.082606i,0.079251+0.092365i,0.076718+0.094928i,0.065977+0.084224i,0.064645+0.050099i,0.064369+0.0049293i,0.054418-0.030814i,0.041263-0.039263i,0.038643-0.037351i,0.029923-0.04244i,0.0059485-0.044908i,-0.014005-0.034385i,-0.012626-0.016977i,0.0053584-0.014331i
0.47055-0.13589i,0.28409-0.36739i,-0.14546-0.3946i,-0.29692-0.14274i,-0.095287+0.089669i,0.054205+0.15141i,0.043829+0.17434i,0.04087+0.18975i,0.059545+0.14802i,0.041745+0.097254i,0.0094269+0.074858i,-0.016038+0.054211i,-0.025425+0.027101i,-0.017961-0.0068304i,-0.013149-0.038748i,-0.009833-0.049138i,-0.0043641-0.043456i,-0.00087518-0.025555i,0.006273-0.002369i,0.012139+0.0064663i,0.0056951+0.0032973i,-0.0040628+0.0021446i,-0.0029048+0.0090859i
0.55981+0.25457i,0.7159+0.044656i,0.57231-0.25372i,0.2814-0.38916i,0.055766-0.40454i,-0.085358-0.35808i,-0.16695-0.22273i,-0.16576-0.091555i,-0.12407-0.024106i,-0.086691+0.0087373i,-0.073401+0.012789i,-0.092727+0.016887i,-0.098646+0.04508i,-0.072142+0.065149i,-0.044289+0.057113i,-0.021972+0.042213i,0.0087602+0.029655i,0.033025+0.01054i,0.025897-0.0039396i,-0.00041111-0.0010558i,-0.019143+0.0070044i,-0.024356+0.0069231i,-0.023815-0.0023302i
0.17249+0.30008i,0.35982+0.22972i,0.50864+0.051906i,0.54142-0.016607i,0.52611+0.067067i,0.46169+0.10371i,0.29832+0.038566i,0.16056+0.0072918i,0.10757-0.0059337i,0.054716-0.030223i,0.0088369-0.043383i,-0.02335-0.079301i,-0.060865-0.098081i,-0.064698-0.070861i,-0.047165-0.043469i,-0.037547-0.022273i,-0.022084-0.0026914i,-0.0030324+0.0074688i,0.015432+0.0096488i,0.027805+0.0025296i,0.023008-0.0086778i,0.012687-0.020162i,0.009023-0.028235i
0.18879+0.10106i,0.22295+0.094026i,0.12866+0.17755i,0.084626+0.20237i,0.12375-0.0048398i,0.10888-0.22295i,0.038038-0.25235i,-0.051067-0.15591i,-0.083684-0.011077i,-0.010671+0.058628i,0.045754+0.0076403i,0.031233-0.035336i,0.018477-0.012826i,0.018888+0.028374i,0.014159+0.044717i,-0.0047733+0.034202i,-0.027512+0.029749i,-0.028032+0.029638i,-0.017367+0.02094i,-0.015193+0.014806i,-0.014016+0.013741i,-0.0035184+0.012442i,0.0096876+0.0097299i
0.3781+0.55984i,0.6145+0.63099i,0.59158+0.4706i,0.48509+0.3177i,0.49402+0.25318i,0.45783+0.16994i,0.30458+0.077695i,0.19372+0.0082653i,0.12294-0.058156i,0.037571-0.046337i,0.023021+0.014204i,0.045393-0.0034473i,0.0065609-0.039525i,-0.046596-0.017307i,-0.056938+0.016128i,-0.037476+0.021381i,-0.02232-0.0023172i,-0.020099-0.01709i,-0.010539-0.003583i,0.0071129+0.0036407i,0.015886-0.011702i,0.011165-0.024021i,0.0056024-0.0086575i
-0.40943+0.79486i,-0.43483+0.98302i,-0.4522+0.69243i,-0.5191+0.36936i,-0.44213+0.30951i,-0.18497+0.27333i,0.013496+0.13327i,0.030115+0.077776i,0.020219+0.15991i,0.073636+0.17609i,0.090378+0.084295i,0.072257+0.032613i,0.073491+0.026912i,0.054757+0.018341i,0.016014+0.026436i,-0.0081319+0.045113i,-0.0061108+0.050746i,0.0091281+0.032551i,0.0039001+0.0022487i,-0.01818-0.011033i,-0.026735-0.0050632i,-0.021963+0.0017559i,-0.023345+0.0063281i
-0.86874+0.062642i,-0.92722+0.14808i,-0.51029+0.034481i,-0.073677-0.15367i,0.11857-0.16201i,0.17064-0.064891i,0.13803-0.032128i,0.057127-0.066745i,-0.044172-0.1102i,-0.11585-0.069045i,-0.082924+0.0078113i,-0.036862+0.0107i,-0.049045-0.013068i,-0.058196-0.023158i,-0.058282-0.024508i,-0.055678-0.0068132i,-0.039209+0.014437i,-0.019183+0.029947i,0.0052308+0.037426i,0.027505+0.027725i,0.036069+0.0043603i,0.030323-0.018533i,0.01216-0.031271i
-0.56815-0.50494i,-0.73109-0.49581i,-0.54931-0.28763i,-0.3351-0.084729i,-0.38718+0.091518i,-0.44089+0.26327i,-0.2741+0.29792i,-0.098325+0.22305i,-0.0060394+0.17859i,0.05361+0.12456i,0.053471+0.054822i,0.050021+0.029669i,0.077079+0.017383i,0.080097+0.009803i,0.055909+0.011661i,0.014679+0.014592i,-0.028006+0.027672i,-0.04489+0.029223i,-0.04192+0.0091683i,-0.03275-0.0031592i,-0.013408+0.0057468i,0.010478+0.015721i,0.017405+0.0066099i
-0.057578-0.46431i,0.046171-0.37824i,0.34977-0.15717i,0.52721-0.22341i,0.37133-0.50294i,0.12381-0.53974i,0.019075-0.35581i,-0.015823-0.24796i,-0.089067-0.21022i,-0.11925-0.1158i,-0.049459-0.036637i,0.0036522-0.031959i,-0.0021331-0.029939i,-0.013464-0.020266i,-0.025093-0.021877i,-0.033027-0.029461i,-0.035236-0.045688i,-0.033711-0.045117i,-0.017651-0.018139i,-0.0018628+0.0065222i,-0.00036371+0.02173i,0.0012023+0.029227i,0.015317+0.018406i
-0.01999-0.68911i,-0.46656-0.67585i,-0.87669-0.14323i,-0.80612+0.39573i,-0.46986+0.50889i,-0.29677+0.38247i,-0.1857+0.27869i,-0.015718+0.22712i,0.12676+0.17613i,0.15602+0.08224i,0.081316+0.018203i,0.029477+0.027972i,0.035715+0.03722i,0.037093+0.02819i,0.034936+0.011893i,0.030069-0.012552i,0.021783-0.02509i,0.016646-0.025525i,0.0025303-0.022808i,-0.012222-0.01799i,-0.022271-0.013767i,-0.029379-0.0058096i,-0.02034+0.0076761i
0.81869-0.54791i,0.87744-1.0424i,0.52986-1.2765i,0.22545-1.1607i,0.16181-1.0167i,0.063935-0.88257i,-0.083676-0.55717i,-0.13421-0.2762i,-0.16376-0.17326i,-0.14285-0.070869i,-0.025635+0.0018827i,0.041113+0.0033071i,0.030081+0.01351i,0.014441+0.021034i,0.0074326+0.018685i,0.019047+0.016985i,0.034466+0.0038151i,0.028236-0.007608i,0.016974-0.0034539i,0.014772+0.0089516i,0.008676+0.015487i,-0.0021143+0.018978i,-0.0057622+0.030733i
0.65505+0.52388i,0.88605+0.55811i,0.77161+0.37173i,0.49936+0.2847i,0.36611+0.3794i,0.3337+0.33261i,0.23235+0.14107i,0.16378+0.075236i,0.20217+0.096648i,0.19232+0.072654i,0.099301+0.061146i,0.029131+0.068482i,-0.010154+0.053399i,-0.032718+0.038373i,-0.028914+0.029836i,-0.014312+0.026045i,0.0042895+0.030377i,0.021496+0.019252i,0.013535-0.0053716i,-0.0082553-0.016941i,-0.018181-0.020588i,-0.025469-0.026577i,-0.03854-0.024153i
0.06667+0.43393i,0.26372+0.38373i,0.4253+0.045311i,0.32239-0.29925i,0.088181-0.44917i,0.0088846-0.41792i,0.003942-0.29075i,-0.073817-0.15332i,-0.1525-0.039783i,-0.13522+0.029397i,-0.067058+0.03349i,-0.034431+0.01062i,-0.025251-0.011269i,-0.015766-0.031443i,-0.013077-0.025207i,-0.011216+0.0030002i,-0.0086189+0.024917i,-0.0062216+0.032411i,0.0031457+0.02659i,0.01212+0.012695i,0.014383-0.0047576i,0.014113-0.02052i,0.0062722-0.026516i
-0.09368+0.33639i,-0.029157+0.56766i,0.08709+0.72544i,0.21167+0.72224i,0.32168+0.64302i,0.33033+0.54908i,0.25419+0.37815i,0.18969+0.17888i,0.13544+0.044841i,0.056415+0.0015637i,-0.013038+0.025014i,-0.035707+0.042756i,-0.030825+0.03656i,-0.019807+0.034626i,-0.018672+0.027114i,-0.032069+0.014142i,-0.041814+0.0090741i,-0.033658+0.0020945i,-0.020499-0.00699i,-0.012194-0.0080293i,0.00039784-0.0046127i,0.012063-0.0072386i,0.014056-0.017295i
-0.33241+0.26575i,-0.42481+0.35516i,-0.41215+0.23963i,-0.38136+0.025564i,-0.40376-0.10575i,-0.39858-0.12379i,-0.2994-0.057642i,-0.18536-0.0041157i,-0.12863-0.0046649i,-0.10092-0.020438i,-0.071595-0.041492i,-0.047638-0.059325i,-0.032552-0.065121i,-0.032213-0.059266i,-0.035373-0.04066i,-0.024662-0.024681i,-0.0085472-0.021708i,0.0046674-0.017237i,0.013752-0.005488i,0.013024+0.0031767i,0.0085596+0.0075073i,0.012505+0.010661i,0.023378+0.011163i
-0.43208-0.075637i,-0.52354+0.0016964i,-0.35103+0.058307i,-0.101+0.029137i,0.049958+0.029296i,0.12032+0.067962i,0.10793+0.034858i,0.061873-0.0079201i,0.059986-0.013764i,0.060957-0.033857i,0.021485-0.047096i,-0.008303-0.027553i,0.0065082-0.0035464i,0.032101-0.0027698i,0.02923-0.018715i,0.0065895-0.023752i,-0.0047746-0.012331i,-2.077e-05-0.0039552i,0.0037588-0.008203i,0.0034201-0.017009i,0.0040496-0.018808i,-0.0007239-0.011698i,-0.010216-0.0010363i
-0.099524-0.47942i,-0.25982-0.65277i,-0.35875-0.60321i,-0.34513-0.4181i,-0.34425-0.24909i,-0.34021-0.11941i,-0.24433-0.024618i,-0.12574+0.0021716i,-0.06501-0.023488i,-0.037316-0.047942i,-0.0013749-0.065491i,0.02145-0.085412i,0.011733-0.069951i,0.0056372-0.018117i,0.017508+0.018988i,0.028447+0.020549i,0.028911+0.009818i,0.021927+0.0094691i,0.017045+0.017328i,0.01442+0.022955i,0.014404+0.022876i,0.021641+0.017034i,0.027713+0.010652i
0.28011-0.089301i,0.43967-0.15664i,0.50431-0.16761i,0.42038-0.13414i,0.24404-0.12839i,0.091272-0.11113i,0.019589-0.071195i,0.0096585-0.027797i,0.039019+0.023907i,0.076449+0.044479i,0.082898+0.031498i,0.078331+0.026227i,0.068793+0.027086i,0.031391+0.020271i,-0.013804+0.012204i,-0.039493+0.015896i,-0.041788+0.028272i,-0.029266+0.028279i,-0.018452+0.011901i,-0.016285-0.0049978i,-0.0215-0.0064121i,-0.02749+0.0074677i,-0.026154+0.015318i
-0.064654+0.12107i,-0.085232+0.32557i,0.024347+0.49148i,0.16075+0.396i,0.15744+0.13265i,0.084991-0.020652i,0.060714-0.049294i,0.028358-0.064195i,-0.04169-0.068316i,-0.078682-0.035199i,-0.049657+0.0022809i,-0.014193+0.012254i,-0.016405+0.012607i,-0.018764+0.015677i,-0.0044928+0.011774i,0.0027838-0.0010951i,-0.0022865-0.014724i,-0.0060759-0.017873i,-0.001578-0.006518i,0.0063129+0.0057834i,0.0067591+0.0033586i,-0.0026678-0.0018595i,-0.0064812+0.0031383i
-0.022067-0.28854i,-0.30188-0.45464i,-0.64207-0.3503i,-0.6697-0.075067i,-0.41431+0.064424i,-0.21479+0.093652i,-0.10388+0.12987i,-0.0012421+0.12445i,0.056082+0.079015i,0.060307+0.037727i,0.040382+0.022595i,0.0332+0.026447i,0.029854+0.013945i,0.00061335+0.004462i,-0.024603+0.0085582i,-0.02747+0.0013483i,-0.023013-0.0064447i,-0.014696-0.0071862i,-0.0085545-0.012961i,-0.0084538-0.019164i,-0.0060693-0.018599i,-0.0015184-0.016372i,-0.003223-0.012995i
0.30554+0.024403i,0.47059-0.21426i,0.37424-0.4763i,0.14622-0.47675i,0.061407-0.33996i,0.014793-0.27356i,-0.097364-0.18745i,-0.142-0.08667i,-0.12704-0.058737i,-0.1087-0.035275i,-0.063697+0.0046027i,-0.018752+0.025434i,0.0082291+0.023386i,0.019656-0.0042781i,0.016649-0.024949i,0.019762-0.02452i,0.021546-0.023217i,0.011487-0.01547i,0.0042931+0.00030792i,0.0034894+0.0085701i,0.00025107+0.005584i,-0.0062805+0.0023497i,-0.0083375+0.0069605i
-0.10035+0.17062i,0.017747+0.25676i,0.19485+0.21987i,0.21603+0.15602i,0.1328+0.20407i,0.1173+0.23052i,0.12892+0.13062i,0.11803+0.053679i,0.12232+0.034365i,0.09637+0.0062838i,0.027217+0.0061279i,-0.019049+0.035721i,-0.029294+0.044718i,-0.024244+0.033165i,-0.01706+0.022499i,-0.0058041+0.022888i,0.014819+0.020438i,0.027004+0.0010451i,0.016109-0.019643i,-0.0021447-0.021695i,-0.0087831-0.015307i,-0.0096186-0.018901i,-0.016593-0.026609i
0.10727-0.18404i,0.21194-0.28403i,0.24207-0.32424i,0.15225-0.3316i,0.037716-0.31608i,-0.027561-0.24249i,-0.055477-0.14085i,-0.08367-0.068014i,-0.10596-0.023804i,-0.084745+0.0046589i,-0.051228+0.0063813i,-0.044509-0.00029476i,-0.031793+0.0033278i,-0.0056063+0.0016809i,0.0072931+0.00048794i,0.010363+0.013323i,0.013005+0.029033i,0.019504+0.036419i,0.031099+0.02858i,0.034079+0.01087i,0.028841-0.00059869i,0.031885-0.0080697i,0.035306-0.020235i
0.18654+0.33082i,0.35942+0.61634i,0.43952+0.71713i,0.36302+0.59474i,0.24979+0.47129i,0.18756+0.37153i,0.13569+0.21088i,0.077985+0.078768i,0.044219+0.022686i,0.0083355+0.010048i,-0.028483+0.016461i,-0.047629+0.016923i,-0.053875+0.023718i,-0.042023+0.033046i,-0.034677+0.023958i,-0.045171+0.019654i,-0.050377+0.028252i,-0.045663+0.030117i,-0.039071+0.026222i,-0.027676+0.020846i,-0.010063+0.013709i,0.007157+0.013572i,0.022526+0.016829i
