-0.0043417+0.0014969i,-0.00028973-0.0003704i,-0.00077295-0.0012406i,-0.001425-0.0010467i,0.00037678-0.00076577i,0.0021199-0.0014368i,0.00147-0.00054186i,0.00014518+0.0012657i,0.00043853+0.0014216i,0.0011113+0.00068798i,0.00087752+0.00028891i,0.0014155-0.00031786i,0.0019847-0.00060748i,0.0015009-0.00044389i,0.0012443-0.00062475i,0.00072361-0.00065923i,0.00017204-0.00015897i,-0.00023433+0.00033943i,-9.747e-05+0.00038298i,-0.00024531-8.443e-06i,-0.00072431+0.00040561i,-0.00095751+0.0010068i,-0.00062509+0.00076832i
-0.00039159-0.0050968i,0.01123-0.014975i,0.020824-0.038459i,0.018771-0.066995i,0.013941-0.087349i,0.0021963-0.080292i,-0.014691-0.05132i,-0.016116-0.030041i,-0.0071094-0.023627i,-0.0050059-0.018217i,-0.0062914-0.0089226i,-0.0036797-0.0022922i,-0.0024849-0.00014244i,-0.0023413+0.00018405i,0.00016846+0.0013788i,0.0027836+0.0042769i,0.0037738+0.0039121i,0.0023465+0.00050586i,0.00044746-0.0016274i,0.00011808-0.0022648i,0.00080408-0.0026836i,0.0014445-0.0035239i,0.0012631-0.0034014i
-0.0030292-0.0082631i,0.0077472-0.0071907i,0.019144+0.00060782i,0.011818+0.028324i,-0.017133+0.052299i,-0.035062+0.042785i,-0.029652+0.025838i,-0.022106+0.023087i,-0.019027+0.027468i,-0.01128+0.029709i,-0.0014056+0.022625i,0.0021245+0.012545i,0.0029769+0.007263i,0.0047807+0.0036268i,0.0050728-0.00068771i,0.0027823-0.0024406i,-0.00061861-0.0011997i,-0.0029572+0.00083678i,-0.0027215+0.0016549i,-0.00079213+0.0010531i,0.000169+0.00010639i,0.00051715-0.00044059i,0.00063577-0.0015393i
-0.0053803-0.0024576i,-0.0019399-0.018188i,0.01233-0.054908i,0.042159-0.088036i,0.062937-0.088483i,0.045193-0.06147i,0.013243-0.032644i,0.0069113-0.011619i,0.017889-0.0044608i,0.020019-0.0079512i,0.010694-0.007611i,0.0049006-0.0033447i,0.0047865-0.0028496i,0.0027655-0.0035293i,0.00064387+0.00017537i,0.0011398+0.0050806i,0.0036404+0.0060335i,0.0055692+0.0042277i,0.005013+0.0010464i,0.0032542-0.00088364i,0.0017239-0.0017348i,0.0013443-0.003224i,0.0015422-0.0038656i
-0.0051836+0.0048544i,-0.013008+0.0095926i,-0.037672+0.0045374i,-0.079463+0.0015476i,-0.11376+0.0020521i,-0.11045+0.0056179i,-0.077939+0.015387i,-0.04827+0.016041i,-0.033309+0.0096533i,-0.025211+0.010532i,-0.013744+0.012636i,-0.0033318+0.006835i,-0.0010239+0.0017825i,-3.9799e-05+0.0016522i,0.0044787+0.00080495i,0.0073482-0.0023228i,0.005662-0.0047064i,0.0015653-0.0046672i,-0.0017254-0.0022333i,-0.0020774+0.00014438i,-0.0013896-0.00070649i,-0.0012496-0.0030201i,-0.0023996-0.003873i
-0.0064716+0.0049781i,-0.0083926+0.008749i,0.0030069-0.005745i,0.039792-0.01175i,0.071684+0.017513i,0.0618+0.042076i,0.035094+0.039437i,0.024046+0.031575i,0.024635+0.026694i,0.026711+0.018619i,0.021658+0.0066139i,0.011636+2.3151e-05i,0.0086802-0.00040885i,0.009126-0.0021212i,0.005063-0.0033542i,-6.6361e-05-0.00036721i,-0.0014906+0.0032061i,0.00077149+0.0035216i,0.0029031+0.0015382i,0.003022-0.00063431i,0.0023298-0.0029831i,0.00087588-0.0038172i,-0.00027149-0.0026998i
-0.0066601+0.017899i,-0.022883+0.035652i,-0.066195+0.027434i,-0.11285-0.016702i,-0.12312-0.058796i,-0.091045-0.056657i,-0.051912-0.0271i,-0.02463-0.012175i,-0.012391-0.016445i,-0.011833-0.01622i,-0.0090317-0.0068817i,-0.0015436-0.0037113i,0.00057689-0.0073518i,-0.0012426-0.0065825i,0.00069886-0.0015945i,0.0053931+0.00093799i,0.0084488-0.0012079i,0.0075829-0.0056133i,0.0033122-0.0064319i,-0.00049435-0.0030938i,-0.0017693-0.0015771i,-0.0020414-0.002928i,-0.0012969-0.0030675i
0.006523+0.021858i,0.013387+0.053416i,0.012008+0.087038i,0.013237+0.12678i,0.016795+0.15763i,0.011211+0.14451i,0.0074015+0.099317i,0.0042446+0.059319i,0.0013128+0.040195i,0.007032+0.032688i,0.014095+0.019329i,0.010152+0.0040907i,0.003441-0.00029496i,0.0038287+0.00021268i,0.0040264-0.0022295i,0.00052476-0.0044302i,-0.0024095-0.004546i,-0.0027403-0.0027498i,-0.00043631-0.00035247i,0.0025293-0.00013795i,0.0022286-0.0016781i,-0.00062266-0.0031802i,-0.001502-0.0026893i
0.0075853+0.028166i,0.012781+0.054115i,-0.00081499+0.04251i,-0.011634-0.023167i,0.015095-0.07836i,0.043583-0.070745i,0.042803-0.033715i,0.033424-0.014595i,0.024442-0.014681i,0.016455-0.019038i,0.0089492-0.018424i,0.003874-0.012256i,0.0032959-0.01157i,0.00059063-0.013943i,-0.0033888-0.0094529i,-0.001763-0.0010016i,0.002808+0.0030911i,0.0044638+0.0012547i,0.0023178-0.00022646i,-0.0012422-0.00019546i,-0.0024374-0.0012131i,-0.0018146-0.0017733i,-0.0012274-0.00077228i
0.022738+0.017077i,0.048823+0.064556i,0.048881+0.12623i,0.0064566+0.17649i,-0.048369+0.18282i,-0.055593+0.13709i,-0.025507+0.077934i,-0.0083621+0.037166i,-0.0097948+0.018748i,-0.0099264+0.017214i,-0.0018515+0.013486i,0.00043363+0.0021548i,-0.0050988-0.0022806i,-0.0064012+0.0019995i,-0.0019076+0.004193i,0.00069444+0.0011412i,-0.00038764-0.0030662i,-0.0014069-0.0051258i,0.00021568-0.0035321i,0.0031369-0.00094755i,0.0026881-0.0011087i,-0.00068818-0.0028467i,-0.0014937-0.0033606i
0.03029+0.012134i,0.072041+0.027303i,0.11411+0.021766i,0.1521-0.011358i,0.1795-0.033048i,0.15786-0.016287i,0.10319+0.0020312i,0.055571+0.0032013i,0.03015-0.00037207i,0.024833-0.0056908i,0.01854-0.013229i,0.0057684-0.012129i,0.0023805-0.003658i,0.0051221-0.001899i,0.0042846-0.0025982i,0.0017555+0.00082695i,8.1291e-05+0.0040608i,-0.00033014+0.0033066i,0.00017267-0.00039121i,-0.00060032-0.0040113i,-0.0025417-0.0045344i,-0.0026867-0.0023954i,-0.0011928-0.00020277i
0.033355+0.0026068i,0.074344+0.029033i,0.071432+0.053204i,-0.0046582+0.057072i,-0.074901+0.03287i,-0.065036+2.7296e-05i,-0.019891-0.013965i,-0.0014128-0.013235i,-0.005854-0.00606i,-0.011225-0.0020235i,-0.012218-0.0032212i,-0.0086742-0.0051648i,-0.0075395-0.0080781i,-0.0096824-0.0059088i,-0.0067302+0.00079107i,-0.0013265+0.0028863i,0.001521+0.00018261i,0.00091345-0.0032338i,-0.00060261-0.0049773i,0.00012846-0.0035075i,0.0015136-0.002155i,0.0014326-0.0022507i,0.0011973-0.0031164i
0.037132-0.013234i,0.09863-0.022161i,0.17538-0.030665i,0.22909-0.012902i,0.2236+0.035816i,0.16359+0.053695i,0.092208+0.027063i,0.045214+0.005942i,0.025402+0.0020362i,0.021323+0.0017183i,0.017169-0.0024301i,0.0036932-0.0034465i,-0.0049138+0.003808i,0.00044504+0.0096292i,0.0069196+0.0081002i,0.0067645+0.0052589i,0.0031991+0.0046554i,0.00028671+0.0030847i,-0.00032408-0.00039797i,0.00020261-0.0041265i,-0.0015887-0.0063117i,-0.0041442-0.0056384i,-0.0041203-0.0031495i
0.027831-0.017675i,0.055142-0.038342i,0.040925-0.080012i,-0.026234-0.13422i,-0.067671-0.1693i,-0.039214-0.14081i,-0.0033973-0.084325i,-0.002883-0.045417i,-0.013028-0.020964i,-0.014108-0.013427i,-0.012747-0.013427i,-0.0083839-0.0082346i,-0.00039967-0.0060253i,0.0017555-0.0068687i,-0.00036304-0.0052726i,0.00080791-0.0025637i,0.003336-0.00047267i,0.0031928-0.0011877i,0.0011448-0.0032252i,-0.0012662-0.0034304i,-0.0026422-0.002939i,-0.0021042-0.0024161i,-0.0011361-0.0019246i
0.018564-0.029629i,0.061083-0.051259i,0.097181-0.049241i,0.10402+0.021049i,0.086459+0.10797i,0.055758+0.10143i,0.026986+0.038533i,0.011785+0.011136i,0.012514+0.012505i,0.014004+0.012865i,0.0090231+0.008416i,0.0013802+0.0013414i,-0.0061537-0.0006313i,-0.0060287+0.0038258i,0.0012362+0.0058741i,0.0053585+0.0050078i,0.0028257+0.0044771i,-0.0023145+0.0034228i,-0.005596+0.0015459i,-0.0058909-0.0011322i,-0.0057087-0.0040327i,-0.0055062-0.0047038i,-0.0043611-0.0041276i
0.0033098-0.025186i,0.0011116-0.068986i,-0.012882-0.14819i,-0.022444-0.22747i,0.0043876-0.23682i,0.03582-0.17244i,0.025645-0.097191i,0.0043989-0.051242i,-0.0047863-0.03258i,-0.004394-0.027271i,-0.0032867-0.022356i,-0.0056455-0.010139i,-0.0024998+0.00063526i,0.0029394-0.00043225i,0.0046093-0.0057317i,0.0057379-0.0060381i,0.0067331-0.0029663i,0.0055572-0.00090255i,0.0022654-0.00030239i,-0.0027045+0.00044229i,-0.0066602+0.00088171i,-0.0063476+0.00081181i,-0.0035975+0.00079583i
0.00014163-0.01656i,-0.0046047-0.023309i,-0.039346+0.011359i,-0.096169+0.095289i,-0.12941+0.14059i,-0.099805+0.096502i,-0.054011+0.03091i,-0.035036+0.013305i,-0.019034+0.023676i,-0.0070483+0.02193i,-0.0061295+0.011759i,-0.0059476+0.0020477i,-0.0058827-0.00452i,-0.0066821-0.0043448i,-0.0056268-0.0013282i,-0.0033076+0.0002411i,-0.0019533+0.0014722i,-0.0028338+0.0015117i,-0.0050851+0.00058276i,-0.0064082+0.0012174i,-0.004589+0.0010337i,-0.002165-0.00050204i,-0.002249-0.0014125i
-0.020798-0.019685i,-0.031917-0.043988i,-0.028078-0.08434i,0.036634-0.11329i,0.13531-0.10994i,0.13964-0.082345i,0.065469-0.046501i,0.024492-0.02166i,0.018114-0.019568i,0.013106-0.022955i,0.0074111-0.018811i,0.00049731-0.011437i,-0.0033889-0.0025576i,0.00035087+0.00064876i,0.0049062-0.0015132i,0.0074164-0.00013904i,0.0098723+0.0037458i,0.0084099+0.0057948i,0.0041798+0.0073144i,0.00039596+0.006812i,-0.0032817+0.0041522i,-0.0048712+0.0032772i,-0.0034043+0.0025679i
-0.017965+0.0045134i,-0.047323+0.031166i,-0.11251+0.068585i,-0.19708+0.0929i,-0.22807+0.071454i,-0.16422+0.019922i,-0.08333-0.0066207i,-0.047598-0.0005932i,-0.036394+0.010244i,-0.028117+0.0092136i,-0.021885+0.001812i,-0.0154-0.0004467i,-0.006805+0.00037205i,-0.0029594+2.1378e-05i,-0.0033761-0.00042447i,-0.0023176-0.00046841i,-0.00033974+8.7112e-05i,0.00080147-0.0001906i,-0.00056966-0.00085065i,-0.002702+0.0026043i,-0.00208+0.0065364i,-0.00054144+0.0062475i,-0.00025057+0.0030564i
-0.012029+0.0060211i,-0.001828+0.020738i,0.054176+0.04988i,0.1638+0.084401i,0.23036+0.09118i,0.17687+0.062774i,0.077873+0.031471i,0.030322+0.022436i,0.027185+0.012539i,0.022224-0.00044675i,0.011249-0.0034955i,0.0025317-0.0035447i,-0.0025988-0.0015809i,-0.0016461+0.0010462i,5.6663e-05+0.0017322i,0.0021277+0.0036007i,0.0060212+0.006317i,0.0066247+0.0070895i,0.0037613+0.0069085i,0.0029583+0.006502i,0.0034368+0.0051947i,0.002013+0.0028131i,0.0012075+0.00055356i
-0.01631+0.01758i,-0.032922+0.049311i,-0.079193+0.049162i,-0.13484-0.013507i,-0.14658-0.10547i,-0.11039-0.12129i,-0.059445-0.061925i,-0.029166-0.021606i,-0.029122-0.010355i,-0.032261-0.0041411i,-0.024288-0.003558i,-0.015945-0.0028162i,-0.0097041+0.0015864i,-0.0037198+0.0038055i,0.00068765+0.0038286i,0.004831+0.0030285i,0.0074448+0.00090087i,0.0068091-0.0016314i,0.005806-0.0032149i,0.0036519-0.0025382i,0.0014321-0.00032295i,0.0012326+0.001119i,0.0012506+0.0011147i
0.0048608+0.02332i,0.044543+0.067397i,0.11503+0.11864i,0.17475+0.17818i,0.16926+0.2162i,0.10512+0.16409i,0.042919+0.077405i,0.019641+0.04089i,0.022538+0.03158i,0.021413+0.021567i,0.010565+0.013372i,0.0011536+0.009222i,-0.00099649+0.0073872i,0.0017164+0.0059104i,0.0044723+0.0032127i,0.0060909+0.0022952i,0.0077138+0.0037054i,0.0071311+0.0035799i,0.0046993+0.0037803i,0.0048534+0.0042022i,0.006444+0.0023871i,0.005281-0.00062057i,0.0029588-0.0013456i
0.00041951+0.024505i,0.0099747+0.030924i,0.024918-0.032099i,0.030014-0.16775i,0.02034-0.26517i,0.013735-0.22014i,0.010023-0.11013i,0.002808-0.047396i,-0.008773-0.029275i,-0.014723-0.018797i,-0.0095453-0.010916i,-0.0050571-0.0069933i,-0.0030692-0.0037664i,-0.00055681-0.0022509i,-0.00048752+0.00010472i,0.0025681+0.0028007i,0.0092608+0.0036265i,0.011837+0.0011074i,0.010163-0.0013682i,0.0079813-0.0031621i,0.0051058-0.0050087i,0.0016207-0.0045036i,-0.00010736-0.0041939i
0.013602+0.030379i,0.047678+0.071541i,0.061673+0.11871i,0.022803+0.17826i,-0.036372+0.20948i,-0.056424+0.164i,-0.031778+0.086356i,-0.0067142+0.043939i,0.0068842+0.038113i,0.013762+0.032845i,0.010402+0.01751i,0.0037419+0.0058065i,0.0021721+0.003458i,0.0050905+0.002598i,0.0083436-0.00033334i,0.010162-0.0012208i,0.010329-0.00010723i,0.0065849+0.00067623i,0.0012362+0.0015408i,-0.0020152+0.0026967i,-0.0018442+0.0019434i,0.00061222-0.00097084i,0.00094852-0.0029004i
0.01788+0.019073i,0.045476+0.0038145i,0.086539-0.088196i,0.13203-0.20603i,0.16818-0.23473i,0.14525-0.17052i,0.075653-0.088476i,0.03341-0.042375i,0.018706-0.037728i,0.0080532-0.037959i,0.0031456-0.027139i,0.001771-0.01486i,0.0010058-0.0062036i,0.0013321-0.0046431i,0.00044166-0.0052195i,0.0017066-0.0039223i,0.0071874-0.0041028i,0.0096042-0.0048627i,0.007537-0.0039059i,0.0055875-0.0030313i,0.0032859-0.0044428i,-0.0005614-0.0056234i,-0.0028165-0.00542i
0.012272+0.02997i,0.012839+0.059312i,-0.033945+0.078781i,-0.1411+0.098675i,-0.23415+0.10457i,-0.2032+0.068641i,-0.10958+0.023268i,-0.056186+0.013455i,-0.031384+0.02587i,-0.013098+0.025102i,-0.0047817+0.0096034i,-0.0041829-8.7595e-05i,-0.0041869-0.00077476i,-0.00090603-0.00047956i,0.0052877-0.00039342i,0.011978-0.00030824i,0.015177-0.0027839i,0.011335-0.0057227i,0.0044683-0.0063659i,-0.00010957-0.0044374i,-0.0012249-0.0016491i,-0.00095138-0.00096271i,-0.0027308-0.0019603i
0.026384+0.016619i,0.066133+0.014059i,0.1219-0.017627i,0.20288-0.046802i,0.26113-0.047059i,0.20939-0.028775i,0.099863-0.014338i,0.043853-0.015234i,0.032044-0.031597i,0.019265-0.041237i,0.0068081-0.034644i,-0.00088309-0.023686i,-0.0036405-0.014161i,-0.0016715-0.010189i,0.00022689-0.01001i,0.0050352-0.0095203i,0.011454-0.0098463i,0.013213-0.0095922i,0.011136-0.0062525i,0.0079393-0.0032378i,0.0045424-0.0035257i,-0.0010676-0.0053727i,-0.0053202-0.0052545i
0.021421+0.031751i,0.012083+0.05427i,-0.072834+0.039329i,-0.20334-0.0033261i,-0.26188-0.046766i,-0.20242-0.070501i,-0.10922-0.053114i,-0.060836-0.018018i,-0.053238+0.0043159i,-0.047216+0.0090414i,-0.033995+0.00024347i,-0.024496-0.0071841i,-0.016978-0.0058477i,-0.0098907-0.0040797i,-0.0033319-0.0026912i,0.0045756-0.0019921i,0.0096389-0.0056616i,0.0061075-0.0090338i,-0.00051559-0.0079714i,-0.001563-0.0052483i,-0.00083573-0.0031895i,-0.0023893-0.0014539i,-0.0040856-0.00026945i
0.039078+0.02626i,0.080642+0.06167i,0.13677+0.091281i,0.21524+0.12032i,0.24723+0.14411i,0.18175+0.12305i,0.0846+0.073472i,0.038639+0.040218i,0.03608+0.012295i,0.028428-0.0081312i,0.012485-0.011925i,0.0033722-0.0092009i,0.0026532-0.0058578i,0.003948-0.0054756i,0.0040256-0.0084247i,0.0058579-0.013002i,0.0075542-0.015273i,0.0066205-0.013502i,0.005053-0.0098469i,0.0034578-0.0060299i,0.00075849-0.0052087i,-0.0030903-0.0053655i,-0.0033742-0.002217i
0.036596+0.022328i,0.042+0.033332i,-0.025102-0.019003i,-0.12513-0.13284i,-0.16917-0.21935i,-0.13587-0.17867i,-0.071434-0.074127i,-0.042546-0.025474i,-0.056333-0.013559i,-0.060033-0.0012264i,-0.041403-0.0017592i,-0.025948-0.0052404i,-0.016758-0.00075453i,-0.0074362+0.0026238i,-0.00030198+0.0011798i,0.0046905-0.0054994i,0.0056524-0.013857i,0.00098577-0.018083i,-0.0043565-0.016499i,-0.0067286-0.012226i,-0.0079336-0.0076541i,-0.0099489-0.00099435i,-0.008407+0.0045977i
0.069917+0.034871i,0.12729+0.096933i,0.14592+0.16632i,0.14399+0.23593i,0.13262+0.27234i,0.082055+0.20791i,0.031259+0.10901i,0.021449+0.066017i,0.033862+0.051866i,0.034489+0.032052i,0.015723+0.015147i,-0.0013122+0.010091i,-0.0042819+0.009257i,-0.0014344+0.0047336i,0.0012081-0.0033043i,0.0040528-0.011665i,0.0051687-0.015607i,0.0034479-0.011332i,0.0021255-0.0041034i,0.00095249-0.0013777i,-0.0020051-0.0024886i,-0.0042562-0.00093732i,-0.002891+0.002525i
0.084615+0.013584i,0.13162+0.021664i,0.11419-0.059986i,0.044414-0.23137i,-0.0058324-0.33124i,-0.010446-0.26131i,0.0047064-0.12989i,0.0046289-0.063068i,-0.016095-0.046813i,-0.028132-0.031575i,-0.021922-0.019416i,-0.017461-0.013174i,-0.016295-0.0069406i,-0.012512-0.0019856i,-0.0080359+0.0016011i,-0.0040005-0.00024441i,3.6319e-05-0.0073901i,0.0028683-0.012416i,0.00055888-0.012472i,-0.0037142-0.0089573i,-0.0064567-0.0048055i,-0.0083337+5.0665e-05i,-0.0043435+0.0035253i
0.091191+0.0087198i,0.1383+0.076304i,0.086019+0.17987i,-0.03175+0.28379i,-0.095358+0.32421i,-0.067303+0.249i,-0.014218+0.12589i,0.005588+0.060852i,0.014503+0.056787i,0.024012+0.046932i,0.014625+0.020543i,-0.0001255+0.0080395i,-0.00045122+0.0080106i,0.0057104+0.0038574i,0.0058243-0.0047017i,0.00079387-0.012719i,-0.0040725-0.015442i,-0.0073897-0.011346i,-0.0079507-0.0031504i,-0.0060381+0.0028185i,-0.0037878+0.0042987i,-0.0013413+0.0058476i,0.0026509+0.0056467i
0.11729-0.035264i,0.21739-0.042004i,0.26433-0.094529i,0.25415-0.20863i,0.23384-0.26966i,0.16934-0.20967i,0.08554-0.10655i,0.046948-0.053058i,0.02402-0.052933i,0.0020976-0.050644i,-0.0030641-0.030561i,0.00011256-0.012456i,0.0028604-0.0043637i,0.0026068-0.003678i,-0.0029952-0.0035953i,-0.0075402-0.0046171i,-0.0074132-0.0089533i,-0.0048307-0.012397i,-0.0024143-0.012341i,-0.0030684-0.0075471i,-0.0050053-0.001355i,-0.0034643+0.0037214i,0.0010788+0.0055246i
0.10439-0.052982i,0.16484-0.034045i,0.084224+0.040488i,-0.13417+0.1385i,-0.28481+0.19929i,-0.24212+0.16293i,-0.13035+0.074736i,-0.070424+0.033536i,-0.038183+0.039176i,-0.010032+0.035196i,-0.001169+0.014697i,-0.0060064+0.0067702i,-0.0066235+0.011181i,-0.00047198+0.010634i,0.0057792+0.0030595i,0.0072865-0.0072774i,0.0034109-0.016789i,-0.0035585-0.018641i,-0.0094037-0.011454i,-0.0090597-0.0019228i,-0.0032657+0.0044147i,0.0029313+0.0054555i,0.0066433+0.0017476i
0.1149-0.092516i,0.25529-0.10415i,0.38215-0.063023i,0.44897-0.036735i,0.42651-0.055365i,0.28538-0.067008i,0.1197-0.047989i,0.041989-0.032391i,0.02217-0.044904i,0.0046264-0.052625i,-0.0072762-0.034083i,-0.0050725-0.011011i,0.0033768-0.0027409i,0.0054854-0.0046558i,-0.0018555-0.0052395i,-0.009678-0.0037705i,-0.010782-0.0038234i,-0.0076508-0.004685i,-0.0026856-0.0046716i,0.0015432-0.0049701i,0.0027812-0.0043589i,0.0034499-0.0019952i,0.0039648-0.0016872i
0.071292-0.12845i,0.13188-0.19325i,0.059312-0.19749i,-0.16448-0.14775i,-0.31576-0.083311i,-0.25637-0.026539i,-0.12246-0.0045737i,-0.058628+0.0031169i,-0.049922+0.025629i,-0.034779+0.037173i,-0.013162+0.020898i,-0.0049127+0.0016649i,-0.0035002-0.006543i,-0.00051308-0.0066005i,0.0020831-0.002141i,0.0025211-0.0008187i,0.0003481-0.0049439i,-0.0047965-0.0082766i,-0.0095797-0.0052917i,-0.0088094+0.00069486i,-0.0024305+0.0043423i,0.0055194+0.0041446i,0.0090111+0.00054939i
0.049987-0.12572i,0.14859-0.16611i,0.2544-0.081959i,0.34129+0.082919i,0.37667+0.16631i,0.29656+0.12639i,0.15696+0.065726i,0.076136+0.03355i,0.053956-0.0016847i,0.034315-0.027705i,0.014599-0.025538i,0.0090417-0.012015i,0.013106-0.0048052i,0.013009-0.0064005i,0.0030425-0.0098021i,-0.010534-0.012194i,-0.020391-0.012346i,-0.020146-0.0064826i,-0.01038+0.0015472i,-0.00047823+0.0034i,0.0041697+0.00044434i,0.004429-0.0024261i,0.0046116-0.0042441i
0.015193-0.14958i,0.065621-0.28782i,0.056062-0.41307i,-0.073565-0.4561i,-0.19814-0.37012i,-0.18609-0.17942i,-0.088881-0.033773i,-0.043882+0.0046189i,-0.060562+0.02056i,-0.057231+0.037043i,-0.027149+0.02885i,-0.0028331+0.010722i,0.0071256-0.00067349i,0.0068275-0.0044822i,0.0037985-0.0021783i,0.001433-0.0012125i,-0.0018353-0.0040371i,-0.0050349-0.0051708i,-0.0066386-0.0050726i,-0.0072013-0.0028007i,-0.0058339+0.0018815i,-0.00037656+0.0035776i,0.0033846+0.00051916i
-0.013681-0.10834i,-0.0070081-0.16117i,-0.0038844-0.076633i,0.02536+0.15675i,0.10799+0.31329i,0.15581+0.24451i,0.10966+0.10396i,0.061683+0.044498i,0.064605+0.02574i,0.061388+0.00097292i,0.034476-0.011414i,0.010138-0.0069273i,-0.0024302+0.00059547i,-0.0033561+0.0018947i,-0.0035849-0.002713i,-0.0099063-0.0077753i,-0.014071-0.0097501i,-0.010366-0.0064998i,-0.002447+5.129e-06i,0.0033683+0.0036903i,0.0062538+0.0013487i,0.006734-0.0045795i,0.0055643-0.0098581i
-0.011669-0.094155i,0.013198-0.18622i,0.056857-0.28844i,0.07056-0.37934i,0.02877-0.40727i,-0.022926-0.31211i,-0.024291-0.17328i,-0.017494-0.095795i,-0.04258-0.054006i,-0.048186-0.019568i,-0.026492-0.0074602i,-0.011233-0.0075681i,-0.006558-0.0093195i,-0.0054728-0.0078608i,-0.0062725-0.0010344i,-0.0093775+0.0052492i,-0.010183+0.0094876i,-0.0053809+0.0095062i,0.00041639+0.0033794i,0.0020523-0.0020424i,0.00083796-0.0017384i,0.001247+0.00030145i,0.0011561-0.00087776i
-0.054487-0.075868i,-0.13943-0.11646i,-0.26652-0.066295i,-0.33366+0.1283i,-0.21393+0.30021i,-0.0090063+0.25483i,0.064651+0.098256i,0.035673+0.036699i,0.040283+0.047106i,0.058475+0.027141i,0.039924-0.0041032i,0.012027-0.016945i,-0.0014575-0.019374i,-0.0028924-0.015123i,-0.0039592-0.011275i,-0.013613-0.0091839i,-0.021342-0.0058881i,-0.018651-0.0024338i,-0.011979+0.0029345i,-0.0026435+0.0075172i,0.0071396+0.0063571i,0.011313+0.0004702i,0.0091831-0.0047468i
-0.01509-0.053209i,-0.010555-0.068372i,0.060444-0.064105i,0.19058-0.098578i,0.2453-0.1877i,0.16171-0.22273i,0.058967-0.1477i,0.019125-0.074943i,-0.0076151-0.060276i,-0.029547-0.045122i,-0.022894-0.02202i,-0.0089531-0.008382i,0.00051295-0.0020424i,0.0050235-0.0026383i,-0.001116-0.002943i,-0.01307+0.0028249i,-0.019554+0.0095328i,-0.01526+0.009105i,-0.0067995+0.0027232i,-0.0018813-0.0008161i,0.00039978-0.0016306i,0.00062477-0.0023803i,-0.0023564-0.0034679i
-0.030626-0.080909i,-0.063199-0.13006i,-0.13061-0.13232i,-0.22379-0.047452i,-0.25646+0.079259i,-0.18492+0.14243i,-0.11179+0.10014i,-0.085272+0.05941i,-0.039876+0.061233i,0.010023+0.039483i,0.014445+0.0042194i,0.0019198-0.0098276i,-0.0040295-0.0099615i,-0.0061871-0.0070959i,-0.0070798-0.0065373i,-0.01013-0.0061739i,-0.010354-0.0042432i,-0.0079391-0.004595i,-0.0083429-0.0036307i,-0.0082059+0.0010101i,-0.0025117+0.0039256i,0.0032112+6.0942e-05i,0.0033102-0.0037799i
-0.056936-0.048577i,-0.06932+0.010667i,-0.0041826+0.14263i,0.15214+0.21253i,0.26031+0.089689i,0.1836-0.078463i,0.040428-0.085771i,-0.0010131-0.020519i,0.0050156-0.026616i,-0.020697-0.047935i,-0.038832-0.029795i,-0.032416-0.0053015i,-0.021411+0.0054439i,-0.010754+0.0055942i,-0.0075665+0.0045758i,-0.012611+0.012079i,-0.014393+0.020314i,-0.0080759+0.019631i,0.00060532+0.012818i,0.0047213+0.0022922i,0.0030623-0.0080301i,-0.00083646-0.0136i,-0.0033109-0.015189i
-0.085055-0.07185i,-0.083744-0.090772i,-0.039348-0.10214i,-0.043088-0.10948i,-0.11048-0.073269i,-0.12332-0.0041326i,-0.063627+0.010729i,-0.031168-0.0024259i,-0.023746+0.018855i,-0.0017932+0.033628i,0.0087764+0.01621i,0.0047628-0.0039849i,0.0023603-0.016163i,-0.0017788-0.020224i,-0.0081904-0.016211i,-0.012564-0.0040336i,-0.0094348+0.0092124i,-0.0014889+0.01132i,-5.6551e-05+0.0063078i,-0.0037798+0.0033259i,-0.0032923+0.0018038i,0.00068934+0.00021448i,0.0022276-0.00067653i
-0.17365-0.035515i,-0.2554-0.028064i,-0.24526+0.01239i,-0.11381+0.074293i,0.06317+0.071212i,0.14638+0.019523i,0.11037+0.02208i,0.066159+0.044148i,0.045726+0.013535i,0.0094502-0.026371i,-0.018516-0.027941i,-0.020859-0.017568i,-0.01418-0.0092207i,-0.0073277-0.0017112i,-0.0082456+0.0029432i,-0.014986+0.011072i,-0.018213+0.017822i,-0.015942+0.018627i,-0.0078458+0.016005i,-0.00023398+0.0098163i,0.0025036+0.0011112i,0.0013285-0.0079828i,0.00099243-0.011214i
-0.15159+0.035832i,-0.13368+0.059507i,-0.0053711+0.0064027i,0.07632-0.078135i,0.016404-0.075013i,-0.053316+0.016488i,-0.0153+0.06752i,0.031013+0.032743i,0.0056938+0.010684i,-0.018861+0.031691i,-0.010991+0.037462i,0.002218+0.022799i,0.010754+0.010373i,0.0092814+0.00046024i,0.001044-0.0044865i,-0.002074+0.00095367i,0.0036127+0.0088112i,0.01001+0.0073591i,0.0079523-0.00062672i,0.00045977-0.0054769i,-0.0056881-0.004856i,-0.0093794-0.0043637i,-0.013355-0.0048784i
