-0.0014255-0.00023618i,0.00035244-0.00011015i,0.00072572+0.00098355i,0.00039586+0.0009792i,-3.605e-05+0.00025467i,0.00089412+0.0006022i,0.0012199+0.0006135i,0.00047613+4.6195e-05i,0.00047093+0.00011323i,0.00082073+0.00070837i,0.00079779+0.00080118i,0.00034371-0.00020989i,0.00025032-0.0011284i,0.00038763-0.0011973i,0.00068534-0.00090021i,0.00017105-0.00047552i,-0.00041283-0.00057527i,-9.9066e-06-0.00072951i,0.00044632-0.00042727i,0.00059404+6.1168e-05i,4.1887e-05+0.00028447i,-0.00047807+0.00048925i,-0.00085106+0.00054215i
3.8491e-05-0.012834i,0.0059067-0.042755i,0.017083-0.088583i,0.0227-0.11664i,0.017561-0.095197i,0.0032058-0.04154i,-0.0079259+0.004092i,-0.0086434+0.022586i,-0.0033754+0.021931i,0.00046745+0.01281i,0.00067934+0.0061677i,0.0015428+0.0048844i,0.0020141+0.0019538i,-5.2158e-05-0.0018958i,-0.0016954-0.0036682i,-0.0015682-0.0034995i,0.00032078-0.0018949i,0.0020157-0.0014507i,0.0026679-0.003284i,0.0020568-0.0033133i,1.0814e-06-0.00058801i,-0.0015965+0.0010992i,-0.0018927+0.0012102i
0.0033794+0.0057273i,-0.010826+0.018542i,-0.039868+0.053024i,-0.060676+0.089019i,-0.047264+0.086739i,-0.013956+0.050266i,0.0082355+0.0077153i,0.012336-0.019622i,0.0086617-0.022649i,0.0040795-0.011834i,-0.00085063-0.0041397i,-0.0044939-0.0019131i,-0.0046524+0.00057789i,-0.0028576+0.0023493i,-0.001664+0.0020029i,-0.00084136-0.00094644i,-0.00084316-0.0033961i,-0.0032211-0.0015927i,-0.0034157+0.0019019i,0.0001726+0.0038547i,0.0036166+0.0032382i,0.0052961+0.0019367i,0.005109+0.001082i
-0.0054135+0.004058i,-0.0059382-0.0024196i,0.004685-0.021059i,0.021551-0.046684i,0.018207-0.052776i,-0.0032144-0.028267i,-0.015489+0.0054618i,-0.011115+0.023008i,-0.0031629+0.017074i,0.00016189+0.0028248i,0.0015582-0.003984i,0.003151-0.0046715i,0.0018095-0.0046104i,-0.001433-0.0029311i,-0.001731+2.4836e-05i,0.0012341+0.0022485i,0.0045386+0.0024533i,0.00538+0.00064696i,0.0039365-0.001559i,0.001118-0.003956i,-0.0017733-0.0043535i,-0.0025659-0.0012877i,-0.0015201+0.0018293i
-0.0051977+0.0025638i,-0.011117+0.02105i,-0.023268+0.056874i,-0.034066+0.087747i,-0.027505+0.081145i,-0.0069214+0.037958i,0.0098646-0.0027559i,0.016686-0.019606i,0.01321-0.018549i,0.0070765-0.0083082i,0.004617-0.00036574i,0.003114+0.00084283i,0.0028205+0.00013897i,0.0039857-0.0019673i,0.0037605-0.004936i,0.0011452-0.0057309i,-0.0018785-0.0049097i,-0.0036909-0.0025622i,-0.0037377-4.1033e-05i,-0.0015101+0.0008733i,0.0006234-0.00041354i,0.00218-0.0023261i,0.0032386-0.0033018i
0.013594-0.0025948i,0.034518-0.0081118i,0.064557-0.027218i,0.079473-0.055224i,0.061356-0.063587i,0.019853-0.042479i,-0.013351-0.011395i,-0.025467+0.0088838i,-0.022108+0.014561i,-0.013213+0.0098426i,-0.0076069+0.0038785i,-0.0036012+0.0026247i,-0.00048753+0.0034545i,0.0019608+0.0050638i,0.0049491+0.0077537i,0.0072272+0.0093215i,0.0077047+0.0087007i,0.0074153+0.005589i,0.0068591+0.0021991i,0.0037834+0.00041498i,-0.00038054-0.00066017i,-0.0027596-0.00040237i,-0.0029244+0.00038896i
-0.00044396-0.0012414i,-0.0055855+0.0046209i,-0.018194+0.016119i,-0.032355+0.031205i,-0.030628+0.034012i,-0.0056338+0.017561i,0.021054-0.007513i,0.024516-0.021914i,0.013747-0.015666i,0.0053951-0.0031822i,0.0015457+0.00076826i,-5.8271e-05+0.00021468i,-0.00085993+0.0011434i,-0.0027732+0.0020948i,-0.0074195+0.0016981i,-0.010739+0.0017768i,-0.010313+0.00099463i,-0.0087471+8.9079e-05i,-0.0067065+0.0017514i,-0.0042131+0.0044232i,-0.001589+0.0045382i,5.9116e-05+0.0021078i,0.00071409+0.00021391i
0.0014468-0.011203i,0.0067017-0.032409i,0.024934-0.061954i,0.044531-0.081222i,0.039349-0.069574i,0.017585-0.032536i,-0.0025496-0.0046995i,-0.015024+0.004849i,-0.015051+0.0081478i,-0.0076455+0.007763i,-0.0027587+0.0078637i,0.00041723+0.0090621i,0.0025872+0.0067126i,0.0023147+0.0017853i,0.0011525-0.0024386i,0.0012546-0.0046924i,0.002494-0.0035601i,0.0039844-0.0015024i,0.0039588-0.0017037i,0.0021754-0.0023957i,0.00049602-0.0011121i,-0.0005395+0.00031382i,-0.0019111+3.979e-05i
-0.0021666+0.00032568i,-0.017248+0.003644i,-0.048505+0.016631i,-0.075382+0.036507i,-0.067965+0.048079i,-0.026067+0.039867i,0.01503+0.020154i,0.033384+0.0038892i,0.028552-0.004841i,0.012717-0.0043406i,0.0014179+0.00028429i,-0.0045313+0.002358i,-0.0066154+0.0034752i,-0.0038187+0.0039703i,8.6883e-05+0.0015991i,0.0028222-0.0020102i,0.0021308-0.0047175i,-0.00045428-0.0043623i,-0.00096718-0.002432i,0.00049781-0.0019166i,0.0015632-4.6205e-05i,0.0024676+0.0016779i,0.0032264+0.0013739i
-1.2692e-05+0.0022032i,0.00089968+0.00091269i,0.0094132-0.0078847i,0.025741-0.021116i,0.031309-0.024337i,0.0085052-0.014132i,-0.018485+0.0021388i,-0.023547+0.010674i,-0.013296+0.0059996i,-0.004401-0.0018255i,-0.0010784-0.0042297i,-0.0007391-0.0016097i,-0.0019368+0.00074336i,-0.004044+0.001421i,-0.0044598+0.0019875i,-0.0012403+0.0031223i,0.0024062+0.00334i,0.0036372+0.0030085i,0.0028393+0.0020861i,0.0015949-0.00048169i,0.00014533-0.0023658i,-0.0016344-0.0017814i,-0.0030847-0.00068786i
-0.0025939+0.0074281i,-0.0082587+0.020234i,-0.026847+0.041967i,-0.049583+0.058476i,-0.049155+0.048786i,-0.025379+0.024143i,0.0013612+0.0097052i,0.016855+0.0053383i,0.017544+0.00291i,0.0095081+0.00087377i,0.0024486-0.0019936i,-0.000582-0.0047888i,-0.001879-0.005157i,-0.0014462-0.0053592i,-0.00060363-0.0065173i,-0.0012254-0.0065571i,-0.0018207-0.0051128i,-0.002204-0.0039387i,-0.0025683-0.0024979i,-0.0015611-0.0010447i,0.00010954-0.0003738i,0.0013675-0.0011078i,0.0022148-0.0015125i
0.0039726-0.0058492i,0.018594-0.0052991i,0.046613-0.0086258i,0.071522-0.017019i,0.063231-0.024958i,0.025457-0.025995i,-0.011041-0.022461i,-0.030314-0.015764i,-0.028619-0.0068588i,-0.013996-0.0016494i,-0.0029413-0.00012764i,0.0026314-0.00040148i,0.0060154-0.00081228i,0.0065015+0.0012771i,0.006701+0.005679i,0.006345+0.0087678i,0.0047175+0.0088061i,0.0040953+0.0065373i,0.0037486+0.0041899i,0.0027007+0.0028826i,0.0011415+0.0010294i,-0.00095448-0.00027742i,-0.0019211-0.0003433i
0.0015715-0.0006643i,-0.0013319+0.00047681i,-0.011273+0.0043851i,-0.028791+0.0079815i,-0.036405+0.0099097i,-0.01529+0.0079327i,0.011349+0.0027197i,0.018205-0.00019931i,0.011296+0.0014184i,0.0029325+0.004715i,-0.00026544+0.0049879i,0.0011728+0.0023973i,0.0013487+0.0011146i,-0.00081728+0.0018545i,-0.0042521+0.0012707i,-0.0071731+0.00050238i,-0.0074871+0.00045157i,-0.0053893-0.00030986i,-0.0034641-0.00021586i,-0.002672+0.00087123i,-0.0014182+0.0018235i,-7.1013e-05+0.0018574i,0.000453+0.0010956i
0.00022342-0.010101i,0.0038593-0.019597i,0.021593-0.033381i,0.044602-0.039364i,0.047896-0.027253i,0.028577-0.013152i,0.005881-0.011282i,-0.0071669-0.014952i,-0.01087-0.012232i,-0.0083641-0.0034467i,-0.0050605+0.0033585i,-0.0026994+0.007008i,0.00054669+0.0062224i,0.0015849+0.0022686i,0.0010599-0.00023679i,0.0020381-0.0016428i,0.002613-0.0016634i,0.0029518-0.00093459i,0.0020095-0.001115i,-0.00018799-0.0016045i,-0.0013157-0.0010499i,-0.0014642-0.00033151i,-0.00064491-0.00015003i
0.0007509-0.00037355i,-0.011641-0.000726i,-0.037383+0.00054404i,-0.060794+0.0036997i,-0.057074+0.0074477i,-0.025889+0.014412i,0.0090697+0.021121i,0.027+0.019144i,0.025218+0.01058i,0.013119+0.0044656i,0.0022922+0.0033744i,-0.0031582+0.0034935i,-0.0028868+0.0038803i,-0.00047751+0.0036724i,0.0011566+0.00034775i,0.0015329-0.0042842i,0.00050496-0.0057534i,-8.064e-06-0.003929i,0.00069251-0.0021434i,0.001313-0.0021693i,0.00079201-0.0010273i,0.0006589+0.00061299i,0.0015154-0.00026787i
-0.0013209+0.0038451i,0.0022023+0.0032229i,0.01126+0.0018118i,0.02604+0.0031363i,0.032131+0.0025208i,0.016735-0.0021717i,-0.0031623-0.0083797i,-0.010909-0.010977i,-0.0076826-0.0087574i,-0.00074331-0.0052721i,0.00092713-0.0021523i,-0.0020343+0.00063241i,-0.0046113+0.0017303i,-0.0059136+0.001348i,-0.0051409+0.0026924i,-0.0019965+0.0045554i,0.0013005+0.0037177i,0.0016235+0.0026593i,0.00065872+0.0030045i,0.00025531+0.0022784i,0.00017318+0.00028981i,0.00021474-0.00049967i,-0.00067542-0.00055564i
-0.0017292+0.0030076i,-0.0063935+0.0075884i,-0.020927+0.013345i,-0.039436+0.012664i,-0.043436+0.0031708i,-0.026573-0.00028402i,-0.0071477+0.0070111i,0.0018122+0.014974i,0.0044822+0.014604i,0.0030176+0.0067844i,0.00056372-0.00060936i,0.00041328-0.0049338i,0.00076116-0.0058371i,0.00040981-0.0046711i,0.00037052-0.0044617i,-0.00021008-0.0045495i,-0.001352-0.0036458i,-0.0016104-0.0031478i,-0.0012042-0.0033192i,0.00028718-0.0025515i,0.0018863-0.0019176i,0.0028741-0.0012922i,0.0023446-0.00040966i
0.0043433-0.0010928i,0.011801-0.00040822i,0.029051+0.0022657i,0.044524+0.0067606i,0.040852+0.0075351i,0.019936-0.0032663i,-0.0021197-0.018399i,-0.013746-0.022464i,-0.013823-0.015128i,-0.0068572-0.0070069i,0.00019266-0.0030487i,0.0029589-0.0010767i,0.0029527+9.2511e-05i,0.0019566+0.00074584i,0.0010085+0.0037074i,0.0018614+0.007076i,0.0027127+0.007454i,0.0026102+0.0055885i,0.0024317+0.0040074i,0.0022695+0.0027473i,0.0018934+0.0016465i,0.0010267+0.00066795i,-0.00016783-0.00052814i
0.002149-0.00093412i,-0.0011359-0.00090456i,-0.010977-0.0045578i,-0.02411-0.0083176i,-0.027367-0.0076557i,-0.014563-0.00095814i,0.0013161+0.0093475i,0.0075613+0.013249i,0.0036326+0.010413i,-0.0024958+0.0071203i,-0.0036654+0.0057894i,-0.0019304+0.0049688i,-0.0012332+0.0038731i,-0.0019813+0.0022636i,-0.0025961+0.0010683i,-0.0031242-0.00019264i,-0.0040144-0.0020914i,-0.0035746-0.0021783i,-0.0016532-0.00095554i,-0.0002919-1.3375e-05i,-9.7654e-05+0.00097873i,-0.00041544+0.00062026i,-0.00037566-0.00063243i
-0.0009202-0.0051106i,0.003068-0.0071168i,0.015399-0.0064079i,0.030174+0.0022507i,0.033657+0.011343i,0.022457+0.010175i,0.012684-0.00073618i,0.010104-0.011906i,0.0058225-0.013879i,-0.00095763-0.0076238i,-0.0046002-0.0010236i,-0.0037794+0.0019196i,-0.0018358+0.0010817i,-0.0013293-0.0013349i,-0.0017546-0.0024353i,-0.00033774-0.0021542i,0.0017046-0.00077004i,0.0019137+0.00011841i,0.00075317-0.0010232i,-0.00084783-0.0021596i,-0.001229-0.0020583i,-0.00027832-0.0009201i,0.00022714+1.6506e-05i
-0.0024361-0.0023394i,-0.0087146-0.0023375i,-0.01969-0.004532i,-0.028326-0.011214i,-0.027398-0.015365i,-0.01656-0.0038248i,-0.0033807+0.013427i,0.0040711+0.019694i,0.0057376+0.013583i,0.004014+0.004945i,0.0013194+0.0015219i,-0.00043671+0.0016996i,-0.00031977+0.0027327i,0.0019566+0.0034575i,0.0043295+0.0017409i,0.0043173-0.0026475i,0.0020506-0.0047964i,0.00059584-0.0037708i,0.0019312-0.0013033i,0.0023196+0.00083072i,0.001702+0.001095i,0.00062105+0.0012723i,0.00015299+0.00069049i
0.0029262-0.00050518i,0.0054374-0.0021258i,0.011062-0.00033667i,0.017618+0.0056661i,0.015192+0.0094623i,0.0063322+0.0036126i,5.9909e-05-0.0099323i,-0.0015587-0.016181i,0.00031222-0.01058i,0.0030968-0.0034897i,0.003169+0.00020974i,0.00051066+0.0018122i,-0.0017169+0.00090651i,-0.0030816-0.00083746i,-0.0034244+0.00055278i,-0.0018317+0.0034726i,0.0010585+0.004098i,0.0017742+0.0021007i,-0.0010793+0.00028735i,-0.0028479-0.00014265i,-0.0016265-2.5666e-05i,-0.00025919+0.00047901i,-0.00020603+0.0012069i
-0.00045098+0.00039954i,-0.0028542+0.0017494i,-0.010955-0.0021877i,-0.021034-0.011303i,-0.020594-0.017452i,-0.012355-0.015001i,-0.010115-0.0065391i,-0.012912+0.0024698i,-0.011067+0.0068914i,-0.0045516+0.0047722i,-0.00010552+0.00012512i,0.0013607-0.002288i,0.0021787-0.0018953i,0.0022199-0.00062572i,0.0016395-0.00077617i,0.00081467-0.0018174i,-0.00089318-0.0020073i,-0.0015998-0.0018729i,-0.00029394-0.0015261i,0.00091707-0.00087751i,0.0018908-0.00032025i,0.0023893-0.00063104i,0.0017694-0.00032357i
-0.00097203-0.0023293i,0.0028644-0.0021728i,0.007935+0.0013997i,0.010883+0.0092339i,0.010374+0.01336i,0.008426+0.0029221i,0.0075966-0.012385i,0.0064384-0.017615i,0.0033775-0.012526i,0.0013059-0.0053428i,0.0020099-0.0014303i,0.003322+0.00093343i,0.0036836+0.0023849i,0.0019154+0.0015261i,-0.00024841+0.001341i,-0.00076195+0.0031033i,0.00065129+0.0037025i,0.0017026+0.0029365i,0.001685+0.0017694i,0.0015691+0.00092386i,0.0019337+0.00026598i,0.00177+0.00025805i,0.0014396+0.00040592i
0.00042216-0.0010099i,-0.0012182-0.0017247i,-0.006582-0.0029251i,-0.011834-0.00692i,-0.0095133-0.010475i,-0.0027168-0.0040192i,0.0010495+0.0077291i,0.0024348+0.011296i,0.00054084+0.0074867i,-0.0032236+0.0037782i,-0.0058673+0.004021i,-0.0069213+0.0044195i,-0.0065845+0.0036119i,-0.0052746+0.0035274i,-0.0031532+0.003653i,-0.0014894+0.0023523i,-0.0019066-0.00016009i,-0.0027496-0.00026798i,-0.0013162+0.00087091i,0.00010895+0.00030821i,-0.00055576-0.00091306i,-0.0012118-0.0012364i,-0.00082363-0.0015444i
0.0040082-0.00094702i,0.0052202-0.0016814i,0.00904+0.0027337i,0.011229+0.013126i,0.0068941+0.020476i,0.0044433+0.019113i,0.011182+0.012586i,0.017544+0.004839i,0.013629-0.0026205i,0.0037212-0.0047588i,-0.0030703-0.0016938i,-0.0042593+0.00013072i,-0.0026399-8.8734e-05i,-0.0013621-0.0019126i,-0.0018291-0.0038924i,-0.0022739-0.0033i,-0.00057564-0.001045i,0.0012025-0.00039949i,0.00119-0.00085263i,0.00033053-0.0011147i,-0.0007465-0.00096768i,-0.00034247-0.00032258i,0.00066127-0.00012116i
-0.0024197-0.00040414i,-0.005704+0.002036i,-0.00774+0.0013275i,-0.005093-0.0042452i,-0.0020119-0.0063616i,-0.0026647+3.2258e-05i,-0.0060608+0.0076398i,-0.0076605+0.0090191i,-0.0054181+0.0047229i,-0.001588+0.0011635i,0.00070324-5.451e-06i,0.00038918+0.0010262i,-0.00052477+0.0023503i,7.2996e-05+0.0029878i,0.0028983+0.0030882i,0.0041061+0.0011742i,0.0016315-0.0013556i,-8.5646e-06-0.0018884i,0.00023579-0.0010834i,4.1478e-05-0.00012051i,-0.00032723+0.00025849i,-0.00043772+0.00047231i,0.00022375+0.00077278i
-2.4255e-05-0.00083013i,0.0020356-0.00065686i,0.0065098+0.00044971i,0.0096143+0.0027606i,0.0060323+0.0054858i,-0.00065172+0.0025076i,-0.0022987-0.005233i,-0.00075687-0.0079197i,0.00086881-0.0043489i,0.0031954+0.00058671i,0.0046978+0.0024893i,0.0041776+0.0015792i,0.0042493-0.000843i,0.0038822-0.0031675i,0.0016247-0.003172i,0.00058704-0.00063855i,0.0015061+0.0011762i,0.0021455+0.00041294i,0.00076832-0.0013799i,-0.00071889-0.00078863i,-0.00026448+0.00060218i,0.00025805+0.0012133i,-0.00063069+0.00059515i
0.0028439+0.00023656i,0.0036279-0.0028192i,0.0026597-0.0087926i,-0.0014426-0.018164i,-0.0040493-0.022834i,-0.0061964-0.019134i,-0.011722-0.015013i,-0.016395-0.010614i,-0.013635-0.0032908i,-0.0058602+2.5987e-05i,-0.00071487-0.00050755i,0.001049-0.00035968i,0.0017415+0.00087534i,0.00054211+0.0021225i,-0.0013097+0.0016588i,-0.0015453+0.0015597i,-0.0011618+0.00088584i,-0.0009962-0.00070963i,-0.0010793-0.0012214i,0.00014239-0.00062703i,0.0019642-0.00010694i,0.0019261-0.00067616i,0.0014515-0.00095139i
0.0031667-0.001167i,0.0033362-0.003361i,0.001907-0.0048131i,-0.0040612-0.0014966i,-0.0085945+0.002331i,-0.0026628+0.0003124i,0.0070345-0.0044981i,0.0089688-0.0040062i,0.0060811-0.00016144i,0.0032835+0.0013451i,0.0022356+0.0018987i,0.002362+0.0028667i,0.0018976+0.0024841i,0.001042-0.00038784i,0.000347-0.0025262i,0.00032192-0.0013855i,0.00069513+0.00047069i,0.0015664+0.001009i,0.002302+0.0013095i,0.0026827+0.001722i,0.0023821+0.0013281i,0.0016471+0.00010537i,0.00080679-0.00059121i
-0.0024975-0.0033404i,-0.006421-0.0020105i,-0.012079-0.00086392i,-0.01148-0.00089048i,-0.0034256-0.00094964i,0.004573+6.3048e-05i,0.0068615+0.0026781i,0.0049797+0.0039017i,0.0012912+0.0019723i,-0.002761+0.00070884i,-0.0046742+0.0012016i,-0.0053071+0.0017709i,-0.0053101+0.0018663i,-0.0042681+0.0023499i,-0.0036725+0.0031005i,-0.0029276+0.002508i,-0.0027885+0.0010478i,-0.0021491-1.8443e-05i,-0.00093672+0.00010497i,-0.001048+0.00037112i,-0.0013113-0.0006821i,-0.00021313-0.0021201i,0.00085569-0.0019546i
-0.0034401+0.00016811i,-0.0060022+0.0027348i,-0.0063051+0.0089498i,-0.0038203+0.015948i,-0.001986+0.016416i,0.001028+0.012393i,0.0081872+0.011691i,0.013358+0.0093021i,0.010762+0.0029524i,0.0037029-0.00060808i,-0.0015596-0.00099682i,-0.002825+0.00053593i,-0.00096255+0.0016231i,0.0010612-0.00086886i,0.0022482-0.0036504i,0.0016709-0.0034307i,0.00057817-0.0015234i,0.00082538-0.00045393i,0.00092494-0.0004329i,0.00045274-0.00046156i,-3.2747e-05+0.00011821i,-2.8426e-05+0.00027451i,0.00012225+0.00026353i
-0.0010503-0.0011533i,0.00038489+0.0017544i,0.0038741+0.0062999i,0.0090959+0.006383i,0.01075+0.0034087i,0.0046302+0.0035983i,-0.0027197+0.0035493i,-0.0047013-0.00056756i,-0.0029179-0.0041744i,-0.00083996-0.0037064i,-0.00038682-0.001722i,-0.0012927-0.00085823i,-0.0020122+0.00028396i,-0.0018297+0.0014915i,-0.00065894+0.0018902i,0.00063078+0.0010292i,0.00036105-0.00071354i,-0.00046647-0.0014058i,-0.00080012-0.0011033i,-0.0013603-0.0005906i,-0.0014396+0.00010523i,-0.00095597+0.00050447i,-0.00010018+9.3344e-06i
0.0041334-0.002414i,0.0091706-0.0016393i,0.013357-0.0018197i,0.011307-0.0020354i,0.0029498-0.00084127i,-0.0025507+0.00058742i,-0.0022234+0.00068006i,-0.00097298-0.0013686i,0.00024568-0.00082606i,0.0023084+0.0019653i,0.0040246+0.0034767i,0.0037716+0.0028987i,0.0039125+0.00012353i,0.0043089-0.0011555i,0.0042609-0.00012142i,0.0038257+0.0011904i,0.002849+0.0018943i,0.0018328+0.00073867i,0.00099732-0.00048903i,0.0009902+0.00026852i,0.00080676+0.0014735i,0.00019181+0.0015038i,-0.00057404+0.0014591i
0.0027013-0.00032206i,0.0041977-0.0042505i,0.0070998-0.011358i,0.0066328-0.016224i,0.0041456-0.013956i,0.00093242-0.0090449i,-0.0036543-0.0094472i,-0.0062278-0.0093149i,-0.005425-0.0043799i,-0.0028083-0.0010211i,-0.0014314-0.00047671i,-0.001336+0.00014444i,-0.0019148+0.0011407i,-0.0029817+0.0017604i,-0.0042947+0.0020401i,-0.0044955+0.00078022i,-0.0035411-0.0015366i,-0.0019557-0.0020344i,3.9671e-05-0.0014202i,0.0024539-0.00078762i,0.0030836-0.0005943i,0.0023845-0.00076994i,0.0018606-0.00083668i
-0.0027858+0.00035521i,-0.0037085-0.003837i,-0.0063182-0.0073415i,-0.0099434-0.0090477i,-0.011337-0.0082287i,-0.0064081-0.005158i,-0.00069954-0.00031923i,0.00038578+0.0047557i,0.00048169+0.0071027i,0.00079401+0.0050517i,6.8123e-05+0.0020867i,-0.00061713+0.00098966i,-0.00086722-0.00035749i,-0.00059075-0.0023663i,0.00085545-0.0019036i,0.0018563-0.00045287i,0.0013802+0.00085347i,0.0017053+0.002152i,0.0022813+0.0018792i,0.0015722+0.0014266i,0.00036291+0.0010867i,-0.00015906+0.00039634i,-0.00022603+0.00010961i
-0.0013837+0.0024158i,-0.0042473+0.0016874i,-0.0091646+0.0029296i,-0.010311+0.0040928i,-0.0043987+0.0041103i,0.0013158+0.002523i,0.0025195+0.001121i,0.0016254+0.0019i,0.00031296+0.0018998i,-0.0011158+0.0008014i,-0.0030091+0.00029253i,-0.0038957+0.00044823i,-0.0033928+0.00013888i,-0.003431-0.0011954i,-0.0038422-0.0011312i,-0.004179-0.00086415i,-0.003401-0.00097995i,-0.0026439+0.00032666i,-0.0026927+0.0012564i,-0.0021732+0.00042563i,-0.0004194-2.4746e-05i,0.00087609-1.0045e-05i,0.0012205-0.0011193i
-0.0023337+0.0009547i,-0.0035034+0.0048895i,-0.0054243+0.011245i,-0.0052708+0.014483i,-0.0028496+0.010345i,-0.00048294+0.0041089i,0.001349+0.0036726i,0.00224+0.0039277i,0.00071649+0.0013411i,-0.0014985-0.00082902i,-0.0028471-0.0007395i,-0.0028503+0.00017704i,-0.00094947+0.00065158i,0.0013437+0.00013103i,0.0031653-0.00039531i,0.003379-0.00012256i,0.0025048+0.00054129i,0.0018197+0.0012714i,0.00031176+0.00071708i,-0.0014361+6.6686e-06i,-0.0016333-5.7771e-05i,-0.001012-9.5004e-05i,-0.00020131-0.00022645i
0.0050539-0.0007868i,0.0064171+5.5136e-05i,0.0092355+0.0054944i,0.011735+0.007703i,0.010221+0.0057489i,0.0051855+0.0019093i,0.002734-0.0037692i,0.0036253-0.010222i,0.0037324-0.011913i,0.0024016-0.0085464i,0.0020128-0.0049386i,0.0014946-0.0020982i,0.0002528+1.3099e-05i,-0.001288+0.00093061i,-0.0021371+0.00083839i,-0.0018864+0.0011822i,-0.00073711+0.00051342i,-8.4405e-05-0.00064418i,-0.00015198-9.9123e-05i,0.0001822+0.00015914i,0.00077461-9.8501e-05i,0.00079205+0.0006388i,0.00081213+0.0010258i
0.0040044+0.001488i,0.0092833-1.17e-05i,0.015159-0.0016487i,0.014536-0.0048996i,0.0057158-0.0074725i,-0.001095-0.0060795i,-0.00099553-0.0048271i,0.0012761-0.0049584i,0.0022432-0.0028727i,0.0021439+0.0011874i,0.0018824+0.004201i,0.0023711+0.0054368i,0.0019215+0.0042179i,0.00048317+0.0026606i,7.8254e-05+0.0024427i,0.00064081+0.0032632i,0.00070729+0.0033485i,0.00098279+0.00071733i,0.00076863-0.00045564i,-0.00058633-4.6924e-05i,-0.00098041+0.00024009i,-0.0009104+0.0010404i,-0.00091955+0.00071728i
0.002024+0.0003261i,0.0036826-0.0035839i,0.0062034-0.0084774i,0.0049415-0.011709i,0.0016458-0.0072505i,0.0010935-0.00076406i,0.0031978-0.00059468i,0.0044672-0.00082102i,0.0032868+0.0010758i,0.0014216+0.0019488i,-6.0312e-05+0.0016661i,-0.0016459+0.0013293i,-0.0029137+0.0010737i,-0.0039159+0.00024204i,-0.0047272-0.0010041i,-0.0044954-0.0017613i,-0.003567-0.0020102i,-0.0022105-0.0023472i,-0.00066982-0.0013406i,0.00095558+3.9474e-05i,0.002377+6.0021e-05i,0.0020605-0.00052555i,0.00077254-0.00093561i
-0.0025101-0.0030298i,-0.0039601-0.0069633i,-0.0060498-0.012377i,-0.0078871-0.013688i,-0.0067116-0.0088247i,-0.0024685-0.00062392i,-0.00046389+0.0063416i,-0.0021307+0.011411i,-0.0035544+0.011364i,-0.0034607+0.0069192i,-0.0025905+0.0032331i,-0.0024838+0.00088108i,-0.0030311-0.0011158i,-0.002176-0.001386i,0.00010505+0.0001094i,0.0017547+0.00053264i,0.0021237+0.00066064i,0.0014332+0.00080972i,0.00085941+0.00029231i,0.00079298-4.2452e-05i,0.00079547+0.00028073i,0.00048916+9.8305e-05i,-0.00016137-0.00099637i
-0.0017686-0.0049479i,-0.0052541-0.0047627i,-0.011621-0.0020316i,-0.015081+0.0037038i,-0.010686+0.0073637i,-0.0037816+0.0075529i,-0.00066665+0.0055599i,-0.00085079+0.0051172i,-0.0012201+0.0041541i,-0.0015383+0.0016073i,-0.0018615+0.00079241i,-0.002148+0.0011335i,-0.0016022+0.00071952i,-0.00093416-0.00025789i,-0.001729-0.0010602i,-0.0015803-0.0020608i,-0.00030342-0.0016985i,-0.00044494-0.00054217i,-0.00090247-0.00026298i,-6.7846e-05-0.00033588i,0.00080905-1.0018e-05i,0.00031928-9.2943e-05i,-2.1706e-05-0.00038037i
0.0012309+0.00091975i,-0.00012073+0.0050337i,-0.0044313+0.010413i,-0.0059771+0.012183i,-0.0033113+0.0074364i,-0.0024648+0.001936i,-0.0051935-0.00063869i,-0.0073783-0.0021309i,-0.0064597-0.0029317i,-0.0037272-0.0027302i,-0.0021379-0.0023314i,-0.0011491-0.0011746i,0.00031568+0.00028786i,0.0013162+0.00073831i,0.0020051+0.00087696i,0.0022027+0.0008905i,0.0024545+0.0008715i,0.0019269+0.001413i,0.00074739+0.00088201i,-0.00040928-0.00061659i,-0.00077114-0.00081803i,0.00011202-0.00069401i,1.1077e-05-0.0011785i
-0.0012994+0.0033328i,0.00088072+0.0080332i,0.0041112+0.013437i,0.0066325+0.015351i,0.0054298+0.010746i,0.0030465+0.0023721i,0.002879-0.0057842i,0.0037132-0.010108i,0.0031496-0.0088386i,0.002424-0.0045778i,0.0028564-0.0013663i,0.0032167-0.0009311i,0.003329-0.00056303i,0.0030714-0.00056759i,0.0025894-0.00082995i,0.0016024-0.00054099i,0.0010485-0.00019818i,0.00082164+0.00027576i,-8.0984e-05+0.0007982i,-0.00048825+0.0011942i,-0.00068695+0.001457i,-0.00016691+0.001415i,0.0011005+0.00062859i
-0.00039076-0.002971i,0.003388-0.0024464i,0.0098134-0.0044658i,0.012365-0.0071439i,0.0084116-0.0079537i,0.0030201-0.0062724i,0.0013109-0.0063644i,0.0021415-0.0078114i,0.0018753-0.0055991i,0.00028976-0.00022336i,0.00037333+0.0043931i,0.00096217+0.0061645i,0.00074794+0.0055117i,-0.00028484+0.0036436i,-0.0012319+0.0031509i,-0.00062964+0.003813i,0.00028544+0.0030017i,0.0010161+0.0015677i,0.0013176+0.00054646i,0.0003714-0.00036696i,-0.00065781-0.0012956i,-0.00085341-0.0012796i,-0.00071846-0.00075125i
