-0.001672+0.00022706i,-0.0029634-0.00084264i,-0.00412-0.0013657i,-0.0025098-0.0011103i,-0.00085897-0.00020914i,-0.00016758+0.0008238i,0.00030667+0.0014362i,0.0007348+0.001569i,0.00088266+0.00046287i,0.0011506-0.00040799i,0.000888-0.0007873i,-0.00048105-0.00099393i,-0.0011176-0.00054922i,-0.0011159+0.00038725i,-0.0010901+0.00023947i,-0.00068284+0.0001832i,-0.00042847+0.00033277i,-8.8494e-05+0.00034035i,-3.468e-05+5.0397e-05i,-0.00082283-0.00080157i,-0.00015043-0.0013336i,0.000963-0.0011199i,0.00024447-0.0002339i
-0.081885-0.030462i,-0.21487+0.071338i,-0.30018+0.27755i,-0.2263+0.36657i,-0.07984+0.27049i,-0.0058146+0.17809i,-0.013568+0.16192i,-0.050644+0.13693i,-0.052159+0.082062i,-0.00040296+0.018013i,0.037481-0.028354i,0.029755-0.040338i,0.012307-0.035625i,0.0061385-0.027678i,0.0068991-0.018616i,0.00093367-0.019767i,-0.013944-0.021969i,-0.010445-0.0095745i,0.013798+0.0041804i,0.027559+0.0077996i,0.02388+0.0025824i,0.015711-0.0025279i,0.015236+0.0016893i
0.025321-0.043586i,-0.017712-0.099074i,-0.05355-0.16664i,0.015172-0.25562i,0.067183-0.31571i,-0.01222-0.24828i,-0.088595-0.068904i,-0.038741+0.088161i,0.063694+0.14379i,0.10452+0.10459i,0.064714+0.042317i,0.017694+0.022999i,0.03083+0.02157i,0.07046-0.0026325i,0.069741-0.037769i,0.027339-0.053581i,-0.0066597-0.048806i,-0.024796-0.042053i,-0.042429-0.035985i,-0.047351-0.025584i,-0.038183-0.01548i,-0.0325-0.0091144i,-0.036169-0.0070398i
-0.048039+0.049558i,-0.16035+0.060487i,-0.29556+0.12235i,-0.28956+0.26692i,-0.13252+0.32712i,0.046995+0.23157i,0.15322+0.11112i,0.16024+0.044405i,0.12906+0.037073i,0.11911+0.04243i,0.10156+0.014704i,0.061685-0.019375i,0.034504-0.017491i,0.035783+0.0094652i,0.041783+0.0255i,0.033275+0.028823i,0.027113+0.035385i,0.033496+0.038133i,0.034279+0.029447i,0.027052+0.017763i,0.020224+0.01007i,0.010987+0.0041181i,0.0031556+0.0029737i
-0.092316-0.11343i,-0.12458-0.34935i,-0.16007-0.59005i,-0.24013-0.54079i,-0.31534-0.23102i,-0.34478+0.003175i,-0.34945+0.028447i,-0.32584-0.045093i,-0.29074-0.074953i,-0.22695-0.0008016i,-0.10614+0.073219i,-0.00059278+0.070281i,0.034331+0.055187i,0.028742+0.059293i,0.020851+0.046384i,0.01893+0.0046726i,-0.0030046-0.033994i,-0.040285-0.034236i,-0.049895+0.00037881i,-0.024632+0.028937i,0.0071245+0.02974i,0.022807+0.017097i,0.02235+0.010053i
0.094846-0.14994i,0.29792-0.19815i,0.52743-0.15645i,0.56642-0.11127i,0.44163-0.14854i,0.32506-0.19474i,0.23953-0.17389i,0.12913-0.09088i,-0.014252-0.0040097i,-0.10356+0.036708i,-0.10157+0.027692i,-0.080421+0.0083192i,-0.086644+0.0077699i,-0.098637+0.02524i,-0.081634+0.046328i,-0.041976+0.054895i,-0.013065+0.052798i,-0.00063467+0.036567i,0.0086069+0.0026221i,0.015896-0.027023i,0.017683-0.037262i,0.01327-0.036536i,0.0051887-0.037785i
0.19499+0.0043892i,0.2978+0.043979i,0.17066+0.10306i,-0.12347+0.12712i,-0.24748+0.14918i,-0.11893+0.16885i,0.043475+0.13694i,0.14097+0.060073i,0.18885-0.037303i,0.14909-0.10379i,0.062042-0.10053i,-0.001937-0.061558i,-0.049127-0.031425i,-0.075377-0.021478i,-0.059849-0.017508i,-0.021343-0.0071449i,0.015867+0.0069636i,0.045141+0.019812i,0.045437+0.018949i,0.0097809+0.0093338i,-0.029498+0.011404i,-0.046234+0.022817i,-0.045051+0.026073i
0.15132+0.27726i,0.32828+0.51333i,0.49581+0.52373i,0.53079+0.22614i,0.35291-0.067529i,0.1045-0.17143i,-0.02934-0.18051i,-0.04382-0.1506i,0.017379-0.12779i,0.063571-0.14626i,0.04286-0.13307i,0.004483-0.082421i,-0.0169-0.062387i,-0.012644-0.071885i,0.0033467-0.080748i,0.002121-0.08716i,-0.01363-0.10358i,-0.040184-0.12108i,-0.070939-0.099816i,-0.078556-0.045103i,-0.058079-0.0028123i,-0.028125+0.015477i,-0.0026677+0.010675i
-0.28662+0.26999i,-0.58566+0.52102i,-0.70591+0.65671i,-0.45354+0.60408i,-0.068417+0.48829i,0.1327+0.44268i,0.15343+0.45154i,0.093029+0.41939i,0.050439+0.33663i,0.094772+0.2085i,0.11785+0.055439i,0.07355-0.051012i,0.062645-0.10416i,0.071456-0.12882i,0.030544-0.10827i,-0.031435-0.053024i,-0.07244-0.0023738i,-0.083645+0.030493i,-0.057708+0.043931i,-0.011603+0.036923i,0.020491+0.020094i,0.028347+0.0045154i,0.021375-0.0047227i
-0.35311-0.21228i,-0.62421-0.44103i,-0.69226-0.60645i,-0.60126-0.53966i,-0.56269-0.31639i,-0.50842-0.11655i,-0.37456-0.022432i,-0.24221+0.01876i,-0.1294+0.10373i,-0.022199+0.15619i,0.045511+0.10048i,0.047915+0.0019553i,0.001696-0.043417i,-0.024787-0.010988i,-0.0014927+0.040649i,0.040415+0.062862i,0.071437+0.074473i,0.082496+0.10446i,0.08297+0.11951i,0.071035+0.086509i,0.042726+0.033745i,0.0061171-0.0091401i,-0.02882-0.020171i
0.04631-0.3791i,0.062082-0.58901i,0.11806-0.41306i,0.26608+0.0015647i,0.41751+0.11717i,0.37611-0.059454i,0.20593-0.19778i,0.074946-0.26879i,-0.032328-0.27898i,-0.077483-0.14836i,-0.020899+0.0084063i,0.034044+0.076132i,0.041088+0.091478i,0.034412+0.079216i,0.036061+0.041173i,0.058164-0.0079484i,0.082725-0.057858i,0.083593-0.080605i,0.06698-0.04981i,0.049525-0.00020905i,0.026035+0.020377i,-0.0056712+0.021916i,-0.0272+0.023015i
0.39637-0.16238i,0.64353-0.38098i,0.51355-0.55515i,0.072271-0.49782i,-0.19151-0.24916i,-0.16628-0.039614i,-0.061476+0.055694i,0.047727+0.069763i,0.086472+0.0040738i,0.012463-0.04148i,-0.057074-0.030539i,-0.078304-0.015271i,-0.081354+0.010012i,-0.059228+0.021558i,-0.049719-0.0223i,-0.093138-0.067833i,-0.14931-0.075242i,-0.17528-0.075906i,-0.17017-0.059687i,-0.13611-0.02345i,-0.09147+0.0031122i,-0.055043+0.015701i,-0.018769-0.001254i
0.28113+0.35358i,0.58634+0.59777i,0.73759+0.5258i,0.5416+0.13213i,0.20204-0.17501i,0.055158-0.2086i,0.080733-0.097989i,0.12587+0.082253i,0.21366+0.20378i,0.27406+0.11368i,0.20788-0.062903i,0.10477-0.16148i,0.043426-0.20731i,-0.015229-0.21729i,-0.082024-0.16881i,-0.12321-0.1024i,-0.134-0.05943i,-0.12413-0.036734i,-0.10154-0.020446i,-0.07897-0.0091217i,-0.056969-0.0030137i,-0.034269-0.0025196i,-0.012089-0.012402i
-0.27563+0.33463i,-0.46923+0.63007i,-0.47484+0.76727i,-0.22729+0.72862i,0.095042+0.68574i,0.27648+0.56706i,0.21285+0.31296i,-0.0093675+0.097715i,-0.15979+0.023602i,-0.12391+0.0255i,-0.00024804+0.0023096i,0.072417-0.07249i,0.076347-0.12058i,0.075337-0.10819i,0.081142-0.078746i,0.093059-0.05849i,0.13454-0.040541i,0.17598-0.021897i,0.16401-0.010279i,0.10788+0.00099403i,0.05722+0.0057186i,0.020723-0.0085438i,-0.0024711-0.017503i
-0.34174-0.15047i,-0.57251-0.20067i,-0.52157-0.17158i,-0.24138-0.10611i,-0.043384-2.7238e-05i,0.094284+0.17313i,0.23826+0.21774i,0.25261+0.11922i,0.22212+0.1134i,0.25352+0.12396i,0.19531+0.055002i,0.026351+0.075052i,-0.090325+0.1955i,-0.085405+0.23848i,-0.031356+0.14241i,-0.02133+0.014852i,-0.041061-0.031248i,-0.016389-0.010223i,0.053591+0.0050477i,0.088153-0.00067712i,0.047539+0.0057444i,0.00026252+0.024484i,0.0011301+0.01642i
0.032342-0.32638i,-0.038402-0.52458i,-0.16121-0.4401i,-0.2573-0.1716i,-0.36567-0.020768i,-0.46576+0.111i,-0.33124+0.28899i,-0.10878+0.26575i,-0.14229+0.16262i,-0.21421+0.20498i,-0.1195+0.16976i,-0.10724-0.015787i,-0.2356-0.13255i,-0.28748-0.10985i,-0.20022-0.053615i,-0.11025-0.053316i,-0.11402-0.060563i,-0.13663-0.012272i,-0.079645+0.0429i,-0.0049522+0.025091i,0.00078272-0.021351i,-0.010139-0.023388i,0.021358-0.019986i
0.29956-0.064026i,0.47775-0.17087i,0.39599-0.22215i,0.19011-0.06086i,0.16388+0.17422i,0.20805+0.20708i,0.15669+0.13006i,0.16054+0.053296i,0.24871-0.14252i,0.22299-0.30131i,0.11492-0.24655i,0.073069-0.13425i,0.062731-0.11292i,-0.013443-0.12611i,-0.12296-0.065362i,-0.14377+0.012951i,-0.11448-0.013315i,-0.13687-0.056247i,-0.14154+0.018477i,-0.045129+0.12365i,0.072434+0.13926i,0.11498+0.096172i,0.096109+0.060328i
-0.50675+9.5479i,0.91355+9.7454i,4.9846+9.4703i,6.9935+5.1908i,5.792+0.68845i,3.0953-1.5179i,1.0602-1.1846i,0.51977-0.092009i,0.97061+0.42228i,1.4261-0.15379i,0.82419-1.2867i,-0.503-1.7624i,-1.6044-1.3109i,-2.1303-0.37775i,-2.0113+0.42156i,-1.4016+0.71696i,-0.63007+0.64418i,0.0018289+0.48879i,0.37226+0.37952i,0.42996+0.37082i,0.33394+0.48391i,0.27928+0.59007i,0.23953+0.50179i
-0.23484+0.10039i,-0.33487+0.2231i,-0.22585+0.3441i,0.0059228+0.39091i,0.18949+0.34921i,0.32061+0.19924i,0.38387+0.0087485i,0.41791-0.093116i,0.46981-0.17511i,0.41775-0.27916i,0.21705-0.26066i,0.043158-0.11605i,-0.019583-0.0059499i,-0.042625+0.035084i,-0.040594+0.07685i,-0.0048738+0.09227i,-0.011933+0.038479i,-0.074719+0.0037039i,-0.077888+0.037887i,0.0053512+0.047212i,0.068439-0.0057482i,0.055272-0.040795i,0.014795-0.015642i
-0.094839-0.20245i,-0.21487-0.28273i,-0.27442-0.16479i,-0.1744+0.058727i,0.0011293+0.18328i,0.071147+0.21157i,0.010522+0.20022i,-0.12206+0.13692i,-0.24945+0.050536i,-0.25213-0.0021118i,-0.16067-0.029909i,-0.1136-0.041944i,-0.12386-0.015183i,-0.11645+0.019059i,-0.061866+0.035684i,0.0033482+0.03689i,0.039409+0.03052i,0.060216+0.0081258i,0.064003-0.066185i,0.0043796-0.12074i,-0.06324-0.064629i,-0.042292+0.0098448i,-0.00091699+0.0014861i
0.23312-0.091228i,0.40862-0.20763i,0.45113-0.30844i,0.34042-0.40281i,0.16239-0.51445i,-0.032453-0.58904i,-0.16288-0.56129i,-0.13509-0.41787i,-0.0076657-0.27401i,0.022303-0.21832i,-0.065045-0.12225i,-0.068557+0.04375i,0.01998+0.1164i,0.048903+0.099864i,0.022972+0.1043i,0.0075272+0.14129i,0.0039194+0.18147i,-0.0022663+0.19603i,-0.009948+0.15421i,-0.0024996+0.069524i,0.022724-0.014955i,0.035268-0.05939i,0.026387-0.040974i
0.095659+0.23514i,0.1448+0.42349i,0.085427+0.49668i,0.020927+0.47488i,0.091308+0.4105i,0.16847+0.27309i,0.13592+0.18662i,0.099976+0.17874i,0.087777+0.090158i,0.040058+0.0031147i,0.047478+0.0082008i,0.11128-0.018891i,0.10058-0.088166i,0.019075-0.091223i,-0.027984-0.023006i,-0.0043589+0.048631i,0.036559+0.073107i,0.040079+0.056394i,0.0036533+0.04942i,-0.016491+0.060045i,0.0022797+0.0521i,0.019504+0.031163i,0.020668+0.016261i
-0.2225+0.12077i,-0.34176+0.13351i,-0.30788-0.039309i,-0.23752-0.25092i,-0.28214-0.22777i,-0.32952-0.043057i,-0.28124+0.066134i,-0.20358+0.092112i,-0.13441+0.15869i,-0.027767+0.2105i,0.069639+0.12042i,0.048265-0.016152i,-0.018884-0.022896i,-0.0014384+0.038157i,0.066868+0.047242i,0.11669+0.025673i,0.14086+0.0078811i,0.13962-0.022083i,0.1082-0.059113i,0.060209-0.06182i,0.026194-0.027432i,0.0049619-0.013772i,-0.030216-0.025359i
-0.1759-0.1784i,-0.26797-0.21165i,-0.13795-0.055213i,0.17074+0.070962i,0.37064-0.040633i,0.36122-0.17638i,0.24937-0.18404i,0.14729-0.14368i,0.1332-0.11596i,0.15541-0.12275i,0.10472-0.088345i,0.071578+0.01049i,0.11704+0.041209i,0.12927-0.007405i,0.092103-0.037537i,0.07435-0.050239i,0.084297-0.061402i,0.10037-0.045963i,0.087439-0.02533i,0.033441-0.018586i,-0.021366-0.010184i,-0.04706+0.0037565i,-0.042494+0.024725i
0.1849-0.23772i,0.19918-0.42936i,0.028633-0.41439i,-0.15299-0.16038i,-0.12364+0.044598i,-0.0010618+0.056357i,0.051999+0.057666i,0.061429+0.096473i,0.0079223+0.055736i,-0.07658+0.0011739i,-0.082174-0.012884i,-0.068906-0.018742i,-0.082298+0.02075i,-0.050325+0.081275i,0.0051531+0.082111i,0.013437+0.040951i,-0.013946+0.01397i,-0.032769+0.025718i,-0.032499+0.065623i,-0.0098324+0.084701i,0.017076+0.051088i,0.019184+0.0061123i,0.016846-0.0072492i
0.27863+0.1675i,0.53669+0.20489i,0.61881+0.054073i,0.41977-0.24841i,0.093407-0.46374i,-0.14936-0.44714i,-0.1998-0.32793i,-0.11325-0.22185i,-0.017114-0.10582i,0.0085896-0.008521i,-0.033548+0.040282i,-0.05281+0.089406i,-0.0031261+0.12246i,0.034855+0.090205i,0.01407+0.024812i,-0.021372-0.017442i,-0.039134-0.042115i,-0.040933-0.079349i,-0.025477-0.096144i,0.0048628-0.056659i,0.032087-0.006525i,0.040233+0.014997i,0.030575+0.022638i
-0.13176+0.28303i,-0.20141+0.49444i,-0.21348+0.52291i,-0.17929+0.40635i,-0.13121+0.34575i,-0.071492+0.34078i,-0.0036032+0.27707i,0.021326+0.1395i,-0.011123+0.011174i,-0.036475+0.0036861i,0.0094551+0.067296i,0.085353+0.048428i,0.10019-0.048276i,0.040099-0.11462i,-0.031024-0.11395i,-0.066647-0.083857i,-0.078135-0.056141i,-0.086735-0.03227i,-0.079818-0.016552i,-0.055019-0.016909i,-0.027256-0.018548i,0.0076409-0.01965i,0.037627-0.031912i
-0.28982-0.081054i,-0.48199-0.096843i,-0.48424-0.06199i,-0.33608+0.0017462i,-0.19869+0.058435i,-0.053685+0.073278i,0.079576+0.042157i,0.088872+0.011518i,0.022108+0.012525i,-0.0048697-0.0010976i,-0.00054308-0.038767i,-0.023555-0.057473i,-0.06468-0.034687i,-0.071345+0.020152i,-0.041201+0.079772i,-0.014202+0.12169i,0.0048747+0.15504i,0.033708+0.1861i,0.055345+0.16869i,0.040862+0.082014i,-0.0047839-0.0055391i,-0.04977-0.033338i,-0.067724-0.021029i
0.037893-0.30349i,0.026532-0.49172i,0.0024545-0.48642i,0.015935-0.34336i,0.017147-0.27278i,-0.077934-0.25118i,-0.17417-0.18033i,-0.17029-0.11275i,-0.1425-0.065145i,-0.14819-0.01833i,-0.1521+0.015356i,-0.11386+0.043891i,-0.05511+0.059402i,-0.01873+0.046434i,-0.0082881+0.025084i,-0.0056756+0.021713i,0.0032675+0.018838i,0.013224-0.014902i,0.012862-0.051771i,0.0053876-0.047347i,-0.0040766-0.018152i,-0.016411+0.0026245i,-0.027966+0.014594i
0.29255+0.055494i,0.48211+0.076526i,0.47831+0.14414i,0.30367+0.27162i,0.18689+0.35794i,0.16929+0.26711i,0.11048+0.11743i,0.041956+0.080375i,0.0432+0.077177i,0.047298+0.043492i,0.026739+0.025362i,-0.0021347+0.017813i,-0.045611+0.022939i,-0.074052+0.04816i,-0.057442+0.061361i,-0.014826+0.042727i,0.010957+0.0090499i,0.005139-0.020084i,-0.0039168-0.039429i,0.010653-0.032887i,0.04461-0.0085717i,0.076089-0.0083905i,0.08464-0.030726i
-0.032274+0.26561i,-0.039625+0.3945i,-0.051681+0.30634i,-0.037157+0.073453i,0.020743-0.038413i,0.081972+0.014321i,0.10582+0.072525i,0.088657+0.069107i,0.043858+0.05008i,0.023748+0.044444i,0.034984+0.028703i,0.035628+0.016686i,0.046645+0.028289i,0.084006+0.026103i,0.10733-0.0095167i,0.097848-0.042065i,0.082038-0.045649i,0.070288-0.025435i,0.032922-0.00019307i,-0.023502+0.012829i,-0.054135+0.011312i,-0.058525+0.0084586i,-0.053784+0.016996i
-0.25295+0.0145i,-0.33315+0.034053i,-0.17877-0.018233i,0.03864-0.1903i,0.039033-0.3616i,-0.091645-0.3915i,-0.1685-0.31585i,-0.16273-0.19355i,-0.09511-0.073504i,-0.044825-0.026234i,-0.039956-0.0081043i,-0.0057227+0.0099131i,0.042609-0.0081872i,0.045801-0.031767i,0.021322-0.040705i,-0.0024452-0.050749i,-0.015672-0.06735i,-0.015544-0.087002i,-0.003967-0.081631i,0.011652-0.048406i,0.019799-0.022665i,0.018292-0.010541i,0.016933-0.0011174i
-0.080514-0.25629i,-0.21846-0.34207i,-0.36036-0.1217i,-0.32105+0.26266i,-0.11538+0.40723i,0.040458+0.31392i,0.093565+0.22957i,0.10498+0.15328i,0.067171+0.049403i,0.009798+0.0094328i,-0.013168+0.027235i,-0.015165+0.024785i,-0.022463-0.011787i,-0.046093-0.052487i,-0.077838-0.063304i,-0.096128-0.044253i,-0.10219-0.017418i,-0.093373+0.0040866i,-0.05176+0.0060564i,0.0010615-0.010183i,0.014381-0.017856i,-0.0045346-0.012902i,-0.015149-0.012436i
0.29568-0.099014i,0.49304-0.26204i,0.45642-0.48536i,0.17142-0.61486i,-0.092644-0.55605i,-0.20208-0.40297i,-0.20536-0.26964i,-0.154-0.17875i,-0.099805-0.12428i,-0.063984-0.091591i,-0.043017-0.062967i,-0.03495-0.020449i,-0.020059+0.028276i,0.0078659+0.055769i,0.032463+0.063218i,0.045872+0.06676i,0.061285+0.061056i,0.071142+0.039061i,0.050872+0.014386i,0.01127-0.0010078i,-0.0084389-0.0056133i,0.0056937-0.0022555i,0.021403+0.001597i
0.072715+0.29678i,0.15976+0.54424i,0.20882+0.63258i,0.16469+0.54688i,0.084875+0.45i,0.081921+0.35597i,0.1185+0.22285i,0.092546+0.12132i,0.034535+0.09256i,0.0017901+0.080469i,-0.010515+0.044565i,-0.0090634+0.004253i,0.0074114-0.02193i,0.02317-0.038611i,0.017361-0.044401i,-0.0033579-0.042845i,-0.020576-0.040939i,-0.018155-0.03081i,0.0050217-0.0076217i,0.022351+0.013351i,0.025368+0.014078i,0.021461+0.001604i,0.013523-0.0026817i
-0.28915+0.067716i,-0.46851+0.13449i,-0.44809+0.14289i,-0.24252+0.10473i,-0.079637+0.089805i,-0.025182+0.085091i,-0.0020306+0.028735i,0.0042268-0.032263i,0.010702-0.034629i,0.031568-0.014668i,0.038458-0.0063224i,0.020625-0.0093672i,-0.021597-0.014179i,-0.055004-0.0054235i,-0.040567+0.013533i,-0.0028195+0.027489i,0.014287+0.043781i,0.0099165+0.061182i,0.012812+0.046775i,0.027035+0.0082043i,0.029345-0.010745i,0.02506-0.00659i,0.030079-0.007558i
-0.11481-0.26927i,-0.22689-0.44742i,-0.271-0.46591i,-0.22042-0.36695i,-0.13904-0.29761i,-0.08682-0.22607i,-0.083427-0.11302i,-0.10094-0.036749i,-0.11117-0.024892i,-0.1092-0.026852i,-0.085108+0.0072746i,-0.031377+0.051011i,0.017539+0.060556i,0.033247+0.049297i,0.032503+0.030844i,0.026039+0.0086866i,0.022257-0.0093565i,0.025245-0.022581i,0.0094987-0.022637i,-0.029482-0.0088195i,-0.061139+0.0018957i,-0.076038+0.0043114i,-0.083521+0.009207i
0.26828-0.13054i,0.45874-0.21309i,0.49634-0.1349i,0.42872+0.10798i,0.39419+0.25529i,0.32514+0.16142i,0.1858+0.039936i,0.10916+0.039881i,0.090372+0.057944i,0.052389+0.045074i,0.021003+0.0096402i,0.0016019-0.026385i,0.0015717-0.020758i,0.025586-0.00019627i,0.022035+0.0035345i,-0.0046543+0.012369i,-0.012099+0.018913i,-0.0062121+0.0040669i,0.0013162-0.010201i,0.014891-0.0092996i,0.031659-0.012041i,0.036479-0.016154i,0.030828-0.0057589i
0.11975+0.27108i,0.19287+0.44068i,0.13482+0.38784i,-0.03631+0.10404i,-0.14582-0.12397i,-0.11858-0.1314i,-0.042479-0.043373i,0.0042601+0.013695i,0.043092+0.031313i,0.079986+0.022477i,0.067736+0.0084387i,0.022464+0.0032734i,-0.021448-0.005571i,-0.052432-0.010475i,-0.044164-0.0046889i,-0.016028-0.0087558i,-0.0043546-0.0041455i,-0.0013423+0.028183i,0.0071753+0.046273i,0.014127+0.025057i,0.0048806+0.00026335i,-0.0064106-0.0015059i,0.0036929+0.0039379i
-0.23742+0.12706i,-0.35753+0.18309i,-0.29498+0.11794i,-0.13565+0.0086876i,-0.10655+0.0067546i,-0.15726+0.085355i,-0.15041+0.1133i,-0.10264+0.05357i,-0.08448-0.024479i,-0.095679-0.034257i,-0.068549+0.016875i,-0.0068128+0.052231i,0.04172+0.056369i,0.067222+0.04599i,0.067393+0.032568i,0.05562+0.026775i,0.043636+0.011381i,0.025695-0.014715i,0.0040127-0.022355i,-0.014021-0.005548i,-0.015463+0.014165i,-0.001469+0.016765i,0.0058766+0.0047006i
-0.14122-0.20931i,-0.22221-0.27658i,-0.12899-0.16152i,0.10247-0.027931i,0.22907-0.073439i,0.19799-0.15664i,0.14961-0.16984i,0.084385-0.13149i,0.014925-0.039532i,-0.00065436+0.017335i,-0.011494+0.0017151i,-0.023642-0.0225i,-0.026622-0.045629i,-0.052293-0.041602i,-0.071017-0.0050129i,-0.06667+0.0027292i,-0.074358-0.014043i,-0.077763-0.014478i,-0.043003-0.0033128i,0.0064599-0.002483i,0.034753-0.017808i,0.031307-0.032327i,0.0049371-0.027616i
0.1938-0.20069i,0.21865-0.39206i,-0.058726-0.45587i,-0.45147-0.26414i,-0.53179-6.907e-05i,-0.34515+0.11218i,-0.19052+0.12559i,-0.088388+0.10814i,-0.0015233+0.04017i,0.02798-0.019948i,0.011856-0.029311i,-0.023481-0.0045793i,-0.041059+0.036889i,-0.0095753+0.043924i,0.026396+0.013037i,0.030982+0.015793i,0.042265+0.062592i,0.059125+0.086881i,0.039479+0.066014i,0.0016425+0.039809i,-0.017198+0.035416i,-0.016327+0.038422i,-0.0086293+0.027726i
0.21168+0.21703i,0.44805+0.35742i,0.63692+0.31711i,0.66377+0.14261i,0.55263+0.035139i,0.37406-0.023197i,0.17819-0.088604i,0.027236-0.08862i,-0.036786-0.043588i,-0.040795-0.020992i,-0.0045415-0.0055397i,0.054538+6.5239e-05i,0.079694-0.028225i,0.042723-0.051309i,-0.0033024-0.029905i,-0.0031161-0.013217i,0.012371-0.046761i,0.0045596-0.082632i,-0.010961-0.074214i,-0.018201-0.048225i,-0.019867-0.039599i,-0.022139-0.034562i,-0.019365-0.017824i
-0.22149+0.19385i,-0.38955+0.36855i,-0.42725+0.42074i,-0.3708+0.29967i,-0.34497+0.16296i,-0.29114+0.10992i,-0.17974+0.077206i,-0.091627+0.038487i,-0.053124+0.026911i,-0.055446+0.029435i,-0.077518+0.022035i,-0.092744+0.0053554i,-0.087145+0.01955i,-0.046137+0.059888i,-0.0121+0.063568i,-0.038001+0.043915i,-0.086346+0.052837i,-0.095014+0.067528i,-0.059328+0.048875i,-0.018767+0.0078916i,0.0030107-0.022628i,0.012556-0.033482i,0.016715-0.028017i
-0.19798-0.21067i,-0.3539-0.30693i,-0.31775-0.20881i,-0.031514-0.039408i,0.20149-0.047802i,0.19896-0.13501i,0.13133-0.12571i,0.090879-0.090828i,0.042087-0.058377i,0.044519-0.0039218i,0.086519+0.025481i,0.095601+0.036958i,0.077295+0.031294i,0.035409+3.4977e-05i,0.0065805-0.015797i,0.043896-0.016443i,0.10719-0.027593i,0.12659-0.032436i,0.093824-0.017975i,0.054108+0.0076579i,0.035889+0.035122i,0.030705+0.051113i,0.024725+0.044845i
0.21658-0.21257i,0.35513-0.47862i,0.28898-0.67642i,0.057106-0.60849i,-0.036267-0.33178i,0.012513-0.090531i,0.012741+0.020988i,0.0086986+0.051815i,0.026468+0.012652i,0.00027414-0.038303i,-0.035414-0.055487i,-0.047557-0.068527i,-0.041144-0.068178i,-0.0093343-0.046567i,0.019194-0.033354i,0.0028975-0.035271i,-0.04551-0.045225i,-0.078234-0.054529i,-0.078476-0.045671i,-0.065506-0.01732i,-0.051373+0.0056765i,-0.034186+0.0041905i,-0.021143-0.01149i
0.2031+0.2624i,0.4113+0.51598i,0.53205+0.64191i,0.40476+0.50367i,0.12397+0.26367i,-0.024566+0.080275i,-0.006575-0.064315i,-0.0014843-0.12075i,-0.010397-0.071722i,0.0052724-0.013876i,0.010186+0.036323i,0.019395+0.086859i,0.029637+0.088889i,0.0026662+0.056272i,-0.044553+0.051591i,-0.060566+0.087492i,-0.032615+0.12613i,0.0037946+0.12351i,0.023438+0.068945i,0.024384+0.0007824i,0.007488-0.040054i,-0.014206-0.041997i,-0.025528-0.021648i
-0.24596+0.14832i,-0.51462+0.22576i,-0.66894+0.17177i,-0.54742+0.0073452i,-0.29083-0.092704i,-0.099164-0.020808i,0.015918+0.098744i,0.060198+0.10898i,0.039208+0.056386i,0.012476+0.0185i,0.0088045-0.020332i,0.0076607-0.054412i,0.0056-0.043948i,0.023319-0.012647i,0.053955-0.025009i,0.06218-0.083269i,0.049128-0.12806i,0.044318-0.11627i,0.048942-0.065053i,0.050645-0.019809i,0.054212+0.0050471i,0.06024+0.01309i,0.059047+0.013131i
-0.12257-0.20029i,-0.17214-0.35829i,-0.11647-0.31616i,0.0098672-0.030627i,0.080792+0.15754i,0.03399+0.073981i,-0.032477-0.042113i,-0.011448-0.064575i,0.021291-0.059063i,0.0048034-0.023514i,-0.006519+0.035697i,-0.0068531+0.056218i,-0.022607+0.032868i,-0.037369+0.011248i,-0.032426+0.017293i,-0.019287+0.041815i,-0.023366+0.060567i,-0.042687+0.053242i,-0.044456+0.032122i,-0.020525+0.017951i,-0.0050058+0.004752i,-0.0076304-0.0032904i,-0.0089369-0.0059965i
0.20084-0.12012i,0.3838-0.21555i,0.42146-0.2874i,0.22579-0.2945i,0.037336-0.1865i,0.016946-0.035784i,0.024877+0.042113i,-0.01121+0.064405i,-0.020948+0.049049i,-0.016555+0.00049092i,-0.022373-0.027679i,-0.0085064-0.023806i,0.013659-0.0084208i,0.014533+0.0095655i,0.0038971+0.028808i,0.010839+0.043834i,0.041733+0.044167i,0.063553+0.038015i,0.049252+0.025519i,0.0081751+0.011655i,-0.025449+0.01664i,-0.027349+0.030012i,-0.01795+0.033085i
0.098318+0.19984i,0.15145+0.43404i,0.19882+0.58414i,0.27307+0.45397i,0.29134+0.15404i,0.20401-0.040565i,0.13506-0.077326i,0.11716-0.058196i,0.08632-0.015821i,0.054498+0.020758i,0.020302+0.027194i,-0.019418+0.036228i,-0.03159+0.042957i,-0.028173+0.025655i,-0.033429-0.0010396i,-0.045964-0.016692i,-0.053118-0.021437i,-0.037636-0.033418i,-0.013143-0.046833i,-0.00088239-0.04431i,0.00043744-0.036031i,-0.0063599-0.032369i,-0.0073087-0.02699i
