0.0015738-2.8016e-05i,0.00033504-0.0013483i,-0.00082096-0.002293i,-0.0010804-0.0017047i,-0.0011227+0.00027437i,-0.0010955+0.0013173i,-0.00058037+0.00086122i,-0.00010134+0.00064135i,-0.00044094-1.9533e-05i,-0.0005817-0.0009359i,-0.00013017-0.00086543i,-0.00081058-0.00025106i,-0.0011237+0.00015107i,0.00042787-1.0664e-05i,0.00097507+0.00013073i,0.0010543+0.00047936i,0.0010779+0.00071147i,0.00029155+0.00056252i,0.00026288+0.00022801i,0.00074085+0.000153i,0.0007349+0.0002064i,0.00067847+8.8281e-05i,0.00116-0.00068429i
0.041093-0.33663i,-0.0044288-0.52322i,-0.11689-0.54728i,-0.20282-0.44526i,-0.17084-0.34497i,-0.070662-0.22994i,0.025512-0.078088i,0.098836+0.028789i,0.13287+0.053811i,0.12968+0.023323i,0.10204-0.023308i,0.065003-0.044751i,0.039537-0.048153i,0.028826-0.037998i,0.02979-0.0079375i,0.029858+0.017225i,0.01713+0.014849i,0.0012703-0.009298i,-0.0044779-0.024795i,0.0025763-0.021866i,0.011385-0.025454i,0.015218-0.033469i,0.018984-0.02711i
0.34595-0.12i,0.52686-0.23117i,0.51968-0.25694i,0.36699-0.16231i,0.19684-0.061845i,0.059626-0.042273i,-0.0076389-0.071142i,0.00046894-0.10408i,0.029584-0.10383i,0.038475-0.0566i,0.023487-0.004482i,0.0064819+0.013955i,-0.00035891+0.0016331i,-0.014513-0.013157i,-0.038741+0.0047357i,-0.044985+0.046257i,-0.026315+0.07507i,0.0015515+0.075375i,0.019918+0.044576i,0.010188+0.0067056i,-0.017223-0.0033421i,-0.028413+0.014149i,-0.019955+0.030306i
0.2772+0.28438i,0.4513+0.36236i,0.41978+0.25577i,0.2089+0.10298i,0.091956+0.058726i,0.099161+0.049219i,0.047778+0.030886i,-0.055005+0.070853i,-0.09569+0.12133i,-0.073238+0.10828i,-0.061886+0.048684i,-0.084657+0.012996i,-0.072084+0.042265i,0.0021703+0.060101i,0.06096+0.016544i,0.05734-0.036115i,0.036245-0.056015i,0.033439-0.058826i,0.030999-0.069992i,0.015134-0.071091i,0.00067867-0.040351i,-0.0013457-0.0042151i,-0.00098573+0.0049648i
-0.16145+0.3804i,-0.11715+0.59012i,0.044621+0.5105i,0.15362+0.20594i,0.11705+0.021261i,0.067286+0.043178i,0.078155+0.080912i,0.067308+0.070607i,0.010801+0.078473i,-0.025743+0.10306i,0.0045771+0.091291i,0.056938+0.048442i,0.066035+0.034555i,0.04392+0.064708i,0.020416+0.082054i,-0.0017646+0.06532i,-0.014269+0.037171i,-0.019391+0.0032496i,-0.030665-0.01049i,-0.031876+0.013829i,-0.0087342+0.03338i,0.0097017+0.028148i,0.0075021+0.02391i
-0.43099+0.020446i,-0.63839+0.20043i,-0.5583+0.39784i,-0.31307+0.43693i,-0.17617+0.31719i,-0.13594+0.1305i,-0.075047-0.044167i,-0.02274-0.16093i,-0.0396-0.21792i,-0.09631-0.19444i,-0.097972-0.10309i,-0.041456-0.040035i,-0.032278-0.036088i,-0.079921-0.025251i,-0.098826+0.0094348i,-0.071574+0.035701i,-0.045433+0.048846i,-0.033789+0.05942i,-0.025463+0.059884i,-0.027872+0.037664i,-0.041081+0.011666i,-0.048518-0.0027032i,-0.046465-0.0051936i
-0.19168-0.40509i,-0.44092-0.54941i,-0.52316-0.44154i,-0.31621-0.27648i,-0.094908-0.22486i,-0.027664-0.13627i,-0.025541-0.012792i,-0.052941+0.0076155i,-0.078578-0.034636i,-0.063191-0.077324i,-0.058304-0.094532i,-0.084242-0.072476i,-0.10772-0.04764i,-0.097701-0.032422i,-0.039241-0.019951i,0.023233-0.022092i,0.047916-0.024835i,0.061798-0.020469i,0.078034-0.034641i,0.070757-0.056414i,0.041369-0.053685i,0.019899-0.036762i,0.017693-0.030306i
0.32113-0.34712i,0.35341-0.66733i,0.16808-0.72686i,0.013048-0.45178i,0.015303-0.22676i,-0.0013349-0.17041i,-0.026523-0.073873i,0.051409+0.053235i,0.14831+0.095475i,0.16639+0.052359i,0.10536+0.011077i,0.046662+0.024092i,0.046945+0.026646i,0.04917-0.0032088i,0.024987-0.0070153i,0.0046761+0.012074i,0.0036847+0.012518i,0.012536-0.017063i,0.0088392-0.054537i,-0.0089631-0.060264i,-0.018449-0.027942i,-0.0092595+0.0071508i,0.00060273+0.019714i
0.43087+0.20218i,0.74618+0.1269i,0.71013-0.056152i,0.33671-0.062128i,0.11955+0.095677i,0.15861+0.10798i,0.15249-0.0034007i,0.082178-0.019986i,0.066599+0.041963i,0.089522+0.072767i,0.089317+0.037272i,0.054689-0.017947i,0.039256-0.039242i,0.041886-0.045777i,0.0062439-0.043141i,-0.04379-0.019803i,-0.063864-0.010026i,-0.061275-0.020572i,-0.043858-0.022921i,-0.027759-0.021262i,-0.026966-0.017444i,-0.023972-0.0014602i,-0.014843+0.015823i
-0.065746+0.44805i,0.11426+0.72173i,0.33893+0.65845i,0.37808+0.32605i,0.25797+0.1245i,0.1422+0.11027i,0.035782+0.071442i,-0.10299-0.0029235i,-0.21666-0.0046234i,-0.20671+0.063517i,-0.088599+0.068401i,-0.0064207-0.0092776i,0.0029968-0.033882i,0.019105+0.0040115i,0.03939+0.020413i,0.035183+0.013285i,0.023299+0.020102i,0.023438+0.045515i,0.042343+0.067928i,0.062645+0.067498i,0.056049+0.043673i,0.022454+0.021692i,-0.0069009+0.018526i
-0.39409+0.07509i,-0.5438+0.31436i,-0.40394+0.43505i,-0.20023+0.25253i,-0.19132+0.02525i,-0.18233-0.053195i,-0.062693-0.079747i,-0.0074146-0.095801i,-0.054601-0.09756i,-0.1169-0.07218i,-0.10772+0.0046607i,-0.039352+0.060463i,-0.032332+0.062355i,-0.074933+0.078691i,-0.071946+0.099872i,-0.04154+0.091848i,-0.018312+0.081076i,-0.00066932+0.064188i,-0.0079416+0.02791i,-0.034737+8.7929e-05i,-0.047868-0.0088647i,-0.039104-0.018984i,-0.029522-0.036649i
-0.20895-0.31446i,-0.53304-0.32492i,-0.66278-0.081853i,-0.4308+0.12292i,-0.18224+0.11784i,-0.092614+0.12016i,0.0018493+0.13763i,0.091751+0.031135i,0.10442-0.10442i,0.045875-0.16214i,-0.035208-0.11246i,-0.040286-0.030239i,-0.0014279-0.025112i,-0.0040637-0.058529i,-0.01938-0.078203i,-0.019466-0.095475i,-0.015249-0.1144i,-0.0072025-0.12862i,-0.0068948-0.13145i,-0.018118-0.12096i,-0.016677-0.092925i,0.0046226-0.0605i,0.020915-0.042222i
0.22645-0.3105i,0.14374-0.68467i,-0.1065-0.79633i,-0.16247-0.49279i,0.02928-0.23451i,0.089624-0.22282i,-0.013613-0.16984i,-0.024068-0.027468i,0.047605+0.065079i,0.084009+0.057214i,0.051823-0.019277i,-0.0034946-0.054643i,0.0048745-0.037001i,0.044919-0.037941i,0.045564-0.041838i,0.017529-0.033223i,-0.0258-0.029686i,-0.05924-0.024888i,-0.035246-0.01272i,0.027156+0.0017352i,0.062235+0.012648i,0.057416+0.020251i,0.047167+0.0284i
0.34275+0.16602i,0.71245+0.072825i,0.82297-0.13188i,0.54248-0.19203i,0.27588-0.10985i,0.21113-0.092892i,0.12907-0.12075i,-0.02064-0.062529i,-0.11646+0.030736i,-0.096926+0.061987i,-0.026944+0.0258i,0.01108-0.025285i,0.011009-0.055906i,-0.01721-0.047647i,-0.046175+0.0073758i,-0.042801+0.066375i,-0.0086513+0.092474i,0.0375+0.081464i,0.068314+0.040046i,0.057183+0.0086783i,0.014088+0.014517i,-0.01339+0.037501i,-0.010308+0.049759i
-0.11843+0.29879i,-0.041372+0.55665i,0.050488+0.59987i,-0.0070736+0.46262i,-0.088685+0.4482i,-0.024952+0.47961i,0.07998+0.31144i,0.066583+0.044102i,-0.031093-0.092131i,-0.078409-0.056546i,-0.025477+0.021584i,0.034775+0.053109i,0.047498+0.082596i,0.072148+0.099882i,0.10299+0.048503i,0.10282-0.021405i,0.094428-0.059072i,0.092303-0.070691i,0.075822-0.060802i,0.03304-0.038258i,-0.0088896-0.010851i,-0.028374+0.0087545i,-0.042722+0.011388i
-0.19907-0.055711i,-0.27347+0.045287i,-0.1394+0.076131i,0.0080746-0.081417i,-0.046045-0.19838i,-0.075152-0.13628i,0.029969-0.049129i,0.078493-0.0069524i,0.03742-0.0062442i,-0.009503-0.023176i,-0.0054457-0.019023i,0.017023-0.038581i,-0.0096142-0.071632i,-0.037339-0.043701i,-0.021031+0.00042602i,-0.022694-0.016086i,-0.07904-0.072307i,-0.138-0.10992i,-0.13588-0.08645i,-0.073666-0.027531i,-0.0086101+0.001365i,0.023696+0.0047794i,0.034352+0.0047866i
-0.04455-0.14538i,-0.28122-0.074427i,-0.45242+0.19531i,-0.3536+0.35138i,-0.22192+0.19638i,-0.25612+0.035409i,-0.29385+0.02081i,-0.26778+0.01188i,-0.21099+0.011837i,-0.13829+0.04837i,-0.082233+0.092121i,0.0037477+0.079427i,0.076306-0.018251i,0.034736-0.086822i,-0.06471-0.040481i,-0.10301+0.044366i,-0.059868+0.072202i,-0.0026536+0.045972i,0.017845+0.0087323i,0.00028212-0.017499i,-0.032336-0.024705i,-0.042496-0.018432i,-0.025608-0.019672i
0.12624-0.1329i,0.063518-0.47017i,-0.14485-0.72497i,-0.20938-0.59529i,-0.010547-0.35629i,0.14013-0.36019i,0.071064-0.42669i,-0.024891-0.39127i,-0.091299-0.33509i,-0.17538-0.2544i,-0.20719-0.11895i,-0.1285+0.016357i,0.022285+0.091462i,0.12423+0.078603i,0.12974+0.012435i,0.11482-0.043571i,0.15234-0.078933i,0.22232-0.11676i,0.23391-0.1453i,0.16009-0.13811i,0.060482-0.10177i,-0.011663-0.055015i,-0.044608-0.016052i
0.13328+0.17355i,0.48822+0.21891i,0.79853+0.16079i,0.75455+0.12783i,0.60348+0.24135i,0.68807+0.32344i,0.77616+0.17085i,0.58024+0.021174i,0.31881+0.076776i,0.22775+0.12058i,0.17113+0.042121i,0.05451+0.026863i,-0.012138+0.13922i,0.032676+0.22053i,0.097335+0.15252i,0.085736+0.026832i,0.052778-0.036281i,0.062407-0.057134i,0.073414-0.059272i,0.057785-0.02951i,0.035971+0.015982i,0.024882+0.04907i,0.032923+0.050009i
-0.22627+0.068259i,-0.39317+0.27829i,-0.56134+0.44486i,-0.69793+0.44228i,-0.75813+0.4409i,-0.63631+0.51992i,-0.3063+0.46133i,-0.089745+0.15233i,-0.19779-0.10805i,-0.31625-0.052734i,-0.17682+0.083385i,0.014278+0.027629i,0.021907-0.12018i,-0.08209-0.13197i,-0.10852-0.032503i,-0.062251-0.0024783i,-0.060617-0.030572i,-0.075138-0.0089554i,-0.03717+0.058797i,0.023794+0.084455i,0.046219+0.048215i,0.034517+0.015872i,0.034406+0.013827i
-0.31608+9.1163i,0.99128+9.0723i,5.0424+8.7871i,7.1964+4.8173i,6.2373+0.54094i,3.6755-1.7719i,1.4697-1.6793i,0.60392-0.66054i,0.90882-0.10341i,1.2739-0.56864i,0.62926-1.3951i,-0.46255-1.5414i,-1.2419-0.97829i,-1.6403-0.10204i,-1.5622+0.55687i,-1.0204+0.71077i,-0.28302+0.54i,0.28369+0.34403i,0.49979+0.32425i,0.45364+0.47491i,0.39476+0.62865i,0.37665+0.64981i,0.29375+0.5127i
0.06657+0.055901i,0.0061913+0.14925i,-0.096182+0.34924i,-0.097893+0.45448i,-0.057998+0.27849i,-0.11706+0.051248i,-0.15374-0.0011911i,-0.15701+0.029356i,-0.27287+0.083413i,-0.37537+0.14357i,-0.32589+0.14422i,-0.20457+0.069458i,-0.12813-0.019885i,-0.077545-0.012293i,-0.00336+0.048168i,0.0074706+0.040803i,-0.086486+0.0067102i,-0.17688+0.0045762i,-0.14645+0.024459i,-0.010773+0.025985i,0.091581-0.019911i,0.090776-0.046867i,0.060314-0.013094i
-0.0019444+0.018479i,-0.0068955-0.1746i,-0.11047-0.42582i,-0.24636-0.38999i,-0.23321-0.083602i,-0.1468+0.067478i,-0.17864+0.036341i,-0.20776+0.072673i,-0.14488+0.16799i,-0.10506+0.27828i,-0.06554+0.32829i,0.00060079+0.22573i,0.030976+0.085801i,0.036158+0.0035025i,0.011069-0.041982i,-0.017404-0.052612i,-0.0036674-0.082502i,-0.0027317-0.15905i,-0.047568-0.19329i,-0.086741-0.11878i,-0.0677+0.00047977i,-0.0079808+0.04612i,0.016914+0.011239i
-0.029754+0.078266i,0.1809+0.22369i,0.53017+0.325i,0.71663+0.26305i,0.62855+0.1396i,0.43769+0.058304i,0.22096+0.016931i,-0.0053787+0.079528i,-0.13699+0.21406i,-0.12061+0.28823i,-0.029642+0.20711i,-0.022531+0.031055i,-0.072983-0.068112i,-0.023423-0.098456i,0.060341-0.14359i,0.058578-0.15812i,0.010641-0.10603i,-0.010488-0.022185i,0.0088576+0.022858i,0.022216-0.025407i,0.0036628-0.11278i,-0.0093476-0.13329i,0.0072897-0.090999i
-0.10471-0.07431i,-0.32109+0.011824i,-0.52147+0.19221i,-0.52348+0.27442i,-0.40578+0.21599i,-0.32217+0.19157i,-0.15221+0.23722i,0.15054+0.22765i,0.42098+0.17389i,0.53505+0.089913i,0.41855-0.027584i,0.17162-0.067419i,0.011667-0.051574i,-0.061364-0.061229i,-0.12533-0.02657i,-0.16739+0.061442i,-0.21323+0.12823i,-0.27061+0.17128i,-0.23551+0.18619i,-0.09728+0.1303i,-0.00013517+0.034352i,0.0032327-0.032221i,-0.020328-0.058052i
0.13905-0.076785i,0.17428-0.23461i,0.19021-0.36425i,0.26495-0.33865i,0.38615-0.218i,0.42139-0.11901i,0.28813-0.054563i,0.1015-0.012204i,0.011695-0.040291i,-0.015616-0.11957i,-0.039474-0.1251i,-0.049139-0.067581i,-0.081214-0.043824i,-0.14153-0.045439i,-0.14878-0.025303i,-0.076481+0.011163i,0.018527+0.047228i,0.09041+0.07124i,0.11187+0.048115i,0.070283+0.0029481i,0.016433-0.00083977i,-0.0017426+0.012152i,0.0035883+0.0053603i
0.046357+0.12123i,0.1221+0.14737i,0.16084+0.11249i,0.13785+0.035974i,0.08615-0.12472i,-0.04119-0.32556i,-0.16813-0.36585i,-0.13211-0.22684i,-0.0061428-0.072319i,0.059427+0.0053681i,0.048688+0.026991i,0.03437+0.057239i,0.069635+0.08322i,0.11337+0.056918i,0.11716-0.0048572i,0.086182-0.057142i,0.047274-0.08637i,0.024011-0.096525i,0.013887-0.076975i,0.0069894-0.039256i,-0.008522-0.02063i,-0.038751-0.018643i,-0.062166-0.023101i
-0.089963+0.041114i,-0.067402+0.07397i,-0.028311+0.020644i,-0.10807-0.051586i,-0.21753+0.044174i,-0.17098+0.23168i,-0.074171+0.28388i,-0.052546+0.17177i,-0.046786+0.0063105i,-0.0076078-0.07833i,0.056735-0.060553i,0.10863-0.063707i,0.10018-0.11718i,0.052503-0.1183i,0.028846-0.050891i,0.040801+0.0086952i,0.040924+0.034527i,0.012973+0.048525i,0.0046554+0.054652i,0.026891+0.039817i,0.030655+0.019293i,0.005335+0.028973i,-0.014997+0.060805i
-0.062241-0.070743i,-0.14592+6.8103e-05i,-0.13119+0.15602i,0.019359+0.21626i,0.13097+0.10392i,0.12516-0.061253i,0.082021-0.15569i,0.037796-0.11514i,0.0011392+0.0045439i,-0.012075+0.069432i,-0.012256+0.039223i,-0.052265+0.0029027i,-0.11069+0.034287i,-0.11663+0.068438i,-0.090712+0.040658i,-0.08422+0.00017315i,-0.094659-0.0015277i,-0.1062+0.037142i,-0.10713+0.077041i,-0.077402+0.088236i,-0.015943+0.067287i,0.038431+0.013071i,0.062446-0.02449i
0.10077-0.071321i,0.089932-0.18117i,0.016008-0.23727i,-0.041413-0.22783i,-0.1067-0.25578i,-0.23801-0.26425i,-0.31346-0.15358i,-0.19874-0.028637i,0.019703-0.0047153i,0.12923-0.034707i,0.084622-0.019847i,0.057492+0.042757i,0.11012+0.057895i,0.12334+0.0063005i,0.061714-0.026231i,0.0053411-0.012273i,-0.0088999-0.0027806i,0.00379-0.0068645i,0.030184+0.0023001i,0.047976+0.0068635i,0.038663-0.0093642i,0.0097144-0.024176i,-0.018619-0.029708i
0.049774+0.12181i,0.096032+0.15501i,0.063852+0.17527i,-0.0077575+0.24745i,0.010308+0.34364i,0.10361+0.39254i,0.18286+0.35219i,0.14507+0.20988i,-0.019539+0.063236i,-0.13161+0.018705i,-0.082675+0.012037i,-0.013377-0.051825i,-0.033787-0.11155i,-0.061627-0.083494i,-0.02903-0.0034957i,0.036444+0.048722i,0.080472+0.050895i,0.076164+0.030538i,0.047908+0.010949i,0.023569+0.0022837i,0.012976+0.010889i,0.022109+0.029445i,0.03099+0.035181i
-0.092635+0.0048515i,-0.058247-0.046575i,0.019718-0.1949i,0.073176-0.29112i,0.1122-0.24357i,0.085861-0.22529i,-0.016434-0.23415i,-0.020448-0.1443i,0.08834-0.025291i,0.14626+0.028818i,0.097981+0.031563i,0.0046558+0.055517i,-0.031644+0.10405i,-0.0026337+0.10259i,0.014076+0.052007i,-0.0053163+0.016754i,-0.037062+0.0158i,-0.062741+0.027608i,-0.077143+0.032322i,-0.066567+0.033694i,-0.033555+0.026389i,-0.011302-0.0012898i,-0.010392-0.02623i
-0.0108-0.027231i,0.037076+0.12454i,0.18519+0.27845i,0.23902+0.21392i,0.10224+0.061614i,0.015429+0.051672i,0.028581+0.095547i,0.0043892+0.082925i,-0.016632+0.025572i,-0.016972-0.044405i,-0.027261-0.046507i,0.011108-0.0093193i,0.067254-0.023983i,0.065413-0.06805i,0.022022-0.097007i,-0.023916-0.09251i,-0.041018-0.060313i,-0.031198-0.03243i,-0.025546-0.018133i,-0.031595-0.015842i,-0.037724-0.016831i,-0.038271-0.0052901i,-0.032373+0.011794i
-0.013521-0.065277i,-0.25116-0.10636i,-0.51493-0.0048631i,-0.46891+0.14527i,-0.22667+0.11452i,-0.13665-0.02507i,-0.13382-0.043657i,-0.050751+0.022262i,0.020331+0.059878i,0.034371+0.082996i,0.050788+0.071318i,0.044186+0.0066444i,-0.0082589-0.037656i,-0.052778-0.01632i,-0.047575+0.029954i,-0.011402+0.04151i,0.007926+0.01667i,0.0054342-0.0024414i,0.010005-0.0095841i,0.016036-0.021334i,0.0082066-0.030031i,-0.0028187-0.026982i,0.0012543-0.015972i
0.14221+0.011626i,0.33076-0.19301i,0.43332-0.47943i,0.33371-0.58027i,0.16171-0.45132i,0.069519-0.26554i,0.01587-0.14509i,-0.024488-0.082837i,-0.015668-0.040299i,0.017141-0.012194i,0.021343+0.00057399i,-0.0010137+0.015437i,-0.015698+0.022423i,-0.024627+0.011219i,-0.031859+0.010017i,-0.022372+0.021432i,0.00055522+0.025614i,0.022814+0.014049i,0.032685-0.0087134i,0.028913-0.021282i,0.024018-0.011638i,0.019998-0.0015128i,0.0040327-0.0056881i
-0.08146+0.15682i,-0.037676+0.37793i,0.010524+0.57897i,-0.027223+0.64355i,-0.066191+0.58905i,-0.018769+0.45372i,0.053841+0.28103i,0.061867+0.16023i,0.03225+0.10144i,-0.0032547+0.051946i,-0.038817+0.011477i,-0.042612+0.0078907i,-0.0046923+0.019541i,0.041956+0.0052634i,0.05205-0.025882i,0.025552-0.036035i,-0.0095853-0.02855i,-0.043554-0.017143i,-0.058566-0.0053075i,-0.045775-0.0071665i,-0.031359-0.016994i,-0.023431-0.014094i,-0.015632-0.0030971i
-0.12369-0.11626i,-0.2331-0.15863i,-0.24862-0.21168i,-0.11422-0.28737i,0.028904-0.28998i,0.022401-0.21109i,-0.066167-0.13618i,-0.10299-0.09906i,-0.08202-0.073141i,-0.036037-0.032285i,0.015267+0.002208i,0.037171+0.0020856i,0.02911-0.011649i,0.018207-0.011959i,0.01757-0.0021134i,0.029127+0.0076227i,0.050132+0.016552i,0.071996+0.022987i,0.081542+0.029382i,0.075625+0.041656i,0.062379+0.047136i,0.052181+0.036651i,0.053302+0.018159i
0.10665-0.080151i,0.10943-0.096143i,0.095892-0.017579i,0.091903+0.084328i,0.068813+0.07822i,0.05372+0.0218i,0.072132+0.046316i,0.085273+0.11362i,0.068855+0.14375i,0.037844+0.11814i,0.014584+0.066283i,0.0011601+0.024698i,-0.011104-0.00024624i,-0.024252-0.012854i,-0.033058-0.021868i,-0.040231-0.031153i,-0.038153-0.030034i,-0.013271-0.024361i,0.013275-0.031373i,0.014384-0.045935i,-0.00026843-0.05312i,-0.020566-0.056712i,-0.040153-0.054401i
0.082523+0.0697i,0.1187+0.013713i,0.08569-0.082181i,0.035501-0.11442i,0.042775-0.097679i,0.049133-0.11714i,0.017131-0.14578i,0.022399-0.13838i,0.055388-0.10725i,0.057949-0.056014i,0.022942-0.013809i,-0.017882+0.0033611i,-0.028036+0.0077322i,-0.017923-0.0029484i,-0.023294-0.010296i,-0.038997+0.0081768i,-0.050414+0.035166i,-0.061162+0.057853i,-0.057305+0.069107i,-0.038838+0.048971i,-0.033913+0.017094i,-0.035505+0.014351i,-0.02966+0.032197i
-0.070781+0.11534i,-0.025396+0.18614i,0.057691+0.16076i,0.036298+0.039618i,-0.069134-0.012098i,-0.10022+0.073581i,-0.070493+0.13282i,-0.095135+0.086546i,-0.14717+0.013299i,-0.14182-0.027407i,-0.072814-0.030803i,-0.0023797-0.028603i,0.011548-0.028803i,-0.00089844-0.0087859i,0.02549+0.016168i,0.078837+0.0062814i,0.10208-0.02213i,0.087949-0.02525i,0.069834+0.00012942i,0.068747+0.027582i,0.079701+0.032998i,0.083097+0.015013i,0.074152-0.0034651i
-0.11322-0.10963i,-0.20555-0.10876i,-0.24107-0.023336i,-0.18593+0.10029i,-0.1141+0.15933i,-0.08626+0.083568i,-0.065417-0.016877i,0.0035957-0.013487i,0.07242+0.031529i,0.070639+0.05255i,0.041135+0.057497i,0.020257+0.05397i,0.015399+0.054651i,0.033444+0.045297i,0.030395+0.010149i,-0.016636-0.010671i,-0.05829+0.0020799i,-0.059867+0.0085544i,-0.047683-0.0089748i,-0.047855-0.020368i,-0.056824-0.016466i,-0.068725-0.013179i,-0.072427-0.017373i
0.10803-0.063848i,0.145-0.082461i,0.17418-0.048534i,0.20914-0.063812i,0.21216-0.13117i,0.18275-0.086368i,0.15676+0.019613i,0.10783+0.042383i,0.06168+0.012792i,0.045064-0.028168i,0.0080739-0.052262i,-0.013358-0.039066i,0.010172-0.039634i,0.013376-0.058709i,-0.012213-0.042585i,-0.013845+0.0073458i,0.013561+0.046863i,0.032099+0.065178i,0.02919+0.067238i,0.011843+0.049145i,-0.0022763+0.028183i,0.0084997+0.021846i,0.026113+0.021676i
0.041341+0.051539i,-0.0095835+0.015676i,-0.17501+0.0042696i,-0.24421+0.12217i,-0.12976+0.19975i,-0.068553+0.11437i,-0.092088+0.058338i,-0.058792+0.06233i,-0.024909+0.035934i,-0.030337+0.017288i,-0.022126+0.0013041i,-0.03195-0.026251i,-0.068247-0.01358i,-0.06663+0.034787i,-0.010525+0.052209i,0.032656+0.0031679i,0.010944-0.056585i,-0.03021-0.061091i,-0.027791-0.024612i,0.015089-0.0068971i,0.051068-0.030789i,0.044742-0.062145i,0.015426-0.060525i
0.0036225+0.094154i,0.19326+0.068909i,0.41992-0.1526i,0.38406-0.38286i,0.17746-0.34372i,0.087788-0.19173i,0.033639-0.14169i,-0.03866-0.094924i,-0.025879-0.022774i,0.022452+0.013253i,0.041375+0.043216i,0.052156+0.064914i,0.056688+0.043558i,0.02752-0.0036872i,-0.030197-0.018298i,-0.057254+0.02227i,-0.032383+0.058079i,-0.013346+0.046268i,-0.033138+0.021399i,-0.048886+0.026929i,-0.032009+0.053707i,-0.007392+0.066723i,2.214e-06+0.047928i
-0.16012+0.01109i,-0.30143+0.24346i,-0.29788+0.54012i,-0.17697+0.55432i,-0.14454+0.32473i,-0.14606+0.19018i,-0.051266+0.15897i,0.023219+0.10854i,0.031933+0.066616i,0.037627+0.019291i,0.025053-0.037032i,-0.0023226-0.060799i,-0.018807-0.061529i,-0.025961-0.048739i,-0.019481-0.028936i,-0.0095524-0.020215i,-0.011225-0.014573i,-0.011244-0.00088742i,-0.0050873+0.0034276i,-0.021478-0.010446i,-0.051473-0.017579i,-0.052634-0.015598i,-0.028091-0.016331i
0.033707-0.21026i,-0.12383-0.44513i,-0.31615-0.52029i,-0.27145-0.3592i,-0.074926-0.21314i,-0.040127-0.18074i,-0.11767-0.12793i,-0.11383-0.072597i,-0.066983-0.056482i,-0.035541-0.034552i,-0.017826-0.01046i,-0.015485+0.014355i,-0.0010798+0.052316i,0.037662+0.059766i,0.055276+0.022506i,0.027136-0.0035566i,-0.0028063+0.0069463i,-0.0027605+0.016811i,0.015154+0.0035714i,0.038685-0.019243i,0.046228-0.039224i,0.027057-0.038741i,0.0094626-0.017163i
0.22027+0.085092i,0.44706+0.017803i,0.48965-0.068881i,0.28605+0.0047008i,0.13753+0.1418i,0.15994+0.12713i,0.14754+0.029777i,0.069483+0.011724i,0.020782+0.050557i,0.015601+0.087749i,0.047608+0.080956i,0.072532+0.0096426i,0.046815-0.062197i,-0.011276-0.070362i,-0.046597-0.032557i,-0.032583-0.016983i,-0.016241-0.043928i,-0.031553-0.056078i,-0.046896-0.030555i,-0.037323-0.0018182i,-0.011906+0.012063i,0.0059392+0.014229i,0.0004317+0.011954i
-0.096261+0.21574i,-0.011169+0.40801i,0.16019+0.3759i,0.20146+0.087602i,0.086467-0.089291i,-0.003285-0.053553i,-0.0057684-0.039423i,-0.0015625-0.070347i,0.00062956-0.067217i,0.0040049-0.045608i,-0.019432-0.012298i,-0.054709+0.033412i,-0.062472+0.058631i,-0.033634+0.0446i,-0.0020594+0.019132i,0.011835+0.021573i,0.023651+0.047214i,0.03835+0.053565i,0.039101+0.035178i,0.022237+0.029987i,0.010865+0.041097i,0.022847+0.029069i,0.038401-0.0099489i
-0.22883-0.1048i,-0.47057-0.012411i,-0.50856+0.19845i,-0.25876+0.26524i,-0.059678+0.11956i,-0.045027+0.043474i,-0.014887+0.099024i,0.031768+0.096348i,0.011018+0.036738i,-0.030865-0.0091412i,-0.036831-0.034461i,0.0065409-0.038604i,0.058166-0.04191i,0.066243-0.059225i,0.038811-0.076508i,0.012891-0.081573i,0.0013543-0.082967i,-0.0048889-0.077234i,-0.0058782-0.064354i,-0.0011857-0.066743i,-0.015702-0.074714i,-0.043595-0.050827i,-0.043452-0.0072289i
0.14778-0.26506i,0.094928-0.59103i,-0.13727-0.73581i,-0.29976-0.48868i,-0.20734-0.20454i,-0.094299-0.18444i,-0.10305-0.19787i,-0.062409-0.11217i,0.022809-0.043343i,0.049025+0.003034i,0.036315+0.0429i,-0.00069793+0.042246i,-0.047304+0.044004i,-0.052468+0.082647i,-0.022817+0.11057i,-0.018964+0.10646i,-0.043813+0.10313i,-0.048669+0.10059i,-0.021548+0.079931i,0.0075546+0.053665i,0.028168+0.033492i,0.03864+0.015585i,0.029711+0.0078922i
0.26046+0.2312i,0.62072+0.31552i,0.84972+0.19911i,0.64955+0.00096992i,0.30041+0.0077178i,0.21132+0.13759i,0.2307+0.13685i,0.14123+0.07231i,0.046514+0.048594i,0.017696+0.031155i,0.019487+0.024778i,0.046228+0.032594i,0.066895+0.011851i,0.04756-0.030893i,0.026864-0.053238i,0.05041-0.061245i,0.091281-0.076979i,0.10218-0.078757i,0.073987-0.048462i,0.034782-0.0050223i,0.0062813+0.020061i,-0.011001+0.018229i,-0.016758+0.0078364i
