-0.0033089+0.00055602i,-0.0034137-0.00022382i,-0.0042453-0.0010592i,-0.0027784-0.0014774i,-0.0014572-0.00093005i,-0.0010198+0.00010307i,1.2993e-05+0.0010202i,0.00084384+0.0010354i,0.00083916+0.0012439i,0.00048663+0.0013863i,0.00056364+0.00025276i,0.00026439-0.00062394i,-0.0003338-7.1806e-05i,-0.00053061+0.00053515i,-0.00013832+0.00013783i,9.4533e-05-9.582e-05i,-0.00036567+0.00011816i,0.00032916+0.00059119i,0.00093059+0.0012057i,0.00042721+0.0010629i,-2.0474e-06+0.00032455i,-0.00026181-0.00036799i,-0.00048288-6.4798e-05i
0.02942-0.0096883i,0.060979-0.020419i,0.083507-0.030135i,0.074298-0.040431i,0.058543-0.061788i,0.066512-0.06887i,0.054437-0.044122i,0.01757-0.01486i,0.0020034-0.0028566i,-0.0018366-0.0016605i,-0.003684+0.0031568i,-0.00096262+0.0067102i,0.00070614+0.0050056i,-0.00037405+0.003972i,-0.0023625+0.005353i,-0.0027817+0.0067675i,-0.0030392+0.0053734i,-0.0044181+0.0028981i,-0.0060644+0.0024998i,-0.006711+0.0017324i,-0.0064557-0.0011623i,-0.0067707-0.0031479i,-0.007469-0.0036809i
-0.0076658+0.025007i,-0.01375+0.05763i,-0.014796+0.084657i,-0.016857+0.082504i,-0.041586+0.069589i,-0.062114+0.05378i,-0.039314+0.022445i,-0.013815-0.0042326i,-0.013964-0.0070601i,-0.010441+0.0043013i,-0.00042521+0.0061405i,0.0017015+0.00046958i,0.0016251-0.0025118i,0.0028912-0.0047204i,0.0021991-0.0056225i,0.0012006-0.0046848i,0.001249-0.0029556i,0.0028682-0.0041711i,0.0042794-0.0070793i,0.003425-0.0065895i,0.0020876-0.0021524i,0.0007655+0.0012866i,-0.00086171+8.9488e-05i
-0.018701-0.019755i,-0.044458-0.043577i,-0.073002-0.059205i,-0.071129-0.039616i,-0.016615-0.0045513i,0.031216+0.0023665i,0.012834-0.0011306i,-0.014611+0.011619i,-0.0079185+0.017186i,-0.00028947+0.0081935i,-0.0032199+0.0047572i,-0.0024817+0.0080947i,-0.0010068+0.0089987i,-0.001402+0.0072823i,-0.0009187+0.0053367i,0.00020825+0.004611i,0.0006151+0.0041054i,-0.0013909+0.0040649i,-0.0032312+0.0053099i,-0.004056+0.0048718i,-0.0036224+0.0021544i,-0.00064171+0.00033691i,0.0033398+0.0019288i
0.023878-0.0034754i,0.063433-0.0056197i,0.10134-0.012062i,0.097112-0.026864i,0.040034-0.03993i,-0.023351-0.03986i,-0.034496-0.024259i,-0.012899-0.011545i,-0.0033096-0.006076i,0.00039433+0.00011182i,0.0047131+0.00021031i,0.0030942-0.0035529i,-0.0012838-0.003989i,-0.0032733-0.0028269i,-0.0018325-0.0024689i,0.00018981-0.0021496i,0.0010752-0.0022304i,0.0020262-0.0016674i,0.0039741-0.00098844i,0.0054012-0.0016239i,0.003909-0.0021355i,-7.0418e-05-0.0017367i,-0.0032728-0.0010176i
-0.013546+0.017624i,-0.036824+0.04148i,-0.06315+0.070783i,-0.057393+0.087106i,-0.011378+0.081917i,0.022308+0.067689i,0.012943+0.044362i,-0.0038778+0.026518i,-0.0018007+0.022826i,0.0050215+0.01323i,0.0021431+0.0037597i,-0.0013751+0.001356i,-4.6771e-05+0.00040043i,0.0011039+0.0011942i,0.00065701+0.0019052i,0.00036512+0.0016592i,5.0184e-06+0.0016264i,-0.00056307-0.00036656i,-0.0021645-0.0029986i,-0.0037309-0.0019243i,-0.0025321+0.0019887i,-0.00056825+0.0031246i,-0.001315+0.0011237i
-0.0017315-0.015729i,-0.00237-0.045119i,0.0026614-0.077646i,0.0083061-0.094457i,-0.0026239-0.096975i,-0.016138-0.078228i,-0.0082247-0.035942i,0.0032441-0.0074033i,0.0030947-0.0057482i,-0.0021444-0.0054615i,-0.0021368-0.00021462i,0.0010087+0.00065644i,0.002662+0.00036416i,0.0030548+0.0011804i,0.0031969+0.00049803i,0.0024374-0.00041701i,0.00046207+0.00066749i,0.00073839+0.00311i,0.0042209+0.0048885i,0.0052126+0.0061004i,0.0021205+0.0056952i,0.00033612+0.005369i,0.0014935+0.0065213i
0.016682+0.0035597i,0.037765+0.013868i,0.052391+0.026126i,0.040831+0.033512i,0.018612+0.046745i,0.017718+0.056025i,0.025786+0.035033i,0.019782+0.0086949i,0.011677-0.0016305i,0.0076128-0.0073241i,0.0019778-0.008993i,-0.002735-0.0044822i,-0.0031115-0.00070218i,-0.0021497-0.00024394i,-0.0018442-0.0010281i,-0.0021355-0.0016353i,-0.0018478-0.0029589i,-0.0029722-0.0058472i,-0.0057982-0.0077811i,-0.0066249-0.0074562i,-0.0046333-0.0061392i,-0.0025454-0.0035789i,-0.00070545-0.00090503i
-0.0088227+0.0049129i,-0.02743+0.015979i,-0.040721+0.02138i,-0.029292+0.012307i,-0.0053763-0.0096968i,0.0056093-0.02538i,0.0057899-0.010051i,0.013786+0.010537i,0.019061+0.0053359i,0.0096204-0.0012568i,0.0042151+0.0023485i,0.0060856+0.0034348i,0.0059366+0.00088571i,0.0042641-0.0016223i,0.0032284-0.0017976i,0.0026596-0.00014878i,0.002781+0.0017114i,0.0038723+0.0041523i,0.0064527+0.0064273i,0.0072467+0.0074698i,0.0036295+0.0058677i,0.00057059+0.0019167i,0.00048211-0.0022872i
-0.003444-0.012673i,-0.0028729-0.038719i,-0.0082204-0.067576i,-0.025987-0.069338i,-0.040667-0.035133i,-0.036771-0.0050291i,-0.020792-0.0035911i,-0.011046-0.0077237i,-0.01024-0.00057119i,-0.0053341+0.0056043i,-0.00025679+0.002551i,0.00074003+0.00038056i,0.00020474+0.0018477i,-0.0011719+0.0020092i,-0.0029259-0.00025593i,-0.0049193-0.0011272i,-0.0063131-0.00016889i,-0.0062793-0.00063581i,-0.0046849-0.0032468i,-0.0020329-0.0058084i,0.00024842-0.0042653i,0.0021057+0.0001089i,0.002055+0.003296i
0.013767+0.0053503i,0.0312+0.023057i,0.046857+0.047066i,0.055171+0.054344i,0.057716+0.027498i,0.039751-0.0056033i,0.0065959-0.016156i,-0.012605-0.014243i,-0.014712-0.0077068i,-0.011854+0.00046511i,-0.0073475+0.005704i,-0.0026201+0.0056901i,-0.00093657+0.0024227i,0.00020678+0.00075054i,0.001618+0.00026657i,0.001832-0.00080835i,0.00072682-0.0013014i,-0.00077638+9.1738e-05i,-0.0008701+0.0028599i,-0.00018904+0.0039146i,0.00053401+0.00066155i,0.00091338-0.0030797i,0.0011801-0.0028019i
-0.014374+0.0047929i,-0.037283+0.0017325i,-0.066751-0.0094966i,-0.080164-0.02287i,-0.072904-0.024117i,-0.05124-0.012703i,-0.022266-0.010118i,-0.011247-0.019222i,-0.015233-0.016006i,-0.01194-0.0035265i,-0.0045338+0.00097208i,-0.0025309-0.00029248i,-0.0039486-0.00026662i,-0.0057944+0.0017472i,-0.0068468+0.003616i,-0.0046533+0.0047493i,-0.001098+0.0042263i,0.0026375+0.0016296i,0.0047818-0.0025327i,0.0038204-0.0043067i,0.0012375-0.00087509i,-0.00076571+0.002352i,-0.00098022+0.00026296i
0.0004521-0.013426i,0.012406-0.025103i,0.028834-0.026711i,0.036328-0.010108i,0.031189+0.006606i,0.025016+0.0045227i,0.010047-0.008151i,-0.0053538-0.010332i,-0.0045667-0.0061436i,-0.0027937-0.0055523i,-0.0068667-0.0025599i,-0.0078546+0.0009504i,-0.0052033+0.00065039i,-0.0018319+0.00037634i,0.00023107+0.0014119i,-6.0392e-05+0.0022477i,-0.0014034+0.00304i,-0.0024495+0.0043312i,-0.0041619+0.0051354i,-0.0054389+0.0051533i,-0.0036561+0.003889i,-0.00091923+0.0028221i,-5.4262e-05+0.0038582i
0.0035337+0.012006i,0.0070672+0.027541i,0.0082985+0.038856i,0.0023497+0.026548i,-0.0097229+0.009439i,-0.014129+0.01108i,-0.0048271+0.024133i,0.0062577+0.028292i,0.011159+0.017794i,0.011158+0.0067437i,0.0092581+0.00053801i,0.0064116-0.0026724i,0.0035953-0.0029466i,0.0018544-0.0016167i,0.002112-0.00071897i,0.0032315-0.00036351i,0.0051315-0.0010467i,0.0070625-0.0032784i,0.0082604-0.0064466i,0.0077928-0.00685i,0.0044984-0.0053101i,0.00078198-0.0035076i,-0.0018308-0.0015069i
-0.010541-0.0016254i,-0.025469-0.0063105i,-0.040067-0.0089584i,-0.039747+0.0032183i,-0.022659+0.01998i,-0.0094835+0.017263i,-0.012535+0.0091579i,-0.012982+0.017238i,-0.0035959+0.021981i,0.0023493+0.012287i,0.0013751+0.0054839i,0.0019915+0.0052021i,0.0045723+0.0049087i,0.0041085+0.0050247i,0.0026605+0.0048407i,0.0026395+0.0029078i,0.0012384+0.0013105i,-0.0015133+0.00037421i,-0.0054496+0.0011242i,-0.008726+0.0037573i,-0.0073771+0.0053387i,-0.0039272+0.0044233i,-0.0010465+0.002845i
0.005907-0.0093236i,0.021917-0.018745i,0.039862-0.029922i,0.047598-0.035008i,0.038115-0.030468i,0.016034-0.013008i,-0.0013502+0.0088809i,-0.0059703+0.016962i,-0.0067709+0.01301i,-0.0045609+0.010312i,-0.00014518+0.0091202i,0.001969+0.0057252i,0.0015828+0.0026157i,0.00064366-0.00022579i,0.0016233-0.0039011i,0.0021914-0.0058561i,0.00078224-0.0051578i,0.00037325-0.0042792i,0.0021437-0.0034365i,0.0036292-0.0010748i,0.0024101+0.00026421i,0.00045092+0.00073017i,-2.7821e-05+0.0015122i
-9.5542e-05+0.0033086i,-0.0039785+0.017708i,-0.017514+0.033326i,-0.02745+0.038972i,-0.020251+0.027913i,-0.0031772+0.0085237i,0.011116-0.010391i,0.01287-0.020282i,0.0053438-0.016286i,-0.0010235-0.0083732i,-0.0035527-0.0020692i,-0.0041028+0.00072414i,-0.0026331+0.0013761i,-0.00022068+0.0037441i,0.00033973+0.0053903i,0.00070284+0.0037156i,0.00074447+0.00065731i,-0.0013129-0.0015219i,-0.0039821-0.0020459i,-0.0042103-0.0020647i,-0.0015121-0.002396i,-0.00018608-0.002916i,-0.00074135-0.0018827i
-0.0050524-0.0084821i,-0.010594-0.020043i,-0.0097609-0.036743i,0.00085176-0.044093i,0.0061653-0.035008i,0.0024662-0.015659i,0.0024724-0.0016187i,0.0064611-0.0029841i,0.0069135-0.0081581i,0.0019812-0.004703i,-0.0012358+0.0014522i,-0.0015744+0.0024472i,-0.001455-0.00022145i,-0.0020399-0.0043409i,-0.0036788-0.0075177i,-0.0051891-0.0066141i,-0.004225-0.0029619i,-0.0012962+9.8802e-06i,0.0017814+0.0025218i,0.0032849+0.0045208i,0.0018359+0.0044053i,-0.00039532+0.0027581i,0.00032489+0.00095596i
0.0057592-0.0041881i,0.014442-0.0042423i,0.01829-0.0017912i,0.0094296-0.00045175i,0.0004592-0.0024501i,0.010149-0.0041539i,0.023724-0.0084745i,0.022996-0.010438i,0.014563-0.0076281i,0.0059367-0.0069214i,-0.00086283-0.0080573i,-0.0043826-0.005933i,-0.0038403-0.0024899i,-0.0015322-0.00055312i,-0.00067167-0.00019988i,-0.0015233-0.00067386i,-0.0035274-0.00057136i,-0.0046548-0.00044724i,-0.0040919-0.002422i,-0.0027501-0.0045333i,-0.0016096-0.0024248i,-0.0010759+0.002227i,-0.0016069+0.0040186i
-0.0057667+0.0068984i,-0.012129+0.014094i,-0.017507+0.019903i,-0.014845+0.019502i,-0.012742+0.014936i,-0.020961+0.0058923i,-0.030162+0.0004537i,-0.026533+0.003538i,-0.01325+0.0046764i,-0.003387+0.0020194i,0.00041559-3.5216e-05i,0.0023282-0.00093126i,0.0032498-0.0025223i,0.0027509-0.0025437i,0.0019448+0.00078811i,0.00070917+0.0033826i,-0.0014547+0.0043119i,-0.0015676+0.005413i,0.0017359+0.0067623i,0.0034594+0.0072516i,0.0025702+0.0050245i,0.0018055+0.0020699i,0.0018426+0.00055697i
0.0012449-0.0034862i,-0.00090615-0.013639i,-0.0054948-0.027236i,-0.01011-0.033388i,-0.0080147-0.026035i,-4.0453e-05-0.014359i,0.0010198-0.0069147i,-0.0061655-0.001947i,-0.0091086+0.0018688i,-0.0024875+0.0027022i,0.0028006+0.0018868i,0.002087+0.0015675i,-0.00074819+0.0015286i,-0.0048749+0.0014361i,-0.0073021+0.00077609i,-0.0055134+0.001483i,-0.001738+0.0025915i,0.0011959+0.0011704i,0.0011706-0.0027251i,-0.0017524-0.0049853i,-0.0037584-0.0023342i,-0.0037385+0.00076059i,-0.0017954+0.00057217i
0.0067386+0.0011434i,0.014158+0.0052377i,0.021388+0.013986i,0.018682+0.020113i,0.0048137+0.014397i,-0.013191+0.0010433i,-0.023156-0.010407i,-0.021703-0.013747i,-0.015456-0.0091147i,-0.010365-0.0024598i,-0.0063619+0.0029805i,-0.0020549+0.0032587i,0.001228+0.0007557i,0.0034937+0.0008995i,0.0054321+0.0025198i,0.0060776+0.0031981i,0.0044669+0.0028355i,0.0021065+0.0023692i,0.0006341+0.0023008i,-0.00010492+0.002544i,-5.537e-05+0.0015577i,0.00099323+0.00032199i,0.0008862+0.00061159i
-0.0019946-0.00045579i,-0.0089703+0.0010715i,-0.019242+2.3157e-08i,-0.020438-0.0031501i,-0.0088638+0.00033484i,0.0049588+0.013586i,0.013293+0.022142i,0.013378+0.018078i,0.0080244+0.010545i,0.0029827+0.0063585i,0.00091085+0.0047201i,-0.00071272+0.0031057i,-0.0027377+0.002053i,-0.0040662+0.0031378i,-0.0050676+0.0038652i,-0.0038404+0.0027172i,-0.00062573+0.0012782i,0.0012974-0.00064196i,0.0019561-0.0024282i,0.0023341-0.0034162i,0.0024861-0.0035445i,0.0016818-0.0032441i,0.001044-0.0030858i
-0.0033629-0.0023739i,-0.00073015-0.0069729i,0.0046643-0.0096396i,0.0061019-0.0059541i,0.00084391-0.0052219i,-0.0018487-0.01094i,-0.00034346-0.01034i,0.0017045-0.0022944i,0.002931+0.0025933i,-3.0436e-05+0.0018949i,-0.0031213+0.0011235i,-0.0034912+0.0021917i,-0.0016875+0.0028482i,0.0014536+0.0030985i,0.0039709+0.00071017i,0.0046989-0.0030472i,0.0040983-0.0047414i,0.0030462-0.0050398i,-0.00010916-0.0032955i,-0.0029162-0.00079323i,-0.0022647+0.00070643i,3.2255e-07+0.0014345i,0.0012126+0.0018677i
0.002909-0.0013724i,0.0065756-9.8827e-05i,0.0084712+0.0041153i,0.0083519+0.007439i,0.009404+0.014089i,0.0071533+0.025215i,0.0010933+0.029567i,-0.0021857+0.024957i,-0.0020411+0.014806i,0.00016714+0.0047109i,0.0014879-0.0016187i,0.00031188-0.0029164i,-0.0022261-0.0021194i,-0.0024495-0.0022583i,0.00099424-0.0018975i,0.0029722-0.0019i,0.0026414-0.0015647i,0.0015952-0.00036808i,0.0023314+4.4513e-05i,0.0043897-0.00023488i,0.0032178-0.00049562i,5.0891e-05-0.00010361i,-0.0015674+4.0146e-05i
-0.0031639+0.00347i,-0.0088023+0.0046376i,-0.014625+0.0016175i,-0.013808-0.0059117i,-0.0072683-0.016287i,0.00071614-0.027942i,0.0040194-0.029933i,0.0031263-0.021822i,0.0030575-0.012525i,0.0042811-0.0066496i,0.0049863-0.0030281i,0.0054706+0.00091569i,0.0053564+0.002937i,0.0034467+0.0035635i,0.0011398+0.0037843i,-0.0013896+0.0025957i,-0.0039476+0.00065739i,-0.0053325-0.00040507i,-0.0061227+0.00069471i,-0.0058286+0.0019885i,-0.0035358+0.0025864i,-0.0012451+0.0027597i,-0.00022484+0.0020376i
0.0036872-0.0045529i,0.0064454-0.0095053i,0.011175-0.013739i,0.012564-0.011449i,0.0053613-0.0010415i,-0.006328+0.0081662i,-0.012803+0.0067252i,-0.0097704-0.00027729i,-0.0036035-0.0032136i,-0.00033713-5.8412e-05i,-0.00016479+0.0037484i,-0.00036524+0.0034787i,0.00093107-5.5331e-05i,0.001601-0.0045185i,0.00093747-0.0073731i,0.00012736-0.007654i,-0.0009191-0.0051916i,-0.001226-0.0011318i,-0.00029412+0.0011178i,0.00071191+0.0011226i,-4.0411e-06+0.0014244i,-0.0012622+0.0013188i,-0.00053358+0.001331i
0.0085695+0.0046876i,0.0095705+0.0083037i,0.008418+0.010804i,0.0042006+0.0036543i,0.0051704-0.010373i,0.012783-0.016538i,0.018852-0.013978i,0.018961-0.010142i,0.014323-0.0057505i,0.0069775-0.0032266i,0.001147-0.0017158i,0.00058878-0.00079556i,0.0015983+0.00069154i,0.0012821+0.0027272i,0.00065375+0.0044597i,7.0853e-05+0.0047688i,-0.00058957+0.0033029i,-0.0015427+0.0019159i,-0.0017785+0.00091304i,-0.0017903-0.0011648i,-0.0019592-0.0021932i,-0.0017859-0.00064432i,-0.0021114+0.00043604i
-0.00243-0.0028571i,-0.0062194-0.0069885i,-0.010098-0.011121i,-0.013486-0.0095712i,-0.019926-0.0011959i,-0.025266+0.0065894i,-0.024038+0.0079445i,-0.017441+0.0070263i,-0.0099262+0.0057797i,-0.0064747+0.0044187i,-0.0040381+0.0021221i,-0.0017634+0.00036051i,-0.0015439-0.0015895i,-0.0020056-0.0035337i,-0.003568-0.0033264i,-0.0044345-0.0025189i,-0.0036132-0.0020715i,-0.0016025-0.001812i,0.00012322-9.8771e-05i,0.0012804+0.0017487i,0.0025108+0.0020056i,0.0027649+0.0012252i,0.0026481+0.00030068i
3.3815e-05-0.0021675i,0.0024569-0.0024007i,0.005023-0.0039791i,0.0055774-0.0044632i,0.0094797-0.0028752i,0.015713+0.0017457i,0.012815+0.0064219i,0.002501+0.0091271i,-0.0039639+0.0075931i,-0.0035068+0.003124i,-0.00081445-0.00037193i,-0.00064317-0.0017891i,-0.0027931-0.0017568i,-0.0044707-0.00078908i,-0.0036996-4.1141e-05i,-0.00043035+0.00040039i,0.002739+0.0012068i,0.0039324+0.0012151i,0.0036083-0.0011679i,0.0017648-0.0032345i,-0.000897-0.002458i,-0.0024403-0.0008069i,-0.0015113-0.00054511i
-0.00012916+0.0053053i,-0.0007216+0.0072915i,-0.0044478+0.011128i,-0.010364+0.011677i,-0.017731+0.0063191i,-0.025714-0.0028551i,-0.026715-0.0099044i,-0.020307-0.010492i,-0.011949-0.006835i,-0.0047763-0.0022503i,-0.00098496-0.00077335i,0.00095521-0.001588i,0.0028232-0.0017022i,0.0033335-4.3794e-05i,0.0027605+0.0034024i,0.002226+0.004513i,0.00082407+0.0037257i,-0.00013712+0.003502i,-0.00028971+0.0031005i,-0.00041304+0.0036812i,5.1238e-05+0.0041758i,0.00072397+0.0029846i,0.00043+0.0010598i
-0.002755-0.0036324i,-0.0042843-0.0068201i,-0.0045385-0.0097969i,0.00177-0.0073541i,0.012502+0.0012174i,0.017694+0.0084669i,0.014236+0.0088414i,0.0087667+0.0037494i,0.0048948+5.5435e-05i,0.0038953+0.0010375i,0.0021189+0.003943i,-0.0011294+0.0052049i,-0.0034678+0.0047156i,-0.0044424+0.0036538i,-0.0045125+0.0012835i,-0.0039322-0.0011812i,-0.002926-0.0018294i,-0.0015627-0.0019947i,-0.00073731-0.0023489i,-0.00052425-0.0031154i,-0.00019697-0.0022066i,-0.00014306-0.00088311i,0.000156-0.00074026i
-0.0012212+0.0029872i,0.003049+0.003124i,0.0046242+0.004775i,0.0023049+0.0025471i,-0.0036566-0.0064027i,-0.0072169-0.015289i,-0.0016061-0.016446i,0.0060004-0.011428i,0.0070764-0.0047873i,0.0030109-0.0014119i,-0.0012042-0.00029107i,-0.0027832+0.0011306i,-0.0019864+0.0026286i,0.0018472+0.003844i,0.0061578+0.0030677i,0.0078457-9.7016e-05i,0.007-0.0020769i,0.0037675-0.0018761i,0.0003164-0.00082336i,-0.0020609+0.0010896i,-0.0028896+0.0028951i,-0.0026451+0.003355i,-0.0018721+0.0035068i
-0.0010669+0.0028556i,-0.0030247+0.0055983i,-0.0048064+0.0068916i,-0.0020604+0.0047531i,0.0037103+0.0089544i,0.0057106+0.017876i,0.003345+0.02137i,0.00065023+0.020177i,0.00071471+0.015106i,0.001167+0.0065996i,0.00059246+0.0018962i,-9.4871e-05+0.00082412i,-0.00051952+0.00033997i,-0.001006+0.00050631i,-0.0012105+0.0009992i,-0.001228+0.0012871i,-0.0014453+0.0012671i,-0.0015478+0.001346i,-0.00035918+0.0013521i,0.0020192+0.0008862i,0.0025364-0.00043321i,0.0010246-0.0011506i,-0.00017768-0.00071028i
0.0037078+0.0024935i,0.0043849-0.002139i,0.004807-0.0082105i,0.0031003-0.014568i,-4.4197e-05-0.020702i,-0.00021433-0.022673i,1.0382e-05-0.016384i,-0.0021044-0.00538i,-0.0029396+0.0014033i,-0.0017061+0.0012292i,0.00076325-0.00020041i,0.0034692+0.00025342i,0.0051972+0.0015083i,0.0049827+0.0010635i,0.0038301-0.0014191i,0.0029223-0.0036333i,0.0017031-0.0040596i,0.00055922-0.0033222i,-9.7088e-05-0.0022601i,-0.0016211-0.00090759i,-0.0022454+0.00032756i,-0.00045565+0.0011421i,0.00082901+0.0013777i
0.0011776-0.0005089i,0.003002+0.00081112i,0.003726+0.0030358i,0.0013011+0.0063053i,-0.0021928+0.012142i,-0.007122+0.013873i,-0.012631+0.0083902i,-0.01408+0.0029875i,-0.010317+0.00079073i,-0.0049551+0.001129i,-0.001358+0.0027078i,0.00087172+0.002974i,0.0012582+0.0012585i,0.00094063-0.00085991i,0.001803-0.0025363i,0.0023625-0.0030495i,0.0024132-0.0014339i,0.0020251+0.00089575i,0.0023212+0.0018673i,0.0040245+0.001349i,0.0038669+0.00013514i,0.0019718-0.0011615i,0.00077806-0.00096812i
-0.0011196-0.001881i,-0.0027385-0.0014985i,-0.0060106-0.0038283i,-0.0067787-0.0078982i,-0.00081524-0.012641i,0.0057177-0.015461i,0.0067672-0.013364i,0.0065607-0.0089683i,0.0042828-0.0051843i,0.00092062-0.0016504i,0.00010597+0.0012093i,0.00090727+0.0020152i,0.0007336+0.0011513i,-0.00071165+0.00096134i,-0.0020151+0.0019961i,-0.0027569+0.0019392i,-0.0026535+0.0013076i,-0.0020452+0.00076231i,-0.0013654-0.0011746i,-0.0017543-0.0018048i,-0.0028939-0.000691i,-0.00198+0.00023191i,0.00044882+6.739e-05i
0.0020591+0.00062455i,0.0017874-0.00035727i,0.0024043-0.002888i,0.0011652-0.0013932i,-0.0045409+0.0035689i,-0.010778+0.0060948i,-0.0092711+0.0038601i,-0.0026595-0.0015044i,0.0010332-0.0033347i,0.00049151-0.001355i,-0.0012195+0.00022556i,-0.0023564-0.001029i,-0.0029534-0.0033472i,-0.002754-0.0039168i,-0.0025724-0.0042254i,-0.0027275-0.0048436i,-0.0031306-0.0041003i,-0.0022265-0.002015i,-0.00065645-0.00012674i,0.00081545+0.00094732i,0.0019424+0.0022805i,0.0022703+0.0026301i,0.0022684+0.0019447i
-0.0011959-0.00049368i,-9.443e-05-0.00089001i,0.00032387-0.00049116i,0.0012124-0.0019096i,0.0061095-0.0034826i,0.012912-0.0013242i,0.013672+0.0039989i,0.0095347+0.0066817i,0.005499+0.0053296i,0.0031031+0.0019509i,0.0018252-0.0015384i,-0.00040253-0.0034324i,-0.0023088-0.0033195i,-0.0037096-0.0011615i,-0.0035182+0.0018375i,-0.0015334+0.0038142i,0.00016102+0.0035862i,0.00067325+0.0016194i,0.0003135-0.00098402i,-0.0010744-0.0024858i,-0.0026999-0.0020221i,-0.0030029-0.00049789i,-0.0026847+0.00016179i
0.00051413+0.0032975i,-0.00099022+0.0049488i,-0.0032328+0.0040842i,-0.0076182+0.0018628i,-0.013778+7.6733e-05i,-0.014869-0.001183i,-0.011356-0.002157i,-0.0094461-0.0020958i,-0.0055186-0.00048559i,4.9319e-05-0.00023374i,0.0025036-0.0006134i,0.0023912-0.00077542i,0.0020609-0.00052969i,0.0021223-0.00017551i,0.0012648-0.00023234i,-0.00078237+0.00092809i,-0.0022877+0.0021546i,-0.0022377+0.0012708i,-0.0005528+0.0010894i,0.00020069+0.0020191i,0.00026185+0.002454i,0.00053632+0.0016222i,0.00025277+0.00069946i
0.00146-0.00039901i,0.0017169-0.002265i,0.0051048-0.0037475i,0.0088821-0.003081i,0.011574+0.00035195i,0.01012+0.0033263i,0.0036735+0.0034937i,-0.0027668+0.0039805i,-0.0026615+0.003444i,0.00026152+0.0027006i,0.00021211+0.003199i,-0.0004964+0.004047i,-0.0010531+0.0044851i,-0.00038307+0.0045535i,0.00057612+0.0032246i,0.00076444+0.00078247i,0.00055057-0.00061946i,-0.00013985-0.0010789i,-0.00030103-0.0014171i,-0.00015181-0.0016541i,-0.0010823-0.0010902i,-0.0015448-0.00027037i,-0.0008038-8.5668e-05i
0.0049133-0.0026282i,0.0061117-0.0020884i,0.0035915-0.0025232i,-0.0021203-0.0032825i,-0.0074046-0.0057683i,-0.0089146-0.0094341i,-0.0068251-0.009546i,-0.0036858-0.0062064i,-0.0021468-0.0026634i,-0.0020619-0.00024994i,-0.0024565+0.00085605i,-0.0025803+0.0016188i,-0.0025567+0.0020054i,-0.0010291+0.0014754i,0.0016532+0.0018246i,0.0033863+0.0026676i,0.0033093+0.0023882i,0.0026054+0.0016683i,0.0012365+0.0013942i,-0.00040852+0.0016922i,-0.00065691+0.0020542i,1.4721e-06+0.0021737i,0.00034726+0.0017781i
-0.0024456-0.0012738i,-0.0044041-0.0021084i,-0.0048879-0.0028345i,-0.0011914-0.0020583i,0.002945+0.0018532i,0.0029475+0.0049374i,0.00076857+0.0053617i,-0.00026582+0.0045666i,-0.001734+0.0033377i,-0.0028869+0.0024781i,-0.0031494+0.0024899i,-0.0019087+0.0021557i,0.00051386+0.0018391i,0.0013646+0.0012897i,0.00063643+7.6308e-05i,-0.00036327+0.00014502i,-0.00015153+0.00061054i,0.00070285+0.00050768i,0.0014525+0.00080412i,0.0019039+0.00039282i,0.0019773-0.00085944i,0.0012117-0.0007601i,0.0014133-0.00068986i
0.0015402-0.0026164i,0.0026409-0.0035965i,0.0020257-0.0046942i,-0.00083044-0.0072264i,-0.0037599-0.010458i,-0.0040341-0.0094405i,-0.0014575-0.0041293i,0.00089871+3.1123e-05i,0.0010136+0.00096192i,-0.00030641-0.00051936i,-0.00057604-0.001036i,0.00076094-0.00066929i,0.0017498-9.5284e-05i,0.00136+0.00047566i,0.0010917-0.00053328i,0.00093388-0.0027506i,0.00060911-0.0031658i,0.00090797-0.0011843i,0.00089747+0.00031632i,0.00016801+0.0014939i,1.7736e-05+0.0031362i,0.00032421+0.003982i,0.0005392+0.0031636i
0.0046073+0.0035497i,0.0055387+0.0038143i,0.0054421+0.0042807i,0.0041301+0.0037884i,0.0014044+0.0036618i,-0.0020743+0.0051387i,-0.0037509+0.0053145i,-0.0035132+0.0023522i,-0.00067428+0.00032437i,0.0016788-0.00012489i,0.0019289+0.00040411i,0.0023207+0.00059175i,0.0021344-0.0011526i,0.0011107-0.0022005i,0.00058154-0.00135i,-0.00029669-0.00093661i,-0.00030946-0.00091409i,0.00050867-0.00010649i,0.0017252+0.00031434i,0.0032436-0.00022551i,0.0031366-0.0010508i,0.0013605-0.0020982i,0.00079464-0.0024169i
-0.0006375-0.00097045i,-0.00087365-0.0027654i,-0.001564-0.0055833i,-0.0029385-0.007799i,-0.0032263-0.0085923i,0.00054059-0.0078677i,0.0031422-0.0064073i,0.001537-0.0038358i,0.0014086-0.0015621i,0.00212-0.00027073i,0.0018454+0.00029779i,0.0020364+0.00053771i,0.0013098+0.00043637i,-0.00044181+1.7492e-05i,-0.0015436-0.00081988i,-0.002164-0.0018782i,-0.0022161-0.0014002i,-0.0026584-0.00075685i,-0.0028626-0.0004405i,-0.0031057-0.00022866i,-0.0032146-0.00045096i,-0.0016553+0.0007514i,-0.00044429+0.0013297i
