0.00083111-0.001077i,0.00070372-0.00077557i,-0.00027775+4.8272e-05i,-0.0012107-0.00099043i,-0.00075674-0.0013534i,0.00041265-0.0011019i,0.00078186-0.00061291i,0.00018004-0.00062231i,-0.00014798-0.0012337i,-0.00080473-0.0016491i,-0.0016717-0.0021338i,-0.0016877-0.0017258i,-0.0006701-0.00087481i,0.00019413-0.00055523i,0.00051672-0.00041124i,0.00041773-0.00022664i,0.00068724-9.6151e-05i,0.00039881-0.00015446i,-0.00017628-0.00011102i,-5.6871e-05+0.000882i,-0.00022762+0.00095901i,0.0002114+4.1591e-05i,0.00093799-0.00084869i
-0.0012694-0.0013375i,-0.001544-0.0013839i,-0.0013142+0.00033252i,-0.0013915+0.0020097i,-0.0014583+0.0024984i,-0.00054042+0.002456i,0.00049237+0.0012349i,-4.0505e-05-0.00017089i,-0.0010593-0.00031413i,-0.00065681-0.00055563i,0.00026982-0.00022212i,-4.2217e-05+0.00056202i,-0.00040154+0.00036242i,-0.00055715-2.9573e-05i,-0.00093913-0.00024568i,-0.00058455-0.00035887i,0.00022427-0.00027943i,0.0004289-7.8655e-06i,0.00030249+0.00014514i,0.00028992-0.00065303i,-0.00053846-0.00055478i,-0.00087625+0.00035691i,-0.00037689+0.00080809i
0.00092711-0.0018807i,0.00070727-0.0024084i,6.7425e-05-0.0019468i,-0.0012712-0.00084009i,-0.0015664-0.00010235i,-0.001015-0.00078424i,-0.00050251-0.0011442i,-0.00018016-0.0011584i,-0.00025293-0.0019249i,-0.0010319-0.0023335i,-0.0011345-0.001498i,-0.00015542-8.0246e-05i,0.00025399+0.00011263i,0.00028025-0.00056812i,7.9782e-05-8.3689e-05i,1.4284e-05+0.00038819i,-7.5529e-05-0.00022075i,-0.0010644-0.00058548i,-0.00068247-0.00015468i,0.00081512-8.6537e-05i,0.00071-0.00060188i,0.00053076+0.0001477i,0.0011116+0.00065762i
-0.0005591+0.0021605i,0.00053615+0.0025465i,0.00096238+0.0023465i,0.00089077+0.0016802i,0.00096741+0.00092462i,0.00087383+0.00090694i,0.00069748+0.00078075i,0.00013528-0.00058424i,-0.00039407-0.0015048i,-0.00020154-0.00066302i,-0.0001675+0.0002222i,-3.5542e-05-0.0003343i,0.00023383-0.00078749i,4.485e-05-0.0010276i,-0.00032187-0.0012023i,-9.9866e-05-0.0018245i,0.00055713-0.0017182i,0.0004563-0.0010357i,0.00033291-0.00034448i,0.0009797+0.0001017i,0.0015333+0.00068684i,0.00070202+0.0009251i,0.00044018-0.00014127i
-7.6714e-05-0.0010503i,-0.00032441-0.0016125i,-0.00080005-0.0013228i,-0.0011089-0.0011274i,-0.0013052-0.00066667i,-0.00083302-0.00047991i,0.00026897-0.00074376i,0.00064021-0.001314i,-0.00049273-0.0015979i,-0.0011588-0.001397i,-0.0010439-0.00072395i,-0.00079327-0.00024725i,2.8252e-05-0.000402i,0.00021701-7.0174e-05i,-0.00043816-0.0003048i,-0.00028742-0.00036535i,2.7575e-05+0.00029316i,4.62e-05+0.00073911i,0.00025527+0.00047726i,0.00071052-0.00046736i,0.00084785-0.0004815i,-9.8007e-05+3.0862e-05i,-0.00098918+7.4228e-05i
0.0009031-0.00046182i,0.0013076-0.0010707i,0.0010245-0.00067567i,0.00013612+0.00053429i,-0.00042262+0.00085486i,0.00029708+0.00028652i,0.0011209-0.00054364i,0.00036554-0.00079111i,-0.0001395-0.0008023i,-0.00027074-0.001288i,-0.00041975-0.0015867i,-0.00065337-0.0012789i,-0.00080651-0.00076851i,-0.00018096+0.00019727i,0.00021119+0.00045868i,0.00075014+2.294e-05i,0.00058845-0.00039122i,-0.0004534-0.0010028i,-0.00033069-0.00076177i,-0.00017512-0.00033679i,-0.00043963-0.00086251i,-0.00070009-0.0010872i,-0.00041335-0.0010441i
0.00076509-0.0017562i,0.0012974-0.0018946i,0.0012928-0.0026797i,-0.00028453-0.0020077i,-0.0013246-0.00036329i,-0.0012653-0.00048416i,-0.00038973-0.0016236i,-0.00013278-0.0012493i,-0.00049966-0.00099134i,-0.00071095-0.0012299i,-0.00072802-0.00076737i,-0.0010266+0.00011228i,-0.00037412+0.00011309i,0.00037549-0.00044076i,0.00073139-9.825e-05i,0.0008365+0.00038192i,0.00022769+9.982e-05i,-0.00012438-0.00053126i,-0.00038211-0.00054278i,-8.8115e-05-0.00047715i,0.00065034-0.00024687i,0.00037399-0.00058636i,0.00040089-0.0011469i
-0.00039126-0.0006597i,-0.00017185+0.0012016i,-0.0001296+0.00084714i,-0.00026991+0.0010404i,-0.00033891+0.0017369i,0.00057484+0.0008215i,0.00092255-0.00020314i,0.00050401-0.0010855i,-0.00026532-0.0014287i,-0.0013652-0.0011868i,-0.0010349-0.00095865i,-0.00019381-0.00081316i,0.00049944-0.0004543i,9.0835e-05-0.00016201i,-0.00077249-0.00013025i,-0.00068637-0.00039784i,-0.00031397-0.00022022i,-0.00040141+0.00030223i,-0.0008728+0.00011753i,-0.00038674-0.00019353i,0.00054734-0.00032252i,0.00055677-0.00048012i,-0.0001151-0.0011351i
0.0022563+0.00088412i,0.002502+0.00044634i,0.0025995+0.00030249i,0.0016039+0.00022563i,0.00034336-0.0009203i,-0.00045239-0.0015704i,-0.00042753-0.0018074i,-0.00023535-0.0020903i,0.00012294-0.0012422i,7.9276e-05-0.00039645i,-0.00087452-0.00040316i,-0.00060029-0.0007792i,0.00017314+0.00011083i,-0.00051934+0.00080069i,-0.0010479-0.00021042i,-0.00073258-0.0011496i,-0.00049569-0.00071591i,-0.00066792-0.000422i,-0.00091177-8.7856e-05i,-0.00014582+0.000496i,0.00072267+0.0011526i,0.00042709+0.00027479i,0.0002985-0.00068889i
-0.00070552-0.0014901i,9.2345e-05-0.00070692i,-0.00013199-0.00017357i,1.1921e-05+4.7542e-05i,0.00028267+0.0010754i,0.00043069+0.00074585i,0.00053295-0.00011408i,0.00020615-0.00026197i,-0.00016745-0.00069669i,-0.00055351-0.00055879i,-0.0013123-0.00021284i,-0.00087011+0.00060753i,-0.00039252+0.0010737i,-5.5217e-05+0.00056064i,-7.0537e-06-0.00011054i,-0.00019767-0.00014564i,0.00030027+0.00017892i,0.00077615+0.00036528i,0.0009419+0.00026576i,0.00081348-6.7341e-06i,0.00032167-3.3538e-05i,-0.00038307-0.00030704i,-0.00087594-0.00023699i
-0.00027905+0.00015839i,0.00025574+0.00085686i,-0.00039648+0.0011008i,-0.00052428+0.00025387i,0.00019332-0.00026355i,0.00069846-0.00022936i,0.00060522-0.00073395i,0.00011218-0.0019207i,-0.00017142-0.0020086i,-0.00080582-0.00021965i,-0.00093967+0.00023297i,-0.00030713-0.00021564i,0.00026913+5.2352e-05i,0.00040694+0.00026517i,9.7361e-05-0.00035976i,-0.00036736-0.00063856i,-0.00035182+0.00014863i,-0.00059552+0.00062749i,-0.00047408+0.00022665i,0.00032559-0.00041218i,0.00054149-0.00058865i,0.00052339-0.00044235i,0.00027549+2.991e-05i
