-0.0041765+0.0011454i,-0.0034488+7.5968e-05i,-0.0043651-0.00074546i,-0.004431-0.0012774i,-0.0039262+0.00021289i,-0.0022734+0.0021431i,-0.00042272+0.0028635i,0.0010149+0.0029874i,0.0013108+0.001586i,0.0015348+0.00020599i,0.0015341+0.00018549i,0.00089135-0.00015668i,0.00023568+5.2697e-05i,-0.00069553+0.00012005i,-0.00055392+8.8428e-05i,0.00026805+0.00033952i,0.00043068+0.00015864i,-1.4056e-05-0.00012952i,-0.00049498-0.00010964i,-0.00061033-9.1952e-05i,-0.00092615-0.00022481i,-0.00052751-0.00013425i,0.00038003+1.7167e-05i
0.041915+0.15942i,0.15206+0.34826i,0.3316+0.49241i,0.37245+0.43068i,0.21212+0.29145i,0.072181+0.28268i,0.040458+0.26177i,-0.018592+0.09342i,-0.11583-0.044602i,-0.11876-0.044124i,-0.049026-0.023522i,-0.027383-0.030239i,-0.034496+0.0036036i,0.0040821+0.045376i,0.057575+0.022842i,0.066284-0.041694i,0.032504-0.087141i,0.0036103-0.095949i,0.000923-0.080474i,-0.00011465-0.050506i,-0.011915-0.013059i,-0.017407+0.025949i,-0.005742+0.040812i
-0.15705-0.029977i,-0.35207-0.082914i,-0.56313-0.14955i,-0.72921-0.1241i,-0.73554+0.062907i,-0.39732+0.19929i,0.047043+0.08864i,0.17796-0.051898i,0.10841-0.048671i,0.067142-0.039637i,0.019245-0.045705i,-0.014048-0.0058684i,0.00056371+0.011932i,0.015688-0.0048323i,0.030705-0.00043092i,0.043334+0.0072001i,0.018901-0.010298i,-0.036984-0.028845i,-0.07889-0.025577i,-0.079757-0.01253i,-0.060986-0.0057237i,-0.03774+0.0009876i,-0.0026271+0.0052346i
0.12212-0.17793i,0.15389-0.36898i,0.054764-0.37926i,0.064829-0.093552i,0.38789+0.087569i,0.55531-0.06772i,0.28597-0.18817i,0.080549-0.098438i,0.083938-0.049539i,0.037829-0.079901i,-0.02258-0.06438i,-0.017181-0.027658i,0.010171-0.0093515i,0.015179-0.019904i,-0.019637-0.056584i,-0.068358-0.071991i,-0.095354-0.040723i,-0.091502+0.0087524i,-0.068213+0.037423i,-0.051418+0.039303i,-0.039792+0.044941i,-0.0083279+0.05314i,0.024238+0.03228i
0.0302+0.24898i,0.16637+0.61634i,0.43539+0.90361i,0.61731+0.73414i,0.40819+0.23992i,0.021498-0.082726i,-0.13902-0.14486i,-0.14751-0.17958i,-0.13778-0.17334i,-0.08058-0.085794i,-0.018367-0.039797i,-0.0072802-0.051247i,-0.026261-0.045231i,-0.016117-0.003677i,0.037144+0.024109i,0.083069+0.0053871i,0.087086-0.023612i,0.069586-0.038944i,0.050747-0.041713i,0.024863-0.016322i,0.0044334+0.019349i,0.0034453+0.029565i,0.011437+0.017283i
-0.11512-0.18053i,-0.23579-0.5885i,-0.42003-1.1729i,-0.67148-1.4004i,-0.75119-0.96699i,-0.4902-0.35866i,-0.18207-0.041241i,-0.091599+0.090552i,-0.10311+0.14849i,-0.08813+0.12203i,-0.073875+0.096684i,-0.069118+0.11047i,-0.052587+0.11574i,-0.050134+0.085223i,-0.087275+0.055921i,-0.12725+0.049423i,-0.13417+0.035382i,-0.12452+0.0073765i,-0.11458-0.010073i,-0.083668-0.0076791i,-0.033338-0.00079658i,-0.0052329+0.00090626i,-0.0035889+0.0070451i
0.0016449+0.054959i,-0.16125+0.36512i,-0.40336+1.0609i,-0.36515+1.693i,0.026776+1.5646i,0.28484+0.85772i,0.24389+0.33045i,0.20993+0.19082i,0.22217+0.16526i,0.16765+0.10279i,0.10158+0.037454i,0.072529+0.0099693i,0.072497+0.020507i,0.096502+0.036635i,0.13425+0.016044i,0.13192-0.029634i,0.061782-0.030773i,-0.0097748+0.031441i,-0.015715+0.094739i,0.020007+0.099494i,0.036178+0.060203i,0.030315+0.03023i,0.029921+0.016806i
0.16284+0.019888i,0.52468-0.073381i,1.0557-0.32175i,1.4171-0.5594i,1.2667-0.58828i,0.72221-0.47936i,0.19465-0.35033i,-0.045833-0.22603i,-0.025776-0.13073i,0.039437-0.070192i,0.03867-0.032739i,0.022562-0.0078356i,0.031618-0.0076287i,0.029864-0.034497i,-0.017872-0.052546i,-0.066021-0.030769i,-0.053317+0.007757i,0.0061772+0.012543i,0.051835-0.016119i,0.051019-0.035468i,0.026662-0.027825i,0.012429-0.010811i,0.012114-0.0059241i
-0.19529+0.020235i,-0.45213+0.018831i,-0.70208-0.099288i,-0.83843-0.30161i,-0.84719-0.29402i,-0.71272-0.01523i,-0.44442+0.20849i,-0.21205+0.16645i,-0.10701+0.0025666i,-0.058236-0.084367i,-0.026298-0.070864i,-0.0048058-0.031615i,0.0081681-0.012028i,0.0065895+0.00020282i,-0.0074381+0.026668i,-0.017809+0.054251i,-0.020874+0.052243i,-0.033174+0.017511i,-0.056459-0.012362i,-0.06045-0.0075377i,-0.027057+0.0097391i,0.0097685+0.0073073i,0.016808-0.0074679i
0.050055-0.085708i,0.041171-0.1179i,-0.036146-0.015491i,-0.096206+0.13478i,0.035322+0.13277i,0.29558+0.035521i,0.40443-0.029753i,0.28039-0.021052i,0.091222+0.039707i,0.0013268+0.055693i,-0.013143+0.015019i,-0.021651-0.01991i,-0.022536-0.029411i,0.0001023-0.030121i,0.044999-0.039247i,0.076411-0.048814i,0.067924-0.028155i,0.035828+0.022253i,0.016751+0.060766i,0.015734+0.051533i,0.0089993+0.0069346i,-9.816e-05-0.033647i,-0.005608-0.052991i
0.084377+0.047017i,0.1435+0.056521i,0.12182+0.097283i,0.059819+0.26989i,0.050672+0.36755i,0.0012176+0.14963i,-0.13437-0.095698i,-0.14628-0.072915i,-0.025077+0.035654i,0.031269+0.073344i,0.014127+0.080824i,-0.012334+0.084018i,-0.029243+0.082743i,-0.041859+0.071182i,-0.063365+0.05915i,-0.066848+0.056013i,-0.034929+0.044134i,0.010168+0.024964i,0.031564+0.009243i,0.016323+0.0099623i,-0.0036982+0.029684i,-0.013129+0.041969i,-0.024639+0.039902i
-0.091039+0.13151i,-0.047004+0.35615i,0.1857+0.4816i,0.37427+0.26687i,0.20517+0.0099918i,-0.049954+0.090908i,0.0021077+0.2164i,0.12995+0.067925i,0.12056-0.11799i,0.080252-0.15066i,0.060587-0.11497i,0.056371-0.075797i,0.05826-0.043272i,0.061434-0.015563i,0.07742-0.017984i,0.082009-0.06067i,0.051939-0.10162i,0.0134-0.11547i,-0.0060192-0.10301i,-0.012657-0.068288i,-0.019626-0.030596i,-0.020231-0.0019639i,-0.0035357+0.010256i
-0.030704-0.25433i,-0.20389-0.62366i,-0.50624-0.94089i,-0.67566-0.88561i,-0.47875-0.55122i,-0.14211-0.2748i,0.0045717-0.11226i,0.0070682-0.028866i,-0.030318-0.032297i,-0.072507-0.03662i,-0.065187+0.0031151i,-0.022143+0.030301i,0.007231+0.025692i,0.002882+0.017485i,-0.030408+0.029392i,-0.06599+0.061036i,-0.083879+0.086635i,-0.084306+0.083239i,-0.072718+0.057057i,-0.041905+0.032962i,-0.00052531+0.018603i,0.026215+0.010246i,0.034151+0.0055456i
0.15424+0.20772i,0.35358+0.48885i,0.46402+0.82257i,0.34817+1.0126i,0.19304+0.93981i,0.18239+0.6167i,0.15798+0.21886i,0.041806+0.046707i,-0.017062+0.082553i,-0.0030327+0.094462i,1.0375e-05+0.051416i,-0.0076728+0.019356i,0.0047629+0.005215i,0.03558-0.01849i,0.049664-0.050434i,0.037562-0.055509i,0.033565-0.023455i,0.038497+0.025777i,0.039532+0.056966i,0.03347+0.049341i,0.015451+0.026243i,-0.003358+0.012113i,-0.016308+0.00072687i
-0.15881+0.0084813i,-0.28749+0.014464i,-0.23493-0.031592i,0.016063-0.18188i,0.11906-0.36616i,-0.022498-0.39572i,-0.087074-0.25826i,-0.00065735-0.15763i,0.069292-0.12096i,0.087511-0.072151i,0.088941-0.045278i,0.075979-0.05213i,0.041086-0.067325i,-0.014677-0.050031i,-0.030694+0.014696i,0.022144+0.054061i,0.072555+0.022961i,0.086571-0.028085i,0.080708-0.047886i,0.057412-0.041693i,0.031292-0.030654i,0.021271-0.022096i,0.022407-0.015439i
0.062059-0.16623i,0.096666-0.36802i,0.069276-0.51204i,0.030448-0.43141i,0.075929-0.21741i,0.09705-0.077111i,6.7143e-05-0.0086022i,-0.08102+0.01305i,-0.072515-0.042708i,-0.042321-0.10375i,-0.042378-0.10127i,-0.072136-0.055631i,-0.086563+0.0049189i,-0.049215+0.037562i,-0.00057335+0.013047i,0.0066489-0.035933i,-0.013993-0.060779i,-0.026274-0.060026i,-0.028133-0.05272i,-0.018221-0.029789i,0.0091016-0.0040324i,0.023346+0.001034i,0.0073523+0.00062288i
0.092466+0.14533i,0.19976+0.30318i,0.25127+0.36659i,0.14749+0.23723i,0.029736+0.091028i,0.079765+0.067941i,0.15446+0.041584i,0.086237+0.019239i,-0.02395+0.067912i,-0.052261+0.080595i,-0.041946+0.037646i,-0.026076+0.023345i,0.012826+0.033264i,0.045515+0.013814i,0.029964-0.035443i,-0.032605-0.068176i,-0.098137-0.062757i,-0.12804-0.036393i,-0.11287-0.0066511i,-0.072507+0.0061185i,-0.05015-0.0039418i,-0.04872-0.01307i,-0.039136-0.0089516i
-0.17671-0.012755i,-0.37677-0.011955i,-0.47637+0.063207i,-0.35852+0.17778i,-0.23707+0.17397i,-0.24648+0.039355i,-0.21995-0.054179i,-0.080323-0.054395i,0.039531-0.03586i,0.049398-0.0079695i,0.035788+0.029775i,0.067306+0.027464i,0.081996-0.020494i,0.033659-0.038576i,-0.025892+0.015483i,-0.035048+0.10047i,-0.014866+0.15432i,-0.0095645+0.15816i,-0.010658+0.12242i,-0.0046349+0.068272i,0.0095618+0.033815i,0.030331+0.025855i,0.046289+0.021944i
0.11573-0.12479i,0.24851-0.27777i,0.30715-0.41803i,0.26158-0.43889i,0.25848-0.34716i,0.27397-0.19198i,0.18098-0.035166i,0.055254+0.049956i,0.024404+0.045092i,0.043784-0.0041909i,0.013025-0.047865i,-0.056756-0.061255i,-0.093966-0.045279i,-0.077447-0.029686i,-0.034583-0.032477i,0.0094182-0.045191i,0.06245-0.041219i,0.1154-0.024194i,0.11857-0.019279i,0.065893-0.0084502i,0.014746+0.013784i,-0.0032341+0.020656i,-0.0097599+0.008523i
0.0067056+0.14139i,0.012279+0.32535i,0.0033271+0.4732i,-0.024485+0.52437i,-0.064875+0.52822i,-0.087901+0.41776i,-0.061736+0.20922i,-0.029921+0.055188i,-0.042374+0.0002094i,-0.055606-0.0036288i,-0.033799+0.0079342i,-0.01573+0.026385i,-0.012595+0.054165i,0.016248+0.076315i,0.071251+0.066184i,0.09364+0.0089154i,0.052946-0.074264i,-0.0025499-0.12666i,-0.020122-0.11664i,-0.0018291-0.084741i,0.016537-0.072716i,0.016033-0.063155i,0.014995-0.042556i
-0.10088-0.05954i,-0.21297-0.14927i,-0.27868-0.25919i,-0.2833-0.35197i,-0.26272-0.37397i,-0.16006-0.26677i,-0.024609-0.11966i,0.022064-0.051465i,-0.0047216-0.029851i,-0.029946-0.0017564i,-0.026476+0.040514i,0.0046044+0.074984i,0.036041+0.069107i,0.025122+0.025786i,-0.031644-0.012808i,-0.085243+0.0027056i,-0.10679+0.052952i,-0.11085+0.074371i,-0.10687+0.058095i,-0.098812+0.038666i,-0.081877+0.038324i,-0.052652+0.039813i,-0.031498+0.026379i
0.082502-0.027453i,0.1651-0.018616i,0.23483+0.11397i,0.30709+0.29665i,0.36902+0.32068i,0.30442+0.19464i,0.16161+0.094904i,0.11455+0.057151i,0.13652+0.014672i,0.11877-0.025962i,0.07394-0.05266i,0.042373-0.078505i,0.024508-0.079994i,0.014607-0.046547i,0.016247-0.011531i,0.038441+0.0048107i,0.076396+0.019852i,0.099935+0.041862i,0.094186+0.053603i,0.071759+0.049684i,0.036916+0.031048i,-0.0046998+0.008972i,-0.028881+0.0063921i
0.01657+0.059933i,0.021235+0.088024i,-0.022114+0.023195i,-0.12927-0.05406i,-0.20896-0.0068508i,-0.17617+0.059937i,-0.086606+0.00478i,-0.059983-0.070514i,-0.075492-0.059979i,-0.061822-0.0095438i,-0.02721+0.02175i,-0.0074666+0.025561i,-0.0090843+0.013783i,-0.010532+0.0073354i,-0.0058173+0.016254i,-0.010606+0.0052177i,-0.025023-0.038598i,-0.027614-0.066097i,-0.0090035-0.053296i,0.021075-0.030741i,0.047012-0.017386i,0.056577-0.0015704i,0.055571+0.01252i
-0.06345-0.027451i,-0.10813-0.031596i,-0.084367-0.035462i,0.0019663-0.096548i,0.04923-0.21256i,0.042404-0.24895i,0.028781-0.1416i,0.0081611-0.020491i,-0.015096+0.021268i,-0.021613+0.0063317i,-0.03278-0.011191i,-0.052634+0.0041742i,-0.050799+0.02195i,-0.039419+0.0053566i,-0.032206-0.016602i,-0.02838-0.0060177i,-0.033581+0.017593i,-0.041329+0.019548i,-0.04727+0.0040272i,-0.051199+0.00053908i,-0.045317+0.013094i,-0.025263+0.017399i,-0.0043622-0.0018821i
0.042235-0.028469i,0.071435-0.053384i,0.071142-0.017542i,0.063971+0.095511i,0.082378+0.19039i,0.075284+0.16833i,0.015793+0.053044i,-0.0083272-0.027151i,0.024607-0.03523i,0.04707-0.036075i,0.047823-0.047581i,0.055431-0.048088i,0.066656-0.024829i,0.073972-0.00090244i,0.079359-0.015537i,0.07432-0.048153i,0.053813-0.047073i,0.03505-0.01986i,0.03013-0.0038645i,0.028761-0.0105i,0.024017-0.027759i,0.014436-0.039431i,-0.0016836-0.035103i
0.0036765+0.035599i,-0.0096496+0.044436i,-0.067886+0.00018391i,-0.16409-0.067534i,-0.21208-0.086854i,-0.14764-0.048897i,-0.058289-0.02579i,-0.049796-0.038633i,-0.064185-0.030749i,-0.032997+0.0061492i,0.0011918+0.032454i,0.010839+0.032799i,0.0079651+0.013377i,-0.010217+0.0050119i,-0.044577+0.028832i,-0.067737+0.053145i,-0.066517+0.046974i,-0.053353+0.02588i,-0.036299+0.012377i,-0.021157+0.012928i,-0.011577+0.026965i,-0.0077826+0.042644i,-0.0067+0.046151i
-0.018329+0.007002i,0.0065674+0.046549i,0.12062+0.10892i,0.27829+0.12864i,0.31789+0.066682i,0.1799-0.011042i,0.041362+0.0056963i,0.030909+0.05754i,0.046767+0.022692i,8.7507e-05-0.037678i,-0.048865-0.04484i,-0.062457-0.0349i,-0.058896-0.033984i,-0.039858-0.03644i,-0.010777-0.033241i,0.011527-0.015442i,0.025717+0.0077546i,0.026752+0.019382i,0.0082266+0.0090351i,-0.014797-0.011287i,-0.027988-0.022177i,-0.023447-0.020787i,-0.007743-0.012193i
-0.0076237-0.035252i,-0.066281-0.10023i,-0.20073-0.17169i,-0.33079-0.17531i,-0.30297-0.072242i,-0.12738+0.037507i,0.0030795+0.055261i,0.022445+0.030483i,0.026539+0.045093i,0.058475+0.052704i,0.075852+0.027043i,0.066298+0.013922i,0.045944+0.021373i,0.029552+0.036771i,0.030399+0.047625i,0.039172+0.041533i,0.040375+0.02318i,0.042069+0.0099937i,0.040821+0.016082i,0.030125+0.029007i,0.026409+0.024921i,0.02791+0.005823i,0.024531-0.007688i
0.042014+0.03531i,0.11522+0.075977i,0.2235+0.12705i,0.30708+0.15043i,0.27498+0.10076i,0.13136+0.018035i,0.017548-0.0058502i,-0.0021249+0.013704i,-0.010631+0.0082786i,-0.040797+0.0066007i,-0.049334+0.020852i,-0.040365+0.023102i,-0.029711+0.01869i,-0.015432+0.007897i,-0.0027752-0.019555i,0.0032308-0.052457i,-0.00050782-0.071804i,-0.010178-0.069836i,-0.007831-0.046605i,0.0038209-0.01638i,-0.0021216+0.0030778i,-0.021868+0.011751i,-0.030563+0.006949i
-0.038943+0.014605i,-0.09412+0.025096i,-0.16585+0.019176i,-0.23881-0.022419i,-0.2502-0.059798i,-0.14344-0.036572i,-0.010356-0.015743i,0.030355-0.032415i,0.014448-0.047738i,-0.0026638-0.058907i,-0.01744-0.055426i,-0.011632-0.036114i,0.010352-0.025779i,0.016427-0.02936i,-0.00544-0.030627i,-0.039712-0.017285i,-0.06298+0.005844i,-0.070043+0.016843i,-0.063038+0.00092885i,-0.041995-0.019036i,-0.010756-0.016143i,0.018391-0.0061745i,0.025854-0.001669i
0.011858-0.048269i,0.015123-0.088649i,0.045862-0.088126i,0.14611-0.028417i,0.2443+0.024488i,0.20745+0.021386i,0.095703-0.011212i,0.036296-0.036586i,0.033133-0.034636i,0.051211-0.01316i,0.05413-0.0011676i,0.029649+0.0051614i,0.0074446+0.018937i,0.0037483+0.038742i,0.018343+0.061911i,0.042266+0.073758i,0.059458+0.067576i,0.062543+0.059727i,0.046978+0.0557i,0.023115+0.043532i,0.0085798+0.022193i,0.00031134+0.0087282i,0.00039139+0.011597i
0.026621+0.029997i,0.060735+0.052011i,0.029876+0.046171i,-0.1273+0.041966i,-0.27495+0.068561i,-0.24303+0.057542i,-0.12459+0.018143i,-0.047429+0.018572i,-0.026098+0.036594i,-0.037865+0.043628i,-0.038572+0.043709i,-0.024719+0.031795i,-0.019047+0.010294i,-0.019395-0.017793i,-0.022008-0.047985i,-0.026075-0.070052i,-0.025014-0.082688i,-0.013097-0.080016i,0.0029558-0.058672i,0.006851-0.036166i,-0.0050294-0.025498i,-0.016913-0.021925i,-0.014946-0.02144i
-0.045455+0.01546i,-0.088195+0.049489i,-0.059342+0.074757i,0.066584+0.037434i,0.17732-0.01903i,0.197-0.023398i,0.13759-0.029992i,0.037754-0.064381i,-0.012199-0.071457i,0.0053372-0.066808i,0.014044-0.065204i,0.0096877-0.047665i,0.01644-0.027914i,0.019511-0.01463i,0.013785+0.0036933i,0.00045857+0.027518i,-0.021176+0.045958i,-0.040362+0.03963i,-0.042262+0.016429i,-0.024124+0.010189i,0.0028045+0.023222i,0.020638+0.031537i,0.021677+0.022361i
0.010927-0.04824i,0.015957-0.10147i,-0.0085619-0.083442i,-0.016671+0.040361i,0.005118+0.12003i,-0.026773+0.076028i,-0.082359+0.034416i,-0.067424+0.048171i,-0.021434+0.055343i,0.0018223+0.051898i,0.014376+0.041388i,0.014805+0.020913i,0.0062157+0.015714i,0.00081354+0.020452i,0.00036614+0.012506i,0.0059697-0.0029945i,0.016856-0.0057166i,0.02452+0.0099634i,0.023185+0.021757i,0.015794+0.011522i,0.0014001-0.0074625i,-0.013922-0.012262i,-0.021453-0.006214i
0.026149+0.039374i,0.065839+0.059094i,0.056239+0.01384i,-0.043647-0.071025i,-0.11308-0.085779i,-0.052651-0.033988i,0.03561-0.011122i,0.044716-0.0090752i,0.014138-0.0014753i,-0.012265-0.0048397i,-0.02341-0.0021048i,-0.012503+0.0033267i,-0.0012057-0.0051256i,-0.0029109-0.008489i,-0.0056595+0.0038466i,-0.0035256+0.013682i,0.00037368+0.007161i,0.0010772-0.0067601i,-0.0024149-0.014232i,-0.006454-0.012606i,-0.0019284-0.0090339i,0.01243-0.013106i,0.018879-0.019645i
-0.044199+0.010298i,-0.078225+0.053464i,-0.009387+0.10776i,0.18238+0.087596i,0.29176-0.011424i,0.19038-0.062989i,0.050707-0.027218i,0.021457-0.018466i,0.033215-0.059659i,0.02364-0.074123i,0.0028125-0.053334i,-0.015365-0.021278i,-0.015971+0.0063758i,0.0029544+0.013134i,0.023618+0.0027782i,0.030012-0.0060496i,0.020916-0.0042837i,0.0081187+0.0017976i,0.0010169+0.009152i,-0.00091493+0.024016i,-0.00036561+0.039205i,-0.0030192+0.043729i,-0.0056305+0.040794i
0.015517-0.059549i,-0.0078674-0.12863i,-0.11902-0.14952i,-0.29121-0.042889i,-0.36665+0.094721i,-0.2483+0.12508i,-0.084512+0.094235i,0.00068381+0.098462i,0.037319+0.11539i,0.051842+0.096462i,0.048673+0.055633i,0.033839+0.02428i,0.013038+0.011066i,-0.0072562+0.0084649i,-0.024815+0.0050557i,-0.035351-0.0014527i,-0.033743-0.0067808i,-0.016914-0.0086073i,0.0039818-0.013859i,0.0086742-0.030761i,-0.0014413-0.049111i,-0.013662-0.048214i,-0.013591-0.028549i
0.033609+0.043281i,0.10833+0.072817i,0.22232+0.012601i,0.3002-0.16212i,0.27438-0.27883i,0.16731-0.22304i,0.061185-0.13747i,-0.017308-0.11293i,-0.069161-0.093905i,-0.082526-0.057993i,-0.069523-0.023956i,-0.042534-0.0063359i,-0.011333-0.0072045i,0.0089642-0.012171i,0.022233-0.011224i,0.032724-0.0074236i,0.030454-0.0058186i,0.011951-0.0074198i,-0.009708-0.0063269i,-0.015877+0.0044759i,-0.0072017+0.020823i,0.010389+0.029414i,0.026775+0.015411i
-0.054867-0.0064252i,-0.13848+0.035914i,-0.2309+0.15965i,-0.25786+0.32979i,-0.21097+0.3826i,-0.13864+0.26241i,-0.068903+0.12353i,-0.02057+0.051617i,0.011149+0.011078i,0.029215-0.017611i,0.027891-0.030879i,0.015384-0.026571i,0.007037-0.012817i,0.0017508-0.0090207i,-0.010093-0.01491i,-0.027317-0.017285i,-0.03564-0.012106i,-0.027429-0.0014068i,-0.011331+0.0059593i,1.5338e-05+0.0098781i,0.0050094+0.013702i,0.0038737+0.0084139i,-0.010125-0.00014948i
0.030219-0.033523i,0.055759-0.12054i,0.047472-0.24305i,0.0072915-0.31246i,0.015427-0.26058i,0.05581-0.15089i,0.065154-0.081012i,0.053691-0.050283i,0.030387-0.019489i,0.013067+0.010093i,0.013493+0.021651i,0.014358+0.013971i,0.0070731+0.0060831i,0.00056605+0.014029i,0.0044034+0.029892i,0.013513+0.038451i,0.017181+0.032874i,0.013521+0.019364i,0.0076607+0.0072182i,0.0039801-0.0063458i,0.00066689-0.026991i,-0.0076252-0.040023i,-0.014377-0.02567i
0.023927+0.0457i,0.074388+0.1235i,0.15484+0.20679i,0.19514+0.23774i,0.14146+0.20274i,0.06559+0.12816i,0.021071+0.048689i,-0.011449-0.0030646i,-0.02727-0.024818i,-0.032119-0.027914i,-0.033218-0.014639i,-0.023446+0.0015214i,-0.0088852+0.004515i,0.0032628-0.0047645i,0.010286-0.017523i,0.012188-0.025426i,0.011431-0.023258i,0.0076606-0.011436i,0.0043788+0.0043321i,0.0044282+0.017032i,0.0051258+0.02941i,0.0077363+0.045505i,0.021424+0.04693i
-0.06121-0.0053242i,-0.15297-0.012116i,-0.23503+0.0085617i,-0.2125+0.034245i,-0.10653+0.024952i,-0.013448+0.012866i,0.032637+0.03148i,0.056871+0.058565i,0.078164+0.058197i,0.084317+0.025978i,0.062124-0.0059619i,0.029569-0.013456i,0.0057773-0.0074381i,-0.0085907-0.0016385i,-0.019335+0.0032433i,-0.028558+0.0078852i,-0.033067+0.010381i,-0.027443+0.0044561i,-0.019503-0.0097793i,-0.02389-0.016252i,-0.029369-0.0065877i,-0.014725-0.00092079i,0.0035492-0.013632i
0.052545-0.034989i,0.11436-0.10157i,0.15592-0.18047i,0.13511-0.20035i,0.083638-0.14621i,0.032626-0.084347i,-0.020736-0.056365i,-0.062534-0.042023i,-0.07708-0.01456i,-0.066115+0.02035i,-0.045213+0.03758i,-0.027897+0.032891i,-0.010902+0.023374i,0.004381+0.015423i,0.015969+0.0082138i,0.025588-0.00019987i,0.026634-0.0065491i,0.014303-0.0019039i,0.0025102+0.011719i,0.012081+0.020583i,0.032412+0.010586i,0.032584-0.017105i,0.004645-0.036264i
0.0046822+0.054672i,0.020676+0.1422i,0.051501+0.21993i,0.070536+0.22332i,0.06205+0.15752i,0.037637+0.069427i,0.014848+0.020222i,0.003395+0.014255i,0.0025545-0.0044051i,-0.0011478-0.038485i,-0.006635-0.048344i,-0.0032702-0.035618i,0.0013174-0.021554i,-0.00072708-0.016519i,-0.009765-0.015875i,-0.019782-0.011328i,-0.017416-0.0071208i,-0.0024349-0.0075076i,0.011776-0.012963i,0.010779-0.024429i,-0.0084217-0.03066i,-0.033744-0.012675i,-0.041801+0.022723i
-0.047881-0.030347i,-0.12526-0.07225i,-0.20122-0.11788i,-0.20463-0.15909i,-0.14704-0.17473i,-0.093222-0.11689i,-0.03554-0.045046i,0.024631-0.043115i,0.041087-0.045557i,0.038014-0.016019i,0.036654-8.063e-06i,0.023242+0.0028524i,0.0098534+0.0060266i,0.0089522+0.011037i,0.018457+0.014104i,0.025287+0.011162i,0.019234+0.0090508i,0.0057275+0.0059906i,-0.0088918+0.00059136i,-0.023276+0.0037591i,-0.029195+0.019207i,-0.012223+0.033981i,0.020245+0.034784i
0.047955-0.017061i,0.11994-0.047873i,0.16978-0.052784i,0.15051+0.023307i,0.10122+0.11483i,0.064962+0.097927i,0.017938+0.027627i,-0.022939+0.015615i,-0.024264+0.024235i,-0.019226+0.01432i,-0.018648+0.0091079i,-0.0072238+0.0068293i,0.0020851+0.0025806i,0.0019825+0.0015874i,-0.0027983-0.00084419i,-0.0076678-0.0058944i,-0.0082675-0.008174i,-0.0038443-0.00059491i,0.005196+0.015699i,0.020273+0.025783i,0.039641+0.017884i,0.05093-0.0091215i,0.043193-0.042322i
-0.022287+0.049664i,-0.042874+0.12083i,-0.057965+0.14734i,-0.081163+0.047561i,-0.11768-0.074874i,-0.10261-0.059946i,-0.022019+0.011837i,0.033802+0.018977i,0.035148-0.0040921i,0.024907-0.01724i,0.016935-0.02215i,0.0090276-0.017935i,0.0040055-0.010268i,-0.0011922-0.0044444i,-0.0064455+0.0034056i,-0.0083047+0.011752i,-0.0070638+0.014764i,-0.0046703+0.0068428i,-0.0027315-0.0088074i,-0.005375-0.019154i,-0.015883-0.02135i,-0.034236-0.016671i,-0.05279-0.0052323i
-0.028239-0.036773i,-0.07631-0.079583i,-0.10841-0.062609i,-0.054226+0.064838i,0.04977+0.18394i,0.088346+0.14409i,0.039427+0.032046i,-0.013494-0.009625i,-0.020626+0.00084262i,-0.012956+0.012587i,-0.013191+0.021108i,-0.012168+0.023415i,-0.0047678+0.016827i,0.0051947+0.0057387i,0.012742-0.0052218i,0.014115-0.014945i,0.0085604-0.016232i,-0.00049219-0.0057656i,-0.0052011+0.0029612i,-0.0039059+0.001386i,-0.0010531-0.00013611i,0.00072578+0.012421i,0.0039246+0.033979i
0.044075-0.0028471i,0.11151-0.022757i,0.14672-0.079367i,0.075893-0.15012i,-0.025637-0.16603i,-0.048074-0.10722i,-0.026366-0.028328i,-0.013402+0.016832i,-0.017005+0.013069i,-0.027699-0.0066364i,-0.026458-0.015296i,-0.018759-0.01794i,-0.016227-0.013337i,-0.017427-0.00307i,-0.021154+0.0052473i,-0.023009+0.010776i,-0.017718+0.0070259i,-0.0085695-0.0042071i,-0.0054636-0.0081252i,-0.011759+0.00056554i,-0.012726+0.011715i,0.0061892+0.012863i,0.035262+0.0025224i
-0.026952+0.044053i,-0.058908+0.11939i,-0.054764+0.21268i,0.01549+0.24725i,0.085717+0.2037i,0.093475+0.12994i,0.078663+0.039021i,0.058346-0.041248i,0.034761-0.053669i,0.031997-0.027829i,0.029099-0.013474i,0.017239-0.0014935i,0.012334+0.0086292i,0.016318+0.0071071i,0.024946-0.0036714i,0.029944-0.012735i,0.02628-0.010012i,0.016468-0.00333i,0.0090136-0.00049527i,0.010862+9.7593e-06i,0.012563-0.0025418i,0.0040079-0.01109i,-0.0084416-0.026844i
-0.010981-0.053921i,-0.04154-0.13066i,-0.0897-0.19463i,-0.095491-0.17242i,-0.03095-0.1192i,0.0085669-0.10369i,-0.018581-0.060405i,-0.026385+0.017808i,-0.004575+0.046791i,-0.0014078+0.035564i,-0.0030001+0.026126i,0.0020661+0.014757i,0.0020458+0.0045746i,-0.001099+0.00015182i,-0.0072609+0.0006032i,-0.014662+0.0011096i,-0.017958-0.0025215i,-0.014383-0.0028996i,-0.0041645+0.00065043i,0.0020125+0.00011157i,-0.00091335-0.0037393i,-0.01132-0.00377i,-0.028708+0.0013204i
