6.787e-05+0.0016724i,0.0014269+0.00096002i,0.0011689+0.00053872i,0.00087125+0.00037948i,0.00040199+8.0649e-05i,-0.00058844-8.3072e-05i,-0.0011845+0.00048252i,-0.00069683+0.00069774i,4.5398e-05+0.0014389i,0.00066679+0.0012465i,0.00090017-0.00031522i,0.00057385-0.001083i,0.00011904-0.0012918i,-0.00063248-0.00077846i,-0.00096046-0.00050573i,-0.00013142-0.00028587i,8.1752e-05+0.00035725i,-0.00027788+0.0004355i,9.545e-05+0.00071077i,0.00039362+0.00038223i,0.00023985+0.0004042i,0.00010835+0.0010731i,0.00015094+0.00096332i
0.32055+0.5041i,0.67775+0.85819i,1.166+0.95272i,1.496+0.59363i,1.4268+0.1029i,1.1329-0.13841i,0.78054-0.20281i,0.4268-0.21877i,0.19587-0.19329i,0.08258-0.16661i,0.0044585-0.11125i,-0.0099434-0.012882i,0.035889+0.056981i,0.07081+0.074748i,0.07917+0.063946i,0.078114+0.046316i,0.073195+0.035399i,0.055704+0.013734i,0.012764-0.024863i,-0.028181-0.055047i,-0.024748-0.059924i,0.0091104-0.04464i,0.027981-0.025684i
-0.53347+0.018459i,-0.97759-0.15556i,-1.2426-0.26778i,-1.1384-0.12246i,-0.87534+0.087099i,-0.68012+0.14747i,-0.50394+0.12119i,-0.30686+0.10046i,-0.17537+0.088565i,-0.097689+0.069437i,-0.028114+0.025611i,-0.0077028-0.027015i,-0.03773-0.046186i,-0.056645-0.03147i,-0.055315-0.013142i,-0.052446-0.0061044i,-0.04362-0.011952i,-0.026827-0.017539i,-0.0046031-0.012398i,0.021227-0.0057644i,0.028466-0.013911i,0.0082549-0.036702i,-0.010647-0.050152i
0.081872-0.15988i,0.3113-0.1377i,0.45015+0.054631i,0.35999+0.21797i,0.22787+0.2361i,0.20148+0.24862i,0.2368+0.25093i,0.21058+0.18079i,0.12562+0.12202i,0.070861+0.098305i,0.021676+0.059793i,-0.029625+0.042236i,-0.031832+0.047623i,-0.012008+0.035351i,-0.0015539+0.013297i,-0.0050802+0.0026292i,-0.02777+0.0083747i,-0.040879+0.022351i,-0.021769+0.031268i,0.0027864+0.030626i,0.0029938+0.024118i,-0.01188+0.024141i,-0.011603+0.025628i
0.029117-0.065294i,0.12036-0.15286i,0.1965-0.38862i,0.16368-0.57991i,0.071501-0.55955i,0.011651-0.46408i,-0.045203-0.33375i,-0.04835-0.16447i,0.0036167-0.096707i,-0.0025806-0.097804i,-0.017301-0.057355i,0.0034271-0.034063i,0.0045344-0.053661i,-0.022154-0.065516i,-0.05276-0.050542i,-0.050706-0.022484i,-0.011505-0.0063819i,0.019446-0.00074961i,0.017439+0.0028767i,0.00064304-0.0014276i,-0.0016096-0.012413i,0.0062987-0.017999i,0.0023669-0.0060836i
-0.039972-0.1173i,-0.22773+0.074909i,-0.34545+0.46153i,-0.19465+0.68876i,0.061954+0.60879i,0.14179+0.43207i,0.084443+0.26528i,0.016848+0.14232i,-0.011111+0.10034i,-0.016704+0.055201i,-0.042853-0.0074855i,-0.044105-0.024128i,0.0029989-0.015939i,0.056765-0.01888i,0.090783-0.025325i,0.084581-0.025827i,0.050112-0.018887i,0.019565-0.010242i,0.0035996-0.012198i,-0.011474-0.018745i,-0.030847-0.010347i,-0.036068+0.0027235i,-0.025733-0.0025132i
0.3719-0.00678i,0.4834-0.27604i,0.37612-0.62045i,0.11609-0.70745i,-0.11192-0.50303i,-0.17235-0.26835i,-0.09613-0.11359i,-0.014179-0.028026i,0.014201+0.018297i,0.036471+0.048579i,0.060792+0.043462i,0.044518+0.028544i,0.0076798+0.044272i,-0.014468+0.066452i,-0.023861+0.068553i,-0.022396+0.059718i,-0.0099293+0.052188i,0.0056821+0.045897i,0.023845+0.036486i,0.049166+0.021712i,0.071793+0.0082987i,0.071014+0.0023215i,0.045079+0.0020496i
-0.086125+0.41732i,-0.079094+0.59193i,-0.074542+0.57464i,-0.15206+0.40937i,-0.24121+0.26448i,-0.18663+0.21203i,-0.044049+0.16768i,0.02542+0.097442i,0.010425+0.060112i,-0.013389+0.053414i,-0.02365+0.046902i,-0.027733+0.032701i,-0.022765+0.0097594i,-0.0086218-0.0049768i,0.0083238-0.0077425i,0.016184-0.016943i,0.01245-0.027796i,0.0048474-0.025179i,-0.0048514+0.00060108i,-0.015685+0.037622i,-0.027511+0.055769i,-0.032094+0.050932i,-0.015257+0.035369i
-0.22853+0.055831i,-0.098105+0.037975i,0.19135-0.081791i,0.41142-0.2343i,0.47194-0.33771i,0.36525-0.3464i,0.1591-0.2429i,0.026912-0.12569i,-0.022108-0.081341i,-0.056939-0.057023i,-0.060273-0.020461i,-0.037275+0.0035861i,-0.017712+0.0082617i,-0.02651-0.0036243i,-0.065187-0.0062785i,-0.086251+0.016704i,-0.076944+0.034589i,-0.064152+0.029523i,-0.054538+0.014938i,-0.042671-0.0030845i,-0.024701-0.032031i,-0.012928-0.057806i,-0.014534-0.053211i
-0.48877-0.2065i,-0.79835+0.030208i,-0.7361+0.47815i,-0.32895+0.74877i,-0.019174+0.72284i,0.02249+0.54524i,-0.03764+0.33721i,-0.054054+0.21916i,0.0041739+0.14892i,0.03868+0.041933i,0.01338-0.040331i,-0.011213-0.067979i,-0.018726-0.06232i,0.0034117-0.039348i,0.048129-0.031826i,0.071831-0.035668i,0.067439-0.026223i,0.052351-0.0097065i,0.028905-0.015779i,0.0026522-0.041071i,-0.0084025-0.039432i,-0.0020193-0.013562i,-0.00045903+0.0033065i
0.4276-0.7858i,0.37285-1.3305i,-0.051568-1.4271i,-0.5218-1.0515i,-0.71468-0.63536i,-0.60697-0.31895i,-0.3239-0.092415i,-0.092169-0.025035i,-0.01879-0.0068368i,0.019102+0.034969i,0.049441+0.040074i,0.03492+0.033589i,0.017008+0.038854i,0.0075675+0.027652i,-0.012822+0.0027723i,-0.043982-0.016287i,-0.070898-0.02329i,-0.071589-0.020978i,-0.036554-0.0077665i,0.011727+0.0079522i,0.039456+0.0062558i,0.046923-0.0097954i,0.04894-0.024138i
0.77955+0.64161i,1.296+0.85495i,1.406+0.60225i,1.0858+0.092203i,0.73393-0.20746i,0.49204-0.26825i,0.26969-0.22315i,0.097172-0.11042i,0.022095-0.022591i,0.00045188+0.0070754i,0.011765+0.015629i,0.029333-0.00079148i,0.016005-0.017489i,0.0064579+0.0038819i,0.03408+0.039392i,0.075178+0.057895i,0.1003+0.057334i,0.091727+0.046463i,0.058957+0.039855i,0.02586+0.047946i,-0.0015131+0.069385i,-0.01908+0.087689i,-0.021937+0.078374i
-0.50138+0.52172i,-0.76503+0.68149i,-0.75266+0.61732i,-0.45387+0.51306i,-0.16728+0.43069i,-0.072019+0.30083i,-0.081593+0.17414i,-0.074632+0.10083i,-0.053016+0.071159i,-0.052519+0.071262i,-0.063218+0.074463i,-0.057905+0.060794i,-0.034164+0.020925i,-0.03047-0.024493i,-0.053212-0.045413i,-0.068894-0.053317i,-0.064633-0.064733i,-0.046529-0.066907i,-0.037595-0.051709i,-0.047144-0.035856i,-0.058458-0.038381i,-0.061201-0.043936i,-0.050341-0.028993i
-0.51738-0.044703i,-0.5131+0.0307i,-0.18249+0.097326i,0.11301+0.095001i,0.19282+0.06699i,0.17431+0.024291i,0.096533-0.01469i,0.016805+0.0022196i,-0.0041742+0.0055677i,-0.016566-0.03397i,-0.026218-0.048472i,-0.010362-0.030007i,0.017872+0.001582i,0.048059+0.024976i,0.060674+0.038981i,0.046281+0.067111i,0.017934+0.098726i,-0.0078548+0.10226i,-0.01658+0.067552i,-0.010791+0.019477i,0.0035353-0.013174i,0.013478-0.027731i,0.0083764-0.03017i
-0.32024-0.76405i,-0.66671-0.91664i,-0.84301-0.60598i,-0.76627-0.19454i,-0.64895-0.0062104i,-0.52285+0.072377i,-0.28885+0.10573i,-0.097431+0.057659i,-0.028548+0.026839i,0.015029+0.023634i,0.032004+0.0065271i,0.0036248-0.002036i,-0.037812+0.00051276i,-0.068797+0.0061188i,-0.071964-0.0047254i,-0.051792-0.038344i,-0.017663-0.068212i,0.013366-0.07637i,0.02729-0.064908i,0.033272-0.046311i,0.038217-0.029993i,0.041924-0.019891i,0.03608-0.014027i
1.0295-0.30788i,1.4935-0.55141i,1.3669-0.67658i,0.85615-0.66582i,0.50171-0.59794i,0.33177-0.49821i,0.15482-0.33703i,0.03229-0.16568i,0.008077-0.066959i,0.015793-0.031828i,0.01606-0.025016i,0.0038487-0.022345i,0.0069703-0.014607i,0.034252-0.017616i,0.050828-0.023238i,0.032184-0.01454i,-0.0070853+0.00093326i,-0.038339+0.010149i,-0.042925+0.020857i,-0.02682+0.037789i,-0.0065246+0.046718i,0.012621+0.042034i,0.029048+0.027794i
0.16809+0.8203i,0.10983+1.1263i,-0.0062503+0.98543i,0.014259+0.65456i,0.0905+0.48158i,0.10051+0.36803i,0.054682+0.2098i,0.0040106+0.11582i,-0.0050877+0.10259i,0.015595+0.097865i,0.032872+0.074951i,0.035596+0.026915i,0.0036303-0.02057i,-0.04883-0.024154i,-0.063647+0.00084895i,-0.019102+0.014391i,0.043432+0.011648i,0.080489+0.0023695i,0.069425-0.018116i,0.018323-0.042022i,-0.039969-0.041246i,-0.079784-0.016031i,-0.088082+0.00819i
-0.43512+0.2803i,-0.47332+0.22131i,-0.28863+0.031211i,-0.16597-0.03901i,-0.16779-0.023256i,-0.14317-0.055355i,-0.096008-0.080353i,-0.059864-0.056599i,-0.053682-0.027024i,-0.079297-0.0019533i,-0.093513+0.01954i,-0.070443+0.033439i,-0.0076825+0.031458i,0.060856+0.005601i,0.077637-0.022184i,0.032484-0.026185i,-0.026634-0.015902i,-0.056636-0.0031956i,-0.047724+0.0078311i,-0.020206+0.010125i,0.0036254+0.0058442i,0.020704+0.0028488i,0.027651+0.0034286i
-0.61825-0.13807i,-0.78552+0.032757i,-0.56795+0.26693i,-0.21957+0.24012i,-0.060141+0.067536i,-0.0097156+0.041938i,0.048676+0.05428i,0.044614+0.013705i,0.0077747-0.0064137i,0.0092738-0.011201i,0.032626-0.014088i,0.042667-0.0075307i,0.016711+0.011007i,-0.027342+0.044054i,-0.045788+0.075099i,-0.025523+0.091711i,0.013707+0.092467i,0.040724+0.071777i,0.047756+0.037251i,0.050253+0.0070417i,0.046986-0.017226i,0.034166-0.039382i,0.018445-0.049397i
0.15645-0.82157i,0.10661-1.1266i,-0.034319-0.8794i,-0.067447-0.37068i,0.01049-0.13182i,0.0040963-0.10948i,-0.034257-0.074236i,-0.018392-0.047586i,-0.0063056-0.047952i,-0.009648-0.045449i,-0.028331-0.042202i,-0.054507-0.033224i,-0.047916-0.029121i,-0.015181-0.048329i,0.004258-0.078408i,-0.0015176-0.10142i,-0.015889-0.10722i,-0.028814-0.085795i,-0.037089-0.042308i,-0.033837+0.0030707i,-0.023894+0.026894i,-0.016581+0.03403i,-0.012235+0.036707i
0.78875+0.10836i,1.0474+0.056017i,0.76635-0.15659i,0.25581-0.29459i,0.027293-0.20337i,0.02952-0.10993i,0.014083-0.084166i,-0.019238-0.028389i,-0.0055437+0.0166i,0.030321+0.016042i,0.052041+0.0031568i,0.050771-0.0052305i,0.027409+0.00037722i,0.0023506+0.020133i,-0.006243+0.03574i,-0.0059025+0.042484i,-0.0063527+0.048909i,0.0012422+0.045768i,0.017681+0.02135i,0.018337-0.012371i,0.0068941-0.029163i,0.0036148-0.021668i,0.0061545-0.011779i
0.033628+0.59451i,0.094571+0.71497i,0.18772+0.48337i,0.20438+0.20249i,0.098926+0.1006i,0.0058499+0.067304i,-0.015413+0.03318i,-0.0053435+0.021055i,-0.0031307+0.024931i,-0.027123+0.034871i,-0.051088+0.040228i,-0.049386+0.025419i,-0.031381-0.004125i,-0.016495-0.025788i,-0.0038317-0.027724i,0.013731-0.02041i,0.027217-0.017782i,0.025667-0.018518i,0.010786-0.01534i,-0.0035072-0.0090546i,-0.013343-0.00088015i,-0.021327+0.0046447i,-0.023426+0.0047782i
-0.50243+0.34971i,-0.59335+0.5872i,-0.38316+0.63674i,-0.11867+0.42903i,0.018909+0.18211i,0.094631+0.073689i,0.13075+0.031089i,0.099402-0.011658i,0.044687-0.032959i,0.016219-0.030386i,0.014655-0.018935i,0.014161-0.00049013i,0.0096566+0.023753i,0.015062+0.038741i,0.016344+0.039953i,0.00033201+0.039805i,-0.016626+0.042604i,-0.014312+0.043016i,0.009642+0.037142i,0.035882+0.025309i,0.046346+0.012944i,0.046133+0.002966i,0.041377-0.0081072i
-0.53004-0.47364i,-0.78913-0.55707i,-0.69724-0.33115i,-0.32572-0.052707i,-0.056719+0.034695i,-0.0040795+0.017349i,-0.0013624+0.00044346i,0.0039989-0.015271i,-0.010951-0.0168i,-0.01591-0.010758i,-0.0088378-0.015925i,-0.0012672-0.030505i,-0.0014528-0.049025i,-0.017893-0.054436i,-0.026299-0.036742i,-0.0053852-0.013097i,0.024625-0.0037274i,0.025642-0.0030473i,-0.0072584+0.00802i,-0.038046+0.027449i,-0.047635+0.030221i,-0.049827+0.017948i,-0.047467+0.017639i
0.44386-0.60864i,0.55702-0.90327i,0.31812-0.84831i,-0.060875-0.51675i,-0.22131-0.23717i,-0.17631-0.1248i,-0.10831-0.066853i,-0.063457-0.013263i,-0.025496+0.0042242i,-0.0069619-0.013991i,-0.015914-0.02531i,-0.029273-0.0053241i,-0.016764+0.020295i,0.013139+0.019765i,0.02072-0.0085107i,-0.010265-0.039605i,-0.047361-0.048206i,-0.047452-0.039481i,-0.012692-0.041039i,0.016273-0.057773i,0.023862-0.059455i,0.024623-0.037729i,0.026591-0.023307i
0.58393+0.26161i,0.83178+0.27677i,0.76263+0.046558i,0.49136-0.19784i,0.26708-0.21077i,0.14093-0.098788i,0.055719-0.013572i,0.018791+0.025087i,0.02014+0.019512i,0.014887+0.0020034i,0.0071903+0.00059927i,0.010533-0.00019831i,0.007342-0.0039817i,-0.0065163+0.0051744i,-0.0095182+0.02922i,0.0065672+0.056163i,0.022897+0.06591i,0.017752+0.05362i,-0.0032629+0.038688i,-0.016606+0.029757i,-0.016423+0.015759i,-0.014725-0.0025338i,-0.01807-0.0065284i
-0.099481+0.6169i,-0.098568+0.91934i,0.022663+0.91353i,0.16311+0.65982i,0.20044+0.40254i,0.18229+0.2278i,0.15883+0.097855i,0.11195+0.013841i,0.05908-0.016646i,0.02583-0.020685i,0.00017556-0.022151i,-0.025767-0.01721i,-0.03591-0.0028178i,-0.026946+0.0030174i,-0.015223-0.011055i,-0.0087131-0.035069i,0.00033173-0.047158i,0.020309-0.03463i,0.04962-0.016001i,0.06879-0.0080434i,0.065664-0.0011186i,0.052864+0.0044111i,0.042219-0.0017871i
-0.61206+0.069588i,-0.8909+0.11622i,-0.80921+0.15575i,-0.4838+0.15081i,-0.23385+0.0794i,-0.11718+0.019457i,-0.043672+0.003725i,-0.0051569-0.0049329i,0.0002575-0.00032189i,0.014024+0.01284i,0.034757+0.0059743i,0.035002-0.01414i,0.019056-0.024591i,0.0041024-0.019286i,1.9369e-05+0.0032669i,0.0045574+0.028792i,0.00041206+0.037872i,-0.022811+0.03518i,-0.0554+0.042597i,-0.074233+0.058643i,-0.068527+0.06036i,-0.053018+0.050676i,-0.042333+0.044535i
-0.15347-0.57892i,-0.19164-0.82411i,-0.1823-0.71533i,-0.1916-0.402i,-0.19238-0.18486i,-0.14117-0.08667i,-0.080643-0.033226i,-0.048946+0.0016357i,-0.029665+0.021864i,-0.024963+0.013687i,-0.034322-0.0015793i,-0.026032-0.0047331i,-0.0045355-0.011546i,0.0040236-0.024616i,-0.00091443-0.036552i,-0.0051991-0.038901i,0.0014137-0.028745i,0.014764-0.023975i,0.025412-0.041785i,0.02854-0.065055i,0.026331-0.065533i,0.027343-0.049869i,0.032532-0.035716i
0.48206-0.28593i,0.65169-0.42594i,0.51256-0.44489i,0.26092-0.35698i,0.13448-0.22046i,0.058918-0.079443i,-0.0071494+0.026299i,-0.018302+0.05151i,-0.010074+0.014683i,-0.010076-0.019362i,-0.0089266-0.022831i,-0.0040452-0.0029686i,0.0024891+0.016637i,0.011208+0.023819i,0.012345+0.027582i,-0.0041111+0.029338i,-0.025849+0.022237i,-0.036511+0.013574i,-0.032568+0.015453i,-0.025582+0.017207i,-0.026599+0.0063468i,-0.036785-0.004271i,-0.047205-0.0077418i
0.37435+0.39452i,0.55792+0.54469i,0.56154+0.4416i,0.42508+0.23552i,0.2926+0.13181i,0.19936+0.069335i,0.11796+0.0083796i,0.062183-0.0064959i,0.036661-0.00486i,0.025654-0.0085664i,0.017838-0.013417i,0.0038231-0.020115i,-0.01047-0.015983i,-0.016506-0.0025319i,-0.013978+0.0024939i,0.0033284-0.002651i,0.029797-0.0022964i,0.049297+0.0030291i,0.059753+0.0024276i,0.067406-0.0027268i,0.072902-0.0014444i,0.07346+0.0039292i,0.063281+0.009841i
-0.3119+0.46051i,-0.46362+0.70153i,-0.41331+0.71186i,-0.23382+0.52073i,-0.1229+0.30243i,-0.065586+0.15422i,0.0033254+0.066108i,0.038844+0.0087824i,0.033429-0.0046844i,0.027685+0.0066128i,0.020619+0.0039238i,0.00037394-0.0017527i,-0.016412+0.0009722i,-0.019425+0.0024752i,-0.015219-0.0021271i,-0.017487-0.014003i,-0.03197-0.023676i,-0.044031-0.014403i,-0.047009+0.014488i,-0.045586+0.038684i,-0.044947+0.037415i,-0.044223+0.021192i,-0.035497+0.0024226i
-0.4534-0.21417i,-0.63502-0.35177i,-0.58631-0.36644i,-0.44556-0.2648i,-0.32451-0.16314i,-0.19837-0.10027i,-0.11111-0.056739i,-0.069367-0.013647i,-0.034489+0.017794i,-0.013908+0.023887i,-0.0053075+0.018118i,0.010056+0.00081503i,0.020699-0.020989i,0.01581-0.027187i,0.010275-0.013954i,0.017485+0.013893i,0.028717+0.038261i,0.026922+0.030604i,0.0073149-0.0046923i,-0.0084433-0.025785i,-0.0020476-0.01273i,0.010091+0.0093354i,0.010426+0.023676i
0.084716-0.46089i,0.1465-0.62202i,0.18692-0.52636i,0.21027-0.34024i,0.18808-0.19218i,0.10361-0.045208i,0.035825+0.04752i,0.0020123+0.046878i,-0.026167+0.017585i,-0.037711-0.0033017i,-0.034644-0.0095362i,-0.02312+0.00039646i,-0.010242+0.0070014i,-0.0035818+0.003483i,-0.0017716-0.0061955i,-0.0080859-0.020132i,-0.017588-0.03232i,-0.01525-0.029065i,-0.00038741-0.011642i,0.0075481-0.0046741i,-0.0019687-0.014141i,-0.010342-0.026152i,-0.0065795-0.034175i
0.44403-0.054574i,0.59356-0.11189i,0.45347-0.12525i,0.21328-0.047068i,0.096153+0.02678i,0.035644+0.0028621i,-0.016314-0.0081689i,-0.0064421+0.019693i,0.019886+0.013301i,0.024028-0.0012604i,0.023966-0.0038605i,0.015595-0.0042943i,0.007586+0.0020362i,0.0098129+0.0096648i,0.010053+0.01706i,0.0062968+0.02438i,0.0052524+0.02706i,0.0060348+0.021256i,0.0090548+0.0087654i,0.015527+0.0010081i,0.015382+0.0030792i,0.0024112+0.011977i,-0.012915+0.022764i
0.14791+0.4695i,0.25238+0.70688i,0.30515+0.64339i,0.24723+0.35809i,0.13379+0.14448i,0.097374+0.053101i,0.10267-0.011291i,0.068069-0.03937i,0.029498-0.021821i,0.0081695-0.0026087i,-0.010088+0.00043154i,-0.020472-0.0019477i,-0.022858-0.00116i,-0.025021+0.00046488i,-0.02453-0.0046709i,-0.016413-0.016858i,-0.0062042-0.023442i,-0.00028678-0.012404i,0.00033597+0.0093121i,-0.001892+0.022183i,0.0032037+0.014986i,0.019043-0.0021049i,0.032722-0.014753i
-0.44118+0.1864i,-0.70853+0.26627i,-0.73647+0.2825i,-0.54803+0.25131i,-0.35824+0.18143i,-0.22638+0.10966i,-0.13066+0.062453i,-0.068169+0.031031i,-0.029112+0.013917i,-0.0072113+0.0051611i,0.00074743-0.0002786i,0.0030487-0.0042549i,0.0048354-0.0078803i,0.005481-0.0089492i,0.0052864-0.0023761i,0.0035804+0.012566i,0.00061128+0.024251i,-0.0034355+0.017573i,-0.012229-0.0033353i,-0.018622-0.014706i,-0.019969-0.0079335i,-0.028961+0.00012065i,-0.03921+0.0014875i
-0.19934-0.36816i,-0.22108-0.59724i,-0.09701-0.64952i,0.041947-0.55086i,0.084224-0.39467i,0.06615-0.20403i,0.034438-0.070103i,-0.0040358-0.015722i,-0.025765+0.0080631i,-0.022833+0.011044i,-0.013503+0.0049279i,-0.00080734-0.00049427i,0.0065134-0.0055434i,0.0051133-0.0053553i,0.0074164-0.0069541i,0.010961-0.013282i,0.0088351-0.014883i,0.0059776-0.0096842i,0.0081229-0.0055289i,0.008051-0.005232i,0.0068304-0.00038896i,0.019287+0.0089139i,0.033143+0.01322i
0.2552-0.26302i,0.35748-0.33179i,0.29582-0.1691i,0.20084+0.082295i,0.14616+0.16728i,0.054973+0.11702i,-0.00032405+0.086745i,0.022648+0.060504i,0.032209+0.013035i,0.019634-0.0071289i,0.01291-0.0063494i,0.0012615-0.00033124i,-0.0042956+0.0079249i,-0.00077634+0.0078907i,-0.0030932+0.0077279i,-0.011888+0.0083739i,-0.018205+0.004008i,-0.015041+0.0034852i,-0.0010925+0.0097511i,0.014736+0.010183i,0.013596-0.0009629i,-0.0068622-0.012086i,-0.022911-0.013493i
0.33807+0.19821i,0.50124+0.2519i,0.413+0.12291i,0.13841-0.047813i,-0.028492-0.10187i,-0.013637-0.10604i,0.0086233-0.10311i,-0.0052807-0.058025i,-0.0022108-0.011659i,-0.0028725+0.0065424i,-0.010161+0.0076256i,-0.010819-0.0037452i,-0.0096308-0.0094511i,-0.0081657-0.0046402i,-0.0046685+0.00067218i,0.0045548+0.004336i,0.013909+0.0057821i,0.014033+0.0048847i,0.004602+0.0010194i,-0.0087867-0.0043698i,-0.015357-0.0035998i,-0.0081681+0.004563i,0.0027069+0.010208i
-0.17989+0.38241i,-0.2821+0.62458i,-0.23064+0.67159i,-0.071782+0.50874i,0.00863+0.32292i,0.005737+0.21614i,0.0099817+0.12591i,0.0047649+0.042775i,-0.010034+0.009015i,-0.012306-0.0028269i,-0.011005-0.011205i,-0.0071958-0.0071035i,-0.0033991-0.0020429i,-0.006579-0.0014261i,-0.0111-0.00018103i,-0.012047+0.00029673i,-0.0076186-0.0011685i,-0.0021561+0.00039155i,-0.0008176+0.0064949i,0.0060387+0.01356i,0.016414+0.011842i,0.01539-0.0019345i,0.0062445-0.013841i
-0.34387-0.1767i,-0.52729-0.36519i,-0.53783-0.47683i,-0.41107-0.4245i,-0.26959-0.30709i,-0.16525-0.1916i,-0.097764-0.086358i,-0.0524-0.018753i,-0.021096+0.0059455i,-0.0010441+0.0075271i,0.011632+0.0038388i,0.016586-0.0007335i,0.016946-0.00057164i,0.019353-0.00039985i,0.020914-0.005501i,0.015095-0.0065766i,0.0040804-0.0012824i,-0.0019694-7.0335e-05i,-0.0038409-0.01321i,-0.013832-0.028201i,-0.025501-0.026906i,-0.024616-0.013255i,-0.016473-0.001252i
0.11219-0.2865i,0.26899-0.37699i,0.40267-0.25779i,0.43624-0.073093i,0.37147+0.0031332i,0.23397+0.020576i,0.12447+0.032717i,0.076611+0.015626i,0.040264-0.0097061i,0.017048-0.012355i,0.010869-0.0055698i,0.0024438-0.00092254i,-0.0065425+0.001858i,-0.010114+0.0026859i,-0.011206+0.0024835i,-0.01095+0.00032598i,-0.01015-0.0033129i,-0.0074292+0.0016922i,0.003303+0.017684i,0.020526+0.031392i,0.033382+0.03505i,0.037363+0.02981i,0.033468+0.020409i
0.25561+0.022764i,0.30531+0.055501i,0.09824+0.057418i,-0.18008+0.061589i,-0.25327+0.067002i,-0.18426+0.018286i,-0.12005-0.011068i,-0.062386+0.0095267i,-0.014799+0.018777i,-0.0015491+0.016533i,-0.0031838+0.013596i,-0.0078054+0.0036789i,-0.011647-0.0036112i,-0.0078543-0.0045692i,-0.00016384+0.00040443i,0.0058219+0.0079871i,0.006988+0.011171i,0.0043421+0.0076551i,-0.00075804-0.0045443i,-0.0096288-0.024415i,-0.022743-0.041056i,-0.032924-0.041645i,-0.030753-0.030546i
0.043902+0.2795i,0.10454+0.41592i,0.21109+0.3294i,0.26808+0.10737i,0.22161+0.0046028i,0.15486+0.015326i,0.096209+0.0044151i,0.028417-0.01144i,-0.010361+0.0026629i,-0.018123+0.0098459i,-0.016941+0.0061523i,-0.0044088+0.0024732i,0.0050402-0.001124i,0.0025328+0.002073i,-0.0003258+0.0062716i,0.001833+0.0040727i,0.0058641-0.0017903i,0.00525-0.0039366i,0.0014423+0.0055076i,0.0036703+0.024857i,0.013302+0.041111i,0.019453+0.043729i,0.01461+0.033732i
-0.28706+0.040963i,-0.49703+0.056054i,-0.54943+0.088312i,-0.427+0.12198i,-0.28503+0.10415i,-0.19275+0.061928i,-0.10654+0.044792i,-0.029302+0.030684i,0.0017442+0.010966i,0.0039056+0.00057106i,0.0024487-0.0019628i,0.0022237+0.0015204i,0.0055783+0.0055907i,0.0086028+0.00064873i,0.0045182-0.0079822i,-0.0034386-0.0099594i,-0.0082658-0.0063921i,-0.0072942-0.0031794i,-0.0041045-0.0073441i,-0.0029859-0.020747i,-0.0033826-0.034911i,-0.0041704-0.039439i,-0.0043308-0.031983i
-0.011504-0.24685i,0.069788-0.42913i,0.1898-0.49118i,0.24408-0.42401i,0.22366-0.31813i,0.16297-0.21428i,0.088746-0.11902i,0.040705-0.056606i,0.02043-0.032565i,0.011195-0.023538i,0.0059204-0.016857i,-0.00036259-0.010532i,-0.0055871-0.0028741i,-0.0052888+0.0018798i,-0.0018411+0.0026769i,-0.00037375+0.003802i,-0.0020013+0.003526i,-0.0047659+0.00067694i,-0.0047351+0.0010314i,-0.0054951+0.012146i,-0.0093966+0.028008i,-0.0089768+0.033067i,-0.0031512+0.023274i
0.16663-0.013814i,0.22416+0.076007i,0.13317+0.2246i,-0.010586+0.31991i,-0.067309+0.30681i,-0.068658+0.21101i,-0.05578+0.11838i,-0.025033+0.066538i,0.00099949+0.032904i,0.0070496+0.013215i,0.002985+0.0050116i,-0.0062974+0.00014195i,-0.01582-0.0034988i,-0.016443-0.0033409i,-0.0097782-0.00094869i,-0.0032652+0.00050943i,0.0018179+0.0043864i,0.0041351+0.011534i,0.0031003+0.015699i,0.004847+0.0080716i,0.011287-0.0085102i,0.013911-0.017887i,0.011889-0.013207i
0.061571+0.11399i,0.072311+0.11175i,0.05436-0.048799i,0.017383-0.2216i,-0.015258-0.22554i,-0.004823-0.14657i,0.0026006-0.08835i,-0.016765-0.033024i,-0.022368+0.010303i,-0.016568+0.020209i,-0.01003+0.015076i,0.0025135+0.0058477i,0.012802-0.0031047i,0.016692-0.0032786i,0.01773+0.0018607i,0.016218+0.0050147i,0.011636+0.002965i,0.005692-0.0053674i,0.00025688-0.015789i,-0.0070477-0.019503i,-0.016299-0.014044i,-0.021212-0.0070088i,-0.01933-0.0035506i
-0.1107+0.10659i,-0.15618+0.20427i,-0.081322+0.29811i,0.039402+0.31552i,0.066377+0.2417i,0.038429+0.15982i,0.035708+0.093288i,0.038639+0.03337i,0.021957+0.0028148i,0.0033283-0.0040269i,-0.0087197-0.0032492i,-0.011554+0.0035367i,-0.0055663+0.0080563i,-0.0035769+0.005867i,-0.0094176+0.0010975i,-0.013125-0.0034511i,-0.0098409-0.0042539i,-0.0055857+0.00076462i,-0.0015663+0.0096588i,0.0076151+0.017305i,0.021203+0.021594i,0.027552+0.023278i,0.021406+0.020933i
