2.4199e-05-0.0006671i,0.00014922-0.001781i,-0.00013845-0.0021599i,-0.00037367-0.0020725i,-0.0013945-0.001756i,-0.0011055-0.00094054i,0.00025391-0.00027582i,0.00034257-0.0001489i,-3.9772e-05-0.00013134i,0.00026673-0.00013282i,0.00033096-0.00067967i,5.2272e-05-0.0011083i,-0.0001127-2.5226e-05i,-0.00018575+0.0007633i,-0.00010375+0.00064254i,-0.00046884+0.0010389i,-0.00077194+0.001201i,-0.00050544+0.00039969i,8.9983e-05-0.00064953i,0.00054519-0.0012186i,-0.00022271-0.0010421i,-0.00041465-0.00081679i,0.0003909-0.00059033i
-0.64975+0.2275i,-0.4574+0.27241i,-0.29916+0.15289i,-0.23354-0.039408i,-0.11407-0.16907i,-0.0052438-0.20466i,0.024167-0.11413i,0.039108+0.013154i,0.028016+0.066102i,-0.022108+0.084579i,-0.048145+0.090523i,-0.055474+0.060971i,-0.062989+0.038099i,-0.039644+0.041773i,-0.0039287+0.035164i,0.0038146+0.012738i,0.00086877-0.0016529i,0.0050936+0.00053918i,0.0098696+0.010502i,0.0081714+0.020516i,0.0029439+0.027936i,0.0011207+0.030413i,0.0085574+0.025844i
-0.62899-0.48434i,-0.5853-0.36506i,-0.35692-0.24118i,-0.11762-0.14234i,0.0051963-0.055876i,0.04713-0.023019i,0.057228-0.032704i,0.07186-0.020872i,0.095261+0.0073419i,0.07695-0.017086i,0.0049428-0.082738i,-0.066554-0.118i,-0.081372-0.10596i,-0.050915-0.072663i,-0.021587-0.050085i,-0.0161-0.046122i,-0.022868-0.0394i,-0.022297-0.022639i,-0.023426-0.012324i,-0.032299-0.012258i,-0.033855-0.015769i,-0.031757-0.016505i,-0.031684-0.0072785i
0.17328-0.69997i,0.22714-0.44948i,0.28954-0.063775i,0.23262+0.15386i,0.061111+0.18347i,-0.057268+0.16157i,-0.049611+0.10605i,-0.03239+0.029761i,-0.053471-0.019379i,-0.05768-0.054467i,-0.058196-0.091738i,-0.074936-0.097608i,-0.082699-0.062094i,-0.07348-0.013167i,-0.060451+0.023123i,-0.047842+0.036252i,-0.034307+0.029385i,-0.020426+0.010659i,-0.0035152-0.0032741i,0.017419-0.0075433i,0.030512-0.0096726i,0.025617-0.0088839i,0.0077763+0.0043936i
0.58012-0.18248i,0.35606-0.048971i,0.086732-0.0075878i,-0.062749-0.14623i,-0.077047-0.23416i,-0.0083057-0.12197i,0.057439+0.083085i,0.084786+0.20441i,0.067457+0.18879i,0.013319+0.10827i,-0.015907+0.029201i,-0.029744-0.047561i,-0.060231-0.075105i,-0.063963-0.036548i,-0.031501-0.0063147i,-0.0042012-0.011512i,0.0009723-0.025063i,-0.0075588-0.031688i,-0.018592-0.02576i,-0.026722-0.0055547i,-0.023569+0.017128i,-0.013556+0.024624i,-0.010498+0.01952i
0.42075+0.17415i,0.15284-0.049356i,-0.026097-0.16853i,0.039446-0.13768i,0.13147-0.11706i,0.099457-0.14927i,-0.0075802-0.13492i,-0.080319-0.03633i,-0.087928+0.054343i,-0.038438+0.065844i,0.044998+0.011406i,0.1022-0.082542i,0.089365-0.1469i,0.049102-0.11854i,0.035732-0.064552i,0.037012-0.055775i,0.028711-0.06037i,0.014767-0.054638i,0.0073753-0.048112i,0.0079546-0.041695i,-0.0038579-0.02757i,-0.019917+0.0024336i,-0.022394+0.027215i
0.23531+0.50502i,0.31963+0.26153i,0.20613+0.15943i,0.01532+0.29221i,-0.11965+0.38757i,-0.20002+0.32355i,-0.19658+0.17489i,-0.1398+0.067894i,-0.0625+0.04991i,0.023425+0.044272i,0.073434+0.016229i,0.1063-0.0027631i,0.10573-0.024468i,0.04-0.040185i,-0.01564-0.013195i,-0.0083376+0.031412i,0.020966+0.051485i,0.02988+0.049015i,0.01984+0.045086i,0.0073836+0.031133i,-0.011727+0.0037152i,-0.029659-0.0082635i,-0.022674+0.00091621i
-0.43622+0.59129i,-0.2111+0.59163i,0.0070109+0.26642i,0.14803-0.20734i,0.23924-0.49912i,0.21742-0.42823i,0.082732-0.12877i,-0.095336+0.049714i,-0.25388+0.020735i,-0.267+0.0068519i,-0.1057+0.064056i,0.059423+0.06751i,0.11056-0.0061575i,0.066909-0.083257i,-0.00060769-0.089537i,-0.02939-0.04721i,-0.018687-0.030727i,0.0083087-0.044432i,0.03499-0.049016i,0.049877-0.030981i,0.052255-0.021062i,0.036928-0.028372i,0.017516-0.02381i
-0.71352-0.25972i,-0.62821-0.2107i,-0.39827-0.11913i,-0.28996+0.10275i,-0.31091+0.36738i,-0.25059+0.36809i,-0.12488-0.010434i,-0.081519-0.38523i,-0.046901-0.38632i,-0.01908-0.14305i,-0.087721+0.11184i,-0.10078+0.29148i,0.034614+0.30498i,0.16324+0.17957i,0.15889+0.061862i,0.095062+0.022567i,0.066912+0.014972i,0.035255+0.013723i,-0.020265+0.053334i,-0.039935+0.10961i,-0.013129+0.11093i,0.0088379+0.064574i,0.010362+0.033658i
0.014003-0.66568i,0.16788-0.52359i,0.27153-0.31519i,0.24372-0.15007i,0.20959-0.092972i,0.21426-0.13971i,0.24509-0.12582i,0.33261+0.0090049i,0.33928+0.11925i,0.17254+0.16831i,-0.011704+0.24005i,-0.077061+0.32244i,-0.047782+0.31653i,-0.027372+0.22133i,-0.041079+0.12303i,-0.018+0.05292i,0.035703-0.027954i,0.033976-0.10027i,-0.033749-0.11677i,-0.10103-0.085835i,-0.10112-0.02496i,-0.04184+0.027433i,0.00032486+0.052301i
0.95594+6.8118i,3.412+6.2748i,6.3344+5.2628i,6.7919+1.8473i,5.2297-1.5577i,2.5304-3.0263i,0.13622-1.7956i,-0.58888+0.25632i,0.22361+1.2221i,1.1322+0.6797i,0.86843-0.30952i,-0.041706-0.69061i,-0.81207-0.49128i,-1.2611+0.049431i,-1.1371+0.58444i,-0.55534+0.74762i,0.0085684+0.48336i,0.18448+0.036855i,-0.0041169-0.23446i,-0.27113-0.22682i,-0.40558-0.1127i,-0.34438-0.017837i,-0.15192-0.029013i
0.3871-0.021105i,0.048933-0.15126i,-0.13289+0.0076166i,0.06715+0.29242i,0.30706+0.40333i,0.25666+0.31394i,0.022079+0.1701i,-0.041436+0.1077i,0.15632+0.072015i,0.36164+0.025189i,0.42959+0.041892i,0.41494+0.038309i,0.31006-0.027796i,0.13749-0.034036i,0.0077908+0.039529i,-0.036462+0.083077i,-0.07107+0.06366i,-0.098609+0.054227i,-0.05463+0.062105i,0.012454+0.05323i,0.047942+0.037524i,0.058902-4.6967e-05i,0.041457-0.050986i
0.46687+0.43259i,0.61818+0.078093i,0.45774-0.25807i,0.08494-0.39965i,-0.18942-0.4226i,-0.20349-0.34919i,-0.041735-0.23474i,0.056215-0.22584i,0.0042465-0.27242i,-0.041847-0.24306i,-0.0027889-0.16803i,0.050337-0.10347i,0.042983-0.061332i,-0.0082887-0.024969i,-0.029382+5.0557e-05i,-0.020514-0.00064648i,-0.01782+0.006456i,-0.0056321+0.026735i,0.0035468+0.024591i,-0.010811+0.010051i,-0.021024+0.00093279i,-0.015507-0.014505i,-0.013489-0.038184i
-0.3943+0.64286i,-0.23198+0.6819i,-0.088809+0.48589i,-0.017993+0.21804i,0.034457+0.038362i,0.025412-0.059739i,-0.11289-0.088599i,-0.27083-0.034315i,-0.3137+0.038046i,-0.24669+0.1171i,-0.079318+0.1819i,0.093004+0.14213i,0.13299+0.054851i,0.087323+0.021914i,0.057023+0.015612i,0.044773+0.011738i,0.036457+0.027753i,0.04666+0.028648i,0.073902-0.017264i,0.079921-0.073104i,0.043811-0.08153i,0.00032888-0.04149i,-0.024729-0.0026505i
-0.67905-0.24269i,-0.68994-0.28525i,-0.6041-0.25539i,-0.4766-0.077481i,-0.34982+0.10611i,-0.23771+0.18331i,-0.066898+0.21523i,0.1324+0.22298i,0.22596+0.22077i,0.19041+0.16995i,0.056236+0.052269i,-0.091872-0.00082911i,-0.12533+0.033473i,-0.070153+0.037974i,-0.040674+0.015074i,-0.034439+0.031494i,0.00096441+0.045888i,0.028344+0.011288i,0.0017363-0.022031i,-0.039186-0.0033478i,-0.0381+0.034824i,-0.0032839+0.04035i,0.020854+0.020806i
-0.0040383-0.49684i,0.18973-0.31327i,0.34162-0.080483i,0.28717+0.12378i,0.18196+0.25993i,0.14661+0.22272i,0.091674+0.036369i,-0.0079849-0.13961i,-0.069716-0.23451i,-0.11896-0.24437i,-0.19501-0.14544i,-0.20745+0.021172i,-0.11446+0.1182i,-0.015567+0.10605i,0.013649+0.075014i,-0.01034+0.079359i,-0.040354+0.11199i,-0.035585+0.15564i,0.014912+0.17652i,0.074189+0.14395i,0.095355+0.072045i,0.069996+0.0075172i,0.037345-0.025978i
0.28177-0.24161i,0.11799+0.032188i,0.051062+0.19069i,0.025346-0.01318i,-0.096516-0.27635i,-0.23429-0.27525i,-0.2502-0.1126i,-0.17887-0.027201i,-0.13532-0.014686i,-0.071716+0.048929i,0.073389+0.075407i,0.13092-0.022543i,0.032539-0.08342i,-0.03843-0.049303i,-0.00067327-0.032077i,0.06312-0.054674i,0.1069-0.074875i,0.12654-0.10565i,0.091653-0.15437i,0.0044376-0.16814i,-0.064356-0.11479i,-0.069853-0.043335i,-0.045424-0.011835i
0.41764-0.017502i,0.10445-0.16576i,-0.17225-0.093722i,-0.15582+0.1672i,0.016774+0.35344i,0.15587+0.27708i,0.17466+0.058706i,0.11613-0.006977i,0.11833+0.093517i,0.15395+0.10691i,0.079867+0.021685i,-0.035041+0.024497i,-0.044985+0.09095i,0.014864+0.090334i,0.046907+0.036181i,0.043067+0.0058333i,0.024434-0.00067616i,-0.018822-0.012952i,-0.065633-0.011329i,-0.072154+0.017591i,-0.044798+0.044837i,-0.015995+0.049941i,-0.0030419+0.047018i
0.28759+0.41871i,0.44082+0.093573i,0.50634-0.24987i,0.5009-0.438i,0.41177-0.49586i,0.21362-0.41401i,0.039054-0.23887i,0.039751-0.13949i,0.089536-0.16736i,0.044849-0.1576i,0.027599-0.046658i,0.11123+0.031067i,0.17649+0.011438i,0.15681-0.030422i,0.10872-0.021845i,0.083224+1.6066e-05i,0.0727-0.00057888i,0.076345+0.01722i,0.10071+0.046886i,0.10956+0.038708i,0.078589+0.0037704i,0.037211-0.017798i,0.017353-0.022688i
-0.36832+0.47443i,-0.31214+0.48853i,-0.44557+0.42692i,-0.66142+0.40465i,-0.67248+0.40603i,-0.44037+0.35721i,-0.17285+0.22652i,-0.11259+0.096157i,-0.16675+0.074134i,-0.12622+0.084273i,-0.060462+0.029167i,-0.072994-0.02972i,-0.11545-0.034771i,-0.13326-0.0067819i,-0.12246+0.012921i,-0.10873+0.015282i,-0.097346+0.023892i,-0.065317+0.027243i,-0.033426+0.011976i,-0.025835-0.0021885i,-0.02345-0.0013236i,-0.012383+0.0038956i,-0.0055456-0.0030336i
-0.55687-0.093566i,-0.35539+0.01435i,0.04879-0.024469i,0.41142-0.14878i,0.55587-0.2289i,0.44641-0.23991i,0.22559-0.1531i,0.16438-0.02422i,0.21643-0.0041786i,0.15854-0.061759i,0.051195-0.055952i,0.0023743-0.00056057i,-0.01391+0.032479i,-0.014057+0.025985i,-0.014393-0.00086215i,-0.021084-0.013059i,-0.019761-0.0089375i,-0.02594-0.0038775i,-0.038875-0.00071269i,-0.030051-0.0018611i,-0.0051366-0.0060868i,0.0070579-0.0054743i,0.0068369+0.0051545i
-0.14477-0.61706i,-0.18369-0.49266i,-0.18086-0.27167i,-0.23969-0.084544i,-0.29451+0.033378i,-0.22943+0.068754i,-0.10671+0.0054223i,-0.083282-0.088125i,-0.12152-0.070967i,-0.07184+0.030779i,0.021014+0.065009i,0.058163+0.045885i,0.086504+0.043965i,0.12412+0.030048i,0.11936+0.0043487i,0.085617-0.0032788i,0.062323-0.0071061i,0.058086-0.019308i,0.062494-0.034576i,0.05383-0.043643i,0.025583-0.037813i,0.00038675-0.02358i,-0.0018858-0.014133i
0.54247-0.2993i,0.45699-0.17558i,0.30996+0.057963i,0.19119+0.20501i,0.10734+0.18762i,0.034258+0.055696i,-0.010741-0.04124i,0.0011222-0.010638i,0.045658+0.048533i,0.067989+0.042947i,0.061128+0.016333i,0.042968-0.003644i,-0.00024412-0.016479i,-0.049171+0.0012892i,-0.058188+0.023725i,-0.042347+0.01789i,-0.02861+0.011818i,-0.017805+0.015628i,-0.012325+0.026378i,-0.012406+0.043726i,-0.011301+0.048809i,-0.0069917+0.039956i,-0.004245+0.025888i
0.35423+0.30539i,0.13524+0.17909i,-0.046301-0.088277i,-0.024985-0.40476i,0.076352-0.52503i,0.1236-0.35568i,0.08881-0.092333i,0.046378+0.011095i,1.8525e-05-0.041854i,-0.073452-0.059969i,-0.1053-0.0026635i,-0.092866+0.04108i,-0.070816+0.056397i,-0.024585+0.047508i,0.029043+0.017369i,0.064684-0.006572i,0.075208-0.016251i,0.054693-0.0096487i,0.01663-0.0015751i,-0.012026-0.0065788i,-0.018395-0.010779i,-0.012138-0.011629i,-0.0087443-0.011319i
-0.022373+0.38781i,-0.046199+0.21187i,-0.08592+0.22089i,-0.07022+0.41098i,-0.058791+0.45982i,-0.057128+0.32001i,-0.015625+0.12827i,-0.012347+0.031968i,-0.035362+0.06759i,-0.0038662+0.10342i,0.043931+0.077487i,0.079865+0.03555i,0.085213-0.0048495i,0.038826-0.019797i,-0.00637-0.0020773i,-0.023846+0.0060222i,-0.043647-0.0041079i,-0.052531-0.0082734i,-0.030501-0.010392i,-0.004729-0.0176i,0.0042363-0.016631i,0.0040532-0.0064487i,0.0050085+1.7376e-05i
-0.26128+0.27218i,0.027481+0.16434i,0.15105-0.056084i,0.051058-0.14299i,-0.0070343-0.062132i,0.018606+0.01215i,0.004945+0.018252i,-0.0073333-0.0023447i,0.024193-0.048418i,0.023689-0.098924i,-0.02891-0.10146i,-0.069455-0.055947i,-0.053196-0.0095076i,-0.0075384+0.0068218i,0.014864+0.011344i,0.019901+0.036271i,0.037475+0.063731i,0.051959+0.055557i,0.047384+0.025384i,0.034676+0.0051991i,0.018697-0.0040425i,0.0038362-0.002709i,-0.0034724+0.008803i
-0.49102-0.16532i,-0.38695+0.046381i,-0.14376+0.10156i,0.020836-0.059788i,0.048095-0.24682i,0.026935-0.28744i,0.03309-0.17994i,0.051367-0.086034i,0.021972-0.070782i,-0.015703-0.028601i,0.012646+0.04542i,0.055766+0.076795i,0.039876+0.06636i,-0.014766+0.054715i,-0.059239+0.049533i,-0.07882+0.023133i,-0.081762-0.015639i,-0.065923-0.018127i,-0.035138+0.011886i,-0.0083452+0.033765i,0.0091654+0.031136i,0.015244+0.011194i,0.014355-0.0081367i
0.0015554-0.61706i,-0.13586-0.54128i,-0.18795-0.31752i,-0.16835-0.058535i,-0.15283+0.16427i,-0.14487+0.2568i,-0.11234+0.17755i,-0.092213+0.067786i,-0.085291+0.055023i,-0.070072+0.068275i,-0.058267+0.032134i,-0.047189-0.020056i,-0.033757-0.041129i,-0.020514-0.040931i,-0.0058809-0.045059i,-0.0011725-0.024954i,-0.0021111+0.022439i,-0.0037077+0.042924i,-0.011757+0.020652i,-0.020284-0.012961i,-0.025153-0.027843i,-0.02611-0.025174i,-0.025507-0.024811i
0.54885-0.15214i,0.42745-0.12882i,0.25038-0.024157i,0.16729-0.010355i,0.16927-0.12013i,0.15095-0.18821i,0.08651-0.12244i,0.057981-0.047288i,0.067002-0.065386i,0.048399-0.086948i,0.024311-0.038446i,0.023722+0.0198i,0.038743+0.035062i,0.055034+0.020469i,0.055283+0.0059023i,0.049657-0.01043i,0.044874-0.036092i,0.031417-0.049336i,0.024221-0.039748i,0.028491-0.021257i,0.02795-0.00093097i,0.02403+0.017943i,0.02488+0.030728i
0.36291+0.4282i,0.27079+0.32295i,0.014762+0.18725i,-0.24602+0.1404i,-0.38157+0.18466i,-0.32536+0.1957i,-0.16536+0.11465i,-0.079535+0.036994i,-0.072962+0.033406i,-0.05569+0.039319i,-0.046921+0.01003i,-0.059225-0.00042527i,-0.063016+0.0288i,-0.049057+0.060822i,-0.015452+0.072479i,0.0064299+0.066054i,-0.0054771+0.053342i,-0.020686+0.045916i,-0.015239+0.047882i,0.00088911+0.047857i,0.0048802+0.034645i,-0.003812+0.014511i,-0.01024-0.00457i
-0.25068+0.49132i,-0.11927+0.39594i,0.1104+0.16007i,0.34619-0.039327i,0.46527-0.13463i,0.39198-0.13102i,0.2061-0.051247i,0.097869+0.031344i,0.089861+0.036116i,0.055814-0.0063085i,-0.0042435-0.0009404i,-0.025028+0.027563i,-0.022685+0.014129i,-0.032556-0.021998i,-0.053856-0.039197i,-0.057744-0.032222i,-0.037744-0.012642i,-0.018415+0.0031484i,-0.022623+0.0059627i,-0.043336+0.0068901i,-0.044933+0.010221i,-0.027753+0.0088548i,-0.018447+0.010106i
-0.52198-0.15888i,-0.45592-0.19993i,-0.31515-0.1667i,-0.22837-0.058172i,-0.21058+0.011086i,-0.20313+0.018785i,-0.1662+0.0040367i,-0.12967-0.020488i,-0.098643-0.021814i,-0.039662-0.0096691i,0.016652-0.024868i,0.036768-0.033619i,0.044259-0.01354i,0.054603+0.0075577i,0.05959+0.014381i,0.051048+0.0035756i,0.037205-0.018795i,0.026833-0.042144i,0.020538-0.058208i,0.026789-0.06043i,0.035194-0.055981i,0.030188-0.051614i,0.018745-0.042186i
-0.01104-0.41798i,0.073712-0.28887i,0.088341-0.12102i,-0.0024936-0.011835i,-0.079659+0.043958i,-0.096331+0.04621i,-0.061985+0.021226i,0.0042146-0.00089895i,0.026544-0.035392i,-0.0039968-0.05605i,-0.017927-0.053669i,-0.0050944-0.053491i,-0.002789-0.052684i,-0.024223-0.044515i,-0.056162-0.030233i,-0.07526-0.0043139i,-0.069654+0.022007i,-0.044922+0.035598i,-0.012593+0.035108i,0.0049775+0.023226i,-0.0022129+0.02057i,-0.0056626+0.0339i,0.0051916+0.033036i
0.23613-0.18583i,0.076854-0.065132i,-0.035969-0.040059i,-0.057675-0.17634i,-0.025164-0.27223i,0.058319-0.22834i,0.099443-0.14407i,0.062545-0.088292i,0.04425-0.047557i,0.062661-0.017926i,0.069487+0.001522i,0.043075+0.013758i,0.014687+0.031301i,0.023671+0.050259i,0.050431+0.055172i,0.064212+0.044621i,0.061469+0.030347i,0.046664+0.029885i,0.03537+0.045598i,0.030739+0.058552i,0.023738+0.044894i,0.0066317+0.011884i,-0.015923-0.0071632i
0.36476+0.074169i,0.25265+0.0059787i,0.16221+0.11259i,0.17147+0.28235i,0.13168+0.31414i,0.022263+0.23342i,-0.034029+0.12804i,-0.034182+0.068373i,-0.020677+0.066921i,-0.01017+0.071832i,-0.012959+0.069585i,-0.012058+0.06155i,-0.019526+0.035972i,-0.047883+0.006301i,-0.065914-0.024218i,-0.067673-0.052834i,-0.070824-0.058751i,-0.073415-0.044601i,-0.072862-0.02775i,-0.064928-0.019761i,-0.051185-0.015496i,-0.035559-0.0091295i,-0.014012-0.0080491i
0.079298+0.40139i,0.097906+0.1913i,-0.079979-0.057673i,-0.24559-0.11681i,-0.19711-0.070989i,-0.088154-0.067021i,-0.07806-0.071563i,-0.10692-0.046438i,-0.1043-0.019239i,-0.079066-0.018115i,-0.065223-0.031301i,-0.051452-0.011699i,0.0007227+0.018402i,0.058633+0.0057281i,0.074267-0.02353i,0.057148-0.026986i,0.035992-0.018513i,0.019835-0.03047i,0.0064284-0.05812i,0.0042378-0.063272i,0.02133-0.040397i,0.041749-0.019921i,0.03854-0.013126i
-0.39158+0.2215i,-0.16901+0.223i,0.11049+0.076133i,0.22766-0.04862i,0.19163-0.06003i,0.099384-0.033204i,0.020912+0.00041653i,0.00032887+0.031308i,0.011762+0.032484i,0.027697+0.019857i,0.053685+0.0028096i,0.05546-0.020225i,0.015274-0.016703i,-0.013794+0.019951i,-0.0055763+0.054651i,0.019113+0.061065i,0.044302+0.044596i,0.058973+0.03272i,0.058258+0.036846i,0.043852+0.041597i,0.019012+0.035391i,-0.003924+0.027909i,-0.008031+0.029172i
-0.39352-0.26732i,-0.39097-0.035087i,-0.23893+0.1381i,-0.13441+0.096643i,-0.1295+0.017532i,-0.082707+0.019541i,0.017582+0.016853i,0.056494-0.018533i,0.028995-0.036039i,-0.0012265-0.025397i,-0.019418-0.0080297i,-0.031989+0.0032054i,-0.038783+0.0065819i,-0.045723+0.0037153i,-0.054614-0.0035669i,-0.060307-0.0041945i,-0.059103+0.0070558i,-0.043731+0.022349i,-0.020619+0.034536i,-0.014048+0.030996i,-0.025879+0.016286i,-0.034286+0.0058761i,-0.029238-0.0043797i
0.11753-0.5474i,-0.093461-0.48663i,-0.158-0.20695i,0.0055873-0.017866i,0.13501-0.036163i,0.10893-0.071945i,0.055447-0.052323i,0.046432-0.045243i,0.053447-0.051732i,0.053418-0.045159i,0.053645-0.027588i,0.053817-0.027546i,0.03422-0.044606i,0.010888-0.039598i,0.0095333-0.011236i,0.017582+0.0078405i,0.01352+0.012287i,-0.0015154+0.0076255i,-0.01605-0.010154i,-0.019338-0.031482i,-0.0078034-0.044178i,0.0012345-0.047639i,-0.0045853-0.037762i
0.72497-0.040421i,0.69826-0.3021i,0.29102-0.428i,-0.15814-0.25267i,-0.30471-0.030535i,-0.23513-0.011033i,-0.16736-0.09316i,-0.15203-0.119i,-0.14386-0.069168i,-0.11307-0.0062295i,-0.080936+0.024036i,-0.048713+0.040943i,-0.005069+0.043288i,0.015365+0.0079444i,0.0032104-0.040356i,-0.012763-0.074067i,-0.023437-0.088092i,-0.026444-0.074712i,-0.010765-0.038218i,0.018874-0.0032654i,0.0393+0.014148i,0.046228+0.016242i,0.047199+0.0038558i
0.095266+0.78612i,0.28616+0.83061i,0.43269+0.51767i,0.40018+0.13815i,0.27292-0.00067503i,0.19131+0.02181i,0.1249+0.034567i,0.073856+0.032305i,0.067083+0.016343i,0.069999-0.0084062i,0.072111-0.021704i,0.062068-0.021525i,0.04316-1.9883e-05i,0.047762+0.020382i,0.05886+0.025896i,0.05321+0.034877i,0.042293+0.039765i,0.032197+0.025544i,0.018399+0.0067426i,-0.00025407+0.0051403i,-0.010309+0.021691i,-0.008389+0.038107i,-0.0047014+0.040515i
-0.74765+0.15182i,-0.8507+0.22684i,-0.65473+0.28641i,-0.32991+0.26487i,-0.10879+0.16226i,-0.025915+0.082031i,0.000688+0.058318i,0.0019157+0.054482i,-0.0095482+0.064435i,-0.0072606+0.079045i,-0.0073417+0.079494i,-0.026077+0.068711i,-0.049856+0.06046i,-0.062911+0.064336i,-0.051624+0.064789i,-0.021476+0.049658i,0.0071994+0.033709i,0.015404+0.028155i,0.00016515+0.033048i,-0.016044+0.033524i,-0.025625+0.015965i,-0.031967-0.0037158i,-0.030643-0.0065544i
-0.26651-0.56723i,-0.25945-0.53821i,-0.14012-0.30561i,0.002125-0.13452i,0.037235-0.09422i,-0.014999-0.054953i,-0.012955-0.0020818i,0.032651+0.0023782i,0.02532-0.03801i,-0.03181-0.069585i,-0.063735-0.069521i,-0.05079-0.062551i,-0.03383-0.068204i,-0.029608-0.076101i,-0.028926-0.067507i,-0.035529-0.04231i,-0.042783-0.018167i,-0.031869-0.016914i,-0.011674-0.042188i,-0.0025942-0.06926i,-0.0039471-0.07664i,-0.0067977-0.064267i,-0.0053199-0.043983i
0.47622-0.45906i,0.42335-0.57393i,0.13809-0.48338i,-0.061527-0.24974i,-0.04288-0.13287i,0.01288-0.16893i,-0.0055176-0.18513i,-0.046228-0.14136i,-0.044969-0.08048i,-0.0039617-0.038028i,0.029218-0.016812i,0.046399-0.0019453i,0.060467-0.00081909i,0.066907+0.0014839i,0.067292+0.012465i,0.059259+0.0091722i,0.039688+0.001117i,0.01994+0.010249i,0.016873+0.026556i,0.02735+0.038721i,0.037713+0.041993i,0.04241+0.03032i,0.032975+0.0094837i
0.60437+0.47251i,0.85507+0.52148i,0.83393+0.2686i,0.45713+0.022937i,0.072143+0.050875i,-0.030167+0.14382i,0.018541+0.093604i,0.053329-0.010012i,0.052937-0.060991i,0.03601-0.05022i,0.027111-0.023522i,0.017842-0.0068241i,-0.0027225+0.010537i,-0.022628+0.014916i,-0.035926+0.0014967i,-0.031544-0.015913i,-0.014575-0.032693i,-0.0038818-0.030505i,0.00011705+0.001137i,0.0039031+0.032446i,0.0098276+0.040761i,0.013439+0.035065i,0.015643+0.024213i
-0.54551+0.53283i,-0.85713+0.70094i,-0.82409+0.65869i,-0.47057+0.38909i,-0.14247+0.089554i,-0.00031909-0.040587i,0.034611-0.017821i,0.036554+0.027759i,0.04661+0.048285i,0.066784+0.048097i,0.069259+0.039581i,0.048472+0.030774i,0.028258+0.025576i,0.027577+0.029054i,0.033776+0.033027i,0.030724+0.0383i,0.0199+0.042259i,0.0029462+0.024489i,-0.022499-0.0089149i,-0.044908-0.027345i,-0.053865-0.021969i,-0.050214-0.0065702i,-0.037403+0.0061117i
-0.36025-0.44786i,-0.31572-0.76651i,-0.12786-0.76513i,0.033264-0.42514i,0.096057-0.060743i,0.07923+0.098476i,0.028256+0.087194i,-0.0015046+0.048713i,-0.026701+0.03447i,-0.061509+0.037119i,-0.078141+0.035308i,-0.071527+0.016049i,-0.06658-0.0074165i,-0.078542-0.01893i,-0.081821-0.015516i,-0.061459-0.0060656i,-0.031661-0.0012268i,-0.0058761-0.002081i,0.010349-0.0060401i,0.022596-0.0098379i,0.030763-0.014878i,0.026099-0.022285i,0.010096-0.022356i
0.22836-0.22913i,0.3499-0.029609i,0.29158+0.2915i,0.1568+0.32834i,0.031986+0.050762i,-0.060989-0.16561i,-0.071159-0.16464i,-0.043489-0.08363i,-0.028793-0.040835i,-0.022739-0.049667i,-0.016966-0.051818i,0.0064681-0.021402i,0.047415-0.004049i,0.084043-0.016542i,0.094039-0.031999i,0.063669-0.035707i,0.018097-0.02478i,0.0023147-0.0090946i,0.014506-0.0074455i,0.012066-0.017554i,-0.0075794-0.020415i,-0.012049-0.0091729i,0.00048932-0.00038022i
0.31775+0.025439i,0.29256-0.059156i,0.076122-0.25358i,-0.097577-0.25918i,-0.072756-0.048427i,0.034391+0.10387i,0.069773+0.10699i,0.05464+0.043385i,0.045381-0.0026618i,0.04765-0.005429i,0.043507+0.0046565i,0.020487+0.0097656i,-0.0081975+0.023747i,-0.027165+0.050196i,-0.02505+0.070038i,0.00021734+0.05854i,0.021091+0.029153i,0.015258+0.017866i,-0.0044081+0.033255i,-0.0074056+0.053085i,0.0073887+0.057334i,0.016227+0.041042i,0.012274+0.014394i
-0.0058565+0.41017i,0.030684+0.55392i,0.15352+0.43223i,0.15711+0.12932i,0.0068568-0.093695i,-0.094135-0.13079i,-0.059259-0.083279i,0.0094139-0.045767i,0.035598-0.035852i,0.030514-0.029082i,0.021828-0.015656i,0.012529-0.0056554i,-0.00039076-0.0069902i,-0.012024-0.022554i,-0.021486-0.036608i,-0.022336-0.033498i,-0.011293-0.024065i,-0.0031286-0.023931i,-0.0063977-0.029536i,-0.013823-0.033792i,-0.019944-0.036617i,-0.021479-0.029868i,-0.01305-0.011849i
-0.39721-0.1318i,-0.5818-0.32835i,-0.53346-0.36353i,-0.26519-0.14864i,0.053221+0.10813i,0.21606+0.18348i,0.17865+0.11566i,0.089445+0.049715i,0.046949+0.027393i,0.035553+0.027493i,0.026939+0.020691i,0.011523-0.0038849i,-0.0054275-0.017518i,-0.013415-0.0047294i,-0.011152+0.018855i,-0.0057619+0.036452i,-0.0075513+0.038744i,-0.01034+0.025541i,-0.0028755+0.0064503i,0.010088+0.0016105i,0.021628+0.011619i,0.020616+0.011924i,0.0041637+0.0028462i
