-0.0022274-0.0013799i,-0.0027075-0.0011875i,-0.0035429-0.00091449i,-0.0023111-0.00019659i,-0.0011312+0.0013352i,-0.00077665+0.0011954i,-0.00036368+0.00050847i,0.00069948+0.00064527i,0.0010526+0.00089841i,0.00016473+0.00071748i,-2.0451e-05+0.00026979i,0.00022099-0.00021419i,0.00016139-0.00067866i,-0.00056817-0.00057846i,-0.0015801-0.00061068i,-0.00054146-0.00067208i,0.00022177-0.0012444i,-6.9865e-05-0.00059864i,-3.8656e-05+1.8524e-05i,-0.00055932-0.00072822i,-0.00077489-0.00077368i,-0.00055424-0.00058865i,-0.00022449-0.00064937i
-8.9525e-05+0.028266i,-0.036684+0.013581i,-0.09394+0.0093521i,-0.11364-0.017051i,-0.10177-0.083799i,-0.085106-0.1384i,-0.066583-0.13529i,-0.045753-0.10564i,-0.035146-0.083504i,-0.035487-0.058538i,-0.028725-0.032322i,-0.018319-0.02336i,-0.017188-0.022793i,-0.016859-0.012793i,-0.0081033-0.0010698i,0.0020687-0.0006936i,0.0038029-0.0066025i,-0.00072978-0.0059573i,-0.0018567+0.0013252i,0.0042685+0.005457i,0.01345+0.0012962i,0.019211-0.0071965i,0.020084-0.011735i
-0.04412+0.093591i,-0.058209+0.16829i,-0.061869+0.21988i,-0.052156+0.20628i,-0.0445+0.15228i,-0.054987+0.095616i,-0.06612+0.049748i,-0.069721+0.029559i,-0.051904+0.031373i,-0.022187+0.024078i,-0.012579+0.011552i,-0.019186+0.011584i,-0.026194+0.016661i,-0.02517+0.020309i,-0.013556+0.017083i,-0.0054486+0.0062105i,-0.0056367+0.00038823i,-0.0033643+0.001856i,0.0029988+0.0012877i,0.0064903-0.004223i,0.0025716-0.0083042i,-0.0030964-0.0053486i,-0.00066016-0.0017791i
0.10355-0.096567i,0.17572-0.14554i,0.24753-0.13187i,0.2471-0.084424i,0.16059-0.033289i,0.075318+0.027426i,0.036874+0.068223i,0.034559+0.074247i,0.031106+0.054589i,0.0087731+0.036979i,-0.0062465+0.034561i,-0.0030105+0.035626i,0.013355+0.035931i,0.031726+0.022716i,0.030294+0.00020658i,0.013371-0.0049526i,0.0021732+0.0043239i,-0.0014978+0.0082398i,-0.0042877+0.0044055i,-0.0080271-0.0019851i,-0.010707-0.0072379i,-0.010017-0.011702i,-0.012757-0.016588i
0.031893+0.059025i,0.019002+0.030189i,-0.036696-0.083386i,-0.081715-0.16352i,-0.05804-0.14023i,-0.012566-0.093738i,0.013088-0.056964i,0.032483-0.043058i,0.034768-0.050811i,0.023193-0.038529i,0.027238-0.012496i,0.04056-0.0016266i,0.042653-0.010195i,0.025289-0.023646i,0.00027832-0.02105i,-0.0058191-0.0075627i,0.0049248-0.0025188i,0.011179-0.0054929i,0.0070607-0.0039069i,0.00085698+0.0040577i,0.00079573+0.012484i,0.0044106+0.015857i,0.0039711+0.016448i
-0.13922-0.076501i,-0.21854-0.058805i,-0.23974+0.022363i,-0.20157+0.098361i,-0.15348+0.10628i,-0.10497+0.083721i,-0.059252+0.042734i,-0.048541-0.0015866i,-0.051026-0.0067913i,-0.026093-0.0014953i,-0.0019489-0.018433i,0.00098746-0.039531i,-0.0079534-0.049914i,-0.023578-0.039225i,-0.027488-0.012439i,-0.015162+0.0029129i,-0.0066514+0.002108i,-0.0047847+0.0017676i,0.0010365+0.0014123i,0.0077403-0.0025199i,0.007137-0.0081353i,-0.00063098-0.012225i,-0.0066192-0.0078796i
0.12656+0.022418i,0.18875+0.084789i,0.18944+0.14299i,0.16314+0.15399i,0.14527+0.1295i,0.11273+0.097256i,0.067037+0.075078i,0.032098+0.066667i,0.015357+0.049638i,0.0010982+0.015888i,-0.017924-0.0087077i,-0.034582-0.010513i,-0.044687+0.0066033i,-0.033169+0.030094i,-0.0047738+0.034827i,0.0086988+0.01857i,0.0031013+0.0053208i,-0.0027713-0.0016124i,-0.0074809-0.0065877i,-0.0086888-0.0069437i,-0.0032931-0.0030387i,0.0031111+0.0030913i,0.0097792+0.0044852i
-0.054378+0.076634i,0.022161+0.024589i,0.12757-0.095563i,0.15744-0.17522i,0.11839-0.16485i,0.093091-0.10979i,0.08091-0.06246i,0.071582-0.038707i,0.056222-0.03014i,0.021796-0.015256i,-0.0089345+0.0089361i,-0.019412+0.028122i,-0.0088712+0.039773i,0.013504+0.031752i,0.020808+0.0077504i,0.011135-0.00087886i,0.0046985+0.0074343i,0.0019874+0.013148i,-0.0022563+0.012946i,-0.006124+0.0098097i,-0.0092+0.0051552i,-0.010578+0.00080766i,-0.010745-0.0015607i
-0.02447-0.11393i,-0.1007-0.16006i,-0.21009-0.1376i,-0.24661-0.077543i,-0.18851-0.046164i,-0.11415-0.058177i,-0.070185-0.076951i,-0.059531-0.07418i,-0.054179-0.048682i,-0.03069-0.022377i,-0.0045136-0.0074026i,0.018559+0.0042957i,0.042253+0.0055497i,0.042537-0.0080498i,0.018108-0.014369i,0.0024714-0.0056226i,0.0028575-0.00058354i,0.0056168+0.00044668i,0.0092734+0.0049866i,0.014318+0.0056085i,0.017183+0.0025131i,0.018225-0.0003603i,0.017817-0.003361i
0.049068+0.098667i,0.026434+0.12636i,-0.012852+0.15243i,-0.012742+0.16856i,0.00011644+0.1503i,-0.020981+0.10797i,-0.049877+0.085421i,-0.046185+0.076802i,-0.022069+0.05401i,-0.00683+0.022536i,-0.0039686+0.0035293i,-0.0013502-0.0071369i,-0.0026109-0.023756i,-0.012665-0.027597i,-0.013743-0.0085814i,-0.0018724+0.0053743i,0.0071982+0.0052741i,0.011471+0.0018178i,0.011072-0.0058573i,0.0029106-0.012062i,-0.0053788-0.011303i,-0.010734-0.0081506i,-0.014907-0.0038531i
-0.015149+0.032644i,0.065352+0.10095i,0.18848+0.14033i,0.23964+0.078951i,0.19007-0.0077817i,0.11292-0.012613i,0.075669+0.026342i,0.075593+0.039893i,0.063715+0.017344i,0.018649+7.8405e-05i,-0.010571+0.0054928i,-0.0089282+0.0012485i,-0.013026-0.0089096i,-0.014088-0.0047409i,0.00097802-0.0016847i,0.0092164-0.0065254i,0.0040287-0.010325i,-0.0050244-0.011436i,-0.012642-0.0085645i,-0.013323-0.0027682i,-0.004312-0.0005005i,0.0054212-0.0043926i,0.0072698-0.0088174i
0.03396-0.096535i,0.016409-0.1988i,-0.022815-0.29809i,-0.079355-0.29096i,-0.11676-0.17566i,-0.074505-0.070499i,-0.0036064-0.050332i,0.013117-0.080327i,-0.015522-0.077588i,-0.019971-0.031376i,0.00090636-0.0015439i,0.00053389+0.0038859i,-0.010103+0.015987i,-0.0077783+0.021031i,-0.0059715+0.0077138i,-0.0082995-0.0013853i,-0.0046964-0.00077997i,0.00059221+0.0017426i,0.0037297+0.0062959i,0.006691+0.010036i,0.0022204+0.0090536i,-0.0092854+0.0092232i,-0.014784+0.014752i
-0.012322+0.040867i,-0.038736+0.059529i,-0.10817+0.084848i,-0.14198+0.12525i,-0.088516+0.13537i,-0.044067+0.076982i,-0.054191+0.015561i,-0.067943+0.0099498i,-0.048872+0.030378i,-0.012579+0.025343i,0.0039363-0.0018255i,0.00011913-0.010508i,0.0061333-0.0033908i,0.0088427-0.003526i,-0.0035807-0.0016827i,-0.011663+0.003799i,-0.01309+0.0048313i,-0.011783+0.0050746i,-0.0027942+0.002472i,0.0066033-0.0066599i,0.0082769-0.012249i,0.0091313-0.01083i,0.012447-0.011097i
-0.066409+0.056231i,-0.067285+0.12945i,-0.023861+0.1933i,0.061761+0.18491i,0.11497+0.11423i,0.090734+0.075324i,0.036748+0.081539i,0.017211+0.082738i,0.024246+0.055744i,0.014527+0.016102i,-0.0099288+0.0031092i,-0.011302+0.012241i,0.00096385+0.010382i,0.0043066+0.0071121i,0.0069442+0.0123i,0.010084+0.016378i,0.010411+0.014277i,0.0077683+0.0060086i,-0.0019186-0.0038016i,-0.013579-0.0052385i,-0.014197+0.0052677i,-0.0034964+0.015942i,0.0050162+0.016475i
0.083681-0.044679i,0.19194-0.078686i,0.28403-0.12597i,0.24492-0.17578i,0.1091-0.16263i,0.033021-0.07619i,0.049678-0.0089828i,0.068987-0.016598i,0.04912-0.0455i,0.015659-0.039529i,0.004711-0.016601i,0.0077364-0.011584i,0.0025314-0.013333i,-0.001741-0.0075482i,-0.00118-0.0012025i,0.00056726+0.0025741i,0.0028832+0.0071967i,0.0025416+0.011118i,0.00095674+0.013341i,0.002234+0.012954i,0.0078732+0.0017398i,0.009415-0.018705i,0.00037425-0.027823i
0.001598+0.055509i,-0.051549-0.025103i,-0.17547-0.11436i,-0.23379-0.084146i,-0.14783+0.0047929i,-0.021877+0.008427i,0.017645-0.038665i,-0.013898-0.039911i,-0.036827-0.0078648i,-0.022467+0.0065435i,-0.0040121-0.0046555i,-0.0033834-0.010206i,0.0022744-0.00075353i,0.012019+0.003663i,0.01058+0.0030525i,0.0098397+0.0033243i,0.013962+0.0011705i,0.013934+0.00023684i,0.012928+0.0016131i,0.015615+0.00068725i,0.012598-0.0023167i,0.0033874-0.00081389i,0.0013228+0.0053749i
-0.072958-0.036432i,-0.1097+0.0051117i,-0.097763+0.084721i,-0.031633+0.11338i,0.037041+0.066053i,0.040336+0.015675i,0.014033+0.012759i,0.016152+0.025419i,0.023824+0.014027i,0.00099358-0.010345i,-0.034005-0.015351i,-0.044647-0.0034245i,-0.031377-0.0029947i,-0.015816-0.0067437i,-0.0018629-0.0014075i,0.0057027+0.00010111i,0.0021618-0.0043189i,-0.0031421-0.0089891i,-0.0066943-0.014479i,-0.0124-0.019113i,-0.019283-0.018204i,-0.024447-0.011933i,-0.025456-0.0039992i
0.13262+0.058451i,0.18621+0.11593i,0.21522+0.16685i,0.20031+0.11232i,0.10251-0.0097369i,-0.0055646-0.056776i,-0.028624-0.032995i,0.0024767-0.026802i,0.0082144-0.03401i,-0.013116-0.012333i,-0.014886+0.02688i,0.0060675+0.038535i,0.010817+0.022331i,0.0014034+0.0064839i,-0.0012848-0.0068093i,-0.0011105-0.011976i,-0.001969-0.0082173i,-0.0029516-0.0030612i,-0.0041277+0.0047408i,-0.0039076+0.013101i,0.00027501+0.01735i,0.010029+0.017494i,0.017166+0.013648i
-0.10055+0.0081782i,-0.054906-0.066752i,-0.00051666-0.20807i,-0.042016-0.23746i,-0.091199-0.10304i,-0.04883+0.004549i,-0.0016497-0.014892i,-0.02626-0.051471i,-0.052543-0.027665i,-0.027398+0.012077i,0.011538+0.017182i,0.01678+0.0066775i,0.0025651+0.014895i,-0.0042465+0.024869i,-0.010717+0.018813i,-0.016609+0.013101i,-0.01347+0.017097i,-0.0055449+0.019634i,0.0052043+0.014997i,0.014044+0.0092022i,0.011259+0.0038352i,-0.00019127+0.00097774i,-0.0053684+0.0033986i
0.076213-0.1198i,0.0011619-0.15239i,-0.121-0.080886i,-0.13444+0.040122i,-0.048569+0.095729i,-0.022545+0.071388i,-0.073443+0.064347i,-0.069772+0.093839i,-0.0065173+0.080594i,0.032116+0.020548i,0.030065-0.025539i,0.023059-0.034039i,0.030362-0.024969i,0.03363-0.014545i,0.022403-2.9796e-05i,0.01557+0.0099858i,0.016118+0.0044031i,0.014589-0.0051575i,0.01004-0.012442i,0.0056968-0.01798i,0.0063488-0.013321i,0.013047-0.0046766i,0.016681-0.0059391i
-0.052105+0.22148i,-0.0054959+0.33674i,0.041192+0.34077i,0.074174+0.23058i,0.083374+0.082116i,0.043804+0.025921i,0.02413+0.064362i,0.050253+0.059245i,0.048142-0.00564i,-0.0052744-0.039848i,-0.044028-0.023485i,-0.039616-0.0018956i,-0.0225+0.00076589i,-0.0093681-0.0035605i,0.00071265-0.0010532i,0.0044219+0.0050973i,0.0035092+0.00694i,0.00030494+0.0024247i,-0.0079926-0.001121i,-0.015118+0.0003512i,-0.011213+0.0030568i,-0.00043037+0.0031575i,0.0049532+0.00068144i
0.0019355-0.15885i,0.041487-0.23088i,0.12869-0.21436i,0.15103-0.15369i,0.053459-0.059211i,0.01533+0.06051i,0.078732+0.087239i,0.087278+0.013771i,0.016031-0.030281i,-0.023797-0.010035i,-0.013547+0.0026612i,-0.0078926-0.011612i,-0.013412-0.017139i,-0.011853-0.011403i,-0.00644-0.0095941i,-0.0037802-0.0099238i,-0.004738-0.0078281i,-0.0035021-0.000615i,0.0045403+0.0073609i,0.015863+0.0087785i,0.022824-0.001738i,0.017735-0.019994i,0.0044473-0.027716i
0.14169+0.10734i,0.17774+0.036788i,0.075199-0.10101i,-0.045586-0.13984i,-0.011817-0.066581i,0.082023-0.053015i,0.077197-0.093117i,0.013102-0.068132i,-0.010594-0.00015948i,0.0043872+0.028443i,0.0080407+0.020559i,-0.0016869+0.027401i,0.0069088+0.043152i,0.016786+0.034686i,0.0090546+0.020496i,0.003076+0.020622i,0.0039069+0.021503i,0.0024845+0.013286i,-0.0015136+0.00072303i,-0.005231-0.0094861i,-0.010714-0.015482i,-0.019238-0.013886i,-0.023737-0.0061299i
-0.19954-0.02117i,-0.31546+0.049818i,-0.30277+0.15588i,-0.1568+0.17957i,-0.01962+0.096053i,0.015987+0.024021i,-0.0046261+0.015718i,-0.0018467+0.018875i,0.018704-0.0042403i,0.0070977-0.036618i,-0.024356-0.03438i,-0.024433-0.014257i,-0.0095606-0.018068i,-0.011935-0.023052i,-0.014404-0.010587i,-0.0058923-0.00020591i,0.0015056-0.00039074i,0.0028013-0.0039249i,-0.0015199-0.0074579i,-0.0093872-0.010943i,-0.014778-0.0080655i,-0.014944+0.0029434i,-0.011885+0.016854i
0.18451+0.032682i,0.33685+0.042867i,0.37693+0.040049i,0.26298+0.011091i,0.087549-0.025601i,-0.025686-0.011737i,-0.032288+0.028058i,-0.0070125+0.026967i,-0.0077662+0.0050849i,-0.012388+0.0088776i,0.0057279+0.019521i,0.024718+0.012607i,0.021387+0.0084149i,0.0084723+0.018633i,0.0048569+0.026865i,0.0095824+0.025986i,0.011637+0.021881i,0.0083728+0.020505i,0.0063647+0.024326i,0.0053474+0.028036i,0.0030747+0.023298i,0.002575+0.013781i,0.0066304+0.0065527i
-0.11353+0.052342i,-0.1487+0.014781i,-0.11301-0.094383i,-0.046587-0.14498i,0.028999-0.066416i,0.12653-0.0050454i,0.159-0.02876i,0.10752-0.041236i,0.052995-0.022974i,0.021983-0.020406i,-0.00053728-0.026663i,-0.018908-0.019504i,-0.021155+0.0022513i,-0.001414+0.022736i,0.017462+0.026395i,0.018605+0.015712i,0.0098776+0.0045592i,0.0019948+0.00053287i,0.0011161-0.0042544i,0.0044624-0.011103i,0.0036537-0.0087646i,0.0022592+0.0019605i,0.0082455+0.0073767i
0.08078-0.027978i,0.1278-0.098818i,0.015536-0.11406i,-0.10537-0.055408i,-0.090882-0.053254i,-0.069264-0.11425i,-0.084762-0.11633i,-0.060416-0.071614i,-0.020252-0.055732i,-0.021736-0.05351i,-0.038957-0.03199i,-0.024686-0.0062066i,0.014753-0.0063231i,0.042384-0.028037i,0.047705-0.038984i,0.039849-0.028416i,0.029171-0.0074085i,0.023082+0.0063105i,0.016597+0.005648i,0.0074659+0.001953i,0.002691+0.0045901i,0.0048972+0.0081919i,0.0024038+0.0035212i
-0.042403+0.1984i,-0.052155+0.33918i,0.016227+0.41984i,0.096321+0.31902i,0.043129+0.12665i,-0.065324+0.011i,-0.099059-0.022036i,-0.079226-0.033433i,-0.073226-0.031628i,-0.076058+0.0034345i,-0.051301+0.045171i,-0.019371+0.043221i,-0.019366+0.015799i,-0.031423-0.0026362i,-0.032473-0.01382i,-0.027714-0.014327i,-0.015404-0.0059067i,-3.685e-05+9.2569e-05i,0.0053241+0.0033565i,0.0038908+0.0095738i,0.01015+0.012789i,0.022888+0.0041667i,0.02837-0.0064155i
0.16034-0.16677i,0.24954-0.40433i,0.21277-0.51366i,0.081818-0.35817i,-0.033763-0.079159i,-0.10935+0.11912i,-0.12395+0.17622i,-0.076978+0.14275i,-0.02299+0.10093i,0.028353+0.073666i,0.066048+0.031364i,0.057258-0.0019965i,0.026769-0.0021098i,-0.0014277+0.0036891i,-0.022416+0.0048191i,-0.020775+0.0079812i,-0.0019899+0.0078839i,0.01201-0.00071494i,0.016752-0.0093587i,0.021852-0.011662i,0.018924-0.013878i,0.0018595-0.015211i,-0.016412-0.011409i
0.0431+0.16598i,0.053037+0.26495i,0.029689+0.23068i,0.017974+0.10283i,0.049409+0.067585i,0.086212+0.14381i,0.080427+0.19816i,0.069255+0.15407i,0.061438+0.044116i,0.023401-0.050776i,-0.021563-0.081061i,-0.041558-0.057324i,-0.03019-0.0065766i,-0.0011916+0.031118i,0.0054954+0.038128i,-0.0070979+0.034416i,-0.012475+0.021217i,-0.014202+0.0053978i,-0.015937-0.0023044i,-0.014897-0.010198i,-0.0072127-0.014718i,0.0052678-0.013656i,0.011278-0.01401i
-0.10182-0.075507i,-0.17642-0.12015i,-0.19781+0.0086561i,-0.089883+0.17589i,0.047428+0.21569i,0.13206+0.20506i,0.1879+0.15379i,0.17574+0.020684i,0.07608-0.08328i,-0.02045-0.092171i,-0.065549-0.056628i,-0.059308-0.013241i,-0.015751+0.007852i,0.013342+0.003746i,0.014672+0.010695i,0.015502+0.025671i,0.017116+0.02547i,0.01596+0.015531i,0.015769+0.0061797i,0.013585+0.0039645i,0.017403+0.010156i,0.023572+0.014478i,0.017182+0.015948i
0.13333+0.11838i,0.32625+0.14492i,0.44593+0.030833i,0.39273-0.09101i,0.3344-0.056984i,0.37344+0.031519i,0.33992+0.049513i,0.17795+0.033837i,0.025093+0.036875i,-0.043877+0.039153i,-0.05677+0.023986i,-0.043934+0.02397i,-0.0023948+0.032037i,0.031275+0.015516i,0.026359+0.0093711i,0.014292+0.029532i,0.0055248+0.041105i,-0.0024898+0.032935i,-0.0017516+0.018903i,0.0095127+0.0038712i,0.020166-0.023599i,0.014645-0.056194i,0.00010565-0.066373i
-0.1089+0.011405i,-0.19409-0.097639i,-0.25909-0.17309i,-0.17791-0.18402i,-0.0079227-0.22194i,0.099756-0.29388i,0.10003-0.32249i,0.060205-0.25768i,0.048737-0.15901i,0.017483-0.098227i,-0.038195-0.026574i,-0.022333+0.039124i,0.021536+0.025701i,0.015267-0.00081978i,0.012709+0.0084295i,0.03928+0.017466i,0.058191+0.01326i,0.05014+0.0010361i,0.02616-0.015962i,0.0053663-0.029159i,-0.0099395-0.028177i,-0.021719-0.0088382i,-0.026696+0.016906i
0.28053+0.28735i,0.42611+0.22061i,0.34704+0.13817i,0.17235+0.06136i,0.10838-0.0054278i,0.11027-0.037801i,0.039612-0.0029273i,-0.059985+0.020302i,-0.14253-0.01077i,-0.19749-0.0051028i,-0.16316+0.030849i,-0.061043+0.020833i,0.017059-0.020212i,0.045794-0.037634i,0.054251-0.018626i,0.063391+0.0077245i,0.067245+0.013775i,0.050203+0.0060946i,0.020982+0.0017122i,0.0014818-0.00067351i,-0.0040684-0.0090464i,-0.0051791-0.017742i,-0.0065918-0.01187i
0.16961-0.069551i,0.12848-0.14375i,0.11604-0.14361i,0.13383-0.18337i,0.072669-0.28116i,-0.011812-0.32641i,-0.020064-0.25484i,0.0097849-0.14089i,0.0023135-0.05048i,-0.035357+0.048462i,-0.016177+0.14032i,0.030076+0.13246i,0.016667+0.059297i,-0.010823+0.013032i,7.2396e-05-0.0068049i,0.025605-0.022959i,0.038633-0.031593i,0.036365-0.025171i,0.029847-0.011386i,0.025934-0.0053645i,0.019213-0.009188i,0.0087812-0.0084569i,0.0076623+0.0022442i
-1.5746+7.8171i,1.3217+7.3415i,4.1537+5.7945i,4.7439+2.236i,3.682-0.86709i,1.6143-2.1085i,-0.17045-1.1664i,-0.61274+0.23537i,-0.010316+0.85752i,0.74307+0.59913i,0.88038-0.01415i,0.32934-0.26059i,-0.59991+0.27188i,-1.4525+1.2198i,-1.7362+1.3702i,-1.4389+0.53513i,-1.0109-0.10101i,-0.59825+0.082417i,-0.071833+0.37989i,0.15175+0.29489i,-0.10017+0.20259i,-0.4137+0.31384i,-0.43737+0.46958i
-0.19651+0.10904i,-0.36532+0.39594i,-0.25196+0.52837i,0.001098+0.28628i,0.12043-0.18196i,0.024039-0.55504i,-0.18742-0.5654i,-0.25036-0.27458i,-0.0889-0.082949i,-0.012228-0.10054i,-0.05588-0.074709i,-0.026892-0.043948i,-0.0092123-0.10409i,-0.046952-0.11464i,-0.051683-0.055654i,-0.031425-0.019993i,-0.019698-0.019295i,-0.021013-0.017772i,-0.024385-0.0061271i,-0.014451-0.0027523i,0.0061199-0.010999i,0.023874-0.011983i,0.031267-0.00013303i
-0.02616-0.085773i,-0.085572+0.034576i,0.024122+0.18749i,0.15884+0.21971i,0.1603+0.16341i,0.087864+0.12851i,0.064146+0.11982i,0.090869+0.085519i,0.088323+0.018735i,0.058918-0.026237i,0.04893-0.03721i,0.020836-0.045337i,-0.030784-0.043654i,-0.047462-0.044299i,-0.039623-0.057213i,-0.041408-0.057222i,-0.044001-0.042607i,-0.036816-0.025344i,-0.028809-0.010628i,-0.033761-0.0022975i,-0.048523+0.0016333i,-0.059144-0.0087131i,-0.058327-0.032129i
-0.38102-0.15989i,-0.56263-0.12325i,-0.57018-0.073505i,-0.40421-0.0068859i,-0.19715+0.025358i,-0.07964-0.048359i,-0.067366-0.18513i,-0.08828-0.20437i,-0.019241-0.084722i,0.12247-0.010278i,0.20388-0.010192i,0.19889-0.005551i,0.14515+0.0073232i,0.083328+0.019023i,0.035375+0.0096509i,-0.011792-0.022224i,-0.049497-0.033644i,-0.056762-0.022882i,-0.038941-0.018049i,-0.017092-0.017388i,-0.010417-0.0021348i,-0.0058523+0.034701i,0.01615+0.06407i
0.042553+0.053743i,0.10364+0.077586i,0.072231+0.077066i,-0.034287+0.066023i,-0.11263+0.038822i,-0.099133+0.01142i,-0.046383+0.02581i,-0.023272+0.05325i,-0.033008+0.04055i,-0.069699+0.035716i,-0.10253+0.056767i,-0.099397+0.052677i,-0.072057+0.014031i,-0.046168-0.019134i,-0.027025-0.025482i,-0.017046-0.023518i,-0.020438-0.018524i,-0.021958-0.0029273i,-0.015838+0.015415i,-0.013367+0.029761i,-0.012913+0.032729i,-0.014066+0.020041i,-0.01821+0.0055412i
-0.12689-0.03553i,-0.2184-0.02805i,-0.15138+0.02424i,0.00055315+0.069125i,0.083313+0.099144i,0.087693+0.12733i,0.073818+0.14365i,0.058982+0.13827i,0.046946+0.10171i,0.048406+0.042231i,0.048845-0.024842i,0.012811-0.06381i,-0.035462-0.040197i,-0.04098+0.0020554i,-0.013475+0.011127i,0.010752+0.0003616i,0.01919-0.0049987i,0.014999-0.0034598i,0.012577-0.0010259i,0.01859-0.00073511i,0.024078-0.0029869i,0.031895-0.0066563i,0.043841-0.011026i
0.090784-0.0060239i,0.12664-0.039806i,0.089495-0.13981i,-0.037821-0.17207i,-0.11878-0.092645i,-0.11936-0.070113i,-0.097528-0.13858i,-0.064245-0.15426i,-0.012922-0.075305i,0.051371+0.004481i,0.083434+0.035968i,0.07997+0.05358i,0.074837+0.047161i,0.053657+0.011538i,0.017901-0.012091i,-0.0062819-0.018384i,-0.010764-0.021849i,-0.0028561-0.025555i,0.0009248-0.025341i,-0.0059557-0.022966i,-0.023739-0.017636i,-0.046411-0.0070269i,-0.057747+0.000839i
-0.18096-0.11155i,-0.38785-0.013796i,-0.42798+0.20502i,-0.22999+0.30704i,-0.020842+0.15919i,0.0323-0.019252i,-0.011138-0.058705i,-0.054862-0.021727i,-0.055679-0.0054968i,-0.047574-0.021699i,-0.051049-0.026513i,-0.037971-0.031689i,-0.02743-0.046225i,-0.021435-0.035298i,-0.0029679-0.022887i,0.0006624-0.029i,-0.016627-0.023626i,-0.027835-0.0013171i,-0.024322+0.017399i,-0.019705+0.024502i,-0.01242+0.024977i,0.0039531+0.021113i,0.019566+0.013686i
0.17502+0.06677i,0.39671+0.041314i,0.48234-0.10015i,0.31903-0.16594i,0.1059-0.039607i,0.01499+0.12896i,0.0188+0.20001i,0.038562+0.17238i,0.036719+0.11913i,0.046762+0.086953i,0.063684+0.050332i,0.03612+0.023201i,-0.0026349+0.029313i,-0.016223+0.029981i,-0.025244+0.019206i,-0.028254+0.015046i,-0.018513+0.0083058i,-0.0044856-0.0060663i,0.0039723-0.014637i,0.0051072-0.005311i,0.00062615+0.0085711i,-0.010786+0.013165i,-0.019072+0.0093955i
-0.29759-0.19441i,-0.53797-0.17286i,-0.57609-0.061405i,-0.35242-0.0094373i,-0.11031-0.10292i,-0.014557-0.22703i,-0.0029554-0.25041i,0.018984-0.16561i,0.062128-0.087954i,0.058538-0.079032i,0.019237-0.066761i,0.015782-0.043456i,0.025586-0.043552i,0.02274-0.037401i,0.027316-0.018875i,0.029869-0.0044091i,0.021228+0.0092185i,0.012+0.02072i,0.0080643+0.022702i,0.0094119+0.012361i,0.01015+0.0021995i,0.014478+0.001485i,0.019915+0.00097434i
0.21945+0.20279i,0.43032+0.23103i,0.42493+0.16883i,0.19715+0.11887i,-0.0052931+0.12675i,-0.055762+0.14974i,-0.015671+0.11732i,-0.0087632+0.020977i,-0.066966-0.023865i,-0.08765+0.028373i,-0.057553+0.06856i,-0.045222+0.067803i,-0.03909+0.063362i,-0.026275+0.043278i,-0.021813+0.014034i,-0.02017-0.0087325i,-0.018151-0.024245i,-0.016208-0.027357i,-0.013749-0.018964i,-0.013172-0.0040574i,-0.010565+0.0082269i,-0.011398+0.011172i,-0.01622+0.012504i
-0.31193-0.1642i,-0.47396-0.16678i,-0.35662-0.084534i,-0.080053-0.050114i,0.037604-0.072824i,0.0055441-0.082706i,-0.044966-0.069738i,-0.062556-0.021534i,-0.019307+0.020162i,0.033258+0.0007864i,0.055186-0.032201i,0.059988-0.054157i,0.041035-0.062731i,0.018187-0.039898i,0.016684-0.017408i,0.021747-0.01297i,0.018878-0.0059226i,0.013783+0.0071232i,0.013945+0.013491i,0.01802+0.0097728i,0.019087+0.0016353i,0.018765-0.0082142i,0.020667-0.017545i
0.36677+0.1572i,0.51072+0.077075i,0.34019-0.064065i,0.029423-0.077965i,-0.066345+0.020897i,-0.015686+0.059864i,0.00092856+0.047771i,-0.0039254+0.041936i,-0.0033504+0.045798i,0.010773+0.051665i,0.013239+0.038382i,-0.007598+0.036254i,-0.0090571+0.045125i,-0.00014062+0.025575i,-0.011106+0.0011231i,-0.028406-0.0063401i,-0.029804-0.010606i,-0.018168-0.019754i,-0.012302-0.02781i,-0.016923-0.026291i,-0.024575-0.012642i,-0.029759+0.0098626i,-0.028093+0.026198i
-0.43779-0.085547i,-0.67442+0.059886i,-0.52802+0.27343i,-0.16353+0.27324i,-0.0121+0.069735i,-0.052427-0.046279i,-0.051245-0.027561i,-0.0047474+0.00018748i,0.028641-0.012734i,0.017208-0.039411i,-0.0038881-0.035475i,0.0060197-0.040182i,1.072e-05-0.063271i,-0.019048-0.048095i,-0.013181-0.016987i,-0.0012609-0.0059926i,-0.00079124+0.003133i,-0.0013475+0.02004i,0.0026622+0.031491i,0.0065718+0.030013i,0.012777+0.020286i,0.02413+0.004039i,0.030538-0.012749i
0.51006-0.017159i,0.76371-0.2073i,0.6663-0.41308i,0.29942-0.35334i,0.085886-0.066686i,0.10592+0.1068i,0.12548+0.071603i,0.066564+0.003143i,0.0068885+0.0059836i,0.014865+0.036471i,0.032552+0.028867i,0.0006342+0.034358i,-0.012353+0.075297i,0.011432+0.074375i,0.015502+0.036845i,0.0018379+0.014254i,-0.0023264+0.0014308i,-0.00076576-0.016246i,-0.0016508-0.026715i,-0.0023865-0.020259i,-0.0059497-0.0076727i,-0.017153+0.0021834i,-0.026812+0.0080042i
