0.001303-0.0010329i,0.0011511-0.0026245i,-3.2685e-05-0.0042084i,-0.0015113-0.0031205i,-0.0018958+0.00025361i,-0.0017638+0.0028722i,-0.0010908+0.0031028i,-0.0001803+0.0015681i,0.00059404+8.0369e-05i,0.0012215-0.00079836i,0.00060846-0.0011339i,-0.00073446-0.00078581i,-0.00042331-0.00018265i,0.00015715+6.4586e-05i,0.00038569+0.00014001i,0.00045923+0.00056861i,3.3881e-05+0.0007422i,4.9602e-06+0.000697i,0.00049578+0.0004713i,0.00074216+0.00032732i,0.00062538+4.3948e-05i,0.00028786-0.00031709i,-0.00049605-9.1141e-05i
0.10822-0.13652i,0.21613-0.19845i,0.25257-0.16153i,0.16277-0.10946i,-0.011841-0.1139i,-0.18293-0.081979i,-0.23015+0.012683i,-0.17152+0.086589i,-0.10498+0.10788i,-0.052087+0.092834i,-0.019017+0.055325i,-0.010739+0.0337i,-0.005324+0.030907i,0.00015012+0.019654i,-0.0016785+0.0034978i,-0.0073742-0.0053585i,-0.013207-0.0024197i,-0.012806+0.0038686i,-0.0066159+0.0044458i,-0.0035637+0.0037939i,-0.0059085+0.0066782i,-0.0089473+0.013832i,-0.0063714+0.019469i
0.092717+0.23557i,0.14323+0.33597i,0.14705+0.27143i,0.081044+0.13933i,0.022583+0.12779i,0.051848+0.16952i,0.091281+0.14331i,0.10139+0.092017i,0.11028+0.042158i,0.081532-0.0093897i,0.027256-0.014204i,0.0064728+0.0040274i,0.0051222+0.00072717i,-0.0056281-0.0020222i,-0.015546+0.0068343i,-0.013966+0.014281i,-0.0041961+0.012882i,0.0048651+0.003493i,0.0054524-0.0062358i,0.0047625-0.01074i,0.0076237-0.013771i,0.0065035-0.019383i,-0.00156-0.021028i
-0.12031-0.24772i,-0.22458-0.42862i,-0.28426-0.44791i,-0.22592-0.28146i,-0.063687-0.13588i,0.075797-0.10302i,0.11943-0.11406i,0.092158-0.13071i,0.03742-0.12288i,0.010096-0.075187i,0.025478-0.038547i,0.03906-0.031406i,0.032384-0.020737i,0.024682-0.001629i,0.021882+0.0091783i,0.018597+0.0094378i,0.014985+0.005745i,0.0076595+0.0032096i,0.0010908+0.0056845i,-0.0014654+0.0081984i,-0.0031242+0.010698i,-0.00032026+0.01625i,0.006403+0.017746i
0.1169+0.090489i,0.16877+0.2134i,0.15566+0.29675i,0.084423+0.25014i,-0.026349+0.1197i,-0.13157+0.016292i,-0.16475-0.011348i,-0.15307-0.00029713i,-0.1396+0.02534i,-0.10259+0.046902i,-0.058917+0.032863i,-0.046488+0.0088559i,-0.040452+0.0016701i,-0.021779-0.0063308i,-0.0086925-0.013195i,-0.0061016-0.013952i,-0.010437-0.012672i,-0.011856-0.0074496i,-0.0060594-0.0028592i,-0.0027475-0.0036568i,-0.002916-0.0088397i,-0.0057667-0.014253i,-0.0093981-0.013493i
-0.1878+0.010314i,-0.23989+0.029528i,-0.14844+0.040581i,0.00038396+0.038244i,0.070292+0.058735i,0.059339+0.10298i,0.026756+0.12094i,0.024134+0.12505i,0.065428+0.10273i,0.076328+0.039108i,0.032134+0.0022504i,0.0025541+0.0061425i,-0.00062562+0.004597i,-0.0063275-0.0036677i,-0.010104-0.0083507i,-0.0083226-0.008683i,-0.0012944-0.0021159i,0.0064982+0.0014519i,0.0071186+0.00027912i,0.0055464+0.0021031i,0.0068005+0.0062032i,0.010279+0.0090732i,0.012152+0.0045551i
0.23759-0.024053i,0.36844-0.1179i,0.33424-0.22756i,0.1774-0.23487i,0.092918-0.15012i,0.11231-0.084974i,0.12505-0.061994i,0.1045-0.063655i,0.06341-0.068425i,0.026104-0.042759i,0.026269-0.0022503i,0.038724+0.018006i,0.030374+0.025283i,0.014322+0.030513i,0.0059307+0.030432i,0.004843+0.025891i,0.0048878+0.015828i,0.00025099+0.0046216i,-0.0050846-8.6574e-05i,-0.0076818-0.0013688i,-0.012411-0.0021731i,-0.018299-0.00020393i,-0.018752+0.0048731i
-0.20079+0.096692i,-0.33757+0.17046i,-0.37545+0.19718i,-0.29937+0.13443i,-0.22261+0.0247i,-0.18016-0.042755i,-0.11871-0.05081i,-0.070379-0.050967i,-0.07058-0.042782i,-0.061995-0.011922i,-0.02901-0.0080018i,-0.016063-0.029969i,-0.010115-0.033707i,0.0029628-0.025958i,0.0035568-0.018965i,-0.0026748-0.012235i,-0.0070968-0.0075894i,-0.0084703-0.00041007i,-0.0031079+0.0052074i,0.0047831+0.0049502i,0.014393+0.0030889i,0.022767-0.0021325i,0.021349-0.0086059i
0.1554-0.26927i,0.19554-0.35729i,0.17226-0.24895i,0.13474-0.037475i,0.11213+0.099953i,0.065566+0.13623i,0.010245+0.1211i,-0.0077836+0.10215i,0.018271+0.093159i,0.04723+0.055201i,0.02954+0.011671i,0.0021298+0.0057891i,-0.0022564+0.0068651i,-0.0043271-0.0021765i,-0.0031162-0.006805i,-0.00080896-0.0060331i,-0.0017369+0.0005212i,0.0018356+0.0050779i,0.0035373+0.0033273i,-0.0001722+0.001031i,-0.0061557+0.0008307i,-0.012658+0.0048079i,-0.01243+0.0086208i
-0.014375+0.29136i,0.05813+0.38338i,0.13708+0.25954i,0.11882+0.045303i,0.056172-0.05175i,0.065624-0.049496i,0.085108-0.045415i,0.066505-0.046748i,0.043469-0.057859i,0.011602-0.057711i,-0.007509-0.019875i,-0.0018033+0.011203i,-0.0029435+0.015918i,-0.0086719+0.020021i,-0.0071281+0.023752i,-0.00233+0.021383i,0.0056702+0.011518i,0.010403-0.0030338i,0.0074429-0.010574i,0.0035092-0.010942i,0.0035742-0.012651i,0.004423-0.01657i,0.0017472-0.01535i
-0.19797-0.23294i,-0.32973-0.31034i,-0.35226-0.26129i,-0.25456-0.14582i,-0.15095-0.077655i,-0.10896-0.066081i,-0.076454-0.059832i,-0.051698-0.056963i,-0.057952-0.040394i,-0.052232-0.0060338i,-0.015685-5.3044e-05i,0.011301-0.018257i,0.019637-0.016983i,0.026139-0.006417i,0.025554-0.005047i,0.017212-0.0048704i,0.0062803-0.0025728i,-0.004747+0.00090919i,-0.0078074+0.0039735i,-0.0055715+0.0059318i,-0.0035833+0.011505i,2.5004e-05+0.020062i,0.0037228+0.02004i
0.29488+0.14532i,0.40131+0.17613i,0.31781+0.1779i,0.16041+0.19087i,0.083837+0.19342i,0.044355+0.16268i,-0.0010667+0.12359i,-0.011629+0.10492i,0.0077356+0.094436i,0.026997+0.069376i,0.017806+0.032218i,-0.011682+0.014801i,-0.021706+0.0085636i,-0.017301-0.0071165i,-0.015923-0.016957i,-0.015287-0.01614i,-0.014698-0.0097425i,-0.013091-0.0014613i,-0.0094668+0.0020112i,-0.0055723+3.9762e-05i,-0.0035232-0.0054451i,-0.0063691-0.013864i,-0.010605-0.016879i
-0.17621-0.022182i,-0.20059-0.019109i,-0.087961-0.046398i,0.035132-0.11403i,0.072116-0.15486i,0.076202-0.11985i,0.071803-0.049584i,0.059687-0.012164i,0.057973-0.02062i,0.041892-0.038262i,0.016479-0.021623i,0.011363+0.0035308i,0.0069787+0.0070612i,-0.008574+0.0069152i,-0.01774+0.010831i,-0.014077+0.011538i,-0.0025447+0.007138i,0.0086391+0.0012926i,0.010573-0.0021197i,0.0066086+3.7675e-05i,0.0067743+0.0070552i,0.013578+0.013975i,0.017196+0.015217i
0.14418-0.11038i,0.1696-0.18705i,0.089348-0.18524i,-0.029652-0.11357i,-0.11469-0.053817i,-0.13368-0.040572i,-0.080213-0.058692i,-0.032065-0.078941i,-0.038818-0.071825i,-0.043265-0.034602i,-0.012374-0.01146i,0.016253-0.010336i,0.021434-0.00086756i,0.020591+0.019764i,0.021233+0.02834i,0.015773+0.021678i,0.0053445+0.013713i,-0.0030779+0.0091367i,-0.0045635+0.0066261i,-0.001675+0.0028966i,-0.0040698-0.0034461i,-0.012833-0.0061372i,-0.016298-0.0028363i
-0.20297+0.11394i,-0.30007+0.19645i,-0.27051+0.22412i,-0.14917+0.19651i,-0.037679+0.16607i,0.0077132+0.14347i,-0.00040434+0.10988i,-0.013078+0.079248i,-0.0031763+0.070516i,0.018327+0.050827i,0.014129+0.0097296i,-0.013859-0.01628i,-0.021898-0.017732i,-0.0078373-0.018063i,-0.0020799-0.02051i,-0.0052367-0.016576i,-0.0060128-0.0089789i,-0.0039248-0.0022124i,-0.00045978+0.0010717i,0.0034854+0.0016354i,0.0098263+0.001394i,0.017954-0.0041267i,0.017889-0.014372i
0.20377-0.098706i,0.32037-0.17622i,0.31717-0.19021i,0.21674-0.13972i,0.13993-0.078838i,0.10694-0.033374i,0.068126-0.00027003i,0.036122+0.014346i,0.027861-0.0033683i,0.014851-0.022548i,-0.003089-0.0081211i,-0.0051047+0.017681i,-0.003411+0.023304i,-0.010532+0.012676i,-0.016362+0.0034797i,-0.013102+0.0017893i,-0.0038845+0.0019386i,0.003707-0.00096363i,0.0053209-0.0059112i,0.00097492-0.0079i,-0.010056-0.0024887i,-0.02147+0.010659i,-0.024698+0.02168i
-0.076956+0.20905i,-0.081379+0.28631i,-0.055159+0.19863i,-0.060886+0.043857i,-0.10316-0.038539i,-0.099313-0.059861i,-0.037124-0.055496i,0.0092952-0.042259i,0.0032839-0.03117i,-0.015934-0.010774i,-0.0072244+0.0089732i,0.010844+0.0089813i,0.013327+0.0042862i,0.0087683+0.010371i,0.0083464+0.017125i,0.0078093+0.012255i,-0.0003807+0.00077207i,-0.0099402-0.0050917i,-0.012356-0.0040174i,-0.0057355-0.0013692i,0.0072337-0.0041975i,0.015269-0.013267i,0.014274-0.014224i
-0.020452-0.34873i,-0.12546-0.47288i,-0.21437-0.31728i,-0.15482-0.032684i,-0.0031196+0.11749i,0.063358+0.11638i,0.034114+0.05658i,-0.0062813+0.016786i,-0.015606+0.032909i,0.013528+0.043945i,0.030118+0.012074i,0.01695-0.012508i,0.0097938-0.01191i,0.014648-0.010425i,0.014119-0.013174i,0.0073448-0.0095791i,0.0032885+0.0022244i,0.0022648+0.011856i,0.00071952+0.013855i,-0.0013983+0.01107i,-0.0025631+0.011002i,0.0022484+0.016634i,0.014188+0.015138i
0.14174+0.2904i,0.27833+0.39215i,0.32741+0.27973i,0.24133+0.059077i,0.11004-0.084215i,0.024363-0.11388i,-0.0029-0.073433i,0.011239-0.041266i,0.034199-0.051469i,0.025853-0.0567i,0.0043234-0.030256i,-0.0062177-0.0033088i,-0.013797+0.0018507i,-0.025021-0.0058923i,-0.032259-0.0066134i,-0.027128+0.0017643i,-0.013457+0.0070972i,-0.00017809+0.0069023i,0.0096331+0.0042034i,0.011788-0.00096503i,0.0030075-0.0089519i,-0.013053-0.01921i,-0.027898-0.025981i
-0.30139-0.18626i,-0.39921-0.2409i,-0.2871-0.19402i,-0.12674-0.1249i,-0.086811-0.073266i,-0.089674-0.0051205i,-0.066494+0.047756i,-0.042527+0.063011i,-0.035045+0.046076i,-0.030631+0.024589i,-0.013194+0.015371i,0.0057596+0.0061971i,0.0078407+0.0045615i,0.0046399+0.01763i,0.0067675+0.022571i,0.0090453+0.0098417i,0.0071114-0.0081476i,0.0016013-0.01882i,-0.0037505-0.019297i,-0.0049554-0.010393i,0.0023658+0.0034761i,0.013956+0.014578i,0.014276+0.020805i
0.40484+0.054637i,0.48548+0.026663i,0.25748-0.01807i,-0.032142+0.033346i,-0.1093+0.15404i,-0.059884+0.18854i,-0.013266+0.11493i,-0.0037942+0.029649i,-0.015192+0.011141i,-0.00087701+0.021412i,0.01683+0.0034354i,0.0084019-0.010507i,0.0050431-0.0036209i,0.01684+0.0021168i,0.023553+0.0023344i,0.016185+0.0012765i,0.0020173+0.0062797i,-0.0053955+0.011837i,-0.0063009+0.0084616i,-0.0047633+0.00093767i,-0.0045845-0.0057624i,-0.0069808-0.0040238i,-0.00073686+0.0071664i
-0.36481+0.14207i,-0.46895+0.2254i,-0.3075+0.22475i,-0.037342+0.11851i,0.11147-0.033291i,0.14169-0.11016i,0.11814-0.08125i,0.098209-0.027565i,0.08789-0.021519i,0.050294-0.032338i,0.01083-0.019452i,0.00016663-0.0048245i,0.0032922-0.0069926i,0.0020142-0.020187i,-0.0080739-0.025424i,-0.014729-0.011595i,-0.0090678+0.0011129i,-0.0022861+0.0043611i,0.00038298+0.0090125i,0.0039962+0.012591i,0.0086848+0.0079815i,0.016642-0.0056579i,0.021955-0.025262i
0.3149-0.4469i,0.41784-0.61465i,0.32081-0.51092i,0.12067-0.2402i,-0.012483-0.024526i,-0.057778+0.055422i,-0.044777+0.03368i,-0.041918-0.0096288i,-0.066695-0.0069876i,-0.05866+0.022575i,-0.023066+0.030774i,-0.0069235+0.021032i,-0.013825+0.017122i,-0.022085+0.023127i,-0.016238+0.027552i,-0.00183+0.020163i,0.0062229+0.0072419i,0.0082614-0.001397i,0.0090434-0.0074895i,0.0032027-0.0092564i,-0.0078753-0.0015824i,-0.019726+0.0099526i,-0.031953+0.014134i
-0.069032+0.48511i,-0.087391+0.62272i,-0.055394+0.43513i,-0.029837+0.13584i,-0.026773-0.0037603i,-0.0097083-0.01888i,0.003395-0.013695i,0.013516-0.0087774i,0.033175-0.0045441i,0.046025-0.0080944i,0.039002-0.017169i,0.021946-0.016545i,0.019052-0.006326i,0.027896-0.0027071i,0.025239-0.0059685i,0.0073353-0.0089079i,-0.011481-0.0037549i,-0.016912+0.0050599i,-0.011288+0.0092516i,-0.0025473+0.0071385i,0.0067909-0.0030305i,0.0094722-0.012835i,0.0064113-0.0061732i
-0.23504-0.38119i,-0.32584-0.44628i,-0.26149-0.23767i,-0.073881-0.0025144i,0.077153+0.03169i,0.087259-0.0101i,0.019552-0.0025383i,-0.015282+0.036018i,0.014434+0.036268i,0.028319-0.0089112i,0.0039679-0.021613i,-0.0013731-8.9672e-05i,0.0072837+0.0052391i,0.0028522-0.00026163i,-0.007316-0.0023633i,-0.012465+0.0016153i,-0.0030071+0.0024195i,0.0081585-0.0074571i,0.006907-0.01289i,0.0016871-0.0090754i,-0.0012418+0.00052405i,0.0041368+0.013645i,0.018605+0.014268i
0.42509+0.25584i,0.57737+0.25544i,0.43211+0.063375i,0.082008-0.090867i,-0.20139-0.054389i,-0.27069+0.041991i,-0.15721+0.077795i,-0.030892+0.017336i,-0.036792-0.042305i,-0.064748-0.0037254i,-0.018715+0.029438i,0.01139-0.00074103i,-0.0087417-0.01924i,-0.031528-0.0058118i,-0.033149+0.017111i,-0.014048+0.028558i,-0.0022893+0.021319i,-0.0030846+0.014201i,0.0035351+0.009919i,0.0095807+0.0024948i,0.0057665-0.0027675i,-0.0024623-0.009731i,-0.012951-0.019763i
-0.36494-0.15198i,-0.47572-0.22414i,-0.35887-0.19367i,-0.11627-0.082789i,0.099772+0.0031815i,0.21621+0.027639i,0.20076+0.0043769i,0.1143-0.0010673i,0.068092+0.030854i,0.061634+0.040934i,0.042435+0.021385i,0.011313+0.015529i,0.0049091+0.033056i,0.028352+0.038164i,0.042644+0.015389i,0.026836-0.0088836i,0.0040776-0.012219i,-0.0067665-0.0037966i,-0.013469+0.0030937i,-0.017737+0.010175i,-0.010947+0.016121i,0.00051246+0.017809i,0.002384+0.019689i
0.40963-0.082305i,0.51143-0.07033i,0.35502+0.019715i,0.12666+0.093801i,0.003018+0.066984i,-0.051722-0.024282i,-0.085553-0.075641i,-0.092305-0.060724i,-0.058468-0.043385i,-0.020988-0.058966i,-0.019831-0.057526i,-0.016401-0.023846i,0.0022223-0.011179i,0.0032724-0.018729i,-0.0071303-0.015682i,-0.011829-0.0028352i,-0.0035457+0.008913i,0.010821+0.0085407i,0.015011+0.001445i,0.0123-0.0062785i,0.0045107-0.014094i,-0.0069834-0.012796i,-0.0067283-0.0046862i
-0.41902+0.22413i,-0.50647+0.32675i,-0.29031+0.24603i,-0.029675+0.040355i,0.026968-0.076251i,-0.0066443-0.026088i,0.0089044+0.060636i,0.052444+0.072941i,0.054185+0.032765i,0.02374+0.011711i,0.021971+0.0090032i,0.034985-0.008036i,0.027695-0.02587i,0.0081991-0.025691i,-0.0083512-0.010168i,-0.0085872+0.0011425i,-0.0075921-0.0055408i,-0.012939-0.0089043i,-0.0066022-0.0012411i,0.0064876+0.0015497i,0.015726+0.00037346i,0.024029-0.0037914i,0.024103-0.013334i
0.27299-0.42409i,0.26686-0.63999i,0.060757-0.54126i,-0.12818-0.15423i,-0.12499+0.21083i,-0.049431+0.31827i,-0.015488+0.19695i,-0.022441+0.053233i,-0.02882+0.035206i,0.013714+0.069274i,0.046432+0.053491i,0.01452+0.027282i,-0.026979+0.042752i,-0.02707+0.061045i,-0.0075868+0.041299i,-0.00073864+0.0069453i,-0.0029635-0.0069936i,-0.00089516-0.0079937i,-0.0016472-0.012949i,-0.0076104-0.012746i,-0.0088583-0.0044331i,-0.010004-0.00096107i,-0.019592-0.00094112i
-0.046223+0.50919i,0.051516+0.66282i,0.11727+0.44816i,0.076399+0.045469i,0.018214-0.25489i,0.02761-0.32012i,0.068022-0.17288i,0.098621-0.043772i,0.07075-0.063858i,-0.01332-0.093542i,-0.056451-0.068642i,-0.039582-0.042147i,-0.0032352-0.032227i,0.013431-0.034065i,-0.0042492-0.024955i,-0.023541+8.5905e-05i,-0.02344+0.01926i,-0.012642+0.026433i,-0.0019383+0.028542i,0.0060864+0.024314i,0.0048471+0.009311i,-0.0075528-0.0013336i,-0.011328+0.0061896i
0.018914-0.57304i,-0.045542-0.70382i,-0.016535-0.48133i,0.051796-0.15542i,0.025309+0.017872i,-0.077823+0.031621i,-0.13455-0.020456i,-0.11874-0.027231i,-0.069369+0.027053i,-0.032934+0.068944i,-0.013533+0.090867i,0.011242+0.08624i,0.019694+0.051428i,0.011262+0.029998i,0.0090722+0.028411i,0.008544+0.02506i,0.0063448+0.010639i,0.0048484-0.011069i,-5.5904e-05-0.023888i,-0.0079003-0.021534i,-0.011387-0.006636i,-0.0044792+0.010743i,0.0076206+0.0068639i
0.2686+0.4031i,0.41015+0.39108i,0.29673+0.14024i,0.097616+0.012123i,0.15367+0.10314i,0.39203+0.18225i,0.47699+0.12129i,0.33711+0.0061906i,0.17376-0.041033i,0.13201-0.053608i,0.12159-0.092383i,0.068539-0.095006i,0.02828-0.05765i,0.003309-0.033641i,-0.014579-0.011827i,-0.011272+0.012973i,-0.0071822+0.031819i,-0.0092207+0.038105i,-0.0078181+0.026257i,-0.0027924+0.0081864i,0.0041938-0.0048704i,0.0060578-0.013077i,-0.005547-0.0087585i
-0.56731-0.51941i,-0.80514-0.51376i,-0.72599-0.22754i,-0.49804+0.049703i,-0.52831+0.12279i,-0.72276+0.11234i,-0.67053+0.059298i,-0.40827-0.024099i,-0.18483-0.032817i,-0.028398+0.040504i,0.078086+0.079861i,0.078392+0.063703i,0.03434+0.06292i,0.038333+0.05426i,0.046868+0.013097i,0.027412-0.016959i,0.0098779-0.024811i,0.0047188-0.017935i,0.012914-0.0002606i,0.02565+0.011113i,0.0333+0.021174i,0.048045+0.038336i,0.060084+0.035643i
0.75047+0.036381i,0.927-0.16528i,0.6963-0.36869i,0.29781-0.31154i,0.17219-0.098318i,0.28434+0.053987i,0.33981+0.14863i,0.26523+0.14956i,0.12027+0.057601i,-0.026926-0.021032i,-0.08996-0.04412i,-0.068539-0.039639i,-0.042469-0.026683i,-0.054783+0.0042293i,-0.065067+0.038909i,-0.040429+0.042487i,-0.011288+0.022939i,-0.001692-0.0020857i,-0.0073437-0.023876i,-0.014926-0.029123i,-0.011775-0.029726i,-0.014599-0.045485i,-0.032787-0.054486i
-2.0797+6.5877i,0.16631+6.5231i,3.207+5.533i,4.4127+2.1817i,3.6909-1.1001i,1.6176-2.4229i,-0.1771-1.3314i,-0.46484+0.25708i,0.4271+0.84924i,1.2468+0.35438i,1.1558-0.33808i,0.40744-0.48262i,-0.58437+0.16911i,-1.4054+1.2238i,-1.6814+1.3958i,-1.4945+0.50188i,-1.1748-0.18461i,-0.76289-0.00053841i,-0.15658+0.34471i,0.1419+0.28277i,-0.10148+0.16945i,-0.44596+0.27063i,-0.4931+0.43776i
0.66315-0.52209i,0.60118-0.57168i,0.36765-0.31064i,0.32821-0.09382i,0.49119-0.24388i,0.52614-0.51795i,0.32364-0.52016i,0.0962-0.27355i,0.023821-0.09847i,-0.030832-0.1174i,-0.14028-0.11651i,-0.14784-0.035307i,-0.074526-0.0019946i,-0.032392+0.0059374i,0.00033013+0.013319i,0.018284-0.01667i,0.01163-0.048664i,0.0138-0.050707i,0.024862-0.047961i,0.021406-0.062067i,-0.012141-0.08041i,-0.063478-0.080133i,-0.086907-0.048897i
-0.51245+0.82847i,-0.35565+1.0145i,0.011669+0.68125i,0.2239+0.082648i,0.23949-0.36786i,0.21135-0.56224i,0.094566-0.48979i,-0.028215-0.24046i,-0.07242-0.07525i,-0.14262-0.039892i,-0.1934+0.022034i,-0.12651+0.080336i,-0.050582+0.063117i,-0.041035+0.05162i,-0.02505+0.066224i,0.020554+0.052374i,0.043629+0.028349i,0.044111+0.018474i,0.037498+0.001088i,0.014116-0.015734i,-0.0020954-0.017071i,0.0026549-0.01714i,0.011465-0.014771i
0.039672-0.72349i,-0.1932-0.87662i,-0.35508-0.55858i,-0.2206-0.14345i,-0.037701+0.043192i,-0.022017+0.07906i,-0.046329+0.069451i,-0.031197+0.047952i,0.018656+0.048451i,0.070858+0.035516i,0.070133-0.012507i,0.028882-0.04744i,0.00041859-0.045294i,0.008832-0.032832i,0.030042-0.036737i,0.033934-0.038789i,0.030833-0.021556i,0.024321-0.0031011i,0.0050942+0.0079243i,-0.013113+0.016887i,-0.019595+0.01853i,-0.015132+0.0057207i,-0.005546-0.011756i
0.019106+0.84022i,0.12074+1.0193i,0.16149+0.7237i,0.08522+0.28588i,-0.001071+0.018359i,-0.027405-0.06964i,-0.04458-0.062673i,-0.066986-0.044045i,-0.080962-0.057458i,-0.089626-0.085014i,-0.096418-0.082286i,-0.070077-0.042059i,-0.010341-0.020286i,0.032231-0.025825i,0.040779-0.022883i,0.026298-0.019185i,0.0028685-0.022435i,-0.012445-0.016694i,-0.013151-0.002295i,-0.0075195+0.0030808i,-0.0073625-0.0049965i,-0.015724-0.0053801i,-0.014166+0.014877i
-0.35173-0.53033i,-0.46846-0.48526i,-0.29266-0.19898i,-0.016821-0.037513i,0.091972-0.050495i,0.082291-0.07617i,0.045626-0.077699i,-0.0095214-0.022789i,-0.016964+0.044916i,-0.023579+0.052586i,-0.046749+0.058013i,-0.03196+0.051657i,-0.024471+0.017011i,-0.033037+0.0099255i,-0.019953+0.017877i,-0.00089425+0.011468i,0.0078963+0.0017296i,0.011805-0.0041172i,0.012462-0.0067082i,0.0063661-0.0042667i,-0.0062403+0.004017i,-0.016908+0.015041i,-0.014687+0.020195i
0.55113+0.4434i,0.64537+0.38941i,0.37354+0.14423i,0.059445-0.011394i,-0.030412-0.064035i,-0.031583-0.11953i,-0.032927-0.1028i,0.021395-0.054268i,0.051267-0.051191i,0.037679-0.031214i,0.036682-0.01428i,0.020733-0.02227i,-0.003299-0.014822i,-0.00099898-0.0097913i,0.0068977-0.020924i,0.0046349-0.021005i,0.0032472-0.0043439i,0.0052863+0.0087363i,0.0039296+0.0086114i,0.0026701+0.0071138i,0.0072656+0.0029258i,0.01059-0.012264i,0.0030154-0.023337i
-0.58825-0.18894i,-0.66473-0.049818i,-0.38089+0.15365i,-0.088205+0.16375i,-0.074869+0.073514i,-0.18359+0.094808i,-0.20778+0.13366i,-0.17719+0.10676i,-0.13211+0.059325i,-0.090915+0.019014i,-0.068185+0.011532i,-0.036957+0.025459i,-0.00042889+0.021666i,0.014059+0.0038059i,0.0074508-0.0046223i,-0.00062484-0.005224i,-0.00015641-0.01564i,-0.0024802-0.028286i,-0.009373-0.025361i,-0.0086812-0.013672i,-0.0049951+0.0010543i,0.001294+0.020353i,0.013862+0.02817i
0.58857+0.046156i,0.71855-0.051666i,0.53158-0.16948i,0.2531-0.14666i,0.14354-0.0032312i,0.19238+0.079829i,0.23903+0.061702i,0.20195+0.027214i,0.12021+0.038214i,0.071881+0.058172i,0.054192+0.038207i,0.031077+0.0033519i,0.0049938-0.012453i,-0.010732-0.0088127i,-0.0097882+0.0064414i,-0.0012079+0.013805i,-0.0039665+0.012998i,-0.008348+0.019654i,-0.0022848+0.025389i,-0.00056582+0.017186i,-0.0066137-0.0017668i,-0.011839-0.017613i,-0.010396-0.018539i
-0.51746+0.096339i,-0.62849+0.15291i,-0.46814+0.14899i,-0.19778+0.058507i,0.01876-0.082168i,0.12242-0.19806i,0.078619-0.22888i,-0.0068051-0.15972i,-0.015743-0.097212i,-0.015619-0.092464i,-0.039391-0.072149i,-0.033015-0.029175i,-0.0023819-0.0090749i,0.018827-0.0070102i,0.028022-0.011429i,0.027085-0.015698i,0.02238-0.010923i,0.02017-0.0074775i,0.016302-0.0097569i,0.015286-0.0069145i,0.017895+0.0014508i,0.013892+0.0059471i,0.0017419+0.005908i
0.40521-0.13352i,0.46352-0.17353i,0.2964-0.1147i,0.069823-0.022145i,-0.12372+0.0092401i,-0.27027+0.012417i,-0.26826+0.042114i,-0.15749+0.045062i,-0.082171+0.03141i,-0.045027+0.039053i,-0.020659+0.039633i,-0.018497+0.025786i,-0.028173+0.015952i,-0.03031+0.012669i,-0.024185+0.010061i,-0.019129+0.0060979i,-0.017105+0.001157i,-0.015138-0.0036533i,-0.01344-0.007719i,-0.017478-0.012026i,-0.023598-0.013507i,-0.022668-0.0083314i,-0.012008+0.00025246i
-0.33195+0.13617i,-0.39629+0.16218i,-0.2382+0.10291i,-0.011403+0.037918i,0.14909+0.053422i,0.24261+0.10444i,0.23229+0.10133i,0.1531+0.072345i,0.088198+0.04704i,0.049895+0.025609i,0.037513+0.012442i,0.038075+0.0005257i,0.03716-0.0043349i,0.035456-0.0051687i,0.027558-0.0094307i,0.01748-0.0071005i,0.012256+0.0026747i,0.0085511+0.0126i,0.0035767+0.016577i,0.00047532+0.015164i,0.0025725+0.014793i,0.010534+0.012655i,0.015155+0.0077366i
0.26229-0.15849i,0.24349-0.18665i,0.05118-0.099891i,-0.10428-0.010685i,-0.12993-0.056192i,-0.13269-0.16926i,-0.11953-0.20236i,-0.08893-0.1641i,-0.055935-0.11902i,-0.035611-0.104i,-0.051222-0.088221i,-0.058781-0.045087i,-0.035488-0.017369i,-0.018497-0.0086423i,-0.010518+0.0030271i,-0.00243+0.006621i,0.0043055-9.7406e-06i,0.0092358-0.010669i,0.0089494-0.015028i,0.006792-0.0077282i,0.0044143-0.0020901i,-0.0023884-0.00090841i,-0.0031132+0.00034432i
-0.31561+0.23379i,-0.31372+0.37549i,-0.05457+0.32833i,0.15724+0.10011i,0.10541-0.04621i,-0.020057-0.005757i,-0.06652+0.070877i,-0.049967+0.10067i,-0.029691+0.093667i,-0.028413+0.091322i,-0.0082025+0.094866i,0.020765+0.063516i,0.018896+0.017484i,0.007104-0.0047004i,0.0012746-0.0074828i,-0.0049547-0.0033689i,-0.011289-0.0019362i,-0.015721+0.0024963i,-0.01428+0.0082963i,-0.0094348+0.0047764i,-0.0042123-0.00038265i,0.0016486-0.0014258i,0.0032332-0.0016766i
0.29979-0.1654i,0.34173-0.29374i,0.15047-0.27376i,-0.041692-0.077933i,-0.031257+0.1125i,0.06993+0.15979i,0.11714+0.10645i,0.089669+0.040131i,0.05116+0.0091303i,0.038532-0.010705i,0.02113-0.03721i,-0.010285-0.035632i,-0.022528-0.0009047i,-0.0070266+0.026966i,0.01774+0.024538i,0.031731+0.005282i,0.031157-0.0036089i,0.027589-0.0017326i,0.022284+5.4372e-05i,0.013518+0.0042472i,0.0047402+0.007611i,-0.0031727+0.0039839i,-0.0073047-0.0017508i
