-0.0015767-0.00041141i,-0.0011754+0.00018092i,-0.0013965+0.00046365i,-0.0013404+0.0016763i,-0.0013794+0.0019105i,-0.0008795+0.00058242i,4.3514e-05-0.0002609i,1.6221e-05+0.00019616i,0.00047414+0.00071026i,0.00083485+0.00048921i,0.00075987+0.00010143i,0.00084584+0.00023964i,0.00013843+0.00022781i,-0.00058819-3.2986e-05i,-0.00035018-0.00041221i,-3.6805e-05-8.5515e-05i,0.00010192+0.00049168i,-0.00013003+0.00025058i,-0.00067495-0.00040211i,-0.00019132-0.00053068i,0.00044463-0.00039164i,-9.9516e-05-0.00056675i,-0.0011339-0.00040616i
-0.0013549-0.00059922i,-0.0020875-0.0010093i,-0.0019651-0.0011403i,-0.001653-0.00037558i,-0.0010444+0.00075878i,-0.00079913+0.0013504i,-0.00050972+0.00098204i,6.1575e-05+0.00044774i,-5.2025e-05+0.00025424i,-0.00036879+0.00040491i,0.00033653+0.00028474i,0.00052176+0.00032089i,6.7164e-05-0.00018938i,-0.00020138-0.00050151i,-0.00037627-0.00036794i,-0.00051637-0.00053113i,-0.00018585-0.00063476i,-9.8276e-05-0.0004507i,0.00015853-0.00016538i,-0.00037343-0.00072243i,-0.00037834-0.0010275i,2.057e-05+3.8109e-05i,-0.00013064+0.00079247i
-0.00048194-0.00081974i,-0.00089415-0.0007671i,-0.00065466+0.00010352i,-0.00051721+0.00040131i,0.00014337+0.00044164i,0.00092708+0.00042006i,0.00044773-0.00017557i,-4.1811e-05+0.00044499i,0.00031863+0.001022i,0.00084614+9.2097e-05i,0.001001-0.00072259i,0.0010188-9.0667e-05i,0.00018829+0.0010044i,-0.00039138+0.0013473i,0.00029774+0.0015194i,-0.00018532+0.00084086i,-0.0002549-8.6431e-05i,0.00044734+0.00016516i,0.00046178+0.0010379i,0.000642+0.00095763i,0.00082032-0.00029416i,0.00031105-0.00067224i,2.2374e-05+7.6795e-05i
0.0011159+0.00090808i,0.0015452-0.0010457i,0.0015484-0.0022177i,0.0021602-0.0020248i,0.0022028-0.0023039i,0.0020007-0.0024637i,0.0012507-0.0016296i,0.00017679-0.00078112i,-2.3506e-07-0.00081335i,0.0011443-0.00070903i,0.001021+3.9646e-06i,-6.696e-06+0.00040969i,0.00011986+0.00014898i,3.5153e-05-0.00020098i,-0.00049189-3.8625e-05i,-0.00027499-0.0001256i,0.00029225+0.00024776i,0.00031002+0.00014876i,0.00030025-0.00056297i,0.00085492-0.00025918i,0.00043726+0.00017336i,-0.00042412+0.00013273i,0.0001187+4.9206e-05i
0.0021663+0.0008589i,0.0033121-0.00071873i,0.002659-0.0019135i,0.0011789-0.0021398i,0.00022792-0.0024098i,-0.00041203-0.0023724i,-0.00062104-0.0019623i,-0.00028288-0.0014836i,-7.5988e-05-0.000235i,-0.00049777+0.00097163i,-0.00040054+0.00091796i,-0.00010886+0.00085129i,-0.00019287+0.00058502i,-0.00022903+2.2639e-05i,-0.00010483-0.00022813i,0.00022352-9.7029e-05i,0.00017565+0.00017442i,0.00029315-0.00091315i,0.00048625-0.0013125i,0.00057949-0.0014852i,0.00064787-0.0014962i,-8.2835e-06-0.0010992i,-0.00068567-0.00073954i
-0.00053465+0.0002283i,-0.00054082-0.00027837i,-0.0024123+0.0003225i,-0.0028825+0.0016361i,-0.00093165+0.0020375i,0.00033908+0.001643i,-0.00042257+0.0013063i,-0.0013267+0.00054966i,-0.0011217-0.00018474i,-0.00041329-0.00012605i,0.00015355+0.00051338i,0.00055482+0.00059035i,0.00016011-5.7586e-05i,-0.00018356-0.00018609i,-2.7285e-05+4.6638e-05i,0.00030998+0.00017201i,0.00096093-0.00022828i,0.0006399-0.00020408i,-0.00026277-9.6023e-07i,0.00039723-0.00083318i,0.00041603-0.0011338i,-0.00039001-0.00044999i,-0.00031293+0.00042168i
-0.0039192+0.0012602i,-0.0024851+0.0015147i,0.0001384+0.0027041i,0.0010657+0.0040571i,0.0016134+0.0031609i,0.0024494+0.0013752i,0.0019153-5.8807e-05i,0.0012888+0.0001987i,0.0010017+0.00099458i,0.00013714+0.0014629i,6.7009e-05+0.0011598i,0.00028296+0.00067731i,-0.00041775+0.00068954i,-0.00072679-0.00015076i,-0.00010678-0.00083562i,0.00052471-0.00095217i,0.00047929-0.0011397i,0.00024909-0.0010318i,-0.00010422-0.0011966i,-0.00037973-0.00079783i,0.00010394-0.00072834i,0.0011051-0.00083024i,0.0011739+4.8436e-05i
-0.0018005-0.0011054i,-0.0026768-0.00049312i,-0.0021536+0.0004573i,-0.00050098+0.00087943i,0.00062784+0.00089577i,0.0013803+7.914e-05i,0.0010991-0.00034446i,0.0008331+6.0813e-06i,0.0011875+0.00017593i,0.0011398+0.00033741i,0.00048227+0.00052923i,0.00069513-9.1052e-05i,0.00091812-0.00012417i,0.00053857-0.00026135i,0.00051943-0.00076574i,0.00043155-0.00042241i,-0.00050994-0.0004022i,-0.00095267-0.00057588i,-0.0011975-0.00031051i,-0.0010592+0.0005813i,-0.0011391+0.0014046i,-0.0007642+0.0012586i,0.00025834+8.9364e-05i
-0.00020973-0.0040159i,-0.001201-0.0039169i,-0.0032209-0.0032121i,-0.0043981-0.0019024i,-0.0036244-0.00067195i,-0.0019234+0.00023331i,-0.0013387+0.00042944i,-0.0008887+0.00018633i,-0.00012602-0.00015309i,0.00044461-0.00091798i,0.00050495-0.00070169i,0.00048342+0.00012772i,0.0010278+0.00046231i,0.0015781+0.00016967i,0.0012725+0.00011948i,0.00021119+7.6926e-05i,1.6369e-05+3.9186e-05i,0.0004711+6.8789e-05i,0.00060002+0.00039634i,0.00024184+0.00031317i,1.4654e-05-6.0272e-05i,0.00050933+0.00047827i,0.00036454+0.00050706i
0.0020185-0.0023756i,-2.0827e-05-0.0027102i,-0.00048599-0.0020072i,-0.0011243-0.00067863i,-0.0017011-0.00048265i,-0.0016509+0.00032147i,-0.00077951+0.00095526i,-3.9097e-05+0.00069072i,-0.00019398-6.5292e-05i,-0.00035098-0.00040679i,-0.00015051-0.00022888i,0.00077371-0.00044502i,0.00077728-4.9624e-05i,0.00054457+0.00056955i,0.00076482+8.27e-05i,0.00080138+9.7455e-05i,0.00045289+0.00028523i,-0.00022836-0.00037075i,-0.00034007-0.00029496i,-0.00024394+0.00055373i,-0.00105+0.0014238i,-0.00099931+0.0013625i,-0.00020814+0.0005805i
-0.0012859+0.0014663i,-0.00069463+0.0013699i,0.00056827+0.00233i,0.0019387+0.0020744i,0.0025743+0.0014146i,0.0020994+0.0009321i,0.0012518+0.00034188i,0.00020791+0.00029948i,-0.00010596+0.00014289i,-0.00052009-0.00022574i,-0.00024856-0.00024606i,0.00061878-0.00068668i,0.00089431-0.00079054i,0.00070293+0.00018318i,0.0004856+0.00014111i,0.0013108-0.00082395i,0.0011455-0.0014104i,0.0002074-0.00155i,0.00027582-0.0012124i,0.00036123-0.0013318i,0.00031004-0.0013909i,0.00013966-0.0003923i,-0.000196+1.6061e-05i
