0.00072809+0.00048253i,0.00025616-0.00027824i,0.00024621-0.0010661i,-0.00013643-0.0012435i,-0.001503-0.001671i,-0.0022115-0.00098828i,-0.00082807+0.00061143i,0.0010622+0.0011314i,0.0017314+0.00077495i,0.0017884-0.00038806i,0.00084417-0.00067127i,1.2898e-05-0.00034091i,-1.3164e-05-0.00010145i,0.00039451-0.00029298i,0.00011049-0.00032334i,0.00050066+0.0001223i,0.00039747+0.0005537i,0.00014372+0.00099422i,0.00093494+0.00078892i,0.00063423+0.00057586i,0.00020009-4.6873e-05i,0.00083352+2.1648e-05i,0.00036916+0.000581i
0.0017413-0.0045876i,0.0086101-0.0089167i,0.015919-0.012027i,0.014911-0.010684i,0.0010798-0.0093655i,-0.01184-0.0059282i,-0.014006-0.0025734i,-0.017456-0.0018635i,-0.024693+0.0046682i,-0.021922+0.015152i,-0.010512+0.016966i,-0.0035947+0.01203i,-0.001609+0.0093715i,0.00031783+0.0088861i,0.0019932+0.0065751i,0.0016962+0.0034142i,0.00095171+0.0019818i,0.0016447+0.0016199i,0.0020812+0.00067606i,0.0017823-0.0012653i,-7.0177e-05-0.0015814i,-0.0011966-0.00034193i,-0.00082422+0.00022879i
-0.00029557+0.0047696i,-0.0036635+0.013438i,-0.010072+0.031814i,-0.016013+0.053964i,-0.017942+0.067716i,-0.0093039+0.064096i,-0.00070361+0.050132i,0.0023919+0.038209i,0.0095485+0.028621i,0.018455+0.017374i,0.018065+0.0081458i,0.0088831+0.007134i,0.0016864+0.010256i,-5.5839e-05+0.0089559i,-0.00059187+0.0027605i,-0.0011403-0.0028411i,-0.0001955-0.0053654i,0.0015578-0.005024i,0.0024828-0.0039896i,0.0018742-0.0019716i,0.0013192+0.0010138i,0.002193+0.0019777i,0.0028446+0.00076627i
-0.0074285-0.003386i,-0.011434-0.0094563i,-0.015007-0.019839i,-0.006403-0.026404i,0.01627-0.02127i,0.026747-0.015082i,0.019742-0.012116i,0.01584-0.0068009i,0.017834-0.0045193i,0.0144-0.010742i,0.0068808-0.014772i,0.0059713-0.013844i,0.0092917-0.013643i,0.0091629-0.01184i,0.0060377-0.0056003i,0.0016598+0.00054372i,-0.0016267+0.0026596i,-0.0023704+0.001443i,-0.0031042-0.00036083i,-0.0038903-0.0010077i,-0.0028814-0.00089027i,-0.0013042-0.00054366i,-0.00099263+0.00050121i
0.00043253-0.00086742i,0.010606+0.00043869i,0.033463+0.0041608i,0.057495-0.0010156i,0.061713-0.01796i,0.04955-0.027452i,0.033896-0.025831i,0.019366-0.024116i,0.001172-0.024676i,-0.014485-0.018364i,-0.015534-0.0075882i,-0.0073251-0.0030538i,-0.0013616-0.0028677i,0.00091588-0.0025114i,0.00083156-0.0020786i,-0.00062568-0.0016578i,-0.002078-0.0014851i,-0.0018324-0.00096293i,-0.00089725+3.4723e-05i,0.00051892+0.00025417i,0.0023192-0.00064802i,0.0014766-0.0011558i,-0.00065219-0.00082355i
-0.0066091+0.0022249i,-0.015195+0.0088594i,-0.033257+0.015277i,-0.051827+0.01347i,-0.055309+0.0027517i,-0.050043-0.0061247i,-0.042174-0.003475i,-0.031142+0.0021138i,-0.023475+0.0086453i,-0.016292+0.018172i,-0.0084687+0.019389i,-0.0076035+0.010457i,-0.011087+0.0033087i,-0.01056+0.00043805i,-0.0048092-0.0012607i,0.0015004-0.00090803i,0.0045511+0.00076493i,0.0043146+0.0013252i,0.0037754+0.0020498i,0.0036515+0.0031606i,0.0024319+0.0028297i,0.0011122+0.0020208i,0.001812+0.0021228i
0.0010328-0.0044344i,-0.00043173-0.015798i,-0.0044775-0.032039i,-0.014103-0.037532i,-0.030139-0.02904i,-0.031549-0.011441i,-0.018207-0.00095788i,-0.01122+0.0042785i,-0.0018337+0.015381i,0.014362+0.016712i,0.020658+0.0057363i,0.014626+0.00049753i,0.0083454+0.0018281i,0.0043612+0.0014331i,0.00024405-0.0001567i,-0.0033398-0.00065795i,-0.0046334-0.00039244i,-0.0041616+0.00041443i,-0.0026586-0.00053198i,-0.0011989-0.0026211i,-0.0018956-0.0031963i,-0.0016226-0.0014456i,-0.00085369-0.00040623i
0.0025576+0.00041883i,0.009251+0.010128i,0.023716+0.029396i,0.038735+0.05416i,0.041986+0.072912i,0.035971+0.064569i,0.028917+0.04165i,0.027434+0.024613i,0.028491+0.0062464i,0.022719-0.012524i,0.012037-0.016653i,0.0066267-0.0074611i,0.00678+0.00038398i,0.0054509+0.0033782i,0.0030305+0.0038963i,0.0032795+0.0011787i,0.0032243-0.0022043i,0.0015528-0.004003i,-6.2097e-05-0.0041909i,-0.00024654-0.0033543i,0.0011895-0.0017817i,0.0021891-0.0014286i,0.0018298-0.0020417i
-0.0059847-0.0017706i,-0.017707-0.0017566i,-0.03364+0.0029839i,-0.0298+0.0091184i,0.00021569+0.0026783i,0.018352-0.0069926i,0.01393-0.011045i,0.0056524-0.014609i,-0.0027901-0.021549i,-0.017597-0.023387i,-0.025075-0.014299i,-0.017341-0.0084299i,-0.0095683-0.0093657i,-0.0059658-0.0059371i,-0.0020811+0.00022175i,-0.00015923+0.0038257i,-4.7599e-06+0.0062336i,-0.00059628+0.006052i,-0.0011562+0.004482i,-0.0013233+0.0046207i,-0.0010335+0.005437i,-0.00032108+0.00426i,0.00036161+0.002635i
0.00059128-0.0054895i,0.007187-0.016467i,0.025119-0.038612i,0.038126-0.066232i,0.030256-0.076136i,0.020065-0.062579i,0.01266-0.043183i,0.00064783-0.027496i,-0.016169-0.011021i,-0.02128+0.0096045i,-0.0099598+0.017972i,-0.00209+0.011376i,-0.0020272+0.0058283i,0.0010599+0.0033305i,0.0033446-0.001446i,0.0011805-0.0053044i,-0.0013446-0.0053761i,-0.0020204-0.003414i,-0.00093234-0.0015342i,0.00062207-0.0011422i,0.0013071-0.0025201i,0.0015084-0.0033755i,0.00090187-0.0031075i
-0.0017898+0.002345i,-0.00014505+0.01605i,-0.0054163+0.034899i,-0.016054+0.042903i,-0.023164+0.027536i,-0.031745+0.0084363i,-0.032177+0.0083392i,-0.022085+0.015052i,-0.0092796+0.02423i,0.0075409+0.029705i,0.018824+0.02122i,0.015145+0.010883i,0.0080699+0.0079171i,0.0051775+0.0048688i,0.0035244+0.0004593i,0.0028512-0.00026945i,0.0024381+0.00051812i,0.0022624+0.00031647i,0.0033874-0.00040037i,0.004783-0.0018223i,0.0039601-0.0025442i,0.001435-0.0019266i,-0.00021279-0.0011679i
-0.0030869-0.0029639i,-0.016486-0.010443i,-0.035601-0.013794i,-0.052564-0.0025983i,-0.06061+0.015653i,-0.042031+0.023913i,-0.016611+0.015289i,-0.0055301+0.009418i,0.0093071+0.0046911i,0.021857-0.012385i,0.015673-0.023814i,0.0059787-0.017503i,0.0044198-0.0090797i,0.001101-0.0072467i,-0.0053454-0.0061647i,-0.0073169-0.0028918i,-0.0050458-0.0010269i,-0.0028249-0.0014888i,-0.0027426-0.0019571i,-0.0044501-0.0018274i,-0.0055772-0.00010752i,-0.0052527+0.0020216i,-0.0032052+0.0028666i
0.0071333-0.0020452i,0.019688-0.0022215i,0.040831-0.0060292i,0.059138-0.00045341i,0.064322+0.021596i,0.045513+0.030589i,0.024162+0.024027i,0.020773+0.013259i,0.01693-0.0043297i,0.00071211-0.016793i,-0.012624-0.014148i,-0.010478-0.0076691i,-0.005784-0.0063137i,-0.0046612-0.0032935i,-0.0010154+0.0012166i,0.0028065+0.0015903i,0.0034497+0.00080717i,0.0023227+0.00038111i,4.7797e-06+0.00056648i,-0.0012731+0.0020838i,0.00045027+0.0021585i,0.0026454+0.0015847i,0.0030538+0.0018085i
-0.0042275+0.0026974i,-0.01136+0.010746i,-0.012716+0.028761i,0.0073857+0.032092i,0.035567+0.0018337i,0.03999-0.017199i,0.024153-0.013724i,0.0077384-0.011549i,-0.0096115-0.010264i,-0.025136+0.0020152i,-0.022471+0.017377i,-0.010047+0.017922i,-0.0041245+0.011046i,-0.0011548+0.0091067i,0.0012397+0.007503i,0.00054579+0.0041123i,-0.0019234+0.0018464i,-0.0027996+0.0020145i,-0.0010084+0.0032701i,0.0017649+0.0035974i,0.0040901+0.0027612i,0.0037827+1.9887e-05i,0.0018412-0.0024306i
-0.0025739-0.0038597i,-0.00895-0.015346i,-0.018126-0.040633i,-0.032348-0.065168i,-0.03775-0.062419i,-0.019382-0.046892i,-0.0016971-0.032407i,0.0011516-0.016896i,0.00064904-0.00066993i,0.0095506+0.011276i,0.019379+0.0096136i,0.014422+0.0036227i,0.0042957+0.0034946i,0.002427+0.0014822i,0.003265-0.0048804i,0.001879-0.0073808i,0.0021282-0.00589i,0.0038937-0.0048913i,0.0048797-0.0033357i,0.0044231-0.0020641i,0.0027214-0.0036276i,0.0003958-0.0044593i,-0.00032298-0.0033087i
0.0047809+0.0033984i,0.015744+0.0078252i,0.023831+0.019319i,0.014441+0.027541i,-0.011996+0.014128i,-0.03637+0.0012818i,-0.033036+0.0024281i,-0.016632+0.0033258i,-0.0029828+0.0067336i,0.0098106+0.004116i,0.012925-0.0082096i,0.0081049-0.014151i,0.0059352-0.012433i,0.0037701-0.0098425i,6.3032e-05-0.0049691i,-0.0019797+0.00053852i,-0.0031247+0.0039537i,-0.0026001+0.005425i,-0.0012948+0.0028686i,-0.0019322-0.001924i,-0.0037924-0.0028976i,-0.0044132+0.00028421i,-0.0031363+0.003011i
-0.005852+0.00021631i,-0.017476+0.0075345i,-0.025066+0.022257i,-0.020205+0.041989i,-0.012978+0.059335i,-0.0026138+0.048314i,0.0016506+0.018372i,-0.003305+0.0033316i,-0.002861-0.0063894i,-0.0066032-0.017521i,-0.015975-0.015939i,-0.015588-0.0041644i,-0.0095183+0.0027228i,-0.0070604+0.0044092i,-0.0049995+0.0055895i,-0.0022069+0.0035498i,-0.0017021+0.00054834i,-0.0031466-0.0014008i,-0.0048475-0.0025412i,-0.0062437-0.00022493i,-0.0050028+0.0023708i,-0.0011338+0.0017854i,0.0013031+0.0001581i
0.0024372-0.0049878i,0.0060453-0.017054i,0.011235-0.034656i,0.024229-0.036874i,0.047974-0.014013i,0.042859+0.0082623i,0.015994+0.015889i,0.0065241+0.015097i,0.0043258+0.010797i,-0.0012035+0.011531i,-0.0025304+0.017548i,-0.0010344+0.016124i,-0.0032271+0.0097588i,-0.0024813+0.0060541i,0.0042677+0.0022677i,0.0080303+3.3635e-05i,0.0092041+0.00049276i,0.01016+0.0018885i,0.0086787+0.0047712i,0.0066739+0.0075356i,0.0061486+0.0073384i,0.005867+0.0043903i,0.0038282+0.0020571i
5.637e-05+0.00042465i,0.0018478+0.0077233i,0.0095639+0.017889i,0.020433+0.004136i,0.01925-0.036667i,0.01651-0.044031i,0.01542-0.018912i,0.0075644-0.0059803i,-0.00016603-0.00067916i,3.0472e-05+0.0064654i,0.0088718+0.0072482i,0.014795+0.0026656i,0.015306-0.0014188i,0.014348-0.0049816i,0.0094575-0.0071024i,0.0026703-0.0069191i,-0.0017165-0.0056051i,-0.0030691-0.0032673i,-0.0027507-0.0013475i,-0.0010165-0.0014256i,-6.5923e-05-0.0020492i,-0.0022072-0.0024113i,-0.0034452-0.0019089i
-0.0051824+0.00060191i,-0.016034+0.0032789i,-0.037739+0.002202i,-0.061636+0.0012042i,-0.063145+0.0031651i,-0.036616-0.006369i,-0.0074363-0.011449i,0.007922-0.0067167i,0.012519-0.0087969i,0.01337-0.016199i,0.0093892-0.022209i,0.0020222-0.019404i,-0.0029441-0.011221i,-0.0077555-0.0064i,-0.01143-0.0028285i,-0.0085026-0.0010014i,-0.0046355-0.0042846i,-0.0033341-0.0092998i,-0.00034363-0.011544i,0.0030847-0.0098608i,0.0030894-0.0077587i,0.0023161-0.0043228i,0.0028036-0.00073683i
0.0042743-0.0061747i,0.01153-0.013085i,0.025985-0.013538i,0.03447+0.0043491i,0.017671+0.020977i,-0.0077377+0.019767i,-0.012518+0.0046187i,-0.0095104-0.0062587i,-0.011436-0.0034085i,-0.016605+0.0011153i,-0.020178+0.0035053i,-0.016447+0.0040128i,-0.01137+0.00085255i,-0.0096219+0.0013434i,-0.0068743+0.0055352i,-0.00365+0.0072639i,-0.0026648+0.009041i,-0.002371+0.012054i,-0.0027107+0.01138i,-0.0043695+0.0074236i,-0.0048434+0.0066583i,-0.0035901+0.007387i,-0.0021112+0.005142i
0.0012321+0.0010985i,0.0022964+0.00667i,0.0087736+0.013037i,0.018748+0.014108i,0.026683+0.021434i,0.025247+0.024364i,0.012164+0.0094474i,-0.001895-0.0012004i,-0.0091674+8.6393e-06i,-0.011155+0.0080182i,-0.0077919+0.015518i,-0.0030584+0.016079i,0.00017687+0.014508i,0.0065261+0.014088i,0.012554+0.010421i,0.011553+0.0049295i,0.0060833+0.0026729i,0.001066+0.0014737i,-0.0025231-0.00058706i,-0.0036501-0.00099268i,-0.0020747-0.0013412i,0.00049459-0.0027481i,0.0018996-0.0047069i
-0.0046418-0.0020256i,-0.018352-0.0073416i,-0.039816-0.020489i,-0.043127-0.036731i,-0.013135-0.047451i,0.001403-0.036301i,-0.012191-0.0060442i,-0.0093476+0.014937i,0.0084897+0.015864i,0.022065+0.0095106i,0.029267+0.0030098i,0.026225-0.0046965i,0.014691-0.0082938i,0.0067619-0.0085573i,0.0030678-0.0093035i,0.0016178-0.0084018i,0.0049456-0.0075092i,0.0096941-0.0073509i,0.012531-0.0038439i,0.012767+0.00040743i,0.010531+0.0014793i,0.007291+0.00016316i,0.003749+0.0010815i
5.1931e-05-0.0030451i,0.0054177-0.00111i,0.015101+0.0050452i,0.011921+0.011655i,-0.0097722+0.0037375i,-0.0071591-0.0040924i,0.012997+0.00070235i,0.013405-0.00093644i,0.0060343-0.0060144i,0.0024496-0.011342i,-0.0026022-0.017866i,-0.0075671-0.014499i,-0.0064579-0.0061788i,-0.0046003-0.0072257i,-0.0060153-0.0096595i,-0.0061543-0.0064546i,-0.0053836-0.0027599i,-0.0073647-7.5561e-05i,-0.0097082+0.00096109i,-0.0085989+0.00019608i,-0.0062681-0.0014168i,-0.0067383-0.0032284i,-0.007383-0.0038129i
0.0018325+0.0046643i,0.0055928+0.018948i,0.004563+0.044239i,-0.0016882+0.068125i,-0.0089903+0.075425i,-0.012528+0.051104i,-0.00010184+0.017898i,0.013705+0.0010234i,0.007938-0.0099965i,-0.0087677-0.014172i,-0.021214-0.0092092i,-0.021522-0.0034515i,-0.015481+0.0011824i,-0.011204+0.0087556i,-0.0058092+0.014059i,-0.0014104+0.0098676i,-0.0027915+0.002821i,-0.004823-0.0016551i,-0.0036255-0.0044646i,-0.0011797-0.0049187i,-0.00053445-0.0037053i,0.000246-0.0012352i,0.0027834+0.00084881i
-0.0028149-0.0026185i,-0.0059952-0.019729i,0.005092-0.045976i,0.037338-0.06516i,0.061882-0.05925i,0.043414-0.037464i,0.0076071-0.025361i,-0.011367-0.017561i,-0.015802-0.0014234i,-0.011052+0.015391i,0.00089561+0.024978i,0.012913+0.021785i,0.01788+0.011583i,0.015694+0.0052647i,0.010582+0.0025513i,0.0072489+0.00074759i,0.0071603+0.0010539i,0.0095+0.00574i,0.010439+0.0097592i,0.0065788+0.0088215i,0.0018315+0.0078512i,0.00096389+0.0083654i,0.00027156+0.0075537i
0.0012518-0.0059965i,0.0056219-0.012693i,0.0087927-0.026231i,0.0022719-0.041025i,-0.0013217-0.041635i,0.0086112-0.024833i,0.0059185-0.010364i,-0.0094229-0.0018103i,-0.0076128+0.0064036i,0.0082424+0.0064455i,0.015931-0.0017898i,0.010063-0.0067191i,0.0038575-0.0072783i,0.0058595-0.0094739i,0.0075107-0.011795i,0.0030584-0.0087183i,-0.00083629-0.0031467i,-0.0026233-0.0028499i,-0.006181-0.0056685i,-0.0067406-0.0060003i,-0.0024317-0.0059632i,0.00087983-0.0071624i,0.0016091-0.0083223i
-0.0017079+0.0072221i,-0.018526+0.024734i,-0.057248+0.049253i,-0.099236+0.0564i,-0.10605+0.025521i,-0.077778-0.0059535i,-0.042589+0.0023307i,-0.0098571+0.020062i,0.0082271+0.013294i,0.0050703-0.0068316i,-0.0020701-0.018739i,-0.0042761-0.023212i,-0.0089632-0.021539i,-0.014391-0.012385i,-0.014121-0.0042808i,-0.0088042-0.0017268i,-0.0041796-0.0048017i,-0.0013719-0.0076452i,0.0020738-0.0073468i,0.003351-0.0048022i,0.0028731-0.0015331i,0.0020362+0.00023101i,0.0016374+0.00235i
-0.00334-0.0033775i,-0.0024268-0.0068212i,0.0098275+0.0021135i,0.029449+0.037147i,0.025736+0.07103i,0.0098633+0.065693i,0.012847+0.037963i,0.017277+0.014176i,0.0095903-0.00066744i,-0.0058127-0.0018803i,-0.017208+0.0066116i,-0.016402+0.017446i,-0.0085704+0.023264i,-0.0051034+0.02003i,-0.0041829+0.01503i,0.00048242+0.011866i,0.0039874+0.0093868i,0.0020357+0.0097368i,-0.0020586+0.013282i,-0.0032321+0.013386i,-0.0032006+0.0078819i,-0.0047317+0.0032954i,-0.0062515+0.0012127i
0.010593-0.00094651i,0.036996-0.00039673i,0.086222+0.0041126i,0.13098+0.010423i,0.1323+0.020149i,0.081322+0.021632i,0.030194+0.0047138i,0.01212-0.0097031i,0.0055469-0.0094153i,0.0043803+0.0045793i,0.0097104+0.01484i,0.011237+0.010643i,0.0091356+0.0047042i,0.011848+0.0050648i,0.015109+0.0017173i,0.009216-0.0043147i,-8.7305e-05-0.0047557i,-0.0036414-0.0031856i,-0.0020074-0.0047762i,0.0010228-0.0066844i,0.0039296-0.0059277i,0.0062853-0.0035179i,0.0072411-0.0021061i
-0.0072971+0.0030305i,-0.028919-0.0051452i,-0.053319-0.03952i,-0.053052-0.10059i,-0.010687-0.13896i,0.035051-0.10662i,0.040139-0.053307i,0.016911-0.031135i,-0.0014978-0.016763i,0.0027163-0.0058503i,0.016144-0.0074752i,0.019767-0.0097111i,0.017282-0.0098998i,0.012409-0.012658i,0.0062191-0.012205i,0.0038571-0.0093859i,0.0044345-0.0083679i,0.0072554-0.0077197i,0.010393-0.0078989i,0.0080099-0.0078208i,0.0033475-0.0048793i,0.0014437-0.0016395i,0.00039132-0.00029139i
-0.0045765-0.0072711i,-0.019138-0.01839i,-0.056365-0.034913i,-0.11422-0.0393i,-0.15161-0.032656i,-0.12407-0.025579i,-0.070543-0.011001i,-0.040524+0.0057813i,-0.020459+0.0090935i,-0.0073017-0.0048401i,-0.011629-0.017809i,-0.018396-0.015894i,-0.018032-0.01003i,-0.018491-0.0076589i,-0.018675-0.0043999i,-0.01491+0.0023226i,-0.0099727+0.0082598i,-0.0086839+0.0086971i,-0.011347+0.0080655i,-0.011982+0.008323i,-0.0086238+0.0050908i,-0.0057915-0.00069859i,-0.0048184-0.0041061i
0.0059346+0.011596i,0.018209+0.045756i,0.025571+0.11494i,0.016182+0.18539i,-0.0091643+0.18489i,-0.035404+0.096712i,-0.044676+0.014883i,-0.03248+0.0021636i,-0.012603+0.01248i,-0.006877+0.012019i,-0.0083734+0.011938i,-0.0041245+0.011464i,8.6797e-05+0.0083376i,0.0019381+0.009508i,0.003079+0.010481i,0.0035049+0.0053609i,0.0012761-0.0016722i,-0.0023102-0.0043364i,-0.0034544-0.0032846i,-0.0018057-0.0015103i,-0.00011435+0.00047149i,-0.00028389+0.0023381i,-0.00036242+0.0034971i
-0.0041314-0.0015908i,-0.0018329-0.0030787i,0.030885+0.0032128i,0.10699+0.024054i,0.16773+0.063705i,0.14502+0.098793i,0.087559+0.095064i,0.058664+0.056166i,0.037523+0.019135i,0.015998+0.0087911i,0.0073104+0.010579i,0.0041748+0.010884i,0.0018968+0.011758i,0.0040472+0.011236i,0.0095379+0.009265i,0.012722+0.0072702i,0.012584+0.0048734i,0.013877+0.0037651i,0.018718+0.0048492i,0.020508+0.0030476i,0.013996-0.00037046i,0.0064718-2.0143e-05i,0.0024481+0.0015837i
-0.000161-0.016773i,0.018004-0.051679i,0.051967-0.11447i,0.080078-0.19265i,0.082858-0.22944i,0.059335-0.17102i,0.027111-0.073547i,0.011375-0.021197i,0.010435-0.01153i,0.010038-0.0119i,0.0087172-0.011733i,0.0086009-0.013672i,0.0075717-0.018574i,0.0046233-0.021462i,4.78e-05-0.019544i,-0.0038058-0.013716i,-0.0053439-0.0064132i,-0.0053472-0.0021708i,-0.0077763-0.0022321i,-0.010483-0.0024812i,-0.0074083-0.000355i,-0.0009456+0.0020557i,0.0039307+0.0018481i
-0.0084402+0.014223i,-0.041109+0.025712i,-0.1072+0.018449i,-0.18285-0.020401i,-0.20044-0.072105i,-0.1208-0.10443i,-0.025392-0.10529i,-0.00067133-0.084374i,-0.015914-0.048846i,-0.018659-0.017653i,-0.01196-0.002914i,-0.0077952+0.0057765i,-0.0040639+0.0098906i,-0.0032786+0.006184i,-0.0044101+0.00038144i,-0.0023106-0.0031235i,-0.00046369-0.0063418i,-0.0018378-0.012032i,-0.0046852-0.015419i,-0.0063569-0.012443i,-0.0050767-0.0064982i,-0.0021225-0.0038074i,-0.0010634-0.0039666i
-0.004933+0.0022176i,-0.022093+0.014301i,-0.059477+0.060283i,-0.10908+0.15097i,-0.14934+0.22265i,-0.1494+0.19962i,-0.10482+0.11878i,-0.055321+0.059046i,-0.024147+0.033554i,-0.0069651+0.022457i,0.0028461+0.01405i,0.0030743+0.0029197i,-0.0060476-0.0025582i,-0.011315+0.0040945i,-0.0092095+0.0096264i,-0.0077216+0.0082288i,-0.0063201+0.005827i,-0.0037014+0.0086119i,0.0017644+0.015523i,0.0090531+0.018145i,0.011122+0.011975i,0.0066929+0.0028997i,0.0017852-0.0027635i
0.02405+0.0032224i,0.066734+0.028192i,0.13887+0.081048i,0.22897+0.13261i,0.27712+0.14548i,0.21256+0.10332i,0.080327+0.051335i,0.0018739+0.039897i,-0.00052192+0.034629i,0.0096693+0.011928i,0.0085369-0.0038913i,0.0080989-0.0049043i,0.012503-0.0031759i,0.015945-0.0040179i,0.012326-0.0028989i,0.0066767+0.00018283i,0.0017318+0.0019082i,-0.0029204+0.0034706i,-0.0041178+0.003932i,-0.0026334+0.00052023i,-0.0023739-0.0021117i,-0.0039701+0.00042926i,-0.0042402+0.004758i
-0.012605-0.0092177i,-0.014683-0.042739i,0.019533-0.10772i,0.090617-0.19293i,0.14852-0.23856i,0.14713-0.17683i,0.11524-0.068629i,0.085498-0.026227i,0.046892-0.028972i,0.014222-0.025i,-0.0033259-0.018656i,-0.014948-0.0089665i,-0.014239+0.001682i,-0.0053873+0.0014358i,0.00088527-0.0022768i,0.003302-0.0010171i,0.0051658+0.0026595i,0.010205+0.00076i,0.014171-0.0092977i,0.009488-0.017462i,0.00096597-0.015786i,-0.0022396-0.0084478i,-0.00051053-0.0029954i
-0.0036791-0.014235i,-0.016339-0.049025i,-0.053209-0.11277i,-0.1394-0.18606i,-0.22984-0.22728i,-0.22186-0.1995i,-0.12811-0.12372i,-0.049642-0.05711i,-0.017793-0.022372i,-0.011976-0.0013633i,-0.0073394+0.016144i,0.0051134+0.01562i,0.007557-0.00086022i,-0.002903-0.0084288i,-0.0074034-0.0050255i,-0.0026772-0.004886i,0.002784-0.0062878i,0.0017546-0.0034987i,-0.0045796+0.0024677i,-0.0082251+0.0089008i,-0.0055847+0.011531i,0.0010644+0.0085894i,0.005011+0.0027444i
-0.0095625+0.038326i,-0.054241+0.097772i,-0.14017+0.17675i,-0.21703+0.25893i,-0.21842+0.30791i,-0.14559+0.25943i,-0.072289+0.13475i,-0.047074+0.044497i,-0.035342+0.021895i,-0.012987+0.015028i,0.0023175+0.0042502i,0.0042365+9.7318e-05i,0.0003298+0.0035703i,0.00058399+0.0085787i,0.0037236+0.00753i,0.0022582+0.0036528i,-0.0011397-0.0013811i,-0.0041467-0.0059965i,-0.0075006-0.0038912i,-0.006467+0.0018273i,-0.0017626+0.0044642i,-0.00029757+0.0032712i,-0.003644+0.0015664i
0.013038-0.0096572i,0.036052-0.0096166i,0.085837+0.028525i,0.16136+0.11072i,0.21206+0.17338i,0.17888+0.15784i,0.091302+0.10181i,0.036202+0.054164i,0.024553+0.017215i,0.019713-0.0046615i,0.014626-0.017803i,0.004695-0.023913i,-0.00359-0.012904i,-0.00047714-0.0024089i,0.0030285-0.0026242i,-0.00022251-0.0029723i,-0.0054393+0.0003617i,-0.004308+0.0056791i,0.0055466+0.0060656i,0.013492+0.00089668i,0.013278-0.0047106i,0.0078086-0.0058094i,0.0022954-0.0010761i
0.039574-0.013201i,0.11543-0.018723i,0.22752-0.029786i,0.3211-0.09429i,0.33736-0.20269i,0.25509-0.24376i,0.14222-0.17292i,0.072079-0.076127i,0.033896-0.028153i,0.0014496-0.011444i,-0.019934+0.005933i,-0.016347+0.019525i,0.00088736+0.016273i,0.0067607+0.0027926i,0.0016648-0.0050569i,0.0010298-0.0033878i,0.0031482+0.00075241i,0.0018781+0.00087621i,-0.00047056-0.0020466i,-0.0035126-0.0049719i,-0.0060213-0.0058844i,-0.0045608-0.0034302i,0.00084395-0.00050644i
-0.059712-0.013054i,-0.14304-0.054958i,-0.22753-0.13741i,-0.28118-0.21968i,-0.30458-0.22199i,-0.27035-0.12889i,-0.17067-0.037112i,-0.082051-0.0099255i,-0.048134-0.0023474i,-0.025135+0.011047i,-0.0025187+0.013591i,0.0041338+0.0052107i,0.00057829-0.00504i,-0.0059209-0.0062956i,-0.008247+0.0010092i,-0.0056383+0.0029712i,-0.0016389+4.2629e-06i,0.0021737-0.0027738i,0.00096375-0.0030804i,-0.0048712-6.8208e-05i,-0.0084235+0.0024106i,-0.0057858+0.0014364i,-0.0018999-0.0027537i
-0.008647-0.00070778i,-0.028744-0.016513i,-0.085828-0.03614i,-0.17711-0.0035775i,-0.22601+0.082047i,-0.17753+0.12663i,-0.098018+0.086206i,-0.047369+0.030921i,-0.011005+0.015094i,0.016286+0.0098755i,0.02825-0.00094265i,0.027088-0.0082666i,0.013622-0.0092099i,0.0026039-0.0017661i,0.0015048+0.0053681i,0.0031152+0.0053912i,0.0013744+0.0009557i,-0.0051371-0.0016083i,-0.0079724+0.00098015i,-0.0023253+0.0064226i,0.0043094+0.0085706i,0.0052052+0.0050937i,-0.0012711+0.00063834i
0.032743+0.070516i,0.065122+0.19243i,0.095384+0.35188i,0.13962+0.44122i,0.20405+0.38875i,0.23892+0.24153i,0.19507+0.11358i,0.11395+0.056318i,0.063957+0.022044i,0.028504-0.013267i,-0.0061838-0.024727i,-0.022658-0.012273i,-0.018211+0.005115i,-0.002379+0.010613i,0.0080682+0.0029102i,0.0070164-0.0030662i,0.0021361-0.001178i,0.002209+0.0028799i,0.0068936+0.0024882i,0.0098814-0.0028085i,0.0091838-0.0057663i,0.0056366-0.0031295i,0.0033969+0.0024421i
0.0018584-0.050749i,0.015945-0.10373i,0.050848-0.13586i,0.11848-0.13477i,0.15908-0.14957i,0.087155-0.17444i,-0.012472-0.13282i,-0.031088-0.063706i,-0.02543-0.036506i,-0.033284-0.016179i,-0.025344+0.0061903i,-0.0066533+0.0078536i,0.0063819-0.0014917i,0.0076594-0.0096135i,0.0025063-0.011457i,0.00085024-0.0087288i,0.0015688-0.003438i,0.0024406+0.0029605i,0.0023685+0.0044232i,-0.0010809+0.0002166i,-0.0049449-0.003678i,-0.0053081-0.0036587i,-0.0021141-0.0001141i
0.015226-0.052122i,0.063725-0.1484i,0.14087-0.27234i,0.15314-0.35476i,0.057241-0.32063i,-0.027314-0.18049i,-0.02489-0.074148i,-0.0086057-0.049798i,-0.015602-0.022044i,-0.0061839+0.015263i,0.011441+0.021827i,0.014959+0.010484i,0.0089973-0.0017353i,-0.00040926-0.0066216i,-0.008422-0.0019686i,-0.009508+0.003828i,-0.0032865+0.0020894i,-0.00040932-0.0068655i,-0.0044504-0.010409i,-0.0079189-0.0028513i,-0.0073537+0.004252i,-0.0029166+0.0027469i,0.00068166-0.0046772i
