-0.0026688-0.0014871i,-0.0026499-0.00040079i,-0.0030008+0.0013321i,-0.0031378+0.0020562i,-0.0033346+0.0015091i,-0.0028215+0.001113i,-0.0016905+0.0010747i,-0.00018945+0.0014378i,5.5264e-05+0.0012142i,0.00012369+0.0010625i,0.00043312+0.00077103i,0.00052293+0.00065587i,0.00029459+0.00082528i,-0.00016969+0.0006869i,-9.0303e-05+0.00062179i,-6.1274e-05+0.0015i,0.00066254+0.0018783i,0.00093727+0.00086041i,8.9638e-05+0.00030186i,-0.00042723+7.4679e-05i,0.00017309+0.0006111i,0.00033077+0.0003425i,0.00051414-0.00029694i
-0.0036815+0.0061341i,-0.025486+0.020855i,-0.075744+0.058151i,-0.11605+0.094906i,-0.10005+0.064043i,-0.069262-0.024276i,-0.066471-0.074175i,-0.048886-0.051176i,-0.01087-0.020961i,-0.00043622-0.014112i,-0.0069138-0.0063874i,-0.006055-0.00014005i,-0.0058669-0.0023628i,-0.0058175-0.0059585i,-0.0016226-0.010661i,0.0026176-0.012005i,0.0038775-0.0096345i,0.0010691-0.0066417i,-0.0007982-0.0021777i,0.0014591+0.00051682i,0.0036898+0.0011861i,0.004176+0.00013411i,0.0037615-0.0011644i
0.0051698+0.0089954i,0.01031+0.038762i,0.026925+0.097918i,0.039865+0.15338i,0.014795+0.15375i,-0.043084+0.10855i,-0.072708+0.077232i,-0.043423+0.051395i,-0.0079998+0.016918i,-0.0012032+0.0046886i,0.00065756+0.0082995i,0.0019665+0.0064403i,-0.002584+0.0047686i,-0.0063709+0.0044622i,-0.009626+0.0026797i,-0.011194+0.0014271i,-0.01057+0.0013669i,-0.0075972+0.00088748i,-0.0027671-5.6459e-05i,0.00084853-0.00070087i,0.0022396-0.00196i,0.001661-0.0027646i,0.00094164-0.0040126i
0.0077082+0.0056248i,0.039332+0.0142i,0.095659+0.02835i,0.15221+0.035192i,0.15626+0.03655i,0.10823+0.058116i,0.072627+0.073961i,0.046818+0.043934i,0.012465+0.0077059i,0.0010576+0.002236i,0.0099348+0.0009987i,0.011422-0.0032381i,0.0075529-0.00054551i,0.0023974+0.0019805i,-0.0032585+0.0011599i,-0.0056775-0.00066535i,-0.0060305-0.0007794i,-0.0042172+0.00094137i,-0.0014119+0.00016301i,0.00032182-0.0026534i,-0.00048439-0.0045197i,-0.0020062-0.0036009i,-0.0022074-0.0018548i
0.0080449-0.0053058i,0.02514-0.025364i,0.069225-0.069076i,0.11071-0.11791i,0.11617-0.12016i,0.11036-0.086904i,0.094417-0.069269i,0.049306-0.054245i,0.010909-0.024372i,0.0067759-0.010032i,0.0066284-0.013176i,0.003432-0.011603i,0.0056959-0.0072368i,0.0082954-0.0021192i,0.0094247+0.0039191i,0.0093286+0.0071412i,0.0083125+0.0078332i,0.0072962+0.0057581i,0.0035313+0.0019802i,0.00013487-0.00049528i,-0.00030719-0.0011609i,-0.0010869-0.00068993i,-0.0025854+0.0009349i
-0.0027209-0.0041168i,-0.010864-0.027523i,-0.045048-0.081118i,-0.091178-0.13532i,-0.10223-0.15014i,-0.083859-0.13615i,-0.067931-0.10527i,-0.051321-0.04911i,-0.0236-0.0036724i,-0.0078211+0.00081385i,-0.0081911-0.0055168i,-0.0073691-0.0074422i,-0.0047359-0.0093495i,-0.0031536-0.0078723i,-0.00022922-0.0046191i,0.00083703-0.0024005i,-0.00038478-0.0017572i,-0.0020225-0.0023448i,-0.0036938-0.0015374i,-0.0046914+0.00012871i,-0.0055087+0.0020027i,-0.0043242+0.0036439i,-0.00092405+0.0031431i
-0.0066334+0.00070302i,-0.032871+0.00089605i,-0.080828+0.011611i,-0.12751+0.031001i,-0.14528+0.043977i,-0.13226+0.050704i,-0.10927+0.058671i,-0.06366+0.055311i,-0.017779+0.030902i,-0.0076093+0.0126i,-0.008688+0.0098993i,-0.0065625+0.00529i,-0.0077822-0.0035336i,-0.0053377-0.008465i,-0.00088626-0.011648i,0.0006758-0.013029i,0.00077955-0.011549i,0.00053031-0.0070001i,0.00024622-0.0011712i,-0.00059932+0.001853i,-0.0013627+0.0028979i,-0.00041327+0.0034204i,0.0011227+0.0033682i
-0.0016243+0.0073219i,-0.011334+0.034792i,-0.035547+0.0872i,-0.052514+0.1507i,-0.034476+0.18323i,-0.0013998+0.16417i,0.032129+0.12343i,0.052422+0.069032i,0.042868+0.022791i,0.023108+0.0098834i,0.01114+0.010352i,0.0021294+0.0090849i,-0.0029572+0.010408i,-0.0032361+0.0085328i,-0.0040223+0.0063572i,-0.0050345+0.0071149i,-0.0061381+0.0074133i,-0.0061536+0.0072361i,-0.0025074+0.00775i,0.0017233+0.0086723i,0.0041976+0.0078992i,0.0053776+0.0056624i,0.0039164+0.0022277i
0.0076799+0.0077978i,0.025101+0.026732i,0.069839+0.067869i,0.13315+0.090761i,0.16736+0.059249i,0.16505+0.013209i,0.14161-0.017188i,0.093306-0.030016i,0.042743-0.025499i,0.020293-0.012777i,0.01672-0.0048958i,0.012614-0.0015087i,0.0069007-0.00027612i,-0.0012732-0.00077303i,-0.0070735-0.00080532i,-0.0078271-0.00099687i,-0.0063994+0.0015137i,-0.0016515+0.0045294i,0.00392+0.0029409i,0.0068024-0.0005338i,0.0065535-0.0023867i,0.0046032-0.0025688i,0.0027566-0.0024103i
0.0098484-0.0007439i,0.0388-0.0020071i,0.090972-0.02078i,0.13089-0.056212i,0.11872-0.078105i,0.060891-0.096735i,0.00091821-0.10775i,-0.028088-0.088015i,-0.024234-0.050732i,-0.0079199-0.026222i,0.0010708-0.014867i,0.0072636-0.0068769i,0.010574-0.0039627i,0.008682-0.0026013i,0.0088915-0.001013i,0.011376-7.3368e-05i,0.012508+0.00095747i,0.012598-0.00021205i,0.011602-0.0038224i,0.0092397-0.0064395i,0.0061078-0.0081325i,0.0021587-0.0080255i,-0.0030256-0.0046491i
0.0039538-0.0085088i,0.01202-0.034403i,0.011363-0.081654i,-0.011912-0.13428i,-0.052783-0.15226i,-0.085527-0.10189i,-0.083536-0.034413i,-0.055239+8.8039e-05i,-0.027606+0.0054032i,-0.013926-0.0012249i,-0.005994-0.0072017i,0.00017188-0.012428i,0.00011825-0.011864i,-0.0028622-0.003185i,-0.0038259+0.0024968i,-0.0027681+0.0022916i,-0.00041818-0.00044457i,-0.00033336-0.0035909i,-0.0039227-0.0063044i,-0.007478-0.0077628i,-0.0093335-0.005327i,-0.0096926-0.0015809i,-0.0077038+0.00083871i
-0.0031107-0.0073828i,-0.019762-0.022833i,-0.05113-0.049737i,-0.089606-0.053456i,-0.095581-0.0012754i,-0.04775+0.057167i,-0.0047783+0.075378i,0.0025148+0.061247i,-0.0023219+0.037128i,-0.0020839+0.019786i,0.00065409+0.0055569i,-0.0005642-0.006983i,-0.003165-0.010724i,-0.00071767-0.0088863i,0.0010944-0.0099272i,-0.0016312-0.01222i,-0.0051355-0.011551i,-0.0074866-0.01039i,-0.0085838-0.0071067i,-0.0083687-0.0017266i,-0.0066597+0.0009187i,-0.0040349+0.0026544i,-0.0003888+0.0061347i
-0.0044862+0.0014081i,-0.028593+0.0069743i,-0.081271+0.0359i,-0.11725+0.08342i,-0.083726+0.094463i,-0.019637+0.046622i,0.020298-0.012942i,0.027054-0.030153i,0.019612-0.01442i,0.012411-0.0052192i,-0.00015562-0.0049075i,-0.010965-0.0017618i,-0.0091558+0.0016831i,-0.0023021+0.0019389i,0.0030417+0.0025356i,0.0051848+0.0037985i,0.0018687+0.0047836i,-0.0039795+0.0067815i,-0.0059271+0.009821i,-0.0030685+0.011771i,0.0013311+0.011805i,0.0046503+0.010675i,0.0066672+0.0068516i
-0.0014021+0.0062126i,-0.0087174+0.032936i,0.0041504+0.075298i,0.04444+0.095126i,0.067362+0.057775i,0.044615-0.0095794i,-0.00032445-0.037904i,-0.013329-0.020722i,0.0050725-0.0070174i,0.010331-0.0086042i,0.0030087-0.0051328i,-0.001293+0.00070991i,-0.0053493-0.00011249i,-0.0079239-0.0036769i,-0.0091686-0.0058158i,-0.010763-0.0029309i,-0.0091028+0.0038796i,-0.0029866+0.0088794i,0.0026322+0.0097262i,0.0049423+0.0063159i,0.0060146+0.0015484i,0.0062389-0.0026364i,0.005076-0.006897i
0.011709+0.0084626i,0.037815+0.029321i,0.071103+0.056082i,0.092839+0.066434i,0.073017+0.058506i,-0.0024443+0.061884i,-0.057397+0.075998i,-0.046545+0.06002i,-0.019365+0.019444i,-0.010272+0.0027418i,-0.002246+0.0074914i,0.0070404+0.0089445i,0.0058535+0.005359i,-0.00063111-0.00069564i,-0.0038622-0.0069545i,-0.0030791-0.0092018i,-0.00058831-0.0081035i,0.0014135-0.0052425i,0.0050379-0.0023863i,0.0084796-0.0020334i,0.0068302-0.0055728i,0.0029207-0.0080048i,-0.0014811-0.0073824i
0.012018+0.0047565i,0.036869-0.0056522i,0.084756-0.030474i,0.10764-0.074491i,0.073351-0.086585i,0.051509-0.025511i,0.075792+0.035135i,0.080263+0.027604i,0.038862-0.00047979i,0.0096548-0.0035689i,0.0093172-0.0028082i,0.0092721-0.0071167i,0.0046073-0.0040575i,0.00016275+0.0031507i,-0.0042453+0.0088247i,-0.0051427+0.011618i,-0.0026274+0.010343i,0.0015917+0.0071194i,0.0040369+0.001667i,0.0017645-0.0041814i,-0.0034516-0.0047317i,-0.0078401-0.0006886i,-0.010937+0.0029465i
0.0065914-0.011238i,0.021398-0.040237i,0.023514-0.087737i,0.0077753-0.10528i,0.021587-0.069741i,0.081887-0.040453i,0.11854-0.051689i,0.07833-0.052135i,0.025793-0.018859i,0.014013-0.00033289i,0.01557-0.0079727i,0.011034-0.013234i,0.0070634-0.0089639i,0.0041004-0.0023591i,0.0010766+0.0036323i,-0.0020648+0.0074506i,-0.0044431+0.0091056i,-0.003387+0.0068872i,-0.0016892+0.0026955i,-0.0025032+0.001871i,-0.0038489+0.0031721i,-0.0033382+0.0050593i,-0.00066962+0.00696i
-0.0075189-0.0057847i,-0.034353-0.024948i,-0.074873-0.044504i,-0.10944-0.043542i,-0.11546-0.04048i,-0.096703-0.075775i,-0.091013-0.11813i,-0.080861-0.094695i,-0.044272-0.035168i,-0.01602-0.0081519i,-0.013095-0.005552i,-0.012016-0.0037106i,-0.0058531-0.0063574i,0.0021902-0.007023i,0.012077-0.0043637i,0.018944-0.0036587i,0.020235-0.0037326i,0.016161-0.0036988i,0.0093031-0.0037946i,0.0031392-0.0031658i,0.00090821+0.00055374i,0.0043891+0.0043788i,0.0091082+0.0058961i
-0.014523+0.0050609i,-0.043267+0.017569i,-0.085522+0.034603i,-0.095895+0.055161i,-0.06642+0.051935i,-0.069887+0.022215i,-0.098489+0.024537i,-0.072291+0.043462i,-0.013751+0.027901i,0.0056858+0.0018422i,-0.00073974-0.0020695i,-0.0022768-0.0021558i,-0.0018687-0.0046649i,0.00046382-0.0044274i,0.0042019-0.0055753i,0.0061412-0.0073847i,0.0081792-0.0076267i,0.0078754-0.0081915i,0.0038592-0.0063094i,0.0012481-0.0003639i,0.0023074+0.0026274i,0.0017334-0.00093353i,-0.00041739-0.0065282i
0.006428+0.010395i,0.00039026+0.049129i,-0.0012397+0.11515i,0.013133+0.15859i,0.026057+0.1524i,0.024969+0.15113i,0.029497+0.15194i,0.037261+0.10539i,0.026335+0.040994i,0.012098+0.016488i,0.012772+0.014621i,0.0097427+0.0086384i,0.00013777+0.0040682i,-0.0054515-0.00048666i,-0.0077013-0.009104i,-0.0099542-0.016626i,-0.015152-0.020561i,-0.018812-0.017976i,-0.017295-0.0088501i,-0.011523-0.0027682i,-0.0054663-0.0032485i,-0.0032972-0.0051405i,-0.0035246-0.005975i
0.01652+0.01058i,0.051421+0.038751i,0.10629+0.060192i,0.13607+0.041664i,0.1192-0.0026353i,0.09374-0.033491i,0.090345-0.044034i,0.071828-0.048553i,0.027285-0.040374i,0.005785-0.022535i,0.0059152-0.012932i,0.0033856-0.0089015i,0.001394-0.0067843i,9.4349e-05-0.0090444i,-0.0039511-0.010362i,-0.0089149-0.0073234i,-0.013665-0.0015409i,-0.014056+0.0044834i,-0.007004+0.0077936i,0.00023773+0.0066218i,0.0022453+0.0031738i,-8.6681e-05+0.0038456i,-0.0036005+0.007105i
0.019436-0.013871i,0.060141-0.040662i,0.11384-0.072335i,0.13276-0.092018i,0.099633-0.099104i,0.058999-0.095868i,0.025449-0.093436i,-0.0051592-0.069614i,-0.0099606-0.027069i,0.0031307-0.011735i,0.0077355-0.01536i,0.0063399-0.011347i,0.0039687-0.0051677i,-0.0011273-0.00051984i,-0.0061197+0.0050266i,-0.0094316+0.012391i,-0.010195+0.022081i,-0.0066806+0.027094i,-0.00036201+0.02226i,0.0025661+0.012462i,-0.0010957+0.0057252i,-0.0046148+0.0035072i,-0.0024122+0.0027298i
-0.0045162-0.017806i,-0.007476-0.055043i,-0.01598-0.12272i,-0.045324-0.15359i,-0.088163-0.094839i,-0.11183-0.014532i,-0.10917+0.0265i,-0.08056+0.03924i,-0.0388+0.033875i,-0.016709+0.01921i,-0.010666+0.0078597i,-0.0050553+0.0017233i,-0.0076023-0.00024195i,-0.012882+0.0006727i,-0.012184+0.0024932i,-0.0057385+0.0046257i,0.0058166+0.0064322i,0.015859+0.0052138i,0.016868-0.00026407i,0.011409-0.0054857i,0.0073565-0.0054554i,0.0088079-0.0034245i,0.011048-0.0044108i
-0.016274-0.0080611i,-0.064032-0.031043i,-0.1372-0.051873i,-0.16809-0.035997i,-0.11296+0.0051045i,-0.036658+0.037886i,0.0064885+0.057i,0.030001+0.054229i,0.033876+0.021846i,0.016155-0.0028957i,0.0020988-0.0060881i,0.00075628-0.0084242i,0.0039736-0.0064193i,0.0074619+0.0011243i,0.010216+0.0045941i,0.013644+0.003159i,0.017978-0.0019473i,0.017128-0.0062915i,0.01004-0.0076584i,0.0035869-0.0046522i,-0.00028439+0.00062951i,-0.003621+0.0029989i,-0.0061704+0.0032157i
-0.012139+0.018527i,-0.044083+0.064928i,-0.085589+0.12745i,-0.0874+0.16021i,-0.020099+0.13725i,0.069619+0.07883i,0.11417+0.019581i,0.09541-0.020067i,0.048811-0.022754i,0.019909-0.0071033i,0.010252-0.0030662i,0.00028209-0.0034023i,-0.0021083+0.0028448i,0.0046189+0.0082641i,0.0087318+0.0095683i,0.0075152+0.0057797i,0.00099091-0.0019498i,-0.0051718-0.0084076i,-0.0081352-0.0091792i,-0.0081564-0.0062271i,-0.0059678-0.0051564i,-0.0059835-0.0065759i,-0.0067949-0.0066301i
0.0097874+0.01603i,0.026879+0.064415i,0.051714+0.13726i,0.075118+0.15869i,0.068086+0.077721i,0.018838-0.02909i,-0.026747-0.074854i,-0.038139-0.061912i,-0.029939-0.035807i,-0.021535-0.014797i,-0.015543-0.00056194i,-0.0090422+0.0032641i,-0.0034499-0.0056839i,2.8456e-05-0.01644i,0.003692-0.019924i,0.0040018-0.018233i,-0.00045826-0.01369i,-0.0042897-0.005938i,-0.0042725+0.0020469i,-0.0010704+0.0058252i,0.0017996+0.0069509i,0.0052924+0.010301i,0.0089625+0.012911i
0.028116-0.0068063i,0.089903-0.0028735i,0.1845-0.0051417i,0.22124-0.0255i,0.14429-0.050193i,0.032845-0.050956i,-0.032698-0.031138i,-0.042575-0.01438i,-0.024235-0.002799i,-0.0069935+0.0040446i,0.0012511+0.008374i,0.0060828+0.010632i,0.0065804+0.0051985i,0.0042642-0.0037578i,0.0038282-0.010346i,0.0027058-0.012348i,0.0009323-0.0068583i,-0.0006288+4.4204e-05i,-0.0023173+0.00275i,-0.0035423+0.0028086i,-0.0057609+0.001072i,-0.0080288-0.00051299i,-0.0075393+3.5779e-05i
0.0047571-0.015065i,0.023438-0.061248i,0.041738-0.13393i,0.031725-0.1666i,-0.0074621-0.10335i,-0.022195+0.0056911i,0.0038159+0.064527i,0.016479+0.055912i,0.009565+0.032425i,0.011512+0.02089i,0.019717+0.01013i,0.017885-0.00095758i,0.0034366-0.0031601i,-0.011464-0.00090288i,-0.020421-0.0017081i,-0.023453-0.003237i,-0.019474-0.0028867i,-0.010129-0.001983i,0.00051235-0.0011393i,0.0072874+6.6903e-05i,0.011074-1.5865e-06i,0.013869-0.0037121i,0.012481-0.0096837i
-0.015969-0.020662i,-0.053607-0.065928i,-0.10518-0.12423i,-0.13171-0.13219i,-0.094292-0.073589i,-0.028527-0.030339i,-0.0054396-0.028606i,-0.010785-0.017696i,-0.0058564-0.0035903i,0.0046121-0.0079367i,0.011781-0.014625i,0.014713-0.017871i,0.010441-0.016937i,0.0031351-0.0093983i,-0.0030285-0.00090455i,-0.0077257+0.0050184i,-0.011271+0.0078607i,-0.012437+0.0089063i,-0.0099571+0.0086275i,-0.0051491+0.0056585i,-0.0039837+0.0043661i,-0.0076715+0.0075284i,-0.0091924+0.010758i
-0.018459+0.023707i,-0.058992+0.06224i,-0.13103+0.11365i,-0.15835+0.14087i,-0.095985+0.11041i,-0.023838+0.040483i,-0.0004502-0.0034488i,0.0062463-7.563e-05i,0.017376+0.0080953i,0.016236-0.001285i,0.0026652-0.012028i,-0.0071549-0.013277i,-0.0065255-0.0056476i,0.00060267+0.0057322i,0.006212+0.013899i,0.0075588+0.020049i,0.0065121+0.024825i,0.0052437+0.019299i,0.0056435+0.0053157i,0.0054507-0.0056273i,0.003852-0.011018i,0.001311-0.013606i,-0.0024477-0.012073i
-0.004872+0.015274i,-0.010566+0.06362i,0.00012742+0.13581i,0.0344+0.16434i,0.053533+0.11542i,0.029543+0.070132i,0.0060014+0.076011i,0.017576+0.067499i,0.02176+0.02906i,0.002648+0.0077641i,-0.0085925+0.003629i,-0.012208-0.0019912i,-0.014985-0.0038628i,-0.0080603-0.0043439i,0.0040675-0.005865i,0.01466-0.0032765i,0.022111+0.0017984i,0.022757+0.0080378i,0.015353+0.011241i,0.0055173+0.0087081i,0.00070539+0.0072923i,0.0034753+0.010086i,0.0087707+0.010103i
0.035443+0.00066808i,0.10613+0.015126i,0.18782+0.035021i,0.2043+0.036672i,0.13379+0.015574i,0.063272-0.0036678i,0.055379-0.027222i,0.055402-0.051648i,0.032096-0.050698i,0.015993-0.02573i,0.010952-0.0046202i,0.0080756+0.0064184i,0.010777+0.0084158i,0.011701+0.00019796i,0.0080084-0.0099748i,0.0085311-0.019519i,0.012255-0.025962i,0.0099819-0.02569i,0.00085118-0.019289i,-0.007732-0.010704i,-0.012538-0.0058131i,-0.015799-0.0040832i,-0.016876-0.0025273i
-0.0011955-0.014869i,0.004026-0.051447i,0.027119-0.12064i,0.042611-0.17468i,0.033338-0.15979i,0.034336-0.10868i,0.036171-0.083269i,0.010166-0.070578i,-0.011119-0.038481i,-0.0043982-0.013741i,0.0011222-0.0050541i,0.00075643+0.0009643i,0.0035261-0.0002038i,-0.0011639-0.0055447i,-0.011448-0.0096514i,-0.018821-0.01501i,-0.020625-0.020447i,-0.013763-0.020019i,-0.0031199-0.01152i,0.0042941-0.00053602i,0.0084002+0.0053961i,0.010492+0.0052087i,0.009674+0.0020261i
-0.0050894-0.025728i,-0.020796-0.067994i,-0.058265-0.10932i,-0.094033-0.089647i,-0.087991-0.013768i,-0.075608+0.030044i,-0.098042+0.021932i,-0.10825+0.018511i,-0.071134+0.017907i,-0.034605+0.0010163i,-0.015497-0.010258i,-0.0006202-0.014892i,-0.0005214-0.021765i,-0.009069-0.016905i,-0.013992-0.00067011i,-0.019797+0.010652i,-0.029175+0.015249i,-0.034496+0.016307i,-0.027573+0.014102i,-0.014432+0.0095759i,-0.0075149+0.0080586i,-0.0059808+0.01185i,-0.0041129+0.013196i
-0.012281+0.026458i,-0.062952+0.065627i,-0.13456+0.1114i,-0.16774+0.11473i,-0.13301+0.065024i,-0.074178+0.022244i,-0.026761+0.039051i,0.014373+0.06537i,0.031122+0.044394i,0.016769+0.02059i,0.0059327+0.01778i,0.0044545+0.0090088i,-0.0045163+0.0015818i,-0.0075015+0.0078855i,-0.00021353+0.015146i,0.0040581+0.021136i,0.0042324+0.028452i,0.0054637+0.026626i,0.0068032+0.014628i,0.006947+0.0034117i,0.0088941-0.0049234i,0.011256-0.012506i,0.0096286-0.015037i
-0.0028211+0.012741i,0.022754+0.043952i,0.075925+0.092449i,0.1428+0.12408i,0.18631+0.10269i,0.17923+0.063901i,0.14853+0.042938i,0.11051+0.019777i,0.05544+0.0057851i,0.016445+0.013403i,0.0061433+0.011915i,-0.0021077+0.0045346i,-0.0056348+0.012995i,0.0042075+0.01525i,0.018295+0.0044558i,0.028265-0.00097417i,0.033823+0.0043674i,0.0335+0.0129i,0.025777+0.015447i,0.015873+0.0094933i,0.0075557+0.0033044i,0.002303+0.0033198i,0.00053169+0.0052198i
0.035158+0.0069626i,0.086614+0.02109i,0.13622+0.042067i,0.11263+0.039589i,0.0096449+0.012145i,-0.05773-0.025474i,-0.042593-0.075938i,-0.01989-0.096725i,-0.011808-0.061464i,0.011024-0.024478i,0.026915-0.017471i,0.024413-0.014563i,0.024346-0.011846i,0.024224-0.016335i,0.013638-0.021932i,0.0046144-0.025208i,0.0069415-0.02898i,0.0097279-0.029956i,0.0075639-0.024749i,0.0020102-0.017415i,-0.0046761-0.012862i,-0.012861-0.011052i,-0.018542-0.007654i
-0.011421-0.016792i,-0.0174-0.075703i,-0.010579-0.18105i,0.010122-0.25647i,0.026642-0.23543i,0.0077965-0.16315i,-0.043783-0.088883i,-0.064324-0.025571i,-0.026934+0.0077921i,0.0036827+0.0044716i,0.0011051+0.00016634i,0.0013549+0.0013286i,0.0093338-0.010866i,0.0035327-0.022816i,-0.012268-0.021483i,-0.022479-0.017187i,-0.024592-0.017726i,-0.018488-0.018759i,-0.010191-0.015544i,-0.0053809-0.0088762i,-0.0035058+0.00042659i,0.0020451+0.010044i,0.010251+0.013237i
0.00080967-0.013777i,-0.019823-0.030403i,-0.070417-0.0068946i,-0.11095+0.077468i,-0.089765+0.17327i,-0.041213+0.20853i,-0.018739+0.17127i,-0.0084383+0.10863i,0.0015788+0.044681i,-0.0011711-0.0003592i,-0.0068344-0.018077i,-0.009738-0.022599i,-0.021433-0.020667i,-0.029594-0.010104i,-0.022665+0.0056197i,-0.013848+0.016453i,-0.015774+0.018916i,-0.023928+0.016504i,-0.025434+0.011773i,-0.018162+0.0078073i,-0.0092019+0.0078552i,-0.0039715+0.0098511i,-0.0024975+0.0091145i
-0.024566+0.036067i,-0.080748+0.095683i,-0.14211+0.14231i,-0.15065+0.10673i,-0.10042+0.0035264i,-0.035283-0.058511i,0.023136-0.034981i,0.05124-0.011068i,0.033344-0.016894i,0.0083103-0.0087252i,0.0096562+0.0086056i,0.013288+0.0083485i,0.001117+0.0061556i,-0.0064129+0.013526i,0.00053603+0.017787i,0.0096304+0.016407i,0.012225+0.01718i,0.010269+0.021327i,0.0064262+0.02189i,0.0051676+0.01836i,0.01044+0.0091278i,0.01563-0.0068652i,0.012943-0.018619i
0.022588+0.0085298i,0.083736+0.029156i,0.18437+0.087155i,0.2698+0.13432i,0.27917+0.10245i,0.21137+0.01791i,0.11713-0.043706i,0.044789-0.042539i,0.010136-0.010513i,0.0013485+0.0041459i,-0.0045694-0.00076641i,-0.0059904+0.00071411i,0.0052873+0.011875i,0.01605+0.012446i,0.019197-0.0039015i,0.016092-0.020544i,0.010913-0.020356i,0.010528-0.0082741i,0.014091+0.0005579i,0.015377-0.00070666i,0.0072449-0.0062904i,-0.0045959-0.0045695i,-0.0087127+0.0028002i
0.032714+0.010542i,0.088784+0.0185i,0.13704-0.011076i,0.085217-0.072529i,-0.063906-0.083547i,-0.15056-0.02814i,-0.11224+0.011061i,-0.046436+0.0069733i,-0.0084013+0.0027472i,0.012916+0.0013699i,0.020736-0.0096756i,0.01755-0.022446i,0.013824-0.028081i,0.011855-0.024196i,0.0032926-0.018499i,-0.0076945-0.012284i,-0.0066314-0.0088969i,0.0011045-0.01208i,0.0069194-0.0145i,0.0067807-0.014446i,-0.00018438-0.012322i,-0.0094806-0.0077361i,-0.015645-0.002246i
-0.013879-0.034164i,-0.026781-0.12139i,-0.039018-0.23024i,-0.024081-0.25531i,0.028233-0.16926i,0.055373-0.073902i,0.033983-0.022891i,0.018637-0.0056745i,0.02145-0.01511i,0.010846-0.018198i,-0.0028488-0.0011799i,-0.0060562+0.0057719i,-0.0099815-0.0040869i,-0.017183-0.010438i,-0.023659-0.0033212i,-0.024971+0.010647i,-0.023772+0.017587i,-0.02067+0.015535i,-0.018542+0.0070791i,-0.020674+0.0014484i,-0.018564+0.0077238i,-0.0053811+0.015862i,0.0079817+0.015101i
-0.0068657-0.011832i,-0.053612-0.013993i,-0.15632+0.017548i,-0.23282+0.095139i,-0.18223+0.16122i,-0.048297+0.14206i,0.027111+0.054312i,0.01265-0.0060602i,-0.014761-0.016298i,-0.016027-0.015885i,-0.012245-0.015203i,-0.016715-0.0051945i,-0.019834+0.0080854i,-0.01208+0.010789i,0.0040101+0.0061151i,0.017336+0.0011988i,0.021421+0.0016435i,0.015037+0.0033028i,0.0040066+0.0055747i,-7.0502e-05+0.010376i,0.0053663+0.010343i,0.0092874+0.0049467i,0.007008+0.0017438i
-0.040631+0.038166i,-0.097402+0.10885i,-0.117+0.18634i,-0.044141+0.17499i,0.044693+0.045791i,0.037114-0.071952i,-0.016449-0.064953i,-0.030722-0.0097772i,-0.02909+0.016602i,-0.023717+0.02731i,0.0013316+0.02613i,0.024782+0.018406i,0.029345+0.016038i,0.022454+0.016578i,0.016637+0.016185i,0.015356+0.011842i,0.017525+0.0032633i,0.017292+0.0020849i,0.014556+0.010867i,0.0157+0.01589i,0.016978+0.0078753i,0.012745-0.0064753i,0.0056568-0.012951i
0.037239+0.0037822i,0.10056+0.043817i,0.18475+0.12553i,0.22118+0.17635i,0.1658+0.13566i,0.066803+0.074759i,0.010642+0.050686i,0.014125+0.049366i,0.036622+0.045583i,0.036344+0.028119i,0.019628+0.01084i,0.016244-0.0044598i,0.017546-0.020184i,0.0073835-0.027748i,-0.0064047-0.027777i,-0.017829-0.025151i,-0.026868-0.020472i,-0.021962-0.017328i,-0.0050333-0.018027i,0.0052699-0.022454i,0.00013797-0.023876i,-0.0113-0.014375i,-0.013611-0.0028081i
0.031292+0.037918i,0.098343+0.041204i,0.18653-0.048021i,0.18093-0.19563i,0.04898-0.22132i,-0.035027-0.11321i,0.0033491-0.035789i,0.047193-0.036183i,0.046105-0.042164i,0.039579-0.030175i,0.029177-0.029571i,0.0070433-0.03885i,-0.00673-0.041069i,-1.3321e-06-0.031012i,0.012366-0.017441i,0.016275-0.0059209i,0.013433+0.0051133i,0.006376+0.007919i,0.001204+0.0015803i,-0.00213-0.0038749i,-0.0061121-0.0008315i,-0.0069406+0.0076073i,-0.0054473+0.011735i
0.0030394-0.061004i,0.0038584-0.1528i,-0.021298-0.21985i,-0.050675-0.16239i,-0.006622-0.036615i,0.058049+0.024221i,0.051196+0.00091451i,0.0073005-0.037239i,-0.013003-0.049332i,-0.0098949-0.042917i,-0.0058523-0.026063i,-0.013417-0.0089857i,-0.028666+0.0063686i,-0.033249+0.01687i,-0.022154+0.017599i,-0.0053606+0.011834i,0.0054397+0.0078287i,0.004079+0.0098454i,-0.006781+0.0079358i,-0.017165+0.0040425i,-0.016298+0.0074188i,-0.0027236+0.011716i,0.0085135+0.010421i
0.011997+0.0065955i,-0.02775+0.0013817i,-0.13799-0.0060131i,-0.24142+0.0078841i,-0.23532+0.039037i,-0.1428+0.025993i,-0.093807-0.008794i,-0.093752+0.012308i,-0.071585+0.038197i,-0.047522+0.025851i,-0.03645+0.020968i,-0.018929+0.028577i,-0.0015687+0.02049i,0.0042199-0.0027887i,-0.0031125-0.030346i,-0.016189-0.046929i,-0.016875-0.042633i,-0.0040535-0.027485i,0.0048988-0.0088375i,0.0097382+0.0079621i,0.017344+0.0098621i,0.019279-0.0012278i,0.013703-0.009879i
