-0.0018774-0.00065522i,-0.00054731-0.0010347i,-0.00077641-0.00042382i,0.00010548-0.00059768i,0.00053947-6.1234e-05i,0.00050317+3.0065e-05i,0.00094404+0.00054433i,0.0014409+0.00060019i,0.001302+9.5636e-05i,0.0011814+0.00079959i,0.0010166+0.00022587i,0.00068297-0.00094723i,0.0010209+0.00020761i,0.00088974+0.00088738i,0.00057922+0.00072223i,0.00034294+0.00036324i,0.00046142-0.00073322i,0.00055309-0.00067362i,0.00024168-0.00038133i,-0.00013843-0.0010199i,4.4041e-05-0.00040922i,0.00053239+0.00035286i,0.00094203+0.00015809i
0.00066162+0.004479i,-0.0054561+0.0062242i,-0.011934+0.0014255i,-0.0095354-0.0052849i,-0.0056695-0.0038187i,-0.0077618-0.0024754i,-0.0077453-0.0070397i,-0.0026007-0.010192i,0.0018223-0.0079415i,0.00068101-0.0031054i,-0.0034256-0.0014446i,-0.00619-0.0042986i,-0.0083287-0.00631i,-0.010323-0.003264i,-0.010932+0.00074018i,-0.0091374+0.002072i,-0.0061892+0.0017824i,-0.0042828+0.0010667i,-0.0035945+0.0010805i,-0.003914+2.8912e-05i,-0.0045387-0.0014625i,-0.0036268-0.0014556i,-0.0011943-0.0012479i
-0.0051677-0.0030571i,-0.0043711-0.00401i,9.5315e-05-0.00046853i,0.00017216+0.002542i,-0.0017367-0.001995i,0.0027566-0.0061105i,0.0063171-0.0038494i,0.0039004+0.00075078i,0.001031+0.0023706i,0.0008151+0.00048879i,0.0019627+9.521e-05i,0.0035521+0.0030358i,0.0060497+0.0044627i,0.0077017+0.0012606i,0.0080438-0.0019157i,0.0076481-0.0026151i,0.0054371-0.0019026i,0.0029771-0.00049022i,0.0017181-0.00024091i,0.0018802+0.0013024i,0.0022426+0.0032108i,0.001832+0.0020823i,0.00019507+0.00069973i
-6.1262e-05-0.0048252i,-0.0026867-0.0058511i,-0.0074781-0.0071141i,-0.0069878-0.0056463i,-0.0032489+0.0014716i,-0.0032886+0.0049273i,-0.00676+0.0013664i,-0.0079965-0.0027013i,-0.0054213-0.0019261i,-0.0020503+0.00082589i,-0.0009332+0.00074679i,-0.0017733-0.0017162i,-0.0035252-0.0038475i,-0.0052949-0.0028627i,-0.0056368+4.7522e-05i,-0.0050665+0.0014283i,-0.0037147+8.6195e-05i,-0.00199-0.0011845i,-0.0011464-0.0011031i,-0.001061-0.001093i,-0.002648-0.0012159i,-0.0037081-0.0013071i,-0.0023503-0.00061936i
-0.00048838+0.0031957i,0.0027348+0.0042641i,0.005531+0.0053315i,0.0037287+0.0031559i,-0.00084479-0.00372i,-0.0018886-0.0078505i,0.00042399-0.0070062i,0.0017314-0.0051169i,0.00050506-0.0041049i,-0.001133-0.0035454i,-0.0015619-0.0022845i,-0.00016388+0.00029716i,0.0018456+0.00231i,0.0031617+0.0019341i,0.0043418+0.00088454i,0.0048379+0.00056951i,0.0035317+0.0010309i,0.0013974+0.00075418i,0.0014048+0.00026977i,0.0034968+0.00063732i,0.0046553+0.0022197i,0.0044014+0.0021505i,0.0033951+0.00093378i
-0.0015781-0.0024887i,-0.0077712-0.0055162i,-0.011699-0.0078197i,-0.009349-0.0069857i,-0.0053348-0.0033607i,-0.0036449-0.0015198i,-0.0031763-0.001089i,-0.0024022-0.00073752i,-0.00033401+0.00012974i,0.0014238-0.00012278i,0.0016492-0.0017621i,-0.00034287-0.0037678i,-0.0030293-0.0044325i,-0.0049119-0.0026706i,-0.0056687-0.00038423i,-0.0047755+0.00063962i,-0.002707-8.4981e-05i,-0.00046866-0.0016429i,-9.319e-05-0.0025602i,-0.00062777-0.0031209i,-0.0011334-0.003777i,-0.0017497-0.0034243i,-0.0017665-0.0025785i
0.00099294-0.00058756i,0.0050207-0.0020158i,0.0071266-0.0021333i,0.0036411-0.0024219i,0.00038265-0.0050026i,0.0014413-0.0061987i,0.0027428-0.005223i,0.001188-0.0034266i,-0.0014211-0.0022558i,-0.0029476-0.0015143i,-0.0023326-9.0965e-05i,0.00013583+0.0027142i,0.0025919+0.0041946i,0.0034976+0.0022592i,0.0039971+0.00054967i,0.0038535+0.00060008i,0.0019168+0.0015423i,0.00011807+0.0019164i,-0.00054878+0.0020738i,-0.00045125+0.0022375i,0.00040793+0.0022384i,0.0011088+0.002054i,0.00081358+0.00073641i
-0.00063708+0.0017958i,-0.0024661+0.0029015i,-0.0052824+0.0016476i,-0.0042088-8.3271e-05i,-0.0022262+0.0021603i,-0.0033067+0.0040466i,-0.003518+0.0024551i,-0.0015958+0.00065518i,0.0014016+0.00016447i,0.0034299+0.00024381i,0.0027699-0.00046235i,-7.031e-05-0.001836i,-0.0031708-0.0037555i,-0.0039015-0.004147i,-0.003988-0.0017188i,-0.0041052-0.00026253i,-0.0026004-0.00060891i,-0.0014073-0.0012891i,-0.0017117-0.0018257i,-0.0018547-0.0026402i,-0.0024423-0.0032373i,-0.0031793-0.0020726i,-0.0020115-1.2267e-05i
-0.0036374+0.00014998i,-0.0028522-0.0020696i,-0.0014372-0.0032611i,-0.0014572-0.0028313i,-0.0028923-0.0055648i,-0.0035256-0.0093593i,-0.00302-0.0085799i,-0.003425-0.0046148i,-0.0051192-0.0014174i,-0.0056896+0.00028601i,-0.005008+0.00090865i,-0.0019459+0.0015923i,0.0012798+0.0015937i,0.0019693+0.00035075i,0.0021589-0.00063767i,0.0030473-0.00078178i,0.0021668-0.00015969i,0.00021426+0.0020873i,0.00060443+0.0048128i,0.0029124+0.0054617i,0.0037071+0.0041369i,0.0028319+0.002125i,0.0022475+0.00057707i
0.0032224-0.0025882i,0.000979-0.0047292i,-0.0025255-0.0072394i,-0.0026368-0.006864i,-0.0012238-0.0037565i,-0.00050174-0.0026831i,-0.0012292-0.0035378i,-0.0010037-0.0048542i,0.0010685-0.0069427i,0.0023833-0.008325i,0.002139-0.007332i,-0.00016281-0.0051144i,-0.0022568-0.0032702i,-0.0027073-0.0018915i,-0.0026589-0.0006465i,-0.0021688-0.00036453i,-0.0012794-0.0018143i,-4.35e-05-0.0029745i,0.00069467-0.0033447i,2.431e-05-0.0038016i,-0.00086752-0.0032733i,-0.00093758-0.0026682i,-0.00096409-0.0013555i
-0.00049106+0.004122i,0.0013821+0.0053382i,0.0026773+0.0056159i,0.0017334+0.0029899i,6.4964e-06-0.00059957i,0.00094247-0.00181i,0.0032825-0.00075931i,0.0041977+0.00084673i,0.004258+0.0025752i,0.0026275+0.0057798i,0.0011937+0.008451i,0.001762+0.0076167i,0.0017663+0.0050418i,-3.4609e-05+0.0037835i,5.6364e-05+0.0027713i,0.001729+0.0011214i,0.0011864+0.00033969i,0.00031223+0.0015142i,0.00038039+0.0027242i,0.00092438+0.0025361i,0.001353+0.0020754i,0.0011293+0.0013948i,0.00032311+0.00047167i
-0.0017271-0.00074471i,-0.0035118-0.00084993i,-0.0051688-0.0019972i,-0.0048532-0.0021517i,-0.0039403-0.0010447i,-0.0040698+0.00017681i,-0.0058495+0.0013155i,-0.0071712+0.0028818i,-0.0061911+0.0015425i,-0.0046672-0.0023516i,-0.0048257-0.0043802i,-0.0055101-0.0045906i,-0.0040037-0.0047076i,-0.0023931-0.0040632i,-0.0024556-0.0030288i,-0.0028336-0.0024053i,-0.0029251-0.0021037i,-0.0024867-0.0026509i,-0.0027085-0.0035167i,-0.0032227-0.0039749i,-0.0026004-0.0037481i,-0.0021023-0.0026455i,-0.0013318-0.00049631i
0.00076113-0.00089539i,0.0020404-0.0057843i,0.0034051-0.0081221i,0.0019099-0.0075041i,-0.0010183-0.0077763i,-0.0016377-0.0088978i,-0.0018917-0.0097948i,-0.0033086-0.0097003i,-0.0029512-0.0067328i,-0.00090195-0.0025536i,0.0010213+0.00044796i,0.0035547+0.0012386i,0.0044657+0.00065118i,0.0030551+0.00089435i,0.0025127+0.0016107i,0.002608+0.0014593i,0.0015783+0.00086798i,0.00067349+0.0017865i,0.001668+0.0036882i,0.0028023+0.004465i,0.0018575+0.0032884i,0.0010461+0.00088033i,0.001492-0.00053309i
0.0015827+0.0013652i,-0.00064432+0.0018619i,-0.0039244-0.00085694i,-0.0045192-0.0033456i,-0.0019753-0.0024857i,-0.00027113-0.0012458i,0.0012985-0.00085945i,0.0030207-0.0013625i,0.0039634-0.003056i,0.0030207-0.0045343i,-0.00010964-0.0046406i,-0.0034215-0.0029775i,-0.005385-0.0012173i,-0.0053386-0.00063476i,-0.004029-0.00046153i,-0.0025257-0.00037643i,-0.00091707-0.00053877i,-0.0006248-0.00099155i,-0.0014168-0.0015547i,-0.0021066-0.0017528i,-0.0016795-0.00059359i,-0.00073992+0.0014896i,-0.00076437+0.0025231i
-0.0017254+0.0027118i,-0.0031628+0.0013848i,-0.0019036+0.00027633i,-0.0013986-0.00031809i,-0.0018767-0.001819i,-0.0020164-0.0019254i,-0.0018969+0.00052734i,-0.0011664+0.0035904i,-0.0010417+0.0060946i,0.00012993+0.0073006i,0.0019273+0.006316i,0.0030335+0.0031526i,0.0028001+0.00021205i,0.0015527-3.9962e-05i,0.00070202+0.00082623i,0.0012655+0.0017439i,0.0013469+0.0011774i,0.00058323+0.0002906i,0.0012601+0.0006989i,0.0029686+0.00105i,0.0030839+0.00023255i,0.001893-0.0014752i,0.00027932-0.0023141i
0.0014662-0.0022574i,0.0022311-0.0031i,0.0012985-0.0036336i,-0.0011898-0.0033973i,-0.0033173-0.0019566i,-0.0037135-0.0017248i,-0.004416-0.0027996i,-0.006228-0.0043888i,-0.0074681-0.0059595i,-0.0085566-0.0062801i,-0.0089565-0.0052719i,-0.0074514-0.0027835i,-0.0044698-0.00036561i,-0.0016468-0.00019857i,-0.00051875-0.0012442i,-0.00099506-0.0016245i,-0.0012516-0.0010985i,-0.0015263-0.0010081i,-0.0014203-0.0021978i,-0.0018478-0.0026423i,-0.001398-0.0013191i,0.00025379+0.00079037i,0.00069402+0.0018775i
-5.1553e-05-0.00084961i,5.3465e-05-0.002763i,0.00072522-0.0035353i,4.6947e-05-0.00266i,-0.0014665-0.0032448i,-0.00055409-0.0050907i,0.0019001-0.0058338i,0.0037304-0.0052832i,0.0045504-0.0041937i,0.0065341-0.0023841i,0.0092349-0.00084708i,0.0085549-0.00098386i,0.0047726-0.0010328i,0.0022501+0.0005237i,0.0015881+0.0020053i,0.0015231+0.0024046i,0.0017092+0.0016668i,0.0021594+0.00025203i,0.0027446-0.0008772i,0.0028272-0.00053264i,0.0024726-0.00017688i,0.001467-0.0012992i,0.00088298-0.0015886i
-0.0037613+0.001265i,-0.0048055+0.0012289i,-0.0057762+0.0021842i,-0.0054315+0.00091703i,-0.003726-0.00066296i,-0.0029117-0.00064373i,-0.0034092+0.00042848i,-0.003057+0.0015268i,-0.0026664+0.001518i,-0.0049437+0.0013985i,-0.0075308+0.0026183i,-0.0070193+0.0039515i,-0.0049766+0.0031811i,-0.0031396+0.00049608i,-0.0013933-0.0018462i,-0.0011865-0.0022695i,-0.0020449-0.0010591i,-0.0025287+0.00049468i,-0.0027511+0.00091451i,-0.0032054+0.0010369i,-0.0028769+0.0016459i,-0.0014923+0.0020588i,-0.00010199+0.0019192i
0.00085464-0.0031557i,0.00010376-0.0049335i,0.0010041-0.0058567i,0.001576-0.0047266i,0.00086502-0.0036588i,0.00048737-0.00324i,0.00011563-0.003274i,-0.00016159-0.0027433i,0.00083988-0.0023864i,0.0032337-0.002446i,0.0050853-0.0026791i,0.00525-0.0033022i,0.0038412-0.0028249i,0.0020924-0.0010958i,0.0011005+0.00038281i,0.0011468+0.0013851i,0.0017785+0.0010159i,0.0024453+0.00024994i,0.0027897+0.00041402i,0.0039219+0.00035631i,0.0037109-0.00046147i,0.0012607-0.0015337i,-0.00036347-0.0017596i
7.4769e-05+0.0021657i,0.00095445+0.0029665i,7.4233e-05+0.0015898i,-0.0025161-0.00059401i,-0.0042403-0.0016888i,-0.0031936-0.0022718i,-0.0013747-0.0024715i,-0.0010098-0.002213i,-0.0020681-0.0012035i,-0.0036635+0.00089345i,-0.0050066+0.0034907i,-0.0044831+0.0039571i,-0.0030181+0.0030048i,-0.0017745+0.0018595i,-0.00085817-0.00019928i,-0.00084291-0.0027354i,-0.0015474-0.0031706i,-0.0018176-0.0011395i,-0.0018933+0.00017565i,-0.0029482+0.00077271i,-0.0036617+0.0014811i,-0.0017381+0.0025584i,0.00063003+0.0024604i
-0.0013243-0.00044765i,-0.0018763-0.0023728i,-0.0020188-0.0038825i,-0.0017455-0.0043397i,-0.0010084-0.0045224i,-0.0012262-0.0041138i,-0.0015823-0.0017211i,-0.0018727-9.4223e-05i,-0.0011092-0.00088585i,0.00093753-0.0034148i,0.0028156-0.0057107i,0.0031178-0.0062671i,0.0011627-0.0050206i,-0.0009528-0.0026224i,-0.0013167+2.1144e-05i,-0.00011636+0.0018284i,0.002518+0.0019935i,0.0036112+0.0012144i,0.0032299+0.00038558i,0.0042486-0.0010119i,0.0040041-0.0024942i,0.0016929-0.0024891i,0.00046111-0.0018308i
0.0038511-0.00074919i,0.0026608-0.0026268i,0.00042093-0.0032719i,-0.0026907-0.0036117i,-0.0046882-0.003158i,-0.0043039-0.0017276i,-0.003177-0.0016825i,-0.0027167-0.0034911i,-0.0023166-0.003372i,-0.004038-0.000374i,-0.0052213+0.0038835i,-0.0042815+0.0072776i,-0.0022523+0.0069719i,0.00075842+0.0044704i,0.0019824+0.0016516i,0.00058766-0.00077345i,-0.001179-0.0012259i,-0.0019947+1.8304e-05i,-0.0022574+0.0011211i,-0.0026201+0.0022401i,-0.0027511+0.0025264i,-0.0015594+0.0014696i,-0.0005514+0.00044372i
-0.0037851+0.0025956i,-0.0028844+0.001067i,0.00088736-0.0011094i,0.0026811-0.002582i,0.0024323-0.0031469i,0.0025036-0.0029268i,0.0032643-0.0022104i,0.004398-0.0021056i,0.0046098-0.0028393i,0.0050389-0.0051247i,0.0048633-0.0075125i,0.0020762-0.0081122i,-0.00083771-0.006728i,-0.0023774-0.0036498i,-0.0031252-0.00055281i,-0.0017951+0.0010962i,0.0012444+0.0016483i,0.0036657+0.00065424i,0.0032649-0.0013115i,0.0025337-0.0025552i,0.0024025-0.0025212i,0.0012036-0.0026228i,0.00076859-0.0017875i
0.00056618+0.00049936i,-0.00039055-0.00071861i,-0.0013872-0.00071383i,-0.0024028-0.00013316i,-0.0030752-0.00042412i,-0.0037506-0.0011073i,-0.0045668-0.00045747i,-0.0045872+0.0017933i,-0.0029313+0.0044402i,-0.0019571+0.0070585i,-0.0013939+0.0086829i,-0.00040897+0.0075029i,-0.00011528+0.0042145i,-0.00024432+0.001006i,0.00014799-0.0010955i,5.9157e-05-0.0025471i,-0.0013394-0.0023189i,-0.002568-0.0010234i,-0.0025072+0.00051502i,-0.0019411+0.0020857i,-0.0019086+0.0027274i,-0.0013904+0.002548i,-0.0011892+0.0017786i
-0.00031403-0.00029179i,-0.001431-0.0016872i,-0.0018932-0.0031694i,-0.0024935-0.0042862i,-0.0030397-0.0054337i,-0.0035146-0.0058266i,-0.004132-0.0059064i,-0.0050344-0.0068573i,-0.0051154-0.0084138i,-0.0041384-0.0096684i,-0.0028341-0.0097223i,-0.0015018-0.0075313i,-7.2927e-05-0.0038873i,0.0003528-0.00044976i,-0.00086103+0.0013939i,-0.0013956+0.0018522i,0.00074958+0.0022047i,0.0030277+0.0021784i,0.0030949+0.00056797i,0.002202-0.0012496i,0.0017233-0.002189i,0.00025908-0.0028711i,1.0385e-05-0.002543i
0.0012778-0.0035597i,0.00014529-0.003155i,-0.0013182-0.0033192i,-0.0017422-0.0031173i,-0.0014094-0.0025768i,-0.00037955-0.0026115i,0.0012569-0.0036761i,0.0033541-0.0040578i,0.0051905-0.002424i,0.0056158+0.0014038i,0.0046733+0.0056781i,0.0030573+0.0068463i,0.0016442+0.0046475i,0.00086375+0.002943i,0.00081446+0.0020511i,0.00068401+0.00034217i,-0.0016766-0.0016349i,-0.0029336-0.0012326i,-0.0016921+0.00065641i,-0.0013944+0.0014945i,-0.0010768+0.001977i,-3.0415e-05+0.0023573i,0.00033546+0.0019297i
0.0013882+0.0028431i,0.00057792-3.25e-05i,-0.00025776-0.0040196i,-0.00055841-0.0045419i,-0.0012158-0.0028734i,-0.0017438-0.0016256i,-0.0001836+0.00031373i,0.0013812+0.0028003i,0.001033+0.0034696i,-0.0013336+7.3321e-05i,-0.0047119-0.0042269i,-0.0067005-0.0056833i,-0.0055471-0.0047138i,-0.0045888-0.0025864i,-0.0042115-0.00077376i,-0.0016127+0.0012249i,0.001442+0.0026264i,0.0025764+0.0020561i,0.0021606+0.00018157i,0.00067065-0.00097884i,0.00022793-0.0017817i,0.00034521-0.0017982i,-0.0009949-0.0009275i
-0.0012133-0.0013488i,-0.0023895-0.0013232i,-0.0028539-0.00092013i,-0.0034195-0.001654i,-0.0042908-0.0026436i,-0.0044997-0.0028928i,-0.0050804-0.0028442i,-0.0062365-0.002247i,-0.0049295+0.00019022i,-0.00097117+0.0030382i,0.0020725+0.0043428i,0.0033524+0.0033321i,0.0037967+0.0019028i,0.0021683+0.0013607i,0.00050206+0.00114i,0.00053824-0.00092498i,-0.00017697-0.0032827i,-0.001886-0.0023063i,-0.0015261-0.00065577i,-0.00020556+0.00029824i,0.00053034+0.001032i,0.00084309+0.001061i,0.00030573+0.00065028i
0.0025827-0.0015252i,0.0043601-0.0020735i,0.0037003-0.0021915i,0.0012064-0.0017225i,-0.0010066-0.0024613i,-0.0016926-0.004264i,-0.0011735-0.0052474i,0.00011213-0.005334i,-0.00032207-0.0049706i,-0.0031012-0.0043983i,-0.0055238-0.0036509i,-0.0062782-0.0030246i,-0.0047298-0.0029587i,-0.0029646-0.0020578i,-0.0023654-0.000317i,-0.0018363+0.0012196i,-0.0003293+0.0016558i,0.0012187+0.0008826i,0.00083461-0.00018138i,2.4366e-05-0.0011648i,0.00019058-0.0017222i,-8.4086e-05-0.0012196i,-0.00037335+0.0002028i
-0.0033045-0.00022624i,-0.0038315+0.0017282i,-0.0047235+0.0013636i,-0.0044311-0.00052169i,-0.0018267-0.0010682i,0.0011225-0.00072965i,0.003197-0.00053654i,0.0032751-0.00012657i,0.0031188+0.00086003i,0.0039609+0.0015584i,0.0054106+0.0017835i,0.0053953+0.0012075i,0.0031611+0.00011817i,0.0012854+0.00024298i,0.0019895+0.00082044i,0.0030055-0.00068667i,0.0015354-0.0019299i,-0.00068332-0.0012794i,-0.0015075-0.00046906i,-0.00083878-0.00046979i,5.5168e-05-8.434e-05i,0.00087896+0.00016362i,0.0013668+0.0006568i
-0.0016014-0.0023222i,-0.0031621-0.0063583i,-0.0037105-0.0071851i,-0.0022102-0.0054052i,-0.0015497-0.004281i,-0.0032295-0.0035306i,-0.0047563-0.0015351i,-0.0045098+0.00043097i,-0.0036689+0.0010313i,-0.0042134+0.00070716i,-0.0059757+0.00036652i,-0.0064415+0.00097094i,-0.0041685+0.00016177i,-0.002397-0.0017037i,-0.0022498-0.0016026i,-0.0022421+0.00041983i,-0.0010792+0.0025361i,-0.00015436+0.0027204i,-0.00064414+0.0011514i,-0.0014444+0.000283i,-0.0013414+6.3271e-05i,-0.00081813-5.1228e-05i,-0.0010063-0.00010486i
0.0012682+0.0023624i,0.0037557+0.0034221i,0.0038909+0.0036304i,0.0010685+0.0019585i,-0.0018511-0.0001141i,-0.0023251-0.0033195i,-0.0016459-0.0058632i,-0.00088355-0.0060241i,9.7446e-05-0.0045802i,0.0022875-0.0031393i,0.004538-0.0029569i,0.0042753-0.002463i,0.0020738-0.0017002i,0.0011546-0.00051301i,0.0012293+0.00044946i,0.0019659-0.00038539i,0.0021935-0.0018991i,0.00054993-0.0022317i,-0.00014165-0.0015313i,0.00095447-0.0006613i,0.0012638+0.00031566i,0.0011936+0.00013925i,0.00077482-0.00051326i
-0.0018567-0.0016916i,-0.0057929-0.0019643i,-0.0070573-0.0033891i,-0.0059413-0.0036225i,-0.0043913-0.0025012i,-0.0018476-0.0014244i,-0.00010635-0.0012507i,0.00034319-0.0010924i,-6.3499e-05+0.00012096i,-0.0017403+0.0016731i,-0.0040149+0.003451i,-0.0040248+0.0045241i,-0.002774+0.0030519i,-0.00164+0.0010275i,-0.00077465+0.00061498i,-0.0016323+0.0014827i,-0.001665+0.0018792i,-4.4045e-05+0.0013561i,0.000504+0.00069931i,-6.8498e-05+0.00064201i,-0.00060594+0.00046136i,-0.00054702-0.00022553i,-0.00025778-0.00071106i
0.00067724-0.0059437i,0.00081373-0.0075489i,9.7885e-05-0.0077489i,-0.0016345-0.0054435i,-0.0023179-0.0027224i,-0.0019103-0.0025398i,-0.001308-0.0025445i,-0.0010968-0.0014752i,-0.0007448-0.00098004i,0.0010911-0.0027196i,0.0027078-0.0045769i,0.002609-0.004153i,0.0012391-0.0023537i,0.0004617+0.00016288i,0.00076636+0.0015526i,0.0022862-9.2191e-05i,0.0029112-0.0022367i,0.0013918-0.0026224i,0.00089206-0.0016219i,0.0013425-0.0011573i,0.0011528-0.0010515i,0.00080673-0.00082184i,0.00023459-0.0003051i
0.00058476-0.00083555i,0.0016421+0.0010078i,0.00075982+0.0012948i,-0.0007588+0.00017631i,-0.001427-0.00077191i,-0.0011464-0.0016828i,-0.0012871-0.0021776i,-0.00068348-0.0014116i,-9.1942e-05-2.3549e-05i,-0.0011731+0.0020327i,-0.0018847+0.0040074i,-0.001617+0.0046748i,-0.0012123+0.0034897i,-0.0013387+0.00075427i,-0.0017783-0.000978i,-0.0021966-0.00085222i,-0.0023446+0.0004708i,-0.0011172+0.00091531i,-0.00019511+0.00089924i,-0.0013723+0.001291i,-0.0018601+0.00076142i,-0.0011766-6.2186e-05i,-0.00097307+0.00044936i
-0.0034912+0.0023664i,-0.0041159+0.0028902i,-0.0023264+0.00056453i,-0.00030428-0.001214i,-0.00045867-0.0019809i,-0.0016022-0.0028666i,-0.00079928-0.0030125i,-0.00083335-0.0022016i,-0.00093203-0.0014038i,-0.00072813-0.0025951i,-0.0011018-0.0052705i,-0.00079224-0.0063448i,-0.00084004-0.0052648i,-0.0018775-0.0030616i,-0.0015525-0.00077138i,0.00096122-0.00045657i,0.0028825-0.0015481i,0.0022227-0.0020026i,0.0010935-0.0014963i,0.0013623-0.00095393i,0.0017125-0.00058487i,0.0010621-0.00085262i,0.00094122-0.00057421i
-7.9227e-05-0.0020272i,-0.00027216-0.0059073i,-0.00074751-0.0071274i,-0.0008977-0.0045258i,-0.0006365-0.0018702i,6.1718e-05-0.0012173i,-0.00029398-0.00091114i,-0.00062049-0.00044765i,5.1427e-06+0.00045916i,0.00073616+0.0022142i,0.001014+0.0038322i,0.0011169+0.0040392i,0.0010051+0.0029047i,0.00086914+0.0014415i,0.00051572-0.00012661i,-0.00064858-4.2777e-05i,-0.0020993+0.0012944i,-0.0023107+0.002189i,-0.0014534+0.0017219i,-0.001382+0.0011675i,-0.0016084+0.00088021i,-0.0012567+0.00047714i,-0.00037558+8.2351e-05i
-9.6479e-05+0.0041735i,0.0020795+0.0050812i,0.0025201+0.0026021i,-6.8266e-05-0.00022426i,-0.0018563-0.0016212i,-0.0017725-0.0029686i,-0.00065429-0.0028642i,0.00038345-0.0016515i,0.00010056-0.001784i,-0.0011776-0.0033451i,-0.0025667-0.0047042i,-0.0037713-0.0040809i,-0.0046597-0.0025171i,-0.003514-0.00098475i,-0.00080385+0.00021341i,0.0014642+0.00036015i,0.0022873-3.9595e-05i,0.0019441-0.00075999i,0.0015836-0.0008821i,0.0015343-0.00078579i,0.0010787-0.0010427i,0.00064722-0.00084432i,-6.0194e-05-0.00047541i
-0.0052403-9.7509e-05i,-0.0062254-0.00093771i,-0.0039631+0.0013245i,-0.0011374+0.00097878i,-0.00053844-0.001925i,-0.001289-0.0036979i,-0.0016263-0.0031288i,-0.0015532-0.00045355i,-0.00015639+0.001771i,0.0018334+0.002069i,0.0030223+0.0024997i,0.0026486+0.0025978i,0.0011706+0.00043859i,0.00029684-0.0020928i,-1.8256e-05-0.0025272i,-0.0015513-0.0015689i,-0.0026155-0.00046164i,-0.0016707+8.9512e-05i,-0.0011596-2.0916e-07i,-0.0014343+0.00026306i,-0.0011153+0.00078908i,-0.00084338+0.00073053i,7.3817e-05+0.00062322i
0.0063893-0.0041865i,0.0068388-0.007588i,0.00314-0.010086i,-0.0021424-0.0068506i,-0.0043624-0.0016875i,-0.0030258+0.00011607i,-0.0021958-0.00095644i,-0.0025283-0.0017004i,-0.0028058-0.0025753i,-0.0032138-0.0033172i,-0.0046441-0.003156i,-0.004992-0.0026255i,-0.0029445-0.0021242i,-0.0014926-0.00036298i,-0.0016325+0.0014885i,0.00020018+0.001714i,0.0018304+0.00043308i,0.0011185-0.00082534i,0.00079137-0.0010351i,0.0011826-0.00049098i,0.0010553-0.00029559i,0.00069133-0.00035596i,-0.0004504-0.00015106i
-0.001006+0.0035984i,-0.0022421+0.0047757i,-0.0008776+0.0027265i,0.00013167-0.00020999i,-0.0009812-0.0017304i,-0.0012293-0.0023222i,-6.3212e-05-0.0022986i,0.0015368-0.0023976i,0.0028557-0.0020646i,0.003456-0.00025636i,0.0041018+0.0012426i,0.0044877+0.00166i,0.0033844+0.0016341i,0.0018002+0.0013734i,0.00040262+0.00051557i,-0.0011241-0.00032853i,-0.0022101-0.0009952i,-0.0016325-0.00065997i,-0.00052158+9.5184e-05i,0.00012604+6.4662e-05i,0.00064984+0.00023411i,0.00063353+5.8334e-05i,-0.00013081+0.00012783i
-0.0012673-0.0050443i,-0.0029096-0.0074763i,-0.0043032-0.0070686i,-0.0042876-0.0046814i,-0.0027579-0.0025235i,-0.0010239-0.00024237i,-0.00017988+0.0012112i,-5.0293e-05+0.0015629i,-0.00094483+0.0017159i,-0.0031096+0.00082349i,-0.0053841+0.00020621i,-0.0061568-0.00025398i,-0.0043381-0.0011416i,-0.0020876-0.00046467i,-0.00084598+0.00076043i,0.00015681+0.0013964i,0.0015135+0.00082465i,0.0022432-0.00053486i,0.0015357-0.0011645i,0.0010469-0.00082049i,0.00092215+0.00014955i,0.00074016+0.0011428i,0.00054754+0.00035729i
0.0026968+0.0045759i,0.0060168+0.0045411i,0.0063622+0.002835i,0.0034519+0.00051379i,0.00045797-0.00070448i,-0.0016227-0.0022483i,-0.0028002-0.0025668i,-0.0033058-0.002516i,-0.0024765-0.0025815i,0.00072772-0.0023353i,0.0043652-0.0020235i,0.0055876-0.0020082i,0.003826-0.002445i,0.0017484-0.003261i,0.0012188-0.0035273i,-3.3778e-05-0.0023884i,-0.0012345-0.00071667i,-0.0013428+0.0003606i,-0.0010841+0.00058109i,-0.00081384+0.00040946i,-0.00044848-0.0002609i,0.0006853-0.00096697i,0.00056563-0.0012319i
-0.0043237-0.00022301i,-0.006914-0.0008211i,-0.0067588-0.00075649i,-0.0040809-0.0014385i,-0.0011027-0.0026858i,0.00057337-0.0030544i,-9.4948e-05-0.003112i,-0.00053735-0.0024i,-0.00017903-0.0017311i,-0.0015059-0.00033024i,-0.0040131+0.0016961i,-0.0054195+0.0029829i,-0.0049117+0.0022052i,-0.003282+0.001033i,-0.0020778+0.00059642i,-0.00049799+0.00083512i,0.0006463+0.00074302i,0.0012162-0.00053297i,0.0013139-0.00084123i,0.00059405+4.651e-05i,0.00035234+0.00074563i,-9.1446e-06+0.00097052i,-0.00068675-0.00054004i
