0.0012477+0.00060848i,0.0018051-0.00047007i,0.0034861-0.0030065i,0.0029424-0.005692i,-7.9609e-05-0.0052785i,-0.0024845-0.002038i,-0.0020496+0.00043011i,-0.00015658+0.0019215i,0.0012305+0.0015336i,0.0016858-0.00046836i,0.0010027-0.0013453i,0.00047083-0.0012632i,0.00015424-0.00021131i,0.00029402+0.0013358i,0.00088743+0.0013116i,0.00095672+0.0006839i,0.00062084-0.00019619i,0.00025856-0.00062987i,5.787e-05-0.00094231i,1.2379e-05-0.0011552i,-0.00014922-0.00085189i,-0.0002214-0.00055188i,-0.00019622-0.00023219i
-0.013276-0.0048548i,-0.058573-0.026728i,-0.16508-0.065431i,-0.29312-0.081417i,-0.31084-0.057295i,-0.17704-0.035529i,-0.040148-0.04817i,0.0032852-0.051174i,0.009728-0.024835i,0.015344-0.011499i,0.011694-0.018595i,0.0043171-0.023085i,0.0019926-0.016731i,0.0067398-0.0051182i,0.013504+0.0037639i,0.015117+0.0061628i,0.011113+0.0037949i,0.0041102+0.0011896i,-0.0032455+0.00092317i,-0.007577+0.0036486i,-0.0080427+0.0076678i,-0.0037424+0.0090514i,0.0010828+0.0055238i
0.0056169+0.0051592i,0.042828+0.03242i,0.1341+0.086083i,0.25107+0.12925i,0.27352+0.11879i,0.15674+0.071407i,0.027106+0.04492i,-0.019447+0.031213i,-0.023022+0.0058307i,-0.024998-0.00052076i,-0.021004+0.013798i,-0.012653+0.022661i,-0.0071007+0.019656i,-0.0052859+0.0082859i,-0.0070826-0.004364i,-0.0098361-0.0099289i,-0.009251-0.0082964i,-0.0047232-0.0042866i,0.00070248-0.00072868i,0.0061435+5.4778e-05i,0.0092187-0.0034273i,0.0055011-0.0068819i,-0.00055453-0.0053932i
-0.011501-0.0087616i,-0.04381-0.046121i,-0.12403-0.12949i,-0.23125-0.21058i,-0.25964-0.20325i,-0.15572-0.11658i,-0.027407-0.046211i,0.02532-0.017107i,0.026793+0.00095055i,0.024784+0.0034606i,0.023848-0.0078434i,0.019973-0.015906i,0.013876-0.01546i,0.0084255-0.0063851i,0.0063015+0.0051002i,0.0065114+0.009957i,0.006565+0.0075967i,0.0029941+0.00246i,-0.0022704-0.0021424i,-0.0067872-0.0027167i,-0.0097709+0.0011969i,-0.008095+0.0058189i,-0.0028859+0.0062705i
0.0041252+0.011442i,0.025364+0.048112i,0.079365+0.13678i,0.15772+0.23674i,0.18904+0.24803i,0.12289+0.15094i,0.025669+0.049722i,-0.018542+0.0031774i,-0.017943-0.0117i,-0.017447-0.0086887i,-0.022699+0.0035098i,-0.022991+0.012726i,-0.015607+0.014943i,-0.0060117+0.0062541i,-0.0017657-0.0059016i,-0.0018717-0.010954i,-0.0032452-0.0088417i,-0.0038542-0.0040274i,-0.0018083+0.00047538i,0.0025124+0.0038691i,0.0077132+0.0027722i,0.0095615-0.001823i,0.0055147-0.004033i
-0.0045294-0.010069i,-0.020414-0.055575i,-0.055676-0.1633i,-0.11034-0.28796i,-0.13695-0.30818i,-0.096695-0.19053i,-0.02856-0.059192i,0.0043263-0.0021659i,0.0022656+0.010867i,0.0040684+0.010907i,0.015829+0.0048922i,0.022827-0.0023105i,0.019956-0.0058988i,0.011809-0.00089495i,0.004658+0.0075675i,0.0012201+0.0099044i,0.0017308+0.0062685i,0.0031274+0.0014206i,0.0019786-0.003097i,-0.0010165-0.0054153i,-0.0058667-0.0058771i,-0.0092074-0.0036003i,-0.006923-0.00010128i
0.00072641+0.0088928i,0.0018801+0.05047i,0.0055244+0.15116i,0.021092+0.27668i,0.036533+0.31087i,0.035458+0.20445i,0.019835+0.066976i,0.01156-0.0010866i,0.015651-0.017183i,0.0079028-0.018706i,-0.0098777-0.01339i,-0.019677-0.004395i,-0.018631+0.00073654i,-0.010254-0.00097804i,-0.0027014-0.0064664i,-0.00017197-0.0095342i,-0.0019161-0.0087579i,-0.0047352-0.0046781i,-0.0055349+0.0010535i,-0.0037819+0.0058867i,0.0022221+0.0087055i,0.0072073+0.0068675i,0.0063844+0.0035629i
-0.0031832-0.010125i,0.0030778-0.053772i,0.021509-0.15774i,0.037777-0.28721i,0.033446-0.32232i,0.010065-0.21603i,-0.0092685-0.078082i,-0.019781-0.0084049i,-0.024557+0.0093572i,-0.014073+0.014903i,0.0045235+0.015782i,0.01612+0.011518i,0.018899+0.0066003i,0.014692+0.0048794i,0.0064864+0.0064264i,0.0012579+0.0072863i,0.00050338+0.0054987i,0.0018238+0.0033732i,0.0028233+0.00084027i,0.003744-0.0031453i,0.0014001-0.0073206i,-0.0039429-0.0081748i,-0.0053395-0.0053938i
-0.0023989+0.011318i,-0.019979+0.045822i,-0.063407+0.13028i,-0.11687+0.24028i,-0.13026+0.28028i,-0.079975+0.1998i,-0.015982+0.081221i,0.018529+0.015403i,0.025781-0.003253i,0.014218-0.011273i,-0.0022837-0.016313i,-0.013466-0.014225i,-0.016654-0.0080067i,-0.010587-0.005176i,-0.0017455-0.0066211i,0.0017075-0.0078074i,0.00038761-0.0077232i,-0.0029196-0.0070167i,-0.0052611-0.0035644i,-0.0061077+0.0022987i,-0.0043181+0.0073205i,9.62e-06+0.0087218i,0.0016977+0.0068791i
0.0023028-0.0072905i,0.022404-0.041073i,0.080783-0.11841i,0.15659-0.21536i,0.18146-0.24777i,0.12025-0.17957i,0.036064-0.083463i,-0.0085055-0.030894i,-0.017433-0.015225i,-0.011907-0.0037776i,-0.0024418+0.0088565i,0.0067661+0.013566i,0.011703+0.010372i,0.0088428+0.0063335i,0.0023536+0.0047836i,-0.0014319+0.0044054i,-0.0014776+0.0046378i,0.00080795+0.0046403i,0.0029107+0.0035665i,0.0054714+0.00080548i,0.0057853-0.0037747i,0.0031495-0.0071564i,0.0023159-0.0059867i
-0.0063811+0.0060199i,-0.034497+0.028446i,-0.10877+0.075804i,-0.20832+0.13862i,-0.2462+0.16604i,-0.17268+0.13291i,-0.064144+0.075761i,-0.0036823+0.039281i,0.011669+0.023492i,0.010358+0.0086403i,0.0054728-0.0041713i,-0.00068322-0.0099234i,-0.0047389-0.010014i,-0.0025774-0.0083169i,0.0021247-0.0076263i,0.0033682-0.0076354i,0.0016417-0.0073961i,-0.00047084-0.0083895i,-0.0033662-0.00825i,-0.0070067-0.0048809i,-0.008644+0.0007969i,-0.0065492+0.0047296i,-0.0038913+0.0041869i
0.0055793-0.0062273i,0.033522-0.024141i,0.11088-0.058707i,0.215-0.095717i,0.25519-0.10459i,0.18508-0.082485i,0.078733-0.057146i,0.017522-0.043959i,-0.0014678-0.034823i,-0.0081753-0.019301i,-0.0094014-0.001851i,-0.0045032+0.0086675i,0.0014256+0.01165i,0.002496+0.0099621i,-0.0011056+0.007286i,-0.003412+0.0060158i,-0.0030255+0.0058717i,-0.0019999+0.0064167i,-0.00018926+0.0061885i,0.0035348+0.0043662i,0.0078371+0.00089049i,0.0082059-0.0032221i,0.0054002-0.0039575i
-0.0052956+0.0044475i,-0.038827+0.010594i,-0.12+0.012803i,-0.22889+0.012248i,-0.27339+0.010371i,-0.20369+0.017404i,-0.095351+0.030971i,-0.030297+0.036277i,-0.0051619+0.028396i,0.005812+0.013382i,0.0094818+0.00098933i,0.0074927-0.0064763i,0.0037242-0.0094329i,0.0025955-0.0087936i,0.0035944-0.0070312i,0.0041036-0.0061492i,0.0031444-0.0064595i,0.0013897-0.0070415i,-0.00096171-0.0061128i,-0.0035093-0.0049677i,-0.0062677-0.0026978i,-0.0077731+0.00066256i,-0.0055641+0.0016442i
0.0051285-0.0039902i,0.032196-0.005146i,0.10262+0.0038453i,0.19787+0.028865i,0.23662+0.050457i,0.18212+0.036172i,0.095183-0.00090004i,0.0398-0.023107i,0.015745-0.022483i,0.0013398-0.011866i,-0.0063058-0.00178i,-0.0060907+0.0051577i,-0.0020741+0.0081668i,0.00077579+0.0068836i,0.00011963+0.003455i,-0.0016077+0.0020281i,-0.0024806+0.0022373i,-0.0036305+0.0032222i,-0.0031752+0.0043019i,0.00013115+0.0044189i,0.0039086+0.0036624i,0.0050699+0.0015652i,0.0031248+0.0007483i
-0.0087611-0.00087248i,-0.035742-0.0089423i,-0.099505-0.041792i,-0.18095-0.094451i,-0.21178-0.12144i,-0.16482-0.086676i,-0.093171-0.027291i,-0.046911+0.0030008i,-0.025087+0.0064281i,-0.010082+0.003815i,0.00092887+0.0023307i,0.0048671-0.00022063i,0.0030494-0.0028531i,0.0016909-0.0031361i,0.0027049-0.0026929i,0.0038313-0.0026648i,0.0044279-0.0031124i,0.0034092-0.0035164i,0.0019149-0.0036098i,2.3206e-05-0.0039272i,-0.0032543-0.0041239i,-0.005161-0.0038484i,-0.0039633-0.0041873i
0.0049429+0.0013i,0.025255+0.012207i,0.070991+0.049139i,0.12597+0.10981i,0.14423+0.14697i,0.11659+0.11416i,0.07904+0.04859i,0.051867+0.0092588i,0.032175-0.0031282i,0.015172-0.0061081i,0.0024723-0.004901i,-0.0025184-0.00087061i,-0.0019155+0.0019506i,-0.00094425+0.001539i,-0.0012667-0.00043657i,-0.0026838-0.0012206i,-0.0042426+6.4543e-06i,-0.0044975+0.0010653i,-0.0039943+0.0015268i,-0.002365+0.0026888i,0.00079657+0.0046305i,0.0029611+0.0054107i,0.0027043+0.004531i
-0.0046553-0.0020567i,-0.024036-0.019839i,-0.058751-0.071717i,-0.094909-0.14608i,-0.10288-0.18198i,-0.08349-0.1379i,-0.062404-0.0659i,-0.044599-0.02319i,-0.027445-0.0052801i,-0.01327+0.0038323i,-0.003716+0.0068891i,0.0015747+0.0047873i,0.0042306+0.0018796i,0.0048639+0.00063251i,0.0042741-0.00042681i,0.004065-0.00027469i,0.0039576-0.00023605i,0.0034037-0.00093963i,0.0011177-0.0015277i,-0.00058923-0.0033912i,-0.001313-0.0060788i,-0.0019072-0.0075119i,-0.001187-0.0061265i
0.0031062+0.0017161i,0.013903+0.017547i,0.029333+0.063702i,0.037962+0.13403i,0.031973+0.1713i,0.028677+0.13729i,0.035563+0.073733i,0.033986+0.029819i,0.02114+0.006725i,0.0080897-0.0050844i,0.00075887-0.0080924i,-0.0024057-0.0052123i,-0.003135-0.0014701i,-0.0024419+0.00088992i,-0.0015959+0.00046114i,-0.00093694-0.00076911i,-0.0015382-0.0013678i,-0.0026501-0.001273i,-0.0020369+0.0001195i,-0.0017013+0.0018409i,-0.0013829+0.0042746i,-0.00029265+0.0063059i,-0.00039677+0.0054571i
-0.0041874-0.0054668i,-0.012221-0.025075i,-0.01683-0.076503i,-0.0084131-0.14564i,0.0065399-0.17337i,0.0038548-0.1344i,-0.011795-0.076611i,-0.014228-0.038991i,-0.0062743-0.018731i,-0.0021742-0.0055368i,-0.00077131+0.0027926i,0.0011166+0.0047394i,0.0018209+0.0019819i,0.0021371-0.00064962i,0.0018822-0.0015604i,0.00020897-0.0015406i,-0.00019886-0.00098967i,0.00033134-0.00063276i,-0.0013291-0.00089939i,-0.0011754-0.0024589i,0.0016378-0.0047015i,0.001852-0.005772i,0.0015976-0.0047963i
0.00084254+0.004316i,0.0002124+0.019411i,-0.011775+0.056422i,-0.039281+0.10834i,-0.06066+0.13233i,-0.0455+0.11012i,-0.012663+0.072312i,0.0015814+0.04125i,0.00063454+0.020907i,-0.00018943+0.0085022i,0.001278+0.0016976i,0.0018017-0.00087552i,0.001558-0.00068684i,0.0024968-0.00069653i,0.0033769-0.00021851i,0.0031327+0.00015256i,0.0015676-0.0010533i,-0.00018662-0.0014945i,-0.00081944-0.00028379i,-0.00083857+0.0014605i,-0.0021219+0.0034983i,-0.0045274+0.0045311i,-0.0047693+0.0035658i
-0.0016766-0.0037153i,0.00061363-0.019692i,0.017013-0.057553i,0.050958-0.10058i,0.074955-0.11094i,0.058119-0.087312i,0.02525-0.061675i,0.0097713-0.04273i,0.0030742-0.026187i,-0.0037637-0.012959i,-0.0056179-0.0021631i,-0.0035566+0.003648i,-0.0015086+0.0046771i,0.00039566+0.0027353i,0.00078508-0.00056107i,-0.0011179-0.0023038i,-0.0024854-0.0010637i,-0.0023317+0.00044062i,-0.0016118-0.00010528i,9.8925e-05-0.0010117i,0.0030746-0.0018797i,0.0052731-0.0028964i,0.00586-0.0030058i
-0.0024457+0.0031432i,-0.009741+0.012774i,-0.034363+0.03352i,-0.076362+0.056232i,-0.10207+0.0621i,-0.079075+0.054867i,-0.038523+0.045918i,-0.0149+0.03217i,-0.0016774+0.016507i,0.0062607+0.0058086i,0.0072406+0.0011314i,0.0052357-0.0013917i,0.0030759-0.0025077i,0.0018043-0.0016244i,0.0013771+0.00046347i,0.0019236+0.001472i,0.0023935+0.00032903i,0.00094105-0.0011064i,-0.00050751-0.0010815i,-0.0020802-0.00013912i,-0.0047202+0.00077902i,-0.0060116+0.0012162i,-0.0053046+0.0012205i
0.00069212-0.0022809i,0.0071799-0.011265i,0.032576-0.030734i,0.072522-0.045476i,0.093612-0.040456i,0.074851-0.032179i,0.04307-0.03148i,0.020438-0.023588i,0.0052308-0.0098489i,-0.003124-0.0012087i,-0.0046423+0.00087839i,-0.0038367+0.0012659i,-0.0023549+0.0023858i,0.00065804+0.0018015i,0.0023259-0.00062548i,0.0010639-0.0029157i,-0.00054084-0.0033181i,-0.0010203-0.002377i,-0.0011374-0.001804i,-0.0011346-0.0009804i,0.0021808+0.00022161i,0.005804+0.0010424i,0.0055058+0.0015101i
-0.0013404+0.0028371i,-0.012703+0.0059493i,-0.042021+0.0075961i,-0.082541+0.003548i,-0.10019-0.0029688i,-0.079774+0.0026522i,-0.048976+0.012471i,-0.026466+0.0081487i,-0.012034-0.0028961i,-0.0032371-0.00608i,0.0016614-0.002956i,0.0030724-0.00086122i,0.003637-0.0001094i,0.0029235+0.0008611i,0.00055144+0.0014005i,-0.00046351+0.0022697i,0.00062005+0.0023111i,0.0010047+0.0014683i,-0.00038763+0.0013961i,-0.0018628+0.00060609i,-0.0037044-0.0012063i,-0.005299-0.0028791i,-0.0050685-0.0035959i
-0.00078457-0.0024647i,0.0079556-0.0070062i,0.030138-0.0086854i,0.059541+0.0009327i,0.071646+0.013419i,0.060755+0.0099187i,0.044883-0.0017436i,0.03076-0.0022153i,0.017868+0.0016277i,0.0071289+0.00050921i,-0.00012482-0.0011903i,-0.0032477-0.0012146i,-0.0039464-0.001311i,-0.0029482-0.0021784i,-0.00078855-0.002945i,0.00044595-0.0042718i,0.00019611-0.0052001i,-0.0010237-0.0042648i,-0.0019221-0.0030232i,-0.00072398-0.00069934i,0.0017363+0.0031462i,0.0032605+0.0054146i,0.0034716+0.0050926i
-0.0040945+0.00058107i,-0.013755-0.0009588i,-0.036464-0.012378i,-0.06185-0.031272i,-0.068896-0.04028i,-0.056956-0.026186i,-0.042055-0.0094696i,-0.027348-0.0053879i,-0.015396-0.0026177i,-0.0077141+0.0034196i,-0.001039+0.0064204i,0.004225+0.0046538i,0.006845+0.0026995i,0.0061555+0.0014047i,0.0027626+0.00053503i,0.00014615+0.001442i,0.0003261+0.002392i,0.001262+0.0016845i,0.0010432+0.0010884i,3.5658e-05+9.0027e-06i,-0.00064561-0.0032144i,-0.0015909-0.0059001i,-0.0029302-0.005158i
0.00085728+0.00024309i,0.0056326+0.0011415i,0.019258+0.0077537i,0.03371+0.025134i,0.035391+0.038812i,0.032926+0.030898i,0.032987+0.014914i,0.023571+0.0042637i,0.0098906-0.0048073i,0.00098934-0.0087632i,-0.0027808-0.0063011i,-0.0048268-0.0026873i,-0.0055655+0.00010121i,-0.0036009+0.0012709i,-0.00042459+0.00015548i,0.0017101-0.0021009i,0.0010269-0.0034203i,-0.0012353-0.0026241i,-0.0024828-0.0010559i,-0.0021987+0.00052507i,-0.0010665+0.0036498i,-0.00087453+0.0059422i,-0.00069927+0.0063577i
-0.0028645-0.00054813i,-0.0090416-0.0060382i,-0.019964-0.023052i,-0.029149-0.047626i,-0.029143-0.055878i,-0.027388-0.039476i,-0.02478-0.021735i,-0.01359-0.011746i,-0.00056449-0.0030535i,0.0050539+0.0019928i,0.0046039+0.0032693i,0.0042115+0.0034794i,0.0053646+0.00336i,0.0044194+0.0026456i,0.0016477+0.001191i,-0.00096102+0.00067186i,-0.0016977+0.00019598i,-0.00087604-0.00019697i,-0.00054218+0.00024837i,9.4986e-05-7.2892e-05i,0.00097497-0.002469i,0.0016606-0.0052195i,0.00072442-0.0055784i
-0.00078324+0.00018928i,0.0032392+0.0026452i,0.0075719+0.011922i,0.0069131+0.028188i,0.0033553+0.038752i,0.0074742+0.034371i,0.012524+0.023325i,0.0063807+0.013467i,-0.0030811+0.0052i,-0.0051436+0.00087381i,-0.0023058-0.0011529i,-0.00070115-0.0029783i,0.00017079-0.0034593i,0.00069995-0.003422i,0.0004026-0.0034596i,0.0015359-0.0028401i,0.0022356-0.0022256i,0.00057785-0.0017238i,-0.00060638-0.0011526i,-0.0010094+0.00023567i,-0.0016606+0.002355i,-0.0023225+0.0032829i,-0.0017498+0.0035208i
-0.0018827-0.0010911i,-0.0052821-0.0063502i,-0.0077472-0.021666i,-0.006675-0.040978i,-0.003958-0.046489i,-0.0061496-0.036646i,-0.0079834-0.027305i,-0.0028236-0.020676i,0.00086108-0.013869i,-0.0009835-0.0069371i,-0.0027036-0.00026522i,-0.0010137+0.0044451i,0.00036464+0.0070838i,0.00091066+0.0069077i,0.00089666+0.004195i,-0.00086776+0.0022812i,-0.0016854+0.0014604i,-0.0011403+0.0011269i,-0.00073315+0.001825i,1.6428e-06+0.0012755i,0.0015485-0.00067648i,0.0025799-0.0021955i,0.0023823-0.0032863i
-0.0019637+0.00080261i,-0.0018827+0.0037143i,-0.0062993+0.010516i,-0.015898+0.020518i,-0.019756+0.026363i,-0.0107+0.02677i,-0.001262+0.025171i,0.0020248+0.018669i,0.0048131+0.0097721i,0.006228+0.002874i,0.0042845-0.0014722i,0.0006613-0.004592i,-0.0011542-0.0067875i,-0.00014318-0.0060338i,0.00096819-0.0034914i,0.0014636-0.0026614i,0.001146-0.0027642i,-0.00072257-0.0024665i,-0.0021069-0.0026135i,-0.0028588-0.0019736i,-0.0046274-0.00057127i,-0.0056097+0.00086617i,-0.0045196+0.0018906i
-0.003438-0.0005562i,-0.0036148-0.0065713i,0.0010984-0.018157i,0.010361-0.029192i,0.014075-0.028983i,0.0092078-0.024741i,0.0037162-0.022421i,0.00013194-0.015668i,-0.0043157-0.0062987i,-0.0068895+7.9052e-05i,-0.0047016+0.0028531i,-0.0005657+0.0049665i,0.0018679+0.0067316i,0.0020868+0.0053425i,0.0011104+0.0019393i,-0.00031832+0.00046846i,1.7653e-05+0.00012633i,0.00060645-8.634e-05i,0.00046571+0.00057508i,0.0019678+0.0010953i,0.0040832+0.0011715i,0.0043896+0.00091305i,0.0036109-0.00010188i
2.3753e-05+0.00055785i,-0.0023157+0.0017586i,-0.0094485+0.0024226i,-0.020866+0.0026228i,-0.026471+0.0047944i,-0.019407+0.010886i,-0.0099315+0.012858i,-0.0037978+0.0048006i,0.0014067-0.0045641i,0.0034733-0.0070856i,0.0017008-0.0043689i,0.00084404-0.0021953i,0.00094766-0.0016782i,0.0011239-0.0014131i,0.0014584-0.0015835i,0.001125-0.0019594i,-0.00023313-0.0019059i,-0.00093696-0.00090864i,-0.0012418-0.00050845i,-0.0020368-0.0011924i,-0.0034812-0.0011253i,-0.0043061-0.00078356i,-0.0040662+0.00016554i
-0.0012365+0.00089556i,-0.0013514-0.0022103i,0.0048756-0.0093182i,0.012565-0.013526i,0.014267-0.011354i,0.010785-0.0112i,0.0088126-0.010148i,0.0086322-0.0034637i,0.0072902+0.0028001i,0.0046022+0.0038091i,0.0012082+0.0018653i,-0.0016243+0.0022757i,-0.003125+0.0029808i,-0.0032296+0.0021197i,-0.0025065+0.00098399i,-0.00023396-0.00047019i,0.0014828-0.0015871i,0.00089674-0.0016207i,-0.00057314-0.00059399i,0.00024585+0.0010043i,0.001973+0.0019733i,0.0020398+0.0015367i,0.002304+0.00091424i
-0.0015388+0.0021276i,-0.0055829+0.0013046i,-0.013961-0.0012161i,-0.022585-0.0055913i,-0.024174-0.0050757i,-0.019053+0.0017593i,-0.014654+0.0047318i,-0.012074+0.0012221i,-0.0091234-0.0015967i,-0.0055756+0.00014368i,-0.00055182+0.00085167i,0.0038435-0.00073002i,0.0060398-0.0014836i,0.0071477-0.0019154i,0.0055563-0.0022796i,0.0024656-0.0031703i,0.0010741-0.0038555i,-0.00052346-0.0034076i,-0.0020223-0.0021208i,-0.0022432-0.0011056i,-0.0019109-0.0022665i,-0.0017852-0.0032239i,-0.0018746-0.00234i
-0.0024797-0.00049934i,-0.0014789-0.0028151i,0.0040938-0.0059131i,0.0095231-0.0051302i,0.010518-0.0023618i,0.010524-0.0034316i,0.012502-0.0053217i,0.012321-0.0055037i,0.0089553-0.0070964i,0.003719-0.0072179i,-0.0011308-0.002854i,-0.0034041+0.0021993i,-0.0047574+0.0050217i,-0.0046408+0.0041446i,-0.0027047+0.0024661i,-0.0013111+0.0022078i,-0.0010063+0.0021167i,-0.00040881+0.0014057i,-0.00015963+0.0011885i,-0.00050221+0.0019655i,-0.00034829+0.0029362i,0.0001985+0.0030748i,0.00053206+0.0029192i
-0.00099876+0.00012156i,-0.0045176-0.0012661i,-0.010581-0.0075544i,-0.016193-0.015427i,-0.016913-0.015948i,-0.014759-0.0073889i,-0.012408-0.0011616i,-0.0074917+0.0015376i,-0.0017456+0.0044037i,0.0016533+0.005106i,0.0028502+0.0027388i,0.0030826+8.8377e-05i,0.0041777-0.0015817i,0.0046138-0.0019147i,0.003474-0.0019675i,0.002641-0.0029566i,0.0019558-0.004351i,0.00037798-0.004129i,-0.0014834-0.0025718i,-0.0023409-0.0027882i,-0.0021573-0.0036944i,-0.0011076-0.0039024i,-0.001007-0.0030968i
-0.00062207-0.00040126i,-0.0011069-0.00098656i,-0.00037284-0.0024498i,-0.00029449-0.00087818i,-0.00074287+0.002193i,0.0029157+0.0020902i,0.0074615+0.00025054i,0.0043887-0.0016705i,-0.0026227-0.0032554i,-0.005392-0.0024925i,-0.0037658-0.00051798i,-0.0029743+0.00077373i,-0.0023818+0.0013712i,-0.00076423+0.0014979i,-0.00030782+0.0010614i,-0.0012512+0.0013775i,-0.0011869+0.0019478i,-0.00035193+0.0025149i,9.352e-05+0.0030908i,-0.00034199+0.0035777i,-0.00072548+0.0038315i,-0.00025174+0.0034678i,0.00034886+0.0025614i
-0.0016895+0.0011607i,-0.0041598-0.001795i,-0.0059368-0.0089577i,-0.0077782-0.017406i,-0.0086904-0.016247i,-0.0090767-0.0095536i,-0.0068267-0.0059808i,-0.00052185-0.0060317i,0.0048654-0.0072676i,0.0053694-0.0056562i,0.0036445-0.0022675i,0.0028861+0.00072701i,0.0028656+0.0022073i,0.0030232+0.0023301i,0.0028939+0.00080838i,0.0026589-0.0015604i,0.0018096-0.0031228i,0.00062366-0.0036673i,-0.00073855-0.0031232i,-0.00042255-0.0016919i,0.00021874-0.0015879i,0.00038729-0.0017679i,0.00069338-0.0013535i
-0.0022763-0.00085479i,-0.0029959-0.00079081i,-0.0038733+0.00011623i,-0.0057674+0.001524i,-0.006071+0.0030952i,-0.0005187+0.0044565i,0.0041507+0.0054706i,0.0029931+0.0059915i,0.00082092+0.0053914i,0.00069569+0.004564i,0.00063071+0.0031959i,-0.00090126+0.00033121i,-0.0014496-0.0023895i,-0.00089324-0.0031431i,-0.001111-0.0019225i,-0.0021338+0.00019788i,-0.0027189+0.00083541i,-0.0025518+0.0011361i,-0.0017864+0.0021641i,-0.00090355+0.0026597i,-0.0010942+0.0019167i,-0.0015391+0.0012803i,-0.0009034+0.0013166i
-0.00019357+0.0010463i,-0.0024025-0.0032717i,-0.0032239-0.011936i,-0.0026715-0.017631i,-0.0028582-0.014848i,-0.0053472-0.0082996i,-0.0050481-0.0066733i,-0.0031817-0.008766i,-0.004583-0.0085143i,-0.0056444-0.0057732i,-0.003008-0.001921i,0.00090803+0.0018802i,0.0034402+0.0047346i,0.0054128+0.0044445i,0.0060177+0.0016941i,0.0046413-0.00066976i,0.0035567-0.0028744i,0.0025234-0.004139i,0.00061125-0.0034011i,-0.00012695-0.0017119i,0.0011458-0.00094795i,0.0013234-0.0012947i,0.00055029-0.0013692i
-0.0021506-0.0016597i,-0.0024037-0.00048501i,-0.0037888-0.00066939i,-0.0075725-0.0018381i,-0.0088607-0.00046081i,-0.0041286+0.0024836i,0.0020871+0.0037362i,0.0055586+0.001218i,0.0064954-0.002922i,0.0051874-0.0044128i,0.0023409-0.0026831i,-0.001033-0.0011327i,-0.0032965-0.0012512i,-0.0034419-0.0011404i,-0.0026467-0.00095198i,-0.0028929-0.00041117i,-0.0040546+0.00067999i,-0.0037995+0.0013014i,-0.0023277+0.0016082i,-0.0010274+0.0017323i,-0.00098202+0.0014054i,-0.0018298+0.00062231i,-0.0018924-2.8771e-05i
-0.0025203+0.00056837i,-0.0028346-0.0036314i,-0.0026303-0.0097292i,-0.0012511-0.014042i,-0.0011685-0.012694i,-0.0021473-0.0089515i,-0.0019159-0.0063878i,-0.0018326-0.0025425i,-0.0017944+0.0022107i,-0.0012368+0.0046196i,-0.00028762+0.0045698i,0.0010871+0.0037892i,0.0025667+0.0036117i,0.003701+0.0028398i,0.0038251+0.0014865i,0.0044298+0.00063366i,0.0041804-0.00043363i,0.0026122-0.0019908i,0.00074872-0.0025132i,-0.00026169-0.001392i,-0.00053113-0.00049839i,-0.00066217-0.00031039i,-9.193e-05-0.00037644i
-0.00088261-0.00067819i,-0.0022611-0.00079137i,-0.0057608-0.0016732i,-0.010857-0.0025677i,-0.01135-0.00116i,-0.0062158+0.0020554i,-0.0019382+0.003086i,-0.0013568-0.00095596i,-0.0025197-0.0056526i,-0.0034709-0.0049236i,-0.0023224-0.0024935i,-0.00027893-0.0018118i,0.00064174-0.0021157i,0.0012916-0.0020977i,0.00023102-0.0020747i,-0.0021921-0.0017366i,-0.0031943-0.00071316i,-0.0031144-0.00047575i,-0.0021105-0.00037342i,-0.00036254+0.00031429i,0.00030449+0.0007112i,-0.000147+8.0721e-05i,-0.00052187-0.00075655i
-0.001152+0.00045412i,-0.0011885-0.0013753i,-0.00016362-0.0064104i,0.0011484-0.0095661i,2.4325e-05-0.0079073i,-0.0015793-0.0059579i,0.0015536-0.004729i,0.0060235-0.0024162i,0.0068518-0.0019436i,0.0050731-0.0019032i,0.0021998+0.00049155i,0.0003417+0.0027808i,-0.00065036+0.0045496i,-0.00077659+0.0056495i,0.0010648+0.0041213i,0.0025806+0.0014211i,0.0028981+0.0004316i,0.0022914-0.0007108i,0.001647-0.0020058i,0.0007545-0.001977i,-0.00025368-0.00087443i,-0.00046266+0.00040661i,-4.2963e-06+0.00061875i
-0.0011521-0.00036641i,-0.0022149-0.00093555i,-0.0052833-0.0037733i,-0.0083129-0.0076364i,-0.0089623-0.0069731i,-0.0070868-0.0008787i,-0.0057683+0.0026588i,-0.0053916+0.0027727i,-0.0040517+0.0031717i,-0.0020066+0.0033585i,0.00070305+0.0023364i,0.0026521-0.00064673i,0.0028738-0.0035286i,0.0028604-0.0045615i,0.0015731-0.0040659i,-0.00076071-0.0036188i,-0.0022349-0.0030493i,-0.0033182-0.0019039i,-0.0028885-0.00052529i,-0.0017518+0.00020713i,-0.0011847+6.5707e-05i,-0.0001499-0.00032857i,0.001028-0.00047138i
